   yuktidīpikā //	yukti dIpikA //
   aniyataviṣayaśca saṃkalpaḥ / kiṃca trikālaviṣayatvāt / vartamānaviṣayā	aniyata vizayaH ca saMkalpaH / kiMca tri kAla vizaya tvAt / vartamAna vizayA
   śrotrādivṛttiḥ trikālaviṣayaśca saṃkalpaḥ / tasmānna vyastānāṃ nāpi	Srotra Adi vRttiH tri kAla vizayaH ca saMkalpaH / tasmAt na vyastAnAm na api
   samastānām / badhirādiṣu tadabhāvaprasaṃgāt / yadi samastendriyavṛttiḥ	samastAnAm / baDira Adizu tad aBAva prasaMgAt / yadi samasta indriya vRttiH
   saṃkalpaḥ syātprāṇādivaditi cet syānmatam, yathā samastendriyavṛttiḥ	saMkalpaH syAt prANa Adi vat iti ced syAt matam, yaTA samasta indriya vRttiH
   prāṇādiḥ, na cānyataravaikalye tadabhāvaḥ, evaṃ samastendriyavṛttiḥ	prANa AdiH, na ca anyatara vEkalye tad aBAvaH, evam samasta indriya vRttiH
   saṃkalpaḥ syānna cānyataravaikalye tadabhāvaḥ syāditi / etaccānupapannam /	saMkalpaH syAt na ca anyatara vEkalye tad aBAvaH syAt iti / etat ca anupapannam /
   viśeṣitatvāt / nirviṣayā prāṇādivṛttiḥ / śabdādiviṣayastu saṃkalpa iti	viSezita tvAt / nirvizayA prANa Adi vRttiH / Sabda Adi vizayaH tu saMkalpaH iti
   viśeṣitam / tasmādvyastasamastānāmindriyāṇāṃ saṃkalpānupapattermanaso	viSezitam / tasmAt vyasta samastAnAm indriyANAm saMkalpa anupapatteH manasaH 
   liṅgametadastitve iti siddham /	liFgam etat astitve iti sidDam /
        āha, tadavadhāraṇīyam, indriyadvaividhyāt / dviprakārāṇi hīndriyāṇi	Aha, tad avaDAraNIyam, indriya dvEviDyAt / dvi prakArANi hi indriyANi
   purastādupadiṣṭāni / tatra mano 'pyavadhāraṇīyaṃ kiṃ buddhīndriyamatha	purastAt upadizwAni / tatra manaH api avaDAraNIyam kim budDIndriyam aTa
   karmendriyamiti ?	karmendriyam iti ?
        ucyate 	ucyate 
        taccendriyamubhayathā samākhyātam /	tat ca indriyam uBayaTA samAKyAtam /
        hyarthe caḥ paṭhitaḥ / taddhīndriyamubhayathetyarthaḥ / mano na	hi arTe caH paWitaH / tat hIndriyam uBayaTA iti arTaH / manaH na
   kevalaṃ buddhīndriyamapi tu karmendriyamapi /	kevalam budDIndriyam api tu karmendriyam api /
        niyamahetvabhāvādayuktamiti cet syātpunaretat, ko 'tra niyamahetuḥ	niyama hetu aBAvAt ayuktam iti ced syAt punar etat, kaH atra niyama hetuH
   yadindriyatvāviśeṣe manasa evobhayapracāratvamabhyupagamyate, nānyeṣāmiti	yat indriya tva aviSeze manasaH eva uBaya pracAra tvam aByupagamyate, na anyezAm iti
        ucyate 	ucyate 
        antastrikālaviṣayaṃ tasmādubhayapracāraṃ tat // ISk_27 //	antar tri kAla vizayam tasmAt uBaya pracAram tat // ISc _27 //
        trikālaviṣayatvāt / iha yasyāntastriṣu ca kāleṣu karaṇasya	tri kAla vizaya tvAt / iha yasya antar trizu ca kAlezu karaNasya
   vṛttistadubhayapracāram, tadyathā buddhiḥ / sākṣāt	vRttiH tad uBaya pracAram, tat yaTA budDiH / sAkzAt 
   viṣayānabhisandhānādatītānāgatavartamānaviṣayatvācca mano	vizayAn aBisanDAnAt atIta anAgata vartamAna vizaya tvAt ca manaH 
   'ntastrikālaviṣayam / tasmādubhayapracāraṃ taditi siddham // 27 //	antar tri kAla vizayam / tasmAt uBaya pracAram tat iti sidDam // 27 //
         // yuktidīpikāyāṃ sāṃkhyasaptatipaddhatau ṣaṣṭhamāhnikam //	// yuktidIpikAyAm sAMKya saptati pad hatO zazWam Ahnikam //
             kārikā 28	kArikA 28
        samadhigataṃ karaṇaparva / tasyedānīṃ vyastasamastavṛttayo vaktavyāḥ	samaDigatam karaNa parva / tasya idAnIm vyasta samasta vRttayaH vaktavyAH
   / sati cobhayābhidhāne vyastavṛttireva tāvaducyate, na samastavṛttiḥ / kiṃ	/ sati ca uBaya aBiDAne vyasta vRttiH eva tAvat ucyate, na samasta vRttiH / kim
   kāraṇam ? prakaraṇaśeṣabhūtatvāt / śrotrādīnāṃ hi	kAraNam ? prakaraNa Seza BUta tvAt / Srotra AdInAm hi
   sadbhāvaprakaraṇamidamanukrāntam / sa caiṣāṃ sadbhāvaḥ	sadBAva prakaraNam idam anukrAntam / sa ca ezAm sadBAvaH
   śaktiviśeṣopālambhādityuktam / idānīmasau śaktiviśeṣo 'smākaṃ	Sakti viSeza upAlamBAt iti uktam / idAnIm asO Sakti viSezaH asmAkam
   vyastavṛttirityucyate / tasmāttadanukramaṇaṃ kariṣyāmaḥ /	vyasta vRttiH iti ucyate / tasmAt tat anukramaNam karizyAmaH /
        āha, yadyevaṃ tasmāducyatāṃ tasya karaṇasya kasminnarthe vṛttiḥ, kiṃ	Aha, yadi evam tasmAt ucyatAm tasya karaNasya kasmin= arTe vRttiH, kim
   lakṣaṇaṃ veti ?	lakzaNam vA iti ?
        ucyate  yaduktaṃ tasya kasminnarthe vṛttirityatra brūmaḥ	ucyate yat uktam tasya kasmin= arTe vRttiH iti atra brUmaH
        rūpādiṣu pañcānāmālocanamātramiṣyate vṛttiḥ /	rUpa Adizu paQcAnAm Alocana mAtram izyate vRttiH /
        rūpādiṣu śabdasparśarūparasagandheṣu svabhedabhinneṣu pañcānāṃ	rUpa Adizu Sabda sparSa rUpa rasa ganDezu sva Beda Binnezu paQcAnAm
   śrotratvakcakṣurjihvāghrāṇānāṃ śravaṇasparśanadarśanarasanaghrāṇalakṣaṇo	Srotra tvac cakzuH jihvA GrANAnAm SravaNa sparSana darSana rasana GrANa lakzaNaH 
   vyāpāro vṛttirityucyate / tatra karaṇanirdeśe śrotrendriyasya	vyApAraH vRttiH iti ucyate / tatra karaNa nirdeSe Srotra indriyasya
   prākpāṭhāttadviṣayanirdeśātilaṃghane prayojanaṃ nāstīti kṛtvā śabdādiṣu	prAc pAWAt tad vizaya nirdeSa ati laMGane prayojanam na asti iti kRtvA Sabda Adizu
   pañcānāmityeva paṭhitavyam / prāktanastu pramādapāṭhaḥ /	paQcAnAm iti eva paWitavyam / prAktanaH tu pramAda pAWaH /
        yatpunaretaduktaṃ kiṃlakṣaṇeti atra brūmaḥ  ālocanamātramiṣyate /	yat punar etat uktam kiMlakzaNa iti atra brUmaH Alocana mAtram izyate /
   ālocanaṃ grahaṇamityanarthāntaram / mātraśabdo viśeṣanivṛttyarthaḥ /	Alocanam grahaNam iti anarTa antaram / mAtra SabdaH viSeza nivRtti arTaH /
   tadyathā bhaikṣamātramasmingrāme labhyata ityukte nānyo viśeṣa iti jñāyate	tat yaTA BEkza mAtram asmin grAme laByate iti ukte na anyaH viSezaH iti jQAyate
   / chandromātramadhīte māṇavaka ityukte nānyadadhīta iti /	/ CandraH mAtram aDIte mANavakaH iti ukte na anyat aDItaH iti /
   evamālocanamātramindriyāṇāmiṣyate vṛttirityukte nānyo viśeṣa iti gamyate /	evam Alocana mAtram indriyANAm izyate vRttiH iti ukte na anyaH viSezaH iti gamyate /
   tena kiṃ siddhaṃ bhavati ? yaduktamanyairācāryaiḥ sāmānyajñānamindriyāṇāṃ	tena kim sidDam Bavati ? yat uktam anyEH AcAryEH sAmAnya jQAnam indriyANAm
   viśeṣajñānaṃ buddheriti tatpratiṣiddhaṃ bhavati /	viSeza jQAnam budDeH iti tat pratizidDam Bavati /
        āha, kaḥ punarasmindarśane doṣo yata etatpratiṣidyata iti ?	Aha, kaH punar asmin darSane dozaH yatas etat pratizidyate iti ?
        ucyate  sāmānyaviśeṣayoritaretarāpekṣatve	ucyate sAmAnya viSezayoH itaretara apekza tve
   satyekasminnavirodhādanyataraparikalpanānarthakyam / yadi khalvindriyasya	sati ekasmin= aviroDAt anyatara parikalpanA narTakyam / yadi Kalu indriyasya
   sāmānyajñānaṃ na syāttena viśeṣāpekṣaṃ sāmānyaṃ sāmānyāpekṣaśca viśeṣa iti	sAmAnya jQAnam na syAt tena viSeza apekzam sAmAnyam sAmAnya apekzaH ca viSezaH iti
   yatra sāmānyajñānaṃ tatra viśeṣajñānamapi na pratiṣidhyata	yatra sAmAnya jQAnam tatra viSeza jQAnam api na pratiziDyata
   ityubhayamapīndriyasya syāt / tataścāntaḥkaraṇaparikalpanānarthakyam /	iti uBayam api indriyasya syAt / tatas ca antaHkaraNa parikalpana AnarTakyam /
   viśeṣavato vāntaḥkaraṇasya kaḥ sāmānyena virodha ityubhayasyāpi tatra	viSezavataH vA antaHkaraNasya kaH sAmAnyena viroDaH iti uBayasya api tatra
   sambhavādindriyānarthakyam / tasmādapratyayamindriyamiti / indriyasya	samBavAt indriya AnarTakyam / tasmAt apratyayam indriyam iti / indriyasya
   cetpratyayaḥ syādyathā pratyayavato 'ntaḥkaraṇasyāniyataviṣayatvam,	ced pratyayaH syAt yaTA pratyayavataH antaHkaraNasya aniyata vizaya tvam,
   evamasyāpi syāt na tu tadasti / tasmādapratyayamindriyamiti / kiṃca	evam asya api syAt na tu tat asti / tasmAt apratyayam indriyam iti / kiMca
   kālātivṛttiprasaṃgāt / indriyasya cetpratyayaḥ syādyathā pratyayavato	kAla ativRtti prasaMgAt / indriyasya ced pratyayaH syAt yaTA pratyayavataH 
   'ntaḥkaraṇasya trikālaviṣayatvamevamasyāpi syāt / na tu tadasti /	antaHkaraNasya tri kAla vizaya tvam evam asya api syAt / na tu tat asti /
   tasmādapratyayamindriyamiti / kiṃ cānyat smṛtyadarśanāt / indriyasya	tasmAt apratyayam indriyam iti / kim ca anyat smRtya darSanAt / indriyasya
   cetpratyayaḥ syādyathā pratyayavato 'ntaḥkaraṇasyādirūpopapattirevamatrāpi	ced pratyayaH syAt yaTA pratyayavataH antaHkaraNasya Adi rUpa upapattiH evam atra api
   syāt / na tu tadasti / tasmādapratyayamindriyaṃ siddhamiti /	syAt / na tu tat asti / tasmAt apratyayam indriyam sidDam iti /
        ucyate  na kāraṇāntaraprasaṃgāt / yadi pradīpavadindriyaṃ prakāśakaṃ	ucyate na kAraNa antara prasaMgAt / yadi pradIpa vat indriyam prakASakam
   syāttena yathā tatprakāśiteṣu ghaṭādiṣvartheṣu	syAt tena yaTA tad prakASitezu Gawa Adizu arTezu
   karaṇāntaramārgaṇamevamatrāpi syāt / na caitadiṣṭam / ato na	karaNa antara mArgaNam evam atra api syAt / na ca etat izwam / atas na
   pradīpavadindriyaṃ prakāśakamiti / antaḥkaraṇasadbhāvādayuktamiti cet	pradIpa vat indriyam prakASakam iti / antaHkaraNa sadBAvAt ayuktam iti ced 
   syānmatam  asti kāraṇāntaraṃ buddhilakṣaṇaṃ yadindriyeṇa	syAt matam asti kAraNa antaram budDi lakzaNam yat indriyeNa
   pradīpavatprakāśitamarthaṃ gṛhṇāti / tasmātparavādānuvādo 'yaṃ kriyate, na	pradIpa vat prakASitam arTam gRhNAti / tasmAt para vAda anuvAdaH ayam kriyate, na
   pratiṣedha iti / tacca naivam / kasmāt ?	pratizeDaH iti / tat ca na evam / kasmAt ?
   pradīpendriyayoranyatarānupādānaprasaṃgāt / indriyamapi prakāśakam,	pradIpa indriyayoH anyatara anupAdAna prasaMgAt / indriyam api prakASakam,
   pradīpo 'pi / tatrānyatarasyānupādānaṃ prasaktam / kasmāt ? na	pradIpaH api / tatra anyatarasya anupAdAnam prasaktam / kasmAt ? na
   hyekārthakāriṇo yugapatkaraṇe sāmarthyamastīti / kiṃ cānyat /	hi eka arTa kAriNaH yugapad karaNe sAmarTyam asti iti / kim ca anyat /
   antaḥkaraṇahāneḥ / indriyeṇa	antaHkaraNa hAneH / indriyeNa
   pradīpavatprakāśitānbāhyānarthānsākṣādantaḥkaraṇaṃ gṛhṇātīti vadato	pradIpa vat prakASitAn bAhyAn arTAn sAkzAt antaHkaraNam gRhNAti iti vadataH 
   'ntaḥkaraṇameva hīyate / tasmādayuktamantaḥkaraṇasya sāmarthyam /	antaHkaraNam eva hIyate / tasmAt ayuktam antaHkaraNasya sAmarTyam /
   puruṣasyeti cenna karaṇānarthakyaprasaṃgāt / sākṣādviṣayagrahaṇasamarthaṃ	puruzasya iti ced na karaNa anarTakya prasaMgAt / sAkzAt vizaya grahaNa samarTam
   puruṣamicchataḥ karaṇānarthakyaṃ prasajyate / tasmādyuktametat	puruzam icCataH karaNa AnarTakyam prasajyate / tasmAt yuktam etat 
   grāhakamindriyaṃ na tu pradīpavatprakāśakamiti /	grAhakam indriyam na tu pradIpa vat prakASakam iti /
        āha, bhavatu tāvad grahaṇamātramindriyavṛttirapratyayā /	Aha, Bavatu tAvat grahaNa mAtram indriya vRttiH apratyayAH /
   grahaṇapratyayaprakāśābhedaḥ ?	grahaNa pratyaya prakASa aBedaH ?
        ucyate  viṣayasamparkāttādrūpyāpattirindriyavṛttigrahaṇaṃ, tathā	ucyate vizaya samparkAt tAt rUpya ApattiH indriya vRtti grahaNan, taTA
   viṣayendriyavṛttyanukāreṇa niścayo gaurayaṃ śuklo dhāvatītyevamādiḥ	vizaya indriya vRtti anukAreNa niScayaH gOH ayam SuklaH DAvati iti evamAdiH
   pratyayaḥ / tathā viṣayasamparkāgame śrotrādivṛtteḥ tādrūpyāgamo	pratyayaH / taTA vizaya samparka Agame Srotra Adi vRtteH tAdrUpya AgamaH 
   vartamānakālatā, grahaṇasyānubhavāttu saṃskārādhānaṃ tatpūrvikā ca	vartamAna kAlatA, grahaNasya anuBavAt tu saMskAra ADAnam tat pUrvikA ca
   smṛtiriti trikālaviṣayā pratyayasyetyayamanayorviśeṣaḥ / bāhyastu prakāśo	smRtiH iti tri kAla vizayA pratyayasya iti ayam anayoH viSezaH / bAhyaH tu prakASaH 
   na viṣayarūpāpannaḥ / saṃskārāttu ghaṭādīnāṃ vyavadhānarūpaṃ pārthivaṃ	na vizaya rUpa ApannaH / saMskArAt tu Gawa AdInAm vyavaDAna rUpam pArTivam
   chāyālakṣaṇaṃ vyañjakatvāya kalpate, cakṣuṣo 'nugrahāya / ubhayorvā	CAyA lakzaNam vyaQjaka tvAya kalpate, cakzuzaH anugrahAya / uBayoH vA
   cakṣurviṣayayorityapare / tasmādupapannametat prakāśakaṃ pradīpādi,	cakzuH vizayayoH iti apare / tasmAt upapannam etat prakASakam pradIpa Adi,
   grāhakaṃ śrotrādi, vyavasāyakamantaḥkaraṇamiti /	grAhakam Srotra Adi, vyavasAyakam antaHkaraNam iti /
        atha karmendriyāṇāṃ kā vṛttirityucyate  naiyāyikāstvevamāhuḥ 	aTa karmendriyANAm kA vRttiH iti ucyate nEyAyikAH tu evam AhuH 
   ghrāṇarasanacakṣustvakcchrotrāṇīndriyāṇi bhūtebhyaḥ / bhūtebhya ityanena	GrANa rasana cakzuH tvakcSrotrANi indriyANi BUteByaH / BUteByaH iti anena
   svaviṣayopalabdhilakṣaṇaṃ hīndriyāṇāṃ bhūtaprakṛtitve sati nirvahati (?)	sva vizaya upalabDi lakzaNam hi indriyANAm BUta prakRti tve sati nirvahati (?)
   nānyathā / tāni punarindriyakāraṇāni pṛthivyaptejovāyurākāśamiti bhūtāni /	na anyaTA / tAni punar indriya kAraNAni pRTivI ap tejaH vAyuH AkASam iti BUtAni /
   ebhyaḥ pañcabhyo yathāsaṃkhyaṃ ghrāṇarasanacakṣustvakcchrotrāṇi	eByaH paQcaByaH yaTAsaMKyam GrANa rasana cakzuH tvakcSrotrANi
   pañcendriyāṇi bhavanti / bhūtaprakṛtitvamiti bhūtasvabhāvaṃ vyākhyāyamānaṃ	paQca indriyANi Bavanti / BUta prakRti tvam iti BUta svaBAvam vyAKyAyamAnam
   pañcasvapi sambhavati / bhūtakāraṇatvaṃ tvanyeṣu caturṣu tathaiva / śrotre	paQcasu api samBavati / BUtakAraNa tvam tu anyezu caturzu taTA eva / Srotre
   tu kathaṃcitkarṇaśaṣkulyavacchinnanabhobhāgābhiprāyeṇa vyavahārataḥ	tu kaTaMcid karNa SazkulI avacCinna naBaH BAga aBiprAyeNa vyavahArataH
   samarthanīyam / evaṃ bhautikānīndriyāṇi svasvaviṣayamadhigantumutsahanta	samarTanIyam / evam BOtikAni indriyANi sva sva vizayam aDigantum utsahanta
   iti tallakṣaṇatvameṣāṃ sidhyatīti, ato bhūtebhya ityuktam / etattu	iti tad lakzaNa tvam ezAm siDyati iti, atas BUteByaH iti uktam / etat tu
   sāṃkhyācāryāṇāṃ neṣṭam / evaṃ hi sāṃkhyavṛddhā āhuḥ  āhaṅkārikāṇīndriyāṇi	sAMKya AcAryANAm na izwam / evam hi sAMKya vRdDAH AhuH AhaFkArikANi indriyANi
   arthaṃ sādhayitumarhanti nānyathā / tathā hi kārakaṃ kārakatvādeva	arTam sADayitum arhanti na anyaTA / taTA hi kArakam kAraka tvAt eva
   prāpyakāri bhavati / bhautikāni cendriyāṇi kathaṃ prāpyakārīṇi duravartini	prApya kAri Bavati / BOtikAni ca indriyANi kaTam prApya kArINi duravartini
   viṣaye bhaveyuḥ ? āhaṃkārikāṇāṃ tu teṣāṃ vyāpakatvāt /	vizaye BaveyuH ? AhaMkArikANAm tu tezAm vyApaka tvAt /
   viṣayākārapariṇāmātmikā vṛttirvṛttimato 'nanyā satī sambhavatyeveti	vizaya AkAra pariNAma AtmikA vRttiH vRttimataH ananyA satI samBavati eva iti
   suvacaṃ prāpyakāritvam api ca mahadaṇuguṇagrahaṇamāhaṅkāritve teṣāṃ	su vacam prApya kAri tvam api ca mahat aNu guNa grahaNamAhaFkAri tve tezAm
   kalpate, na bhautikatve / bhautikatve hi yatparimāṇaṃ karaṇaṃ tatparimāṇaṃ	kalpate, na BOtika tve / BOtika tve hi yat parimANam karaNam tad parimANam
   grāhyaṃ gṛhṇīyāt /	grAhyam gRhNIyAt /
        āha, atha karmendriyāṇāṃ kā vṛttiriti ?	Aha, aTa karmendriyANAm kA vRttiH iti ?
        ucyate 	ucyate 
        vacanādānaviharaṇotsargānandāśca pañcānām // ISk_28 //	vacana AdAna viharaNa utsarga AnandAH ca paQcAnAm // ISc _28 //
        vākpāṇipādapāyūpasthānāṃ tu vacanādānaviharaṇotsargānandalakṣaṇā	vAc pANi pAda pAyu upasTAnAm tu vacana AdAna viharaNa utsarga Ananda lakzaNA
   yathākramaṃ vṛttayaḥ pratyavagantavyāḥ / tatrocyate 'neneti vacanam /	yaTAkramam vRttayaH pratyavagantavyAH / tatra ucyate anena iti vacanam /
   tasmādya evārthapratyāyanasamartho varṇasamudāyaḥ	tasmAt yaH eva arTa pratyAyana samarTaH varNa samudAyaH
   padavākyaślokagranthalakṣaṇaḥ sa vāgindriyasyārtho nānyaḥ / ādīyate	pada vAkyaSloka granTa lakzaNaH sa vAc indriyasya arTaH na anyaH / AdIyate
   'nenetyādānam / āṅabhividhyarthe prayujyate / tataśca yadeva	anena iti AdAnam / AFaBiviDi arTe prayujyate / tatas ca yat eva
   prakṣālanaparimārjanopasparśanādhyayanapraharaṇaśilpavyāyāmādi kṛtsnaṃ	prakzAlana parimArjana upasparSana aDyayana praharaNa Silpa vyAyAma Adi kRtsnam
   grahaṇaṃ sa indriyārthā nānyaḥ / viśiṣṭaṃ haraṇaṃ viharaṇam / ataśca	grahaNam saH indriya arTAH na anyaH / viSizwam haraNam viharaNam / atas ca
   yadeva samaviṣamanimnonnatacaṅkramaṇaparivartananāṭyavyāyāmādiḥ sa	yat eva sama vizama nimna unnata caFkramaNa parivartana nAwya vyAyAma AdiH sa
   indriyārtho nānyaḥ / evamutkṛṣṭaḥ sarga utsargaḥ / nānyaḥ / ataśca ya	indriya arTaH na anyaH / evam utkRzwaH sargaH utsargaH / na anyaH / atas ca ya
   evāśitapītavipariṇāmasya samyakstrotomārgānusāriṇo visargaḥ sa indriyārtho	eva aSita pIta vipariNAmasya samyak stra utaH mArga anusAriNaH visargaH saH indriya arTaH 
   nānyaḥ / evamabhivyāpyānandamānandaḥ / tataśca ya	na anyaH / evam aBivyApya Anandam AnandaH / tatas ca ya
   evāsādhāraṇaprītinayanābhiniṣpattilakṣaṇaḥ sa indriyārtho nānyaḥ // 28 //	eva asADAraNa prIti nayana aBinizpatti lakzaNaH saH indriya arTaH na anyaH // 28 //
             kārikā 29	kArikA 29
        āha, prāgantaḥkaraṇavṛttinirdeśaḥ, sargakramānugamātpūrvaṃ	Aha, prAc antaHkaraNa vRtti nirdeSaH, sarga krama anugamAt pUrvam
   buddhyahaṃkāramanasāṃ vṛttinirdeśaḥ kartavyaḥ / kiṃ kāraṇam ? evaṃ hi	budDi ahaMkAra manasAm vRtti nirdeSaH kartavyaH / kim kAraNam ? evam hi
   sargakramo 'nugato bhavati / kramabhede vā prayojanaṃ vaktavyamiti /	sarga kramaH anugataH Bavati / krama Bede vA prayojanam vaktavyam iti /
        ucyate  na, indriyavṛttipūrvakatvāt / antaḥkaraṇasya hi	ucyate na, indriya vRtti pUrvaka tvAt / antaHkaraNasya hi
   indriyavṛttipravartakaḥ pratyayaḥ / tathā ca vakṣyati  dṛṣṭe tathāpyadṛṣṭe	indriya vRtti pravartakaH pratyayaH / taTA ca vakzyati dRzwe taTA api adRzwe
   trayasya tatpūrvikā vṛttiriti (ISk 30) / tasmātsargakrameṇa vinā	trayasya tad pUrvikA vRttiH iti (ISj 30) / tasmAt sarga krameNa vinA
   tannirdeśaḥ prāgācāryeṇa kriyate iti /	tat nirdeSaH prAc AcAryeNa kriyate iti /
        āha, tadasambhavaḥ, śāstre prāgabhimānābhidhānāt / śāstraṃ hyevamāha 	Aha, tad asamBavaH, SAstre prAc aBimAna aBiDAnAt / SAstram hi evam Aha 
   kā nu bhoḥ saṃjñā māturudare 'vasthitaṃ kumāraṃ pratyabhinirviśata iti ?	kA nu BoH saMjQA mAtuH udare avasTitam kumAram pratyaBinirviSate iti ?
   asmītyeṣā māhātmī saṃviditi / tathā kāryakāraṇavyūhasamakālaṃ	asmi iti ezA mAhAtmI saMvid iti / taTA kArya kAraNa vyUha sama kAlam
   māhātmyaśarīro 'smīti pratibuddhyate / pravṛttāścaiva hyavyaktā	mAhAtmya SarIraH asmi iti pratibudDyate / pravRttAH ca eva hi avyaktA
   bhavantyasmītyasmitāmātrāḥ / pramāṇaṃ ca śāstram /	Bavanti asmi iti asmitA mAtrAH / pramANam ca SAstram /
   tasmātprāgantaḥkaraṇanirdeśaḥ kartavyaḥ /	tasmAt prAc antaHkaraNa nirdeSaH kartavyaH /
        ucyate  tannimittārthena vivakṣitatvāt / satyametat	ucyate tad nimitta arTena vivakzita tvAt / satyam etat 
   kāryakāraṇavyūhaniṣpattisamakālamasmītyeṣā māhātmī saṃvit pratyupadhīyate	kArya kAraNa vyUha nizpatti sama kAlam asmi iti ezA mAhAtmI saMvid pratyupaDIyate
   / śabdādiviṣayastvantaḥkaraṇapratyayaḥ śrotrādinimitta iti /	/ Sabda Adi vizayaH tu antaHkaraNa pratyayaH Srotra Adi nimittaH iti /
   etatpūrvaśabdena vivakṣitam / na ca nimittamatikramya naimittikābhidhānaṃ	etat pUrva Sabdena vivakzitam / na ca nimittam atikramya nEmittika aBiDAnam
   nyāyyam /	nyAyyam /
        athavā naiva vayamidaṃ praṣṭavyā yathā prāgantaḥkaraṇavṛttinirdeśaḥ	aTavA na eva vayam idam prazwavyAH yaTA prAc antaHkaraNa vRtti nirdeSaH
   kartavya iti / kiṃ kāraṇam ? yasmāt	kartavyaH iti / kim kAraNam ? yasmAt 
        svālakṣaṇyaṃ vṛttistrayasya	svAlakzaNyam vRttiH trayasya
        svalakṣaṇameva svālakṣaṇyam / svārthe taddhitavṛttiḥ, anyabhāvastu	sva lakzaNam eva svAlakzaNyam / sva arTe tad hita vRttiH, anya BAvaH tu
   kālaśabdavyavāyāditi / yathā buddhyahaṃkāramanasāṃ hi saukṣmyānna śakyaṃ	kAla Sabda vyavAyAt iti / yaTA budDi ahaMkAra manasAm hi sOkzmyAt na Sakyam
   svarūpamabhidhātumityato vṛttireva lakṣaṇabhāvenopadiśyate /	svarUpam aBiDAtum iti atas vRttiH eva lakzaNa BAvena upadiSyate /
   śrotrādīnāmapi ca saukṣmyāllakṣaṇamapadeṣṭumaśakyamiti vṛttirevocyate, na	Srotra AdInAm api ca sOkzmyAt lakzaNam apadezwum aSakyam iti vRttiH eva ucyate, na
   lakṣaṇam / tadeva caiṣā lakṣaṇaṃ bhavati / yacchabdālocanasamarthaṃ	lakzaNam / tat eva ca ezA lakzaNam Bavati / yat Sabda Alocana samarTam
   tacchrotram / evamitareṣvapi vaktavyam / buddhyahaṃkāramanasāṃ ca	tat Srotram / evam itarezu api vaktavyam / budDi ahaMkAra manasAm ca
   lakṣaṇamadhyavasāyādyuktam / tadeva vṛttitvenācakṣāṇaḥ śrotrādīnāmeva	lakzaNa maDyavasAyAdi uktam / tat eva vRtti tvena AcakzANaH Srotra AdInAm eva
   cābhidadhānaṃ lakṣaṇaṃ cāpyācakṣāṇo vṛttivṛttimatorananyatvaṃ jñāpayati /	ca aBidaDAnam lakzaNam ca api AcakzANaH vRtti vRttim atoH ananya tvam jQApayati /
   anyathā tu yathādhyavasāyādi lakṣaṇamevaṃ rūpādiṣu pañcānāmalocanamātraṃ	anyaTA tu yaTA aDyavasAya Adi lakzaNam evam rUpa Adizu paQcAnAm alocana mAtram
   lakṣaṇamityucyate, na tu vṛttiriti / śrotrādivad buddhyādīnāmapi	lakzaNam iti ucyate, na tu vRttiH iti / Srotra Adi vat budDi AdInAm api
   vyavasāyādayo vṛttirityucyate, na tu lakṣaṇam / tasmādanyathā nirdeśo	vyavasAya AdayaH vRttiH iti ucyate, na tu lakzaNam / tasmAt anyaTA nirdeSaH 
   jñāpakaṃ vṛttivṛttimatoranyatvasyeti vyākhyātā karaṇavṛttiḥ /	jQApakam vRtti vRttim atoH anyatvasya iti vyAKyAtA karaNa vRttiH /
        saiṣā bhavatyasāmānyā /	sA ezA Bavati asAmAnyA /
        seti pūrvakṛtāṃ vṛttimabhisambadhnāti / eṣeti sarvanāmnā pratyākṛṣṭāṃ	sA iti pUrva kRtAm vRttim aBisambaDnAti / ezA iti sarva nAmnA pratyAkRzwAm
   tāmeva pratyakṣaṃ prati nirdiśati / bhavatīti vakṣyamāṇena	tAm eva pratyakzam prati nirdiSati / Bavati iti vakzyamANena
   dharmāntareṇāsyāstadvattānubhāvitaṃ khyāpayati / asāmānyeti dharmamācaṣṭe	Darma antareNa AsyAH tadvat ta anuBAvitam KyApayati / asAmAnya iti Darmam Acazwe
   / sāmānyā sādhāraṇetyarthaḥ / na sāmānyāsāmānyā / pratikaraṇaṃ	/ sAmAnyA sADAraNA iti arTaH / na sAmAnya asAmAnyA / pratikaraNam
   niyatetyuktaṃ bhavati / yā hīyamanukrāntā karaṇaparvaṇo 'dhyavasayādikā	niyata iti uktam Bavati / yA hi iyam anukrAntA karaNaparvaNaH aDyavasaya AdikA
   vṛttiriyaṃ vyastānāṃ karaṇānāṃ pratisvaṃ niyatā / tataścaiṣāṃ buddhyādīnāṃ	vRttiH iyam vyastAnAm karaNAnAm pratisvam niyatA / tatas ca ezAm budDi AdInAm
   kāryaviśeṣanimittabhāvasaṃsūcitasya svarūpasyāsaṃkaraḥ siddhaḥ /	kArya viSeza nimitta BAva saMsUcitasya svarUpasya asaMkaraH sidDaH /
        āha, sāmānyaviśeṣayoritaretarāpekṣatvādasāmānyābhidhānena	Aha, sAmAnya viSezayoH itaretara apekza tvAt asAmAnya aBiDAnena
   sāmānyasyāpyabhidhānādadhyavasāyādikā karaṇānāmasāmānyā vṛttirityukte	sAmAnyasya api aBiDAnAt aDyavasAya AdikA karaNAnAm asAmAnyA vRttiH iti ukte
