   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   saṃtatasthūladhāreṇa cirāt prabhṛti rohatā /	saMtata-sTUla-DAreNa cirAt praBRti rohatA /
   khinnāham adhunānena rodanena garīyasā // AKad_7.19 //	KinnA-aham aDunA-anena rodanena garIyasA // AKat-_7.19 //
   yathāyogyena gacchāmi na hi śaknomi roditum /	yaTAyogyena gacCAmi na hi Saknomi roditum /
   sakhi me darśitaḥ panthā nāthenaiva mahātmanā // AKad_7.20 //	saKi me darSitaH panTAH nATena-eva mahAtmanA // AKat-_7.20 //
   ayaṃ suhṛdviyogena nārodīdvilalāpa vā /	ayam suhRd-viyogena nAra-udIt-vilalA-apa vA /
   prāṇāneva priyānaujjhītsa panthāḥ kva gato mama // AKad_7.21 //	prANAn-eva priyAnOjJIt-sa panTAH kva gataH mama // AKat-_7.21 //
   yuktaṃ sakhi mahāśvete tava prāṇitum īdṛśam /	yuktam saKi mahA-Svete tava prANitum IdRSam /
   jīvitā devatābhis tvaṃ punas tatsaṃgamāśayā // AKad_7.22 //	jIvitAH devatABiH tvam punar tad-saMgama-ASayAH // AKat-_7.22 //
   ahaṃ sarvaprakāraṃ tu vidhibhagnamanorathā /	aham sarva-prakAram tu viDi-Bagna-manoraTAH /
   karomi durbhagaiḥ prāṇaiḥ kiṃ kalyāṇabahiṣkṛtā // AKad_7.23 //	karomi durBagEH prANEH kim kalyANa-bahizkRtA // AKat-_7.23 //
   madalekhe tathā kuryās tāto 'mbā ca kule sthitau /	mada-leKe taTA kuryAH tAtaH ambA ca kule sTitO /
   madviyogopatāpena yathā na dhṛtim ujjhataḥ // AKad_7.24 //	mad-viyoga-upatApena yaTA na DRtim ujJataH // AKat-_7.24 //
   svayam evāsitavyaṃ tu madvāsabhavane tvayā /	svayam eva-asitavyam tu mad-vAsa-Bavane tvayA /
   yathā maṇigavākṣeṣu śerate noṇanābhayaḥ // AKad_7.25 //	yaTA maNi-gavAkzezu Serate noNana-aBayaH // AKat-_7.25 //
   kumāras tatra citrastho mayaiva likhitaḥ svayam /	kumAraH tatra citra-sTaH mayA-eva liKitaH svayam /
   rakṣaṇīyo yathā nāstam eti citrasthito 'py asau // AKad_7.26 //	rakzaNIyaH yaTA na-astam eti citra-sTitaH api asO // AKat-_7.26 //
   śayanīyaśirobhāge ratnabhittiniveśitaḥ /	SayanIya-SiraH-BAge ratna-Bitti-niveSitaH /
   kāmadevapaṭaḥ kvāpi nikṣeptavyo vṛthārcitaḥ // AKad_7.27 //	kAmadeva-pawaH kvApi nikzeptavyaH vRTA-arcitaH // AKat-_7.27 //
   krīḍāparvatako deyaḥ praśāntāya tapasvine /	krIxA-parvatakaH deyaH praSAntAya tapasvine /
   tatroṣitaṃ kumāreṇa na hi so 'nyasya śobhate // AKad_7.28 //	tatra-uzitam kumAreNa na hi saH anyasya SoBate // AKat-_7.28 //
   dīrghikārāmamadhye me padminīkhaṇḍamaṇḍitā /	dIrGika-ArAma-maDye me padminI-KaNxa-maNxitAH /
   tatrāste kṛtavāstavyaṃ rājahaṃsakadambakam // AKad_7.29 //	tatra-Aste kRta-vAstavyam rAjahaMsa-kadambakam // AKat-_7.29 //
   dhārāyantraiḥ prapūrṇā ca krīḍāvāpī tadantike /	DArAyantrEH prapUrNA ca krIxA-vApI tad-antike /
   snehān mayā svayaṃ siktam asti līlāvanaṃ navam // AKad_7.30 //	snehAt mayA svayam siktam asti lIlA-vanam navam // AKat-_7.30 //
   tasmin kṛtanavodvāhā bakule mālatī mayā /	tasmin kRta-nava-udvAhA bakule mAlatI mayA /
   muktaḥ kaṅkaṇako nāsyā mocanīyas tvayaiva saḥ // AKad_7.31 //	muktaH kaFkaNakaH na-asyAH mocanIyaH tvayA-eva saH // AKat-_7.31 //
   mayā putrīkṛtaś cāsāv aśokatarubālakaḥ /	mayA putrIkRtaH ca-asO aSokataru-bAlakaH /
   vardhanīyaḥ svahastāmbusekaiḥ stanyapayonibhaiḥ // AKad_7.32 //	varDanIyaH sva-hasta-ambu-sekEH stanya-payoniBEH // AKat-_7.32 //
   gṛhe muhur apaśyantī mām asau capalekṣaṇā /	gRhe muhur apaSyantI mAm asO capala-IkzaNAH /
   nūnaṃ hariṇikā cāste prāpayes tāṃ ca kānanam // AKad_7.33 //	nUnam hariNikA ca-Aste prApayeH tAm ca kAnanam // AKat-_7.33 //
   śukaḥ sa parihāso me kālinī sā ca śārikā /	SukaH sa parihAsaH me kAlinI sA ca SArikAH /
   yathā na kalahāyete tathā kuryāḥ pratikṣaṇam // AKad_7.34 //	yaTA na kalahAyete taTA kuryAH pratikzaNam // AKat-_7.34 //
   nityam eva madutsaṅgalālitā nakulāṅganā /	nityam eva mad-utsaFga-lAlitA nakula-aFganA /
   svāṅke śāyayitavyāsau yathā yāti na dūrataḥ // AKad_7.35 //	sva-aFke SAyayita-vyAsO yaTA yAti na dUratas // AKat-_7.35 //
   kiṃ kāryam athavā gehe cintayā dīrghayānayā /	kim kAryam aTavA gehe cintayA dIrGayA-anayA /
   sampādaya citām āśu prajvalajjātavedasam // AKad_7.36 //	sampAdaya citAm ASu prajvalat-jAtavedasam // AKat-_7.36 //
   keyūraka ciraṃ kiṃ mām atidīnām avekṣase /	keyUraka ciram kim mAm ati-dInAm avekzase /
   uttiṣṭha cinu kāṣṭhāni samāhāra hutāśanam // AKad_7.37 //	uttizWa cinu kAzWAni samAhAra hutASanam // AKat-_7.37 //
   lāvaṇyāmbumayo dehaḥ kriyate katham agnisāt /	lAvaNya-ambu-mayaH dehaH kriyate kaTam agnisAt /
   kumāram amum ādāya patāmi varam ambhasi // AKad_7.38 //	kumAram amum AdAya patAmi varam amBasi // AKat-_7.38 //
   kumāre mitraduḥkhena tatkṣaṇojjhitajīvite /	kumAre mitra-duHKena tad-kzaNa-ujJita-jIvite /
   iyantam api jīvantī kālaṃ lajje 'ham ātmanā // AKad_7.39 //	iyantam api jIvantI kAlam lajje aham AtmanA // AKat-_7.39 //
   draṣṭavyāsi kadety evam abhidhāyaiva māṃ gataḥ /	drazwavyA-asi kadA-iti evam aBiDAya-eva mAm gataH /
   seyaṃ cirayatīty evam adhunābhidadhīta saḥ // AKad_7.40 //	sA-iyam cirayati-iti evam aDunA-aBidaDIta saH // AKat-_7.40 //
   iti kādambarīṃ sadyo maraṇavyavasāyinīm /	iti kAdambarIm sadyas maraNa-vyavasAyinIm /
   śiśirajyotirālokya kampamāna ivābhavat // AKad_7.41 //	SiSirajyotiH-Alokya kampamAnaH iva-aBavat // AKat-_7.41 //
   yena dugdhābdhikallolaplāvyamāna ivābhavat /	yena dugDa-abDi-kallola-plAvyamAnaH iva-aBavat /
   pravṛttadantavīṇaś ca sakalaḥ kanyakājanaḥ // AKad_7.42 //	pravRtta-danta-vINaH ca sakalaH kanyakA-janaH // AKat-_7.42 //
   atha divyākṛtiḥ ko 'pi puruṣo gaganasthitaḥ /	aTa divya-AkRtiH kaH api puruzaH gagana-sTitaH /
   garjadghanaghaṭādhīragambhīradhvanirabhyadhāt // AKad_7.43 //	garjat-Gana-Gawa-aDIra-gamBIra-DvaniH-aByaDAt // AKat-_7.43 //
   tvaṃ hi vatse mahāśvete pūrvamāśvāsitā mayā /	tvam hi vatse mahA-Svete pUrvam-ASvAsitAH mayA /
   sthito madantike 'dyāpi puṇḍarīkastava priyaḥ // AKad_7.44 //	sTitaH mad-antike adya-api puNxarIkaH-tava priyaH // AKat-_7.44 //
   candrāpīḍas tv ayaṃ kiñcitkālaṃ nidrāyamāṇavat /	candrApIxaH tu ayam kiQcid-kAlam nidrAyamANa-vat /
   atraivāvicalatkāntir āstāṃ kādambarīpriyaḥ // AKad_7.45 //	atra-eva-avicalat-kAntiH AstAm kAdambarI-priyaH // AKat-_7.45 //
   anena hi punar labdhanirāpāyasthirāyuṣā /	anena hi punar labDa-nirApAya-sTira-AyuzA /
   gāḍhakaṇṭhagrahānandaḥ kādambaryāḥ kariṣyate // AKad_7.46 //	gAXa-kaNWa-graha-AnandaH kAdambaryAH karizyate // AKat-_7.46 //
   bhavatyor ayam evāstu cittasampratyayo dṛḍhaḥ /	BavatyoH ayam eva-astu citta-sampratyayaH dRXaH /
   na sprakṣyati vikāro yad enaṃ bhūtasvabhāvajaḥ // AKad_7.47 //	na sprakzyati vikAraH yat enam BUta-svaBAva-jaH // AKat-_7.47 //
   ity uktvā jyotiṣā tena sahasaiva tirodadhe /	iti uktvA jyotizA tena sahasA-eva tirodaDe /
   savismayas tadā cābhūd akhilaḥ kanyakājanaḥ // AKad_7.48 //	sa-vismayaH tadA ca-aBUt aKilaH kanyakA-janaH // AKat-_7.48 //
   pattralekhā ca tenaiva jyotiṣo vacanena sā /	pattraleKA ca tena-eva jyotizaH vacanena sA /
   labdhasaṃjñā samutthāya gatvā ca tvaritaiḥ padaiḥ // AKad_7.49 //	labDa-saMjQA samutTAya gatvA ca tvaritEH padEH // AKat-_7.49 //
   tam indrāyudhanāmānam aśvam ādāya kesarāt /	tam indrAyuDa-nAmAnam aSvam AdAya kesarAt /
   tenaiva sahitāgādham aviśan madhyam ambhasaḥ // AKad_7.50 //	tena-eva sahita-agADam aviSat maDyam amBasaH // AKat-_7.50 //
   śaṅkiteva ca tāṃ vegayātāṃ taralikānvagāt /	SaFkitA-iva ca tAm vegayAtAm taralikA-anvagAt /
   sā dadarśa payomadhyād udgacchantaṃ kapiñjalam // AKad_7.51 //	sA dadarSa payaH-maDyAt udgacCantam kapiQjalam // AKat-_7.51 //
   prasṛtya vyācacakṣe ha yathālokitamadbhutam /	prasRtya vyAcacakze ha yaTAlokitam-adButam /
   tenāpi vismayastāsāṃ kanyānāṃ vavṛdhetarām // AKad_7.52 //	tena-api vismayaH-tAsAm kanyAnAm vavRDa-itarAm // AKat-_7.52 //
   atha bibhraj jaṭās tanvīḥ srutāmbukaṇadanturāḥ /	aTa biBrat jawAH tanvIH sruta-ambu-kaNa-danturAH /
   jalārdravalkalas tābhir adṛśyata kapiñjalaḥ // AKad_7.53 //	jala-Ardra-valkalaH tABiH adRSyata kapiQjalaH // AKat-_7.53 //
   svayam evopasṛtyāsau mahāśvetām abhāṣata /	svayam eva-upasRtya-asO mahA-SvetAm aBAzata /
   rājaputry api nāmāyaṃ pratyabhijñāyate janaḥ // AKad_7.54 //	rAja-putrI api nAma-ayam pratyaBijQAyate janaH // AKat-_7.54 //
   ahaṃ kapiñjalas tasya vayasyo dayitasya te /	aham kapiQjalaH tasya vayasyaH dayitasya te /
   cirāgamanadaurātmyād upālabhyo 'smi na tvayā // AKad_7.55 //	cira-Agamana-dOrAtmyAt upAlaByaH asmi na tvayA // AKat-_7.55 //
   kādambaryā tvayā caitāḥ śrutāś candramaso giraḥ /	kAdambaryA tvayA ca-etAH SrutAH candramasaH giraH /
   madīyam api vṛttāntam adhunā śṛṇutaṃ yuvām // AKad_7.56 //	madIyam api vRttAntam aDunA SRNutam yuvAm // AKat-_7.56 //
   apy utkṣipya tathā nīte vayasye tena tatkṣaṇam /	api utkzipya taTA nIte vayasye tena tad-kzaNam /
   ahaṃ gaganam utplutya tam evānusarann agām // AKad_7.57 //	aham gaganam utplutya tam eva-anusaran agAm // AKat-_7.57 //
   tato 'sau dūram utplutya praviśya śaśimaṇḍalam /	tatas asO dUram utplutya praviSya SaSi-maNxalam /
   paścād eva praviṣṭaṃ mām avalokyedam abravīt // AKad_7.58 //	paScAt eva pravizwam mAm avalokya-idam abravIt // AKat-_7.58 //
   kapiñjala mṛgāṅkaṃ māṃ viddhi so 'haṃ tavāmunā /	kapiQjala mRgAFkam mAm vidDi saH aham tava-amunA /
   vayasyena vṛthā śapto hemakūṭagate tvayi // AKad_7.59 //	vayasyena vRTA SaptaH hemakUwa-gate tvayi // AKat-_7.59 //
   voḍhavyā lokayātrā hi lokapālatayā mayā /	voXavyA lokayAtrA hi lokapAla-tayA mayA /
   udito 'haṃ nije kāle tataḥ pravikiran karān // AKad_7.60 //	uditaH aham nije kAle tatas pravikiran karAn // AKat-_7.60 //
   ayaṃ madaṃśusaṃsparśapravṛddhādhikamanmathaḥ /	ayam mad-aMSu-saMsparSa-pravRdDa-aDika-manmaTaH /
   kaṇṭopāntagalaprāṇo rūkṣaṃ māṃ vīkṣya śaptavān // AKad_7.61 //	kaNwopAnta-gala-prANaH rUkzam mAm vIkzya SaptavAn // AKat-_7.61 //
   yathādya virahārto 'hametya vyāpāditas tvayā /	yaTA-adya viraha-ArtaH aham-etya vyApAditaH tvayA /
   mariṣyasi tathaiva tvamindo janmani janmani // AKad_7.62 //	marizyasi taTA-eva tvam-indaH janmani janmani // AKat-_7.62 //
   pratiśapto mayāpyeṣa tvam apy evaṃ mariṣyasi /	pratiSaptaH mayA-api-eza tvam api evam marizyasi /
   madvad evety anāgaskaśāpatāpoditakrudhā // AKad_7.63 //	madvat eva-iti anAgaskaSApa-tApa-udita-kruDA // AKat-_7.63 //
   tataḥ pratanumanyor me paritāpa ivābhavat /	tatas pratanu-manyoH me paritApaH iva-aBavat /
   jāmātāyaṃ mahāśvetāsambandhād iti paśyataḥ // AKad_7.64 //	jAmAtA-ayam mahA-SvetA-sambanDAt iti paSyataH // AKat-_7.64 //
   kuryādapi pratīkāraṃ śvetaketurmahātapāḥ /	kuryAt-api pratIkAram SvetaketuH-mahA-tapAH /
   śarīramasya rakṣāmi sāmṛtair aham aṃśubhiḥ // AKad_7.65 //	SarIram-asya rakzAmi sa-amRtEH aham aMSuBiH // AKat-_7.65 //
   ity utkṣipya mayehāyam ānītas tvaṃ ca satvaram /	iti utkzipya mayA-iha-ayam AnItaH tvam ca sa-tvaram /
   gatvā nivedayemaṃ tu vṛttāntaṃ śvetaketave // AKad_7.66 //	gatvA nivedaya-imam tu vRttAntam Svetaketave // AKat-_7.66 //
   iti candramaso vākyaṃ śrutvāhaṃ divamutpatan /	iti candramasaH vAkyam SrutvA-aham divam-utpatan /
   tvaritaprasṛtaḥ kañcidvaimānikamalaṅghayam // AKad_7.67 //	tvarita-prasRtaH kaQcid-vEmAnikam-alaFGayam // AKat-_7.67 //
   sa ca mām aśapat kopād aśveneva tapobalāt /	sa ca mAm aSapat kopAt aSvena-iva tapaH-balAt /
   tvayāhaṃ laṅghitas tasmād aśva eva bhaviṣyasi // AKad_7.68 //	tvayA-aham laFGitaH tasmAt aSvaH eva Bavizyasi // AKat-_7.68 //
   sa mayā praṇipatyoktaḥ suhṛc chokāndhacetasaḥ /	sa mayA praNipatya-uktaH suhRd Soka-anDa-cetasaH /
   pramādān na tapodarpān mama tat saṃhara krudham // AKad_7.69 //	pramAdAt na tapaH-darpAt mama tat saMhara kruDam // AKat-_7.69 //
   sa tv abhāṣata datto 'yaṃ śāpo bhavati nānyathā /	sa tu aBAzata dattaH ayam SApaH Bavati na-anyaTA /
   tārāpīḍasya putrārtham ujjayinyāṃ tapasyataḥ // AKad_7.70 //	tArApIxasya putra-arTam ujjayinyAm tapasyataH // AKat-_7.70 //
   rājño yāsyati putratvaṃ candramāḥ sanidarśanam /	rAjQaH yAsyati putra-tvam candramAH sa-nidarSanam /
   puṇḍarīkastadīyasya śukanāsasya mantriṇaḥ // AKad_7.71 //	puNxarIkaH-tadIyasya SukanAsasya mantriNaH // AKat-_7.71 //
   tārāpīḍasutasyendorgantā vāhanatāṃ bhavān /	tArApIxa-sutasya-indoH-gantA vAhanatAm BavAn /
   tasyāvasāne snātvaiva śāpasyānto bhaviṣyati // AKad_7.72 //	tasya-avasAne snAtvA-eva SApasya-antaH Bavizyati // AKat-_7.72 //
   tad ākarṇyārṇave tūrṇam apataṃ śāpamūrchitaḥ /	tat AkarNya-arNave tUrNam apatam SApa-mUrCitaH /
   tato 'śvībhūta evāham udatiṣṭham ayonijaḥ // AKad_7.73 //	tatas aSvIBUtaH eva-aham udatizWam ayonijaH // AKat-_7.73 //
   smṛtis turagabhāve 'pi na me naṣṭā kadācana /	smRtiH turaga-BAve api na me nazwA kadAcana /
   mamaivāyam ihānītaḥ kiṃnarānusṛtikramāt // AKad_7.74 //	mama-eva-ayam iha-AnItaH kiMnara-anusRti-kramAt // AKat-_7.74 //
   vīpsānvitaś ca śāpo 'yaṃ parasparam abhūt tayoḥ /	vIpsA-anvitaH ca SApaH ayam parasparam aBUt tayoH /
   dvitīyajanmayogena tayor bhāvyam ato dhruvam // AKad_7.75 //	dvitIya-janma-yogena tayoH BAvyam atas Druvam // AKat-_7.75 //
   tad gacchāmi yathāvṛttam ākhyātuṃ śvetaketave /	tat gacCAmi yaTAvRttam AKyAtum Svetaketave /
   dvitīyajanmagrahaṇaṃ kva tayoś ceti veditum // AKad_7.76 //	dvitIya-janma-grahaNam kva tayoH ca-iti veditum // AKat-_7.76 //
   kapiñjalakathātas taṃ vaiśampāyanavigraham /	kapiQjala-kaTAtaH tam vESampAyana-vigraham /
   puṇḍarīkaṃ parijñāya mahāśvetānvatapyata // AKad_7.77 //	puNxarIkam parijQAya mahA-SvetA-anvatapyata // AKat-_7.77 //
   dvitīye 'py aham evāsya jātā janmani mṛtyave /	dvitIye api aham eva-asya jAtAH janmani mRtyave /
   śapto madanurakto 'sau mayeti vilalāpa sā // AKad_7.78 //	SaptaH mad-anuraktaH asO mayA-iti vilalApa sA // AKat-_7.78 //
   kapiñjalas tadā tv evaṃ rudatīṃ tām avārayat /	kapiQjalaH tadA tu evam rudatIm tAm avArayat /
   abravīc cāvadhiḥ pūrṇaḥ prāyo duḥkhasya vartate // AKad_7.79 //	abravIt ca-avaDiH pUrNaH prAyas duHKasya vartate // AKat-_7.79 //
   alpenaiva hi kālena puṇḍarīkasya sasmitam /	alpena-eva hi kAlena puNxarIkasya sa-smitam /
   akṣamālāṃ punaḥ pāṇipallave vinidhāsyasi // AKad_7.80 //	akzamAlAm punar pANi-pallave viniDAsyasi // AKat-_7.80 //
   kādambary api mādhuryamugdhasmitasudhāñcitaiḥ /	kAdambarI api mADurya-mugDa-smita-suDA-AQcitEH /
   pramodayiṣyate sāndraiś candrāpīḍasya bhāṣitaiḥ // AKad_7.81 //	pramodayizyate sAndrEH candra-ApIxasya BAzitEH // AKat-_7.81 //
   kādambarī tam aprākṣīd bhagavan sā kva vartate /	kAdambarI tam aprAkzIt Bagavan sA kva vartate /
   pattralekheti sa tv āha mayā nājñāyi tadgatiḥ // AKad_7.82 //	pattra-leKA-iti sa tu Aha mayA na-ajQAyi tad-gatiH // AKat-_7.82 //
   ity uktvodapatad vyoma romakūpāmbuvipruṣaḥ /	iti uktvA-udapatat vyoma romakUpa-ambu-vipruzaH /
   acchodabindusaṃdigdhāḥ kirann atha kapiñjalaḥ // AKad_7.83 //	acCoda-bindu-saMdigDAH kiran aTa kapiQjalaH // AKat-_7.83 //
   tasmin gate mahāśvetākādambaryau tathaiva tām /	tasmin gate mahA-SvetAkAt-ambaryO taTA-eva tAm /
   saśokavismayotkampe kathayā ninyatur niśām // AKad_7.84 //	sa-Soka-vismaya-utkampe kaTayAH ninyatuH niSAm // AKat-_7.84 //
   mahāśvetākathāvṛtte tatrāpy adhikaniścayā /	mahA-SvetA-kaTA-vRtte tatra-api aDika-niScayAH /
   kādambaryāḥ sthiraṃ citte sā pratyayam ajījanat // AKad_7.85 //	kAdambaryAH sTiram citte sA pratyayam ajIjanat // AKat-_7.85 //
   aparedyur atha sphītasphaṭikopalavedikām /	aparedyus aTa sPIta-sPawika-upala-vedikAm /
   hṛdyām āropya karpūratuṣārakaṇadanturaiḥ // AKad_7.86 //	hRdyAm Aropya karpUra-tuzAra-kaNa-danturEH // AKat-_7.86 //
   abhiṣicya jalaiḥ svacchair anulipya ca candanaiḥ /	aBizicya jalEH svacCEH anulipya ca candanEH /
   ānarca candrāpīḍasya dehaṃ kādambarī ciram // AKad_7.87 //	Anarca candrApIxasya deham kAdambarI ciram // AKat-_7.87 //
   yadi satyo 'yam āśvāsaḥ sarvaṃ svastham athānyathā /	yadi satyaH ayam ASvAsaH sarvam svasTam aTa-anyaTA /
   kva gato me tadā mṛtyur ity antar niścikāya sā // AKad_7.88 //	kva gataH me tadA mRtyuH iti antar niScikAya sA // AKat-_7.88 //
   jagāda ca mahāśvetām idānīṃ nanu na trape /	jagAda ca mahA-SvetAm idAnIm nanu na trape /
   sakhīti vyāharantī tvāṃ duḥkhasabrahmacāriṇīm // AKad_7.89 //	saKI-iti vyAharantI tvAm duHKa-sabrahmacAriNIm // AKat-_7.89 //
   vidhinā vidadhānena samānasukhaduḥkhatām /	viDinA vidaDAnena samAna-suKa-duHKa-tAm /
   āvayoś cirasaṃrūḍhaṃ sakhīprema na dūṣitam // AKad_7.90 //	AvayoH cira-saMrUXam saKI-prema na dUzitam // AKat-_7.90 //
   tataḥ prabhṛti sā mūrtim arcayantyāsta tāpasī /	tatas praBRti sA mUrtim arcayanti-AH-ta tApasI /
   candrāpīḍasya candrārdhacūḍasyeva divāniśam // AKad_7.91 //	candra-ApIxasya candra-arDa-cUxasya-iva divAniSam // AKat-_7.91 //
   divaseṣv atha gacchatsu nirvikāraśarīratām /	divasezu aTa gacCatsu nirvikAra-SarIra-tAm /
   candrāpīḍasya paśyantī sthirām āśāṃ babandha sā // AKad_7.92 //	candrApIxasya paSyantI sTirAm ASAm babanDa sA // AKat-_7.92 //
   tataḥ senānyamā hūya balāhakam abhāṣata /	tatas senAn-yamA hUya balAhakam aBAzata /
   viditas tava sarvo 'rtho vṛttānto bahuvismayaḥ // AKad_7.93 //	viditaH tava sarvaH arTaH vRttAntaH bahu-vismayaH // AKat-_7.93 //
   dehakāntyavināśena jātaḥ sampratyayaś ca naḥ /	deha-kAntya-vinASena jAtaH sampratyayaH ca naH /
   arhasy ujjayinīṃ gantuṃ prabhor āśvāsakāraṇāt // AKad_7.94 //	arhasi ujjayinIm gantum praBoH ASvAsa-kAraNAt // AKat-_7.94 //
   so 'bravīd devi tatrānyaṃ prajñātaṃ prahiṇomy aham /	saH abravIt devi tatra-anyam prajQAtam prahiNomi aham /
   yuvarājam ihotsṛjya na gantuṃ svayam utsahe // AKad_7.95 //	yuvarAjam iha-utsRjya na gantum svayam utsahe // AKat-_7.95 //
   tatas tvaritako nāma rājño nikaṭasevakaḥ /	tatas tvaritakaH nAma rAjQaH nikawa-sevakaH /
   prahitas tena lekhaś ca svahastalikhitākṣaraḥ // AKad_7.96 //	prahitaH tena leKaH ca sva-hasta-liKita-akzaraH // AKat-_7.96 //
   sa gatvojjayinīṃ prāpya sarvaṃ rājñe nyavedayat /	sa gatvA-ujjayinIm prApya sarvam rAjQe nyavedayat /
   rājā sāntaḥpurāmātyas tad aśrauṣīd yathākramam // AKad_7.97 //	rAjA sa-antaHpura-amAtyaH tat aSrOzIt yaTAkramam // AKat-_7.97 //
   tatas tanayahṛdbhaṅgaśrutivyāmūḍhacetanaḥ /	tatas tanaya-hRd-BaFga-Sruti-vyAmUXa-cetanaH /
   uttarasmiṃś ca vṛttānte na dṛḍhapratyayo 'bhavat // AKad_7.98 //	uttarasmin ca vRttAnte na dRXa-pratyayaH aBavat // AKat-_7.98 //
   śukanāsas tu taṃ prāha karmavaicitryavedinaḥ /	SukanAsaH tu tam prAha karma-vEcitrya-vedinaH /
   śrutetihāsaśāstrasya deva ko 'tra tava bhramaḥ // AKad_7.99 //	Sruta-itihAsa-SAstrasya deva kaH atra tava BramaH // AKat-_7.99 //
   devatānām ṛṣīṇāṃ ca martyadehaparigrahaḥ /	devatAnAm RzINAm ca martya-deha-parigrahaH /
   śrūyate hi purāṇeṣu smṛtāv api ca paṭhyate // AKad_7.100 //	SrUyate hi purANezu smRtO api ca paWyate // AKat-_7.100 //
   citrāś cātiśayāḥ puṃsām amānuṣajanocitāḥ /	citrAH ca-atiSayAH puMsAm amAnuza-jana-ucitAH /
   kim apy alaukikaṃ bījam anumāpayituṃ kṣamāḥ // AKad_7.101 //	kim api alOkikam bIjam anumApayitum kzamAH // AKat-_7.101 //
   kumāraś ca guṇair indor atidūraṃ na bhidyate /	kumAraH ca guNEH indoH ati-dUram na Bidyate /
   sā kāntir ākṛtiḥ śaktiḥ kva dṛṣṭā cānyamānuṣe // AKad_7.102 //	sA kAntiH AkRtiH SaktiH kva dRzwA ca-anya-mAnuze // AKat-_7.102 //
   svapne devīmukhe dṛṣṭaś candramās tu viśaṃs tvayā /	svapne devI-muKe dRzwaH candramAH tu viSan tvayA /
   mayā ca puṇḍarīkāṅkā brāhmaṇī samadṛśyata // AKad_7.103 //	mayA ca puNxarIka-aFkA brAhmaNI samadRSyata // AKat-_7.103 //
   śāpa eva tayor āsīd āvayos tu paro varaḥ /	SApaH eva tayoH AsIt AvayoH tu paraH varaH /
   devatāḥ putratāṃ yānti yadgṛhe martyadharmiṇām // AKad_7.104 //	devatAH putra-tAm yAnti yat-gRhe martya-DarmiNAm // AKat-_7.104 //
   kapiñjalaḥ punas tādṛg aviluptagatir divi /	kapiQjalaH punar tAdRS avilupta-gatiH divi /
   ācakṣīta kathaṃ mithyā turago nu kva tādṛśaḥ // AKad_7.105 //	AcakzIta kaTam miTyA turagaH nu kva tAdRSaH // AKat-_7.105 //
   idaṃ kvānyatra dṛṣṭaṃ vā jīvitenojjhito 'pi yaḥ /	idam kva-anyatra dRzwam vA jIvitena-ujJitaH api yaH /
   pañcabhūtātmako dehaḥ sa yad eti na vikriyām // AKad_7.106 //	paQcaBUta-AtmakaH dehaH sa yat eti na vikriyAm // AKat-_7.106 //
   brūyāttvaritako mithyā likhenmithyā balāhakaḥ /	brUyAt-tvaritakaH miTyA liKet-miTyA balAhakaH /
   suparīkṣitabhṛtyasya neyaṃ śaṅkā tavocitā // AKad_7.107 //	su-parIkzita-BRtyasya na-iyam SaFkA tava-ucitAH // AKat-_7.107 //
   vidadhatamasamollasatpramodaṃ jagad acirād avalokayiṣyasi tvam /	vidaDatam-asama-ullasat-pramodam jagat acirAt avalokayizyasi tvam /
   śaśinam iva vidhuntudena muktaṃ vyapagataśāpakadarthanaṃ kumāram //	SaSinam iva viDuntudena muktam vyapagata-SApa-kadarTanam kumAram //
   AKad_7.108 //	AKat-_7.108 //
   iti mantrivacāṃsi śṛṇvato 'pi svasutasnehavisaṃsthulasya rājñaḥ /	iti mantri-vacAMsi SRNvataH api sva-suta-sneha-visaMsTulasya rAjQaH /
   na dhṛtiṃ pratipadyate sma ceto gamane ca vyavasāyam ālalambe //	na DRtim pratipadyate sma cetaH gamane ca vyavasAyam Alalambe //
   AKad_7.109 //	AKat-_7.109 //
   atha saha mahiṣībhir bāṣpapūrṇekṣaṇābhir nijasacivasameto	aTa saha mahizIBiH bAzpa-pUrNa-IkzaNABiH nija-saciva-sametaH-
   'gacchadacchodatīram /	agacCat-acCoda-tIram /
   śithilitasakalāsthaḥ pārthivas taṃ ca yāntaṃ janapadapuralokaḥ sarva	SiTilita-sakala-AsTaH pArTivaH tam ca yAntam janapada-pura-lokaH sarva
   evānvagacchat // AKad_7.110 //	eva-anvagacCat // AKat-_7.110 //
   tasmin gate 'tha vijanāpaṇavīthikāntā kāntārabhūr iva tadojjayinī babhūva	tasmin gate aTa vijana-ApaNa-vITikA-antA kAntAra-BUH iva tadA-ujjayinI baBUva
   yāte divaṃ sakalalokamanobhirāme rāme yathā hatasamṛddhir abhūd ayodhyā //	yAte divam sakala-loka-manoBirAme rAme yaTA hata-samRdDiH aBUt ayoDyA //
   AKad_7.111 //	AKat-_7.111 //
   gatvā nṛpaḥ sutam avekṣya ciraṃ ruditvā tat tad vilapya saha tatra	gatvA nRpaH sutam avekzya ciram ruditvA tat tat vilapya saha tatra
   vilāsavatyā /	vilAsavatyA /
   utsṛjya rājyavibhavaṃ yativad vyadhatta tatraiva valkaladharaḥ sthitim	utsRjya rAjya-viBavam yati-vat vyaDatta tatra-eva valkala-DaraH sTitim
