   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   ' puroḍāśena me mātā prahelakaṃ dadāti ' iti ca |	a puroxASena me mAtA prahelakam dadAti a iti ca |
   tasmājjātivācinaḥ |	tasmAt-jAti-vAcinaH |
   prayojanaṃ tu"barhiṣā yūpāvaṭamavastṛṇāti"ityatra vinā saṃskāreṇa	prayojanam tu"barhizA yUpA=-awam-avastRNAti"iti-atra vinA saMskAreNa
   staraṇasiddhiḥ || MJaiNyC_1,4.22-23 ||	staraNa-sidDiH || MJENyC_1,4.22-23 ||
   START MJaiNy 1,4.24	START MJENi 1,4.24
   atra gurumatamāha --	atra guru-matam-Aha --
   barhirādau nimittaskaya durvacatvānna meti cet /	barhiH-AdO nimittaskaya durvaca-tvAt-na mA-iti ced /
   jātestatra nimittatvāttadyuktā codanā pramā // MJaiNy_1,4.24 //	jAteH-tatra nimitta-tvAt-tad-yuktA codanA pramA // MJENi-_1,4.24 //
   spaṣṭor'thaḥ || MJaiNyC_1,4.24 ||	spazwoH-aTaH || MJENyC_1,4.24 ||
   START MJaiNy 1,4.25-26	START MJENi 1,4.25-26
   (navame prokṣaṇyādiśabdānāṃ yaugikatādhikaraṇe sūtram)	(navame prokzaNya-Adi-SabdAnAm yOgikata-aDikaraNe sUtram)
   prokṣaṇīṣv arthasaṃyogāt / Jaim_1,4.11 /	prokzaNIzu arTa-saMyogAt / JEm_1,4.11 /
   navamādhikaraṇamāracayati --	navama-aDikaraNam-Aracayati --
   prokṣaṇīḥ saṃskṛtirjātiryogo vā sarvabhūmiṣu /	prokzaNIH saMskRtiH-jAtiH-yogaH vA sarva-BUmizu /
   tathokteḥ saṃskṛtirjātiḥ syādrūḍheḥ prabalatvataḥ // MJaiNy_1,4.25 //	taTA-ukteH saMskRtiH-jAtiH syAt-rUXeH prabala-tvataH // MJENi-_1,4.25 //
   anyonyāśrayato nā'dyo na jātiḥ kalpyaśaktitaḥ /	anyonya-ASrayataH nA-adyaH na jAtiH kalpya-SaktitaH /
   yogaḥ syātkḷptaśaktitvātkḷptarvyākaraṇādbhavet // MJaiNy_1,4.26 //	yogaH syAt-k?pta-Sakti-tvAt-k?ptarvyA-karaNAt-Bavet // MJENI-_1,4.26 //
   darśapūrṇamāsayoḥ śrūyate -"prokṣaṇīrāsādaya"iti |	darSa-pUrNamAsayoH SrUyate -"-prokzaNIH-AsAt-aya"-iti |
   tatra prokṣaṇīśabdasyābhimantraṇāsādamādisaṃskṛtiḥ pravṛttinimitam |	tatra prokzaNI-Sabdasya-aBimantraNA-sAdama-Adi-saMskRtiH pravRtti-nimitam |
   kutaḥ- sarveṣu vaidikaprayogapradeśeṣu saṃskṛtānāmevāpāṃ	kutaH sarvezu vEdika-prayoga-pradeSezu saMskRtAnAm-eva-apAm
   prokṣaṇīśabdenocyamānatvādityekaḥ pakṣaḥ |	prokzaNI-Sabdena-ucyamAna-tvAt-iti-ekaH pakzaH |
   loke jalakrīḍāyāṃ ' prokṣaṇībhirudvejitāḥ smaḥ ' ityasaṃskṛtāsvapsu	loke jala-krIxAyAm a prokzaNIBiH-udvejitAH smaH a iti-asaMskRtAsu-apsu
   prayogādvarhirādiśabdavajjātau rūḍhatvādudakatvajātiḥ pravṛttinimittam |	prayogAt-varhiH-Adi-Sabda-vat-jAtO rUXa-tvAt-udaka-tva-jAtiH pravRtti-nimittam |
   na ca ' prakarṣeṇokṣyata ābhiḥ ' iti yogo 'tra śaṅkanīyaḥ |	na ca a prakarzeNa-ukzyate ABiH a iti yogaH atra SaFkanIyaH |
   rūḍheḥ prabalatvāditi pakṣāntaram |	rUXeH prabala-tvAt-iti pakza-antaram |
   tatra na tāvatsaṃskāro yuktaḥ |	tatra na tAvat-saMskAraH yuktaH |
   anyonyāśrayatvāt |	anyonya-ASraya-tvAt |
   vihiteṣvabhimantraṇādiṣu saṃskāreṣvanuṣṭhiteṣu paścātsaṃskṛtāsvapsu	vihitezu-aBimantraNa-Adizu saMskArezu-anuzWitezu paScAt-saMskRtAsu-apsu
   prokṣaṇīśabdapravṛttiḥ |	prokzaNI-Sabda-pravRttiH |
   tatpravṛttau satyāṃ prokṣaṇīśabdenāpo 'mūdyābhimantraṇasiddhiriti |	tad-pravRttO satyAm prokzaNI-Sabdena-apaH amUdya-aBimantraNa-sidDiH-iti |
   nāpi jātipakṣo yuktaḥ |	na-api jAti-pakzaH yuktaH |
   udakajātau prokṣaṇī śabdasya vṛddhavya vahāre pūrvamakḷptatvenetaḥ paraṃ	udaka-jAtO prokzaNI Sabdasya vRdDavya vahAre pUrvam-ak?pta-tvena-itas param
   śakteḥ kalpanīyatvāt |	SakteH kalpanIya-tvAt |
   tato gośabdavadaśvakarṇaśabdavacca rūḍho na bhavati |	tatas go-Sabda-vat-aSvakarNa-Sabda-vat-ca rUXaH na Bavati |
   yogastu vyākaraṇena kḷptaḥ |	yogaH-tu vyAkaraNena k?ptaH |
   sopasargāddhātoḥ karaṇe lyuṭpratyayena vyutpādanāt |	sa-upasargAt-DAtoH karaNe lyuwpratyayena vyutpAdanAt |
   tasmāt -- prokṣaṇīśabdo yaugikaḥ |	tasmAt - prokzaNI-SabdaH yOgikaH |
   ghṛtādeḥ prokṣaṇatvaṃ prayojanam || MJaiNyC_1,4.25-26 ||	GRta-AdeH prokzaNa-tvam prayojanam || MJENyC_1,4.25-26 ||
   START MJaiNy 1,4.27	START MJENi 1,4.27
   (daśame nirmanthyaśabdasya yaugikatādhikaraṇe sūtram)	(da-Same nirmanTya-Sabdasya yOgikata-aDikaraNe sUtram)
   tathā nirmanthye / Jaim_1,4.12 /	taTA nirmanTye / JEm_1,4.12 /
   daśamādhikaraṇamāracayati --	daSama-aDikaraNam-Aracayati --
   rūḍhiryogo yogarūḍhirvā nirmanthyasya vartanam /	rUXiH-yogaH yoga-rUXiH-vA nirmanTyasya vartanam /
   ādyau pūrvavadanttyo 'cirajāternāvanītavat // MJaiNy_1,4.27 //	AdyO pUrvavat-anttyaH acira-jAteH-na-avanIta-vat // MJENI-_1,4.27 //
   agnicayane śrūyate -"nirmanthyeneṣṭakāḥ pacanti"iti |	agni-cayane SrUyate -"-nirmanTyena-izwakAH pacanti"-iti |
   tatra nirmanthyaśabdasya svārthe kīdṛśī vṛttiḥ, iti saṃśaye	tatra nirmanTya-Sabdasya sva-arTe kIdRSI vRttiH, iti saMSaye
   barhirādiśabdavallaukikavaidikasādhāraṇyādūvahnijātau rūḍhirityekaḥ pakṣaḥ	barhiH-Adi-Sabda-vallOkika-vEdika-sADa-araNya-AdU-vahni-jAtO rUXiH-iti-ekaH pakzaH
   prokṣaṇīśabdavadgūḍherakḷptatvādaraṇinirmanthanajanyasācca yoga iti	prokzaNI-Sabda-vat-gUXeH-ak?pta-tvAt-araNi-nirmanTana-janyasAt-ca yogaH iti
   pakṣāntaram |	pakza-antaram |
   laukikanirmanthanena ciranirmanthanena ca janyaṃ vārayituṃ yogarūḍhiḥ	lOkika-nirmanTanena cira-nirmanTanena ca janyam vArayitum yoga-rUXiH
   paṅkajādivadāśrayaṇīyā |	paFkaja-Adi-vat-ASrayaNIyAH |
   ādhānakāle nirmathya gārhapatye nityaṃ dhṛto 'gniściranirmathitaḥ |	ADAna-kAle nirmaTya gArhapatye nityam DRtaH agniH-cira-nirmaTitaH |
   cayanakāle nirmathyokhāsu dhṛto 'gniraciranirmathitaḥ |	cayana-kAle nirmaTyoKAsu DRtaH agniH-acira-nirmaTitaH |
   sadya eva laukikamathanena jāto 'gniraciranirmathitaḥ |	sadyas eva lOkika-maTanena jAtaH agniH-acira-nirmaTitaH |
   teneṣṭakāḥ pacyante |	tena-izwakAH pacyante |
   yathā purāṇamūtamayorghṛtayornavanītajanyatve samāne 'pi yogarūḍhyā	yaTA purANa-mUtamayoH-GRtayoH-navanIta-janya-tve samAne api yoga-rUXyA
   nūtanameva ' nāvanītam ' iti vyavahriyate tadvat || MJaiNyC_1,4.27 ||	nUtanam-eva a na-avanItam a iti vyavahriyate tadvat || MJENyC_1,4.27 ||
   START MJaiNy 1,4.28-31	START MJENi 1,4.28-31
   (ekādaśe vaiśvadevādiśabdānāṃ nāmadheyatādhikaraṇe sūtrāṇi 13 - 16)	(ekAdaSe vESvadeva-Adi-SabdAnAm nAmaDeya-tA-aDikaraNe sUtrANi 13  16)
   vaiśvadeve vikalpa iti cet / Jaim_1,4.13 /	vESvadeve vikalpaH iti ced / JEm_1,4.13 /
   na vā prakaraṇāt pratyakṣavidhānāc ca na hi prakaraṇaṃ dravyasya /	na vA prakaraNAt pratyakza-viDAnAt ca na hi prakaraNam dravyasya /
   Jaim_1,4.14 /	JEm_1,4.14 /
   mithaś cānarthasaṃbandhaḥ / Jaim_1,4.15 /	miTas ca-anarTa-saMbanDaH / JEm_1,4.15 /
   parārthatvād guṇānām / Jaim_1,4.16 /	para-arTa-tvAt guNAnAm / JEm_1,4.16 /
   ekādaśādhikaraṇamāracayati -	ekAdaSa-aDikaraNam-Aracayati -
   cāturmāsyādyaparvaproktāgneyādyaṣṭakāntike /	cAturmAsya-Adi-a-parva-prokta-Agneya-Adi-azwaka-antike /
   vaiśvadeveti śabdokto guṇaḥ saṃghasya nāma vā // MJaiNy_1,4.28 //	vESvadeva-iti Sabda-uktaH guNaH saMGasya nAma vA // MJENi-_1,4.28 //
   nāmatve rūparāhityādavidhirguṇatā sataḥ /	nAma-tve rUpa-rAhityAdaviDiH-guNa-tA sataH /
   agnyādibhirvikalpyante viśvadevāstu saptasu // MJaiNy_1,4.29 //	agni-AdiBiH-vikalpyante viSva-devAH-tu saptasu // MJENI-_1,4.29 //
   anūdyāṣṭau yajeteti tatsaṃghe nāma varṇitam /	anUdya-azwO yajeta-iti tat-saMGe nAma varNitam /
   avidhitve 'pyarthavatsyānnāma prākpravaṇādiṣu // MJaiNy_1,4.30 //	aviDi-tve api-arTa-vatsyAt-nAma prAc-pravaNa-Adizu // MJENI-_1,4.30 //
   ijyante 'tra yajante vā viśve devā itīdṛśī /	ijyante atra yajante vA viSve devAH iti-IdRSI /
   niruktirna vikalpaḥ syādutpattyutpannaśiṣṭataḥ // MJaiNy_1,4.31 //	niruktiH-na vikalpaH syAt-utpatti-utpanna-SizwataH // MJENi-_1,4.31 //
   cāturmāsyayāgasya catvāri parvāṇi --- vaiśvadevaḥ , varuṇapraghāsaḥ ,	cAturmAsya-yAgasya catvAri parvANi -- vESvadevaH , varuNa-praGAsaH ,
   sākamedhaḥ , śunāsārīyaśceti |	sAkameDaH , SunAsArIyaH-ca-iti |
   teṣu prathame parvaṇyaṣṭau yāgā vihitāḥ --- āgneyamaṣṭākapālaṃ nirvapati,	tezu praTame parvaNi-azwO yAgAH vihitAH -- Agneyam-azwAkapAlam nirvapati,
   saumyaṃ carum, sāvitraṃ dvādaśakapālam, sārasvataṃ carum, pauṣṇaṃ carum ,	sOmyam carum, sAvitram dvAdaSa-kapAlam, sArasvatam carum, pOzNam carum ,
   mārutaṃ saptakapālakam, vaiśvadevīmāmikṣām, dyāvāpṛthivyamekakapālam, iti	mArutam sapta-kapAlakam, vESvadevI-imAmikzAm, dyAvApRTivyam-eka-kapAlam, iti
   teṣāmaṣṭhānāṃ yāgānāṃ saṃnidhāvidamāmnāyate ---"vaiśvadevena yajeta"iti |	tezAm-azWAnAm yAgAnAm saMniDA-a=-idam-AmnAyate ---"vESvadevena yajeta"-iti |
   tatrā'gneyādīnyāgān ' yajeta ' ityanūdya vaiśvadevaśabdena devatārūpo	tatrA-agneya-AdInyAgAn a yajeta a iti-anUdya vESvadeva-Sabdena devatA-rUpaH-
   guṇasteṣu vidhīyate |	guNaH-tezu viDIyate |
   yadyapi vaiśvadevyāmikṣāyāṃ viśve devāḥ prāptāḥ, tathāpyāgneyādiṣu saptasu	yadi-api vESvadevyAm-ikzAyAm viSve devAH prAptAH, taTA-api-Agneya-Adizu saptasu
   yāgeṣvaprāptasvādvidhīyante |	yAgezu-aprApta-svAt-viDIyante |
   teṣvapyagnyādidevatāḥ santīti cet, tarhi gatyabhāvātteṣu devatā	tezu-api-agni-Adi-devatAH santi-iti cet, tarhi gati-aBAvAt-tezu devatA
   vikalpyantām |	vikalpyantAm |
   nāmadheyatve tu nāmamātrasyābhidheyatvāddravyadevatayorabhāvena yāgasyātra	nAmaDeya-tve tu nAma-mAtrasya-aBiDeya-tvAt-dravya-devatayoH-aBAvena yAgasya-atra
   svarūpāsaṃbhavācchūyamāṇo vidhiranarthakaḥ syāt -- tasmāt ' guṇavidhiḥ '	svarUpa-asaMBavAt-SUyamANaH viDiH-anarTakaH syAt - tasmAt a guNa-viDiH a
   -- iti prāpte - ' brūmaḥ- utpattivākyairvihitānāgneyādīnaṣṭau yāgān	- iti prApte  a brUmaH utpatti-vAkyEH-vihitAn-Agneya-AdIn-azwO yAgAn
   'yajeta' ityanūdyāṣṭānāṃ saṃghe vaiśvadevaśabdo nāmatvenopavarṇyate |	ayajeta-a iti-anUdya-azwAnAm saMGe vESvadeva-SabdaH nAma-tvena-upavarNyate |
   na ca vidhitvāsaṃbhave 'pi nāmopadeśavaiyarthyam, 'prācīnapravaṇe	na ca viDi-tva-asaMBave api nAma-upadeSa-vEyarTyam, aprAcIna-pravaNe
   vaiśvadevena yajeta ' ityādiṣu vaiśvadevaśabdenaikenaivāṣṭānāṃ saṃghasya	vESvadevena yajeta a ityAdizu vESvadeva-Sabdena-ekena-eva-azwAnAm saMGasya
   vyavahartavyatvāt |	vyavahartavya-tvAt |
   nāmapravṛttinimittabhūtā niruktirdvidhā - āmikṣāyāge viśveṣāṃ	nAma-pravRtti-nimitta-BUtA niruktiH-dviDA  AmikzA-yAge viSvezAm
   devānāmijyamānatayā tatsahacaritārthānāṃ sarveṣāṃ chatrinyāyena	devAnAm-ijyamAna-tayA tad-sahacarita-arTAnAm sarvezAm Catri-nyAyena
   vaiśvadevatvam |	vESvadeva-tvam |
   athavā ' viśve devā aṣṭānāṃ kartāraḥ ' iti vaiśvadevatvam |	aTavA a viSve devAH azwAnAm kartAraH a iti vESvadeva-tvam |
   tathā ca brāhmaṇam -"yadviśve devāḥ samayajanta, tadvaiśvadevasya	taTA ca brAhmaNam -"yat-viSve devAH samayajanta, tad-vESvadevasya
   vaiśvadevatvam"iti |	vESvadeva-tvam-"iti |
   devatāvikalpastu samānabalatvābhāvānna yujyate |	devatA-vikalpaH-tu samAna-bala-tva-aBAvAt-na yujyate |
   āgnyādaya utpattiśiṣṭatvātprabalāḥ, viśve devā utpannaśiṣṭatvādadurbalāḥ |	Agni-AdayaH utpatti-Sizwa-tvAt-prabalAH, viSve devAH utpanna-Sizwa-tvAt-adurbalAH |
   tasmāt -- vaiśvadevaśabdaḥ karmanāmadheyam || MJaiNyC_1,4.28-31 ||	tasmAt - vESvadeva-SabdaH karma-nAmaDeyam || MJENyC_1,4.28-31 ||
   START MJaiNy 1,4.32	START MJENi 1,4.32
   atra gurumatamāha --	atra guru-matam-Aha --
   guṇanāmatvasaṃdehādapramā codaneti cet /	guNa-nAma-tva-saMdehAt-apramA codanA-iti ced /
   noktanyāyena saṃghasya nāmadheyatvanirṇayāt // MJaiNy_1,4.32 //	na-ukta-nyAyena saMGasya nAmaDeya-tva-nirNayAt // MJENi-_1,4.32 //
   spaṣṭor'thaḥ || MJaiNyC_1,4.32 ||	spazwoH-aTaH || MJENyC_1,4.32 ||
   START MJaiNy 1,4.33-35	START MJENi 1,4.33-35
   (dvādaśe vaiśvānare 'ṣṭatvādyarthavādatādhikaraṇe sūtrāṇi 17 - 22 )	(dvAdaSe vESvAnare azwa-tva-Adi-arTavAda-tA-aDikaraNe sUtrANi 17  22 )
   pūrvavanto 'vidhānārthās tatsāmarthyaṃ samāmnāye / Jaim_1,4.17 /	pUrvavantaH aviDAna-arTAH tad-sAmarTyam samAmnAye / JEm_1,4.17 /
   guṇasya tu vidhānārthe tadguṇāḥ prayoge syur anarthakā na hi taṃ	guNasya tu viDAna-arTe tad-guNAH prayoge syuH anarTakAH na hi tam
   pratyarthavattāsti / Jaim_1,4.18 /	pratyarTavattA-asti / JEm_1,4.18 /
   taccheṣo nopapadyate / Jaim_1,4.19 /	tad-SezaH na-upapadyate / JEm_1,4.19 /
   avibhāgād vidhānārthe stutyarthenopapadyeran / Jaim_1,4.20 /	aviBAgAt viDAna-arTe stuti-arTena-upapadyeran / JEm_1,4.20 /
   kāraṇaṃ syād iti cet / Jaim_1,4.21 /	kAraNam syAt iti ced / JEm_1,4.21 /
   ānarthakyād akāraṇaṃ kartur hi kāraṇāni guṇārtho hi vidhīyate /	AnarTakyAt akAraNam kartuH hi kAraNAni guNa-arTaH hi viDIyate /
   Jaim_1,4.22 /	JEm_1,4.22 /
   dvādaśādhikaraṇamāracayati --	dvAdaSa-aDikaraNam-Aracayati --
   yaddvādaśakapāleṣṭervaiśvānayāṃ anantaram /	yad-dvAdaSa-kapAla-izweH-vESvAnayAm anantaram /
   śrutamaṣṭākapālādi tadguṇo nāma vā stutiḥ // MJaiNy_1,4.33 //	Srutam-azwAkapAla-Adi tad-guNaH nAma vA stutiH // MJENi-_1,4.33 //
   antarbhāvādaṣṭatādernāma syādagnihotravat /	antarBAvAt-azwatAdeH-nAma syAt-agnihotra-vat /
   dravyaṃ dravyāntare no cedguṇastarhi phale tvasau // MJaiNy_1,4.34 //	dravyam dravya-antare no ced-guNaH-tarhi Pale tu-asO // MJENI-_1,4.34 //
   vākyaikyamupasaṃhārādvispaṣṭaṃ tattu bādhyate /	vAkya-Ekyam-upasaMhArAt-vispazwam tat-tu bADyate /
   nānāguṇavidhau tasmādaṃśadvārāṃśisaṃstutiḥ // MJaiNy_1,4.35 //	nAnA-guNa-viDO tasmAt-aMSa-dvAra-aMSi-saMstutiH // MJENi-_1,4.35 //
   kāmyeṣṭikāṇḍe śrūyate -"vaiśvānaraṃ dvādaśakapālaṃ nirvapetputre jāte"	kAmya-izwi-kA-aNxe SrUyate -"-vESvAnaram dvAdaSa-kapAlam nirvapet-putre jAte"
   "yadaṣṭākapālo bhavati gāyatryaivainaṃ brahmavarcasena punāti,	"yat-azwA-kapAlaH Bavati gAyatryA-eva-enam brahmavarcasena punAti,
   yannavakapālastrivṛtaivāsmiṃstejo dadhāti, yaddaśakapālo	yat-nava-kapAlaH-trivRtA-eva-asmin=-tejaH daDAti, yat-daSa-kapAlaH-
   virājaivāsminnannādyaṃ dadhāti, yadekādaśakapālastriṣṭumaivāsminnindriyaṃ	virAjA-eva-asmin=-annAdyam daDAti, yat-ekAdaSa-kapAlaH-trizwumA-eva-asmin=-indriyam
   dadhāti, yaddvādaśakapālo jagatyaivāsminpaśūndadhāti, yasmiñjāta etāmiṣṭiṃ	daDAti, yat-dvAdaSa-kapAlaH jagatyA-eva-asmin-paSUn-daDAti, yasmin-jAtaH etAm-izwim
   nirvapati pūta eva sa tejasvyannāda indrīyāvī paśumānbhavati"iti |	nirvapati pUtaH eva sa tejasvI-annAdaH indrIyAvI paSumAn-Bavati"-iti |
   atrāṣṭatvādisaṃkhyāsāmānyātpuroḍāśādīnāṃ gāyatryādirūpatvakalpanā kṛtā |	atra-azwa-tva-Adi-saMKyA-sAmAnyAt-puroxASa-AdInAm gAyatrI-Adi-rUpa-tva-kalpanA kRtA |
   iṣṭi vidhāyake vākye yeyaṃ dvādaśasaṃkhyā	izwi viDAyake vAkye yA-iyam dvAdaSa-saMKyA
   tasyāmaṣṭatvādisaṃkhyānāmantarbhāvāttāḥ saṃkhyā	tasyAm-azwa-tva-Adi-saMKyAnAm-antarBAvAt-tAH saMKyA
   nimittīkṛtyāgnihotraśabdavadaṣṭākapālādiśabdāḥ karmanāmadheyānītyekaḥ	nimittIkRtya-agnihotra-Sabda-vat-azwAkapAla-Adi-SabdAH karma-nAmaDeyAni-iti-ekaH
   pakṣaḥ |	pakzaH |
   nātra dvādaśakapālaśabdaḥ saṃkhyāparaḥ , kintu puroḍośadravyaparaḥ |	na-atra dvAdaSa-kapAla-SabdaH saMKyA-paraH , kintu puroxoSa-dravya-paraH |
   ' dvādaśasu kapāleṣu saṃskṛtaḥ ' iti vyutpatteḥ |	a dvAdaSasu kapAlezu saMskRtaH a iti vyutpatteH |
   evamaṣṭākapālādiśabdā api |	evam-azwAkapAla-Adi-SabdAH api |
   tathā sati dravyasya dravyāntare 'nantarbhāvānnāmadheyasya nimittaṃ	taTA sati dravyasya dravya-antare anantarBAvAt-nAmaDeyasya nimittam
   nāstīti cet , evaṃ tarhi puroḍāśabdavyarūpo guṇo vidhīyatām |	na-asti-iti ced , evam tarhi puroxA-Sabdavya-rUpaH guNaH viDIyatAm |
   na cotpattiśiṣṭadvādaśakapālapuroḍāśāvaruddhatvādaṣṭakapālādranavakāśa iti	na ca-utpatti-Sizwa-dvAdaSa-kapAla-puroxASa-avarudDa-tvAt-azwa-kapAla-adranava-kASaH iti
   vācyam |	vAcyam |
   brahmavarcasādiphalāya tadvidhyupapatterityaparaḥ pakṣaḥ |	brahmavarcasa-Adi-PalAya tad-viDi-upapatteH-iti-aparaH pakzaH |
   ayamapyupapannaḥ |	ayam-api-upapannaH |
   bahūnāṃ guṇānāṃ vidhau vākyabhedāpatteḥ |	bahUnAm guNAnAm viDO vAkya-Beda-ApatteH |
   na ca bhinnānyevaitāni vākyānīti vācyam |	na ca BinnAni-eva-etAni vAkyAni-iti vAcyam |
   "vaiśvānaraṃ dvādaśakapālaṃ nirvapet"iti vihitasya"yasmiñjāta etām"	"vESvAnaram dvAdaSa-kapAlam nirvapet"iti vihitasya"yasmin-jAtaH etAm"
   -ityupasaṃhāreṇa vākyaikatvāvagamāt |	-iti-upasaMhAreNa vAkya-ekatva-avagamAt |
   tasmādaṃśairaṣṭākapālādibhiraṃśī dvādaśakapālaḥ stūyate ||	tasmAt-aMSEH-azwAkapAla-AdiBiH-aMSI dvAdaSa-kapAlaH stUyate ||
   MJaiNyC_1,4.33-35 ||	MJENyC_1,4.33-35 ||
   START MJaiNy 1,4.36	START MJENi 1,4.36
   atra gurumatamāha --	atra guru-matam-Aha --
   aguṇatvādanāmatvādamantratvādananvaye /	aguNa-tvAt-anAma-tvAt-amantra-tvAt-ananvaye /
   aṣṭatvādyapramāṇaṃ cennārthavādatayānvayāt // MJaiNy_1,4.36 //	azwa-tva-Adya-pramANam ced-na-arTavAda-tayA-anvayAt // MJENI-_1,4.36 //
   uktarītyā guṇatvaṃ nāmatvaṃ ca na saṃbhavati |	ukta-rItyA guNa-tvam nAma-tvam ca na saMBavati |
   uttamapuruṣāmantraṇādyabhāvānnamantratvam |	uttama-puruza-AmantraNa-Adi-aBAva-anna-mantra-tvam |
   ato 'ṣṭākapāladīnāmananvayādaprāmāṇyaṃ vākyasyeti cet |	atas azwAkapAla-dInAm-ananvayAt-aprAmANyam vAkyasya-iti ced |
   maivam |	mA-evam |
   stāvakatvenānvayasyoktatvāt || MJaiNyC_1,4.36 ||	stAvaka-tvena-anvayasya-ukta-tvAt || MJENyC_1,4.36 ||
   START MJaiNy 1,4.37-39	START MJENi 1,4.37-39
   (trayodaśe yajamānaśabdasya prastarādistutyarthatvādhikaraṇe sūtram)	(trayodaSe yajamAna-Sabdasya prastara-Adi-stuti-arTa-tva-aDikaraNe sUtram)
   tatsiddhiḥ / Jaim_1,4.23 /	tad-sidDiH / JEm_1,4.23 /
   trayodaśādhikaraṇamāracayati ---	trayodaSa-aDikaraNam-Aracayati ---
   yajamānaḥ prastaro 'tra guṇo vā nāma vā stutiḥ /	yajamAnaH prastaraH atra guNaH vA nAma vA stutiH /
   sāmānādhikaraṇyena syādekasyānyanāmatā // MJaiNy_1,4.37 //	sAmAnADikaraNyena syAt-ekasya-anya-nAmatA // MJENi-_1,4.37 //
   guṇo vā yajamāno 'stu kārye prastaralakṣite /	guNaH vA yajamAnaH astu kArye prastara-lakzite /
   aṃśāṃśitvādyabhāvena pūrvavannātra saṃstutiḥ // MJaiNy_1,4.38 //	aMSa-aMSi-tva-Adya-BAvena pUrvavat-na-atra saMstutiH // MJENi-_1,4.38 //
   arthabhedādanāmatvaṃ guṇaśvetprahriyeta saḥ /	arTa-BedAt-anAma-tvam guNa-Svet-prahriyeta saH /
   yāgasādhakatādvārā vidheyaprastarastutiḥ // MJaiNy_1,4.39 //	yAga-sADaka-tA-dvArA viDeya-prastara-stutiH // MJENi-_1,4.39 //
   idamāmnāyate -"yajamānaḥ prastaraḥ"iti |	idam-AmnAyate -"yajamAnaH prastaraH"iti |
   tatra yajamānasya prastaraśabdo nāmadheyam, prastarasya vā yajamānaśabdo	tatra yajamAnasya prastara-SabdaH nAmaDeyam, prastarasya vA yajamAna-SabdaH-
   nāmadheyam |	nAmaDeyam |
   kutaḥ - ' udbhidā yānena ' ityādāviva sāmānādhikaraṇyādityekaḥ pakṣaḥ |	kutas  a udBidAH yAnena a iti-AdO=-iva sAmAnADikaraNyAt-iti-ekaH pakzaH |
   guṇavidhirityaparaḥ pakṣaḥ |	guNa-viDiH-iti-aparaH pakzaH |
   tadāpi yajamānakārye japādau prastarasyācetanasya sāmarthyābhāvādguṇatvaṃ	tadA-api yajamAna-kArye japa-AdO prastarasya-acetanasya sAmarTya-aBAvAt-guNa-tvam
   nāsti |	na-asti |
   prastarakārye strugdhāraṇādau yajamānasya śaktatvādyajamānarūpo guṇo	prastara-kArye struc-DAraNa-AdO yajamAnasya Sakta-tvAt-yajamAna-rUpaH guNa-u
   vidhīyate |	viDIyate |
   evaṃ sati paścācchrutasya prastaraśabdasya kāryalakṣakatve 'pi	evam sati paScAt-Srutasya prastara-Sabdasya kArya-lakzaka-tve api
   prathamaśruto yajamānaśabdo mukhyavṛttirbhavati |	praTama-SrutaH yajamAna-SabdaH muKya-vRttiH-Bavati |
   na cātra pūrvanyāyena stutiḥ saṃbhavati |	na ca-atra pUrva-nyAyena stutiH saMBavati |
   aṣṭākapāladvādaśakapālayoriva prastarayajamānayoraṃśāṃśitvābhāvāt |	azwAkapAla-dvAdaSa-kapAlayoH-iva prastara-yajamAnayoH-aMSa-aMSitva-aBAvAt |
   "vāyurvai kṣepiṣṭhā devatā"ūrjo 'varudhyai"ityādivatstutiriti cet |	"vAyuH-vE kzepizWA devatA-"UrjaH avaruDyE"ityAdi-vat-stutiH-iti ced |
   na |	na |
   kṣipratvādidharmavatkasyacidutkarṣasyāpratīteḥ |	kzipra-tva-Adi-Darmavat-kasyacid-utkarzasya-apratIteH |
   tasmāt - ' nāmaguṇayoranyataratvam"iti prāpte , --	tasmAt  a nAma-guNayoH-anyatara-tvam-"iti prApte , --
   brūmaḥ- gomahiṣayorivārthabhedasyātyantaprasiddhatvānnāmatvaṃ na yuktam |	brUmaH go-mahizayoH-iva-arTa-Bedasya-atyanta-prasidDa-tvAt-nAma-tvam na yuktam |
   guṇapakṣe tu - agnau praharaṇasya prastarakāryatvādyajamāne prahṛte sati	guNa-pakze tu  agnO praharaNasya prastara-kArya-tvAt-yajamAne prahRte sati
   karmalopaḥ syāt |	karma-lopaH syAt |
   tasmāt - vidheyaḥ prastaro yajamānaśabdena stūyate |	tasmAt  viDeyaH prastaraH yajamAna-Sabdena stUyate |
   yathā ' siṃho devadattaḥ ' ityatra siṃhaguṇena śauryādinopeto devadattaḥ	yaTA a siMhaH devadattaH a iti-atra siMha-guNena SOrya-AdinA-upetaH devadattaH
   siṃhaśabdena stūyate, tathā yajamānaguṇena yāgasādhanatvena yuktaḥ	siMha-Sabdena stUyate, taTA yajamAna-guNena yAga-sADana-tvena yuktaH
   prastaro yajamānaśabdena stūyate |	prastaraH yajamAna-Sabdena stUyate |
