   {...} = akṣara unclear	{...}  akzaraH unclear
   117 tatrodāharaṇam  yat sarvadeśasthitaḥ	117 tatra udAharaNam yat sarva deSa sTitaH
   svasambandhibhiyugapadabhisambadhyate tat sarvagatam yathākāśam |	sva sambanDi Bi yugapad aBisambaDyate tat sarva gatam yaTA AkASam |
   abhisambadhyate ca sarvadeśāvasthitaḥ svasambandhibhiyu gapat sāmānyamiti	aBisambaDyate ca sarva deSa avasTitaH sva sambanDi Biyu gapad sAmAnyam iti
   āgamārthavicāreṣu | viruddhāvyabhicārī sādhanadoṣa ukta iti | sugamam ||	Agama arTa vicArezu | virudDa avyaBicArI sADana dozaH uktaH iti | sugamam ||
   yadyayamayogya eva, tarhi āgamāśrayānumāne 'pi tasya kathaṃ sambhava iti	yadi ayam ayogyaH eva, tarhi Agama ASraya anumAne api tasya kaTam samBavaH iti
   ced? āha  śāstreti |	ced? Aha SAstra iti |
   sarvaiśca śāstrakāraistaddarśanānutpannā api kecana arthāḥ	sarvEH ca SAstra kArEH tad darSana anutpannAH api kecana arTAH
   svabhāvaviparyayeṇābhihitā bavanti | tatastayā viruddhāvyabhicārī bhavati	svaBAva viparyayeNa aBihitAH bavanti | tatas tayA virudDa avyaBicArI Bavati
   yadi tasyāgamapratibaddhānumāne sattvameveṣyate, tarhi vastubalena	yadi tasya Agama pratibadDa anumAne sattvam eva izyate, tarhi vastu balena
   pravṛttirapi kasmānneṣyate iti cet/ tatrāha  na hīti |	pravRttiH api kasmAt na izyate iti cet/ tatra aha na hi iti |
   yathā vastuno 'vasthitistathaiva sthitiryeṣāṃ te	yaTA vastunaH avasTitiH taTA eva sTitiH yezAm te
   yathāvasthitavastusthitayaḥ | sthitiḥ= vyavasthā | ātmā ca kārya	yaTA avasTita vastu sTitayaH | sTitiH vyavasTA | AtmA ca kArya
   cānupalambhaśceti vigrahaḥ | ātmā svabhāvo nāma | yathā sadarthe	ca anupalamBaH ca iti vigrahaH | AtmA svaBAvaH nAma | yaTA sat arTe
   vastuvyavasthā, tathā svabhāva  kārya anupalambhahetavaste vyāvsthitā teṣu	vastu vyavasTA, taTA svaBAva kArya anupalamBa hetavaH te vyAvsTitA tezu
   viruddhāvyabhicāriṇaḥ kutaḥ sambhavaḥ || 116 ||	virudDa avyaBicAriNaH kutas samBavaH || 116 ||
   tatrodāhārṇamiti | āgamāśritapramāṇopadarśanam | yat sarvadeśāvasthitaiḥ	tatra udAha arNam iti | Agama ASrita pramANa upadarSanam | yat sarva deSa avasTitEH
   distasya vicāreṣu prakrānteṣu āgamāśrayamanumānaṃ sambhavati | tadāśrayo	diH tasya vicArezu prakrAntezu Agama ASrayam anumAnam samBavati | tad ASrayaH 
   viruddhāvyabhicāryukta ācāryeṇoti || 114 ||	virudDa avyaBicAri uktaH AcAryeNa uti || 114 ||
   kasmāt punarāgamāśraye 'pyanumāne sambhavaḥ? ityāha  śāstrakārāṇāmīt |	kasmAt punar Agama ASraye api anumAne samBavaH? iti Aha SAstra kArANAmIt |
   śāstrakṛtām | viparītasya vastuviruddhasya svabhāvasa upasaṃhāro	SAstra kRtAm | viparItasya vastu virudDasya svaBAvasaH upasaMhAraH 
   ḍhaukanamartheṣu, tasya sambhavād viruddhāvyabhicārisambhavaḥ | bhrāntyeti	XOkanam arTezu, tasya samBavAt virudDa avyaBicAri samBavaH | BrAntyA iti
   | viparyāsena | viparyastā hi śāstrakārāḥ santamasantaṃ	| viparyAsena | viparyastAH hi SAstra kArAH santam asantam
   svabhāvamāropayantīti || 115 ||	svaBAvam Aropayanti iti || 115 ||
   yadi śāstrakṛto 'pi bhrāntāḥ, punaranyeṣvapi puruṣeṣu ka āśvāsaḥ? ityāha 	yadi SAstra kRtaH api BrAntAH, punar anyezu api puruzezu kaH ASvAsaH? iti Aha 
   na hīti | na hetuṣu kalpanayā hetutvavyavasthā, api tu vastusthityā | tato	na hi iti | na hetuzu kalpanayA hetu tva vyavasTA, api tu vastu sTityA | tatas 
   yathāvasthitavastusthitiṣvātmakāryānupalambheṣvasya sambhavo nāsti |	yaTA avasTita vastu sTitizu Atma kAryAnupalamBezu asya samBavaH na asti |
   avasthitaṃ paramārthasadvastu tadanatikrāntā yathāvasthitā vastusthitiḥ=	avasTitam parama arTa sat vastu tad anatikrAntA yaTA avasTitA vastu sTitiH=
   vyavasthā yeṣāṃ te yathāvasthidavastusthitayaḥ | te hi yathā vastu sthitaṃ	vyavasTA yezAm te yaTAvasTida vastu sTitayaH | te hi yaTA vastu sTitam
   tathā sthitāḥ, na kalpanayā | tatasteṣu na bhrānteravakāśo 'sti, yena	taTA sTitAH, na kalpanayA | tatas tezu na BrAnteH avakASaH asti, yena
   viruddhāvyabhicāri sambhavaḥ syāt || 116 ||	virudDa avyaBicAri samBavaH syAt || 116 ||
   118 tatsambandhasvabhavamātrānubandhinī taddeśasannihitasvabhāvatā ||	118 tad sambanDa sva Bava mAtra anubanDinI tad deSa sannihita svaBAva tA ||
   svasambandhibhiryu pagapadabhisambaddhayate tat sarvagatamiti | sarvasmin	sva sambanDiBiH yu paga pad aBisambadDayate tat sarva gatam iti | sarvasmin
   deśe 'vasthitāḥ sarvadeśāvasthitāḥ | ta eva svasya ca sambandhinaḥ	deSe avasTitAH sarva deSa avasTitAH | te eva svasya ca sambanDinaH
   svasamtandhinaḥ | yadapi vastu sarvadeśāvasthitasvasambandhibhiyu	sva samtanDinaH | yat api vastu sarva deSa avasTita sva sambanDi Biyu
   gapadabhisambadhyate tat sarvagatameva dṛṣṭam | yathā ākāśamiti | ākāśaṃ	gapad aBisambaDyate tat sarva gatam eva dRzwam | yaTA AkASam iti | AkASam
   hi sarvadeśāvasthitasvasambandhibhiryu gapadabhisambadhyate tacca	hi sarva deSa avasTita sva sambanDiBiH yu gapad aBisambaDyate tat ca
   sarvagatameveṣṭam | etadvacanenānvayo darśitaḥ |	sarva gatam eva izwam | etat vacanena anvayaH darSitaH |
   sāmānyamapi sarvadeśāvasthitaiḥ svasambandhibhiryu gapadabhisambadhyate	sAmAnyam api sarva deSa avasTitEH sva sambanDiBiH yu gapad aBisambaDyate
   iti | sāmānyasya sambandhino hi vyaktiviśeṣāḥ sarveṣu vidyamānāḥ | taiśca	iti | sAmAnyasya sambanDinaH hi vyakti viSezAH sarvezu vidyamAnAH | tEH ca
   sāmānyaṃ yugapadabhisambaddhayate | anena pakṣadharma uktaḥ || 117 ||	sAmAnyam yugapad aBisambadDayate | anena pakza DarmaH uktaH || 117 ||
   svabhāvahetulaṇatvaṃ prayogasya darśayitumāha  tatsambandhoti |	svaBAva hetu laNa tvam prayogasya darSayitum Aha tad sambanDoti |
   tasya sambandhitaḥ tatsambandhinaḥ | tatsambandhināṃ	tasya sambanDitaH tad sambanDinaH | tad sambanDinAm
   svabhāvamātramanubandhu śīlaṃ yasyā sā tatsambandhisvabhavamātrānubandhinī	svaBAva mAtram anubanDu SIlam yasyAH sA tad sambanDi svaBava mAtra anubanDinI
   | teṣāṃ sambandhināṃ deśāstaddeśāḥ | tatdeśe sannihitastaddeśasannihitaḥ |	| tezAm sambanDinAm deSAH tad deSAH | tad deSe sannihitaH tad deSa sannihitaH |
   taddeśannihitaḥ svabhāvo yasya sa taddeśasanni hitasvabhāvaḥ | tasya	tad deSat nihitaH svaBAvaH yasya sa tad deSa sanni hita svaBAvaH | tasya
   bhāvaḥ taddeśasannihitasvabhāvatā | sambandhideśe upasthitiriti śeṣa ||	BAvaH tad deSa sannihita svaBAva tA | sambanDi deSe upasTitiH iti SezaH ||
   tatra viruddhāvyabhicāryudāharaṇam  yaditi | yat sarvasmit deśe	tatra virudDa avyaBicAri udAha raNam yat iti | yat sarvasmit deSe
   'vasthitaiḥ svasambandhibhiryu gapadabhisambaddhayate iti	avasTitEH sva sambanDiBiH yu gapad aBisambadDayate iti
   sarvadeśāvasthitairabhisambadhyamānatvaṃ sāmānyasya anūdaya sarvagatatvaṃ	sarva deSa avasTitEH aBisambaDyamAna tvam sAmAnyasya anUdaya sarva gata tvam
   vidhīyate | tena yugapadabhisambadhyamānatvaṃ sarvagatatve niyataṃ tena	viDIyate | tena yugapad aBisambaDyamAna tvam sarva gata tve niyatam tena
   vyāptaṃ kathyate |	vyAptam kaTyate |
   iha sāmānyaṃ kaṇādamaharṣiṇā niṣkriyaṃ dṛśyamekaṃ coktam | yugapacca	iha sAmAnyam kaNAda mahA RziNA nizkriyam dRSyam ekam ca uktam | yugapad ca
   sarvaiḥ svaiḥ sambandhibhiḥ samavāyena sambaddham | tatra pailukena	sarvEH svEH sambanDiBiH samavAyena sambadDam | tatra pElukena
   kaṇādaśiṣyeṇa vyaktiṣu vyaktirahiteṣu ca deśeṣu sāmānyaṃ sthitaṃ	kaNAda SizyeNa vyaktizu vyakti rahitezu ca deSezu sAmAnyam sTitam
   sādhayituṃ pramāṇamidamupanyastam | yathā ākāśamiti | vyāpti	sADayitum pramANam idam upanyastam | yaTA AkASam iti | vyApti
   pradarśanaviṣayo dṛṣṭāntaḥ | ākāśamapi hi sarvadeśāvasthitaivṛkṣādibhiḥ	pradarSana vizayaH dRzwAntaH | AkASam api hi sarva deSa avasTita evRkza AdiBiH
   svasaṃyogibhiryugapadabhisambadhyamānaṃ sarvagataṃ ca | abhisambadhyate ca	sva saMyogiBiH yugapad aBisambaDyamAnam sarva gatam ca | aBisambaDyate ca
   sarvadeśāvasthitaiḥ svasambandhibhiriti | hetoḥ pakṣadharmatvapradarśanam	sarva deSa avasTitEH sva sambanDiBiH iti | hetoH pakza Darma tva pradarSanam
   asya svabhāvahetutvaṃ yojayitumāha  tatsambandhīti | teṣāṃ	asya svaBAva hetu tvam yojayitum Aha tad sambanDI iti | tezAm
   sarvadeśāvasthitānāṃ dravyāṇāṃ sambandhī sāmānyasya svabhāvaḥ sa eva	sarva deSa avasTitAnAm dravyANAm sambanDI sAmAnyasya svaBAvaH saH eva
   tatsambandhisvabhāvamātram, tadanubadhnātīti tadanubandhinī |	tad sambanDi svaBAva mAtram, tad anubaDnAti iti tad anubanDinI |
   kāsau? ityāha  tadde śasannihitasdebhāvatā | teṣāṃ sambandhināṃ deśaḥ	kAsO? iti Aha tat de Sasat nihita sdeBAvatA | tezAm sambanDinAm deSaH
   taddeśaḥ | taddeśe sannihitaḥ svabhāvo yasya tat taddeśannihitasva 	tad deSaH | tad deSe sannihitaH svaBAvaH yasya tat tad deSat nihita sva 
   119 na hi yo yatra nāsti sa taddśamātmanā vyāpnotīti svabhāvahetuprayoga	119 na hi yaH yatra na asti sa tad dSama AtmanA vyApnoti iti svaBAva hetu prayoga
   iti |	iti |
   120 dvitīyo 'pi prayogaḥ  yadupalabdhilakṣaprāptaṃ sannipalamyate na tat	120 dvitIyaH api prayogaH yat upalabDi lakza prAptam sannipalamyate na tat 
   tannāsti | tadayathā  kvacidavidayamāno ghaṭaḥ | nopalabhyate	tat na asti | tat ayaTA kvacid avidayamAnaH GawaH | na upalaByate
   copalabhilakṣaṇaprāptaṃ sāmānyaṃ vyaktyantarāleṣviti | ayamanupalambhah	ca upalaBi lakzaNa prAptam sAmAnyam vyakti antarAlezu iti | ayam anupalamBah
   svabhāvaśca parasparaviruddhāsāthanāde katra saṃśayaṃ janayataḥ ||	svaBAvaH ca paraspara virudDa AsATa nAde katra saMSayam janayataH ||
   sarvagatatvenava hi sambandhino vyāpyante ityetacca kasmāditi cet? āha  ya	sarva gata tvenava hi sambanDinaH vyApyante iti etat ca kasmAt iti cet? Aha ya
   iti |	iti |
   yaśca yatra nāsti tasya taddeśavyāpannaṃ kathaṃ śakyam? taddeśa iti | sa	yaH ca yatra na asti tasya tad deSa vyApannam kaTam Sakyam? tad deSaH iti | sa
   deśo yasya sa taddeśa iti yasmin deśe sa nāsti taddeśasambandhinaṃ sa na	deSaH yasya sa tad deSaH iti yasmin deSe sa na asti tad deSa sambanDinam sa na
   saknoti vyāpayitumīt śeṣaḥ | svabhāvahetuprayoga iti | sugamam || 119 ||	saknoti vyApayitumIt SezaH | svaBAva hetu prayogaH iti | sugamam || 119 ||
   atha kāṇādaiḥ kaiścit sāmānyasya sarvagatatvamuktam, aparaiśca kāṇādaiḥ	aTa kANAdEH kEScid sAmAnyasya sarva gata tvam uktam, aparEH ca kANAdEH
   sāmābhāvam, tasya hi yeṣāṃ sambandhī svabhāvaḥ, tanniyamena teṣāṃ deśe	sa Ama aBAvam, tasya hi yezAm sambanDI svaBAvaH, tad niyamena tezAm deSe
   sannihitaṃ bhavati | tatastatsambandhitvānubandhinī taddeśasannihitā	sannihitam Bavati | tatas tad sambanDitva anubanDinI tad deSa sannihitA
   sāmānyasya || 118 ||	sAmAnyasya || 118 ||
   nanu ca gavāṃ sambandhī svāmī, na ca godeśe sannihitasvabhāvaḥ, tat kathaṃ	nanu ca gavAm sambanDI svAmI, na ca go deSe sannihita svaBAvaH, tat kaTam
   tatsambandhitvāt taddeśatvam? ityāha  na hīti | yo yatra deśe nāsti sa	tad sambanDi tvAt tad deSa tvam? iti Aha na hi iti | yaH yatra deSe na asti sa
   deśo yasya sa taddeśaḥ taṃ na vyāpnotītyātmanā svarūpeṇa | iha sāmānyasya	deSaH yasya sa tad deSaH tam na vyApnoti iti AtmanA sva rUpeNa | iha sAmAnyasya
   tadvatāṃ ca samavāyalakṣaṇaḥ sambandhah, sa cābhinnadeśayoreva | tena	tadvatAm ca samavAya lakzaNaH sambanDa h, sa ca aBinna deSayoH eva | tena
   yatra tay samavetaṃ tat tadātmīyena rūpeṇa kroḍīkurvat samavāyirūpa deśe	yatra tay samavetam tat tad A AtmIyena rUpeNa kroxIkurvat samavAyi rUpa deSe
   svātmānaṃ niveśayati |	sva AtmAnam niveSayati |
   taddeśarūpaniveśanameva tatkroḍīkaraṇam | tatastatsamavāyaḥ |	tad deSa rUpa niveSanam eva tad kroxIkaraNam | tatas tad samavAyaH |
   tasmād yat tatra samavetaṃ tat tad dravyaṃ vyāpnuvadātmā taddeśe	tasmAt yat tatra samavetam tat tat dravyam vyApnuvat AtmA tad deSe
   sannihitaṃ bhavati |	sannihitam Bavati |
   tadayamarthah  taddeśasthavastuvyāpanaṃ taddeśasattayā vyāptam |	tat ayam arTa h tad deSa sTa vastu vyApanam tad deSa sattayA vyAptam |
   taddeśasattābhāve tadvayāpanābhāvāt vyāpanalakṣaṇaḥ samavāyasambandho na	tad deSa satta aBAve tad vayApana aBAvAt vyApana lakzaNaH samavAya sambanDaH na
   syāt | asti ca vyāpanam | atastaddeśe sannihitatvamiti yadayaṃ	syAt | asti ca vyApanam | atas tad deSe sannihita tvam iti yat ayam
   svabhāvahetuḥ || 119 ||	svaBAva hetuH || 119 ||
   paiṭharaprayogaṃ darśayannāha  dvitīya'pīti | yadupalabdherlakṣaṇatāṃ	pEWara prayogam darSayat = Aha dvitIya api iti | yat upalabDeH lakzaNa tAm
   viṣayatāṃ prāptaṃ dṛśyamityarthaḥ | etena dṛśyānupalabdhimanūdaya na tat	vizaya tAm prAptam dRSyam iti arTaH | etena dRSyAnupalabDim anUdaya na tat 
   tatrāsti ityasadvayavahāryatvaṃ vihitam | tato	tatra asti iti asa dvayavahArya tvam vihitam | tatas 
   vyāpyadṛśyānupalabdhervyāpakamasadvayavahāryatvaṃ darśitam | tadayatheti	vyApi a dRSya anupalabDeH vyApakam asa dvaya vahArya tvam darSitam | tat ayaTA iti
   kvacidasan ghaṭo dṛṣṭāntaḥ |	kvacid asan GawaH dRzwAntaH |
   121 trirūpī heturuktaḥ | tāvatā nārthapratītiriti na pṛthagdṛṣṭānto nāma	121 trirUpI hetuH uktaH | tAvatA na arTa pratItiH iti na pRTak dRzwAntaH nAma
   sādhanāvayavaḥ kaścit | tena nāsya lakṣaṇaṃ pṛthagucyate gatārthatvāt |	sADana avayavaH kaScid | tena na asya lakzaNam pRTak ucyate gata arTa tvAt |
   nyasya kevalāśrayasarvagatatvamevāṅgīkṛtam, tannayapradarśanārthamāha 	nyasya kevala ASraya sarva gata tvam eva aFgIkRtam, tad naya pradarSana arTam Aha 
   dvitīya iti | tacca sugamam |	dvitIyaH iti | tat ca sugamam |
   yadupalabdhīti | atrānupalabdheranvayaḥ kathitaḥ |	yat upalabDI iti | atra anupalabDeH anvayaH kaTitaH |
   vyakterantarālāni vyaktyantarālāni vyaktyantarāṇi | teṣu upalabdhilakṣaṇa	vyakteH antarAlAni vyakti antarAlAni vyakti antarANi | tezu upalabDi lakzaNa
   prāptaṃ sāmānyaṃ nopalabhyate | anena pakṣadharma uktaḥ | tadvādinā ca	prAptam sAmAnyam na upalaByate | anena pakza DarmaH uktaH | tad vAdinA ca
   kevalāśrayasarvagatatvamuktam || 119 ||	kevala ASraya sarva gata tvam uktam || 119 ||
   avyavahitoktyānupalabdhyā sāmānyasya kevalāśrayasarvagatatvaṃ sādhyate |	avyavahita uktyA anupalabDyA sAmAnyasya kevala ASraya sarva gata tvam sADyate |
   prākca svabhāvahetunā sarvasarvagatatvaṃ sādhitamiti dvābhyāṃ	prAk ca svaBAva hetunA sarva sarva gata tvam sADitam iti dvAByAm
   parasparaviruddhārthasādhanāt kiṃ vyaktyantarāleṣu sāmānyānupalabdheḥ	paraspara virudDa arTa sADanAt kim vyakti antarAlezu sAmAnya anupalabDeH
   kevalāśrayasarvagatatvameva sarvadeśāvasthitasvasambandhiṣu anubaddhatvāt	kevala ASraya sarva gata tvam eva sarva deSa avasTita sva sambanDizu anubadDa tvAt 
   sarvasarvagatatvameva veti anubhavādekasminneva sāmānye sandehī jāyate |	sarva sarva gata tvam eva vA iti anuBavAt ekasmin= eva sAmAnye sandehI jAyate |
   evamiyatā parārthānumānaṃ tatsvarūpairdarśitam || 120 ||	evam iyatA para arTa anumAnam tad svarUpEH darSitam || 120 ||
   nanun dṛṣṭāntalakṣaṇaṃ kasmānnoktamiti cet? tatrāha  trirūpa iti |	nanun dRzwAnta lakzaNam kasmAt na uktam iti cet? tatra aha trirUpaH iti |
   pūrva hetorlakṣaṇatrayaṃ yaduktaṃ tenaiva rūpatrayeṇa	pUrva hetoH lakzaNa trayam yat uktam tena eva rUpa trayeNa
   sādhyārthasiddhirbhavati | tena dṛṣṭānto nāma pṛthak sādhanāvayavo nāsti |	sADya arTa sidDiH Bavati | tena dRzwAntaH nAma pRTak sADana avayavaH na asti |
   tataśca tallakṣaṇaṃ pṛthagnoktam |	tatas ca tad lakzaNam pRTagna uktam |
   pakṣadharmatvaṃ darśayitumāha  nopalabhyate ceti | vyaktyantarālaṃ	pakza Darma tvam darSayitum Aha na upalaByate ca iti | vyakti antarAlam
   vyaktyantaraṃ ca vyaktiśūnyaṃ cākāśam | dṛśyamapi kasyāñcid vyaktī	vyakti antaram ca vyakti SUnyam ca AkASam | dRSyam api kasyAQcid vyaktI
   gosāmānyamaśvādiṣu vyaktyantareṣu vyaktiśūnye cākāśe nopalabhyate |	go sAmAnyam aSva Adizu vyakti antarezu vyakti SUnye ca AkASe na upalaByate |
   tasmānna teṣvastīti gamyate |	tasmAt na tezu asti iti gamyate |
   ayamanupalambhaḥ pūrvoktaśca svabhāvaḥ parasya viruddhau yavathau tayoḥ	ayam anupalamBaH pUrva uktaH ca svaBAvaH parasya virudDO yavaTO tayoH
   sādhanāt tāvekasmin dharmiṇi saṃśayaṃ janayataḥ | na hyeko 'rthaḥ	sADanAt tO= ekasmin DarmiNi saMSayam janayataH | na hi ekaH arTaH
   parasparaviruddhasvabhāvo bhavitumarhati | ekena cātra vyaktyantareṣu	paraspara virudDa svaBAvaH Bavitum arhati | ekena ca atra vyakti antarezu
   vyaktiśūnye cākāśe sattvam | apareṇa cānupalambhena asattvaṃ sādhyate | na	vyakti SUnye ca AkASe sattvam | apareNa ca anupalamBena asattvam sADyate | na
   caikasyaikasaikatra sattvamasattvaṃ ca yuktamḥ tayovirodhāt |	ca ekasya eka sA ekatra sattvam asattvam ca yuktamH tayaH viroDAt |
   tadāgamasiddhasya sāmānyasya sarvagatatvāsarvagatatvayoḥ sādhyayoreto	tad Agama sidDasya sAmAnyasya sarva gata tva asarva gata tvayoH sADyayoH eto
   viruddhāvyabhicāriṇī jātau | yataḥ sāmānyasyaikasya yugapat	virudDa avyaBicAriNI jAtO | yatas sAmAnyasya ekasya yugapad 
   sarvadeśāvasthitairabhisambandhitvaṃ cābhyupagatam, dṛśyatvaṃ ca tataḥ	sarva deSa avasTitEH aBisambanDi tvam ca aByupagatam, dRSya tvam ca tatas 
   sarvasambandhitvāt sarvagatatvam,	sarva sambanDi tvAt sarva gata tvam,
   dṛśyatvādantarālādanupalambhādasarvagatatvam | tataḥ śāstrakārreṇaiva	dRSya tvAt antarAlAt anupalamBAt asarva gata tvam | tatas SAstra kArreNa eva
   viruddhavyaptatvamapaśyatā viruddhavyāptī dharmāvuktvā	virudDa vyapta tvam apaSyatA virudDa vyAptI DarmO= uktvA
   viruddhāvyabhicāryavakāśo datta iti | na ca vastunyasya sambahvaḥ || 120	virudDa avyaBicArya vakASaH dattaH iti | na ca vastuni asya sambahvaH || 120
   ityuktā hetvābhāsāḥ ||	iti uktAH hetvABAsAH ||
   nanu ca sādhanāvayavatvād yathā hetava uktāḥ, tatprasaṅgena ca hetvā 	nanu ca sADana avayava tvAt yaTA hetavaH uktAH, tad prasaFgena ca hetvA 
   122 hetoḥ sapakṣa eva sattvamasapakṣācca sarvato vyāvṛtto	122 hetoH sa pakzaH eva sattvam asapakzAt ca sarvatas vyAvRttaH 
   rūpamuktamabhedena | punarviśeṣeṇa	rUpam uktam aBedena | punar viSezeNa
   kāryasvabhāvayoruktalakṣaṇayorjanmatanmātrānubandhī darśanīyāvuktau |	kArya svaBAvayoH ukta lakzaNayoH janma tanmAtra anubanDI darSanIyO= uktO |
   tacca darśayatā  yatra dhūmastatrāgniḥ, asatyagnau na kvacid dhūmaḥ, yathā	tat ca darSayatA yatra DUmaH tatra agniH, asati agnO na kvacid DUmaH, yaTA
   mahānasetarayoḥ | yatra kṛtakatvaṃ tatrānityatvam,	mahAn asa itarayoH | yatra kRtaka tvam tatra anitya tvam,
   gatārthatvāditi hetvarthenaiva dṛṣṭāntārthasyāvagamāt || 121 ||	gata arTa tvAt iti hetu arTena eva dRzwAnta arTasya avagamAt || 121 ||
   kathamiti cedāha  hetoriti |	kaTam iti ced Aha hetoH iti |
   prayogamātra etadeva hetorlakṣaṇam  sapakṣa eva sattvam ityevarūpam |	prayoga mAtre etat eva hetoH lakzaNam sa pakzaH eva sattvam iti eva rUpam |
   tathā sarvasmād vipakṣād vyāvṛtiḥ ityevaṃrūpam ca |	taTA sarvasmAt vipakzAt vyAvRtiH iti evaMrUpam ca |
   viśeṣeṇa ca hetorlakṣaṇam  kāryahetorjanma pradarśanīyam ityuktam,	viSezeNa ca hetoH lakzaNam kArya hetoH janma pradarSanIyam iti uktam,
   svabhāvaheto stanmātrānubandhaḥ kathanīya ityuktam |	svaBAva heto stanmAtra anubanDaH kaTanIyaH iti uktam |
   sāmānaylakṣaṇaṃ viśeṣalakṣaṇaṃ ca darśayateti śeṣaḥ |	sAmAnaylakzaNam viSeza lakzaNam ca darSayata iti SezaH |
   kāryahetorhi svakīyakṣaṇaṃ(viśeṣalakṣaṇaṃ) tathā sāmānaylakṣaṇaṃ ca yogyam	kArya hetoH hi svakI ya kzaNaM(viSeza lakzaNan) taTA sAmAnaylakzaNam ca yogyam
   | evaṃ ca darśayatā viśeṣeṇa kathayatā ityarthaḥ | tathāhi  atra	| evam ca darSayatA viSezeNa kaTayatA iti arTaH | taTA hi atra
   sapakṣasattvaṃ pradarśayatā	sa pakza sattvam pradarSayatA
   bhāsāḥ, tathā sādhanāvayatvād dṛṣṭāntā vaktavyāḥ tatprasaṅgena ca dṛṣṭāntā	BAsAH, taTA sADana avayatvAt dRzwAntAH vaktavyAH tad prasaFgena ca dRzwAntA
   bhāṣāḥ tat kathaṃ noktāḥ? ityāha  trirūpo heturuktaḥ, tat ki dṛṣṭāntaiḥ?	BAzAH tat kaTam na uktAH? iti Aha trirUpaH hetuH uktaH, tat ki dRzwAntEH?
   syādetat, tāvatā nārthapratītiḥ? ityāha  tāvatā ceti | uktalakṣaṇenaiva	syAt etat, tAvatA na arTa pratItiH? iti Aha tAvatA ca iti | ukta lakzaNena eva
   hetunā bhavati sādhyapratītiḥ, ataḥ sa eva gamakaḥ, tatastadvacanameva	hetunA Bavati sADya pratItiH, atas saH eva gamakaH, tatas tat vacanam eva
   gamakam | na dṛṣṭānto nāma sādhanasyāvayavaḥ | yataścārya nāvayavaḥ, tena	gamakam | na dRzwAntaH nAma sADanasya avayavaH | yatas ca Arya na avayavaH, tena
   nāsya dṛṣṭāntasya lakṣaṇaṃ hetulakṣaṇāt pṛthagucyate |	na asya dRzwAntasya lakzaNam hetu lakzaNAt pRTak ucyate |
   kathaṃ tarhi hetorvyāptiniśrayaḥ, yadyadṛṣṭāntako heturiti ced? nocyate	kaTam tarhi hetoH vyApti niSrayaH, yadi adRzwAntakaH hetuH iti ced? na ucyate
   heturadṛṣṭāntaka eva, api tu na hetoḥ pṛthagdṛṣṭānto nāma | hetvantarbhūta	hetuH adRzwAntakaH eva, api tu na hetoH pRTak dRzwAntaH nAma | hetu antar BUta 
   eva dṛṣṭāntaḥ | ata evoktam  nāsya pṛthag lakṣaṇamucyate iti | na	eva dRzwAntaH | atas eva uktam na asya pRTak lakzaNam ucyate iti | na
   tvevamuktam nāsya lakṣaṇamucyate iti |	tu evam uktam na asya lakzaNam ucyate iti |
   yadyevam, hetūpayogino 'pi lakṣaṇaṃ vaktavyameva? ityāha  gatārthatvāt |	yadi evam, hetu upayoginaH api lakzaNam vaktavyam eva? iti Aha gata arTa tvAt |
   gato 'rthaḥ prayojanam, abhidheyaṃ vā yasya dṛṣṭāntalakṣaṇasya, tat tathā	gataH arTaH prayojanam, aBiDeyam vA yasya dRzwAnta lakzaNasya, tat taTA
   | tasya bhāvastatvam, tasmāt | dṛṣṭāntalakṣaṇaṃ hyucyate	| tasya BAvaH tatvam, tasmAt | dRzwAnta lakzaNam hi ucyate
   dṛṣṭāntapratītiryathā syāt | dṛṣṭāntaśca hetulakṣaṇādevāvasitaḥ, tato	dRzwAnta pratItiH yaTA syAt | dRzwAntaH ca hetu lakzaNAt eva avasitaH, tatas 
   dṛṣṭāntalakṣaṇasya yat prayojanaṃ dṛṣṭāntapratītiḥ, tad gatam= niṣpannam |	dRzwAnta lakzaNasya yat prayojanam dRzwAnta pratItiH, tat gatam nizpannam |
   abhidheyaṃ va gatam= jñātaṃ dṛṣṭāntākhyam || 121 ||	aBiDeyam va gatam jQAtam dRzwAnta AKyam || 121 ||
   kathaṃ gatārthatvam? ityāha  hetoḥ rūpamuktamabhedena | sāmānyena |	kaTam gata arTa tvam? iti Aha hetoH rUpam uktam aBedena | sAmAnyena |
   sādhāraṇaṃ kārya svabhāva anupalambhanāmetallakṣaṇamityarthaḥ | kiṃ	sADAraNam kArya svaBAva anupalamBanAm etat lakzaNam iti arTaH | kim
   punastat?	punar tat?
   anityatvābhāve kṛtakatvāsambhavaḥ, yathā ghaṭākāśayoriti darśanīyam |	anitya tva aBAve kRtaka tva asamBavaH, yaTA Gawa AkASayoH iti darSanIyam |
   na hyanyathā sapakṣa vipakṣayoḥ sadasattve yathoktaprakāre śakye	na hi anyaTA sa pakza vipakzayoH sat asat tve yaTA ukta prakAre Sakye
   darśayitum |	darSayitum |
   tatkāryatāniyamaḥ kāryaliṅgasya, svabhāvaliṅgasya ca svabhāvena	tad kAryatA niyamaH kArya liFgasya, svaBAva liFgasya ca svaBAvena
   avaśyaṃ yathā mahānasaḥ ityabhidheyam | anyathā sapakṣasattvameva	avaSyam yaTA mahAnasaH iti aBiDeyam | anyaTA sa pakza sattvam eva
