   Cīvaravastu	SIva-ravaH-tu
   glānāḥ asaṃviditā eva sāṃghike śayanāsane kālaṃ kurvanti / bhagavān āha /	glAnAH asaMviditAH eva sAMGike Sayana-Asane kAlam kurvanti / BagavAn Aha /
   glānopasthāyakena glānasya nimittaṃ kuśalena bhavitavyaṃ muhur muhuḥ	glAna-upasTAyakena glAnasya nimittam kuSalena Bavitavyam muhur muhur-
   pratyavekṣitavyaḥ kṛtyasya na hāpayitavyam* / śarīrāvasthāṃ jñātvā	pratyavekzitavyaH kRtyasya na hApayitavyam* / SarIra-avasTAm jQAtvA
   paudgalike śayanāsane vyājenāvatārya śāyitavya iti /	pOdgalike Sayana-Asane vyAjena-avatArya SAyitavyaH iti /
   (MSV II 124)	(MSV II 124)
   śrāvastyāṃ nidānam* / anyatamo bhikṣur glānas tena śarīrāvasthāṃ	SrAvastyAm nidAnam* / anyatamaH BikzuH glAnaH tena SarIra-avasTAm
   paricchidya bhikṣur abhihitaḥ / yāvad ahaṃ jīvāmi tāvad upasthānaṃ kuru /	paricCidya BikzuH aBihitaH / yAvat aham jIvAmi tAvat upasTAnam kuru /
   madīyaṃ pātracīvaraṃ mṛte mayi tava yathāsukham iti / sa tasyopasthānaṃ	madIyam pAtra-cIvaram mRte mayi tava yaTAsuKam iti / sa tasya-upasTAnam
   kartum ārabdhaḥ / yāvad asau bhikṣuḥ kālagataḥ / tataś cīvarabhājakenāsau	kartum ArabDaH / yAvat asO BikzuH kAlagataH / tatas cIvara-BAjakena-asO
   uktaḥ / ānaya tasya bhikṣoḥ pātracīvaram* / bhājayāmi / sa kathayati /	uktaH / Anaya tasya BikzoH pAtra-cIvaram* / BAjayAmi / sa kaTayati /
   mamaiva tena yathāsukhaṃ kṛtam iti / etat prakaraṇaṃ bhikṣavo bhagavata	mama-eva tena yaTAsuKam kRtam iti / etat prakaraNam BikzavaH Bagavata
   ārocayanti / bhagavān āha / jīvann evāsau bhikṣavo na dadāti / kutaḥ punar	Arocayanti / BagavAn Aha / jIvan eva-asO BikzavaH na dadAti / kutas punar-
   mṛto dāsyati / (269v1 = GBM 6.851) nāstīdaṃ dānaṃ mamātyayād asya	mRtaH dAsyati / (269v1  GBm 6.851) na-asti-idam dAnam mama-atyayAt asya
   bhaviṣyati / gṛhītvā bhājayitavyam* / tasyātra bhikṣavo supratyaṃśo deya	Bavizyati / gRhItvA BAjayitavyam* / tasya-atra BikzavaH su-pratyaMSaH deya
   iti /	iti /
   tena khalu samayenānyatamo bhikṣur ābādhiko duḥkhito bāḍhaglānaḥ / sa	tena Kalu samayena-anyatamaH BikzuH AbADikaH duHKitaH bAXa-glAnaH / sa
   cālpajñātaḥ / tasya bhaiṣajyaṃ nāsti / tena śarīrāvasthāṃ paricchidya	ca-alpa-jQAtaH / tasya BEzajyam na-asti / tena SarIra-avasTAm paricCidya
   upasthāyiko 'bhihitaḥ / mama nāsti kiṃcit* / mām uddiśya pūjāṃ kuruṣveti /	upasTAyikaH aBihitaH / mama na-asti kiMcit* / mAm uddiSya pUjAm kuruzva-iti /
   tena pratijñātam* / sa kālagataḥ / apāyeṣūpapannaḥ / atha bhagavān bhikṣūn	tena pratijQAtam* / sa kAlagataH / apAyezu-upapannaH / aTa BagavAn BikzUn
   āmantrayate sma / yo 'sau bhikṣavo bhikṣuḥ kālagataḥ kiṃ tenopasthāyiko	Amantrayate sma / yaH asO BikzavaH BikzuH kAlagataH kim tena-upasTAyiko
   'bhihitaḥ / tair yathāvṛttam ākhyātam* / vinipatito 'sau bhikṣavo bhikṣuḥ	aBihitaH / tEH yaTAvRttam AKyAtam* / vinipatitaH asO BikzavaH BikzuH
   / yadi tasya sabrahmacāribhiḥ ratnatrayapūjā kṛtābhaviṣyat* cittam	/ yadi tasya sa-brahmacAriBiH ratnatraya-pUjA kRta-aBavizyat* cittam
   asyābhiprasannam abhaviṣyat* / tasmān na bhikṣuṇā glānasabrahmacārī	asya-aBiprasannam aBavizyat* / tasmAt na BikzuNA glAna-sabrahmacArI
   adhyupekṣitavyaḥ / glānopasthāyiko dīyate / tad yady asya bhaiṣajyaṃ nāsti	aDyupekzitavyaH / glAna-upasTAyikaH dIyate / tat yadi asya BEzajyam na-asti
   taṃ pṛṣṭvā (MSV II 125) dānapatayaḥ samādāpayitavyāḥ / sacet saṃpadyata	tam pRzwvA (MSV II 125) dAnapatayaH samAdApayitavyAH / saced saMpadyata
   ity evaṃ kuśalam* / nocet saṃpadyate sāṃghikaṃ deyam* / sacet saṃpadyata	iti evam kuSalam* / noced saMpadyate sAMGikam deyam* / saced saMpadyata
   ity evaṃ kuśalam* / nocet saṃpadyate buddhākṣayanīvisantikaṃ deyam* /	iti evam kuSalam* / noced saMpadyate budDa-akzayanI-visantikam deyam* /
   sacet api na saṃpadyate yat tathāgatacaitye vā gandhakuṭyāṃ vā chatraṃ vā	saced api na saMpadyate yat taTAgata-cEtye vA ganDakuwyAm vA Catram vA
   dhvajaṃ vā patākā vā ābharaṇakaṃ vā saṃghena dānīyaṃ dātavyam iti /	Dvajam vA patAkAH vA ABaraNakam vA saMGena dAnIyam dAtavyam iti /
   upasthāyikena vikrīyopasthānaṃ kartavyaṃ śāstuś ca pūjā /	upasTAyikena vikrIya-upasTAnam kartavyam SAstuH ca pUjA /
   svasthībhūtasyārocayitavyaṃ yad buddhasantakaṃ tavopayuktam iti / yady	svasTIBUtasya-Arocayitavyam yat budDa-santakam tava-upayuktam iti / yadi-
   asya vibhavo 'sti / tena yatnam āsthāya dātavyam* / sacen nāsti yad	asya viBavaH asti / tena yatnam AsTAya dAtavyam* / saced na-asti yat-
   asyopayuktam* / arhati putraḥ paitṛkasya / nātra kaukṛtyaṃ karaṇīyam iti /	asya-upayuktam* / arhati putraH pEtRkasya / na-atra kOkRtyam karaNIyam iti /
   śrāvastyāṃ nidānam* / anyatamo bhikṣur ābādhiko duḥkhito bāḍhaglāno	SrAvastyAm nidAnam* / anyatamaH BikzuH AbADikaH duHKitaH bAXa-glAnaH-
   vedanābhibhūtaḥ / tasya pātraṃ śobhanam* / sa tasmin atīvādhyavasitaḥ /	vedanA-aBiBUtaH / tasya pAtram SoBanam* / sa tasmin atIva-aDyavasitaH /
   upasthāyakam āha / ānaya me pātram iti / tena na dattam* / sa tasyāntike	upasTAyakam Aha / Anaya me pAtram iti / tena na dattam* / sa tasya-antike
   cittaṃ pradūṣya pātre 'dhyavasitaḥ kālagataḥ / sa tasminn eva pātre	cittam pradUzya pAtre aDyavasitaH kAlagataH / sa tasmin eva pAtre
   āśīviṣo bhūtvā utpannaḥ / bhikṣavas tam ādahanaṃ nītvā saṃskārya vihāram	ASIvizaH BUtvA utpannaH / BikzavaH tam Adahanam nItvA saMskArya vihAram
   āgatāḥ / bhikṣuḥ saṃnipatitaḥ / cīvarabhājakena mṛtapariṣkārikaṃ vṛddhānte	AgatAH / BikzuH saMnipatitaH / cIvara-BAjakena mRta-parizkArikam vRdDAnte
   'bhirohitam* / tatra bhagavān āyuṣmantam (MSV II 126) ānandam āmantrayate	aBirohitam* / tatra BagavAn Ayuzmantam (MSV II 126) Anandam Amantrayate
   sma / gacchānanda / bhikṣūṇām ārocaya / na kenacit tasya bhikṣoḥ	sma / gacCa-Anande / BikzUNAm Arocaya / na kenacid tasya BikzoH
   pātrasthavikā mocayitavyā / tathāgata eva mocayiṣyati / āyuṣmatānandena	pAtra-sTavikA mocayitavyA / taTAgataH eva mocayizyati / AyuzmatA-Anandena
   bhikṣūṇām ārocitam* / tato bhagavatā svayam eva mocitaḥ / āśīviṣo mahāntaṃ	BikzUNAm Arocitam* / tatas BagavatA svayam eva mocitaH / ASIvizaH mahAntam
   phaṇaṃ kṛtvāvasthitaḥ / tato bhagavatā ṛcchaṭāśabdena prabodhyābhihitaḥ /	PaNam kRtvA-avasTitaH / tatas BagavatA RcCawA-Sabdena praboDya-aBihitaH /
   gaccha mohapuruṣa / tyajainaṃ pātram* / bhikṣavo bhājayantu iti / sa	gacCa moha-puruzaH / tyaja-enam pAtram* / BikzavaH BAjayantu iti / sa
   kupito yatheṣṭagatipracāratayā vanagahanaṃ (270r1 = GBM 6.852) praviṣṭaḥ /	kupitaH yaTezwa-gati-pracAra-tayA vana-gahanam (270r1  GBm 6.852) pravizwaH /
   sa tasmin krodhāgninā prajvalitaḥ / tad vanagahanaṃ pradīptam* / tatraiva	sa tasmin kroDa-agninA prajvalitaH / tat vana-gahanam pradIptam* / tatra-eva
   dagdho bhikṣūṇām antike cittam abhipradūṣya narakeṣūpapannaḥ / tatra	dagDaH BikzUNAm antike cittam aBipradUzya narakezu-upapannaH / tatra
   bhagavān bhikṣūn āmantrayate sma / nirvidyatāṃ bhikṣavaḥ sarvabhavebhyo	BagavAn BikzUn Amantrayate sma / nirvidya-tAm BikzavaH sarva-BaveByaH-
   nirvidyatāṃ sarvabhavopapattikaraṇebhyaḥ / yatra nāmaikasya satvasya triṣu	nirvidya-tAm sarva-Bava-upapatti-karaNeByaH / yatra nAma-ekasya satvasya trizu
   sthāneṣu kāyo dahyate / vanagahane krodhāgninā / narake nārakeṇa / śmaśāne	sTAnezu kAyaH dahyate / vana-gahane kroDa-agninA / narake nArakeNa / SmaSAne
   prākṛtena / tasmān na bhikṣūṇā pariṣkāre 'tyartham adhyavasānam	prAkRtena / tasmAt na BikzUNA parizkAre atyarTam aDyavasAnam
   utpādayitavyam* / yasminn utpadyate tat parityaktavyam* / na parityajati /	utpAdayitavyam* / yasmin utpadyate tat parityaktavyam* / na parityajati /
   sātisāro bhavati / api tu yadi glānaḥ svaṃ pariṣkāraṃ yācate /	sa-atisAraH Bavati / api tu yadi glAnaH svam parizkAram yAcate /
   upasthāyakena laghulaghv eva dātavyam* / na dadāti / sātisāro bhavati /	upasTAyakena laGu-laGu eva dAtavyam* / na dadAti / sa-atisAraH Bavati /
   śrāvastyāṃ nidānam* / tena khalu samayenānyatamo bhikṣur glāno layane	SrAvastyAm nidAnam* / tena Kalu samayena-anyatamaH BikzuH glAnaH layane
   kālagataḥ / amanuṣyakeṣūpapannaḥ / cīvarabhājako bhikṣus taṃ layanaṃ	kAlagataH / amanuzyakezu-upapannaH / cIvara-BAjakaH BikzuH tam layanam
   praveṣṭum ārabdhaḥ / pātracīvaraṃ bhājayāmīti / sa tīvreṇa paryavasthānena	pravezwum ArabDaH / pAtra-cIvaram BAjayAmi-iti / sa tIvreNa paryavasTAnena
   laguḍam ādāyotthitaḥ kathayati / yāvan mām abhinirharatha (MSV II 127)	laguxam AdAya-utTitaH kaTayati / yAvat mAm aBinirharaTa (MSV II 127)
   tāvat pātracīvaraṃ bhājayatheti / sa saṃtrasto niṣpalāyitaḥ / etat	tAvat pAtra-cIvaram BAjayaTA-iti / sa saMtrastaH nizpalAyitaH / etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / pūrvaṃ tāvan	prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / pUrvam tAvan
   mṛto bhikṣur abhinirhartavyaḥ paścāt tasya pātracīvaraṃ bhājayitavyam iti	mRtaH BikzuH aBinirhartavyaH paScAt tasya pAtra-cIvaram BAjayitavyam iti
   śrāvastyāṃ nidānam* / tena khalu samayenānyatamo bhikṣur kālagataḥ /	SrAvastyAm nidAnam* / tena Kalu samayena-anyatamaH BikzuH kAlagataH /
   bhikṣavas tam abhinirhṛtya evam eva śmaśāne chorayitvā vihāram āgataḥ /	BikzavaH tam aBinirhRtya evam eva SmaSAne CorayitvA vihAram AgataH /
   cīvarabhājakas tasya layanaṃ praviṣṭaḥ / pātracīvaraṃ bhājayāmīti / so	cIvara-BAjakaH tasya layanam pravizwaH / pAtra-cIvaram BAjayAmi-iti / saH-
   'manuṣyakeṣūpapannaḥ / laguḍam ādāyotthitaḥ / sa kathayati / yāvan mama	amanuzyakezu-upapannaH / laguxam AdAya-utTitaH / sa kaTayati / yAvat mama
   śarīrapūjāṃ kurutha tāvat pātracīvaraṃ bhājayatheti / etat prakaraṇaṃ	SarIra-pUjAm kuruTa tAvat pAtra-cIvaram BAjayaTA-iti / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha / bhikṣubhis tasya pūrvaṃ	BikzavaH BagavataH Arocayanti / BagavAn Aha / BikzuBiH tasya pUrvam
   śarīrapūjā kartavyeti / tataḥ paścāt pātracīvaraṃ bhājayitavyam* / eṣa	SarIra-pUjA kartavyA-iti / tatas paScAt pAtra-cIvaram BAjayitavyam* / eza
   ādīnavo na bhaviṣyatīti /	AdInavaH na Bavizyati-iti /
   śrāvastyāṃ nidānam* / tena khalu samayenānyatamo bhikṣur glāno layane	SrAvastyAm nidAnam* / tena Kalu samayena-anyatamaH BikzuH glAnaH layane
   kālagataḥ / sa bhikṣur ādahanaṃ nītvā śarīrapūjāṃ kṛtvā dagdhaḥ / tato	kAlagataH / sa BikzuH Adahanam nItvA SarIra-pUjAm kRtvA dagDaH / tatas-
   vihāram āgataḥ / cīvarabhājakas tasya layanaṃ praviṣṭaḥ / sa laguḍam	vihAram AgataH / cIvara-BAjakaH tasya layanam pravizwaH / sa laguxam
   ādāyotthitaḥ / tat tāvan mām uddiśya dharmaśravaṇam anuprayacchatha tāvac	AdAya-utTitaH / tat tAvat mAm uddiSya Darma-SravaNam anuprayacCaTa tAvac
   cīvarakāṇi bhājayatheti / etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti /	cIvarakANi BAjayaTA-iti / etat prakaraNam BikzavaH BagavataH Arocayanti /
   bhagavān āha / tam uddiśya dharmaśravaṇaṃ datvā dakṣiṇām uddiśya paścāc	BagavAn Aha / tam uddiSya Darma-SravaNam datvA dakziNAm uddiSya paScAt-
   cīvarakāṇi bhājayitavyānīti /	cIvarakANi BAjayitavyAni-iti /
   uddānam* /	uddAnam* /
   glānakaś cātha śreṣṭhī ca prativastu navakarmikaḥ /	glAnakaH ca-aTa SrezWI ca prativastu nava-karmikaH /
   sīmā catuṣkikāṃ kṛtvā aṣṭau dūtena kārayet* /	sImA catuzkikAm kRtvA azwO dUtena kArayet* /
   (MSV II 128)	(MSV II 128)
   śrāvastyāṃ nidānam* / tena khalu samayenānyatamena (270v1 = GBM 6.853)	SrAvastyAm nidAnam* / tena Kalu samayena-anyatamena (270v1  GBm 6.853)
   gṛhapatinā buddhapramukho bhikṣusaṃgho 'ntargṛhe bhaktenopanimantritaḥ /	gRhapatinA budDa-pramuKaH Bikzu-saMGaH antar-gRhe Baktena-upanimantritaH /
   bhikṣusaṃghaḥ praviṣṭaḥ / bhagavān aupadhike 'sthād abhinirhṛtapiṇḍapātaḥ	Bikzu-saMGaH pravizwaH / BagavAn OpaDike asTAt aBinirhRta-piNxapAtaH
   / paṃcabhiḥ kāraṇair buddhā bhagavantaḥ aupadhike tiṣṭhanty	/ paMcaBiH kAraNEH budDAH BagavantaH OpaDike tizWanti-
   abhinirhṛtapiṇḍapātāḥ / katamaiḥ paṃcabhiḥ / pratisaṃlātukāmā bhavanti /	aBinirhRta-piNxapAtAH / katamEH paMcaBiH / pratisaMlAtu-kAmAH Bavanti /
   devatānāṃ dharmaṃ deśayitukāmā bhavanti / śayanāsanaṃ pratyavekṣitukāmā	devatAnAm Darmam deSayitu-kAmAH Bavanti / Sayana-Asanam pratyavekzitu-kAmA
   bhavanti / glānam avalokayitukāmā bhavanti / śrāvakāṇāṃ vinayaśikṣāpadaṃ	Bavanti / glAnam avalokayitu-kAmAH Bavanti / SrAvakANAm vinaya-SikzA-padam
   prajñapayitukāmā bhavanti / asmiṃs tv arthe dvābhyāṃ kāraṇābhyāṃ buddho	prajQa-payitu-kAmAH Bavanti / asmin tu arTe dvAByAm kAraNAByAm budDaH-
   bhagavān aupadhike 'sthād abhinirhṛtapiṇḍapātaḥ /	BagavAn OpaDike asTAt aBinirhRta-piNxapAtaH /
   atha bhagavān aciraprakrāntaṃ bhikṣusaṃghaṃ viditvā apāvaraṇīṃ gṛhītvā	aTa BagavAn acira-prakrAntam Bikzu-saMGam viditvA apAvaraNIm gRhItvA
   ārāmeṇārāmaṃ vihāreṇa vihāraṃ parigaṇena parigaṇaṃ caṃkrameṇa caṃkramam	ArAmeNa-ArAmam vihAreNa vihAram parigaNena parigaNam caMkrameNa caMkramam
   anucaṃkramyamāṇo 'nuvicarati / anenānyatamo mahallako vihāras	anucaMkramyamANaH anuvicarati / anena-anyatamaH mahallakaH vihAra-H-
   tenopasaṃkrāntaḥ / tatra bhikṣur bāḍhaglānaḥ alpajñātaḥ sve mūtrapurīṣe	tena-upasaMkrAntaH / tatra BikzuH bAXa-glAnaH alpa-jQAtaH sve mUtra-purIze
   nimagno bhagavantaṃ dṛṣṭvāparasvaram akārṣīt* / anātho 'smi bhagavan* /	nimagnaH Bagavantam dRzwvA-apara-svaram akArzIt* / anATaH asmi Bagavan* /
   anātho 'smi sugata iti / bhagavān āha / kasmāt tvaṃ bhikṣo māṃ	anATaH asmi sugataH iti / BagavAn Aha / kasmAt tvam BikzaH mAm
   trailokyanātham uddiśya pravrajita evaṃ virauṣi / anātho 'smi bhagavan* /	trElokya-nATam uddiSya pravrajitaH evam virOzi / anATaH asmi Bagavan* /
   anātho 'smi sugata iti / na me bhadanta kaścit sabrahmacārī upasthānaṃ	anATaH asmi sugataH iti / na me Badanta kaScid sabrahmacArI upasTAnam
   karoty avalokayati vā / asti tvayā bhikṣo kasyacit (MSV II 129)	karoti avalokayati vA / asti tvayA Bikzo kasyacid (MSV II 129)
   sabrahmacāriṇa upasthānaṃ kṛtam avalokitaṃ vā / no bhadanta / ata eva te	sabrahmacAriNaH upasTAnam kRtam avalokitam vA / naH Badanta / atas eva te
   iyaṃ samavasthā / bhagavāṃ laukikacittam utpādayati / aho bata śakro	iyam samavasTA / BagavAm lOkika-cittam utpAdayati / aho bata SakraH-
   devendro 'navataptān mahāsaraḥ pānīyam ādāya gandhamādanāc ca parvatān	deva-indraH anavataptAt mahA-saraH pAnIyam AdAya ganDamAdanAt ca parvatAn
   mṛttikām ānayed iti / dharmatā khalu yasmin samaye bhagavāṃ laukikaṃ	mRttikAm Anayet iti / DarmatA Kalu yasmin samaye BagavAm lOkikam
   cittam utpādayati tasmin samaye śakrabrahmādayo 'pi devā bhagavataś cittam	cittam utpAdayati tasmin samaye Sakra-brahma-AdayaH api devAH BagavataH cittam
   ājānanti / tataḥ śakro devendraḥ anavataptān mahāsarasaḥ aṣṭāṃgopetasya	AjAnanti / tatas SakraH deva-indraH anavataptAn mahA-sarasaH azwAMga-upetasya
   pānīyasya sauvarṇaṃ bhṛṅgāram ādāya gandhamādanāc ca parvatān mṛttikāṃ	pAnIyasya sOvarNam BRFgAram AdAya ganDamAdanAt ca parvatAt mRttikAm
   laghulaghv eva bhagavataḥ purastād asthāt* / evaṃ cāha / tiṣṭhatu bhagavān	laGu-laGu eva BagavataH purastAt asTAt* / evam ca-Aha / tizWatu BagavAn
   aham asyopasthānaṃ karomi / bhagavān āha / naiṣa kauśikam uddiśya	aham asya-upasTAnam karomi / BagavAn Aha / na-eza kOSikam uddiSya
   pravrajitaḥ kiṃ tu mām* / api tu kiṃ tvayaiṣa pūrvaṃ na dṛṣṭaḥ / tiṣṭha	pravrajitaH kim tu mAm* / api tu kim tvayA-eza pUrvam na dRzwaH / tizWa
   tvam* / śucikāmā devāḥ / aham evāsyopasthānaṃ karomi / tato bhagavatā	tvam* / Suci-kAmAH devAH / aham eva-asya-upasTAnam karomi / tatas BagavatA
   cīvaraṃ baddhvā cakrasvastikanandyāvartenānekapuṇyaśatanirjātena bhītānām	cIvaram badDvA cakra-svastika-nandyAvartena-aneka-puNya-Sata-nirjAtena BItAnAm
   āśvāsanakaraṇakareṇāsau bhikṣur gṛhītvā mūtrapurīṣād uddhṛtya ekānte	ASvAsana-karaNa-kareNa-asO BikzuH gRhItvA mUtra-purIzAt udDRtya ekAnte
   sthāpitaḥ / vaṃśavidalikayā nirlikhitaḥ / pāṇḍumṛttikayā udvartitaḥ	sTApitaH / vaMSa-vidalikayA nirliKitaH / pANxu-mRttikayA udvartitaH
   snāpitaḥ / tataḥ sthāpitaḥ / (271r1 = GBM 6.854) cīvarakāṇy asya	snApitaH / tatas sTApitaH / (271r1  GBm 6.854) cIvarakANi asya
   prakṣālitāni / tasmin pradeśe sukumārī gomayakārṣī dattā / tato hastapādau	prakzAlitAni / tasmin pradeSe sukumArI gomaya-ka-ArzI dattA / tatas hasta-pAdO
   saṃpraśodhya śakraṃ devendraṃ glānopasthānapūrvikayā (MSV II 130)	saMpraSoDya Sakram deva-indram glAna-upasTAna-pUrvikayA (MSV II 130)
   dharmadeśanayā sandeśya samādāpya vihāraṃ praviṣṭaḥ / āyuṣmān ānandaḥ	Darma-deSanayA sandeSya samAdApya vihAram pravizwaH / AyuzmAn AnandaH
   piṇḍapātanirhārakaḥ piṇḍapātam ādāya bhagavatsakāśam upasaṃkrāntaḥ /	piNxa-pAta-nirhArakaH piNxa-pAtam AdAya Bagavat-sakASam upasaMkrAntaH /
   dharmatā khalu buddhā bhagavantaḥ piṇḍapātanirhārakaṃ bhikṣum anayā	DarmatA Kalu budDAH BagavantaH piNxa-pAta-nirhArakam Bikzum anayA
   pratisaṃmodanayā pratisaṃmodante / kaccid bhikṣo praṇītaṃ bhaktaṃ	pratisaMmodanayA pratisaMmodante / kaccit Bikzo praNItam Baktam
   saṃtarpito bhikṣusaṃgha iti / pratisaṃmodate bhagavān āyuṣmantam ānandam*	saMtarpitaH Bikzu-saMGaH iti / pratisaMmodate BagavAn Ayuzmantam Anandam*
   / kaccid ānanda praṇītaṃ bhaktaṃ saṃtarpito bhikṣusaṃgha iti / tathyaṃ	/ kaccit Ananda praNItam Baktam saMtarpitaH Bikzu-saMGaH iti / taTyam
   bhadanta / praṇītaṃ bhaktaṃ saṃtarpito bhikṣusaṃghaḥ / tato bhagavān	Badanta / praNItam Baktam saMtarpitaH Bikzu-saMGaH / tatas BagavAn
   upārdhapiṇḍapātam ādāyāyuṣmantam ānandam āmantrayate / gaccha ānanda	upArDa-piNxapAtam AdAya-Ayuzmantam Anandam Amantrayate / gacCa Ananda
   amuṣmin vihāre bāḍhaglāno bhikṣuḥ / tasmai deyam upārdhapiṇḍapātam* / yad	amuzmin vihAre bAXa-glAnaH BikzuH / tasmE deyam upArDa-piNxapAtam* / yat-
   bhūṃkte cainaṃ vaktavyaḥ / śāstrā te āyuṣman svayam evopasthānaṃ kṛtam* /	BUMkte ca-enam vaktavyaH / SAstrA te Ayuzman svayam eva-upasTAnam kRtam* /
   upārdhapiṇḍapātena ca saṃvibhāgaḥ kṛta iti / evaṃ bhadanta ity āyuṣmān	upArDa-piNxapAtena ca saMviBAgaH kRtaH iti / evam BadantaH iti AyuzmAn
   ānando bhagavataḥ pratiśrutyopārdhapiṇḍapātam ādāya tasmai datvā	AnandaH BagavataH pratiSrutya-upArDa-piNxapAtam AdAya tasmE datvA
   yathāsandiṣṭam ārocitavān* /	yaTAsandizwam ArocitavAn* /
   atha tasya bhikṣor etad abhavat* / mama trailokyaguruṇā svayam upasthānaṃ	aTa tasya BikzoH etat aBavat* / mama trElokya-guruNA svayam upasTAnam
   kṛtam upārdhapiṇḍapātaś ca dattaḥ / na mama pratirūpaṃ syād yad ahaṃ	kRtam upArDa-piNxapAtaH ca dattaH / na mama pratirUpam syAt yat aham
   śraddhādeyaṃ paribhujya kausīdyenātināmayeyam* / yanv ahaṃ	SradDA-deyam pariBujya kOsIdyena-ati-nAmayeyam* / yanu aham
   pūrvarātrāpararātraṃ jāgarikāyogam anuyukto vihareyam iti / tena	pUrvarAtra-apararAtram jAgarikA-yogam anuyuktaH vihareyam iti / tena
   pūrvarātrāpararātraṃ jāgarikāyogam anuyuktena viharatā idam eva ca	pUrvarAtra-apararAtram jAgarikA-yogam anuyuktena viharatA idam eva ca
   pañcagaṇḍakaṃ saṃsāracakraṃ calācalaṃ viditvā sarvasaṃskāragatiṃ	paQcagaNxakam saMsAra-cakram calAcalam viditvA sarva-saMskAra-gatim
   śatanapatanavikiraṇavidhvaṃsanadharmatayā (MSV II 131) parāhatya	Satana-patana-vikiraNa-viDvaMsana-Darma-tayA (MSV II 131) parAhatya
   sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtam iti / arhan saṃvṛttaḥ /	sarva-kleSa-prahANAt arhatvam sAkzAtkRtam iti / arhan saMvRttaH /
   traidhātuke vītarāgaḥ samaloṣṭrakāṃcanaḥ ākāśapāṇitalasamacitto	trEDAtuke vIta-rAgaH sama-la-uzwra-kAMcanaH AkASa-pANi-tala-sama-cittaH-
   vāsīcandanakalpo 'vidyāvidāritāṇḍakośo vidyābhijñaḥ pratisaṃvitprāpto	vAsI-candana-kalpaH avidyA-vidArita-aNxakoSaH vidyA-aBijQaH pratisaMvid-prAptaH-
   bhavalābhalobhasatkāraparāṃmukhaḥ sendropendrāṇāṃ devānāṃ pūjyo mānyo	Bava-lABa-loBa-satkAra-parAMmuKaH sa-indra-upendrANAm devAnAm pUjyaH mAnyaH-
   'bhivādyaś ca saṃvṛttaḥ /	aBivAdyaH ca saMvRttaH /
   tatra bhagavān bhikṣūn āmantrayate / eṣāṃ bhikṣavo glānānāṃ na mātā na	tatra BagavAn BikzUn Amantrayate / ezAm BikzavaH glAnAnAm na mAtA na
   pitā na cānyo bandhuḥ nānyatra yūyam eva sabrahmacāriṇaḥ / tasmāt	pitA na ca-anyaH banDuH na-anyatra yUyam eva sabrahmacAriNaH / tasmAt-
   sabrahmacāribhiḥ pasrasparam upasthānaṃ karaṇīyam* / upādhyāyena	sabrahmacAriBiH pasrasparam upasTAnam karaNIyam* / upADyAyena
   sārdhaṃvihāriṇaḥ / sārdhaṃvihāriṇā upādhyāyasya / ācāryeṇāntevāsinaḥ /	sArDaMvihAriNaH / sArDaMvihAriNA upADyAyasya / AcAryeNa-antevAsinaH /
   antevāsinā ācāryasya / samānopādhyāyena samānopādhyāyasya / samānācāryeṇa	antevAsinA AcAryasya / samAna-upADyAyena samAna-upADyAyasya / samAna-AcAryeNa
   samānācāryasya / ālaptakenālaptakasya / saṃlaptakena saṃlaptakasya /	samAna-AcAryasya / Alaptakena-Alaptakasya / saMlaptakena saMlaptakasya /
   (271v1 = GBM 6.855) saṃstukena saṃstukasya / sapremakena sapremakasya /	(271v1  GBm 6.855) saMstukena saMstukasya / sa-premakena sa-premakasya /
   yaḥ parṣadvinirmukto 'lpajñātaś ca tasya saṃghenopasthāyiko deyaḥ /	yaH parzad-vinirmuktaH alpa-jQAtaH ca tasya saMGena-upasTAyikaH deyaH /
   glānāvasthāṃ paricchidya eko vā dvau vā saṃbahulā vā / antataḥ	glAna-avasTAm paricCidya ekaH vA dvO vA saMbahulA vA / antatas-
   sarvasaṃghenopasthānaṃ karaṇīyam* /	sarva-saMGena-upasTAnam karaNIyam* /
   bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchetāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtAH sarva-saMSaya=-CetAram budDam Bagavantam
   papracchuḥ / paśya bhadanta bhagavatā tasya bhikṣoḥ svayam evam upasthānaṃ	papracCuH / paSya Badanta BagavatA tasya BikzoH svayam evam upasTAnam
   kṛtam* / tena cārhatvaṃ sākṣātkṛtam iti / bhagavān āha / na bhikṣava	kRtam* / tena ca-arha-tvam sAkzAtkRtam iti / BagavAn Aha / na Bikzava
   etarhi (MSV II 132) yathā atīte 'py adhvani tasya mayā upasthānaṃ kṛtam* /	etarhi (MSV II 132) yaTA atIte api aDvani tasya mayA upasTAnam kRtam* /
   tena ca pañcābhijñāḥ sākṣātkṛtāḥ /	tena ca paQca-aBijQAH sAkzAtkRtAH /
