   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   saṃprasthito mahotsāhaistīraṃ prāpa mahodadheḥ //	saMprasTitaH mahA utsAhEH tIram prApa mahA udaDeH //
   tatra sa tāni sarvāṇi caturaṃgabalānyapi /	tatra sa tAni sarvANi caturaMga balAni api /
   āropya vahaneṣvabdhau saṃprasthito caran mudā //	Aropya vahanezu abDO saMprasTitaH caran mudA //
   tatra sa saṃtaran sarvaiścaturaṃgavalaiḥ saha /	tatra sa saMtaran sarvEH caturaMga valEH saha /
   svastinā sahasāmbodheḥ pāratīramupāyayau //	svastinA sahasA amboDeH pAratIram upAyayO //
   tāmradvīpe tadā tatra rākṣasīnāṃ mahaddhvajaḥ /	tAmra dvIpe tadA tatra rAkzasInAm mahat DvajaH /
   repita āpaṇasthāne kampito 'sūcayadbhayam //	repitaH ApaNa sTAne kampitaH asUcayat Bayam //
   taṃ prakampitamālokya rākṣasyo bhayaśaṃkitāḥ /	tam prakampitam Alokya rAkzasyaH Baya SaMkitAH /
   sarvā ekatra saṃmilya mitha evaṃ samūcire //	sarvAH ekatra saMmilya miTas evam samUcire //
   bhavantya āpaṇastho 'thaṃ dhvajaḥ prakampito 'dhunā /	BavantyaH ApaNa sTaH aTam DvajaH prakampitaH aDunA /
   jāmbudvīpanṛpā nūnamasbhiryoddhumāgatāḥ //	jAmbudvIpa nRpAH nUnam asBiH yodDum AgatAH //
   (Gkv 200)	(Gku 200)
   sajjīkṛtvā tadasmābhiḥ sthātavyamiha sāmpratam /	sajjIkRtvA tat asmABiH sTAtavyam iha sAmpratam /
   iti saṃbhāṣya tā draṣṭumabdhitīramupācaran //	iti saMBAzya tAH drazwum abDi tIram upAcaran //
   tatrasthāḥ sakalāstāstān siṃhalādīn narādhipān /	tatrasTAH sakalAH tAH tAn siMhala AdIn narADipAn /
   tīrottīrṇān mahotsāhairdadṛśuryoddhumāgatān //	tIra uttIrNAt mahA utsAhEH dadRSuH yodDum AgatAn //
   dṛṣṭvā tān samupāyātān rākṣasyastā bhayānvitāḥ /	dRzwvA tAn samupAyAtAn rAkzasyaH tAH Baya anvitAH /
   kāścit palāyitā bhītāḥ kāścadyoddhaṃ samāśritāḥ //	kAScid palAyitAH BItAH kAH cadyodDam samASritAH //
   yoddhaṃ pratyudgatāḥ kāścit kāścittasthurnirīkṣya khe //	yodDam pratyudgatAH kAScid kAScid tasTuH nirIkzya Ke //
   tān pratyudgatān dṛṣṭvā siṃhalasyāġyāyā drutam /	tAn pratyudgatAn dRzwvA siMhalasya AġyAyAH drutam /
   vidyādharibhirāviṣṭā vīraiḥ śastraiḥ pradyotitāḥ //	vidyADariBiH AvizwAH vIrEH SastrEH pradyotitAH //
   avaśiṣṭā abhistāḥ siṃhalasya nṛpaprabhoḥ /	avaSizwAH aBistAH siMhalasya nRpa praBoH /
   kṛtāṃjalipuṭā natvā pādayorevamabruvan //	kRta aMjali puwAH natvA pAdayoH evam abruvan //
   kṣamasva no mahārāja vrajāmaḥ śaraṇe tava /	kzamasva naH mahA rAja vrajAmaH SaraNe tava /
   tadasmān yoṣito bālā hantuṃ nārhati kṣatriyaḥ //	tat asmAn yozitaH bAlA hantum na arhati kzatriyaH //
   iti saṃprārthitaṃ tābhiḥ śrutvā sa siṃhalaḥ prabhuḥ /	iti saMprArTitam tABiH SrutvA sa siMhalaH praBuH /
   samayena kṣayaṃ va iti tā vīkṣyābravīt //	samayena kzayam vaH iti tAH vIkzya abravIt //
   tacchutvā sakalā tāstaṃ siṃhalaṃ kṣatriyādhipama /	tat SutvA sakalA tAH tam siMhalam kzatriya aDipama /
   sāṃjalayaḥ punarnatvā samālokyaivamabravīt //	sa aMjalayaH punar natvA samAlokya evam abravIt //
   kiṃ samayaṃ samākhyātuṃ bhavatābhihitaṃ yathā /	kim samayam samAKyAtum BavatA aBihitam yaTA /
   tathā sarve vayaṃ dhṛtvā cariṣyāmaḥ sadāpi hi //	taTA sarve vayam DRtvA carizyAmaH sadA api hi //
   itiḥ tābhiḥ samākhyātaṃ niśamya sa nṛpaḥ sudhīḥ /	itiH tABiH samAKyAtam niSamya sa nRpaH suDIH /
   tāṃ sarvā rākṣasīḥ paśyan punarevamabhāṣata //	tAm sarvAH rAkzasIH paSyan punar evam aBAzata //
   yadīdaṃ nagaraṃ tyaktvā sarve 'nyatrādhitiṣṭhatha /	yadi idam nagaram tyaktvA sarve anyatra aDitizWaTa /
   madvijite ca yadyatra nāparādhyetha kasyacit //	mad vijite ca yadi atra na aparADyeTa kasyacid //
   tadā yuṣmākamevāhamaparādhyakṣayamenahi /	tadA yuzmAkam eva aham aparADi akzayam ena hi /
   tadanyathā kṛte yuṣmān sarvā hanyāṃ sa saṃśayaḥ //	tat anyaTA kRte yuzmAn sarvAH hanyAm sa saMSayaH //
   iti tena samākhyātaṃ śrutvā tāḥ sakalā api /	iti tena samAKyAtam SrutvA tAH sakalAH api /
   siṃhalaṃ taṃ praṇatvā ca samālokyaivamabruvan //	siMhalam tam praNatvA ca samAlokya evam abruvan //
   svāmiṃstathā kariṣyāmo bhavānabhihitaṃ yathā /	svAmin= taTA karizyAmaH BavAn aBihitam yaTA /
   tadasmān yoṣitā bālāḥ saṃpālayitumarhati //	tat asmAn yozitAH bAlAH saMpAlayitum arhati //
   (Gkv 201)	(Gku 201)
   iti saṃprārthya sarvāstā rākṣasyaḥ paribodhitāḥ /	iti saMprArTya sarvAH tAH rAkzasyaH pariboDitAH /
   tyaktvā tadviṣayaṃ gatvā vane 'nyatra samāśrayan //	tyaktvA tad vizayam gatvA vane anyatra samASrayan //
   tatra sa siṃhalo rājā sāmātyā mantriṇo janāḥ /	tatra sa siMhalaH rAjA sa amAtyAH mantriNaH janAH /
   sthitvā lokānadhiṣṭhāpya svasvadharme 'nvaśāsata //	sTitvA lokAn aDizWApya sva svaDarme anvaSAsata //
   tatra te sakalā lokā dhṛtvā tannupaśāsanam /	tatra te sakalA lokAH DRtvA tannupaSAsanam /
   triratnabhajanaṃ kṛtvā svasvardhaṃ samācaran //	tri ratna Bajanam kRtvA sva svarDam samAcaran //
   tadaitaddharmabhāvena subhikṣaṃ nirupadravam /	tadA etat Darma BAvena suBikzam nirupadravam /
   saddharmamaṃgalotsāhaṃ prāvartata samantataḥ //	sadDarma m aMgala utsAham prAvartata samantataH //
   siṃhalena narendreṇa jitvā saṃvāsitaṃ svayam /	siMhalena narendreNa jitvA saMvAsitam svayam /
   tenāsau siṃhaladvīpa iti prakhyāpito 'bhavat //	tena asO siMhala dvIpaH iti praKyApitaH aBavat //
   yo 'sau siṃhalo rājā tadāhamabhavaṃ khalu /	yaH asO siMhalaH rAjA tadA aham aBavam Kalu /
   yaḥ siṃhakeśarī rājā jyeṣṭha eva mahallakaḥ //	yaH siMhakeSarI rAjA jyezWaH eva mahallakaH //
   tadābhūdrākṣasī yā sā veṣā evānupamā khalu /	tadA aBUt rAkzasI yA sA vezAH eva anupamA Kalu /
   yo valāho 'śvarājo 'bhūdeṣo 'valokiteśvaraḥ //	yaH valAhaH aSva rAjaH aBUt ezaH avalokiteSvaraH //
   tadāpyevaṃ sa lokeśo bodhisattvo vilokya mām /	tadA api evam sa lokeSaH boDisattvaH vilokya mAm /
   aśvo bhūtvā samuttāryāpyabdherevaṃ mahadbhayāt //	aSvaH BUtvA samuttArya api abDeH evam mahat BayAt //
   evaṃ sa trijagannātho bodhisattvaḥ sadā svayam /	evam sa trijagannATaH boDisattvaH sadA svayam /
   vilokya sakalān sattvān samuttārya bhayādavat //	vilokya sakalAn sattvAn samuttArya BayAt avat //
   tenāsya sadṛśo dharmo nāsti kasyāpi kutracit /	tena asya sadRSaH DarmaH na asti kasya api kutracid /
   buddhānāmapi nāstyeva kuto 'nyeṣāaṃ tridhātuṣu //	budDAnAm api na asti eva kutas anyezAam triDAtuzu //
   itthamayaṃ mahāsattvaḥ sarvalokādhipeśvaraḥ /	itTam ayam mahAsattvaH sarva loka aDipa ISvaraH /
   sarvadharmādhipaḥ śāstā mahābhijñā 'dhirājate //	sarva Darma aDipaH SAstA mahA aBijQA aDirAjate //
   tena lokādhipāḥ sarve traidhātukādhipā api /	tena loka aDipAH sarve trEDAtuka aDipAH api /
   asya śaraṇamāśritya prabhajanti sadādarāt //	asya SaraNam ASritya praBajanti sat AdarAt //
   ye 'pyasya śaraṇaṃ kṛtvā bhajanti sarvadādarāt /	ye api asya SaraNam kRtvA Bajanti sarvadA AdarAt /
   durgatiṃ te na gacchanti saṃprayānti sukhāvatīm //	durgatim te na gacCanti saMprayAnti suKAvatIm //
   tatra gatvāmitābhasya munīndrasyopasaṃśritāḥ /	tatra gatvA amita ABasya muni indrasya upasaMSritAH /
   sadā dharmāmṛtam pītvā pracaranti jagaddhite //	sadA Darma amRtam pItvA pracaranti jagat hite //
   tataste bodhisaṃbhāraṃ pūrayitvā yathākramam /	tatas te boDi saMBAram pUrayitvA yaTAkramam /
   niḥkleśā bodhimāsādya saṃbuddhapadamāpnuyuḥ //	niHkleSAH boDim AsAdya saMbudDa padam ApnuyuH //
   iti vijñāya ye sattvāḥ samīcchanti jināspadam /	iti vijQAya ye sattvAH samIcCanti jina Aspadam /
   tasya lokādhināthasya bhajantu śaraṇāśritāḥ //	tasya loka aDinATasya Bajantu SaraNa ASritAH //
   iti śāstrā samādiṣṭaṃ śrutvā sarve sabhāśritāḥ /	iti SAstrA samAdizwam SrutvA sarve saBA ASritAH /
   lokāstatheti vijñapya prābhyanandan prabodhitāḥ //	lokAH taTA iti vijQapya prAByanandan praboDitAH //
   // iti siṃhalasārthavāhoddhāraṇaprakaraṇaṃ samāptam //	// iti siMha lasa arTavAha udDAraNa prakaraNam samAptam //
   17. sarvasattvoddhāraṇa saṃbodhimārga sthāpana maheśvaromādevī	17. sarva sattva udDAraNa saMboDi mArga sTApana maheSvaromA devI
   saṃbodhivyākaraṇopadeśa prakaraṇam	saMboDi vyAkaraNa upadeSa prakaraNam
   atha sarvanīvaraṇaviṣkambhī sa jinātmajaḥ /	aTa sarva nIvaraNa vizkamBI sa jina AtmajaH /
   sāṃjalirbhagavantaṃ taṃ punarnatvaivamabravīt //	sAMjaliH Bagavantam tam punar natvA evam abravIt //
   bhagavaṃstrijagaddhartuste lokādhipateḥ prabhoḥ /	Bagavan= trijagat hartuH te loka aDipateH praBoH /
   kāye dharmāḥ kiyanto 'pi vidyante tān samādiśa //	kAye DarmAH kiyantaH api vidyante tAn samAdiSa //
   iti saṃprārthitaṃ tena viṣkambhinā niśamya saḥ /	iti saMprArTitam tena vizkamBinA niSamya saH /
   bhagavāṃstaṃ mahāsattvaṃ samalokyaivamādiśat //	BagavAn= tam mahAsattvam sama lokya evam AdiSat //
   kulaputrāsya nāthasya traidhātukanivāsinām /	kula putra asya nATasya trEDAtuka nivAsinAm /
   kāye sarve 'pi saddharmāḥ saṃvidyante vyavasthitāḥ //	kAye sarve api sat DarmAH saMvidyante vyavasTitAH //
   tadyathāsya tanau lomnāṃ vivareṣu santi ye vṛṣāḥ /	tat yaTA asya tanO lomnAm vivarezu santi ye vRzAH /
   tān saṃkṣepeṇa vakṣyāmi śṛṇudhvaṃ yūyamādarāt //	tAn saMkzepeNa vakzyAmi SRNuDvam yUyam AdarAt //
   tadyathaikavile lomnaḥ suvarṇāni bahūnyapi /	tat yaTA ekavile lomnaH suvarNAni bahUni api /
   gandharvāṇām sahastrāṇi nivasanti mahāsukham //	ganDarvANAm sa hastrANi nivasanti mahA suKam //
   bādhyante na ca te kleśairduḥkhaiḥ saṃsārikairapi /	bADyante na ca te kleSEH duHKEH saMsArikEH api /
   viraktā duritācāropaviśuddhendriyottamāḥ //	viraktAH durita AcAra upaviSudDa indriya uttamAH //
   saddharmācārasaṃraktāścaturbrahmavihāriṇaḥ /	sadDarma AcAra saMraktAH catur brahma vihAriNaH /
   śuddhaśīlāḥ sadāṣṭāṃgapoṣadhavratadhāriṇaḥ //	SudDa SIlAH sadA azwAMga pozaDa vrata DAriNaH //
   tatra śrīmanmahāratnaṃ cintāmaṇisamujjvalaḥ /	tatra SrImat mahAratnam cintAmaNi samujjvalaH /
   sarvasattvahitārthāya svayamutpadya saṃsthitaḥ //	sarva sattva hita arTAya svayam utpadya saMsTitaH //
   yadā te maṇīmabhyarcya gandharvāste samīpsitam /	yadA te maNIm aByarcya ganDarvAH te samIpsitam /
   prārthayanti tadā teṣāṃ sarvaṃ saṃsidhyate tathā //	prArTayanti tadA tezAm sarvam saMsiDyate taTA //
   evaṃ bhadrasukhaṃ bhuktvā gandharvāste pramoditāḥ /	evam Badra suKam BuktvA ganDarvAH te pramoditAH /
   triratnabhajanaṃ kṛtvā pracarantaḥ śubhe sthitāḥ //	tri ratna Bajanam kRtvA pracarantaH SuBe sTitAH //
   etadapi mahaddharmamasya lomavile sthitam /	etat api mahat Darmam asya loma vile sTitam /
   tenāsau trijagannātho dharmakāyo virājate //	tena asO trijagat nATaH Darma kAyaH virAjate //
   tato 'nyasmiṃśca kṛṣṇākhye lomavile jagatprabhoḥ /	tatas anyasmin= ca kRzNa AKye loma vile jagat praBoH /
   śatakoṭisahasrāṇi maharṣīṇāṃ vasantyapi //	Sata kowi sahasrANi mahA RzINAm vasanti api //
   eko 'bhijñā dvayabhijñāśca tryabhijñāścāpi kecana /	ekaH aBijQAH dvaya BijQAH ca tri aBijQAH ca api kecana /
   (Gkv 204)	(Gku 204)
   keciccaturabhijñāśca paṃcābhijñāśca kecana /	kecid catur aBijQAH ca paMca aBijQAH ca kecana /
   sarve te ṛṣayo dhīrāḥ svasvakulavrataṃdharāḥ /	sarve te RzayaH DIrAH sva sva kula vrataMDarAH /
   suvarṇamayaśailānāṃ pārśveṣu kuṭṭimāśritāḥ //	suvarNa maya SElAnAm pArSvezu kuwwim ASritAH //
   kecidrūpamayānāṃ ca pārśveṣu bhūbhṛtāṃ sthitāaḥ /	kecid rUpa mayAnAm ca pArSvezu BUBRtAm sTitAaH /
   padmarāgamayānāṃ ca kecitpārśrveṣu bhūbhṛtām //	padmarAga mayAnAm ca kecid pArSrvezu BUBRtAm //
   kecinnīlamayānāṃ ca pārśveṣu kuṭṭimāśritāḥ /	kecid nIla mayAnAm ca pArSvezu kuwwim ASritAH /
   kecidvajramaye pārśve kecinmaṇimaye sthitāḥ //	kecid vajra maye pArSve kecid maNi maye sTitAH //
   vaiḍūryakuṭṭime kecidaśmagarbhamaye 'pare /	vExUrya kuwwime kecid aSma garBa maye apare /
   kecidbhīṣmamaye pārśve saptaratnamayeṣvapi //	kecid BIzma maye pArSve sapta ratna mayezu api //
   sarveṣāmapi ratnānāṃ pārśveṣu sarasīṣvapi /	sarvezAm api ratnAnAm pArSvezu sarasIzu api /
   udyāneṣu tathā kecidārāmeṣu vaneṣu ca //	udyAnezu taTA kecid ArAmezu vanezu ca //
   sarvertufalapuṣpādyairvṛkṣaiḥ saṃśobhiteṣvapi /	sarvertufala puzpa AdyEH vRkzEH saMSoBitezu api /
   keciccandanavṛkṣāṇāṃ kecidagururbhūruhām //	kecid candana vRkzANAm kecid aguruH BUruhAm //
   kecittamālavṛkṣāṇāṃ keciccampakabhūruhām /	kecid tamAla vRkzANAm kecid campaka BUruhAm /
   aśvatthānāṃ vaṭāṇāṃ ca tathānyeṣāṃ ca bhūruhām //	aSvatTAnAm vawANAm ca taTA anyezAm ca BUruhAm //
   tathānye kalpavṛkṣāṇāṃ vāṃchitārthapradāyinām /	taTA anye kalpavRkzANAm vAMCita arTa pradAyinAm /
   taleṣūṭajamāśritya saṃtiṣṭhante samāhitāḥ //	talezu uwajam ASritya saMtizWante samAhitAH //
   kecidaṣṭāṃgaśuddhāmbusampūrṇeṣu sarassvapi /	kecid azwa aMga SudDa ambu sampUrNezu sarassu api /
   divyapadmotpalādyeṣu samāśritya samāhitāḥ //	divya padma utpala Adyezu samASritya samAhitAH //
   śuddhaśīlā viśuddhāṃgāḥ śuddhāśaya jitendriyāḥ /	SudDa SIlAH viSudDa aMgAH SudDa ASaya jita indriyAH /
   nānātapovrataṃ dhṛtvā saṃtiṣṭhante samāhitāḥ //	nAnA tapaH vratam DRtvA saMtizWante samAhitAH //
   anekakalpavṛkṣāaśca suvarṇarupyapatrakāḥ /	aneka kalpavRkzAaH ca suvarNarupya patrakAH /
   santi lohitadaṇḍāśca sarvālaṃkāralambitāḥ //	santi lohita daNxAH ca sarva alaMkAra lambitAH //
   tatredṛkkalpavṛkṣāṇāmekaikasya tale sthitam /	tatra IdRS kalpavRkzANAm ekEkasya tale sTitam /
   gandharvāṇāṃ śataṃ smṛtvā triratnaṃ bhajane sadā //	ganDarvANAm Satam smRtvA tri ratnam Bajane sadA //
   yadā te bhavasaṃcāradukhāni vividhānyapi /	yadA te Bava saMcAra duKAni viviDAni api /
   vicintya kheditātmānaḥ evamudīrayantyapi //	vicintya Kedita AtmAnaH evam udIrayanti api //
   aho janmajarāvyādhikleśavyākuladuḥkhatā /	aho janma jarA vyADi kleSa vyAkula duHKa tA /
   (Gkv 205)	(Gku 205)
   sarveṣāmapi jantūnām saṃsārabhramatāṃ sadā //	sarvezAm api jantUnAm saMsAra BramatAm sadA //
   jāmbūdvīpamanuṣyāste kleśāgninitāpitāśayāḥ /	jAmbUdvIpa manuzyAH te kleSa agni nitA pita ASayAH /
   duḥkhāni vividhānyeva bhuktvā carantiṃ durvṛtau //	duHKAni viviDAni eva BuktvA carantim durvRtO //
   kathaṃ te mānavā dṛṣṭvā jīvītaṃ bhaṃguropamam /	kaTam te mAnavAH dRzwvA jIvItam BaMgura upamam /
   triratnabhajanaṃ kṛtvā na caranti jagaddhite //	tri ratna Bajanam kRtvA na caranti jagat hite //
   triratnabhajanaṃ kṛtvā ye caranti jagaddhite //	tri ratna Bajanam kRtvA ye caranti jagat hite //
   teṣāṃ sarvamabhiprāyamihāpi sidhyate khalu //	tezAm sarvam aBiprAyam iha api siDyate Kalu //
   paratra te sukhāvatyāṃ lokadhātau samīritāḥ /	paratra te suKAvatyAm lokaDAtO samIritAH /
   jinendrasyāmitābhasya śaraṇe samupasthitāḥ //	jinendrasya amita ABasya SaraNe samupasTitAH //
   sarvadā bhajanaṃ kṛtvā pītvā dharmāmṛtaṃ mudā /	sarvadA Bajanam kRtvA pItvA Darma amRtam mudA /
   bodhicaryāvrataṃ dhṛtvā saṃcareran jagaddhite //	boDi caryA vratam DRtvA saMcareran jagat hite //
   tataste vimalātmāno bodhisattvā jinātmajāḥ /	tatas te vimala AtmAnaH boDisattvAH jina AtmajAH /
   trividhāṃ bodhimāsādya saṃbuddhapadamāpnuyuḥ //	triviDAm boDim AsAdya saMbudDa padam ApnuyuH //
   ityevaṃ taiḥ samākhyātaṃ śrutvā pakṣimṛgādayaḥ /	iti evam tEH samAKyAtam SrutvA pakzi mRga AdayaH /
   paśavo 'pi samudvignā manasaivaṃ vyacintayan //	paSavaH api samudvignAH manasA evam vyacintayan //
   aho duḥkhaṃ manuṣyāṇāṃ api saṃsāracārinām /	aho duHKam manuzyANAm api saMsAra cArinAm /
   tiraścāṃ paśujātīnāmasmākaṃ kiṃ kathyate //	tiraScAm paSu jAtInAm asmAkam kim kaTyate //
   kadā vayamimaṃ pāpakāyam tyaktvā punarbhave /	kadA vayam imam pApa kAyam tyaktvA punarBave /
   mānuṣyajanma āsādya caremahi sadā vṛṣe //	mAnuzya janma AsAdya caremahi sadA vRze //
   dhanyāste manujā loke triratnaśaraṇaṃ gatāḥ /	DanyAH te manujAH loke tri ratna SaraNam gatAH /
   smṛtvā dhyātvā bhajanto 'yaṃ saṃcarante jagaddhite //	smRtvA DyAtvA BajantaH ayam saMcarante jagat hite //
   ityevaṃ te 'nusaṃcintya sarve pakṣimṛgādayaḥ /	iti evam te anusaMcintya sarve pakzi mRga AdayaH /
   triratnamanusaṃsmṛtvā dhyātvā bhajanta ādarāt //	tri ratnam anusaMsmRtvA DyAtvA Bajante AdarAt //
   tadā teṣāmabhiprāyaṃ sarveṣāmapi sidhyate /	tadA tezAm aBiprAyam sarvezAm api siDyate /
   divyabhogyādivastūni sarvāṇyapi bhavanti ca //	divya Bogya Adi vastUni sarvANi api Bavanti ca //
   tad dṛṣṭvā suprasannāste sarve pakṣimṛgādayaḥ /	tat dRzwvA su prasannAH te sarve pakzi mRga AdayaH /
   triratnabhajanaṃ kṛtvā bhajantaḥ pracarantyapi //	tri ratna Bajanam kRtvA BajantaH pracaranti api //
   evaṃ te ṛṣigandharvāḥ pakṣimṛgādijantavaḥ /	evam te Rzi ganDarvAH pakzi mRga Adi jantavaH /
   (Gkv 206)	(Gku 206)
   api sarve śubhotsāhaiḥ saṃtiṣṭhante pramoditāḥ //	api sarve SuBa utsAhEH saMtizWante pramoditAH //
   evaṃ kṛṣṇābhidhe lome vivare kāye jagatprabhoḥ /	evam kRzNa aBiDe lome vivare kAye jagat praBoH /
   ṛṣyādayo mahāsatvāḥ maharddhidharmacāriṇaḥ //	Rzi AdayaH mahAsatvAH mahA RdDi Darma cAriNaH //
   evaṃ tasya jagaddhartuḥ kāye sarve vṛṣāḥ sthitāḥ /	evam tasya jagadDartuH kAye sarve vRzAH sTitAH /
   tenāyaṃ trijagannāthaḥ sarvadharmādhipaḥ prabhuḥ //	tena ayam trijagannATaH sarva Darma aDipaH praBuH //
   iti matvāsya sarve 'pi śraddhayā śaraṇaṃ gatāḥ /	iti matvA asya sarve api SradDayA SaraNam gatAH /
   nāmāpyuccārya smṛtvāpi bhajantu vodhivāṃchinaḥ //	nAma api uccArya smRtvA api Bajantu voDivAMCinaH //
   ye 'pyasya śaraṇe sthitvā nāmāpyuccārya sarvadā /	ye api asya SaraNe sTitvA nAma api uccArya sarvadA /
   dhyātvā smṛtvāpi sadbhaktvā bhajanti saṃprasāditāḥ //	DyAtvA smRtvA api sat BaktvA Bajanti saMprasAditAH //
   durgatiṃ te na gacchanti saṃyāsyanti sukhāvatīm /	durgatim te na gacCanti saMyAsyanti suKAvatIm /
   tatrāmitābhanāthasya śaraṇe samupasthitāḥ //	tatra amita ABa nATasya SaraNe samupasTitAH //
   sadā dharmāmṛtaṃ pītvā pariśuddhatrimaṇḍalāḥ /	sadA Darma amRtam pItvA pariSudDa tri maNxalAH /
   trividhāṃ bodhimāsādya saṃbuddhapadamāpnuyuḥ //	triviDAm boDim AsAdya saMbudDa padam ApnuyuH //
   ityādiṣṭaṃ munīndreṇa niśamya te sabhāśritāḥ /	iti Adizwam muni indreNa niSamya te saBA ASritAH /
   viṣkambhipramukhāḥ sarve prābhyanandan prabodhitāḥ //	vizkamBi pramuKAH sarve prAByanandan praboDitAH //
   tataḥ sa bhagavāṃstaṃ ca viṣkambhinaṃ jinātmajam /	tatas sa BagavAn= tam ca vizkamBinam jina Atmajam /
   sādaraṃ samupāmantrya saṃpaśyannevamādarāt //	sa Adaram samupAmantrya saMpaSyan= evam AdarAt //
   kulaputra tato 'nyatra tasya traidhātukaprabhoḥ /	kula putra tatas anyatra tasya trEDAtuka praBoH /
   lokeśasya tanau lomavivare ratnakuṇḍale //	lokeSasya tanO loma vivare ratna kuNxale //
   tatrānekāni gandharvakanyānāṃ niyutāni ca /	tatra anekAni ganDarva kanyAnAm niyutAni ca /
   śatakoṭisahasrāṇi nivasanti sadā mudā //	Sata kowi sahasrANi nivasanti sadA mudA //
   tāḥ sarvā devakanyābhā divyārupā manoharāḥ /	tAH sarvAH deva kanyA ABAH divyArupAH manoharAH /
   saumyātisundarāḥ kāntā bhadrapoṣṭendriyāśayāḥ //	sOmya ati sundarAH kAntAH Badra pozwa indriya ASayAH //
   bādhyante naiva tāḥ kleśaiḥ duḥkhairmānuṣyakairapi /	bADyante na eva tAH kleSEH duHKEH mAnuzyakEH api /
   saddharmaśrīguṇasaṃpattisukhāsaṃpannananditāḥ //	sat Darma SrI guNa saMpatti suKa asaMpanna nanditAH //
   tāssarvāstasya nāthasya catuḥsaṃdhyaṃ samāhitāḥ /	tAH sarvAH tasya nATasya catur saMDyam samAhitAH /
   dhyātvā nāma samuccārya smṛtvā bhajanti sādaram //	DyAtvA nAma samuccArya smRtvA Bajanti sa Adaram //
   tāsāṃ sarvāṇi vastūni dravyāṇi bhūṣaṇāni ca /	tAsAm sarvANi vastUni dravyANi BUzaNAni ca /
   (Gkv 207)	(Gku 207)
   prādurbhūtāni sidhyante yathābhivāṃchitānyapi //	prAdurBUtAni siDyante yaTA aBivAMCitAni api //
   evaṃ tāḥ sukhasaṃpannāścaturbrahmavihāriṇaḥ /	evam tAH suKa saMpannAH catur brahma vihAriNaH /
   bodhicaryāvrataṃ dhṛtvā pracaranto jagaddhite //	boDi caryA vratam DRtvA pracarantaH jagat hite //
   triratnabhajanaṃ kṛtvā saṃbodhinihitāśayāḥ /	tri ratna Bajanam kRtvA saMboDi nihita ASayAH /
   satyadharmānusaṃraktāstiṣṭhanti saṃpramoditāḥ //	satya Darma anusaMraktAH tizWanti saMpramoditAH //
   evaṃ tasya jagannāthaśarīraṃ sukṛtālayam /	evam tasya jagannATa SarIram sukRta Alayam /
   tenāsau trijagannātho dharmarājo virājate /	tena asO trijagat nATaH DarmarAjaH virAjate /
   tato 'nyasmin vile lomnastasya ca trijagatprabhoḥ /	tatas anyasmin vile lomnaH tasya ca trijagat praBoH /
   koṭiśatasahasrāṇi nivasantyamṛtāndhasām //	kowi Sata sahasrANi nivasanti amRtAn DasAm //
   te sarve 'pyamarā dhīrāḥ saṃbodhinihitāśayāḥ /	te sarve api amarAH DIrAH saMboDi nihita ASayAH /
   bodhisattvā mahāsattvāścaturbrahmavihāriṇaḥ //	boDisattvAH mahAsattvAH catur brahma vihAriNaH //
   ekabhūmisthitaḥ kecit keciddvitīyabhūmikāḥ /	eka BUmi sTitaH kecid kecid dvitIya BUmikAH /
   tṛtīyabhūmikāḥ kecit keciccaturthabhūmikāḥ //	tRtIya BUmikAH kecid kecid caturTa BUmikAH //
   paṃcamabhūmikāḥ kecit kecicca ṣaṣṭhabhūmikāḥ /	paMcama BUmikAH kecid kecid ca zazWa BUmikAH /
   saptamabhūmikāḥ kecit kecidaṣṭamabhūmikāḥ //	saptama BUmikAH kecid kecid azwama BUmikAH //
   navamabhūmikāḥ kecit keciddaśamabhūmikāḥ //	navama BUmikAH kecid kecid daSama BUmikAH //
   sarve sattvahitādhānasaṃbodhivratacāriṇaḥ /	sarve sattva hita ADAna saMboDi vrata cAriNaH /
   triratnabhajanaṃ kṛtvā saṃcarante jagaddhite //	tri ratna Bajanam kRtvA saMcarante jagat hite //
   tasmiṃśca vivare santi hemarupyamayā nagāḥ /	tasmin= ca vivare santi hemarupya mayAH nagAH /
   ṣaṣṭiyojanasāhasrasamucchritā mahattarāḥ //	zazwi yojana sAhasra samucCritAH mahattarAH //
   sarve 'pi śataśṛṃgāste saptaratnamayojjvalāḥ /	sarve api SataSRMgAH te sapta ratna maya ujjvalAH /
   teṣāṃ pārśveṣu sarveṣu te ekabhūmikādayaḥ /	tezAm pArSvezu sarvezu te eka BUmikA AdayaH /
   boddhisatvā mahāsatvā dhyātvā tiṣṭhanti yoginaḥ /	bodDi satvAH mahAsatvAH DyAtvA tizWanti yoginaH /
   gandharvāṇāṃ ca sāhasrakoṭilakṣaśatānyapi //	ganDarvANAm ca sAhasra kowi lakza SatAni api //
   ratnamayavimāneṣu saṃramante mahotsavaiḥ /	ratna maya vimAnezu saMramante mahA utsavEH /
   saṃgītitūryasaṃvādyairmahāyānavratotsavaiḥ //	saMgIti tUrya saMvAdyEH mahAyAna vrata utsavEH //
   triratnabhajanaṃ kṛtvā saṃcarante jagaddhite //	tri ratna Bajanam kRtvA saMcarante jagat hite //
   tato viśramya sarve te vimāneṣu samāśritāḥ /	tatas viSramya sarve te vimAnezu samASritAH /
   (Gkv 208)	(Gku 208)
