   yogācārabhūmau	yoga AcAra BUmO
   'pakāra vipratipattilābho bahukartavyatā cākhedavipakṣaḥ / yasya	apakAra vipratipatti lABaH bahu kartavya tA ca aKeda vipakzaH / yasya
   pratipakṣeṇākhedatā / anupāyaprayogaḥ śāstrajñatā vipakṣaḥ / yasya	pratipakzeNa AKeda tA / anupAya prayogaH SAstra jQa tA  vipakzaH / yasya
   pratipakṣeṇa śāstrajñatā / asauratyāparacittānuvartanatā	pratipakzeNa SAstra jQa tA / asOratya apara cittA anuvartana tA
   lokajñatā vipakṣaḥ / yasya pratipakṣeṇa lokajñatā / kuśaladharmabhāvanāyāṃ	loka jQa tA  vipakzaH / yasya pratipakzeNa loka jQa tA / kuSala Darma BAvanAyAm
   pramādakausīdyaṃ hrīvyapatrāpya vipakṣaḥ / yasya pratipakṣeṇa	pramAda kOsIdyam hrI vyapatra api a vipakzaH / yasya pratipakzeNa
   hrīvyapatrāpyatā / dīrghakālikaiścitraistīvrairnirantaraiḥ	hrI vyapatrApi atA / dIrGa kAlikEH citrEH tIvrEH nirantarEH
   saṃsāraduḥkhairvyavadīraṇatā dhṛtibalādhānatā vipakṣaḥ / tasya	saMsAra duHKEH vyavadIraNa tA DRti balA DAna tA  vipakzaH / tasya
   pratipakṣeṇa dhṛtibalādhānatā / śāstari kāṃkṣā vimatirvicikitsā	pratipakzeNa DRti bala ADAna tA / SAstari kAMkzA vimatiH vicikitsA
   tathāgatapūjopa sthānatāyāḥ vipakṣaḥ / yasya pratipakṣeṇa	taTAgata pUjA upa sTAna tAyAH vipakzaH / yasya pratipakzeNa
   tathāgatapūjopasthānatā / evaṃ tāvadeṣāṃ vipakṣapratipakṣato vyavasthānaṃ	taTAgata pUjA upasTAna tA / evam tAvat ezAm vipakza pratipakzataH vyavasTAnam
   bhavati /	Bavati /
   kaḥ punareṣāṃ samāsārthaḥ / samāsena daśabhirebhirdharmairāśayaśuddhiḥ	kaH punar ezAm samAsa arTaH / samAsena daSaBiH eBiH DarmEH ASaya SudDiH
   prayogaśuddhiśca paridīpitā / tatra tribhiḥ pūrvakairāśayaśuddhiḥ /	prayoga SudDiH ca paridIpitA / tatra triBiH pUrvakEH ASaya SudDiH /
   avaśiṣṭaiḥ prayogaśuddhirveditavyā / bodhimabhiśraddhadbodhisattvaḥ	avaSizwEH prayoga SudDiH veditavyA / boDim aBiSradDat boDisattvaH
   sattvān duḥkhitān karuṇāyate / karuṇāyamāno mayaite paritrātavyā iti	sattvAn duHKitAn karuNAyate / karuNAyamAnaH mayA ete paritrAtavyAH iti
   maitrāyate / tathā maitracittasya sarvaparityāgī bhavatyeṣu	mEtrAyate / taTA mEtra cittasya sarva parityAgI Bavati ezu
   bhogajīvitanirapekṣaḥ / nirapekṣaścaiṣāmarthe prayujyamāno na parikhidyate	Boga jIvita nirapekzaH / nirapekzaH ca ezAm arTe prayujyamAnaH na pariKidyate
   / aparikhinnaśca śāstrajño bhavati / śāstrajñaśca yathā loke (Dutt 255)	/ apariKinnaH ca SAstra jQaH Bavati / SAstra jQaH ca yaTA loke (Dutt 255)
   pravartitavyamanena tathā jānāti / evaṃ lokajño bhavati / svayañca	pravartitavyam anena taTA jAnAti / evam loka jQaH Bavati / svayaQca
   kleśasamudācāreṇa jehrīyate vyapatrapate / hrīmānapatrāpī ca kleśāvaśago	kleSa samudAcAreNa jehrIyate vyapatrapate / hrImAn apatrApI ca kleSa avaSa go
   dhṛtibaladhānaprāpto bhavati / dhṛtibalādhānaprāptaśca samyak	DRti bala DAna prAptaH Bavati / DRti bala ADAna prAptaH ca samyak 
   prayogādaparihīyamānaḥ kuśalaiśca dharmairvivardhamānaḥ pratipattipūjayā	prayogAt aparihIyamAnaH kuSalEH ca DarmEH vivarDamAnaH pratipatti pUjayA
   lābhasatkārapūjayā ca tathāgatapūjopasthānaṃ karoti / ityayameṣāṃ daśānāṃ	lABa satkAra pUjayA ca taTAgata pUjA upasTAnam karoti / iti ayam ezAm daSAnAm
   dharmāṇāmanukramasamudāgamo veditavyaḥ / ebhirdaśabhirdharmaiḥ	DarmANAm anukrama samudAgamaH veditavyaH / eBiH daSaBiH DarmEH
   sarvabhūmiviśodhanā bhavati /	sarva BUmi viSoDanA Bavati /
   iti bodhisattvabhūmāvādhāre niṣṭhe yogasthāne tṛtīyaṃ bhūmipaṭalam /	iti boDisattva BUmO= ADAre nizWe yoga sTAne tRtIyam BUmi pawalam /
   (Dutt 256)	(Dutt 256)
   Caryāpaṭalam (Chapter 3.4)	CaryA pawalam (ChapteH 3.4)
   adhimukticaryābhūmimupādāya sarvāsu bodhisattvabhūmiṣu bodhisattvānāṃ	aDimukti caryA BUmim upAdAya sarvAsu boDisattva BUmizu boDisattvAnAm
   samāsataścatasraścaryā veditavyāḥ / [katamāścatasraḥ /] pāramitācaryā	samAsatas catasraH caryAH veditavyAH / [katamAH catasraH /] pAramitA caryA
   bodhipakṣyācaryā [abhijñācaryā] sattvaparipākacaryā ca / tatra ṣaṭ ca	boDi pakzyA caryA [aBijQA caryA] sattva paripAka caryA ca / tatra zaz ca
   pūrvanirdiṣṭāḥ pāramitāḥ / upāyakauśalyapāramitā ca praṇidhānapāramitā ca	pUrva nirdizwAH pAramitAH / upAya kOSalya pAramitA ca praNiDAna pAramitA ca
   balapāramitā ca jñānapāramitā ca / itīmā daśapāramitā abhisamasya	bala pAramitA ca jQAna pAramitA ca / iti imAH daSa pAramitA aBisamasya
   pāramitācaryetyu cyate / tatra dvādaśākāraṃ	pAramitA caryA ityu cyate / tatra dvAdaSa AkAram
   pūrvanirdiṣṭamupāyakauśalya[mupāyakauśalya ]pāramitā / pañca	pUrva nirdizwam upAya kOSalya[m upAya kOSalya ]pAramitA / paQca
   pūrvanirdiṣṭāni praṇidhānāni praṇidhānapāramitā /	pUrva nirdizwAni praNiDAnAni praNiDAna pAramitA /
   daśabalaprayogaviśuddhirbalapāramitā / sarvadharmeṣu yathāvad	daSa bala prayoga viSudDiH bala pAramitA / sarva Darmezu yaTAvat 
   vyavasthānajñānaṃ jñānapāramitā / tatra paramārthagrahaṇapravṛttā prajñā	vyavasTAna jQAnam jQAna pAramitA / tatra parama arTa grahaNa pravRttA prajQA
   prajñāpāramitā / saṃvṛtigrahaṇapravṛttā punarjñānapāramitā /	prajQApAramitA / saMvRti grahaNa pravRttA punar jQAna pAramitA /
   ityayamanayorviśeṣaḥ / aparaḥ paryāyaḥ / apramāṇajñānatā	iti ayam anayoH viSezaH / aparaH paryAyaH / apramANa jQAna tA
   upāyakauśalyapāramitā / uttarottarajñānavaiśeṣikatā prārthanā	upAya kOSalya pAramitA / uttara uttara jQAna vESezika tA  prArTanA
   praṇidhānapāramitā / sarvamārairmārgānācchedyatā balāpāramitā / yathāvaj	praNiDAna pAramitA / sarva mArEH mArgAnAt Cedya tA balA pAra mitA / yaTAvat 
   jñaiyāvabodhatā jñānapāramitā / smṛtyupasthānānyupādāya sarve	jQEya avaboDa tA jQAna pAramitA / smRti upasTAnAni upAdAya sarve
   saptatriṃśadbodhipakṣyā dharmāścatasraśca paryeṣaṇāścatvāri ca	saptatriMSat boDi pakzyAH DarmAH catasraH ca paryezaNAH catvAri ca
   yathābhūtaparijñānāni yathāpūrvanirdiṣṭānyabhisamasya bodhisattvānāṃ	yaTABUta parijQAnAni yaTApUrva nirdizwAni aBisamasya boDisattvAnAm
   bodhipakṣyacaryetyucyate / yathā saṃvarṇitāśca ṣaḍbhijñāḥ prabhāvapaṭale	boDi pakzya caryA iti ucyate / yaTA saMvarNitAH ca zaxBijQAH praBAva pawale
   bodhisattvānāmabhijñācaryetyucyate / dvau ca pūrvanirdiṣṭāvaprameyau	boDisattvAnAm aBijQA caryA iti ucyate / dvO ca pUrva nirdizwO= aprameyO
   vineyāprameyaśca vinayopāyāprameyaśca [sarvasattvaparipāko yathānirdiṣṭaḥ]	vineya aprameyaH ca vinaya upAya aprameyaH ca [sarva sattva paripAkaH yaTA nirdizwaH]
   sattvaparipākapaṭale bodhisattvasyābhisamasya sattvaparipākacaryetyucyate	sattva paripAka pawale boDisattvasya aBisamasya sattva paripAka caryA iti ucyate
   ābhiścatasṛbhirbodhisattvacaryābhiḥ sarvabodhisattvacaryāṃsaṃgraho	ABiH catasRBiH boDisattva caryABiH sarva boDisattva caryAMsaMgrahaH 
   veditavyaḥ /	veditavyaH /
   tatrāsaṃkhyeyatraya dīrghakālasamudāgamātsvabhāvaviśuddhiviśeṣāttadanyebhyaḥ	tatra asaMKyeya traya  dIrGa kAla samudAgamAt svaBAva viSudDi viSezAt tad anyeByaH
   sarvalaukikaśrāvakapratyekabuddhakuśalamūlebhyaḥ	sarva lOkika SrAvaka pratyekabudDa kuSala mUleByaH
   paramabodhiphalaparigrahāccaite daśa (Dutt 257) dānādayo dharmāḥ parameṇa	parama boDi Pala parigrahAt ca ete daSa (Dutt 257) dAna AdayaH DarmAH parameNa
   kālena samudāgatāḥ paramayā svabhāvaviśuddhyā viśuddhāḥ paramañca	kAlena samudAgatAH paramayA svaBAva viSudDyAH viSudDAH paramaQca
   phalamanuprayacchanti / iti tasmātpāramitā ityucyante /	Palam anuprayacCanti / iti tasmAt pAramitAH iti ucyante /
   tribhiśca kāraṇaiḥ pāramitānāmanukramavyavasthānaṃ veditavyam /	triBiH ca kAraNEH pAramitAnAm anukrama vyavasTAnam veditavyam /
   katamaistribhiḥ / pratipakṣataḥ upapattito vipākaphalataśca /	katamEH triBiH / pratipakzataH upapattitaH vipAka PalataH ca /
   tatra mātsaryaṃ duścaritaṃ sattveṣu vairotpīḍanatā kausīdyaṃ vikṣepo	tatra mAtsaryam duScaritam sattvezu vEra utpIxana tA kOsIdyam vikzepaH 
   mandamomuhatā ca / amī ṣaḍdharmā bodherāvaraṇasthānīyāḥ / eṣāṃ [ṣaṇṇāṃ]	manda momuhatA ca / amI zaz DarmAH boDeH AvaraNa sTAnIyAH / ezAm [zaNNAM]
   dharmāṇāṃ pratipakṣeṇa ṣaṭ pāramitā yathāyogaṃ veditavyāḥ / tadanyāśca	DarmANAm pratipakzeNa zaw pAramitAH yaTAyogam veditavyAH / tad anyAH ca
   pāramitā ābhireva saṃgṛhītāḥ / evaṃ pratipakṣato vyavasthānaṃ bhavati /	pAramitAH ABiH eva saMgRhItAH / evam pratipakzataH vyavasTAnam Bavati /
   kathamupapattitaḥ / ihādita eva bhoganirapekṣo bodhisattvaḥ tyaktvā	kaTam upapattitaH / iha AditaH eva Boga nirapekzaH boDisattvaH tyaktvA
   āgārikān kāmān śīlasamādānaṃ karoti / śīlagauravācca paraviheṭhaṃ kṣamate	AgArikAn kAmAn SIla samAdAnam karoti / SIla gOravAt ca para viheWam kzamate
   / no tu paraṃ viheṭhayati / samādānataśca kṣāntitaśca viśuddhiśīlo	/ no tu param viheWayati / samAdAnataH ca kzAntitaH ca viSudDi SIlaH 
   niścalena nirantareṇa kuśalapakṣaprayogeṇa prayujyate / sa tathā	niScalena nirantareNa kuSala pakza prayogeNa prayujyate / sa taTA
   vīryeṇāpramattaḥ spṛśati kuśalāñcittasyaikāgratām / sa tathā samāhitacitto	vIryeNa apramattaH spRSati kuSala AQcittasya ekAgra tAm / sa taTA samAhita cittaH 
   yathābhūtaṃ jñeyaṃ jānāti dṛśyaṃ paśyati / evameṣāmevānukrameṇopapattito	yaTABUtam jQeyam jAnAti dRSyam paSyati / evam ezAm eva anukrameNa upapattitaH 
   vyavasthānaṃ veditavyam /	vyavasTAnam veditavyam /
   kathaṃ phalavipākataḥ / iha bodhisattvasya dṛṣṭe dharme etān dānādīn	kaTam Pala vipAkataH / iha boDisattvasya dRzwe Darme etAn dAna AdIn
   kuśalāndharmān samādāya vartamānasya tannidānamāyatyāṃ bāhyataśca	kuSalAn DarmAn samAdAya vartamAnasya tat nidAnam AyatyAm bAhyatas ca
   bhogasampatpratilambho bhavati dānakṛtaḥ / adhyātmikaśca pañcākāra	Boga sampad pratilamBaH Bavati dAna kRtaH / aDyAtmikaH ca paQca AkAra
   ātmabhāvasampatpratilambho bhavati tadanyaśīlādi pāramitākṛtaḥ /	Atma BAva sampad pratilamBaH Bavati tad anya SIla Adi  pAramitA kRtaH /
   pañcākārā ātmabhāvasampatkatamā / sugatiparyāpanno	paQca AkArAH Atma BAva sampad katamA / sugati paryApannaH 
   divyamānuṣyakastadanyasattvāyurādiviśeṣavān / iyaṃ prathamā sampat /	divya mAnuzyakaH tad anya sattva AyuH Adi viSezavAn / iyam praTamA sampad /
   sahajā cakuśalamūlaprayoge akhedatā paravyatikramasahiṣṇutā ca	sahajA cakuSala mUla prayoge aKeda tA para vyatikrama sahizNu tA ca
   paropatāpapriyatā / iyaṃ dvitīyā sampat / sahajā sarvārambheṣu	para upatApa priya tA / iyam dvitIyA sampad / sahajA sarva AramBezu
   dṛḍhavyavasāyatā / iyaṃ tṛtīyā sampat / sahajā ca mandarajaskasya	dRXa vyavasAyatA / iyam tRtIyA sampad / sahajA ca manda rajaskasya
   svacittavaśitā cittakarmaṇyatā sarvārtheṣu kṣiprābhijñatāyai / iyaṃ	sva citta vaSitA citta karmaNya tA sarva arTezu kzipra aBijQa tAyE / iyam
   caturthī sampat / sahajañca mativaipulyaṃ pāṇḍityaṃ (Dutt 258) vicakṣaṇatā	caturTI sampad / sahajaQca mati vEpulyam pANxityam (Dutt 258) vicakzaNa tA
   ca sarvārtheṣu / iyaṃ pañcamī sampat itīdaṃ	ca sarva arTezu / iyam paQcamI sampad iti idam
   phalavipākakṛtamanyadanukramavyavasthānaṃ ṣaṇṇāṃ pāramitānāṃ veditavyam /	Pala vipAka kRtam anyat anukrama vyavasTAnam zaNNAm pAramitAnAm veditavyam /
   tatra catasṛbhiḥ pāramitābhiḥ [saha]sambhāreṇa svabhāvena parivāreṇa	tatra catasRBiH pAramitABiH [saha] samBAreNa svaBAvena parivAreNa
   rakṣayā ca paripūrṇā bodhisattvānāmadhiśīlaṃ śikṣā veditavyā /	rakzayA ca paripUrNA boDisattvAnAm aDiSIlam SikzA veditavyA /
   dhyānapāramitayā adhicittaṃ śikṣā / prajñāpāramitayā adhi[prajñaṃ] śikṣā /	DyAna pAramitayA aDicittam SikzA / prajQApAramitayA aDi[prajQaM] SikzA /
   na ca bodhisattvasyottari śikṣāmārga upalabhyate / tribhiḥ ataḥ	na ca boDisattvasya uttari SikzA mArgaH upalaByate / triBiH atas 
   sarvabodhisattvaśikṣāmārgaṃsaṃgrahātṣaḍeva pāramitā [vyavasthāpitā] / nāta	sarva boDisattva SikzA mArgaMsaMgrahAt zaz A iva pAramitA [vyavasTApitA] / na ata
   uttari nāto bhūyaḥ /	uttari na atas BUyas /
   catvāri cemāni bodhisattvānāṃ samāsataḥ kṛtyāni / yaireṣāṃ	catvAri ca imAni boDisattvAnAm samAsatas kRtyAni / yEH ezAm
   sarvakṛtyasaṃgraho bhavati / bodhāya kuśalābhyāsaḥ / tatpūrvakaśca	sarva kRtya saMgrahaH Bavati / boDAya kuSala aByAsaH / tad pUrvakaH ca
   tattvārthaprativedhaḥ prabhāvasamudāgamaḥ / sattvaparipācanatā ca / etāni	tattva arTa prativeDaH praBAva samudAgamaH / sattva paripAcana tA ca / etAni
   ca catvāri kṛtyāni bodhisattvāḥ ābhiścatasṛbhiścaryābhiryathākramaṃ	ca catvAri kRtyAni boDisattvAH ABiH catasRBiH caryABiH yaTAkramam
   kurvantyanutiṣṭhanti / tasmādapi taduttarā caryā na vyavasthāpyate /	kurvanti anutizWanti / tasmAt api tad uttarA caryA na vyavasTApyate /
   iti bodhisattvabhūmāvādhāre niṣṭhe yogasthāne caturthaṃ caryāpaṭalam /	iti boDisattva BUmO= ADAre nizWe yoga sTAne caturTam caryA pawalam /
   (Dutt 259)	(Dutt 259)
   Lakṣmaṇānuvyañjanapaṭalam (Chapter 3.5)	LakzmaNa anuvyaQjana pawalam (ChapteH 3.5)
   tatra tathāgatavihāramārabhya tāthāgatīñca niṣṭhāgamanabhūmiṃ bhagavatāṃ	tatra taTAgata vihAram AraBya tATAgatIQca nizWA gamana BUmim BagavatAm
   catvāriṃśaduttaramāveṇikaṃ buddhadharmaśataṃ bhavati /	catvAriMSat uttaram AveNikam budDa Darma Satam Bavati /
   dvātriṃśanmahāpuruṣalakṣaṇāni aśītyunuvyañjanāni catasraḥ sarvākārāḥ	dvAtriMSat mahApuruza lakzaNAni aSIti unu vyaQjanAni catasraH sarva AkArAH
   pariśuddhayaḥ daśa tathāgatabalāni catvāri vaiśāradyāni trīṇi	pariSudDayaH daSa taTAgata balAni catvAri vESAradyAni trINi
   smṛtyupasthānāni trīṇyarakṣāṇi mahāṃkaruṇā 'sammoṣadharmatā	smRti upasTAnAni trINi arakzANi mahA aMkaruNA asammoza Darma tA
   vāsanā samuddhātaḥ sarvākāra varajñānañca /	vAsanA  samudDAtaH sarva AkAra  vara jQAnaQca /
   dvātriṃśanmahāpuruṣalakṣaṇāni katamāni / supratiṣṭhitapādo mahāpuruṣaḥ	dvAtriMSat mahApuruza lakzaNAni katamAni / su pratizWita pAdaH mahApuruzaH
   samamākramati mahīm / idaṃ mahāpuruṣasya mahāpuruṣalakṣaṇam /	samam Akramati mahIm / idam mahApuruzasya mahApuruza lakzaNam /
   adhasthātpādatalayoścakre jāte sahasrāre sanābhike sanemike	aDasTAt pAda talayoH cakre jAte sahasrAre sa nABike sanemike
   sarvākāraparipūrṇe / dīrghāṅgulimaṃhāpuruṣaḥ / āyatapādapārṣṇiḥ /	sarva AkAra paripUrNe / dIrGa aFguli maMhApuruzaH / Ayata pAda pArzNiH /
   mṛdutaruṇapāṇipādaḥ / jālapāṇipādaḥ / ucchaṅgacaraṇaḥ / eṇeyajaṅghaḥ /	mRdu taruNa pANi pAdaH / jAla pANi pAdaH / ucCaFga caraNaH / eNeyajaFGaH /
   anavanatakāyaḥ / kośagatavastiguhyaḥ / nyogradhaparimaṇḍalaḥ /	anavanata kAyaH / koSa gata vasti guhyaH / nyograDa parimaNxalaH /
   vyāmaprabhaḥ / ūrdhvāṅgaromā / ekaikaromā / ekaikamasya romakūpe jātaṃ	vyAma praBaH / UrDva aFga romA / ekEka romA / ekEkam asya romakUpe jAtam
   nīlaṃ kuṇḍalakajātaṃ pradakṣiṇāvartam / kāñcanasannibhatvak / ślakṣṇavatk	nIlam kuNxalaka jAtam pradakziNa Avartam / kAQcana sanniBa tvac / SlakzNa vat k
   / ślakṣṇatvāt tvace rajo malasya kāye nāvatiṣṭhate / saptotsadakāyaḥ /	/ SlakzNa tvAt tvace rajaH malasya kAye na avatizWate / sapta utsada kAyaH /
   saptāsyotsadāḥ / kāye jātāḥ dvau hastayordvau pādayordvāvasaṃyoreko	sapta Asya utsadAH / kAye jAtAH dvO hastayoH dvO pAdayoH dvO= asaMyoH ekaH 
   grīvāyām / siṃhapūrvārdhakāyaḥ / susaṃvṛttaskandhaḥ / citāntarāṃśaḥ /	grIvAyAm / siMha pUrva arDa kAyaH / su saMvRtta skanDaH / citA antara aMSaH /
   bahadṛjugātraḥ / catvāriṃśatsamadantaḥ / aviraladantaḥ / suśukladantaḥ /	bahadRju gAtraH / catvAriMSat samadantaH / avirala dantaH / su Sukla dantaH /
   siṃhahanuḥ / prabhūta tanujihvaḥ / prabhūtatvāj jihvāyāḥ mukhājjihavāṃ	siMhahanuH / praBUta  tanu jihvaH / praBUta tvAt jihvAyAH muKAt jihavAn
   nirṇāmya sarvamukhamaṇḍalamavacchādayati yāvantakaṃ kleśaparyantam /	nirNAmya sarva muKa maNxalam avacCAdayati yAvantakam kleSa paryantam /
   rasarasāgraprāptaḥ / brahmasvaraḥ / kalaviṅka manojñabhāṇī /	rasa rasa agra prAptaH / brahma svaraH / kalaviFka  manojQa BANI /
   dundubhisvaranirghoṣaḥ / abhinīlanetraḥ / gopakṣmā / (Dutt 260)	dunduBi svara nirGozaH / aBinIla netraH / gopa kzmA / (Dutt 260)
   uṣṇīṣaśīrṣā / ūrṇā cāsya bhrūvormadhye jātā śvetā śaṃkhanibhā	uzNIza SIrzA / UrNA ca asya BrUvoH maDye jAtA SvetA SaMKa niBA
   pradakṣiṇāvartā / idaṃ mahāpuruṣasya mahāpuruṣalakṣaṇam /	pradakziNa AvartA / idam mahApuruzasya mahApuruza lakzaNam /
   aśītiranuvyañjanāni katamāni / hastapādayorviśatiraṅgulyaḥ saparvāṇaḥ	aSItiH anuvyaQjanAni katamAni / hasta pAdayoH viSatiH aFgulyaH sa parvANaH
   sanakhāḥ / viṃśatiranuvyañjanāni / hastapādayorevāṣṭau talāni /	sa naKAH / viMSatiH anuvyaQjanAni / hasta pAdayoH eva azwO talAni /
   dvayorhastayoścatvāri dvayoḥ pādayoścatvāryaṣṭāvanuvyañjanāni / ṣaḍvidho	dvayoH hastayoH catvAri dvayoH pAdayoH catvAri azwO= anu vyaQjanAni / zaxviDo
   gulphajānūrusaṃghātaḥ / ṣaḍanuvyañjanāni / ṣaḍvidho bāha saṃghātaḥ	gulPa jAnu Uru saMGAtaH / zaz anu vyaQjanAni / zaxviDaH bAha  saMGAtaH
   ṣaḍanuvyañjanāni / jaghanam / sīvanī ca / vṛṣṇe 'nuvyañjanadvayaṃ /	zaz anu vyaQjanAni / jaGanam / sIvanI ca / vRzNe anuvyaQjana dvayam /
   upastham / dve sphicau anuvyañjanadvayam / trikam / udaram / nābhiḥ / dve	upasTam / dve sPicO anuvyaQjana dvayam / trikam / udaram / nABiH / dve
   pārśve dve kakṣe dvau stanauabhisamasya ṣaḍanuvyañjane bhavanti / uraḥ	pArSve dve kakze dvO stanOaBi samasya zaz anu vyaQjane Bavanti / uraH
   hṛdayaṃ grīvā pṛṣṭham / ityetyāni adhaḥ kāyagatāni grīvāyāma ūrdhvaṃ	hRdayam grIvA pRzWam / iti etyAni aDas kAya gatAni grIvA AyAmaH UrDvam
   sthāpayitvā ṣaṣṭiranuvyañjanāni bhavati / dve dantamāle dve anuvyañjane /	sTApayitvA zazwiH anuvyaQjanAni Bavati / dve dantamAle dve anuvyaQjane /
   tālukam / dvau saparivārau coṣṭau anuvyañjanadvayam / suparipūrṇaṃ kapolam	tAlukam / dvO sa parivArO ca uzwO anuvyaQjana dvayam / su paripUrNam kapolam
   / dve gaṇḍe paripūrṇe susaṃskṛte anuvyañjanadvyam / dvau	/ dve gaNxe paripUrNe susaMskRte anuvyaQjana dvyam / dvO
   akṣiparivārāvanuvyañjanadvayam / dve bhruvāvanuvyañjanadvayam / dve	akzi parivArO= anuvyaQjana dvayam / dve BruvO= anuvyaQjana dvayam / dve
   nāsikāvile anuvyañjanadvayam / lalāṭam / dve śaṅkhe dvau ca	nAsikA Avile anuvyaQjana dvayam / lalAwam / dve SaFKe dvO ca
   karṇāvanuvyañjana catuṣṭam / sakeśañca śiro 'nuvyañjanam / ityetāni	karNO= anuvyaQjana  catuzwam / sa keSaQca SiraH anuvyaQjanam / iti etAni
   grīvāyāḥ ūrdhvaṃ kāye viṃśatiranuvyañjanāni bhavanti / pūrvakāni ca ṣaṣṭiḥ	grIvAyAH UrDvam kAye viMSatiH anuvyaQjanAni Bavanti / pUrvakAni ca zazwiH
   paścimakāni ca viṃśatirekadhyamabhisaṃkṣipya aśītiranuvyañjanāni bhavanti	paScimakAni ca viMSatiH ekaDyam aBisaMkzipya aSItiH anuvyaQjanAni Bavanti
   / ityetāni lakṣaṇānuvyañjanāni [bhadrāṇi] śuddhāśayabhūmipraviṣṭo	/ iti etAni lakzaNa anuvyaQjanAni [BadrANi] SudDa ASaya BUmi pravizwaH 
   bodhisattvo vipākataḥ pratilabhate / tatastūrdhvameṣāṃ śuddhiruttarottarā	boDisattvaH vipAkataH pratilaBate / tatas tu UrDvam ezAm SudDiH uttarottarA
   yāvadbodhimaṇḍaniṣadanād veditavyā / pariśiṣṭānāveṇikān	yAvat boDimaNxa nizadanAt veditavyA / pariSizwAn AveNikAn
   sarvākāra pariśuddhādīn suviśuddhān paripūrṇān pratilabhate / hīnaistu	sarva AkAra  pariSudDa AdIn su viSudDAn paripUrNAn pratilaBate / hInEH tu
   taiḥ pūrvamapi bodhisattvabhūtaḥ samanvāgato bhavati	tEH pUrvam api boDisattva BUtaH samanvAgataH Bavati
   śuddhādhyāśayabhūmimupādāya / sarvaścāviśeṣeṇa bodhisambhāraḥ sarveṣāṃ	SudDa aDyASaya BUmim upAdAya / sarvaH ca aviSezeNa boDi samBAraH sarvezAm
   lakṣaṇānuvyañjanānāṃ nirvartako bhavati /	lakzaNa anuvyaQjanAnAm nirvartakaH Bavati /
   sa punarbodhisambhāro dvividhaḥ / bodherdūraścāsannaśca / tatra dūraḥ /	sa punar boDi samBAraH dviviDaH / boDeH dUraH ca AsannaH ca / tatra dUraH /
   yaḥ pratilabdheṣu vipākato lakṣaṇānuvyañjaneṣu / āsannaḥ / yaḥ	yaH pratilabDezu vipAkataH lakzaNa anuvyaQjanezu / AsannaH / yaH
   pratilabdheṣu tatprathamato vipākato lakṣaṇānuvyañjaneṣu / tato vā	pratilabDezu tat praTamatas vipAkataH lakzaNa anuvyaQjanezu / tatas vA
   uttarottaraviśuddhiviśeṣagateṣu /	uttarottara viSudDi viSeza gatezu /
   (Dutt 261)	(Dutt 261)
   vicitrakarmābhisaṃskāraphalāni tvetāni lakṣaṇānuvyañjanāni bhagavatā	vicitra karma aBisaMskAra PalAni tu etAni lakzaNa anuvyaQjanAni BagavatA
   [arthi ]vineyavaśena nirdeśitāni / tatkasya hetoḥ / sattvā vicitre	[arTi ]vineya vaSena nirdeSitAni / tat kasya hetoH / sattvAH vicitre
   pāpakarmasamudācāre 'bhiratāḥ / apyeva te tasya pāpakasya karmaṇo	pApa karma samudAcAre aBiratAH / api eva te tasya pApakasya karmaNaH 
   vipakṣabhūtasya vicitrasya yatprātipakṣikaṃ vicitraṃ kuśalaṃ	vipakza BUtasya vicitrasya yat prAtipakzikam vicitram kuSalam
   lakṣaṇānuvyañjananirvartakaṃ karma tasyedaṃ vicitraphalānuśaṃsaṃ śrutvā	lakzaNa anuvyaQjana nirvartakam karma tasya idam vicitra Pala anuSaMsam SrutvA
   tasya mahataḥ phalānuśaṃsasya spṛhyamānarūpāratasmācca pāpādvirameyuḥ /	tasya mahataH Pala anuSaMsasya spRhyamAna rUpA ratasmAt ca pApa at virameyuH /
   tacca kuśalaṃ samādāya varteranniti / yathoktaṃ lakṣaṇasūtre /	tat ca kuSalam samAdAya varteran= iti / yaToktam lakzaNa sUtre /
   śīlavratakṣāntityāgeṣu pratiṣṭhitatvātsupratiṣṭhitapādatvaṃ pratilabhate /	SIla vrata kzAnti tyAgezu pratizWita tvAt su pratizWita pAda tvam pratilaBate /
   mātāpitrorupasthānena vicitreṇa vicitrayā ca sattvopadravārakṣayā	mAtA pitroH upasTAnena vicitreNa vicitrayA ca sattva upadravAra kzayA
   āgamana gamanādiparispandamupādāya cakrāṅkapādatāṃ pratilabhate /	Agamana  gamana Adi parispandam upAdAya cakrAFkapAda tAm pratilaBate /
   paravihiṃsāmadattādānañca prahāya gurūṇāṃ	para vihiMsAm adat tAt AnaQca prahAya gurUNAm
   cābhivādanavandana pratyutthānāñjali sāmīcī karma kṛtvā pareṣāṃ	ca aBivAdana vandana  pratyutTAna aQjali  sAmIcI  karma kRtvA parezAm
   manastuṣṭipriyabhogāhrasvīkaraṇān nihatamānatvācca dīrghāṅgulitvaṃ	manaH tuzwi priya Boga ahra svIkaraNAt nihata mAna tvAt ca dIrGa aFguli tvam
   mahāpuruṣalakṣaṇaṃ pratilabhate / yaiśca tribhiḥ karmabhiretāni trīṇi	mahApuruza lakzaNam pratilaBate / yEH ca triBiH karmaBiH etAni trINi
   mahāpuruṣalakṣaṇāni nirdiṣṭāni taireva sarvaiḥ	mahApuruza lakzaNAni nirdizwAni tEH eva sarvEH
