   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   prakaṭīkṛtaḥ prasādo dattvā vātāyane vyajanam ||GAss_512||	prakawIkRtaH prasAdaH dattvA vAtAyane vyajanam ||GAsH-_512||
   iti vibhāvyākhyā-sametā la-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH la-kAra-vrajyA ||
   va-kāra-vrajyā	va-kAra-vrajyA
   varṇa-hṛtir na lalāṭe na lulitam aṅgaṃ na cādhare daṃśaḥ |	varNa-hRtiH na lalAwe na lulitam aFgam na ca-aDare daMSaH |
   utpalam ahāri vāri ca na spṛṣṭam upāya-catureṇa ||GAss_513||	utpalam ahAri vAri ca na spRzwam upAya-catureNa ||GAsH-_513||
   vividhāyudha-vraṇārbuda-viṣame vakṣaḥ-sthale priyatamasya |	viviDa-AyuDa--vraNa-arbuda--vizame vakzaH-sTale priyatamasya |
   śrīr api vīra-vadhūr api garvotpulakā sukhaṃ svapiti ||GAss_518||	SrIH api vIra-vaDUH api garva-utpulakA suKam svapiti ||GAsH-_518||
   vaimukhye'pi vimuktāḥ śarā ivānyāya-yodhino vitanoḥ |	vEmuKye-api vimuktAH SarAH iva-anyAya--yoDinaH vitanoH |
   bhindanti pṛṣṭha-patitāḥ priya hṛdayaṃ mama tava śvāsāḥ ||GAss_519||	Bindanti pRzWa-patitAH priya hRdayam mama tava SvAsAH ||GAsH-_519||
   vyaktam adhunā sametaḥ khaṇḍo madirākṣi daśana-vasane te |	vyaktam aDunA sametaH KaNxaH madirA-akzi daSana-vasane te |
   yan nava-sudhaika-sāre lobhini tat kim api nādrākṣam ||GAss_520||	yat nava--suDA-eka--sAre loBini tat kim api na-adrAkzam ||GAsH-_520||
   vījayator anyonyaṃ yūnor viyutāni sakala-gātrāṇi |	vIjayatoH anyonyam yUnoH viyutAni sakala--gAtrANi |
   san maitrīva śroṇī paraṃ nidāghe'pi na vighaṭitā ||GAss_521||	san mEtrI-iva SroNI param nidAGe-api na viGawitAH ||GAsH-_521||
   vyāroṣaṃ māninyās tamo divaḥ kāsaraṃ kalam abhūmeḥ |	vyArozam mAninyAH tamaH divaH kAsaram kalam aBUmeH |
   baddham aliṃ ca nalinyāḥ prabhāta-sandhyāpasārayati ||GAss_522||	badDam alim ca nalinyAH praBAta--sanDyA-apasArayati ||GAsH-_522||
   vakṣasi vijṛmbhamāṇe stana-bhinnaṃ truṭati kañcukaṃ tasyāḥ |	vakzasi vijRmBamANe stana--Binnam truwati kaQcukam tasyAH |
   pūrva-dayitānurāgas tava hṛdi na manāg api truṭati ||GAss_523||	pUrva-dayitA-anurAgaH tava hRdi na manAk api truwati ||GAsH-_523||
   vyaktim avekṣya tad anyāṃ tasyām eveti viditam adhunā tu |	vyaktim avekzya tat anyAm tasyAm eva-iti viditam aDunA tu |
   harmya-hari-mukham iva tvām ubhayoḥ sādhāraṇaṃ vedmi ||GAss_524||	harmya--hari--muKam iva tvAm uBayoH sADAraNam vedmi ||GAsH-_524||
   vyajanasyeva samīpe gatāgatais tāpa-hāriṇo bhavataḥ |	vyajanasya-iva samIpe gatAgatEH tApa--hAriNaH BavataH |
   añcalam iva cañcalatāṃ mama sakhyāḥ prāpitaṃ cetaḥ ||GAss_525||	aQcalam iva caQcala-tAm mama saKyAH prApitam cetaH ||GAsH-_525||
   vitarantī rasam antar mamārdra-bhāvaṃ tanoṣi tanu-gātri |	vitarantI rasam antar mama-Ardra-BAvam tanozi tanu--gAtri |
   antaḥ-salilā sarid iva yan nivasasi bahir adṛśyāpi ||GAss_526||	antaH--salilA sarit iva yat nivasasi bahis adRSya-api ||GAsH-_526||
   vihita-vividhānubandho mānonnatayāvadhīrito mānī |	vihita--viviDa-anubanDaH mAna-unnatayA-avaDIritaH mAnI |
   labhate kutaḥ prabodhaṃ sa jāgaritvaiva nidrāṇaḥ ||GAss_527||	laBate kutas praboDam sa jAgaritvA-eva nidrANaH ||GAsH-_527||
   vrīḍā-vimukhīṃ vīta-snehām āśaṅkya kāku-vāṅ-madhuraḥ |	vrIxA--vimuKIm vIta-snehAm ASaFkya kAku-vAF-maDuraH |
   premārdra-sāparādhāṃ diśati dṛśaṃ vallabhe bālā ||GAss_528||	prema-Ardra--sa-aparADAm diSati dRSam vallaBe bAlAH ||GAsH-_528||
   vakṣaḥ-praṇayini sāndra-śvāse vāṅ-mātra-subhaṭi ghana-gharme |	vakzaH--praNayini sAndra--SvAse vAF-mAtra--suBawi Gana-Garme |
   sutanu lalāṭa-niveśita-lalāṭike tiṣṭha vijitāsi ||GAss_529||	su-tanu lalAwa--niveSita-lalAwike tizWa vijitA-asi ||GAsH-_529||
   vicarati paritaḥ kṛṣṇe rādhāyāṃ rāga-capala-nayanāyām |	vicarati paritas kRzNe rADAyAm rAga--capala-nayanAyAm |
   daśa-dig-vedha-viśuddhaṃ viśikhaṃ vidadhāti viṣameṣuḥ ||GAss_530||	daSa-diS---veDa--viSudDam viSiKam vidaDAti vizama-izuH ||GAsH-_530||
   vimukhe caturmukhe śritavati cānīśa-bhāvam īśe'pi |	vimuKe caturmuKe Sritavati ca-anISa-BAvam ISe-api |
   magna-mahī-nistāre hariḥ paraṃ stabdha-romābhūt ||GAss_532||	magna--mahI--nistAre hariH param stabDa-romA-aBUt ||GAsH-_532||
   vāpī-kacche vāsaḥ kaṇṭaka-vṛtayaḥ sajāgarā bhramarāḥ |	vApI--kacCe vAsaH kaNwaka--vRtayaH sa-jAgarAH BramarAH |
   ketaka-viṭapa kim etair nanu vāraya mañjarī-gandham ||GAss_533||	ketaka--viwapa kim etEH nanu vAraya maQjarI--ganDam ||GAsH-_533||
   vicalasi mugdhe vidhṛtā yathā tathā viśasi hṛdaya-madaye me |	vicalasi mugDe viDRtA yaTA taTA viSasi hRdaya-madaye me |
   śaktiḥ prasūna-dhanuṣaḥ prakampa-lakṣyaṃ spṛśantīva ||GAss_534||	SaktiH prasUna--DanuzaH prakampa--lakzyam spRSanti-iva ||GAsH-_534||
   vihitaāsama-śara-samaro jita-gāṅgeya-cchaviḥ kṛtāṭopaḥ |	vihitaa-asama-Sara--samaraH jita--gAFgeya-=-CaviH kRta-AwopaH |
   puruṣāyite virājati dehas tava sakhi śikhaṇḍīva ||GAss_535||	puruzAyite virAjati dehaH tava saKi SiKaNxI-iva ||GAsH-_535||
   vṛti-vivara-nirgatasya pramadā-bimbādharasya madhu pibate |	vRti-vivara--nirgatasya pramadA--bimba-aDarasya maDu pibate |
   avadhīrita-pīyūṣaḥ spṛhayati devādhirājo 'pi ||GAss_536||	avaDIrita--pIyUzaH spRhayati deva-aDirAjaH api ||GAsH-_536||
   vāsita-madhuni vadhūnām avataṃse mauli-maṇḍane yūnām |	vAsita--maDuni vaDUnAm avataMse mOli-maNxane yUnAm |
   vilasati sā puru-kusume madhupīva vana-prasūneṣu ||GAss_537||	vilasati sA puru-kusume maDupI-iva vana--prasUnezu ||GAsH-_537||
   vrīḍā-prasaraḥ prathamaṃ tad anu ca rasa-bhāva-puṣṭa-ceṣṭeyam |	vrIxA--prasaraH praTamam tat anu ca rasa-BAva--puzwa--cezwA-iyam |
   javanī-vinirgamād anu naṭīva dayitā mano harati ||GAss_538||	javanI--vinirgamAt anu nawI-iva dayitA manaH harati ||GAsH-_538||
   vāsasi haridrayeva tvayi gaurāṅgyā niveśito rāgaḥ |	vAsasi haridrayA-iva tvayi gOra-aFgyAH niveSitaH rAgaH |
   piśunena so 'panītaḥ sahasā patatā jaleneva ||GAss_539||	piSunena saH apanItaH sahasA patatA jalena-iva ||GAsH-_539||
   viṣvag-vikāsi-saurabha-rāgāndha-vyāgha-bādhanīyasya |	vizvak--vikAsi--sOraBa--rAga-anDa-vyAGa--bADanIyasya |
   kvacid api kuraṅga bhavato nābhīm ādāya na sthānam ||GAss_540||	kvacid api kuraFga BavataH nABIm AdAya na sTAnam ||GAsH-_540||
   vaṭa-kuṭaja-śāla-śālmali-rasāla-bahu-sāra-sindhu-vārāṇām |	vawa-kuwaja--SAla--SAlmali--rasa-ala--bahu--sAra--sinDu--vArANAm |
   asti bhidā malayācala-sambhava-saurabhya-sāmye'pi ||GAss_541||	asti BidAH malaya-acala--samBava--sOraBya--sAmye-api ||GAsH-_541||
   vinihita-kaparda-koṭiṃ cāpala-doṣeṇa śaṅkaraṃ tyaktvā |	vinihita-ka-parda--kowim cApala--dozeNa SaFkaram tyaktvA |
   vaṭam ekam anusarantī jāhnavi luṭhasi prayāga-taṭe ||GAss_542||	vawam ekam anusarantI jAhnavi luWasi prayAga--tawe ||GAsH-_542||
   veda caturṇāṃ kṣaṇadā praharāṇāṃ saṅgamaṃ viyogaṃ ca |	veda caturNAm kzaNadA praharANAm saFgamam viyogam ca |
   caraṇānām iva kūrmī saṅkocam api prasāram api ||GAss_543||	caraNAnAm iva kUrmI saFkocam api prasAram api ||GAsH-_543||
   vṛti-vivareṇa viśantī subhaga tvām īkṣituṃ sakhī dṛṣṭiḥ |	vRti-vivareNa viSantI suBaga tvAm Ikzitum saKI dRzwiH |
   harati yuva-hṛdaya-pañjara-madhyasthā manmatheṣur iva ||GAss_544||	harati yuva--hRdaya--paQjara--maDya-sTAH manmaTa-izuH iva ||GAsH-_544||
   vipaṇitulā-sāmānye mā gaṇayainaṃ nirūpaṇe nipuṇa |	vipaNi-tulA--sAmAnye mA gaNaya-enam nirUpaNe nipuNa |
   dharma-ghaṭo 'sāv adharīkaroti laghum upari nayati gurum ||GAss_545||	Darma-GawaH asO aDarIkaroti laGum upari nayati gurum ||GAsH-_545||
   vāsara-gamyam anūror ambaram avanī ca vāmanaika-padam |	vAsara--gamyam anUroH ambaram avanI ca vAmana-eka-padam |
   jaladhir api potalaṅghyaḥ satāṃ manaḥ kena tulayāmaḥ ||GAss_546||	jalaDiH api pota-laFGyaH satAm manaH kena tulayAmaH ||GAsH-_546||
   vitata-tamo-maṣilekhālakṣmotsaṅga-sphuṭāḥ kuraṅgākṣi |	vitata-tamaH--mazi-leKA-lakzma-utsaFga--sPuwAH kuraFga-akzi |
   patrākṣara-nikarā iva tārā nabhasi prakāśante ||GAss_547||	patra-akzara--nikarAH iva tArAH naBasi prakASante ||GAsH-_547||
   vividhāṅga-bhaṅgiṣu gurur nūtana-śiṣyāṃ manobhavācāryaḥ |	viviDa-aFga-BaFgizu guruH nUta-na--SizyAm manoBava-AcAryaH |
   vetra-latayeva bālāṃ talpe nartayati rata-rītyā ||GAss_548||	vetra--latayA-iva bAlAm talpe nartayati rata--rItyA ||GAsH-_548||
   viparītam api rataṃ te sroto nadyā ivānukūlam idam |	viparItam api ratam te srotaH nadyAH iva-anukUlam idam |
   taṭa-tarum iva mama hṛdayaṃ samūlam api vegato harati ||GAss_549||	tawa-tarum iva mama hRdayam sa-mUlam api vegataH harati ||GAsH-_549||
   vaibhava-bhājāṃ dūṣaṇam api bhūṣaṇa-pakṣa eva nikṣiptam |	vEBava--BAjAm dUzaNam api BUzaNa-pakzaH eva nikziptam |
   ugṇam ātmanām adharmaṃ dveṣaṃ ca gṛṇanti kāṇādāḥ ||GAss_550||	ugNam AtmanAm aDarmam dvezam ca gRNanti kANAdAH ||GAsH-_550||
   vakrāḥ kapaṭa-snigdhāḥ malināḥ karṇāntike prasajjantaḥ |	vakrAH kapawa--snigDAH malinAH karNa-antike prasajjantaH |
   kaṃ vañcayanti na sakhe khalāś ca gaṇikā-kaṭākṣāś ca ||GAss_551||	kam vaQcayanti na saKe KalAH ca gaNikA-kawAkzAH ca ||GAsH-_551||
   vidyuj-jvālā-valayita-jaladhara-piṭharodarād viniryānti |	vidyuj--jvAlA---valayita--jalaDara--piWara-udarAt viniryAnti |
   viśadaudana-dyuti-muṣaḥ preyasi payasā samaṃ karakāḥ ||GAss_552||	viSadOdana--dyuti--muzaH preyasi payasA samam karakAH ||GAsH-_552||
   vyajanādibhir upacāraiḥ kiṃ maru-pathikasya gṛhiṇi vihitair me |	vyajana-AdiBiH upacArEH kim maru-paTikasya gRhiNi vihitEH me |
   tāpas tvad-ūru-kadalī-dvaya-madhye śānti-mayam eti ||GAss_553||	tApaH tvad--Uru--kadalI--dvaya--maDye SAnti-mayam eti ||GAsH-_553||
   vaiguṇye'pi hi mahatā vinirmitaṃ bhavati karma śobhāyai |	vEguNye-api hi mahatA vinirmitam Bavati karma SoBAyE |
   durvaha-nitamba-mantharam api harati nitambinī-nṛtyam ||GAss_554||	durvaha--nitamba-manTaram api harati nitambinI--nRtyam ||GAsH-_554||
   vīkṣya satīnāṃ gaṇane rekhām ekāṃ tayā sva-nāmāṅkām |	vIkzya satInAm gaNane reKAm ekAm tayA sva-nAma-aFkAm |
   santu yuvāno hasituṃ svayam evāpāri nāvaritum ||GAss_555||	santu yuvAnaH hasitum svayam eva-apAri na-Avaritum ||GAsH-_555||
   vindhyācala iva dehas tava vividhāvarta-narmada-nitambaḥ |	vinDya-acalaH iva dehaH tava viviDa-Avarta-narmada--nitambaH |
   sthagayati gatiṃ muner api sambhāvita-ravi-ratha-stambhaḥ ||GAss_556||	sTagayati gatim muneH api samBAvita--ravi-raTa-stamBaH ||GAsH-_556||
   vṛti-bhañjana gañjana-saha nikāmam uddāma durnayārāma |	vRti-BaQjana gaQjana-saha nikAmam uddAma durnaya-ArAma |
   paravāṭī-śata-lampaṭa duṣṭa-vṛṣa smarasi geham api ||GAss_557||	para-vAwI--Sata-lampawa duzwa-vRza smarasi geham api ||GAsH-_557||
   vaṃśāvalambanaṃ yad yo vistāro guṇasya yāvanatiḥ |	vaMSa-avalambanam yat yaH vistAraH guNasya yA-avanatiH |
   taj jālasya khalasya ca nijāṅka-supta-praṇāśāya ||GAss_558||	tat jAlasya Kalasya ca nija-aFka-supta--praNASAya ||GAsH-_558||
   vindhya-mahīdhara-śikhare mudira-śreṇī-kṛpāṇa-mayam anilaḥ |	vinDya--mahIDara--SiKare mudira--SreNI--kRpANa-mayam anilaH |
   udyad-vidyuj-jyotiḥ pathika-vadhāyaiva śātayati ||GAss_559||	udyad-vidyuj--jyotiH paTika-vaDAya-eva SAtayati ||GAsH-_559||
   vyālambamāna-veṇī-dhuta-dhūli prathamam aśrubhir dhautam |	vyAlambamAna--veNI--Duta-DUli praTamam aSruBiH DOtam |
   āyātasya padaṃ mama gehinyā tad anu salilena ||GAss_560||	AyAtasya padam mama gehinyA tat anu salilena ||GAsH-_560||
   vakṣaḥ-sthala-supte mama mukham upadhātuṃ na maulim ālabhase |	vakzaH-sTala--supte mama muKam upaDAtum na mOlim AlaBase |
   pīnottuṅga-stana-bhara-dūrī-bhūtaṃ rata-śrāntau ||GAss_561||	pIna-uttuFga--stana--Bara-dUrI--BUtam rata--SrAntO ||GAsH-_561||
   vadana-vyāpārāntarbhāvād anuraktamānayantī tvam |	vadana--vyApAra-antarBAvAt anuraktam-AnayantI tvam |
   dūti satī-nāśārthaṃ tasya bhujaṅgasya daṃṣṭrāsi ||GAss_562||	dUti satI--nASa-arTam tasya BujaFgasya daMzwrA-asi ||GAsH-_562||
   iti vibhāvyākhyā-sametā va-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH va-kAra-vrajyA ||
   śa-kāra-vrajyā	Sa-kAra-vrajyA
   śrīr api bhujaṅga-bhoge mohana-vijñena śīlitā yena |	SrIH api BujaFga--Boge mohana--vijQena SIlitAH yena |
   so 'pi hariḥ puruṣo yadi puruṣā itare'pi kiṃ kurmaḥ ||GAss_563||	saH api hariH puruzaH yadi puruzAH itare-api kim kurmaH ||GAsH-_563||
   śaṅke yā sthairyamayī ślathayati bāhū manobhavasyāpi |	SaFke yA sTErya-mayI SlaTayati bAhU manoBavasya-api |
   darpa-śilām iva bhavatīṃ kataras taruṇo vicālayati ||GAss_564||	darpa-SilAm iva BavatIm kataraH taruNaH vicAlayati ||GAsH-_564||
   śārdūla-nakhara-bhaṅgura kaṭhoratara-jāta-rūpa-racano 'pi |	SArdUla-naKara-BaFgura kaWoratara--jAta--rUpa-racanaH api |
   bālānām api bālāsā yasyās tvam api hṛdi vasasi ||GAss_565||	bAlAnAm api bAlAsA yasyAH tvam api hRdi vasasi ||GAsH-_565||
   śruta eva śruti-hāriṇi rāgotkarṣeṇa kaṇṭham adhivasati |	SrutaH eva Sruti-hAriNi rAga-utkarzeNa kaNWam aDivasati |
   gīta iva tvayi madhure karoti nārtha-grahaṃ sutanuḥ ||GAss_566||	gItaH iva tvayi maDure karoti na-arTa-graham su-tanuH ||GAsH-_566||
   śrīḥ śrī-phalena rājyaṃ tṛṇa-rājenālpa-sāmyato labdham |	SrIH SrI-Palena rAjyam tRNa-rAjena-alpa--sAmyataH labDam |
   kucayoḥ samyak-sāmyād gato ghaṭaś cakravartitvam ||GAss_567||	kucayoH samyak--sAmyAt gataH GawaH cakravarti-tvam ||GAsH-_567||
   śroṇī bhūmāv aṅke priyo bhayaṃ manasi pati-bhuje mauliḥ |	SroNI BUmO aFke priyaH Bayam manasi pati-Buje mOliH |
   gūḍhaśvāso vadane suratam idaṃ cet tṛṇaṃ tridivam ||GAss_568||	gUXa-SvAsaH vadane suratam idam ced tRNam tridivam ||GAsH-_568||
   śliṣyann iva cumbann iva paśyann iva collikhann ivātṛptaḥ |	Slizyan iva cumban iva paSyan iva ca-ulliKan iva-atRptaH |
   dadhad iva hṛdayasyāntaḥ smarāmi tasyā muhur jaghanam ||GAss_569||	daDat iva hRdayasya-antar smarAmi tasyAH muhur jaGanam ||GAsH-_569||
   śirasi caraṇa-prahāraṃ pradāya niḥsāryatāṃ sa te tad api |	Sirasi caraNa--prahAram pradAya niHsAryatAm sa te tat api |
   cakrāṅkito bhujaṅgaḥ kāliya iva sumukhi kālindyāḥ ||GAss_570||	cakra-aFkitaH BujaFgaH kAliyaH iva su-muKi kAlindyAH ||GAsH-_570||
   śocyaiva sā kṛśāṅgī bhūtimayī bhavatu guṇamayī vāpi |	SocyA-eva sA kRSAFgI BUti-mayI Bavatu guNa-mayI vA-api |
   snehaika-vaśya bhavatā tyaktā dīpena vartir iva ||GAss_571||	sneha-eka-vaSya BavatA tyaktAH dIpena vartiH iva ||GAsH-_571||
   śuka iva dāru-śalākā-piñjaram anudivasa-vardhamāno me |	SukaH iva dAru-SalAkA-piQjaram anudivasa-varDamAnaH me |
   kṛntati dayitā-hṛdayaṃ śokaḥ smara-viśikha-tīkṣṇa-mukhaḥ ||GAss_572||	kRntati dayitA--hRdayam SokaH smara--viSiKa--tIkzNa-muKaH ||GAsH-_572||
   śrutvākasmika-maraṇaṃ śuka-sūnoḥ sakala-kautukaika-nidheḥ |	SrutvA-kasmika--maraNam Suka-sUnoH sakala--kOtuka-eka--niDeH |
   jñāto gṛhiṇī-vinaya-vyaya āgatyaiva pathikena ||GAss_573||	jQAtaH gRhiNI--vinaya--vyayaH Agatya-eva paTikena ||GAsH-_573||
   śīlita-bhujaṅga-bhogā kroḍenābhuddhṛtāpi kṛṣṇena |	SIlita--BujaFga--BogA kroxena-aBut-DRtA-api kRzNena |
   acalaiva kīrtyate bhūḥ kim aśakyaṃ nāma vasumatyāḥ ||GAss_574||	acalA-eva kIrtyate BUH kim aSakyam nAma vasumatyAH ||GAsH-_574||
   śyāmā vilcana-harī bāleyaṃ manasi hanta sajjantī |	SyAmA vilcana--harI bAlA-iyam manasi hanta sajjantI |
   lumpati pūrva-kalatraṃ dhūma-latā bhitti-citram iva ||GAss_575||	lumpati pUrva--kalatram DUma-latA Bitti-citram iva ||GAsH-_575||
   śataśo gatir āvṛttiḥ śataśaḥ kaṇṭhāvalambanaṃ śataśaḥ |	SataSas gatiH AvRttiH SataSas kaNWa-avalambanam SataSas |
   śataśo yāmīti vacaḥ smarāmi tasyāḥ pravāsa-dine ||GAss_576||	SataSas yAmi-iti vacaH smarAmi tasyAH pravAsa--dine ||GAsH-_576||
   śruta-para-puṣṭa-ravābhiḥ pṛṣṭo gopībhir abhimataṃ kṛṣṇaḥ |	Sruta--para--puzwa--ravABiH pRzwaH gopIBiH aBimatam kRzNaH |
   śaṃsati vaṃśa-stanitaiḥ stana-vinihita-locano 'numatam ||GAss_577||	SaMsati vaMSa--stanitEH stana--vinihita--locanaH anumatam ||GAsH-_577||
   śaṅkara-śirasi niveśita-padeti mā garvam udvahendu-kale |	SaFkara--Sirasi niveSita-padA-iti mA garvam udvaha-indu--kale |
   phalam etasya bhaviṣyati tava caṇḍī-caraṇa-reṇumṛjā ||GAss_578||	Palam etasya Bavizyati tava caNxI-caraNa--reNu-mRjAH ||GAsH-_578||
   śākhi-śikhare samīraṇa-dolāyita-nīḍa-nirvṛtaṃ vasati |	SAKi--SiKare samIraNa-dolAyita-nIxa--nirvRtam vasati |
   karmaika-śarāṇam agaṇita-bhayam aśithila-keli khaga-mithunam ||GAss_579||	karma-eka-SarANam agaNita-Bayam aSiTila--keli Kaga--miTunam ||GAsH-_579||
   śuka surata-samara-nārada hṛdaya-rahasyaika-sāra sarvajña |	Suka surata--samara--nArada hRdaya-rahasya-eka-sAra sarvajQa |
   guru-jana-samakṣa-mūka prasīda jambū-phalaṃ dalaya ||GAss_580||	guru--jana--samakza--mUka prasIda jambU-Palam dalaya ||GAsH-_580||
   śirasā vahasi kapardaṃ rudra ruditvāpi rajatam arjayasi |	SirasA vahasi kapardam rudra ruditvA-api rajatam arjayasi |
   asyāpy udarasyārdhaṃ bhajatas tava vetti kas tattvam ||GAss_581||	asya-api udarasya-arDam BajataH tava vetti kaH tattvam ||GAsH-_581||
   śrotavyaiva sudheva śvetāṃśu-kaleva dūra-dṛśyaiva |	SrotavyA-eva suDA-iva Sveta-aMSu-kalA-iva dUra--dRSyA-eva |
   duṣṭa-bhujaṅga-parīte tvaṃ ketaki na khalu naḥ spṛśyā ||GAss_582||	duzwa--BujaFga--parIte tvam ketaki na Kalu naH spRSyAH ||GAsH-_582||
   śravaṇopanīta-guṇayā samarpayantyā praṇamya kusumāni |	SravaNa-upanIta--guNayA samarpayantyA praNamya kusumAni |
   madana-dhanur-latayeva tvayā vaśaṃ dūti nīto 'smi ||GAss_583||	madana--DanuH--latayA-iva tvayA vaSam dUti nItaH asmi ||GAsH-_583||
   śākhoṭaka-śākhoṭaja-vaikhānasa-karaṭa-pūjya raṭa suciram |	SAKowaka-SAKA-uwa-ja--vEKAnasa-karawa--pUjya rawa su-ciram |
   nādara-padam iha gaṇakāḥ pramāṇa-puruṣo bhavān ekaḥ ||GAss_584||	na-Adara-padam iha gaNakAH pramANa--puruzaH BavAn ekaH ||GAsH-_584||
   śaśi-rekhopama-kāntes tavānya-pāṇi-grahaṃ prayātāyāḥ |	SaSi-reKA-upama--kAnteH tava-anya-pANi-graham prayAtAyAH |
   madanāsi-putrikāyā ivāṅga-śobhāṃ kadarthayati ||GAss_585||	madana-asi-putrikAyAH iva-aFga--SoBAm kadarTayati ||GAsH-_585||
   śaithilyena bhṛtā api bhartuḥ kāryaṃ tyajanti na suvṛttāḥ |	SETilyena BRtAH api BartuH kAryam tyajanti na su-vRttAH |
   balinākṛṣṭe bāhau valayāḥ kūjanti dhāvanti ||GAss_586||	balinA-AkRzwe bAhO valayAH kUjanti DAvanti ||GAsH-_586||
   iti vibhāvyākhyā-sametā śa-kāra-vrajyā |	iti viBAvi-a-AKyA--sametA Sa-kAra--vrajyA |
   ṣa-kāra-vrajyā	za-kAra-vrajyA
   ṣaṭ-caraṇa-kīṭa-juṣṭaṃ parāga-ghuṇa-pūrṇam āyudhaṃ tyaktvā |	zaw--caraNa--kIwa--juzwam parAga--GuNa--pUrNam AyuDam tyaktvA |
   tvāṃ muṣṭimeya-madhyām adhunā śaktiṃ smaro vahati ||GAss_587||	tvAm muzwi-meya--maDyAm aDunA Saktim smaraH vahati ||GAsH-_587||
   iti vibhāvyākhyā-sametā ṣa-kāra-vrajyā |	iti viBAvi-a-AKyA--sametA za-kAra-vrajyA |
   sa-kāra-vrajyā	sa--kAra-vrajyA
   sā divasa-yogya-kṛtya-vyapadeśā kevalaṃ gṛhiṇī |	sA divasa-yogya-kRti-a--vyapadeSA kevalam gRhiNI |
   dvitither divasasya parā tithir iva sevyā niśi tvam asi ||GAss_588||	dvi-tiTeH divasasya parA tiTiH iva sevyAH niSi tvam asi ||GAsH-_588||
   stana-nūtana-nakha-lekhālambī tava gharma-bindu-sandohaḥ |	stana-nUta-na-naKa--leKA-AlambI tava Garma-bindu--sandohaH |
   ābhāti paṭṭa-sūtre praviśann iva mauktika-prasaraḥ ||GAss_589||	ABAti pawwa-sUtre praviSan iva mOktika-prasaraH ||GAsH-_589||
   saubhāgya-garvam ekā karotu yūthasya bhūṣaṇaṃ kariṇī |	sOBAgya--garvam ekA karotu yUTasya BUzaNam kariNI |
   atyāyām avator yā madāndhayor madhyam adhivasati ||GAss_590||	atyAyAm avatoH yA mada-anDayoH maDyam aDivasati ||GAsH-_590||
   sva-caraṇa-pīḍānumita-tvan-mauli-rujā-vinīta-mātsaryā |	sva---caraNa--pIxA-anumita-tu-an--mOli--rujA--vinIta--mAtsaryA |
   aparāddhā subhaga tvāṃ svayam aham anunetum āyātā ||GAss_591||	aparAdDA suBaga tvAm svayam aham anunetum AyAtAH ||GAsH-_591||
   snehamayān pīḍayataḥ kiṃ cakreṇāpi tailakārasya |	sneha-mayAn pIxayataH kim cakreNa-api tEla-kArasya |
   cālayati pārthivān api yaḥ sa kulālaḥ paraṃ cakrī ||GAss_592||	cAlayati pArTivAn api yaH sa kulAlaH param cakrI ||GAsH-_592||
   sarale na veda bhavatī bahu-bhaṅgā bahu-rasā bahu-vivartā |	sarale na veda BavatI bahu-BaFgAH bahu-rasAH bahu-vivartA |
   gatir asatī-netrāṇāṃ premṇāṃ srotasvatīnāṃ ca ||GAss_593||	gatiH asatI--netrANAm premNAm srotasvatInAm ca ||GAsH-_593||
   sakhi madhyāhna-dvi-gu;na-dyumaṇi-kara-śreṇi-pīḍitā chāyā |	saKi maDyAhna--dvi--gu;-na-dyumaNi-kara--SreNi--pIxitA CAyA |
   majjitum ivāla-vāle paritas taru-mūlam āśrayati ||GAss_594||	majjitum iva-Ala-vAle paritas taru--mUlam ASrayati ||GAsH-_594||
   sakhi śṛṇu mama priyo 'yaṃ gehaṃ yenaiva vartmanāyātaḥ |	saKi SRNu mama priyaH ayam geham yena-eva vartmanA-AyAtaH |
   tan-nagara-grāma-nadīḥ pṛcchati samam āgatān anyān ||GAss_595||	tan-nagara--grAma--nadIH pRcCati samam AgatAn anyAn ||GAsH-_595||
   sāyaṃ ravir analam asau madana-śaraṃ sa ca viyoginī-cetaḥ |	sAyam raviH analam asO madana--Saram sa ca viyoginI--cetaH |
   idam api tamaḥ-samūhaṃ so 'pi nabho nirbharaṃ viśati ||GAss_596||	idam api tamaH--samUham saH api naBaH nirBaram viSati ||GAsH-_596||
   smara-samara-samaya-pūrita-kambhu-nibho dviguṇa-pīna-gala-nālaḥ |	smara--samara--samaya--pUrita--kamBu--niBaH dviguNa---pIna-gala-nAlaH |
   śīrṇa-prāsādopari jigīṣur iva kala-ravaḥ kvaṇati ||GAss_597||	SIrNa--prAsAda-upari jigIzuH iva kala-ravaH kvaNati ||GAsH-_597||
   sphurad-adharam aviratāśru dhvani-rodhotkampa-kucam idaṃ ruditam |	sPurat--aDaram avirata-aSru Dvani-roDa-utkampa-kucam idam ruditam |
   jānūpanihita-hasta-nyasta-mukhaṃ dakṣiṇa-prakṛteḥ ||GAss_598||	jAnu-upanihita-hasta-nyasta-muKam dakziNa--prakRteH ||GAsH-_598||
   svayam upanītair aśanaiḥ puṣṇantī nīḍa-nirvṛtaṃ dayitam |	svayam upanItEH aSanEH puzNantI nIxa--nirvRtam dayitam |
   sahaja-prema-rasajñā subhagā-garvaṃ bakī vahatu ||GAss_599||	sahaja--prema--rasa-jQA suBagA--garvam bakI vahatu ||GAsH-_599||
