   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   senānībhyo rathibhyo vo arathebhyo namonamaḥ /	senAnIByaH raTiByaH vaH araTeByaH namaH-namaH /
   kṣattṛbhyaḥ saṃgrahītṛbhyo mahadbhyaśca namonamaḥ // Valc_2,20.35 //	kzattRByaH saMgrahItRByaH mahadByaH-ca namaH-namaH // Valt-_2,20.35 //
   arbhakebhyastakṣakebhyo rathakṛdbhyo namonamaḥ /	arBakeByaH-takzakeByaH raTa-kRdByaH namaH-namaH /
   karmmārebhyaḥ kulālebhyo niṣādebhyo namonamaḥ // Valc_2,20.36 //	karmmAreByaH kulAleByaH nizAdeByaH namaH-namaH // Valt-_2,20.36 //
   puñjiṣṭhebhyaḥ śvanibhyaśca mṛgayubhyaśca vo namaḥ /	puQjizWeByaH SvaniByaH-ca mRgayuByaH-ca vaH namaH /
   śvabhyaśca śvapatibhyaśca rudrāya ca bhavāya ca // Valc_2,20.37 //	SvaByaH-ca SvapatiByaH-ca rudrAya ca BavAya ca // Valt-_2,20.37 //
   nīlagrīvāya sarvvāya paśūnāmpataye namaḥ /	nIlagrIvAya sarvvAya paSUnAmpataye namaH /
   namaste śitikaṇṭhāya namastestu kaparddine // Valc_2,20.38 //	namaH-te SitikaNWAya namaH-teH-tu kapard-dine // Valt-_2,20.38 //
   sahasrākṣāya ca vyaptakeśāya śatadhanvane /	sahasrAkzAya ca vyapta-keSAya SataDanvane /
   giriśāya namastubhyaṃ śipiviṣṭāya te namaḥ // Valc_2,20.39 //	giriSAya namaH-tuByam SipivizwAya te namaH // Valt-_2,20.39 //
   mīḍhuṣṭamāyeṣumate hrasvāya vāmanāya ca /	mIXuzwa-mAyezu-mate hrasvAya vAmanAya ca /
   vṛhate ca varṣīyase vṛddhāya savṛdhe namaḥ // Valc_2,20.40 //	vRhate ca varzIyase vRdDAya sa-vRDe namaH // Valt-_2,20.40 //
   prathamāya namo 'grāya āśave cājirāya ca /	praTamAya namaH agrAya ASave ca-ajirAya ca /
   namaḥ śīghrāya śībhyāya ūrmmāyāvasvanāya ca // Valc_2,20.41 //	namaH SIGrAya SIByAya UrmmAya-avasvanAya ca // Valt-_2,20.41 //
   nādeyāya namastubhyaṃ dvīpyāya ca namonamaḥ /	nAdeyAya namaH-tuByam dvIpyAya ca namaH-namaH /
   jyeṣṭhāya ca kaniṣṭhāya pūrvvajāya namonamaḥ // Valc_2,20.42 //	jyezWAya ca kanizWAya pUrvvajAya namaH-namaH // Valt-_2,20.42 //
   madhyamāyāpagalbhāya vudhnyāyāparajāya ca /	maDyamAya-apagalBAya vuDnyAya-apara-jAya ca /
   jaghanyāya ca somyāya pratisaryyāya te namaḥ // Valc_2,20.47 //	jaGanyAya ca somyAya pratisaryyAya te namaH // Valt-_2,20.47 //
   namo yāmyāya kṣemyāya ślokyāya ca namonamaḥ /	namaH yAmyAya kzemyAya SlokyAya ca namaH-namaH /
   urvaryyāyāvasānyāya khalyāya ca namastu te // Valc_2,20.44 //	urvaryyAya-avasAnyAya KalyAya ca namaH-tu te // Valt-_2,20.44 //
   namo vandyāya kakṣyāya śravāya ca namonamaḥ /	namaH vandyAya kakzyAya SravAya ca namaH-namaH /
   pratiśravāya ca namaḥ āśuṣeṇāya te namaḥ // Valc_2,20.45 //	pratiSravAya ca namaH ASuzeNAya te namaH // Valt-_2,20.45 //
   āśurathāya ca namaḥ śūrāya cāvabhedine /	ASuraTAya ca namaH SUrAya ca-avaBedine /
   vilmine ca kavacine varmmiṇe ca varūthine // Valc_2,20.46 //	vilmine ca kavacine varmmiNe ca varUTine // Valt-_2,20.46 //
   śrutāya śrutasenāya dundubhyāya namonamaḥ /	SrutAya SrutasenAya dunduByAya namaH-namaH /
   ahanyāya dhṛṣṇave ca pramṛṣāya namonamaḥ // Valc_2,20.47 //	ahanyAya DRzNave ca pramRzAya namaH-namaH // Valt-_2,20.47 //
   tīkṣṇoṣave cāyudhine svāyudhāya sudhanvane /	tIkzNa-uzave ca-AyuDine su-a-AyuDAya suDanvane /
   namaḥ satyāya pathyāya kāṭyāya ca namonamaḥ // Valc_2,20.48 //	namaH satyAya paTyAya kAwyAya ca namaH-namaH // Valt-_2,20.48 //
   nīpyāya ca namastubhyaṃ kulyāya ca namonamaḥ /	nIpyAya ca namaH-tuByam kulyAya ca namaH-namaH /
   sarasyāya nādeyāya vaiśantāya namonamaḥ // Valc_2,20.49 //	sarasyAya nAdeyAya vESantAya namaH-namaH // Valt-_2,20.49 //
   avaṭyāya ca kupyāya vīghrāya ca namonamaḥ /	avawyAya ca kupyAya vIGrAya ca namaH-namaH /
   ātapyāya ca medhyāya vidyutyāya namonamaḥ // Valc_2,20.50 //	AtapyAya ca meDyAya vidyutyAya namaH-namaH // Valt-_2,20.50 //
   avarṣyāya ca varṣāya vātyāya ca namonamaḥ /	avarzyAya ca varzAya vAtyAya ca namaH-namaH /
   namo brātyāya reṣmāya vāstavyāya namonamaḥ // Valc_2,20.51 //	namaH brAtyAya rezmAya vAstavyAya namaH-namaH // Valt-_2,20.51 //
   vāstupāya ca somāya rudrāya ca namonamaḥ /	vAstupAya ca somAya rudrAya ca namaH-namaH /
   aruṇāya ca tāmrāya śaṅgave ca namonamaḥ // Valc_2,20.52 //	aruNAya ca tAmrAya SaFgave ca namaH-namaH // Valt-_2,20.52 //
   nama ugrāya bhīmāyāgrevadhāya namo 'stu te /	namaH ugrAya BImAya-agrevaDAya namaH astu te /
   dūrevadhāya hantre ca namo hanīyase namaḥ // Valc_2,20.53 //	dUrevaDAya hantre ca namaH hanIyase namaH // Valt-_2,20.53 //
   sambhavāya śaṅkarāya mayobhavāya te namaḥ /	samBavAya SaFkarAya mayaH-BavAya te namaH /
   mayaskarāya ca śivatarāya ca śivāya ca // Valc_2,20.54 //	mayaskarAya ca SivatarAya ca SivAya ca // Valt-_2,20.54 //
   avāryyāya ca pāryyāya namaḥ prataraṇāya ca /	avAryyAya ca pAryyAya namaH prataraNAya ca /
   uttaraṇāya tīryyāya kubjāya ca namonamaḥ // Valc_2,20.55 //	uttaraNAya tIryyAya kubjAya ca namaH-namaH // Valt-_2,20.55 //
   namaḥ śaṣyāya pheṇyāya sikatyāya namonamaḥ /	namaH SazyAya PeNyAya sikatyAya namaH-namaH /
   pravāhyāya kiṃśilāya kṣayaṇāya namonamaḥ // Valc_2,20.56 //	pravAhyAya kiMSilAya kzayaNAya namaH-namaH // Valt-_2,20.56 //
   iriṇyāya prapathyāya namastubhyaṃ pulastaye /	iriNyAya prapaTyAya namaH-tuByam pulastaye /
   namo vrajyāya goṣṭhāya talpāya ca namonamaḥ // Valc_2,20.57 //	namaH vrajyAya gozWAya talpAya ca namaH-namaH // Valt-_2,20.57 //
   gehyāya ca hṛdayyāya niveṣyāya ca te namaḥ /	gehyAya ca hRdayyAya nivezyAya ca te namaH /
   gahvareṣṭhāya śuṣkāya harityāya namonamaḥ // Valc_2,20.58 //	gahvarezWAya SuzkAya harityAya namaH-namaH // Valt-_2,20.58 //
   pāṃsavyāya rajasyāya lopyāya ca namo 'stu te /	pAMsavyAya rajasyAya lopyAya ca namaH astu te /
   ulapyāya ca ūrvvāya sarvvāya ca namonamaḥ // Valc_2,20.59 //	ulapyAya ca UrvvAya sarvvAya ca namaH-namaH // Valt-_2,20.59 //
   parṇaśadāya parṇāya namaścābhighnate namaḥ /	parNaSadAya parNAya namaH-ca-aBiGnate namaH /
   nama udguramāṇāya namaḥ ākhidate namaḥ // Valc_2,20.60 //	namaH udguramANAya namaH AKidate namaH // Valt-_2,20.60 //
   iṣukṛdbho dhanuṣkṛdbhyo namaḥ prakhidate namaḥ /	izu-kRdBo DanuzkRdByaH namaH praKidate namaH /
   kirikebhyaśca devānāṃ hṛdayebhyo namonamaḥ // Valc_2,20.61 //	kirikeByaH-ca devAnAm hRdayeByaH namaH-namaH // Valt-_2,20.61 //
   vicinvatkebhyo vo vikṣiṇatkebhyaśca namo namaḥ /	vicinvat-keByaH vaH vikziNat-keByaH-ca namaH namaH /
   ānirhatebhyo yuṣmabhyaṃ namāmi ca punaḥ punaḥ // Valc_2,20.62 //	AnirhateByaH yuzmaByam namAmi ca punar punar // Valt-_2,20.62 //
   bho andhasaspate drāpe daridra nīlalohita /	Bo anDasaspate drApe daridra nIlalohitaH /
   prajānāṃ naḥ paśūnāñca mābhermārok kathañcana // Valc_2,20.63 //	prajAnAm naH paSUnAQca mA-aBeH-mArok kaTaQcana // Valt-_2,20.63 //
   imā no rudrāya matīstavase prabharāmahe /	imAH naH rudrAya matIH-tavase praBarAmahe /
   grāme viśve yathā śaṃsvādvipade ca catuṣpade // Valc_2,20.64 //	grAme viSve yaTA SaMsvA-t-vipade ca catuzpade // Valt-_2,20.64 //
   yā te rudra śivatanūḥ śivaviśvāhabheṣajī /	yA te rudra Siva-tanUH Siva-viSvAha-BezajI /
   rudrasya bheṣajī rudra tayā no mṛḍ jīvase // Valc_2,20.65 //	rudrasya BezajI rudra tayA naH mRz jIvase // Valt-_2,20.65 //
   rudrasya hetiḥ parito vṛṇakta tveṣasya cāsmāsu na durmmatiśca /	rudrasya hetiH paritas vRNakta tvezasya ca-asmAsu na durmmatiH-ca /
   sthirāṇi rudra avatāraya tvam tokāya pautrāya sukhaṃ yathā syāt //	sTirANi rudra avatAraya tvam tokAya pOtrAya suKam yaTA syAt //
   Valc_2,20.66 //	Valt-_2,20.66 //
   mīḍhuṣṭama śivatama śivo naḥ sumanā bhava /	mIXuzwama Sivatama SivaH naH sumanAH Bava /
   nidhāya parame vṛkṣe āyudhaṃ tava śaṅkara // Valc_2,20.67 //	niDAya parame vRkze AyuDam tava SaFkara // Valt-_2,20.67 //
   kṛttiṃ vasāna āgaccha pinākaṃ dhārayan śivaḥ /	kRttim vasAnaH AgacCa pinAkam DArayan SivaH /
   namastubhyaṃ bhagavate vikiridravilohita // Valc_2,20.68 //	namaH-tuByam Bagavate vikiridra-vilohitaH // Valt-_2,20.68 //
   yā hetayaḥ sahasrante 'smadanyaṃ nivapantu tāḥ /	yAH hetayaH sahasrante asmad-anyam nivapantu tAH /
   yāstava hetayo vāhvoḥ sahasrāṇi sahasraśaḥ // Valc_2,20.69 //	yAH-tava hetayaH vAhvoH sahasrANi sahasraSas // Valt-_2,20.69 //
   tāsāmīśāno bhagavan parācīnā mukhākṛdhi /	tAsAm-ISAnaH Bagavan parAcInA muKa-AkRDi /
   asaṃkhyātāḥ sahasrāṇi ye rudrā adhi bhūtale // Valc_2,20.70 //	asaMKyAtAH sahasrANi ye rudrAH aDi BU-tale // Valt-_2,20.70 //
   teṣāṃ sahasrayojane dhanvāni hyavatanmasi /	tezAm sahasra-yojane DanvAni hi-avatat-masi /
   asminmahatyantarīkṣe 'rṇave santi bhavāstu ye // Valc_2,20.71 //	asmin-mahati-antarIkze arNave santi BavAH-tu ye // Valt-_2,20.71 //
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi /	tezAm sahasra-yojane DanvAni ca-avatat-masi /
   nīlagrīvāḥ śvetakaṇṭhāḥ divaṃ rudrā upaśritāḥ // Valc_2,20.72 //	nIlagrIvAH Sveta-kaNWAH divam rudrAH upaSritAH // Valt-_2,20.72 //
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi /	tezAm sahasra-yojane DanvAni ca-avatat-masi /
   nīlagrīvāḥ śvetakaṇṭhāḥ adhaḥ śarvvāḥ kṣamācarāḥ /	nIlagrIvAH Sveta-kaNWAH aDas SarvvAH kzamA-carAH /
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi // Valc_2,20.73 //	tezAm sahasra-yojane DanvAni ca-avatat-masi // Valt-_2,20.73 //
   śaṣpiñjarā vṛkṣeṣu ye nīlagrīvā vilohitāḥ /	SazpiQjarAH vRkzezu ye nIla-grIvAH vilohitAH /
   teṣāṃ sahasrayoje dhanvāni cāvatanmasi // Valc_2,20.74 //	tezAm sahasra-yoje DanvAni ca-avatat-masi // Valt-_2,20.74 //
   ye ca bhūtānāmadhipā viśikhāsaḥ kapardinaḥ /	ye ca BUtAnAm-aDipAH viSiKAsaH kapardinaH /
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi // Valc_2,20.75 //	tezAm sahasra-yojane DanvAni ca-avatat-masi // Valt-_2,20.75 //
   ailavṛdā āyuryudho ye pathāmyatirakṣasaḥ /	ElavRdA AyuH-yuDaH ye paTAmi-ati-rakzasaH /
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi // Valc_2,20.76 //	tezAm sahasra-yojane DanvAni ca-avatat-masi // Valt-_2,20.76 //
   ye ca caranti tīrthāni sṛkāhastā niṣaṅgiṇaḥ /	ye ca caranti tIrTAni sRkA-hastAH nizaFgiNaH /
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi // Valc_2,20.77 //	tezAm sahasra-yojane DanvAni ca-avatat-masi // Valt-_2,20.77 //
   ye cānneṣu vividhyanti pātreṣu pivato janān /	ye ca-annezu viviDyanti pAtrezu pivataH janAn /
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi // Valc_2,20.78 //	tezAm sahasra-yojane DanvAni ca-avatat-masi // Valt-_2,20.78 //
   etāvantaśca bhūyāṃso diśo rudrā vitasthire /	etAvantaH-ca BUyAMsaH diSaH rudrAH vitasTire /
   teṣāṃ sahasrayojane dhanvāni cāvatanmasi // Valc_2,20.79 //	tezAm sahasra-yojane DanvAni ca-avatat-masi // Valt-_2,20.79 //
   namo rudrebhyo duḥsthebhyo yeṣāṃ varṣantu sāyakāḥ /	namaH rudreByaH duHsTeByaH yezAm varzantu sAyakAH /
   sarvadik vidikṣu ca teṣāṃ kurvve daśāṅgulīḥ // Valc_2,20.80 //	sarva-diS vidikzu ca tezAm kurvve daSa-aFgulIH // Valt-_2,20.80 //
   namo 'stu tebhyo no 'vantu tathāsmān mṛḍayantu te /	namaH astu teByaH naH avantu taTA-asmAn mRxayantu te /
   jambhe dadhmastameteṣāṃ yandviṣmo yaśca dveṣṭi naḥ // Valc_2,20.81 //	jamBe daDmaH-tam-etezAm yandvizmaH yaH-ca dvezwi naH // Valt-_2,20.81 //
   namastebhyo 'ntarikṣe ye yeṣāṃ vātastu sāyakāḥ /	namaH-teByaH antarikze ye yezAm vAtaH-tu sAyakAH /
   sarvvadikṣu vidikṣveva teṣāṃ kurvve daśāṅgulī // Valc_2,20.82 //	sarvu-adikzu vidikzu-eva tezAm kurvve daSa-aFgulI // Valt-_2,20.82 //
   namastu tebhyo no 'vantu tathāsmān mṛḍayantu te /	namaH-tu teByaH naH avantu taTA-asmAn mRxayantu te /
   jambhe dadhmastameteṣāṃ yaṃdviṣmo yaśca dveṣṭi naḥ // Valc_2,20.83 //	jamBe daDmaH-tam-etezAm yandvizmaH yaH-ca dvezwi naH // Valt-_2,20.83 //
   namo rudrebhyo ye pṛṣvyāṃ yeṣāmannantu sāyakāḥ /	namaH rudreByaH ye pRzvyAm yezAm-annantu sAyakAH /
   sarvvadikṣu vidikṣeva teṣāṃ kurvve daśāṅgulī // Valc_2,20.84 //	sarvu-adikzu vidikzA-iva tezAm kurvve daSa-aFgulI // Valt-_2,20.84 //
   namastu tebhyo no 'vantu tathāsmān mṛḍayantu te /	namaH-tu teByaH naH avantu taTA-asmAn mRxayantu te /
   jambhedadhmastameteṣāṃ yaṃdviṣmo yaśca dveṣṭi naḥ // Valc_2,20.85 //	jamBet-aDmaH-tam-etezAm yandvizmaH yaH-ca dvezwi naH // Valt-_2,20.85 //
   imāṃ gītāṃ naro raudrīṃ paṭhaṃścāpi śravan smaran /	imAm gItAm naraH rOdrIm paWan=-ca-api Sravan smaran /
   prayāti rudrasālokyaṃ na cāsau jāyate punaḥ // Valc_2,20.86 //	prayAti rudra-sAlokyam na ca-asO jAyate punar // Valt-_2,20.86 //
   iti vallālacarite vyāsapurāṇe rudragītopaniṣatsu viṃśo 'dhyāyaḥ /	iti vallAla-carite vyAsapurANe rudra-gIta-upanizatsu viMSaH aDyAyaH /
   ekaviṃśo 'dhyāyaḥ	ekaviMSaH aDyAyaH
   siṃhagiriruvāca:	siMha-giriH-uvAca:
   etatte kathitaṃ vyāsa purāṇaṃ manujeśvara /	etat-te kaTitam vyAsa purANam manuja-ISvara /
   rājarṣibhyo yathā prāha purā vyāso mahāmuniḥ // Valc_2,21.1 //	rAjarziByaH yaTA prAha purA vyAsaH mahA-muniH // Valt-_2,21.1 //
   bhuṅkṣa bhogān yathākāmaṃ pitḥn devān ca tarpaya /	BuFkza BogAn yaTAkAmam pitHn devAn ca tarpaya /
   brāhmaṇāṃśca prajānātha dānairvahuvidhaiḥ sadā // Valc_2,21.2 //	brAhmaNAn=-ca prajAnATa dAnEH-vahuviDEH sadA // Valt-_2,21.2 //
   kurupitṛpiṇḍayajñaṃ saha rājñyā navīnayā /	kuru-pitR-piNxa-yajQam saha rAjQyAH navInayA /
   śilādevyā mahīpāla tasyāṃ putro bhaviṣyati // Valc_2,21.3 //	SilA-devyA mahIpAla tasyAm putraH Bavizyati // Valt-_2,21.3 //
   tulāpuruṣadānañca yajñe tatra parantapa /	tulApuruza-dAnaQca yajQe tatra parantapaH /
   vidhatsva niyataḥ kṛcchrañcaritvā dharaṇīpate // Valc_2,21.4 //	viDatsva niyataH kRcCraQcaritvA DaraNI-pate // Valt-_2,21.4 //
   svastyastu te gamiṣyāmi jagannāthapurīṃ prati /	svasti-astu te gamizyAmi jagannATa-purIm prati /
   punarevāgamiṣyāmi yadā māṃ saṃsmariṣyasi // Valc_2,21.5 //	punar-eva-AgamizyAmi yadA mAm saMsmarizyasi // Valt-_2,21.5 //
   śaraṇadatta uvāca:	SaraNa-dattaH uvAca:
   ākhyāyaivaṃ pārthivāya muniḥ siṃhagiristataḥ /	AKyAya-evam pArTivAya muniH siMhagiriH-tatas /
   jagāma tairvṛtaḥ śiṣye ryaiḥ sa rājan samāgataḥ // Valc_2,21.6 //	jagAma tEH-vRtaH Sizye ryEH sa rAjan samAgataH // Valt-_2,21.6 //
   gate siṃhagirau rājā cintayan manasi kṣaṇam /	gate siMha-girO rAjA cintayan manasi kzaNam /
   piṇḍayajñe ca dāneṣu mano dadhre punaḥ punaḥ // Valc_2,21.7 //	piNxa-yajQe ca dAnezu manaH daDre punar punar // Valt-_2,21.7 //
   yajñādīnāṃ phalaṃ dhyāyan mantriṇā ca purodhasā /	yajQa-AdInAm Palam DyAyan mantriNA ca puroDasA /
   valadevena vipraiśca mantrayāmāśca pārthivaḥ // Valc_2,21.8 //	valadevena viprEH-ca mantrayAmAH-ca pArTivaH // Valt-_2,21.8 //
   mantrayitvā tato rājā tadānīṃ brāhmaṇaiḥ saha /	mantrayitvA tatas rAjA tadAnIm brAhmaNEH saha /
   yajñañca dānāni karttuṃ karaṇāṇyupacakrame // Valc_2,21.9 //	yajQaQca dAnAni karttum karaNANi-upacakrame // Valt-_2,21.9 //
   ājñāpayat tato bhūpa ādidevaṃ rahasvinam /	AjQApayat tatas BUpaH Adidevam rahasvinam /
   mantriṇaṃ sadguṇairyuktaṃ karttavyāni ca sarvvaśaḥ // Valc_2,21.10 //	mantriNam sat-guNEH-yuktam karttavyAni ca sarvu-aSaH // Valt-_2,21.10 //
   rājovāca:	rAjA-uvAca:
   ānayantu yathā proktaṃ valadevādibhirdvijaiḥ /	Anayantu yaTA proktam vala-deva-AdiBiH-dvijEH /
   sarvvadravyaṃ yathāyogaṃ yajñe caiva vihāpite // Valc_2,21.11 //	sarvu-a-dravyam yaTAyogam yajQe ca-eva vihApite // Valt-_2,21.11 //
   haradāso viṣṇudāso durgāsiṃhaśca satvaram /	hara-dAsaH vizNu-dAsaH durgA-siMhaH-ca sa-tvaram /
   annādīnāñca sambhārān śakaṭaiśca yathākramam // Valc_2,21.12 //	anna-AdInAn-ca samBArAn SakawEH-ca yaTAkramam // Valt-_2,21.12 //
   vidhīyatāṃ yajñavāṭaḥ patākādivibhūṣitaḥ /	viDIyatAm yajQa-vAwaH patAkA-Adi-viBUzitaH /
   kāryyantāmupakāryyāśca rājanyānāṃ mahātmanām // Valc_2,21.13 //	kAryyantAm-upakAryyAH-ca rAjanyAnAm mahAtmanAm // Valt-_2,21.13 //
   śatañca sūtrakaṇṭānāṃ pāke ca pariveśane /	SataQca sUtra-kaNwAnAm pAke ca pariveSane /
   vīṇāvādañca gāyantām nṛtyantāṃ naṭanarttakāḥ // Valc_2,21.14 //	vINAvAdaQca gAyantAm nRtyantAm nawa-narttakAH // Valt-_2,21.14 //
   prekṣāgṛhāśca kāryyantāṃ sarvvāntaḥpurayoṣitām /	prekzA-gRhAH-ca kAryyantAm sarvva-antaHpura-yozitAm /
   āmantryantāṃ brahmakṣatraveśyasatśūdrajātayaḥ // Valc_2,21.15 //	AmantryantAm brahma-kzatra-veSya-sat-SUdra-jAtayaH // Valt-_2,21.15 //
   annādisusamṛddhāni kāryyantāṃ śaraṇānyuta /	anna-Adi-su-samRdDAni kAryyantAm SaraNAni-uta /
   brāhmaṇā vedavettāro vaseyuryyeṣu pūjitāḥ // Valc_2,21.16 //	brAhmaNAH veda-vettAraH vaseyuH-yyezu pUjitAH // Valt-_2,21.16 //
   āhūya lakṣmaṇaṃ rājā prāhedaṃ vacanaṃ tataḥ /	AhUya lakzmaNam rAjA prAha-idam vacanam tatas /
   āmantrayasva yajñāya gatvā tvaṃ vikramaṃ puram // Valc_2,21.17 //	Amantrayasva yajQAya gatvA tvam vikramam puram // Valt-_2,21.17 //
   śrīsukhasenaṃ pitṛvyaṃ kumārañca dhruvaṃ tathā /	SrI-suKasenam pitRvyam kumAraQca Druvam taTA /
   āgacchantu ca sarvvāṇi tayo rantaḥpurāṇi ca // Valc_2,21.18 //	AgacCantu ca sarvvANi tayoH rantaHpurANi ca // Valt-_2,21.18 //
   śaraṇadatta uvāca:	SaraNa-dattaH uvAca:
   gatvāsau vikramapuraṃ lakṣmaṇaḥ paravīrahā /	gatvA-asO vikrama-puram lakzmaNaH para-vIra-hA /
   sukhamāmantrayāñcakre abhivādya kṛtāñjaliḥ // Valc_2,21.19 //	suKam-AmantrayAQcakre aBivAdya kRtAQjaliH // Valt-_2,21.19 //
   dhruvaśca sukhasenaśca satkṛtyāmantrito mudā /	DruvaH-ca suKasenaH-ca satkRtya-AmantritaH mudA /
   yajñāya jagmaturgauḍaṃ gṛhītvāntaḥpurāṇi tau // Valc_2,21.20 //	yajQAya jagmatuH-gOxam gRhItvA-antaHpurANi tO // Valt-_2,21.20 //
   yajñaṃ vallālasenasya saṃśrutya vaidikā dvijāḥ /	yajQam vallAlasenasya saMSrutya vEdikAH dvijAH /
   jagmuḥ prahṛṣṭamanaso yajñaṃ yajñavidastadā // Valc_2,21.21 //	jagmuH prahRzwa-manasaH yajQam yajQa-vidaH-tadA // Valt-_2,21.21 //
   anāhūtā ravāhūtā brāhmaṇāśca dhanāśayā /	anAhUtAH rava-AhUtAH brAhmaNAH-ca Dana-ASayAH /
   samāpetuḥ sarvvadigbhyaḥ śataśo 'tha sahasraśaḥ // Valc_2,21.22 //	samApetuH sarvu-adigByaH SataSas aTa sahasraSas // Valt-_2,21.22 //
   yayuḥ sāmantarājāno gṛhītvopāyanāni ca /	yayuH sAmanta-rAjAnaH gRhItvA-upAyanAni ca /
   sānugā vividhairyānairanubhoktuṃ mahotsavam // Valc_2,21.23 //	sa-anugAH viviDEH-yAnEH-anuBoktum mahA-utsavam // Valt-_2,21.23 //
   āvasathān dadusteṣāṃ nṛpateradhikāriṇaḥ /	AvasaTAn daduH-tezAm nRpateH-aDikAriNaH /
   suvahūn śobhanākārān bhakṣyabhojyasamanvitān // Valc_2,21.24 //	su-vahUn SoBana-AkArAn Bakzya-Bojya-samanvitAn // Valt-_2,21.24 //
   vallālaṃ te tato dṛṣṭvā tenātha pratipūjitāḥ /	vallAlam te tatas dRzwvA tena-aTa pratipUjitAH /
   yathoddiṣṭānāvasathān jagmuste maṇḍaleśvarāḥ // Valc_2,21.25 //	yaTA-uddizwAn-AvasaTAn jagmuH-te maNxaleSvarAH // Valt-_2,21.25 //
   saṃviśramya tataḥ kāmaṃ rājarājanyakādayaḥ /	saMviSramya tatas kAmam rAja-rAjanyaka-AdayaH /
   dadṛśuste prajānāthaṃ pāṇḍavaṃ taṃ sadogatam // Valc_2,21.26 //	dadRSuH-te prajAnATam pANxavam tam sadaH-gatam // Valt-_2,21.26 //
   tato viprā yathākāle vedavedāṅgapāragāḥ /	tatas viprAH yaTAkAle veda-vedAFga-pAragAH /
   dīkṣayāmāsurnṛpatiṃ vallālaṃ malhanātmajam // Valc_2,21.27 //	dIkzayAmAsuH-nRpatim vallAlam malhana-Atmajam // Valt-_2,21.27 //
   sukhasenaṃ viṣṇumallaṃ pratyudgamya dharāpatiḥ /	suKasenam vizNumallam pratyudgamya DarA-patiH /
   abhivādyābhivādārhau idaṃ vacanamabravīt // Valc_2,21.28 //	aBivAdya-aBivAda-arhO idam vacanam-abravIt // Valt-_2,21.28 //
   dharasenaṃ yajñasenaṃ dharmmasiṃhaṃ dhravaṃ tathā /	Darasenam yajQasenam DarmmasiMham Dravam taTA /
   prasīdantu bhavanto māṃ yajñādidānakarmmasu // Valc_2,21.29 //	prasIdantu BavantaH mAm yajQa-Adi-dAna-karmmasu // Valt-_2,21.29 //
   evamuktvā tatastān sa dhārmmiko dharaṇīpatiḥ /	evam-uktvA tatas-tAn sa DArmmikaH DaraNI-patiH /
   yathāyogyādhikāreṣu yuyojādhikṛtān tadā // Valc_2,21.30 //	yaTAyogya-aDikArezu yuyoja-aDikRtAn tadA // Valt-_2,21.30 //
   bhakṣyabhojyādhikāreṣu bhīmasenamayojayat /	Bakzya-Bojya-aDikArezu BImasenam-ayojayat /
   ayujaddānādhikāre dānācāryyaṃ vṛhaspatim // Valc_2,21.31 //	ayujat-dAna-aDikAre dAna-AcAryyam vRhaspatim // Valt-_2,21.31 //
   anyeṣvapyadhikāreṣu puruṣān saṃnyayojayat /	anyezu-api-aDikArezu puruzAn saMnyayojayat /
   parigrahe brahmakṣatraviśāṃ lakṣmaṇamuktavān // Valc_2,21.32 //	parigrahe brahma-kzatra-viSAm lakzmaNam-uktavAn // Valt-_2,21.32 //
   rājño yajñasabhā gauḍe nānāpādapaśobhitā /	rAjQaH yajQa-saBA gOxe nAnA-pAdapa-SoBitA /
   bhrājiṣṇu rviśrāmaveśmavatī ramyā surūpiṇī // Valc_2,21.33 //	BrAjizNu rviSrAma-veSmavatI ramyA surUpiNI // Valt-_2,21.33 //
   nānāratnaiḥ kupyaratnaiḥ kuthaiścitrairvitānakaiḥ /	nAnA-ratnEH kupya-ratnEH kuTEH-citrEH-vitAnakEH /
   paryyaṅkaiśca patākābhirdhvajaiśca paryyaśobhata // Valc_2,21.34 //	paryyaFkEH-ca patAkABiH-DvajEH-ca paryyaSoBata // Valt-_2,21.34 //
   sthānānyapakalpitāni sagaṇānāṃ pṛthak pṛthak /	sTAnAni-apakalpitAni sa-gaNAnAm pRTak pRTak /
   brāhmaṇānāṃ kṣatriyāṇāṃ vaṇijāñcāntyajanmanām // Valc_2,21.35 //	brAhmaNAnAm kzatriyANAm vaNijAQca-antya-janmanAm // Valt-_2,21.35 //
   brāhmaṇāḥ kṣatriyā vaiśyāstathā satśūdrajātayaḥ /	brAhmaNAH kzatriyAH vESyAH-taTA sat-SUdra-jAtayaH /
   nṛpeṇāmantritāḥ sarvve tatra rāse rasaṃ gatāḥ // Valc_2,21.36 //	nRpeNa-amantritAH sarvve tatra rAse rasam gatAH // Valt-_2,21.36 //
   bhojakā rājaputrāśca rājarājanyakādayaḥ /	BojakAH rAja-putrAH-ca rAja-rAjanyaka-AdayaH /
