   maṅgalācaraṇam	maFgala-AcaraNam
   lubdhasyāsaṃvibhāgitvān na yudhyante'nujīvinaḥ |	lubDasya-asaMviBAgi-tvAt na yuDyante-anujIvinaH |
   lubdhānujīvī tair eva dāna-bhinnair nihanyate // Hit_4.44 //	lubDa-anujIvI tEH eva dAna--BinnEH nihanyate // Hid-_4.44 //
   santy ajyate prakṛtibhir virakta-prakṛtir yudhi |	santi ajyate prakRtiBiH virakta--prakRtiH yuDi |
   sukhābhiyojyo bhavati viṣayev atisaktimān // Hit_4.45 //	suKa-aBiyojyaH Bavati vizayeu ati-saktimAn // Hit-_4.45 //
   aneka-citta-mantras tu dveṣyo bhavati mantriṇām |	aneka--citta-mantraH tu dvezyaH Bavati mantriNAm |
   anavasthita-cittatvāt karyataḥ sa upekṣyate // Hit_4.46 //	anavasTita--citta-tvAt karyataH saH upekzyate // Hid-_4.46 //
   sadādharma-balīyastvād deva brāhmaṇa-nindakaḥ |	sadA-aDarma-balIyaH-tvAt deva brAhmaNa-nindakaH |
   viśīryate svayaṃ hy eṣa daivopahatakas tathā // Hit_4.47 //	viSIryate svayam hi eza dEva-upahatakaH taTA // Hid-_4.47 //
   sampatteś ca vipatteś ca daivam eva hi kāraṇam |	sampatteH ca vipatteH ca dEvam eva hi kAraNam |
   iti daivaparo dhyāyann ātmanā na viceṣṭate // Hit_4.48 //	iti dEva-paraH DyAyan AtmanA na vicezwate // Hid-_4.48 //
   durbhikṣa-vyasanī caiva svayam eva viṣīdati |	durBikza--vyasanI ca-eva svayam eva vizIdati |
   bala-vyasana-saktasya yoddhuṃ śaktir na jāyate // Hit_4.49 //	bala--vyasana--saktasya yodDum SaktiH na jAyate // Hid-_4.49 //
   adeśa-stho hi ripuṇā svalpakenāpi hanyate |	adeSa--sTaH hi ripuNA su-alpakena-api hanyate |
   grāho 'lpīyān api jale jalendram api karṣati // Hit_4.50 //	grAhaH alpIyAn api jale jala-indram api karzati // Hit-_4.50 //
   bahu-śatrus tu santrastaḥ śyena-madhye kapotavat |	bahu-SatruH tu santrastaH Syena--maDye kapota-vat |
   yenaiva gacchati pathā tenaivāśu vipadyate // Hit_4.51 //	yena-eva gacCati paTA tena-eva-ASu vipadyate // Hid-_4.51 //
   akāla-yukta-sainyas tu hanyate kāla-yodhinā |	akAla--yukta--sEnyaH tu hanyate kAla-yoDinA |
   kauśikena hata-jyotir niśītha iva vāyasaḥ // Hit_4.52 //	kOSikena hata-jyotiH niSITaH iva vAyasaH // Hit-_4.52 //
   satya-dharma-vyapetena sandadhyān na kadācana |	satya--Darma--vyapetena sandaDyAt na kadAcana |
   sa sandhito 'py asādhutvād acirād yāti vikriyām // Hit_4.53 //	sa sanDitaH api asADu-tvAt acirAt yAti vikriyAm // Hit-_4.53 //
   aparam api kathayāmi-sandhi-vigraha-yānāsana-saṃśraya-dvaidhī-bhāvāḥ	aparam api kaTayAmi--sanDi-vigraha-yAna-Asana--saMSraya--dvEDI-BAvAH
   ṣāḍguṇyam | karmaṇām ārambhopāyaḥ | puruṣa-dravya-sampat |	zAxguNyam | karmaNAm AramBa-upAyaH | puruza-dravya--sampad |
   deśa-kāa-vibhāgaḥ | vinipāta-pratīkāraḥ | kārya-siddhiś ceti pañcāṅgo	deSa-kAa--viBAgaH | vinipAta--pratIkAraH | kArya--sidDiH ca-iti paQcAFgaH-
   mantraḥ | sāma-dāna-bheda-daṇḍāś catvāra upāyāḥ | utsāha-śaktiḥ,	mantraH | sAma-dAna-Beda--daNxAH catvAraH upAyAH | utsAha--SaktiH,
   mantra-śaktiḥ, prabhu- śaktiś ceti śakti-trayam | etat sarvam ālocya	mantra--SaktiH, praBu SaktiH ca-iti Sakti--trayam | etat sarvam Alocya
   nityaṃ vijigīṣavo bhavanti mahāntaḥ | yataḥ-	nityam vijigIzavaH Bavanti mahAntaH | yatas--
   yā hi prāṇa-parityāga-mūlyenāpi na labhyate |	yA hi prANa--parityAga--mUlyena-api na laByate |
   sā śrīr nītividaṃ paśya cañcalāpi pradhāvati // Hit_4.54 //	sA SrIH nIti-vidam paSya caQcalA-api praDAvati // Hit-_4.54 //
   yathā coktaṃ-	yaTA ca-uktaM-
   vittaṃ sadā yasya samaṃ vibhaktaṃ	vittam sadA yasya samam viBaktam
   gūḍhaś caraḥ saṃnibhṛtaś ca mantraḥ |	gUXaH caraH saMniBRtaH ca mantraH |
   nacāpriyaṃ prāṇiṣu yo bravīti	naca-apriyam prANizu yaH bravIti
   sa sāgarāntāṃ pṛthivīṃ praśāsti // Hit_4.55 //	sa sAgara-antAm pRTivIm praSAsti // Hit-_4.55 //
   kintu deva yadyapi mahā-mantriṇā gṛdhreṇa sandhānam upanyastaṃ, tathāpi	kintu deva yadi-api mahA-mantriNA gRDreNa sanDAnam upanyastaM, taTA-api
   tena rājñā samprati bhūta-jaya-darpān na mantavyam | deva ! tad evaṃ	tena rAjQA samprati BUta-jaya--darpAt na mantavyam | deva ! tat evam
   kriyatāṃ | siṃhala-dvīpasya mahābalo nāma sāraso rājāsman-mitraṃ	kriyatAm | siMhala-dvIpasya mahAbalaH nAma sArasaH rAjA-asman-mitram
   jambudvīpe kopaṃ janayatu | yataḥ-	jambudvIpe kopam janayatu | yatas--
   suguptim ādhāya susaṃhatena	su-guptim ADAya su-saMhatena
   balena vīro vicarann arātim |	balena vIraH vicaran arAtim |
   santāpayed yena samaṃ sutaptas	santApayet yena samam su-taptas
   taptena sandhānam upaiti taptaḥ // Hit_4.56 //	taptena sanDAnam upEti taptaH // Hit-_4.56 //
   rājñā evam astv iti nigadya vicitra-nāmā bakaḥ sugupta-lekhaṃ dattvā	rAjQA evam astu iti nigadya vicitra--nAmA bakaH su-gupta--leKam dattvA
   siṃhala-dvīpaṃ prahitaḥ |	siMhala-dvIpam prahitaH |
   atha praṇidhiḥ punar āgatyovāca-deva ! śrūyatāṃ tāvat tatratya-prastāvaḥ |	aTa praNiDiH punar Agatya-uvAca-deva ! SrUyatAm tAvat tatratya--prastAvaH |
   evaṃ tatra gṛdhreṇoktam-deva ! meghavarṇas tatra ciram uṣitaḥ | sa vetti	evam tatra gRDreNa-uktam-deva ! meGavarNaH tatra ciram uzitaH | sa vetti
   kiṃ sandheya-guṇa-yukto hiraṇyagarbho rājā, na vā ? iti |	kim sanDeya--guNa--yuktaH hiraNyagarBaH rAjA, na vA ? iti |
   tato 'sau meghavarṇaś citravarṇena rājñā samāhūya pṛṣṭaḥ-vāyasa ! kīdṛśo	tatas asO meGavarNaH citra-varNena rAjQA samAhUya pRzwaH-vAyasaH ! kIdRSaH-
   hiraṇyagarbho rājā ? cakravāko mantrī vā kīdṛśaḥ ?	hiraNyagarBaH rAjA ? cakravAkaH mantrI vA kIdRSaH ?
   vāyasa uvāca-deva ! sa hiraṇyagarbho rājā yudhiṣṭhira-samo mahāśayaḥ	vAyasaH uvAca-deva ! sa hiraNyagarBaH rAjA yuDizWira--samaH mahA-ASayaH
   satya-vāk | cakravāka-samo mantrī na kvāpy avalokyate |	satya-vAc | cakravAka--samaH mantrI na kvApi avalokyate |
   rājāha-yady evaṃ tadā katham asau tvayā vañcitaḥ ?	rAjA-aha-yadi evam tadA kaTam asO tvayA vaQcitaH ?
   vihasya meghavarṇaḥ prāha-deva !	vihasya meGavarNaH prAha-deva !
   viśvāsa-pratipannānāṃ vañcane kā vidagdhatā |	viSvAsa--pratipannAnAm vaQcane kA vidagDa-tA |
   aṅkam āruhya suptaṃ hi hatvā kiṃ nāma pauruṣam // Hit_4.57 //	aFkam Aruhya suptam hi hatvA kim nAma pOruzam // Hit-_4.57 //
   śṛṇu deva ! tena mantriṇāhaṃ prathama-darśane evaṃ vijñātaḥ, kintu	SRNu deva ! tena mantriNA-aham praTama-darSane evam vijQAtaH, kintu
   mahāśayo 'sau rājā, tena mayā vipralabdhaḥ | tathā coktam-	mahA-ASayaH asO rAjA, tena mayA vipralabDaH | taTA ca-uktam-
   ātmaupamyena yo vetti durjanaṃ satya-vādinam |	Atma-Opamyena yaH vetti durjanam satya--vAdinam |
   sa tathā vañcyate dhūrtair brāhmaṇāś chāgato yathā // Hit_4.58 //	sa taTA vaQcyate DUrtEH brAhmaNAH CAgataH yaTA // Hit-_4.58 //
   rājovāca-katham etat ?	rAjA-uvAca--kaTam etat ?
   meghavarṇaḥ kathayati-	meGavarNaH kaTayati-
   kathā 9	kaTA 9
   asti gautamasyāraṇye prastuta-yajñaḥ kaścid brāhmaṇaḥ | sa ca yajñārthaṃ	asti gOtamasya-araNye prastuta-yajQaH kaScid brAhmaNaH | sa ca yajQa-arTam
   grāmāntarāc chāgam upakrīya, skandhe nītvā, gaccha dhūrta-trayeṇāvalokitaḥ	grAma-antarAt SAgam upakrIya, skanDe nItvA, gacCa DUrta--trayeNa-avalokitaH
   | tatas te dhūrtāḥ-yady eṣa chāgaḥ kenāpy upāyena labhyate, tadā	| tatas te DUrtAH-yadi eza CAgaH kena-api upAyena laByate, tadA
   mati-prakarṣo bhavatīti samālocya, vṛkṣa-traya-tale krośāntareṇa tasya	mati--prakarzaH Bavati-iti samAlocya, vRkza-traya-tale kroSa-antareNa tasya
   brāhmaṇasyāgamanaṃ pratīkṣya pathi sthitāḥ |	brAhmaNasya-Agamanam pratIkzya paTi sTitAH |
   tatraikena dhūrtena gacchan sa brāhmaṇo 'bhihitaḥ-bho brāhmaṇa ! kim iti	tatra-ekena DUrtena gacCan sa brAhmaNaH aBihitaH-BaH brAhmaNa ! kim iti
   tvayā kukkuraḥ skandhenohyate |	tvayA kukkuraH skanDena-uhyate |
   vipreṇoktaṃ-nāyaṃ śvā, kintu yajña-cchāgaḥ |	vipreNa-uktaM-nAyam SvA, kintu yajQa--=-CAgaH |
   athāntara-sthitenānyena dhūrtena tathaivoktam | tad ākarṇya brāhmaṇaś	aTa-antara--sTitena-anyena DUrtena taTA-eva-uktam | tat AkarNya brAhmaNaS
   chāgaṃ bhūmau nidhāya muhur nirīkṣya, punaḥ skandhe kṛtvā dolāyamāna-matiś	CAgam BUmO niDAya muhur nirIkzya, punar skanDe kRtvA dolAyamAna--matiH-
   calitaḥ | yataḥ-	calitaH | yatas--
   matir dolāyate satyaṃ satām api khaloktibhiḥ |	matiH dolAyate satyam satAm api Kala-uktiBiH |
   tābhir viśvāsitaś cāsau mriyate citrakarṇavat // Hit_4.59 //	tABiH viSvAsitaH ca-asO mriyate citrakarNa-vat // Hid-_4.59 //
   rājāha--katham etat ?	rAjA-aha---kaTam etat ?
   sa kathayati-	sa kaTayati-
   kathā 10	kaTA 10
   asti kasmiṃścid vanoddeśe madotkaṭo nāma siṃhaḥ | tasya sevakās trayaḥ	asti kasmiMScid vana-uddeSe madotkawaH nAma siMhaH | tasya sevakAH trayaH
   kāko vyāghro jambukaś ca | atha tair bhramadbhiḥ sārtha-bhraṣṭaḥ kaścid	kAkaH vyAGraH jambukaH ca | aTa tEH BramadBiH sArTa-BrazwaH kaScid-
   uṣṭro dṛṣṭaḥ | pṛṣṭaś ca-kuto bhavān āgataḥ sārthād bhraṣṭaḥ ?	uzwraH dRzwaH | pRzwaH ca-kutas BavAn AgataH sArTAt BrazwaH ?
   sa cātma-vṛttāntam akathayat | tatas tair nītvā siṃhāyāsau samarpitaḥ |	sa ca-Atma--vRttAntam akaTayat | tatas tEH nItvA siMhAya-asO samarpitaH |
   tena cābhaya-vācaṃ dattvā, citrakarṇa iti nāma kṛtvā sthāpitaḥ |	tena ca-aBaya--vAcam dattvA, citrakarNaH iti nAma kRtvA sTApitaH |
   atha kadācit siṃhasya śarīra-vaikalyād bhūri-vṛṣṭi-kāraṇāc cāhāram	aTa kadAcid siMhasya SarIra--vEkalyAt BUri-vRzwi--kAraNAt ca-AhAram
   alabhamānās te vyagrā babhūvuḥ | tatas tair ālocitam | citrakarṇam eva	alaBamAnAH te vyagrAH baBUvuH | tatas tEH Alocitam | citrakarNam eva
   yathā svāmī vyāpādayati tathānuṣṭhīyatām | kim anena kaṇṭaka-bhujāsmākam ?	yaTA svAmI vyApAdayati taTA-anuzWIyatAm | kim anena kaNwaka-BujA-asmAkam ?
   vyāghra uvāca-svāminābhaya-vācaṃ dattvānugṛhīto 'yaṃ, tat katham evaṃ	vyAGraH uvAca--svAminA-Baya--vAcam dattvA-anugRhItaH ayan, tat kaTam evam
   sambhavati ?	samBavati ?
   kāko brūte-iha samaye parikṣīṇaḥ svāmī pāpam api kariṣyati | yataḥ-	kAkaH brUte-iha samaye parikzINaH svAmI pApam api karizyati | yatas--
   tyajet kṣudhārtā mahilā svaputraṃ	tyajet kzuDA-ArtA mahilA sva-putram
   khādet kṣudhārtā bhujagī svamaṇḍam |	KAdet kzuDA-ArtA BujagI sva-maNxam |
   bubhukṣitaḥ kiṃ na karoti pāpaṃ	buBukzitaH kim na karoti pApam
   kṣīṇā narā niṣkaruṇā bhavanti // Hit_4.60 //	kzINAH narAH nizkaruNAH Bavanti // Hit-_4.60 //
   anyac ca-	anyat ca-
   mattaḥ pramattaś conmattaḥ śrāntaḥ kruddho bubhukṣitaḥ |	mattaH pramattaH ca-unmattaH SrAntaH krudDaH buBukzitaH |
   lubdho bhīrus tvarā-yuktaḥ kāmukaś ca na dharma-vit // Hit_4.61 //	lubDaH BIruH tvarA--yuktaH kAmukaH ca na Darma-vid // Hit-_4.61 //
   iti sañcintya sarve siṃhāntikaṃ jagmuḥ | siṃhenoktam-āhārārthaṃ kiñcit	iti saQcintya sarve siMha-antikam jagmuH | siMhena-uktam--AhAra-arTam kiQcid-
   prāptam ?	prAptam ?
   tair uktam-deva ! yatnād api prāptaṃ kiñcit ?	tEH uktam--dA-iva ! yatnAt api prAptam kiQcid ?
   siṃhenoktaṃ-ko 'dhunā jīvanopāyaḥ ?	siMhena-uktaM-kaH aDunA jIvana-upAyaH ?
   kāko vadati-deva ! svādhīnāhāra-parityāgāt sarva-nāśo 'yam upasthitaḥ ?	kAkaH vadati--deva ! svADIna-AhAra--parityAgAt sarva-nASaH ayam upasTitaH ?
   siṃhenoktam-atrāhāraḥ kaḥ svādhīnaḥ ?	siMhena-uktam--atra-AhAraH kaH svADInaH ?
   kākaḥ karṇe kathayati-citrakarṇa iti | siṃho bhūmiṃ spṛṣṭvā karṇau spṛśati	kAkaH karNe kaTayati-citrakarNaH iti | siMhaH BUmim spRzwvA karNO spRSati
   | abravīc ca-abhaya-vācaṃ dattvā dhṛto 'yam asmābhiḥ | tat katham evaṃ	| abravIt ca-a-Baya-vAcam dattvA DRtaH ayam asmABiH | tat kaTam evam
   sambhavati ? tathā hi-	samBavati ? taTA hi-
   na bhūta-dānaṃ na suvarṇa-dānaṃ	na BUta-dAnam na suvarNa-dAnam
   na go-pradānaṃ na tathānna-dānam |	na go-pradAnam na taTA-anna--dAnam |
   yathā vadantīha mahā-pradānaṃ	yaTA vadanti-iha mahA--pradAnam
   sarveṣu dāneṣv abhaya-pradānam // Hit_4.62 //	sarvezu dAnezu aBaya--pradAnam // Hit-_4.62 //
   anyac ca-	anyat ca-
   sarva-kāma-samṛddhasya aśvamedhasya yat phalam |	sarva-kAma--samRdDasya aSvameDasya yat Palam |
   tat-phalaṃ labhate samyag rakṣite śaraṇāgate // Hit_4.63 //	tat-Palam laBate samyak rakzite SaraNa-Agate // Hit-_4.63 //
   kāko brūte-nāsau svāminā vyāpādayitavyaḥ | kintv asmābhir eva tathā	kAkaH brUte-na-asO svAminA vyApAdayitavyaH | kintu asmABiH eva taTA
   kartavyaṃ, yathāsau sva-deha-dānam aṅgīkaroti |	kartavyan, yaTA-asO sva--deha--dAnam aFgIkaroti |
   siṃhas tac chrutvā tūṣṇīṃ sthitaḥ | tato 'sau labdhāvakāśaḥ kūṭaṃ kṛtvā	siMhaH tat SrutvA tUzNIm sTitaH | tatas asO labDa-avakASaH kUwam kRtvA
   sarvān ādāya siṃhāntikaṃ gataḥ | atha kākenoktaṃ-deva ! yatnād apy āhāro	sarvAn AdAya siMha-antikam gataH | aTa kAkena-uktaM-deva ! yatnAt api AhAraH-
   na prāptaḥ | anekopavāsa-kliṣṭaś ca svāmī | tad idānīṃ madīya-māṃsam	na prAptaH | aneka-upavAsa-klizwaH ca svAmI | tat idAnIm madIya-mAMsam
   upabhujyatām | yataḥ-	upaBujyatAm | yatas--
   svāmi-mūlā bhavanty eva sarvāḥ prakṛtayaḥ khalu |	svAmi--mUlAH Bavanti eva sarvAH prakRtayaH Kalu |
   samūleṣv api vṛkṣeṣu prayatnaḥ saphalo nṛṇām // Hit_4.64 //	sa-mUlezu api vRkzezu prayatnaH saPalaH nRNAm // Hit-_4.64 //
   siṃhenoktaṃ-bhadra ! varaṃ prāṇa-parityāgo, na punar īdṛśe karmaṇi	siMhena-uktaM-Badra ! varam prANa--parityAgaH-, na punar IdRSe karmaNi
   pravṛttiḥ |	pravRttiH |
   jambukenāpi tathoktam | tataḥ siṃhenoktaṃ-maivam |	jambukena-api taTA-uktam | tatas siMhena-uktaM-ma-evam |
   atha vyāghreṇoktaṃ-mad-dehena jīvatu svāmī |	aTa vyAGreNa-uktaM-mad--dehena jIvatu svAmI |
   siṃhenoktaṃ-na kadācid evam ucitam |	siMhena-uktaM-na kadAcid evam ucitam |
   atha citrakarṇo 'pi jāta-viśvāsas tathaivātma-deha-dānam āha-tatas	aTa citrakarNaH api jAta--viSvAsaH taTA-eva-Atma--deha--dAnam Aha-tata-s
   tad-vacanāt tena vyāghreṇāsau kukṣiṃ vidārya vyāpāditaḥ | sarvair	tad--vacanAt tena vyAGreNa-asO kukzim vidArya vyApAditaH | sarvEH-
   bhakṣitaś ca | ato 'haṃ bravīmi-matir dolāyate satyam ity ādi |	BakzitaH ca | atas aham bravImi-matiH dolAyate satyam iti Adi |
   tatas tṛtīya-dhūrta-vacanaṃ śrutvā, sva-mati-bhramaṃ niścitya chāgaṃ	tatas tRtIya--DUrta--vacanam SrutvA, sva-mati--Bramam niScitya CAgam
   tyaktvā, brāhmaṇaḥ snātvā gṛhaṃ yayau | chāgaś ca tair dhūrtair nītvā	tyaktvA, brAhmaNaH snAtvA gRham yayO | CAgaH ca tEH DUrtEH nItvA
   bhakṣitaḥ | ato 'haṃ bravīmi-ātmaupamyena yo vettīty ādi |	BakzitaH | atas aham bravImi-a-Atma-Opamyena yaH vetti-iti Adi |
   rājāha-meghavarṇa ! kathaṃ śatru-madhye tvayā suciram uṣitam ? kathaṃ vā	rAjA-aha--meGa-varNaH ! kaTam Satru--maDye tvayA su-ciram uzitam ? kaTam vA
   teṣām anunayaḥ kṛtaḥ ?	tezAm anunayaH kRtaH ?
   meghavarṇa uvāca-deva ! svāmi-kāryārthitayā sva-prayojana-vaśād vā kiṃ kiṃ	meGavarNaH uvAca-deva ! svAmi-kArya-arTi-tayA sva--prayojana--vaSAt vA kim kim
   na kriyate ? paśya-	na kriyate ? paSya-
   loko vahati kiṃ rājan na mūrdhnā dagdhum indhanam |	lokaH vahati kim rAjan na mUrDnA dagDum inDanam |
   kṣālayanty api vṛkṣāṅghriṃ nadī-velā nikṛntati // Hit_4.65 //	kzAlayanti api vRkza-aFGrim nadI--velA nikRntati // Hit-_4.65 //
   tathā coktam-	taTA ca-uktam-
   skandhenāpi vahec chatrūn kāryam āsādya buddhimān |	skanDena-api vahet SatrUn kAryam AsAdya budDimAn |
   yathā vṛddhena sarpeṇa maṇḍūkā vinipātitāḥ // Hit_4.66 //	yaTA vRdDena sarpeNa maNxUkAH vinipAtitAH // Hid-_4.66 //
   rājāha-katham etat ?	rAjA-aha--kaTam etat ?
   meghavarṇaḥ kathayati-	meGavarNaH kaTayati-
   kathā 11	kaTA 11
   asti jīrṇodyāne manda-viṣo nāma sarpaḥ | so 'tijīrṇatayā svāhāram apy	asti jIrNa-udyAne manda-vizaH nAma sarpaH | saH ati-jIrNa-tayA sva-AhAram api-
   anveṣṭum akṣamaḥ saras-tīre patitvā sthitaḥ | tato dūrād eva kenacin	anvezwum akzamaH saras--tIre patitvA sTitaH | tatas dUrAt eva kenacid-
   maṇḍūkena dṛṣṭaḥ, pṛṣṭaś ca-kim iti tvām āhāraṃ nānviṣyati ?	maNxUkena dRzwaH, pRzwaH ca-kim iti tvAm AhAram na-anvizyati ?
   sarpo 'vadat-gaccha bhadra ! kiṃ te mama manda-bhāgyasya vṛttānta-praśnena	sarpaH avadat--gacCa Badra ! kim te mama manda-BAgyasya vRttAnta--praSnena
   ? tataḥ sañjāta-kautukaḥ sa ca bhekaḥ sarvathā kathyatām ity āha | sarpo	? tatas san-jAta--kOtukaH sa ca BekaH sarvaTA kaTyatAm iti Aha | sarpaH-
   'py āha-bhadra ! pura-vāsinaḥ śrotriyasya kauṇḍinyasya putro	api Aha-BadraH ! pura-vAsinaH Srotriyasya kONxinyasya putraH-
   viṃśati-varṣa-deśīyaḥ sarva-guṇa-sampanno durdaivān mayā nṛśaṃsena daṣṭaḥ	viMSati-varza--deSIyaH sarva--guNa--sampannaH durdEvAt mayA nRSaMsena dazwaH
   | tatas taṃ suśīla-nāmānaṃ putraṃ mṛtam avalokya, śokena mūrcchitaḥ	| tatas tam su-SIla--nAmAnam putram mRtam avalokya, Sokena mUrcCitaH
   kauṇḍinyaḥ pṛthivyāṃ luloṭha | anantaraṃ brahmapura-vāsinaḥ sarve	kONxinyaH pRTivyAm luloWa | anantaram brahma-pura-vAsinaH sarve
   bāndhavās tatrāgatyopaviṣṭāḥ | tathā coktam-	bAnDavAH tatra-Agatya-upavizwAH | taTA ca-uktam-
   utsave vyasane yuddhe durbhikṣe rāṣṭra-viplave |	utsave vyasane yudDe durBikze rAzwra--viplave |
   rāja-dvāre śmaśāne ca yas tiṣṭhati sa bāndhavaḥ // Hit_4.67 //	rAja--dvAre SmaSAne ca yaH tizWati sa bAnDavaH // Hit-_4.67 //
   tatra kapilo nāma snātako 'vadat-are kauṇḍinya ! mūḍho 'si yenaivaṃ	tatra kapilaH nAma snAtakaH avadat--are kONxinyaH ! mUXaH asi yena-evam
   vilapasi | śṛṇu-	vilapasi | SRNu-
   kroḍīkaroti prathamaṃ yadā jātam anityatā |	kroxIkaroti praTamam yadA jAtam anitya-tA |
   dhātrīva jananī paścāt tadā śokasya kaḥ kramaḥ // Hit_4.68 //	DAtrI-iva jananI paScAt tadA Sokasya kaH kramaH // Hit-_4.68 //
   tathā ca-	taTA ca-
   kva gatāḥ pṛthivī-pālāḥ sa-sainya-bala-vāhanāḥ |	kva gatAH pRTivI--pAlAH sa--sEnya-bala-vAhanAH |
   viyoga-sākṣiṇī yeṣāṃ bhūmir adyāpi tiṣṭhati // Hit_4.69 //	viyoga--sAkziNI yezAm BUmiH adya-api tizWati // Hit-_4.69 //
   tathā ca-	taTA ca-
   jātasya hi dhruvo mṛtyur dhruvaṃ janma mṛtasya ca |	jAtasya hi DruvaH mRtyuH Druvam janma mRtasya ca |
   adya vābda-śatānte vā mṛtyur vai prāṇināṃ dhruvaḥ // Hit_4.70 //	adya vA-abda-Sata-ante vA mRtyuH vE prANinAm DruvaH // Hit-_4.70 //
   aparaṃ ca-	aparam ca-
   kāyaḥ saṃnihitāpāyaḥ sampadaḥ padam āpadām |	kAyaH saMnihita-apAyaH sampadaH padam ApadAm |
   samāgamāḥ sāpagamāḥ sarvam utpādi bhaṅguram // Hit_4.71 //	samAgamAH sa-apagamAH sarvam utpAdi BaFguram // Hit-_4.71 //
   pratikṣaṇam ayaṃ kāyaḥ kṣīyamāṇo na lakṣyate |	pratikzaNam ayam kAyaH kzIyamANaH na lakzyate |
   āmakumbha ivāmbhaḥ-stho viśīrṇaḥ san vibhāṣyate // Hit_4.72 //	Ama-kumBaH iva-amBaH--sTaH viSIrNaH san viBAzyate // Hid-_4.72 //
   āsannataratāmeti mṛtyur jantor dine dine |	Asannatara-tAm-eti mRtyuH jantoH dine dine |
   āghātaṃ nīyamānasya vadhyasyeva pade pade // Hit_4.73 //	AGAtam nIyamAnasya vaDyasya-iva pade pade // Hit-_4.73 //
   yataḥ-	yatas--
   anityaṃ yauvanaṃ rūpaṃ jīvitaṃ dravya-sañcayaḥ |	anityam yOvanam rUpam jIvitam dravya--saQcayaH |
   aiśvaryaṃ priya-saṃvāso muhyet tatra na paṇḍitaḥ // Hit_4.74 //	ESvaryam priya--saMvAsaH muhyet tatra na paNxitaH // Hit-_4.74 //
   yathā kāṣṭhaṃ ca kāṣṭhaṃ ca sameyātāṃ mahodadhau |	yaTA kAzWam ca kAzWam ca sameyAtAm mahA-udaDO |
   sametya ca vyapeyātāṃ tadvad bhūta-samāgamaḥ // Hit_4.75 //	sametya ca vyapeyAtAm tadvat BUta--samAgamaH // Hit-_4.75 //
   yathā hi pathikaḥ kaścic chāyām āśritya tiṣṭhati |	yaTA hi paTikaH kaScid CAyAm ASritya tizWati |
   viśramya ca punar gacched tadvad bhūta-samāgamaḥ // Hit_4.76 //	viSramya ca punar gacCet tadvat BUta--samAgamaH // Hit-_4.76 //
   anyac ca-	anyat ca-
   pañcabhir nirmite dehe pañcatvaṃ ca punar gate |	paQcaBiH nirmite dehe paQcatvam ca punar gate |
   svāṃ svāṃ yonim anuprāpte tatra kā paridevanā // Hit_4.77 //	svAm svAm yonim anuprApte tatra kA paridevanAH // Hit-_4.77 //
   yāvataḥ kurute jantuḥ sambandhān manasaḥ priyān |	yAvataH kurute jantuH sambanDAt manasaH priyAn |
   tāvanto 'sya nikhanyante hṛdaye śoka-śaṅkavaḥ // Hit_4.78 //	tAvantaH asya niKanyante hRdaye Soka--SaFkavaH // Hit-_4.78 //
   nāyam atyanta-saṃvāso labhyate yena kenacit |	na-ayam atyanta--saMvAsaH laByate yena kenacid |
   api svena śarīreṇa kim utānyena kenacit // Hit_4.79 //	api svena SarIreNa kim uta-anyena kenacid // Hit-_4.79 //
   api ca-	api ca-
   saṃyogo hi viyogasya saṃsūcayati sambhavam |	saMyogaH hi viyogasya saMsUcayati samBavam |
   anatikramaṇīyasya janma mṛtyor ivāgamam // Hit_4.80 //	anatikramaNIyasya janma mRtyoH iva-Agamam // Hit-_4.80 //
   āpāta-ramaṇīyānāṃ saṃyogānāṃ priyaiḥ saha |	ApAta--ramaNIyAnAm saMyogAnAm priyEH saha |
   apathyānām ivānnānāṃ pariṇāmo hi dāruṇaḥ // Hit_4.81 //	apaTyAnAm iva-annAnAm pariNAmaH hi dAruNaH // Hit-_4.81 //
   aparaṃ ca-	aparam ca-
   vrajanti na nivartante srotāṃsi saritāṃ yathā |	vrajanti na nivartante srotAMsi saritAm yaTA |
   āyur ādāya martyānāṃ tathā rātry-ahanī sadā // Hit_4.82 //	AyuH AdAya martyAnAm taTA rAtrI--ahanI sadA // Hid-_4.82 //
   sukhāsvāda-paro yas tu saṃsāre sat-samāgamaḥ |	suKa-AsvAda--paraH yaH tu saMsAre sat--samAgamaH |
   sa viyogāvasānatvād duḥkhānāṃ dhuri yujyate // Hit_4.83 //	sa viyoga-avasAna-tvAt duHKAnAm Duri yujyate // Hid-_4.83 //
   ata eva hi necchanti sādhavaḥ sat-samāgamam |	atas eva hi na-icCanti sADavaH sat--samAgamam |
   yad-viyogāsi-lūnasya manaso nāsti bheṣajam // Hit_4.84 //	yad-viyoga-asi-lUnasya manasaH na-asti Bezajam // Hit-_4.84 //
   sukṛtāny api karmāṇi rājabhiḥ sagarādibhiḥ |	sukRtAni api karmANi rAjaBiH sagara-AdiBiH |
   atha tāny eva karmāṇi te cāpi pralayaṃ gatāḥ // Hit_4.85 //	aTa tAni eva karmANi te ca-api pralayam gatAH // Hit-_4.85 //
   saṃcintya saṃcintya tam ugra-daṇḍaṃ	saMcintya saMcintya tam ugra--daNxam
   mṛtyuṃ manuṣyasya vicakṣaṇasya |	mRtyum manuzyasya vicakzaNasya |
   varṣāmbu-siktā iva carma-bandhāḥ	varza-ambu--siktAH iva carma-banDAH
