   cittaparikarma dvādaśaḥ paricchedaḥ ||	citta-parikarma dvAdaSaH paricCedaH ||
   na kālapariṇāmito na câikakāraṇâdhīno nâpy ahetusamutpannaḥ |	na kAla-pariNAmitaH na câika-kAraNâ-DInaH nâpi ahetu-samutpannaH |
   atha ca mātāpitṛsaṃyogād ṛtusamavāyād anyeṣāṃ ca pratyayānāṃ samavāyād	aTa ca mAtA-pitR-saMyogAt Rtu-samavAyAt anyezAm ca pratyayAnAm samavAyAt-
   āsvādânupraviddhaṃ vijñānabījaṃ mātuḥ kukṣau nāmarūpâṅkurabījam	AsvAdânupravidDam vijQAna-bIjam mAtuH kukzO nAma-rUpâFkura-bIjam
   abhinirvartayati |	aBinirvartayati |
   asvāmikeṣu dharmeṣv amameṣv aparigraheṣv apratyarthikeṣv ākāśasameṣu	asvAmikezu Darmezu amamezu aparigrahezu apratyarTikezu AkASa-samezu
   māyālakṣaṇasvabhāveṣu hetupratyayānām avaikalyāt ||	mAyA-lakzaNa-svaBAvezu hetu-pratyayAnAm avEkalyAt ||
   tad yathā pañcabhiḥ kāraṇaiś cakṣurvijñānam utpadyate |	tat yaTA paQcaBiH kAraNEH cakzuH-vijQAnam utpadyate |
   katamaiḥ pañcabhiḥ ||	katamEH paQcaBiH ||
   cakṣuś ca pratītya rūpaṃ câlokaṃ câkāśaṃ tajjaṃ ca manasikāraṃ ca	cakzuH ca pratItya rUpam câlokam câkASam tad-jam ca manasikAram ca
   pratītyôtpadyate cakṣurvijñānaṃ ||	pratItyôtpadyate cakzuH-vijQAnam ||
   tatra cakṣurvijñānasya cakṣurāśrayakṛtyaṃ karoti |	tatra cakzuH-vijQAnasya cakzuH-ASraya-kRtyam karoti |
   rūpam ārambaṇakṛtyaṃ karoti |	rUpam ArambaNa-kRtyam karoti |
   āloko 'vabhāsakṛtyaṃ karoti |	AlokaH avaBAsa-kRtyam karoti |
   ākāśam anāvaraṇakṛtyaṃ karoti |	AkASam anAvaraNa-kRtyam karoti |
   tajjamanasikāraḥ samanvāhārakṛtyaṃ karoti |	tad-ja-manasikAraH samanvAhAra-kRtyam karoti |
   asatsv eṣu pratyayeṣu cakṣurvijñānaṃ nôtpadyate ||	asatsu ezu pratyayezu cakzuH-vijQAnam nôtpadyate ||
   yadā cakṣur ādhyātmikam āyatanam avikalaṃ bhavati |	yadA cakzuH ADyAtmikam Ayatanam avikalam Bavati |
   evaṃ rūpâlokâkāśatajjamanasikārāś câvikalā bhavanti |	evam rUpâlokâkASa-tajja-mana-sikArAH câvikalAH Bavanti |
   tataḥ sarvasamavāyāc cakṣurvijñānasyôtpattir bhavati ||	tatas sarva-samavAyAt cakzuH-vijQAnasyôt-pattiH Bavati ||
   tatra cakṣuṣo nâivaṃ bhavati |	tatra cakzuzaH nâivam Bavati |
   ahaṃ cakṣurvijñānasyâśrayakṛtyaṃ karomîti |	aham cakzuH-vijQAnasyâSraya-kRtyam karomîti |
   rūpasyâpi nâivaṃ bhavati |	rUpasyâpi nâivam Bavati |
   ahaṃ cakṣurvijñānasyârambaṇakṛtyaṃ karomîti |	aham cakzuH-vijQAnasyârambaNa-kRtyam karomîti |
   ālokasyâpi nâivaṃ bhavati |	Alokasi-âpi nâivam Bavati |
   aham avabhāsakṛtyaṃ karomîti |	aham avaBAsa-kRtyam karomîti |
   ākāśasyâpi nâivaṃ bhavati |	AkASasi-âpi nâivam Bavati |
   ahaṃ cakṣurvijñānasyânāvaraṇakṛtyaṃ karomîti |	aham cakzuH-vijQAnasyâna-AvaraNa-kRtyam karomîti |
   tajjamanasikārasyâpi nâivaṃ bhavati |	tad-jamanasikArasi-âpi nâivam Bavati |
   ahaṃ cakṣurvijñānasya samanvāhārakṛtyaṃ karomîti |	aham cakzuH-vijQAnasya samanvAhAra-kRtyam karomîti |
   cakṣurvijñānasyâpi nâivaṃ bhavati |	cakzuH-vijQAnasi-âpi nâivam Bavati |
   aham ebhiḥ pratyayair janitêti |	aham eBiH pratyayEH janitêti |
   atha ca punaḥ satsv eṣu pratyayeṣu cakṣurvijñānasyôtpattir bhavati	aTa ca punar satsu ezu pratyayezu cakzuH-vijQAnasyôt-pattiH Bavati
   prādurbhāvaḥ |	prAdurBAvaH |
   evaṃ śeṣāṇām indriyāṇāṃ yathâyogaṃ kartavyaṃ ||	evam SezANAm indriyANAm yaTâyogam kartavyam ||
   tatra na kaścid dharmo 'smāl lokāt paraṃ lokaṃ saṃkrāmati |	tatra na kaScid DarmaH asmAt lokAt param lokam saMkrAmati |
   asti ca karmaphala-	asti ca karma-Pala--
   [ Bendall ed p226 ---> ]	[ Bet-dalt ed p226 ---> ]
   prativijñaptiḥ |	prativijQaptiH |
   hetupratyayānām avaikalyāt |	hetu-pratyayAnAm avEkalyAt |
   yathā-	yaTA-
   [ Cambridge MS f103a ---> ]	[ Cambridge M f103aH ---> ]
   agnir upādānavaikalyān na jvalati |	agniH upAdAna-vEkalyAt na jvalati |
   evam eva karmakleśajanitaṃ vijñānabījaṃ tatra	evam eva karma-kleSa-janitam vijQAna-bIjam tatra
   tatrôtpattyāyatanapratisandhau mātuḥ kukṣau nāmarūpâṅkuram	tatrôt-patti-Ayatana-pratisanDO mAtuH kukzO nAma-rUpâFkuram
   abhinirvartayati |	aBinirvartayati |
   asvāmikeṣu dharmeṣv amameṣv aparigraheṣv apratyarthikeṣv ākāśasameṣu	asvAmikezu Darmezu amamezu aparigrahezu apratyarTikezu AkASa-samezu
   māyālakṣaṇasvabhāveṣu hetupratyayānām avaikalyāt ||	mAyA-lakzaNa-svaBAvezu hetu-pratyayAnAm avEkalyAt ||
   tan nâdhyātmikaḥ pratītyasamutpādaḥ pañcabhiḥ kāraṇair draṣṭavyaḥ ||	tat nâDyAtmikaH pratItyasamutpAdaH paQcaBiH kAraNEH drazwavyaH ||
   katamaiḥ pañcabhiḥ |	katamEH paQcaBiH |
   na śāśvatato nôcchedato na saṃkrāntitaḥ |	na SASvatataH nô=-CedataH na saMkrAntitaH |
   parīttahetuno vipulaphalâbhinirvṛttitas tatsadṛśânuprabandhataś cêti ||	parItta-hetunaH vipula-PalâBinirvRttitaH tad-sadRSânuprabanDataH cêti ||
   kathaṃ na śāśvatataḥ |	kaTam na SASvatataH |
   yasmād anye māraṇântikāḥ skandhânyae 'upapattyaṃśikāḥ |	yasmAt anye mAraNântikAH skanDânyae aupapatti-aMSikAH |
   na tu yae eva māraṇântikāḥ skandhās tae evâupapattyaṃśikāḥ skandhā |	na tu yae eva mAraNântikAH skanDAH tae evâupapatti-aMSikAH skanDAH |
   api tu māraṇântikāś ca skandhā nirudhyamānâupapattyaṃśikāḥ skandhāś ca	api tu mAraNântikAH ca skanDAH niruDyamAnâupapatti-aMSikAH skanDAH ca
   prādurbhavanti |	prAdurBavanti |
   ato na śāśvatataḥ ||	atas na SASvatataH ||
   kathaṃ nôcchedataḥ |	kaTam nô=-CedataH |
   na ca niruddheṣu skandheṣu aupapattyaṃśikāḥ skandhāḥ prādurbhavanti nâpy	na ca nirudDezu skanDezu Opapatti-aMSikAH skanDAH prAdurBavanti nâpy
   aniruddheṣu |	anirudDezu |
   api tu māraṇântikāś ca skandhā nirudhyante 'upapattyaṃśikāś ca	api tu mAraNântikAH ca skanDAH niruDyante aupapatti-aMSikAH ca
   prādurbhavanti |	prAdurBavanti |
   tulādaṇḍônnāmâvanāmavat |	tulA-daNxônnAmâvanAma-vat |
   ato nôcchedataḥ ||	atas nô=-CedataH ||
   kathaṃ na saṃtrāntitaḥ |	kaTam na saMtrAntitaH |
   visadṛśāt satvanikāyād dhi sabhāgāḥ skandhā jātyantare 'bhinirvartante |	visadRSAt satva-nikAyAt Di sa-BAgAH skanDAH jAti-antare aBinirvartante |
   ato na saṃkrāntitaḥ ||	atas na saMkrAntitaH ||
   kathaṃ parīttahetuto vipulaphalâbhinirvṛttitaḥ parīttaṃ karma	kaTam parItta-hetutaH vipula-PalâBinirvRttitaH parIttam karma
   [ Bendall ed p227 ---> ]	[ Bet-dalt ed p227 ---> ]
   kriyate |	kriyate |
   vipulaḥ phalavipāko 'nubhūyate |	vipulaH Pala-vipAkaH anuBUyate |
   ataḥ parīttahetuto vipulaphalâbhinivṛttiḥ ||	atas parItta-hetutaH vipula-PalâBinivRttiH ||
   kathaṃ tatsādṛśânuprabandhataḥ |	kaTam tad-sAdRSânu-prabanDataH |
   yathā vedanīyaṃ karma kriyate |	yaTA vedanIyam karma kriyate |
   tathā vedanīyo vipāko 'nubhūyate |	taTA vedanIyaH vipAkaH anuBUyate |
   atas tatsadṛśânuprabandhataś cêti ||	atas tad-sadRSânuprabanDataH cêti ||
   yaḥ kaścid bhadanta śāriputrêmaṃ pratītyasamutpādaṃ bhagavatā	yaH kaScid Badanta SAriputrêmam pratItyasamutpAdam BagavatA
   samyakpraṇītam evaṃ yathābhūtaṃ samyakprajñayā satatasamitam ajīvaṃ	samyak-praNItam evam yaTABUtam samyak-prajQayA satata-samitam ajIvam
   nirjīvaṃ yathāvad aviparītam ajātam abhūtam akṛtam asaṃskṛtam apratigham	nirjIvam yaTAvat aviparItam ajAtam aBUtam akRtam asaMskRtam apratiGam
   anāvaraṇaṃ śivam abhayam ahāryam avyayam avyupaśamam asvabhāvaṃ paśyati |	anAvaraNam Sivam aBayam ahAryam avyayam avyupaSamam asvaBAvam paSyati |
   asatyatas tucchata ṛktato 'sārato 'ghato 'nityato duṣkhataḥ śūnyato	asatyataH tucCate Rc-tatas asArataH aGataH anityataH duzKataH SUnyataH-
   'nātmanaś ca samanupaśyati |	anAtmanaH ca samanupaSyati |
   sa na pūrvântaṃ pratisarati |	sa na pUrvântam pratisarati |
   kim aham abhūvam atīte 'dhvany āho svin nâbhūvam atīte 'dhvani |	kim aham aBUvam atIte aDvani Aho svid nâBUvam atIte aDvani |
   ko nv aham abhūvam atīte 'dhvani ||	kaH nu aham aBUvam atIte aDvani ||
   aparântaṃ vā punar na pratisarati |	aparântam vA punar na pratisarati |
   kiṃ nu bhaviṣyāmy anāgate 'dhvany āho svin na bhaviṣyāmy anāgate 'dhvani |	kim nu BavizyAmi anAgate aDvani Aho svid na BavizyAmi anAgate aDvani |
   ko nu bhaviṣyāmîti |	kaH nu BavizyAmîti |
   pratyutpannaṃ vā punar na pratisarati |	pratyutpannam vA punar na pratisarati |
   kiṃ svid idaṃ kathaṃ svid idaṃ |	kim svid idam kaTam svid idam |
   ke santaḥ ke bhaviṣyā-	ke santaH ke BavizyA-
   [ Cambridge MS f103b ---> ]	[ Cambridge M f103B ---> ]
   mêti ||	mêti ||
   āryadaśabhūmake 'py uktaṃ |	Arya-daSa-BUmake api uktam |
   tatrâvidyātṛṣṇôpādānaṃ ca kleśavartmano 'vyavacchedaḥ |	tatrâ-vidyA-tRzNôpAdAnam ca kleSa-vartmanaH avyavacCedaH |
   saṃskārā bhavaś ca karmavartmano 'vyavacchedaḥ |	saMskArAH BavaH ca karma-vartmanaH avyavacCedaH |
   pariśeṣaṃ duṣkhavartmano 'vyavacchedaḥ |	pariSezam duzKa-vartmanaH avyavacCedaH |
   api tu khalu puna-	api tu Kalu punar-
   [ Bendall ed p228 ---> ]	[ Bet-dalt ed p228 ---> ]
   r yad ucyate 'vidyāpratyayāḥ saṃskārêti |	r yat ucyate avidyA-pratyayAH saMskArêti |
   eṣā pūrvântiky- apekṣā ||vijñānaṃ yāvad vedanêti |	ezA pUrvântiky apekzAH ||vijQAnam yAvat vedanêti |
   eṣā pratyutpannâpekṣā |	ezA pratyutpannâpekzA |
   tṛṣṇā yāvad bhavêti |	tRzNA yAvat Bavêti |
   eṣâparântiky- apekṣâta*ūrddhvam asy pravṛttir iti ||	ezâparântiky apekzâta*u-urdDvam asi pravRttiH iti ||
   pe ||	pe ||
   tasyâivaṃ bhavati |	tasyâivam Bavati |
   saṃyogāt saṃskṛtaṃ pravartate |	saMyogAt saMskRtam pravartate |
   visaṃyogān na pravartate |	visaMyogAt na pravartate |
   sāmagryāḥ saṃskṛtaṃ pravartate |	sAmagryAH saMskRtam pravartate |
   visāmagryā na pravartate |	visAmagryA na pravartate |
   hanta vayam evaṃ bahudoṣaduṣṭaṃ saṃskṛtaṃ viditvâsya saṃyogasyâsyāś ca	hanta vayam evam bahu-doza-duzwam saMskRtam viditvâsya saMyogasyâsyAH ca
   sāmagryā vyavacchedaṃ kariṣyāmo |	sAmagryAH vyavacCedam karizyAmaH |
   na câtyantôpaśamaṃ sarvasaṃskārāṇām adhigamiṣyāmaḥ satvaparipācanatāyai |	na câtyantôpaSamam sarva-saMskArANAm aDigamizyAmaH satva-paripAcana-tAyE |
   iti ||	iti ||
   idaṃ saṃkṣepān mohaśodhanaṃ ||	idam saMkzepAt moha-SoDanam ||
   iti śikṣāsamuccaye cittaparikarma paricchedo dvādaśamaḥ ||	iti SikzAsamuccaye citta-parikarma paricCedaH dvAdaSamaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
