   ātmabhāvarakṣā ṣaṣṭhaḥ paricchedaḥ |	Atma-BAva-rakzA zazWaH paricCedaH |
   anena prathamaṃ piṇḍam aṣṭâbhimantritaṃ bhuñjīta bhaiṣajyarājatāṃ	anena praTamam piNxam azwâBimantritam BuQjIta BEzajya-rAjatAm
   buddhabodhisatvānām anusmṛtya ||	budDa-boDisatvAnAm anusmRtya ||
   viṣapratīkāras tu ||	viza-pratIkAraH tu ||
   tad yathā |	tat yaTA |
   ilimitte |	ilimitte |
   tilimitte |	tili-mitte |
   ilitilimitte |	iliti-limitte |
   dumbe |	dumbe |
   duḥse |	duHse |
   duḥsālīye |	duHsAlIye |
   dumbālīye |	dumbAlIye |
   takke |	takke |
   tarkkaraṇe |	tarkkaraNe |
   marmme |	marmme |
   marmaraṇe |	marmaraNe |
   kaśmīre |	kaSmIre |
   kaśmīramukte |	kaSmIra-m-ukte |
   aghane |	aGane |
   aghanaghane |	aGana-Gane |
   ilimilīye |	ilimilIye |
   akhāpye |	aKApye |
   apāpye śvete |	apApye Svete |
   śvetatuṇḍe |	Sveta-tuNxe |
   anānurakṣe svāhā ||	anAnurakze svAhA ||
   yêmāṃ vidyāṃ sakṛc chṛṇoti sa sapta varṣāṇy ahinā na daśyate |	yêmAm vidyAm sakRt SRNoti sa sapta varzANi ahinA na daSyate |
   na câsya kāye viṣaṃ krāmati |	na ca-asya kAye vizam krAmati |
   yaś câinaṃ ahir daśati saptadhâsya sphuṭen mūrddhârjakasyêva mañjarī	yaH câinam ahiH daSati saptaDâsya sPuwet mUrdDârjakasyêva maQjarI
   ||yêmāṃ vidyāṃ dhārayati sa yāvajjīvam ahinā na daśyate |	||yêmAm vidyAm DArayati sa yAvajjIvam ahinA na daSyate |
   na câsya kāye viṣaṃ krāmati |	na ca-asya kAye vizam krAmati |
   imāni ca mantrapadāni sarpasya purato na vaktavyāni yatkāraṇaṃ sarpo	imAni ca mantra-padAni sarpasya puratas na vaktavyAni yat-kAraNam sarpaH-
   mriyate ||	mriyate ||
   tad yathā |	tat yaTA |
   illā |	illA |
   cillā |	cillA |
   cakko |	cakkaH |
   bakko |	bakkaH |
   koḍā koḍeti |	koxA koxa-iti |
   nikuruḍā nikuruḍeti |	nikuruxA nikuruxa-iti |
   poḍā poḍeti |	poxA poxa-iti |
   moḍā |	moxAH |
   moḍeti |	moxA-iti |
   puruḍā puruḍeti |	puruxA puruxa-iti |
   phaṭa rahe |	Pawa rahe |
   phuṭṭaṇḍa rahe |	PuwwaNxa rahe |
   nāga rahe |	nAga rahe |
   nāgaṭṭaṇḍarahe |	nAgawwaNxa-rahe |
   sarpa rahe |	sarpa rahe |
   sarpaṭṭaṇḍarahe |	sarpawwaNxa-rahe |
   acche |	acCe |
   chala viṣaśāte |	Cala viza-SAte |
   śītavattāle |	SIta-vat-tAle |
   halale |	halale |
   halale |	halale |
   taṇḍi |	taNxi |
   taḍa |	taxa |
   tāḍi |	tAxi |
   mala |	malaH |
   sphuṭa |	sPuwa |
   phuṭu |	Puwu |
   svāhā ||	svAhA ||
   [ Bendall ed p142 ---> ]	[ Bet-dalt ed p142 ---> ]
   iti hi bhikṣavo jāṅgulyāṃ vidyāyāṃ udāhṛtāyāṃ sarvabhūtasamāgate sarvaṃ	iti hi BikzavaH jAFgulyAm vidyAyAm udAhRtAyAm sarva-BUta-samAgate sarvam
   tathâvitathânanyathābhūtaṃ satyam aviparītam aviparyastaṃ |	taTâvitaTân-anyaTABUtam satyam aviparItam aviparyastam |
   idaṃ viṣam aviṣaṃ bhavatu |	idam vizam avizam Bavatu |
   dātāraṃ gacchatu |	dAtAram gacCatu |
   daṃṣṭrāraṃ gacchatu |	daMzwrAram gacCatu |
   agniṃ gacchatu |	agnim gacCatu |
   jalaṃ gacchatu |	jalam gacCatu |
   sthalaṃ gacchatu |	sTalam gacCatu |
   stambhaṃ gacchatu |	stamBam gacCatu |
   kuḍyaṃ gacchatu |	kuxyam gacCatu |
   bhūmiṃ saṃkrāmatu |	BUmim saMkrAmatu |
   śāntiṃ gacchatu svāhā ||	SAntim gacCatu svAhA ||
   corâdipratīkāre mārīcīṃ japet ||	corâdi-pratIkAre mArIcIm japet ||
   tad yathā |	tat yaTA |
   parākramasi |	parAkramasi |
   udayam asi |	udayam asi |
   vairam asi arkam asi |	vEram asi arkam asi |
   markam asi |	markam asi |
   vanam asi |	vanam asi |
   antarddhānam asi |	antardDAnam asi |
   pa-	pa-
   [ Cambridge MS f70b ---> ]	[ Cambridge M f70B ---> ]
   the me rakṣa |	Te me rakza |
   utpathe me rakṣa |	utpaTe me rakza |
   janato me rakṣa |	janataH me rakza |
   caurato me rakṣa |	cOrataH me rakza |
   rājato me rakṣa |	rAjataH me rakza |
   siṃhato me rakṣa |	siMhataH me rakza |
   vyāghrato me rakṣa |	vyAGrataH me rakza |
   nāgato me rakṣa |	na-AgataH me rakza |
   sarpato me rakṣa |	sarpataH me rakza |
   sarvato me rakṣa |	sarvatas me rakza |
   rakṣa māṃ sarvasatvāṃś ca sarvabhayebhyaḥ sarvôpāye sôpasargebhyaḥ svāhā	rakza mAm sarva-satvAn ca sarva-BayeByaH sarvô-pAye sôpasargeByaH svAhA
   uṃvaḍili sarvaduṣṭānāṃ granthiṃ vandāmi svāhā ||	uMvaxili sarva-duzwAnAm granTim vandAmi svAhA ||
   namo ratnatrayāya |	namaH ratnatrayAya |
   namo mārīcyai devatāyai |	namaH mArIcyE devatAyE |
   mārīcyā devatāyā hṛdayam āvartayiṣyāmi ||	mArIcyA devatAyAH hRdayam AvartayizyAmi ||
   ta yathā |	te yaTA |
   battāli |	battAli |
   badāli |	badAli |
   badāli |	badAli |
   barāli |	barAli |
   varāhamukhi |	varAha-muKi |
   sarvaduṣṭānāṃ nivāraya |	sarva-duzwAnAm nivAraya |
   bandha mukhaṃ svāhā ||	banDa muKam svAhA ||
   imām api vidyām anantajātismarahetuṃ mahāprabhāvāṃ saptapañcāśadakṣarāṃ	imAm api vidyAm ananta-jAti-smara-hetum mahA-praBAvAm sapta-paQcASat-akzarAm
   vidyādharapiṭakôpanibaddhāṃ sarvabhayarakṣârthaṃ prayuñjīta ||	vidyADara-piwakôpa-nibadDAm sarva-Baya-rakzârTam prayuQjIta ||
   tad yathā |	tat yaTA |
   aṭṭe |	awwe |
   baṭṭe |	bawwe |
   naṭṭe |	nawwe |
   kunaṭṭe |	kunawwe |
   ṭake |	wake |
   ṭhake |	Wake |
   ṭharake |	Warake |
   urumati |	urumati |
   rurumati |	rurumati |
   turu |	turu |
   hili mili |	hili mili |
   sarvajñôdupadagga [[DOUBT]] |	sarvajQôt-upadak-ga [[DOUBT]] |
   namo sabbasammasaṃbuddhāṇaṃ sijjhantu me mantapadāḥ svāhā ||	namaH sabbasammasaMbudDANam sijJantu me mantapadAH svAhA ||
   [ Bendall ed p143 ---> ]	[ Bet-dalt ed p143 ---> ]
   eṣā rakṣâtmabhāvasya bhaiṣajyavasanâdibhiḥ |	ezA rakzâtma-BAvasya BEzajya-vasanâdiBiH |
   satvârthasmṛtipūrvakam eva vaktavyā ||	satu-ârTa-smRti-pUrvakam eva vaktavyA ||
   ātmatṛṣṇôpabhogāt tu kliṣṭâpattiḥ prajāyate ||	Atma-tRzNôpa-BogAt tu klizwâpattiH prajAyate ||
   sarvaṃ hi bodhisatvenôtsṛṣṭaṃ sarvasatvebhyaḥ ||	sarvam hi boDisatvenôtsRzwam sarva-satveByaH ||
   tatra yadi vismṛtya paradravyam ātmabharaṇatṛṣṇayā paribhuṅkte	tatra yadi vismRtya para-dravyam Atma-BaraNa-tRzNayA pariBuFkte
   kliṣṭâpattim āpadyate |	klizwâpattim Apadyate |
   atha vitṛṣṇo anyāsakto vā satvakāryam anusmṛtya bhuṅkte na kliṣṭām āpattim	aTa vitRzNaH anya-AsaktaH vA satva-kAryam anusmRtya BuFkte na klizwAm Apattim
   āpadyate |	Apadyate |
   paradravyasaṃjñī svârthena bhuṅkte steyâpattim āpadyate |	para-dravya-saMjQI svârTena BuFkte steyâpattim Apadyate |
   pūrârgheṇa prātimokṣe pārājiko bhavati |	pUrârGeNa prAtimokze pArAjikaH Bavati |
   satvasvāmikais tu bhogaiḥ satvasvāmikâivâtmabhāvaḥ saṃrakṣatêty adoṣaḥ |	satva-svAmikEH tu BogEH satva-svAmikâivâtma-BAvaH saMrakzatêti adozaH |
   na hi dāsasya nityaṃ svāmikarmavyāpṛtasya svadravyam asti yena varteta ||	na hi dAsasya nityam svAmi-karma-vyApRtasya sva-dravyam asti yena varteta ||
   uktaṃ ca dharmasaṅgītisūtre |	uktam ca Darma-saFgI-iti-sUtre |
   dāsôpamena bodhisatvena bhavitavyaṃ sarvasatvakiṅkaraṇīyaprāpaṇatayêti ||	dAsô-pamena boDisatvena Bavitavyam sarva-satva-kiFkaraNIya-prApaNa-tayêti ||
   na câikântasvāmyarthaparasya dāsasya vyādhyādiviklavamateḥ svāminam	na câikântasvAmi-arTa-parasya dAsasya vyADi-Adi-viklava-mateH svAminam
   ananujñāpyâpi bhuñjānasya kaści-	ananujQA-api-âpi BuQjAnasya kaSci-
   [ Cambridge MS f71a ---> ]	[ Cambridge M f71aH ---> ]
   d doṣaḥ |	d dozaH |
   nâpy evaṃ kurvāṇasya bodhisatvasyântike kasyacid viditavṛttântasyâpy	nâpi evam kurvANasya boDisatvasi-ântike kasyacid vidita-vRttântasi-âpi-
   aprasādo yujyate mātsaryatyāgacittâparijñānāt ||	aprasAdaH yujyate mAtsarya-tyAga-cittâ-parijQAnAt ||
   na câtra nyāye kaścit saṃdeho yuktaḥ |	na câtra nyAye kaScid saMdehaH yuktaH |
   sarvôtsargo hi pūrvam eva bhagavatkaṇṭhôktyā pratipāditaḥ |	sarvôtsargaH hi pUrvam eva Bagavat-kaNWôktyA pratipAditaH |
   tathā câtmabhāvarakṣā satvârtham evôktā |	taTA câtma-BAva-rakzA satvârTam evôktA |
   tasya spaṣṭâvabodhârtham ayaṃ nyāyo 'bhiyukto na tu svârthâpekṣayêti ||	tasya spazwâvaboDârTam ayam nyAyaH aBiyuktaH na tu svârTâ-pekzayêti ||
   iti śikṣāsamuccaye ātmabhāvarakṣā ṣaṣṭhaḥ paricchedaḥ ||	iti SikzA-samuccaye Atma-BAva-rakzA zazWaH paricCedaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
