   Ajitasenavyākaraṇam	Ajita-sena-vyAkaraNam
   gatiṃ parikīrtayiṣyāmi / raurave mahānarake hāhahe mahānarake avīcau	gatim parikIrtayizyAmi / rOrave mahAnarake hAhahe mahA-narake avIcO
   mahānarake tiryagyonau yamaloke ca pretaviṣaye bahūni kalpasahasrāṇi	mahAnarake tiryagyonO yama-loke ca preta-vizaye bahUni kalpa-sahasrANi
   duḥkhamanubhavitavyam / yadi kadācinmanuṣyaloke upapatsyate	duHKam-anuBavitavyam / yadi kadAcid-manuzya-loke upapatsyate
   dīrghaśuṣkatālukaṇṭho bhaviṣyati / dvādaśayojanāni tasya jihvā bhaviṣyati	dIrGa-Suzka-tAlu-kaNWaH Bavizyati / dvAdaSa-yojanAni tasya jihvA Bavizyati
   / dvādaśahalyāni pravahiṣyanti ye evaṃ vāgabhāṣiṣyante / mā bhoḥ kulaputrā	/ dvAdaSa-halyAni pravahizyanti ye evam vAc-aBAzizyante / mA BoH kula-putrA
   bhoḥ kvacit saddharmaṃ pratikṣepaṣyatha / saddharmapratikṣepakasya evaṃ	BoH kvacid sadDarmam pratikzepazyaTa / sat-Darma-pratikzepakasya evam
   gatirbhavati / ānanda āha / kena hetunā bhagavan saddharmaḥ pratikṣipto	gatiH-Bavati / AnandaH Aha / kena hetunA Bagavan sadDarmaH pratikziptaH-
   bhavati / bhagavānāha / ye sattvāḥ paścime kāle paścime samaye eteṣāṃ	Bavati / BagavAn-Aha / ye sattvAH paScime kAle paScime samaye etezAm
   sūtrānudhārakāṇāṃ dharmabhāṇakānāmākrośiṣyanti paribhāṣiṣyante	sUtra-anuDArakANAm Darma-BANakAnAm-AkroSizyanti pariBAzizyante
   kutsayiṣyanti paṃsayiṣyanti tasya dharmabhāṇakasya	kutsayizyanti paMsayizyanti tasya Darma-BANakasya
   duṣṭacittamutpādayiṣyanti tebhyaḥ saddharmaḥ pratikṣipto bhaviṣyati / yaḥ	duzwa-cittam-utpAdayizyanti teByaH sadDarmaH pratikziptaH Bavizyati / yaH
   sattvaḥ (Asv 134) trisāhasramahāsāhasryāṃ lokadhātau	sattvaH (Asu 134) tri-sAhasra-mahA-sAhasryAm lokaDAtO
   sattvānāmakṣīṇyutpāṭayet ayaṃ tato bahutaramapuṇyaskandho bhavet / evameva	sattvAnAm-akzINi-utpAwayet ayam tatas bahutaram-apuNya-skanDaH Bavet / evam-eva
   ya eteṣāṃ sūtradhārakāṇāṃ dharmabhāṇakāṇāṃ duṣṭacittaprekṣitā ayaṃ tato	yaH etezAm sUtra-DArakANAm Darma-BANakANAm duzwa-citta-prekzitAH ayam tatas-
   bahutaramapuṇyaskandhaṃ prasaviṣyate /	bahutaram-apuNya-skanDam prasavizyate /
   atha ānando bhagavato gāthāḥ pratyabhāṣata /	aTa AnandaH BagavataH gATAH pratyaBAzata /
   bahusūtrasahasrāṇi śrutaṃ me śāstusammukhāt /	bahu-sUtra-sahasrANi Srutam me SAstu-sammuKAt /
   na came īdṛśaṃ sūtraṃ śrutapūrvaṃ kadācana //	na came IdRSam sUtram Sruta-pUrvam kadAcana //
   parinirvṛtasya śāstusya paścātkāle subhairave /	parinirvRtasya SAstusya paScAt-kAle su-BErave /
   idaṃ sūtraṃ prakāśiṣye dhārayiṣye imaṃ nayam //	idam sUtram prakASizye DArayizye imam nayam //
   yatra sūtraratne asmiṃ paścātkāle bhaviṣyati /	yatra sUtra-ratne asmim paScAt-kAle Bavizyati /
   rakṣāṃ kariṣyāmi teṣāṃ paścātkāle subhairave //	rakzAm karizyAmi tezAm paScAt-kAle su-BErave //
   pratikṣipiṣyāmi nedaṃ gambhīraṃ buddhabhāṣitam //	pratikzipizyAmi na-idam gamBIram budDa-BAzitam //
   athāyuṣmānānando bhagavato gāthā bhāṣitvā tūṣṇīṃ sthito 'bhūt / atha	aTa-AyuzmAn-AnandaH BagavataH gATA BAzitvA tUzNIm sTitaH aBUt / aTa
   kāśyapo mahāśrāvako bhagavantaṃ gāthābhiradhyabhāṣata /	kASyapaH mahA-SrAvakaH Bagavantam gATABiH-aDi-aBAzata /
   suvarṇavarṇaṃ varalakṣaṇāṅgaṃ dvātriṃśatā lakṣaṇadhāriṇaṃ jinam /	suvarNa-varNam vara-lakzaNa-aFgam dvAtriMSatA lakzaNa-DAriNam jinam /
   subhāṣitaṃ sūtra mahānubhāvagaṃ gambhīradharmaṃ nipuṇaṃ sudurdṛśam // (Asv	su-BAzitam sUtra mahA-anuBAva-gam gamBIra-Darmam nipuNam su-durdRSam // (Asu-
   prakāśitaṃ sūtramidaṃ niruttaraṃ mā paścakāle parinirvṛte jite /	prakASitam sUtram-idam niruttaram mA paSca-kAle parinirvRte jite /
   dhāriṣye maṃ sūtranayaṃ niruttaraṃ /	DArizye mam sUtra-nayam niruttaram /
   athāyuṣmān śāradvatīputro bhagavantaṃ gāthābhiradhyabhāṣata /	aTa-AyuzmAn SAradvatI-putraH Bagavantam gATABiH-aDi-aBAzata /
   namo 'stu te buddha mahānubhāva prakāśitaṃ sutramidaṃ niruttaram /	namaH astu te budDa mahA-anuBAva prakASitam sutram-idam niruttaram /
   parinirvṛtasya tava lokanāyakā likhiṣyati sūtrametaṃ niruttaram //	parinirvRtasya tava loka-nAyakAH liKizyati sUtram-etam niruttaram //
   na cāpi so gacchati durgatībhayaṃ svargaṃ ca so gacchati kṣiprametat //	na ca-api saH gacCati durgatI-Bayam svargam ca saH gacCati kzipram-etat //
   athāyuṣmān pūrṇo maitrāyaṇīputro bhagavantaṃ gāthābhiradhyabhāṣata /	aTa-AyuzmAn pUrNaH mEtrAyaNI-putraH Bagavantam gATABiH-aDi-aBAzata /
   kṛtajño bahusattvānāṃ mocako durgatībhayāt /	kRtajQaH bahu-sattvAnAm mocakaH durgatI-BayAt /
   prakāśitaṃ tvayā sūtraṃ gambhīraṃ buddhadakṣiṇam //	prakASitam tvayA sUtram gamBIram budDa-dakziNam //
   ahaṃ hi paścime kāle nirvṛte tvayi nāyake /	aham hi paScime kAle nirvRte tvayi nAyake /
   idaṃ sūtraṃ prakāśiṣye hitāya sarvaprāṇinām //	idam sUtram prakASizye hitAya sarva-prANinAm //
   iti /	iti /
   atha brahmā sahāmpatirbhagavantaṃ gāthābhiradhyabhāṣata /	aTa brahmA sahAmpatiH-Bagavantam gATABiH-aDi-aBAzata /
   namo 'stu te buddha mahānubhāvā prakāśitaṃ sūtramidaṃ tvayā śubham / (Asv	namaH astu te budDa mahA-anuBAvA prakASitam sUtram-idam tvayA SuBam / (Asu-
   parinirvṛtasya tava lokanāyaka rakṣāṃ kariṣyāmi ha sūtraratne //	parinirvRtasya tava lokanAyaka rakzAm karizyAmi ha sUtra-ratne //
   atha catvāro mahārājā bhagavantaṃ gāthābhiradhyabhāṣanta /	aTa catvAraH mahA-rAjAH Bagavantam gATABiH-aDyaBAzanta /
   aho suramyaṃ varasūtraratnaṃ prakāśitam īdṛśa paścakāle /	aho su-ramyam vara-sUtra-ratnam prakASitam IdRSa paSca-kAle /
   ..................sūtraratnaṃ prakāśitaṃ paśyati paścakāle //	..................sUtra-ratnam prakASitam paSyati paSca-kAle //
   sugatāna vai lokavināyakānāṃ ahaṃ hi dhāriṣyam sūtraratnam /	sugatAna vE loka-vinAyakAnAm aham hi DArizyam sUtra-ratnam /
   rakṣāṃ kariṣyāmyaha sūtraratnaṃ imavocadbhagavānāttamanā //	rakzAm karizyAmi-aha sUtra-ratnam imavocat-BagavAn-Atta-manAH //
   sā ca sarvāvatī parṣadbhagavato bhāṣitamabhyanandat /	sA ca sarvAvatI parzad-BagavataH BAzitam-aByanandat /
   ajitasenavyakaraṇanirdeśo nāma mahāyānasūtraṃ samāptam //	ajitasenavyakaraNa-nirdeSaH nAma mahAyAna-sUtram samAptam //
   deyadharmoyaṃ bālosiṃhena sārdha bhāryājājatitrana sārdhaṃ mātāpitroḥ	deya-Darmoyam bAlosiMhena sa-arDa BAryA-jAjatitrana sArDam mAtA-pitroH
   paramaduṣkartroḥ sārdhaṃ kṣīṇīena akhiloṭiena diśoṭajāja maṅgali.......	parama-duzkartroH sArDam kzINIena aKilowiena diSowajA-ja maFgali.......
   utrayannagarvidoṭiena vaṭrari-khuśoṭi-khūśogoṭiena sārdhaṃ sarvasattvaiḥ	utrayannagarvi-dowiena vawrari--Ku-Sowi--KU-SaH-gowiena sArDam sarva-sattvEH
   sarva...... bhiryatra puṇya tadbha......	sarva-...... BiH-yatra puNya tad-Ba......
   sarvasattvānāmanuttaraḥ...... sārdhaṃ paramakalyāṇamitrasthirabandhuena /	sarva-sattvAnAm-anuttaraH...... sArDam parama-kalyANa-mitra-sTira-banDuena /
   lisvitamidaṃ pustakaṃ dharmabhāṇakanarendradattena /	lisvitam-idam pustakam Darma-BANaka-narendra-dattena /
