   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   avaśyaṃ mamâitena vastunā vinābhāvo bhaviṣyati |	avaSyam mamâitena vastunA vinA-aBAvaH Bavizyati |
   akāmakena maraṇam upa-	akAmakena maraNam upa-
   [ Bendall ed p20 ---> ]	[ Bet-dalt ed p20 ---> ]
   gantavyaṃ bhaviṣyati |	gantavyam Bavizyati |
   etac ca vastu māṃ tyakṣyati ahaṃ câinaṃ tyakṣyāmi |	etat ca vastu mAm tyakzyati aham câinam tyakzyAmi |
   etac ca vastu parityajyâhaṃ āttasāraḥ kālaṃ kariṣyāmi	etat ca vastu parityajyâham Atta-sAraH kAlam karizyAmi
   etac ca parityaktaṃ na me maraṇakāle cittaṃ paryādāya sthāsyati |	etat ca parityaktam na me maraNa-kAle cittam paryAdAya sTAsyati |
   etac ca me maraṇakāle prītiṃ prāmodyam avipratisāritāṃ ca	etat ca me maraNa-kAle prItim prAmodyam avipratisAritAm ca
   janayiṣyati |	janayizyati |
   sacet punar evam api samanvāharan śaknuyāt tad vastu parityaktum |	saced punar evam api samanvAharan SaknuyAt tat vastu parityaktum |
   tena sa yācanakaś catasṛbhiḥ saṃjñaptibhiḥ saṃjñapayitavyaḥ |	tena sa yAcanakaH catasRBiH saMjQaptiBiH saMjQapayitavyaH |
   katamābhiś catasṛbhiḥ |	katamABiH catasRBiH |
   durbalas tāvad asmy aparipakvakuśalamūlaḥ |	durbalaH tAvat asmi aparipakva-kuSala-mUlaH |
   ādikarmiko mahāyāne |	AdikarmikaH mahAyAne |
   na cittasya vaśī parityāgāya |	na cittasya vaSI parityAgAya |
   sôpādānadṛṣṭiko 'smi |	sôpAdAn-a-dRzwikaH asmi |
   ahaṃkāramamakāra-	ahaMkAramamakAra-
   [ Cambridge MS f14a ---> ]	[ Cambridge M f14aH ---> ]
   sthitaḥ |	sTitaH |
   kṣamasva satpuruṣa |	kzamasva sat-puruza |
   mā paritāpsīs tathâhaṃ kariṣyāmi tathā pratipatsye |	mA paritApsIH taTâham karizyAmi taTA pratipatsye |
   tathā vīryam ārapsye |	taTA vIryam Arapsye |
   yathâinaṃ ca tavâbhiprāyaṃ paripūrayiṣyāmi	yaTâinam ca tavâBiprAyam paripUrayizyAmi
   sarvasatvānāṃ cêti |	sarva-satvAnAm cêti |
   evaṃ khalu gṛhapate |	evam Kalu gRhapate |
   tena yācanakaḥ saṃjñapayitavyaḥ |	tena yAcanakaH saMjQapayitavyaH |
   etac ca saṃjñapanam upari doṣaparihārāyôktaṃ |	etat ca saMjQapanam upari doza-parihAra-ayôktam |
   mā bhūd bodhisatvasya tatrâprasādo bodhisatve vā	mA BUt boDisatvasya tatrâ-prasAdaH boDisatve vA
   yācanakasyêti |	yAcanakasyêti |
   na tu mātsaryam evaṃ anavadyaṃ bhavati kutsitaṃ cêdaṃ bhagavatā	na tu mAtsaryam evam anavadyam Bavati kutsitam cêdam BagavatA
   bodhisatvānāṃ ||	boDisatvAnAm ||
   yathâha bodhisatvaprātimokṣe |	yaTâha boDisatva-prAtimokze |
   catvārême śāriputra dharmā bodhisatvānāṃ na saṃvidyante |	catvArême SAriputra DarmAH boDisatvAnAm na saMvidyante |
   katame catvāraḥ |	katame catvAraH |
   śāṭhyaṃ bodhisatvānāṃ na saṃvidyate |	SAWyam boDisatvAnAm na saMvidyate |
   mātsaryaṃ bodhisatvānāṃ na saṃvidyate |	mAtsaryam boDisatvAnAm na saMvidyate |
   īrṣyāpaiśunyaṃ bodhisatvānāṃ na saṃvidyate |	IrzyA-pESunyam boDisatvAnAm na saMvidyate |
   nâhaṃ śakto 'nuttarāṃ samyaksaṃbodhim abhisaṃboddhum	nâham SaktaH anuttarAm samyaksaMboDim aBisaMbodDum
   iti |	iti |
   līnaṃ cittaṃ bodhisatvānāṃ na saṃvidyate |	lInam cittam boDisatvAnAm na saMvidyate |
   yasyême śāriputra catvāro dharmāḥ saṃvidyante sa	yasyême SAriputra catvAraH DarmAH saMvidyante sa
   paṇḍita.ir jñātavyaḥ |	paNxita.iH jQAtavyaH |
   kuhako vatâyaṃ |	kuhakaH vatâyam |
   lapako vatâyaṃ |	lapakaH vatâyam |
   naṣṭadharmo vatâyaṃ |	nazwa-DarmaH vatâyam |
   saṃkleśadharmo vatâyaṃ lokâmiṣaguruko vatâyaṃ bhaktacoḍakaparamo vatâyam	saMkleSa-DarmaH vatâyam lokâmiza-gurukaH vatâyam Bakta-coxaka-paramaH vatâyam
   iti |	iti |
   tathā cittaśūrāḥ khalu punaḥ śāriputra bodhisatvā bhavanti |	taTA citta-SUrAH Kalu punar SAriputra boDisatvAH Bavanti |
   yāvat svahastaparityāgī bhavati pādaparityāgī |	yAvat sva-hasta-parityAgI Bavati pAda-parityAgI |
   nāsāparityāgī |	nAsA-parityAgI |
   śīrṣaparityāgī |	SIrza-parityAgI |
   aṅgapratyaṅgaparityāgī |	aFga-pratyaFga-parityAgI |
   putraparityāgī |	putra-parityAgI |
   duhitṛparityāgī |	duhitR-parityAgI |
   bhāryāparityāgī |	BAryA-parityAgI |
   ratiparityāgī |	rati-parityAgI |
   parivāraparityāgī |	parivAra-parityAgI |
   cittaparityāgī |	citta-parityAgI |
   sukhaparityāgī |	suKa-parityAgI |
   gṛhaparityāgī |	gRha-parityAgI |
   vastuparityāgī |	vastu-parityAgI |
   deśaparityāgī ratnaparityāgī |	deSa-parityAgI ratna-parityAgI |
   sarvasvaparityāgîti ||	sarva-sva-parityAgîti ||
   [ Bendall ed p21 ---> ]	[ Bet-dalt ed p21 ---> ]
   evaṃ nārāyaṇaparipṛcchāyām apy uktaṃ |	evam nArAyaNa-paripRcCAyAm api uktam |
   na tad vastûpādātavyaṃ yasmin	na tat vastû-pAdAtavyam yasmin
   [ Cambridge MS f14b ---> ]	[ Cambridge M f14B ---> ]
   vastuni nâsya tyāgacittam	vastuni nâsya tyAga-cittam
   utpadyate |	utpadyate |
   na tyāgabuddhiḥ krameta |	na tyAga-budDiH krameta |
   na sa parigrahaḥ parigrahītavyo yasmin parigrahe nôtsarjanacittam	na sa parigrahaH parigrahItavyaH yasmin parigrahe nôtsarjana-cittam
   utpādayen na sa parivārôpādātavyo yasmin yācanakair yācyamānasya	utpAdayet na sa parivArô-pAdAtavyaH yasmin yAcanakEH yAcyamAnasya
   parigrahabuddhir utpadyate |	parigraha-budDiH utpadyate |
   na tad rājyam upādātavyaṃ na te bhogā na tad ratnam	na tat rAjyam upAdAtavyam na te BogAH na tat ratnam
   upādātavyaṃ yāvan na tat kiñcid vastûpādātavyaṃ |	upAdAtavyam yAvat na tat kiQcid vastû-pAdAtavyam |
   yasmin vastuni bodhisatvasyâparityāgabuddhir utpadyate ||	yasmin vastuni boDisatvasyâ-parityAga-budDiH utpadyate ||
   api tu khalu punaḥ kulaputra bodhisatvena mahāsatvenâivaṃ cittam	api tu Kalu punar kula-putra boDisatvena mahAsatvenâivam cittam
   utpādayitavyaṃ |	utpAdayitavyam |
   ayaṃ mamâtmabhāvaḥ sarvasatvebhyaḥ parityaktaḥ	ayam mamâtma-BAvaH sarva-satveByaH parityaktaH
   utsṛṣṭaḥ |	utsRzwaH |
   prāg eva bāhyāni vastūni yasya yasya satvasya yena yena yad yat	prAk eva bAhyAni vastUni yasya yasya satvasya yena yena yat yat-
   kāryaṃ bhaviṣyati tasmai tasmai tad dāsyāmi	kAryam Bavizyati tasmE tasmE tat dAsyAmi
   satsaṃvidyamānaṃ hastaṃ hastârthikebhyo dāsyāmi pādaṃ pādârthikebhyo	sat-saMvidyamAnam hastam hastârTikeByaH dAsyAmi pAdam pAdârTikeByaH-
   netraṃ netrârthikebhyo dāsyāmi |	netram netrârTikeByaH dAsyAmi |
   māṃsaṃ māṃsârthikebhyaḥ śoṇitaṃ śoṇitârthikebhyo majjānaṃ majjârthikebhyo	mAMsam mAMsârTikeByaH SoNitam SoNitârTikeByaH majjAnam majjârTikeByaH-
   'ṅgapratyaṅgāny aṅgapratyaṅgârthikebhyaḥ śiraḥ śirorthikebhyaḥ	aFga-pratyaFgAni aFga-pratyaFgârTikeByaH SiraH SirorTikeByaH
   parityakṣyāmi |	parityakzyAmi |
   kaḥ punar vādo bāhyeṣu vastuṣu yad uta	kaH punar vAdaH bAhyezu vastuzu yat uta
   dhanadhānyajātarūparajataratnâbharaṇahayagajarathavāhanagrāmanagaranigamajanapadarāṣṭrarājadhānīpattanadāsīdāsakarmakarapauruṣeyaputraduhitṛparivāreṣu	Dana-DAnya-jAta-rUpa-rajata-ratnâBaraNa-haya-gaja-raTa-vAhana-grAma-nagara-nigama-janapada-rAzwra-rAjaDAnI-pattana-dAsI-dAsa-karmakara-pOruzeya-putr
   api tu khalu punar yasya yasya yena yena yad yat kāryaṃ bhaviṣyati	api tu Kalu punar yasya yasya yena yena yat yat kAryam Bavizyati
   tasmai tasmai satvāya tat tad deyaṃ saṃvidyamānaṃ dāsyāmi |	tasmE tasmE satvAya tat tat deyam saMvidyamAnam dAsyAmi |
   aśocann avipratisārī avipākapratikāṅkṣī parityakṣyāmi |	aSocan avipratisArI avipAka-pratikAFkzI parityakzyAmi |
   anapekṣo dāsyāmi satvânugrahāya satvakāruṇyena	anapekzaH dAsyAmi satu-ânugrahAya satva-kAruNyena
   satvânukampayā teṣām eva satvānāṃ saṃgrahāya |	satvânukampayA tezAm eva satvAnAm saMgrahAya |
   yathā me 'mī satvāḥ saṃ-	yaTA me amI satvAH saM-
   [ Cambridge MS f15a ---> ]	[ Cambridge M f15aH ---> ]
   gṛhītā bodhiprāptasya	gRhItA boDi-prAptasya
   dharmajānakāḥ syur iti |	Darma-jAnakAH syuH iti |
   peyālaṃ ||	peyAlam ||
   tad yathâpi nāma kula-putra bhaiṣajyavṛkṣasya mūlato vā	tat yaTâpi nAma kula-putra BEzajya-vRkzasya mUlataH vA
   hriyamāṇasya gaṇḍataḥ śākhātaḥ tvaktaḥ patrato vā	hriyamANasya gaNxataH SAKAtaH tu-aktaH patrataH vA
   hriyamāṇasya	hriyamANasya
   puṣpataḥ phalataḥ sārato vā hriyamāṇasya nâivaṃ bhavati	puzpataH Palatas sArataH vA hriyamANasya nâivam Bavati
   vikalpo |	vikalpaH |
   mūlato me hriyate yāvat sārato me hriyatae iti ||	mUlataH me hriyate yAvat sArataH me hriyatae iti ||
   api tu khalu punar avikalpâiva hīnamadhyôtkṛṣṭānāṃ satvānāṃ vyādhīn	api tu Kalu punar avikalpâiva hIna-maDyôtkRzwAnAm satvAnAm vyADIn
   apanayati |	apanayati |
   evam eva kulaputra bodhisatvena mahāsatvenâsmiṃś cāturmahābhautike	evam eva kula-putra boDisatvena mahAsatvenâsmin cAturmahABOtike
   ātmabhāve bhaiṣajyasaṃjñôtpādayitavyā	Atma-BAve BEzajya-saMjQôt-pAdayitavyA
   yeṣāṃ yeṣāṃ satvānāṃ yena yenârthaḥ tat tad eva me	yezAm yezAm satvAnAm yena yenârTaH tat tat eva me
   harantu hastaṃ hastârthinaḥ pādaṃ pādârthinêti	harantu hastam hastârTinaH pAdam pAd-ârTinêti
   pūrvavat ||	pUrvavat ||
   āryâkṣayamatisūtre 'pi deśitaṃ |	Aryâ-kzayam-atisUtre api deSitam |
   ayam eva mayā kāyaḥ sarvasatvānāṃ kiṃkaraṇīyeṣu	ayam eva mayA kAyaH sarva-satvAnAm kiMkaraNIyezu
   kṣapayitavyaḥ |	kzapayitavyaH |
   tad yathâpi nāmêmāni bāhyāni catvāri mahābhūtāni	tat yaTâpi nAmêmAni bAhyAni catvAri mahABUtAni
   pṛthivīdhātur abdhātus tejodhātur vāyudhātuś ca	pRTivI-DAtuH abDAtuH tejaH-DAtuH vAyuDAtuH ca
   [ Bendall ed p22 ---> ]	[ Bet-dalt ed p22 ---> ]
   nānāsukhair nānāparyāyair nānârambaṇair nānôpakaraṇair nānāparibhogaiḥ	nAnA-suKEH nAnA-paryAyEH na-anârambaNEH na-anôpakaraNEH nAnA-pariBogEH
   satvānāṃ nānôpabhogaṃ gacchanti |	satvAnAm na-anôpa-Bogam gacCanti |
   evam evâham imaṃ kāyaṃ caturmahābhūtasamucchrayaṃ nānāsukhair	evam evâham imam kAyam catur-mahABUta-samucCrayam nAnA-suKEH-
   nānāparyāyair nānârambaṇair nānôpakaraṇair nānāparibhogair vistareṇa	nAnA-paryAyEH na-anârambaNEH na-anôpakaraNEH nAnA-pariBogEH vistareNa
   sarvasatvānām	sarva-satvAnAm
   upabhogyaṃ kariṣyāmîti |	upaBogyam karizyAmîti |
   sêmam arthavaśaṃ saṃpaśyan kāyaduṣkhatāṃ ca	sêmam arTa-vaSam saMpaSyan kAya-duzKa-tAm ca
   pratyavekṣate	pratyavekzate
   kāyaduṣkhatayā ca na parikhidyate satvâvekṣayêti ||	kAya-duzKa-tayA ca na pariKidyate satu-â-vekzayêti ||
   āryavajradhvajasūtre 'py āha ||	Arya-vajra-Dvaja-sUtre api Aha ||
   iti hi bodhisatvâtmānaṃ sarvasatveṣu niryātayan	iti hi boDisatvâtmAnam sarva-satvezu niryAtayan
   sarvakuśalamūlôpakāritvena sarvasatvānāṃ kuśalamūlaiḥ samanvā-	sarva-kuSala-mUlôpakAri-tvena sarva-satvAnAm kuSala-mUlEH samanvA-
   [ Cambridge MS f15b ---> ]	[ Cambridge M f15B ---> ]
   haran	haran
   pradīpasamam ātmānaṃ sarvasatveṣûpanayan sukhasamam	pradIpa-samam AtmAnam sarva-satvezûpanayan suKa-samam
   ātmānaṃ sarvasatveṣv adhitiṣṭhan |	AtmAnam sarva-satvezu aDitizWan |
   dharmakukṣisamam ātmānaṃ sarvajagati saṃdhārayan	Darma-kukzi-samam AtmAnam sarva-jagati saMDArayan
   ālokasamam	Aloka-samam
   ātmānaṃ sarvasatveṣv anugacchan jagatpratiṣṭhāpanasamam	AtmAnam sarva-satvezu anugacCan jagat-pratizWApana-samam
   ātmānaṃ saṃpaśyan |	AtmAnam saMpaSyan |
   kuśalamūlapratyayabhūtam ātmānaṃ sarvajagaty anugacchan |	kuSala-mUla-pratyaya-BUtam AtmAnam sarva-jagati anugacCan |
   mitrasamam ātmānaṃ sarvasatveṣu niyojayamāno 'nuttarasukhamārgasamam	mitra-samam AtmAnam sarva-satvezu niyojayamAnaH anuttara-suKa-mArga-samam
   ātmānaṃ sarvasatveṣu saṃdarśayamānaḥ anuttarasukhôpadhānasamam ātmānaṃ	AtmAnam sarva-satvezu saMdarSayamAnaH anuttara-suKô-paDAna-samam AtmAnam
   sarvasatveṣu pariśodhamānaḥ	sarva-satvezu pariSoDamAnaH
   sūryasamam ātmānaṃ sarvajagati samīkurvāṇaḥ |	sUrya-samam AtmAnam sarva-jagati samIkurvANaH |
   evaṃdharmôpetam ātmānaṃ sarvasatveṣu prayacchan |	evaMDarmô-petam AtmAnam sarva-satvezu prayacCan |
   yathākāmakaraṇīyavaśyam ātmānaṃ sarvaloke saṃpaśyann agracaityā	yaTAkAma-karaNIya-vaSyam AtmAnam sarva-loke saMpaSyan agra-cEtyA
   bhaviṣyāmaḥ ... sarvajagatsthityātmānaṃ saṃpaśyan |	BavizyAmaH ... sarva-jagat-sTiti-AtmAnam saMpaSyan |
   samacittatāṃ sarvajagati niṣpādayan |	sama-citta-tAm sarva-jagati nizpAdayan |
   sarvôpakaraṇatīrtham ātmānaṃ saṃpaśyan |	sarvôpakaraNa-tIrTam AtmAnam saMpaSyan |
   sarvalokasukhadātāram ātmānaṃ pratyavekṣamāṇaḥ |	sarva-loka-suKa-dAtAram AtmAnam pratyavekzamANaH |
   sarvajagato dānapatim ātmānam adhimucyamānaḥ	sarva-jagataH dAnapatim AtmAnam aDimucyamAnaH
   sarvalokajñānasamam ātmānaṃ kurvāṇaḥ bodhisatvacaryāprayuktam ātmānaṃ	sarva-loka-jQAna-samam AtmAnam kurvANaH boDisatva-caryA-prayuktam AtmAnam
   saṃjanayamānaḥ |	saMjanayamAnaH |
   yathāvāditathākāritvenâtmānaṃ niyojayamānaḥ |	yaTA-vAdi-taTA-kAri-tvenâtmAnam niyojayamAnaH |
   sarvajñatāsannāhasannadham ātmānaṃ pratyavekṣamāṇaḥ |	sarvajQa-tA-AsannAha-sannaDam AtmAnam pratyavekzamANaH |
   pūrvanimantritaṃ cittam anupālayamānaḥ |	pUrva-nimantritam cittam anupAlayamAnaH |
   pratipattau câtmānaṃ sthāpayamāno bo-	pratipattO câtmAnam sTApayamAnaH bo-
   [ Bendall ed p23 ---> ]	[ Bet-dalt ed p23 ---> ]
   dhisatvatyāgacittatāṃ manasi kurvāṇôdyānabhūtam ātmānaṃ sarvasatveṣu	Disatva-tyAga-citta-tAm manasi kurvANô-dyAna-BUtam AtmAnam sarva-satvezu
   saṃpaśyan |	saMpaSyan |
   dharmaratibhūtam ātmānaṃ sarvalokeṣv ādarśayamānaḥ	Darma-rati-BUtam AtmAnam sarva-lokezu AdarSayamAnaH
   [ Cambridge MS f16a ---> ]	[ Cambridge M f16aH ---> ]
   saumanasyadātāram ātmānaṃ sarvasatvānām adhitiṣṭhan |	sOmanasya-dAtAram AtmAnam sarva-satvAnAm aDitizWan |
   anantaprītisaṃjananam ātmānaṃ sarvajagato niryātayamānaḥ	ananta-prIti-saMjananam AtmAnam sarva-jagataH niryAtayamAnaH
   sarvaśukladharmāya dvārabhūtam ātmānaṃ sarvaloke	sarva-Sukla-DarmAya dvAra-BUtam AtmAnam sarva-loke
   saṃdhārayamānaḥ |	saMDArayamAnaH |
   buddhabodhidātāram ātmānaṃ sarvasatvānāṃ praṇidadhat |	budDa-boDi-dAtAram AtmAnam sarva-satvAnAm praNidaDat |
   pitṛsamam ātmānaṃ sarvaprajāyāṃ niyojayamānaḥ |	pitR-samam AtmAnam sarva-prajAyAm niyojayamAnaH |
   sarvôpakaraṇâvaikalyâdhikaraṇam ātmānaṃ sarvasatvadhātau	sarvôpakaraNâ-vEkalyâDikaraNam AtmAnam sarva-satva-DAtO
   pratiṣṭhāpayamānaḥ ||	pratizWApayamAnaH ||
   iti hi bodhisatvâtmānam upasthāyakatvāya dadānaḥ	iti hi boDisatvâtmAnam upasTAyaka-tvAya dadAnaH
   yācanakeṣu	yAcanakezu
   nīcamanasikāracitto bhūmyâstaraṇâdhiṣṭhānacetā	nIca-manasikAra-cittaH BUmi-âH-taraNâDizWAna-cetA
   dharaṇisamasarvaduṣkhasahanamanasikārapravṛttaḥ	DaraNi-sama-sarva-duzKa-sahana-manasikAra-pravRttaH
   sarvasatvôpasthānâklāntamānasaprayukto bālajanaduṣkṛtasthiraḥ	sarva-satvôpasTAnâ-klAnta-mAnasa-prayuktaH bAla-jana-duzkRta-sTiraH
   sthāvarâdhivāsanajātyaḥ asthitaḥ kuśalamūlâbhiyuktaḥ	sTAvarâDi-vAsana-jAtyaH asTitaH kuSala-mUlâBi-yuktaH
   aprayuktasarvalokadhātûpasthānaḥ karṇo nāsā	aprayukta-sarva-loka-DAtûpa-sTAnaH karNaH nAsA
   saṃparityajan	saMparityajan
   yācanakebhyôpasaṃkrāntebhyo	yAcanaka-iByôpasaMkrAnteByaH-
   bodhisatvacaryôpāttatathāgatakulakulīnasaṃbhūtacittaḥ	boDisatva-caryôpAtta-taTA-gata-kula-kulIna-saMBUta-cittaH
   sarvabodhisatvânusmaraṇavihāraprasṛto 'sārāt sarvatrailokyāt sa ...	sarva-boDisatvânusmaraNa-vihAra-prasRtaH asArAt sarva-trElokyAt sa ...
   tyavekṣamāṇaḥ	tyavekzamANaH
   svaśarīrânadhyavasitasantānaḥ aniketasarvabuddhadharmânusmṛtivihāry-	sva-SarIrâ-naDya-vasita-santAnaH aniketa-sarva-budDa-Darmânu-smRti-vihAry-
   asārāc charīrāt sārâdānâbhiprāyêti hi	asArAt SarIrAt sArâda-anâBiprAyêti hi
   bodhisatvo jihvāṃ yācitaḥ samāno ma ... vātā premaṇīyayā	boDisatvaH jihvAm yAcitaH samAnaH me ... vAtA premaNIyayA
   maitryôpacāravitatayā bhadre siṃhâsane rājârhe niṣādya	mEtrI-ôpacAra-vitatayA Badre siMhâsane rAjârhe nizAdya
   taṃ yācanakam abhibhāṣate dṛṣṭaḥ |	tam yAcanakam aBiBAzate dRzwaH |
   ariṣṭacitto bhūtvâkṣatacitto 'nupahatacitto mahâtman salā ... ci-	arizwa-cittaH BUtvâkzata-cittaH anupahata-cittaH mahâtman salA ... ci-
   [ Cambridge MS f16b ---> ]	[ Cambridge M f16B ---> ]
   tto buddhavaṃśasaṃbhūtacitto 'lulitasantānacitto mahāsthāmabalâdhāno	ttaH budDa-vaMSa-saMBUta-cittaH alulita-santAna-cittaH mahA-sTAma-balâDAnaH-
   'nadhyavasitaśarīracitto 'nabhiniviṣṭavacanacitto jānumaṇḍalapraṣṭhitakāyo	anaDya-vasita-SarIra-cittaH anaBinivizwa-vacana-cittaH jAnu-maNxala-prazWita-kAyaH-
   bhūtvā svakān mukhāj jihvā ... yācanakasya sarvaśarīram	BUtvA svakAn muKAt jihvA ... yAcanakasya sarva-SarIram
   adhīnaṃ kṛtvā vācaṃ pramuñcan snigdhāṃ mṛdvīṃ premaṇīyāṃ maitryôpacārāṃ |	aDInam kRtvA vAcam pramuQcan snigDAm mRdvIm premaNIyAm mEtrI-ôpacArAm |
   gṛhāṇa tvaṃ mama jihvāṃ yathā kāmakaraṇīyāṃ kuru |	gRhANa tvam mama jihvAm yaTA kAma-karaNIyAm kuru |
   tathā kuru yathā tvaṃ prīto bhavasi	taTA kuru yaTA tvam prItaH Bavasi
   [ Bendall ed p24 ---> ]	[ Bet-dalt ed p24 ---> ]
   prītamānasâtmanā	prIta-mAna-sâtmanA
   pramudito hṛṣṭaḥ prītisaumanasyajātêti sa śiraḥ	pramuditaH hRzwaH prIti-sOmanasya-jAtêti sa SiraH
   parityajan	parityajan
   sarvadharmâgraśiraḥ paramajñānam avataran	sarva-Darmâgra-SiraH parama-jQAnam avataran
   sarvasatvaparitrāṇa śirobodhi ... gacchan	sarva-satva-paritrANa SiroboDi ... gacCan
   sarvajagadagryaśiraḥ	sarva-jagat-agrya-SiraH
   anupamajñānam abhilaṣan sarvadikchiraḥ prāptuṃ jñānarājam	anupama-jQAnam aBilazan sarva-diS-CiraH prAptum jQAna-rAjam
   adhimucyamāno 'nuttarasarvadharmâiśvaryaśīrṣatāṃ paripūrayitukāmo	aDimucyamAnaH anuttara-sarva-DarmâiSvarya-SIrza-tAm paripUrayitu-kAmaH-
   'nantayācanakaprītiparisphuṭacetā |	ananta-yAcanaka-prIti-parisPuwa-cetAH |
   iti hi bodhisatvo hastapādān parityajan yācanakebhyaḥ	iti hi boDisatvaH hasta-pAdAn parityajan yAcanakeByaH
   śraddhāhastaprayuktenânugraha cāritreṇa	SradDA-hasta-prayuktenânugraha cAritreNa
   bodhisatvasiṃhavikramatyāgapratatapāṇinā	boDisatva-siMha-vikrama-tyAga-pratata-pANinA
   vyavasargâbhiratena	vyavasargâBiratena
   hastapādaparityāgena mahāpratiṣṭhānakramatalavyatihāreṇa	hasta-pAda-parityAgena mahA-pratizWAna-krama-tala-vyatihAreNa
   bodhisatvacaryâdhyavasāyena vedanânupahatatayā	boDisatva-caryâ-DyavasAyena vedanânupahata-tayA
   dānaprasādaśaktyā vimalacittôtpādasaṃvaro niṣparyavasthānajñā-	dAna-prasAda-SaktyA vimala-cittôt-pAda-saMvaraH nizparyavasTAna-jQA-
   [ Cambridge MS f17a ---> ]	[ Cambridge M f17aH ---> ]
   nadharmaśarīrâchinnâbhinnâluptakāyasaṃjñaḥ anīcacittaḥ	na-Darma-SarIrâ-CinnâBid-nâlupta-kAya-saMjQaH anIca-cittaH
   sarvamārakarmâkalyāṇamitrôpastabdhavṛṃhitacetāḥ	sarva-mAra-karmâ-kalyANa-mitrôpa-stabDa-vRMhita-cetAH
   sarvabodhisatvasaṃvarṇitâikatyāganiryāṇêti hi bodhisatvaḥ svaśarīram	sarva-boDisatva-saMvarNi-tâika-tyAga-niryANêti hi boDisatvaH sva-SarIram
   ākṣipya rudhiram	Akzipya ruDiram
   anuprayacchan yācanakebhyaḥ praharṣitabodhicitto |	anuprayacCan yAcanakeByaH praharzita-boDi-cittaH |
   bodhisatvacaryâbhilaṣitacitto 'paryāttaveditacittaḥ	boDisatva-caryâBilazita-cittaH aparyAtta-vedita-cittaH
   sarvayācanakâbhilaṣitacittaḥ sarvapratigrāhakâvidviṣṭacittaḥ	sarva-yAcana-kâBilazita-cittaH sarva-pratigrAhakâ-vidvizwa-cittaH
   sarvabodhisatvatyāgapratipatpratipanno 'nivarttyayā	sarva-boDisatva-tyAga-pratipad-pratipannaH anivarttyayA
   prītiprasrabdhyā svaśarīrânapekṣacittaḥ svaśarīrād rudhiram	prIti-prasrabDyA sva-SarIrâ-napekza-cittaH sva-SarIrAt ruDiram
   anuprayacchan jñānâyatanamahāyānaprasṛtacetā mahāyānâvinaṣṭamanêṣṭamanās	anuprayacCan jQAnâyatana-mahAyAna-prasRta-cetAH mahAyAnâvinazwam-anêzwa-manAH-
   tuṣṭamanāḥ prītamanāḥ	tuzwa-manAH prIta-manAH
   muditamanā maitry-manāḥ sukhamanāḥ prasannamanāḥ	mudita-manAH mEtrI--manAH suKa-manAH prasanna-manAH
   pramuditaprītisaumanasyajāto majjāmāṃsaṃ svaśarīrāt parityajan	pramudita-prIti-sOmanasya-jAtaH majjA-mAMsam sva-SarIrAt parityajan
   yācanakebhyaḥ kalyāṇatyāgayā |	yAcanakeByaH kalyANa-tyAgayA |
   yācakâbhilaṣitayā vācā tān yācakān abhilapan |	yAcakâBilazitayA vAcA tAn yAcakAn aBilapan |
   gṛhṇantu bhavanto mama śarīrān majjāmāṃsaṃ yathā	gRhNantu BavantaH mama SarIrAt majjA-mAMsam yaTA
   kāmakaruṇāyā tulyaprītivivarddhanena tyāgacittena |	kAma-karuNAyAH tulya-prIti-vivardDanena tyAga-cittena |
   bodhisatvavijñagaṇaniṣevitena mahākuśalamūlena loka-	boDisatva-vijQa-gaNa-nizevitena mahA-kuSala-mUlena loka-
   [ Bendall ed p25 ---> ]	[ Bet-dalt ed p25 ---> ]
   malâpakarṣitena pravareṇâdhyāśayena |	malâpakarzitena pravareNâDyASayena |
   sarvabodhisatvasamatôpāttair mahādānârambhair manasâkāṅkṣitaiḥ	sarva-boDisatva-samatô-pAttEH mahA-dAnâramBEH manasâ-kAFkzitEH
   sarvayācakair ananutāpyacittair dānavastubhiḥ	sarva-yAcakEH ananutApya-cittEH dAna-vaH-tuBiH
   apratyavekṣitena karmavipākapratyayena	apratyavekzitena karma-vipAka-pratyayena
   sarvalokadhātvavimukhayā	sarva-loka-DAtu-avimuKayA
   sarvabuddhakṣetrâlaṃkāravyūhapūjayā	sarva-budDa-kzetrâlaMkAra-vyUha-pUjayA
   sarvajagadabhimukhayā	sarva-jagat-aBimuKayA
   karuṇāparitrāṇatayā |	karuNA-paritrANa-tayA |
   sarvabuddhabodhyabhimukhayā |	sarva-budDa-boDi-aBimuKayA |
   daśabala ...	daSa-balaH ...
   [ Cambridge MS f17b ---> ]	[ Cambridge M f17B ---> ]
   cāraṇayâtītânāgatapratyutpannasarvabodhisatvâbhimukhayâikakuśalamūlaparicaryayā	cAraNa-yâti-itâna-Agata-pratyutpanna-sarva-boDisatvâBimuKa-yâika-kuSala-mUla-paricaryayA
   sarvavaiśāradyâbhimukhenârṣabhasiṃhanādanadanena tryadhvâbhimukhena |	sarva-vESAradi-âBimuKenâ-RzaBa-siMha-nAda-nadanena tri-aDu-âBimuKena |
   sarvâdhvasamatājñānena ... lokâbhimukhenâparântakoṭīgatakalpavyavasāyena	sarvâDva-sa-matA-jQAnena ... lokâBimuKenâparânta-kowI-gata-kalpa-vyavasAyena
