   // prathamādhyāye dvitīyāhnikam //	// praTama-aDyAye dvitIya-Ahnikam //
   // kathālakṣaṇaprakaraṇam //	// kaTA-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   svabhāvānuvidhāyīni hi prayojanāni /	svaBAva-anuviDAyIni hi prayojanAni /
   na tu prayojanānuvidhāyinaḥ svabhāvāḥ /	na tu prayojana-anuviDAyinaH svaBAvAH /
   pratyakṣabādhastu tadā syāt yadi tama evāpahnūyeta /	pratyakza-bADaH-tu tadA syAt yadi tamaH eva-apahnUyeta /
   dravyatve pratyakṣasyājāgarukatvāt, nīlimaguṇaśālinaḥ pratīteḥ /	dravya-tve pratyakzasya-ajAgaruka-tvAt, nIlima-guNa-SAlinaH pratIteH /
   kathamevametaditi cetṛ---na, vastuto 'sya nīlatve 'cākṣuṣatvaprasaṅgāt /	kaTam-evam-etat-iti cetR---na, vastutas asya nIlatve acAkzuza-tva-prasaFgAt /
   ālokasahakāriṇa eva cakṣuṣaḥ tatra sāmarthyāvadhāraṇādityuktam /	Aloka-sahakAriNaH eva cakzuzaH tatra sAmarTya-avaDAraNAt-iti-uktam /
   śuklabhāsvaravirodhitāsāmyāt tu tathā vyavahāraḥ /	Sukla-BAsvara-viroDitA-sAmyAt tu taTA vyavahAraH /
   evaṃ tarhi raktādivyavahāro 'pi prasajyata iti cet---na, vyavahāre hi sati	evam tarhi rakta-Adi-vyavahAraH api prasajyate iti cet---na, vyavahAre hi sati
   nimittānusmaraṇāt /	nimitta-anusmaraNAt /
   na tu nimittāmastītyeva vyavahāraḥ yathā śaṣayoḥ śavyavahāro gauḍānāṃ	na tu nimittAm-asti-iti-eva vyavahAraH yaTA SazayoH SavI-avahAraH gOxAnAm
   varṇatvanimittāviśeṣe 'pi na kādivyavahāraḥ /	varNa-tva-nimitta-aviSeze api na ka-Adi-vyavahAraH /
   adṛṣṭādisāmagrīviśeṣānniyamo nātrāpi daṇḍavāritaḥ iti /	adRzwa-Adi-sAmagrI-viSezAt-niyamaH na-atra-api daNxa-vAritaH iti /
   tat kiṃ na kiñcidevac chāyetyata āha---tasmād bhābhāva evac chāyeti /	tat kim na kiQcid-evat CAyA-iti-atas Aha---tasmAt BA-BAvaH evat CAyA-iti /
   na ca vācyam, so 'pi kathamālokamantareṇa	na ca vAcyam, saH api kaTam-Alokam-antareNa
   pratiyogismaraṇādhikaraṇagrahaṇavirahe vidhimukhena cākṣuṣo viṣaya iti /	pratiyogi-smaraNa-aDikaraNa-grahaNa-virahe viDi-muKena cAkzuzaH vizayaH iti /
   yadgrahe hi yadapekṣaṃ cakṣustadabhāvagrahe 'pi tadapekṣameva /	yat-grahe hi yat-apekzam cakzuH-tad-aBAva-grahe api tad-apekzam-eva /
   evaṃ hi taditarasāmagrahīsākalyaṃ syāt /	evam hi tad-itarasAm-agrahI-sAkalyam syAt /
   tadihāpyālokābhāve tadālokāpekṣā syāt, yadyāloke 'pi tadapekṣā bhavet /	tat-iha-api-Aloka-aBAve tad-Aloka-apekzA syAt, yadi-Aloke api tad-apekzA Bavet /
   na caitadasti /	na ca-etat-asti /
   pratyuta virodha eva tasmin sati hi tadabhāva eva na syāt /	pratyuta viroDaH eva tasmin sati hi tad-aBAvaH eva na syAt /
   kiṃ tatsāpekṣeṇa cakṣuṣā gṛhyeta divā ca pratiyoginaḥ prabhāmaṇḍalasya	kim tad-sApekzeNa cakzuzA gRhyeta divA ca pratiyoginaH praBA-maNxalasya
   grahe eva pradeśāntare tadgrahaṇamiti na kiñcidanupapannam /	grahe eva pradeSa-antare tat-grahaNam-iti na kiQcid-anupapannam /
   anyadāpi na rātrimapratisandhāyāndhakāragrahaḥ /	anyadA-api na rAtrim-apratisanDAya-anDakAra-grahaH /
   rātrijñānaṃ ca na divasamapratisandhāya /	rAtri-jQAnam ca na diva-sam-apratisanDAya /
   tathā hi nirastaitaddvīpavartiraviraśmijālaḥ kālaviśeṣo 'tra	taTA hi nirasta-etat-dvIpa-varti-ravi-raSmi-jAlaH kAla-viSezaH atra
   rātrirityucyate /	rAtriH-iti-ucyate /
   giridarīvivaravartinastu yadi yogino na timirālokinaḥ /	giridarI-vivara-vartinaH-tu yadi yoginaH na timira-alokinaH /
   timiradarśinaścet---nūnaṃ smṛtālokā iti /	timira-darSinaH-cet---nUnam smRta-AlokAH iti /
   adhikaraṇam api dṛṣṭamanumitaṃ smṛtaṃ vā ihedānīmandhakāra iti pratyayāt /	aDikaraNam api dRzwam-anumitam smRtam vA iha-idAnIm-anDakAraH iti pratyayAt /
   vidhimukhastu pratyayo 'siddhaḥ /	viDi-muKaH-tu pratyayaH asidDaH /
   na hi nāprayogamātreṇa vidhitvam, pralayavināśāvasthānādiṣu vyabhicārāt /	na hi na-aprayoga-mAtreNa viDi-tvam, pralaya-vinASa-avasTAna-Adizu vyaBicArAt /
   nārthāntarbhāvena vākyārthe padaprayogādadoṣa iti cet? ihāpi	na-arTa-antarBAvena vAkya-arTe pada-prayogAt-adozaH iti cet? iha-api
   mātsaryamapanīya eṣaiva rītiranugamyatāmiti suṣṭhūpasaṃhṛtam---tasmād	mAtsaryam-apanIyaH ezA-eva rItiH-anugamyatAm-iti suzWu-upa-saMhRtam---tasmAt-
   bhābhāva evac chāyeti /	BA-BAvaH evat CAyA-iti /
   deśāntaraprāptimattvaprayuktaṃ hi gatimattvam /	deSa-antara-prAptimat-tva-prayuktam hi gatimat-tvam /
   na tu deśāntaradarśanaprayuktam tacca prayojakamiha niścitavyāvṛtti /	na tu deSa-antara-darSana-prayuktam tat-ca prayojakam-iha niScita-vyAvRtti /
   tathā hi svātantrayeṇa deśāntaraprāptau vārakānuvidhānaniyamo na syāt /	taTA hi svAtantrayeNa deSa-antara-prAptO vAraka-anuviDAna-niyamaH na syAt /
   prabhātulyatve tejaḥprabhāśrayeṣu ratnaviśeṣeṣuc chāyā divase na syāt /	praBA-tulya-tve tejaH-praBA-ASrayezu ratna-viSeza-izuc CAyA divase na syAt /
   chāyayaivābhibhave vā bahalatame tamasi teṣāmāloko na syāt /	CAyayA-eva-aBiBave vA bahalatame tamasi tezAm-AlokaH na syAt /
   ālokāntareṇaivābhibhave chāyāyā apyudbhāvo na syāditi //	Aloka-antareNa-eva-aBiBave CAyAyAH api-udBAvaH na syAt-iti //
   saṃkalayati---seyamiti /	saMkalayati---sA-iyam-iti /
   asiddhiḥ anirūpaṇam /	asidDiH anirUpaNam /
   na caitāvateti /	na ca-etAvatA-iti /
   vācyamiti śeṣaḥ /	vAcyam-iti SezaH /
   kutaḥ? savyabhicāratvāditi /	kutas-? savyaBicAra-tvAt-iti /
   ayamarthaḥ, yadyapi tatrāpi svābhāvikasaṃbandhavirahādastyeva	ayam-arTaH, yadi-api tatra-api svABAvika-saMbanDa-virahAt-asti-eva
   hetutvāsiddhiḥ, na hyasti saṃbhavaḥ svabhāvapratibaddhaśca	hetu-tva-asidDiH, na hi-asti saMBavaH svaBAva-pratibadDaH-ca
   savyabhicārādiśceti /	savyaBicAra-AdiH-ca-iti /
   tathāpi na tāvat svarūpata āśrayato vā tatrāsiddhirudbhāvayituṃ śakyate,	taTA-api na tAvat svarUpataH ASrayataH vA tatra-asidDiH-udBAvayitum Sakyate,
   tayorniścitatvāt /	tayoH-niScita-tvAt /
   nāpyupādhita upādhyapekṣayā vyabhicārāderlaghupratipattikatvāt, upādhestu	na-api-upADitaH upADi-apekzayA vyaBicAra-AdeH-laGu-pratipattika-tva-at, upADeH-tu
   taddvāraiva pratipatteḥ /	tad-dvArA-eva pratipatteH /
   yadi ca tena dūṣayituṃ na śakyate taddvārāpyapādhirevodbhāvyeta /	yadi ca tena dUzayitum na Sakyate tad-dvArA-api-apADiH-eva-udBAvyeta /
   na caitadasti /	na ca-etat-asti /
   vyabhicārādau hyudbhāvite sutarāṃ nivartate /	vyaBicAra-AdO hi-udBAvite sutarAm nivartate /
   upādhau tu kadācid vipratipadyate, tasya durūhatvāditi /	upADO tu kadAcid vipratipadyate, tasya durUha-tvAt-iti /
   astu tarhi savyabhicāravat aprayojako nāma ṣaṣṭho hetvābhāsaḥ,	astu tarhi savyaBicAra-vat aprayojakaH nAma zazWaH hetvABAsaH,
   tasyāpyevaṃrūpaviśeṣaśālitvādityata āha---anyathāsiddhasya tviti /	tasya-api-evaMrUpa-viSeza-SAli-tvAt-iti-ataH Aha---anyaTA-sidDasya tu-iti /
   bhavedevam, yadyaupādhikatvaṃ svābhāvikasaṃbandhavirahādanyatṛ /	Bavet-evam, yadi-OpADika-tvam svABAvika-saMbanDa-virahAt-anyatR /
   na tvetadasti /	na tu-etat-asti /
   anaupādhikatvaṃ hi saṃbandhasya svābhāvikatvam /	anOpADika-tvam hi saMbanDasya svABAvika-tvam /
   aupādhikatvaṃ ca tadvarahaḥ /	OpADika-tvam ca tad-varahaH /
   tasmād viśeṣāntarābhāvāt, sādhyasamasamānalakṣaṇavattvācca tatraiva	tasmAt viSeza-antara-aBAvAt, sADya-sama-samAna-lakzaNavat-tvAt-ca tatra-eva
   tasyāntarbhāva ityarthaḥ /	tasya-antarBAvaH iti-arTaH /
   bhāṣye gatimattvāditi sandigdhaḥ /	BAzye gatimat-tvAt-iti sandigDaH /
   vārttike satī chāyā gatimatī deśāntare darśanāditi viśeṣaṇadvārā	vArttike satI CAyA gatimatI deSa-antare darSanAt-iti viSezaNa-dvArA
   āśrayāsiddhaḥ /	ASraya-asidDaH /
   ayameva sattvaṃ vihāya niścitopādhisahavṛttiranyathāsiddhaḥ /	ayam-eva sattvam vihAya niScita-upADi-saha-vRttiH-anyaTA-sidDaH /
   tadetāvanta evāsiddhabhedā iti bhramanirāsārthamudāharati---ta eta iti /	tat-etAvantaH eva-asidDa-BedAH iti Brama-nirAsa-arTam-udAharati---te ete iti /
   cākṣuṣatvāditi niścitāsiddhaḥ /	cAkzuza-tvAt-iti niScita-asidDaH /
   aśarīratvāditi dharmita evāśrayāsiddhaḥ /	aSarIra-tvAt-iti DarmitaH eva-ASraya-asidDaH /
   maitratanayatvāditi saṃndigdhopādhisahavṛttiranyathāsiddhaḥ // 8 //	mEtra-tanaya-tvAt-iti saMndigDa-upADi-saha-vRttiH-anyaTA-sidDaH // 8 //
   kālātyayāpadiṣṭaḥ kālātītaḥ // 9 //	kAla-atyaya-apadizwaH kAla-atItaH // 9 //
   // pariśuddhiḥ //	// pariSudDiH //
   atra yathāśrutabhāṣyavārttikadarśanāt sarvamasamañjasamiti mattvā	atra yaTA-Sruta-BAzya-vArttika-darSanAt sarvam-asamaQjasam-iti mattvA
   svavyākhyāṃ sthānāntarīyabhāṣyādyupanyāsena saṃvadannāha---atretyādinā /	sva-vyAKyAm sTAna-antarIya-BAzya-Adi-upanyAsena saMvadat-=-Aha---atra-ityAdinA /
   anuṣṇa ityādinā pratiṣedhyavidheyadharmagrāhakapramāṇabādho darśitaḥ /	anuzNaH ityAdinA pratizeDya-viDeya-Darma-grAhaka-pramANa-bADaH darSitaH /
   dharmigrāhakapramāṇabādhastu ghaṭo vyāpakaḥ sattvādākāśavaditi pratyakṣeṇa	Darmi-grAhaka-pramANa-bADaH-tu GawaH vyApakaH sattvAt-AkASa-vat-iti pratyakzeNa
   paramāṇuḥ sāvayavo mūrtatvād ghaṭavadityanumānena /	paramANuH sa-avayavaH mUrta-tvAt Gawa-vat-iti-anumAnena /
   meruḥ pāṣāṇamayaḥ parvatatvād vindhyavadityāgamena /	meruH pAzANa-mayaH parvata-tvAt vinDya-vat-iti-Agamena /
   hetugrāhakapramāṇabādhastu, jalānilāviṣṇau pṛthivīto viparītasparśavatvāt	hetu-grAhaka-pramANa-bADastu, jala-anila-AvizNO pRTivItas viparIta-sparSava-tvAt-
   tejovaditi pratyakṣeṇa /	tejaH-vat-iti pratyakzeNa /
   mano vibhujñānāsamavāyikāraṇasaṃyogādhāratvāt ātmavadityanumānena /	manaH viBu-jQAna-asamavAyi-kAraNa-saMyoga-ADAra-tvAt Atma-vat-iti-anumAnena /
   brāhmaṇasya rājasūyaṃ karma, svargasādhanatvāt agniṣṭomavadityāgamena /	brAhmaNasya rAjasUyam karma, svarga-sADana-tvAt agnizwoma-vat-iti-Agamena /
   evaṃ navavidho 'yamekavidhopamānabādhena saṃkṣepato daśavidha iti /	evam navaviDaH ayam-ekaviDa-upamAna-bADena saMkzepataH daSaviDaH iti /
   nanu bādho nāma nāvinābhāvabhaṅgādaparaḥ kaścit /	nanu bADaH nAma na-avinA-aBAva-BaFgAt-aparaH kaScid /
   so 'pi na trairūpyapracyavādanya ityata āha---bādheti /	saH api na trErUpya-pracyavAt-anyaH iti-atas Aha---bADa-iti /
   na hi bādham avyavasthāpyānaikāntikatvamapakṣadharmatvaṃ vāvatārayituṃ	na hi bADam avyavasTApya-anEkAntika-tvam-apakza-Darma-tvam vA-avatArayitum
   śakyam /	Sakyam /
   ato 'syāvaśyodbhāvyatayāvaśyābhyupagantavyaḥ, anyathā virodhamapi	atas asya-avaSya-udBAvyatayA-avaSya-aByupagantavyaH, anyaTA viroDam-api
   nābhyupagacchet /	na-aByupagacCet /
   virodhe hi hetorabhāve svarūpāsiddhiḥ /	viroDe hi hetoH-aBAve svarUpa-asidDiH /
   sādhyābhāve 'pakṣadharmatā durnivārā /	sADya-aBAve apakza-Darma-tA durnivArAH /
   atha virodhasyaiva prathamaṃ buddhāvupanipātāt tadudbhāvanamantareṇa	aTa viroDasya-eva praTamam budDO=-upanipAtAt tad-udBAvanam-antareNa
   pakṣadharmatvasyodbhāvayitumaśakyatvācca so 'vaśyābhyupagantavyaḥ /	pakza-Darma-tvasya-udBAvayitum-aSakya-tvAt-ca saH avaSya-aByupagantavyaH /
   tadetat samānamanyatrāpītyuktamityarthaḥ /	tat-etat samAnam-anyatra-api-iti-uktam-iti-arTaH /
   yadyevam, bhāṣyamidānīṃ kathamityata āha---evamiti /	yadi-evam, BAzyam-idAnIm kaTam-iti-atas Aha---evam-iti /
   atha yadyayamartho bhāṣyakārasya vivakṣitaḥ, kimiti	aTa yadi-ayam-arTaH BAzya-kArasya vivakzitaH, kim-iti
   naitadanurūpamudāharaṇamityata āha---atra ceti /	na-etat-anurUpam-udAharaNam-iti-atas Aha---atra ca-iti /
   tathāpyaihikamudāharaṇamasaṅgatamityata āha---paramatenaiveti /	taTA-api-Ehikam-udAharaNam-asaFgatam-iti-atas Aha----para-matena-eva-iti /
   athaitadudāharaṇaṃ svamate pañcakoṭiṣu kvāntarbhaviṣyatītyata āha---sa	aTa-etat-udAharaNam sva-mate paQca-kowizu kva-antar-Bavizyati-iti-atas Aha----sa
   punariti /	punar-iti /
   tat kimiti nodbhāvayāṃbabhūva evamityata āha---sthūlatayeti /	tat kim-iti na-udBAvayAMbaBUvaH evam-iti-atas Aha----sTUla-tayA-iti /
   vārttikamidānīṃ kathamityata āha---yasyāpadiśyamānasyetyādi /	vArttikam-idAnIm kaTam-iti-atas Aha---yasya-apadiSyamAnasya-ityAdi /
   bhadantaṃ pratyekadeśinaḥ parīhāraḥ---samīkṛte 'bhidhānāditi /	Badantam pratyeka-deSinaH parIhAraH----samIkRte aBiDAnAt-iti /
   tad vivṛṇoti---ayamartha iti // 9 //	tat vivRNoti---ayam-arTaH iti // 9 //
   // hetvābhāsalakṣaṇaprakaraṇam //	// hetvABAsa-lakzaNa-prakaraNam //
   // chalaprakaraṇam //	// Cala-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   evaṃ yatnenodbhāvanīyapariharaṇīyahetvābhāsavaprakaraṇaṃ samarthitam /	evam yatnena-udBAvanIya-pariharaNIya-hetu-ABAsava-prakaraNam samarTitam /
   atha sādhanavādī pramādī prativādī vā saduttarasamādhānayoraparisphūrtau	aTa sADana-vAdI pramAdI prativAdI vA sat-uttara-samADAnayoH-aparisPUrtO
   tayorvijigīṣuḥ tadābhāsamapi brūyāditi tadābhāsavyutpādanāvasaraḥ /	tayoH-vijigIzuH tad-ABAsam-api brUyAt-iti tad-ABAsa-vyutpAdana-avasaraH /
   tatrāpi jāteḥ svapakṣavyāghātāpādakatvena jaghanyatvāt chalasya tu	tatra-api jAteH sva-pakza-vyAGAta-ApAdaka-tvena jaGanya-tvAt Calasya tu
   tātparyato duṣṭatve 'pi vacanato 'duṣṭattvādasphūrtidaśāyāmapi tadeva	tAtparyataH duzwa-tve api vacanataH aduzwattvAt-asPUrti-daSAyAm-api tat-eva
   prayoktavyam /	prayoktavyam /
   tasyāpyasphūrtau jātiriti viśeṣajñāpanārthaṃ jāteḥ pūrvaṃ chaloddeśaḥ /	tasya-api-asPUrtO jAtiH-iti viSeza-jQApana-arTam jAteH pUrvam Cala-uddeSaH /
   saiva lakṣaṇe 'pi saṃgatiriti bhāṣyārthamāha---uddeśeti //	sA-eva lakzaNe api saMgatiH-iti BAzya-arTam-Aha---uddeSa-iti //
   nanvativyāpakamidaṃ lakṣaṇam /	nanu-ati-vyApakam-idam lakzaNam /
   arthavaicitryopapattyā vacanavighātasya jātāvapi saṃbhavādityata	arTa-vEcitrya-upapattyA vacana-viGAtasya jAtO=-api saMBavAt-ityata
   āha---yathā vakturiti /	Aha---yaTA vaktuH-iti /
   iha vāgvṛttiviparyāsena pratyavasthānaṃ na tu tatreti bheda ityarthaḥ /	iha vAc-vRtti-viparyAsena pratyavasTAnam na tu tatra-iti BedaH iti-arTaH /
   nanu vibhāgo nodāhṛtaḥ tatkathaṃ vibhāge tūdāharaṇānīti bhāṣyamityata	nanu viBAgaH na-udAhRtaH tat-kaTam viBAge tu-udAharaNAni-iti BAzyam-iti-ata
   āha---vibhajyata iti // 10 //	Aha----viBajyate iti // 10 //
   // pariśuddhiḥ //	// pariSudDiH //
   yadyevaṃ kathaṃ vibhāgaśceti kṛtvā vibhāgasūtrameva paṭhatītyata	yadi-evam kaTam viBAgaH-ca-iti kRtvA viBAga-sUtram-eva paWati-iti-ata
   āha---vibhajyate 'neneti /	Aha----viBajyate anena-iti /
   uktipūrvakatvāt tātparyasya	ukti-pUrvaka-tvAt tAtparyasya
   tadanusaṃdhānapūrvakatvādupacārasyoddeśakamaniyamaḥ /	tad-anusaMDAna-pUrvaka-tvAt-upacArasya-uddeSa-kamaniyamaH /
   tadanurodhācca lakṣaṇakramaniyamaḥ // 1.1 //	tad-anuroDAt-ca lakzaNa-krama-niyamaH // 1.1 //
   pariśuddhiḥ	pariSudDiH
   abhidhāvṛttisaṃcāro yatrac chale tadvākchalamiti lakṣaṇārthaḥ, vācīti	aBiDA-vRtti-saMcAraH yatrat Cale tad-vAkCalam-iti lakzaNa-arTaH, vAci-iti
   viṣayasaptamī, bhramaṃ nivārayati---vāci nimitta iti /	vizaya-saptamI, Bramam nivArayati---vAci nimittaH iti /
   nanvetat sarvacchalasādhāraṇamityata āha---navakambala ityādi /	nanu-etat sarva=-Cala-sADAraNam-iti-atas Aha---nava-kambalaH ityAdi /
   tadidaṃ vākchalamuttaradaśāyāṃ navavidham /	tat-idam vAkCalam-uttara-daSAyAm navaviDam /
   tadyathā bhūbhṛdayaṃ vīryaśālī mahāvayavattvādityatra dharmipadasaṃcāreṇa	tat-yaTA BUBRt-ayam vIrya-SAlI mahA-vayavat-tvAt-iti-atra Darmi-pada-saMcAreNa
   na nakhaprasūnāñcitakarapallavo 'yaṃ nityakarmakaratvādityatra	na naKa-prasUna-AQcita-kara-pallavaH ayam nitya-karma-kara-tvAt-iti-atra
   sādhyapadasaṃcāreṇa /	sADya-pada-saMcAreNa /
   atā garbhavatī raktavilocanatvādityatrobhayapadasañcāreṇa /	atA garBavatI rakta-vilocana-tvAt-iti-atra-uBaya-pada-saQcAreNa /
   tadetat pratijñāśrayaṃ trayam /	tat-etat pratijQa-ASrayam trayam /
   āḍhyo 'yaṃ navakambalatvādityatrāsiddhatvodbhāvanena /	AXyaH ayam nava-kambala-tvAt-iti-atra-asidDa-tva-udBAvanena /
   gajo 'yaṃ viṣāṇītvādityatra virodhodbhāvanena /	gajaH ayam vizANI-tvAt-iti-atra viroDa-udBAvanena /
   durāloko 'sau rājā tejomayatvādityatrānaikāntikatvodbhāvanena /	durAlokaH asO rAjA tejaH-maya-tvAditi-a-tra-anEkAntika-tva-udBAvanena /
   tadetat hetvāśrayaṃ trayam /	tat-etat hetu-ASrayam trayam /
   duvyaṃ vāyuḥ sāvayavatvāt ambaravadityatra sādhanavikalatvena /	duvyam vAyuH sAvayava-tvAt ambara-vat-iti-atra sADana-vikala-tvena /
   asmadādidurāsadāḥ tārakā gaganecaratvāt pataṅgavadityatra	asmad-Adi-durAsadAH tArakAH gaganecara-tvAt pataFga-vat-iti-atra
   sādhyavikalatvena /	sADya-vikala-tvena /
   paśureṣa viṣāṇitvād govadityatrobhayavikalatvena /	paSuH-eza vizANi-tvAt go-vat-iti-atra-uBaya-vikala-tvena /
   tadetad dṛṣṭantāśra trayam /	tat-etat dRzwantA-Sra trayam /
   pratyuttaradaśāyāṃ tu pratipakṣasādhane navavidhameva /	pratyuttara-daSAyAm tu pratipakza-sADane navaviDam-eva /
   anyatra tu yāvaddūṣaṇabhedam /	anyatra tu yAvat-dUzaNa-Bedam /
   tad yathā, anyathāsiddho 'siddhaśceti vyāghātaḥ kathamapi siddhatvāt /	tat yaTA, anyaTA-sidDaH asidDaH-ca-iti vyAGAtaH kaTam-api sidDa-tvAt /
   sādhyaviparyayavyāpto 'yamiti, guṇa evānyathā sādhyābhedaprasaṅgāt /	sADya-viparyaya-vyAptaH ayam-iti, guNaH eva-anyaTA sADya-aBeda-prasaFgAt /
   ambareṇānaikāntikamityasaṅgatam, tasyāpyanityatvāt /	ambareNa-anEkAntikam-iti-asaFgatam, tasya-api-anitya-tvAt /
   nāyaṃ pakṣī kuto 'sya pakṣabādhasaṃbhāvanetyādi svayamūhyam /	na-ayam pakzI kutas asya pakza-bADa-saMBAvanA-ityAdi svayam-Uhyam /
   asya pratyavasthānamityādi bhāṣyaṃ na pūrvasūtravyākhyānaṃ	asya pratyavasTAnam-ityAdi BAzyam na pUrva-sUtra-vyAKyAnam
   nottarasūtraparaṃ vetyata āha---tadetacchalamiti // 1.2 //	na-uttara-sUtra-param vA-iti-atas Aha---tat-etat-Calam-iti // 1.2 //
   sambhavator'thasyātisāmānyayogādasambhūtārthakalpanā sāmānyacchalam // 1.3	samBavatoH-aTasya-ati-sAmAnya-yogAt-asamBUta-arTa-kalpanA sAmAnyacCalam // 1.3
   // pariśuddhiḥ //	// pariSudDiH //
   yatra tātparyasaṃkrāntistat sāmānyacchalamiti sūtrārthaḥ /	yatra tAtparya-saMkrAntiH-tat sAmAnyacCalam-iti sUtra-arTaH /
   tacca kvacit saṃbhavavidhiviśeṣyeṣu /	tat-ca kvacid saMBava-viDi-viSezyezu /
   yathā saṃbhavadvidyācaraṇasaṃpadayaṃ brāhmaṇatvāt /	yaTA saMBavat-vidyA-caraNa-saMpadayam brAhmaNa-tvAt /
   anityaḥ śabdaḥ /	anityaH SabdaH /
   śataṃ dvijātayo bhojitā iti /	Satam dvijAtayaH BojitAH iti /
   kvacit tu hetutvoddeśaviśeṣaṇeṣu yathā brāhmaṇādupajāto 'yaṃ brāhmaṇatvāt	kvacid tu hetu-tva-uddeSa-viSezaNezu yaTA brAhmaNAt-upajAtaH ayam brAhmaNa-tvAt-
   anityaṃ kāryaṃ dvijaśataṃ bhojitamiti /	anityam kAryam dvija-Satam Bojitam-iti /
   tadetat sarvaṃ vivakṣitamāpnoti cātyeti cobhayasamānaṃ	tat-etat sarvam vivakzitam-Apnoti ca-atyeti ca-uBaya-samAnam
   cetyatisāmānyamucyate /	ca-iti-atisAmAnyam-ucyate /
   etannimittakaṃ chalaṃ sāmānyacchalamiti /	etad-nimittakam Calam sAmAnyacCalam-iti /
   bhāṣyānurodhāt viśeṣaniṣṭhaṃ vyācaṣṭe---saṃbhavata iti /	BAzya-anuroDAt viSeza-nizWam vyAcazwe----saMBavataH iti /
   tatrādyamudāharaṇaṃ sphuṭameva /	tatra-Adyam-udAharaNam sPuwam-eva /
   dvitīyaṃ tu, anityaḥ śabdaḥ kṛtakatvādityukte dhaṭo 'pyanityaḥ tarhi	dvitIyam tu, anityaH SabdaH kRtaka-tvAt-iti-ukte DawaH api-anityaH tarhi
   kṛtakatvāt śabdaḥ syāt /	kRtaka-tvAt SabdaH syAt /
   tṛtīyaṃ tu, śataṃ dvijātayo bhojitā ityukte śatasaṃkhyāvacchinnā api	tRtIyam tu, Satam dvijAtayaH BojitAH iti-ukte Sata-saMKyA-avacCinnAH api
   bhojitāḥ sanakādayo na dvijātaya iti /	BojitAH sanaka-AdayaH na dvijAtayaH iti /
   caturthaṃ tu, brāhmaṇājjāto 'yaṃ brāhmaṇatvādityukte saṃbhāvanāviṣayo	caturTam tu, brAhmaNAt-jAtaH ayam brAhmaNa-tvAt-iti-ukte saMBAvanA-vizayaH-
   'yamabhihito na heturiti /	ayam-aBihitaH na hetuH-iti /
   pañcamaṃ tu, anityaṃ kāryamanityatvādityukte sādhyāviśiṣṭo heturiti /	paQcamam tu, anityam kAryam-anitya-tvAt-iti-ukte sADya-aviSizwaH hetuH-iti /
   ṣaṣṭhaṃ tu, dvijaśataṃ bhojitamityukte dvijā bhojitāḥ, na tu tadmatā	zazWam tu, dvija-Satam Bojitam-iti-ukte dvijAH BojitAH, na tu tad-matA
   śatasaṃkhyeti /	Sata-saMKyA-iti /
   evaṃ pratyuttaradaśāyāmapyetat ṣaḍvidhameveti // 1.3 //	evam pratyuttara-daSAyAm-api-etat zaxviDam-eva-iti // 1.3 //
   dharmavikalpanirdeśer'thasadbhāvapratiṣedha upacāracchalam // 1.4 //	Darma-vikalpa-nirdeSer-aTasadBAva-pratizeDaH upacAracCalam // 1.4 //
   // pariśuddhiḥ //	// pariSudDiH //
   upacāravṛttivyatyayo yatra tadupacāracchalamiti lakṣaṇārthaḥ /	upacAra-vRtti-vyatyayaH yatra tat-upacAra=-Calam-iti lakzaNa-arTaH /
   etadapyuttare najavidham /	etat-api-uttare najaviDam /
   tad yathā, ayaṃ māṇavakaḥ siṃhaḥ, ayaṃ siṃho rājñaḥ, ayaṃ puruṣasiṃho	tat yaTA, ayam mANavakaH siMhaH, ayam siMhaH rAjQaH, ayam puruza-siMhaH-
   rājaśārdūlasyeti pratijñāmāritya trayam /	rAja-SArdUlasya-iti pratijQAm-Aritya trayam /
   varṣāṣu nausaṃcāryeyaṃ bhūmirgaṅgātvāt, ghoṣāṇāṃ sukhavasatihetavaste deśā	varzAzu nOsaMcAryA-iyam BUmiH-gaFgA-tvAt, GozANAm suKa-vasati-hetavaH-te deSA
   gaṅgātvāt, sa pradeśo dhanakāśādivano gaṅgātvāditi hetumāśrityatrayam /	gaFgA-tvAt, sa pradeSaH Dana-kASa-Adi-vanaH gaFgA-tvAt-iti hetum-ASritya-trayam /
   ye dhvanihetavaste krośanti yathā mañcāḥ, ye krośanti te dhvanihetavo	ye Dvani-hetavaH-te kroSanti yaTA maQcAH, ye kroSanti te Dvani-hetavaH-
   yathā mañcāḥ, ye krośanaprayojanavantaste krośanti yathā mañcāḥ, iti	yaTA maQcAH, ye kroSana-prayojanavantaH-te kroSanti yaTA maQcAH, iti
   dṛṣṭāntamāśritya trayam /	dRzwAntam-ASritya trayam /
   pratyuttare tu pratisādhane tāvadeva /	pratyuttare tu pratisADane tAvat-eva /
   anyatra tu yāvaddoṣabhedam /	anyatra tu yAvat-doza-Bedam /
   tadyathā, aśarīratvāditi heturayamāśrayāsiddha ityukte naivam,	tat-yaTA, aSarIra-tvAt-iti hetuH-ayam-ASraya-asidDaH iti-ukte na-evam,
   hetvāśrayasyākāśasya siddhatvāt /	hetu-ASrayasya-AkASasya sidDa-tvAt /
