   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   bhāṣaṇam/ tad^vākyasya ca^uttareṇa yojanam/ bhaktimāṃś cet/	BAzaNam/ tat-^vAkyasya ca^uttareNa yojanam/ BaktimAn ced-/
   6.2.29/.kathāsv anuvṛttir anyatra sapatnyāḥ/	6.2.29/.kaTAsu anuvRttiH anyatra sapatnyAH/
   6.2.30/.niḥśvāse jṛmbhite skhalite patite vā tasya ca^ārtim āśaṃsīta/	6.2.30/.-niHSvAse jRmBite sKalite patite vA tasya ca^Artim ASaMsIta/
   6.2.31/.kṣuta^vyāhṛta^vismiteṣu jīva^ity udāharaṇam/	6.2.31/.kzuta^vyAhRta^vismitezu jIvaH-^iti udAharaNam/
   6.2.32/.daurmanasye vyādhi^daurhṛda^apadeśaḥ/	6.2.32/.dOrmanasye vyADi^dOrhRda^apadeSaH/
   6.2.33/.guṇataḥ parasya^ākīrtanam/	6.2.33/.guNataH parasya^AkIrtanam/
   6.2.34/.na nindā samāna^doṣasya/	6.2.34/.na nindA samAnaH-^dozasya/
   6.2.35/.dattasya dhāraṇam/	6.2.35/.dat-tasya DAraNam/
   6.2.36/.vṛthā^aparādhe tad^vyasane vā^alaṃkārasya^agrahaṇam abhojanaṃ ca/	6.2.36/.vRTAH-^aparADe tat-^vyasane vE-^alaMkArasya^agrahaNam aBojanam ca/
   6.2.37/.tad^yuktāś ca vilāpāḥ/	6.2.37/.tat-^yuktAH ca vilApAH/
   6.2.38/.tena saha deśa^mokṣaṃ rocayed rājani niṣkrayaṃ ca/(p.317)	6.2.38/.tena saha deSa^mokzam rocayet rAjani nizkrayam ca/(p.317)
   6.2.39/.sāmarthyam āyuṣas tad^avāptau/	6.2.39/.-sAmarTyam AyuzaH tat-^avAptO/
   6.2.40/.tasya^artha^adhigame +abhipreta^siddhau śarīra^upacaye vā	6.2.40/.tasya^arTa^aDigame +aBipreta^sidDO SarIra^upacaye vA
   pūrva^saṃbhāṣita iṣṭa^devatā^upahāraḥ/	pUrva^saMBAzitaH izwa^devatAH-^upahAraH/
   6.2.41/.nityam alaṃkāra^yogaḥ/ parimito +abhyavahāraḥ/	6.2.41/.nityam alaMkAra^yogaH/ parimitaH +aByavahAraH/
   6.2.42/.gīte ca nāma^gotrayor grahaṇam/ glānyām urasi lalāṭe ca karaṃ	6.2.42/.gIte ca nAma^gotrayoH grahaNam/ glAnyAm urasi lalAwe ca karam
   kurvīta/ tat^sukham upalabhya nidrā^lābhaḥ/	kurvIta/ tat-^suKam upalaBya nidrA^lABaH/
   6.2.43/.utsaṅge ca^asya^upaveśanaṃ svapanaṃ ca/ gamanaṃ viyoge/	6.2.43/.utsaFge ca^asya^upaveSanam svapanam ca/ gamanam viyoge/
   6.2.44/.tasmāt putra^arthinī syāt/ āyuṣo na^ādhikyam icchet//(p.318)	6.2.44/.tasmAt putra^arTinI syAt/ AyuzaH na^ADikyam icCet//(p.318)
   6.2.45/.etasya^avijñātam arthaṃ rahasi na brūyāt/	6.2.45/.etasya^avijQAtam arTam rahasi na brUyAt-/
   6.2.46/.vratam upavāsaṃ ca^asya nirvartayet mayi doṣa iti/ aśakye svayam	6.2.46/.vratam upavAsam ca^asya nirvartayet mayi dozaH iti/ aSakye svayam
   api tad^rūpā syāt/	api tat-^rUpA syAt-/
   6.2.47/.vivāde tena^apy aśakyam ity artha^nirdeśaḥ/	6.2.47/.vivAde tena^api aSakyam iti arTa^nirdeSaH/
   6.2.48/.tadīyam ātmīyaṃ vā svayam aviśeṣeṇa paśyet/	6.2.48/.tadIyam AtmIyam vA svayam aviSezeNa paSyet-/
   6.2.49/.tena vinā goṣṭhy^ādīnām agamanam iti/	6.2.49/.tena vinA gozWI-^AdInAm agamanam iti/
   6.2.50/.nirmālya^dhāraṇe ślāghā ucchiṣṭa^bhojane ca/	6.2.50/.nirmAlya^DAraNe SlAGA ucCizwa^Bojane ca/
   6.2.51/.kula^śīla^śilpa^jāti^vidyā^varṇa^vitta^deśa(p.319)mitra^guṇa^vayo^mādh	6.2.51/.kula^SIla^Silpa^jAti^vidyA^varNa^vitta^deSa(p.319)mitra^guNa^vayaH-^mA-aD
   urya^pūjā/	urya^pUjA/
   6.2.52/.gīta^ādiṣu codanam abhijñasya/	6.2.52/.gItaH-^Adizu codanam aBijQasya/
   6.2.53/.bhaya^śīta^uṣṇa^varṣāṇy anapekṣya tad^abhigamanam/	6.2.53/.Baya^SIta^uzNa^varzANi anapekzya tat-^aBigamanam/
   6.2.54/.sa eva ca me syād ity aurdhva^dehikeṣu vacanam/	6.2.54/.saH eva ca me syAt iti OrDva^dehikezu vacanam/
   6.2.55/.tad^iṣṭa^rasa^bhāva^śīlā^anuvartanam/	6.2.55/.tat-^izwa^rasa^BAva^SIlAH-^anuvartanam/
   6.2.56/.mūla^karma^abhiśaṅkā/	6.2.56/.mUla^karma^aBiSaFkA/
   6.2.57/.tad^abhigamane ca jananyā saha nityo vivādaḥ/	6.2.57/.tat-^aBigamane ca jananyA saha nityaH vivAdaH/
   6.2.58/.balāt kāreṇa ca yady anyatra tayā nīyeta tadā viṣama^naśanaṃ	6.2.58/.balAt kAreNa ca yadi anyatra tayA nIyeta tadA vizama^naSanam
   śastraṃ rajjum iti kāmayeta/	Sastram rajjum iti kAmayeta/
   6.2.59/.pratyāyanaṃ ca praṇidhibhir nāyakasya/ svayaṃ vā^ātmano	6.2.59/.pratyAyanam ca praNiDiBiH nAyakasya/ svayam vA^AtmanaH-
   vṛtti^grahaṇam/	vRtti^grahaNam/
   6.2.60/.na tv eva^artheṣu vivādaḥ/	6.2.60/.na tu eva^arTezu vivAdaH/
   6.2.61/.mātrā vinā kiṃ cin na ceṣṭeta//(p.320)	6.2.61/.-mAtrA vinA kim cit na cezweta//(p.320)
   6.2.62/.pravāse śīghrā^āgamanāya śāpadānam/	6.2.62/.-pravAse SIGrAH-^AgamanAya SApa-dAnam/
   6.2.63/.proṣite mṛjā^niyamaś ca^alaṃkārasya pratiṣedhaḥ/ maṅgalaṃ tv	6.2.63/.-prozite mRjA^niyamaH ca^alaMkArasya pratizeDaH/ maFgalam tu-
   apekṣyam/ ekaṃ śaṅkha^valayaṃ vā dhārayet/	apekzyam/ ekam SaFKa^valayam vA DArayet-/
   6.2.64/.smaraṇam atītānām/ gamanam īkṣaṇika^upaśrutīnām/	6.2.64/.smaraNam atIta-anAm/ gamanam IkzaNika^upaSrutInAm-/
   nakṣatra^candra^sūrya^tārābhyaḥ spṛhaṇam/	nakzatra^candra^sUrya^tArAByaH spRhaNam/
   6.2.65/.iṣṭa^svapna^darśane tat^saṃgamo mama^astv iti vacanam/	6.2.65/.izwa^svapna^darSane tat-^saMgamaH mama^astu iti vacanam/
   6.2.66/.udvego +aniṣṭe śānti^karma ca/	6.2.66/.udvegaH +anizwe SAnti^karma ca/
   6.2.67/.pratyāgate kāma^pūjā/	6.2.67/.-pratyAgate kAma^pUjA/
   6.2.68/.devatā^upahārāṇāṃ karaṇam/	6.2.68/.devatA^upahArANAm karaNam/
   6.2.69/.sakhībhiḥ pūrṇa^pātrasya^āharaṇam/	6.2.69/.-saKIBiH pUrNa^pAtrasya^AharaNam/
   6.2.70/.vāyasapūjā ca/	6.2.70/.vAyasa-pUjA ca/
   6.2.71/.prathama^samāgama^anantaraṃ ca^etad eva vāyasa^pūjā^varjam/	6.2.71/.praTama^samAgama^anantaram ca^etat eva vAyasa^pUjA^varjam/
   6.2.72/.saktasya ca^anumaraṇaṃ brūyāt//(p.321)	6.2.72/.saktasya ca^anumaraNam brUyAt//(p.321)
   6.2.73/.nisṛṣṭa^bhāvaḥ samāna^vṛttiḥ prayojana^kārī nirāśaṅko nirapekṣo	6.2.73/.nisRzwa^BAvaH samAna^vRttiH prayojana^kArI nirASaFkaH nirapekzaH-
   +artheṣv iti sakta^lakṣaṇāni//(p.322)	+arTezu iti sakta^lakzaNa-ani//(p.322)
   6.2.74/.tad etan nirdarśana^arthaṃ dattaka^śāsanād uktam/ anuktaṃ ca	6.2.74/.tat etat nirdarSana^arTam dattaka^SAsanAt uktam/ anuktam ca
   lokataḥ śīlayet puruṣa^prakṛtitaś ca//(p.322) bhavataś ca^atra ślokau	lokataH SIlayet puruza^prakRtitaH ca//(p.322) BavataH ca^atra SlokO
   ---(p.323)	---(p.323)
   6.2.75ab/.sūkṣmatvād atilobhāc ca prakṛtyā^jñānatas tathā/(p.323)	6.2.75ab/.-sUkzma-tvAt ati-loBAt ca prakRtyA^jQAnataH taTA-a/(p.323)
   6.2.75cd/.kāma^lakṣma tu durjñānaṃ strīṇāṃ tad^bhāvitair api//(p.323)	6.2.75cd/.-kAma^lakzma tu durjQAnam strINAm tat-^BAvitEH api//(p.323)
   6.2.76ab/.kāmayante virajyante rañjayanti tyajanti ca/(p.323)	6.2.76ab/.kAmayante virajyante raQjayanti tyajanti ca/(p.323)
   6.2.76cd/.karṣayantyo +api sarva^arthāñ jñāyante na^eva yoṣitaḥ//(p.323)	6.2.76cd/.karzayantyaH +api sarve-^arTAn jQAyante na^eva yozitaH//(p.323)
   6.3. arthāgamopāyā viraktaliṅgāni viraktapratipattir niṣkāsanakramās	6.3. arTa-Agama-upAyAH virakta-liFgAni virakta-pratipattiH nizkAsana-krama-as
   6.3.1/.sakta^ādi^vitta^ādānaṃ svābhāvikam upāyataś ca/	6.3.1/.saktaH-^Adi^vitte-^AdAnam svABAvikam upAyatas ca/
   6.3.2/.tatra svābhāvikaṃ saṃkalpāt samadhikaṃ vā labhamānā na^upāyān	6.3.2/.tatra svABAvikam saMkalpAt samaDikam vA laBamAnAH na^upAyAn
   prayuñjīta^ity ācāryāḥ/	prayuQjIta^iti AcAryAH/
   6.3.3/.viditam apy upāyaiḥ pariṣkṛtaṃ dviguṇaṃ dāsyati^iti	6.3.3/.viditam api upAyEH parizkRtam dviguNam dAsyati^iti
   vātsyāyanaḥ//(p.324)	vAtsyAyanaH//(p.324)
   6.3.4/.alaṃkāra^bhakṣya^bhojya^peya^mālya^vastra^gandha^dravya^ādīnāṃ	6.3.4/.alaMkAra^Bakzya^Bojya^peya^mAlya^vastra^ganDa^dravyaH-^AdInAm
   vyavahāriṣu kālikam uddhāra^artham artha^pratinayanena/	vyavahArizu kAlikam udDAra^arTam arTa^pratinayanena/
   6.3.5/.tat^samakṣaṃ tad^vitta^praśaṃsā/	6.3.5/.tat^samakzam tat-^vitta^praSaMsA/
   6.3.6/.vrata^vṛkṣārāma^devakula^taḍāga^udyāna^utsava^prīti^dāya^vyapadeśaḥ/	6.3.6/.vrata^vRkza-ArAma^devakula^taxAgaH-^udyAnaH-^utsava^prIti^dAya^vyapadeSaH/
   6.3.7/.tad^abhigamana^nimitto rakṣibhiś caurair vā^alaṃkāra^parimoṣaḥ/	6.3.7/.tat-^aBigamana^nimittaH rakziBiH cOrEH vE-^alaMkAra^parimozaH/
   6.3.8/.dāhāt kuḍya^cchedāt pramādād bhavane ca^artha^nāśaḥ/	6.3.8/.da-ahAt kuxya^cCedAt pramAdAt Bavane ca^arTa^nASaH/
   6.3.9/.tathā yācita^alaṃkārāṇāṃ nāyaka^alaṃkārāṇāṃ ca	6.3.9/.taTA yAcita^alaMkArANAm nAyaka^alaMkArANAm ca
   tad^abhigamana^arthasya vyayasya praṇidhibhir nivedanam/	tat-^aBigamana^arTasya vyayasya praNiDiBiH nivedanam/
   6.3.10/.tad^artham ṛṇa^grahaṇam/ jananyā saha tad^udbhavasya vyayasya	6.3.10/.tat-^arTam RNa^grahaNam/ jananyA saha tat-^udBavasya vyayasya
   vivādaḥ/	vivAdaH/
   6.3.11/.suhṛt^kāryeṣv anabhigamanam anabhihāra^hetoḥ/	6.3.11/.-suhRd-^kAryezu anaBigamanam anaBihAra^hetoH/
   6.3.12/.taiś ca pūrvam āhṛtā guravo +abhihārāḥ pūrvam (p.324)upanītāḥ	6.3.12/.tEH ca pUrvam AhRtAH guravaH +aBihArAH pUrvam (p.324)upanItAH
   pūrvaṃ śrāvitāḥ syuḥ/	pUrvam SrAvitAH syuH/
   6.3.13/.ucitānāṃ kriyāṇāṃ vicchittiḥ/	6.3.13/.ucitAnAm kriyANAm vicCittiH/
   6.3.14/.nāyaka^arthaṃ ca śilpiṣu kāryam/	6.3.14/.nAyaka^arTam ca Silpizu kAryam/
   6.3.15/.vaidya^mahāmātrayor upakāri^kriyā kārya^hetoḥ/	6.3.15/.vEdya^mahAmAtrayoH upakAri^kriyA kArya^hetoH/
   6.3.16/.mitrāṇāṃ ca^upakāriṇāṃ vyasaneṣv abhyupapattiḥ/	6.3.16/.mitrANAm ca^upakAriNAm vyasanezu aByupapattiH/
   6.3.17/.gṛha^karma/ sakhyāḥ putrasya^utsañjanam dohado vyādhir mitrasya	6.3.17/.gRha^karma/ saKyAH putrasya^utsaQjanam dohadaH vyADiH mitrasya
   duḥkha^apanayanam iti/	duHKa^apanayanam iti/
   6.3.18/.alaṃkāra^ekadeśa^vikrayo nāyakasya^arthe/	6.3.18/.alaMkAraH-^eka-deSa^vikrayaH nAyakasya^arTe/
   6.3.19/.tayā śīlitasya ca^alaṃkārasya bhāṇḍa^upaskarasya vā vaṇijo	6.3.19/.tayA SIlitasya ca^alaMkArasya BANxaH-^upaskarasya vA vaNijaH-
   vikraya^arthaṃ darśanam/	vikraya^arTam darSanam/
   6.3.20/.pratigaṇikānāṃ ca sadṛśasya bhāṇḍasya vyatikare prativiśiṣṭasya	6.3.20/.pratigaNikAnAm ca sadRSasya BANxasya vyatikare prativiSizwasya
   grahaṇam/	grahaNam/
   6.3.21/.pūrva^upakārāṇām avismaraṇam anukīrtanaṃ ca/	6.3.21/.pUrva^upakArANAm avismaraNam anukIrtanam ca/
   6.3.22/.praṇidhibhiḥ pratigaṇikānāṃ lābha^atiśayaṃ śrāvayet/	6.3.22/.-praNiDiBiH pratigaNikAnAm lABa^atiSayam SrAvayet-/
   6.3.23/.tāsu nāyaka^samakṣam ātmano +abhyadhikaṃ lābhaṃ bhūtam abhūtaṃ vā	6.3.23/.tAsu nAyaka^samakzam AtmanaH +aByaDikam lABam BUtam aBUtam vA
   vrīḍitā nāma varṇayet/	vrIxitAH nAma varNayet/
   6.3.24/.pūrva^yogināṃ ca lābha^atiśayena punaḥ saṃdhāne yatamānānām	6.3.24/.pUrva^yoginAm ca lABa^atiSayena punar saMDAne yatamAnAnAm
   aviṣkṛtaḥ pratiṣedhaḥ/	avizkRtaH pratizeDaH/
   6.3.25/.tat^spardhināṃ tyāga^yogināṃ nidarśanam/	6.3.25/.tat^sparDinAm tyAga^yoginAm nidarSanam/
   6.3.26/.na punar eṣyati^iti bāla^yācitakam ity artha^āgama^upāyāḥ//(p.325)	6.3.26/.na punar ezyati^iti bAla^yAcitakam iti arTaH-^AgamaH-^upAyAH-//(p.325)
   6.3.27/.viraktaṃ ca nityam eva prakṛti^vikriyāto vidyāt mukha^varṇāc	6.3.27/.viraktam ca nityam eva prakRti^vikriyAtaH vidyAt muKa^varNAt-
   ca//(p.328)	ca//(p.328)
   6.3.28/.ūnam atiriktaṃ vā dadāti/	6.3.28/.Unam atiriktam vA dadAti/
   6.3.29/.pratilomaiḥ saṃbadhyate/	6.3.29/.pratilomEH saMbaDyate/
   6.3.30/.vyapadiśya^anyat karoti/	6.3.30/.vyapadiSya^anyat karoti/
   6.3.31/.ucitam ācchinatti/	6.3.31/.ucitam AcCinatti/
   6.3.32/.pratijñātam vismarati/ anyathā vā yojayati/	6.3.32/.pratijQAtam vismarati/ anyaTA vA yojayati/
   6.3.33/.svapakṣaiḥ saṃjñayā bhāṣate/	6.3.33/.sva-pakzEH saMjQayA BAzate/
   6.3.34/.mitra^kāryam apadiśya^anyatra śete/	6.3.34/.mitra^kAryam apadiSya^anyatra Sete/
   6.3.35/.pūrva^saṃsṛṣṭāyāś ca parijanena mithaḥ kathayati//(p.328)	6.3.35/.pUrva^saMsRzwAyAH ca parijanena miTas kaTayati//(p.328)
   6.3.36/.tasya sāra^dravyāṇi prāg avabodhād anya^apadeśena haste kurvīta/	6.3.36/.tasya sAra^dravyANi prAk avaboDAt anyaH-^apadeSena haste kurvIta/
   6.3.37/.tāni ca^asyā hastād uttama^rṇaḥ prasahya gṛhṇīyāt/	6.3.37/.tAni ca^asyAH hastAt uttama^rNaH prasahya gRhNIyAt-/
   6.3.38/.vivada^mānena saha dharmastheṣu vyavahared iti	6.3.38/.vivada^mAnena saha Darma-sTezu vyavaharet iti
   virakta^pratipattiḥ//(p.329)	virakta^pratipattiH//(p.329)
   6.3.39/.saktaṃ tu pūrva^upakāriṇam apy alpa^phalaṃ vyalīkena^anupālayet/	6.3.39/.saktam tu pUrva^upakAriNam api alpa^Palam vyalIkena^anupAlayet-/
   6.3.40/.asāraṃ tu niṣpratipattikam upāyayo +apavāhayet/ anyam	6.3.40/.asAram tu nizpratipattikam upAyayaH +apavAhayet/ anyam
   avaṣṭabhya//(p.329)	avazwaBya-//(p.329)
   6.3.41/.tad^aniṣṭha^sevā/ nindita^abhyāsaḥ/ oṣṭha^nirbhogaḥ/ pādena bhūmer	6.3.41/.tat-^anizWa^sevA/ nindita^aByAsaH/ ozWa^nirBogaH/ pAdena BUmeH-
   abhighātaḥ/ avijñāta^viṣayasya saṃkathā/ tad^vijñāteṣv avismayaḥ *kutsā	aBiGAtaH/ avijQAta^vizayasya saMkaTA/ tat-^vijQAtezu avismayaH *kutsA
   ca/ darpa^vighātaḥ/ adhikaiḥ saha saṃvāsaḥ/ *anapekṣaṇam/[ch:omits]	ca/ darpa^viGAtaH/ aDikEH saha saMvAsaH/ *anapekzaNam-/[S:omits]
   samāna^doṣāṇāṃ nindā/ rahasi ca^avasthānam//(p.330)	samAna^dozANAm nindA/ rahasi ca^avasTAnam-//(p.330)
   6.3.42/.rata^upacāreṣu^udvegaḥ/ mukhasya^ādānam/ jaghanasya rakṣaṇam/	6.3.42/.rata^upacArezu^udvegaH/ muKasya^AdAnam/ jaGanasya rakzaNam/
   nakha^daśana^kṣatebhyo jugupsā/ parisvaṅge bhujamayyā sūcyā vyavadhānam/	naKa^daSana^kzateByaH jugupsA/ parisvaFge Buja-mayyA sUcyA vyavaDAnam/
   stabdhatā gātrāṇām/ sakthnor vyatyāsaḥ/ nidrā^aparatvaṃ ca/ śrāntam	stabDa-tA gAtrANAm/ sakTnoH vyatyAsaH/ nidrA^apara-tvam ca/ SrAntam
   (p.330)upalabhya codanā/ aśaktau hāsaḥ/ śaktāv anabhinandanam/ divā^api/	(p.330)-upalaBya codanA/ aSaktO hAsaH/ SaktO anaBinandanam/ divA^api/
   bhāvam upalabhya mahājana^abhigamanam//(p.331)	BAvam upalaBya mahAjana^aBigamanam-//(p.331)
   6.3.43/.vākyeṣu cchala^grahaṇam/ anarmaṇi hāsaḥ/ narmaṇi ca^anyam apadiśya	6.3.43/.-vAkyezu cCala^grahaNam/ anarmaNi hAsaH/ narmaNi ca^anyam apadiSya
   hasati vadati tasmin kaṭākṣeṇa parijanasya prekṣaṇaṃ tāḍanaṃ ca/ āhatya	hasati vadati tasmin kawAkzeNa parijanasya prekzaNam tAxanam ca/ Ahatya
   ca^asya kathām anyāḥ kathāḥ/ tad^vyalīkānāṃ vyasanānāṃ ca^aparihāryāṇām	ca^asya kaTAm anyAH kaTAH/ tat-^vyalIkAnAm vyasanAnAm ca^aparihAryANAm
   anukīrtanam/ marmaṇāṃ ca ceṭikayā^upakṣepaṇam/	anukIrtanam/ marmaNAm ca cewikayA^upakzepaNam/
   6.3.44/.āgate ca^adarśanam/ ayācya^yācanam/ ante svayaṃ mokṣaś ca^iti	6.3.44/.Agate ca^adarSanam/ ayAcya^yAcanam/ ante svayam mokzaH ca^iti
   parigrahakasya^iti dattakasya//(p.331) bhavataś ca^atra ślokau ---(p.332)	parigrahakasya^iti dattakasya//(p.331) BavataH ca^atra SlokO ---(p.332)
   6.3.45ab/.parīkṣya gamyaiḥ saṃyogaḥ saṃyuktasya^anurañjanam/(p.332)	6.3.45ab/.parIkzya gamyEH saMyogaH saMyuktasya^anuraQjanam-/(p.332)
   6.3.45cd/.raktād arthasya ca^ādānam ante mokṣaś ca vaiśikam//(p.332)	6.3.45cd/.-raktAt arTasya ca^AdAnam ante mokzaH ca vESikam-//(p.332)
   6.3.46ab/.evam etena kalpena sthitā veśyā parigrahe/(p.332)	6.3.46ab/.evam etena kalpena sTitA veSyA parigrahe/(p.332)
   6.3.46cd/.na^atisaṃdhīyate gamyaiḥ karoty arthāṃś ca puṣkalān//(p.332)	6.3.46cd/.na^atisaMDIyate gamyEH karoti arTAn ca puzkalAn-//(p.332)
   6.4. viśīrṇapratisaṃdhānaṃ	6.4. viSIrNa-pratisaMDAnam
   6.4.1/.vartamānaṃ niṣpīḍita^artham utsṛjantī pūrva^saṃsṛṣṭena saha	6.4.1/.vartamAnam nizpIxita^arTam utsRjantI pUrva^saMsRzwena saha
   saṃdadhyāt//(p.333)	saMdaDyAt//(p.333)
   6.4.2/.sa ced avasita^artho vittavān sānu^rāgaś ca tataḥ	6.4.2/.sa ced avasita^arTaH vittavAn sa-anu^rAgaH ca tatas-
   saṃdheyaḥ//(p.333)	saMDeyaH//(p.333)
   6.4.3/.anyatra gatas tarkayitavyaḥ/ sa kārya^yuktyā ṣaḍvidhaḥ//(p.333)	6.4.3/.anyatra gataH tarkayitavyaH/ sa kArya^yuktyA zaxviDaH//(p.333)
   6.4.4/.itaḥ svayam apasṛtas tato +api svayam eva^apasṛtaḥ/	6.4.4/.itaH svayam apasRtaH tatas +api svayam eva^apasRtaH/
   6.4.5/.itas tataś ca niṣkāsita^apasṛtaḥ/	6.4.5/.itaH tatas ca nizkAsitaH-^apasRtaH/
   6.4.6/.itaḥ svayam apasṛtas tato niṣkāsita^apasṛtaḥ/	6.4.6/.itaH svayam apasRtaH tatas nizkAsita^apasRtaH/
   6.4.7/.itaḥ svayam apasṛtas tatra sthitaḥ/	6.4.7/.itaH svayam apasRtaH tatra sTitaH/
   6.4.8/.ito niṣkāsita^apasṛtas tataḥ svayam apasṛtaḥ/	6.4.8/.itaH nizkAsitaH-^apasRtaH tatas svayam apasRtaH/
   6.4.9/.ito niṣkāsita^apasṛtas tatra sthitaḥ//(p.334)	6.4.9/.itaH nizkAsitaH-^apasRtaH tatra sTitaH//(p.334)
   6.4.10/.itas tataś ca svayam eva^apasṛtya^upajapati ced ubhayor guṇān	6.4.10/.itaH tatas ca svayam eva^apasRtya^upajapati ced uBayoH guNAn
   apekṣī cala^buddhir asaṃdheyaḥ//(p.334)	apekzI cala^budDiH asaMDeyaH//(p.334)
   6.4.11/.itas tataś ca niṣkāsita^apasṛtaḥ sthira^buddhiḥ/ sa ced anyato	6.4.11/.itaH tatas ca nizkAsitaH-^apasRtaH sTira^budDiH/ sa ced anyatas-
   bahu^labhamānayā niṣkāsitaḥ syāt sasāro +api tayā roṣito mama^amarṣād bahu	bahu^laBamAnayA nizkAsitaH syAt sa-sAraH +api tayA rozitaH mama^amarzAt bahu
   dāsyati^iti saṃdheyaḥ//(p.335)	dAsyati^iti saMDeyaH//(p.335)
   6.4.12/.niḥsāratayā kadaryatayā vā tyakto na śreyān//(p.335)	6.4.12/.niHsAra-tayA kadarya-tayA vA tyaktaH na SreyAn-//(p.335)
   6.4.13/.itaḥ svayam apasṛtas tato niṣkāsita^apasṛto yady atiriktam ādau ca	6.4.13/.itaH svayam apasRtaH tatas nizkAsita^apasRtaH yadi atiriktam AdO ca
   dadyāt tataḥ pratigrāhyaḥ//(p.335)	dadyAt tatas pratigrAhyaH//(p.335)
   6.4.14/.itaḥ svayam apasṛtya tatra sthita upajapaṃs tarkayitavyaḥ//(p.335)	6.4.14/.itaH svayam apasRtya tatra sTitaH upajapan tarkayitavyaH//(p.335)
   6.4.15/.viśeṣa^arthī ca^āgatas tato viśeṣam apaśyann āgantukāmo [mayi] māṃ	6.4.15/.viSeza^arTI ca^AgataH tatas viSezam apaSyan Agantu-kAmaH [mayi] mAm
   jijñāsitukāmaḥ sa āgatya sa^anurāgatvād dāsyati/ tasyāṃ vā doṣān dṛṣṭvā	jijQAsitu-kAmaH saH Agatya sa^anurAga-tvAt dAsyati/ tasyAm vA dozAn dRzwvA
   mayi bhūyiṣṭhān guṇān adhunā paśyati sa guṇa^darśī bhūyiṣṭhaṃ	mayi BUyizWAn guNAn aDunA paSyati sa guNa^darSI BUyizWam
   dāsyati//(p.335)	dAsyati//(p.335)
   6.4.16/.bālo vā na^ekatra^dṛṣṭir atisaṃdhāna^pradhāno vā haridrā^rāgo vā	6.4.16/.bAlaH vA na^ekatra^dRzwiH ati-saMDAna^praDAnaH vA haridrA^rAgaH vA
   yat kiṃcana^kārī vā ity avetya saṃdadhyān na vā//(p.336)	yat kiMcana^kArI vA iti avetya saMdaDyAt na vA//(p.336)
   6.4.17/.ito niṣkāsita^apasṛtas tataḥ svayam apasṛta upajapaṃs	6.4.17/.itaH nizkAsitaH-^apasRtaH tatas svayam apasRtaH upajapan=-
   tarkayitavyaḥ/	tarkayitavyaH/
   6.4.18/.anurāgād āgantukāmaḥ sa bahu dāsyati/ mama gunair bhāvito yo	6.4.18/.anurAgAt Agantu-kAmaH sa bahu dAsyati/ mama gunEH BAvitaH yaH-
   +anyasyāṃ na ramate//(p.336)	+anyasyAm na ramate//(p.336)
   6.4.19/.pūrvam ayogena vā mayā niṣkāsitaḥ sa māṃ śīlayitvā vairaṃ	6.4.19/.pUrvam ayogena vA mayA nizkAsitaH sa mAm SIlayitvA vEram
   niryātayitukāmo dhanam abhiyogād vā mayā^asya^apahṛtaṃ tad^viśvāsya	niryAtayitu-kAmaH Danam aBiyogAt vA mayA^asya^apahRtam tat-^viSvAsya
   pratīpam ādātukāmo nirveṣṭukāmo vā māṃ vartamāna^udbhedayitvā tyaktukāma	pratIpam AdAtu-kAmaH nirvezwu-kAmaH vA mAm vartamAnaH-^udBedayitvA tyaktu-kAma
   ity akalyāṇa^buddhir asaṃdheyaḥ//(p.336)	iti akalyANa^budDiH asaMDeyaH//(p.336)
   6.4.20/.anyathā^buddhiḥ kālena lambhayitavyaḥ//(p.337)	6.4.20/.anyaTA^budDiH kAlena lamBayitavyaH//(p.337)
   6.4.21/.ito niṣkāsitas tatra sthita upajapann etena vyākhyātaḥ//(p.337)	6.4.21/.itaH nizkAsitaH tatra sTitaH upajapan etena vyAKyAtaH//(p.337)
   6.4.22/.teṣu upajapatsv anyatra sthitaḥ svayam upajapet//(p.337)	6.4.22/.tezu upajapatsu anyatra sTitaH svayam upajapet//(p.337)
   6.4.23/.vyalīka^arthaṃ niṣkāsito mayāsāvan yatra gato yatnād ānetavyaḥ/	6.4.23/.vyalIka^arTam nizkAsitaH mayA-asAvan yatra gataH yatnAt AnetavyaH/
   6.4.24/.itaḥ pravṛtta^saṃbhāṣo vā tato bhedam avāpsyati/	6.4.24/.itaH pravRtta^saMBAzaH vA tatas Bedam avApsyati/
   6.4.25/.*vartamānasya *ced artha^vighātaṃ[ch:tad^artha^abhighātaṃ]	6.4.25/.*vartamAnasya *ced arTa^viGAtan=-C:tad-^arTa^aBiGAtaM]
   kariṣyati/	karizyati/
   6.4.26/.artha^āgama^kālo vā^asya/ sthāna^vṛddhir asya jātā/ labdham	6.4.26/.arTaH-^Agama^kAlaH vE-^asya/ sTAna^vRdDiH asya jAtA/ labDam
   anena^adhikaraṇam/ dārair viyuktaḥ/ pāra^tantryād vyāvṛttaḥ/ pitrā bhrātrā	anena^aDikaraNam/ dArEH viyuktaH/ pAra^tantryAt vyAvRttaH/ pitrA BrAtrA
   vā vibhaktaḥ/	vA viBaktaH/
