   akaṇṭakā vasumatī MvyK_8a	akaNwakA vasumatI MvyK_8a
   vyādhimṛtyujarābhayāt MvyG_52d	vyADi-mRtyu-jarA-BayAt Mu-yu-_52d
   vyādhimṛtyujarābhayāt MvyC_55d	vyADi-mRtyu-jarA-BayAt MvyS_55d
   vyādhimṛtyujarābhayāt MvyK_52d	vyADi-mRtyu-jarA-BayAt MvyK_52d
   śakraś ca tridaśādhipaḥ MvyG_84b	SakraH ca tridaSa-aDipaH Mu-yG_84b
   śakraś ca tridaśādhipaḥ MvyC_83b	SakraH ca tridaSa-aDipaH MvyS_83b
   śakraś ca tridaśādhipaḥ MvyK_80b	SakraH ca tridaSa-aDipaH MvyK_80b
   śaṅkho nāma mahāyaśāḥ MvyG_61b	SaFKaH nAma mahA-yaSAH Mu-yG_61b
   śaṅkho rājā mahāyaśāḥ MvyC_63b	SaFKaH rAjA mahA-yaSAH MvyS_63b
   śaṅkho vārāṇasīpure MvyC_25b	SaFKaH vArANasI-pure MvyS_25b
   śatapuṇyaphalārpitaḥ MvyK_26d	Sata-puNya-Pala-arpitaH MvyK_26d
   śatapuṇyabaloditaḥ MvyC_26d	Sata-puNya-bala-uditaH MvyS_26d
   śatalakṣasahasrāṇi MvyC_98a	Satalakza-sahasrANi MvyS_98a
   śatalakṣasahasrāṇi MvyK_96a	Satalakza-sahasrANi MvyK_96a
   śatāni ca sahasrāṇi MvyG_102a	SatAni ca sahasrANi Mu-yu-_102a
   śamkho nāma mahādyutiḥ MvyK_21b	SamKaH nAma mahA-dyutiH MvyK_21b
   śaṃkho nāma mahāyaśāḥ MvyK_60b	SaMKaH nAma mahA-yaSAH MvyK_60b
   śaṃkho vārāṇasīpure MvyK_25d	SaMKaH vArANasI-pure MvyK_25d
   śākyasiṃhasya śāsane MvyG_73b	SAkya-siMhasya SAsane Mu-yG_73b
   śākyasiṃhasya śāsane MvyK_71b	SAkya-siMhasya SAsane MvyK_71b
   śākhā ūrdhvaṃ samucchritāḥ MvyG_54d	SAKAH UrDvam samucCritAH Mu-yG_54d
   śāntānāṃ bhūrimedhasām MvyG_80d	SAntAnAm BUri-meDasAm Mu-yG_80d
   śāntānāṃ śāntacetasām MvyG_81d	SAntAnAm SAnta-cetasAm Mu-yG_81d
   śāstāraṃ paripṛcchati MvyK_1d	SAstAram paripRcCati MvyK_1d
   śāstā lokānukampayā MvyG_101d	SAstA loka-anukampayA Mu-yu-_101d
   śāstuḥ pūjāṃ kariṣyanti MvyG_97c	SAstuH pUjAm karizyanti Mu-yG_97c
   śāstuḥ pūjāṃ kariṣyanti MvyC_87e	SAstuH pUjAm karizyanti MvyS_87e
   śāstuḥ pūjāṃ kariṣyanti MvyC_93c	SAstuH pUjAm karizyanti MvyS_93c
   śāstuḥ pūjāṃ kariṣyanti MvyK_84e	SAstuH pUjAm karizyanti MvyK_84e
   śāstuḥ pūjāṃ kariṣyanti MvyK_91c	SAstuH pUjAm karizyanti MvyK_91c
   śikṣāpadāni cādāya MvyG_73a	SikzA-padAni ca-AdAya Mu-yu-_73a
   śikṣāpadāni samādāya MvyC_74a	SikzA-padAni samAdAya MvyS_74a
   śikṣāpadān samādāya MvyK_71a	SikzA-ApadAn samAdAya MvyK_71a
   śītoṣṇavāridhārābhis MvyC_39c	SIta-uzNa-vAri-DArABiH MvyS_39c
   śītoṣṇavāridhārābhiḥ MvyK_36c	SIta-uzNa-vAri-DArABiH MvyK_36c
   śītoṣṇavāridhārābhyāṃ MvyG_38c	SIta-uzNa-vAri-DArAByAm Mu-yG_38c
   śīlāni ca samādāya MvyG_75a	SIlAni ca samAdAya Mu-yu-_75a
   śuddhāvāsasahasraiś ca MvyG_94a	SudDAvAsa-sahasrEH ca Mu-yu-_94a
   śuddhāvāsasahasraiś ca MvyK_88a	SudDAvAsa-sahasrEH ca MvyK_88a
   śubhavarṇasamucchrayaḥ MvyG_46d	SuBa-varNa-samucCrayaH Mu-yG_46d
   śubhaiś ca tūryanirghoṣaiḥ MvyG_90c	SuBEH ca tUrya-nirGozEH Mu-yu-_90c
   śubhaiś ca tūryanirghoṣaiḥ MvyK_84c	SuBEH ca tUrya-nirGozEH MvyK_84c
   śoṣam āyāsyate yasmāc MvyK_5c	Sozam AyAsyate yasmAt MvyK_5c
   śrāvakāṇāṃ bhavacchidām MvyG_79d	SrAvakANAm Bava=-CidAm Mu-yu-_79d
   śrāvakāṇāṃ bhavacchidām MvyC_78d	SrAvakANAm Bava=-CidAm MvyS_78d
   śrāvakāṇāṃ bhaviṣyati MvyG_79b	SrAvakANAm Bavizyati Mu-yG_79b
   śrāvakāṇāṃ bhaviṣyati MvyG_80b	SrAvakANAm Bavizyati Mu-yG_80b
   śrāvakāṇāṃ bhaviṣyati MvyG_81b	SrAvakANAm Bavizyati Mu-yG_81b
   śrāvakāṇāṃ bhaviṣyati MvyC_78b	SrAvakANAm Bavizyati MvyS_78b
   śrāvakāṇāṃ bhaviṣyati MvyC_79b	SrAvakANAm Bavizyati MvyS_79b
   śrāvakāṇāṃ bhaviṣyati MvyC_80b	SrAvakANAm Bavizyati MvyS_80b
   śrāvakāṇāṃ bhaviṣyati MvyK_75b	SrAvakANAm Bavizyati MvyK_75b
   śrāvakāṇāṃ bhaviṣyati MvyK_75d	SrAvakANAm Bavizyati MvyK_75d
   śrāvakāṇāṃ bhaviṣyati MvyK_76b	SrAvakANAm Bavizyati MvyK_76b
   śrāvakāṇāṃ bhaviṣyati MvyK_77b	SrAvakANAm Bavizyati MvyK_77b
   śrāvakān vinayiṣyati MvyG_78b	SrAvakAn vinayizyati MvyG_78b
   śrāvakān vinayiṣyati MvyK_74b	SrAvakAn vinayizyati MvyK_74b
   śrāvakān vedayiṣyati MvyC_77b	SrAvakAn vedayizyati MvyS_77b
   śriyā jvalantaṃ maitreyaṃ MvyG_39c	SriyA jvalantam mEtreyam Mu-yu-_39c
   śriyā jvalantaṃ maitreyaṃ MvyC_36a	SriyA jvalantam mEtreyam MvyS_36a
   śriyā jvalantaṃ maitreyaṃ MvyC_41e	SriyA jvalantam mEtreyam MvyS_41e
   śriyā jvalantaṃ maitreyaṃ MvyK_38e	SriyA jvalantam mEtreyam MvyK_38e
   śrutaiś ca tūryanirghoṣaiḥ MvyC_87c	SrutEH ca tUrya-nirGozEH MvyS_87c
   śrutvā ca te tato dharmaṃ MvyG_77c	SrutvA ca te tatas Darmam Mu-yu-_77c
   śrutvā narapati rājā MvyG_61a	SrutvA narapati rAjA Mu-yu-_61a
   śrotum icchāmi nāyaka MvyK_3b	Srotum icCAmi nAyakaH MvyK_3b
   śvetaṃ cāsya surāś chattraṃ MvyG_38a	Svetam ca-asya surAH Cattram Mu-yu-_38a
   śvetaṃ tasya surāś chattraṃ MvyC_40c	Svetam tasya surAH Cattram MvyS_40c
   śvetaṃ tasya surāś chattraṃ MvyK_37c	Svetam tasya surAH Cattram MvyK_37c
   ṣaṭkrośaviṭapāṇy asya MvyC_57e	zaz-kroSa-viwa-pANi asya MvyS_57e
   ṣaṭkrośaviṭapādyāni MvyK_54e	zaz-kroSa-viwapa-AdyAni MvyK_54e
   ṣaṣṭivarṣasahasrāṇi MvyC_97a	zazwi-varza-sahasrANi MvyS_97a
   ṣaṣṭivarṣasahasrāṇi MvyK_95a	zazwi-varza-sahasrANi MvyK_95a
   ṣaṣṭiṃ varṣasahasrāṇi MvyG_101a	zazwim varza-sahasrANi Mu-yu-_101a
   ṣoḍaśavyāmavistāram MvyC_51c	zoxaSa-vyAma-vistAram MvyS_51c
   ṣoḍaśavyāmavistāram MvyK_48c	zoxaSa-vyAma-vistAram MvyK_48c
   saṅghe cāpi gaṇottame MvyG_105b	saFGe ca-api gaNa-uttame Mu-yG_105b
   saṅghe dattvā ca dānāni MvyG_71a	saFGe dattvA ca dAnAni Mu-yu-_71a
   sa ca yauvanasaṃprāpto MvyG_44a	sa ca yOvana-saMprAptaH Mu-yG_44a
   sa ca yauvanasaṃprāpto MvyC_47a	sa ca yOvana-saMprAptaH MvyS_47a
   sa ca yauvanasaṃprāpto MvyK_44a	sa ca yOvana-saMprAptaH MvyK_44a
   sa ca śakraḥ sahasrākṣo MvyC_88a	sa ca SakraH sahasrAkzaH MvyS_88a
   sa ca śakraḥ sahasrākṣo MvyK_85a	sa ca SakraH sahasrAkzaH MvyK_85a
   sa cāpi prāñjalirbhūtvā MvyG_93c	sa ca-api prAQjaliH-BUtvA Mu-yG_93c
   sa caiva prāñjaliṃ kṛtvā MvyC_90c	sa ca-eva prAQjalim kRtvA MvyS_90c
   sa caiva prāñjaliṃ bhūtvā MvyK_87c	sa ca-eva prAQjalim BUtvA MvyK_87c
   sa taṃ yūpaṃ narapatir MvyG_49a	sa tam yUpam narapatiH Mu-yu-_49a
   sa taṃ yūpaṃ narapatir MvyC_52a	sa tam yUpam narapatiH MvyS_52a
   sa taṃ yūpaṃ narapatir MvyK_49a	sa tam yUpam narapatiH MvyK_49a
   sattvānāṃ duḥkhabhāginām MvyG_37b	sattvAnAm duHKa-BAginAm Mu-yG_37b
   sattvās te śāsanaṃ gatāḥ MvyG_75d	sattvAH te SAsanam gatAH Mu-yG_75d
   satyāni kathayiṣyati MvyG_58b	satyAni kaTayizyati MvyG_58b
   satyāni kathayiṣyati MvyG_77b	satyAni kaTayizyati MvyG_77b
   satyāni kathayiṣyati MvyC_61b	satyAni kaTayizyati MvyS_61b
   satyāni kathayiṣyati MvyK_58b	satyAni kaTayizyati MvyK_58b
   saddharmaḥ sthāsyati kṣitau MvyG_103d	sadDarmaH sTAsyati kzitO Mu-yu-_103d
   saddharmaḥ sthāsyate tadā MvyC_99d	sadDarmaH sTAsyate tadA MvyS_99d
   saddharmaḥ sthāsyate tadā MvyK_97d	sadDarmaH sTAsyate tadA MvyK_97d
   saddharmo gurukartavyaḥ MvyG_108c	sadDarmaH guru-kartavyaH Mu-yG_108c
   saddharmo gurukartavyaḥ MvyC_102c	sadDarmaH guru-kartavyaH MvyS_102c
   saddharmo gurukartavyaḥ MvyK_100c	sadDarmaH guru-kartavyaH MvyK_100c
   sanarāmaravanditaḥ MvyK_34b	sa-nara-amara-vanditaH MvyK_34b
   sannipāto bhaviṣyati MvyG_60b	sannipAtaH Bavizyati Mu-yG_60b
   sannipāto bhaviṣyati MvyG_67b	sannipAtaH Bavizyati Mu-yG_67b
   sannipāto bhaviṣyati MvyC_62b	sannipAtaH Bavizyati MvyS_62b
   sannipāto bhaviṣyati MvyK_59b	sannipAtaH Bavizyati MvyK_59b
   saptabhis talāpaṅktibhiḥ MvyK_17b	saptaBiH tala-apaFktiBiH MvyK_17b
   saptayojanavistaram MvyK_14b	sapta-yojana-vistaram MvyK_14b
   saptaratnamayaṃ yūpaṃ MvyG_49e	sapta-ratna-mayam yUpam Mu-yu-_49e
   saptaratnamayaṃ yūpaṃ MvyC_52e	sapta-ratna-mayam yUpam MvyS_52e
   saptaratnamayāś caiva MvyK_15a	sapta-ratna-mayAH ca-eva MvyK_15a
   saptaratnasamanvitaḥ MvyK_22b	sapta-ratna-samanvitaH MvyK_22b
   saptaratnasamākīrṇaṃ MvyK_49c	sapta-ratna-samAkIrNam MvyK_49c
   saptāsau prakramiṣyati MvyG_35b	sapta-asO prakramizyati Mu-yG_35b
   saptāsau prakramiṣyati MvyC_37b	sapta-asO prakramizyati MvyS_37b
   samantataḥ parivṛtāḥ MvyK_17a	samantataH parivRtAH MvyK_17a
   samantato yojanaśataṃ MvyG_67c	samantataH yojana-Satam Mu-yu-_67c
   samavāpsyati nāyakaḥ MvyG_55d	samavApsyati nAyakaH Mu-yG_55d
   samāharitaśādvalā MvyK_8b	samAharita-SAdvalA MvyK_8b
   samitiṃ vyavalokyātha MvyG_68c	samitim vyavalokya-aTa Mu-yG_68c
   samitiṃ vyavalokyātha MvyC_69c	samitim vyavalokya-aTa MvyS_69c
   samitiṃ vyavalokyātha MvyK_66c	samitim vyavalokya-aTa MvyK_66c
   samucchrayeṇa hastāśītis MvyC_49a	samucCrayeNa hasta-aSItiH MvyS_49a
   samena sa narādhipaḥ MvyK_23d	samena sa narADipaH MvyK_23d
   sa rājā susamanvitaḥ MvyC_26b	sa rAjA su-samanvitaH MvyS_26b
   sa rājā susamanvitaḥ MvyK_26b	sa rAjA su-samanvitaH MvyK_26b
   sarvaduḥkhāpahaṃ śivam MvyG_57d	sarva-duHKa-apaham Sivam Mu-yu-_57d
   sarvaduḥkhāpahaṃ śivam MvyC_59d	sarva-duHKa-apaham Sivam MvyC_59d
   sarvaduḥkhāpahaṃ śivam MvyK_56d	sarva-duHKa-apaham Sivam MvyK_56d
   sarvabhūtānukampakam MvyC_97d	sarva-BUta-anukampakam MvyC_97d
   sarvabhūtānukampakaḥ MvyK_95d	sarva-BUta-anukampakaH MvyK_95d
   sarvās tā janayiṣyanti MvyC_44c	sarvAH tAH janayizyanti MvyS_44c
   sarvās tā janayiṣyanti MvyK_41c	sarvAH tAH janayizyanti MvyK_41c
   sarve te asravās tatra MvyG_78c	sarve te asravAH tatra Mu-yu-_78c
   sarve te śākyamuninā MvyC_70a	sarve te SAkya-muninA MvyS_70a
   sarve te śākyamuninā MvyK_67a	sarve te SAkya-muninA MvyK_67a
   sarve te śākyasiṃhena MvyG_69a	sarve te SAkya-siMhena Mu-yu-_69a
   sarve te sāsravān dharmān MvyK_74c	sarve te sa-AsravAn DarmAn MvyK_74c
   sarve te hy asravān dharmān MvyC_77c	sarve te hi asravAn DarmAn MvyS_77c
   sahasrāṇi śatāni ca MvyG_66b	sahasrANi SatAni ca Mu-yG_66b
   sahasrāṇi śatāni ca MvyC_68b	sahasrANi SatAni ca MvyS_68b
   sahasrāṇi śatāni ca MvyK_65b	sahasrANi SatAni ca MvyK_65b
   sahasraiḥ parivāritaḥ MvyG_62b	sahasrEH parivAritaH Mu-yG_62b
   sahasraiḥ parivāritaḥ MvyC_66d	sahasrEH parivAritaH MvyS_66d
   sahasraiḥ parivāritaḥ MvyK_63d	sahasrEH parivAritaH MvyK_63d
   sahasraiḥ sa puraskṛtaḥ MvyC_50b	sahasrEH sa puraskRtaH MvyS_50b
   sahasraiḥ sa puraskṛtaḥ MvyC_56b	sahasrEH sa puraskRtaH MvyS_56b
   sahasraiḥ sa puraskṛtaḥ MvyC_64b	sahasrEH sa puraskRtaH MvyS_64b
   sahasraiḥ sa puraskṛtaḥ MvyK_47b	sahasrEH sa puraskRtaH MvyK_47b
   sahasraiḥ sa puraskṛtaḥ MvyK_61b	sahasrEH sa puraskRtaH MvyK_61b
   sahasraiḥ saṃpuraskṛtaḥ MvyG_47b	sahasrEH saMpuraskRtaH Mu-yG_47b
   sahasraiḥ saṃpuraskṛtaḥ MvyK_53b	sahasrEH saMpuraskRtaH MvyK_53b
   sahasraiḥ saṃpuraskṛtā MvyG_65d	sahasrEH saMpuraskRtAH Mu-yG_65d
   sahasraiḥ sā puraskṛtā MvyC_67d	sahasrEH sA puraskRtAH MvyS_67d
   sahasraiḥ sā puraskṛtā MvyK_64d	sahasrEH sA puraskRtAH MvyK_64d
   saṃpūrṇaṃ yojanaśataṃ MvyK_59c	saMpUrNam yojana-Satam MvyK_59c
   saṃprāptāni ca śāsanam MvyG_75b	saMprAptAni ca SAsanam Mu-yG_75b
   saṃbuddhaṃ dvipadottamam MvyG_104d	saMbudDam dvipada-uttamam Mu-yu-_104d
   saṃbuddhaṃ dvipadottamam MvyC_100d	saMbudDam dvipada-uttamam MvyS_100d
   saṃbuddhaṃ dvipadottamam MvyK_98d	saMbudDam dvipada-uttamam MvyK_98d
   saṃsārārṇavamagnānāṃ MvyG_37a	saMsAra-arNava-magnAnAm Mu-yu-_37a
   sārdhaṃ śrāvakasaṅghena MvyG_82c	sArDam SrAvaka-saFGena Mu-yu-_82c
   sārdhaṃ śrāvakasaṅghena MvyC_81c	sArDam SrAvaka-saFGena MvyS_81c
   sārdhaṃ śrāvakasaṃghena MvyK_78c	sArDam SrAvaka-saMGena MvyK_78c
   sudhano nāma viśrutaḥ MvyG_64b	suDanaH nAma viSrutaH Mu-yG_64b
   sudhano nāma viśrutaḥ MvyC_66b	suDanaH nAma viSrutaH MvyS_66b
   sudhano nāma viśrutaḥ MvyK_63b	suDanaH nAma viSrutaH MvyK_63b
   supuṣpite ca udyāne MvyC_31c	su-puzpite ca udyAne MvyS_31c
   supuṣpite ca udyāne MvyC_62a	su-puzpite ca udyAne MvyS_62a
   supuṣpite ca udyāne MvyK_31c	su-puzpite ca udyAne MvyK_31c
   supuṣpite ca udyāne MvyK_59a	su-puzpite ca udyAne MvyK_59a
   supuṣpite 'smin udyāne MvyG_31c	su-puzpite asmin udyAne Mu-yu-_31c
   supuṣpite 'smin udyāne MvyG_67a	su-puzpite asmin udyAne Mu-yu-_67a
   subrahmā nāmnā purohitaḥ MvyK_27b	subrahmA nAmnA purohitaH MvyK_27b
   subrāhmaṇaḥ purohitaḥ MvyC_27b	subrAhmaNaH purohitaH MvyS_27b
   sūtrapūrvāparāntike MvyK_2d	sUtra-pUrvA-para-antike MvyK_2d
   stoṣyate lokanāyakam MvyG_93d	stozyate loka-nAyakam Mu-yG_93d
   stoṣyate lokanāyakam MvyC_88d	stozyate loka-nAyakam MvyS_88d
   stoṣyate lokanāyakam MvyC_90d	stozyate loka-nAyakam MvyS_90d
   stoṣyate lokanāyakam MvyK_85d	stozyate loka-nAyakam MvyK_85d
   stoṣyate lokanāyakam MvyK_87d	stozyate loka-nAyakam MvyK_87d
   strīratnam atha śaṅkhasya MvyG_65a	strI-ratnam aTa SaFKasya Mu-yu-_65a
   strīratnam atha śaṅkhasya MvyC_67a	strI-ratnam aTa SaFKasya MvyS_67a
   strīratnam atha śaṃkhasya MvyK_64a	strI-ratnam aTa SaMKasya MvyK_64a
   sthitā sā dharmacāriṇī MvyG_32b	sTitA sA Darma-cAriNI Mu-yG_32b
   sthitā sā dharmacāriṇī MvyC_32b	sTitA sA Darma-cAriNI MvyS_32b
   sthitā sā brahmacāriṇī MvyK_32b	sTitA sA brahmacAriNI MvyK_32b
   snāpayiṣyanti pannagāḥ MvyC_39d	snApayizyanti pannagAH MvyS_39d
   snāpayiṣyanti punnagāḥ MvyK_36d	snApayizyanti punnagAH MvyK_36d
   spṛśeyam amṛtaṃ padam MvyG_52b	spRSeyam amRtam padam Mu-yG_52b
   spṛśeyam amṛtaṃ padam MvyC_55b	spRSeyam amRtam padam MvyS_55b
   spṛśeyam amṛtaṃ padam MvyK_52b	spRSeyam amRtam padam MvyK_52b
   smaratā buddhaśāsanam MvyG_108d	smaratA budDa-SAsanam Mu-yu-_108d
   smaratā buddhaśāsanam MvyC_102d	smaratA budDa-SAsanam MvyS_102d
   smaratāṃ buddhaśāsanam MvyK_100d	smaratAm budDa-SAsanam MvyK_100d
   smṛtimān vedapāragaḥ MvyC_28b	smRtimAn vedapAragaH MvyS_28b
   smṛtivān vedapāragaḥ MvyK_28b	smRtivAn vedapAragaH MvyK_28b
   svāminam varayiṣyati MvyK_12d	svAminam varayizyati MvyK_12d
   hastaḥ pañcāśad ucchrāya MvyG_46a	hastaH paQcASat ucCrAyaH Mu-yu-_46a
   hṛṣṭaś caiva sahasrākṣo MvyC_41a	hRzwaH ca-eva sahasrAkzaH MvyS_41a
   hṛṣṭaś caiva sahasrākṣo MvyK_38a	hRzwaH ca-eva sahasrAkzaH MvyK_38a
   hṛṣṭā devamanuṣyāś ca MvyG_97a	hRzwAH deva-manuzyAH ca Mu-yu-_97a
   hṛṣṭā devamanuṣyāś ca MvyK_91a	hRzwAH deva-manuzyAH ca MvyK_91a
   hṛṣṭā devā manuṣyāś ca MvyC_93a	hRzwAH devAH manuzyAH ca MvyS_93a
   hemavarṇo mahādyutiḥ MvyG_45b	hema-varNaH mahA-dyutiH Mu-yG_45b
   hemavarṇo mahādyutiḥ MvyC_48b	hema-varNaH mahA-dyutiH MvyS_48b
   hemavarṇo mahādyutiḥ MvyK_45b	hema-varNaH mahA-dyutiH MvyK_45b
