   Buddhacarita	BudDa-carita
   aviśeṣānupāyābhyāṃ saṅgādabhyavapātataḥ // Bc_12.24 //	aviSeza-anupAyAByAm saFgAt-aByavapAtataH // Bc_12.24 //
   tatra vipratyayo nāma viparītaṃ pravartate /	tatra vipratyayaH nAma viparItam pravartate /
   anyathā kurute kāryaṃ mantavyaṃ manyate 'nyathā // Bc_12.25 //	anyaTA kurute kAryam mantavyam manyate anyaTA // Bc_12.25 //
   bravīmyahamahaṃ vedmi gacchāmyahamahaṃ sthitaḥ /	bravImi-aham-aham vedmi gacCAmi-aham-aham sTitaH /
   itīhaivamahaṃkārastvanahaṃkāra vartate // Bc_12.26 //	iti-iha-evam-ahaMkAraH-tu-anahaMkAra vartate // Bc_12.26 //
   yastu bhāvānasaṃdigdhānekībhāvena paśyati /	yaH-tu BAvAn-asaMdigDAn-ekIBAvena paSyati /
   mṛtpiṇḍavadasaṃdeha saṃdehaḥ sa ihocyate // Bc_12.27 //	mRd-piNxa-vat-asaMdeha saMdehaH saH iha-ucyate // Bc_12.27 //
   ya evāhaṃ sa evedaṃ mano buddhiśca karma ca /	yaH eva-aham saH eva-idam manaH budDiH-ca karma ca /
   yaścaivaiṣa gaṇaḥ so 'hamiti yaḥ so 'bhisaṃplavaḥ // Bc_12.28 //	yaH-ca-eva-eza gaNaH saH aham-iti yaH saH aBisaMplavaH // Bc_12.28 //
   aviśeṣaṃ viśeṣajña pratibuddhāprabuddhayoḥ /	aviSezam viSeza-jQa pratibudDa-aprabudDayoH /
   prakṛtīnāṃ ca yo veda so 'viśeṣa iti smṛtaḥ // Bc_12.29 //	prakRtInAm ca yaH veda saH aviSezaH iti smRtaH // Bc_12.29 //
   namaskāravaṣaṭkārau prokṣaṇābhyukṣaṇādayaḥ /	namaskAra-vazawkArO prokzaNa-aByukzaNa-AdayaH /
   anupāya iti prājñairupāyajña praveditaḥ // Bc_12.30 //	anupAyaH iti prAjQEH-upAya-jQa praveditaH // Bc_12.30 //
   sajjate yena durmedhā manovāgbuddhikarmabhiḥ /	sajjate yena durmeDAH manaH-vAc-budDi-karmaBiH /
   viṣayeṣvanabhiṣvaṅga so 'bhiṣvaṅga iti smṛtaḥ // Bc_12.31 //	vizayezu-anaBizvaFga saH aBizvaFgaH iti smRtaH // Bc_12.31 //
   mamedamahamasyeti yadduḥkhamabhimanyate /	mama-idam-aham-asya-iti yat-duHKam-aBimanyate /
   vijñeyo 'bhyavapātaḥ sa saṃsāre yena pātyate // Bc_12.32 //	vijQeyaH aByavapAtaH sa saMsAre yena pAtyate // Bc_12.32 //
   ityavidyāṃ hi vidvānsa pañcaparvā samīhate /	iti-avidyAm hi vidvAn-sa paQca-parvA samIhate /
   tamo mohaṃ mahāmohaṃ tāmisradvayameva ca // Bc_12.33 //	tamaH moham mahA-moham tAmisra-dvayam-eva ca // Bc_12.33 //
   tatrālasyaṃ tamo viddhi mohaṃ mṛtyuṃ ca janma ca /	tatra-Alasyam tamaH vidDi moham mRtyum ca janma ca /
   mahāmohastvasaṃmoha kāma ityeva gamyatām // Bc_12.34 //	mahAmohaH-tu-asaMmoha kAmaH iti-eva gamyatAm // Bc_12.34 //
   yasmādatra ca bhūtāni pramuhyanti mahāntyapi /	yasmAt-atra ca BUtAni pramuhyanti mahAnti-api /
   tasmādeṣa mahābāho mahāmoha iti smṛtaḥ // Bc_12.35 //	tasmAt-eza mahA-bAho mahAmohaH iti smRtaH // Bc_12.35 //
   tāmisramiti cākrodha krodhamevādhikurvate /	tAmisram-iti ca-akroDa kroDam-eva-aDikurvate /
   viṣādaṃ cāndhatāmisramaviṣāda pracakṣate // Bc_12.36 //	vizAdam ca-anDatAmi-sram-avizAda pracakzate // Bc_12.36 //
   anayāvidyayā bālaḥ saṃyuktaḥ pañcaparvayā /	anayA-avidyayA bAlaH saMyuktaH paQca-parvayA /
   saṃsāre duḥkhabhūyiṣṭhe janmasvabhiniṣicyate // Bc_12.37 //	saMsAre duHKa-BUyizWe janmasu-aBinizicyate // Bc_12.37 //
   draṣṭā śrotā ca mantā ca kāryakaraṇameva ca /	drazwA SrotA ca mantA ca kArya-karaNam-eva ca /
   ahamityevamāgamya saṃsāre parivartate // Bc_12.38 //	aham-iti-evam-Agamya saMsAre parivartate // Bc_12.38 //
   ihaibhirhetubhirdhīman janmastrotaḥ pravartate /	iha-eBiH-hetuBiH-DIman janmaH-trotaH pravartate /
   hetvabhāvātphalābhāva iti vijñātumarhasi // Bc_12.39 //	hetu-aBAvAt-Pala-aBAvaH iti vijQAtum-arhasi // Bc_12.39 //
   tatra samyaṅmatirvidyānmokṣakāma catuṣṭayam /	tatra samyak-matiH-vidyAt-mokza-kAma catuzwayam /
   pratibuddhāprabuddhau ca vyaktamavyaktameva ca // Bc_12.40 //	pratibudDa-aprabudDO ca vyaktam-avyaktam-eva ca // Bc_12.40 //
   yathāvadetadvijñāya kṣetrajño hi catuṣṭayam /	yaTAvat-etat-vijQAya kzetrajQaH hi catuzwayam /
   ājavaṃjavatāṃ hitvā prāpnoti padamakṣaram // Bc_12.41 //	AjavaMjavatAm hitvA prApnoti padam-akzaram // Bc_12.41 //
   ityartha brāhmaṇā loke paramabrahmavādinaḥ /	iti-arTa brAhmaNAH loke parama-brahma-vAdinaH /
   brahmacarya carantīha brāhmaṇānvāsayanti ca // Bc_12.42 //	brahmacarya caranti-iha brAhmaNAn-vAsayanti ca // Bc_12.42 //
   iti vākyamidaṃ śrutvā munestasya nṛpātmajaḥ /	iti vAkyam-idam SrutvA muneH-tasya nRpa-AtmajaH /
   abhyupāyaṃ ca papraccha padameva ca naiṣṭhikam // Bc_12.43 //	aByupAyam ca papracCa padam-eva ca nEzWikam // Bc_12.43 //
   brahmacaryamidaṃ caryaṃ yathā yāvacca yatra ca /	brahmacaryam-idam caryam yaTA yAvat-ca yatra ca /
   dharmasyāsya ca paryantaṃ bhavānvyākhyātumarhati // Bc_12.44 //	Darmasya-asya ca paryantam BavAn-vyAKyAtum-arhati // Bc_12.44 //
   ityarāḍo yathāśāstraṃ vispaṣṭārtha samāsataḥ /	iti-arAxaH yaTASAstram vispazwa-arTa samAsatas /
   tamevānyena kalpena dharmamasmai vyabhāṣata // Bc_12.45 //	tam-eva-anyena kalpena Darmam-asmE vyaBAzata // Bc_12.45 //
   ayamādau gṛhānmuktvā bhaikṣākaṃ liṅgamāśritaḥ /	ayam-AdO gRhAt-muktvA BEkzAkam liFgam-ASritaH /
   samudācāravistīrṇa śīlamādāya vartate // Bc_12.46 //	samudAcAra-vistIrNa SIlam-AdAya vartate // Bc_12.46 //
   saṃtoṣaṃ paramāsthāya yena tena yatastataḥ /	saMtozam parama-AsTAya yena tena yatas-tatas /
   viviktaṃ sevate vāsaṃ nirdvandvaḥ śāstravitkṛtī // Bc_12.47 //	viviktam sevate vAsam nirdvandvaH SAstra-vid-kRtI // Bc_12.47 //
   tato rāgādbhayaṃ dṛṣṭvā vairāgyācca paraṃ śivam /	tatas rAgAt-Bayam dRzwvA vErAgyAt-ca param Sivam /
   nigṛhṇannindriyagrāmaṃ yatate manasaḥ śame // Bc_12.48 //	nigRhNan=-indriya-grAmam yatate manasaH Same // Bc_12.48 //
   atho viviktaṃ kāmebhyo vyāpādādibhya eva ca /	aTo viviktam kAmeByaH vyApAda-AdiByaH eva ca /
   vivekajamavāpnoti pūrvadhyānaṃ vitarkavat // Bc_12.49 //	viveka-jam-avApnoti pUrva-DyAnam vitarka-vat // Bc_12.49 //
   tacca dhyānasukhaṃ prāpya tattadeva vitarkayān /	tat-ca DyAna-suKam prApya tat-tat-eva vitarkayAn /
   apūrvasukhalābhena hriyate bāliśo janaḥ // Bc_12.50 //	apUrva-suKa-lABena hriyate bAliSaH janaH // Bc_12.50 //
   śamenaivaṃvidhenāyaṃ kāmadveṣavigarhiṇā /	Samena-evaMviDena-ayam kAma-dveza-vigarhiNA /
   brahmalokamavāpnoti paritoṣeṇa vañcitaḥ // Bc_12.51 //	brahma-lokam-avApnoti paritozeNa vaQcitaH // Bc_12.51 //
   jñātvā vidvānvitarkāstu manaḥsaṃkṣobhakārakān /	jQAtvA vidvAn-vitarkAH-tu manaH-saMkzoBa-kArakAn /
   tadviyuktamavāpnoti dhyānaṃ prītisukhānvitam // Bc_12.52 //	tad-viyuktam-avApnoti DyAnam prIti-suKa-anvitam // Bc_12.52 //
   hriyamāṇastayā prītyā yo viśeṣaṃ na paśyati /	hriyamANaH-tayA prItyA yaH viSezam na paSyati /
   sthānaṃ bhāsvaramāpnoti deveṣvābhāsvareṣu saḥ // Bc_12.53 //	sTAnam BAsvaram-Apnoti devezu-ABAsvarezu saH // Bc_12.53 //
   yastu prītisukhāttasmādvivecayati mānasam /	yaH-tu prIti-suKAt-tasmAt-vivecayati mAnasam /
   tṛtīyaṃ labhate dhyānaṃ sukhaṃ prītivivarjitam // Bc_12.54 //	tRtIyam laBate DyAnam suKam prIti-vivarjitam // Bc_12.54 //
   yastu tasminsukhe magno na viśeṣāya yatnavān /	yaH-tu tasmin-suKe magnaH na viSezAya yatnavAn /
   śubhakṛtsnaiḥ sa sāmānyaṃ sukhaṃ prāpnoti daivataiḥ // Bc_12.55 //	SuBa-kRtsnEH sa sAmAnyam suKam prApnoti dEvatEH // Bc_12.55 //
   tādṛśaṃ sukhāmāsādya yo na rajyatyupekṣakaḥ	tAdRSam suKAm-AsAdya yaH na rajyati-upekzakaH
   caturtha dhyānamāpnoti sukhaduḥkhavivarjitam // Bc_12.56 //	caturTa DyAnam-Apnoti suKa-duHKa-vivarjitam // Bc_12.56 //
   tatra kecidvyavasyanti mokṣa ityabhimāninaḥ /	tatra kecid-vyavasyanti mokzaH iti-aBimAninaH /
   sukhaduḥkhaparityāgādavyāpārācca cetasaḥ // Bc_12.57 //	suKa-duHKa-parityAgAt-avyApArAt-ca cetasaH // Bc_12.57 //
   asya dhyānasya tu phalaṃ samaṃ devairbṛhatphalaiḥ /	asya DyAnasya tu Palam samam devEH-bRhat-PalEH /
   kathayanti bṛhatkālaṃ bṛhatprajñāparīkṣakāḥ // Bc_12.58 //	kaTayanti bRhatkAlam bRhat-prajQA-parIkzakAH // Bc_12.58 //
   samādhervyutthitastasmād dṛṣtvā doṣāṃścharīriṇām /	samADeH-vyutTitaH-tasmAt dRztvA dozAn=-SarIriNAm /
   jñānamārohati prājñaḥ śarīravinivṛttaye // Bc_12.59 //	jQAnam-Arohati prAjQaH SarIra-vinivRttaye // Bc_12.59 //
   tatastaddhyānamutsṛjya viśeṣe kṛtaniścayaḥ /	tatas-tat-DyAnam-utsRjya viSeze kRta-niScayaH /
   kāmebhya iva sa prājño rūpādapi virajyate // Bc_12.60 //	kAmeByaH iva sa prAjQaH rUpAt-api virajyate // Bc_12.60 //
   śarīre khāni yānyasmintānyādau parikalpayan /	SarIre KAni yAni-asmin-tAni-AdO parikalpayan /
   ghaneṣvapi tato dravyeṣvākāśamadhimucyate // Bc_12.61 //	Ganezu-api tatas dravyezu-AkASam-aDimucyate // Bc_12.61 //
   ākāśagatamātmānaṃ saṃkṣipya tvaparo budhaḥ /	AkASa-gatam-AtmAnam saMkzipya tu-aparaH buDaH /
   tadevānantataḥ paśyanviśeṣamadhigacchati // Bc_12.62 //	tat-eva-anantataH paSyan-viSezam-aDigacCati // Bc_12.62 //
   adhyātmakuśalastvanyo nivartyātmānamātmanā /	aDyAtma-kuSalaH-tu-anyaH nivartya-AtmAnam-AtmanA /
   kiṃcinnāstīti saṃpaśyannākiṃcanya iti smṛtaḥ // Bc_12.63 //	kiMcid-na-asti-iti saMpaSyan=-AkiMcanyaH iti smRtaH // Bc_12.63 //
   tato muñjādiṣīkeva śakuniḥ pañjarādiva /	tatas muQjAt-izIkA-iva SakuniH paQjarAt-iva /
   kṣetrajño niḥsṛto dehānmukta ityabhidhīyate // Bc_12.64 //	kzetrajQaH niHsRtaH dehAt-muktaH iti-aBiDIyate // Bc_12.64 //
   etattatparamaṃ brahma nirliṅga dhruvamakṣaram /	etat-tat-paramam brahma nirliFga Druvam-akzaram /
   yanmokṣa iti tattvajñāḥ kathayanti manīṣiṇaḥ // Bc_12.65 //	yat-mokzaH iti tattva-jQAH kaTayanti manIziNaH // Bc_12.65 //
   ityupāyaṃśca mokṣaśca mayā saṃdarśitastava /	iti-upAyan=-ca mokzaH-ca mayA saMdarSitaH-tava /
   yadi jñātaṃ yadi ruciryathāvatpratipadyatām // Bc_12.66 //	yadi jQAtam yadi ruciH-yaTAvat-pratipadyatAm // Bc_12.66 //
   jaigīṣavyo 'tha janako vṛddhaścaiva parāśaraḥ /	jEgIzavyaH aTa janakaH vRdDaH-ca-eva parASaraH /
   imaṃ panthānamāsādya muktā hyanye ca mokṣiṇaḥ // Bc_12.67 //	imam panTAnam-AsAdya muktAH hi-anye ca mokziNaH // Bc_12.67 //
   iti tasya sa tadvākyaṃ gṛhītvā tu vicārya ca /	iti tasya sa tat-vAkyam gRhItvA tu vicArya ca /
   pūrvahetubalaprāptaḥ pratyuttaramuvāca ha // Bc_12.68 //	pUrva-hetu-bala-prAptaH pratyuttaram-uvAca ha // Bc_12.68 //
   śrutaṃ jñānamidaṃ sūkṣmaṃ parataḥ parataḥ śivam /	Srutam jQAnam-idam sUkzmam paratas paratas Sivam /
   kṣetrajñasyāparityāgādavaimyetadanaiṣṭhikam // Bc_12.69 //	kzetrajQasya-aparityAgAt-avEmi-etat-anEzWikam // Bc_12.69 //
   vikāraprakṛtibhyo hi kṣetrajñaṃ muktamapyaham /	vikAra-prakRtiByaH hi kzetrajQam muktam-api-aham /
   manye prasavadharmāṇaṃ bījadharmāṇameva ca // Bc_12.70 //	manye prasava-DarmANam bIja-DarmANam-eva ca // Bc_12.70 //
   viśuddho yadyapi hyātmā nirmukta iti kalpyate /	viSudDaH yadi-api hi-AtmA nirmuktaH iti kalpyate /
   bhūyaḥ pratyayasadbhāvādamuktaḥ sa bhaviṣyati // Bc_12.71 //	BUyas pratyaya-sadBAvAt-amuktaH sa Bavizyati // Bc_12.71 //
   ṛtubhūmyambuvirahādyathā bījaṃ na rohati /	Rtu-BUmi-ambu-virahAt-yaTA bIjam na rohati /
   rohati pratyayaistaistaistadvatso 'pi mato mama // Bc_12.72 //	rohati pratyayEH-tEH-tEH-tadvat-saH api mataH mama // Bc_12.72 //
   yatkarmājñānatṛṣṇānāṃ tyāgānmokṣaśca kalpyate /	yad-karma-ajQAna-tRzNAnAm tyAgAt-mokzaH-ca kalpyate /
   atyantastatparityāgaḥ satyātmani na vidyate // Bc_12.73 //	atyantaH-tad-parityAgaH satya-Atmani na vidyate // Bc_12.73 //
   hitvā hitvā trayamidaṃ viśeṣastūpalabhyate /	hitvA hitvA trayam-idam viSezaH-tu-upalaByate /
   ātmanastu sthitiryatra tatra sūkṣmamidaṃ trayam // Bc_12.74 //	AtmanaH-tu sTitiH-yatra tatra sUkzmam-idam trayam // Bc_12.74 //
   sūkṣmatvāccaiva doṣāṇāmavyāpārācca cetasaḥ /	sUkzma-tvAt-ca-eva dozANAm-avyApArAt-ca cetasaH /
   dīrghatvādāyuṣaścaiva mokṣastu parikalpyate // Bc_12.75 //	dIrGa-tvAt-AyuzaH-ca-eva mokzaH-tu parikalpyate // Bc_12.75 //
   ahaṃkāraparityāgo yaścaiṣa parikalpyate /	ahaMkAra-parityAgaH yaH-ca-eza parikalpyate /
   satyātmani parityāgo nāhaṃkārasya vidyate // Bc_12.76 //	satya-Atmani parityAgaH na-ahaMkArasya vidyate // Bc_12.76 //
   saṃkhyādibhiramuktaśca nirguṇo na bhavatyayam /	saMKyA-AdiBiH-amuktaH-ca nirguNaH na Bavati-ayam /
   tasmādasati nairguṇye nāsya mokṣo 'bhidhīyate // Bc_12.77 //	tasmAt-asati nErguNye na-asya mokzaH aBiDIyate // Bc_12.77 //
   guṇino hi guṇānāṃ ca vyatireko na vidyate /	guNinaH hi guNAnAm ca vyatirekaH na vidyate /
   rūpoṣṇābhyāṃ virahito na hyagnirupalabhyate // Bc_12.78 //	rUpa-uzNAByAm virahitaH na hi-agniH-upalaByate // Bc_12.78 //
   prāgdehānna bhaveddehī prāgguṇebhyastathā guṇī /	prAk-dehAt-na Bavet-dehI prAk-guNeByaH-taTA guNI /
   tasmādādau vimuktaḥ san śarīrī badhyate punaḥ // Bc_12.79 //	tasmAt-AdO vimuktaH san SarIrI baDyate punar // Bc_12.79 //
   kṣetrajño viśarīraśca jño vā syādajña eva vā /	kzetrajQaH viSarIraH-ca jQaH vA syAt-ajQaH eva vA /
   yadi jño jñeyamasyāsti jñeye sati na mucyate // Bc_12.80 //	yadi jQaH jQeyam-asya-asti jQeye sati na mucyate // Bc_12.80 //
   athājña iti siddho vaḥ kalpitena kimātmanā /	aTa-ajQaH iti sidDaH vaH kalpitena kim-AtmanA /
   vināpi hyātmanājñānaṃ prasiddhaṃ kāṣṭhakuḍyavat // Bc_12.81 //	vinA-api hi-AtmanA-ajQAnam prasidDam kAzWa-kuxya-vat // Bc_12.81 //
   parataḥ paratastyāgo yasmāttu guṇavān smṛtaḥ /	paratas paratas-tyAgaH yasmAt-tu guNavAn smRtaH /
   tasmātsarvaparityāgānmanye kṛtsnāṃ kṛtārthatām // Bc_12.82 //	tasmAt-sarva-parityAgAt-manye kRtsnAm kRtArTa-tAm // Bc_12.82 //
   iti dharmamarāḍasya viditvā na tutoṣa saḥ /	iti Darmam-arAxasya viditvA na tutoza saH /
   akṛtsnamiti vijñāya tataḥ pratijagāma ha // Bc_12.83 //	akRtsnam-iti vijQAya tatas pratijagAma ha // Bc_12.83 //
   viśeṣamatha śuśrūṣurudrakasyāśramaṃ yayau /	viSezam-aTa SuSrUzu-rudrakasya-ASramam yayO /
   ātmagrāhācca tasyāpi jagṛhe na sa darśanam // Bc_12.84 //	Atma-grAhAt-ca tasya-api jagRhe na sa darSanam // Bc_12.84 //
   saṃjñāsaṃjñitvayordoṣaṃ jñātvā hi munirudrakaḥ /	saMjQA-saMjQi-tvayoH-dozam jQAtvA hi muni-rudrakaH /
   ākiṃcanyātparaṃ lebhe'saṃjñāsaṃjñātmikāṃ gatim // Bc_12.85 //	AkiMcanyAt-param leBe-asaMjQA-saMjQA-AtmikAm gatim // Bc_12.85 //
   yasmāccālambane sūkṣme saṃjñāsaṃjñe tataḥ param /	yasmAt-ca-Alambane sUkzme saMjQA-saMjQe tatas param /
   nāsaṃjñī naiva saṃjñīti tasmāttatragataspṛhaḥ // Bc_12.86 //	na-asaMjQI na-eva saMjQI-iti tasmAt-tatra-gata-spRhaH // Bc_12.86 //
   yataśca buddhistatraiva sthitānyatrāpracāriṇī /	yatas-ca budDiH-tatra-eva sTitA-anyatra-apracAriNI /
   sūkṣmāpaṭvī tatastatra nāsaṃjñitvaṃ na saṃjñitā // Bc_12.87 //	sUkzmA-pawvI tatas-tatra na-asaMjQi-tvam na saMjQitAH // Bc_12.87 //
   yasmācca tadapi prāpya punarāvartate jagat /	yasmAt-ca tat-api prApya punar-Avartate jagat /
   bodhisattvaḥ paraṃ prepsustasmādudrakamatyajat // Bc_12.88 //	boDisattvaH param prepsuH-tasmAt-udrakam-atyajat // Bc_12.88 //
   tato hitvāśramaṃ tasya śreyo 'rthī kṛtaniścayaḥ /	tatas hitvA-ASramam tasya SreyaH arTI kRta-niScayaH /
   bheje gayasya rājarṣernagarīsaṃjñamāśramam // Bc_12.89 //	Beje gayasya rAjarzeH-nagarI-saMjQam-ASramam // Bc_12.89 //
   atha nairañjanātīre śucau śuciparākramaḥ /	aTa nEraQjanA-tIre SucO Suci-parAkramaH /
   cakāra vāsamekāntavihārābhiratirmuniḥ // Bc_12.90 //	cakAra vAsam-ekAnta-vihAra-aBiratiH-muniH // Bc_12.90 //
   āgatān tatra tatpūrvapañcendriyavaśoddhatān /	AgatAn tatra tad-pUrva-paQca-indriya-vaSa-udDatAn /
   tapaḥpravṛttān vratino bhikṣūn pañca niraikṣata // Bc_12.91 //	tapaH-pravRttAn vratinaH BikzUn paQca nirEkzata // Bc_12.91 //
   te copatastthurdṛṣṭvātra bhikṣavastaṃ mumukṣavaḥ /	te ca-upatastTuH-dRzwvA-atra BikzavaH-tam mumukzavaH /
   puṇyārjitadhanārogyamindriyārthā iveśvaram // Bc_12.92 //	puNya-arjita-Dana-Arogyam-indriya-arTAH iva-ISvaram // Bc_12.92 //
   saṃpūjyamānastaiḥ pravhairvinayādanuvartibhiḥ /	saMpUjyamAnaH-tEH pravhEH-vinayAt-anuvartiBiH /
   tadvaśasthāyibhiḥ śiṣyairlolairmana ivendriyaiḥ // Bc_12.93 //	tad-vaSa-sTAyiBiH SizyEH-lolEH-manaH iva-indriyEH // Bc_12.93 //
   mṛtyujanmāntakaraṇe syādupāyo 'yamityatha /	mRtyu-janma-anta-karaNe syAt-upAyaH ayam-iti-aTa /
   duṣkarāṇi samārebhe tapāṃsyanaśanena saḥ // Bc_12.94 //	duzkarANi samAreBe tapAMsi-anaSanena saH // Bc_12.94 //
   upavāsavidhīnnaikān kurvannaradurācarān /	upavAsa-viDIn-na-ekAn kurvat-nara-durAcarAn /
   varṣāṇi ṣaṭ śamaprepsurakarotkārśyamātmanaḥ // Bc_12.95 //	varzANi zax Sama-prepsuH-akarot-kArSyam-AtmanaH // Bc_12.95 //
   annakāleṣu caikaikaiḥ sa kolatilataṇḍulaiḥ /	anna-kAlezu ca-ekEkEH sa kola-tila-taNxulEH /
   apārapārasaṃsārapāraṃ prepsurapārayat // Bc_12.96 //	apAra-pAra-saMsAra-pAram prepsuH-apArayat // Bc_12.96 //
   dehādapacayastena tapasā tasya yaḥ kṛtaḥ /	dehAt-apacayaH-tena tapasA tasya yaH kRtaH /
   sa evopacayo bhūyastejasāsya kṛto 'bhavat // Bc_12.97 //	saH eva-upacayaH BUyas-tejasA-asya kRtaH aBavat // Bc_12.97 //
   kṛśo 'pyakṛśakīrtiśrīrlhādaṃ cakre 'nyacakṣuṣām /	kRSaH api-akRSa-kIrti-SrIH-lhAdam cakre anya-cakzuzAm /
   kumudānāmiva śaracchuklapakṣādicandramāḥ // Bc_12.98 //	kumudAnAm-iva Sarad-Sukla-pakza-Adi-candramAH // Bc_12.98 //
   tvagasthiśeṣo niḥśeṣairmedaḥpiśitaśoṇitaiḥ /	tvac-asTi-SezaH niHSezEH-medaH-piSita-SoNitEH /
   kṣīṇo 'pyakṣīṇagāmbhīryaḥ samudra iva sa vyabhāt // Bc_12.99 //	kzINaH api-akzINa-gAmBIryaH samudraH iva sa vyaBAt // Bc_12.99 //
   atha kaṣṭatapaḥspaṣṭavyarthakliṣṭatanurmuniḥ /	aTa kazwa-tapaH-spazwa-vyarTa-klizwa-tanuH-muniH /
   bhavabhīrurimāṃ cakre buddhiṃ buddhatvakāṅkṣayā // Bc_12.100 //	Bava-BIruH-imAm cakre budDim budDa-tva-kAFkzayA // Bc_12.100 //
   nāyaṃ dharmo virāgāya na bodhāya na muktaye /	na-ayam DarmaH virAgAya na boDAya na muktaye /
   jambumūle mayā prāpto yastadā sa vidhirdhruvaḥ // Bc_12.101 //	jambu-mUle mayA prAptaH yaH-tadA sa viDiH-DruvaH // Bc_12.101 //
   na cāsau durbalenāptuṃ śakyamityāgatādaraḥ /	na ca-asO durbalena-Aptum Sakyam-iti-Agata-AdaraH /
   śarīrabalavṛddhyarthamidaṃ bhūyo 'nvacintayat // Bc_12.102 //	SarIra-bala-vRdDi-arTam-idam BUyas anvacintayat // Bc_12.102 //
   kṣutpipāsāśramaklāntaḥ śramādasvasthamānasaḥ /	kzuD-pipAsA-Srama-klAntaH SramAt-asvasTa-mAnasaH /
   prāpnuyānmanasāvāpyaṃ phalaṃ kathamanirvṛtaḥ // Bc_12.103 //	prApnuyAt-manasA-avApyam Palam kaTam-anirvRtaH // Bc_12.103 //
   nirvṛtiḥ prāpyate samyak satatendriyatarpaṇāt /	nirvRtiH prApyate samyak satata-indriya-tarpaNAt /
   saṃtarpitendriyatayā manaḥsvāsthyamavāpyate // Bc_12.104 //	saMtarpita-indriya-tayA manaH-svAsTyam-avApyate // Bc_12.104 //
   svasthaprasannamanasaḥ samādhirupapadyate /	svasTa-prasanna-manasaH samADiH-upapadyate /
   samādhiyuktacittasya dhyānayogaḥ pravartate // Bc_12.105 //	samADi-yukta-cittasya DyAna-yogaH pravartate // Bc_12.105 //
   dhyānapravartanāddharmāḥ prāpyante yairavāpyate /	DyAna-pravartanAt-DarmAH prApyante yEH-avApyate /
   durlabhaṃ śāntamajaraṃ paraṃ tadamṛtaṃ padam // Bc_12.106 //	durlaBam SAntam-ajaram param tat-amRtam padam // Bc_12.106 //
   tasmādāhāramūlo 'yamupāya itiniścayaḥ /	tasmAt-AhAra-mUlaH ayam-upAyaH iti-niScayaH /
   āhārakaraṇe dhīraḥ kṛtvāmitamatirmatim // Bc_12.107 //	AhAra-karaNe DIraH kRtvA-amita-matiH-matim // Bc_12.107 //
   snāto nairañjanātīrāduttatāra śanaiḥ kṛśaḥ /	snAtaH nEraQjanA-tIrAt-uttatAra SanEs kRSaH /
   bhaktyāvanataśākhāgrairdattahastastaṭadrumaiḥ // Bc_12.108 //	BaktyA-avanata-SAKA-agrEH-datta-hastaH-tawa-drumEH // Bc_12.108 //
   atha gopādhipasutā daivatairabhicoditā /	aTa gopa-aDipa-sutA dEvatEH-aBicoditA /
   udbhutahṛdayānandā tatra nandabalāgamat // Bc_12.109 //	udButa-hRdaya-AnandA tatra nanda-bala-agamat // Bc_12.109 //
   sitaśaṅkhojjvalabhujā nīlakambalavāsinī /	sita-SaFKa-ujjvala-BujA nIla-kambala-vAsinI /
   saphenamālānīlāmburyamuneva saridvarā // Bc_12.110 //	sa-Pena-mAlA-nIla-ambuH-yamunA-iva sarit-varAH // Bc_12.110 //
   sā śraddhāvardhitaprītirvikasallocanotpalā /	sA SradDA-varDita-prItiH-vikasat-locana-utpalA /
   śirasā praṇipatyainaṃ grāhayāmāsa pāyasam // Bc_12.111 //	SirasA praNipatya-enam grAhayAmAsa pAyasam // Bc_12.111 //
   kṛtvā tadupabhogena prāptajanmaphalāṃ sa tām /	kRtvA tad-upaBogena prApta-janma-PalAm sa tAm /
   bodhiprāptau samartho 'bhūtsaṃtarpitaṣaḍindriyaḥ // Bc_12.112 //	boDi-prAptO samarTaH aBUt-saMtarpita-zaz-indriyaH // Bc_12.112 //
   paryāptāpyānamūrtiśca sārdha svayaśasā muniḥ /	paryApta-ApyAna-mUrtiH-ca sArDa sva-yaSasA muniH /
   kāntidhairye babhāraikaḥ śaśāṅkārṇavayordvayoḥ // Bc_12.113 //	kAnti-DErye baBAra-ekaH SaSAFka-arNavayoH-dvayoH // Bc_12.113 //
   āvṛtta iti vijñāya taṃ jahuḥ pañca bhikṣavaḥ /	AvRttaH iti vijQAya tam jahuH paQca BikzavaH /
   manīṣiṇamivātmānaṃ nirmuktaṃ pañca dhātavaḥ // Bc_12.114 //	manIziNam-iva-AtmAnam nirmuktam paQca DAtavaH // Bc_12.114 //
   vyavasāyadvitīyo 'tha śādvalāstīrṇabhūtalam /	vyavasAya-dvitIyaH aTa SAdvala-AstIrNa-BU-talam /
   so 'śvatthamūlaṃ prayayau bodhāya kṛtaniścayaḥ // Bc_12.115 //	saH aSvatTa-mUlam prayayO boDAya kRta-niScayaH // Bc_12.115 //
   tatastadānīṃ gajarājavikramaḥ padasvanenānupamena bodhitaḥ /	tatas-tadAnIm gaja-rAja-vikramaH pada-svanena-anupamena boDitaH /
   mahāmunerāgatabodhiniścayo jagāda kālo bhujagottamaḥ stutim // Bc_12.116	mahA-muneH-Agata-boDi-niScayaH jagAda kAlaH Bujaga-uttamaH stutim // Bc_12.116
