   Pañcaviṃśatisāhasrikā prajñāpāramitā	PaQcaviMSati sAhasrikA prajQApAramitA
   25116 {āgantukam etan nāmadheyamātram etad} yad uta samādhir iti yāvat	25116 {a Agantukam etat nAmaDeya mAtram etat } yat uta samADiH iti yAvat 
   sarvajñateti/ na ca sarvajñatāyāṃ nāma	sarvajQa tA iti/ na ca sarvajQa tAyAm nAma
   25117 na ca nāmni sarvajñatā/ tat kasya hetoḥ/ tathā hi yac ca nāma yā ca	25117 na ca nAmni sarvajQa tA/ tat kasya hetoH/ taTA hi yat ca nAma yA ca
   sarvajñatā	sarvajQa tA
   25118 ubhayam etan na {saṃvidyate nopalabhyate}/	25118 uBayam etat na {saMvidyate na upalaByate}/
   25119 yat punar {āyuṣman} {śāriputra} evaṃ vadasi kena kāraṇenocyate yathā	25119 yat punar {Ayuzman} {SAriputra} evam vadasi kena kAraNena ucyate yaTA
   ātmātmeti	Atma AtmA iti
   25120 cocyate atyāntatayā cānabhinivṛtta ātmeti/ ātmā {śāriputra}	25120 ca ucyate atyAnta tayA ca anaBinivRttaH AtmA iti/ AtmA {SAriputra}
   atyantatayā na {saṃvidyate nopalabhyate}/	atyanta tayA na {saMvidyate na upalaByate}/
   25121 kutaḥ punar asyābhinivṛttir bhaviṣyati/ atyantatayā {āyuṣman}	25121 kutas punar asya aBinivRttiH Bavizyati/ atyanta tayA {Ayuzman}
   {śāriputra} sattvo jīvaḥ	{SAriputra} sattvaH jIvaH
   25122 poṣaḥ {{puruṣaḥ pudgalo manujo mānavaḥ kārako vedako jānakaḥ}}	25122 pozaH {{puruzaH pudgalaH manujaH mAnavaH kArakaH vedakaH jAnakaH}}
   paśyako na {saṃvidyate nopalabhyate}/ {kutaḥ punar asyābhinivṛttir	paSyakaH na {saMvidyate na upalaByate}/ {kutas punar asya aBinivRttiH 
   bhaviṣyati}/ atyantatayā {āyuṣman} {śāriputra} rūpaṃ na {saṃvidyate	Bavizyati}/ atyanta tayA {Ayuzman} {SAriputra} rUpam na {saMvidyate
   nopalabhyate}/	na upalaByate}/
   25123 {kutaḥ punar asyābhinivṛttir bhaviṣyati}/ vedanā saṃjñā saṃskārā	25123 {kutas punar asya aBinivRttiH Bavizyati}/ vedanA saMjQA saMskArA
   atyantatayā {āyuṣman} {śāriputra} vijñānaṃ na {saṃvidyate nopalabhyate}/	atyanta tayA {Ayuzman} {SAriputra} vijQAnam na {saMvidyate na upalaByate}/
   25124 {kutaḥ punar asyābhinivṛttir bhaviṣyati}/ {{atyantatayā āyuṣman	25124 {kutas punar asya aBinivRttiH Bavizyati}/ {{atyanta tayA Ayuzman
   śāriputra cakṣur na saṃvidyate nopalabhyate/ kutaḥ punar asyābhinivṛttir	SAriputra cakzuH na saMvidyate na upalaByate/ kutas punar asya aBinivRttiH 
   bhaviṣyati/ evaṃ śrotraṃ ghrāṇaṃ jihvā kāyaḥ/ atyantatayā āyuṣman	Bavizyati/ evam Srotram GrANam jihvA kAyaH/ atyanta tayA Ayuzman
   śāriputra mano na saṃvidyate nopalabhyate/ kutaḥ punar asyābhinivṛttir	SAriputra manaH na saMvidyate na upalaByate/ kutas punar asya aBinivRttiH 
   bhaviṣyati/ atyantatayā āyuṣman śāriputra rūpaṃ na saṃvidyate	Bavizyati/ atyanta tayA Ayuzman SAriputra rUpam na saMvidyate
   nopalabhyate/ kutaḥ punar asyābhinivṛttir bhaviṣyati/ evaṃ śabdo gandho	na upalaByate/ kutas punar asya aBinivRttiH Bavizyati/ evam SabdaH ganDaH 
   rasaḥ spraṣṭavyam/ atyantatayā āyuṣman śāriputra dharmo na saṃvidyate	rasaH sprazwavyam/ atyanta tayA Ayuzman SAriputra DarmaH na saMvidyate
   nopalabhyate/ kutaḥ punar asyābhinivṛttir bhaviṣyati/ atyantatayā āyuṣman	na upalaByate/ kutas punar asya aBinivRttiH Bavizyati/ atyanta tayA Ayuzman
   śāriputra cakṣurvijñānaṃ na saṃvidyate nopalabhyate/ kutaḥ punar	SAriputra cakzuH vijQAnam na saMvidyate na upalaByate/ kutas punar 
   asyābhinivṛttir bhaviṣyati/ evaṃ śrotravijñānaṃ ghrāṇavijñānaṃ	asya aBinivRttiH Bavizyati/ evam Srotra vijQAnam GrANa vijQAnam
   jihvāvijñānaṃ kāyavijñānam/ atyantatayā āyuṣman śāriputra manovijñānaṃ na	jihvA vijQAnam kAya vijQAnam/ atyanta tayA Ayuzman SAriputra manaH vijQAnam na
   saṃvidyate nopalabhyate/ kutaḥ punar asyābhinivṛttir bhaviṣyati/	saMvidyate na upalaByate/ kutas punar asya aBinivRttiH Bavizyati/
   atyantatayā āyuṣman śāriputra cakṣuḥsaṃsparśo na saṃvidyate nopalabhyate/	atyanta tayA Ayuzman SAriputra cakzuH saMsparSaH na saMvidyate na upalaByate/
   kutaḥ punar asyābhinivṛttir bhaviṣyati/ evaṃ śrotrasaṃsparśo	kutas punar asya aBinivRttiH Bavizyati/ evam Srotra saMsparSaH 
   ghrāṇasaṃsparśo jihvāsaṃsparśaḥ kāyasaṃsparśaḥ/ atyantatayā āyuṣman	GrANa saMsparSaH jihvA saMsparSaH kAya saMsparSaH/ atyanta tayA Ayuzman
   śāriputra manaḥsaṃsparśo na saṃvidyate nopalabhyate/ kutaḥ punar	SAriputra manaH saMsparSaH na saMvidyate na upalaByate/ kutas punar 
   asyābhinivṛttir bhaviṣyati/}}	asya aBinivRttiH Bavizyati/}}
   25201 {{atyantatayā āyuṣman śāriputra cakṣuḥsaṃsparśajā vedanā na	25201 {{atyanta tayA Ayuzman SAriputra cakzuH saMsparSa jAH vedanA na
   saṃvidyate nopalabhyate/ kutaḥ punar asyā abhinivṛttir bhaviṣyati/ evaṃ	saMvidyate na upalaByate/ kutas punar asyE aBinivRttiH Bavizyati/ evam
   śrotrasaṃsparśajā vedanā ghrāṇasaṃsparśajā vedanā jihvāsaṃsparśajā vedanā	Srotra saMsparSa jAH vedanA GrANa saMsparSa jA vedanA jihvA saMsparSa jA vedanA
   kāyasaṃsparśajā vedanā/ atyantatayā āyuṣman śāriputra manaḥsaṃsparśajā	kAya saMsparSa jAH vedanA/ atyanta tayA Ayuzman SAriputra manaH saMsparSa jA
   vedanā na saṃvidyate nopalabhyate/ kutaḥ punar asyā abhinivṛttir	vedanA na saMvidyate na upalaByate/ kutas punar asyE aBinivRttiH 
   bhaviṣyati/ atyantatayā āyuṣman śāriputra dānapāramitā na saṃvidyate	Bavizyati/ atyanta tayA Ayuzman SAriputra dAna pAramitA na saMvidyate
   nopalabhyate/ kutaḥ punar asyā abhinivṛttir bhaviṣyati/ evaṃ śīlapāramitā	na upalaByate/ kutas punar asyE aBinivRttiH Bavizyati/ evam SIla pAramitA
   kṣāntipāramitā vīryapāramitā dhyānapāramitā/ atyantatayā āyuṣman śāriputra	kzAnti pAramitA vIrya pAramitA DyAna pAramitA/ atyanta tayA Ayuzman SAriputra
   prajñāpāramitā na saṃvidyate nopalabhyate/ kutaḥ punar asyā abhinivṛttir	prajQApAramitA na saMvidyate na upalaByate/ kutas punar asyE aBinivRttiH 
   bhaviṣyati/ atyantatayā āyuṣman śāriputra adhyātmaśūnyatā na saṃvidyate	Bavizyati/ atyanta tayA Ayuzman SAriputra aDyAtma SUnyatA na saMvidyate
   nopalabhyate/ kutaḥ punar asyā abhinivṛttir bhaviṣyati/ evaṃ śīlapāramitā	na upalaByate/ kutas punar asyE aBinivRttiH Bavizyati/ evam SIla pAramitA
   bahirdhāśūnyatā adhyātmabahirdhāśūnyatā/ yāvad atyantatayā āyuṣman	bahirDA SUnyatA aDyAtma bahirDA SUnyatA/ yAvat atyanta tayA Ayuzman
   śāriputra abhāvasvabhāvaśūnyatā na saṃvidyate nopalabhyate/ kutaḥ punar	SAriputra aBAva svaBAva SUnyatA na saMvidyate na upalaByate/ kutas punar 
   asyā abhinivṛttir bhaviṣyati/ atyantatayā āyuṣman śāriputra	asyE aBinivRttiH Bavizyati/ atyanta tayA Ayuzman SAriputra
   smṛtyupasthānāni na saṃvidyante nopalabhyante/ kutaḥ punar eṣām	smRti upasTAnAni na saMvidyante na upalaByante/ kutas punar ezAm
   abhinivṛttir bhaviṣyati/ evaṃ samyakprahāṇāny ṛddhipādā indriyāni balāni	aBinivRttiH Bavizyati/ evam samyak prahANAni RdDipAdAH indriyAni balAni
   bodhyaṅgāni mārgā apramāṇadhyānāni ārūpyasamāpattayo daśabalāni	boDi aFgAni mArgAH apramANa DyAnAni ArUpya samApattayaH daSa balAni
   vaiśāradyāni pratisaṃvidāḥ/}}	vESAradyAni pratisaMvidAH/}}
   25202 {{atyantatayā āyuṣman śāriputra aṣṭādaśāveṇikā buddhadharmā na	25202 {{atyanta tayA Ayuzman SAriputra azwAdaSa AveNikAH budDa DarmA na
   saṃvidyante nopalabhyante/ kutaḥ punar eṣām abhinivṛttir bhaviṣyati/}}	saMvidyante na upalaByante/ kutas punar ezAm aBinivRttiH Bavizyati/}}
   atyantatayā samādhayo dhāraṇīmukhāni na {saṃvidyante nopalabhyante}/	atyanta tayA samADayaH DAraNI muKAni na {saMvidyante na upalaByante}/
   {kutaḥ punar eṣām abhinivṛttir bhaviṣyati}/ atyantatayā	{kutas punar ezAm aBinivRttiH Bavizyati}/ atyanta tayA
   25203 śrāvakaḥ pratyekabuddho bodhisattvas tathāgato 'rhan samyaksaṃbuddho	25203 SrAvakaH pratyekabudDaH boDisattvaH taTAgataH arhan samyaksaMbudDaH 
   na {saṃvidyate nopalabhyate}/ {kutaḥ punar asyābhinivṛttir bhaviṣyati}/	na {saMvidyate na upalaByate}/ {kutas punar asya aBinivRttiH Bavizyati}/
   25204 anen{āyuṣman} {śāriputra} paryāyeṇa ātmātmeti cocyate atyantatayā	25204 anen{Ayuzman} {SAriputra} paryAyeNa Atma AtmA iti ca ucyate atyanta tayA
   cānabhinivṛtta	ca anaBinivRtta
   25205 ātmā/	25205 AtmA/
   25206 punar aparaṃ yad {āyuṣmān} {śāriputra} evam āha/ abhāvasvabhāvāḥ	25206 punar aparam yat {AyuzmAn} {SAriputra} evam Aha/ aBAva svaBAvAH
   sarvadharmā iti/	sarva DarmAH iti/
   25207 evam etat/ tat kasya hetoḥ/ tathā hy {āyuṣman} {śāriputra} nāsti	25207 evam etat/ tat kasya hetoH/ taTA hi {Ayuzman} {SAriputra} na asti
   sāṃyogikaḥ svabhāvaḥ/	sAMyogikaH svaBAvaH/
   25208 {śāriputra} āha/ kasy{āyuṣman} {subhūte} nāsti sāṃyogikaḥ svabhāvaḥ/	25208 {SAriputra} Aha/ kasy{Ayuzman} {suBUte} na asti sAMyogikaH svaBAvaH/
   25209 {subhūtir} āha/ rūpasy{āyuṣman} {śāriputra} nāsti sāṃyogikaḥ	25209 {suBUtir} Aha/ rUpasy{Ayuzman} {SAriputra} na asti sAMyogikaH
   svabhāvaḥ/ vedanāyāḥ	svaBAvaH/ vedanAyAH
   25210 saṃjñāyāḥ saṃskārāṇāṃ vijñānasy{āyuṣman} {śāriputra} nāsti	25210 saMjQAyAH saMskArANAm vijQAnasy{Ayuzman} {SAriputra} na asti
   sāṃyogikaḥ svabhāvaḥ/	sAMyogikaH svaBAvaH/
   25211 {{cakṣusa āyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/ śrotrasya	25211 {{cakzusaH Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/ Srotrasya
   ghrāṇasya jihvāyāḥ kāyasya manasa āyuṣman śāriputra nāsti sāṃyogikaḥ	GrANasya jihvAyAH kAyasya manasaH Ayuzman SAriputra na asti sAMyogikaH
   svabhāvaḥ/ rūpasyāyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/ śabdasya	svaBAvaH/ rUpasya Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/ Sabdasya
   gandhasya rasasya spraṣṭavyasya dharmasyāyuṣman śāriputra nāsti sāṃyogikaḥ	ganDasya rasasya sprazwavyasya Darmasya Ayuzman SAriputra na asti sAMyogikaH
   svabhāvaḥ/ cakṣurvijñānasyāyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/	svaBAvaH/ cakzuH vijQAnasya Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/
   śrotravijñānasya ghrāṇavijñānasya jihvāvijñānasya kāyavijñānasya	Srotra vijQAnasya GrANa vijQAnasya jihvA vijQAnasya kAya vijQAnasya
   manasovijñānasyāyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/	manasaH vijQAnasya Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/
   cakṣuḥsaṃsparśasyāyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/	cakzuH saMsparSasya Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/
   śrotrasaṃsparśasya ghrāṇasaṃsparśasya jihvāsaṃsparśasya kāyasaṃsparśasya	Srotra saMsparSasya GrANa saMsparSasya jihvA saMsparSasya kAya saMsparSasya
   manaḥsaṃsparśasyāyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/	manaH saMsparSasya Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/
   cakṣuḥsaṃsparśapratyayavedanāyā āyuṣman śāriputra nāsti sāṃyogikaḥ	cakzuH saMsparSa pratyaya vedanAyAH Ayuzman SAriputra na asti sAMyogikaH
   svabhāvaḥ/ śrotrasaṃsparśapratyayavedanāyā ghrāṇasaṃsparśapratyayavedanāyā	svaBAvaH/ Srotra saMsparSa pratyaya vedanAyAH GrANa saMsparSa pratyaya vedanAyAH 
   jihvāsaṃsparśapratyayavedanāyāḥ kāyasaṃsparśapratyayavedanāyā	jihvA saMsparSa pratyaya vedanAyAH kAya saMsparSa pratyaya vedanAyAH 
   manaḥsaṃsparśapratyayavedanāyā āyuṣman śāriputra nāsti sāṃyogikaḥ	manaH saMsparSa pratyaya vedanAyAH Ayuzman SAriputra na asti sAMyogikaH
   svabhāvaḥ/}}	svaBAvaH/}}
   25212 {{dānapāramitāyā āyuṣman śāriputra nāsti sāṃyogikaḥ svabhāvaḥ/	25212 {{dAna pAramitAyAH Ayuzman SAriputra na asti sAMyogikaH svaBAvaH/
   śīlapāramitāyāḥ kṣāntipāramitāyā vīryapāramitāyā dhyānapāramitāyāḥ/}}	SIla pAramitAyAH kzAnti pAramitAyAH vIrya pAramitAyAH DyAna pAramitAyAH/}}
   nāsti prajñāpāramitāyā sāṃyogikaḥ	na asti prajQApAramitAyA sAMyogikaH
   25213 svabhāvaḥ/ anen{āyuṣman} {śāriputra} paryāyeṇāsvabhāvāḥ	25213 svaBAvaH/ anen{Ayuzman} {SAriputra} paryAyeNa asvaBAvAH
   sarvadharmāḥ/	sarva DarmAH/
   25214 punar aparam {āyuṣman} {śāriputra} anityāḥ sarvadharmā na kasyacid	25214 punar aparam {Ayuzman} {SAriputra} anityAH sarva DarmAH na kasyacid 
   vigamena/	vigamena/
   25215 {śāriputra} āha/ katame te {āyuṣman} {subhūte} anityāḥ sarvadharmā	25215 {SAriputra} Aha/ katame te {Ayuzman} {suBUte} anityAH sarva DarmA
   na kasyacid vigamena/	na kasyacid vigamena/
   25216 {subhūtir} āha/ rūpam {āyuṣman} {śāriputra} anityaṃ na kasyacid	25216 {suBUtir} Aha/ rUpam {Ayuzman} {SAriputra} anityam na kasyacid 
   vigamena/ {vedanā saṃjñā saṃskārā} vijñāna 	vigamena/ {vedanA saMjQA saMskArA} vijQAna 
   25217 m {āyuṣman} {śāriputra} anityaṃ na kasyacid vigamena/ tat kasya	25217 m {Ayuzman} {SAriputra} anityam na kasyacid vigamena/ tat kasya
   hetoḥ/ tathā hy {āyuṣman} {śāriputra}	hetoH/ taTA hi {Ayuzman} {SAriputra}
   25218 yad anityaṃ so 'bhāvaḥ kṣayaś ca evaṃ duḥkhāḥ anātmānaḥ śāntāḥ śūnyā	25218 yat anityam saH aBAvaH kzayaH ca evam duHKAH anAtmAnaH SAntAH SUnyA
   animittā	animittA
   25219 apraṇihitā na kasyacid vigamena sarvadharmāḥ kuśalā anavadyā	25219 apraNihitAH na kasyacid vigamena sarva DarmAH kuSalAH anavadyA
   anāsravā	anAsravA
   25220 niḥkleśā lokottarā avyavadānā asaṃskṛtāḥ/ tat kasya hetoḥ/ tathā	25220 niHkleSAH loka uttarAH avyavadAnAH asaMskRtAH/ tat kasya hetoH/ taTA
   25221 hy {āyuṣman} {śāriputra} yo 'saṃskṛtaḥ so 'bhāvaḥ kṣayaś	25221 hi {Ayuzman} {SAriputra} yaH asaMskRtaH saH aBAvaH kzaya H 
   cāne{āyuṣman} {śāriputra} paryāyeṇa niḥsvabhāvāḥ	ca ane{Ayuzman} {SAriputra} paryAyeNa niHsvaBAvAH
   25222 sarvadharmā na kasyacid vigamena/	25222 sarva DarmAH na kasyacid vigamena/
   25223 punar aparaṃ {śāriputra} akūṭasthā avināśinaḥ sarvadharmāḥ/	25223 punar aparam {SAriputra} akUwa sTAH avinASinaH sarva DarmAH/
   25224 {śāriputra} āha/ kena kāraṇen{āyuṣman} {subhūte} akūṭasthā	25224 {SAriputra} Aha/ kena kAraNen{Ayuzman} {suBUte} akUwa sTA
   'vināśinaḥ sarvadharmāḥ/	avinASinaH sarva DarmAH/
   25301 {subhūtir} āha/ rūpam {āyuṣman} {śāriputra} akūṭastham avināśi/ tat	25301 {suBUtir} Aha/ rUpam {Ayuzman} {SAriputra} akUwa sTam avinASi/ tat 
   kasya hetoḥ/	kasya hetoH/
   25302 prakṛtir asyaiṣā/ {vedanā saṃjñā saṃskārā} vijñānam {āyuṣman}	25302 prakRtiH asya ezA/ {vedanA saMjQA saMskArA} vijQAnam {Ayuzman}
   {śāriputra} {akūṭastham avināśi}/ {tat kasya hetoḥ}/ {prakṛtir asyaiṣā}/	{SAriputra} {akUwa sTam avinASi}/ {tat kasya hetoH}/ {prakRtiH asya ezA}/
   evaṃ kuśalam akuśalaṃ	evam kuSalam akuSalam
   25303 sāvadyam anavadyaṃ sāsravam anāsravaṃ saṃkleśaṃ niḥkleśaṃ laukikaṃ	25303 sAvadyam anavadyam sa Asravam anAsravam saMkleSam niHkleSam lOkikam
   lokottaraṃ saṃskṛtam a 	loka uttaram saMskRtam a 
   25304 saṃskṛtaṃ saṃkleśo vyavadānaṃ saṃsāro nirvāṇaṃ {akūṭastham avināśi}/	25304 saMskRtam saMkleSaH vyavadAnam saMsAraH nirvANam {akUwa sTam avinASi}/
   {tat kasya hetoḥ}/ {prakṛtir asyaiṣā}/ anen{āyuṣman} {śāriputra}	{tat kasya hetoH}/ {prakRtiH asya ezA}/ anen{Ayuzman} {SAriputra}
   25305 paryāyeṇābhāvasvabhāvāḥ sarvadharmāḥ/	25305 paryAyeNa aBAva svaBAvAH sarva DarmAH/
   25306 yat punar {āyuṣman} {śāriputra} evam āha/ kena kāraṇena rūpam	25306 yat punar {Ayuzman} {SAriputra} evam Aha/ kena kAraNena rUpam
   anabhisaṃskṛtam evaṃ {vedanā saṃjñā saṃskārāḥ} kena	anaBisaMskRtam evam {vedanA saMjQA saMskArAH} kena
   25307 kāraṇena vijñānam anabhisaṃskṛtam iti/	25307 kAraNena vijQAnam anaBisaMskRtam iti/
   25308 {subhūtir} āha/ tathā hy {āyuṣman} {śāriputra} rūpam anabhinivṛttaṃ	25308 {suBUtir} Aha/ taTA hi {Ayuzman} {SAriputra} rUpam anaBinivRttam
   {vedanā saṃjñā saṃskārā} vijñānam anabhi 	{vedanA saMjQA saMskArA} vijQAnam anaBi 
   25309 nivṛttam/ tat kasya hetoḥ/ tathā hy {āyuṣman} {śāriputra}	25309 nivRttam/ tat kasya hetoH/ taTA hi {Ayuzman} {SAriputra}
   abhisaṃskarttā nāsti/ cakṣu 	aBisaMskarttA nAsti/ cakzu 
   25310 r {āyuṣman} {śāriputra} anabhisaṃskṛtam/ tat kasya hetoḥ/ tathā hy	25310 r {Ayuzman} {SAriputra} anaBisaMskRtam/ tat kasya hetoH/ taTA hi 
   {āyuṣman} {śāriputra} abhi 	{Ayuzman} {SAriputra} aBi 
   25311 saṃskarttā nāsti/ evaṃ śrotram {{ghrāṇaṃ jihvā kāyo}} mano	25311 saMskarttA nAsti/ evam Srotram {{GrANam jihvA kAyaH }} manaH 
   'nabhisaṃskṛtam	anaBisaMskRtam
   25312 {{tat kasya hetoḥ/ tathā hy āyuṣman śāriputra abhisaṃskarttā	25312 {{tat kasya hetoH/ taTA hi Ayuzman SAriputra aBisaMskarttA
   nāsti/}} punar aparaṃ {śāriputra} rūpam {{śabdo gandho rasaḥ spraṣṭavyaṃ}}	nAsti/}} punar aparam {SAriputra} rUpam {{SabdaH ganDaH rasaH sprazwavyaM}}
   dharmā anabhisaṃskṛtāḥ/ tat kasya hetoḥ/	DarmAH anaBisaMskRtAH/ tat kasya hetoH/
   25313 tathā hy abhisaṃskarttā nopalabhyate yāvat sarvadharmā	25313 taTA hi aBisaMskarttA na upalaByate yAvat sarva DarmA
   anabhisaṃskṛtāḥ/ tat kasya	anaBisaMskRtAH/ tat kasya
   25314 hetoḥ/ tathā hy abhisaṃskarttā nopalabhate/ anen{āyuṣman}	25314 hetoH/ taTA hi aBisaMskarttA na upalaBate/ anen{Ayuzman}
   {śāriputra} paryāyeṇa rūpa{{vedanāsaṃjñāsaṃskāra }}	{SAriputra} paryAyeNa rUpa{{ vedanA saMjQA saMskAra  }}
   25315 vijñānāny anabhinivṛttāni/	25315 vijQAnAni anaBinivRttAni/
   25316 yat punar {āyuṣman} {śāriputra} evaṃ vadasi kena kāraṇena yad	25316 yat punar {Ayuzman} {SAriputra} evam vadasi kena kAraNena yat 
   anabhinivṛttaṃ na tad rūpaṃ na	anaBinivRttam na tat rUpam na
   25317 vedanā na saṃjñā na saṃskārā na vijñānam iti/	25317 vedanA na saMjQA na saMskArAH na vijQAnam iti/
   25318 {subhūtir} āha/ tathā hy {āyuṣman} {śāriputra} rūpaṃ prakṛtiśūnyam/	25318 {suBUtir} Aha/ taTA hi {Ayuzman} {SAriputra} rUpam prakRti SUnyam/
   yac ca prakṛtiśūnyaṃ na	yat ca prakRti SUnyam na
   25319 tasyotpādo na vyayaḥ/ yasya ca notpādo na vyayo na tasyānyathātvaṃ	25319 tasya utpAdaH na vyayaH/ yasya ca na utpAdaH na vyayaH na tasya anyaTAtvam
   prajñāyate/	prajQAyate/
   25320 {vedanā saṃjñā saṃskārā} vijñānaṃ prakṛtiśūnyaṃ {{yac ca	25320 {vedanA saMjQA saMskArA} vijQAnam prakRti SUnyam {{yat ca
   prakṛtiśūnyaṃ na tasyotpādo na vyayaḥ/ yasya ca notpādo na vyayo na	prakRti SUnyam na tasya utpAdaH na vyayaH/ yasya ca na utpAdaH na vyayaH na
   tasyānyathātvaṃ prajñāyate/}} evaṃ yāvat sarvadharmāḥ	tasya anyaTAtvam prajQAyate/}} evam yAvat sarva DarmAH
   25321 prakṛtiśūnyā ye ca {{prakṛtiśūnyā na teṣām utpādo na vyayaḥ/ yeṣāṃ	25321 prakRti SUnyAH ye ca {{ prakRti SUnyA na tezAm utpAdaH na vyayaH/ yezAm
   ca notpādo na vyayo na teṣām anyathātvaṃ prajñāyate/}} anen{āyuṣman}	ca na utpAdaH na vyayaH na tezAm anyaTAtvam prajQAyate/}} anen{Ayuzman}
   {śāriputra} paryāyeṇa	{SAriputra} paryAyeNa
   25322 yad anabhinivṛttaṃ na tad rūpaṃ {{vedanā saṃjñā saṃskārā}} na	25322 yat anaBinivRttam na tat rUpam {{vedanA saMjQA saMskArA}} na
   vijñānam/	vijQAnam/
   25401 yat punar {āyuṣman} {śāriputra} evam āha/ kena kāraṇenaivaṃ vadasi/	25401 yat punar {Ayuzman} {SAriputra} evam Aha/ kena kAraNena evam vadasi/
   tat kim anabhi 	tat kim anaBi 
   25402 nivṛttim anabhinivṛttau prajñāpāramitāyām avavadiṣyāmy	25402 nivRttim anaBinivRttO prajQApAramitAyAm avavadizyAmi 
   anuśāsiṣyāmīti/ yathā	anuSAsizyAmi iti/ yaTA
   25403 hy {āyuṣman} {śāriputra} yā anabhinivṛttiḥ sā prajñāpāramitā yā	25403 hi {Ayuzman} {SAriputra} yA anaBinivRttiH sA prajQApAramitA yA
   prajñāpāramitā sā	prajQApAramitA sA
   25404 anabhinivṛttiḥ/ iti hi prajñāpāramitā cānabhinivṛttiś cādvayam etad	25404 anaBinivRttiH/ iti hi prajQApAramitA ca anaBinivRttiH ca advayam etat 
   advaidhīkāram/	advEDIkAram/
   25405 anen{āyuṣman} {śāriputra} paryāyeṇaivaṃ vadāmi/ tat {{kim	25405 anen{Ayuzman} {SAriputra} paryAyeNa evam vadAmi/ tat {{kim
   anabhinivṛttim anabhinivṛttau prajñāpāramitāyām avavadiṣyāmy	anaBinivRttim anaBinivRttO prajQApAramitAyAm avavadizyAmi 
   anuśāsiṣyāmīti/}}	anuSAsizyAmi iti/}}
   25406 yat punar {āyuṣman} {śāriputra} evam āha/ na cānyatrānabhinivṛtter	25406 yat punar {Ayuzman} {SAriputra} evam Aha/ na ca anyatra anaBinivRtteH 
   bodhisattva upalabhyate	boDisattvaH upalaByate
   25407 yo bodhāya cared iti/ tathā hy {āyuṣman} {śāriputra} {bodhisattvo}	25407 yaH boDAya caret iti/ taTA hi {Ayuzman} {SAriputra} {boDisattvaH }
   mahāsattvaḥ prajñāpāramitāyāñ caran	mahAsattvaH prajQApAramitAyAn caran
   25408 nānyām anabhinivṛttim anyaṃ bodhisattvaṃ samanupaśyati/ iti hy	25408 na anyAm anaBinivRttim anyam boDisattvam samanupaSyati/ iti hi 
   anabhinivṛttiś ca bodhi 	anaBinivRttiH ca boDi 
   25409 sattvaś cādvayam etad advaidhīkāraṃ nānyatrānabhinivṛtteḥ rūpaṃ	25409 sattvaH ca advayam etat advEDIkAram na anyatra anaBinivRtteH rUpam
   samanupaśyati	samanupaSyati
   25410 {{iti hy anabhinivṛttiś ca rūpaṃ cādvayam etad advaidhīkāraṃ/ iti hy	25410 {{iti hi anaBinivRttiH ca rUpam ca advayam etat advEDIkAraM/ iti hi 
   anabhinivṛttiś ca vedanā cādvayam etad advaidhīkāraṃ/ iti hy	anaBinivRttiH ca vedanA ca advayam etat advEDIkAraM/ iti hi 
   anabhinivṛttiś ca saṃjñā cādvayam etad advaidhīkāraṃ/ iti hy	anaBinivRttiH ca saMjQA ca advayam etat advEDIkAraM/ iti hi 
   anabhinivṛttiś ca saṃskārāś cādvayam etad advaidhīkāraṃ/ iti hy	anaBinivRttiH ca saMskArAH ca advayam etat advEDIkAraM/ iti hi 
   anabhinivṛttiś ca vijñānaṃ cādvayam etad advaidhīkāraṃ/}}	anaBinivRttiH ca vijQAnam ca advayam etat advEDIkAraM/}}
   25411 iti hy anabhinivṛttiś ca cakṣuś cādvayam etad advaidhīkāram/	25411 iti hi anaBinivRttiH ca cakzuH ca advayam etat advEDIkAram/
   25412 {{iti hy anabhinivṛttiś ca śrotraṃ cādvayam etad advaidhīkāram/ iti	25412 {{iti hi anaBinivRttiH ca Srotram ca advayam etat at vEDIkAram/ iti
   hy anabhinivṛttiś ca ghrāṇaṃ cādvayam etad advaidhīkāram/ iti hy	hi anaBinivRttiH ca GrANam ca advayam etat advEDIkAram/ iti hi 
   anabhinivṛttiś ca jihvā cādvayam etad advaidhīkāram/ iti hy anabhinivṛttiś	anaBinivRttiH ca jihvA ca advayam etat advEDIkAram/ iti hi anaBinivRttiH 
   ca kāyaś cādvayam etad advaidhīkāram/ iti hy anabhinivṛttiś ca manaś	ca kAyaH ca advayam etat advEDIkAram/ iti hi anaBinivRttiH ca manaH 
   cādvayam etad advaidhīkāram/ iti hy anabhinivṛttiś ca rūpaṃ cādvayam etad	ca advayam etat advEDIkAram/ iti hi anaBinivRttiH ca rUpam ca advayam etat 
