   Gaṇakārikā, 1	GaNa-kArikA, 1
   * nāsti dharmād ṛte yoga iti yogavido viduḥ iti // GkT_1.6ab:104	* na-asti DarmAt Rte yogaH iti yoga-vidaH viduH iti // GkT_1.6ab:104
   * tasmād upasparśanādibhiḥ prasannaṃ cittaṃ kṛtvā sarvasyādharmasya	* tasmAt upasparSana-AdiBiH prasannam cittam kRtvA sarvasya-aDarmasya
   kṣapaṇārthaṃ vidhiyogānuṣṭhānam evātyantādyabhiyogena kartavyaṃ na	kzapaNa-arTam viDi-yoga-anuzWAnam eva-atyanta-Adi-aBiyogena kartavyam na
   prāyaścittāntaram iti // GkT_1.6ab:105	prAyaScitta-antaram iti // GkT_1.6ab:105
   * tathā daśāhiṃsādayo yamāś caryānugrāhakā yadā tadā vidhyantarbhūtā yadā	* taTA daSa-ahiMsA-AdayaH yamAH caryA-anugrAhakAH yadA tadA viDi-antarBUtA yadA
   tu yogakriyānugrāhakās tadā yogāntarbhūtā iti // GkT_1.6ab:106	tu yoga-kriyA-anugrAhakAH tadA yoga-antarBUtAH iti // GkT_1.6ab:106
   * tatra vākkāyamanobhiḥ paraduḥkhānutpādanam ahiṃsā indriyasaṃyamo	* tatra vAc-kAya-manoBiH para-duHKa-anutpAdanam ahiMsA indriya-saMyamaH-
   brahmacaryaṃ dharmasādhanānaṅgavacanapratiṣedhaḥ satyaṃ varṇāśramibhiḥ	brahmacaryam Darma-sADana-anaFga-vacana-pratizeDaH satyam varNa-ASramiBiH
   saha dṛṣṭārthasaṃgatipratiṣedho 'saṃvyavahāraḥ dharmasādhanāṅgād	saha dRzwa-arTa-saMgati-pratizeDaH asaMvyavahAraH Darma-sADana-aFgAt-
   abhyadhikasya nyāyato 'py asvīkaraṇam anyāyatas tu dharmasādhanāṅgasyāpy	aByaDikasya nyAyataH api asvIkaraNam anyAyataH tu Darma-sADana-aFgasya-api-
   asvīkaraṇaṃ cāsteyaṃ parair apakṛtasyāpy amlānacittatvam akrodhaḥ	asvIkaraNam ca-asteyam parEH apakRtasya-api amlAna-citta-tvam akroDaH
   vākkāyamanobhir gurau hitabhāvenaiva vartanaṃ guruśuśrūṣā	vAc-kAya-manoBiH gurO hita-BAvena-eva vartanam guru-SuSrUzA
   kāyāntaḥkaraṇātmaśuddhiḥ śaucaṃ svavṛttyaivopārjitānnasya	kAya-antaHkaraNa-Atma-SudDiH SOcam sva-vRttyA-eva-upArjita-annasya
   vidhiyogānuṣṭhānāvirodhenābhyavaharaṇam āhāralāghavam // GkT_1.6ab:107	viDi-yoga-anuzWAna-aviroDena-aByavaharaNam AhAra-lAGavam // GkT_1.6ab:107
   * aṣṭau grāsā muner iti kecit tan neṣṭaṃ vidhiyogānuṣṭhānavirodhaprasaṅgāt	* azwO grAsAH muneH iti kecid tat na-izwam viDi-yoga-anuzWAna-viroDa-prasaFgAt-
   // GkT_1.6ab:108	// GkT_1.6ab:108
   * savyañjanāśanodakābhyāṃ koṣṭhasya bhāgatrayaṃ pūrayitvā caturthaṃ bhāgaṃ	* sa-vyaQjana-aSana-udakAByAm kozWasya BAga-trayam pUrayitvA caturTam BAgam
   vāyoḥ saṃcaraṇārtham avaśeṣayed ity anye // GkT_1.6ab:109	vAyoH saMcaraNa-arTam avaSezayet iti anye // GkT_1.6ab:109
   * tad iṣṭam evāvirodhāt // GkT_1.6ab:110	* tat izwam eva-aviroDAt // GkT_1.6ab:110
   * atra ca pañcavidhabhaikṣābhidhāyakaṃ vākyaṃ caren mādhukarīm ityādy	* atra ca paQcaviDa-BEkza-aBiDAyakam vAkyam caret mADukarIm ityAdi-
   avirodhena vyākhyeyam // GkT_1.6ab:111	aviroDena vyAKyeyam // GkT_1.6ab:111
   * yathāvihitavidhiyogānuṣṭhāne satatam evodyamo 'pramādaḥ // GkT_1.6ab:112	* yaTA-vihita-viDi-yoga-anuzWAne satatam eva-udyamaH apramAdaH // GkT_1.6ab:112
   * ayaṃ ca pradhānabhūto yamaḥ // GkT_1.6ab:113	* ayam ca praDAna-BUtaH yamaH // GkT_1.6ab:113
   * tathā coktam /	* taTA ca-uktam /
   * yatidharmasya sadbhāvaḥ śrūyatāṃ guṇadoṣataḥ /	* yati-Darmasya sadBAvaH SrUyatAm guNa-dozataH /
   * apramādāt parā siddhiḥ pramādān narakaṃ dhruvam // GkT_1.6ab:114	* apramAdAt parA sidDiH pramAdAt narakam Druvam // GkT_1.6ab:114
   * iti /	* iti /
   * vāso 'pi jñānotpādanadvāreṇa caryānugrāhakatvād guṇavidhir eveti //	* vAsaH api jQAna-utpAdana-dvAreNa caryA-anugrAhaka-tvAt guNa-viDiH eva-iti //
   GkT_1.6ab:115	GkT_1.6ab:115
   * cittadvāreṇeśvarasambandhaḥ puruṣasya yogaḥ // GkT_1.6ab:116	* citta-dvAreNa-ISvara-sambanDaH puruzasya yogaH // GkT_1.6ab:116
   * sa dvividhaḥ kriyālakṣaṇaḥ kriyoparamalakṣaṇaś ceti // GkT_1.6ab:117	* sa dviviDaH kriyA-lakzaNaH kriyA-uparama-lakzaNaH ca-iti // GkT_1.6ab:117
   * tatra kriyālakṣaṇo japayantraṇadhāraṇadhyānasmaraṇātmaka iti //	* tatra kriyA-lakzaNaH japa-yantraNa-DAraNa-DyAna-smaraNa-AtmakaH iti //
   GkT_1.6ab:118	GkT_1.6ab:118
   * vakṣyāmaḥ // GkT_1.6ab:119	* vakzyAmaH // GkT_1.6ab:119
   * kriyoparamalakṣaṇo 'py atigatyādiśabdavācya iti // GkT_1.6ab:120	* kriyA-uparama-lakzaNaH api atigati-Adi-Sabda-vAcyaH iti // GkT_1.6ab:120
   * śāstrāntaroktapadārthebhyo 'mīṣām atiśayābhidhānaṃ viśeṣaḥ //	* SAstra-antara-ukta-padArTeByaH amIzAm atiSaya-aBiDAnam viSezaH //
   GkT_1.6ab:121	GkT_1.6ab:121
   * tathāhi śāstrāntare duḥkhanivṛttir eva duḥkhāntaḥ iha tu	* taTA-hi SAstra-antare duHKa-nivRttiH eva duHKAntaH iha tu
   paramaiśvaryaprāptiś ca // GkT_1.6ab:122	parama-ESvarya-prAptiH ca // GkT_1.6ab:122
   * tathānyatrābhūtvā bhāvi kāryam iha tu nityaṃ paśvādi // GkT_1.6ab:123	* taTA-anyatra-aBUtvA BAvi kAryam iha tu nityam paSu-Adi // GkT_1.6ab:123
   * tathānyatrāsvatantraṃ pradhānādi kāraṇam iha tu svatantro bhagavān eva	* taTA-anyatra-asvatantram praDAna-Adi kAraNam iha tu svatantraH BagavAn eva
   // GkT_1.6ab:124	// GkT_1.6ab:124
   * tathānyatra kaivalyābhyudayaphalo yogaḥ iha tu paramaduḥkhāntaphalaḥ //	* taTA-anyatra kEvalya-aByudaya-PalaH yogaH iha tu parama-duHKa-anta-PalaH //
   GkT_1.6ab:125	GkT_1.6ab:125
   * tathānyatrāvartakaḥ svargādiphalo vidhir iha tv anāvartako	* taTA-anyatra-AvartakaH svarga-Adi-PalaH viDiH iha tu anAvartakaH-
   rudrasamīpādiphala iti // GkT_1.6ab:126	rudra-samIpa-Adi-PalaH iti // GkT_1.6ab:126
   * padārthānāṃ samāptisaṃhāras tatra duḥkhakāryakāraṇavidhīnām iti śabdena	* padArTAnAm samApti-saMhAraH tatra duHKa-kArya-kAraNa-viDInAm iti Sabdena
   samāptir uktā // GkT_1.6ab:127	samAptiH uktAH // GkT_1.6ab:127
   * yogasya tu tvāśabdeneti // GkT_1.6ab:128	* yogasya tu tvA-Sabdena-iti // GkT_1.6ab:128
   * samāptānāṃ niḥśeṣīkaraṇārthaṃ prāsaṅgikasaṃśayanivṛttyarthaṃ ca	* samAptAnAm niHSezIkaraNa-arTam prAsaFgika-saMSaya-nivRtti-arTam ca
   dharmāntarābhidhānaṃ nigamanam // GkT_1.6ab:129	Darma-antara-aBiDAnam nigamanam // GkT_1.6ab:129
   * pratijñātārthena sahaikavākyatvakhyāpanārtham ity anye // GkT_1.6ab:130	* pratijQAta-arTena saha-eka-vAkya-tva-KyApana-arTam iti anye // GkT_1.6ab:130
   * tad evaṃ vidhiyogayoḥ kāryāntarbhāve 'pi atiprayojanavaśāt	* tat evam viDi-yogayoH kArya-antarBAve api ati-prayojana-vaSAt-
   pṛthagabhidhānaṃ kṛtvā pañcānām eva samāsādaya uktā ity ataḥ pañcaiva	pRTak-aBiDAnam kRtvA paQcAnAm eva samAsAdayaH uktAH iti atas paQca-eva
   padārthā ucyante // GkT_1.6ab:131	padArTAH ucyante // GkT_1.6ab:131
   * anye tu padārthabhedam anyathā varṇayanti // GkT_1.6ab:132	* anye tu padArTa-Bedam anyaTA varNayanti // GkT_1.6ab:132
   * tattvaṃ guṇo bhāva iti // GkT_1.6ab:133	* tattvam guNaH BAvaH iti // GkT_1.6ab:133
   * tatra yad anāśritaṃ tat tattvam // GkT_1.6ab:134	* tatra yat anASritam tat tattvam // GkT_1.6ab:134
   * tac ca viṃśatibhedam // GkT_1.6ab:135	* tat ca viMSati-Bedam // GkT_1.6ab:135
   * pañca pṛthivyādīni trayodaśendriyāṇi paśuḥ kāraṇaṃ ceti // GkT_1.6ab:136	* paQca pRTivI-AdIni trayodaSa-indriyANi paSuH kAraNam ca-iti // GkT_1.6ab:136
   * tattvavṛttayaḥ bhāvāśrayā guṇās tatra pṛthivyādiṣu yathāsambhavaṃ	* tattva-vRttayaH BAva-ASrayAH guNAH tatra pRTivI-Adizu yaTAsamBavam
   rūparasagandhasparśaśabdāḥ pañcaiva vartante // GkT_1.6ab:137	rUpa-rasa-ganDa-sparSa-SabdAH paQca-eva vartante // GkT_1.6ab:137
   * indriyatattvāni tu nirguṇāni // GkT_1.6ab:138	* indriya-tattvAni tu nirguNAni // GkT_1.6ab:138
   * paśuṣu sapta guṇā vartante	* paSuzu sapta guNAH vartante
   paśutvadharmādharmacittavidyāprayatnecchālakṣaṇāḥ // GkT_1.6ab:139	paSutva-Darma-aDarma-citta-vidyA-prayatna-icCA-lakzaNAH // GkT_1.6ab:139
   * sukhādīnāṃ tu tadvikāratvāt tadantarbhāva eva mṛdvikāravat //	* suKa-AdInAm tu tad-vikAra-tvAt tad-antarBAvaH eva mRd-vikAra-vat //
   GkT_1.6ab:140	GkT_1.6ab:140
   * kāraṇe trayo guṇāḥ kāmārthitvavipratvākhyā iti dharmibhyo	* kAraNe trayaH guNAH kAma-arTi-tva-vipra-tva-AKyAH iti DarmiByo
   'nyānanyatvenānirvacanīyāḥ // GkT_1.6ab:141	anyAn-anya-tvena-anirvacanIyAH // GkT_1.6ab:141
   * sattvaguṇānāṃ dharmā bhāvā ity ucyante // GkT_1.6ab:142	* sattva-guNAnAm DarmAH BAvAH iti ucyante // GkT_1.6ab:142
   * tadvicāraś ca satkāryavicāre kṛte iti neha kriyate // GkT_1.6ab:143	* tad-vicAraH ca satkArya-vicAre kRte iti na-iha kriyate // GkT_1.6ab:143
   * tad evaṃ kāraṇādiniścayajñānaṃ prathamo lābha iti // GkT_1.6ab:144	* tat evam kAraNa-Adi-niScaya-jQAnam praTamaH lABaH iti // GkT_1.6ab:144
   * dvitīyaṃ lābham āha tapaḥ iti // GkT_1.6ab:145	* dvitIyam lABam Aha tapaH iti // GkT_1.6ab:145
   * bhasmasnānādividhijanito dharmas tapa ity ucyate // GkT_1.6ab:146	* Basma-snAna-Adi-viDi-janitaH DarmaH tapaH iti ucyate // GkT_1.6ab:146
   * tasyotpādo rakṣaṇādiliṅgād api niścīyate // GkT_1.6ab:147	* tasya-utpAdaH rakzaNa-Adi-liFgAt api niScIyate // GkT_1.6ab:147
   * adharmataskareṇa sanmārgād apahriyamāṇaḥ sādhakaḥ purapālasthānīyena	* aDarma-taskareNa sat-mArgAt apahriyamANaH sADakaH purapAla-sTAnIyena
   dharmeṇa rakṣyate // GkT_1.6ab:148	DarmeNa rakzyate // GkT_1.6ab:148
   * avasthānād avasthāntaragamanaṃ gatiḥ // GkT_1.6ab:149	* avasTAnAt avasTA-antara-gamanam gatiH // GkT_1.6ab:149
   * vihitānuṣṭhāna eva saṃtoṣaḥ prītiḥ // GkT_1.6ab:150	* vihita-anuzWAnaH eva saMtozaH prItiH // GkT_1.6ab:150
   * lābhasambandhaḥ prāptiḥ // GkT_1.6ab:151	* lABa-sambanDaH prAptiH // GkT_1.6ab:151
   * yadbalena vidhiyogābhiniviṣṭasya cittaṃ rambhādīnāṃ gītavādyādibhir api	* yat-balena viDi-yoga-aBinivizwasya cittam ramBA-AdInAm gIta-vAdya-AdiBiH api
   kṣobhayituṃ na śakyate tanmāhātmyaṃ dharmaśaktir ity arthaḥ //	kzoBayitum na Sakyate tat-mAhAtmyam Darma-SaktiH iti arTaH //
   GkT_1.6ab:152	GkT_1.6ab:152
   * atigatisāyujyasthitiśabdā niṣṭhāyogaparyāyāḥ // GkT_1.6ab:153	* ati-gati-sAyujya-sTiti-SabdAH nizWA-yoga-paryAyAH // GkT_1.6ab:153
   * yasmin sati padārthāḥ sādhakasyādhyakṣopalabdhiyogyā bhavanti sa	* yasmin sati padArTAH sADakasya-aDyakza-upalabDi-yogyAH Bavanti sa
   prakāśaḥ dvividhaḥ parāparabhedāt // GkT_1.6ab:154	prakASaH dviviDaH para-apara-BedAt // GkT_1.6ab:154
   * tatra yena vidhiyogasādhanāni samyag vivecayati dhyeyatattve brahmaṇi ca	* tatra yena viDi-yoga-sADanAni samyak vivecayati Dyeya-tattve brahmaNi ca
   svaṃ cittaṃ samāhitaṃ cyutaṃ ca cyavamānaṃ ca lakṣayati so 'paraḥ prakāśaḥ	svam cittam samAhitam cyutam ca cyavamAnam ca lakzayati saH aparaH prakASaH
   // GkT_1.6ab:155	// GkT_1.6ab:155
   * yena tu sthāpanāvasare sarvatattvāni saguṇadharmāṇy ānantyena dṛṣṭvā	* yena tu sTApana-avasare sarva-tattvAni sa-guNa-DarmANi Anantyena dRzwvA
   yojyāyojyabhāvena vivecayati sa para iti // GkT_1.6ab:156	yojyA-yojya-BAvena vivecayati sa paraH iti // GkT_1.6ab:156
   * viṣayiṇām iṣṭaviṣayeṣv ivānicchato 'pi rudre cittavṛttipravāhaḥ samīpaṃ	* vizayiNAm izwa-vizayezu iva-anicCataH api rudre citta-vRtti-pravAhaH samIpam
   tad evātyantotkarṣāpannaṃ devanityatvam ity etat sarvaṃ	tat eva-atyanta-utkarza-Apannam deva-nitya-tvam iti etat sarvam
   dharmajñāpakatvenoktam iti // GkT_1.6ab:157	Darma-jQApaka-tvena-uktam iti // GkT_1.6ab:157
   * tṛtīyaṃ lābham āha // GkT_1.6ab:158	* tRtIyam lABam Aha // GkT_1.6ab:158
   * atha nityatvam iti // GkT_1.6ab:159	* aTa nitya-tvam iti // GkT_1.6ab:159
   * athetyānantarye tapo'nantaraṃ yad deve bhāvābhyāsalakṣaṇaṃ nityatvaṃ	* aTa-iti-Anantarye tapaH-anantaram yat deve BAva-aByAsa-lakzaNam nitya-tvam
   tṛtīyo lābhaḥ sa ucyate // GkT_1.6ab:160	tRtIyaH lABaH saH ucyate // GkT_1.6ab:160
   * na tu nityayuktatety arthaḥ // GkT_1.6ab:161	* na tu nitya-yukta-tA-iti arTaH // GkT_1.6ab:161
   * avyucchinnapravāho nityatvam atrābhipretaṃ yathā nityapravāhā gaṅgetī //	* avyucCinna-pravAhaH nitya-tvam atra-aBipretam yaTA nitya-pravAhA gaFgA-itI //
   GkT_1.6ab:162	GkT_1.6ab:162
   * caturthaṃ lābham āha sthitir iti // GkT_1.6ab:163	* caturTam lABam Aha sTitiH iti // GkT_1.6ab:163
   * doṣahetujālebhyaś chinnasya mūlākhyānivṛttau cittasya rudre 'vasthānam	* doza-hetu-jAleByaH Cinnasya mUla-AKyA-nivRttO cittasya rudre avasTAnam
   atyantaniścalatvaṃ sthitir ucyate // GkT_1.6ab:164	atyanta-niScala-tvam sTitiH ucyate // GkT_1.6ab:164
   * tatsamakālaṃ yogino 'saṅgitvādīni nava lakṣaṇāni bhavanti //	* tad-sama-kAlam yoginaH asaFgi-tva-AdIni nava lakzaNAni Bavanti //
   GkT_1.6ab:165	GkT_1.6ab:165
   * tatra lakṣyamāṇasya saṅgasyātyantavyāvṛttir asaṅgitvam // GkT_1.6ab:166	* tatra lakzyamANasya saFgasya-atyanta-vyAvRttiH asaFgi-tvam // GkT_1.6ab:166
   * kevalarudratattvāvasthiticittattvaṃ yogitvam // GkT_1.6ab:167	* kevala-rudra-tattva-avasTiti-cittattvam yogi-tvam // GkT_1.6ab:167
   * anurudhyamānacittavṛttitvaṃ nityātmatvam // GkT_1.6ab:168	* anuruDyamAna-citta-vRtti-tvam nitya-Atma-tvam // GkT_1.6ab:168
   * aprādurbhāvicittatvam ajatvam // GkT_1.6ab:169	* aprAdurBAvi-citta-tvam aja-tvam // GkT_1.6ab:169
   * paramasamatā maitratvam // GkT_1.6ab:170	* parama-sama-tA mEtra-tvam // GkT_1.6ab:170
   * śarīrādiviyuktatvam ekatvam // GkT_1.6ab:171	* SarIra-Adi-viyukta-tvam eka-tvam // GkT_1.6ab:171
   * sarvāśaṅkāsthānātikrāntatvaṃ kṣemitvam // GkT_1.6ab:172	* sarva-ASaFkA-sTAna-atikrAnta-tvam kzemi-tvam // GkT_1.6ab:172
   * bāhyādhyātmikakriyāśūnyatvaṃ niṣkriyatvam // GkT_1.6ab:173	* bAhya-ADyAtmika-kriyA-SUnya-tvam nizkriya-tvam // GkT_1.6ab:173
   * samastacintārahitatvaṃ vītaśokatvam ity etāni lakṣaṇāny asya	* samasta-cintA-rahita-tvam vIta-Soka-tvam iti etAni lakzaNAni asya
   yogasyātyantotkṛṣṭatvapratipādanārtham uktāni // GkT_1.6ab:174	yogasya-atyanta-utkRzwa-tva-pratipAdana-arTam uktAni // GkT_1.6ab:174
   * pañcamaṃ lābham āha siddhiś ca iti // GkT_1.6ab:175	* paQcamam lABam Aha sidDiH ca iti // GkT_1.6ab:175
   * siddhiḥ pūrvavyākhyātā // GkT_1.6ab:176	* sidDiH pUrva-vyAKyAtAH // GkT_1.6ab:176
   * sānumānād apy avagamyate // GkT_1.6ab:177	* sa-anumAnAt api avagamyate // GkT_1.6ab:177
   * nirupacaritā muktātmānaḥ paramaiśvaryopetāḥ puruṣatve sati	* nirupacaritAH mukta-AtmAnaH parama-ESvarya-upetAH puruza-tve sati
   samastaduḥkhabījarahitatvān maheśvaravat // GkT_1.6ab:178	samasta-duHKa-bIja-rahita-tvAt maheSvara-vat // GkT_1.6ab:178
   * parābhipretā muktātmānaḥ paramaiśvaryavikalatvād asmadādivad iti //	* para-aBipretAH mukta-AtmAnaH parama-ESvarya-vikala-tvAt asmad-Adi-vat iti //
   GkT_1.6ab:179	GkT_1.6ab:179
   * cakāro nyūnādhikavyavacchedasūcakaḥ // GkT_1.6ab:180	* cakAraH nyUna-aDika-vyavacCeda-sUcakaH // GkT_1.6ab:180
   * pañcamīti lābhānāṃ pañcatvopasaṃhārārtham iti // GkT_1.6ab:181	* paQcamI-iti lABAnAm paQcatva-upasaMhAra-arTam iti // GkT_1.6ab:181
   * athaite lābhāḥ kiṃ deśaniyamena prāptavyā yathā	* aTa-ete lABAH kim deSa-niyamena prAptavyA yaTA
   brahmacārigṛhasthavānaprasthabhikṣubhir vidyāprajātayogākhyā lābhāḥ kiṃ vā	brahmacAri-gRhasTa-vAnaprasTa-BikzuBiH vidyA-prajAta-yoga-AKyAH lABAH kim vA
   deśāniyamenāpi pañcaviṃśatitattvajñena kaivalyavad iti // GkT_1.6ab:182	deSa-aniyamena-api paQcaviMSati-tattva-jQena kEvalya-vat iti // GkT_1.6ab:182
   * ucyate // GkT_1.6ab:183	* ucyate // GkT_1.6ab:183
   * deśaniyamena // GkT_1.6ab:184	* deSa-niyamena // GkT_1.6ab:184
   * yatas tadartham idam āha // GkT_1.6ab:185]	* yatas tad-arTam idam Aha // GkT_1.6ab:185]
   gurujanaguhādeśaḥ śmaśānaṃ rudra eva ca // Gk_1.6	guru-jana-guhA-deSaH SmaSAnam rudraH eva ca // Gk_1.6
   * ārṣatvād vā yathāśrute 'py adoṣaḥ // GkT_1.6cd:1	* Arza-tvAt vA yaTASrute api adozaH // GkT_1.6cd:1
   * guruḥ pūrvoktas tadājñayāvatiṣṭhamānas tadāśrito bhavati yathā grāmaṇyam	* guruH pUrva-uktaH tad-AjQayA-avatizWamAnaH tad-ASritaH Bavati yaTA grAmaNyam
   āśrito grāma iti // GkT_1.6cd:2	ASritaH grAmaH iti // GkT_1.6cd:2
   * tatrādidharmāvasthasya tāvadāyatane vāsa ityatrāyatanaśabdo gurāv eva	* tatra-Adi-Darma-avasTasya tAvat-Ayatane vAsaH iti-atra-Ayatana-SabdaH gurO eva
   draṣṭavyo liṅgakartetyādijñāpakādupacārād vā pañcaśabdavat // GkT_1.6cd:3	drazwavyaH liFga-kartA-iti-Adi-jQApakAt-upacArAt vA paQca-Sabda-vat // GkT_1.6cd:3
   * yadyapyāyatanasūtre pratiṣedhaḥ śrūyate tathāpi deśaprastāve	* yadi-api-Ayatana-sUtre pratizeDaH SrUyate taTA-api deSa-prastAve
   gururabhipreta evācāryo loka ityādi jñāpakābhyanujñānāt // GkT_1.6cd:4	guruH-aBipretaH eva-AcAryaH lokaH ityAdi jQApaka-aByanujQAnAt // GkT_1.6cd:4
   * ata eva gūḍhavratopadeśādāyatane vāsa ityatrāyatanaśabdo jane vivakṣito	* atas eva gUXa-vrata-upadeSAt-Ayatane vAsaH iti-atra-Ayatana-SabdaH jane vivakzitaH-
   maryādayāyatanāditi kṛtvā baddhasya rudrasya hi śivāyatanavāsānupapatteḥ	maryAdayA-AyatanAt-iti kRtvA badDasya rudrasya hi Siva-Ayatana-vAsa-anupapatteH
   // GkT_1.6cd:5	// GkT_1.6cd:5
   * yadāpi vāsastadāpi janādhīna evetyato dvitīyāvasthasya jana eva deśaḥ //	* yadA-api vAsaH-tadA-api jana-aDInaH eva-iti-atas dvitIya-avasTasya janaH eva deSaH //
   GkT_1.6cd:6	GkT_1.6cd:6
   * janaśabdenātra dharmādharmajananādhikṛtā varṇāśramino 'bhidhīyanta iti	* jana-Sabdena-atra Darma-aDarma-janana-aDikRtAH varNa-ASraminaH aBiDIyante iti
   // GkT_1.6cd:7	// GkT_1.6cd:7
   * tṛtīyāvasthasya guhā deśaḥ // GkT_1.6cd:8	* tRtIya-avasTasya guhAH deSaH // GkT_1.6cd:8
   * guhāgrahaṇaṃ sūtrārthopalakṣaṇārtham ataḥ śūnyāgāraguhayoranyataraṃ	* guhA-grahaNam sUtra-arTa-upalakzaNa-arTam atas SUnya-AgAra-guhayoH-anyataram
   vyāsaṅgādidoṣavarjitaṃ yatprāpyate tatra vastavyam // GkT_1.6cd:9	vyAsaFga-Adi-doza-varjitam yat-prApyate tatra vastavyam // GkT_1.6cd:9
   * deśagrahaṇaṃ tatrāvasthānamātreṇa guhāyā deśatvajñāpanārthaṃ na tu	* deSa-grahaNam tatra-avasTAna-mAtreNa guhAyAH deSa-tva-jQApana-arTam na tu
   gurujanavat tadāyattatveneti // GkT_1.6cd:10	guru-jana-vat tad-Ayatta-tvena-iti // GkT_1.6cd:10
   * caturthāvasthasya śmaśānadeśaḥ // GkT_1.6cd:11	* caturTa-avasTasya SmaSAna-deSaH // GkT_1.6cd:11
   * śmaśānaṃ ca prasiddhameva grāhyam // GkT_1.6cd:12	* SmaSAnam ca prasidDam-eva grAhyam // GkT_1.6cd:12
   * tasya ca na guhāvaddeśatvaṃ kiṃ tv ā dehapātāt tatraivānirgacchatā	* tasya ca na guhA-vat-deSa-tvam kim tu A dehapAtAt tatra-eva-anirgacCatA
   stheyam ityayaṃ viśeṣaḥ // GkT_1.6cd:13	sTeyam iti-ayam viSezaH // GkT_1.6cd:13
   * pañcamāvasthasya deśo rudraḥ // GkT_1.6cd:14	* paQcama-avasTasya deSaH rudraH // GkT_1.6cd:14
   * rudro bhagavānmaheśvaraḥ // GkT_1.6cd:15	* rudraH BagavAn-maheSvaraH // GkT_1.6cd:15
   * prāgapi rudrāyattatvāt sādhakasya rudro'styeva deśastathāpi	* prAk-api rudra-Ayatta-tvAt sADakasya rudraH-asti-eva deSaH-taTA-api
   prāganyavyapadeśo 'pyasti sāmprataṃ punaḥ śarīrādirahitasya	prAc-anya-vyapadeSaH api-asti sAmpratam punar SarIra-Adi-rahitasya
   sarvadeśavikalatvād avadhāraṇaṃ karoti rudra eveti // GkT_1.6cd:16	sarva-deSa-vikala-tvAt avaDAraNam karoti rudraH eva-iti // GkT_1.6cd:16
   * caśabdo nyūnādhikavyavacchedaka iti // GkT_1.6cd:17	* caSabdaH nyUna-aDika-vyavacCedakaH iti // GkT_1.6cd:17
   * atha kimetaddeśāvasthitimātreṇaivaite lābhāḥ prāpyante	* aTa kim-etat-deSa-avasTiti-mAtreNa-eva-ete lABAH prApyante
   kalpavṛkṣadeśāvasthitivat // GkT_1.6cd:18	kalpavRkza-deSa-avasTiti-vat // GkT_1.6cd:18
   * ucyate // GkT_1.6cd:19	* ucyate // GkT_1.6cd:19
   * na // GkT_1.6cd:20	* na // GkT_1.6cd:20
   * kiṃ tarhi deśabhedavadupāyabhedo 'pyasti // GkT_1.6cd:21	* kim tarhi deSa-Beda-vat-upAya-BedaH api-asti // GkT_1.6cd:21
   * yatas tatpratipādanārtham āha // GkT_1.6cd:22]	* yatas tad-pratipAdana-arTam Aha // GkT_1.6cd:22]
   vāsaścaryā japadhyānaṃ sadārudrasmṛtistathā /	vAsaH-caryA japa-DyAnam sadArudra-smRtiH-taTA /
   prasādaścaiva lābhānāmupāyāḥ pañca niścitāḥ // Gk_1.7	prasAdaH-ca-eva lABAnAm-upAyAH paQca niScitAH // Gk_1.7
   * grahaṇadhāraṇohāpohavijñānavacanakriyāyathānyāyābhiniveśānāṃ vāsa iti	* grahaNa-DAraNa-Uha-apoha-vijQAna-vacana-kriyA-yaTA-anyAya-aBiniveSAnAm vAsaH iti
   saṃjñā tāntrikī śiṣṭaiḥ kṛtā // GkT_1.7:1	saMjQA tAntrikI SizwEH kRtA // GkT_1.7:1
   * tatra sakṛduccāritavākyasya samyagarthapratipattisāmarthyaṃ grahaṇam //	* tatra sakRt-uccArita-vAkyasya samyak-arTa-pratipatti-sAmarTyam grahaNam //
   GkT_1.7:2	GkT_1.7:2
   * gṛhītasya cirakālavyavadhāne'pi smaraṇasāmarthyaṃ dhāraṇam // GkT_1.7:3	* gRhItasya cira-kAla-vyavaDAne-api smaraNa-sAmarTyam DAraNam // GkT_1.7:3
   * ekadeśaśravaṇāt tannyāyenāpūrvārthapratipattisāmarthyamūhaḥ // GkT_1.7:4	* eka-deSa-SravaNAt tad-nyAyena-apUrva-arTa-pratipatti-sAmarTyam-UhaH // GkT_1.7:4
   * ācāryadeśīyairuktārthānāṃ yuktāyuktapravibhāgena	* AcArya-deSIyEH-ukta-arTAnAm yuktA-yukta-praviBAgena
   pratipattityāgasāmarthyam apohaḥ // GkT_1.7:5	pratipatti-tyAga-sAmarTyam apohaH // GkT_1.7:5
   * śrutasyārthasyānekadhāvicāraṇe parapratipādane ca sāmarthyaṃ vijñānam //	* Srutasya-arTasya-anekaDA-vicAraNe para-pratipAdane ca sAmarTyam vijQAnam //
   GkT_1.7:6	GkT_1.7:6
   * vyāhatapunaruktādidoṣarahitaṃ vākyaṃ vacanam // GkT_1.7:7	* vyAhata-punarukta-Adi-doza-rahitam vAkyam vacanam // GkT_1.7:7
   * nirduṣṭaśabdoccāraṇenācāryaṃ paritoṣayato mithyājñānamalanivṛttau	* nirduzwa-Sabda-uccAraNena-AcAryam paritozayataH miTyAjQAna-mala-nivRttO
   vidyābhivyaktir bhavati // GkT_1.7:8	vidyA-aBivyaktiH Bavati // GkT_1.7:8
