   Carmavastu	Carma-vastu
   buddhānāṃ bhagavatāṃ śrāvakāṇāṃ dvau saṃnipātau bhavataḥ / yaś cāṣāḍhyāṃ	budDAnAm BagavatAm SrAvakANAm dvO saMnipAtO BavataH / yaH ca-AzAXyAm
   varṣopanāyikāyāṃ yaś ca kārtikyāṃ paurṇamāsyām* / tatra ye āṣāḍhyāṃ	varza-upanAyikAyAm yaH ca kArtikyAm pOrNamAsyAm* / tatra ye AzAXyAm
   varṣopanāyikāyāṃ saṃnipatanti te tāṃs tān uddeśayogamanasikārān udgṛhya	varza-upanAyikAyAm saMnipatanti te tAn tAn uddeSa-yoga-manasikArAn udgRhya
   paryavāpya tāsu tāsu grāmanagaranigamarāṣṭrarājadhānīṣu varṣām	paryavApya tAsu tAsu grAma-nagara-nigama-rAzwra-rAja-DAnIzu varzAm
   upagacchanti / ye kārtikyāṃ paurṇamāsyāṃ saṃnipatanti te yathādhigatam	upagacCanti / ye kArtikyAm pOrNamAsyAm saMnipatanti te yaTA-aDigatam
   ārocayanti / uttare ca paripṛcchanti / evam eva mahāśrāvakāṇām api / atha	Arocayanti / uttare ca paripRcCanti / evam eva mahA-SrAvakANAm api / aTa
   ye āyuṣmato mahākātyāyanasya sārdhaṃvihāryantevāsikā bhikṣavas tāṃs tān	ye AyuzmataH mahAkAtyAyanasya sArDaMvihAri-antevAsikAH BikzavaH tAn tAn
   uddeśayogamanasikāraviśeṣān udgṛhya paryavāpya tāsu tāsu	uddeSa-yoga-manasikAra-viSezAn udgRhya paryavApya tAsu tAsu
   grāmanagaranigamarāṣṭrarājadhānīṣu varṣām upagatās te trayāṇāṃ vārṣikāṇāṃ	grAma-nagara-nigama-rAzwra-rAjaDAnIzu varzAm upagatAH te trayANAm vArzikANAm
   māsānām atyayāt kṛtacīvarā niṣṭhitacīvarāḥ samādāya pātracīvaraṃ	mAsAnAm atyayAt kRta-cIvarAH nizWita-cIvarAH samAdAya pAtra-cIvaram
   yenāyuṣmān mahākātyāyanas tenopasaṃkrāntāḥ / upasaṃkramyāyuṣmato	yena-AyuzmAn mahAkAtyAyanaH tena-upasaMkrAntAH / upasaMkramya-AyuzmataH-
   mahākātyāyanasya pādau śirasā vanditvaikānte (MSV IV 185) niṣaṇṇāḥ /	mahAkAtyAyanasya pAdO SirasA vanditvA-ekAnte (MSV IV 185) nizaNNAH /
   ekānte niṣadya yathādhigatam ārocayanti uttare ca paripṛcchanti /	ekAnte nizadya yaTA-aDigatam Arocayanti uttare ca paripRcCanti /
   daśavargo gaṇaḥ paripūrṇaḥ / sa tenopasaṃpāditaḥ / tena piṭakatrayam	daSa-vargaH gaNaH paripUrNaH / sa tena-upasaMpAditaH / tena piwaka-trayam
   adhītam* / sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtam* / arhan saṃvṛttas	aDItam* / sarva-kleSa-prahANAt arhatvam sAkzAtkRtam* / arhan saMvRtta-s
   traidhātukavītarāgo samaloṣṭrakāṃcanaḥ ākāśapāṇitalasamacitto	trEDAtuka-vIta-rAgaH sama-la-uzwra-kAMcanaH AkASa-pANi-tala-sama-cittaH-
   vāsīcandanakalpo 'vidyāvidāritāṇḍakośo vidyābhijñāpratisaṃvitprāpto	vAsI-candana-kalpaH avidyA-vidArita-aNxakoSaH vidyA-aBijQA-pratisaMvid-prAptaH-
   bhavalābhalobhasatkāraparāṅmukhaḥ sendropendrāṇāṃ devānāṃ pūjyo mānyo	Bava-lABa-loBa-satkAra-parAFmuKaH sa-indra-upendrANAm devAnAm pUjyaH mAnyaH-
   'bhivādyaś ca saṃvṛttaḥ /	aBivAdyaH ca saMvRttaH /
   athāyuṣmato mahākātyāyanasya sārdhaṃvihāryantevāsikā āyuṣmantaṃ	aTa-AyuzmataH mahAkAtyAyanasya sArDaMvihAri-antevAsikAH Ayuzmantam
   mahākātyāyanaṃ yāvat tāvat paryupāsyāyuṣmantaṃ mahākātyāyanam idam avocan*	mahAkAtyAyanam yAvat tAvat paryupAsya-Ayuzmantam mahAkAtyAyanam idam avocan*
   / dṛṣṭo 'smābhir upādhyāya paryupāsitaś ca / gacchāmo vayaṃ bhagavantaṃ	/ dRzwaH asmABiH upADyAya paryupAsitaH ca / gacCAmaH vayam Bagavantam
   paryupāsiṣyāmahe / vatsa evaṃ kurudhvam* / paryupāsitavyā eva hi tathāgatā	paryupAsizyAmahe / vatsaH evam kuruDvam* / paryupAsitavyAH eva hi taTAgatA
   arhantaḥ samyaksaṃbuddhāḥ /	arhantaH samyaksaMbudDAH /
   tena khalu punaḥ samayena śroṇaḥ koṭīkarṇas tasyām eva parṣadi saṃniṣaṇṇo	tena Kalu punar samayena SroNaH kowIkarNaH tasyAm eva parzadi saMnizaNNaH-
   'bhūt saṃnipatitaḥ / athāyuṣmān śroṇaḥ koṭīkarṇa utthāyāsanād ekāṃsam	aBUt saMnipatitaH / aTa-AyuzmAn SroNaH kowIkarNaH utTAya-AsanAt eka-aMsam
   uttarāsaṃgāṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yenāyuṣmān	uttarAsaMgAm kRtvA dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena-AyuzmAn
   mahākātyāyanas tenāñjaliṃ kṛtvā praṇamyāyuṣmantaṃ mahākātyāyanam idam	mahAkAtyAyanaH tena-aQjalim kRtvA praNamya-Ayuzmantam mahAkAtyAyanam idam
   avocat* / dṛṣṭo mayopādhyāyānubhāvena (86v = GBM 6.755) sa bhagavān	avocat* / dRzwaH mayA-upADyAya-anuBAvena (86u  GBm 6.755) sa BagavAn
   dharmakāyena no tu rūpakāyena / gacchāmy upādhyāya rūpakāyenāpi taṃ	Darma-kAyena no tu rUpa-kAyena / gacCAmi upADyAya rUpa-kAyena-api tam
   bhagavantaṃ drakṣyāmi / sa āha / evaṃ vatsa (MSV IV 186) kuruṣva /	Bagavantam drakzyAmi / saH Aha / evam vatsaH (MSV IV 186) kuruzva /
   durlabhadarśanā hi vatsa tathāgatā arhantaḥ samyaksaṃbuddhāḥ tadyathā	durlaBa-darSanAH hi vatsa taTAgatAH arhantaH samyaksaMbudDAH tat-yaTA
   audumbarapuṣpam* / asmākaṃ ca vacanena bhagavataḥ pādau śirasā	Odumbara-puzpam* / asmAkam ca vacanena BagavataH pAdO SirasA
   vandasvālpābādhatāṃ ca yāvat sukhasparśavihāratāṃ ca pañca praśnāni ca	vandasva-alpa-AbADa-tAm ca yAvat suKa-sparSa-vihAra-tAm ca paQca praSnAni ca
   pṛccha /	pRcCa /
   aśmāparāntakeṣu bhadanta janapadeṣu alpabhikṣukaṃ kṛcchreṇa daśavargagaṇaḥ	aSma-aparAntakezu Badanta janapadezu alpa-Bikzukam kRcCreNa daSa-varga-gaNaH
   paripūryate / tatrāsmābhiḥ kathaṃ pratipattavyam* / kharā bhūmir	paripUryate / tatra-asmABiH kaTam pratipattavyam* / KarA BUmiH-
   gokaṇṭakādhānā / aśmāparāntakeṣu janapadeṣu idam evaṃrūpam āstaraṇaṃ	gokaNwaka-ADAnAH / aSma-aparAntakezu janapadezu idam evaMrUpam AstaraNam
   pratyāstaraṇaṃ tadyathā ajacarma gocarma mṛgacarma cchāgacarma / tad	pratyAstaraNam tat-yaTA aja-carma go-carma mRga-carma cCAga-carma / tat-
   anyeṣu janapadeṣv idam evaṃrūpam āstaraṇaṃ pratyāstaraṇaṃ tadyathā erako	anyezu janapadezu idam evaMrUpam AstaraNam pratyAstaraNam tat-yaTA erakaH-
   merako jandurako mandurakaḥ / evam evāśmāparāntakeṣu janapadeṣv idam	merakaH jandurakaH mandurakaH / evam eva-aSmAparAntakezu janapadezu idam
   evaṃrūpam āstaraṇaṃ pratyāstaraṇaṃ (MSV IV 187) tadyathā ajacarma	evaMrUpam AstaraNam pratyAstaraNam (MSV IV 187) tat-yaTA aja-carma
   pūrvavat* / udakaśuddhikā manuṣyā snānasamudācārāḥ / bhikṣur bhikṣoś	pUrvavat* / udaka-SudDikAH manuzyAH snAna-samudAcArAH / BikzuH BikzoH-
   cīvarakāṇi preṣayati / itaś cyutāni tatrāsaṃprāptāni / kasyaitāni	cIvarakANi prezayati / itas cyutAni tatra-asaMprAptAni / kasya-etAni
   naisargikāṇi / adhivāsayaty āyuṣmān śroṇaḥ koṭīkarṇa āyuṣmato	nEsargikANi / aDivAsayati AyuzmAn SroNaH kowIkarNaH AyuzmataH-
   mahākātyāyanasya tūṣṇīṃbhāvena /	mahAkAtyAyanasya tUzNIMBAvena /
   athāyuṣmān śroṇaḥ koṭīkarṇas tasyā eva rātrer atyāyāt pūrvāhṇe nivāsya	aTa-AyuzmAn SroNaH kowIkarNaH tasyAH eva rAtreH atyAyAt pUrvAhNe nivAsya
   pātracīvaram ādāya vāsavagrāmakaṃ piṇḍāya prāvikṣat* / yāvad anupūrveṇa	pAtra-cIvaram AdAya vAsavagrAmakam piNxAya prAvikzat* / yAvat anupUrveNa
   śrāvastīm anupṛaptaḥ / athāyuṣmān śroṇaḥ koṭīkarṇaḥ pātracīvaraṃ	SrAvastIm anupRaptaH / aTa-AyuzmAn SroNaH kowIkarNaH pAtra-cIvaram
   pratiśāmayya pādau prakṣālya yena bhagavāṃs tenopasaṃkrāntaḥ /	pratiSAmayya pAdO prakzAlya yena BagavAn tena-upasaMkrAntaH /
   upasaṃkramya vanditvaikānte niṣaṇṇaḥ / tatra bhagavān āyuṣmantam ānandam	upasaMkramya vanditvA-ekAnte nizaNNaH / tatra BagavAn Ayuzmantam Anandam
   āmantrayate sma / gacchānanda tathāgatasya śroṇasya ca	Amantrayate sma / gacCa-Ananda taTAgatasya SroNasya ca
   koṭīkarṇasyaikavihāre mañcaṃ prajñapaya / evaṃ bhadantety āyuṣmān ānandas	kowI-karNasya-eka-vihAre maQcam prajQapayaH / evam Badanta-iti AyuzmAn Anandas
   tathāgatasya śroṇasya ca koṭīkarṇasya yāvat prajñapya yena bhagavāṃs	taTAgatasya SroNasya ca kowIkarNasya yAvat prajQapya yena BagavAn=-
   tenopasaṃkrāntaḥ / upasaṃkramya bhagavantam idam avocat* / prajñapto	tena-upasaMkrAntaH / upasaMkramya Bagavantam idam avocat* / prajQaptaH-
   bhadanta tathāgatasya śroṇasya ca koṭīkarṇasyaikavihāre mañco yasyedānīṃ	Badanta taTAgatasya SroNasya ca kowI-karNasya-eka-vihAre maQcaH yasya-idAnIm
   bhagavān kālaṃ manyate / atha bhagavān yena śroṇasya koṭīkarṇasya vihāras	BagavAn kAlam manyate / aTa BagavAn yena SroNasya kowIkarNasya vihAra-s
   tenopasaṃkrānto yāvad vihāraṃ praviśya niṣaṇṇaḥ / yāvat (MSV IV 188)	tena-upasaMkrAntaH yAvat vihAram praviSya nizaNNaH / yAvat (MSV IV 188)
   pratimukhaṃ smṛtim upasthāpya / athāyuṣmān api śroṇaḥ koṭīkarṇo bahir	pratimuKam smRtim upasTApya / aTa-AyuzmAn api SroNaH kowIkarNaH bahis-
   vihārasya pādau prakṣālya vihāraṃ praviśya niṣaṇṇaḥ paryaṅkam ābhujya	vihArasya pAdO prakzAlya vihAram praviSya nizaNNaH paryaFkam ABujya
   yāvad ṛjukāyaṃ praṇidhāya pratimukhaṃ smṛtim upasthāpya / tāṃ khalu rātriṃ	yAvat Rju-kAyam praNiDAya pratimuKam smRtim upasTApya / tAm Kalu rAtrim
   bhagavān āyuṣmāṃś ca śroṇaḥ koṭīkarṇa āryasya tūṣṇīṃbhāvenātināmitavān* /	BagavAn AyuzmAn ca SroNaH kowIkarNaH Aryasya tUzNIMBAvena-atinAmitavAn* /
   atha bhagavān rātryāḥ pratyūṣasamaye āyuṣmantaṃ śroṇaṃ koṭīkarṇam	aTa BagavAn rAtryAH pratyUza-samaye Ayuzmantam SroNam kowIkarNam
   āmantrayate sma / pratibhātu te śroṇa dharmo yo mayā svayam	Amantrayate sma / pratiBAtu te SroNa DarmaH yaH mayA svayam
   abhijñāyābhisaṃbudhyākhyātaḥ / athāyuṣmān śroṇo bhagavatā kṛtāvakāśaḥ	aBijQAya-aBisaMbuDya-AKyAtaH / aTa-AyuzmAn SroNaH BagavatA kRta-avakASaH
   aśmāparāntikayā svaraguptikayā udānāt pārāyaṇāt satyadṛṣṭaḥ	aSmApara-antikayA svara-guptikayA udAnAt pArAyaNAt satya-dRzwaH
   śailagāthāmunigāthāsthaviragāthāsthavirīgāthārthavargīyāṇī ca sūtrāṇi	SElagATA-muni-gATA-sTaviragATa-asTa-virIgATa-arTa-vargIyANI ca sUtrANi
   vistareṇa svareṇa svādhyāyaṃ karoti / atha bhagavān śroṇasya koṭīkarṇasya	vistareNa svareNa svADyAyam karoti / aTa BagavAn SroNasya kowIkarNasya
   kathāparyavasānaṃ viditvā āyuṣmantaṃ śroṇaṃ koṭīkarṇam idam avocat* / (87r	kaTA-paryavasAnam viditvA Ayuzmantam SroNam kowIkarNam idam avocat* / (87r
   = GBM 6.756) sādhu sādhu śroṇa madhuras te dharmo bhāṣitaḥ praṇītaś ca yo	 GBm 6.756) sADu sADu SroNa maDuraH te DarmaH BAzitaH praNItaH ca yaH-
   mayā svayam abhijñāyābhisaṃbudhyākhyātaḥ /	mayA svayam aBijQAya-aBisaMbuDya-AKyAtaH /
   athāyuṣmataḥ śroṇasya koṭīkarṇasyaitad abhavat* / ayaṃ me kālo bhagavata	aTa-AyuzmataH SroNasya kowIkarNasya-etat aBavat* / ayam me kAlaH Bagavata
   upādhyāyasya vacasārādhayitum iti viditvotthāyāsanād yāvad bhagavantaṃ	upADyAyasya vacasA-ArADayitum iti viditvA-utTAya-AsanAt yAvat Bagavantam
   praṇamyedam avocat* / aśmāparāntakeṣu janapadeṣu vāsavagrāmake bhadanta	praNamya-idam avocat* / aSma-aparAntakezu janapadezu vAsavagrAmake Badanta
   mahākātyāyanaḥ prativasati (MSV IV 189) yo me upādhyāyaḥ / sa bhagavataḥ	mahAkAtyAyanaH prativasati (MSV IV 189) yaH me upADyAyaH / sa BagavataH
   pādau śirasā vandate 'lpābādhatāṃ laghūtthānatāṃ ca pṛcchati yāvat	pAdO SirasA vandate alpa-AbADa-tAm laGu-utTAna-tAm ca pRcCati yAvat-
   sparśavihāratāṃ ca pañca ca praśnāni pṛcchati / vistareṇoccārayitavyāni /	sparSa-vihAra-tAm ca paQca ca praSnAni pRcCati / vistareNa-uccArayitavyAni /
   atha bhagavān śroṇaṃ koṭīkarṇam idam avocat* / akālas te śroṇa	aTa BagavAn SroNam kowIkarNam idam avocat* / akAlaH te SroNa
   praśnavyākaraṇāya / saṃghamadhye praśnaḥ pṛcchyeta / tatra kālo bhaviṣyati	praSna-vyAkaraNAya / saMGa-maDye praSnaH pRcCyeta / tatra kAlaH Bavizyati
   praśnasya vyākaraṇāya / atha bhagavān kālyam evotthāya purastād	praSnasya vyAkaraNAya / aTa BagavAn kAlyam eva-utTAya purastAd
   bhikṣusaṃghasya prajñapta evāsane niṣaṇṇaḥ / athāyuṣmān śroṇaḥ koṭīkarṇo	Bikzu-saMGasya prajQapte eva-Asane nizaNNaH / aTa-AyuzmAn SroNaH kowI-karNaH-
   yena bahagvāṃs tenopasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte	yena bahagvAn tena-upasaMkramya BagavataH pAdO SirasA vanditvA-ekAnte
   'sthāt* / ekāntasthito bhagavantam idam avocat* / aśmāparāntakeṣu	asTAt* / ekAnta-sTitaH Bagavantam idam avocat* / aSma-aparAntakezu
   janapadeṣu vāsavagrāmake bhadanta mahākātyāyanaḥ prativasati yo me	janapadezu vAsavagrAmake Badanta mahAkAtyAyanaH prativasati yaH me
   upādhyāyaḥ / sa bhagavataḥ pādau śirasā vandate 'lpābādhatāṃ pṛcchati	upADyAyaH / sa BagavataH pAdO SirasA vandate alpa-AbADa-tAm pRcCati
   yāvat sparśavihāratāṃ ca pañca ca praśnāni vistareṇārocayati yathā pūrvam	yAvat sparSa-vihAra-tAm ca paQca ca praSnAni vistareNa-Arocayati yaTA pUrvam
   uktāni yāvat kasya naisargikāṇi / bhagavān āha / tasmād anujānāmi /	uktAni yAvat kasya nEsargikANi / BagavAn Aha / tasmAt anujAnAmi /
   pratyantimeṣu janapadeṣu vinayadharapañcamena gaṇenopasaṃpadā / sadā	pratyantimezu janapadezu vinaya-Dara-paQcamena gaNena-upasaMpadA / sadA
   snānam* / ekapalāśike upānahe dhārayitavye na dvipuṭe na tripuṭe / sā cet	snAnam* / eka-palASike upAnahe DArayitavye na dvi-puwe na tri-puwe / sA ced-
   kṣayadharmiṇī bhavati argalakaṃ datvā dhārayitavye {MS: sacet	kzaya-DarmiNI Bavati argalakam datvA DArayitavye {MS: saced-
   kṣiyadharmiṇyau bhavataḥ / arghaṭakaṃ vārayitavye carmā dhārayitavyām} /	kziya-DarmiNyO BavataH / arGawakam vArayitavye carmA DArayita-vyAm} /
   bhikṣur bhikṣoś cīvarakāṇi preṣayati itaś cyutāni tatrāsaṃprāptāni na	BikzuH BikzoH cIvarakANi prezayati itas cyutAni tatra-asaMprAptAni na
   kasyacin naisargikāṇi / (MSV IV 190)	kasyacid nEsargikANi / (MSV IV 190)
   āyuṣmān upālī buddhaṃ bhagavantaṃ pṛcchati / yad uktaṃ bhadanta bhagavatā	AyuzmAn upAlI budDam Bagavantam pRcCati / yat uktam Badanta BagavatA
   pratyantimeṣu janapadeṣu vinayadharapañcamena gaṇenopasaṃpadā / tatra	pratyantimezu janapadezu vinaya-Dara-paQcamena gaNena-upasaMpadA / tatra
   katamo 'ntaḥ katamaḥ pratyantaḥ / pūrveṇopālin puṇḍravardhanaṃ nāma	katamaH antar katamaH pratyantaH / pUrveNa-upAlin puNxravarDanam nAma
   nagaraṃ tasya pūrveṇa puṇḍrakakṣo nāma dāvaḥ / so 'ntaḥ / tataḥ pareṇa	nagaram tasya pUrveNa puNxrakakzaH nAma dAvaH / saH antar / tatas pareNa
   pratyantaḥ / dakṣiṇena śarāvatī nāma nagarī {MS: pratyanta nagarāvatī nāma	pratyantaH / dakziNena SarAvatI nAma nagarI {MS: pratyanta nagarAvatI nAma
   nagarī tasya pareṇa śarāvatī} / tasyāḥ pareṇa śarāvatī nāma nadī / so	nagarI tasya pareNa SarAvatI} / tasyAH pareNa SarAvatI nAma nadI / saH-
   'ntaḥ / tataḥ pareṇa pratyantaḥ / paścimena sthūṇopasthūṇakau	antar / tatas pareNa pratyantaH / paScimena sTUNa-upasTUNakO
   brāhmaṇagrāmakau / so 'ntaḥ / tataḥ pareṇa pratyantaḥ / uttareṇa	brAhmaNa-grAmakO / saH antar / tatas pareNa pratyantaH / uttareNa
   uśīragiriḥ / so 'ntaḥ / tataḥ pareṇa pratyantaḥ /	uSIragiriH / saH antar / tatas pareNa pratyantaH /
   bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtAH sarva-saMSaya=-CettAram budDam Bagavantam
   pṛcchanti / kiṃ bhadanta āyuṣmatā śroṇena koṭīkarṇena karma kṛtaṃ tasya	pRcCanti / kim Badanta AyuzmatA SroNena kowI-karNena karma kRtam tasya
   karmaṇo vipākenāḍhye mahādhane mahābhoge kule jāto ratnapratyuptikayā	karmaNaH vipAkena-AXye mahADane mahA-Boge kule jAtaH ratna-pratyuptikayA
   karṇe āmuktikayā bhagavataḥ śāsane pravrajya sarvakleśaprahāṇād arhatvaṃ	karNe AmuktikayA BagavataH SAsane pravrajya sarva-kleSa-prahANAt arhatvam
   sākṣātkṛtam* /	sAkzAtkRtam* /
   bhagavān āha / bhūtapūrvaṃ bhikṣavo vārāṇasyāṃ nagaryāṃ kāśyapo nāma	BagavAn Aha / BUta-pUrvam BikzavaH vArANasyAm nagaryAm kASyapaH nAma
   tathāgato 'rhan samyaksaṃbuddho bhagavāñ chāstā loka utpannaḥ / tena khalu	taTAgataH arhan samyaksaMbudDaH BagavAn CAstA loke utpannaH / tena Kalu
   samayena vārāṇasyāṃ dvau jāyāpatikau / tābhyāṃ (MSV IV 191) kāśyapasya	samayena vArANasyAm dvO jAyA-patikO / tAByAm (MSV IV 191) kASyapasya
   samyaksaṃbuddhasyāntike śaraṇagamanaśikṣāpadāny (87v = GBM 6.757)	samyaksaMbudDasya-antike SaraNa-gamana-SikzA-padAni (87u  GBm 6.757)
   udgṛhītāni / yadā kāśyapaḥ samyaksaṃbuddhaḥ sakalaṃ buddhakāryaṃ kṛtvā	udgRhItAni / yadA kASyapaH samyaksaMbudDaH sakalam budDa-kAryam kRtvA
   nirupadhiśeṣe nirvāṇadhātau parinirvṛtas tasya rājñā kṛkiṇā catūratnamayaṃ	nirupaDi-Seze nirvANa-DAtO parinirvRtaH tasya rAjQA kRkiNA catU-ratna-mayam
   caityaṃ kāritaṃ samantād yojanam ardhayojanam uccatvena / tena tatra	cEtyam kAritam samantAt yojanam arDa-yojanam ucca-tvena / tena tatra
   khaṇḍasphuṭapratisaṃskaraṇāya ye pūrvanagaradvāre karapratyāyā uttiṣṭhante	KaNxa-sPuwa-pratisaMskaraNAya ye pUrva-nagara-dvAre kara-pratyAyAH uttizWante
   te tasmin stūpe 'nupradattāḥ / yadā kṛkī rājā kālagatas tasya putraḥ	te tasmin stUpe anupradattAH / yadA kRkI rAjA kAlagataH tasya putraH
   sujāto nāmnā svarājye pratiṣṭhāpitaḥ / tasyāmātyaiḥ stokāḥ karapratyāyā	sujAtaH nAmnA sva-rAjye pratizWApitaH / tasya-amAtyEH stokAH kara-pratyAyA
   upanāmitāḥ / rājā pṛcchati / kiṃ kāraṇam asmākaṃ bhavadbhiḥ stokāḥ	upanAmitAH / rAjA pRcCati / kim kAraNam asmAkam BavadBiH stokAH
   karapratyāyā upanāmitāḥ / kim asmākaṃ vijite karapratyāyā uttiṣṭhante / te	kara-pratyAyAH upanAmitAH / kim asmAkam vijite kara-pratyAyAH uttizWante / te
   kathayanti / deva kutaḥ karapratyāyā uttiṣṭhante / ye deva pūrvadvāre	kaTayanti / deva kutas kara-pratyAyAH uttizWante / ye deva pUrva-dvAre
   karapratyāyās te vṛddharājñā stūpe khaṇḍasphuṭapratisaṃskaraṇāya	kara-pratyAyAH te vRdDarAjQA stUpe KaNxa-sPuwa-pratisaMskaraNAya
   prajñaptāḥ / yadi devo 'nujānīte vayaṃ tān karapratyāyān samucchindāmaḥ /	prajQaptAH / yadi devaH anujAnIte vayam tAn kara-pratyAyAn samucCindAmaH /
   sa kathayati / bhavanto yan mama pitrā kṛtaṃ tad eva brahmakṛtam* / te	sa kaTayati / BavantaH yat mama pitrA kRtam tat eva brahma-kRtam* / te
   saṃlakṣayanti / yadi devo 'nujānīte vayaṃ tathā kariṣyāmo yathā svayam eva	saMlakzayanti / yadi devaH anujAnIte vayam taTA karizyAmaH yaTA svayam eva
   te karapratyāyā notthāsyanti / taiḥ sa dvāro baddhvā sthāpitaḥ / na bhūyaḥ	te kara-pratyAyAH na-utTAsyanti / tEH sa dvAraH badDvA sTApitaH / na BUyas-
   karapratyāyā uttiṣṭhante / tasmin stūpe ca sphuṭitakāni prādurbhūtāni /	kara-pratyAyAH uttizWante / tasmin stUpe ca sPuwitakAni prAdurBUtAni /
   tau jāyāpatī vṛddhībhūtau tatraiva stūpe parikarma kurvāṇau tiṣṭhataḥ /	tO jAyA-patI vRdDIBUtO tatra-eva stUpe parikarma kurvANO tizWataH /
   uttarāpathāc ca sārthavāhaḥ (MSV IV 192) paṇyam ādāya vārāṇasīm anuprāptaḥ	uttarApaTAt ca sArTavAhaH (MSV IV 192) paNyam AdAya vArANasIm anuprAptaH
   / tenāsau dṛṣṭaḥ stūpaś caṭitasphuṭitakaiḥ prādurbhūtaiḥ / sa dṛṣṭvā	/ tena-asO dRzwaH stUpaH cawita-sPuwitakEH prAdurBUtEH / sa dRzwvA
   pṛcchati / amba tāta kasyaiṣa stūpa iti / tau kathayataḥ / kāśyapasya	pRcCati / amba tAta kasya-eza stUpaH iti / tO kaTayataH / kASyapasya
   samyaksaṃbuddhasya / kena kāritaḥ / kṛkiṇā rājñā / na tena rājñā asmin	samyaksaMbudDasya / kena kAritaH / kRkiNA rAjQA / na tena rAjQA asmin
   stūpe khaṇḍasphuṭapratisaṃskaraṇāya kiñcit prajñaptam* / tau kathayataḥ /	stUpe KaNxa-sPuwa-pratisaMskaraNAya kiQcid prajQaptam* / tO kaTayataH /
   prajñaptaṃ ye pūrvanagaradvāre karapratyāyās te 'smin stūpe	prajQaptam ye pUrva-nagara-dvAre kara-pratyAyAH te asmin stUpe
   khaṇḍasphuṭapratisaṃskaraṇāya niryātitāḥ / kṛkī rājā kālagataḥ / tasya	KaNxa-sPuwa-pratisaMskaraNAya niryAtitAH / kRkI rAjA kAlagataH / tasya
   putraḥ sujāto nāmnā svarājye pratiṣṭhitaḥ / tena te karapratyāyāḥ	putraH sujAtaH nAmnA sva-rAjye pratizWitaH / tena te kara-pratyAyAH
   samucchinnāḥ / tenāsmin stūpe caṭitasphuṭitakāni prādurbhūtāni / tasya	samucCinnAH / tena-asmin stUpe cawita-sPuwitakAni prAdurBUtAni / tasya
   ratnakarṇikā karṇe āmuktikā / tena sāvatārya tayor dattā / amba tātānayā	ratnakarNikA karNe AmuktikAH / tena sA-avatArya tayoH dattA / amba tAta-anayA
   ratnakarṇikayā asmin stūpe khaṇḍasphuṭapratisaṃskāraṃ kurutam iti yāvad	ratna-karNikayA asmin stUpe KaNxa-sPuwa-pratisaMskAram kurutam iti yAvat-
   ahaṃ paṇyaṃ visarjayitvāgacchāmi / tataḥ paścād bhūyo 'pi dāsyāmi / tais	aham paNyam visarjayitvA-AgacCAmi / tatas paScAt BUyas api dAsyAmi / tEH-
   tāṃ vikrīya tasmin stūpe khaṇḍasphuṭapratisaṃskāraḥ kṛtaḥ / aparam	tAm vikrIya tasmin stUpe KaNxa-sPuwa-pratisaMskAraH kRtaH / aparam
   utsarpitam* / athāpareṇa samayena sa sārthavāhaḥ paṇyaṃ visarjayitvāgataḥ	utsarpitam* / aTa-apareNa samayena sa sArTavAhaH paNyam visarjayitvA-AgataH
   / tena sa dṛṣṭaḥ stūpe 'secanakadarśanaḥ / dṛṣṭvā sa ca bhūyasyāpi	/ tena sa dRzwaH stUpe asecanaka-darSanaH / dRzwvA sa ca BUyasya-api
   mātrayābhiprasannaḥ / sa prasādajātaḥ pṛcchati / amba tāta mā yuṣmābhiḥ	mAtrayA-aBiprasannaH / sa prasAda-jAtaH pRcCati / amba tAta mA yuzmABiH
   kiñcid uddhārīkṛtam* / (MSV IV 193) tau kathayataḥ / putra nāsmābhiḥ	kiQcid udDArIkRtam* / (MSV IV 193) tO kaTayataH / putra na-asmABiH
   kiñcid uddhārīkṛtaṃ kin tv aparam utsarpitaṃ tiṣṭhati / tena prasādajātena	kiQcid udDArIkRtam kin tu aparam utsarpitam tizWati / tena prasAda-jAtena
   yat tatrāvaśiṣṭam aparaṃ ca datvā mahatīṃ pūjāṃ kṛtvā praṇidhānaṃ ca	yat tatra-avaSizwam aparam ca datvA mahatIm pUjAm kRtvA praNiDAnam ca
   kṛtam* / anenāhaṃ kuśalamūlenāḍhye mahādhane mahābhoge kule jāyeyam* /	kRtam* / anena-aham kuSala-mUlena-AXye mahADane mahA-Boge kule jAyeyam* /
   evaṃvidhānāṃ ca dharmāṇāṃ lābhī syām* / evaṃvidham eva śāstāram ārāgayeyaṃ	evaMviDAnAm ca DarmANAm lABI syAm* / evaMviDam eva SAstAram ArAgayeyam
   mā virāgayeyam iti / kiṃ manyadhve bhikṣavaḥ / yo 'sau sārthavāha eṣa	mA virAgayeyam iti / kim manyaDve BikzavaH / yaH asO sArTavAhaH eza
