   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   sarvāsu nadīṣu ye devā nāgā asurā marutā garuḍā gandharvāḥ kinnarā	sarvAsu nadIzu ye devAH nAgAH asurAH marutAH garuxAH ganDarvAH kinnarA
   mahoragā yakṣā rākṣasāḥ pretāḥ piśācā bhūtāḥ kumbhāṇḍāḥ pūtanāḥ	mahA-uragAH yakzAH rAkzasAH pretAH piSAcAH BUtAH kumBANxAH pUtanAH
   kaṭapūtanāḥ skandā unmādāś chāyā apasmārā ostārakā ojohārā garbhāhārā	kawa-pUtanAH skandAH unmAdAH CAyA apasmArAH oH-tArakAH ojaH-hArA garBa-AhArA
   rudhirāhārā māṃsāhārā vasāhārā medāhārā mañjāhārā jātāhārā jīvitāhārā	ruDira-AhArA mAMsa-AhArA vasA-AhArA medA-AhArAH maQja-AhArAH jAta-AhArA jIvita-AhArA
   vāntāhārā balyāhārā mālyāhārā gandhāhārā puṣpāhārā dhūpāhārā sasyāhārā	vAnta-AhArA balyAhArA mAlya-AhArA ganDa-AhArA puzpa-AhArA DUpa-AhArA sasya-AhArA
   āhutyāhārā pūyāhārā viṣṭāhārā mūtrāhārā kheṭāhārā śleṣmāhārā siṃhānakāhārā	Ahuti-AhArA pUya-AhArAH vizwa-AhArA mUtra-AhArA Kewa-AhArA Slezma-AhArA siMhAnaka-AhArA
   utsiṣṭāhārā aśucyāhārā syandanikāhārā nānārūpā virūpā cakṣurūpā	utsizwa-AhArAH aSuci-AhArA syandanikA-AhArA nAnA-rUpA virUpA cakzu-rUpA
   anantarūpāḥ kāmarupiṇo vicitrarūpā naivāsikāḥ prativasanti. te 'py anayā	ananta-rUpAH kAmarupiNaH vicitra-rUpAH nEvAsikAH prativasanti. te api anayA
   mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ	mahAmAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm
   kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	kurvantu, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam
   dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu śaradāśataṃ.	DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu Sarad-A-SataM.
   udgṛhṇa tvam ānanda parvatarājānāṃ nāmāni. tadyathā.	udgRhNa tvam Ananda parvata-rAjAnAm nAma-ani. tat-yaTA.
   sumeruḥ parvatarājā, himavān parvatarājā, gandhamādanaḥ parvatarājā,	sumeruH parvata-rAjA, himavAn parvata-rAjA, ganDamAdanaH parvata-rAjA,
   śataśṛṅgaḥ parvatarājā, khadirakaḥ parvatarājā, suvarṇapārśvaḥ	SataSRFgaH parvata-rAjA, KadirakaH parvata-rAjA, suvarNa-pArSvaH
   parvatarājā, vidyundharaḥ parvatarājā, dyutindharaḥ parvatarājā,	parvata-rAjA, vidyunDaraH parvata-rAjA, dyutinDaraH parvata-rAjA,
   nimindharaḥ parvatarājā, cakravāḍaḥ (Mmvr Taku 49) parvatarājā,	niminDaraH parvata-rAjA, cakravAxaH (MmvH Taku 49) parvata-rAjA,
   mahācakravāḍaḥ parvatarājā, indraśailaḥ parvatarājā, brahmālayaḥ	mahA-cakravAxaH parvata-rAjA, indraSElaH parvata-rAjA, brahma-AlayaH
   parvatarājā, śrīmantaḥ parvatarājā, sudarśanaḥ parvatarājā, vipulaḥ	parvata-rAjA, SrImantaH parvata-rAjA, sudarSanaH parvata-rAjA, vipulaH
   parvatarājā, ratnākaraḥ parvatarājā, asuraprāgbhāraḥ parvatarājā, kṛmilaḥ	parvata-rAjA, ratna-AkaraH parvata-rAjA, asura-prAgBAraH parvata-rAjA, kRmilaH
   parvatarājā, maṇikūṭaḥ parvatarājā, vemacitraḥ parvatarājā, vajrākaraḥ	parvata-rAjA, maNikUwaH parvata-rAjA, vema-citraH parvata-rAjA, vajra-AkaraH
   parvatarājā, asuraprāgbhāraḥ parvatarājā, hanucitraḥ parvatarājā,	parvata-rAjA, asura-prAgBAraH parvata-rAjA, hanu-citraH parvata-rAjA,
   vidyutprabhaḥ parvatarājā, aśvasthaḥ parvatarājā, candraprabhaḥ	vidyut-praBaH parvata-rAjA, aSvasTaH parvata-rAjA, candrapraBaH
   parvatarājā, bhadraśailaḥ parvatarājā, sūryākāntaḥ parvatarājā, vinduḥ	parvata-rAjA, BadraSElaH parvata-rAjA, sUryAkAntaH parvata-rAjA, vinduH
   parvatarājā, vindhyaḥ parvatarājā, śailaḥ parvatarājā, citrakūṭaḥ	parvata-rAjA, vinDyaH parvata-rAjA, SElaH parvata-rAjA, citrakUwaH
   parvatarājā, malayaḥ parvatarājā, suvarṇaśṛṅgaḥ parvatarājā, parijātaḥ	parvata-rAjA, malayaH parvata-rAjA, suvarNa-SRFgaH parvata-rAjA, parijAtaH
   parvatarājā, subāhuḥ parvatarājā, maṇimantaḥ parvatarājā, suṣenaḥ	parvata-rAjA, subAhuH parvata-rAjA, maNimantaH parvata-rAjA, suzenaH
   parvatarājā, brahmadaṇḍaḥ parvatarājā, vedagacchaḥ parvatarājā, gokarṇaḥ	parvata-rAjA, brahmadaNxaH parvata-rAjA, veda-gacCaH parvata-rAjA, gokarNaH
   parvatarājā, mālyacitraḥ parvatarājā, khaḍgaḥ parvatarājā, tāpanaḥ	parvata-rAjA, mAlya-citraH parvata-rAjA, KaxgaH parvata-rAjA, tApanaH
   parvatarājā, arjanaḥ parvatarājā, saṃgamaḥ parvatarājā, rurubhaḥ	parvata-rAjA, arjanaH parvata-rAjA, saMgamaH parvata-rAjA, ruruBaH
   parvatarājā, daradaḥ parvatarājā, śaṃkhaḥ parvatarājā, modakaḥ	parvata-rAjA, daradaH parvata-rAjA, SaMKaH parvata-rAjA, modakaH
   parvatarājā, candanamālaḥ parvatarājā, gopagiriḥ parvatarājā, kailāsaḥ	parvata-rAjA, candanamAlaH parvata-rAjA, gopa-giriH parvata-rAjA, kElAsaH
   parvatarājā, mahendra parvatarājā, sahyaḥ parvatarājā, upātiṣṭiḥ	parvata-rAjA, mahA-indra parvata-rAjA, sahyaH parvata-rAjA, upAtizwiH
   parvatarājā, candramālaḥ parvatarājā, vallūlagṛhaḥ parvatarājā, kākanādaḥ	parvata-rAjA, candramAlaH parvata-rAjA, vallUla-gRhaH parvata-rAjA, kAkanAdaH
   parvatarājā, śāsananādaḥ parvatarājā.	parvata-rAjA, SAsana-nAdaH parvata-rAjA.
   (Mmvr Taku 50)	(MmvH Taku 50)
   ity ete cānye cāsmin pṛthivīmaṇḍale parvatarājanas tatra ye devā nāgā	iti ete ca-anye ca-asmin pRTivI-maNxale parvata-rAjanaH tatra ye devAH nAgA
   asurā marutā garuḍā gandharvāḥ kinnarā mahoragā yakṣā rākṣasāḥ pretāḥ	asurAH marutAH garuxAH ganDarvAH kinnarAH mahA-uragAH yakzAH rAkzasAH pretAH
   piśācā bhūtāḥ kumbhāṇḍāḥ pūtanāḥ kaṭapūtanāḥ skandā unmādāś chāyā apasmārā	piSAcAH BUtAH kumBANxAH pUtanAH kawa-pUtanAH skandAH unmAdAH CAyA apasmArA
   ostārakā siddhavidyādharāḥ rājānaś ca saparivārā naivāsikāḥ prativasanti.	oH-tArakA sidDa-vidyADarAH rAjAnaH ca sa-parivArAH nEvAsikAH prativasanti.
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. sarvapāpāny apanayantu,	SaradA-SataM. sarva-pApAni apanayantu,
   kalyāṇeṣu dṛśyantām akalyāṇaṃ nāśayantu,	kalyANezu dRSyantAm akalyANam nASayantu,
   artheṣu dṛśyantām anarthaṃ prativādhayaṃtu.	arTezu dRSyantAm anarTam prativADayaMtu.
   svāter bhikṣor mama sarvasatvānāṃ ca.	svAteH BikzoH mama sarva-satvAnAm ca.
   rātrau svasti divā svasti svasti madhyaṃdine sthite,	rAtrO svasti divA svasti svasti maDyaMdine sTite,
   svasti sarvam ahorātraṃ sarvabuddhā diśantu vaḥ.	svasti sarvam ahorAtram sarva-budDAH diSantu vaH.
   udgṛhṇa tvam ānanda nakṣatrāṇāṃ nāmāni ye gagane vicaranti avabhāsayanti.	udgRhNa tvam Ananda nakzatrANAm nAmAni ye gagane vicaranti avaBAsayanti.
   tadyathā.	tat-yaTA.
   kṛttikā rohiṇī caiva mṛgaśirārdrā punarvasuḥ,	kRttikA rohiNI ca-eva mRgaSira-ArdrA punarvasuH,
   puṣyo maṅgalasaṃpanno 'śleṣā bhavati saptamī.	puzyaH maFgala-saMpannaH aSlezA Bavati saptamI.
   ity ete saptanakṣatrāḥ pūrvadvārikāsthitāḥ ye pūrvāṃ diśaṃ rakṣanti	iti ete sapta-nakzatrAH pUrva-dvArikA-sTitAH ye pUrvAm diSam rakzanti
   paripālayanti.	paripAlayanti.
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ (Mmvr Taku 51) kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	rakzAm (MmvH Taku 51) kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   maghā cāmitramarthanī phālguny ubhe tathaiva ca,	maGA ca-amitram-arTanI PAlguni uBe taTA-eva ca,
   hastā citrā ca svāstī ca viśākhā bhavati saptamī.	hastA citrA ca svAstI ca viSAKA Bavati saptamI.
   ity ete saptanakṣatrā dakṣiṇadvārikāsthitāḥ, ye dakṣiṇāṃ diśaṃ rakṣanti	iti ete sapta-nakzatrAH dakziNa-dvArikA-sTitAH, ye dakziNAm diSam rakzanti
   paripālayanti. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	paripAlayanti. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   anurādhā mahātejā jeṣṭhā mūlā tathaiva ca,	anurADA mahA-tejAH jezWA mUlA taTA-eva ca,
   pūrvottare ca āṣāḍhe abhijic chravaṇas tathā.	pUrva-uttare ca AzAXe aBijit SravaNaH taTA.
   ity ete saptanakṣatrāḥ paścimadvārikāsthitāḥ, ye paścimāṃ diśaṃ rakṣanti	iti ete sapta-nakzatrAH paScima-dvArikA-sTitAH, ye paScimAm diSam rakzanti
   paripālayanti.	paripAlayanti.
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   dhaṇiṣṭhā śatabhiṣā caiva ubhe bhādrapade tathā,	DaNizWA SataBizA ca-eva uBe BAdrapade taTA,
   revatī cāśvinī caiva bharaṇī bhavati saptamī.	revatI ca-aSvinI ca-eva BaraNI Bavati saptamI.
   ity ete saptanakṣatrā uttaradvārikāsthitāḥ, ye uttarāṃ diśaṃ rakṣanti	iti ete sapta-nakzatrAH uttara-dvArikA-sTitAH, ye uttarAm diSam rakzanti
   paripālayanti.	paripAlayanti.
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ (Mmvr Taku 52) daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ	svastyayanam (MmvH Taku 52) daNxa-parihAram Sastra-parihAram viza-dUzaNam
   viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ	viza-nASanam sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam
   paśyatu śaradāśataṃ.	paSyatu Sarad-A-SataM.
   udgṛhṇa tvam ānanda grahāṇāṃ nāmāni, ye grahā nakṣatreṣu caranto	udgRhNa tvam Ananda grahANAm nAma-ani, ye grahAH nakzatrezu carantaH-
   hrāsavṛddhiṃ sukhaduḥkhaṃ kṣemaṃ subhikṣadurbhikṣaṃ ca nivedayanti	hrAsa-vRdDim suKa-duHKam kzemam suBikza-durBikzam ca nivedayanti
   tadyathā.	tat-yaTA.
   sūryo grahaḥ, candro grahaḥ, bṛhaspatiḥ grahaḥ, śukraḥ,	sUryaH grahaH, candraH grahaH, bRhaspatiH grahaH, SukraH,
   grahaḥ, śaniścaro grahaḥ, aṅgāro grahaḥ, budho grahaḥ.	grahaH, SaniScaraH grahaH, aFgAraH grahaH, buDaH grahaH.
   rāhur asurendro grahaḥ, dhūmraketur grahaḥ,	rAhuH asura-indraH grahaH, DUmraketuH grahaH,
   aṣṭāviṃśati nakṣatrāḥ saptasapta diśi sthitāḥ.	azwAviMSati nakzatrAH sapta-sapta diSi sTitAH.
   tārāgrahās tathā pañca rāhuketuś ca saptamaḥ,	tArA-grahAH taTA paQca rAhuketuH ca saptamaH,
   mahātejo mahābalo maharddhikā mahātapāḥ.	mahA-tejaH mahA-balaH mahardDikAH mahA-tapAH.
   sūryacandramasau caiva saptatriṃśad anūnakāḥ,	sUrya-candramasO ca-eva saptatriMSat anUnakAH,
   udayāstaṃgamasthānaṃ cakrasaṃkramaṇāyudhāḥ.	udaya-astaMgama-sTAnam cakra-saMkramaNa-AyuDAH.
   kṣayavṛddhikarā loke mahātejā maharddhikāḥ,	kzaya-vRdDi-karAH loke mahA-tejAH mahardDikAH,
   vidyāṃ samanumodantu suprasannena cetasā.	vidyAm samanumodantu su-prasannena cetasA.
   te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca	te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ	rakzAm kurvantu, guptim paritrANam parigraham paripAlanam SAntim
   svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ.	Sarad-A-SataM.
   udgṛhṇa tvam ānanda paurāṇāṃ maharṣīṇāṃ nāmāni. siddhānāṃ siddhavratānāṃ	udgRhNa tvam Ananda pOrANAm mahA-RzINAm nAma-ani. sidDAnAm sidDa-vratAnAm
   siddhavidyānāṃ dīptatapasāṃ nadīparvatavāsināṃ śāpāyudhānāṃ ugratejasāṃ	sidDa-vidyAnAm dIpta-tapasAm nadI-parvata-vAsinAm SApa-AyuDAnAm ugra-tejasAm
   (Mmvr Taku 53) ṛddhimatāṃ paṃcābhijñānāṃ vaihāyasagāmināṃ, teṣāṃ nāmāni	(MmvH Taku 53) RdDimatAm paMca-aBijQAnAm vEhAyasa-gAminAn, tezAm nAmAni
   kīrtayiṣyāmi. tadyathā.	kIrtayizyAmi. tat-yaTA.
   aṣṭamako nāma maharṣiḥ, vāmadevako nāma maharṣiḥ, vāmako nāma maharṣiḥ,	azwamakaH nAma mahA-RziH, vAmadevakaH nAma mahA-RziH, vAmakaH nAma mahA-RziH,
   mārīcī nāma maharṣiḥ, mārkaṇḍeyo nāma maharṣiḥ, viśvamitro nāma maharṣiḥ,	mArIcI nAma mahA-RziH, mArkaNxeyaH nAma mahA-RziH, viSvamitraH nAma mahA-RziH,
   vaśiṣṭho nāma maharṣiḥ, kāśyapo nāma maharṣiḥ, balamīko nāma maharṣiḥ,	vaSizWaH nAma mahA-RziH, kASyapaH nAma mahA-RziH, balamIkaH nAma mahA-RziH,
   vṛddhakāśyapo nāma maharṣiḥ, bhṛgur nāma maharṣiḥ, bhṛṅgiraso nāma	vRdDakASyapaH nAma mahA-RziH, BRguH nAma mahA-RziH, BRFgirasaH nAma
   maharṣiḥ, aṃgiraso nāma maharṣiḥ, bhṛṅgī nāma maharṣiḥ, baṭṭo nāma	mahA-RziH, aMgirasaH nAma mahA-RziH, BRFgI nAma mahA-RziH, bawwaH nAma
   maharṣiḥ, bhāgiratho nāma maharṣiḥ, aṃgīrajo nāma maharṣiḥ, ātreyo nāma	mahA-RziH, BAgiraTaH nAma mahA-RziH, aMgIrajaH nAma mahA-RziH, AtreyaH nAma
   maharṣiḥ, purastyo nāma maharṣiḥ, sthūlaśiro nāma maharṣiḥ, yama-d-agnir	mahA-RziH, purastyaH nAma mahA-RziH, sTUlaSiraH nAma mahA-RziH, yama-d-agniH-
   nāma maharṣiḥ, dvaisaṃpāyano nāma maharṣiḥ, kṛṣṇavaipāyano nāma maharṣiḥ,	nAma mahA-RziH, dvEsaMpAyanaH nAma mahA-RziH, kRzNavEpAyanaH nAma mahA-RziH,
   harīto nāma maharṣiḥ, haritāyano nāma maharṣiḥ, samaṅgiro nāma maharṣiḥ,	harItaH nAma mahA-RziH, haritAyanaH nAma mahA-RziH, samaFgiraH nAma mahA-RziH,
   udgato nāma maharṣiḥ, samudgato nāma maharṣiḥ, kṣāntivādī nāma maharṣiḥ,	udgataH nAma mahA-RziH, samudgataH nAma mahA-RziH, kzAntivAdI nAma mahA-RziH,
   kīrtī nāma maharṣiḥ, sukīrtī nāma maharṣiḥ, gurur nāma maharṣiḥ, śarabho	kIrtI nAma mahA-RziH, sukIrtI nAma mahA-RziH, guruH nAma mahA-RziH, SaraBaH-
   nāma maharṣiḥ, mardano nāma maharṣiḥ, potalako nāma maharṣiḥ, aśvalāyano	nAma mahA-RziH, mardanaH nAma mahA-RziH, potalakaH nAma mahA-RziH, aSvalAyanaH-
   nāma maharṣiḥ, himavān nāma maharṣiḥ, lohitākṣo nāma maharṣiḥ, durvāso	nAma mahA-RziH, himavAn nAma mahA-RziH, lohitAkzaH nAma mahA-RziH, durvAsaH-
   nāma maharṣiḥ, vaiśaṃpāyano nāma maharṣiḥ, bālmīko nāma maharṣiḥ, surato	nAma mahA-RziH, vESaMpAyanaH nAma mahA-RziH, bAlmIkaH nAma mahA-RziH, surataH-
   nāma maharṣiḥ, madano nāma maharṣiḥ, manur nāma maharṣiḥ, prabho nāma	nAma mahA-RziH, madanaH nAma mahA-RziH, manuH nAma mahA-RziH, praBo nAma
   maharṣiḥ, śukro nāma maharṣiḥ, bṛhaspatir nāma maharṣiḥ, aranemi nāma	mahA-RziH, SukraH nAma mahA-RziH, bRhaspatiH nAma mahA-RziH, aranemi nAma
   maharṣiḥ, śanaiścaro nāma maharṣiḥ, budho nāma maharṣiḥ, jāṃgulī nāma	mahA-RziH, SanEScaraH nAma mahA-RziH, buDaH nAma mahA-RziH, jAMgulI nAma
   maharṣiḥ, gandhāro nāma maharṣiḥ, ekaśṛṅgo nāma maharṣiḥ, ṛṣiśṛṅgo nāma	mahA-RziH, ganDAraH nAma mahA-RziH, ekaSRFgaH nAma mahA-RziH, RziSRFgaH nAma
   maharṣiḥ, gargo nāma maharṣiḥ, gārgyāyano (Mmvr Taku 54) nāma maharṣiḥ,	mahA-RziH, gargaH nAma mahA-RziH, gArgyAyanaH (MmvH Taku 54) nAma mahA-RziH,
   bhāṇḍāyano nāma maharṣiḥ, kātyāyano nāma maharṣiḥ, kāṇḍyāyano nāma	BANxAyanaH nAma mahA-RziH, kAtyAyanaH nAma mahA-RziH, kANxyAyanaH nAma
   maharṣiḥ, bhīṣmo nāma maharṣiḥ, bhīṣmamātaṅgo nāma maharṣiḥ, kapilo nāma	mahA-RziH, BIzmaH nAma mahA-RziH, BIzmamAtaFgaH nAma mahA-RziH, kapilaH nAma
   maharṣiḥ, gautamo nāma maharṣiḥ, mātaṅgo nāma maharṣiḥ, lohitāśvo nāma	mahA-RziH, gOtamaH nAma mahA-RziH, mAtaFgaH nAma mahA-RziH, lohitASvaH nAma
   maharṣiḥ, sunetro nāma maharṣiḥ, suranemī nāma maharṣiḥ, asito nāma	mahA-RziH, sunetraH nAma mahA-RziH, suranemI nAma mahA-RziH, asitaH nAma
   maharṣiḥ, bālikhilyo nāma maharṣiḥ, nārado nāma maharṣiḥ, parvato nāma	mahA-RziH, bAliKilyaH nAma mahA-RziH, nAradaH nAma mahA-RziH, parvataH nAma
   maharṣiḥ, kṛmilo nāma maharṣiḥ.	mahA-RziH, kRmilaH nAma mahA-RziH.
   ity ete ānanda paurāṇā maharṣayo vedānāṃ kartāro mantrāṇāṃ	iti ete Ananda pOrANAH mahA-RzayaH vedAnAm kartAraH mantrANAm
   pravartayitāraḥ, śāpānāṃ dātāraḥ, ugravrātānāṃ mahātejasaḥ,	pravartayitAraH, SApAnAm dAtAraH, ugra-vrAtAnAm mahA-tejasaH,
   siddhaparākramāḥ. te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	sidDa-parAkramAH. te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu	sImAbanDam DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu
   śaradāśataṃ. tadyathā.	SaradA-SataM. tat-yaTA.
   hiri hiri hiri, khiri khiri, miri miri, muri muri, hiri hiri, mili mili,	hiri hiri hiri, Kiri Kiri, miri miri, muri muri, hiri hiri, mili mili,
   ḍaphu ḍaphu ḍaphu, mathani, ghāṭani, pacani pācani, dahani dāhani, tapani	xaPu xaPu xaPu, maTani, GAwani, pacani pAcani, dahani dAhani, tapani
   tāpani, hanani, daha daha dahani, tālani pātani mojani sta stani jastani	tApani, hana-ni, daha daha dahani, tAlani pAtani mojani sta stani jastani
   svayaṃ bhūve svāhā.	svayam BUve svAhA.
   udgṛhṇa tvam ānanda mahāprajāpatīnāṃ nāmāni, ye devā nāgā marutā asurā	udgRhNa tvam Ananda mahA-prajApatInAm nAma-ani, ye devAH nAgAH marutA asurA
   garuḍā kiṃnarā mahoragā yakṣā rākṣasā manuṣyā amanuṣyā	garuxA kiMnarAH mahA-uragAH yakzAH rAkzasAH manuzyAH amanuzyA
   tiryagyonisvarganarakaśubhāśubhaprabhṛtayaḥ, asaṃkhyeyaiḥ svastiviśeṣais	tiryagyoni-svarga-naraka-SuBa-aSuBa-praBRtayaH, asaMKyeyEH svasti-viSezEH-
   trailoke vyavasthitāḥ. tadyathā.	trEloke vyavasTitAH. tat-yaTA.
   brahmā prajāpatiḥ, atṛḥ prajāpatiḥ, ātreyaḥ prajāpatiḥ, agniḥ prajāpatiḥ,	brahmA prajApatiH, atRH prajApatiH, AtreyaH prajApatiH, agniH prajApatiH,
   bhṛguḥ (Mmvr Taku 55) prajāpatiḥ, pulastyaḥ prajāpatiḥ, pulahaḥ	BRguH (MmvH Taku 55) prajApatiH, pulastyaH prajApatiH, pulahaH
   prajāpatiḥ, manuḥ prajāpatiḥ, vaśiṣṭhaḥ prajāpatiḥ, duṣṭaḥ prajāpatiḥ,	prajApatiH, manuH prajApatiH, vaSizWaH prajApatiH, duzwaH prajApatiH,
   sutanuḥ prajāpatiḥ, sunandamānaḥ prajāpatiḥ, dakṣaḥ prajāpatiḥ,	su-tanuH prajApatiH, sunandamAnaH prajApatiH, dakzaH prajApatiH,
   sanatkumāraḥ prajāpatiḥ.	sanatkumAraH prajApatiH.
   ity ete ānanda mahātmānaḥ prajāpatayaḥ sthāvarajaṅgamasya bhūtagrāmasya	iti ete Ananda mahAtmAnaH prajApatayaH sTAvara-jaFgamasya BUta-grAmasya
   rakṣārthe vyavasthitāḥ, te 'py anayā mahāmāyūryā vidyārājñyā svāter	rakzA-arTe vyavasTitAH, te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH-
   bhikṣor mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ	BikzoH mama sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kurvantu, jīvatu	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca kurvantu, jIvatu
   varṣaśataṃ paśyatu śaradāśataṃ. ebhiś ca mantrapadair apratihataiḥ rakṣāṃ	varza-Satam paSyatu SaradA-SataM. eBiH ca mantra-padEH apratihatEH rakzAm
