   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   sarvāsurān nirjitya sukhaṃ svastinā kṣemeṇa devapuraṃ praviśati /	sarva-asurAt nirjitya suKam svastinA kzemeNa deva-puram praviSati /
   sarvāsurair adhṛṣyo bhaviṣyati / evaṃ hi mahābrāhmaṇa prathamacittotpādam	sarva-asurEH aDRzyaH Bavizyati / evam hi mahA-brAhmaNa praTama-citta-utpAdam
   upādāya boddhisatvasya mahāsatvasyemāṃ mahāpratisarāṃ mahāvidyārājñīṃ	upAdAya bodDi-satvasya mahA-satvasya-imAm mahA-pratisarAm mahAvidyA-rAjQIm
   dhārayataḥ sarvamārair anavamṛdyatā bhavati / yasyaiṣā kaṇṭhagatā	DArayataH sarvamArEH anavamRdyatA Bavati / yasya-ezA kaNWa-gatA
   bhaviṣyati sa sarvatathāgatādhiṣṭhito bhaviṣyati /	Bavizyati sa sarva-taTAgata-aDizWitaH Bavizyati /
   sarvabuddhabodhisatvasaṃrakṣito bhaviṣyati /	sarva-budDa-boDisatva-saMrakzitaH Bavizyati /
   sarvadevamanuṣyāmanuṣyarājarājāmātyabrāhmaṇagṛhapatibhiś ca satatasamitaṃ	sarva-deva-manuzya-amanuzya-rAja-rAja-amAtya-brAhmaNa-gRhapatiBiH ca satata-samitam
   vanditaḥ pūjitaḥ saṃmānito bhaviṣyati /	vanditaH pUjitaH saMmAnitaH Bavizyati /
   sarvadevāsuragaruḍakinnaramahoragābhyarcitaḥ pūjito bhaviṣyati / sa	sarva-deva-asura-garuxa-kinnara-mahoraga-aByarcitaH pUjitaH Bavizyati / sa
   mahāsatva ity uvāca / bhagavān mārabalapramardakaḥ sarvavyādhivigato	mahAsatvaH iti uvAca / BagavAn mAra-bala-pramardakaH sarva-vyADi-vigataH-
   bhaviṣyati / sarve 'tyupadravopasargāś cāsya praśāmyanti / tasya	Bavizyati / sarve atyupadrava-upasargAH ca-asya praSAmyanti / tasya
   mahāsatvasya sarvaśokavigamo bhaviṣyati / sarvadevatāś cāsya satatasamitaṃ	mahAsatvasya sarva-Soka-vigamaH Bavizyati / sarva-devatAH ca-asya satata-samitam
   rakṣāvaraṇaguptiṃ vidhāsyanti / imāni cānena catvāry	rakzA-AvaraNa-guptim viDAsyanti / imAni ca-anena catvAri-
   aparājitāmahāvidyāmantrapadahṛdayāni satatasamitaṃ likhitvā	aparAjitA-mahA-vidyA-mantra-pada-hRdayAni satata-samitam liKitvA
   kāyakaṇṭhagatāni kṛtvā dhārayitavyāni / sasamitaṃ ca manasi kartavyāni /	kAya-kaNWa-gatAni kRtvA DArayitavyAni / sa-samitam ca manasi kartavyAni /
   svādhyātavyāni bhāvayitavyāni cādhyāśayena	su-ADyAtavyAni BAvayitavyAni ca-aDyASayena
   sarvaduḥsvapnadurnimittāmaṅgalyabhāvā vinaśyanti / sarvasukhasaṃpattayaś	sarva-duHsvapna-durnimitta-amaFgalya-BAvAH vinaSyanti / sarva-suKa-saMpattayaH-
   ca prādurbhaviṣyanti / (Mp_20) atra mantrapadāḥ siddhāḥ sarvakarmakarāḥ	ca prAdurBavizyanti / (M=-_20) atra mantra-padAH sidDAH sarva-karma-karAH
   śrutāḥ //	SrutAH //
   tadyathā / oṃ amṛtavare vara vara pravara viśuddhe hūṃ hūṃ phaṭ phaṭ svāhā	tat-yaTA / om amRta-vare vara vara pravara viSudDe hUm hUm Paw Paw svAhA
   oṃ amṛtavilokini garbhasaṃrakṣaṇi ākarṣaṇi hūṃ hūṃ phaṭ phaṭ svāhā //	om amRta-vilokini garBa-saMrakzaNi AkarzaNi hUm hUm Paw Paw svAhA //
   aparājitāhṛdayam //	aparAjitA-hRdayam //
   oṃ vimale vipule jaya vare amṛte hūṃ hūṃ phaṭ phaṭ svāhā //	om vimale vipule jaya vare amRte hUm hUm Paw Paw svAhA //
   oṃ bhara bhara saṃbhara saṃbhara indriyabalaviśodhane hūṃ hūṃ phaṭ phaṭ	om Bara Bara saMBara saMBaraH indriya-bala-viSoDane hUm hUm Paw Paw-
   svāhā //	svAhA //
   oṃ maṇidhari vajriṇi mahāpratisare hūṃ hūṃ phaṭ phaṭ svāhā //	om maNiDari vajriNi mahA-pratisare hUm hUm Paw Paw svAhA //
   upahṛdayavidyā //	upahRdaya-vidyA //
   aśeṣaiḥ sarvabuddhair bodhisatvaiś ca śrāvakair ekasvarasaṃnipātena	aSezEH sarva-budDEH boDisatvEH ca SrAvakEH eka-svara-saMnipAtena
   ekasvaranirghoṣeṇa imāni dhāraṇīmantrapadāni bhāṣitāni	eka-svara-nirGozeNa imAni DAraNI-mantra-padAni BAzitAni
   mahāpratisarāmahāvidyārājñīhṛdayakavacāny etāni mantrapattrapadāni	mahA-pratisarA-mahAvidyA-rAjQI-hRdaya-kavacAni etAni mantra-pattra-padAni
   sarvatathāgatadharmamudrayā mudritāni / atidullabham apy eṣāṃ śravaṇaṃ kiṃ	sarva-taTAgata-Darma-mudrayA mudritAni / ati-dullaBam api ezAm SravaNam kim
   punaḥ likhanapaṭhanadhāraṇavācanaparadeśanā buddhakṛtyam etad iti jñātavyā	punar liKana-paWana-DAraNa-vAcana-para-deSanA budDa-kRtyam etat iti jQAtavyA
   / iyaṃ hy atīva sarvapāpakṣayaṃkarā / sarvatathāgataiḥ praśaṃsitā	/ iyam hi atIva sarva-pApa-kzayaMkarA / sarva-taTAgatEH praSaMsitA
   anumoditā vyākṛtā paramadullabheyaṃ mahādhāraṇī aparājitā mahāpratisarā	anumoditA vyAkRtA parama-dullaBA-iyam mahADAraNI aparAjitA mahA-pratisarA
   nāmadheyaṃ śravaṇam api paramadullabham / iyaṃ sarvapāpakṣayaṃkarī /	nAmaDeyam SravaNam api parama-dullaBam / iyam sarva-pApa-kzayaMkarI /
   mahābalaparākramā mahātejā mahāprabhāvā mahāguṇodbhāvanī	mahA-bala-parAkramA mahA-tejAH mahA-praBAvA mahA-guNa-udBAvanI
   sarvamārakāyikadevatāvidhvaṃsanakarī / sarvavāsanānusaṃdhisamudghāṭanakarī	sarvam-Ara-kAyika-devatA-viDvaMsana-karI / sarva-vAsanA-anusaMDi-samudGAwa-na-karI
   / sarvamārapāśasamucchedanakarī	/ sarva-mAra-pASa-samucCedana-karI
   paramantramudrāviṣakākhordakiraṇaprayogavidveṣaṇābhicārakānāṃ ca	para-mantra-mudrA-vizakAKorda-kiraNa-prayoga-vidvezaNa-aBicArakAnAm ca
   duṣṭacittānāṃ vidhvaṃsanakarī /	duzwa-cittAnAm viDvaMsana-karI /
   sarvabuddhabodhisatvāryagaṇavarapūjitābhiratānāṃ paripālanakarī /	sarva-budDa-boDisatva-Arya-gaNa-vara-pUjita-aBiratAnAm paripAlana-karI /
   mahāyānodgrahaṇalikhanavācanapaṭhanasvādhyāyanaśravaṇadhāraṇābhiyuktānāṃ	mahAyAna-udgrahaNa-liKana-vAcana-paWana-svADyAyana-SravaNa-DAraNa-aBiyuktAnAm
   paripālikeyaṃ mahādhāraṇī yāvad buddhabodhiparipūrayitrīyaṃ mahābrāhmaṇa	paripAlikA-iyam mahADAraNI yAvat budDa-boDi-paripUrayitrI-iyam mahA-brAhmaNa
   mahāpratisarā mahāvidyārājñī na kvacit pratijanyate sarvatra mahāpūjāṃ	mahA-pratisarA mahAvidyA-rAjQI na kvacid pratijanyate sarvatra mahA-pUjAm
   prāpnoti yathāhaṃ śāstā jitaviṣayaḥ / kim iti pūrvaṃ parijñātavatīyaṃ	prApnoti yaTA-aham SAstA jita-vizayaH / kim iti pUrvam parijQAtavatI-iyam
   (Mp_21) mahābrahmaṇa mahāvidyārājñī sarvavighnavināyakānāṃ vidhavaṃsayitrī	(Mp_21) mahA-brahmaNa mahAvidyA-rAjQI sarva-viGna-vinAyakAnAm viDa-vaMsayitrI
   yadā ca bhagavān	yadA ca BagavAn
   vipulaprahasitavadanamaṇikanakaratnajvalaraśmiprabhāsābhyudgatarājas	vipula-prahasita-vadana-maNi-kanaka-ratna-jvala-raSmi-praBAsA-aByudgata-rAjas
   tathāgato 'rhan samyaksaṃbuddho yena bodhimaṇḍalas tenopasaṃkrānta	taTAgataH arhan samyaksaMbudDaH yena boDimaNxalaH tena-upasaMkrAnta
   upasaṃkramya sarvabuddhapraśastaṃ dharmacakraṃ pravartayitukāmas tadā	upasaMkramya sarva-budDa-praSastam Darma-cakram pravartayitu-kAmaH tadA
   tasya bhagavataḥ sarvamāraiḥ saparivārair	tasya BagavataH sarva-mArEH sa-parivArEH-
   anekamārakoṭīniyutaśatasahasraparivṛtair	aneka-mAra-kowI-niyuta-Sata-sahasra-parivRtEH-
   nānārūpavirūpabhayabhairavaśabdākulair	nAnA-rUpa-virUpa-Baya-BErava-Sabda-AkulEH-
   bahuvividhamāraviṣayavikurvaṇādhiṣṭhānādhiṣṭhitair nānāpraharaṇavṛṣṭībhir	bahu-viviDa-mAra-vizaya-vikurvaNa-aDizWAna-aDizWitEH nAnA-praharaNa-vRzwIBiH-
   abhinirmāyāgatya caturdiśaṃ parivāryāntarāyaḥ kartum ārabdhaḥ / tataḥ sa	aBinirmAya-Agatya caturdiSam parivArya-antarAyaH kartum ArabDaH / tatas sa
   bhagavān	BagavAn
   vipulaprahasitavadanamaṇikanakaratnajvalaraśmiprabhāsābhyudgatarājo	vipula-prahasita-vadana-maNi-kanaka-ratna-jvala-raSmi-praBAsA-aByudgata-rAjaH-
   muhūrtaṃ tūṣṇīm āsthāya imāṃ mahāpratisarāṃ mahāvidyārājñīṃ manasā	muhUrtam tUzNIm AsTAya imAm mahA-pratisarAm mahAvidyA-rAjQIm manasA
   saptakṛtvaḥ pravartayāmāsa / samanantaraṃ pravartayitāyām asyāṃ	sapta-kRtvas pravartayAmAsa / samanantaram pravartayitAyAm asyAm
   mahāpratisarāyāṃ mahāvidyārājñyāṃ tatkṣaṇād eva sarve te mārāḥ pāpīyāṃso	mahA-pratisarAyAm mahAvidyA-rAjQyAm tad-kzaNAt eva sarve te mArAH pApIyAMsaH-
   dadṛśur bhagavata ekaikasmād romakūpavivarād anekakoṭīniyutaśatasahasrāṇi	dadRSuH BagavataH ekEkasmAt romakUpa-vivarAt aneka-kowI-niyuta-Sata-sahasrANi
   puruṣāṇāṃ saṃnaddhakavacānāṃ	puruzANAm saMnadDa-kavacAnAm
   jvalitakhaṅgaparaśupāśamudgarāsimusaratriśūrahastānām evaṃ vācaṃ	jvalita-KaFga-paraSu-pASa-mudgara-asi-musara-triSUra-hastAnAm evam vAcam
   pravyāharamāṇāni gacchanti / gṛhṇata 2 bandhata 2 duṣṭamārān vidhvaṃsaya	pravyAharamANAni gacCanti / gRhNata 2 banData 2 duzwam-ArAn viDvaMsaya
   duṣṭacittān vicūrṇaya jīvitaṃ sarvaduṣṭagrahavighnavināyakānāṃ ye	duzwa-cittAn vicUrNaya jIvitam sarva-duzwa-graha-viGna-vinAyakAnAm ye
   bhagavato viheṭhanaṃ kurvanti / tatas te	BagavataH viheWanam kurvanti / tatas te
   sarvaduṣṭamārāmaitrīkhaṅgeṇābhinirjitāṃ kṛtvā kecic chikṣāpadāni grāhitā /	sarva-duzwa-mArA-mEtrI-KaFgeNa-aBinirjitAm kRtvA kecid SikzA-padAni grAhitA /
   kecid yāvad anuttarāyāṃ samyaksaṃbodhau vyākṛtās tatra mahānubhāvāḥ / anye	kecid yAvat anuttarAyAm samyaksaMboDO vyAkRtAH tatra mahA-anuBAvAH / anye
   punas tān tathāgataromavivaravinirgatān mahāpuruṣān dṛṣṭvā tasmin nagare	punar tAn taTAgata-roma-vivara-vinirgatAt mahApuruzAn dRzwvA tasmin nagare
   vihvalībhūtā ṛddhiparihīṇā naṣṭapratibhānabalaparākramā vidhvastāḥ /	vihvalIBUtAH RdDi-parihINAH nazwa-pratiBAna-bala-parAkramAH viDvastAH /
   samastāḥ samantāt prapalīnā iti / tato bhagavatā dharmacakraṃ	samastAH samantAt prapalInAH iti / tatas BagavatA Darma-cakram
   prativartitam / yathānyair buddhair iti / sarvavighnavināyakān mārāṃś ca	prativartitam / yaTA-anyEH budDEH iti / sarva-viGna-vinAyakAn mArAn ca
   pāpīyāṃso vidhvaṃsayitvottīrṇaḥ pāraṃgata iti / evaṃ hi mahābrāhmaṇa	pApIyAMsaH viDvaMsayitvA-uttIrNaH pAraMgataH iti / evam hi mahA-brAhmaNa
   mahābalavegarddhipāramitāprāpteyaṃ mahāpratisarā mahāvidyārājñī	mahA-bala-vega-RdDi-pAramitA-prAptA-iyam mahA-pratisarA mahAvidyA-rAjQI
   smaraṇamātreṇa sarvavyasanabhayabhairavebhyaḥ (Mp_22) parimocayati /	smaraNa-mAtreNa sarva-vyasana-Baya-BEraveByaH (Mp_22) parimocayati /
   āśayapariviśuddhānāṃ satvānāṃ nānyeṣāṃ duṣṭacetasām / tasmāt tarhi	ASaya-pariviSudDAnAm satvAnAm na-anyezAm duzwa-cetasAm / tasmAt tarhi
   mahābrāhmaṇa nityam evānusmaraṇamātreṇa manasi kartavyā / sarvakālaṃ ca	mahA-brAhmaNa nityam eva-anusmaraNa-mAtreNa manasi kartavyA / sarvakAlam ca
   likhitvā kāyakaṇṭhagatāṃ kṛtvā dhārayitavyā / kim iti pūrvavac chrūyatām	liKitvA kAya-kaNWa-gatAm kRtvA DArayitavyA / kim iti pUrvavat SrUyatAm
   ujjayanyāṃ mahānagaryāṃ rājño brahmadattasya vihite kenacit	ujjayanyAm mahA-nagaryAm rAjQaH brahmadattasya vihite kenacid-
   puruṣeṇāparādhaḥ kṛtaḥ / sa rājñā brahmadattena vadhakapuruṣebhya ājñaptaḥ	puruzeNa-aparADaH kRtaH / sa rAjQA brahmadattena vaDaka-puruzeByaH AjQaptaH
   / bhavato gacchatainaṃ puruṣaṃ jīvitād vyaparopayateti / atha te	/ BavataH gacCata-enam puruzam jIvitAt vyaparopayata-iti / aTa te
   vadhapuruṣās taṃ rājñājñaptaṃ puruṣaṃ gṛhītvā parvatavivaraṃ nītvā	vaDa-puruzAH tam rAjQA-AjQaptam puruzam gRhItvA parvata-vivaram nItvA
   asikośān niṣkāsya taṃ puruṣaṃ jīvitād vyaparopayitum ārabdhaḥ / tadā sa	asi-koSAn nizkAsya tam puruzam jIvitAt vyaparopayitum ArabDaH / tadA sa
   puruṣa imāṃ mahāpratisarāṃ mahāvidyārājñīṃ manasā smṛtavān likhitāṃ ca	puruzaH imAm mahA-pratisarAm mahAvidyA-rAjQIm manasA smRtavAn liKitAm ca
   dakṣiṇe bāhau baddhvā dhārayati sma / tasya mahāsatvasyāsyā mahāvidyāyāḥ	dakziNe bAhO badDvA DArayati sma / tasya mahAsatvasya-asyAH mahAvidyAyAH
   prabhāvenāsir ekajvālībhūtā khaṇḍakhaṇḍaṃ yathā pāṃśumayo vikīrṇa iti /	praBAvena-asiH eka-jvAlIBUtA KaNxa-KaNxam yaTA pAMSu-mayaH vikIrNaH iti /
   tatas te vadhakapuruṣā imam evaṃ niścayaṃ rājaṃ vistareṇārocayāmāsuḥ /	tatas te vaDaka-puruzAH imam evam niScayam rAjam vistareNa-ArocayAmAsuH /
   tato rājā prakupitaś caṇḍībhūtaḥ kathayati / gacchata bho puruṣā	tatas rAjA prakupitaH caNxIBUtaH kaTayati / gacCata Bo puruzA
   anyatarasmin pradeśe yakṣaguhāsti / tatra bahūni yakṣaśatasahasrāṇi	anyatarasmin pradeSe yakza-guhA-asti / tatra bahUni yakza-Sata-sahasrANi
   prativasanti piśitāśīni / tatra nītvā chorayata / tataḥ sa puruṣo	prativasanti piSita-ASIni / tatra nItvA Corayate / tatas sa puruzaH-
   vadhakapuruṣais tasyāṃ yakṣaguhāyāṃ choritaḥ / samanantara chorite tasmin	vaDaka-puruzEH tasyAm yakza-guhAyAm CoritaH / samanantara Corite tasmin
   yakṣaguhāyāṃ tatas te yakṣāḥ sarve tuṣṭamanaso hṛṣṭacittāś ca pradhāvitā	yakza-guhAyAm tatas te yakzAH sarve tuzwa-manasaH hRzwa-cittAH ca praDAvitA
   mānuṣaṃ bhakṣayiṣyāma iti / te paśyanti asyā mahāpratisarāyā	mAnuzam BakzayizyAmaH iti / te paSyanti asyAH mahA-pratisarAyA
   mahāvidyārājñyā anubhāvena taṃ puruṣam ekajvalībhūtaṃ dedīpyamānaṃ	mahAvidyA-rAjQyE anuBAvena tam puruzam ekajvalIBUtam dedIpyamAnam
   vigrahaṃ dṛṣṭvā ca sarva eva te yakṣā saṃtrastā dahyamānaṃ svaśarīraṃ	vigraham dRzwvA ca sarve eva te yakzA saMtrastA dahyamAnam sva-SarIram
   paśyanti / atha te yakṣā vismayaṃ samāpannās taṃ puruṣaṃ gṛhītvā	paSyanti / aTa te yakzAH vismayam samApannAH tam puruzam gRhItvA
   bahirdvāre 'vasthāpya pradakṣiṇīkartum ārabdhāḥ / yāvat tair	bahis-dvAre avasTApya pradakziNIkartum ArabDAH / yAvat tEH-
   vadhakapuruṣai rājñe niścayo 'yaṃ vistareṇāroitaḥ / tato bhūyo rājā	vaDaka-puruzEH rAjQe niScayaH ayam vistareNa-aroitaH / tatas BUyas rAjA
   prakupitaś caṇḍībhūtaḥ kathayati / yad eva bhavanto gacchatainaṃ puruṣaṃ	prakupitaH caNxIBUtaH kaTayati / yat eva BavantaH gacCata-enam puruzam
   baddhvā nadyāṃ prakṣipata / tataḥ sa puruṣo vadhakapuruṣair baddhvā nadyām	badDvA nadyAm prakzipata / tatas sa puruzaH vaDaka-puruzEH badDvA nadyAm
   prakṣiptaḥ / samanantaraṃ prakṣipte tasmin mahāpuruṣe sā nadī nirudakī	prakziptaH / samanantaram prakzipte tasmin mahApuruze sA nadI nirudakI
   bhūtā yatha sa (Mp_23) puruṣaḥ sthalagata eva tiṣṭhati / tāni ca	BUtAH yaTa saH (Mp_23) puruzaH sTala-gataH eva tizWati / tAni ca
   bandhanāni khaṇḍakhaṇḍaṃ vicūrṇitāni / rājā śrutvā tato rājā	banDanAni KaNxa-KaNxam vicUrNitAni / rAjA SrutvA tatas rAjA
   vismitotphullavadanaḥ kathayati / aho vismayam idaṃ puruṣasya dṛśyate /	vismita-utPulla-vadanaH kaTayati / aho vismayam idam puruzasya dRSyate /
   kim atra kāraṇaṃ syād iti me vitarkaḥ / atha sa rājā taṃ puruṣam āhūyainam	kim atra kAraNam syAt iti me vitarkaH / aTa sa rAjA tam puruzam AhUya-enam
   āha / kiṃ tvaṃ bhoḥ puruṣa jānāsi / sa puruṣa uvāca / nāhaṃ mahārāja	Aha / kim tvam BoH puruza jAnAsi / sa puruzaH uvAca / na-aham mahA-rAja
   kiṃcid api jānāmi / anyatra mahāpratisarāṃ mahāvidyārājñīṃ dhārayāmi /	kiMcid api jAnAmi / anyatra mahA-pratisarAm mahAvidyA-rAjQIm DArayAmi /
   asyā eṣa deva mahāprabhāvaḥ / rājā āha / aho āścaryam idaṃ mahat /	asyAH eza deva mahA-praBAvaH / rAjA Aha / aho AScaryam idam mahat /
   mahāvidyā subhāṣitā / mohanī mṛtyudaṇḍasya sarvabuddhair adhiṣṭhitā /	mahAvidyA su-BAzitA / mohanI mRtyu-daNxasya sarva-budDEH aDizWitA /
   tāraṇī sarvasatvānāṃ sarvaduḥkhapramocanī / mahāvidyā mahātejā	tAraNI sarva-satvAnAm sarva-duHKa-pramocanI / mahAvidyA mahA-tejAH-
   akālamṛtyumocanī / bhāṣitā kāruṇikair nāthair mahāroganivāriṇī / tato	akAla-mRtyu-mocanI / BAzitA kAruNikEH nATEH mahA-roga-nivAriNI / tatas-
   rājñā prahṛṣṭamānasena mahāpratisarā mahāvidyārājñī pūjitā	rAjQA prahRzwa-mAnasena mahA-pratisarA mahAvidyA-rAjQI pUjitA
   mānitābhinanditā / tasya puruṣasya poṭṭabandhaṃ kṛtvā svasya janapadasya	mAnita-aBinanditA / tasya puruzasya powwa-banDam kRtvA svasya janapadasya
   purastān nagarajyeṣṭhatāyām abhiṣeko dattaḥ / evaṃ hi mahābrāhmaṇa iyaṃ	purastAt nagara-jyezWa-tAyAm aBizekaH dattaH / evam hi mahA-brAhmaNaH iyam
   mahāpratisarā mahāvidyārājñī sarvatra mahatīpūjāṃ labhate /	mahA-pratisarA mahAvidyA-rAjQI sarvatra mahatI-pUjAm laBate /
   anabhikramaṇīyā sarvaduṣṭacittaiḥ sarvaiḥ pūjanīyā / evaṃ hi mahābrāhmaṇa	anaBikramaNIyA sarva-duzwa-cittEH sarvEH pUjanIyAH / evam hi mahA-brAhmaNa
   pūrvam iyaṃ mahāpratisarā mahāvidyārājñī na kvacit pratihanyate / tasmād	pUrvam iyam mahA-pratisarA mahAvidyA-rAjQI na kvacid pratihanyate / tasmAt-
   avaśyam iyaṃ mahāvidyārājñī kāyakaṇṭhagatāṃ kṛtvā dhārayitavyā / api tu	avaSyam iyam mahAvidyA-rAjQI kAya-kaNWa-gatAm kRtvA DArayitavyA / api tu
   mahābrāhmaṇa manukṣetreṇeyaṃ mahāvidyārājñī supraśastena vidhānena	mahA-brAhmaNa manu-kzetreNa-iyam mahAvidyA-rAjQI su-praSastena viDAnena
   likhitavyā //	liKitavyA //
   atha sa mahābrāhmaṇo 'tīva prahṛṣṭamanasā bhagavantaṃ	aTa sa mahA-brAhmaNaH atIva prahRzwa-manasA Bagavantam
   pañcamaṇḍalakenābhipraṇamya praṣṭum ārabdhaḥ / kīdṛśena bhadanta bhagavan	paQcamaNxalakena-aBipraNamya prazwum ArabDaH / kIdRSena Badanta Bagavan
   vidhāneneyaṃ mahāpratisarā mahāvidyārājñī likhitavyā //	viDAnena-iyam mahA-pratisarA mahAvidyA-rAjQI liKitavyAH //
   bhagavān āha /	BagavAn Aha /
   śṛṇu mahābrāhmaṇa tvām ahaṃ vakṣye sarvasatvānukaṃpayā /	SRNu mahA-brAhmaNa tvAm aham vakzye sarva-satva-anukaMpayA /
   yena satvāḥ sukhino bhontu mucyatai karmasaṃkaṭāt //	yena satvAH suKinaH Bontu mucyatE karma-saMkawAt //
   vyādhitānāṃ ca mokṣārthaṃ strīṇāṃ garbhasamudbhavam /	vyADitAnAm ca mokza-arTam strINAm garBa-samudBavam /
   bhaviṣyati ca satvānāṃ dāridryavaraṇarohaṇam //	Bavizyati ca satvAnAm dAridrya-varaNa-rohaNam //
   upavāsoṣito bhūtvā nakṣatre puṣyasaṃmate /	upavAsa-uzitaH BUtvA nakzatre puzya-saMmate /
   (Mp_24)	(Mp_24)
   buddhapūjāparo bhūtvā cittam utpācya bodhaye //	budDa-pUjA-paraH BUtvA cittam utpAcya boDaye //
   karuṇāmreḍitacittena maitryā cāpi samanvitaḥ /	karuNA-mrexita-cittena mEtryA ca-api samanvitaH /
   hitādhānaparaś cāpi sarvasatveṣu nityaśaḥ //	hita-ADAna-paraH ca-api sarva-satvezu nityaSas //
   snātvā candanakarpūraiḥ kastūrīsalilena ca /	snAtvA candana-karpUrEH kastUrI-salilena ca /
   śucivastrāṇi prāvṛtya dhūpitāni ca dhūpanaiḥ //	Suci-vastrANi prAvRtya DUpitAni ca DUpanEH //
   tato maṇḍalakaṃ kṛtvā śṛṅgomayasamanvitam /	tatas maNxalakam kRtvA SRFgaH-maya-samanvitam /
   pañcaraṅgikacūrṇena citraya maṇḍalaṃ śubham //	paQca-raFgika-cUrNena citraya maNxalam SuBam //
   pūrṇakumbhāś ca caturaḥ pañcamaṃ madhyamaṇḍale /	pUrNa-kumBAH ca caturaH paQcamam maDya-maNxale /
   puṣpadhūpāś ca gandhāś ca dātavyātra mahārihā //	puzpa-DUpAH ca ganDAH ca dAtavyA-atra mahArihA //
   dhūpanaṃ candanaṃ caiva spṛkkāguru tathaiva ca /	DUpanam candanam ca-eva spRkkA-aguru taTA-eva ca /
   pañcaśarkarā rukmā ca dātavyātra vidhānataḥ //	paQcaSarkarA rukmA ca dAtavyA-atra viDAnataH //
   nānāvidhāni puṣpāṇi yathākālaṃ yathāvidhiḥ /	nAnAviDAni puzpANi yaTAkAlam yaTAviDiH /
   sarvapuṣpaphalair bījair gandhaiś cāpi sumaṇḍitān //	sarva-puzpa-PalEH bIjEH ganDEH ca-api su-maNxitAn //
   ghṛtamākṣikadugdhaiś ca pāvakaiḥ payasādibhiḥ /	GRta-mAkzika-dugDEH ca pAvakEH payasA-AdiBiH /
   pūrayed balikumbhāś ca lakṣaṇād yān sumaṅgalān //	pUrayet bali-kumBAH ca lakzaNAt yAn su-maFgalAn //
   sthāpayec caturo dikṣu pañcamaṃ madhyamaṇḍale /	sTApayet caturaH dikzu paQcamam maDya-maNxale /
   sthāpanīyāḥ śarāvāṃś ca koṇeṣu gandhapūritāḥ //	sTApanIyAH SarAvAn ca koNezu ganDa-pUritAH //
   catvāraḥ kīlakāś cāpi khādirā dṛḍhaveśitāḥ /	catvAraH kIlakAH ca-api KAdirAH dRXa-veSitAH /
   pañcaraṅgikasūtreṇa veśayitvā vicakṣaṇāḥ /	paQca-raFgika-sUtreNa veSayitvA vicakzaNAH /
   samabhāgena sthāpyetāṃ nipatyān maṇḍalād bahiḥ /	sama-BAgena sTApyetAm nipatyAt maNxalAt bahis /
   evaṃ kṛte likhed vipra yad icchet siddhim ātmanaḥ //	evam kRte liKet vipra yat icCet sidDim AtmanaH //
   śuklabhojanabhuktena likhitavyaṃ sukhaiṣiṇā /	Sukla-Bojana-Buktena liKitavyam suKa-eziNA /
   paṭṭe vā vastrabhūrje vānyatra vā yatra kutracit //	pawwe vA vastra-BUrje vA-anyatra vA yatra kutracid //
   likhet strīṣu ca putrārthī samyaggorocanena vai /	liKet strIzu ca putra-arTI samyak-gorocanena vE /
   madhye ca dārakaṃ kuryāt sarvālaṃkārabhūṣitam //	maDye ca dArakam kuryAt sarva-alaMkAra-BUzitam //
   ratnapūrṇaṃ tathā pātraṃ vāmahastena dhārayet /	ratna-pUrNam taTA pAtram vAma-hastena DArayet /
   kārye padme niṣaṇṇo saupraphullitavibhūṣite //	kArye padme nizaNNaH sOpraPullita-viBUzite //
   maṇihārasuvarṇaṃ ca nānāratnaviśeṣataḥ /	maNihAra-suvarNam ca nAnA-ratna-viSezataH /
   pravarṣaś cāpi kartavyāś catuḥ koṇeṣu parvatāḥ //	pravarzaH ca-api kartavyAH catuH koNezu parvatAH //
   evaṃ likhet prayatnena yad icched jīvitaṃ sukham /	evam liKet prayatnena yat icCet jIvitam suKam /
   (Mp_25)	(Mp_25)
   kuṅkumena likhet prājñaḥ puruṣāṇāṃ viśeṣataḥ //	kuFkumena liKet prAjQaH puruzANAm viSezataH //
   tasyepsitāni kāryāṇi sidhyante nātra saṃśayaḥ /	tasya-IpsitAni kAryANi siDyante na-atra saMSayaH /
   nānārūpāś ca kartavyā mudrācihnaś ca padminī //	nAnA-rUpAH ca kartavyA mudrA-cihnaH ca padminI //
   dve padme athavā trīṇi catvāri pañca vā likhet /	dve padme aTavA trINi catvAri paQca vA liKet /
   padmānāṃ ca tathā kuryāt keśarāṇi samantataḥ //	padmAnAm ca taTA kuryAt keSarANi samantataH //
   supuṣpitaṃ padmaṃ kurvīta sadaṇḍaṃ paṭṭabaddhakam /	su-puzpitam padmam kurvIta sa-daNxam pawwa-badDakam /
   triśūlaṃ padme kurvītātha koṇaṃ paṭṭabaddhakam //	triSUlam padme kurvIta-aTa koNam pawwa-badDakam //
   parśuṃ kuryāt tathā padme atha patre samantataḥ /	parSum kuryAt taTA padme aTa patre samantataH /
   sakhaṅgaṃ padmaṃ kurvīta tat padmaṃ śitam eva ca //	sa-KaFgam padmam kurvIta tat padmam Sitam eva ca //
   śaṅkhaṃ padme tathā kuryāt sarvatra vidhivistaram /	SaFKam padme taTA kuryAt sarvatra viDi-vistaram /
   sarvatra vidhicihnāni kārayet suvicakṣaṇaḥ //	sarvatra viDi-cihnAni kArayet su-vicakzaNaH //
