   Muktā-caritram	MuktA--caritram
   irbharārāmeṇa śrī-śrī-rasa-nāma-prāṇa-priyatama-narma-sakhena	irBara-ArAmeNa SrI--SrI-rasa-nAma--prANa--priyatama--narma--saKena
   sa-bhrū-bhaṅgaṃ nayana-ghūrṇana-līlayā vihita-pratiṣedhāt svayam api ca	sa-BrU--BaFgam nayana--GUrNa-na-lIlayA vihita--pratizeDAt svayam api ca
   paścād	paScAt-
   avadhāya | bho bhoḥ! anāyyam anāyyam iti rasajñāṃ daśanaiḥ saṃdaśya laghu	avaDAya | Bo BoH! anAyyam anAyyam iti rasajQAm daSanEH saMdaSya laGu
   laghu	laGu
   sa-saṅkocaṃ sva-pṛṣṭena dūram apasaratsu teṣu -	sa--saFkocam sva---pRzwena dUram apasaratsu tezu -
   tato'sphuṭa-bahir-vikāra-nikaraḥ	tatas-asPuwa--bahis--vikAra--nikaraH
   sambhṛta-hṛt-kampātiśayaḥ sa śrī-śrīmān yādavendraḥ svagatam idaṃ vilalāpa	samBRta--hRt--kampa-atiSayaH sa SrI--SrImAn yAdava-indraH sva-gatam idam vilalApa
   hā	hA
   mat-prāṇa-kapota-vāsa-baḍabhi-prema-sphuran-mādhurī-dhārāpāra-sarid-vare!	mat--prANa--kapota--vAsa--baxaBi--prema--sPuran-mADurI--DArA-pAra--sarit--vare!
   guṇa-kalā-narma-prahelīkhane! hā	guNa--kalA--narma--prahelIKane! hA
   man-netra-cakora-poṣaka-vibdhu-jyotsnā-tate	man-netra--cakora--pozaka-vibDu--jyotsnA-tate
   rādhike! hā hā mad-duritena kena nidhivat prāptā karāt tvaṃ cyutā ?	rADike! hA hA mad--duritena kena niDivat prAptA karAt tvam cyutA ?
   tataḥ satyabhāmā - yādavendra! śrīman-mukhāravindād	tatas satyaBAmA  yAdava-indra! SrI-man-muKa-aravindAt-
   gokula-vilāsa-mādhurī-makarandaṃ dhayantyā api mama pipāsā param	gokula-vilAsa--mADurI--makarandam DayantyAH api mama pipAsA param
   ullālasīti |	ullAlasi-iti |
   tat-kṛpayā tad eva punaḥ pāyaya |	tat-kRpayA tat eva punar pAyayaH |
   kṛṣṇaḥ - priye śrūyatām |	kRzNaH  priye SrUyatAm |
   tato madhumaṅgalenoktaṃ - sakhi lalite! priya-sakhasyāham	tatas maDu-maFgalena-uktam  saKi lalite! priya--saKasya-aham
   alaṅghya-vākya-sacivo'smi | tad apūrvaṃ kam apy utkocaṃ mahyaṃ dehi | mayā	alaFGya--vAkya--sacivaH-asmi | tat apUrvam kam api utkocam mahyam dehi | mayA
   mauktika-mūlyena vaḥ sācivyaṃ vidhāsyate |	mOktika--mUlyena vaH sAcivyam viDAsyate |
   viśākhā - ārya! kim apy atra nāsti | sāyaṃ sa-krośanārthaṃ tubhyaṃ	viSAKA  Arya! kim api atra na-asti | sAyam sa-kroSana-arTam tuByam
   varāṭikā-catuṣṭayam avaśyaṃ deyam | yadi pratītir na kriyate tvayā	varAwikA--catuzwayam avaSyam deyam | yadi pratItiH na kriyate tvayA
   nāndīmukhī	nAndImuKI
   pratibhūr gṛhyatām |	pratiBUH gRhyatAm |
   madhumaṅgalaḥ sa-krodhaṃ - avadya-bhāṣiṇi ābhīrike! tiṣṭha tiṣṭha |	maDu-maFgalaH sa--kroDam  avadya--BAziNi ABIrike! tizWa tizWa |
   eṣo'haṃ	ezaH-aham
   sadya eva tavaitat prāyaścittaṃ kārayann asi iti nigadya māṃ pratyuvāca -	sadyas eva tava-etat prAyaScittam kArayan asi iti nigadya mAm pratyuvAca -
   priya-vayasya! bhavan-mṛdula-vacana-druta-ghṛta-dhārayā	priya--vayasya! Bavan--mRdula--vacana--druta--GRta-DArayA
   saṃvardhita-garva-vaiśvānarābhir amūbhiḥ suṣṭhu bhavantam upālabhya mām	saMvarDita--garva--vESvAnarABiH amUBiH suzWu Bavantam upAlaBya mAm
   api	api
   baddhā netuṃ vyavasīyate |	badDA netum vyavasIyate |
   tato'haṃ - sakhe! satyaṃ satyaṃ yathā vinā rājadhānī-jayena tad-deśāḥ	tatas-aham  saKe! satyam satyam yaTA vinA rAjaDAnI--jayena tad--deSAH
   suṣṭhu vaśā	suzWu vaSA
   na bhavanti | tathaitad yūtheśā parābhavam antareṇa tadīyāḥ katham amūr	na Bavanti | taTA-etat yUTeSA parABavam antareNa tadIyAH kaTam amUr
   amūkā	amUkA
   na bhavantu | iti nigadya rādhā-sanāthaṃ kuñjaṃ paśyan sa-nirvedaṃ punar	na Bavantu | iti nigadya rADA--sanATam kuQjam paSyan sa-nirvedam punar-
   avadaṃ -	avadam -
   kiṃ kartavyaṃ sā kilaitad bhayenaiva mat-sānnidhyaṃ nāsāditavatī iti	kim kartavyam sA kila-etat Bayena-eva mat-sAnniDyam na-AsAditavatI iti
   niśamya	niSamya
   drutam udgrīvikāvalokanāt saṅkucantī rādhā kuñja-madhye niviṣṭaḥ babhūva |	drutam udgrIvikA-avalokanAt saFkucantI rADA kuQja--maDye nivizwaH baBUva |
   satyabhāmā - tatas tataḥ ?	satyaBAmA  tatas tatas ?
   kṛṣṇaḥ - tato'haṃ - nāndīmukhi! lalitādīnāṃ tāruṇya-dhanād api tasyās	kRzNaH  tatas-aham  nAndImuKi! lalita-AdInAm tAruNI-a-DanAt api tasya-as
   tāruṇya-dhanaṃ pracurataram amūlyam apīti jñāyatām |	tAruNI-a-Danam pracurataram amUlyam api-iti jQAyatAm |
   nāndīmukhī - katham iva ?	nAndImuKI  kaTam iva ?
   mayoktaṃ - yata āsāṃ tāvat sampūṭa-dvaya-parimitaṃ tat tasyās tu	mayA-uktam  yatas AsAm tAvat sampUwa--dvaya--parimitam tat tasyAH tu
   mahā-mataṅgaja-kumbhato'pi nistalatvenonnatatvena pariṇāhena ca	mahA-mataFga-ja--kumBataH-api nistala-tvena-unnata-tvena pariNAhena ca
   pravīṇatare	pravINatare
   hṛn-madhyasthe gokula-prasiddha-taskara-bhītyeva mṛgamada-paṅkādi-lepena	hRn--maDya-sTe go-kula--prasidDa-taskara-Bi-ityA-iva mRga-mada--paFka-Adi--lepena
   varṇāntaram āpite hiraṇmaya-kumbha-yugale paripūrṇaṃ tat |	varNa-antaram Apite hiraNmaya--kumBa--yugale paripUrNam tat |
   nāndīmukhī - mohana! atisuguptam etad dhanaṃ kadāpi bhavad-dṛṣṭa-caraṃ	nAndImuKI  mohana! ati-su-guptam etat Danam kadApi Bavat--dRzwa--caram
   vṛttam asti |	vRttam asti |
   tato'haṃ sa-smitaṃ - nāndīmukhi! vidyuc-camatkṛtim iva sakṛd īkṣitam asti	tatas-aham sa--smitam  nAndImuKi! vidyuc-camat-kRtim iva sakRt Ikzitam asti
   nāndīmukhī - kadā ?	nAndImuKI  kadA ?
   mayoktaṃ - ekasminn avasare nija-sarovara-snānād uttīrya	mayA-uktam  ekasmin avasare nija--saraH-vara--snAnAt uttIrya
   nija-madhurāṅgataś	nija--maDura-aFgataH-
   cīnāṃśukena rahasi tayā niḥsāryamāṇe payasi sumanoharaṇāya daivāt	cIna-aMSukena rahasi tayA niHsAryamANe payasi su-manoharaNAya dEvAt-
   tatraivāgatena mayā manāg evāvalokitaṃ tat tataḥ sā sabhayam iva sahasaiva	tatra-eva-Agatena mayA manAk eva-avalokitam tat tatas sA sa-Bayam iva sahasA-eva
   śyāmala-śāṭikāñcalenāvṛtavatī | samprati mad-bhāgya-vaśād yadi kutrāpi	SyAmala-SAwikA-aQcalena-AvRtavatI | samprati mad-BAgya--vaSAt yadi kutra-api
   yauvana-dhana-garvitā sāsmad-rājyābhilāṣiṇī mac-cakṣuṣor aparokṣībhavet	yOvana-Dana--garvitA sa-asmad--rAjya-aBilAziNI mac-cakzuzoH aparokzIBavet-
   tadā	tadA
   nakha-daśana-bhaṭa-sāmantān antareṇāpi chāyā-dvitīyena mayā	naKa-daSana--Bawa--sAmantAn antareNa-api CAyA-dvitIyena mayA
   kara-kamala-yugenaiva tat-kumbha-dvayam āloḍya tāruṇya-dhanānya	kara--kamala--yugena-eva tat-kumBa-dvayam Aloxya tAruNI-a-DanAni-a
   ātma-sātkṛtya	Atma-sAtkRtya
   sādhvasa-labdha-kampa-pulakāyāṃ tasyāṃ yūtha-nāthāyāṃ nirvacanī-kṛtāyāṃ	sADu-asa-labDa--kampa-pulakAyAm tasyAm yUTa-nATAyAm nirvacanI--kRtAyAm
   tad-amātya-ghaṭeyaṃ mahā-vaikulyena sva-sva-tāruṇya-dhanaṃ gṛhītvā	tat--amAtya--GawA-iyam mahA--vEkulyena sva--sva-ta-aruNI-a-Danam gRhItvA
   palāyitum	palAyitum
   api suṣṭhu-sthānam api nāpsyati kiṃ vā tad-dhana-samarpaṇa-pūrvakaṃ	api suzWu--sTAnam api na-Apsyati kim vA tad--Dana--samarpaNa--pUrvakam
   śuddha-bhāvena mām eva paricariṣyati | tad atikṣudrābhir ābhiḥ	SudDa-BAvena mAm eva paricarizyati | tat ati-kzudrABiH ABiH
   sva-mahimonnāha-glāni-kāriṇā vākovākena kim ?	sva--mahima-unnAha---glA-ni-kAriNA vAkovAkena kim ?
   tataḥ kiñcit smitvā nāndīmukhīṃ prati rādhā anuccaiḥ prāha - ayi	tatas kiQcid smitvA nAndImuKIm prati rADA anuccEs prAha  ayi
   capala-brahmacāriṇi! apehi apehi |	capala--brahmacAriNi! apehi apehi |
   viśākhā - aho uḍḍīya calitum aśakyasya bimbīmātraika-bhojino bubhukṣitasya	viSAKAH  aho uxxIya calitum aSakyasya bimbI-mAtra-eka-BojinaH buBukzitasya
   lolubha-śukasya manasi durlabha-madhura-drākṣā-bhakṣaṇam etat |	loluBa-Sukasya manasi durlaBa--maDura--drAkzA--BakzaNam etat |
   madhumaṅgalaḥ - priya-vayasya! mad-abhīṣṭa-pāritoṣikaṃ dehi dhruvam	maDu-maFgalaH  priya--vayasya! mad-aBIzwa--pAritozikam dehi Druvam
   adhunaiva bhavad-rājyābhilāṣiṇīṃ rādhāṃ tāṃ bhavat-kara-gatāṃ vidhāsye |	aDunA-eva Bavat--rAjya-aBilAziNIm rADAm tAm Bavat--kara--gatAm viDAsye |
   tato'ham - sāyaṃ miṣṭānna-bhojanaṃ dāsye |	tatas-aham  sAyam mizwAn-na-Bojanam dAsye |
   madhumaṅgalaḥ - māthura-rāja-pārśve phutkṛtya tad-aśvārūḍhānāṃ śatam ānīya	maDu-maFgalaH  mATura--rAja--pArSve PutkRtya tat--aSva-ArUXAnAm Satam AnIya
   pṛṣṭha-deśe carma-rajjvā kaphoṇi-dvaya-bandha-pūrvakaṃ kaśābhis tat-patir	pRzWa-deSe carma-rajjvA kaPoNi--dvaya-banDa--pUrvakam kaSABiH tat-patiH-
   abhimanyus tathā tāḍayitavyaḥ yathā sa eva tām ānīya dadāti |	aBimanyuH taTA tAxayitavyaH yaTA saH eva tAm AnIya dadAti |
   tataḥ sarve smayayanti sma |	tatas sarve smayayanti sma |
   lalitā - viśākhe! kam api mahābhāgam uddiśya yat kiñcin nivedayāmi tat	lalitA  viSAKe! kam api mahABAgam uddiSya yat kiQcid nivedayAmi tat-
   śṛṇu |	SRNu |
   viśākhā - kathyatām |	viSAKA  kaTyatAm |
   tataḥ kadamba-bhūruhāgram abhivīkṣya lalitā - bho	tatas kadamba-BUruha-agram aBivIkzya lalitA  Bo
   vṛndāvana-cara-tapasvi-vara!	vRndAvana-cara--tapasvi-vara!
   tvaṃ tāvat phalāhārī khyātas tat-sva-maryādhām ullaṅghya	tvam tAvat Pala-AhArI KyAtaH tat--sva--maryADAm ullaFGya
   bhavad-ayogya-parama-durlabha-sādhvī-hṛdayaṅgama-mahā-dhane lālasām	Bavat--ayogya--parama--durlaBa--sADvI--hRdayaFgama--mahA-a-Dane lAlasAm
   udvahan kathaṃ kaluṣito bhavann asi ?	udvahan kaTam kaluzitaH Bavan asi ?
   viśākhā - lalite! bubhukṣito'yaṃ tapasvī phalam anālabhya etad ayogyam api	viSAKA  lalite! buBukzitaH-ayam tapasvI Palam anAlaByaH etat ayogyam api
   kartuṃ	kartum
   pravṛtto'sti | tad uttama-phalam asmai samuddiśyatām | tathāpi	pravRttaH-asti | tat uttama--Palam asmE samuddiSyatAm | taTA-api
   dharma-vṛddhir	Darma--vRdDiH-
   bhaviṣyati |	Bavizyati |
   lalitā smitam apavarya - viśākhe! kim asau mānasa-jāhnavīṃ na jānāti ?	lalitA smitam apavarya  viSAKe! kim asO mAnasa--jAhnavIm na jAnAti ?
   viśākhā - sarvatra bhramaṇa-śīlo'yam atiprasiddhāṃ tāṃ kathaṃ na jñāsyati	viSAKA  sarvatra BramaNa-SIlaH-ayam ati-prasidDAm tAm kaTam na jQAsyati
   lalitā - tad vāyavya-tīre sarvataś-calā kācid apūrva-padmā sphuṭam ekā	lalitA  tat vAyavya--tIre sarvatas--calA kAcid apUrva-padmA sPuwam ekA
   vallarī	vallarI
   vartate | tasyā madhya-bhāge parama-manoharaṃ ahrasvaṃ	vartate | tasyAH maDya--BAge parama---manoharam ahra-svam
   tumbī-phala-dvandvaṃ	tumbI-Pala--dvandvam
   tathāgre ca akṣīṇam akaṭu-bimbīphala-yugalam asti | (199)	taTA-agre ca akzINam akawu-bimbI-Pala--yugalam asti | (199)
   viśākhā - gosvāmin! tvaritam eva tatra gatvā	viSAKA  go-svAmin! tvaritam eva tatra gatvA
   tva-yogya-tad-anuttama-phalopabhogena sādhvī-dhana-lobham apahāya	tva--yogya-tad--anuttama--Pala-upaBogena sADvI--Dana--loBam apahAya
   sva-dharmaṃ	sva-Darmam
   pālayatā bhavatā parama-sukhinā bhūyatām |	pAlayatA BavatA parama--suKinA BUyatAm |
   tataḥ sarvāsu hasantīṣu mayoktaṃ - lalite! tapasya-sāvayācita-vṛttiḥ	tatas sarvAsu hasantIzu mayA-uktam  lalite! tapasya--sO=-ayAcita-vRttiH
   kara-pātrī	kara--pAtrI
   bhakṣaṇe niṣiddhaṃ tumbīphalaṃ nopabhuṅkte | kintu atraiva	BakzaNe nizidDam tumbI-Palam na-upaBuFkte | kintu atra-eva
   nirbhara-nija-pradyota-bhareṇa yā dṛśyamānāpi na dṛśyate | tasyāḥ	nirBara--nija--pradyota--BareNa yA dRSyamAnA-api na dRSyate | tasyAH
   kāñcanavallyāḥ	kAQcanavallyAH
   kroḍe madhura-rasa-maya-śrī-phala-dvandvaṃ yad vidyotate tat svayam eva	kroxe maDura--rasa--maya--SrI--Pala--dvandvam yat vidyotate tat svayam eva
   saivāgatya praṇaya-pūrvakaṃ madhura-vacanenainaṃ nimantryāsya karo yadi	sA-eva-Agatya praNaya--pUrvakam maDura-vacanena-enam nimantrya-asya karaH yadi
   pariveśayati, tadā tad-upabhogena sukhī bhavann asau tathāśiṣayati yathā	pariveSayati, tadA tad--upaBogena suKI Bavan asO taTA-ASizayati yaTA
   tat-phalonnatir mahatī syāt |	tat-Pala-unnatiH mahatI syAt |
   tatas tan niśamya rādhā anuccaiḥ - narma-lampaṭo'yaṃ dhūrtaḥ | śaṅke	tatas tat niSamya rADAH anuccEs  narma-lampawaH-ayam DUrtaH | SaFke
   vaidagdhyenātratyāṃ mad-avasthitim avadhārya mām eva kadarthayitum imāṃ	vEdagDyena-atratyAm mad--avasTitim avaDArya mAm eva kadarTayitum imAm
   vacana-bhaṅgīṃ vitanoti | tad itaḥ kuñjāntaram āsādya sva-gopanam eva	vacana--BaFgIm vitanoti | tat itas kuQja-antaram AsAdya sva-gopanam eva
   nūnam	nUnam
   ucitam |	ucitam |
   iti manasi bhāvayantyāṃ tasyāṃ punar mayoktaṃ - priya-sakhi lalite! ayaṃ	iti manasi BAvayantyAm tasyAm punar mayA-uktam  priya--saKi lalite! ayam
   vṛndāvana-cārī mahā-vinodī kṣuṇṇa-yūtheśāṃ tvāṃ paṭṭa-rājñīṃ vidhāya tvayā	vRndAvana-cArI mahA--vinodI kzuNNa-yUTa-ISAm tvAm pawwa-rAjQIm viDAya tvayA
   sahaika-siṃhāsa upaviśya viśākhā-prabhṛti-vṛndāvana-carīṇāṃ lāsya-vilāsam	saha-eka-siMhAsaH upaviSya viSAKA--praBRti--vRndAvana--carINAm lAsya-vilAsam
   ālokayitym abhilaṣati tad ājñāpyatām etā nṛtyantu |	Alokayitym aBilazati tat AjQApyatAm etAH nRtyantu |
   lalitā sa-krodhaṃ - nāndīmukhi! asman-muktā-kedārikā-kara-parivartanena	lalitA sa-kroDam  nAndImuKi! asman--muktA-kedArikA-kara--parivartanena
   kim	kim
   asya vidūṣakasya narma-dhanam eva dāpayituṃ vayam atra vyāghoṭyānītāḥ smaḥ	asya vidUzakasya narma-Danam eva dApayitum vayam atra vyAGowi-AnItAH smaH
   ? tad etāṃ narmādi-gati-kriyām apahāya yathāsau subalena saha yathārthaṃ	? tat etAm narma-Adi--gati-kriyAm apahAya yaTA-asO subalena saha yaTArTam
   lekham	leKam
   ācarya kedārikā-karaṃ dadāti tathā vidhāyāsmān drutaṃ gṛhāya prasthāpaya |	Acarya kedArikA-karam dadAti taTA viDAya-asmAn drutam gRhAya prasTApaya |
   nāndīmukhī - bhavatīnāṃ kiyān karaḥ saṃmataḥ syāt tat tāvat kathaya |	nAndImuKI  BavatInAm kiyAn karaH saMmataH syAt tat tAvat kaTaya |
   lalitā - śyāmākādi-kṣetra-karato dhānyasyādhikaḥ karo lagati | tato'pi	lalitA  SyAmAka-Adi-kzetra-karataH DAnyasya-aDikaH karaH lagati | tatas-api
   kārpāsasya |	kArpAsasya |
   tato'pi vāstu-bhūmeḥ pracurataraḥ | apūrvāmūlya-muktā-kedārasya tato'pi	tatas-api vAstu-BUmeH pracurataraH | apUrvA-mUlya--muktA-kedArasya tatas-api
   parārdha-guṇaḥ | tad-alaukika-muktā-kedārikām imāṃ	parArDa--guNaH | tad--alOkika--muktA-a-kedArikAm imAm
   dharma-śāstrokta-vṛndāvana-rājya-vihitālaukika-māna-daṇḍena parimāya	Darma-SAstra-ukta--vRndAvana--rAjya--vihita-alOkika--mAna--daNxena parimAya
   lekhaṃ	leKam
   vidhāya ca subala eva kathayatu |	viDAya ca subalaH eva kaTayatu |
   nāndīmukhī - kiyat pramāṇaṃ sa khalu māna-daṇḍaḥ ?	nAndImuKI  kiyat pramANam sa Kalu mAna-daNxaH ?
   lalitā - mayā kathyamānaḥ sa khalu kena pratīyatāṃ | tad etat	lalitA  mayA kaTyamAnaH sa Kalu kena pratIyatAm | tat etat-
   kṣetra-pālikayā	kzetra-pAlikayA
   sarva-śāstrābhijñayā vṛndayaiva sa nirūpayitavyaḥ |	sarva--SAstra-aBijQayA vRndayA-eva sa nirUpayitavyaH |
   nāndīmukhī - bhadraṃ vṛnde! madhyasthayā tvayaiva muktā-māna-daṇḍaḥ kṛtvā	nAndImuKI  Badram vRnde! maDyasTayA tvayA-eva muktA-mAna--daNxaH kRtvA
   dīyatām |	dIyatAm |
   vṛndā devī -	vRndA devI -
   vāstu-dhānyādi-kaṅkvādi-kārpāsa-mauktika-kṣamāḥ |	vAstu-DAnya-Adi--kaFkva-Adi-ka-arpAsa--mOktika--kzamAH |
   mīyante'ṅguṣṭham ārabhya kramād aṅguli-pañcakaiḥ || iti |	mIyante-aFguzWam AraBya kramAt aFguli--paQcakEH || iti |
   anyatra ca -	anyatra ca -
   apūrva-muktā-kṣetrāṇām anarghya-karato budhaiḥ |	apUrva-muktA--kzetrANAm anarGya-karataH buDEH |
   anāmikāṅguli-prāyo māna-daṇḍaḥ prakīrtitaḥ || iti |	anAmika-aFguli--prAyaH mAna-daNxaH prakIrtitaH || iti |
   nāndīmukhī - kṣura-pramātra-khānita-bhūmer	nAndImuKI  kzura--pramAtR-a--KAnita--BUmeH-
   anāyāsenaivānargha-śasyotpādakatvāt kaniṣṭhaiva |	anAyAsena-eva-anarGa--Sasya-utpAdaka-tvAt kanizWA-eva |
   nāndīmukhī - lalite! yady api tad eva yuktaṃ bhavati tathāpi	nAndImuKI  lalite! yadi api tat eva yuktam Bavati taTA-api
   vrajendra-kumāra-mukham ālokya bhagavatī-paricārikāṃ māṃ ca dṛṣṭvā	vraja-indra-kumAra--muKam Alokya BagavatI--paricArikAm mAm ca dRzwvA
   anāmikaiva sthāpyatām |	anAmikA-eva sTApyatAm |
   lalitā - vṛnde! tvaṃ tāval lekha-kriyāyāṃ māna-viṣaye ca nipuṇyāsi tat	lalitA  vRnde! tvam tAvat leKa-kriyAyAm mAna--vizaye ca nipuNyA-asi tat-
   sarvābhiḥ	sarvABiH
   sambhūya gatvā nāndīmukhī-subala-saṃmati-pūrvakaṃ kedārikāṃ	samBUya gatvA nAndI-muKI--su-bala--saMmati--pUrvakam kedArikAm
   parimīyāgamyatām |	parimIya-AgamyatAm |
   nāndīmukhī - kṣuṇṇa-yūtheśvari! ekaṃ prārthayitum icchāmi |	nAndImuKI  kzuNNa--yUTa-ISvari! ekam prArTayitum icCAmi |
   lalitā - kāmaṃ kathyatāṃ yogyaṃ cet kartavyam |	lalitA  kAmam kaTyatAm yogyam ced kartavyam |
   nāndīmukhī - ayaṃ tāvat sva-deśaṃ vihāyātrāgato navīna-prāghunaḥ tatrāpi	nAndImuKI  ayam tAvat sva-deSam vihAyAtra-AgataH navIna--prAGunaH tatra-api
   vṛndāvana-rājñīm āśrito'sti ihāpi bahv-āyāsenojjaṭa-bhūmiṃ kṛṣṭvā vaḥ	vRndAvana-rAjQIm ASritaH-asti iha-api bahu--AyAsena-ujjawa--BUmim kRzwvA vaH
   prakāma-dhana-lābhaṃ vardhayann asti | tasmān māne kṛte bhavatīnāṃ	prakAma--Dana--lABam varDayan asti | tasmAt mAne kRte BavatInAm
   bhoga-rāgādi-vyayena bahu-hānyā punaḥ kṛṣi-karaṇo vimanaska iva bhaviṣyati	Boga-rAga-Adi--vyayena bahu-ha-anyA punar kRzi-karaNaH vimanaskaH iva Bavizyati
   kṛte'pi māne karaṃ dātum api na śakyate | ato māna-karaṇaṃ vihāya	kRte-api mAne karam dAtum api na Sakyate | atas mAna-karaNam vihAya
   nija-bhāgam	nija--BAgam
   ādāya tat-samucitāṃśam api pradāyāsya prakāmam utsāhaṃ vivardhayantu	AdAya tat--samucita-aMSam api pradAya-asya prakAmam utsAham vivarDayantu
   bhavatyaḥ |	BavatyaH |
   vṛndā - kīdṛśaṃ sa bhāgaḥ ?	vRndAH  kIdRSam sa BAgaH ?
   nāndīmukhī - tvayā kiṃ na jñāyate ? yad asya paramojjvala-kṣetrasya samāna	nAndImuKI  tvayA kim na jQAyate ? yat asya parama-ujjvala-kzetrasya samAna-
   eva	eva
   dvayor bhāgaḥ | tathāyaṃ para-grāmād āgatya kṛṣi-vṛttiṃ kurvann āste |	dvayoH BAgaH | taTA-ayam para-grAmAt Agatya kRzi-vRttim kurvan Aste |
   raṅgaṇamālā anuccaiḥ - asau para-grāma-vāsī bhaumiko na syāt | sāmprataṃ	raFgaNa-mAlA anuccEs  asO para-grAma-vAsI BOmikaH na syAt | sAmpratam
   etasmin vane vāsam ācarya śrī-vṛndāvaneśākṛṣim ācarann asti | tad asya	etasmin vane vAsam Acarya SrI--vRndAvana-ISa-akRzim Acaran asti | tat asya
   ṣaṣṭho	zazWaH-
   bhāga eva prāptavyo bhavati | kathaṃ samānaṃ labhatām ?	BAgaH eva prAptavyaH Bavati | kaTam samAnam laBatAm ?
   viśākhā - ayi mugdhe! bhāga-nirṇaya-cālanayā kim asmākaṃ yato	viSAKA  ayi mugDe! BAga--nirNaya--cAlanayA kim asmAkam yatas-
   māna-pūrvakaṃ	mAna--pUrvakam
   sarvadā kara-dānaṃ kartum eva mahā-rājñīnām ājñā-lekhaḥ samāgato'sti tat	sarvadA kara-dAnam kartum eva mahA--rAjQInAm AjQA--leKaH samAgataH-asti tat-
   katham asmābhiḥ svātantryeṇaivaṃ kartuṃ śakyate ?	kaTam asmABiH svAtantryeNa-evam kartum Sakyate ?
   tato lalitā-viśākhayor mukham avalokya sva-karṇāvataṃsaṃ nāndīmukhyai	tatas lalitA--viSAKayoH muKam avalokya sva-karNa-avataMsam nAndI-muKyE
   netra-kūṇanena vṛndā darśitavatī | tato'lpaṃ smitvā nāndīmukhī kiñcid	netra--kUNanena vRndA darSitavatI | tatas-alpam smitvA nAndImuKI kiQcid-
   upasṛtya	upasRtya
   vṛndayā saha utkoca-dāna-kathan-mudrābhinayena tayor īṣad iṅgitam	vRndayA saha utkoca-dAna--kaTan-mudrA-aBinayena tayoH Izat iFgitam
   evādhigamya mad-antikam āgatya sānucca-bhāṣaṃ - mohana! vṛndāvana-rājñyāḥ	eva-aDigamya mad--antikam Agatya sa-anud-ca-BAzam  mohana! vRndAvana--rAjQyAH
   sarvādhyakṣa-sacive khalu lalitā-viśākhe | tad anayoḥ paramottamam utkocaṃ	sarva-aDyakza--sacive Kalu lalitA--viSAKe | tat anayoH parama-uttamam utkocam
   kam	kam
   api dehi | tadaiva tavābhimatam eva drutaṃ sampādayitavyam etābhyām |	api dehi | tadA-eva tava-aBimatam eva drutam sampAdayitavyam etAByAm |
   tadāhaṃ sānandaṃ - sakhi nāndīmukhi! yathā anyā na jānanti tathā ime eva	tadA-aham sa-Anandam  saKi nAndI-muKi! yaTA anyAH na jAnanti taTA ime eva
   nirjana-kuñje mat-samīpam ānīyetāṃ yathā etad abhīṣṭam utkocaṃ dattvā	nirjana--kuQje mat--samIpam AnIyetAm yaTA etat aBIzwam utkocam dattvA
   prīṇayāmi |	prINayAmi |
   nāndīmukhī - sundara! etāḥ khalv anayor abhinnā eva tad asaṅkocaṃ prakaṭam	nAndImuKI  sundara! etAH Kalu anayoH aBinnAH eva tat asaFkocam prakawam
   atraiva dehi |	atra-eva dehi |
   tato'haṃ - svābhimatārtha-lābhena vinā pūrvam eva kathaṃ dātavyam | yadi	tatas-aham  sva-aBimata-arTa--lABena vinA pUrvam eva kaTam dAtavyam | yadi
   mayy	mayi-
   apratītiḥ syāt tarhi tvayy eva sthāpayāmi |	apratItiH syAt tarhi tvayi eva sTApayAmi |
   nāndīmukhī sa-śiraś-cālanaṃ - nahi nahi |	nAndImuKI sa-SiraS-cAlanam  na-hi na-hi |
   tato'haṃ - āṃ brahmacāriṇyās tu viṣaya-sparśe kālūṣyam iti cet tadā	tatas-aham  Am brahmacAriNyAH tu vizaya--sparSe kAlUzyam iti ced tadA
   mat-pratīti-pātryāṃ sādhvī-pravarāyāṃ raṅgaṇamālikāyām eva tad arpayāmi |	mat--pratIti-pAtryAm sADvI--pravarAyAm raFgaNamAlikAyAm eva tat arpayAmi |
   nāndīmukhī - rasika-śekhara! prathamaṃ tāvat śrāvaya kiṃ vā kiyad vā	nAndImuKI  rasika-SeKara! praTamam tAvat SrAvaya kim vA kiyat vA
   dātavyam | tena tāvataiva vānayoḥ santoṣo bhaven na veti nirdhārayāmaḥ |	dAtavyam | tena tAvatA-eva vA-anayoH santozaH Bavet na vA-iti nirDArayAmaH |
   tadā mayoktaṃ - bhavatu | śrūyatām | vṛndāvana-rājasya mama vana-pālanam	tadA mayA-uktam  Bavatu | SrUyatAm | vRndAvana--rAjasya mama vana--pAlanam
   apahāya dhana-lobhena mad-rājñīṃ rādhikām anusṛteyaṃ vṛndā | tat prathamam	apahAya Dana--loBena mad--rAjQIm rADikAm anusRtA-iyam vRndAH | tat praTamam
   utkoca-dānena kāyasthām enām ātmano vaśāṃ vidadhāmi |	utkoca--dAnena kAyasTAm enAm AtmanaH vaSAm vidaDAmi |
   nāndīmukhī - bhadram etat |	nAndImuKI  Badram etat |
   tato'haṃ - carama-śarvaryāṃ paramākalpa-kalpanācāryayā	tatas-aham  carama--SarvaryAm parama-Akalpa--kalpanA-AcAryayA
   gāḍhānurāga-vihvalayā	gAXa-anurAga--vihvalayA
