   (PSP_5:1)	(PSu _5:1)
   ity ukto navavidhaḥ prathamagrāhakavikalpaḥ	iti uktaH navaviDaH praTama grAhaka vikalpaH
   bhagavān āha: na subhūte vyavahāro nāmanimittam abhiniveśo vā nātra	BagavAn Aha: na suBUte vyavahAraH nAma nimittam aBiniveSaH vA na atra
   subhūte nāmni vyavaharāmi, na nimitte 'nimitte 'bhiniveśo vā. na hi	suBUte nAmni vyavaharAmi, na nimitte animitte aBiniveSaH vA. na hi
   subhūte tathāgataśrāvako vā nāmni nimitte vābhiniviśate. na hi subhūte	suBUte taTAgata SrAvakaH vA nAmni nimitte vA aBiniviSate. na hi suBUte
   nāma nāmny abhiniviśate, na nimittan nimitte 'bhiniviśate, na śūnyatā	nAma nAmni aBiniviSatet na nimittat nimitte aBiniviSatet na SUnyatA
   śūnyatāyām abhiniviśate, nānimittam ānimitte 'bhiniviśate, nāpraṇihitam	SUnyatAyAm aBiniviSate, na animittam Animitte aBiniviSate, na apraNihitam
   apraṇihite 'bhiniviśate, na tathatā tathatāyām abhiniviśate, na bhūtakoṭir	apraNihite aBiniviSatet na taTatA taTatAyAm aBiniviSate, na BUtakowiH 
   bhūtakoṭyām abhiniviśate, na dharmadhātur dharmadhātāv abhiniviśate,	BUtakowyAm aBiniviSate, na DarmaDAtuH DarmaDAtO aBiniviSate,
   nāsaṃskṛtam asaṃskṛte 'bhiniviśate, evam ete sarvadharmā nāmamātraṃ, na hy	na asaMskRtam asaMskRte aBiniviSate, evam ete sarva DarmAH nAma mAtraM, na hi 
   ete nāmamātre 'vatiṣṭhante. evaṃ khalu subhūte bodhisattvena mahāsattvena	ete nAma mAtre avatizWante. evam Kalu suBUte boDisattvena mahAsattvena
   nāmamātre sthitvā prajñāpāramitāyāṃ caritavyaṃ, tatra ca nābhiniveṣṭavyam.	nAma mAtre sTitvA prajQApAramitAyAm caritavyan, tatra ca na aBinivezwavyam.
   subhūtir āha: yadi bhagavan nāmamātram idaṃ sarvasaṃskṛtaṃ, kasyedānīṃ	suBUtiH Aha: yadi Bagavat nAma mAtram idam sarva saMskRtan, kasya idAnIm
   kṛtena bodhisattvo mahāsattvo bodhaye cittam utpādyānekavidhāṃ	kRtena boDisattvaH mahAsattvaH boDaye cittam utpAdya anekaviDAm
   saṃsāracārikāṃ pratyanubhavati, bodhisattvacaryāñ caran dānaṃ dadāti,	saMsAra cArikAm pratyanuBavati, boDisattva caryAn caran dAnam dadAti,
   śīlaṃ rakṣati, kṣāntyā saṃpādayati, vīryam ārabhate, dhyānaṃ samāpadyate,	SIlam rakzati, kzAntyA saMpAdayati, vIryam AraBate, DyAnam samApadyate,
   prajñāṃ bhāvayati, śūnyatāyāṃ carati,	prajQAm BAvayati, SUnyatAyAm carati,
   apramāṇadhyānārūpyavimokṣasamādhisamāpattiṣu viharati, smṛtyupasthāneṣu	apramANa DyAna ArUpya vimokza samADi samApattizu viharati, smRti upasTAnezu
   viharati, samyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu viharati,	viharati, samyak prahANa RdDi pAda indriya bala boDi aFga mArgezu viharati,
   śūnyatānimittāpraṇihitasamādhiṃ (PSP_5:124) samāpadyate, āryasatyāni	SUnyatA nimitta apraNihita samADim (PSu _5:124) samApadyate, Arya satyAni
   bhāvayati, vimokṣasamādhisamāpattiṃ dhāraṇīmukhāni samāpadyate, abhijñā	BAvayati, vimokza samADi samApattim DAraNI muKAni samApadyate, aBijQA
   bhāvayati, daśabhis tathāgatabalair viharati, caturvaiśāradyaiś catasṛbhiḥ	BAvayati, daSaBiH taTAgata balEH viharati, catur vESAradyEH catasRBiH
   pratisaṃvidbhiḥ, aṣṭādaśabhir āveṇikair buddhadharmair viharati,	pratisaMvidBiH, azwAdaSaBiH AveNikEH budDa DarmEH viharati,
   mahāmaitrīṃ mahākaruṇāṃ paripūrayati?	mahA mEtrIm mahA karuNAm paripUrayati?
   bhagavān āha: yaṃ subhūtir evam āha, yadi nāmamātram idaṃ sarvasaṃskṛtaṃ,	BagavAn Aha: yam suBUtiH evam Aha, yadi nAma mAtram idam sarva saMskRtaM,
   tat kasyedānīṃ kṛtena bodhisattvo mahāsattvo bodhaye cittam	tat kasya idAnIm kRtena boDisattvaH mahAsattvaH boDaye cittam
   utpādyānekavidhāṃ saṃsāracārikāṃ pratyanubhavatīti, yasmāt subhūte	utpAdya anekaviDAm saMsAra cArikAm pratyanuBavati iti, yasmAt suBUte
   nāmamātram idaṃ sarvasaṃskṛtaṃ, tac ca nāma nāmnā śūnyaṃ nimittaṃ	nAma mAtram idam sarva saMskRtan, tat ca nAma nAmnA SUnyam nimittam
   nimittena śūnyaṃ, tasmād bodhisattvo mahāsattvo bodhisattvacārikāṃ caran	nimittena SUnyan, tasmAt boDisattvaH mahAsattvaH boDisattva cArikAm caran
   sarvākārajñatām anuprāpsyati, sarvākārajñatām anuprāpya dharmacakraṃ	sarva AkAra jQa tAm anuprApsyati, sarva AkAra jQa tAm anuprApya Darma cakram
   pravartayati, dharmacakraṃ pravartya sattvāṃs tribhir yānaiḥ	pravartayati, Darma cakram pravartya sattvAn triBiH yAnEH
   parinirvāpayati, tasya ca nāmanimittasya notpādo na nirodho na sthitir na	parinirvApayati, tasya ca nAma nimittasya na utpAdaH na niroDaH na sTitiH na
   sthiter anyathātvaṃ prajñāyate.	sTiteH anyaTAtvam prajQAyate.
   iti sāmānyena dvitīyo grāhakavikalpopakṣepaḥ	iti sAmAnyena dvitIyaH grAhaka vikalpa upakzepaH
   subhūtir āha: sarvākārajñatā sarvākārajñateti bhagavan vadasi.	suBUtiH Aha: sarva AkAra jQa tA sarva AkAra jQa tA iti Bagavan vadasi.
   bhagavān āha: sarvākārajñatā sarvākārajñateti vadāmi.	BagavAn Aha: sarva AkAra jQa tA sarva AkAra jQa tA iti vadAmi.
   subhūtir āha: kathaṃ punar bhagavan sarvākārajñatā tathāgatena nirdiṣṭā,	suBUtiH Aha: kaTam punar Bagavan sarva AkAra jQa tA taTAgatena nirdizwA,
   mārgākārajñatāpi tathāgatena nirdiṣṭā, sarvajñatāpi tathāgatena nirdiṣṭā?	mArga AkAra jQa tA api taTAgatena nirdizwA, sarvajQa tA api taTAgatena nirdizwA?
   āsāṃ bhagavaṃs tisṛṇāṃ sarvajñatānāṃ kiṃ nānākaraṇam?	AsAm Bagavan tisRNAm sarvajQa tAnAm kim nAnA karaNam?
   bhagavān āha: sarvākārajñatā subhūte tathāgatasyārhataḥ	BagavAn Aha: sarva AkAra jQa tA suBUte taTAgatasya arhataH
   samyaksaṃbuddhasya, mārgajñatā subhūte bodhisattvānāṃ mahāsattvānāṃ,	samyaksaMbudDasya, mArga jQa tA suBUte boDisattvAnAm mahAsattvAnAM,
   sarvajñatā subhūte sarvaśrāvakapratyekabuddhānām.	sarvajQa tA suBUte sarva SrAvaka pratyekabudDAnAm .
   subhūtir āha: kena kāraṇena bhagavan sarvākārajñatā tathāgatasyārhataḥ	suBUtiH Aha: kena kAraNena Bagavan sarva AkAra jQa tA taTAgatasya arhataH
   samyaksaṃbuddhasya?	samyaksaMbudDasya?
   bhagavān āha: yāvantaḥ subhūte ākārā liṅgāni nimittāni yair ākārair yair	BagavAn Aha: yAvantaH suBUte AkArAH liFgAni nimittAni yEH AkArEH yEH 
   liṅgair yair nimittais te dharmāḥ sūcyante, te ākārās tāni liṅgāni tāni	liFgEH yEH nimittEH te DarmAH sUcyante, te AkArAH tAni liFgAni tAni
   nimittāni tathāgatenānubaddhāni tenocyate tathāgatasyārhataḥ	nimittAni taTAgatena anubadDAni tena ucyate taTAgatasya arhataH
   samyaksaṃbuddhasya sarvākārajñatā. iti sarvākārajñatāsaṃmohavikalpaḥ	samyaksaMbudDasya sarva AkAra jQa tA. iti sarva AkAra jQa tA saMmoha vikalpaH
   subhūtir āha: kena kāraṇena bhagavan mārgajñatā bodhisattvānāṃ	suBUtiH Aha: kena kAraNena Bagavat mArga jQa tA boDisattvAnAm
   mahāsattvānām?	mahAsattvAnAm ?
   (PSP_5:125)	(PSu _5:125)
   bhagavān āha: sarvamārgāḥ subhūte bodhisattvena mahāsattvena	BagavAn Aha: sarva mArgAH suBUte boDisattvena mahAsattvena
   notpādayitavyāḥ, sarvamārgā jñātavyāḥ, yaś ca śrāvakāṇāṃ mārgo, yaś ca	na utpAdayitavyAH, sarva mArgAH jQAtavyAH, yaH ca SrAvakANAm mArgo, yaH ca
   pratyekabuddhānāṃ mārgo, ye ca bodhimārgās te ca mārgāḥ paripūrayitavyāḥ	pratyekabudDAnAm mArgo, ye ca boDi mArgAH te ca mArgAH paripUrayitavyAH
   taiś ca mārge mārgakaraṇīyaṃ kartavyan na cānena bhūtakoṭiḥ	tEH ca mArge mArga karaNIyam kartavyan na ca anena BUtakowiH
   sākṣātkartavyā.	sAkzAtkartavyA.
   subhūtir āha: kiṃ punar bhagavan bodhisattvena mahāsattvena bhūtakoṭir na	suBUtiH Aha: kim punar Bagavan boDisattvena mahAsattvena BUtakowiH na
   sākṣātkartavyā?	sAkzAtkartavyA?
   bhagavān āha: nāparipūrya praṇidhānaṃ nāparipācya sattvān nāpariśodhya	BagavAn Aha: na aparipUrya praNiDAnam na aparipAcya sattvAt na apariSoDya
   buddhakṣetran tena bodhisattvena mahāsattvena bhūtakoṭiḥ sākṣātkartavyā,	budDa kzetran tena boDisattvena mahAsattvena BUtakowiH sAkzAtkartavyA,
   tena kāraṇenocyate bodhisattvānāṃ mahāsattvānāṃ mārgajñatā. iti	tena kAraNena ucyate boDisattvAnAm mahAsattvAnAm mArga jQa tA. iti
   mārgākārajñatāsaṃmohavikalpaḥ	mArga AkAra jQa tA saMmoha vikalpaH
   subhūtir āha: kena kāraṇena bhagavan sarvajñatā	suBUtiH Aha: kena kAraNena Bagavan sarvajQa tA
   sarvaśrāvakapratyekabuddhānām?	sarva SrAvaka pratyekabudDAnAm ?
   bhagavān āha: etāvad eva subhūte sarvaṃ yāvad evādhyātmikāś ca bāhyāś ca	BagavAn Aha: etAvat eva suBUte sarvam yAvat eva ADyAtmikAH ca bAhyAH ca
   dharmās te ca sarvaśrāvakapratyekabuddhair jñātā, na punaḥ sarvamārgeṇa	DarmAH te ca sarva SrAvaka pratyekabudDEH jQAtA, na punar sarva mArgeNa
   sarvākāreṇa. iti sarvajñatāsaṃmohavikalpaḥ	sarva AkAreNa. iti sarvajQa tA saMmoha vikalpaH
   subhūtir āha: kiṃ punar bhagavan bodhisattvena mahāsattvena mārge sthitvā	suBUtiH Aha: kim punar Bagavan boDisattvena mahAsattvena mArge sTitvA
   bhūtakoṭiḥ sākṣātkartavyā?	BUtakowiH sAkzAtkartavyA?
   bhagavān āha: na subhūte.	BagavAn Aha: na suBUte.
   subhūtir āha: amārge sthitvā?	suBUtiH Aha: amArge sTitvA?
   bhagavān āha: na subhūte.	BagavAn Aha: na suBUte.
   subhūtir āha: mārge amārge sthitvā?	suBUtiH Aha: mArge amArge sTitvA?
   bhagavān āha: na subhūte.	BagavAn Aha: na suBUte.
   subhūtir āha: naivamārge nāmārge sthitvā?	suBUtiH Aha: na eva mArge na amArge sTitvA?
   bhagavān āha: na subhūte.	BagavAn Aha: na suBUte.
   subhūtir āha: tat katham idānīṃ bhagavan bodhisattvena mahāsattvena	suBUtiH Aha: tat kaTam idAnIm Bagavan boDisattvena mahAsattvena
   bhūtakoṭiḥ sākṣātkartavyā?	BUtakowiH sAkzAtkartavyA?
   bhagavān āha: tat kiṃ manyase? subhūte api nu tava mārge	BagavAn Aha: tat kim manyase? suBUte api nu tava mArge
   sthitasyānupādāyāsravebhyaś cittaṃ vimuktam.	sTitasya anupAdAya AsraveByaH cittam vimuktam.
   subhūtir āha: na bhagavan.	suBUtiH Aha: na Bagavan .
   bhagavān āha: tavāmārge sthitasya?	BagavAn Aha: tava amArge sTitasya?
   subhūtir āha: na bhagavan.	suBUtiH Aha: na Bagavan .
   bhagavān āha: tava mārge 'mārge sthitasya?	BagavAn Aha: tava mArge amArge sTitasya?
   (PSP_5:126)	(PSu _5:126)
   subhūtir āha: na bhagavan.	suBUtiH Aha: na Bagavan .
   bhagavān āha: tava naiva mārge nāmārge sthitasya?	BagavAn Aha: tava na eva mArge na amArge sTitasya?
   subhūtir āha: na bhagavan, api tu khalu punar me bhagavaṃś cittaṃ vimuktaṃ	suBUtiH Aha: na Bagavan, api tu Kalu punar me Bagavan cittam vimuktam
   yathā na kvacit sthitvā syām.	yaTA na kvacid sTitvA syAm.
   bhagavān āha: evam etat subhūte bodhisattvena mahāsattvena na kvacit	BagavAn Aha: evam etat suBUte boDisattvena mahAsattvena na kvacid 
   sthitvā bhūtakoṭiḥ sākṣātkartavyā.	sTitvA BUtakowiH sAkzAtkartavyA.
   subhūtir āha: yāḥ punar imā bhagavan sarvākārajñatā ca mārgajñatā ca	suBUtiH Aha: yAH punar imAH Bagavan sarva AkAra jQa tA ca mArga jQa tA ca
   sarvajñatā ca kaccid bhagavann āsāṃ tisṛṇāṃ sarvajñatānāṃ kleśaprahāṇasya	sarvajQa tA ca kaccit Bagavan AsAm tisRNAm sarvajQa tAnAm kleSa prahANasya
   nānātvam asti, asya sāvaśeṣaprahāṇam, asyānavaśeṣaprahāṇam?	nAnAtvam asti, asya sa avaSeza prahANam, asya anavaSeza prahANam?
   bhagavān āha: na subhūte kleśaprahāṇasya nānātvam asti, asti punas	BagavAn Aha: na suBUte kleSa prahANasya nAnAtvam asti, asti punar 
   tathāgatasya sarvavāsanānusaṃdhikleśaprahāṇaṃ, na punaḥ śrāvakasya	taTAgatasya sarva vAsanA anusaMDi kleSa prahANan, na punar SrAvakasya
   sarvavāsanānusaṃdhikleśaprahāṇam.	sarva vAsanA anusaMDi kleSa prahANam.
   subhūtir āha: kiṃ punar bhagavan sarvajñatāyām anuprāptāyām aśeṣaprahāṇam	suBUtiH Aha: kim punar Bagavan sarvajQa tAyAm anuprAptAyAm aSeza prahANam
   asaṃskṛtaṃ bhavati?	asaMskRtam Bavati?
   bhagavān āha: evam etat subhūte evam etat.	BagavAn Aha: evam etat suBUte evam etat .
   subhūtir āha: kiṃ punar bhagavann asaṃskṛtasya nānātvam upalabhyate?	suBUtiH Aha: kim punar Bagavan asaMskRtasya nAnAtvam upalaByate?
   bhagavān āha: na subhūte 'saṃskṛtasya nānātvam upalabhyate.	BagavAn Aha: na suBUte asaMskRtasya nAnAtvam upalaByate.
   subhūtir āha: yadi nopalabhyate kuta etan nirdiśyate? asya	suBUtiH Aha: yadi na upalaByate kutas etat nirdiSyate? asya
   vāsanānusaṃdhikleśaprahāṇam, asya na vāsanānusaṃdhikleśaprahāṇam iti.	vAsanA anusaMDi kleSa prahANam, asya na vAsanA anusaMDi kleSa prahANam iti.
   bhagavān āha: na subhūte vāsanānusaṃdhikleśaprahāṇaṃ, api nu teṣāṃ	BagavAn Aha: na suBUte vAsanA anusaMDi kleSa prahANaM, api nu tezAm
   rāgadoṣamohaprahāṇam asti, kāyavāgvikārās tu pravartante, te tu	rAga doza moha prahANam asti, kAya vAc vikArAH tu pravartante, te tu
   bālapṛthagjanānām anarthāya pravartante, na tu śrāvakāṇāṃ, te tathāgatasya	bAla pRTagjanAnAm anarTAya pravartante, na tu SrAvakANAM, te taTAgatasya
   na santi.	na santi.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavann abhāvo	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavan aBAvaH 
   mārgaḥ, abhāvo nirvāṇaṃ, tat kutaḥ punar bhagavan nirdiśyate? ayaṃ	mArgaH, aBAvaH nirvANaM, tat kutas punar Bagavat nirdiSyate? ayam
   srotaāpanno 'yaṃ sakṛdāgāmy ayam anāgāmy ayam arhann ayaṃ pratyekabuddho	srotaApannaH ayam sakRdAgAmi ayam anAgAmi ayam arhan ayam pratyekabudDaH 
   'yan tathāgato 'rhan samyaksaṃbuddhaḥ.	ayan taTAgataH arhan samyaksaMbudDaH.
   bhagavān āha: na khalu subhūte asaṃskṛtaṃ bhāvayati api tu lokavyavahāraṃ	BagavAn Aha: na Kalu suBUte asaMskRtam BAvayati api tu loka vyavahAram
   pramāṇīkṛtyocyate na punaḥ paramārthena śakyā prabhāvanā. tat kasya hetoḥ?	pramANIkRtya ucyate na punar parama arTena SakyA praBAvanA. tat kasya hetoH?
   na hi tatrāsti vākpathaprajñāptir, api tu khalu punar yaiḥ pūrvānto	na hi tatra asti vAc paTa prajQA Aptir, api tu Kalu punar yEH pUrva antaH 
   vyavacchinnas teṣāṃ paścimā koṭiprajñāptā.	vyavacCinnaH tezAm paScimA kowi prajQA AptA.
   subhūtir āha: svalakṣaṇaśūnyānāṃ bhagavan sarvadharmāṇāṃ (PSP_5:127) kutaḥ	suBUtiH Aha: sva lakzaNa SUnyAnAm Bagavan sarva DarmANAm (PSu _5:127) kutas 
   punaḥ purvā koṭiḥ prajñāyate.	punar purvA kowiH prajQAyate.
   bhagavān āha: evam etat subhūte evam etat, svalakṣaṇaśūnyānāṃ subhūte	BagavAn Aha: evam etat suBUte evam etat, sva lakzaNa SUnyAnAm suBUte
   sarvadharmāṇāṃ pūrvā koṭir na prajñāyate, kutaḥ punaḥ paścimā koṭiḥ	sarva DarmANAm pUrvA kowiH na prajQAyate, kutas punar paScimA kowiH
   prajñāyate, nedaṃ sthānaṃ vidyate, api tu khalu punaḥ subhūte ye te	prajQAyate, na idam sTAnam vidyate, api tu Kalu punar suBUte ye te
   sattvāḥ svalakṣaṇaśūnyān dharmān na jānanti, teṣām evaṃ nirdiṣṭam iyaṃ	sattvAH sva lakzaNa SUnyAn DarmAn na jAnanti, tezAm evam nirdizwam iyam
   pūrvā koṭir iyaṃ paścimā koṭir, na punaḥ svalakṣaṇaśūnyeṣu dharmeṣu pūrvā	pUrvA kowiH iyam paScimA kowir, na punar sva lakzaNa SUnyezu Darmezu pUrvA
   koṭir na paścimā koṭir upalabhyate, evaṃ khalu subhūte bodhisattvena	kowiH na paScimA kowiH upalaByate, evam Kalu suBUte boDisattvena
   mahāsattvena svalakṣaṇaśūnyeṣu dharmeṣu prajñāpāramitāyāṃ caritavyaṃ,	mahAsattvena sva lakzaNa SUnyezu Darmezu prajQApAramitAyAm caritavyaM,
   svalakṣaṇaśūnyeṣu dharmeṣu caran na kvacid abhiniviśate 'dhyātmikeṣu vā	sva lakzaNa SUnyezu Darmezu caran na kvacid aBiniviSate aDyAtmikezu vA
   bāhyeṣu vā saṃskṛteṣu vāsaṃskṛteṣu vā śrāvakadharmeṣu vā	bAhyezu vA saMskRtezu vAsaMskRtezu vA SrAvaka Darmezu vA
   pratyekabuddhadharmeṣu vā.	pratyekabudDa Darmezu vA.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: prajñāpāramitā	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: prajQApAramitA
   prajñāpāramiteti bhagavann ucyate, kenārthena prajñāpāramitety ucyate?	prajQApAramitA iti Bagavan ucyate, kena arTena prajQApAramitA iti ucyate?
   bhagavān āha: paramapāramitaiṣā subhūte sarvadharmāṇām agamanārthena	BagavAn Aha: parama pAramitA ezA suBUte sarva DarmANAm agamana arTena
   prajñāpāramitety ucyate. api tu khalu punaḥ subhūte etayā prajñāpāramitayā	prajQApAramitA iti ucyate. api tu Kalu punar suBUte etayA prajQApAramitayA
   sarvaśrāvakapratyekabuddhā bodhisattvāś ca mahāsattvās tathāgatā arhantaḥ	sarva SrAvaka pratyekabudDAH boDisattvAH ca mahAsattvAH taTAgatAH arhantaH
   samyaksaṃbuddhāḥ pāraṅgatās tenārthena prajñāpāramitety ucyate. api tu	samyaksaMbudDAH pAraFga tAH tena arTena prajQApAramitA iti ucyate. api tu
   khalu punaḥ subhūte paramārthena yo 'rthaḥ sarvadharmāṇām abhinnaḥ, sa iha	Kalu punar suBUte parama arTena yaH arTaH sarva DarmANAm aBinnaH, saH iha
   prajñāpāramitāyāṃ tais tathāgatair arhadbhiḥ samyaksaṃbuddhaiḥ,	prajQApAramitAyAm tEH taTAgatEH arhadBiH samyaksaMbudDEH,
   sarvadharmeṣu pāro nopalabdhas tenārthenocyate prajñāpāramitā. iti	sarva Darmezu pAraH na upalabDaH tena arTena ucyate prajQApAramitA. iti
   mārgasaṃmohavikalpaḥ	mArga saMmoha vikalpaH
   api tu khalu punaḥ subhūte prajñāpāramitāyāṃ tathatāntargatā, bhūtakoṭir	api tu Kalu punar suBUte prajQApAramitAyAm taTatA antargatA, BUtakowiH 
   antargatā, dharmadhātur antargataḥ tenocyate prajñāpāramiteti. api tu	antargatA, DarmaDAtuH antargataH tena ucyate prajQApAramitA iti. api tu
   khalu punaḥ subhūte neyaṃ prajñāpāramitā kenacid dharmeṇa saṃyuktā vā	Kalu punar suBUte na iyam prajQApAramitA kenacid DarmeNa saMyuktA vA
   visaṃyuktā vā sanidarśanā vānidarśanā vā sapratighā vāpratighā vā. tat	visaMyuktA vA sa nidarSanA vAnidarSanA vA sa pratiGA vA apratiGA vA. tat 
   kasya hetoḥ? tathā hīyaṃ prajñāpāramitārūpānidarśanāpratighaikalakṣaṇā yad	kasya hetoH? taTA hi iyam prajQApAramitA rUpA nidarSana apratiGa eka lakzaNAH yat 
   utālakṣaṇatvāt.	uta alakzaNa tvAt.
   iti tathatādiṣu saṃyogaviyogasaṃmohavikalpaḥ	iti taTatA Adizu saMyoga viyoga saMmoha vikalpaH
   api tu khalu punaḥ subhūte iyaṃ prajñāpāramitā sarvadharmāṇāṃ cārikā	api tu Kalu punar suBUte iyam prajQApAramitA sarva DarmANAm cArikA
   sarvapratibhānānāṃ sarvālokānām anācchedyeyaṃ subhūte prajñāpāramitā	sarva pratiBAnAnAm sarva AlokAnAm anAcCedyeyam suBUte prajQApAramitA
   māreṇa vā mārakāyikābhir devatābhiḥ śrāvakapratyekabuddha (PSP_5:128)	mAreNa vA mArakAyikABiH devatABiH SrAvaka pratyekabudDaH (PSu _5:128)
   yānikair vā pudgalair, yāvan na kenacid anyatīrthikaiḥ pratyamitrair vā	yAnikEH vA pudgalEH , yAvat na kenacid anya tIrTikEH pratyamitrEH vA
   iyaṃ prajñāpāramitā śakyā cchettuṃ bodhisattvasya mahāsattvasya. tat kasya	iyam prajQApAramitA SakyA cCettum boDisattvasya mahAsattvasya. tat kasya
   hetoḥ? tathā hi te 'tra prajñāpāramitāyāṃ nopalabhyante sarva evaivaṃ	hetoH? taTA hi te atra prajQApAramitAyAm na upalaByante sarve eva evam
   khalu punaḥ subhūte bodhisattvena mahāsattvena prajñāpāramitāyām arthe	Kalu punar suBUte boDisattvena mahAsattvena prajQApAramitAyAm arTe
   caritavyam. ity asamatvasaṃmohavikalpaḥ	caritavyam. iti asamatva saMmoha vikalpaH
   punar aparaṃ subhūte bodhisattvena mahāsattveneha gambhīrāyāṃ	punar aparam suBUte boDisattvena mahAsattvena iha gamBIrAyAm
   prajñāpāramitāyām arthe caritavyam anityārthe caritavyaṃ, duḥkhārthe	prajQApAramitAyAm arTe caritavyam anitya arTe caritavyan, duHKa arTe
   caritavyam, anātmārthe caritavyaṃ, śāntārthe caritavyaṃ, duḥkhajñānārthe	caritavyam, anAtma arTe caritavyan, SAnta arTe caritavyan, duHKa jQAna arTe
   caritavyaṃ, samudayajñānārthe caritavyaṃ, nirodhajñānārthe caritavyaṃ,	caritavyan, samudaya jQAna arTe caritavyan, niroDa jQAna arTe caritavyaM,
   mārgajñatārthe caritavyaṃ, duḥkhaparijñatārthe samudayaprahāṇārthe	mArga jQa tA arTe caritavyan, duHKa parijQatA arTe samudaya prahANa arTe
   nirodhasākṣātkriyārthe mārgajñatārthe anvayajñānārthe caritavyaṃ,	niroDa sAkzAt kriyA arTe mArga jQa tA arTe anvaya jQAna arTe caritavyaM,
   dharmajñatārthe 'saṃvṛttijñānārthe parijayajñānārthe yathārutajñānārthe	Darma jQa tA arTe asaMvRtti jQAna arTe parijaya jQAna arTe yaTA aruta jQAna arTe
   caritavyam. evaṃ khalu subhūte bodhisattvena mahāsattvena	caritavyam. evam Kalu suBUte boDisattvena mahAsattvena
   prajñāpāramitāyām arthe caritavyam. iti duḥkhādiṣu saṃmohavikalpaḥ	prajQApAramitAyAm arTe caritavyam. iti duHKa Adizu saMmoha vikalpaH
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavann iha	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavan iha
   gambhīrāyāṃ prajñāpāramitāyām arthaś cānarthaś ca nopalabhyate, tat kathaṃ	gamBIrAyAm prajQApAramitAyAm arTaH ca anarTaH ca na upalaByate, tat kaTam
   bodhisattvena mahāsattveneha gambhīrāyāṃ prajñāpāramitāyām arthe	boDisattvena mahAsattvena iha gamBIrAyAm prajQApAramitAyAm arTe
   caritavyam?	caritavyam?
   bhagavān āha: iha subhūte bodhisattvena mahāsattvena gambhīre 'rthe	BagavAn Aha: iha suBUte boDisattvena mahAsattvena gamBIre arTe
   prajñāpāramitārthe carataivaṃ caritavyaṃ, rāgo me 'rtho 'nartha iti na	prajQApAramitA arTe carata evam caritavyan, rAgaH me arTaH anarTaH iti na
   caritavyaṃ, dveṣo me 'rtho 'nartha iti na caritavyaṃ, moho me 'rtho	caritavyan, dvezaH me arTaH anarTaH iti na caritavyan, mohaH me arTaH 
   'nartha iti na caritavyaṃ, mithyādṛṣṭir me 'rtho 'nartha iti na	anarTaH iti na caritavyan, miTyA dRzwiH me arTaH anarTaH iti na
   caritavyaṃ, dṛṣṭigato me 'rtho 'nartha iti na caritavyam, idaṃ dṛṣṭigato	caritavyan, dRzwi gataH me arTaH anarTaH iti na caritavyam, idam dRzwi gataH 
   me 'rtho 'nartha iti na caritavyam. tat kasya hetoḥ? na hi	me arTaH anarTaH iti na caritavyam. tat kasya hetoH? na hi
   rāgadveṣamohānāṃ tathatā kasyacid artham anarthaṃ karoti, na dṛṣṭigatānāṃ	rAga dveza mohAnAm taTatA kasyacid arTam anarTam karoti, na dRzwi gatAnAm
   tathatā kasyacid artham anarthaṃ karoti. rūpaṃ me 'rtho 'nartha iti na	taTatA kasyacid arTam anarTam karoti. rUpam me arTaH anarTaH iti na
   caritavyaṃ, vedanā saṃjñā saṃskārā, vijñānaṃ me 'rtho 'nartha iti na	caritavyan, vedanA saMjQA saMskArA, vijQAnam me arTaH anarTaH iti na
   caritavyaṃ, evaṃ skandhadhātvāyatanāni me 'rtho 'nartha iti na caritavyaṃ,	caritavyan, evam skanDa DAtu AyatanAni me arTaH anarTaH iti na caritavyaM,
   pratītyasamutpādo me 'rtho 'nartha iti na caritavyaṃ,	pratItyasamutpAdaH me arTaH anarTaH iti na caritavyaM,
   pratītyasamutpādāṅgāni me 'rtho 'nartha iti na caritavyaṃ, pāramitā me	pratItyasamutpAda aFgAni me arTaH anarTaH iti na caritavyan, pAramitA me
   'rtho 'nartha iti na caritavyaṃ, śūnyatāmukhāni me 'rtho 'nartha iti na	arTaH anarTaH iti na caritavyan, SUnyatA muKAni me arTaH anarTaH iti na
   caritavyaṃ, bodhipakṣyā me dharmā artho 'nartha iti na caritavyaṃ,	caritavyan, boDi pakzyA me DarmAH arTaH anarTaH iti na caritavyaM,
   āryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhāni	Arya satya apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKAni
   (PSP_5:129) me 'rtho 'nartha iti na caritavyaṃ, śūnyatānimittāpraṇihitāni	(PSu _5:129) me arTaH anarTaH iti na caritavyan, SUnyatA nimitta apraNihitAni
   me 'rtho 'nartha iti na caritavyam, abhijñādaśabalavaiśāradyapratisaṃvido	me arTaH anarTaH iti na caritavyam, aBijQA daSa bala vESAradya pratisaMvidaH 
