   śrī-jayadeva-gosvāmi-viracitaṃ	SrI-jayadeva--go-svAmi-viracitam
   tām atha manmatha-khinnāṃ rati-rasa-bhinnāṃ viṣāda-sampannām |	tAm aTa manmaTa-KinnAm rati-rasa-BinnAm vizAda--sampannAm |
   anucintita-hari-caritāṃ kalahāntaritām uvāca rahasi sakhī || GG_9.1 ||	anucintita--hari--caritAm kalaha-antaritAm uvAca rahasi saKI || Gu-_9.1 ||
   || prabandhaḥ 18 ||	|| prabanDaH 18 ||
   gurjarī-rāga-yati-tālābhyāṃ gīyate |	gurjarI--rAga-yati--tAlAByAm gIyate |
   harir abhisarati vahati madhu-pavane |	hariH aBisarati vahati maDu-pavane |
   kim aparam adhika-sukhaṃ sakhi bhavane || GG_9.2 ||	kim aparam aDika--suKam saKi Bavane || Gu-_9.2 ||
   mādhave mā kuru mānini mānam aye || dhruva-padam ||	mADave mA kuru mAnini mAnam aye || Druva-padam ||
   tāla-phalād api gurum atisarasam |	tAla--PalAt api gurum ati-sarasam |
   kiṃ viphalī-kuruṣe kuca-kalaśam || GG_9.3 ||	kim viPalI--kuruze kuca--kalaSam || Gu-_9.3 ||
   kati na kathitam idam anupadam aciram |	kati na kaTitam idam anupadam aciram |
   mā parihara harim atīśaya-ruciram || GG_9.4 ||	mA parihara harim atISaya--ruciram || Gu-_9.4 ||
   kim iti viṣīdasi rodiṣi vikalā |	kim iti vizIdasi rodizi vikalAH |
   vihasati yuvatī-sabhā tava sakalā || GG_9.5 ||	vihasati yuvatI--saBA tava sakalAH || Gu-_9.5 ||
   sajala-nalinī-dala-śīlita-śayane |	sa-jala--nalinI--dala--SIlita--Sayane |
   NOTE: {śītala-}	NOTE: {SItala-}
   harim avalokaya saphalaya nayane || GG_9.6 ||	harim avalokaya saPalaya nayane || Gu-_9.6 ||
   janayasi manasi kim iti guru-khedam |	janayasi manasi kim iti guru--Kedam |
   śṛṇu mama vacanam anīhita-bhedam || GG_9.7 ||	SRNu mama vacanam anIhita--Bedam || Gu-_9.7 ||
   harir upayātu vadatu bahu-madhuram |	hariH upayAtu vadatu bahu-maDuram |
   kim iti karoṣi hṛdayam atividhuram || GG_9.8 ||	kim iti karozi hRdayam ati-viDuram || Gu-_9.8 ||
   śrī-jayadeva-bhaṇitam atilalitaṃ |	SrI-jaya-deva--BaNitam ati-lalitam |
   sukhayatu rasika-janaṃ hari-caritaṃ || GG_9.9 ||	suKayatu rasi-ka-janam hari-caritam || Gu-_9.9 ||
   snigdhe yat paruṣāsi praṇamati stabdhāsi yad rāgiṇi dveṣa-sthāsi yad	snigDe yat paruzA-asi praNamati stabDA-asi yat rAgiNi dveza--sTA-asi yat-
   unmukhe vimukhatāṃ yātāsi tasmin priye |	unmuKe vimuKa-tAm yAtA-asi tasmin priye |
   tad yuktaṃ viparīta-kāriṇi tava śrīkhaṇḍa-carcā viṣaṃ śītāṃśus tapano	tat yuktam viparIta--kAriNi tava SrIKaNxa-carcA vizam SItAMSuH tapano
   himaṃ hutavahaḥ krīḍā-mudo yātanāḥ || GG_9.10 ||	himam hutavahaH krIxA-mudaH yAtanAH || Gu-_9.10 ||
   sāndrānanda-purandarādi-diviṣad-vṛndair amandādarād ānamrair	sAndra-Ananda--purandara-Adi-di-vizad--vRndEH amanda-AdarAt AnamrEH-
   mukuṭendra-nīla-maṇibhiḥ sandarśitendindiram |	mukuwa-indra--nIla--maNiBiH sandarSita-indindiram |
   svacchandaṃ makaranda-sundara-galan-mandākinī-meduraṃ	svacCandam makaranda-sundara--galan--mandAkinI-meduram
   śrī-govinda-padāravindam aśubha-skandāya vandāmahe || GG_9.11 ||	SrI---govinda--pada-aravindam aSuBa-skandAya vandAmahe || Gu-_9.11 ||
   daśamaḥ sargaḥ	daSamaH sargaH
   catura-catur-bhujaḥ	catura-catur-BujaH
   atrāntare'masṛṇa-roṣa-vaśām apāra-niḥśvāsa-niḥsaha-mukhīṃ sumukhīm upetya	atra-antare-amasRNa---roza--vaSAm apAra--niHSvAsa--niHsaha--muKIm su-muKIm upetya
   savrīḍam īkṣita-sakhī-vadanāṃ dinānte sānanda-gadgada-padaṃ harir ity	sa-vrIxam Ikzita-saKI--vadanAm dina-ante sa-Ananda--gadgada-padam hariH iti-
   uvaca || GG_10.1 ||	uvaca || Gu-_10.1 ||
   || prabandhaḥ 19 ||	|| prabanDaH 19 ||
   deśavarāḍi-rāgāṣṭātālī-tālābhyāṃ gīyate |	deSa-varAxi--rAga-azwAtAlI-tAlAByAm gIyate |
   vadasi yadi kiñcid api danta-ruci-kaumudī harati dara-timiram atighoram |	vadasi yadi kiQcid api danta-ruci--kOmudI harati dara--timiram ati-Goram |
   sphurad-adhara-sīdhave tava vadana-candramā rocayatu locana-cakoraṃ ||	sPurat--aDara--sIDave tava vadana--candramAH rocayatu locana-cakoram ||
   GG_10.2 ||	Gu-_10.2 ||
   priye cāru-śīle muñca mayi mānam anidānaṃ |	priye cAru--SIle muQca mayi mAnam anidAnam |
   sapadi madanānalo dahati mama mānasam	sapadi madana-analaH dahati mama mAnasam
   dehi mukha-kamala-madhu-pānaṃ ||dhruva-padaṃ ||	dehi muKa--kamala--maDu--pAnam ||Druva-padam ||
   satyam evāsi yadi sudati mayi kopinī dehi khara-nakhara-śara-ghātam |	satyam eva-asi yadi sudati mayi kopinI dehi Kara--naKara-Sara--GAtam |
   ghaṭaya bhuja-bandhanaṃ janaya rada-khaṇḍanaṃ yena vā bhavati sukha-jātaṃ	Gawaya Buja--banDanam janaya rada--KaNxanam yena vA Bavati suKa--jAtam
   || GG_10.3 ||	|| Gu-_10.3 ||
   tvam asi mama bhūṣaṇaṃ tvam asi mama jīvanaṃ tvam asi mama	tvam asi mama BUzaNam tvam asi mama jIvanam tvam asi mama
   bhava-jaladhi-ratnam |	Bava--jalaDi-ratnam |
   bhavatu bhavatīha mayi satatam anurodhinī tatra mama hṛdayam atiyatnaṃ ||	Bavatu Bavati-iha mayi satatam anuroDinI tatra mama hRdayam atiyatnam ||
   GG_10.4 ||	Gu-_10.4 ||
   nīla-nalinābham api tanvi tava locanaṃ dhārayati kokanada-rūpaṃ |	nIla-nalina-ABam api tanvi tava locanam DArayati kokanada--rUpam |
   kusuma-śara-bāṇa-bhāvena yadi rañjayasi kṛṣṇam idam etad-anurūpam ||	kusuma-Sara--bANa--BAvena yadi raQjayasi kRzNam idam etat--anurUpam ||
   GG_10.5 ||	Gu-_10.5 ||
   sphuratu kuca-kumbhayor upari maṇi-mañjarī rañjayatu tava hṛdaya-deśam |	sPuratu kuca-kumBayoH upari maNi-maQjarI raQjayatu tava hRdaya-deSam |
   rasatu raśanāpi tava ghana-jaghana-maṇḍale ghoṣayatu manmatha-nideśam ||	rasatu raSanA-api tava Gana--jaGana--maNxale Gozayatu manmaTa--nideSam ||
   GG_10.6 ||	Gu-_10.6 ||
   sthala-kamala-gañjanaṃ mama hṛdaya-rañjanaṃ janita-rati-raṅga-parabhāgam |	sTala--kamala--gaQjanam mama hRdaya--raQjanam janita--rati-raFga-para-BAgam |
   bhaṇa masṛṇa-vāṇi karavāṇi caraṇa-dvayaṃ sarasa-lasad-alaktaka-rāgam ||	BaNa masRNa-vANi karavANi caraNa--dvayam sa-rasa--lasat--alaktaka-rAgam ||
   GG_10.7 ||	Gu-_10.7 ||
   smara-garala-khaṇḍanaṃ mama śirasi maṇḍanaṃ dehi pada-pallavam udāram |	smara-garala--KaNxanam mama Sirasi maNxanam dehi pada--pallavam udAram |
   NOTE: {dhehi iti ni-pāṭhaḥ.}	NOTE: {Dehi iti ni-pAWaH.}
   jvalati mayi dāruṇo madana-kadanāruṇo haratu tad-upāhita-vikāram ||	jvalati mayi dAruNaH madana--kadanA-aruNaH haratu tad--upAhita--vikAram ||
   GG_10.8 ||	Gu-_10.8 ||
   iti caṭula-cāṭu-paṭu-cāru mura-vairiṇo rādhikām adhi vacana-jātam |	iti cawula--cAwu-pawu--cAru mura-vEriNaH rADikAm aDi vacana-jAtam |
   jayatu jayadeva-kavi-bhāratī-bhūṣitaṃ māninī-jana-janita-śātam || GG_10.9	jayatu jayadeva-kavi-BAra-tI-BUzitam mAninI--jana--janita-SAtam || Gu-_10.9
   NOTE: {jayati iti pātḥaḥ.}	NOTE: {jayati iti pAtHaH.}
   NOTE: {jayati padmāvatī-ramaṇa-jayadeva-kavi-bhāratī-bhaṇitam atiśātam iti	NOTE: {jayati padmAvatI-ramaNa--jayadeva-kavi-BAra-tI--BaNitam ati-SAtam iti
   ṭīkā-dhṛta-pāṭhāntaraḥ.}	wIkA--DRta--pAWa-antaraH.}
   parihara kṛtātaṅke śaṅkāṃ tvayā satataṃ ghana-stana-jaghanayākrānte svānte	parihara kRta-AtaFke SaFkAm tvayA satatam Gana--stana--jaGanayA-AkrAnte svAnte
   parānavakāśinī |	para-anavakASinI |
   viśati vitanor anyo dhanyo na ko'pi mamāntaraṃ praṇayini parīrambhārambhe	viSati vitanoH anyaH DanyaH na kaH-api mama-antaram praNayini parIramBa-AramBe
   vidhehi vidheyatām || GG_10.10 ||	viDehi viDeya-tAm || Gu-_10.10 ||
   mugdhe vidhehi mayi	mugDe viDehi mayi
   nirdaya-danta-daṃśa-dor-valli-bandha-niviḍa-stana-pīḍanāni |	nirdaya-danta--daMSa--doH--valli--banDa--nivixa--stana--pIxanAni |
   caṇḍi tvam eva mudam udvaha pañca-bāṇa-cāṇḍāla-kāṇḍa-dalanād asavaḥ	caNxi tvam eva mudam udvaha paQca-bANa--cANxAla--kANxa--dalanAt asavaH
   prayāntu || GG_10.11 ||	prayAntu || Gu-_10.11 ||
   NOTE: {prayānti}	NOTE: {prayAnti}
   śaśi-mukhi tava bhāti bhaṅgura-bhrūr yuva-jana-moha-karāla-kāla-sarpī |	SaSi-muKi tava BAti BaFgura--BrUH yuva--jana--moha--karAla--kAla--sarpI |
   tad-udita-bhaya-bhañjanāya yūnāṃ tvad-adhara-sīdhu-sudhaiva siddha-mantraḥ	tad--udita-Baya--BaQjanAya yUnAm tvad--aDara--sIDu--suDA-eva sidDa-mantraH
   || GG_10.12 ||	|| Gu-_10.12 ||
   vyathayati vṛthā maunaṃ tanvi prapañcaya pañcamaṃ taruṇi madhurālāpais	vyaTayati vRTA mOnam tanvi prapaQcaya paQcamam taruNi maDura-AlApEH-
   tāpaṃ vinodaya dṛṣṭibhiḥ |	tApam vinodaya dRzwiBiH |
   sumukhi vimukhī-bhāvaṃ tāvad vimuñca na muñca māṃ svayam atiśaya-snigdho	su-muKi vimuKI--BAvam tAvat vimuQca na muQca mAm svayam atiSaya--snigDaH-
   mugdhe priyo'yam upasthitaḥ || GG_10.13 ||	mugDe priyaH-ayam upasTitaH || Gu-_10.13 ||
   bandhūka-dyuti-bāndhavo'yam adharaḥ snigdho madhūka-cchavir gaṇḍaś caṇḍi	banDUka-dyuti--bAnDavaH-ayam aDaraH snigDaH maDUka--cCaviH gaNxaH caNxi
   cakāsti nīla-nalina-śrī-mocanaṃ locanam |	cakAsti nIla-nalina--SrI--mocanam locanam |
   nāsābhyeti tila-prasūna-padavīṃ kundābha-danti priye prāyas	nAsA-aByeti tila--prasUna---padavIm kunda-ABa-danti priye prAyas
   tvan-mukha-sevayā vijayate viśvaṃ sa puṣpāyudhaḥ || GG_10.14 ||	tvan-muKa--sevayA vijayate viSvam sa puzpa-AyuDaH || Gu-_10.14 ||
   NOTE: {senayeti ṭīkā-dhṛta-pāṭhāntaraḥ.}	NOTE: {senayA-iti wIkA--DRta--pAWa-antaraH.}
   dṛśau tava madālase vadanam indu-sandīpanaṃ gatir jana-manoramā	dRSO tava mada-alase vadanam indu-sandIpanam gatiH jana--manoramA
   vijita-rambhaṃ ūru-dvayam |	vijita--ramBam Uru--dvayam |
   NOTE: {vidhuta- iti haridāsa-saṃskaraṇe.}	NOTE: {viDuta iti haridAsa--saMskaraNe.}
   ratis tava kalāvatī rucira-citra-lekhe bhruvāv aho vibudha-yauvataṃ vahasi	ratiH tava kalAvatI rucira--citra--leKe BruvO aho vibuDa-yOvatam vahasi
   tanvi pṛthvī-gatā || GG_10.15 ||	tanvi pRTvI--gatAH || Gu-_10.15 ||
   sa prītiṃ tanutāṃ hariḥ kuvalayāpīḍena sārdhaṃ raṇe	sa prItim tanu-tAm hariH kuvalaya-ApIxena sArDam raNe
   rādhā-pīna-payodhara-smaraṇa-kṛt-kumbhena sambhedavān |	rADA--pIna--payoDara--smaraNa-kRt--kumBena samBedavAn |
   NOTE: {prītiṃ vas tanutāṃ iti haridāsa-saṃskaraṇe.}	NOTE: {prItim vaH tanu-tAm iti haridAsa--saMskaraNe.}
   yatra svidyati mīlati kṣaṇam api kṣipraṃ tad-ālokana-vyāmohena jitaṃ jitaṃ	yatra svidyati mIlati kzaNam api kzipram tad--Alokana-vyAmohena jitam jitam
   jitam abhūt kaṃsasya kolāhalaḥ || GG_10.16 ||	jitam aBUt kaMsasya kolAhalaH || Gu-_10.16 ||
   NOTE: {yatra svidyati mīlati kṣaṇam atha kṣipte dvipe tat-kṣaṇāt	NOTE: {yatra svidyati mIlati kzaNam aTa kzipte dvipe tad--kzaNAt-
   kaṃsasyālam abhūj jitaṃ jitaṃ jitam iti vyāmoha-kolāhalaḥ || iti	kaMsasya-alam aBUt jitam jitam jitam iti vyAmoha--kolAhalaH || iti
   haridāsa-saṃskaraṇa-pāṭhaḥ.}	haridAsa--saMskaraNa-pAWaH.}
   ekādaśaḥ sargaḥ	ekAdaSaH sargaH
   sānanda-dāmodaraḥ	sa-Ananda-dAmodaraH
   NOTE: {sāmoda- iti kvacit, sānanda-govinda iti haridāsa-saṃskaraṇe.}	NOTE: {sAmoda iti kvacit, sa-Ananda--govindaH iti haridAsa--saMskaraNe.}
   suciram anunayena prīṇayitvā mṛgākṣīṃ gatavati kṛtaveśe keśave	su-ciram anunayena prINayitvA mRga-akzIm gatavati kRta-veSe keSave
   kuñja-śayyām |	kuQja-SayyAm |
   racita-rucira-bhūṣāṃ dṛṣṭi-moṣe pradoṣe sphurati niravasādāṃ kāpi rādhāṃ	racita--rucira-BUzAm dRzwi-moze pradoze sPurati niravasAdAm kA-api rADAm
   jagāda || GG_11.1 ||	jagAda || Gu-_11.1 ||
   || prabandhaḥ 20 ||	|| prabanDaH 20 ||
   vasanta-rāga-yati-tālābhyāṃ gīyate |	vasanta-rAga-yati--tAlAByAm gIyate |
   viracita-cāṭu-vacana-racanaṃ caraṇe racita-praṇipātam |	viracita--cAwu-vacana--racanam caraNe racita--praNipAtam |
   samprati mañjula-vañjula-sīmani keli-śayanam anuyātaṃ || GG_11.2 ||	samprati maQjula--vaQjula--sImani keli--Sayanam anuyAtam || Gu-_11.2 ||
   mugdhe madhu-mathanam anugatam anusara rādhike ||dhruva||||	mugDe maDu-maTanam anugatam anusara rADike ||Druva-||||
   ghana-jaghana-stana-bhāra-bhare dara-manthara-caraṇa-vihāram |	Gana--jaGana--stana--BAra--Bare dara--manTara--caraNa--vihAram |
   mukharita-maṇi-mañjīram upaihi vidhehi marāla-vikāram || GG_11.3 ||	muKarita-maNi--maQjIram upEhi viDehi marAla-vikAram || Gu-_11.3 ||
   NOTE: {nikāram iti.}	NOTE: {nikAram iti.}
   śṛṇu ramaṇīyataraṃ taruṇī-jana-mohana-madhupa-virāvam |	SRNu ramaNIyataram taruNI--jana--mohana--maDupa-virAvam |
   NOTE: {ramaṇī-}	NOTE: {ramaNI-}
   NOTE: {madhuripu-rāvam}	NOTE: {maDuripu-rAvam}
   kusuma-śarāsana-śāsana-vandini pika-nikare bhaja bhāvam || GG_11.4 ||	kusuma--SarAsana-SAsana-vandini pika-nikare Baja BAvam || Gu-_11.4 ||
   anila-tarala-kiśalaya-nikareṇa kareṇa latā-nikurambam |	anila-tarala-ki-Salaya--nikareNa kareNa latA--nikurambam |
   preraṇam iva karabhoru karoti gatiṃ prati muñca vilambam || GG_11.5 ||	preraNam iva karaBa-Uru karoti gatim prati muQca vilambam || Gu-_11.5 ||
   sphuritam anaṅga-taraṅga-vaśād iva sūcita-hari-parirambham |	sPuritam anaFga-taraFga--vaSAt iva sUcita--hari--pariramBam |
   pṛccha manohara-hāra-vimala-jala-dhāram amuṃ kuca-kumbham || GG_11.6 ||	pRcCa manohara--hAra--vimala--jala--DAram amum kuca-kumBam || Gu-_11.6 ||
   adhigatam akhila-sakhībhir idaṃ tava vapur api rati-raṇa-sajjam |	aDigatam aKila--saKIBiH idam tava vapuH api rati--raNa--sajjam |
   caṇḍi rasita-raśanā-rava-ḍiṇḍimam abhisara sarasam alajjam || GG_11.7 ||	caNxi rasita-raSanA--rava--xiNximam aBisara sarasam alajjam || Gu-_11.7 ||
   smara-śara-subhaga-nakhena sakhīm avalambya kareṇa salīlam |	smara-Sara--suBaga--naKena saKIm avalambya kareNa sa-lIlam |
   cala valaya-kvaṇitair avabodhaya harim api nija-gati-śīlaṃ || GG_11.8 ||	cala valaya--kvaNitEH avaboDaya harim api nija--gati--SIlam || Gu-_11.8 ||
   NOTE: {nigadita iti.}	NOTE: {nigaditaH iti.}
   śrī-jayadeva-bhaṇitam adharīkṛta-hāram udāsita-vāmam |	SrI-jaya-deva--BaNitam aDarIkRta--hAram udAsita-vAmam |
   hari-vinihita-manasām adhitiṣṭhatu kaṇṭha-taṭīm avirāmam || GG_11.9 ||	hari--vinihita--manasAm aDitizWatu kaNWa-tawIm avirAmam || Gu-_11.9 ||
   sā māṃ drakṣyati vakṣyati smara-kathāṃ praty-aṅgam āliṅganaiḥ prītiṃ	sA mAm drakzyati vakzyati smara--kaTAm praty-aFgam AliFganEH prItim
   yāsyati raṃsyate sakhi samāgatyeti cintākulaḥ |	yAsyati raMsyate saKi samAgatya-iti cintA-AkulaH |
   NOTE: {sañcintayan iti haridāsa-pāṭhaḥ.}	NOTE: {saQcintayan iti haridAsa--pAWaH.}
   sa tvāṃ paśyati vepate pulakayaty ānandati svidyati pratyudgacchati	sa tvAm paSyati vepate pulakayati Anandati svidyati pratyudgacCati
   mūrcchati sthira-tamah-puñje nikuñje prīyaḥ || GG_11.10 ||	mUrcCati sTira--tam-ah-puQje nikuQje prIyaH || Gu-_11.10 ||
   akṣṇor nikṣipad añjanaṃ śravaṇayos tāpiñcha-gucchāvalīṃ mūrdhni	akzNoH nikzipat aQjanam SravaNayoH tApin-Ca--gucCA-AvalIm mUrDni
   śyāma-saroja-dāma kucayoḥ kastūrikā-patrakam |	SyAma-saroja--dAma kucayoH kastUrikA--patrakam |
   dhūrtānām abhisāra-sambhrama-jūṣāṃ viṣvaṅ-nikuñje sakhi dhvāntaṃ	DUrtAnAm aBisAra--samBrama--jUzAm vizvaF-nikuQje saKi DvAntam
   nīla-nicola-cāru sudṛśāṃ praty-aṅgam aliṅgati || GG_11.11 ||	nIla--nicola--cAru sudRSAm praty-aFgam aliFgati || Gu-_11.11 ||
   NOTE: {abhisāra-satvara-hṛdāṃ iti haridāsa-saṃskaraṇa-pāthaḥ.}	NOTE: {aBisAra--satvara--hRdAm iti haridAsa--saMskaraNa-pATaH.}
   kāśmīra-gaura-vapuṣām abhisārikāṇāṃ ābaddha-rekham abhito ruci-mañjarībhiḥ	kASmIra--gOra-vapuzAm aBisArikANAm AbadDa--reKam aBitas ruci--maQjarIBiH
   etat tamāla-dala-nīlatamaṃ tamisraṃ tat-prema-hema-nikaṣopalatāṃ tanoti ||	etat tamAla--dala--nIlatamam tamisram tat--prema--hema--nikaza-upala-tAm tanoti ||
   GG_11.12 ||	Gu-_11.12 ||
   hārāvalī-tarala-kāñcana-kāñci-dāma-keyūra-kaṅkaṇa-maṇi-dyuti-dīpitasya |	hAra-AvalI--tarala--kAQcana--kAQci--dAma---keyUra--kaFkaNa--maNi--dyuti--dIpitasya |
   NOTE: {mañjīra iti haridāsasya pāṭhaḥ.}	NOTE: {maQjIraH iti haridAsasya pAWaH.}
   dvāre nikuñja-nilayasya hariṃ nirīkṣya vrīḍāvatīm atha sakhīṃ īyam ity	dvAre nikuQja--nilayasya harim nirIkzya vrIxAvatIm aTa saKIm Iyam iti-
   uvaca || GG_11.13 ||	uvaca || Gu-_11.13 ||
   || prabandhaḥ 21 ||	|| prabanDaH 21 ||
   varāḍi-rāga-rūpaka-tālābhyāṃ gīyate |	varAxi--rAga---rUpa-ka-tAlAByAm gIyate |
   mañjutara-kuñja-tala-keli-sadane |	maQjutara--kuQja--tala--keli--sadane |
   vilasa rati-rabhasa-hasita-vadane || GG_11.14 ||	vilasa rati--raBasa-hasita-vadane || Gu-_11.14 ||
   praviśa rādhe mādhava-samīpam iha || dhruva-padaṃ ||	praviSa rADe mADava--samIpam iha || Druva-padam ||
   NOTE: {haridāsasya saṃskaraṇe, ḥpraviśa rādheḥ ity-ādi dhruva-padaṃ	NOTE: {hari-dAsasya saMskaraNe, HpraviSa rADeH iti--Adi Druva-padam
   pratiślokasya prathama-dvitīya-caraṇayor madhye gīyate.}	pratiSlokasya praTama--dvitIya--caraNayoH maDye gIyate.}
   nava-lasad-aśoka-dala-śayana-sāre |	nava-lasat--aSoka--dala--Sayana---sAre |
   NOTE: {bhavad- iti ni-pāṭhaḥ.}	NOTE: {Bavad iti ni-pAWaH.}
   vilasa kuca-kalaśa-tarala-hāre || GG_11.15 ||	vilasa kuca-kalaSa--tarala--hAre || Gu-_11.15 ||
   kusuma-caya-racita-śuci-vāsa-gehe |	kusuma--caya--racita--Suci-vAsa--gehe |
   vilasa kusuma-sukumāra-dehe || GG_11.16 ||	vilasa kusuma--sukumAra--dehe || Gu-_11.16 ||
   mṛdu-cala-malaya-pavana-surabhi-śīte |	mRdu-cala--malaya--pavana--suraBi--SIte |
   NOTE: {mṛdu-cala-malaya- iti haridāsa-pāṭhāntaraḥ.}	NOTE: {mRdu-cala-malaya iti haridAsa--pAWA-antaraH.}
   vilasa madana-śara-nikara-bhīte || GG_11.17 ||	vilasa madana-Sara--nikara--BIte || Gu-_11.17 ||
   NOTE: {kusuma-śara iti, madana-rasa iti vā ni-pāṭhāntaraḥ.}	NOTE: {kusuma--SaraH iti, madana--rasaH iti vA ni-pAWa-antaraH.}
   NOTE: {vilasa rati-valita-lalita-gīte iti haridāsa-pāṭhaḥ. tatra	NOTE: {vilasa rati--valita-lalita--gIte iti hari-dAsa--pAWaH. tatra
   pāthāntare rasa-valita- iti ca. }	pATa-antare rasa--valita iti ca. }
   vitata-bahu-valli-nava-pallava-ghane |	vitata--bahu--valli-nava--pallava--Gane |
   vilasa ciram alasa-pīna-jaghane || GG_11.18 ||	vilasa ciram alasa--pIna--jaGane || Gu-_11.18 ||
   madhu-mudita-madhupa-kula-kalita-rāve |	maDu--mudita--maDu-pa-kula--kalita--rAve |
   vilasa madana-rasa-sarasa-bhāve || GG_11.19 ||	vilasa madana--rasa-sarasa-BAve || Gu-_11.19 ||
   NOTE: {rabhasa-rasa- haridāsasya pāṭhaḥ.}	NOTE: {raBasa-rasa haridAsasya pAWaH.}
   madhuratara-pika-nikara-ninada-mukhare |	maDuratara--pika-nikara--ninada--muKare |
   vilasa daśana-ruci-rucira-śikhare || GG_11.20 ||	vilasa daSana--ruci-rucira--SiKare || Gu-_11.20 ||
   vihita-padmāvatī-sukha-samāje |	vihita-padmA=-atI--suKa--samAje |
   kuru murāre maṅgala-śatāni |	kuru murAre maFgala--SatAni |
   bhaṇati jayadeva-kavi-rāja-rāje || GG_11.21 ||	BaNati jayadeva-ka-vi-rAja--rAje || Gu-_11.21 ||
   tvāṃ cittena ciraṃ vahann ayam atiśrānto bhṛśaṃ tāpitaḥ kandarpeṇa ca	tvAm cittena ciram vahan ayam atiSrAntaH BRSam tApitaH kandarpeNa ca
   pātum icchati sudhā-sambādha-bimbādharam |	pAtum icCati suDA--sambADa--bimba-aDaram |
   asyāṅkaṃ tad alaṅkuru kṣaṇam iha bhrū-kṣepa-lakṣmī-lava-krīte dāsa	asya-aFkam tat alaFkuru kzaNam iha BrU--kzepa--lakzmI-lava--krIte dAsa
   ivopasevita-padāmbhoje kutaḥ sambhramaḥ || GG_11.22 ||	iva-upasevita-pada-amBoje kutas samBramaH || Gu-_11.22 ||
   sā sa-sādhvasa-sānandaṃ govinde lola-locanā |	sA sa--sADvasa-sa-Anandam govinde lola--locanA |
   siñjānā mañju-mañjīraṃ praviveśa niveśanam || GG_11.23 ||	siQjAnA maQju--maQjIram praviveSa niveSanam || Gu-_11.23 ||
   NOTE: {praviveśābhiveśanam iti haridāsasya pāṭhaḥ.}	NOTE: {praviveSa-aBiveSanam iti haridAsasya pAWaH.}
   || prabandhaḥ 22 ||	|| prabanDaH 22 ||
   varāḍi-rāga-yati-tālābhyāṃ gīyate |	varAxi-rAga-yati--tAlAByAm gIyate |
   rādhā-vadana-vilokana-vikasita-vividha-vikāra-vibhaṅgam |	rADA--vadana--vilokana-vikasita-viviDa--vikAra--viBaFgam |
   jala-nidhim iva vidhu-maṇḍala-darśana-taralita-tuṅga-taraṅgam || GG_11.24	jala-niDim iva viDu--maNxala-darSana-taralita--tuFga-taraFgam || Gu-_11.24
   harim eka-rasaṃ ciram abhilaṣita-vilāsam |	harim eka-rasam ciram aBilazita-vilAsam |
   sā dadarśa guru-harṣa-vaśaṃvada-vadanam anaṅga-nivāsaṃ || [dhru.]	sA dadarSa guru--harza--vaSaMvada--vadanam anaFga-nivAsam || [Dru.]
   hāram amalatara-tāram urasi dadhataṃ parilambya vidūram |	hAram amalatara--tAram urasi daDatam parilambya vidUram |
   NOTE: {parirabhya iti ni-pāṭhāntaraḥ.}	NOTE: {pariraByaH iti ni-pAWa-antaraH.}
   sphuṭatara-phena-kadamba-karambitam iva yamunā-jala-pūram || GG_11.25 ||	sPuwatara-Pena--kadamba-karambitam iva yamunA--jala--pUram || Gu-_11.25 ||
   śyāmala-mṛdula-kalevara-maṇḍalam adhigata-gaura-dukūlam |	SyAmala--mRdula--kalevara--maNxalam aDigata-gOra-dukUlam |
   nīla-nalinam iva pita-parāga-paṭala-bhara-valayita-mūlam || GG_11.26 ||	nIla-nalinam iva pita-parAga--pawala--Bara-valayita--mUlam || Gu-_11.26 ||
   tarala-dṛg-añcala-calana-manohara-vadana-janita-rati-rāgam |	tarala-dRS--aQcala--calana--manohara--vadana--janita-rati-rAgam |
   sphuṭa-kamalodara-khelita-khañjana-yugam iva śaradi taḍāgam || GG_11.27 ||	sPuwa--kamala-udara---Kelita--KaQjana---yugam iva Saradi taxAgam || Gu-_11.27 ||
   vadana-kamala-pariśīlana-milita-mihira-sama-kuṇḍala-śobham |	vadana--kamala--pariSIlana--milita--mi-hira--sama-kuNxala--SoBam |
   smita-ruci-rucira-samullasitādhara-pallava-kṛta-rati-lobham || GG_11.28 ||	smita-ruci--ruciH-a--samullasita-aDara--pallava--kRta--rati-loBam || Gu-_11.28 ||
   śaśi-kiraṇa-cchuritodara-jaladhara-sundara-sakusuma-keśam |	SaSi--kiraNa--cCurita-udara--jalaDara--sunda-ra-sa-kusuma-keSam |
   timirodita-vidhu-maṇḍala-nirmala-malayaja-tilaka-niveśam || GG_11.29 ||	timira-udita-viDu--maNxala--nirmala---malayaja-tilaka-niveSam || Gu-_11.29 ||
   vīpula-pulaka-bhara-danturitaṃ rati-keli-kalābhir adhīraṃ |	vIpula--pulaka-Bara--danturitam rati--keli-kalABiH aDIram |
   maṇi-gaṇa-kiraṇa-samūha-samujjvala-bhūṣaṇa-subhaga-śarīram || GG_11.30 ||	maNi--gaNa--kiraNa--samUha--samujjvala--BUzaNa--suBaga--SarIram || Gu-_11.30 ||
   śrī-jayadeva-bhaṇita-vibhava-dviguṇīkṛta-bhūṣaṇa-bhāram |	SrI-jaya-deva--BaNita--viBava--dvi-guNIkRta-BUzaNa--BAram |
