   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   saṃskārasantatiṃ dṛṣṭvāsyaivaṃ bhavati | anityā bata(te) me saṃskārā[s]	saMskAra santatim dRzwvA asya evam Bavati | anityAH bata (te) me saMskArA[ s]
   tathāpyeṣāṃ pratyakṣata eveyaṃ pūrvaṇāparā vikṛtirupalabhyate |	taTA api ezAm pratyakzatas eva iyam pUrvaNA aparA vikRtiH upalaByate |
   tatra kathaṃ suvarṇakṛtā(nāṃ) vipariṇāmānityatāṃ paryeṣate | ihānenātmano	tatra kaTam suvarNa kRtA(nAM) vipariNAma anitya tAm paryezate | iha anena AtmanaH 
   (sa tathātmano) vā, pareṣām vā, yā pūrvaṃ(tāma) sva(su)varṇatā(tāṃ),	(sa taTA Atmano) vA, parezAm vA, yA pUrvaM(tAma) sva(su)varNa tA(tAM),
   succhavitā(tāṃ), tvagvarṇatā (tām) | paścācca durvarṇatāṃ duśchavitāṃ	su= Cavita A(tAM), tvac varNa tA (tAm) | paScAt ca durvarNa tAm duSCavitAm
   rukṣatāṃ rukṣavarṇatāṃ ca | paśyati [|] dṛṣṭvā ca punareva	rukza tAm rukza varNa tAm ca | paSyati [|] dRzwvA ca punar eva
   pratyudāvarttyāpareṇa samayena tāmeva suvarṇatāṃ paryavadātatvagvarṇatāṃ	pratyudAvarttya apareNa samayena tAm eva suvarNa tAm paryavadAta tvac varNa tAm
   ca paśyati | tasyaivaṃ bhavatyanityā bata(te)me	ca paSyati | tasya evam Bavati anityAH bata (te)me
   saṃskārāṇā(rāsteṣā)miyamevaṃ rūpā pratyakṣato varṇavikṛtirupalabhyate |	saMskArANA(rAH tezA)m iyam evam rUpA pratyakzataH varNa vikRtiH upalaByate |
   tatra kathaṃ [saṃ]sthānakṛtāṃ vipariṇāmānityatāṃ paryeṣate | yathā varṇa	tatra kaTam [saM]sTAna kRtAm vipariNAma anitya tAm paryezate | yaTA varNa
   ukta evaṃ kṛśasthūlatayā saṃsthānaṃ veditavyaṃ sampattirvipattiśca |	uktaH evam kRSa sTUla tayA saMsTAnam veditavyam sampattiH vipattiH ca |
   tadyathā jñātisampattirvā, bhogasampattirvā, śīladṛṣṭisampattirvā [|]	tat yaTA jQAti sampattiH vA, Boga sampattiH vA, SIla dRzwi sampattiH vA [|]
   etadviparyayeṇa vipattista (ttiḥ [|]	etad viparyayeNa vipattiH te (ttiH [|]
   ta)tkathamaṃgapratyaṃgavipariṇāmānityatāṃ (Śbh_Sh 478) paryeṣate |	ta)t kaTam aMga pratyaMga vipariNAma anitya tAm (ŚB_Sh 478) paryezate |
   ihānenātmano vā, pareṣāmvā yā pūrvaṃ suvarṇatā, succhavitā,	iha anena AtmanaH vA, parezAm vA yA pUrvam suvarNa tA, su= CavitA,
   paryavadātatvagvarṇatā dṛṣṭā bhavati | pa(pra)tisampattirvā	paryavadAta tvac varNa tA dRzwA Bavati | pa(pra)ti sampattiH vA
   bhogasampattirvā śīladṛṣṭisampattirvā (|) etadviparyayeṇa vipatti s(ḥ) [|]	Boga sampattiH vA SIla dRzwi sampattiH vA (|) etad viparyayeNa vipatti s(H) [|]
   tatkathamaṃgapratyaṃgavipariṇāmānityatāṃ paryeṣati(te) | ihānenātmano vā,	tad kaTam aMga pratyaMga vipariNAma anitya tAm paryezati(te) | iha anena AtmanaH vA,
   parasya vā, pūrvamapi (vi)kalāṃgatā dṛṣṭā bhavati | sopareṇa samayena	parasya vA, pUrvam api (vi)kalA aMgatA dRzwA Bavati | sa upareNa samayena
   vikalatāmpaśyati rājato vā, corato vā, manuṣyato vā, amanuṣyato vā [|]	vikala tAmpaSyati rAjataH vA, corataH vA, manuzyataH vA, amanuzyataH vA [|]
   dṛṣṭvā ca punarasyaivaṃ bhavati | anityā bata(te)me saṃskārā iti	dRzwvA ca punar asya evam Bavati | anityAH bata (te)me saMskArAH iti
   pūrvavade(t [|]) |	pUrvavade(t [|]) |
   (eva)mātmanaḥ pareṣāṃ ca śrāntakāyatāṃ, klāntakāyatāṃ dhāvato vā, plavato	(eva)m AtmanaH parezAm ca SrAnta ka AyatAM, klAnta kAya tAm DAvataH vA, plavataH 
   vā, laṃghayato vā, abhiru(ro)hatovā, vividhaṃ vākkarma drutaṃ kurvataḥ |	vA, laMGayataH vA, aBiru(ro)hataH vA, viviDam vAkkarma drutam kurvataH |
   sopareṇa samayena vigataklamaśramatāṃ paśyati | tasyaivaṃ bhavatyanityā	sa upareNa samayena vigata klama Srama tAm paSyati | tasya evam Bavati anityA
   bateme saṃskārā iti pūrvavat | evampariśramakṛtāṃ	bata ime saMskArAH iti pUrvavat | evampariSrama kRtAm
   vipariṇāmānityatāmparyeṣate ||	vipariNAma anitya tAmparyezate ||
   evamātmano vā pareṣāmvā paropakrameṇa kāyavikṛtiṃ paśyati | tadyathā	evam AtmanaH vA parezAm vA para upakrameNa kAya vikRtim paSyati | tat yaTA
   latābhirvā tāḍitasya, kaśābhirvā, (Śbh_Sh 479) vaitrairvā	latABiH vA tAxitasya, kaSABiH vA, (ŚB_Sh 479) vEtrEH vA
   vara(ta)trābhirvā [|] tathā vividhairdaśamaśakasarīsṛpasaṃsparśaiḥ [|]	vara(ta)trABiH vA [|] taTA viviDEH daSa maSaka sarIsRpa saMsparSEH [|]
   apareṇa vā punaḥ samayena tāṃ vikṛtiṃ na paśyati | dṛṣṭvā ca punarasyaivaṃ	apareNa vA punar samayena tAm vikRtim na paSyati | dRzwvA ca punar asya evam
   bhavatyanityā bata(te)me saṃskārā iti pūrvavadityevaṃ	Bavati anityAH bata (te)me saMskArAH iti pUrvavat iti evam
   paropakramakṛtāmvipariṇāmānityatāmparyeṣate ||	para upakrama kRtAm vipariNAma anityatAmparyezate ||
   tathātmānaṃ vā, paramvā, śīla(ta)kāle pratyupasthite aviśadakāyaṃ,	taTA AtmAnam vA, paramvA, SIla(ta)kAle pratyupasTite aviSat akAyaM,
   saṃkucitakāyaṃ, śītaparyavasthānaparyavasthitamuṣṇābhilāṣaparigataṃ	saMkucita kAyaM, SIta paryavasTAna paryavasTitam uzNa aBilAza parigatam
   paśyati | uṣṇakāle vā punaḥ pratyupasthite aviśadakāyaṃ, saṃkucitakāyaṃ	paSyati | uzNa kAle vA punar pratyupasTite aviSat akAyaM, saMkucita kAyam
   śītaparyavasthānaparyavasthitaviśadagātraprasvinnagātraṃ	SIta paryavasTAna paryavasTita viSada gAtra prasvinna gAtram
   santaptagātramucchraṣya vacanaṃ tṛṣāparigataṃ | śītasaṃsparśābhilāṣiṇaṃ	santapta gAtram ucCrazya vacanam tRzA parigatam | SIta saMsparSa aBilAziNam
   paśyati | dṛṣṭvā ca punaḥ pratyudāvarttya punaḥ śītakāle	paSyati | dRzwvA ca punar pratyudAvarttya punar SIta kAle
   pūrvoktairevākāraiḥ paśyati | dṛṣṭvā ca punarasyaivaṃ bhavati | anityā	pUrva uktEH eva AkArEH paSyati | dRzwvA ca punar asya evam Bavati | anityA
   bata(te)me saṃskārā iti pūrvavadeva[ṃ] śītakṛtāṃ vipariṇāmānityatāṃ	bata (te)me saMskArAH iti pUrvavat eva[M] SIta kRtAm vipariNAma anitya tAm
   paryeṣate |	paryezate |
   sa punaradhyātmamvā (rātmano vā) [pare]ṣāmvā	sa punar aDyAtmam vA (rA AtmanaH vA) [pare]zAmvA
   caṃkramasthānaniṣadyaśayānairīryāpathairanyatamānyatameneryāpathena	caMkrama sTAna nizadya SayAnEH IryA paTEH anyatama anyatamena IryApaTena
   ātmānamvā paramvā paśyati | punastenaivamekadā anugṛhyamāṇaṃ paśyati |	AtmAnam vA paramvA paSyati | punar tena evam ekadA anugRhyamANam paSyati |
   dṛṣṭvā ca punarasyaivaṃ bhavatyanityā (Śbh_Sh 480) bateme saṃskārā iti	dRzwvA ca punar asya evam Bavati anityAH (ŚB_Sh 480) bata ime saMskArAH iti
   pūrvavat | evamīryā pathakṛtāṃ vipariṇāmānityatāṃparyeṣate ||	pUrvavat | evam IryA paTa kRtAm vipariNAma anitya tAMparyezate ||
   kathaṃ sparśakṛtāmvipariṇāmānityatāmparyeṣate | sukhavedanīyena sparśena	kaTam sparSa kRtAm vipariNAma anityatAmparyezate | suKa vedanIyena sparSena
   spṛṣṭaḥ, sukhavedanīyaṃ sparśaṃ pratītyotpannāṃ sukhāṃ vedanāṃ vedayamānaḥ	spRzwaH, suKa vedanIyam sparSam pratItya utpannAm suKAm vedanAm vedayamAnaH
   | sukhā[ṃ] vedanāvasthāmātmanaḥ pari[c]chinatti | yathā	| suKa a[M] vedanA avasTAm AtmanaH pari[c]Cinatti | yaTA
   sukhadevanāvasthā[ṃ] evaṃ duḥkhāsukhāsu(duḥ)khavedanāvasthāṃ [|] tasya	suKa devanA avasTA[M] evam duHKa asuKa asu(duH)Ka vedanA avasTAm [|] tasya
   pūrvāṃ paryeṣaṇā āsāṃ vedanānāṃ navanavatāniḥpurāṇa purāṇatāmāpāyikatāṃ	pUrvAm paryezaNAH AsAm vedanAnAm nava navatA niHpurANa purANa tAm ApAyika tAm
   tāvatkālikatāmitvarapratyupāsthāyitamanyathībhāvaṃ dṛṣṭvā, dṛṣṭvaivaṃ	tAvat kAlika tAmi tvara pratyupAsTAyitam anyaTIBAvam dRzwvA, dRzwvA evam
   bhavati | anityā bateme saṃskārā iti pūrvat ||	Bavati | anityAH bata ime saMskArAH iti pUrvat ||
   tatra kathaṃ kleśakṛtāṃ vipariṇāmānityatāṃ vyavacārayati | sarāgaṃ	tatra kaTam kleSa kRtAm vipariNAma anitya tAm vyavacArayati | sa rAgam
   cittamutpannaṃ parijānāti | vigatarāgaṃ sadveṣamvigatadveṣaṃ | samohaṃ	cittam utpannam parijAnAti | vigata rAgam sa dvezam vigata dvezam | sa moham
   vigatamohamanyatamānyatamena vā upakleśenopakliṣṭaṃ cittamupakliṣṭamiti	vigata moham anyatama anyatamena vA upakleSena upaklizwam cittam upaklizwam iti
   parijānāti | anupakliṣṭamvā punaranupakliṣṭamiti parijānāti | tasya	parijAnAti | anupaklizwam vA punar anupaklizwam iti parijAnAti | tasya
   pū(pau)rvāparyeṇaibhiḥ	pU(pO)rva aparyeNa eBiH
   kleśopakleśairavatīparṇavipariṇatāvipariṇatāṃcittasantatiṃ dṛṣṭvaivaṃ	kleSa upakleSEH avatI parNa vipariNata avipariNatAMcitta santatim dRzwvA evam
   bhavatyanityā bateme saṃskārā iti | tathā hyeṣāṃ pratyakṣataḥ saṃkleśakṛto	Bavati anityAH bata ime saMskArAH iti | taTA hi ezAm pratyakzatas saMkleSa kRtaH 
   vipariṇāmaupalabhyate ||	vipariNAm a OpalaByate ||
   tatra kathaṃ vyādhikṛtāṃ vipariṇāmānityatāṃ vyavacārayati |	tatra kaTam vyADi kRtAm vipariNAma anitya tAm vyavacArayati |
   ihānenaikadātmā ca pare ca dṛṣṭvā(ṣṭā) (Śbh_Sh 481) bhavantyarogiṇaḥ,	iha anena ekadAtmA ca pare ca dRzwvA a(zwA) (ŚB_Sh 481) Bavanti arogiNaH,
   sukhino, balavantaḥ | so 'pareṇa samayena paśyatyātmānamvā, paramvā,	suKino, balavantaH | saH apareNa samayena paSyati AtmAnam vA, paramvA,
   ābādhikaṃ, duḥkhitaṃ, bāḍhaglānaṃ, spṛṣṭaṃ śārīrikābhirvedanābhiḥ	AbADikaM, duHKitaM, bAXa glAnaM, spRzwam SArIrikABiH vedanABiH
   duḥkhābhistīvrābhiriti vistareṇa pūrvavat |	duHKABiH tIvrABiH iti vistareNa pUrvavat |
   tatra kathaṃ kleśakṛtāṃ vipariṇā[mā]nityatāṃ vyavacārayati |	tatra kaTam kleSa kRtAm vipariNA a[mA] nitya tAm vyavacArayati |
   ihānenaikadātmā ca pare ca dṛṣṭvā (dṛṣṭā) bhavantyarogiṇaḥ, sukhino,	iha anena ekadAtmA ca pare ca dRzwvA (dRzwA) Bavanti arogiNaH, suKino,
   balavantaḥ | so 'pareṇa samayena paśyatyātmānamvā, paramvā, ābādhikaṃ,	balavantaH | saH apareNa samayena paSyati AtmAnam vA, paramvA, AbADikaM,
   duḥkhitaṃ, bāḍhaglānaṃ, spṛṣṭaṃ śārīrikābhirvedanābhiḥ | sa punarapareṇa	duHKitaM, bAXa glAnaM, spRzwam SArIrikABiH vedanABiH | sa punar apareNa
   samayena paśyatyarogiṇaṃ, sukhitaṃ, balavantaṃ, dṛṣṭvā ca punarasyaivaṃ	samayena paSyati arogiNaM, suKitaM, balavantaM, dRzwvA ca punar asya evam
   bhavatyanityā bata(te)me saṃskārā iti pūrvavat ||	Bavati anityAH bata (te)me saMskArAH iti pUrvavat ||
   tatra kathaṃ maraṇakṛtāṃ vipariṇāmānityatāṃ vyavacārayati | ihāyaṃ jīvitaṃ	tatra kaTam maraNa kRtAm vipariNAma anitya tAm vyavacArayati | iha ayam jIvitam
   paśyati dhriyantaṃ, tiṣṭhantaṃ, yāpayantaṃ, so 'pareṇa samayena mṛtaṃ	paSyati DriyantaM, tizWantan, yApayantaM, saH apareNa samayena mRtam
   kālagataṃ paśyati | vijñānaśūnyaṃ kalevaraṃ dṛṣṭvā ca punarasyaivaṃ	kAlagatam paSyati | vijQAna SUnyam kalevaram dRzwvA ca punar asya evam
   bhavatīti vistareṇa pūrvavat ||	Bavati iti vistareNa pUrvavat ||
   tatra kathaṃ [vi]nīlakādikṛtāṃ vipariṇāmānityatāṃ vyavacārayati | so	tatra kaTam [vi]nIlaka Adi kRtAm vipariNAma anitya tAm vyavacArayati | saH 
   'pareṇa samayena tāma(tada)sthiśaṃkalikāvasthānaṃ paśyati | sa tadeva	apareNa samayena tAma(tada)sTi SaMkalikA avasTAnam paSyati | sa tat eva
   mṛtakalevaraṃ vinīlakāvasthamekadā paśyati | ekadā vipūyakāvasthamenaṃ	mRta kalevaram vinIlaka avasTam ekadA paSyati | ekadA vipUyaka avasTam enam
   vistareṇa yāvasthiśaṃkalikāvasthaṃ dṛṣṭvāsyaivaṃ bhavatyanityā bata(te)me	vistareNa yO= asTi SaMkalikA avasTam dRzwvA asya evam Bavati anityAH bata (te)me
   saṃskārā iti vistareṇa (Śbh_Sh 482) pūrvavat ||	saMskArAH iti vistareNa (ŚB_Sh 482) pUrvavat ||
   tatra kathamasaṃkhyā(ya) na parikṣayakṛtāmvipariṇāmānityatāṃ vyavacārayati	tatra kaTam asaMKya A(ya) na parikzaya kRtAm vipariNAma anitya tAm vyavacArayati
   [|] so 'pareṇa [samayena] tāma(tada)pya[sthi]śaṃkalikāvasthānaṃ paśyati |	[|] saH apareNa [samayena] tAma(tada)pya[ sTi] SaMkalikA avasTAnam paSyati |
   sarveṇa sarvaṃ naṣṭā(ṣṭo) bhavati, vidhvastā(sto), viśīrṇaḥ | sarveṇa	sarveNa sarvam nazwa a(zwo) Bavati, viDvastA(H to), viSIrNaH | sarveNa
   sarvaṃ cakṣuṣo [a]nābhāsagatā, dṛṣṭvā ca punarasyaivaṃ bhavatyanityā	sarvam cakzuzaH [a]na ABAsa gatA, dRzwvA ca punar asya evam Bavati anityA
   bata(te)me saṃskārāstathā hyeṣāṃ paurvāparyeṇa pratyakṣata evāyamevaṃ rūpo	bata (te)me saMskArAH taTA hi ezAm pOrvAparyeNa pratyakzatas eva ayam evam rUpaH 
   vikāra upalabhyate | vipariṇāmaḥ |	vikAraH upalaByate | vipariNAmaH |
   evaṃ tāvatpratyakṣādhipateyena manaskāreṇādhyātmikasya vastunaḥ [paṃca]	evam tAvat pratyakza ADipateyena manaskAreNa ADyAtmikasya vastunaH [paMca]
   daśabhirākārairvipariṇāmānityatāṃ vyavacārayati |	daSaBiH AkArEH vipariNAma anitya tAm vyavacArayati |
   vyavacārayitvā(vyavacārya) ṣoḍaśavidhasya bāhyasya vastuno	vyavacArayitvA a(vyavacArya) zoxaSaviDasya bAhyasya vastunaH 
   vipariṇāmānityatāṃ vyavacārayati | ye 'nena pṛthivīpradeśā nābhisaṃskṛtāḥ	vipariNAma anitya tAm vyavacArayati | ye anena pRTivI pradeSAH na aBisaMskRtAH
   pūrvaṃ dṛṣṭā bhavanti |	pUrvam dRzwAH Bavanti |
   gṛhavastvāpaṇavastupuṇyaśālādevakulavihāravastuprakāraiḥ	gRhavastu ApaNa vaH tu puNya SAlA deva kula vihAra vastu prakArEH
   paścāccābhisaṃskṛtānpaśyatyanabhisaṃskṛtānpaśyatyanandinavānsukṛtānsūpaliptān	paScAt ca aBisaMskRtAn paSyati anaBisaMskRtAn paSyati anandinavAn su kRtAn su upa liptAn
   (|) so 'pareṇa samayena jīrṇān paśyati | jarjarānalūnavilūnāṃ (nān)	(|) saH apareNa samayena jIrNAn paSyati | jarjarAnalUn avilUnAm (nAn)
   cchīrṇān cha(kṣa)titapatitān khalu chidrānagninā vā dagdhānudakena	cSIrNAn Ca(kza)tita patitAn Kalu CidrAn agninA vA dagDAn udakena
   vāpahratāṃ(hṛtān) | dṛṣṭvā ca punarasyaivaṃ bhavati | anityā bata(te)me	vA apahratAn(hRtAn) | dRzwvA ca punar asya evam Bavati | anityA bata (te)me
   saṃskārāḥ [|] tathāpyeḥ(hye)ṣāṃ paurvāparyeṇāyamevaṃrūpaḥ pratyakṣo vikāro	saMskArAH [|] taTA api eH(hi e)zAm pOrvAparyeNa ayam evaMrUpaH pratyakzaH vikAraH 
   (Śbh_Sh 483) vipariṇāma upalabhyate | evaṃ pṛthivyāṃ vipariṇāmānityatāṃ	(ŚB_Sh 483) vipariNAmaH upalaByate | evam pRTivyAm vipariNAma anitya tAm
   vyavacārayati | evaṃ tṛṇauṣadhivanaspataya ārāmodyānāni ca	vyavacArayati | evam tRNa ozaDi vanaspatayaH ArAma udyAnAni ca
   samṛddhapatrapuṣpaphalāni paśyati | harati tāni (haritāni)	samRdDa patra puzpa PalAni paSyati | harati tAni (haritAni)
   prāsādikānyabhiramyāṇi [|] apareṇa sa samayenocchuṣkāṇi paśyati |	prAsAdikAni aBiramyANi [|] apareNa sa samayena ucCuzkANi paSyati |
   vigatapatrapuṣphalāni (|) agnidāhena vā dagdhāni (vā,) tathā	vigata patra puzPalAni (|) agni dAhena vA dagDAni (vA,) taTA
   parvatānyekadā samṛddhapāṣāṇāni paśyatyekadā nirluṭhitapāṣāṇāni patita	parvatAni ekadA samRdDa pAzANAni paSyati ekadA nirluWita pAzANAni patita
   śrṛṃgāṇi, patitakūṭāni, utkūlanikūlānyagninā dagdhāni, udakābhiṣyanditāni,	SrRMgANi, patita kUwA ni, utkUla nikUlAni agninA dagDA ni, udaka aBizyanditAni,
   tathā utsasarastaḍāka(ga)nadīprasravaṇakūpādīnyekadā, samṛddhodakāni	taTA utsasaraH taxAka (ga)nadI prasravaNa kUpa AdIni ekadA, samRdDa udakAni
   paśyatyekadā parikṣīṇodakāni, sarveṇa vā sarvaṃ viśuṣkāṇi khilībhūtāni	paSyati ekadA parikzINa udakAni, sarveNa vA sarvam viSuzkANi KilIBUtAni
   koṭarāṇi | tathā karmāntānekadā sampadyamānānpaśyatyekadā vipadyamānāṃ	kowarANi | taTA karmAntAn ekadA sampadyamAnAn paSyati ekadA vipadyamAnAm
   (nān) [paśyati |]	(nAn) [paSyati |]
   tadyathākṛṣikarmāntānnaukarmāntānsamyagvyavahārakarmāntān vividhāṃchilpa	tat yaTA kRzi karmAntAn nOkarmAntAn samyak vyavahAra karmAntAn viviDAMSilpa
   (vidhāñchilpa)sthānakarmāntān, tathā kośasannidhīnāṃ vicitrāṇāṃ	(viDAn Silpa) sTAna karmAntAn, taTA koSa sanniDInAm vicitrANAm
   nānāprakārāṇāmekadā ācayaṃ paśyatyekadā apacayaṃ | tathā bhojanapānaṃ ca	nAnA prakArANAm ekadA Acayam paSyati ekadA apacayam | taTA Bojana pAnam ca
   ekadā[na]bhisaṃskṛtā(nnā)vasthaṃ paśyatyekadābhisaṃskṛtāvasthamekadā	ekadA[na]BisaMskRta a(nna a)vasTam paSyati ekadA aBisaMskRta avasTam ekadA
   lālāvisaraviklinnamekadā yāvaduccāraprasrāvāvasthaṃ [paśyati] | (Śbh_Sh	lAlA visara viklinnam ekadA yAvat uccAra prasrAva avasTam [paSyati] | (ŚB_Sh
   484) tathā vividhāni yānānyekadā sumaṇḍitāni svalaṃkṛtānyabhinavāni	484) taTA viviDAni yAnAni ekadA su maNxitAni su alaMkRtAni aBinavAni
   paśyatyekadā vigatālaṃkārāṇi | vigatamaṇḍanāni, jarjarāṇi | tathā	paSyati ekadA vigata alaMkArANi | vigata maNxanAni, jarjarANi | taTA
   vastrāṇāmekadā abhinavatāṃ paśyatyekadā purāṇatāṃ | prakṣīṇatāmekadā	vastrANAm ekadA aBinavatAm paSyati ekadA purANa tAm | prakzINa tAm ekadA
   śuddhatāmekadā malinatāṃ |	SudDa tAm ekadA malina tAm |
   tathālaṃkārāṇāmekadānabhisaṃskṛtatāmekadābhisaṃskṛtatāmekadā	taTA alaMkArANAm ekadA anaBisaMskRta tAm ekadA aBisaMskRta tAm ekadA
   sāratāmekadābhinna prabhinnatāmvikṣīṇatāṃ paśyati | tathā	sAra tAm ekadA Binna  praBinna tAmvikzINa tAm paSyati | taTA
   nṛttagītavāditānāṃ pratyutpannaprayogavicitrabhūya[s]samudgatā[ṃ]	nRtta gIta vAditAnAm pratyutpanna prayoga vicitra BUya[s] samudgata a[M]
   bhavabhaṃgatāmpaśyati | tathā gandhamālyavilepanānāṃ	Bava BaMga tAmpaSyati | taTA ganDa mAlya vilepanAnAm
   pratyagrasugandhāmlānatāṃ paśyati | apareṇa samayena	pratyagra suganDa amlAna tAm paSyati | apareNa samayena
   nātisugandhadurgandhamlānaviśuṣkatāṃ paśyati | tathā	na ati suganDa durganDa mlAna viSuzka tAm paSyati | taTA
   bhāṇḍopaskārāṇāmanabhisaṃskārābhisaṃskārasārabhagnatāṃ paśyati | tathā	BANxa upaskArANAm anaBisaMskAra aBisaMskAra sAra Bagna tAm paSyati | taTA
   ālokānukārayoḥ saṃbhavavibhavatāmpaśyati | tathā	Aloka anukArayoH saMBava viBavatAmpaSyati | taTA
   strīpuruṣacaryāsambhavavibhavatāṃ paśyati | asthiratāṃ [|] dṛṣṭvā ca	strI puruza caryA samBava viBava tAm paSyati | asTira tAm [|] dRzwvA ca
   punarasyaivaṃ bhavatyanityā bata(te)me saṃskārāstathā hyeṣāṃ bāhyānāṃ	punar asya evam Bavati anityAH bata (te)me saMskArAH taTA hi ezAm bAhyAnAm
   saṃskārāṇāṃ, ṣaṇṇāṃ ca parigrahavastūnāṃ, daśānāñca kāyaparivārāṇāṃ	saMskArANAM, zaNNAm ca parigraha vastUnAn, daSAnAQca kAya parivArANAm
   pratyakṣatā, vikāro, viparimāṇo 'yamīdṛśa upalabhyate | sarvatracaitat	pratyakzatA, vikAro, viparimANaH ayam IdRSaH upalaByate | sarvatraca etat
   peyālaṃ veditavyaṃ ||	peyAlam veditavyam ||
   ebhiraṣṭābhirvipariṇāmakāraṇaiḥ pūrvanirdiṣṭairasyādhyātmikabāhyasya	eBiH azwABiH vipariNAma kAraNEH pUrva nirdizwEH asya ADyAtmika bAhyasya
   vastuno yathāyogaṃ pratyakṣādhipateyena manaskāreṇaivaṃ	vastunaH yaTAyogam pratyakza ADipateyena manaskAreNa evam
   vipariṇāmākāreṇānityatāṃ vyavacārayati | (Śbh_Sh 485) yathānena sā	vipariNAma AkAreNa anitya tAm vyavacArayati | (ŚB_Sh 485) yaTA anena sA
   vipariṇāmānityatā pratyakṣaṃ dṛṣṭā bhavatyanubhūtā, aparapratyayaśca	vipariNAma anitya tA pratyakzam dRzwAH Bavati anuBUtA, apara pratyayaH ca
   tasyāṃ bhavatyananyaneyaḥ | tathaivānusmaran vyavacārayati | niścitaśca	tasyAm Bavati ananyaneyaH | taTA eva anusmaran vyavacArayati | niScitaH ca
   bhavati | tenocyate pratyakṣādhipateyo manaskāra iti |	Bavati | tena ucyate pratyakza ADipateyaH manaskAraH iti |
   sa evaṃ pratyakṣādhipateyena manaskāreṇa vipariṇāmānityatāṃ	saH evam pratyakza ADipateyena manaskAreNa vipariNAma anitya tAm
   vyavahā(cā)rayitvā(vyavacārya) yeṣāṃ rūpiṇāṃ saṃskārāṇāṃ satī samvidyamānā	vyavahA( ca a)rayitvA a( vyavacArya) yezAm rUpiNAm saMskArANAm satI samvidyamAnA
   kṣaṇotpannabhagnā vinīlatā(vilīnatā) nopalabhyate | tatra	kzaNa utpanna BagnA vinIlatA( vilIna tA) na upalaByate | tatra
   pratyakṣādhipateyaṃ manaskāraṃ niśrityānumānaṃ karotyevañca punaranumānaṃ	pratyakza ADipatA iyam manaskAram niSritya anumAnam karoti evan ca punar anumAnam
   karoti | kṣaṇotpannabhagnavilīnānāmeṣāṃ saṃskārāṇāmiyaṃ pūrveṇāparā	karoti | kzaNa utpanna Bagna vilInAnAm ezAm saMskArANAm iyam pUrveNa aparA
   vikṛtiryujyate | na tu tathaivāvasthitānāṃ, iti hi kṣaṇikāḥ saṃskārāsteṣu	vikRtiH yujyate | na tu taTA eva avasTitAnAn, iti hi kzaNikAH saMskArAH tezu
   teṣu pratyayeṣu satsu tathā tathotpadyante | utpannāścānapekṣya	tezu pratyayezu satsu taTA taTA utpadyante | utpannAH ca anapekzya
   vināśakāraṇaṃ svarasena vipa(na)śyanti |	vinASa kAraNam svarasena vipa(na)Syanti |
   (Śbh_Sh 486)	(ŚB_Sh 486)
   yāni punaretāni vipariṇāmakāraṇāni tānyanyathotpattaye satya(mva)rttante	yAni punar etAni vipariNAma kAraNAni tAni anyaTA utpattaye satya( mva)rttante
   vikṛtāyā utpatteḥ kāraṇībhavanti | na tu vināśasya [|] tatkasya hetoḥ [|]	vikRtAyAH utpatteH kAraNIBavanti | na tu vinASasya [|] tat kasya hetoH [|]
   sahaiva tena vināśakāraṇena vinaṣṭānāṃ saṃskārāṇāṃ yasmādvisadṛśā (śī)	saha eva tena vinASa kAraNena vinazwAnAm saMskArANAm yasmAt visadRSA (SI)
   pravṛttirupalabhyate | na tu sarveṇa sarvamapravṛttireva [|] yeṣāmvā punaḥ	pravRttiH upalaByate | na tu sarveNa sarvam apravRttiH eva [|] yezAm vA punar 
   saṃskārāṇāṃ sarveṇa sarvamapravṛttirupalabhyate | tadyathā	saMskArANAm sarveNa sarvam apravRttiH upalaByate | tat yaTA
   kvāthyamānāmasāmante sarveṇa sarvamparikṣayo bhavati agninirdagdhānāṃ ca	kvATyamAnAm asAmante sarveNa sarvamparikzayaH Bavati agni nirdagDAnAm ca
   lokabhājanānāṃ masirapi na [pra]jñāyate | chāyikā ca | śiṣṭamapi na	loka BAjanAnAm masiH api na [pra]jQAyate | CAyikA ca | Sizwam api na
   prajñāyate teṣāmapyuttarottarakaraṇaparyādānādante sarveṇa sarvamabhāvo	prajQAyate tezAm api uttarottara karaNa paryAdAn At ante sarveNa sarvam aBAvaH 
   bhavati | na tvagninaiva kriyate [|] tasmādvipariṇāmakāraṇānyetānyaṣṭau	Bavati | na tu agninA eva kriyate [|] tasmAt vipariNAma kAraNAni etAni azwO
   yathoktāni svarasenaiva tu vināśo bhavati | sa evamānumānikamanaskāreṇa	yaTA uktAni svarasena eva tu vinASaH Bavati | saH evamAnu mAnika manaskAreNa
   saṃskāreṇākṣaṇotpannabhagnavilīnatāyāṃ niścayaṃ pratilabhya	saMskAreNa akzaNa utpanna Bagna vilIna tAyAm niScayam pratilaBya
   punarapyapratyakṣaparalokāsaṃskārapravṛttāvanumānaṃ karoti ||	punar api apratyakza para lokA saMskAra pravRttO= anumAnam karoti ||
   evaṃ ca punaranumānaṃ karoti | santi satvā (ttvā) ye avarṇā api, durvarṇā	evam ca punar anumAnam karoti | santi satvA (ttvA) ye avarNAH api, durvarNA
