   uparivibhāgaḥ	upari viBAgaH
   sarvapāpaharaṃ śaṃbhornivāsaḥ parameṣṭhinaḥ // KūrmP_2,34.29 //	sarva pApa haram SaMBoH nivAsaH paramezWinaH // KUrmP_2,34.29 //
   dṛṣṭvā liṃṅgaṃ tu devasya gokarṇeśvaramuttamam /	dRzwvA liMFgam tu devasya gokarNeSvaram uttamam /
   īpsitāṃllabhate kāmān rudrasya dayito bhavet // KūrmP_2,34.30 //	IpsitAn= laBate kAmAn rudrasya dayitaH Bavet // KUrmP_2,34.30 //
   uttaraṃ cāpi gokarṇaṃ liṅgaṃ devasya śūlinaḥ /	uttaram ca api gokarNam liFgam devasya SUlinaH /
   mahādevasyārcayitvā śivasāyujyamāpnuyāt // KūrmP_2,34.31 //	mahAdevasya arcayitvA Siva sAyujyam ApnuyAt // KUrmP_2,34.31 //
   tatra devo mahādevaḥ sthāṇurityabhiviśrutaḥ /	tatra devaH mahAdevaH sTANuH iti aBiviSrutaH /
   taṃ dṛṣṭvā sarvapāpebhyo mucyate tatkṣaṇānnaraḥ // KūrmP_2,34.32 //	tam dRzwvA sarva pApeByaH mucyate tad kzaNAt naraH // KUrmP_2,34.32 //
   anyat kubjāmramatulaṃ sthānaṃ viṣṇormahātmanaḥ /	anyat kubjAmram atulam sTAnam vizNoH mahAtmanaH /
   saṃpūjya puruṣaṃ viṣṇuṃ śvetadvīpe mahīyate // KūrmP_2,34.33 //	saMpUjya puruzam vizNum SvetadvIpe mahIyate // KUrmP_2,34.33 //
   yatra nārāyaṇo devo rudreṇa tripurāriṇā /	yatra nArAyaNaH devaH rudreNa tripurAriNA /
   kṛtvā yajñasya mathanaṃ dakṣasya tu visarjitaḥ // KūrmP_2,34.34 //	kRtvA yajQasya maTanam dakzasya tu visarjitaH // KUrmP_2,34.34 //
   samantād yojanaṃ kṣetraṃ siddharṣigaṇavanditam /	samantAt yojanam kzetram sidDa Rzi gaNa vanditam /
   puṇyamāyatanaṃ viṣṇostatrāste puruṣottamaḥ // KūrmP_2,34.35 //	puNyam Ayatanam vizNoH tatra Aste puruzottamaH // KUrmP_2,34.35 //
   anyat kokāmukhaṃ viṣṇostīrthamadbhutakarmaṇaḥ /	anyat kokAmuKam vizNoH tIrTam adButa karmaNaH /
   mṛto 'tra pātakairmukto viṣṇusārūpyamāpnuyāt // KūrmP_2,34.36 //	mRtaH atra pAtakEH muktaH vizNu sArUpyam ApnuyAt // KUrmP_2,34.36 //
   śālagrāmaṃ mahātīrthaṃ viṣṇoḥ prītivivardhanam /	SAlagrAmam mahA tIrTam vizNoH prIti vivarDanam /
   prāṇāṃstatra narastyaktvā hṛṣīkeṣaṃ prapaśyati // KūrmP_2,34.37 //	prANAn= tatra naraH tyaktvA hRzIkezam prapaSyati // KUrmP_2,34.37 //
   aśvatīrthamiti khyātaṃ siddhāvāsaṃ supāvanam /	aSvatIrTam iti KyAtam sidDAvAsam su pAvanam /
   āste hayaśirā nityaṃ tatra nārāyaṇaḥ svayam // KūrmP_2,34.38 //	Aste hayaSirAH nityam tatra nArAyaNaH svayam // KUrmP_2,34.38 //
   tīrthaṃ trailokyavikhyātaṃ brahmaṇaḥ parameṣṭhinaḥ /	tIrTam trElokya viKyAtam brahmaNaH paramezWinaH /
   puṣkaraṃ sarvapāpaghnaṃ mṛtānāṃ brahmalokadam // KūrmP_2,34.39 //	puzkaram sarva pApa Gnam mRtAnAm brahma loka dam // KUrmP_2,34.39 //
   manasā saṃsmared yastu puṣkaraṃ vai dvijottamaḥ /	manasA saMsmaret yaH tu puzkaram vE dvijottamaH /
   pūyate pātakaiḥ sarvaiḥ śakreṇa saha modate // KūrmP_2,34.40 //	pUyate pAtakEH sarvEH SakreNa saha modate // KUrmP_2,34.40 //
   tatra devāḥ sagandharvāḥ sayakṣoragarākṣasāḥ /	tatra devAH sa ganDarvAH sa yakza uraga rAkzasAH /
   upāsate siddhasaṅghā brahmaṇaṃ padmasaṃbhavam // KūrmP_2,34.41 //	upAsate sidDa saFGAH brahmaNam padmasaMBavam // KUrmP_2,34.41 //
   tatra strātvā bhavecchuddho brahmāṇaṃ parameṣṭhinam /	tatra strAtvA Bavet SudDaH brahmANam paramezWinam /
   pūjayitvā dvijavarān brahmāṇaṃ saṃprapaṣyati // KūrmP_2,34.42 //	pUjayitvA dvija varAn brahmANam saMprapazyati // KUrmP_2,34.42 //
   tatrābhigamya deveśaṃ puruhūtamaninditam /	tatra aBigamya deveSam puruhUtam aninditam /
   surūpo jāyate martyaḥ sarvān kāmānavāpnuyāt // KūrmP_2,34.43 //	surUpaH jAyate martyaH sarvAn kAmAn avApnuyAt // KUrmP_2,34.43 //
   saptasārasvataṃ tīrthaṃ brahmādyaiḥ sevitaṃ param /	saptasArasvatam tIrTam brahma AdyEH sevitam param /
   pūjayitvā tatra rudramaśvamedhaphalaṃ labhet // KūrmP_2,34.44 //	pUjayitvA tatra rudram aSvameDa Palam laBet // KUrmP_2,34.44 //
   yatra maṅkaṇako rudraṃ prapannaḥ parameśvaram /	yatra maFkaNakaH rudram prapannaH parameSvaram /
   ārādhayāmāsa haraṃ pañcakṣaraparāyaṇaḥ // KūrmP_2,34.45 //	ArADayAmAsa haram paQcakzara parAyaNaH // KUrmP_2,34.45 //
   namaḥ śivāyeti muniḥ japan pañcākṣaraṃ param /	namaH SivAya iti muniH japan paQcAkzaram param /
   ārādhayāmāsa śivaṃ tapasā govṛṣadhvajam // KūrmP_2,34.46 //	ArADayAmAsa Sivam tapasA go vRza Dvajam // KUrmP_2,34.46 //
   prajajvālātha tapasā munirmaṅkaṇakastadā /	prajajvAla aTa tapasA muniH maFkaNakaH tadA /
   nanarta harṣavegena jñātvā rudraṃ samāgatam // KūrmP_2,34.47 //	nanarta harza vegena jQAtvA rudram samAgatam // KUrmP_2,34.47 //
   taṃ prāha bhagavān rudraḥ kimarthaṃ nartitaṃ tvayā /	tam prAha BagavAn rudraH kim arTam nartitam tvayA /
   dṛṣṭvāpi devamīśānaṃ nṛtyati sma punaḥ punaḥ // KūrmP_2,34.48 //	dRzwvA api devam ISAnam nRtyati sma punar punar // KUrmP_2,34.48 //
   so 'nvīkṣya bhagavānīśaḥ sagarvaṃ garvaśāntaye /	saH anvIkzya BagavAn ISaH sa garvam garva SAntaye /
   svakaṃ dehaṃ vidāryāsmai bhasmarāśimadarśayat // KūrmP_2,34.49 //	svakam deham vidArya asmE Basma rASim adarSayat // KUrmP_2,34.49 //
   paśyemaṃ maccharīrotthaṃ bhasmarāśiṃ dvijottama /	paSya imam mad SarIra utTam Basma rASim dvijottamaH /
   māhātmyametat tapasastvādṛśo 'nyo 'pi vidyate // KūrmP_2,34.50 //	mAhAtmyam etat tapasaH tvAdRSaH anyaH api vidyate // KUrmP_2,34.50 //
   yat sagarvaṃ hi bhavatā nartitaṃ munipuṅgava /	yat sa garvam hi BavatA nartitam muni puFgava /
   na yuktaṃ tāpasasyaitat tvattopyatrādhiko hyaham // KūrmP_2,34.51 //	na yuktam tApasasya etat tvad topyatra aDikaH hi aham // KUrmP_2,34.51 //
   ityābhāṣya muniśreṣṭhaṃ sa rudraḥ kila viśvadṛk /	iti ABAzya muni SrezWam sa rudraH kila viSvadRS /
   āsthāya paramaṃ bhāvaṃ nanarta jagato haraḥ // KūrmP_2,34.52 //	AsTAya paramam BAvam nanarta jagataH haraH // KUrmP_2,34.52 //
   sahasraśīrṣā bhūtvā sahasrākṣaḥ sahasrapāt /	sahasra SIrzA BUtvA sahasrAkzaH sahasrapAd /
   daṃṣṭrākarālavadano jvālāmālī bhayaṅkaraḥ // KūrmP_2,34.53 //	daMzwrA karAla vadanaH jvAlA mAlI BayaFkaraH // KUrmP_2,34.53 //
   so 'nvapaśyadaśeṣasya pārśve tasya triśūlinaḥ /	saH anvapaSyat aSezasya pArSve tasya triSUlinaH /
   viśālalocanamekāṃ devīṃ cāruvilāsinīm /	viSAla locanam ekAm devIm cAru vilAsinIm /
   sūryāyutasamaprakhyāṃ prasannavadanāṃ śivām // KūrmP_2,34.54 //	sUrya ayuta sama praKyAm prasanna vadanAm SivAm // KUrmP_2,34.54 //
   sasmitaṃ prekṣya viśveśaṃ tiṣṭhantīmamitadyutim /	sa smitam prekzya viSveSam tizWantIm amita dyutim /
   dṛṣṭvā saṃtrastahṛdayo vepamāno munīśvaraḥ /	dRzwvA saMtrasta hRdayaH vepamAnaH muni ISvaraH /
   nanāma śirasā rudraṃ rudrādhyāyaṃ japan vaśī // KūrmP_2,34.55 //	nanAma SirasA rudram rudrADyAyam japan vaSI // KUrmP_2,34.55 //
   prasanno bhagavānīśastryambako bhaktavatsalaḥ /	prasannaH BagavAn ISaH tryambakaH Bakta vatsalaH /
   pūrvaveṣaṃ sa jagrāha devī cāntarhitābhavat // KūrmP_2,34.56 //	pUrva vezam sa jagrAha devI ca antarhitA aBavat // KUrmP_2,34.56 //
   āliṅgya bhaktaṃ praṇataṃ devadevaḥ svayaṃśivaḥ /	AliFgya Baktam praNatam devadevaH svayaMSivaH /
   na bhetavyaṃ tvayā vatsa prāha kiṃ te dadāmyaham // KūrmP_2,34.57 //	na Betavyam tvayA vatsa prAha kim te dadAmi aham // KUrmP_2,34.57 //
   praṇamya mūrdhnā giriśaṃ haraṃ tripurasūdanam /	praNamya mUrDnA giriSam haram tripura sUdanam /
   vijñāpayāmāsa tadā hṛṣṭaḥ praṣṭumanā muniḥ // KūrmP_2,34.58 //	vijQApayAmAsa tadA hRzwaH prazwu manAH muniH // KUrmP_2,34.58 //
   namo 'stu te mahādeva maheśvara namo 'stu te /	namaH astu te mahAdeva maheSvara namaH astu te /
   kimetad bhagavadrūpaṃ sughoraṃ viśvatomukham // KūrmP_2,34.59 //	kim etat Bagavat rUpam su Goram viSvatomuKam // KUrmP_2,34.59 //
   kā ca sā bhagavatpārśve rājamānā vyavasthitā /	kA ca sA Bagavat pArSve rAjamAnA vyavasTitAH /
   antarhiteva sahasā sarvamicchāmi veditum // KūrmP_2,34.60 //	antarhitA iva sahasA sarvam icCAmi veditum // KUrmP_2,34.60 //
   ityukte vyājahāramaṃ tathā maṅkaṇakaṃ haraḥ /	iti ukte vyAjahAramam taTA maFkaNakam haraH /
   maheśaḥ svātmano yogaṃ devīṃ ca tripurānalaḥ // KūrmP_2,34.61 //	maheSaH sva AtmanaH yogam devIm ca tripura analaH // KUrmP_2,34.61 //
   ahaṃ sahasranayanaḥ sarvātmā sarvatomukhaḥ /	aham sahasranayanaH sarva AtmA sarvatomuKaH /
   dāhakaḥ sarvapāpānāṃ kālaḥ kālakaro haraḥ // KūrmP_2,34.62 //	dAhakaH sarva pApAnAm kAlaH kAla karaH haraH // KUrmP_2,34.62 //
   mayaiva preryate kṛtsnaṃ cetanācetanātmakam /	mayA eva preryate kRtsnam cetana acetana Atmakam /
   so 'ntaryāmī sa puruṣo hyahaṃ vai puruṣottamaḥ // KūrmP_2,34.63 //	saH antaryAmI sa puruzaH hi aham vE puruzottamaH // KUrmP_2,34.63 //
   tasya sā paramā māyā prakṛtistriguṇātmikā /	tasya sA paramA mAyA prakRtiH triguNa AtmikA /
   procyate munirbhiśaktirjagadyoniḥ sanātanī // KūrmP_2,34.64 //	procyate muniH BiSaktiH jagat yoniH sanAtanI // KUrmP_2,34.64 //
   sa eṣa māyayā viśvaṃ vyāmohayati viśvavit /	saH eza mAyayA viSvam vyAmohayati viSva vid /
   nārāyaṇaḥ paro 'vyakto māyārūpa iti śrutiḥ // KūrmP_2,34.65 //	nArAyaNaH paraH avyaktaH mAyA rUpaH iti SrutiH // KUrmP_2,34.65 //
   evametajjagat sarvaṃ sarvadā sthāpayāmyaham /	evam etat jagat sarvam sarvadA sTApayAmi aham /
   yojayāmi prakṛtyāhaṃ puruṣaṃ pañcaviṃśakam // KūrmP_2,34.66 //	yojayAmi prakRtyA aham puruzam paQcaviMSakam // KUrmP_2,34.66 //
   tathā vai saṃgato devaḥ kūṭasthaḥ sarvago 'malaḥ /	taTA vE saMgataH devaH kUwasTaH sarvagaH amalaH /
   sṛjatyaśeṣamevedaṃ svamūrteḥ prakṛterajaḥ // KūrmP_2,34.67 //	sRjati aSezam eva idam sva mUrteH prakRteH ajaH // KUrmP_2,34.67 //
   sa devo bhagavān brahmā viśvarūpaḥ pitāmahaḥ /	sa devaH BagavAn brahmA viSva rUpaH pitAmahaH /
   tavaitat kathitaṃ samyak straṣṭvatvaṃ paramātmanaḥ // KūrmP_2,34.68 //	tava etat kaTitam samyak strazwva tvam paramAtmanaH // KUrmP_2,34.68 //
   eko 'haṃ bhagavān kalo hyanādiścāntakṛd vibhuḥ /	ekaH aham BagavAn kalaH hi anAdiH ca anta kRt viBuH /
   samāsthāya paraṃ bhāvaṃ prokto rudro manīṣibhiḥ // KūrmP_2,34.69 //	samAsTAya param BAvam proktaH rudraH manIziBiH // KUrmP_2,34.69 //
   mama vai sāparā śaktirdevī vidyeti viśrutā /	mama vE sA aparA SaktiH devI vidyA iti viSrutA /
   dṛṣṭā hi bhavatā nūnaṃ vidyādehastvahaṃ tataḥ // KūrmP_2,34.70 //	dRzwA hi BavatA nUnam vidyA dehaH tu aham tatas // KUrmP_2,34.70 //
   evametāni tattvāni pradhānapuruṣeśvarāḥ /	evam etAni tattvAni praDAna puruza ISvarAH /
   viṣṇurbrahmā ca bhagavān rudraḥ kāla iti śrutiḥ // KūrmP_2,34.71 //	vizNuH brahmA ca BagavAn rudraH kAlaH iti SrutiH // KUrmP_2,34.71 //
   trayametadanādyantaṃ brahmaṇyeva vyavasthitam /	trayam etat anAdi antam brahmaNi eva vyavasTitam /
   tadātmakaṃ tadavyaktaṃ tadakṣaramiti śrutiḥ // KūrmP_2,34.72 //	tad Atmakam tat avyaktam tat akzaram iti SrutiH // KUrmP_2,34.72 //
   ātmānandaparaṃ tattvaṃ cinmātraṃ paramaṃ padam /	Atma Ananda param tattvam cit mAtram paramam padam /
   ākāśaṃ niṣkalaṃ brahma tasmādanyanna vidyate // KūrmP_2,34.73 //	AkASam nizkalam brahma tasmAt anyat na vidyate // KUrmP_2,34.73 //
   evaṃ vijñāya bhavatā bhaktiyogāśrayeṇa tu /	evam vijQAya BavatA Bakti yoga ASrayeNa tu /
   saṃpūjyo vandanīyo 'haṃ tatastaṃ paśya śāśvatam // KūrmP_2,34.74 //	saMpUjyaH vandanIyaH aham tatas tam paSya SASvatam // KUrmP_2,34.74 //
   etāvaduktvā bhagavāñjagāmādarśanaṃ haraḥ /	etAvat uktvA BagavAn jagAma adarSanam haraH /
   tatraiva bhaktiyogena rudrāmārādhayanmuniḥ // KūrmP_2,34.75 //	tatra eva Bakti yogena rudrAm ArADayat muniH // KUrmP_2,34.75 //
   etat pavitramatulaṃ tīrthaṃ brahmarṣisevitam /	etat pavitram atulam tIrTam brahmarzi sevitam /
   saṃsevya brāhmaṇo vidvān mucyate sarvapātakaiḥ // KūrmP_2,34.76 //	saMsevya brAhmaNaH vidvAn mucyate sarva pAtakEH // KUrmP_2,34.76 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge catustriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge catustriMSaH 
   'dhyāyaḥ	aDyAyaH
   sūta uvāca	sUtaH uvAca
   anyat pavitraṃ vipulaṃ tīrthaṃ trailokyaviśrutam /	anyat pavitram vipulam tIrTam trElokya viSrutam /
   rudrakoṭiriti khyātaṃ rudrasya parameṣṭhinaḥ // KūrmP_2,35.1 //	rudrakowiH iti KyAtam rudrasya paramezWinaH // KUrmP_2,35.1 //
   purā puṇyatame kāle devadarśanatatparāḥ /	purA puNyatame kAle deva darSana tatparAH /
   koṭibrahmarṣayo dāntāstaṃ deśamagaman param // KūrmP_2,35.2 //	kowi brahmarzayaH dAntAH tam deSam agaman param // KUrmP_2,35.2 //
   ahaṃ drakṣyāmi giriśaṃ pūrvameva pinākinam /	aham drakzyAmi giriSam pUrvam eva pinAkinam /
   anyo 'nyaṃ bhaktiyuktānāṃ vyāghāto jāyate kila // KūrmP_2,35.3 //	anyaH anyam Bakti yuktAnAm vyAGAtaH jAyate kila // KUrmP_2,35.3 //
   teṣāṃ bhaktiṃ tadā dṛṣṭvā giriśo yogināṃ guruḥ /	tezAm Baktim tadA dRzwvA giriSaH yoginAm guruH /
   koṭirūpo 'bhavad rudro rudrakoṭistataḥ smṛtaḥ // KūrmP_2,35.4 //	kowi rUpaH aBavat rudraH rudra kowiH tatas smRtaH // KUrmP_2,35.4 //
   te sma sarve mahādevaṃ haraṃ giriguhāśayam /	te sma sarve mahAdevam haram giri guhA ASayam /
   paśyantaḥ pārvatīnāthaṃ hṛṣṭapuṣṭadhiyo 'bhavan // KūrmP_2,35.5 //	paSyantaH pArvatI nATam hRzwa puzwa DiyaH aBavan // KUrmP_2,35.5 //
   anādyantaṃ mahādevaṃ pūrvamevāhamīśvaram /	anAdi antam mahAdevam pUrvam eva aham ISvaram /
   dṛṣṭavāniti bhaktyā te rudranyastadhiyo 'bhavan // KūrmP_2,35.6 //	dRzwavAn iti BaktyA te rudra nyasta DiyaH aBavan // KUrmP_2,35.6 //
   athāntarikṣe vimalaṃ paśyanti sma mahattaram /	aTa antarikze vimalam paSyanti sma mahattaram /
   jyotistatraiva te sarve 'bhilaṣantaḥ paraṃ padam // KūrmP_2,35.7 //	jyotiH tatra eva te sarve aBilazantaH param padam // KUrmP_2,35.7 //
   etat sadeśādhyuṣitaṃ tīrthaṃ puṇyatamaṃ śubham /	etat sa deSa aDyuzitam tIrTam puNyatamam SuBam /
   dṛṣṭvā rudraṃ samabhyarcya rudrasāmīpyamāpnuyāt // KūrmP_2,35.8 //	dRzwvA rudram samaByarcya rudra sAmIpyam ApnuyAt // KUrmP_2,35.8 //
   anyacca tīrthapravaraṃ nāmnā madhuvanaṃ smṛtam /	anyat ca tIrTa pravaram nAmnA maDuvanam smRtam /
   tatra gatvā niyamavānindrasyārdhāsanaṃ labhet // KūrmP_2,35.9 //	tatra gatvA niyamavAn indrasya arDAsanam laBet // KUrmP_2,35.9 //
   athānyatpuṣpanagarī deśaḥ puṇyatamaḥ śubhaḥ /	aTa anyat puzpa nagarI deSaH puNyatamaH SuBaH /
   tatra gatvā pitṝn pūjya kulānāṃ tārayecchatam // KūrmP_2,35.10 //	tatra gatvA pitLn pUjya kulAnAm tArayet Satam // KUrmP_2,35.10 //
   kālañjaraṃ mahātīrthaṃ loke rudro maheśvaraḥ /	kAlaQjaram mahA tIrTam loke rudraH maheSvaraH /
   kālaṃ jaritavān devo yatra bhaktipriyo haraḥ // KūrmP_2,35.11 //	kAlam jaritavAn devaH yatra Bakti priyaH haraH // KUrmP_2,35.11 //
   śveto nāma śive bhakto rājarṣipravaraḥ purā /	SvetaH nAma Sive BaktaH rAjarzi pravaraH purA /
   tadāśīstannamaskāraḥ pūjayāmāsa śūlinam // KūrmP_2,35.12 //	tad ASIH tad namaskAraH pUjayAmAsa SUlinam // KUrmP_2,35.12 //
   saṃsthāpya vidhinā liṅgaṃ bhaktiyogapuraḥ saraḥ /	saMsTApya viDinA liFgam Bakti yoga puras saraH /
   jajāpa rudramaniśaṃ tatra saṃnyastamānasaḥ // KūrmP_2,35.13 //	jajApa rudram aniSam tatra saMnyasta mAnasaH // KUrmP_2,35.13 //
   sa taṃ kālo 'tha dīptātmā śūlamādāya bhīṣaṇam /	sa tam kAlaH aTa dIpta AtmA SUlam AdAya BIzaNam /
   netumabhyāgato deśaṃ sa rājā yatra tiṣṭhati // KūrmP_2,35.14 //	netum aByAgataH deSam sa rAjA yatra tizWati // KUrmP_2,35.14 //
   vīkṣya rājā bhayāviṣṭaḥ śūlahastaṃ samāgatam /	vIkzya rAjA Baya AvizwaH SUla hastam samAgatam /
   kālaṃ kālakaraṃ ghoraṃ bhīṣaṇaṃ caṇḍadīdhitim // KūrmP_2,35.15 //	kAlam kAla karam Goram BIzaNam caNxa dIDitim // KUrmP_2,35.15 //
   ubābhyāmatha hastābhyāṃ spṛṭvāsau liṅgamaiśvaram /	ubAByAm aTa hastAByAm spRwvA asO liFgam ESvaram /
   nanāma śirasā rudraṃ jajāpa śatarudriyam // KūrmP_2,35.16 //	nanAma SirasA rudram jajApa Satarudriyam // KUrmP_2,35.16 //
   japantamāha rājānaṃ namantamasakṛd bhavam /	japantam Aha rAjAnam namantam asakRt Bavam /
   ehyehīti puraḥ sthitvā kṛtāntaḥ prahasanniva // KūrmP_2,35.17 //	ehi ehi iti puras sTitvA kRtAntaH prahasan= iva // KUrmP_2,35.17 //
   tamuvāca bhayāviṣṭo rājā rudraparāyaṇaḥ /	tam uvAca Baya AvizwaH rAjA rudra parAyaNaH /
   ekamīśārcanarataṃ vihāyānyaṃ niṣūdaya // KūrmP_2,35.18 //	ekam ISa arcana ratam vihAya anyam nizUdaya // KUrmP_2,35.18 //
   ityuktavantaṃ bhagavānabravīd bhītamānasam /	iti uktavantam BagavAn abravIt BIta mAnasam /
   rudrārcanarato vānyo madvaśe ko na tiṣṭhati // KūrmP_2,35.19 //	rudra arcana rataH vA anyaH mad vaSe kaH na tizWati // KUrmP_2,35.19 //
   evamuktvā sa rājānaṃ kālo lokaprakālanaḥ /	evam uktvA sa rAjAnam kAlaH loka prakAlanaH /
   babandha pāśai rājāpi jajāpa śatarudriyam // KūrmP_2,35.20 //	babanDa pASEH rAjA api jajApa Satarudriyam // KUrmP_2,35.20 //
   athāntarikṣe vimalaṃ dīpyamānaṃ	aTa antarikze vimalam dIpyamAnam
   tejorāśiṃ bhūtabhartuḥ purāṇam /	tejaH rASim BUta BartuH purANam /
   jvālāmālāsaṃvṛtaṃ vyāpya viśvaṃ	jvAlA mAlA saMvRtam vyApya viSvam
   prādurbhūtaṃ saṃsthitaṃ saṃdadarśa // KūrmP_2,35.21 //	prAdurBUtam saMsTitam saMdadarSa // KUrmP_2,35.21 //
   tanmadhye 'sau puruṣaṃ rukmavarṇaṃ	tad maDye asO puruzam rukma varNam
   devyā devaṃ candralekhojjvalāṅgam /	devyAH devam candra leKA ujjvala aFgam /
   tejorūpaṃ paśyati smātihṛṣṭo	tejaH rUpam paSyati sma ati hRzwaH 
   mene cāsmannātha āgacchatīti // KūrmP_2,35.22 //	mene ca asmad nATaH AgacCati iti // KUrmP_2,35.22 //
   āgacchantaṃ nātidūre 'tha dṛṣṭvā	AgacCantam na ati dUre aTa dRzwvA
   kālo rudraṃ devadevyā maheśam /	kAlaH rudram devadevyA maheSam /
   vyapetabhīrakhileśaikanāthaṃ	vyapeta BIra Kila ISa eka nATam
   rājarṣistaṃ netumabhyājagāma // KūrmP_2,35.23 //	rAjarziH tam netum aByAjagAma // KUrmP_2,35.23 //
   ālokyāsau bhagavānugrakarmā	Alokya asO BagavAn ugra karmA
   devo rudro bhūtabhartā purāṇaḥ /	devaH rudraH BUta BartA purANaH /
   ekaṃ bhaktaṃ matparaṃ māṃ smarantaṃ	ekam Baktam mad param mAm smarantam
   dehītīmaṃ kālamūce mameti // KūrmP_2,35.24 //	dehi iti imam kAlam Uce mama iti // KUrmP_2,35.24 //
   śrutvā vākhyaṃ gopaterugrabhāvaḥ	SrutvA vA AKyam gopateH ugra BAvaH
   kālātmāsau manyamānaḥ svabhāvam /	kAla AtmA asO manyamAnaH svaBAvam /
   baddhvā bhaktaṃ punarevātha pāśaiḥ	badDvA Baktam punar eva aTa pASEH
   kruddho rudramabhidudrāva vegāt // KūrmP_2,35.25 //	krudDaH rudram aBidudrAva vegAt // KUrmP_2,35.25 //
   prekṣyāyāntaṃ śailaputrīmatheśaḥ	prekzya AyAntam SElaputrIm aTa ISaH
   so 'nvīkṣyānte viśvamāyāvidhijñaḥ /	saH anvIkzya ante viSva mAyA viDi jQaH /
   sāvajñaṃ vai vāmapādena mṛtyuṃ	sa avajQam vE vAma pAdena mRtyum
   śvetasyainaṃ paśyato vyājaghāna // KūrmP_2,35.26 //	Svetasya enam paSyataH vyAjaGAnaH // KUrmP_2,35.26 //
   mamāra so 'tibhīṣaṇo maheśapādaghātitaḥ /	mamAra saH ati BIzaNaH maheSa pAda GAtitaH /
   rarāja devatāpatiḥ sahomayā pinākadhṛk // KūrmP_2,35.27 //	rarAja devatA patiH saha umayA pinAkaDRk // KUrmP_2,35.27 //
   nirīkṣya devamīśvaraṃ prahṛṣṭamānaso haram /	nirIkzya devam ISvaram prahRzwa mAnasaH haram /
   nanāma sāmbamavyayaṃ sa rājapuṅgavastadā // KūrmP_2,35.28 //	nanAma sa ambam avyayam sa rAja puFgavaH tadA // KUrmP_2,35.28 //
   namo bhavāya hetave harāya viśvasaṃbhave /	namaH BavAya hetave harAya viSva saMBave /
   namaḥ śivāya dhīmate namo 'pavargadāyine // KūrmP_2,35.29 //	namaH SivAya DImate namaH apavarga dAyine // KUrmP_2,35.29 //
   namo namo namo 'stu te mahāvibhūtaye namaḥ /	namaH namaH namaH astu te mahA viBUtaye namaH /
   vibhāgahīnarūpiṇe namo narādhipāya te // KūrmP_2,35.30 //	viBAga hIna rUpiNe namaH narADipAya te // KUrmP_2,35.30 //
   namo 'stu te gaṇeśvara prapannaduḥ khanāśana /	namaH astu te gaNeSvara prapannaduH Ka nASana /
   anādinityabhūtaye varāhaśṛṅgadhāriṇe // KūrmP_2,35.31 //	anAdi nitya BUtaye varAha SRFga DAriNe // KUrmP_2,35.31 //
   namo vṛṣadhvajāya te kapālamāline namaḥ /	namaH vRzaDvajAya te kapAla mAline namaH /
   namo mahānaṭāya te namo vṛṣadhvajāya te // KūrmP_2,35.32 //	namaH mahAnawAya te namaH vRzaDvajAya te // KUrmP_2,35.32 //
   athānugṛhya śaṅkaraḥ praṇāmatatparaṃ nṛpam /	aTa anugRhya SaFkaraH praNAma tatparam nRpam /
   svagāṇapatyamavyayaṃ sarūpatāmatho dadau // KūrmP_2,35.33 //	sva gANapatyam avyayam sarUpa tAm aTo dadO // KUrmP_2,35.33 //
   sahomayā sapārṣadaḥ sarājapuṅgavo haraḥ /	saha umayA sa pArzadaH sa rAja puFgavaH haraH /
   munīśasiddhavanditaḥ kṣaṇādadṛśyatāmagāt // KūrmP_2,35.34 //	muni ISa sidDa vanditaH kzaNAt adRSya tAm agAt // KUrmP_2,35.34 //
   kāle maheśābhihate lokanāthaḥ pitāmahaḥ /	kAle maheSa aBihate lokanATaH pitAmahaH /
   ayācata varaṃ rudraṃ sajīvo 'yaṃ bhavatviti // KūrmP_2,35.35 //	ayAcata varam rudram sa jIvaH ayam Bavatu iti // KUrmP_2,35.35 //
   nāsti kaścidapīśāna doṣaleśo vṛṣadhvaja /	na asti kaScid api ISAna doza leSaH vRzaDvaja /
   kṛtāntasyaiva bhavatā tatkārye viniyojitaḥ // KūrmP_2,35.36 //	kRtAntasya eva BavatA tad kArye viniyojitaH // KUrmP_2,35.36 //
   sa devadevavacanād devadeveśvaro haraḥ /	sa devadeva vacanAt devadeveSvaraH haraH /
   tathāstvityāha viśvātmā so 'pi tādṛgvidho 'bhavat // KūrmP_2,35.37 //	taTA astu iti Aha viSvAtmA saH api tAdRgviDaH aBavat // KUrmP_2,35.37 //
   ityetat paramaṃ tīrthaṃ kālañjaramiti śrutam /	iti etat paramam tIrTam kAlaQjaram iti Srutam /
   gatvābhyarcya mahādevaṃ gāṇapatyaṃ sa vindati // KūrmP_2,35.38 //	gatvA aByarcya mahAdevam gANapatyam sa vindati // KUrmP_2,35.38 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge pañcatriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge paQcatriMSaH 
   'dhyāyaḥ	aDyAyaH
   sūta uvāca	sUtaH uvAca
