   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   liṅgaliṅgibhūtayorvyatirekavyāptyanvayavyāptyoranvayavyāptistayorvyatirekavyāptyānumitā	liFga liFgi BUtayoH vyatireka vyApti anvaya vyAptyoH anvaya vyAptiH tayoH vyatireka vyAptyA anumitA
   satī sātmakatvaprāṇādimatvaniṣṭhānvayavyāptyanumityanukūlāstvityata āha  	satI sa Atmaka tva prANa Adima tva nizWA anvaya vyApti anumiti anukUlAH tu iti atas Aha  
   tatrāpīti//	tatra api iti//
   1.tāvanva  ka.ṭa.rā. 2.rūpapadamadhikam  ṭa.ḍa.	1.tA= anva  ka.wa.rA. 2.rUpa padam aDikam wa.xa.
   apraddha viśesya dotvaṅgaḥ) anumādoṣavādaḥ pu   265.	apradDa  viSesya  dotvaFgaH) anumA da Uza vAdaH pu  265.
   tatrāpi vyatirekavyāptyāśrayaṇe cānavastheti nirastam/	tatra api vyatireka vyApti ASrayaNe ca anavasTA iti nirastam /
   yadyadabhāvavyāpakābhāvapratiyogi tattena vyāptaṃ yathā dhūmognineti	yat yat aBAva vyApaka aBAva pratiyogi tat tena vyAptam yaTA DUma ugninA iti
   sāmānyavyāpteḥ/ anupapattirūpāyā viśiṣyānvayavyāpteśca darśitatvāt/ evaṃ	sAmAnya vyApteH/ anupapatti rUpAyAH viSizya anvaya vyApteH ca darSita tva at/ evam
   śabdaḥ aṣṭadravyātiriktadravyāśritaḥ, aṣṭadravyāśritatve bādhakopapannatve	SabdaH azwa dravya atirikta dravya ASritaH, azwa dravya ASrita tve bADaka upapanna tve
   sati guṇatvāt/ gaganamitarebhyo bhidyate śabdā 1	sati guNa tvAt/ gaganam itareByaH Bidyate SabdAH 1
   śrayatvādityādikevalavyatirekiṣvapi yoyadā 2	Srayatu At ityAdi kevala vyatirekizu api yaH yadA 2
   śrayatve bādhakopapannatve sati guṇaḥ sa tadanyāśritaḥ, yadya 3	Srayatve bADaka upapanna tve sati guNaH sa tad anya ASritaH, yadya 3
   dasādhāraṇadharmavat tatto bhidyata iti sāmānyavyāptirvā/ kaṇādopadeśādinā	dasA DAraNa Darma vat tat taH Bidyate iti sAmAnya vyAptiH vA/ kaNAda upadeSa AdinA
   śabde gagane ca sādhyasādhane upalabdavataḥ"tadanyatra sarvatra tadabhāvaṃ	Sabde gagane ca sADya sADane upalabdavataH"tat anyatra sarvatra tad aBAvam
   ca paśyata"ityādi pūrvoktarītyā vyatirekavyāptyā 4 viśiṣyānvayavyāptirvā	ca paSyata" ityAdi pUrva ukta rItyA vyatireka vyAptyA 4 viSizya anvaya vyAptiH vA
   anupapattirūpā viśiṣṭānvayavyaptirvā upapādyā //	anupapatti rUpA viSizwa anvaya vyaptiH vA upapAdyAH //
   vyatirekyantareṣvapi sudhoktaṃ hṛdi kṛtvā prāguktarītyānvayavyāptiṃ	vyatireki antarezu api suDA uktam hRdi kRtvA prAk ukta rItyA anvaya vyAptim
   tredhopapādayati    evamityādinā//	treDA upapAdayati   evam ityAdinA//
   yattu maṇyāditārkikagranthe vyatirekyanugrahārthaṃ	yat tu maNyAdi tArkika granTe vyatireki anugraha arTam
   sāmānyaprasiddhisaṃpādakaṃ sāmānyatodṛṣṭānumānaṃ niyamiti tatkathanaṃ	sAmAnya prasidDi saMpAdakam sAmAnyatodRzwa anumAnam niyam iti tat kaTanam
   tadāśaṅkya nirāha  	tat ASaFkya nirAha  
   1.śrayatvādityādi vyatire  ka.ṭa.rā. 2.dāśritatve  ga.ṭa. 3.davṛttidharmā	1.Sraya tvAt ityAdi vyatire  ka.wa.rA. 2.da ASrita tve  ga.wa. 3.da vRtti DarmA
    ka.ṭa.rā. 4. ptyanumiteti śodhitam  ṭa.	 ka.wa.rA. 4. pti anumitA iti SoDitam  wa.
   pu   266. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  266. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   nacā 1 trāpi śabdaḥ kvacidāśrito guṇatvādityanumānena sādhyaṃ sāmānyataḥ	nacAH 1 trApi SabdaH kvacid ASritaH guNa tvAt iti anumAnena sADyam sAmAnyatas 
   prasiddhamiti vācyam/ uktarītyā sādhyāpramitāvapi tredhā	prasidDam iti vAcyam/ ukta rItyA sADya apramitO= api treDA
   vyāptigrahasaṃbhavena sāmānyatodṛṣṭānapekṣaṇāt//	vyApti graha saMBavena sAmAnyatodRzwa anapekzaNa at//
   kiñca sāmānyatodṛṣṭasyāvaśyakatve tadeva tarkaṃ	kiQca sAmAnyatodRzwasya AvaSyaka tve tat eva tarkam
   vinākṛtamanirdhāritāśrayaviśeṣamāśritatva 2 sāmānyaṃ gṛṅṇadapi	vinAkRtam anirDArita ASraya viSezam ASrita tva 2 sAmAnyam gRFNat api
   itarabādhakatarkānugṛhītaṃ	itara bADaka tarka anugRhItam
   punaranusandhīyamānamaṣṭātiriktāśritatvarūpaviśeṣameva grahīṣyati/	punar anusanDIyamAnam azwa atirikta ASrita tva rUpa viSezam eva grahIzyati/
   ekasyaiva sahakārivaicitryeṇa vicitrakāryajanakatvadarśanāt/	ekasya eva saha kAri vEcitryeNa vicitra kArya janaka tva darSanAt/
   sāmānyasyaikaviśeṣabādhe viśeṣāntare paryavasānaniyamācceti kiṃ	sAmAnyasya eka viSeza bADe viSeza antare paryavasAna niyamAt ca iti kim
   vyatirekiṇā/ na cādṛṣṭadravyātiriktadravyāśritatvaprakārikā	vyatirekiNA/ na ca adRzwa dravya atirikta dravya ASrita tva prakArikA
   pratītirvyatirekisādhyā sā ca na sāmānyato dṛṣṭena 3 sidhyati tataḥ prāga	pratItiH vyatireki sADyA sA ca na sAmAnyatas dRzwena 3 siDyati tatas prAga
   4 nupasthiteriti śaṅkyam/ īśvarānumāne  	4 nupasTiteH iti SaFkyam/ ISvara anumAne  
   na ca tatrāpīti// tadapekṣāyāṃ bādhakaṃ cāha   kiñceti// itareti//	na ca tatra api iti// tad apekzAyAm bADakam ca aha  kiQca iti// itareti//
   itarāśritatve	itara ASrita tve
   yadbādhakaṃ tādṛśatarkānugṛhītamityarthaḥ/ ekasyaiveti//	yat bADakam tAdRSa tarka anugRhItam iti arTaH/ ekasya eva iti//
   kāryatvādyanumānaṃ lāghavatarkānugṛhītaṃ sat kartraikyamapi gṛhṇāti na	kArya tva Adi anumAnam lAGava tarka anugRhItam sat kartR A Ekyam api gRhNAti na
   cetkartṛmātraṃ gṛhṇāti/ saṃskārādisahakṛtaṃ cakṣurādi tattāmapi gṛhṇāti na	ced kartR mAtram gRhNAti/ saMskAra Adi saha kRtam cakzuH Adi tat tAm api gRhNAti na
   cedidantāmevetyevaṃ darśanādityarthaḥ/ vyāptibalācca sāmānyasyaiva viśeṣe	cedi dantAm eva iti evam darSanAt iti arTaH/ vyApti balAt ca sAmAnyasya eva viSeze
   paryavasānaṃ nyāyyamityāha   sāmānyasyeti// uddeśyasiddhyarthatvena	paryavasAnam nyAyyam iti Aha  sAmAnyasya iti// uddeSya sidDi arTa tvena
   vyatirekisārthakyamāśaṅkya nirāha    na cedityādinā //	vyatireki sArTakyam ASaFkya nirAha   na ced ityAdinA //
   1. ca tatrāpi ka. ṭa.rā. 2.jñānetyadhikam ga.rā. 3.nanasi  ga.ṭa.rā.	1. ca tatra api ka. wa.rA. 2.jQAna iti aDikam ga.rA. 3.nanasi ga.wa.rA.
   4.guktarūpasya prakārasyā, 5.anuvyavasāye ityādi nāsti  ga.rā.	4.gukta rUpasya prakArasyA, 5.anu vyavasAye ityAdi nAsti ga.rA.
   apraddha viśesya dotvaṅgaḥ) anumādoṣavādaḥ pu   267.	apradDa  viSesya  dotvaFgaH) anumA da Uza vAdaH pu  267.
   kartraikatvavadanuvyavasāye rajatatvaprakārakatva 5 vadabhāvajñāne	kartrA ekatva vat anu vyavasAye rajata tva prakAraka tvaH 5 vada BAva jQAne
   'nuyogitvapratiyogitvādivacca prāganupasthitasyāpi	anuyogi tva pratiyogi tva Adi vat ca prAk anupasTitasya api
   prakāratvopapatteḥ//	prakAra tva upapatteH//
   nanu tathāpi kathañcitsādhyaprasiddhirāvaśyakīti tvayāpi svīkṛtatvatkathaṃ	nanu taTA api kaTaQcid sADya prasidDiH AvaSyakI iti tvayA api svIkRta tvat kaTam
   tadāvaśyakatvanirāsa iti cenna/ mama hi parābhipretāyāḥ pakṣādanyatra	tad AvaSyaka tva nirAsaH iti ced na/ mama hi para aBipretAyAH pakzAt anyatra
   sādhyatāvacchedakāvacchinnatvena prakāreṇa prativādinaṃ prati	sADya tAvacCedaka avacCinna tvena prakAreNa prativAdinam prati
   sādhyaprasiddherāvaśyakataiva nirasyā/ na tu pratītimātrasya / uktaṃ hi	sADya prasidDeH AvaSyaka tA eva nirasyA/ na tu pratIti mAtrasya / uktam hi
   ṭīkāyām/ pratyakṣeṇopadeśādinā vāsādhāraṇadharmāvekatropalabdhavata	wIkAyAm/ pratyakzeNa upadeSa AdinA vAsA DAraNa DarmO= ekatra upalabDavata
   ityādi/ ṭīkākārīyā pareṇa vyatirekiṇi sāmānyenānvayavyāptyādike śaṅkite	ityAdi/ wIkA kArIyA pareNa vyatirekiNi sAmAnyena anvaya vyApti Adike SaFkite
   taṃ prati kliṣṭakalpanatvoktistu vyatirekavādinastavānvayavyāptyuktiḥ  	tam prati klizwa kalpanatva uktiH tu vyatireka vAdinaH tava anvaya vyApti uktiH  
   kathaṃ ciditi// pramāprasādhāraṇyenetyarthaḥ/ svīkṛtatvāditi//	kaTam cit iti// pramA prasADa araNyena iti arTaH/ svIkRta tvAt iti//
   prativādinopi vādivākyāvagatetyādipūrvagranthena tathā pratīterapi bhāvaḥ/	prativAdinA upi vAdi vAkya avagata ityAdi pUrva granTena taTA pratIteH api BAvaH/
   uktaṃ hīti// bhaktipāde   "yathānubhavamevaitannāṅgīkāryaṃ	uktam hi iti// Bakti pAde   "yaTa anuBavam eva etat na aFgIkAryam
   kutastadā"ityetavdyākhyāvasare sudhāyāmityarthaḥ/ pūrvayatredhā	kutas tadA" iti etavdya AKya avasare suDAyAm iti arTaH/ pUrvayatreDA
   vyāptyupapādanaṃ vyatirekiṇi kṛtaṃ tatra	vyApti upapAdanam vyatirekiNi kRtam tatra
   bhaktipādīyasudhāvākyavirodhamāśaṅkya tadabhiprāyoktyā nirāha   	Bakti pAdIya suDA vAkya viroDam ASaFkya tad aBiprAya uktyA nirAha   
   ṭīkākārīyetyādinā//	wIkA kArIya ityAdinA//
   1. eveti nāsti  ga.ṭa.rā.	1. eva iti na asti  ga.wa.rA.
   pu   268. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  268. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   vyatirekitvahānyāpādakatvātkliṣṭetyabhiprāyeṇaiva/ na tu svamatepi	vyatireki tva hAni ApAdaka tvAt klizwa iti aBiprAyeNa eva/ na tu sva matepi
   kliṣṭetyabhiprāyeṇa/ siddhānte 'pi sāmānyavyāptyādeḥ satvādeva 1 /	klizwa iti aBiprAyeNa/ sidDAnte api sAmAnya vyApti AdeH satvAt eva 1 /
   tasmātsādhyāprasiddhirvyāptivighaṭiketi tṛtīyo na yuktaḥ//	tasmAt sADya aprasidDiH vyApti viGawikA iti tRtIyaH na yuktaH//
   taduktaṃ bhagavatpādaiḥ    asatyapi vyāptirastyeveti// sādhyasya	tat uktam Bagavat pAdEH   asatI api vyAptiH asti eva iti// sADyasya
   prasiddhatve 'satyapi sādhyaṃ vinānupapattirūpā vā,	prasidDa tve asati api sADyam vinA anupapatti rUpA vA,
   niyatasāmānādhikaraṇyaṃ vyāptiriti pakṣe 'pi sāmānyato 'nvayavyāptirvā	niyata sAmAnADikaraNyam vyAptiH iti pakze api sAmAnyatas anvaya vyAptiH vA
   vyatirekavyāptyanumitā viśiṣṭānvayavyāptirvā uktarītyāstyevetyarthaḥ//	vyatireka vyApti anumitA viSizwa anvaya vyAptiH vA ukta rItyA asti eva iti arTaH//
   nāpi caturthaḥ/ uktarītyā svena jñātasya sātmakamityādiśabdārthasya	na api caturTaH/ ukta rItyA svena jQAtasya sa Atmakam ityAdi Sabda arTasya
   vādināpi prativādinaṃ prati samavāyāntyaviśeṣādiśabdārthasyeva vyutpādane	vAdinA api prativAdinam prati samavAyAntya viSeza Adi Sabda arTasya iva vyutpAdane
   'viditapadārthakatvābhāvāt/ tadarthajñāne tatra vivādāyogācca'	avidita padArTaka tva aBAvAt/ tad arTa jQAne tatra vivAda ayogAt ca a
   taduktamiti// sādhyāprasiddhāvapi vyāptirastītyetatpramāṇalakṣaṇe	tat uktam iti// sADya aprasidDO= api vyAptiH asti iti etat pramANa lakzaNe
   uktamityarthaḥ/ prāgārthāntarasyoktatvātprakṛtopayogitayātrārthamāha  	uktam iti arTaH/ prAga arTa antarasya ukta tvAt prakRta upayogita yAtra arTam Aha  
   sādhyasyeti//	sADyasya iti//
   pratijñāvākyasyāviditapadārthatvenābodhakatvaprasaṅgātsādhyāsiddherdeṣatvamiti	pratijQA vAkyasya avidita padArTa tvena AboDaka tva prasaFgAt sADya asidDeH deza tvam iti
   pakṣaṃ nirāha    nāpi caturtha iti// uktarītyeti// svaśarīrādau	pakzam nirAha   na api caturTaH iti// ukta rItyA iti// sva SarIra AdO
   patyakṣeṇopadeśādinā vāvagatasātmakatvasya puṃsa ityādinoktarītyetyarthaḥ/	pati akzeNa upadeSa AdinA vA avagata sAtmaka tvasya puMsaH ityAdinA uktarItyA iti arTaH/
   asti nāstīti vivādarūpakāryeṇaiva tajjñānaṃ vādiprativādinoḥ siddhamiti	asti na asti iti vivAda rUpa kAryeNa eva tat jQAnam vAdi prativAdinoH sidDam iti
   kathamavidipadārthakatvaṃ pratijñāvākyasyeti bhāvenāha    tadarthājñāna	kaTam avidipada arTaka tvam pratijQA vAkyasya iti BAvena Aha   tad arTa ajQAna
   iti// kāraṇasya viśeṣaṇajñānasyābhāve kāryasya viśiṣṭajñānasyāyogādvā	iti// kAraNasya viSezaNa jQAnasya aBAve kAryasya viSizwa jQAnasya ayogAt vA
   sādhyāsiddherdeṣatvamiti pakṣaṃ nirāha    na pañcama iti//	sADya asidDeH deza tvam iti pakzam nirAha   na paQcamaH iti//
   vyakaṇāddheḥ  dotvaṅgaḥ) anumādoṣavādaḥ pu 269.	vyakaNAt heH dotu aFgaH) anumA da Uza vAdaH pu 269.
   na pañcamaḥ/ viśeṣaṇajñānaṃ viśiṣṭajñānaheturneti nirvikalpakabhaṅge	na paQcamaH/ viSezaNa jQAnam viSizwa jQAna hetuH na iti nirvikalpaka BaFge
   uktatvāt/ hetutvepyaprāmāṇyābhāvasādhyakānumāna ivādau sā dhyaviśeṣyakaiva	ukta tvAt/ hetu tvepyaprAmANya aBAva sADyaka anumAnaH iva AdO sA Dya viSezyakA eva
   dhīḥ	DIH
   paścātsādhyaviśeṣaṇiketi suvacatvācca//	paScAt sADya viSezaNikA iti su vaca tvAt ca//
   tasmātsādhyāprasiddhirna doṣa iti//	tasmAt sADya aprasidDiH na dozaH iti//
   aprasiddhaviśeṣaṇatvasya doṣatvabhaṅgaḥ // 26 //	aprasidDa viSezaNa tvasya doza tva BaFgaH // 26 //
   apramāṇyetyādi// vyaktametatprāmāṇyavāde paramate	apramANya ityAdi// vyaktam etat prAmANya vAde para mate
   prāmāṇyānumityasaṃbhavoktiprastāve//	prAmANya anumiti asaMBava ukti prastAve//
   nanvevama"nirvacanīyāsiddheraprasiddhaviśeṣaṇaḥ pakṣaḥ"iti prakaraṇādau	nanu evam a"nirvacanIya asidDeH aprasidDa viSezaNaH pakzaH"iti prakaraNa AdO
   tatratatrāprasiddhaviśeṣaṇatvasya doṣatvenodbhāvanaṃ virudhyata iti cenna/	tatra tatra aprasidDa viSezaNa tvasya doza tvena udBAvanam viruDyate iti ced na/
   tasya paramatānusāritvasya tatra ṭīkāyāmeva vyaktatvāditi bhāvaḥ//	tasya para mata anusAri tvasya tatra wIkAyAm eva vyakta tvAt iti BAvaH//
   aprasiddhaviśeṣaṇatvasya doṣatvabhaṅgaḥ // 27 //	aprasidDa viSezaNa tvasya doza tva BaFgaH // 27 //
   vyakaṇāddheḥ dotvaṅgaḥ) anumādoṣavādaḥ pu   269.	vyakaNAt heH dotvaFgaH) anumA da Uza vAdaH pu  269.
   atha vyadhikaraṇāsiddherdeṣatvabhaṅgaḥ // 27 //	aTa vyaDikaraNa asidDeH deza tva BaFgaH // 27 //
   evaṃ vyadhikaraṇāsiddhirapi na doṣaḥ/ tathā hi   	evam vyaDikaraNA sidDiH api na dozaH/ taTA hi   
   atha vyadhikaraṇāsiddherdeṣatvabhaṅgaḥ // 28 //	aTa vyaDikaraNa asidDeH deza tva BaFgaH // 28 //
   "vyāptatve vyāśrayatvaṃ tu kathamevahi dūṣaṇam/	"vyApta tve vyASraya tvam tu kaTam eva hi dUzaNam/
   rohiṇyudaya āsannaḥ kṛttikābhyuditā yataḥ/	rohiNI udayaH AsannaH kRttikA aByuditAH yatas /
   ityukte sādhanaṃ no kiṃ na hyājñaivātra sādhikā"/	iti ukte sADanam no kim na hi AjQA eva atra sa aDikA"/
   pu   270. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  270. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   tasyā doṣatvaṃ 1 kimitisaṅgāt, pakṣadharmatāvighaṭanāvdyāptivighaṭanādvā 2	tasyAH doza tvam 1 kim iti saFgAt, pakza Darma tA viGawana avdya Apti viGawanAt vA 2
   nādyaḥ/ nitya ātmā kākasya kārṣṇyādityādervyāptyabhāvenaiva duṣcatvāt/	na AdyaH/ nityaH AtmA kAkasya kArzNyAt ityAdeH vyApti aBAvena eva duzca tvAt /
   śabdo nityaḥ ghaṭasya kṛtakatvādityatra tu śabdasya kṛtakatvaṃ svīkṛtaṃ	SabdaH nityaH Gawasya kRtaka tvAt iti atra tu Sabdasya kRtaka tvam svIkRtam
   cedghaṭasyetyasya vaiyarthyāt/ asvīkṛtya ghaṭagatenaiva kṛkatvena	ced Gawasya iti asya vEyarTya at/ asvIkRtya Gawa gatena eva kRkatvena
   śabdānityatvasādhane tu yatra kṛtakatvaṃ tatrānityatvamiti vyāptestatra	Sabda anitya tva sADane tu yatra kRtaka tvam tatra anitya tvam iti vyApteH tatra
   sāmānādhikaraṇyagarbhitatvenānyagatasya tasyānyagatenānityatvena	sAmAnADikaraNya garBita tvena anya gatasya tasya anya gatena anitya tvena
   vyāpterevābhāvāt//	vyApteH eva aBAva at//
   iti bhaktipādīyānuvyākhyānasudhoktarītyā vikalpān doṣāṃśca vyanakti  	iti Bakti pAdIya anuvyAKyAna suDA ukta rItyAH vikalpAn dozAn= ca vyanakti  
   kimityādinā// atiprasaṅgāditi 3 // kākasya kārṣṇyādityāderapi	kim iti Adi nA// atiprasaFgAt iti 3 // kAkasya kArzNyAt ityAdeH api
   saddhetutvāpattirūpātiprasaṅgādityarthaḥ/ ityatratviti// yatra kṛtakatvaṃ	sadhetu tva Apatti rUpa ati prasaFgAt iti arTaH/ iti atratviti// yatra kRtaka tvam
   tatrānityatvamiti vyāptisatvena vyāptyabhāvena tatra duṣṭatāyā	tatra anitya tvam iti vyApti satvena vyApti aBAvena tatra duzwa tAyA
   vaktumaśakyatve 'pi prakārāntareṇa duṣṭatvaṃ tatreti viśeṣa 4 dyotakastu	vaktum aSakyatve api prakAra antareNa duzwa tvam tatra iti viSeza 4 dyotakaH tu
   śabdaḥ/ vaiyarthyāditi// vyarthaviśeṣaṇatvenaiva duṣṭatvamiti bhāvaḥ//	SabdaH/ vEyarTyAt iti// vyarTa viSezaNa tvena eva duzwa tvam iti BAvaH//
   nanu	nanu
   pratiyogyasāmānādhikaraṇayatsamānādhikaraṇātyantābhāvapratiyogitāvacchedakāvacchinnaṃ	pratiyogi asAmAna aDikaraNa yat samAna aDikaraNa atyanta aBAva pratiyogi ta avacCedaka avacCinnam
   yanna bhavati tena samaṃ tasya sāmānādhikaraṇyaṃ vyāptiriti	yat na Bavati tena samam tasya sAmAnADikaraNyam vyAptiH iti
   maṇyuktasāmānyalakṣaṇapakṣe mahānasīyadhūmasya parvatādiniṣṭhavahnineva	maNi ukta sAmAnya lakzaNa pakze mahAnasIya DUmasya parvata Adi nizWa vahninA iva
   vyadhikaraṇayorapi vyāptirastīti pakṣe	vyaDikaraNayoH api vyAptiH asti iti pakze
   doṣāntaramāha    kiñceti//	doza antaram Aha   kiQca iti//
   1.kimadoṣatveti  ga.rā. 2.nācca vyā ka. 3.'atiprasaṅgāditi' iti nāsti	1.kim adoza tvA iti  ga.rA. 2.nAt ca vyA ka. 3. aati prasaFgAt iti a iti na asti
    ṭa.ṭha. 4.ṣyadyo  ṭa.ṭha.	 wa.Wa. 4.zyadyaH  wa.Wa.
   vyakaraṇāddheḥ dotvaṅgaḥ) anumādoṣavādaḥ pu   271.	vyakaraNAt heH dotvaFgaH) anumA da Uza vAdaH pu  271.
   kiñca satyāṃ vyaptau 1 vyadhikaraṇatvasya doṣatva evātiprasaṅgaḥ/ dṛśyate	kiQca satyAm vyaptO 1 vyaDikaraNa tvasya doza tvaH eva atiprasaFgaH/ dRSyate
   hi vyadhikaraṇenāpi padmavikāsena sūryodayasya, samudravṛtyā	hi vyaDikaraNena api padma vikAsena sUrya udayasya, samudra vRtyA
   candrodayasya, chāyayā meghasay, bhūmiṣṭhenālokena uparisavituḥ,	candra udayasya, CAyayA meGa say, BUmizWena Alokena upari savituH,
   cakrabhrameṇa kulālāsatteḥ, kṛttikodayena rohiṇyupayāsatteḥ, adhodeśe 2	cakra BrameNa kulAla AsatteH, kRttikA udayena rohiNI upayAsatteH, aDas deSe 2
   nadīpūreṇa ūrdhvadeśavṛṣṭeḥ, ūrdhvabhāgasthadhūmena	nadI pUreNa UrDva deSa vRzweH, UrDva BAga sTa DUmena
   adhobhāgasthavahneścānumitiḥ//	aDoBAga sTa vahneH ca anumitiH//
   nanvatrāpyayaṃ kālaḥ sūryodayavān padmavikāsavatkālatvātsammatavat ayaṃ	nanu atra api ayam kAlaH sUrya udayavAn padma vikAsa vat kAla tvAt sammata vat ayam
   pradeśaḥ kulālāsattimān bhramaccakrādikaraṇatvāt sammatavat iyaṃ	pradeSaH kulAla asattimAn Bramat cakra Adi karaNa tvAt sammata vat iyam
   nadīvṛṣṭimadūrdhvadeśe ayaṃ dhūmo mūle 4 gnimān dhūma 5 vatvāt	nadI vRzwimat UrDva deSe ayam DUmaH mUle 4 gnimAn DUma 5 vatvAt 
   sammatavaditi kālaṃ deśādikaṃ vā pakṣīkṛtya sāmānādhikaraṇyaṃ saṃpādyamiti	sammata vat iti kAlam deSa Adikam vA pakzIkRtya sAmAnADikaraNyam saMpAdyam iti
   cet//	cet//
   atiprasaṅga iti // saddhetūnāmasaddhetutvāpattirūpātiprasaṅga ityarthaḥ/	atiprasaFgaH iti // sat hetUnAm asat hetu tva Apatti rUpa ati prasaFgaH iti arTaH/
   tatkathamityata āha    dṛśyate hīti//	tat kaTam iti atas Aha   dRSyate hi iti//
   anumitirityanvayaḥ/ anuvyākhyānoktodāharaṇamupalakṣaṇaṃ matvā'ha   	anumitiH iti anvayaH/ anuvyAKyAna ukta udAharaNam upalakzaNam matvA aha   
   padmetyādi// kālaṃ deśaṃ vā'dāya sarvatra sāmānādhikaraṇyamāśaṅkate   	padma ityAdi// kAlam deSam vA adAya sarvatra sAmAnADikaraNyam ASaFkate   
   nanviti/ deśādikaṃ vetyāditapadena nadīmiti gṛhyate/	nanu iti/ deSa Adikam vA iti Adita padena nadIm iti gRhyate/
   1.ptau vaiyadhikaraṇyasya  ka.ga.rā. 2.śanadī  ga.rā. 3.śasaṃ	1.ptO vEyaDikaraNyasya  ka.ga.rA. 2.SanadI  ga.rA. 3.Sasam
    ka.ga.ṭa.rā. 4.leva   ga.ṭa.rā. 5.matvā  ṭa.	 ka.ga.wa.rA. 4.lA iva  ga.wa.rA. 5.matvA  wa.
   pu   272. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  272. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   1 kimiyaṃ laukikapratītiḥ uta	1 kim iyam lOkika pratItiH uta
   tvadabhimatasāmānādhikaraṇyaniyamanirvāhāyaivaṃ	tvad aBimata sAmAnADikaraNya niyama nirvAhAya evam
   prayogavipariṇāmaḥ kalpyate//	prayoga vipariNAmaH kalpyate//
   nādyaḥ/ tvaduktakusṛṣṭimajānatāmapi laukikānāṃ padmādau	na AdyaH/ tvad ukta kusRzwim ajAnatAm api lOkikAnAm padma AdO
   vikāsādidarśanenaiva sūryodayādau svārthānumiteḥ	vikAsa Adi darSanena eva sUrya udaya AdO sva arTa anumiteH
   tadanusāriparārthānumiteśca darśanāt/ parīkṣakaiśca	tad anusAri para arTa anumiteH ca darSanAt/ parIkzakEH ca
   lokasiddharītyanusāriṇyeva prakriyā kalpyā/ na tu svakalpitaprakriyā sā	loka sidDa rIti anusAriNI eva prakriyA kalpyA/ na tu sva kalpita prakriyA sA
   bādhyā/ atiprasaṅgāt/ uktaṃ ca nyāyaṭīkāyām   	bADyA/ ati prasaFga at/ uktam ca nyAyawIkAyAm   
   siddhānugamamātraṃ tu kartuṃ yuktaṃ parīkṣakaiḥ/	sidDa anugama mAtram tu kartum yuktam parIkzakEH/
   na sarvalokasiddhasya lakṣaṇena nivartanam//	na sarva loka sidDasya lakzaNena nivartanam//
   dṛśyate hyadtanasya sūryodayasya śvastanena sūryodayena gamyagamakabhāva	dRSyate hi adtanasya sUrya udayasya Svastanena sUrya udayena gamya gamaka BAva
   iti//	iti//
   lokarītyerevaṃrūpatveṣa'pi bhavadbhiriva mayāpi lokarītyanurodhenaiva	lokarItyeH evaMrUpa tveza api BavadBiH iva mayA api loka rIti anuroDena eva
   paribhāṣā kāryeti kuta ityata āha   parīkṣakaiśceti// atiprasaṅgāditi//	pariBAzA kAryA iti kutas iti atas Aha  parIkzakEH ca iti// atiprasaFgAt iti//
   dhūmādinā vahnyādyanumityutpādanādikamapi na syāt/ jñānasyāpīcchādvārā	DUma AdinA vahni Adi anum iti utpAdana Adikam api na syAt/ jQAnasya api icCA dvArA
   pravṛttihetutvakalpanaṃ daṇḍāderghaṭahetutāvyutpādanādikamapi na	pravRtti hetu tva kalpanam daNxa AdeH Gawa hetutA vyutpAdana Adikam api na
   syādityevamādyatiprasaṅgādityarthaḥ/ yadvā samānādhikaraṇānāmapi	syAt iti evamAdi atiprasaFgAt iti arTaH/ yat vA samAna aDikaraNAnAm api
   gamyagamakabhāvo netyapi vyutpādanaprasaṅgādityarthaḥ//	gamya gamaka BAvaH na iti api vyutpAdana prasaFgAt iti arTaH//
   1.kimevaṃ laikikī  ga.ṭa.rā.	1.kim evam lEkikI  ga.wa.rA.
   vyaka ṇāddheḥ dotvaṅgaḥ) anumādoṣavādaḥ pu   273.	vyaka NAt heH dotvaFgaH) anumA da Uza vAdaH pu  273.
   na dvitīyaḥ anyonyāśrayatvā 1 t/ anyathā	na dvitIyaH anyonya ASrayatvA 1 t/ anyaTA
   madabhimatavaiyadhikaraṇyādinirvāhāya parvatādhodeśo 'gnimān 2	mad aBimata vEyaDi karaNyAdi nirvAhAya parvata aDas deSaH agnimAn 2
   ūrdhvadeśasya dhūmavatvāt vimataḥ kālo deśo vā agnimatparvatasaṃbaddhaḥ	UrDva deSasya DUmava tvAt vimataH kAlaH deSaH vE agnimat parvata saMbadDaH
   dhūmavatparvatasaṃbaddhatvāt saṃmatavadityādirapi vipariṇāmaḥ syāt//	DUma vat parvata saMbadDa tvAt saMmata vat iti AdiH api vipariNAmaH syAt//
