   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   saṃgrahena sukhaduḥkhalakṣaṇaṃ māṃ prati sthitam idaṃ śṛṇu prabho &	saMgrahena suKa-duHKa-lakzaNam mAm prati sTitam idam SRNu praBo &
   saukhyam eṣa bhavatā samāgamaḥ svāminā viraha eva duḥkhitā // UtSst_13.1	sOKyam eza BavatA samAgamaH svAminA virahaH eva duHKitAH // UtSst_13.1
   antar apy atitarām aṇīyasī yā tvadaprathanakālikāsti me &	antar api atitarAm aNIyasI yA tvad-apraTana-kAlikA-asti me &
   tām apīśa parimṛjya sarvataḥ svaṃ svarūpam amalaṃ prakāśaya // UtSst_13.2	tAm api-ISa parimRjya sarvatas svam sva-rUpam amalam prakASaya // UtSst_13.2
   tāvake vapuṣi viśvanirbhare citsudhārasamaye niratyaye &	tAvake vapuzi viSva-nirBare cit-suDA-rasa-maye niratyaye &
   tiṣṭhataḥ satatam arcataḥ prabhuṃ jīvitaṃ mṛtam athānyad astu me //	tizWataH satatam arcataH praBum jIvitam mRtam aTa-anyat astu me //
   UtSst_13.3 //	UtSst-_13.3 //
   īśvaro 'ham aham eva rūpavān paṇḍito 'smi subhago 'smi ko 'paraḥ &	ISvaraH aham aham eva rUpavAn paNxitaH asmi suBagaH asmi kaH aparaH &
   matsamo 'sti jagatīti śobhate mānitā tvadanurāgiṇaḥ param // UtSst_13.4 //	mad-samaH asti jagati-iti SoBate mAnitA tvad-anurAgiNaH param // UtSst-_13.4 //
   devadeva bhavadadvayāmṛtākhyātisaṃharaṇalabdhajanmanā &	devadeva Bavat-advaya-amRtA-KyAti-saMharaNa-labDa-janmanA &
   tad yathāsthitapadārthasaṃvidā māṃ kuruṣva caraṇārcanocitam // UtSst_13.5	tat yaTA-sTita-padArTa-saMvidA mAm kuruzva caraNa-arcana-ucitam // UtSst_13.5
   dhyāyate tad anu dṛśyate tataḥ spṛśyate ca parameśvaraḥ svayam &	DyAyate tat anu dRSyate tatas spRSyate ca parameSvaraH svayam &
   yatra pūjanamahotsavaḥ sa me sarvadāstu bhavato 'nubhāvataḥ // UtSst_13.6	yatra pUjana-mahA-utsavaH sa me sarvadA-astu BavataH anuBAvataH // UtSst_13.6
   yady athāsthitapadārthadarśanaṃ yuṣmadarcanamahotsavaś ca yaḥ &	yadi aTa-AsTita-padArTa-darSanam yuzmad-arcana-mahA-utsavaH ca yaH &
   yugmam etad itaretarāśrayaṃ bhaktiśāliṣu sadā vijṛmbhate // UtSst_13.7 //	yugmam etat itaretara-ASrayam Bakti-SAlizu sadA vijRmBate // UtSst_13.7 //
   tattadindriyamukhena santataṃ yuṣmadarcanarasāyanāsavam &	tad-tad-indriya-muKena santatam yuzmad-arcana-rasAyana-Asavam &
   sarvabhāvacaṣakeṣu pūriteṣv āpibann api bhaveyam unmadaḥ // UtSst_13.8 //	sarva-BAva-cazakezu pUritezu Apiban api Baveyam unmadaH // UtSst_13.8 //
   anyavedyam aṇumātram asti na svaprakāśam akhilaṃ vijṛmbhate &	anya-vedyam aNu-mAtram asti na sva-prakASam aKilam vijRmBate &
   yatra nātha bhavataḥ pure sthitaṃ tatra me kuru sadā tavārcituḥ //	yatra nATa BavataH pure sTitam tatra me kuru sadA tava-arcituH //
   UtSst_13.9 //	UtSst-_13.9 //
   dāsadhāmni viniyojito 'py ahaṃ svecchayaiva parameśvara tvayā &	dAsa-DAmni viniyojitaH api aham sva-icCayA-eva parameSvara tvayA &
   darśanena na kim asmi pātritaḥ pādasaṃvahanakarmaṇāpi vā // UtSst_13.10 //	darSanena na kim asmi pAtritaH pAda-saMvahana-karmaNA-api vA // UtSst_13.10 //
   śaktipātasamaye vicāraṇaṃ prāptam īśa na karoṣi karhicit &	SaktipAta-samaye vicAraNam prAptam ISa na karozi karhicit &
   adya māṃ prati kim āgataṃ yataḥ svaprakāśanavidhau vilambase //	adya mAm prati kim Agatam yatas sva-prakASana-viDO vilambase //
   UtSst_13.11 //	UtSst-_13.11 //
   tatra tatra viṣaye bahirvibhāty antare ca parameśvarīyutam &	tatra tatra vizaye bahis-viBAti antare ca parameSvarI-yutam &
   tvāṃ jagattritayanirbharaṃ sadā lokayeya nijapāṇipūjitam // UtSst_13.12 //	tvAm jagat-tritaya-nirBaram sadA lokayeya nija-pANi-pUjitam // UtSst_13.12 //
   svāmisaudham abhisandhimātrato nirvibandham adhiruhya sarvadā &	svAmi-sODam aBisanDi-mAtrataH nirvibanDam aDiruhya sarvadA &
   syāṃ prasāda paramāmṛtāsavāpānakeliparilabdhanirvṛtiḥ // UtSst_13.13 //	syAm prasAda parama-amRta-Asava-apAna-keli-parilabDa-nirvRtiH // UtSst_13.13 //
   yatsamastasubhagārthavastuṣu sparśamātravidhinā camatkṛtim &	yad-samasta-suBaga-arTa-vastuzu sparSa-mAtra-viDinA camatkRtim &
   tāṃ samarpayati tena te vapuḥ pūjayanty acalabhaktiśālinaḥ // UtSst_13.14	tAm samarpayati tena te vapuH pUjayanti acala-Bakti-SAlinaH // UtSst_13.14
   sphārayasy akhilam ātmanā sphuran viśvam āmṛśasi rūpam āmṛśan &	sPArayasi aKilam AtmanA sPuran viSvam AmRSasi rUpam AmRSan &
   yat svayaṃ nijarasena ghurṇase tat samullasati bhāvamaṇḍalam //	yat svayam nija-rasena GurNase tat samullasati BAva-maNxalam //
   UtSst_13.15 //	UtSst-_13.15 //
   yo 'vikalpam idam arthamaṇḍalaṃ paśyatīśa nikhilaṃ bhavadvapuḥ &	yaH avikalpam idam arTa-maNxalam paSyati-ISa niKilam Bavat-vapuH &
   svātmapakṣaparipūrite jagaty asya nityasukhinaḥ kuto bhayam // UtSst_13.16	sva-Atma-pakza-paripUrite jagati asya nitya-suKinaH kutas Bayam // UtSst-_13.16
   kaṇṭhakoṇaviniviṣṭam īśa te kālakūṭam api me mahāmṛtam &	kaNWa-koNa-vinivizwam ISa te kAlakUwam api me mahA-amRtam &
   apy upāttam amṛtaṃ bhavadvapur bhedavṛtti yadi rocate na me // UtSst_13.17	api upAttam amRtam Bavat-vapuH Beda-vRtti yadi rocate na me // UtSst_13.17
   tvatpralāpamayaraktagītikāni tya yuktavadanopaśobhitaḥ &	tvad-pralApa-maya-rakta-gItikAni tya yukta-vadana-upaSoBitaH &
   syām athāpi bhavadarcanakriyāpreyasīparigatāśayaḥ sadā // UtSst_13.18 //	syAm aTa-api Bavat-arcana-kriyA-preyasI-parigata-ASayaH sadA // UtSst_13.18 //
   īhitaṃ na bata pārameśvaraṃ śakyate gaṇayituṃ tathā ca me &	Ihitam na bata pArameSvaram Sakyate gaNayitum taTA ca me &
   dattam apy amṛtanirbharaṃ vapuḥ svaṃ na pātum anumanyate tathā //	dattam api amRta-nirBaram vapuH svam na pAtum anumanyate taTA //
   UtSst_13.19 //	UtSst-_13.19 //
   tvām agādham avikalpam advayaṃ svaṃ svarūpam akhilārthaghasmaram &	tvAm agADam avikalpam advayam svam sva-rUpam aKila-arTa-Gasmaram &
   āviśann aham umeśa sarvadā pūjayeyam abhisaṃstuvīya ca // UtSst_13.20 //	AviSan aham umA-ISa sarvadA pUjayeyam aBisaMstuvIya ca // UtSst_13.20 //
   jayastotranāma caturdaśaṃ stotram	jaya-stotra-nAma caturdaSam stotram
   jayalakṣmīnidhānasya nijasya svāminaḥ puraḥ &	jaya-lakzmI-niDAnasya nijasya svAminaH puras &
   jayodghoṣaṇapīyūṣarasam āsvādaye kṣaṇam // UtSst_14.1 //	jaya-udGozaNa-pIyUza-rasam AsvAdaye kzaNam // UtSst-_14.1 //
   jayaikarudraikaśiva mahādeva maheśvara &	jaya-eka-rudra-ekaSiva mahAdeva maheSvaraH &
   pārvatīpraṇayiñ śarva sarvagīrvāṇapūrvaja // UtSst_14.2 //	pArvatI-praNayin Sarva sarva-gIrvANa-pUrvajaH // UtSst_14.2 //
   jaya trailokyanāthaikalāñchanālikalocana &	jaya trElokya-nATa-eka-lAQCa-nAlika-locanaH &
   jaya pītartalokārtikālakūṭāṅkakandhara // UtSst_14.3 //	jaya pItaRta-loka-Arti-kAlakUwa-aFka-kanDara // UtSst-_14.3 //
   jaya mūrtatriśaktyātmiśataśūlollasatkara &	jaya mUrta-tri-Sakti-Atmi-Sata-SUla-ullasatkara &
   jayecchāmātrasiddārthapūjārhacaraṇāmbuja // UtSst_14.4 //	jaya-icCA-mAtra-sidda-arTa-pUjA-arha-caraNa-ambuja // UtSst_14.4 //
   jaya śobhaśatasyandilokottaravapurdhara &	jaya SoBa-Satasya-ndi-loka-uttara-vapuH-Dara &
   jayaikajaṭikākṣīṇagaṅgākṛtyāttabhasmaka // UtSst_14.5 //	jaya-eka-jawikA-kzINa-gaFgA-AkRtya-Atta-Basmaka // UtSst-_14.5 //
   jaya kṣīrodaparyastajyotsnācchāyānulepana &	jaya kzIroda-paryasta-jyotsnA-acCAyA-anulepana &
   jayeśvarāṅgasaṅgottharatnakāntāhimaṇḍana // UtSst_14.6 //	jaya-ISvara-aFga-saFga-utTa-ratna-kAnta-ahi-maNxana // UtSst_14.6 //
   jayākṣayaikaśītāṃśukalāsadṛśasaṃśraya &	jaya-akzaya-eka-SIta-aMSu-kalA-sadRSa-saMSraya &
   jaya gaṅgāsadārbdhaviśvaiśvaryābhiṣecana // UtSst_14.7 //	jaya gaFgA-sadA-arbDa-viSva-ESvarya-aBizecana // UtSst_14.7 //
   jayādharāṅgasaṃsparśapāvanīkṛtagokula &	jaya-aDara-aFga-saMsparSa-pAvanIkRta-gokula &
   jaya bhaktimadābaddhagoṣṭhīniyatasannidhe // UtSst_14.8 //	jaya Baktimat-AbadDa-gozWI-niyata-sanniDe // UtSst_14.8 //
   jaya svecchātapodeśavipralambhitabāliśa &	jaya sva-icCA-tapaH-deSa-vipralamBita-bAliSaH &
   jaya gaurīpariṣvaṅgayogyasaubhāgyabhājana // UtSst_14.9 //	jaya gOrI-parizvaFga-yogya-sOBAgya-BAjanaH // UtSst_14.9 //
   jaya bhaktirasārdrārdrabhāvopāyanalampaṭa &	jaya Bakti-rasa-Ardra-Ardra-BAva-upAyana-lampawa &
   jaya bhaktimadoddāmabhaktavāṅnṛttatoṣita // UtSst_14.10 //	jaya Baktimada-uddAma-Bakta-vAc-nRtta-tozitaH // UtSst_14.10 //
   jaya brahmādideveśaprabhāvaprabhavavyaya &	jaya brahma-Adi-deveSa-praBAva-praBava-vyayaH &
   jayalokeśvaraśreṇiśirovidhṛtaśāsana // UtSst_14.11 //	jaya-loka-ISvara-SreNi-SiraH-viDRta-SAsana // UtSst_14.11 //
   jayasarvajagannyastasvamudrāvyaktavaibhava &	jaya-sarva-jagat-nyasta-sva-mudrA-vyakta-vEBava &
   jayātmadānaparyantaviśveśvaramaheśvara // UtSst_14.12 //	jaya-Atma-dAna-paryanta-viSva-ISvara-maheSvara // UtSst_14.12 //
   jaya trailokyasargecchāvasarāsaddvitīyaka &	jaya trElokya-sarga-icCAvasara-asat-dvitIyakaH &
   jayaiśvaryabharodvāhadevīmātrasahāyaka // UtSst_14.13 //	jaya-ESvarya-Bara-udvAha-devI-mAtra-sahAyakaH // UtSst-_14.13 //
   jayākramasamākrāntasamastabhuvanatraya &	jaya-Akrama-samAkrAnta-samasta-BuvanatrayaH &
   jayāvigītam ābālagīyamāneśvaradhvane // UtSst_14.14 //	jaya-avigItam AbAla-gIyamAneSvara-Dvane // UtSst_14.14 //
   jayānukampādiguṇānapekṣasahajonnate &	jaya-anukampA-Adi-guNa-anapekza-sahaja-unnate &
   jaya bhīṣmamahāmṛtyughaṭanāpūrvabhairava // UtSst_14.15 //	jaya BIzma-mahA-mRtyu-Gawana-apUrva-BEravaH // UtSst_14.15 //
   jaya viśvakṣayoccaṇḍakriyāniṣparipanthika &	jaya viSva-kzaya-uccaNxa-kriyA-nizparipanTika &
   jaya śreyaḥśataguṇānuganāmānukīrtana // UtSst_14.16 //	jaya SreyaH-Sata-guNa-anuga-nAma-anukIrtanaH // UtSst_14.16 //
   jaya helāvitīrnaitadamṛtākarasāgara &	jaya helA-vitIH-na-etat-amRta-Akara-sAgara &
   jaya viśvakṣayakṣepikṣaṇakopāśuśukṣaṇe // UtSst_14.17 //	jaya viSva-kzaya-kzepi-kzaNa-kopa-ASu-SukzaNe // UtSst_14.17 //
   jaya mohāndhakārāndhajīvalokaikadīpaka &	jaya moha-anDakAra-anDajIva-loka-eka-dIpakaH &
   jaya prasuptajagatījāgarūkādhipūruṣa // UtSst_14.18 //	jaya prasupta-jagatI-jAgarUka-aDipUruza // UtSst_14.18 //
   jaya dehādrikuñjāntarnikūjañjīvajīvaka &	jaya deha-adri-kuQja-antar-nikUjaQjIva-jIvakaH &
   jaya sanmānasavyomavilāsivarasārasa // UtSst_14.19 //	jaya sat-mAnasa-vyoma-vilAsi-vara-sArasaH // UtSst_14.19 //
   jaya jāmbūnadodagradhātūdbhavagirīśvara &	jaya jAmbUnada-udagra-DAtu-udBava-giri-ISvara &
   jaya pāpiṣu nindolkāpātanotpātacandramaḥ // UtSst_14.20 //	jaya pApizu nindA-ulkA-pAtana-utpAta-candramaH // UtSst_14.20 //
   jaya kaṣṭatapaḥkliṣṭamunidevadurāsada &	jaya kazwa-tapaH-klizwa-muni-deva-durAsada &
   jaya sarvadaśārūḍhabhaktimallokalokita // UtSst_14.21 //	jaya sarva-daSa-ArUXa-Baktimat-loka-lokitaH // UtSst_14.21 //
   jaya svasampatprasarapatrīkṛtanijāśrita &	jaya sva-sampad-prasara-patrIkRta-nija-ASritaH &
   jaya prapannajanatālālanaikaprayojana // UtSst_14.22 //	jaya prapanna-jana-tAlAlana-eka-prayojanaH // UtSst_14.22 //
   jaya sargasthitidhvaṃsakāraṇaikāvadānaka &	jaya sarga-sTiti-DvaMsa-kAraNa-eka-avadAnakaH &
   jaya bhaktimadālolalīlotpalamagotsava // UtSst_14.23 //	jaya Bakti-mada-Alola-lIlA-utpala-m-agotsava // UtSst_14.23 //
   jaya jayabhājana jaya jitajanmajarāmaraṇa jaya jagajjyeṣṭha &	jaya jaya-BAjana jaya jita-janma-jarA-maraNa jaya jagat-jyezWa &
   jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya tryakṣa	jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya jaya tryakza
   // UtSst_14.24 //	// UtSst_14.24 //
   bhaktistotranāma pañcadaśaṃ	Baktistotra-nAma paQcadaSam
   trimalakṣālino granthāḥ santi tatpāragāstathā &	tri-mala-kzAlinaH granTAH santi tad-pAragAH-taTA &
   yoginaḥ paṇḍitāḥ svasthās tvadbhaktā eva tattvataḥ // UtSst_15.1 //	yoginaH paNxitAH svasTAH tvad-BaktAH eva tattvataH // UtSst_15.1 //
   māyīyakālaniyatirāgādyāhāratarpitāḥ &	mAyIya-kAla-niyati-rAga-Adi-AhAra-tarpitAH &
   caranti sukhino nātha bhaktimanto jagattaṭe // UtSst_15.2 //	caranti suKinaH nATa BaktimantaH jagat-tawe // UtSst_15.2 //
   rudanto vā hasanto vā tvām uccaiḥ pralapanty amī &	rudantaH vA hasantaH vA tvAm uccEs pralapanti amI &
   bhaktāḥ stutipadoccāropacārāḥ pṛthag eva te // UtSst_15.3 //	BaktAH stuti-pada-uccAra-upacArAH pRTak eva te // UtSst_15.3 //
   na virakto na cāpīśo mokṣākāṅkṣī tvadarcakaḥ &	na viraktaH na ca-api-ISaH mokza-AkAFkzI tvad-arcakaH &
   bhaveyam api tūdriktabhaktyāsavarasonmadaḥ // UtSst_15.4 //	Baveyam api tu-udrikta-Bakti-A-sava-rasa-unmadaH // UtSst_15.4 //
   bāhyaṃ hṛdaya evāntar abhihṛtyaiva yo 'rcati &	bAhyam hRdaye eva-antar aBihRtya-eva yaH arcati &
   tvām īśa bhaktipīyūṣarasapūrair namāmi tam // UtSst_15.5 //	tvAm ISa Bakti-pIyUza-rasa-pUrEH namAmi tam // UtSst-_15.5 //
   dharmādharmātmanor antaḥ kriyayor jñānayos tathā &	Darma-aDarma-AtmanoH antar kriyayoH jQAnayoH taTA &
   sukhaduḥkhātmanor bhaktāḥ kim apy āsvādayanty aho // UtSst_15.6 //	suKa-duHKa-AtmanoH BaktAH kim api AsvAdayanti aho // UtSst-_15.6 //
   carācarapitaḥ svāmin apy andhā api kuṣṭhinaḥ &	carAcara-pitar svAmin api anDAH api kuzWinaH &
   śobhante param uddāmabhavadbhaktivibhūṣaṇāḥ // UtSst_15.7 //	SoBante param uddAma-Bavat-Bakti-viBUzaNAH // UtSst_15.7 //
   śiloñchapicchakaśipuvicchāyāṅgā api prabho &	SilA-uQCa-picCa-kaSipu-vicCAya-aFgAH api praBo &
   bhavadbhaktimahoṣmaṇo rājarājam apīśate // UtSst_15.8 //	Bavat-Bakti-mahozmaNaH rAja-rAjam api-ISate // UtSst_15.8 //
   sudhārdrāyāṃ bhavadbhaktau luṭhatāpy ārurukṣuṇā &	suDArdrAyAm Bavat-BaktO luWatA-api ArurukzuNA &
   cetasaiva vibho 'rcanti kecit tvām abhitaḥ sthitāḥ // UtSst_15.9 //	cetasA-eva viBo arcanti kecid tvAm aBitas sTitAH // UtSst_15.9 //
   rakṣaṇīyaṃ vardhanīyaṃ bahumānyam idaṃ prabho &	rakzaNIyam varDanIyam bahu-mAnyam idam praBo &
   saṃsāradurgatiharaṃ bhavadbhaktimahādhanam // UtSst_15.10 //	saMsAra-durgati-haram Bavat-Bakti-mahADanam // UtSst_15.10 //
   nātha te bhaktajanatā yady api tvayi rāgiṇī &	nATa te Bakta-janatA yadi api tvayi rAgiNI &
   tathāpīrṣyāṃ vihāyāsyās tuṣṭāstu svāminī sadā // UtSst_15.11 //	taTA-Api-IrzyAm vihAya-asyAH tuzwA-aH-tu svAminI sadA // UtSst_15.11 //
   bhavadbhāvaḥ puro bhāvī prāpte tvadbhaktisambhave &	Bavat-BAvaH puras BAvI prApte tvad-Bakti-samBave &
   labdhe dugdhamahākumbhe hatā dadhani gṛdhnutā // UtSst_15.12 //	labDe dugDa-mahA-kumBe hatAH daDani gRDnu-tA // UtSst_15.12 //
   kim iyaṃ na siddhir atulā kiṃ vā mukhyaṃ na saukhyam āsravati &	kim iyam na sidDiH atulA kim vA muKyam na sOKyam Asravati &
   bhaktir upacīyamānā yeyaṃ śambhoḥ sadātanī bhavati // UtSst_15.13 //	BaktiH upacIyamAnA yA-iyam SamBoH sadAtanI Bavati // UtSst_15.13 //
   manasi maline madīyemagnā tvadbhaktimaṇilatā kaṣṭam &	manasi maline madIyemagnA tvad-Bakti-maNi-latA kazwam &
   na nijān api tanute tānapauruṣeyān svasampadullāsān // UtSst_15.14 //	na nijAn api tanute tAn-apOruzeyAn sva-sampad-ullAsAn // UtSst-_15.14 //
   bhaktir bhagavati bhavati trilokanāthe nanūttamā siddhiḥ &	BaktiH Bagavati Bavati trilokanATe nanu-uttamA sidDiH &
   kiṃ tv aṇimādikavirahāt saiva na pūrṇeti cintā me // UtSst_15.15 //	kim tu aNima-Adika-virahAt sA-eva na pUrNA-iti cintA me // UtSst_15.15 //
   bāhyato 'ntar api cotkaṭonmiṣattryambakastavakasaurabhāḥ śubhāḥ &	bAhyatas antar api ca-utkawa-unmizat-tryambakastavaka-sOraBAH SuBAH &
   vāsayanty api viruddhavāsanān yogino nikaṭavāsino 'khilān // UtSst_15.16	vAsayanti api virudDa-vAsanAn yoginaH nikawa-vAsinaH aKilAn // UtSst-_15.16
   jyotir asti kathayāpi na kiṃ cid viśvam apy atisuṣuptam aśeṣam &	jyotiH asti kaTaya-api na kim cit viSvam api ati-suzuptam aSezam &
   yatra nātha śivarātripade 'smin nityam arcayati bhaktajanas tvām //	yatra nATa SivarAtri-pade asmin nityam arcayati Bakta-janaH tvAm //
   UtSst_15.17 //	UtSst-_15.17 //
   sattvaṃ satyaguṇe śive bhagavati sphārībhavatv arcane cūḍāyāṃ vilasantu	sattvam satya-guNe Sive Bagavati sPArIBavatu arcane cUxAyAm vilasantu
   śaṅkarapadaprodyadrajaḥsaṅcayāḥ &	SaFkara-pada-prodyat-rajaH-saFcayAH &
   rāgādismṛtivāsanām api samucchettuṃ tamo jṛmbhatāṃ śambho me bhavatāt	rAga-Adi-smRti-vAsanAm api samucCettum tamaH jRmBatAm SamBo me BavatAt-
   tvadātmavilaye traiguṇyavargo 'thavā // UtSst_15.18 //	tvad-Atma-vilaye trEguNya-vargaH aTavA // UtSst_15.18 //
   saṃsārādhvā sudūraḥ kharataravividhavyādhidagdhāṅgayaṣṭiḥ bhogā	saMsAra-aDvA sudUraH Karatara-viviDa-vyADi-dagDa-aFgayazwiH BogA
   naivopabhuktā yad api sukham abhūj jātu nanno cirāya &	na-eva-upaBuktAH yat api suKam aBUt jAtu nanno cirAya &
   itthaṃ vyartho 'smi jātaḥ śaśidharacaraṇākrāntikāntottamāṅgas tvadbhaktaś	itTam vyarTaH asmi jAtaH SaSi-Dara-caraNa-AkrAnti-kAnta-uttamAFgaH tvad-Bakta-H-
   ceti tan me kuru sapadi mahāsampado dīrghadīrghāḥ // UtSst_15.19 //	ca-iti tat me kuru sapadi mahA-sampadaH dIrGa-dIrGAH // UtSst-_15.19 //
   pāśānudbhedanāma ṣoḍaśaṃ stotram	pASAn-udBeda-nAma zoxaSam stotram
   na kiñcid eva lokānāṃ bhavadāvaraṇaṃ prati \var{yat kiṃ cid eva	na kiQcid eva lokAnAm Bavat-AvaraNam prati \var{yat kim cit eva
   bhūtānāṃ\em \cit \Naresvaraparīksā} &	BUtAnAM\em \cit \Naresvara-parIksA} &
   na kiñcid eva bhaktānāṃ bhavadāvaraṇaṃ prati // UtSst_16.1 //	na kiQcid eva BaktAnAm Bavat-AvaraNam prati // UtSst-_16.1 //
   apy upāyakramaprāpyaḥ saṅkulo 'pi viśeṣaṇaiḥ &	api upAya-krama-prApyaH saFkulaH api viSezaNEH &
   bhaktibhājāṃ bhavān ātmā sakṛc chuddho 'vabhāsate // UtSst_16.2 //	Bakti-BAjAm BavAn AtmA sakRt SudDaH avaBAsate // UtSst_16.2 //
   jayanto 'pi hasanty ete jitā api hasanti ca &	jayantaH api hasanti ete jitAH api hasanti ca &
   bhavadbhaktisudhāpānamattāḥ ke 'py eva ye prabho // UtSst_16.3 //	Bavat-Bakti-suDA-pAna-mattAH ke api eva ye praBo // UtSst-_16.3 //
   śuṣkakaṃ maiva siddheya maiva mucyeya vāpi tu &	Suzkakam mA-eva sidDeya mA-eva mucyeya vA-api tu &
   svādiṣṭhaparakāṣṭāptatvadbhaktirasanirbharaḥ // UtSst_16.4 //	svAdizWa-paraka-azwa-Apta-tvad-Bakti-rasa-nirBaraH // UtSst_16.4 //
   yathaivajñātapūrvo 'yaṃ bhavadbhaktiraso mama &	yaTA-eva-jQAta-pUrvaH ayam Bavat-Bakti-rasaH mama &
   ghaṭitas tadvad īśāna sa eva paripuṣyatu // UtSst_16.5 //	GawitaH tadvat ISAna saH eva paripuzyatu // UtSst_16.5 //
   satyena bhagavan nānyaḥ prārthanāprasaro 'sti me &	satyena Bagavat na-anyaH prArTanA-prasaraH asti me &
   kevalaṃ sa tathā ko 'pi bhaktyāveśo 'stu me sadā // UtSst_16.6 //	kevalam sa taTA kaH api BaktyAveSaH astu me sadA // UtSst_16.6 //
   bhaktikṣīvo 'pi kupyeyaṃ bhavāyānuśayīya ca &	Bakti-kzIvaH api kupyeyam BavAya-anuSayIya ca &
   tathā haseyaṃ udyāṃ ca raṭeyaṃ ca śivety alam // UtSst_16.7 //	taTA hasA-iyam udyAm ca raweyam ca Siva-iti alam // UtSst-_16.7 //
   viṣamastho 'pi svastho 'pi rudann api hasann api &	vizama-sTaH api svasTaH api rudan api hasan api &
   gambhīro 'pi vicitto 'pi bhaveyaṃ bhaktitaḥ prabho // UtSst_16.8 //	gamBIraH api vicittaH api Baveyam BaktitaH praBo // UtSst-_16.8 //
   bhaktānāṃ nāsti saṃvedyaṃ tvadantar yadi vā bahiḥ &	BaktAnAm na-asti saMvedyam tvad-antar yadi vA bahis &
   ciddharmā yatra na bhavān nirvikalpaḥ sthitaḥ svayam // UtSst_16.9 //	cit-DarmA yatra na BavAn nirvikalpaH sTitaH svayam // UtSst_16.9 //
   bhaktā nindānukare 'pi tavāmṛtakaṇair iva &	BaktA nindA-anukare api tava-amRta-kaNEH iva &
   hṛṣyanty evāntarāviddhās tīkṣṇaromāñcasūcibhiḥ // UtSst_16.10 //	hRzyanti eva-antarAvidDAH tIkzNa-romAQca-sUciBiH // UtSst_16.10 //
   duḥkhāpi vedanā bhaktimatāṃ bhogāya kalpate &	duHKA-api vedanA BaktimatAm BogAya kalpate &
   yeṣāṃ sudhārdrā sarvaiva saṃvit tvaccandrikāmayī // UtSst_16.11 //	yezAm suDArdrA sarvA-eva saMvid tvad-candrikA-mayI // UtSst-_16.11 //
   yatra tatroparuddhānāṃ bhaktānāṃ bahirantare &	yatra tatra-uparudDAnAm BaktAnAm bahis-antare &
   nirvyājaṃ tvadvapuḥsparśarasāsvādasukhaṃ samam // UtSst_16.12 //	nirvyAjam tvad-vapuH-sparSa-rasa-AsvAda-suKam samam // UtSst-_16.12 //
   taveśa bhakter arcāyāṃ dainyāṃśaṃ dvayasaṃśrayam &	tava-ISa BakteH arcAyAm dEnya-aMSam dvaya-saMSrayam &
   vilupyāsvādayanty eke vapur acchaṃ sudhāmayam // UtSst_16.13 //	vilupya-AsvAdayanti eke vapuH acCam suDA-mayam // UtSst_16.13 //
   bhrāntās tīrthadṛśo bhinnā bhrānter eva hi bhinnatā &	BrAntAH tIrTa-dRSaH BinnAH BrAnteH eva hi Binna-tA &
   niṣpratidvandvi vastv ekaṃ bhaktānāṃ tvaṃ tu rājase // UtSst_16.14 //	nizpratidvandvi vastu ekam BaktAnAm tvam tu rAjase // UtSst_16.14 //
   mānāvamānarāgādiniṣpākavimalaṃ manaḥ &	mAna-avamAna-rAga-Adi-nizpAka-vimalam manaH &
   yasyāsau bhaktimāṃl lokatulyaśīlaḥ kathaṃ bhavet // UtSst_16.15 //	yasya-asO BaktimAn loka-tulya-SIlaH kaTam Bavet // UtSst_16.15 //
   rāgadveṣandhakāro 'pi yeṣāṃ bhaktitviṣā jitaḥ &	rAga-dvezanDakAraH api yezAm Bakti-tvizA jitaH &
   teṣāṃ mahīyasām agre katame jñānaśālinaḥ // UtSst_16.16 //	tezAm mahIyasAm agre katame jQAna-SAlinaH // UtSst_16.16 //
   yasya bhaktisudhāsnānapānādividhisādhanam &	yasya Bakti-suDA-snAna-pAna-Adi-viDi-sADanam &
   tasya prārabdhamadhyāntadaśāsūccaiḥ sukhāsikā // UtSst_16.17 //	tasya prArabDa-maDya-anta-daSA-su-uccEs suKAsikAH // UtSst_16.17 //
   kīrtyaś cintāpadaṃ mṛgyaḥ pūjyo yena tvam eva tat &	kIrtyaH cintA-padam mRgyaH pUjyaH yena tvam eva tat &
   bhavadbhaktimatāṃ ślāghyā lokayātrā bhavanmayī // UtSst_16.18 //	Bavat-BaktimatAm SlAGyA lokayAtrA Bavat-mayI // UtSst-_16.18 //
   muktisaṃjñā vipakvāyā bhakter eva tvayi prabho &	mukti-saMjQA vipakvAyAH BakteH eva tvayi praBo &
   tasyām ādyadaśārūḍhā muktakalpā vayaṃ tataḥ // UtSst_16.19 //	tasyAm AdyadaSa-ArUXAH mukta-kalpAH vayam tatas // UtSst_16.19 //
   duḥkhāgamo 'pi bhūyān me tvadbhaktibharitātmanaḥ &	duHKa-AgamaH api BUyAt me tvad-Bakti-Barita-AtmanaH &
   tvatparācī vibho mā bhūd api saukhyaparamparā // UtSst_16.20 //	tvad-parAcI viBo mA BUt api sOKya-paramparA // UtSst_16.20 //
