   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   utpadyeya bhikṣūsya ātyāyikaṃ cīvaramatyāyikaṃ manyamāno na bhikṣuṇā	utpadyeya BikzUsya AtyAyikam cIvaram-atyAyikam manyamAnaH na BikzuNA
   pratigṛhṇitavyaṃ / pratigṛhṇitvā yāvancīvaradānakālasamayaṃ nikṣipitavyaṃ	pratigRhNitavyam / pratigRhNitvA yAvat-cIvara-dAna-kAla-samayam nikzipitavyam
   / taduttariṃ nikṣipeya nisargika pācattikam /	/ tad-uttarim nikzipeya nisargika pAcattikam /
   PrMoSū(Mā)_NP.29. upavarṣa kho punaḥ tremāsaṃ kārtikī pauṇṇamāsī	PrMoSU(MA)_NP.29. upavarza KaH punar tremAsam kArtikI pONNamAsI
   bhikṣucāraṇyake śayanāsane viharanti / samaye sapratibhaye / saśaṃka	Bikzu-cAraNyake Sayana-Asane viharanti / samaye sa-pratiBaye / sa-SaMka
   sammate / ākāṃkṣamāṇena bhikṣuṇā trayāṇāṃ cīvarāṇāmanyatarānyataraṃ	sammate / Aka-aMkzamANena BikzuNA trayANAm cIvarANAm-anyatara-anyataram
   cīvaraṃ mantaragṛhe nikṣipitavyaṃ / syāttasyā bhikṣūsya kocideva pratyayo	cIvaram mantara-gRhe nikzipitavyam / syAt-tasyAH BikzUsya kocid-eva pratyayo
   tasmāccīvarādvipravāsāya ṣaḍāhaparamantena bhikṣuṇā	tasmAt-cIvarAt-vipravAsAya zaz-Aha-param-antena BikzuNA
   tasmāccīvarādvipravasitavyaṃ / taduttariṃ vipravaseya anyatra	tasmAt-cIvarAt-vipra-vasitavyam / tad-uttarim vipravaseya anyatra
   dīghīsamuteye nissarggika pācattikam /	dIGI-samuteye nissarggika pAcattikam /
   PrMoSū(Mā)_NP.30. yo punabhikṣū jānan sāṃdhikāṃ lābhaṃ saṃghe	PrMoSU(MA)_NP.30. yaH puna-BikzU jAnan sAMDikAm lABam saMGe
   pariṇatamātmano pariṇāmeya nissargika pācattikam //	pariNatam-AtmanaH pariNAmeya nissargika pAcattikam //
   PrMoSū(Mā)_NP.uddānaṃ / [21] pātra [22] bandhanaṃ [23] bhaiṣajña [24]	PrMoSU(MA)_NP.uddAnam / [21] pAtra [22] banDanam [23] BEzajQaH [24]
   mācchedo [25] varṣāśāṣṭikā [26-27] tantuvāyena dve [28] daśāhānāgata [29]	mAcCedaH [25] varzA-SAzwikAH [26-27] tantuvAyena dve [28] daSa-ahAnAgataH [29]
   mupavarṣa [30] pariṇāmanena tṛtīyo vagaḥ //	mupavarzaH [30] pariNAmanena tRtIyaH vagaH //
   PrMoSū(Mā)_NP.uddiṣtāḥ / kho punaḥ rāyuṣmanto triṃśanniḥsarggika pācattikā	PrMoSU(MA)_NP.uddiztAH / KaH punar rAyuzmantaH triMSat-niHsarggika pAcattikA
   dharmmāstatrāyuṣmanto pṛcchāmikaccittha pariśuddhāḥ dvitīyampi āyuṣmanto	DarmmAH-tatra-AyuzmantaH pRcCAmika=-citTa pariSudDAH dvitIyampi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ / tṛtiyampi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH / tRtiyampi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ / pariśuddhātrāyuṣmanto yasmāttūṣṇīmevametaṃ dhārayāmi /	pariSudDAH / pariSudDAtrAyuzmantaH yasmAt-tUzNIm-evam-etam DArayAmi /
   V. THE NINETY-TWO PACATTIKA DHARMAS.	V. THE NINa-ETY-TWO PACA-aTTIKAH DHARMAS.
   ime kho punarāyuṣmanto dvānavatiṃ śuddhapācattikā dharmā anvarddhamāsaṃ	ime KaH punar-AyuzmantaH dvAnavatim SudDapAcattikAH DarmAH anvardDa-m-Asam
   sūtre prātimokṣe uddeśamāgacchanti /	sUtre prAtimokze uddeSam-AgacCanti /
   PrMoSū(Mā)_Pāc.1. saṃprajānamṛṣāvāde pācattikam /	PrMoSU(MA)_PAc.1. saMprajAnamRzA-vAde pAcattikam /
   PrMoSū(Mā)_Pāc.2. omṛṣyavāde pācattikam /	PrMoSU(MA)_PAc.2. omRzya-vAde pAcattikam /
   PrMoSū(Mā)_Pāc.3. bhikṣupiśunye pācattikam /	PrMoSU(MA)_PAc.3. Bikzu-piSunye pAcattikam /
   PrMoSū(Mā)_Pāc.4. yo punabhikṣū jānaṃ saṃghasyāghokaraṇāni / dharmmeṇa	PrMoSU(MA)_PAc.4. yaH puna-BikzU jAnam saMGasya-aGokaraNAni / DarmmeNa
   vinayena vihitāni vyupaśāntāni punaḥ karmmāya ukhoṭeya idaṃ punaḥ	vinayena vihitAni vyupaSAntAni punar karmmAyaH uKoweyaH idam punar-
   karmmakarttavyaṃ bhaviṣyatīti etadeva pratyayaṃ kṛtvā ananyamimantasya	karmma-karttavyam Bavizyati-iti etat-eva pratyayam kRtvA ananyam-imantasya
   bhikṣūsya ukhoṭanaṃ pācattikam /	BikzUsyaH uKowanam pAcattikam /
   PrMoSū(Mā)_Pāc.5. yo punabhikṣurakalpiyakāro mātṛgrāmasya dharmadeśeya	PrMoSU(MA)_PAc.5. yaH puna-BikzuH-akalpiyakAraH mAtR-grAmasya Darma-deSeya
   uttaricchahi pañcāhi vācāhi anyatra vijñapuruṣa pudgalena pācattikam /	uttari=-Cahi paQca-Ahi vAcAhi anyatra vijQapuruza pudgalena pAcattikam /
   PrMoSū(Mā)_Pāc.6. yo punabhikṣūranupasaṃpannaṃ pudgalaṃ padaśo	PrMoSU(MA)_PAc.6. yaH puna-BikzUH-anupasaMpannam pudgalam padaSo
   dharmmavāceya pācattikam /	Darmma-vAceya pAcattikam /
   PrMoSū(Mā)_Pāc.7. yo punabhikṣuranupasaṃpannasya pudgalasya santike	PrMoSU(MA)_PAc.7. yaH puna-BikzuH-anupasaMpannasya pudgalasya santike
   ātmopanāyikamuttarimanuṣyadharmmamalamāryajñānadalanaṃ	Atma-upanAyikam-uttari-manuzya-Darmma-malam-Arya-jQAna-dalanam
   dviśeṣādhigamampratijāneya iti jānāmi iti paśyāmīti bhūmi tasmiṃ	dvi-Seza-aDigamam-pratijAneyaH iti jAnAmi iti paSyAmi-iti BUmi tasmin
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.8. yo punabhikṣūrjjānan bhikṣūsya	PrMoSU(MA)_PAc.8. yaH puna-Bikzu-UrjjAnan BikzUsya
   dūthūllāmāpattimanupasaṃpannasya pudgalasya santike āroceya anyatra kṛtaye	dUTUllAm-Apattim-anupasaMpannasya pudgalasya santike Aroceya anyatra kRtaye
   prakāśanāsammutīye pācattikam /	prakASanAsammutIye pAcattikam /
   PrMoSū(Mā)_Pāc.9. yo punabhikṣurjñānasāṃdhike lābhe bhājīyamāne pūrvve	PrMoSU(MA)_PAc.9. yaH puna-BikzuH-jQAna-sAMDike lABe BAjIyamAne pUrvve
   samanujo bhūtvā paścātkhiyā dharmmamāpadyeya yathāsaṃstutamevāyuṣmanto	sa-manujaH BUtvA paScAt-KiyA Darmmam-Apadyeya yaTAsaMstutam-eva-AyuzmantaH-
   yānaṃ sāṃdhikaṃ lābhaṃ saṃghe pariṇataṃ pudgalo pudgalasya pariṇāmayatīti	yAnam sAMDikam lABam saMGe pariNatam pudgalaH pudgalasya pariNAmayati-iti
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.10. yo punabhikṣūranvarddhamāsaṃ sūtre prātimokṣe	PrMoSU(MA)_PAc.10. yaH puna-BikzUran-vardDa-mAsam sUtre prAtimokze
   uddiśyamāne evaṃ vadeya kiṃ punarāyuṣmanto ime hi kṣudrāśca kṣūdre hi	uddiSyamAne evam vadeya kim punar-AyuzmantaH ime hi kzudrAH-ca kzUdre hi
   śikṣāpade hi uddiṣte hi yāvadeva bhikṣuṇāṃ kaukṛtyāya vighātāya vilekhāya	SikzA-pade hi uddizte hi yAvat-eva BikzuNAm kOkRtyAya viGAtAya vileKAya
   saṃvarttatīti śikṣāvigarhaṇapācattikam //	saMvarttati-iti SikzA-vigarhaNa-pAcattikam //
   PrMoSū(Mā)_Pāc.uddānam / [1] mṛṣā [2] omṛṣya [3] peśunya [4] ukhoṭana [5]	PrMoSU(MA)_PAc.-uddAnam / [1] mRzA [2] omRzya [3] peSunyaH [4] uKowana [5]
   dharmmedeśanā [6] padaśo [7] viśeṣaṇa [8] mārocanā [9] yathāsaṃstuta [10]	Darmmeda-ISanA [6] padaSas [7] viSezaNa [8] mArocanA [9] yaTAsaMstutaH [10]
   vigarhaṇena / prathamo vaggaḥ //	vigarhaNena / praTamaH vaggaH //
   PrMoSū(Mā)_Pāc.11. bījagrāmabhūtagrāma pātāpanake pācattikam //	PrMoSU(MA)_PAc.11. bIja-grAma-BUta-grAma pAtApanake pAcattikam //
   PrMoSū(Mā)_Pāc.12. anyavāda vihiṃsanake pācattikam //	PrMoSU(MA)_PAc.12. anyavAda vihiMsanake pAcattikam //
   PrMoSū(Mā)_Pāc.13. odhyāyana kṣīyanake pācattikam //	PrMoSU(MA)_PAc.13. oDyAyana kzIyanake pAcattikam //
   PrMoSū(Mā)_Pāc.14. yo punabhikṣūḥ sāṃdhike bhikṣuvihāre adyavakāśe	PrMoSU(MA)_PAc.14. yaH puna-BikzUH sAMDike Bikzu-vihAre adya-vakASe
   mañcamvā pīṭhamvā viśikaraṃmvā caturagrakaṃ vā kuccamvā bimbohanamvā	maQcam-vA pIWam-vA viSikaraMmvA catur-agrakam vA kuccam-vA bimbohanamvE-
   prajñāyeyatvā vā / prajñāyāyatvā vā tato prakramanto na udvareya vā na	prajQAyeyatvA vA / prajQA-AyAyatvA vA tatas prakramantaH naH udvareya vA na
   udvarāyeya vā anāmantrayitvā vā prakrameya pācattikam //	udvarAyeya vA anAmantrayitvA vA prakrameya pAcattikam //
   PrMoSū(Mā)_Pāc.15. yo punabhikṣūḥ sāṃdhike bhikṣuvihāre antośayyāṃ	PrMoSU(MA)_PAc.15. yaH puna-BikzUH sAMDike Bikzu-vihAre antoSayyAm
   prajñāyetvā prajñayāyetvā [vā] / tato prakramanto na udvareya vā na	prajQAyetvA prajQayA-ayetvA [vA] / tatas prakramantaH naH udvareya vA na
   udvarāyeya vā anāmantrayitvā vā prakrameya pācattikam //	udvarAyeya vA anAmantrayitvA vA prakrameya pAcattikam //
   PrMoSū(Mā)_Pāc.16. yo punabhikṣū bhikṣūsya duṣto duṣānkupito anāttamano	PrMoSU(MA)_PAc.16. yaH puna-BikzU BikzUsya duztaH duzAn-kupitaH anAttamanaH-
   sāṃdhikā bhikṣuvihārā bhikṣūnnikaḍheya vā nikaḍhḍhāyea vā antamasato nihi	sAMDikAH Bikzu-vihArAH BikzUn-nikaXeya vA nikaXXAyea vE antamasataH nihi
   bhikṣūti vā vādeya pācattikam //	BikzUti vA vAdeya pAcattikam //
   PrMoSū(Mā)_Pāc.17. yo punabhikṣu sāṃdhike bhikṣūvihāre jānanbhikṣūṇāṃ	PrMoSU(MA)_PAc.17. yaH puna-Bikzu sAMDike BikzU-vihAre jAnan-BikzUNAm
   pūrvvaprajñaptā hi śayyāṃ hi paścādagatvā madhye śayyāṃ prajñāyeya	pUrvva-prajQaptAH hi SayyAm hi paScAt-agatvA maDye SayyAm prajQAyeya
   yasyodvahiṣyati so prakramiṣyatīti etadeva pratyayaṃ kṛtvā ananyamimaṃ	yasya-udvahizyati saH prakramizyati-iti etat-eva pratyayam kRtvA ananyam-imam
   tasya bhikṣūsya udvāhana pācattikam //	tasya BikzUsya udvAhana pAcattikam //
   PrMoSū(Mā)_Pāc.18. yo punabhikṣūḥ sāṃdhike bhikṣūvihāropari vaihāyasaṃ	PrMoSU(MA)_PAc.18. yaH puna-BikzUH sAMDike BikzU-vihAra-upari vEhAyasam
   kuṭikāye āhatya pādake maṃce vā pīṭhe vā abhiniṣīdeya vā abhinipadyeya vā	kuwikAye Ahatya pAdake maMce vA pIWe vE aBinizIdeya vA aBinipadyeya vA
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.19. yo punabhikṣūjjānansaprāṇakenodakena tṛṇaṃ vā mṛttikāṃ	PrMoSU(MA)_PAc.19. yaH puna-Bikzu-ut-jAnan-sa-prANakena-udakena tRNam vA mRttikAm
   vā siṃceya vā siṃcāyeya vā pācattikam //	vA siMceya vA siMcAyeya vA pAcattikam //
   PrMoSū(Mā)_Pāc.20. mahallakaṃ bhikṣuṇā vihāraṃ chādāpayamānena	PrMoSU(MA)_PAc.20. mahallakam BikzuNA vihAram CAdApayamAnena
   yāvadvārakoṣā agalapratiṣṭhāna mālokasandhiparikarmmamupādāya dve vā trayo	yAvat-vAra-kozAH agala-pratizWAna mAloka-sanDi-parikarmmam-upAdAya dve vA trayaH-
   vā cchādanaparyāyā adhiṣṭhihitavyāḥ / alpaharite sthitena taduttariṃ	vA cCAdana-paryAyAH aDizWihitavyAH / alpa-harite sTitena tad-uttariM
   adhiṣṭhiheya alpaharite sthitopi pācattikam //	aDizWiheya alpa-harite sTitopi pAcattikam //
   PrMoSū(Mā)_Pāc.uddānaṃ [11] bījaṃ [12] anyavādaṃ [13] udhyāyanaṃ [14]	PrMoSU(MA)_PAc.-uddAnam [11] bIjam [12] anya-vAdam [13] uDyAyanam [14]
   mañca [15] sayyā [16] nikaṭṭanaṃ [17] pūrvvopagataṃ [18] vaihāyasaṃ [19]	maQcaH [15] sayyA [16] nikawwanam [17] pUrvva-upagatam [18] vEhAyasam [19]
   udaka [20] cchādanena // dvitīyovagaḥ //	udaka [20] cCAdanena // dvitIya-uvagaH //
   PrMoSū(Mā)_Pāc.21. yo punabhikṣū asammato bhikṣuṇīmovadeya pācattikam /	PrMoSU(MA)_PAc.21. yaH puna-BikzU asammataH BikzuNIm-aH-vadeya pAcattikam /
   PrMoSū(Mā)_Pāc.22. sammatovāpi bhikṣūḥ bhikṣūṇīmovadeya vikāle astaṃgate	PrMoSU(MA)_PAc.22. sammata-uvA-api BikzUH BikzUNIm-aH-vadeya vikAle astaMgate
   sūye anūhate aruṇe pācattikam //	sUye anUhate aruNe pAcattikam //
   PrMoSū(Mā)_Pāc.23. yo punabhikṣū ovādaprekṣo bhikṣuṇī	PrMoSU(MA)_PAc.23. yaH puna-BikzU ovAt-aprekzaH BikzuNI
   upāśrayamupasaṃkrāmeya santaṃ bhikṣūmanāmantrayitvā anyatra samaye	upASrayam-upasaMkrAmeya santam BikzUmanAmantrayitvA anyatra samaye
   pācattikam //	pAcattikam //
   tatrāyaṃ samayo gilānābhikṣuṇī ovaditavyāḥ anuśāsitavyāḥ bhavati	tatra-ayam samayaH gilAnABikzuNI ovaditavyAH anuSAsitavyAH Bavati
   ayamatrasamayo //	ayamatra-samayaH //
   PrMoSū(Mā)_Pāc.24. yo punabhikṣū bhikṣumaivaṃ vadeya āmiṣaheto	PrMoSU(MA)_PAc.24. yaH puna-BikzU BikzumA-evam vadeyaH Amiza-heto
   āyuṣmanbhikṣū bhikṣūṇīṃ ovadatīti pācattikam //	Ayuzman-BikzU BikzUNIm ovadati-iti pAcattikam //
   PrMoSū(Mā)_Pāc.25. yo punabhikṣū bhikṣūṇīya sārdhameko ekāeraho niṣadyāṃ	PrMoSU(MA)_PAc.25. yaH puna-BikzU BikzUNIya sArDam-ekaH ekAerahaH nizadyAm
   kalpeya pācattikam //	kalpeya pAcattikam //
   PrMoSū(Mā)_Pāc.26. yo punabhikṣū bhikṣūṇīyasārdhaṃ saṃvidhāya adhvānamāgaṃ	PrMoSU(MA)_PAc.26. yaH puna-BikzU BikzUNIyasArDam saMviDAya aDvAnam-Agam
   pratipadyeya antamasato grāmāntaraṃ pi anyatrasamaye pācattikam //	pratipadyeya antam-asataH grAma-antaram pi anyatra-samaye pAcattikam //
   tatrāyaṃ samayo māgo bhavati / sabhayo sapratibhayo sāsaṃkasammaṃto	tatra-ayam samayaH mAgaH Bavati / sa-Bayo sa-pratiBayaH sA-saMka-sammaMto
   ayamatra samayo /	ayam-atra samayaH /
   PrMoSū(Mā)_Pāc.27. yo punabhikṣu bhikṣuṇīyasārdhaṃ saṃvidhāya ekanāvāṃ	PrMoSU(MA)_PAc.27. yaH puna-Bikzu BikzuNIyasArDam saMviDAya ekanAvAn
   abhiruheya urddhagāminīmvā adhogāminīmvā anyatra tiryāttaraṇāya pācattikam	aBiruheya urdDa-gAminIm-vA aDas-gAminIm-vA anyatra tiryAt-taraNAya pAcattikam
   PrMoSū(Mā)_Pāc.28. yo punabhikṣū anyātikāye bhikṣuṇīye cīvaraṃ	PrMoSU(MA)_PAc.28. yaH puna-BikzU anyAtikAye BikzuNIye cIvaram
   dadyādanyatra patuntakena pācattikam //	dadyAt-anyatra patuntakena pAcattikam //
   PrMoSū(Mā)_Pāc.29. yo punabhikṣuranyātikāye bhikṣuṇīye cīvaraṃ sīveya vā	PrMoSU(MA)_PAc.29. yaH puna-BikzuH-anyAtikAye BikzuNIye cIvaram sIveya vA
   sīvāyeya vā pācattikam //	sIvAyeya vA pAcattikam //
   PrMoSū(Mā)_Pāc.30. yo punabhikṣūrjānanbhikṣuṇī paripācitaṃ pinḍapātraṃ	PrMoSU(MA)_PAc.30. yaH puna-Bikzu-UrjAnanBikzuNI paripAcitam pinxa-pAtram
   paribhuṃjeya anyatra pūrvvegṛhī samārambhe pācattikam //	pariBuMjeya anyatra pUrvvegRhI samAramBe pAcattikam //
   udyānaṃ // [21] asammato [22] sammatorapi [23] ovādo [24] āmiṣaṃ [25]	udyAnam // [21] asammataH [22] sammatoH-api [23] ovAdaH [24] Amizam [25]
   niṣadyāca [26] adhvānamārgo [27] nāvā ca [28] deti / [29] sīveti [30]	nizadyAca [26] aDvAna-mArgaH [27] nAvA ca [28] deti / [29] sIvA-iti [30]
   paripācanena // tṛtīyo vargaḥ //	paripAcanena // tRtIyaH vargaH //
   PrMoSū(Mā)_Pāc.31. ekāhaparamaṃ bhikṣuṇā agilānena avasathapinḍapātro	PrMoSU(MA)_PAc.31. ekAha-paramam BikzuNA agilAnena avasaTa-pinxapAtraH-
   paribhuṃñjitavyā taduttariṃ paribhuṃjye pācattikam //	pariBuMQjitavyA tad-uttarim pariBuMjye pAcattikam //
   PrMoSū(Mā)_Pāc.32. paramparābhojane anyatra samaye pācattikam /	PrMoSU(MA)_PAc.32. paramparA-Bojane anyatra samaye pAcattikam /
   tatrāyaṃ samayo / gilānasamayo cīvaradānakālasamayo ayamatra samayo /	tatra-ayam samayaH / gilAn-asamayaH cIvara-dAna-kAla-samayaH ayam-atra samayaH /
   PrMoSū(Mā)_Pāc.33. yo punabhikṣurbhuñjāvīpravārito utthito āsanāto	PrMoSU(MA)_PAc.33. yaH puna-BikzuH-BuQjA-avI-pravAritaH utTitaH AsanAto
   anatiriktaṃ kṛtaṃ khādanīyaṃ vā bhojanīyaṃ vā khādeya vā bhuṃñjeya vā	anatiriktam kRtam KAdanIyam vA BojanIyam vA KAdeya vA BuMQjeya vA
   pācattikam //	pAcattikam //
   PrMoSū(Mā)_Pāc.34. yo punabhikṣujānanbhikṣū	PrMoSU(MA)_PAc.34. yaH puna-Bikzu-jAnan-BikzU
   bhuktāvipravāritamutthitamāsanāto āsādanāprekṣo anatiriktakṛtena	BuktA-vipravAritam-utTitam-AsanAtaH AsAdanA-prekzaH anatirikta-kRtena
   khādanīyena vā bhojanīyena vā upanimantreya ehi bhikṣu khādārhaṃ	KAdanIyena vA BojanIyena vA upanimantreyaH ehi Bikzu KAda-arham
   bhuṃjāhīti vā vadeya bhuktasmiṃ pācattikam //	BuMjA-ahi-iti vA vadeya Buktasmim pAcattikam //
   PrMoSū(Mā)_Pāc.35. yo punabhikṣūradinnamapratigrāhitaṃ	PrMoSU(MA)_PAc.35. yaH punaBikzUra-dinnama-pratigrAhitam
   mukhadvārikamāhāramāhāreya anyatrodaka dantapoṇe pācattikam //	muKadvArikam-AhAram-AhAreya anyatra-udaka dantapoNe pAcattikam //
   PrMoSū(Mā)_Pāc.36. vikālābhojane pācattikam /	PrMoSU(MA)_PAc.36. vikAlA-Bojane pAcattikam /
   PrMoSū(Mā)_Pāc.37. sannidhekāra bhojane pācattikam /	PrMoSU(MA)_PAc.37. sanniDekAra Bojane pAcattikam /
   PrMoSū(Mā)_Pāc.38. bhikṣuṃ kho punaḥ kūle hi upasaṃkrāntaṃ	PrMoSU(MA)_PAc.38. Bikzum KaH punar kUle hi upasaMkrAntam
   pravāretsupūvehi vā manthe hi vā tathā pravāritena bhikṣuṇā	pravAret-supUvehi vA manTe hi vA taTA pravAritena BikzuNA
   yāvantripātrapūraparamaṃ tato pratigṛhṇitavyaṃ / pratigṛhṇitvā	yAvantri-pAtra-pUra-paramam tatas pratigRhNitavyam / pratigRhNitvA
   vahirdvānīharitavyaṃ vahirdvānīharitvā agilānake hi bhikṣū hi sārdhaṃ	vahiH-dvAnIharitavyam vahiH-dvAnI-haritvA agilAnake hi BikzuH hi sArDam
   samvibhajitvā khāditavyaṃ bhuṃjitavyaṃ taduttariṃ pratigṛhṇitvā	samviBajitvA KAditavyam BuMjitavyam tad-uttarim pratigRhNitvA
   vahirdvānīharitvā agilānake hi bhikṣū hi sārddhaṃ samvibhajitvā vā	vahiH-dvAnI-haritvA agilAnake hi BikzuH hi sArdDam samviBajitvA vA
   asaṃvibhajitvā vā khādeva vā bhuṃjeya vā pācattikam /	asaMviBajitvA vA KAda-iva vA BuMjeya vA pAcattikam /
   PrMoSū(Mā)_Pāc.39. yāni kho punarimāni praṇītasammatāni bhojanāni bhavanti	PrMoSU(MA)_PAc.39. yAni KaH punar-imAni praNIta-sammatAni BojanAni Bavanti
   saṃyyathīdaṃ sarpistilaṃ madhuphāṇitaṃ dugdhaṃ dadhi matsyaṃ māsaṃ yo	saMyyaTi-idam sarpiH-tilam maDu-PANitam dugDam daDi matsyam mAsam yaH-
   punabhikṣūrevaṃ rūpāṇi praṇītasammatāni bhojanāni ātmātvāya agilāno kūle	puna-BikzUH-evam rUpANi praNIta-sammatAni BojanAni Atma-AtvAya agilAnaH kUle
   hi vijñepetvā vā vijñāpayetvā vā khādeya vā bhuṃjeya pācattiṃkam /	hi vijQepetvA vA vijQApayetvA vA KAdeya vA BuMjeya pAcat-tiMkam /
   PrMoSū(Mā)_Pāc.40. gaṇabhojane anyatrasamaye pācattikaṃ /	PrMoSU(MA)_PAc.40. gaNa-Bojane anyatra-samaye pAcattikam /
   tatrāyaṃ samayo gilānasamayo cīvaradānakālasamayo adhvānagamanasamayo	tatra-ayam samayaH gilAn-asamayaH cIvara-dAna-kAla-samayaH aDvAna-gamana-samayaH-
   nāvābhirohaṇasamayo mahāsamayo śravaṇabhuktaṃ ayamatrasamayo /	nAvA-aBirohaNa-samayaH mahA-samayaH SravaNa-Buktam ayamatra-samayaH /
   udyānaṃ / [31] āvasatho [32] paramparā [33] pravāraṇā [34] āsadanā [35]	udyAnam / [31] AvasaTaH [32] paramparA [33] pravAraNA [34] AsadanAH [35]
   adinnaṃ [36] vikālaṃ [37] saṃnidhiṃ [38] manthāṃ [39] vijñaptiḥ [40]	adinnam [36] vikAlam [37] saMniDim [38] manTAm [39] vijQaptiH [40]
   gaṇabhojanena // caturtho vargaḥ //	gaNa-Bojanena // caturTaH vargaH //
   PrMoSū(Mā)_Pāc.41. yo punarbhikṣurātmārthāya agilāno kṣobhisminvitāpanā	PrMoSU(MA)_PAc.41. yaH punar-BikzuH-Atma-arTAya agilAnaH kzoBismin-vitApanA
   prokto / tṛṇaṃ vā kāṣṭhaṃ vā gomayaṃ vā sakalikāṃvā oṣamvā saṃkāramvā	proktaH / tRNam vA kAzWam vA gomayam vA sakalikAMvA ozam-vA saMkAramvA
   ādapaheya vā ādahāyeya vā anyatra samaye pācattikam /	Adapa-heya vA AdahAyeya vA anyatra samaye pAcattikam /
   PrMoSū(Mā)_Pāc.42. yo punarbhikṣuranupasaṃpannena pudgalena sārddhaṃ	PrMoSU(MA)_PAc.42. yaH punar-BikzuH-anupasaMpannena pudgalena sArdDam
   uttari dvirātraṃ trirātraṃ vā sahagāraśayyāṃ kalpeya pācattikam /	uttari dvi-rAtram tri-rAtram vA sahagAra-SayyAm kalpeya pAcattikam /
   PrMoSū(Mā)_Pāc.43. yo punarbhikṣurbhikṣūṇāṃ karmaṇācchandandatvā	PrMoSU(MA)_PAc.43. yaH punar-BikzuH-BikzUNAm karmaNA-AcCandandatvA
   paścādduṣṭo doṣānkupito anāttamano evaṃ vadeya adinnaṃ me cchando	paScAt-duzwaH dozAn-kupitaH anAtta-manaH evam vadeya adinnam me cCando
   durddinno me cchando akṛtānyetāni karmāṇi duṣkṛtānyetāni karmāṇi nāhame	durddinnaH me cCandaH akRtAni-etAni karmANi duzkRtAni-etAni karmANi na-aham-e
   teṣāṃ karmaṇācchandaṃ demīti vadeya pācattikam //	tezAm karmaNA-AcCandam demi-iti vadeya pAcattikam //
   PrMoSū(Mā)_Pāc.44. yo punabhikṣū bhikṣūmevaṃ vadeya ehi tvaṃ	PrMoSU(MA)_PAc.44. yaH puna-BikzU BikzUm-evam vadeyaH ehi tvam
   māyuṣmāngrāmaṃ pinḍāya praviśiṣyāmaḥ / ahañca te tatra kiñcidāpayiṣyaṃ /	mAyuzmAn-grAmam pinxAya praviSizyAmaH / ahaQca te tatra kiQcid-Apayizyam /
   so tatra tasya kiñcidāpayitvā vā adāpayitvā vā paścādudyojanaṃ prakṣo evaṃ	saH tatra tasya kiQcid-ApayitvA vA adApayitvA vA paScAt-udyojanam prakzaH evam
   vadeya gaccha tvamāyuṣmanname tvayā sārdhaṃ phāsu bhavati kathāya vā	vadeya gacCa tvam-Ayuzmat-name tvayA sArDam PAsu Bavati kaTAya vA
   niṣadyāya vā / ekasyai ca mama phāsu bhavati / kathāya vā niṣadyāya vā	nizadyAya vA / ekasyE ca mama PAsu Bavati / kaTAya vA nizadyAya vA
   etadeva pratyeyaṃ kṛtvā ananyamimantasya bhikṣusya udyojana pācattikam /	etat-eva pratyeyam kRtvA ananyam-imantasya Bikzusya udyojana pAcattikam /
   PrMoSū(Mā)_Pāc.45. yo punabhikṣu bhikṣūnevaṃ vadeya tathāhamāyuṣmānto	PrMoSU(MA)_PAc.45. yaH puna-Bikzu BikzUn-evam vadeya taTA-aham-Ayuzma-antaH-
   bhagavatā dharmmandeśitamājānāmi yathā ye ime antarāyikā dharmā uktā	BagavatA Darmman-deSitam-AjAnAmi yaTA ye ime antarAyikA DarmAH uktA
   bhagavatā tānpratisevato vā nālamantarāyāya / so bhikṣū bhikṣū hi evamasya	BagavatA tAn-pratisevataH vA nAlam-antarAyAya / saH BikzU BikzuH hi evam-asya
   vacanīyo mā āyuṣmannevamvada mā bhagavantam ācakṣa / asatā buddhyāhī tena	vacanIyaH mA Ayuzman=-evam-vada mA Bagavantam Acakza / asatA budDyA-ahI tena
   antarāyikā evamāyuṣma ndharmāḥ samānā antarāyikā dharmā uktā bhagavatā	antarAyikAH evam-Ayuzma nDarmAH samAnA antarAyikA DarmAH uktA BagavatA
   alañca punastān pratisevato antarāyāya / evaṃ ca so bhikṣu bhikṣuhi	alaQca punar-tAn pratisevataH antarAyAya / evam ca saH Bikzu Bikzuhi
   vucyamāno taṃ vastuṃ pratinissareya ityetaṃ kuśalānno ca pratinissareya /	vucyamAnaH tam vastum pratinissareyaH iti-etam kuSalAt-naH ca pratinissareya /
   so bhikṣu bhikṣuhi yāvantṛtīyakaṃ samanugrāhitavyo samanubhāṣitavyo tasya	saH Bikzu Bikzuhi yAvantRtIyakam samanugrAhitavyaH samanuBAzitavyaH tasya
   vastusya pratinissagāya yāvantṛtīyakaṃ samanugrāhiyamāṇo vā	vastusya pratinissagAya yAvantRtIyakam samanugrAhiyamANaH vA
