   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   aśvapatyādibhyaśca // VLk_1001 = P_4,1.84 //	aSvapatyAdiByaH-ca // VLk-_1001  P_4,1.84 //
   ebhyo 'ṇ syātprāgdīvyatīyeṣvartheṣu / aśvapaterapatyādi āśvapatam /	eByaH aN syAt-prAgdIvyatIyezu-arTezu / aSva-pateH-apatya-Adi ASvapatam /
   gāṇapatam //	gANapatam //
   dityadityādityapatyuttarapadāṇṇyaḥ // VLk_1002 = P_7,2.117 //	dityat-iti-Aditya-pati-uttara-padANNyaH // VLk-_1002  P_7,2.117 //
   dityādibhyaḥ patyutatarapadācca prāgdīvyatiyeṣvartheṣu ṇyaḥ syāt / aṇo	diti-AdiByaH pati-utatara-padAt-ca prAk-dIvyatiyezu-arTezu NyaH syAt / aNaH-
   'pavādaḥ / diterapatyaṃ daityaḥ / aditerādityasya vā //	apavAdaH / diteH-apatyam dEtyaH / aditeH-Adityasya vA //
   halo yamāṃ yami lopaḥ // VLk_1003 = P_4,1.85 //	halaH yamAm yami lopaH // VLk-_1003  P_4,1.85 //
   halaḥ parasya yamo lopaḥ syād vā yami / iti yalopaḥ / ādityaḥ /	halaH parasya yamaH lopaH syAt vA yami / iti yalopaH / AdityaH /
   prājāpatyaḥ / (devādyañañau) / daivyam/ daivam / (bahiṣaṣṭilopo yañca) /	prAjApatyaH / (deva-Adi-aQaQO) / dEvyam/ dEvam / (bahi-zazwi-lopaH yaQca) /
   bāhyaḥ (īkakca) //	bAhyaH (Ikakca) //
   kiti ca // VLk_1004 = P_7,2.118 //	kiti ca // VLk-_1004  P_7,2.118 //
   kiti taddhite cācāmāderaco vṛddhiḥ syāt / vāhīkaḥ / (gorajādiprasaṅge yat)	kiti tad-hite ca-AcAma-AdeH-acaH vRdDiH syAt / vAhIkaH / (goraja-Adi-prasaFge yat)
   / gorapatyādi gavyam //	/ gorapatyAdi gavyam //
   utsādibhyo 'ñ // VLk_1005 = P_4,1.86 //	utsAdiByaH aQ // VLk-_1005  P_4,1.86 //
   autsaḥ //	OtsaH //
   ityapatyādivikārāntārtha sādhāraṇapratyayāḥ // 1 //	iti-apatya-Adi-vikAra-anta-arTa sADAraNa-pratyayAH // 1 //
   athāpatyādhikāraḥ	aTa-apatya-aDikAraH
   strīpuṃsābhyāṃ nañsnañau bhavanāt // VLk_1006 = P_4,1.87 //	strIpuMsAByAm naQsnaQO BavanAt // VLk-_1006  P_4,1.87 //
   dhānyānāṃ bhavana ityataḥ prāgartheṣu strīpuṃsābhyāṃ kramānnañsnañau staḥ	DAnyAnAm BavanaH iti-atas prAc-arTezu strIpuMsAByAm kramAt-naQsnaQO staH
   / straiṇaḥ / paiṃsnaḥ //	/ strENaH / pEMsnaH //
   tasyāpatyam // VLk_1007 = P_4,1.92 //	tasya-apatyam // VLk-_1007  P_4,1.92 //
   ṣaṣṭhyantātkṛtasandheḥ samarthādapatyer'the uktā vakṣyamāṇāśca pratyayā vā	zazWI-antAt-kRta-sanDeH samarTAt-apatyer-aTe uktAH vakzyamANAH-ca pratyayA vA
   syuḥ //	syuH //
   orguṇaḥ // VLk_1008 = P_6,4.146 //	orguNaH // VLk-_1008  P_6,4.146 //
   uvarṇāntasya bhasya guṇastaddhite / upagorapatyamaupagavaḥ / āśvapataḥ /	uvarNa-antasya Basya guNaH-tad-hite / upagoH-apatyam-OpagavaH / ASvapataH /
   daityaḥ / autsaḥ / straiṇaḥ / paiṃsnaḥ //	dEtyaH / OtsaH / strENaH / pEMsnaH //
   apatyaṃ pautraprabhṛti gotram // VLk_1009 = P_4,1.162 //	apatyam pOtra-praBRti gotram // VLk-_1009  P_4,1.162 //
   apatyatvena vivakṣitaṃ pautrādi gotrasaṃjñaṃ syāt //	apatya-tvena vivakzitam pOtra-Adi gotra-saMjQam syAt //
   eko gotre // VLk_1010 = P_4,1.93 //	ekaH gotre // VLk-_1010  P_4,1.93 //
   gotre eka evāpatyapratyayaḥ syāt / upagorgotrāpatyamaupagavaḥ //	gotre ekaH eva-apatya-pratyayaH syAt / upagoH-gotra-apatyam-OpagavaH //
   gargādibhyo yañ // VLk_1011 = P_4,1.105 //	garga-AdiByaH yan // VLk-_1011  P_4,1.105 //
   gotrāpatye / gargasya gotrāpatyaṃ gārgyaḥ / vātsyaḥ //	gotra-apatye / gargasya gotra-apatyam gArgyaH / vAtsyaH //
   yañañośca // VLk_1012 = P_2,4.64 //	yaQaQoH-ca // VLk-_1012  P_2,4.64 //
   gotre yadyañantamañantaṃ ca tadavayavayoretayorluk syāttatkṛte bahutve na	gotre yadi-aQantam-aQantam ca tad-avayavayoH-etayoH-luc syAt-tad-kRte bahu-tve na
   tu striyām / gargāḥ / vatsāḥ //	tu striyAm / gargAH / vatsAH //
   jīvati tu vaṃśye yuvā // VLk_1013 = P_4,1.163 //	jIvati tu vaMSye yuvA // VLk-_1013  P_4,1.163 //
   vaṃśye pitrādau jīvati pautrāderyadapatyaṃ caturthādi tadyuvasaṃjñameva	vaMSye pitR-AdO jIvati pOtra-AdeH-yat-apatyam caturTa-Adi tat-yuva-saMjQam-eva
   syāt //	syAt //
   gotrādyūnyastriyām // VLk_1014 = P_4,1.94 //	gotra-AdyUni-astriyAm // VLk-_1014  P_4,1.94 //
   yūnyapatye gotrapratyayāntādeva pratyayaḥ syāt, striyāṃ tu na yuvasaṃjñā	yUni-apatye gotra-pratyaya-antAt-eva pratyayaH syAt, striyAm tu na yuva-saMjQA
   yañiñośca // VLk_1015 = P_4,1.101 //	yaQiQoH-ca // VLk-_1015  P_4,1.101 //
   gotre yau yañiñau tadantātphak syāt //	gotre yO yaQiQO tad-antAt-Pak syAt //
   āyaneyīnīyiyaḥ phaḍhakhachaghāṃ pratyayādīnām // VLk_1016 = P_7,1.2 //	AyaneyInIyiyaH PaXaKa-CaGAm pratyaya-AdInAm // VLk-_1016  P_7,1.2 //
   pratyayādeḥ phasya āyan, ḍhasya ey, khasya īn, chasya īy, ghasya iy ete	pratyaya-AdeH PasyaH Ayan, XasyaH ey, Kasya In, Casya Iy, Gasya iy ete
   syuḥ/ gargasya yuvāpatyaṃ gārgyāyaṇaḥ / dākṣāyaṇaḥ //	syuH/ gargasya yuvA-apatyam gArgyAyaNaH / dAkzAyaNaH //
   ata iñ // VLk_1017 = P_4,1.95 //	atas in // VLk-_1017  P_4,1.95 //
   apatyer'the / dākṣiḥ //	apatyer-aTe / dAkziH //
   bāhvādibhyaśca // VLk_1018 = P_4,1.96 //	bAhu-AdiByaH-ca // VLk-_1018  P_4,1.96 //
   bāhaviḥ / auḍulomiḥ / (lomno 'patyeṣu bahuṣvakāro vaktavyaḥ) / uḍulomāḥ /	bAhaviH / OxulomiH / (lomnaH apatyezu bahuzu-akAraH vaktavyaH) / uxulomAH /
   ākṛtigaṇo 'yam //	AkRti-gaNaH ayam //
   anṛṣyānantarye bidādibhyo 'ñ // VLk_1019 = P_4,1.104 //	anRzya-Anantarye bida-AdiByaH aQ // VLk-_1019  P_4,1.104 //
   ebhyo 'ñ gotre / ye tvatrānṛṣayastebhyo 'patye 'nyatra tu gotre / bidasya	eByaH aQ gotre / ye tu-atra-anRzayaH-teByaH apatye anyatra tu gotre / bidasya
   gotraṃ baidaḥ / baidau / bidāḥ / putrasyāpatyaṃ pautraḥ / pautrau /	gotram bEdaH / bEdO / bidAH / putrasya-apatyam pOtraH / pOtrO /
   pautrāḥ / evaṃ dauhitrādayaḥ //	pOtrAH / evam dOhitra-AdayaH //
   śivādibhyo 'ṇ // VLk_1020 = P_4,1.112 //	Siva-AdiByaH aN // VLk-_1020  P_4,1.112 //
   apatye / śaivaḥ / gāṅgaḥ //	apatye / SEvaH / gAFgaH //
   ṛṣyandhakavṛṣṇikurubhyaśca // VLk_1021 = P_4,1.114 //	Rzi-anDaka-vRzNi-kuruByaH-ca // VLk-_1021  P_4,1.114 //
   ṛṣibhyaḥ - vāsiṣṭhaḥ / vaiśvāmitraḥ / andhakebhyaḥ - śvāphalkaḥ /	RziByaH  vAsizWaH / vESvAmitraH / anDakeByaH  SvAPalkaH /
   vṛṣṇibhyaḥ - vāsudevaḥ / kurubhyaḥ - nākulaḥ / sāhadevaḥ //	vRzNiByaH  vAsudevaH / kuruByaH  na-AkulaH / sAhadevaH //
   māturutsaṃkhyāsaṃbhadrapūrvāyāḥ // VLk_1022 = P_4,1.115 //	mAtuH-utsaMKyA-saMBadra-pUrvAyAH // VLk-_1022  P_4,1.115 //
   saṃkhyādipūrvasya mātṛśabdasyodādeśaḥ syādaṇ pratyayaśca / dvaimāturaḥ /	saMKyA-Adi-pUrvasya mAtR-Sabdasya-udAdeSaH syAt-aN pratyayaH-ca / dvEmAturaH /
   ṣāṇmāturaḥ / sāṃmāturaḥ / bhādramāturaḥ //	zANmAturaH / sAMma-AturaH / BAdram-AturaH //
   strībhyo ḍhak // VLk_1023 = P_4,1.120 //	strIByaH Xak // VLk-_1023  P_4,1.120 //
   strīpratyayāntebhyo ḍhak / vainateyaḥ //	strI-pratyaya-anteByaH Xak / vEnateyaH //
   kanyāyāḥ kanīna ca // VLk_1024 = P_4,1.116 //	kanyAyAH kanIna ca // VLk-_1024  P_4,1.116 //
   cādaṇ / kānīno vyāsaḥ karṇaśca //	ca-adaw / kAnInaH vyAsaH karNaH-ca //
   rājaśvaśurādyat // VLk_1025 = P_4,1.137 //	rAja-SvaSurAt-yat // VLk-_1025  P_4,1.137 //
   (rājño jātāveveti vācyam) //	(rAjQaH jAtO=-eva-iti vAcyam) //
   ye cābhāvakarmaṇoḥ // VLk_1026 = P_6,4.168 //	ye ca-aBAva-karmaNoH // VLk-_1026  P_6,4.168 //
   yādau taddhite pare 'n prakṛtyā syānna tu bhāvakarmaṇoḥ / rājanyaḥ /	yAdO tad-hite pare an prakRtyA syAt-na tu BAva-karmaNoH / rAjanyaH /
   jātāveveti kim ? - .	jAtO=-eva-iti kim ?  .
   an // VLk_1027 = P_6,4.167 //	an // VLk-_1027  P_6,4.167 //
   an prakṛtyā syādaṇi pare / rājanaḥ / śvaśuryaḥ //	an prakRtyA syAt-aNi pare / rAjanaH / SvaSuryaH //
   kṣattrād ghaḥ // VLk_1028 = P_4,1.138 //	kzattrAt GaH // VLk-_1028  P_4,1.138 //
   kṣattriyaḥ / jātāvityeva/ kṣāttriranyatra //	kzattriyaH / jAtO=-iti-eva/ kzAttriH-anyatra //
   revatyādibhyaṣṭhak // VLk_1029 = P_4,1.146 //	revati-AdiByazWak // VLk-_1029  P_4,1.146 //
   ṭhasyekaḥ // VLk_1030 = P_7,3.50 //	Wasi-ekaH // VLk-_1030  P_7,3.50 //
   aṅgātparasya ṭhasyekādeśaḥ syāt / raivatikaḥ //	aFgAt-parasya Wasi-eka-AdeSaH syAt / rEvatikaH //
   janapadaśabdātkṣattriyādañ // VLk_1031 = P_4,1.168 //	janapada-SabdAt-kzattriyAdan // VLk-_1031  P_4,1.168 //
   janapadakṣattriyavācakācchabdādañ syādapatye / pāñcālaḥ / (kṣattriyasamāna	janapada-kzattriya-vAcakAt-SabdAdan syAt-apatye / pAQcAlaH / (kzattriya-samAna
   śabdājjanapadāttasya rājanyapatyavat) / pañcālānāṃ rājā pāñcālaḥ /	SabdAt-janapadAt-tasya rAjani-apatyavat) / paQcAlAnAm rAjA pAQcAlaH /
   (pūroraṇ vaktavyaḥ) / pauravaḥ / (pāṇḍorḍyaṇ) / pāṇḍyaḥ //	(pUroH-aN vaktavyaH) / pOravaH / (pANxorxyaN) / pANxyaH //
   kurunādibhyo ṇyaḥ // VLk_1032 = P_4,1.172 //	kurunA-AdiByaH NyaH // VLk-_1032  P_4,1.172 //
   kauravyaḥ / naiṣadhyaḥ //	kOravyaH / nEzaDyaH //
   te tadrājāḥ // VLk_1033 = P_4,1.174 //	te tad-rAjAH // VLk-_1033  P_4,1.174 //
   añādayastadrājasaṃjñāḥ syuḥ //	aQAdayaH-tad-rAja-saMjQAH syuH //
   tadrājasya bahuṣu tenaivāstriyām // VLk_1034 = P_2,4.62 //	tad-rAjasya bahuzu tena-eva-astriyAm // VLk-_1034  P_2,4.62 //
   bahuṣvartheṣu tadrājasya luk tadarthakṛte bahutve na tu striyām /	bahuzu-arTezu tad-rAjasya luc tad-arTa-kRte bahu-tve na tu striyAm /
   ikṣvākavaḥ / pañcālāḥ ityādi //	ikzvAkavaH / paQcAlAH ityAdi //
   kambojālluk // VLk_1035 = P_4,1.175 //	kambojAlluj // VLk-_1035  P_4,1.175 //
   asmāttadrājasya luk / kambojaḥ / kambojau / (kambojādibhya iti vaktavyam)	asmAt-tad-rAjasya luc / kambojaH / kambojO / (kamboja-AdiByaH iti vaktavyam)
   / colaḥ / śakaḥ / keralaḥ / yavanaḥ //	/ colaH / SakaH / keralaH / yavanaH //
   ityapatyādhikāraḥ // 2 //	iti-apatya-aDikAraH // 2 //
   atha raktādyarthakāḥ	aTa rakta-Adi-arTakAH
   tena raktaṃ rāgāt // VLk_1036 = P_4,2.1 //	tena raktam rAgAt // VLk-_1036  P_4,2.1 //
   aṇ syāt / rajyate 'neneti rāgaḥ / kāṣāyeṇa raktaṃ vastraṃ kāṣāyam //	az syAt / rajyate anena-iti rAgaH / kAzAyeNa raktam vastram kAzAyam //
   nakṣatreṇa yuktaḥ kālaḥ // VLk_1037 = P_4,2.3 //	nakzatreNa yuktaH kAlaH // VLk-_1037  P_4,2.3 //
   aṇ syāt / (tiṣyapuṣyayornakṣatrāṇi yalopa iti vācyam) / puṣyeṇa yuktaṃ	az syAt / (tizya-puzyayoH-nakzatrANi yalopaH iti vAcyam) / puzyeNa yuktam
   pauṣamahaḥ //	pOzam-ahaH //
   lubaviśeṣe // VLk_1038 = P_4,2.4 //	luba-viSeze // VLk-_1038  P_4,2.4 //
   pūrveṇa vihitasya lup syāt ṣaṣṭidaṇḍātmakasya kālasyāvāntaraviśeṣaścenna	pUrveNa vihitasya luB syAt zazwi-daNxa-Atmakasya kAlasya-avAntara-viSezaH-ced-na
   gamyate / adya puṣyaḥ //	gamyate / adya puzyaH //
   dṛṣṭaṃ sāma // VLk_1039 = P_4,2.7 //	dRzwam sAma // VLk-_1039  P_4,2.7 //
   tenetyeva / vasiṣṭhena dṛṣṭaṃ vāsiṣṭhaṃ sāma //	tena-iti-eva / vasizWena dRzwam vAsizWam sAma //
   vāmadevāḍḍyaḍḍyau // VLk_1040 = P_4,2.9 //	vAmadevAxxyaxxyO // VLk-_1040  P_4,2.9 //
   vāmadevena dṛṣṭaṃ sāma vāmadevyam //	vAmadevena dRzwam sAma vAmadevyam //
   parivṛto rathaḥ // VLk_1041 = P_4,2.10 //	parivRtaH raTaH // VLk-_1041  P_4,2.10 //
   asminnarthe 'ṇ pratyayo bhavati / vastreṇa parivṛto vāstro rathaḥ //	asmin=-arTe aN pratyayaH Bavati / vastreNa parivRtaH vA-astraH raTaH //
   tatroddhṛtamamatrebhyaḥ // VLk_1042 = P_4,2.14 //	tatra-udDRtamamatreByaH // VLk-_1042  P_4,2.14 //
   śarāve uddhṛtaḥ śārāva odanaḥ //	SarAve udDRtaH SArAvaH odanaH //
   saṃskṛtaṃ bhakṣāḥ // VLk_1043 = P_4,2.16 //	saMskRtam BakzAH // VLk-_1043  P_4,2.16 //
   saptamyantādaṇ syātsaṃskṛter'the yatsaṃskṛtaṃ bhakṣāścette syuḥ /	saptamI-anta-adaN syAt-saMskRter-aTe yat-saMskRtam BakzAH-ced-te syuH /
   bhrāṣṭreṣu saṃskṛtā bhrāṣṭrā yavāḥ //	BrAzwrezu saMskRtAH BrAzwrAH yavAH //
   sāsya devatā // VLk_1044 = P_4,2.24 //	sA-asya devatAH // VLk-_1044  P_4,2.24 //
   indro devatāsyeti aindraṃ haviḥ / pāśupatam / bārhaspatyam //	indraH devatA-asya-iti Endram haviH / pASupatam / bArhaspatyam //
   śukrādghan // VLk_1045 = P_4,2.26 //	SukrAt-Gan // VLk-_1045  P_4,2.26 //
   śukriyam //	Sukriyam //
   somāṭṭyaṇ // VLk_1046 = P_4,2.30 //	somAwwyaN // VLk-_1046  P_4,2.30 //
   saumyam //	sOmyam //
   vāyvṛtupitruṣaso yat // VLk_1047 = P_4,2.31 //	vAyu-Rtu-pitR-uzasaH yat // VLk-_1047  P_4,2.31 //
   vāyavyam / ṛtavyam //	vAyavyam / Rtavyam //
   rīṅ ṛtaḥ // VLk_1048 = P_7,4.27 //	rIF RtaH // VLk-_1048  P_7,4.27 //
   akṛdyakāre asārvadhātuke yakāre cvau ca pare ṛdantāṅgasya rīṅādeśaḥ /	akRt-yakAre asArvaDAtuke yakAre cvO ca pare Rdanta-aFgasya rIFA-deSaH /
   yasyeti ca / pitryam / uṣasyam //	yasya-iti ca / pitryam / uzasyam //
   pitṛvyamātulamātāmahapitāmahāḥ // VLk_1049 = P_4,2.36 //	pitRvya-mAtula-mAtAmaha-pitAmahAH // VLk-_1049  P_4,2.36 //
   ete nipātyante / piturbhrātā pitṛvyaḥ / māturbhrātā mātulaḥ / mātuḥ pitā	ete nipAtyante / pituH-BrAtA pitRvyaH / mAtuH-BrAtA mAtulaH / mAtuH pitA
   mātāmahaḥ / pituḥ pitā pitāmahaḥ //	mAtAmahaH / pituH pitA pitAmahaH //
   tasya samūhaḥ // VLk_1050 = P_4,2.37 //	tasya samUhaH // VLk-_1050  P_4,2.37 //
   kākānāṃ samūhaḥ kākam //	kAkAnAm samUhaH kAkam //
   bhikṣādibhyo 'ṇ // VLk_1051 = P_6,4.146 //	BikzA-AdiByaH aN // VLk-_1051  P_6,4.146 //
   bhikṣāṇāṃ samūho bhaikṣam / garbhiṇīnāṃ samūho gārbhiṇam / iha (bhasyāḍhe	BikzANAm samUhaH BEkzam / garBiNInAm samUhaH gArBiNam / iha (Basya-AXe
   taddhite) / iti puṃvadbhāve kṛte - .	tad-hite) / iti puMvat-BAve kRte  .
   inaṇyanapatye // VLk_1052 = P_4,2.37 //	inaNI-anapatye // VLk-_1052  P_4,2.37 //
   anapatyārthe 'ṇi pare in prakṛtyā syāt / tena nastaddhita iti ṭilopo na /	anapatya-arTe aNi pare id prakRtyA syAt / tena naH-tad-hitaH iti wi-lopaH na /
   yuvatīnāṃ samūho yauvanam //	yuvatInAm samUhaH yOvanam //
   grāmajanabandhubhyastal // VLk_1053 = P_4,2.43 //	grAma-jana-banDuByaH-tat // VLk-_1053  P_4,2.43 //
   talantaṃ striyām / gramatā / janatā / bandhutā / (gajasahāyābhyāṃ ceti	talantam striyAm / grama-tA / janatA / banDu-tA / (gaja-sahAyAByAm ca-iti
   vaktavyam) / gajatā / sahāyatā / (ahnaḥ khaḥ kratau) / ahīnaḥ //	vaktavyam) / gaja-tA / sahAya-tA / (ahnaH KaH kratO) / ahInaH //
   acittahastidhenoṣṭhak // VLk_1054 = P_4,2.47 //	acitta-hasti-Dena-uzWak // VLk-_1054  P_4,2.47 //
   isusuktāntātkaḥ // VLk_1055 = P_7,3.51 //	isu-sukta-antAt-kaH // VLk-_1055  P_7,3.51 //
   is us uktāntātparasya ṭhasya kaḥ / sāktukam / hāstikam / dhainukam //	iH us ukta-antAt-parasya Wasya kaH / sAktukam / hAstikam / DEnukam //
   tadadhīte tadveda // VLk_1056 = P_4,2.59 //	tat-aDIte tat-vedaH // VLk-_1056  P_4,2.59 //
   na yvābhyām padāntābhyāṃ pūrvau tu tābhyāmaic // VLk_1057 = P_7,3.3 //	na yvAByAm pada-antAByAm pUrvO tu tAByAm-Et // VLk-_1057  P_7,3.3 //
   padāntābhyāṃ yakāravakārābhyāṃ parasya na vṛddhiḥ kiṃtu tābhyāṃ pūrvau	pada-antAByAm yakAra-vakArAByAm parasya na vRdDiH kiMtu tAByAm pUrvO
   kramādaijāvāgamau staḥ/ vyākaraṇamadhīte veda vā vaiyākaraṇaḥ //	kramAdEjO=-AgamO staH/ vyAkaraNam-aDIte veda vA vEyAkaraNaH //
   kramādibhyo vun // VLk_1058 = P_4,2.61 //	krama-AdiByaH vun // VLk-_1058  P_4,2.61 //
   kramakaḥ / padakaḥ / śikṣakaḥ / mīmāṃsakaḥ //	kramakaH / padakaH / SikzakaH / mImAMsakaH //
   iti raktādyarthakāḥ // 3 //	iti rakta-Adi-arTakAH // 3 //
   atha cāturarthikāḥ	aTa cAturarTikAH
   tadasminnastīti deśe tannāmni // VLk_1059 = P_4,2.67 //	tat-asmin=-asti-iti deSe tad-nAmni // VLk-_1059  P_4,2.67 //
   udumbarāḥ santyasmindeśe audumbaro deśaḥ //	udumbarAH santi-asmin-deSe OdumbaraH deSaH //
   tena nirvṛttam // VLk_1060 = P_4,2.68 //	tena nirvRttam // VLk-_1060  P_4,2.68 //
   kuśāmbena nirvṛttā nagarī kauśāmbī //	kuSAmbena nirvRttA nagarI kOSAmbI //
   tasya nivāsaḥ // VLk_1061 = P_4,2.69 //	tasya nivAsaH // VLk-_1061  P_4,2.69 //
   śibīnāṃ nivāso deśaḥ śaibaḥ //	SibInAm nivAsaH deSaH SEbaH //
   adūrabhavaśca // VLk_1062 = P_4,2.70 //	adUra-BavaH-ca // VLk-_1062  P_4,2.70 //
   vidiśāyā adūrabhavaṃ nagaraṃ vaidiśam //	vidiSAyAH adUra-Bavam nagaram vEdiSam //
   janapade lup // VLk_1063 = P_1,2.51 //	janapade luB // VLk-_1063  P_1,2.51 //
   janapade vācye cāturarthikasya lup //	janapade vAcye cAturarTikasya luB //
   lupi yuktavadvyaktivacane // VLk_1064 = P_1,2.51 //	lupi yukta-vat-vyakti-vacane // VLk-_1064  P_1,2.51 //
   lupi sati prakṛtivalliṅgavacane staḥ / pañcālānāṃ nivāso janapadaḥ	lupi sati prakRti-vat-liFga-vacane staH / paQcAlAnAm nivAsaH janapadaH
   pañcālāḥ/ kuravaḥ / aṅgāḥ/ vaṅgāḥ / kaliṅgāḥ //	paQcAlAH/ kuravaH / aFgAH/ vaFgAH / kaliFgAH //
   varaṇādibhyaśca // VLk_1065 = P_4,2.82 //	varaNa-AdiByaH-ca // VLk-_1065  P_4,2.82 //
   ajanapadārtha ārambhaḥ / varaṇānāmadūrabhavaṃ nagaraṃ varaṇāḥ //	ajana-padArTaH AramBaH / varaNAnAm-adUra-Bavam nagaram varaNAH //
   kumudanaḍavetasebhyo ḍmatup // VLk_1066 = P_4,2.87 //	kumuda-naxa-vetaseByaH xmatuB // VLk-_1066  P_4,2.87 //
   jhayaḥ // VLk_1067 = P_8,2.10 //	JayaH // VLk-_1067  P_8,2.10 //
   jhayantānmatormasya vaḥ / kumudvān / naḍvān //	JayantAn-mata-Urmasya vaH / kumudvAn / naxvAn //
   mādupadhāyāśca matorvo 'yavādibhyaḥ // VLk_1068 = P_8,2.9 //	mAdupaDAyAH-ca mata-urvaH ayavAdiByaH // VLk-_1068  P_8,2.9 //
   mavarṇāvarṇāntānmavarṇāvarṇopadhācca yavādivarjitātparasya matormasya vaḥ	mavarNa-AvarNa-antAn-mavarNa-avarNa-upaDAt-ca yava-Adi-varjitAt-parasya mata-Urmasya vaH
   / vetasvān //	/ vetasvAn //
   naḍaśādāḍḍvalac // VLk_1069 = P_4,2.88 //	naxa-SAdAxxvalat // VLk-_1069  P_4,2.88 //
   naḍvalaḥ / śādvalaḥ //	naxvalaH / SAdvalaH //
   śikhāyā valac // VLk_1070 = P_4,2.89 //	SiKAyAH valat // VLk-_1070  P_4,2.89 //
   śikhāvalaḥ //	SiKAvalaH //
   iti cāturarthikāḥ // 4 //	iti cAturarTikAH // 4 //
   atha śaiṣikāḥ	aTa SEzikAH
   śeṣe // VLk_1071 = P_4,1.92 //	Seze // VLk-_1071  P_4,1.92 //
   apatyādicaturarthyantādanyor'thaḥ śeṣastatrāṇādayaḥ syuḥ / cakṣuṣā gṛhyate	apatya-Adi-catur-arTI-antAdanyor-aTaH SezaH-tatrANa-AdayaH syuH / cakzuzA gRhyate
   cākṣuṣaṃ rūpam / śrāvaṇaḥ śabdaḥ / aupaniṣadaḥ puruṣaḥ / dṛṣadi piṣṭā	cAkzuzam rUpam / SrAvaNaH SabdaH / OpanizadaH puruzaH / dRzadi pizwA
   dārṣadāḥ saktavaḥ / caturbhiruhyaṃ cāturaṃ śakaṭam / caturdaśyāṃ dṛśyate	dArzadAH saktavaH / caturBiruhyam ca-Aturam Sakawam / caturdaSyAm dRSyate
   cāturdaśaṃ rakṣaḥ / "tasya vikāraḥ'; ityataḥ prāk śeṣādhikāraḥ //	cAturdaSam rakzaH / "tasya vikAraH-a; iti-atas prAk Seza-aDikAraH //
   rāṣṭrāvārapārādghakhau // VLk_1072 = P_4,2.93 //	rAzwra-AvAra-pArAt-GaKO // VLk-_1072  P_4,2.93 //
   ābhyāṃ kramād ghakhau staḥ śeṣe / rāṣṭre jātādiḥ rāṣṭriyaḥ/ avārapārīṇaḥ/	AByAm kramAt GaKO staH Seze / rAzwre jAta-AdiH rAzwriyaH/ avAra-pArINaH/
   (avārapārādvigṛhītādapi viparītācceti vaktavyam) / avārīṇaḥ/ pārīṇaḥ/	(a-vAra-pArAt-vigRhItAt-api viparItAt-ca-iti vaktavyam) / avArINaH/ pArINaH/
   pārāvārīṇaḥ/ iha prakṛtiviśeṣād ghādayaṣṭyuṭyulantāḥ pratyayā ucyante	pArAvArINaH/ iha prakRti-viSezAt GAda-yazwi-uwI-ulantAH pratyayAH ucyante
   teṣāṃ jātādayor'thaviśeṣāḥ samartha vibhaktayaśca vakṣyante //	tezAm jAta-AdayoH-aTa-viSezAH samarTa viBaktayaH-ca vakzyante //
   grāmādyakhañau // VLk_1073 = P_4,2.94 //	grAma-Adya-KaQO // VLk-_1073  P_4,2.94 //
   grāmyaḥ / grāmīṇaḥ //	grAmyaH / grAmINaH //
   nadyādibhyo ḍhak // VLk_1074 = P_4,2.97 //	nadI-AdiByaH Xak // VLk-_1074  P_4,2.97 //
   nādeyam / māheyam / vārāṇaseyam //	nAdeyam / mAheyam / vArANaseyam //
   dakṣiṇāpaścātpurasastyak // VLk_1075 = P_4,2.98 //	dakziNApaScAt-purasastyak // VLk-_1075  P_4,2.98 //
   dākṣiṇātyaḥ / pāścātyaḥ / paurastyaḥ //	dAkziNAtyaH / pAScAtyaH / pOrastyaH //
   dyuprāgapāgudakpratīco yat // VLk_1076 = P_4,2.101 //	dyuprAc-apAc-udak-pratIcaH yat // VLk-_1076  P_4,2.101 //
   divyam / prācyam / apācyam / udīcyam / pratīcyam //	divyam / prAcyam / apAcyam / udIcyam / pratIcyam //
   avyayāttyap // VLk_1077 = P_4,2.104 //	avyayAt-tyap // VLk-_1077  P_4,2.104 //
   (amehakvatasitrebhya eva) / amātyaḥ / ihatyaḥ / kvatyaḥ / tatastyaḥ /	(ameha-kvata-sitreByaH eva) / amAtyaH / ihatyaH / kvatyaH / tatastyaH /
   tatratyaḥ / (tyabnerdhruva iti vaktavyam) / nityaḥ //	tatratyaH / (ti-abneH-DruvaH iti vaktavyam) / nityaH //
   vṛddhiryasyācāmādistadvṛddham // VLk_1078 = P_1,1.73 //	vRdDiH-yasya-AcAma-AdiH-tad-vRdDam // VLk-_1078  P_1,1.73 //
   yasya samudāyasyācāṃ madhye ādirvṛddhistadvṛddhasaṃjñaṃ syāt //	yasya samudAyasya-AcAm maDye AdiH-vRdDiH-tat-vRdDa-saMjQam syAt //
   tyadādīni ca // VLk_1079 = P_1,1.74 //	tyad-AdIni ca // VLk-_1079  P_1,1.74 //
   vṛddhasaṃjñāni syuḥ //	vRdDa-saMjQAni syuH //
   vṛddhācchaḥ // VLk_1080 = P_4,2.114 //	vRdDAcCaH // VLk-_1080  P_4,2.114 //
