   Kṣemendraviracitā	Kzema indra viracitA
   sa nināya nijaṃ sarvaṃ sadā bhogyopabhogyatām // KAvk_42.15 //	sa ninAya nijam sarvam sadA Bogya upaBogya tAm // Ka avc _42.15 //
   tataḥ kālena tasyogradurbhikṣeṇānnasaṃcayaḥ /	tatas kAlena tasya ugra durBikzeNa anna saMcayaH /
   yayau mahāvyayādekapuruṣāśanaśeṣatām // KAvk_42.16 //	yayO mahA vyayAt eka puruza aSana Seza tAm // Ka avc _42.16 //
   tasminnavasare vyomnā samabhyetya raviprabhaḥ /	tasmin= avasare vyomnA samaByetya ravi praBaH /
   pratyekabuddhastasyātha vidadhe bhojanārthanām // KAvk_42.17 //	pratyekabudDaH tasya aTa vidaDe Bojana arTanAm // KAvc _42.17 //
   niyame saṃśaye tasminnātmanaḥ prāṇadhāraṇe /	niyame saMSaye tasmin= AtmanaH prANa DAraNe /
   nirvikalpya sa tatasrvaṃ dadau tasmai prasannadhīḥ // KAvk_42.18 //	nirvikalpya sa tatasrvam dadO tasmE prasanna DIH // Ka avc _42.18 //
   svaprāṇavṛttiṃ tenāsau kṛtvātithyaprasādinā /	sva prANa vRttim tena asO kRtvA AtiTya prasAdinA /
   prayayau nabahsā tasya prasaṃśan sattvaśīaltām // KAvk_42.19 //	prayayO na bahsA tasya prasaMSan sattva SIaltAm // Ka avc _42.19 //
   athodyayau vyaomamahādvipasya nīlālimāleva sadambulekhā /	aTa udyayO vyaoma mahA dvipasya nIla ali mAlA iva sat ambu leKA /
   meghāvalī paścimadikpralambā kapolakālāgurumañjarīva // KAvk_42.20 //	meGa AvalI paScima diS pralambA kapola kAlAguru maQjarI iva // Ka avc _42.20 //
   tataḥ samastaṃ gaganāntarālamutphullanīlotpalakānanābham /	tatas samastam gagana antarAlam utPulla nIlotpala kAnanABam /
   ācchādyamānaṃ sarasairbabhāse bhṛṅgapravandhauriva meghasaṃghaiḥ //	AcCAdyamAnam sarasEH baBAse BRFga pravanDOH iva meGa saMGEH //
   KAvk_42.21 //	KAvc _42.21 //
   tataḥ papātākhilabhojyavṛṣṭiriṣṭā prajānāṃ bhuvi sapta rātrīḥ /	tatas papAta aKila Bojya vRzwiH izwA prajAnAm Buvi sapta rAtrIH /
   dhānyādivṛṣṭistadanantaraṃ ca ratnadivṛṣṭiśca tataḥ krameṇa // KAvk_42.22	DAnya Adi vRzwiH tad anantaram ca ratna divRzwiH ca tatas krameNa // Ka avc _42.22
   iti sa kanakavarṇaḥ kṣmāpatirbhūpatīnāṃ mukuṭamaṇirivoccairbhrājamānaḥ	iti sa kanaka varNaH kzmApatiH BUpatInAm mukuwa maNiH iva uccEs BrAjamAnaH
   prajānām /	prajAnAm /
   akṛta sukṛtasaṃpatprīṇitah prāṇarakṣāṃ prabhavati hi parārthe sajjanānāṃ	akRta su kRta saMpad prINitah prANa rakzAm praBavati hi para arTe sat janAnAm
   prabhāvaḥ // KAvk_42.23 //	praBAvaH // Ka avc _42.23 //
   bhūpatiḥ kanakavarṇa eṣa yaḥ so 'hameva vapuṣātmanādhunā /	BUpatiH kanaka varNaH eza yaH saH aham eva vapuzA AtmanA aDunA /
   ityudīrya bhagavān jinaḥ satāṃ dhīmatāṃ vyadhita dharmadeśanām //	iti udIrya BagavAn jinaH satAm DImatAm vyaDita Darma deSanAm //
   KAvk_42.24 //	KAvc _42.24 //
   iti kṣemendraviracitāyāṃ bodhisattvāvadānakalpalatāyāṃ kanakavarṇāvadānaṃ	iti kzema indra viracitAyAm boDisattva avadAna kalpa latAyAm kanaka varNa avadAnam
   nāma dvicatvāriṃśaḥ pallavaḥ //	nAma dvicatvAriMSaH pallavaH //
   43. hiraṇyapāṇyavadānam /	43. hiraNya pANi avadAnam /
   sarvopakārapraṇayī prabhāvaḥ sarvopajīvyā mahatī vibhūtiḥ /	sarva upakAra praNayI praBAvaH sarva upajIvyA mahatI viBUtiH /
   puṇyāṅkurārhasya phalaṃ viśālapalārhametat prathamaṃ hi puṣpam //	puNya aFkura arhasya Palam viSAla pala arham etat praTamam hi puzpam //
   KAvk_43.1 //	KAvc _43.1 //
   jine jetavanārāmavihārābhigate purā /	jine jetavana ArAma vihAra aBigate purA /
   śrāvastyāṃ devasenākhyaḥ śrīmānāsīdgṛhādhipaḥ // KAvk_43.2 //	SrAvastyAm devasena AKyaH SrImAn AsIt gRha aDipaH // KAvc _43.2 //
   hiraṇṃyapāṇistasyābhūtputraḥ satputramāninaḥ /	hiraNMya pANiH tasya aBUt putraH sat putra mAninaH /
   yasya hemamayaṃ jātaṃ pāṇidvitayamadbhutam // KAvk_43.3 //	yasya hema mayam jAtam pANi dvitayam adButam // Ka avc _43.3 //
   rūpyalakṣadvayaṃ tasya prātaḥ prātaḥ karadvaye /	rUpya lakza dvayam tasya prAtar prAtar kara dvaye /
   prādurāsītsa tenābhūdarthināṃ kalpapādapaḥ // KAvk_43.4 //	prAdurAsIt sa tena aBUt arTinAm kalpa pAdapaH // Ka avc _43.4 //
   tasya vyaktavivekena paripākena bhūyasā /	tasya vyakta vivekena paripAkena BUyasA /
   kāle kuśalamūlānāṃ jine bhaktirajāyata // KAvk_43.5 //	kAle kuSala mUlAnAm jine BaktiH ajAyata // Ka avc _43.5 //
   atha jetavana gatvā bahgavantaṃ tathāgatam /	aTa jetavana gatvA bahgavantam taTAgatam /
   sa dṛṣṭvā vidadhe tasya sānandaḥ pādavandanam // KAvk_43.6 //	sa dRzwvA vidaDe tasya sa AnandaH pAda vandanam // Ka avc _43.6 //
   bhagavānapi saṃṣāratāpapraśamacandikām /	BagavAn api saMzAra tApa praSama candikAm /
   sudhāsakhīṃ dideśāsmai dṛśaṃ kuśalavṛtikām // KAvk_43.7 //	suDA saKIm dideSa asmE dRSam kuSala vRtikAm // Ka avc _43.7 //
   sa śāsturdarśanenaiva saṃmohatimitojjhita /	sa SAstuH darSanena eva saMmohati mita ujJita /
   babhāse suryakiraṇaprabuddhakamalopamaḥ // KAvk_43.8 //	baBAse surya kiraNa prabudDa kamala upamaH // Ka avc _43.8 //
   bhagavān vidadhe tasya tataḥ saddharmadeśanām /	BagavAn vidaDe tasya tatas sat Darma deSanAm /
   yayā dharmamayaṃ cakṣurakṣuṇṇālokamudyayau // KAvk_43.9 //	yayA Darma mayam cakzuH akzuNNa Alokam udyayO // Ka avc _43.9 //
   prākpuṇyapariṇāmena jātavairāgyavāsanaḥ /	prAc puNya pariNAmena jAta vErAgya vAsanaH /
   praṇamya vimalaprajñaḥ sa sarvajñamabhāṣataḥ // KAvk_43.10 //	praNamya vimala prajQaH sa sarvajQam aBAzataH // Ka avc _43.10 //
   śaraṇya śaraṇāptasya bhagavan bhavahāriṇī /	SaraNya SaraNa Aptasya Bagavan Bava hAriNI /
   aśeṣakleśanāśāya pravrajyā me vidhīyatām // KAvk_43.11 //	aSeza kleSa nASAya pravrajyA me viDIyatAm // KAvc _43.11 //
   capalaṃ prāṇināmāyuṣtato 'pi navayauvanam /	capalam prANinAm Ayuztatas api nava yOvanam /
   vidyudvilāsacapalāstato 'pyetā vibhūtayaḥ // KAvk_43.12 //	vidyut vilAsa capalAH tatas api etAH viBUtayaH // Ka avc _43.12 //
   iti tasya bruvāṇasya sugatānugrahoditā /	iti tasya bruvANasya sugata anugraha uditA /
   papāta vitarajasaḥ pravrajyā vapuṣi svayam // KAvk_43.13 //	papAta vitarajasaH pravrajyA vapuzi svayam // Ka avc _43.13 //
   raktacīvarasuvyaktāṃ bibhrāṇaḥ sa viraktatām /	rakta cIvara su vyaktAm biBrANaH sa viraktatAm /
   pātragraheṇa tatyāja punaḥ saṃsārapātratām // KAvk_43.14 //	pAtra graheNa tatyAja punar saMsAra pAtra tAm // Ka avc _43.14 //
   tasya tāmadbhutāṃ siddhiṃ pratyakṣaṃ vīkṣyaṃ bhikṣavaḥ /	tasya tAm adButAm sidDim pratyakzam vIkzyam BikzavaH /
   tatpūrvavṛttaṃ papracchurbhagavantaṃ sa cābravīt // KAvk_43.15 //	tad pUrva vRttam papracCuH Bagavantam sa ca abravIt // Ka avc _43.15 //
   vārāṇasyāṃ purā rājā kṛkirnāma tathāgate /	vArANasyAm purA rAjA kRkiH nAma taTAgate /
   kāśyapākhye bhagavati prayāti parinirvṛtim // KAvk_43.16 //	kASyapa AKye Bagavati prayAti parinirvRtim // Ka avc _43.16 //
   śarīramasya samkṛtya stūpaṃ ratnamayaṃ vyadhāt /	SarIram asya samkRtya stUpam ratna mayam vyaDAt /
   svargāvagāhanaprauḍhaṃ mūrtaṃ puṇyamivonnatam // KAvk_43.17 //	svarga avagAhana prOXam mUrtam puNyam iva unnatam // Ka avc _43.17 //
   tasminnāropyamāṇāyāṃ yaṣṭayāṃ pūjāparigrahe /	tasmin= AropyamANAyAm yazwayAm pUjA parigrahe /
   kitavaḥ kandalo nāma nidadhe rūpakadvayam // KAvk_43.18 //	kitavaH kandalaH nAma nidaDe rUpaka dvayam // Ka avc _43.18 //
   cittaprasādaśuddhena tena puṇyena bhūyasā /	citta prasAda SudDena tena puNyena BUyasA /
   hiraṇyapāṇiḥ prāpto 'dya mahatāṃ spṝhaṇīyatām // KAvk_43.19 //	hiraNya pANiH prAptaH adya mahatAm spLhaNIyatAm // KAvc _43.19 //
   bhavati vibhavastyāgodāraḥ samagraguṇo bhuvi	Bavati viBavaH tyAga udAraH samagra guNaH Buvi
   prasaratiḥ yaśaḥ śuklaṃ loke sudhāṃśusahodaram /	prasaratiH yaSaH Suklam loke suDAMSu sahodaram /
   pariṇatipade puṇyaṃ dhatte yadalpamanalpatāṃ	pariNati pade puNyam Datte yat alpam analpatAm
   vimalamanasaḥ śraddhāśuddhaṃ tadeva vijṛmbhitam // KAvk_43.20 //	vimala manasaH SradDA SudDam tat eva vijRmBitam // Ka avc _43.20 //
   iti prabhāvaṃ kathitaṃ jinena puṇyānubhāvasya hiraṇyapāṇeḥ /	iti praBAvam kaTitam jinena puNya anuBAvasya hiraNya pANeH /
   śrutvaiva harṣādaravismayānāṃ sa bhikṣusaṃghaḥ praṇayī babhūva //	SrutvA eva harza Adara vismayAnAm sa Bikzu saMGaH praNayI baBUva //
   KAvk_43.21 //	KAvc _43.21 //
   iti kṣemandraviracitāyāṃ bodhisattvāvadānakalpalatāyāṃ hiraṇyapāṇyavadānaṃ	iti kzemandra viracitAyAm boDisattva avadAna kalpa latAyAm hiraNya pANi avadAnam
   tricatvāriṃśaḥ pallavaḥ //	tricatvAriMSaH pallavaH //
   44. ajātaśatrupitṛdrohāvadānam /	44. ajAta Satru pitR droha avadAnam /
   durjanaduḥsahaviṣadharabhīṣaṇataratimirapatitānām /	durjana duHsaha viza Dara BIzaNatara timira patitAnAm /
   ālambanajananaṃ bhavabhayaharaṇaṃ jinasmaraṇam // KAvk_44.1 //	Alambana jananam Bava Baya haraNam jina smaraNam // Ka avc _44.1 //
   pure rājagṛhābhikhye bhagavān bhūbhṛtaḥ purā /	pure rAja gRha aBiKye BagavAn BUBRtaH purA /
   kaṭake gṛdhrakūṭasya vijahāra tathāgataḥ // KAvk_44.2 //	kawake gRDrakUwasya vijahAra taTAgataH // Ka avc _44.2 //
   tasminnavasare rājā bimbisāraḥ sutapriyaḥ /	tasmin= avasare rAjA bimbisAraH suta priyaH /
   ajātaśatruṇā tatra putreṇa krūrakāriṇā // KAvk_44.3 //	ajAtaSatruNA tatra putreNa krUra kAriNA // Ka avc _44.3 //
   suhṛdaḥ pāvakasyeva devadattasya saṃmatam /	suhRdaH pAvakasya iva devadattasya saMmatam /
   ghorāndhabandhanāgāraṃ niḥsaṃcāraṃ praveśitaḥ // KAvk_44.4 //	Gora anDa banDana AgAram niHsaMcAram praveSitaH // Ka avc _44.4 //
   patnyā praveśitaṃ tasya bandhane gūḍhabhojanam /	patnyA praveSitam tasya banDane gUXa Bojanam /
   jñātvā sa tatkṣayākāṅkṣī kṣutkṣāmasya nyavārayat // KAvk_44.5 //	jQAtvA sa tad kzaya AkAFkzI kzuD kzAmasya nyavArayat // Ka avc _44.5 //
   rūkṣaḥ kṛśo 'timalinaḥ so 'bhavat pṛthivīpatiḥ /	rUkzaH kRSaH ati malinaH saH aBavat pRTivIpatiH /
   akālakālameghārtaḥ kṛṣṇapakṣa ivoḍupaḥ // KAvk_44.6 //	akAla kAla meGa ArtaH kRzNa pakzaH iva uxupaH // Ka avc _44.6 //
   saṃkīrṇavāsasaṃtāpātprāyaḥ peśalacetasām /	saMkIrNa vAsa saMtApAt prAyaH peSala cetasAm /
   karotyāliṅganaṃ prauḍhā gāḍhapraṇayinī vipat // KAvk_44.7 //	karoti AliFganam prOXA gAXa praNayinI vipad // Ka avc _44.7 //
   sa samuddhiśya śokārtaḥ sugatādhyuṣitāṃ diśam /	sa samudDiSya Soka ArtaH sugata aDyuzitAm diSam /
   kṛtāñjalirnataśirāḥ kṣāmasvaramabhāṣata // KAvk_44.8 //	kRtAQjaliH nata SirAH kzAma svaram aBAzata // Ka avc _44.8 //
   nāmastubhyaṃ bhagavate mahārhāya mahārhate /	nAmaH tuByam Bagavate mahArhAya mahArhate /
   dīnoddharaṇasaṃnaddhasamyaksaṃbodhibodhicetase // KAvk_44.9 //	dIna udDaraNa saMnadDa samyaksaMboDi boDi cetase // Ka avc _44.9 //
   namaste ghorasaṃsāramakarākarasetave /	namaH te Gora saMsAra makara Akara setave /
   jināya janatājanmakleśapraśamahetave // KAvk_44.10 //	jinAya janatA janma kleSa praSama hetave // Ka avc _44.10 //
   namo nityaprabuddhāya sarvasattvaikabandhave /	namaH nitya prabudDAya sarva sattva eka banDave /
   viśuddhadhānme buddhāya karuṇāmṛtasindhave // KAvk_44.11 //	viSudDaDAnme budDAya karuNA amRta sinDave // Ka avc _44.11 //
   iti bhaktisudhāṃ śiktvā sugataśravaṇocitām /	iti Bakti suDAm SiktvA sugata SravaNa ucitAm /
   puṇyapuṣpaprasavinīṃ sa cakre stutimañjarīm // KAvk_44.12 //	puNya puzpa prasavinIm sa cakre stuti maQjarIm // Ka avc _44.12 //
   sarvajñastasya vijñāya kāyakleśaśamayīṃ daśām /	sarvajQaH tasya vijQAya kAya kleSa SamayIm daSAm /
   bandhanāgāravivarālokairāpyāyanam vyadhāt // KAvk_44.13 //	banDana AgAra vivara AlokEH ApyAyanam vyaDAt // Ka avc _44.13 //
   ajātaśatrustadvṛttaṃ jñātvā śaṅkākulaḥ pituḥ /	ajAtaSatruH tad vRttam jQAtvA SaFkA AkulaH pituH /
   nyavārayadbandhagṛhe susūkṣmavivarāṇyapi // KAvk_44.14 //	nyavArayat banDa gRhe su sUkzma vivarANi api // KAvc _44.14 //
   tatastasya tadādeśāt cakrurbandhanarakṣiṇaḥ /	tatas tasya tad AdeSAt cakruH banDana rakziNaH /
   kṣureṇa gāḍhabaddhasya pādayostadvikartanam // KAvk_44.15 //	kzureNa gAXa badDasya pAdayoH tad vikartanam // Ka avc _44.15 //
   sa tīvravaiśasakleśavyathitah pārthivaḥ param /	sa tIvra vESasa kleSa vyaTitah pArTivaH param /
   namo buddhāya buddhāyetyārtasaṃkrandanaṃ vyadhāt // KAvk_44.16 //	namaH budDAya budDAya iti Arta saMkrandanam vyaDAt // Ka avc _44.16 //
   bhagavānatha sarvajñaḥ puraḥ pratyakṣatāṃ gataḥ /	BagavAn aTa sarvajQaH puras pratyakzatAm gataH /
   śakradattāsanāsīnaḥ kāruṇyāttamabhāṣataḥ // KAvk_44.17 //	Sakra datta Asana AsInaH kAruNyAt tama BAzataH // Ka avc _44.17 //
   rājan kiṃ kriyate krūrakarmaṇāṃ gatirīdṛśī /	rAjan kim kriyate krUra karmaNAm gatiH IdRSI /
   śubhāśubhasamudbhūtaṃ na bhuktaṃ kṣiyate phalam // KAvk_44.18 //	SuBa aSuBa samudBUtam na Buktam kziyate Palam // Ka avc _44.18 //
   rāgadveṣaviṣāsakte nānāvyasanaduḥsahe /	rAga dveza viza Asakte nAnA vyasana duHsahe /
   evaṃvidhaiva niḥsāre saṃsāre duḥkhasāratā // KAvk_44.19 //	evaMviDA eva niHsAre saMsAre duHKa sAra tA // Ka avc _44.19 //
   saṃkleśakalile kāle vipatsaṃpadvisaṃkaṭe /	saMkleSa kalile kAle vipad saMpa d visaMkawe /
   dhairyameva paritrāṇaṃ vairāgyaṃ ca nirākulam // KAvk_44.20 //	DEryam eva paritrANam vErAgyam ca nirAkulam // KAvc _44.20 //
   saṃsāraghoragahanāntaravardhamānaiḥ duḥkhānalavyatikaraprasṛtairasiktāḥ /	saMsAra Gora gahana antara varDamAnEH duHKa anala vyatikara prasRtEH asiktAH /
   dhūmodgamairiva punaḥ sukṛtocitānāṃ bāṣpāmbubindukalilā na dṛśo bhavanti	DUma udgamEH iva punar sukRta ucitAnAm bAzpa ambu bindu kalilAH na dRSaH Bavanti
   // KAvk_44.21 //	// Ka avc _44.21 //
   bhajasva dhairyaṃ duḥkhe 'smin bhogāśāṃ tyaja bhūpate /	Bajasva DEryam duHKe asmin Boga ASAm tyaja BUpate /
   pariṇāmavirodhinyaḥ sarvāḥ saṃsāravṛttayaḥ // KAvk_44.22 //	pariNAma viroDinyaH sarvAH saMsAra vRttayaH // Ka avc _44.22 //
   adhunaiva tavāsannā dehātte kuśalasthitiḥ /	aDunA eva tava AsannA dehAt te kuSala sTitiH /
   ityuktvā taṃ samāśvasya bhagavān svapadaṃ yayau // KAvk_44.23 //	iti uktvA tam samASvasya BagavAn sva padam yayO // Ka avc _44.23 //
   bimbisāro 'pi dehānte tasminneva kṣaṇe divi /	bimbisAraH api dehAnte tasmin= eva kzaNe divi /
   abhūjjinarṣabho nāma śrīmān vaiśravaṇātmajaḥ // KAvk_44.24 //	aBUt jina RzaBaH nAma SrImAn vESravaNa AtmajaH // Ka avc _44.24 //
   ajātaśatrurjanakaṃ jñātvā vigatajīvitam /	ajAtaSatruH janakam jQAtvA vigata jIvitam /
   śarīramasya satkṛtya nininda nijaduṣkṛtam // KAvk_44.25 //	SarIram asya satkRtya nininda nija duzkRtam // Ka avc _44.25 //
   tasyātitīvrapāpārtaṃ cittaṃ durvṛttadūṣitam /	tasya ati tIvra pApa Artam cittam durvRtta dUzitam /
   paścāttāpāgnipatanaṃ prāyaścittamivākarot // KAvk_44.26 //	paScAttApa agni patanam prAyaScittam iva akarot // Ka avc _44.26 //
   so 'vadadbata saṃmohādaiśvaryamadalubdhadhīḥ /	saH avadat bata saMmohAt ESvarya mada lubDa DIH /
   durvṛttapātakaśvabhre patito 'hamadhomukhaḥ // KAvk_44.27 //	durvRtta pAtaka SvaBre patitaH aham aDomuKaH // Ka avc _44.27 //
   śrutaprajñādaridrāṇāṃ nijanidrāsukhāpahā /	Sruta prajQA daridrANAm nija nidrA suKa apahA /
   cintā dahati gātrāṇi khalamantrānuvartinām // KAvk_44.28 //	cintA dahati gAtrANi Kala mantra anuvartinAm // Ka avc _44.28 //
   patitasyāvasannasya pāpapaṅke pramādinah /	patitasya avasannasya pApa paFke pramAdinah /
   anālambasya saṃtrāṇaṃ jinasaṃsmaraṇaṃ mama // KAvk_44.29 //	anAlambasya saMtrANam jina saMsmaraNam mama // Ka avc _44.29 //
   iti saṃcintya suciraṃ sa gatvā sugatāntikam /	iti saMcintya su ciram sa gatvA sugata antikam /
   jugupsamānaḥ kukṛtātparaṃ saṃkocamāyayau // KAvk_44.30 //	jugupsamAnaH kukRtAt param saMkocam AyayO // Ka avc _44.30 //
   tatrāpavitramātmānaṃ manyamānaḥ sapatrapaḥ /	tatra apavitram AtmAnam manyamAnaH sa patrapaH /
   praṇanāma jinaṃ dūrāt pāpasparśabhayādiva // KAvk_44.31 //	praNanAma jinam dUrAt pApa sparSa BayAt iva // Ka avc _44.31 //
   sāśrunetraḥ paritrāṇaṃ sa sarvajñaṃ vyajijñapat /	sa aSru netraH paritrANam sa sarvajQam vyajijQapat /
   sakampaḥ kāyasaṃsaktaṃ vidhunvanniva duṣkṛtam // KAvk_44.32 //	sa kampaH kAya saMsaktam viDunvan= iva duzkRtam // Ka avc _44.32 //
   bhagavan kṛtapāyo 'hamāsannanarakānalaḥ /	Bagavan kRta pAyaH aham Asanna naraka analaH /
   uttaptaḥ karuṇāsindhuṃ tvāmeva śaraṇaṃ gataḥ // KAvk_44.33 //	uttaptaH karuNA sinDum tvAm eva SaraNam gataH // KAvc _44.33 //
   māmiyaṃ śoṇaparyantā dṛṣṭiste puṣkaraprabhā // KAvk_44.34 //	mAm iyam SoNa paryantA dRzwiH te puzkara praBA // Ka avc _44.34 //
   khalamantrapravṛttena durvṛttena pramādinā /	Kala mantra pravRttena durvRttena pramAdinA /
   mayā vibhavalubdhena pāpena nihataḥ pitā // KAvk_44.35 //	mayA viBava lubDena pApena nihataH pitA // KAvc _44.35 //
   iti pralāpinastasya vacaḥ śrutvā tathāgataḥ /	iti pralApinaH tasya vacaH SrutvA taTAgataH /
   sasarha tatpāparajaḥśuddhyai puṇyasarasvatīm // KAvk_44.36 //	sa sarha tad pApa rajaH SudDyE puNya sarasvatIm // Ka avc _44.36 //
   rājanna cintitaḥ pāpaḥ khaleneva svakarmaṇā /	rAjan na cintitaH pApaH Kalena iva sva karmaNA /
   preritastvaṃ pitṛvadhe patitaḥ pāpasaṃkaṭe // KAvk_44.37 //	preritaH tvam pitR vaDe patitaH pApa saMkawe // Ka avc _44.37 //
   duḥkhaṃ tattena bhoktavyaṃ prāptavyaṃ kilbiṣaṃ tvayā /	duHKam tat tena Boktavyam prAptavyam kilbizam tvayA /
   tava tasya ca bhūpāla tulyaiṣā bhavitavyatā // KAvk_44.38 //	tava tasya ca BUpAla tulyA ezA Bavitavya tA // Ka avc _44.38 //
   nijakaṇṭhasamutkīrṇāṃ lalāṭapaṭavartinī /	nija kaNWa samutkIrNAm lalAwa pawavartinI /
   śilāśakalalekheva niścalā niyatirnṛṇām // KAvk_44.39 //	SilA Sakala leKA iva niScalAH niyatiH nRNAm // Ka avc _44.39 //
   kurvatā kaluṣaṃ karma khalapreraṇayā tvayā /	kurvatA kaluzam karma Kala preraNayA tvayA /
   pratyāsannāmṛtaśreyaḥ svahastena tiraskṛtam // KAvk_44.40 //	pratyAsanna amRta SreyaH sva hastena tiraskRtam // Ka avc _44.40 //
   adyāpi yadi te pāpaṃ hantuṃ prāptuṃ ca saṃpadam /	adya api yadi te pApam hantum prAptum ca saMpadam /
   vāñchāsti tatkuru matiṃ puṇye pāpaśamātmani // KAvk_44.41 //	vAQCA asti tat kuru matim puNye pApa Sama Atmani // Ka avc _44.41 //
   dīpavṛttyā sukhaṃ sūte jīvayatyujjvalaṃ yaśah /	dIpa vRttyA suKam sUte jIvayati ujjvalam yaSah /
   amṛtasya prakāro 'yaṃ suvṛttaḥ satsamāgamaḥ // KAvk_44.42 //	amRtasya prakAraH ayam su vRttaH sat samAgamaH // Ka avc _44.42 //
   paścāttāpāgnupātena sādhunā saṃgamena ca /	paScAttApa agnu pAtena sADunA saMgamena ca /
   saṃkīrtanena dānena pāpaṃ naśyati dehinām // KAvk_44.43 //	saMkIrtanena dAnena pApam naSyati dehinAm // KAvc _44.43 //
   pātraṃ pavitrayati naiva guṇān kṣiṇoti snehaṃ na saṃharati naiva malaṃ	pAtram pavitrayati na eva guNAn kziNoti sneham na saMharati na eva malam
   prasūte /	prasUte /
   doṣāvasānaruciraścalatāṃ na dhatte satsaṃgamaḥ sukṛtasadmani ko 'pi dīpaḥ	doza avasAna ruciraH calatAm na Datte sat saMgamaH su kRta sadmani kaH api dIpaH
   // KAvk_44.44 //	// Ka avc _44.44 //
   guṇigaṇavipaddīkṣādakṣaḥ kṣapākṣaṇasaṃnibhaḥ	guNi gaNa vipad dIkzA dakzaH kzapA akzaNa saMniBaH
   sakalanayanavyāpārāṇāṃ janeṣu nirodhakaḥ /	sakala nayana vyApArANAm janezu niroDakaH /
   asamaviṣamāyāsāvāsaḥ prakāśaparikṣayāt	asama vizam AyAsa AvAsaH prakASa parikzayAt 
   sṛjati hi mahāmohāgdāḍhaṃ tamaḥ khalasaṃgamaḥ // KAvk_44.45 //	sRjati hi mahA moha agdAXam tamaH Kala saMgamaH // Ka avc _44.45 //
   pratyekabuddhastvaṃ rājan kālena kṣīṇakilbiṣaḥ /	pratyekabudDaH tvam rAjan kAlena kzINa kilbizaH /
   bhaviṣyasi vivekena kṛtālekaḥ śanaiḥ śanaiḥ // KAvk_44.46 //	Bavizyasi vivekena kRta AlekaH SanEs SanEs // Ka avc _44.46 //
   iti tasya dayāśvāsaṃ cakāra bahgavān jinah /	iti tasya dayA ASvAsam cakAra bahgavAn jinam /
   patiteṣvadhikaṃ santaḥ karuṇāsnigdhalocanāḥ // KAvk_44.47 //	patitezu aDikam santaH karuNA snigDa locanAH // Ka avc _44.47 //
   tataḥ praṇamya sugataṃ prayātaḥ svapadaṃ nṛpaḥ /	tatas praNamya sugatam prayAtaH sva padam nRpaH /
   mahataḥ pāpabhārasya viveda laghutāmiva // KAvk_44.48 //	mahataH pApa BArasya viveda laGu tAm iva // Ka avc _44.48 //
   tasmin prayāte sarvajñaḥ pṛṣṭastatkarma kautukāt /	tasmin prayAte sarvajQaH pRzwaH tat karma kOtukAt /
   bhikṣubhiḥ kṣitipālasya pūrvavṛttamabhāṣata // KAvk_44.49 //	BikzuBiH kzitipAlasya pUrva vRttam aBAzata // Ka avc _44.49 //
   vārāṇasyāṃ nirāyāsavilāsavyavasāyinaḥ /	vArANasyAm nirAyAsa vilAsa vyavasAyinaH /
   catvāraḥ śreṣṭhitanayā babhūvuḥ śrīviśṛṅkhalāḥ // KAvk_44.50 //	catvAraH SrezWi tanayAH baBUvuH SrI viSRFKalAH // Ka avc _44.50 //
   te kadācit sukhakṣībā mithaḥ kalikathāsthitāḥ /	te kadAcid suKa kzIbAH miTas kali kaTA sTitAH /
   pratyekabuddhamāyāntaṃ dadṛśuryauvanoddhatāḥ // KAvk_44.51 //	pratyekabudDam AyAntam dadRSuH yOvana udDatAH // Ka avc _44.51 //
   taṃ dṛṣṭvā jātavidveṣāḥ śamasaṃyamanindakāḥ /	tam dRzwvA jAta vidvezAH Sama saMyama nindakAH /
   jyeṣṭhaḥ sundarako nāma bhrātṝn provāca sasmitaḥ // KAvk_44.52 //	jyezWaH sundarakaH nAma BrAtLn provAca sa smitaH // Ka avc _44.52 //
   ayaṃ cīvarapātrāṅkaḥ pānena gatajīvitaḥ /	ayam cIvara pAtra aFkaH pAnena gata jIvitaH /
   kṣibo vidhīyate bhikṣurityayaṃ me manorathaḥ // KAvk_44.53 //	kzibaH viDIyate BikzuH iti ayam me manoraTaH // Ka avc _44.53 //
   ityukte cāpalāt tena dvitīyaḥ kundarābhidhaḥ /	iti ukte cApalAt tena dvitIyaH kundara aBiDaH /
   uvāca bhikṣuṃ kṣiptvemaṃ hantumicchāmyahaṃ jale // KAvk_44.54 //	uvAca Bikzum kziptvA imam hantum icCAmi aham jale // Ka avc _44.54 //
   tatastṛtīyo 'pyavadat pāpaḥ sundarakābhidhaḥ (?) /	tatas tRtIyaH api avadat pApaH sundaraka aBiDaH (?) /
   eṣa bhikṣurvaraṃ tasyāṃ vīthyāṃ nikṣipyate javāt // KAvk_44.55 //	eza BikzuH varam tasyAm vITyAm nikzipyate javAt // Ka avc _44.55 //
   caturtho 'pyavadat krūramatiḥ kandarakābhidhaḥ /	caturTaH api avadat krUra matiH kandaraka aBiDaH /
   bhikṣoḥ kṣureṇa kriyate niścarma caraṇadvayam // KAvk_44.56 //	BikzoH kzureNa kriyate niScarma caraNa dvayam // Ka avc _44.56 //
   iti teṣāṃ bruvāṇānāṃ kaluṣo 'bhūnmanorathaḥ /	iti tezAm bruvANAnAm kaluzaH aBUt manoraTaH /
