   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   śāśvato bhava śāśvataḥ Ang_1.595b	SASvataH Bava SASvataH Ank-_1.595b
   śāsito vihito 'naghaḥ Ang_1.602d	SAsitaH vihitaH anaGaH Ank-_1.602d
   śāstā dharmeṇa yujyate Ang_2,6.8b	SAstA DarmeNa yujyate Ank-_2,6.8b
   śāstā rājā durātmanām Ang_2,6.7b	SAstA rAjA durAtmanAm Ank-_2,6.7b
   śāstā vaivasvato yamaḥ Ang_2,6.7d	SAstA vEvasvataH yamaH Ank-_2,6.7d
   śāstā samucyate pāpād Ang_2,6.8c	SAstA samucyate pApAt Ang_2,6.8c
   śāstrataḥ putrasaṃgraham Ang_1.358d	SAstrataH putra-saMgraham Ang_1.358d
   śāstradṛṣṭyā samālocya Ang_1.1058c	SAstra-dRzwyA samAlocya Ank-_1.1058c
   śāstramātrakṛtaśramam Ang_1.751d	SAstra-mAtra-kRta-Sramam Ank-_1.751d
   śāstrasiddhāni netarat Ang_1.351b	SAstra-sidDAni na-itarat Ank-_1.351b
   śāstrārthadharmatattvajñas Ang_1.566a	SAstra-arTa-Darma-tattva-jQaH Ank-_1.566a
   śāstre 'mutra paratra ca Ang_1.313b	SAstre amutra paratra ca Ank-_1.313b
   śikṣāyāṃ caiva niścayaḥ Ang_2,5.4b	SikzAyAm ca-eva niScayaH Ank-_2,5.4b
   śikhā kāryā prayatnena Ang_1.62a	SiKA kAryA prayatnena Ank-_1.62a
   śikhācchedo pañcavāraṃ Ang_1.65c	SiKAcCedaH paQca-vAram Ank-_1.65c
   śikhāyā rogato nāśe Ang_1.58c	SiKAyAH rogataH nASe Ank-_1.58c
   śikhārohaṇataḥ paścān Ang_1.59c	SiKA-ArohaNataH paScAt Ank-_1.59c
   śikhā sūtra ca tadyugmaṃ Ang_1.64c	SiKA sUtra ca tat-yugmam Ank-_1.64c
   śikhāhīnaśca tādṛśaḥ Ang_1.56b	SiKA-hInaH-ca tAdRSaH Ank-_1.56b
   śikhāṃ sūtraṃ ca bibhṛyāt Ang_1.65b	SiKAm sUtram ca biBRyAt Ank-_1.65b
   śibirvā nahuṣo nalaḥ Ang_1.493d	SibiH-vA nahuzaH nalaH Ank-_1.493d
   śirovrataiśca snātānām Ang_2,4.5e	SiraH-vratEH-ca snAtAnAm Ank-_2,4.5e
   śilāpratiṣṭhāpanādi- Ang_1.994a	SilA-pratizWApana-Adi Ank-_1.994a
   śivanirmālyataḥ śrāddha- Ang_1.944c	Siva-nirmAlyataH SrAdDa Ank-_1.944c
   śivanirmālyayogataḥ Ang_1.945b	Siva-nirmAlya-yogataH Ank-_1.945b
   śivāṅgapatitā tu sā Ang_1.909d	Siva-aFga-patitA tu sA Ang_1.909d
   śiśiraḥ śītalaḥ śivaḥ Ang_1.597b	SiSiraH SItalaH SivaH Ank-_1.597b
   śiṣṭabrāhmaṇabhojanam Ang_1.1094b	Sizwa-brAhmaNa-Bojanam Ank-_1.1094b
   śiṣṭaṃ sarvaṃ pūrvameva Ang_1.1010a	Sizwam sarvam pUrvam-eva Ank-_1.1010a
   śiṣyeṇānyena bandhunā Ang_1.470d	SizyeNa-anyena banDunA Ang_1.470d
   śīghraṃ pravāsayeddeśāt Ang_1.376a	SIGram pravAsayet-deSAt Ank-_1.376a
   śukravāre ca santatam Ang_1.765d	Sukra-vAre ca santatam Ank-_1.765d
   śuddhakacchebhya eva ca Ang_1.742b	SudDa-kacCeByaH eva ca Ank-_1.742b
   śuddhasatvaṃ dūragarvaṃ Ang_1.590a	SudDa-satvam dUra-garvam Ank-_1.590a
   śuddhaḥ pūrvāghato bhavet Ang_1.183b	SudDaH pUrva-aGataH Bavet Ank-_1.183b
   śuddhaḥ sanneva kurvīta Ang_1.44a	SudDaH san=-A-iva kurvIta Ang_1.44a
   śuddhaḥ saṃskārataḥ punaḥ Ang_1.179b	SudDaH saMskArataH punar Ank-_1.179b
   śuddhācchuddhaḥ svato vedas Ang_1.162c	SudDAt-SudDaH svatas vedaH Ank-_1.162c
   śuddhikāmāśca mānavāḥ Ang_2,3.4b	SudDi-kAmAH-ca mAnavAH Ank-_2,3.4b
   śuddhistatrāsya durlabhā Ang_2,6.2d	SudDiH-tatra-asya durlaBAH Ank-_2,6.2d
   śuddhiṃ yāyāddvijaḥ sadā Ang_2,2.6d	SudDim yAyAt-dvijaH sadA Ank-_2,2.6d
   śuddho bhavati kevalam Ang_1.223b	SudDaH Bavati kevalam Ank-_1.223b
   śuddho bhavati tatra cet Ang_1.202d	SudDaH Bavati tatra ced Ank-_1.202d
   śunā daṣṭastathā dvijaḥ Ang_2,9.14b	SunA dazwaH-taTA dvijaH Ank-_2,9.14b
   śunā śūdreṇa vā tathā Ang_1.961b	SunA SUdreNa vA taTA Ank-_1.961b
   śuno mūtrasamaṃ toyaṃ Ang_1.783c	SunaH mUtra-samam toyam Ank-_1.783c
   śundhantāṃ pitaraḥ prokṣya Ang_1.852a	SunDantAm pitaraH prokzya Ank-_1.852a
   śubhrāṃśucaṇḍāṃśuloka- Ang_1.299c	SuBrAMSu-caNxA-aMSu-loka Ank-_1.299c
   śuśrūṣitvā namaskṛtvā Ang_2,11.5a	SuSrUzitvA namaskRtvA Ank-_2,11.5a
   śuṣkān śalāṭukān kāṃścid Ang_1.1015a	SuzkAn SalAwukAn kAMScid Ank-_1.1015a
   śūdratvaṃ ca sa gacchati Ang_2,8.2d	SUdra-tvam ca sa gacCati Ank-_2,8.2d
   śūdrapratigrahaparaṃ Ang_1.745c	SUdra-pratigraha-param Ank-_1.745c
   śūdravṛttiṃ durāśayam Ang_1.755d	SUdra-vRttim durASayam Ang_1.755d
   śūdraveśmani viprāṇāṃ Ang_2,8.14c	SUdra-veSmani viprANAm Ank-_2,8.14c
   śūdrasyānnaṃ nirantaram Ang_2,8.8b	SUdrasya-annam nirantaram Ank-_2,8.8b
   śūdrasyeva śrutiryathā Ang_1.232b	SUdrasya-iva SrutiH-yaTA Ank-_1.232b
   śūdrasyaiva tu bhuktvānnaṃ Ang_2,9.2c	SUdrasya-eva tu BuktvA-annam Ank-_2,9.2c
   śūdraḥ kālena śudhyeta Ang_2,5.11a	SUdraH kAlena SuDyeta Ank-_2,5.11a
   śūdrādapyaṅgiro 'bravīt Ang_2,8.12d	SUdrAt-api-aFgiraH abravIt Ang_2,8.12d
   śūdrānnamupasevate Ang_2,8.5b	SUdra-annam-upasevate Ank-_2,8.5b
   śūdrānnarasapuṣṭasya Ang_2,8.7a	SUdra-anna-rasa-puzwasya Ank-_2,8.7a
   śūdrānnasadṛśaṃ hi tat Ang_2,8.15b	SUdra-anna-sadRSam hi tat Ank-_2,8.15b
   śūdrānnasya parigrahe Ang_2,8.4b	SUdra-annasya parigrahe Ank-_2,8.4b
   śūdrānnānmriyate dvijaḥ Ang_2,8.9b	SUdra-annAt-mriyate dvijaH Ank-_2,8.9b
   śūdrāmaśrāddhagaṃ samyak Ang_1.762c	SUdrAm-aSrAt-Da-gam samyak Ank-_1.762c
   śūdrebhyaḥ prākṛtādapi Ang_2,8.14b	SUdreByaH prAkRtAt-api Ank-_2,8.14b
   śūdre vedaphalaṃ yāti Ang_2,8.2c	SUdre veda-Palam yAti Ank-_2,8.2c
   śūdraikayājakaṃ śūdra- Ang_1.745a	SUdra-eka-yAjakam SUdra Ank-_1.745a
   śṛṇu tasyāpi yo vidhiḥ Ang_2,10.17d	SRNu tasya-api yaH viDiH Ang_2,10.17d
   śṛṇudhvamiti cāphaṇat Ang_1.2b	SRNuDvam-iti ca-aPaNat Ank-_1.2b
   śṛṇuyānnātra kevalam Ang_1.833d	SRNuyAt-na-atra kevalam Ank-_1.833d
   śṛṇuṣva bho idaṃ vipra Ang_2,3.10a	SRNuzva Bo idam vipraH Ank-_2,3.10a
   śṛṇvataḥ śrotrayugmakam Ang_1.740d	SRNvataH Srotra-yugmakam Ang_1.740d
   śeṣamannaṃ tu nāśnīyāt Ang_1.954c	Sezam-annam tu na-aSnIyAt Ank-_1.954c
   śeṣaṃ karma samācaret Ang_1.85b	Sezam karma samAcaret Ank-_1.85b
   śaityakarmā śatākaraḥ Ang_1.520b	SEtya-karmA SatAkaraH Ank-_1.520b
   śrāddhakartā bhavedayam Ang_1.111b	SrAdDa-kartA Bavet-ayam Ank-_1.111b
   śrāddhakartustu sarvatra Ang_1.652c	SrAdDakartuH-tu sarvatra Ank-_1.652c
   śrāddhakarmaṇi coditāḥ Ang_1.527d	SrAdDa-karmaNi coditAH Ank-_1.527d
   śrāddhakāleṣu bhaktitaḥ Ang_1.866b	SrAdDa-kAlezu BaktitaH Ank-_1.866b
   śrāddhato 'khilapaitṛkāḥ Ang_1.730b	SrAdDataH aKila-pEtRkAH Ank-_1.730b
   śrāddhatyāgāt pratyavāyo Ang_1.1071a	SrAdDa-tyAgAt pratyavAyaH Ank-_1.1071a
   śrāddhadravyaviśeṣāḥ syuḥ Ang_1.540c	SrAdDa-dravya-viSezAH syuH Ank-_1.540c
   śrāddhadvayaṃ syātpṛthagekakāle Ang_1.988d	SrAdDa-dvayam syAt-pRTak-eka-kAle Ank-_1.988d
   śrāddhanāmakakarmaṇaḥ Ang_1.115d	SrAdDa-nAmaka-karmaNaH Ank-_1.115d
   śrāddhapaṅktau tu bhuñjānāv Ang_1.960a	SrAdDa-paFktO tu BuQjAnO Ank-_1.960a
   śrāddhapratividhitvataḥ Ang_1.1107b	SrAdDa-prativiDi-tvataH Ank-_1.1107b
   śrāddhaprayogaśca mayā Ang_1.733c	SrAdDa-prayogaH-ca mayA Ank-_1.733c
   śrāddhamantroktimātrataḥ Ang_1.846b	SrAdDa-mantra-ukti-mAtrataH Ank-_1.846b
   śrāddhamantro ya īritaḥ Ang_1.844d	SrAdDa-mantraH yaH IritaH Ang_1.844d
   śrāddhamannena cetpunaḥ Ang_1.649b	SrAdDam-annena ced-punar Ank-_1.649b
   śrāddhamātrasya saṃtatam Ang_1.21d	SrAdDa-mAtrasya saMtatam Ank-_1.21d
   śrāddhamukteḥ paraṃ teṣāṃ Ang_1.884a	SrAdDa-mukteH param tezAm Ank-_1.884a
   śrāddhamukteḥ paraṃ teṣāṃ Ang_1.1073a	SrAdDa-mukteH param tezAm Ank-_1.1073a
   śrāddhamaupāsane bhavet Ang_1.724b	SrAdDam-OpAsane Bavet Ank-_1.724b
   śrāddhavighne samutpanne Ang_1.66c	SrAdDa-viGne samutpanne Ank-_1.66c
   śrāddhavighno yadā bhavet Ang_1.962b	SrAdDa-viGnaH yadA Bavet Ank-_1.962b
   śrāddhaśeṣaṃ na śūdrebhyo Ang_1.874a	SrAdDa-Sezam na SUdreByaH Ank-_1.874a
   śrāddhaśeṣaṃ samāpayet Ang_1.953d	SrAdDa-Sezam samApayet Ank-_1.953d
   śrāddhaśeṣaṃ samāpayet Ang_1.956d	SrAdDa-Sezam samApayet Ank-_1.956d
   śrāddhaśeṣaṃ samāpayet Ang_1.972b	SrAdDa-Sezam samApayet Ank-_1.972b
   śrāddhasaṃpūrṇatā jñeyā Ang_1.965a	SrAdDa-saMpUrNa-tA jQeyAH Ank-_1.965a
   śrāddhasaṃpūrṇatā smṛtā Ang_1.966d	SrAdDa-saMpUrNa-tA smRtAH Ank-_1.966d
   śrāddhasmṛtiṃ prakurvanvai Ang_1.1012a	SrAdDa-smRtim prakurvan-vE Ank-_1.1012a
   śrāddhasya karaṇaṃ proktaṃ Ang_1.675c	SrAdDasya karaNam proktam Ang_1.675c
   śrāddhasya karaṇaṃ proktaṃ Ang_1.1043c	SrAdDasya karaNam proktam Ang_1.1043c
   śrāddhasya karaṇaṃ smṛtam Ang_1.972d	SrAdDasya karaNam smRtam Ank-_1.972d
   śrāddhasyātha tathā tadā Ang_1.52d	SrAdDasya-aTa taTA tadA Ank-_1.52d
   śrāddhaṃ kāryamiti sthitiḥ Ang_1.51b	SrAdDam kAryam-iti sTitiH Ank-_1.51b
   śrāddhaṃ kuryādvidhānataḥ Ang_1.728b	SrAdDam kuryAt-viDAnataH Ank-_1.728b
   śrāddhaṃ kṛtvā tu yo mūḍho Ang_1.1085a	SrAdDam kRtvA tu yaH mUXaH Ank-_1.1085a
   śrāddhaṃ kṛtvāpi tatparam Ang_1.1105d	SrAdDam kRtvA-api tad-param Ank-_1.1105d
   śrāddhaṃ cāpi punaścaret Ang_1.273b	SrAdDam ca-api punar-caret Ank-_1.273b
   śrāddhaṃ caikadine kuryur Ang_1.990c	SrAdDam ca-eka-dine kuryuH Ank-_1.990c
   śrāddhaṃ caikadine bhavet Ang_1.984d	SrAdDam ca-eka-dine Bavet Ang_1.984d
   śrāddhaṃ tatraiva kurvīta Ang_1.53a	SrAdDam tatra-eva kurvIta Ang_1.53a
   śrāddhaṃ mahālayākhyakam Ang_1.715d	SrAdDam mahAlaya-AKyakam Ank-_1.715d
   śrāddhaṃ vai kriyate tadvā Ang_1.618a	SrAdDam vE kriyate tat-vA Ank-_1.618a
   śrāddhaṃ sarvaṃ prakurvate Ang_1.786d	SrAdDam sarvam prakurvate Ank-_1.786d
   śrāddhaṃ saṃpūrṇameva hi Ang_1.962d	SrAdDam saMpUrNam-eva hi Ank-_1.962d
   śrāddhaṃ syāllaukikānale Ang_1.724d	SrAdDam syAt-lOkika-anale Ank-_1.724d
   śrāddhākaraṇamīkṣya vai Ang_1.714d	SrAdDa-AkaraNam-Ikzya vE Ang_1.714d
   śrāddhākhyaṃ karma taccaret Ang_1.267d	SrAdDa-AKyam karma tat-caret Ank-_1.267d
   śrāddhāṅgatilatarpaṇam Ang_1.1073d	SrAdDa-aFga-tila-tarpaNam Ank-_1.1073d
   śrāddhādhikārasidhyarthaṃ Ang_1.111c	SrAdDa-aDikAra-siDi-arTam Ank-_1.111c
   śrāddhādhikārī piṇḍasya Ang_1.110a	SrAdDa-aDikArI piNxasya Ank-_1.110a
   śrāddhānāṃ prakṛtitvena Ang_1.616a	SrAdDAnAm prakRti-tvena Ank-_1.616a
   śrāddhāni kānicidbhūyo Ang_1.681a	SrAdDAni kAnicid-BUyas Ank-_1.681a
   śrāddhāni vihitāni vai Ang_1.613d	SrAdDAni vihitAni vE Ang_1.613d
   śrāddhāni syuḥ kṛtāni vai Ang_1.620b	SrAdDAni syuH kRtAni vE Ank-_1.620b
   śrāddhānte vā paredyurvā Ang_1.1083c	SrAdDa-ante vA paredyus-vA Ank-_1.1083c
   śrāddhānte vidhinā kāryaṃ Ang_1.882c	SrAdDa-ante viDinA kAryam Ank-_1.882c
   śrāddhānyetatsamāni vai Ang_1.489b	SrAdDAni-etad-samAni vE Ank-_1.489b
   śrāddhāyāgniṃ susaṃskriyāt Ang_1.1021d	SrAdDAya-agnim su-saMskriyAt Ank-_1.1021d
   śrāddhārthamiti niścitya Ang_1.1017c	SrAdDa-arTam-iti niScitya Ank-_1.1017c
   śrāddhe gopyāni kārayet Ang_1.874d	SrAdDe gopyAni kArayet Ank-_1.874d
   śrāddhenāpi kṛtena vai Ang_1.623d	SrAdDena-api kRtena vE Ang_1.623d
   śrāddhe pākasamārambhe Ang_1.25c	SrAdDe pAka-samAramBe Ank-_1.25c
   śrāddhe yāvanta uddiṣṭās Ang_1.718c	SrAdDe yAvantaH uddizwAH Ank-_1.718c
   śrāddheṣu keṣucitkāla- Ang_1.575a	SrAdDezu kezucid-kAla Ank-_1.575a
   śrāddhe sapta pavitrāṇi Ang_1.906a	SrAdDe sapta pavitrANi Ank-_1.906a
   śrāddhaikakaraṇāśaktā Ang_1.574c	SrAdDa-eka-karaNa-aSaktAH Ank-_1.574c
   śrāvayitvākhilaṃ tataḥ Ang_1.216b	SrAvayitvA-aKilam tatas Ank-_1.216b
   śrīparṇaṃ śrīkaraḥ śamī Ang_1.509b	SrIparNam SrIkaraH SamI Ank-_1.509b
   śrīmān satyaparāyaṇaḥ Ang_2,2.6b	SrImAn satya-parAyaNaH Ank-_2,2.6b
   śruṅgabhaṅge 'sthibhaṅge ca Ang_2,10.11a	SruFga-BaFge asTi-BaFge ca Ank-_2,10.11a
   śrutito brahmavādinaḥ Ang_1.618d	SrutitaH brahma-vAdinaH Ank-_1.618d
   śrutipārāyaṇaṃ yadvā Ang_1.155a	Sruti-pArAyaNam yat-vA Ank-_1.155a
   śrutimūlāni te purā Ang_1.1108b	Sruti-mUlAni te purA Ank-_1.1108b
   śrutyuktametadeva syād Ang_1.617a	Sruti-uktam-etat-eva syAt Ank-_1.617a
   śrutyuktaliṅloṭtavyapra- Ang_1.4a	Sruti-ukta-liFlowtavya-pra Ank-_1.4a
   śrutyukto 'yaṃ pitḥṇāṃ syād Ang_1.615c	Sruti-uktaH ayam pitHNAm syAt Ank-_1.615c
   śrutvā paścācchrotriyebhyaḥ Ang_1.216a	SrutvA paScAt-SrotriyeByaH Ank-_1.216a
   śrutvā smṛtvā ca vai dvijāḥ Ang_2,12.1d	SrutvA smRtvA ca vE dvijAH Ank-_2,12.1d
   śrotriyasya bhavedidam Ang_2,9.8d	Srotriyasya Bavet-idam Ank-_2,9.8d
   śrotriyasyāgnihotriṇaḥ Ang_2,9.3d	Srotriyasya-agnihotriNaH Ank-_2,9.3d
   śrotriyaṃ vedinaṃ śucim Ang_1.770d	Srotriyam vedinam Sucim Ank-_1.770d
   śrautasmārtakriyādakṣaḥ Ang_1.232c	SrOta-smArta-kriyA-t-akzaH Ank-_1.232c
   śvabhre saṃchādya dharmataḥ Ang_1.220b	SvaBre saMCAdya DarmataH Ank-_1.220b
   śvaśurāya śyālakāya Ang_1.689c	SvaSurAya SyAlakAya Ank-_1.689c
   ṣaṭsaptāṣṭanavādikāḥ Ang_1.18d	zaz-sapta-azwana-vAdikAH Ank-_1.18d
   ṣaṭsu cācamanaṃ smṛtam Ang_1.782d	zawsu ca-Acamanam smRtam Ank-_1.782d
   ṣaḍabdaṃ kṛcchramucyate Ang_1.186d	zaz-abdam kRcCram-ucyate Ank-_1.186d
   ṣaḍabdaṃ ṣaḍguṇatvena Ang_1.1065a	zaz-abdam zaxguNa-tvena Ank-_1.1065a
   ṣaḍaśītimukhaṃ jñeyaṃ Ang_1.640c	zaz-aSIti-muKam jQeyam Ank-_1.640c
   ṣaḍaśītyāṃ vyatītāyāṃ Ang_1.647a	zaz-aSItyAm vyatItAyAm Ank-_1.647a
   ṣaḍahaṃ madhyamācaret Ang_2,9.9d	zaz-aham maDyam-Acaret Ank-_2,9.9d
   ṣaḍete bhikṣukāḥ smṛtāḥ Ang_2,9.9d	zaw-ete BikzukAH smRtAH Ank-_2,9.9d
   ṣaḍguṇenaiva saṃyutam Ang_1.187d	zaxguNena-eva saMyutam Ank-_1.187d
   ṣaḍdaivatyastu darśaḥ syād Ang_1.662a	zaz-dEvatyaH-tu darSaH syAt Ank-_1.662a
   ṣaḍdaivatyaṃ tu sarvatra Ang_1.699c	zaz-dEvatyam tu sarvatra Ank-_1.699c
   ṣaḍdaivatyāni kāni syur Ang_1.661a	zaz-dEvatyAni kAni syuH Ank-_1.661a
   ṣaḍdaivatyena saṃyutam Ang_1.703b	zaz-dEvatyena saMyutam Ank-_1.703b
   ṣaḍvāraṃ darbhapuñjataḥ Ang_1.884d	zaz-vAram darBa-puQjataH Ank-_1.884d
   ṣaḍvidho 'pi mahālayaḥ Ang_1.700b	zaxviDaH api mahAlayaH Ank-_1.700b
   ṣaḍviṃśatikasaṃkhyayā Ang_1.656d	zaxviMSatika-saMKyayA Ank-_1.656d
   ṣaṇṇavatya itīritāḥ Ang_1.612b	zaNNavatyaH iti-IritAH Ank-_1.612b
   ṣaṇṇavatyatvasaṃkhyāyai Ang_1.691c	zaNNavatyatva-saMKyAyE Ank-_1.691c
   ṣaṇṇavatyaḥ prakīrtitāḥ Ang_1.606d	zaNNavatyaH prakIrtitAH Ank-_1.606d
   ṣaṇmāsānatha yo bhuṅkte Ang_2,8.8a	zaz-mAsAn-aTa yaH BuFkte Ank-_2,8.8a
   ṣaṣṭiruktāḥ praṇāḍikāḥ Ang_1.647b	zazwiH-uktAH praNAxikAH Ank-_1.647b
   ṣaṣṭhe kāle 'sya bhojanam Ang_2,11.1d	zazWe kAle asya Bojanam Ank-_2,11.1d
   ṣaṣṭhyantenāsanaṃ dadyāt Ang_1.791a	zazWI-antena-Asanam dadyAt Ank-_1.791a
   ṣoḍaśaprabhṛti smṛtāḥ Ang_1.928d	zoxaSa-praBRti smRtAH Ank-_1.928d
   ṣoḍaśaśrāddhatulitaṃ Ang_1.488a	zoxaSa-SrAdDa-tulitam Ank-_1.488a
   ṣoḍaśaśrāddhabhuñjāna- Ang_1.950c	zoxaSa-SrAdDa-BuQjAna Ank-_1.950c
   ṣoḍaśāntaṃ pṛthakkṛtvā Ang_1.995a	zoxaSa-antam pRTak-kRtvA Ank-_1.995a
   ṣoḍaśe sārdhavarṣaṃ tu Ang_1.761c	zoxaSe sArDa-varzam tu Ank-_1.761c
   ṣoḍaśaiveti kecittu Ang_1.658a	zoxaSa-eva-iti kecid-tu Ank-_1.658a
   ṣoḍhā tāḥ kathitāḥ sadbhir Ang_1.659a	zoXA tAH kaTitAH sadBiH Ank-_1.659a
   -ṣṭhātā yo brāhmaṇottamaḥ Ang_1.624d	-zWAtA yaH brAhmaNa-uttamaH Ank-_1.624d
   sa u tyaktapitā jñeyas Ang_1.1067c	saH u tyakta-pitA jQeyaH Ank-_1.1067c
   sa u bhraṣṭapitā smṛtaḥ Ang_1.1061d	saH u Brazwa-pitA smRtaH Ank-_1.1061d
   sa eva kathitaḥ sadbhir Ang_1.544c	saH eva kaTitaH sadBiH Ank-_1.544c
   sa eva karmacaṇḍālas Ang_1.626a	saH eva karma-caNxAlaH Ank-_1.626a
   sa eva pitṛkṛtyeṣu Ang_1.430a	saH eva pitR-kRtyezu Ank-_1.430a
   sakaṇḍakabṛhatyastā Ang_1.580c	sa-kaNxaka-bRhatyaH-tAH Ank-_1.580c
   sakalīkaraṇe cātra Ang_1.168a	sakalIkaraNe ca-atra Ank-_1.168a
   sakṛtpakṣeṇa vā pūrva- Ang_1.704c	sakRt-pakzeNa vA pUrva Ank-_1.704c
   sakṛtsnātvā payaḥ pibet Ang_2,12.2b	sakRt-snAtvA payaH pibet Ank-_2,12.2b
   sakṛdācchinnadarbheṣu Ang_1.853c	sakRt-AcCinna-darBezu Ank-_1.853c
   sakṛdācchinnamantreṇa Ang_1.852c	sakRt-AcCinna-mantreNa Ank-_1.852c
   sakṛdeveti tajjāmi- Ang_1.786a	sakRt-eva-iti tad-jAmi Ank-_1.786a
   sakṛnmahālayasya te Ang_1.717d	sakRt-mahA-Alayasya te Ank-_1.717d
   sakṛnmahālayaḥ so 'yaṃ Ang_1.701c	sakRt-mahA-AlayaH saH ayam Ank-_1.701c
   sakṛnmahālaye tu cet Ang_1.711d	sakRt-mahA-Alaye tu ced Ank-_1.711d
   sagotrā evameva vai Ang_1.410b	sagotrA evam-eva vE Ank-_1.410b
   sagotreṣvathavā kāryo hy Ang_1.305a	sagotrezu-aTavA kAryaH hi Ank-_1.305a
   sagotreṣveva kurvīta Ang_1.358c	sagotrezu-eva kurvIta Ang_1.358c
   sagotryasaṃmataḥ sūnur Ang_1.427a	sagotrya-saMmataH sUnuH Ank-_1.427a
   sa gohatyātmakāt pāpān Ang_2,11.9c	sa gohatyA-AtmakAt pApAn Ank-_2,11.9c
   sa ghoṣo brāhmaṇaiḥ kartuṃ Ang_1.819a	sa GozaH brAhmaNEH kartum Ank-_1.819a
   sa ca sarvasya devatā Ang_2,12.14d	sa ca sarvasya devatAH Ank-_2,12.14d
   sa cāpi gotribhistulyo Ang_1.149c	sa ca-api gotriBiH-tulyaH Ank-_1.149c
   sacelaṃ vāgyataḥ snātvā Ang_2,2.7a	sa-celam vAgyataH snAtvA Ank-_2,2.7a
   satataṃ guruvatsalaḥ Ang_1.592b	satatam guru-vatsalaH Ank-_1.592b
   satataṃ dharmatatparau Ang_1.421b	satatam Darma-tatparO Ank-_1.421b
   satataṃ brahmaṇi sthitaḥ Ang_1.736b	satatam brahmaNi sTitaH Ank-_1.736b
   satataṃ vedavādibhiḥ Ang_1.20b	satatam veda-vAdiBiH Ank-_1.20b
   satāmeva hi bandhūnāṃ Ang_1.137c	satAm-eva hi banDUnAm Ank-_1.137c
   sati cettanaye talpe Ang_1.449a	sati ced-tanaye talpe Ank-_1.449a
   sati tāte 'thavā na cet Ang_1.418d	sati tAte aTavA na ced Ank-_1.418d
   sati dattasute tasmāt Ang_1.440a	sati datta-sute tasmAt Ank-_1.440a
   satilairvidyate śrāddhaṃ Ang_1.1109a	sa-tilEH-vidyate SrAdDam Ank-_1.1109a
   satkarṇīti ca kalyāṇī Ang_1.458c	satkarNI-iti ca kalyANI Ang_1.458c
   sattiyogavaśāccaret Ang_1.1033b	satti-yoga-vaSAt-caret Ank-_1.1033b
   satpātre samanujñātaṃ Ang_2,8.13a	sat-pAtre samanujQAtam Ank-_2,8.13a
   satyanyātanaye tāvan- Ang_1.439a	satya-nyAtanaye tAvan Ank-_1.439a
   satyameva parā gatiḥ Ang_2,3.2d	satyam-eva parA gatiH Ang_2,3.2d
   satyasaṃjñikanāmakāḥ Ang_1.671b	satya-saMjQika-nAmakAH Ank-_1.671b
   satyaṃ tvartena vidhinā Ang_1.824a	satyam tvA-Rtena viDinA Ang_1.824a
   satyaṃ brūyādaśeṣataḥ Ang_2,3.5b	satyam brUyAt-aSezatas Ank-_2,3.5b
   satyena dyotate raviḥ Ang_2,3.1b	satyena dyotate raviH Ank-_2,3.1b
   satyena dyotate rājā Ang_2,3.1a	satyena dyotate rAjA Ank-_2,3.1a
   satyena dyotate vahniḥ Ang_2,3.1c	satyena dyotate vahniH Ank-_2,3.1c
   satyenaiva viśudhyanti Ang_2,3.4a	satyena-eva viSuDyanti Ank-_2,3.4a
   satye sarvaṃ pratiṣṭhitam Ang_2,3.1d	satye sarvam pratizWitam Ang_2,3.1d
   satyaurase tatsamo 'yaṃ Ang_1.420a	satya-Orase tad-samaH ayam Ank-_1.420a
   satreṣvevaṃ gataṃ gatam Ang_1.38b	satrezu-evam gatam gatam Ank-_1.38b
   satsvauraseṣu mukhyatvāt Ang_1.468a	sat-su-Orasezu muKya-tvAt Ank-_1.468a
   sa darśastādṛśasyānu- Ang_1.624c	sa darSaH-tAdRSasya-anu Ank-_1.624c
   sadā triṣavaṇaṃ snāyāt Ang_2,12.2a	sadA trizavaNam snAyAt Ank-_2,12.2a
   sadā durbala eva vai Ang_1.312d	sadA durbalaH eva vE Ang_1.312d
   sadānenaiva kurvīta Ang_1.188a	sa-dAnena-eva kurvIta Ang_1.188a
   sadā svastho na laṅghayet Ang_1.322b	sadA svasTaH na laFGayet Ank-_1.322b
   sadaivikāni khyātāni Ang_1.683a	sadA-evikAni KyAtAni Ank-_1.683a
   sadoṣakaṃ ca sadveṣaṃ Ang_1.743c	sa-dozakam ca sa-dvezam Ank-_1.743c
   sadbhirukto 'thavā gṛṇan Ang_1.1058d	sadBiH-uktaH aTavA gRNan Ank-_1.1058d
   sadya eva na saṃśayaḥ Ang_1.882d	sadyas eva na saMSayaH Ang_1.882d
   sadya eva piturdrohī Ang_1.604c	sadyas eva pituH-drohI Ang_1.604c
   sadya eva prakartavyam Ang_1.176c	sadyas eva prakartavyam Ank-_1.176c
   sadya eva prakartavyaṃ Ang_1.1074a	sadyas eva prakartavyam Ank-_1.1074a
   sadya eva brāhmaṇebhyo Ang_1.550a	sadyas eva brAhmaNeByaH Ank-_1.550a
   sadya eva vimuktaḥ syāt Ang_1.160a	sadyas eva vimuktaH syAt Ank-_1.160a
   sadya eva śucirbhavet Ang_2,9.14d	sadyas eva SuciH-Bavet Ang_2,9.14d
   sadyaścaṇḍālatāṃ vrajet Ang_1.109d	sadyas-caNxAla-tAm vrajet Ang_1.109d
