   Śayanāsanavastu	Śayana-Asana-vastu
   bhagavān āha: na tatrobhayavihārābhyāṃ dātavyam; ekasmāt prayacchanti;	BagavAn Aha: na tatra-uBaya-vihArAByAm dAtavyam; ekasmAt prayacCanti;
   anye bhikṣavo 'vadhyāyanti kṣipanti vivācayanti: uhayavihārayor varṣoṣitaḥ	anye BikzavaH avaDyAyanti kzipanti vivAcayanti: uhaya-vihArayoH varza-uzitaH
   kimartham ekasamād dīyate iti; ḥetat prakaraṇaṃ bhikṣavo bhagavata	kimarTam eka-samAt dIyate iti; Hetat prakaraNam BikzavaH Bagavata
   ārocayanti; bhagavān āha:ḥ ubhayavihārābhyām apy ardhārdhaṃ deyam, na ca	Arocayanti; BagavAn Aha:H uBaya-vihArAByAm api arDa-arDam deyam, na ca
   punar bhikṣuṇā dvayor vihārayor upagantavyaṃ; upagacchati, sātisāro	punar BikzuNA dvayoH vihArayoH upagantavyan; upagacCati, sa-atisAraH-
   bhavati	Bavati
        anyatamena gṛhapatinā dvau vihārau kāritau, eka āraṇyakānāṃ, divtīyo	anyatamena gRhapatinA dvO vihArO kAritO, ekaH AraNyakAnAn, divtIyaH-
   grāmāntikānām; ācaritam tasya gṛhapter varṣoṣitasya bhikṣusaṃghasya	grAma-antikAnAm; Acaritam tasya gRhapteH varza-uzitasya Bikzu-saMGasya
   ekaikaṃ bhikṣuṃ paṭenācchādayitum; sa paṭakān ādāya āraṇyakānāṃ vihāraṃ	ekEkam Bikzum pawena-AcCAdayitum; sa pawakAn AdAya AraNyakAnAm vihAram
   saṃprasthitaḥ; upanandena śrutam; āraṇyake vihāre lābho dīyate iti; tena	saMprasTitaH; upanandena Srutam; AraNyake vihAre lABaH dIyate iti; tena
   nandasya saṃdiṣṭam; yady atra lābho dīyate tad grahīṣyasi ity uktvā sa	nandasya saMdizwam; yadi atra lABaH dIyate tat grahIzyasi iti uktvA sa
   tvaramāṇaḥ āraṇyakaṃ vihāraṃ saṃprasthitaḥ; tena gṛhapatinā dṛṣṭaḥ; sa	tvaramANaH AraNyakam vihAram saMprasTitaH; tena gRhapatinA dRzwaH; sa
   saṃlakṣayati: yādṛśo 'sya padoddhātaḥ; gato 'yam āraṇyakaṃ vihāram, kim	saMlakzayati: yAdRSaH asya pada-udDAtaH; gataH ayam AraNyakam vihAram, kim
   atra prāptakālam, ihaiva tāvat grāmāntikavihāre dadāmi; paścāt tatra	atra prApta-kAlam, iha-eva tAvat grAma-antika-vihAre dadAmi; paScAt tatra
   dāsyāmi iti; sa pratinivartya paṭakāṃś cārayitum ārabdhaḥ; nandena hastaḥ	dAsyAmi iti; sa pratinivartya pawakAn cArayitum ArabDaH; nandena hastaH
   prasāritaḥ; gṛhapatinā paṭako dattaḥ; bhūyaḥ prasārayati; gṛhapatiḥ	prasAritaH; gRhapatinA pawakaH dattaH; BUyas prasArayati; gRhapatiH
   kathayati: ārya dattas te paṭakaḥ, kiṃ bhūyaḥ prasārayasi iti; sa	kaTayati: Arya dattaH te pawakaH, kim BUyas prasArayasi iti; sa
   kathayati: (A 328a) gṛhapate upanandas tava vihāre varṣoṣitaḥ tasya	kaTayati: (A 328a) gRhapate upanandaH tava vihAre varza-uzitaH tasya
   santakaṃ prārthayāmi iti; gṛhaptiḥ kathayati: ḥāryaḥ svahastena bhagavata	santakam prArTayAmi iti; gRhaptiH kaTayati: HAryaH sva-hastena Bagavata
   dānaṃ praśastam, svahastenaiva dāsyāmi iti; sa lajjitas tūṣṇīm avasthitaḥ;	dAnam praSastam, sva-hastena-eva dAsyAmi iti; sa lajjitaH tUzNIm avasTitaH;
   upanandaḥ saṃlakṣayati: cirayaty asau gṛhapatiḥ, grāmāntikaṃ gamiṣyāmi iti	upanandaH saMlakzayati: cirayati asO gRhapatiH, grAma-antikam gamizyAmi iti
   viditvā grāmāntikavihāraṃ (Śay-v 41) gataḥ nandaṃ pṛcchati; ārya gṛhīto	viditvA grAma-antika-vihAram (Śay-u 41) gataH nandam pRcCati; Arya gRhItaH-
   madīyaḥ paṭakaḥ? tena yathāvṛttaṃ samākhyātam; gṛhapatir apy anyena pathā	madIyaH pawakaH? tena yaTAvRttam samAKyAtam; gRhapatiH api anyena paTA
   āraṇyakaṃ vihāram gatvā patākāṃś cārayitvā prakṛāntaḥ; ḥupanandaḥḥ punar	AraNyakam vihAram gatvA patAkAn cArayitvA prakRAntaH; HupanandaHH punar-
   āraṇyakaṃ vihāraṃ pradhāvitaḥ, yāvat paṭakāś cāritāḥ; sa ubhayavihārayor	AraNyakam vihAram praDAvitaH, yAvat pawakAH cAritAH; saH uBaya-vihArayoH-
   apy atilobhena lābhāt paribhraṣṭaḥ; sa śocati klāmyati paridevate	api ati-loBena lABAt pariBrazwaH; sa Socati klAmyati paridevate
        bhikṣavaḥ saṃśayajātāḥ sarvaśaṃṣayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtAH sarva-SaMzaya=-CettAram budDam Bagavantam
   papracchuḥ: paśya bhadanta upananda atilobhena paṭakāt paribhraṣṭah;	papracCuH: paSya BadantaH upananda ati-loBena pawakAt pariBrazwa-h;
   bhagavān āha: na bhikṣava etarhi yathātīte 'py adhvany anena atilobhāt	BagavAn Aha: na BikzavaH etarhi yaTA-atIte api aDvani anena ati-loBAt-
   bhaktacchedaḥ kṛtaḥ; tac chrūyatām	Bakta=-CedaH kRtaH; tat SrUyatAm
   The story of the dog vhich was too greedy (being a previous birth of	The storI of Te dok vhiC waH toaH greedi (being a previouH birT of
   Upananda)	Upa-nanda)
        bhūtapūrvaṃ bhikṣavo nadyā ubhayakūle dvau vihārau, ekaḥ	BUta-pUrvam BikzavaH nadyAH uBaya-kUle dvO vihArO, ekaH
   saṃghalābhikānām, dvitīyo piṇḍapātikānām; yāvad anyatamaḥ kukkuraḥ	saMGala-aBikAnAm, dvitIyaH piNxa-pAtikAnAm; yAvat anyatamaH kukkuraH
   gaṇḍīśabdapratisaṃvedī; sa gaṇḍīśabdaṃ śrutvā saṃghalābhikānāṃ vihāraṃ	gaNxI-Sabda-pratisaMvedI; sa gaNxI-Sabdam SrutvA saMGala-aBikAnAm vihAram
   gacchati; tasya te bhikṣavaḥ pātraśeṣaṃ prayacchanti; sa taṃ paribhujya	gacCati; tasya te BikzavaH pAtra-Sezam prayacCanti; sa tam pariBujya
   piṇḍapātikānāṃ vihāraṃ gacchati, tatrāpi pātraśeṣaṃ bhuktvā yatheṣṭaṃ	piNxapAtikAnAm vihAram gacCati, tatra-api pAtra-Sezam BuktvA yaTezwam
   gacchati; yāvad apareṇa samayena piṇḍapātikānām aupapādukānāṃ lābhaḥ	gacCati; yAvat apareNa samayena piNxa-pAtikAnAm OpapAdukAnAm lABaH
   saṃpannaḥ; tais sānukālaṃ gaṇḍī dattā; sa gaṇḍīkukkuraḥ gaṇḍīśabdaṃ śrutvā	saMpannaH; tEH sa-anukAlam gaNxI dattA; sa gaNxIkukkuraH gaNxI-Sabdam SrutvA
   nadīm uttartum ārabdhaḥ; madhyaṃ gatasyāsya saṃghalābhikānāṃ vihāre gaṇḍī	nadIm uttartum ArabDaH; maDyam gatasya-asya saMGalABikAnAm vihAre gaNxI
   dattā; sa bhagnotsāho pratinivartitum ārabdhaḥ; srotasā dūram ūḍha	dattA; sa Bagna-utsAhaH pratinivartitum ArabDaH; srotasA dUram UXa
   ubhayaparibhraṣṭaḥ	uBaya-pariBrazwaH
        kiṃ manyadhve bhikṣavaḥ? yo 'sau gaṇḍīkukkuraḥ tena kālena tena	kim manyaDve BikzavaH? yaH asO gaNxIkukkuraH tena kAlena tena
   samayena eṣa evāsāv upanandaḥ; tadāpy ayam atilobhena ubhayaparibhraṣṭah;	samayena ezaH eva-asO upanandaH; tadA-api ayam ati-loBena uBaya-pariBrazwa-h;
   etarhy apy atilobhena ubhayaparibhraṣṭaḥ; tasmāt tarhi bhikṣavo na	etarhi api ati-loBena uBaya-pariBrazwaH; tasmAt tarhi BikzavaH na
   bhikṣuṇā atilobhaḥ kartavyaḥ; karoti, sātisāro bhavati (Śay-v 42)	BikzuNA ati-loBaH kartavyaH; karoti, sa-atisAraH Bavati (Śay-u 42)
   uddānam	uddAnam
        kalaho glānaparyāpti rātrikālaś ca kāśiṣu /	kalahaH glAna-paryApti rAtri-kAlaH ca kASizu /
        vṛkṣasthaṇḍilaśādvalaṃ bhājakānāṃ ca saṃvṛtiḥ //	vRkza-sTaNxila-SAdvalam BAjakAnAm ca saMvRtiH //
   Precautions to take against quarrelsome monks	Preca-OtionH taH take agEnst quarrelsome mA-unks
        āyuṣmān upālir buddhaṃ bhagavantaṃ pṛcchati; yathāpitad bhikṣavaḥ	AyuzmAn upAliH budDam Bagavantam pRcCati; yaTApitat BikzavaH
   śṛṇvanti bhikṣavaḥ āgacchanti kalahakārakā ḥbhaṇḍanakārakā vigrahakārakāḥ	SRNvanti BikzavaH AgacCanti kalaha-kArakAH HBaNxana-kArakAH vigraha-kArakAH
   vivādakārakā ādhikaraṇikā te 'smāṃś codayiṣyanti smārayiṣyanti alajjitena	vivAda-kArakAH ADikaraNikA te asmAn codayizyanti smArayizyanti alajjitena
   vā vaitarikeṇa vā iti; taiḥ teṣāṃ kathaṃ pratipattavyam? naivāsikair upāli	vA vEtarikeNa vA iti; tEH tezAm kaTam pratipattavyam? nEvAsikEH upAli
   bhikṣubhiḥ kalahakārikān bhikṣūn āgacchataḥ śrutvā trayaḥ	BikzuBiH kalaha-kArikAn BikzUn AgacCataH SrutvA trayaH
   śayanāsanoddeśakāḥ kartavyāḥ, ṣaṭ śayanāsanagrāhakāḥ; trayaḥ	Sayana-Asana-uddeSakAH kartavyAH, zaw Sayana-Asana-grAhakAH; trayaH
   śayanāsanoddeśakāḥ katame? haimantiko graiṣmiko vārṣakaś ca; ṣaṭ	Sayana-Asana-uddeSakAH katame? hEmantikaH grEzmikaH vArzakaH ca; zaz-
   śayanāsanagrāhakāḥ katame? sarvo vihāra uddeṣṭavyaḥ sarvo vihārasāmantakaḥ	Sayana-Asana-grAhakAH katame? sarvaH vihAraH uddezwavyaH sarvaH vihAra-sAmantakaH
   ḥsarvaḥ parigaṇaḥḥ sarvaḥ parigaṇasāmantakaḥ sarva ārāma sarva	HsarvaH parigaNaHH sarvaH parigaNa-sAmantakaH sarve ArAma sarva
   ārāmasāmantakaḥ: yadi kathayati vihāram uddiśata iti vaktavyam uddiṣṭo	ArAma-sAmantakaH: yadi kaTayati vihAram uddiSate iti vaktavyam uddizwaH-
   'yam, vihārasāmantakam uddiśata eṣo 'py udddiṣṭaḥ, parigaṇam uddiśata eṣo	ayam, vihAra-sAmantakam uddiSataH ezaH api udddizwaH, parigaNam uddiSataH ezaH-
   (A 328b) 'py uddiṣṭaḥ parigaṇasāmantakam uddiśata eṣo 'py uddiṣṭaḥ, ārāmam	(A 328b) api uddizwaH parigaNa-sAmantakam uddiSataH ezaH api uddizwaH, ArAmam
   uddiśata eṣo 'py uddiṣṭaḥ, ārāmasāmantakam uddiśata eṣo 'py uddiṣṭaḥ; te	uddiSataH ezaH api uddizwaH, ArAma-sAmantakam uddiSataH ezaH api uddizwaH; te
   alayanā apratiṣṭhitāḥ kaṃcid doṣaṃ janayiṣyanti; tataḥ paścād gatavegaiḥ	alayanAH apratizWitAH kaMcid dozam janayizyanti; tatas paScAt gata-vegEH
   gatapratyarthikaiḥ gatapratyamitraiḥ yathāvṛddhikayā (Śay-v 43)	gata-pratyarTikEH gata-pratyamitrEH yaTAvRdDikayA (Śay-u 43)
   śayanāsanam uddeṣṭavyam; uktaṃ bhagavatā: yathāvṛddhikayā śayanāsanam	Sayana-Asanam uddezwavyam; uktam BagavatA: yaTAvRdDikayA Sayana-Asanam
   uddeṣṭavyam iti	uddezwavyam iti
   The care of the sick monks and Upananda's mischief again	The care of Te sick mA-unkH and Upananda-as misCief agEn
        yāvad eko bhikṣur glānaḥ; tasya vṛddhataraka bhikṣur agataḥ;	yAvat ekaH BikzuH glAnaH; tasya vRdDataraka BikzuH agataH;
   yathāvṛddhikayā tatsantakaṃ layanam uddiṣṭam; sa sarvanavakiaḥ;	yaTAvRdDikayA tad-santakam layanam uddizwam; sa sarva-navakiaH;
   tasyānyalayanaṃ na prāpadyate; sa tena bhikṣuṇābhihitaḥ; āyuṣman mamaital	tasya-anyalayanam na prApadyate; sa tena BikzuNA-aBihitaH; Ayuzmat mama-etal
   layanam uddiṣṭam, nirgaccha iti; sa kathayati: glāno 'ham, yāvat	layanam uddizwam, nirgacCaH iti; sa kaTayati: glAnaH aham, yAvat-
   svastībhavāmi; niṣṭhur asau bhikṣuḥ; sa tena puṣkariṇyāṃ niṣkāsya	svasti-iBavAmi; nizWuH asO BikzuH; sa tena puzkariNyAm nizkAsya
   sthāpitaḥ; yāvad brāhmaṇagṛhapatayo vihāram āgatāḥ; draṣṭukāmais tair asau	sTApitaH; yAvat brAhmaNa-gRhapatayaH vihAram AgatAH; drazwu-kAmEH tEH asO
   bhikṣur dṛṣṭaḥ; te kathayanti: āryā kim ayaṃ bhikṣuḥ kālagataḥ?	BikzuH dRzwaH; te kaTayanti: AryA kim ayam BikzuH kAlagataH?
   bhadramukhā, nāyam kālagataḥ; atha kasmād atra sthāpitaḥ? asya	Badra-muKA, na-ayam kAlagataH; aTa kasmAt atra sTApitaH? asya
   vṛddhatarako bhjikṣur āgataḥ, etatsantakaṃ layanaṃ tasyoddiṣṭam; tenāyaṃ	vRdDatarakaH BjikzuH AgataH, etat-santakam layanam tasya-uddizwam; tena-ayam
   niṣkāsyeha sthāpitaḥ; āryā vayam āgārikāḥ santo 'nurakṣaṇayā glānagṛhān	nizkAsya-iha sTApitaH; AryAH vayam AgArikAH santaH anurakzaNayA glAna-gRhAn
   ḥnaḥ niṣkāsayāmaḥ, yūyaṃ pravrajitāḥ, kāruṇikaś ca yuṣmākaṃ śāstā, tat	HnaH nizkAsayAmaH, yUyam pravrajitAH, kAruNikaH ca yuzmAkam SAstA, tat-
   kathaṃ glānaṃ niṣkāsayatha? te 'vadhyāyanti kṣipanti vivācayanti; etat	kaTam glAnam nizkAsa-yaTa? te avaDyAyanti kzipanti vivAcayanti; etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti; asyām utpattau bhagavān āha:	prakaraNam BikzavaH BagavataH Arocayanti; asyAm utpattO BagavAn Aha:
   tasmāt tarhi bhikṣavo glānasya bhikṣor vastuparihāro dātavyaḥ iti; uktaṃ	tasmAt tarhi BikzavaH glAnasya BikzoH vastu-parihAraH dAtavyaH iti; uktam
   bhagavatā: glānasya bhikṣor vastuparihāro deyaḥ iti	BagavatA: glAnasya BikzoH vastu-parihAraH deyaH iti
        āyuṣman upananda hum iti kṛtvā tūṣṇīm avasthitaḥ; yāvad ṣaḍbhir	Ayuzman upananda hum iti kRtvA tUzNIm avasTitaH; yAvat zaxBiH-
   saptabhir vā divasaiḥ śayanāsanam uddekṣyati iti pāde vraṇapaṭṭakaṃ	saptaBiH vA divasEH Sayana-Asanam uddekzyati iti pAde vraNa-pawwakam
   baddhvāvasthitaḥ; śayanāsanoddeśakair bhikṣubhir glāna iti kṛtvā	badDvA-avasTitaH; Sayana-Asana-uddeSakEH BikzuBiH glAnaH iti kRtvA
   tatsantakaṃ layanaṃ uddiṣṭam; sa uddiṣṭeṣu śayanāsaneṣu vraṇapaṭṭakaṃ	tat-santakam layanam uddizwam; saH uddizwezu Sayana-Asanezu vraNa-pawwakam
   muktvāvasthitaḥ; tatas sa glānāvalokakair bhikṣubhir pṛṣṭaḥ kiṃ	muktvA-avasTitaH; tatas sa glAna-avalokakEH BikzuBiH pRzwaH kim
   sthavirasya pādaḥ svasthībhūtaḥ iti; sa kathayati: nānūktaṃ bhagavatā	sTavirasya pAdaH svasTIBUtaH iti; sa kaTayati: na-anUktam BagavatA
   sarvasaṃskārā anityā iti; tat kiṃ mama (Śay-v 44) vyādhir nityo	sarva-saMskArAH anityAH iti; tat kim mama (Śay-u 44) vyADiH nityaH-
   bhaviṣyati? te kathayanti: śīghraṃ sthavira svasthībhūtaḥ, ha kalpaglānaḥ	Bavizyati? te kaTayanti: SIGram sTavira svasTIBUtaH, ha kalpa-glAnaH
   iti; sa kathayati: kim icchatha māṃ jīrṇalayane prakṣeptum iti; alpāthā	iti; sa kaTayati: kim icCaTa mAm jIrNa-layane prakzeptum iti; alpa-aTA
   bhikṣavo 'vadhyāyanti kṣipanti vivācayanti: katham idānīṃ bhikṣava aglānā	BikzavaH avaDyAyanti kzipanti vivAcayanti: kaTam idAnIm Bikzava aglAnA
   eva vastuparihāraṃ svīkurvanti? etat prakaraṇam bhikṣavo bhagavata	eva vastu-parihAram svIkurvanti? etat prakaraNam BikzavaH Bagavata
   ārocayanti; asyām utpattau bhagavān āha: tasmāt tarhi bhikṣavo	Arocayanti; asyAm utpattO BagavAn Aha: tasmAt tarhi BikzavaH-
   kalpaglānasya vastuparihāro 'deyaḥ, nāpi tena svīkartavyaḥ, karoti,	kalpa-glAnasya vastu-parihAraH adeyaH, na-api tena svIkartavyaH, karoti,
   sātisāro bhavati	sa-atisAraH Bavati
   The various blessings of the men who master the vinaya: the six pentads	The variouH blessingH of Te met whaH masteH Te vinaya: Te siS pentads
   pañcikānāṃ piṇḍoddānam	paQcikAnAm piNxa-uddAnam
        puraḥkṛtaś ca svaṃ śīlam asaṃsaktam athāpica /	puras-kRtaH ca svam SIlam asaMsaktam aTa-Apica /
        ālokajātā utpattir āntarāyikam eva ca //	Aloka-jAtA utpattiH AntarAyikam eva ca //
        āpattiḥ paścimaṃ kṛtvā piṇḍoddānasamuddhṛtam /	ApattiH paScimam kRtvA piNxa-uddAna-samudDRtam /
   antaroddānam	antara-uddAnam
        puraḥkṛtyam aparaṃ ca cābhyantaraṃ ca pareṣām /	puras-kRtyam aparam ca ca-aByantaram ca parezAm /
        bahujanahitāya kṛtvā prathamā bhavati pañcikā //	bahu-jana-hitAya kRtvA praTamA Bavati paQcikA //
   bhagavatā sūtraṃ (A 329a) mātṛkā ca devamanuṣyeṣu pratiṣṭhāpite, sūtraṃ	BagavatA sUtram (A 329a) mAtRkA ca deva-manuzyezu pratizWApite, sUtram
   nāgeṣu; vinayas tu ḥgambhīroḥ gambhīrāvabhāso durdṛśo duravabodho	nAga-izu; vinayaH tu HgamBIroH gamBIra-avaBAsaH durdRSaH duravaboDaH-
   bahusaṃdhir lokākṣarapratisaṃyuktaḥ; bhikṣavo vinayaṃ gambhīratvāt	bahu-saMDiH loka-akzara-pratisaMyuktaH; BikzavaH vinayam gamBIra-tvAt-
   bahusaṃdhikatvāt lokākṣarapratisaṃyuktatvāc ca notsahante paṭhitum;	bahu-saMDika-tvAt loka-akzara-pratisaMyukta-tvAt ca na-utsahante paWitum;
   dharmatā caiṣā yenāṅgena śāsanaṃ parihīyate tasya buddhā bhagavanto	DarmatA ca-ezA yena-aFgena SAsanam parihIyate tasya budDAH BagavantaH-
   'tyarthaṃ varṇam bhāṣante; tatra bhagavān bhikṣūn āmantrayate sma; pañca	atyarTam varNam BAzante; tatra BagavAn BikzUn Amantrayate sma; paQca
   me bhikṣavo ānuśaṃsā vinayadharapudgale; katame pañca? puraskṛto bhavati	me BikzavaH AnuSaMsA vinaya-Dara-pudgale; katame paQca? puraskRtaH Bavati
   catasṛṇāṃ parṣadām: (Śay-v 45) aparāpratibaddhāsya bhavaty	catasRNAm parzadAm: (Śay-u 45) apara-apratibadDA-asya Bavati-
   avavādānuśāsanī; atītānāgatapratyutpannānāṃ samyaksaṃbuddhānām	avavAda-anuSAsanI; atIta-anAgata-pratyutpannAnAm samyaksaMbudDAnAm
   abhyantarakośadharo bhavati; pareṣāṃ śramaṇabrāhmaṇānām mūrdhānaṃ āsādya	aByantara-koSa-DaraH Bavati; parezAm SramaNa-brAhmaNAnAm mUrDAnam AsAdya
   tiṣṭhati; bahujanahitāya bahujanasukhāya ca pratipanno bhavati	tizWati; bahu-jana-hitAya bahu-jana-suKAya ca pratipannaH Bavati
   saddharmasthitaye	sadDarma-sTitaye
   antaroddānam	antara-uddAnam
        svaśīlam abhigamanaṃ kaukṛtyaṃ viśāradaś ca /	sva-SIlam aBigamanam kOkRtyam viSAradaH ca /
        saha dharmeṇa kṛtvā dvitīyā bhavati pañcikā //	saha DarmeNa kRtvA dvitIyA Bavati paQcikA //
   apre pañcānuśaṃsā vinayadhare pudgale; ḥkatame pañca?ḥ svo 'sya	apre paQca-anuSaMsA vinaya-Dare pudgale; Hkatame paQca?H svaH asya
   śīlaskandhaḥ sugupto bhavati sugopitaḥ; abhigamanīyo bhavati catasṛṇāṃ	SIla-skanDaH su-guptaH Bavati su-gopitaH; aBigamanIyaH Bavati catasRNAm
   parṣadām; kaukṛtyaprasṛtānāṃ pudgalānāṃ pratiśaraṇabhūto bhavati; viśāradḥ	parzadAm; kOkRtya-prasRtAnAm pudgalAnAm pratiSaraNa-BUtaH Bavati; viSAradH
   saṃghamadhye viharati; pratyarthinaḥ svasaddharme gṛhṇāti	saMGa-maDye viharati; pratyarTinaH svasadDarme gRhNAti
   antaroddānam	antara-uddAnam
        asaṃsaktam arthaniścayaḥ śikṣāpadāny athāpi /	asaMsaktam arTa-niScayaH SikzA-padAni aTa-api /
        cāstv ālokadvayaṃ caiva tṛtīyā bhavati pañcikā //	ca-astu Aloka-dvayam ca-eva tRtIyA Bavati paQcikA //
   apare pañcānuśaṃsā vinayadhare pudgale; katame pañca? asaṃsaktam artham	apare paQca-anuSaMsA vinaya-Dare pudgale; katame paQca? asaMsaktam arTam
   uddharati; suviniścito bhavati arthaviniścaye; śikṣāpadāny asya sugṛhītāni	udDarati; su-viniScitaH Bavati arTa-viniScaye; SikzA-padAni asya su-gRhItAni
   bhavanti; ālokajātena cetasā bahulaṃ viharati; paścimāyā janatāyā ālokaṃ	Bavanti; Aloka-jAtena cetasA bahulam viharati; paScimAyAH janatAyAH Alokam
   karoti	karoti
   uddānam	uddAnam
        ālokābhāsaprabhāsaś ca alpotsuko 'śūnyakena ca /	Aloka-ABAsa-praBAsaH ca alpa-utsukaH aSUnyakena ca /
   apare pañcānuśaṃsā vinayadhare pudgale; katame pañca? ālokajātā (Śay-v 46)	apare paQca-anuSaMsA vinaya-Dare pudgale; katame paQca? Aloka-jAtAH (Śay-u 46)
   me dik khyāti avabhāsajātā prabhāsajātā, alpotsuko 'haṃ tasyāṃ diśi	me diS KyAti avaBAsa-jAtA praBAsa-jAtA, alpa-utsukaH aham tasyAm diSi
   viharāmi, aśūnyā ca me dik khyāti yasyāṃ diśi vinayadharaḥ pudgalaḥ	viharAmi, aSUnyA ca me diS KyAti yasyAm diSi vinaya-DaraH pudgalaH
   prativasati	prativasati
   ḥuddānam	HuddAnam
        utpattir atha prajñaptir anuprajñaptir eva ca /	utpattiH aTa prajQaptiH anuprajQaptiH eva ca /
        pratikṣepo 'bhyanujñā ca saiva pañcamā pañcikā //ḥ	pratikzepaH aByanujQA ca sA-eva paQcamA paQcikA //H
   apare pañcānuśaṃsā vinayadhare pudgale; kathame pañca? uptattiṃ jānāti,	apare paQca-anuSaMsA vinaya-Dare pudgale; kaTame paQca? uptattim jAnAti,
   prajñaptim ḥjānātiḥ, anuprajñaptiṃ jānāti, pratikṣepaṃ jānāti, abhyanujñāṃ	prajQaptim HjAnAtiH, anuprajQaptim jAnAti, pratikzepam jAnAti, aByanujQAm
   jānāti	jAnAti
   ḥuddānamḥ	HuddAnam-H
   apare pañcānuśaṃsā vinayadhare pudgale; katame pañca? antarāyikaṃ jānāti,	apare paQca-anuSaMsA vinaya-Dare pudgale; katame paQca? antarAyikam jAnAti,
   anantarāyikāṃ jānāti, avavadati, anuśāsti; pratibalo bhavati	anantarAyikAm jAnAti, avavadati, anuSAsti; pratibalaH Bavati
   sārdhaṃvihāryantevāsikānāṃ niśrayaṃ grāhayitum	sArDaMvihAri-antevAsikAnAm niSrayam grAhayitum
   ḥuddānamḥ	HuddAnam-H
   apare pañcānuśaṃsā vianayadhare pudgale; katame pañca? āpattiṃ jānāti,	apare paQca-anuSaMsA vianaya-Dare pudgale; katame paQca? Apattim jAnAti,
   anāpattiṃ jānāti, gurvīṃ jānāti, prātimokṣasūtroddeśo 'sya vistareṇoddiṣṭo	anApattim jAnAti, gurvIm jAnAti, prAtimokza-sUtra-uddeSaH asya vistareNa-uddizwaH-
   bhavati (Śay-v 47)	Bavati (Śay-u 47)
   Upālin is the foremost amidst them who master and know the Vinaya. The	Upa-alin iH Te foremost amidst Tem whaH masteH and know Te Vinaya. The
   teaching of the Vinaya	tea-Cinc of Te Vinaya
        bhagavatā vinayasya varṇo bhāṣita iti sthavirasthavirā bhikṣavaḥ	BagavatA vinayasya varNaH BAzitaH iti sTavira-sTavirAH BikzavaH
   sotsāhā vinayaṃ paṭhitum ārahdhāḥ; tena khalu samayenāyuṣmān upālī agro	sa-utsAhAH vinayam paWitum ArahDAH; tena Kalu samayena-AyuzmAn upAlI agro
   'bhūd vinayanidānasamutpattikuśalānām; sthavirasthavirā bhikṣavo vinayaṃ	aBUt vinaya-nidAna-samutpatti-kuSalAnAm; sTavira-sTavirAH BikzavaH vinayam
   paryavāpnuvanti iti satkṛtyoddeṣṭum ārabdhaḥ; sa utpāṇḍuko jātaḥ kṛśālako	paryavApnuvanti iti satkRtya-uddezwum ArabDaH; saH utpANxukaH jAtaH kRSAlakaH-
   durbalako mlāno prāptakāyaḥ; jānakā pṛcchakā (A 329b) buddhā bhagavantaḥ,	durbalakaH mlAnaH prApta-kAyaH; jAnakA pRcCakAH (A 329b) budDAH BagavantaH,
   jānantaḥ pṛcchanti, ajānanto na pṛcchanti, kāle pṛcchanti, kālātikrāntaṃ	jAnantaH pRcCanti, ajAnantaH na pRcCanti, kAle pRcCanti, kAla-atikrAntam
   na pṛcchanti, arthopasaṃhitaṃ pṛcchanti, anarthopasaṃhitaṃ na pṛcchanti;	na pRcCanti, arTa-upasaMhitam pRcCanti, anarTa-upasaMhitam na pRcCanti;
   setusamudghāto buddhānām bhagavatām anarthopasaṃhitāyāṃ pṛcchāyām; tatra	setu-samudGAtaH budDAnAm BagavatAm anarTa-upasaMhitAyAm pRcCAyAm; tatra
   kālajñā buddhā bhagavanta arthopasaṃhitāyāṃ pṛccchāyām; pṛcchati buddho	kAla-jQAH budDAH Bagavanta arTa-upasaMhitAyAm pRccCAyAm; pRcCati budDaH-
   bhagavān āyuṣmantam ānandaṃ: kasmād ānanda upālī bhikṣur utpāṇḍūtpāṇḍukaḥ	BagavAn Ayuzmantam Anandan: kasmAt AnandaH upAlI BikzuH utpANxu-utpANxukaH
   kṛśālako durbalako mlāno prāptakāya iti; sa kathayati: bhagavatā vinayasya	kRSAlakaH durbalakaH mlAnaH prApta-kAyaH iti; sa kaTayati: BagavatA vinayasya
   varṇo bhāṣitaḥ yat kṛtvā sthavirasthavirā bhikṣavaḥ sotsāhā vinayaṃ	varNaH BAzitaH yat kRtvA sTavira-sTavirAH BikzavaH sa-utsAhAH vinayam
   paṭhitum ārabdhāḥ; āyuṣmān upālī sthavirasthavirā bhikṣavaḥ sagauravā	paWitum ArabDAH; AyuzmAn upAlI sTavira-sTavirA BikzavaH sa-gOravA
   vinayam paryavāpnuvanti iti satkṛtyoddeṣṭum ārabdhaḥ; tenāsāv	vinayam paryavApnuvanti iti satkRtya-uddezwum ArabDaH; tena-asO=-
   utpāṇḍūtpāṇḍukaḥ kṛśālako ḥdurbalakoḥ mlāno prāptakāya iti; asyām utpattau	utpANxu-utpANxukaH kRSAlakaH HdurbalakoH mlAnaH prApta-kAyaH iti; asyAm utpattO
