   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   guṇādvā lokavat | BBs_2,3.25 |	guNAt vA loka vat | BBH _2,3.25 |
   caitanyaguṇavyāptervāṇorapi sato jīvasya sakaladehavyāpi kāryaṃ na	cEtanya guNa vyApteH vANoH api sataH jIvasya sakala deha vyApi kAryam na
   virudhyate /	viruDyate /
   yathā loke maṇipradīpaprabhṛtīnāmapavarakaikadeśavartināmapi	yaTA loke maNi pradIpa praBRtInAm apavaraka eka deSa vartinAm api
   prabhāpavarakavyāpinī satī kṛtsne 'pavarake kāryaṃ karoti tadvat /	praBApa varaka vyApinI satI kRtsne apavarake kAryam karoti tadvat /
   syātkadāciccandanasya sāvayavatvātsūkṣmāvayavavisarpaṇenāpi sakaladeha	syAt kadAcid candanasya sAvayava tvAt sUkzma avayava visarpaNena api sakala deha
   āhlādayitṛtvaṃ va tvaṇorjīvasyāvayavāḥ santi yairayaṃ sakaladehaṃ	AhlAdayitR tvam va tu aNoH jIvasya avayavAH santi yEH ayam sakala deham
   viprasarpedityāśaṅkya guṇādvā lokavadityuktam // 25 //	viprasarpet iti ASaFkya guNAt vA loka vat iti uktam // 25 //
   kathaṃ punarguṇo guṇivyatirekeṇānyatra varteta /	kaTam punar guNaH guNi vyatirekeNa anyatra varteta /
   nahi paṭasya śuklo guṇaḥ paṭavyatirekeṇānyatra vartamāno dṛśyate /	na hi pawasya SuklaH guNaH pawa vyatirekeNa anyatra vartamAnaH dRSyate /
   pradīpabhāvadbhavediti cet /	pradIpa BAvat Bavet iti ced /
   na /	na /
   tasyā api dravyatvābhyupagamāt /	tasyAH api dravya tva aByupagamAt /
   nibiḍāvayavaṃ hi tejodravyaṃ pradīpaḥ /	nibixa avayavam hi tejaH dravyam pradIpaH /
   praviralāvayavaṃ tu tejodravyameva prabheti /	pravirala avayavam tu tejaH dravyam eva praBA iti /
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   vyatireko gandhavat | BBs_2,3.26 |	vyatirekaH ganDa vat | BBH _2,3.26 |
   yathā guṇasyāpi sato gandhasya gandhavaddravyavyatirekeṇa vṛttirbhavati /	yaTA guNasya api sataH ganDasya ganDavat dravya vyatirekeNa vRttiH Bavati /
   aprāpteṣvapi kusumādiṣu gandhavatsu kusumagandhopalabdheḥ /	aprAptezu api kusuma Adizu ganDavatsu kusuma ganDa upalabDeH /
   evamaṇorapi sato jīvasya caitanyaguṇavyatireko bhaviṣyati /	evam aNoH api sataH jIvasya cEtanya guNa vyatirekaH Bavizyati /
   ataścānaikāntikametadguṇatvādrūpādivadāśrayaviśleṣānupapattiriti /	atas ca anEkAntikam etat guNa tvAt rUpa Adi vat ASraya viSleza anupapattiH iti /
   guṇasyaiva sato gandhasyāśrayaviśleṣadarśanāt /	guNasya eva sataH ganDasya ASraya viSleza darSanAt /
   gandhasyāpi sahaivāśrayeṇa viśleṣa iti cet /	ganDasya api saha eva ASrayeNa viSlezaH iti ced /
   na /	na /
   yasmānmūladravyādviśleṣitasya kṣayaprasaṅgāt /	yasmAt mUla dravyAt viSlezitasya kzaya prasaFgAt /
   akṣīyamāṇamapi tatpūrvāvasthāto gamyate /	akzIyamANam api tat pUrva avasTAtaH gamyate /
   anyathā tatpūrvāvasthairgurutvādibhirhīyeta /	anyaTA tad pUrva avasTEH guru tva AdiBiH hIyeta /
   syādetat /	syAt etat /
   gandhāśrayāṇāṃ viśliṣṭānāmavayavānāmalpatvātsannapi viśeṣo nopalakṣyate /	ganDa ASrayANAm viSlizwAnAm avayavAnAm alpa tvAt san= api viSezaH na upalakzyate /
   sūkṣmā hi gandhaparamāṇavaḥ sarvato viprasṛptā gandhabuddhimutpādayanti	sUkzmAH hi ganDa paramANavaH sarvatas viprasRptAH ganDa budDim utpAdayanti
   nāsikāpuṭamanupraviśanta iti cet /	nAsikA puwam anupraviSantaH iti ced /
   na /	na /
   atīndriyatvātparamāṇūnāṃ sphuṭagandhopalabdheśca nāgakesarādiṣu /	atIndriya tvAt paramANUnAm sPuwa ganDa upalabDeH ca nAgakesara Adizu /
   naca loke pratītirgandhavaddravyamāghrātamiti /	na ca loke pratItiH ganDa vat dravyam AGrAtam iti /
   gandha evāghrāta iti tu laukikāḥ pratīyanti /	ganDaH eva AGrAtaH iti tu lOkikAH pratIyanti /
   rūpādiṣvāśrayavyatirekānupalabdhergandhasyāpyayukta āśrayavyatireka iti	rUpa Adizu ASraya vyatireka anupalabDeH ganDasya api ayuktaH ASraya vyatirekaH iti
   cet /	ced /
   na /	na /
   pratyakṣatvādanumānāpravṛtteḥ /	pratyakza tvAt anumAna apravRtteH /
   tasmādyadyathā loke dṛṣṭaṃ tattathaivānumantavyaṃ nirūpakairnānyathā /	tasmAt yat yaTA loke dRzwam tat taTA eva anumantavyam nirUpakEH na anyaTA /
   nahi raso guṇo jihvayopalabhyata ityato rūpādayo 'pi guṇā	na hi rasaH guNaH jihvayA upalaByate iti atas rUpa AdayaH api guNA
   jihvāyaivopalabhyeragniriti niyantuṃ śakyate // 26 //	jihvAya eva upalaByeH agniH iti niyantum Sakyate // 26 //
   FN: guṇasya dravyavyatireka āśrayaviśleṣaḥ /	FN: guNasya dravya vyatirekaH ASraya viSlezaH /
   tathā ca darśayati | BBs_2,3.27 |	taTA ca darSayati | BBH _2,3.27 |
   hṛdayāyatanatvamaṇuparimāṇatvaṃ cātmano 'bhidhāya tasyaiva 'ā lomasya ā	hRdaya Ayatana tvam aNu parimANa tvam ca AtmanaH aBiDAya tasya eva aA lomasya A
   nakhāgrebhyaḥ' (chā. 8.8.1) iti caitanyena guṇena samastaśarīravyāpitvaṃ	naKa agreByaH a (CA. 8.8.1) iti cEtanyena guNena samasta SarIra vyApi tvam
   darśayati // 27 //	darSayati // 27 //
   pṛthagupadeśāt | BBs_2,3.28 |	pRTak upadeSAt | BBH _2,3.28 |
   'prajñayā śarīraṃ samāruhya' (kauṣī. 3.6) iti cātmaprajñayoḥ	aprajQayA SarIram samAruhya a (kOzI. 3.6) iti ca Atma prajQayoH
   kartṛkaraṇabhāvena pṛthagupadeśāccaitanyaguṇenaivāsya śarīravyāpitā	kartR karaNa BAvena pRTak upadeSAt cEtanya guNena eva asya SarIra vyApitA
   gamyate /	gamyate /
   'tadeṣāṃ prāṇānāṃ vijñānena vijñānamādāya' (bṛ. 2.1.17) iti ca kartuḥ	atadezAm prANAnAm vijQAnena vijQAnam AdAya a (bR. 2.1.17) iti ca kartuH
   śārīratpṛthagvijñānasyopadeśa etamevābhiprāyamupodbalayati /	SArIrat pRTak vijQAnasya upadeSaH etam eva aBiprAyam upodbalayati /
   tasmādaṇurātmeti // 28 //	tasmAt aNuH AtmA iti // 28 //
   FN: vijñānamindriyāṇāṃ jñānaśaktiṃ vijñānena caitanyaguṇenādāya śeta	FN: vijQAnam indriyANAm jQAna Saktim vijQAnena cEtanya guNena AdAya Seta
   ityarthaḥ /	iti arTaH /
   evaṃ prāpte brūmaḥ  	evam prApte brUmaH  
   tadguṇasāratvāt tu tadvyapadeśaḥ prājñavat | BBs_2,3.29 |	tad guNa sAra tvAt tu tad vyapadeSaH prAjQa vat | BBH _2,3.29 |
   tuśabdaḥ pakṣaṃ vyavartayati /	tuSabdaH pakzam vyavartayati /
   naitadastyaṇurātmeti /	na etat asti aNuH AtmA iti /
   utpattyaśravaṇāddhi parasyaiva tu brahmaṇaḥ	utpatti aSravaNAt hi parasya eva tu brahmaNaH
   praveśaśravaṇāttādātmyopadeśācca parameva brahma jīva ityuktam /	praveSa SravaNAt tAdAtmya upadeSAt ca param eva brahma jIvaH iti uktam /
   parameva cedbrahma jīvastasmādyāvatparaṃ brahma tāvāneva jīvo	param eva ced brahma jIvaH tasmAt yAvat param brahma tAvAn eva jIvaH 
   bhavitumarhati /	Bavitum arhati /
   parasya ca brahmaṇo vibhutvamāmnātam /	parasya ca brahmaNaH viBu tvam AmnAtam /
   tasmādvibhurjīvaḥ /	tasmAt viBuH jIvaH /
   tathāca 'sa vā eṣa mahānaja ātmā yo 'yaṃ vijñānamayaḥ prāṇeṣu' (bṛ.	taTA ca asa vE eza mahAn ajaH AtmA yaH ayam vijQAna mayaH prANa izu a (bR.
   4.4.22) ityevañjātīyakā jīvaviṣayā vibhutvavādāḥ śrautāḥ smārtāśca	4.4.22) iti evan jAtIyakAH jIva vizayAH viBu tva vAdAH SrOtAH smArtAH ca
   samarthitā bhavanti /	samarTitAH Bavanti /
   nacāṇorjīvasya sakalaśarīragatā vedanopapadyate /	na cANoH jIvasya sakala SarIra gatA vedanA upapadyate /
   tvaksaṃbandhātsyāditi cet /	tvac saMbanDAt syAt iti ced /
   na /	na /
   kaṇṭakatodane 'pi sakalaśarīragataiva vedanā prasajyeta /	kaNwaka todane api sakala SarIra gatA eva vedanA prasajyeta /
   tvakkaṇṭakayorhi saṃyogaḥ kṛtsnāyāṃ tvaci vartate tvakca	tvakkaNwakayoH hi saMyogaH kRtsnAyAm tvaci vartate tvac ca
   kṛtsnaśarīravyāpinīti /	kRtsna SarIra vyApinI iti /
   pādatala eva tu kaṇṭakanunno vedanāṃ prati labhate /	pAda talaH eva tu kaNwaka nunnaH vedanAm prati laBate /
   nacāṇorguṇavyāptirupapadyate, guṇasya guṇideśatvāt /	nacANoH guNa vyAptiH upapadyate, guNasya guNi deSa tvAt /
   guṇatvameva hi guṇinamanāśritya guṇasya hīyeta /	guNa tvam eva hi guNinam anASritya guNasya hIyeta /
   pradīpaprabhāyāśca dravyāntaratvaṃ vyākhyātam /	pradIpa praBAyAH ca dravya antara tvam vyAKyAtam /
   gandho 'pi guṇatvābhyupagamātsāśraya eva saṃcaritumarhati /	ganDaH api guNa tva aByupagamAt sa ASrayaH eva saMcaritum arhati /
   anyathā guṇatvahāniprasaṅgāt /	anyaTA guNa tvahA niprasaFgAt /
   tathācoktaṃ dvaipāyanena  'upalabhyāpsu cedgandaṃ kecidbrūyuranaipuṇāḥ /	taTA ca uktam dvEpAyanena aupalaBya apsu ced gandam kecid brUyuH anEpuNAH /
   pṛthivyāmeva taṃ vidyādapo vāyuṃ ca saṃśritam' iti /	pRTivyAm eva tam vidyAt apaH vAyum ca saMSritam a iti /
   yadi ca caitanyaṃ jīvasya samastaṃ śarīraṃ vyāpnuyānnāṇurjīvaḥ syāt /	yadi ca cEtanyam jIvasya samastam SarIram vyApnuyAt na aNuH jIvaH syAt /
   caitanyameva hyasya svarūpamagnerivauṣṇyaprakāśau /	cEtanyam eva hi asya sva rUpam agneH iva OzNya prakASO /
   nātra guṇaguṇivibhāgo vidyata iti śarīraparimāṇatvaṃ ca pratyākhyātam /	na atra guNa guNi viBAgaH vidyate iti SarIra parimANa tvam ca pratyAKyAtam /
   pariśeṣādvibhurjīvaḥ /	pariSezAt viBuH jIvaH /
   kathaṃ tarhyaṇutvādivyapadeśa ityata āha  tad guṇasāratvāttu tadvyapadeśaḥ	kaTam tarhi aNu tva Adi vyapadeSaH iti atas Aha tat guNa sAra tvAt tu tad vyapadeSaH
   iti /	iti /
   tasyā buddherguṇāstadguṇā icchā dveṣaḥ sukhaṃ duḥkhamityevamādayastadguṇāḥ	tasyAH budDeH guNAH tad guNAH icCA dvezaH suKam duHKam iti evamAdayaH tad guNAH
   sāraḥ pradhānaṃ yasyātmanaḥ saṃsāritve saṃbhavati sa tadguṇasārastasya	sAraH praDAnam yasya AtmanaH saMsAri tve saMBavati sa tad guNa sAraH tasya
   bhāvastadguṇasāratvam /	BAvaH tad guNa sAra tvam /
   nahi buddherguṇairvinā kevalasyātmanaḥ saṃsāritvamasti /	na hi budDeH guNEH vinA kevalasya AtmanaH saMsAri tvam asti /
   buddhyupādhirdharmādhyāsanimittaṃ hi kartṛtvabhoktṛtvādilakṣaṇaṃ	budDi upADiH Darma aDyAsa nimittam hi kartR tva BoktR tva Adi lakzaNam
   saṃsāritvamakartṛrabhoktuścāsaṃsāriṇo nityamuktasya sata ātmanaḥ /	saMsAri tvam akartR raBoktuH ca asaMsAriNaH nityam uktasya sataH AtmanaH /
   tasmāttadguṇasāratvādbuddhiparimāṇenāsya parimāṇavyapadeśaḥ /	tasmAt tad guNa sAra tvAt budDi parimANena asya parimANa vyapadeSaH /
   tadutkrāntyādibhiścāsyotkrāntyadivyapadeśo na svataḥ /	tat utkrAnti AdiBiH ca asya utkrAntya divya padeSaH na svatas /
   tathāca  'bālāgraśatabhāgasya śatadhā kalpitasya ca /	taTA ca  abAla agra Sata BAgasya SataDA kalpitasya ca /
   bhāgo jīvaḥ sa vijñeyaḥ sa cānantyāya kalpate' (śve. 5.9) ityaṇutvaṃ	BAgaH jIvaH sa vijQeyaH sa ca AnantyAya kalpate a (Sve. 5.9) iti aNu tvam
   jīvasyoktvā tasyaiva punarānantyamāha /	jIvasya uktvA tasya eva punar Anantyam Aha /
   taccaivameva samañjasaṃ syādyadyaupacārikamaṇutvaṃ jīvasya	tat ca evam eva samaQjasam syAt yadi OpacArikam aNu tvam jIvasya
   bhavetpāramārthikaṃ cānantyam /	Bavet pAramArTikam ca Anantyam /
   nahyubhayaṃ mukhyamavakalpeta /	na hi uBayam muKyam avakalpeta /
   nacānantyamaupacārikamiti śakyaṃ vijñātuṃ, sarvopaniṣatsu	naca Anantyam OpacArikam iti Sakyam vijQAtuM, sarva upanizatsu
   brahmātmabhāvasya pratipādayiṣitatvāt /	brahma Atma BAvasya pratipAdayizita tvAt /
   tathetarasminnapyunmāne 'buddherguṇenātmaguṇena caiva ārāgramātro hyavaro	taTA itarasmin= api unmAne abudDeH guNena Atma guNena ca eva ArAgra mAtraH hi avaro
   'pi dṛṣṭaḥ' (śve. 6.8) iti ca buddhiguṇasaṃbandhenaivārāgramātratāṃ śāsti	api dRzwaH a (Sve. 6.8) iti ca budDi guNa saMbanDena evAra agra mAtra tAm SAsti
   na svenaivātmanā /	na svena eva AtmanA /
   'eṣo 'ṇurātmā cetasā veditavyaḥ' (muṇḍa. 3.1.9) ityatrāpi na	aezaH aNuH AtmA cetasA veditavyaH a (muNxa. 3.1.9) iti atra api na
   jīvasyāṇuparimāṇatvaṃ śiṣyate, parasyaivātmanaścakṣurādyanavagrāhyatvena	jIvasya aNu parimANa tvam Sizyate, parasya eva AtmanaH cakzuH Adi anavagrAhya tvena
   jñānaprasādagamyatvena ca prakṛtatvāt /	jQAna prasAda gamya tvena ca prakRta tvAt /
   jīvasyāpi ca mukhyāṇuparimāṇatvānupapatteḥ /	jIvasya api ca muKyANu parimANa tva anupapatteH /
   tasmāddurjñānatvābhiprāyamidamaṇutvavacanamupādhyabhiprāyaṃ vā draṣṭavyam	tasmAt durjQAna tva aBiprAyam idam aNu tva vacanam upADi aBiprAyam vA drazwavyam
   tathā 'prajñayā śarīraṃ samāruhya' (kauṣī. 3.6) ityevañjātīyakeṣvapi	taTA aprajQayA SarIram samAruhya a (kOzI. 3.6) iti evan jAtIyakezu api
   bhedopadeśeṣu buddhyauvopādhibhūtayā jīvaḥ śarīraṃ samāruhyetyevaṃ	Beda upadeSezu budDi Ova upADi BUtayA jIvaH SarIram samAruhya iti evam
   yojayitavyam /	yojayitavyam /
   vyapadeśamātraṃ vā, śilāputrakasya śarīramityavadat /	vyapadeSa mAtram vA, SilAputrakasya SarIram iti avadat /
   nahyatra guṇaguṇivibhāgo 'pi vidyata ityuktam /	na hi atra guNa guNi viBAgaH api vidyate iti uktam /
   hṛdayāyatanatvavacanamapi buddhereva tadāyatanatvāt /	hRdaya Ayatana tva vacanam api budDeH eva tad Ayatana tvAt /
   tathotkrāntyādīnāmapyupādhyāyattatāṃ darśayati  'kasminnvahamutkrānta	taTA utkrAnti AdInAm api upADyAyat tatAm darSayati akasmin= vaham utkrAnta
   utkrānto bhaviṣyāmi kasminvā pratiṣṭhite pratiṣṭhāsyāmīti' (praśna. 6.3)	utkrAntaH BavizyAmi kasmin vA pratizWite pratizWAsyAmi iti a (praSna. 6.3)
   'sa prāṇamasṛjata' (pra. 6.4) iti /	asa prANam asRjata a (pra. 6.4) iti /
   utkrāntyabhāve hi gatyāgatyorapyabhāvo vijñāyate /	utkrAnti aBAve hi gati AgatyoH api aBAvaH vijQAyate /
   nahyanapasṛpasya dehādgatyāgatī syātām /	na hi anapasRpasya dehAt gati AgatI syAtAm /
   evamupādhiguṇasāratvājjīvasyāṇutvādivyapadeśaḥ prājñavat /	evam upADi guNa sAra tvAt jIvasya aNu tva Adi vyapadeSaH prAjQa vat /
   yathā prājñasya paramātmanaḥ	yaTA prAjQasya paramAtmanaH
   saguṇeṣūpāsaneṣūpādhiguṇasāratvādaṇīyastvādivyapadeśaḥ  'aṇīyānvrīhervā	sa guNezu upAsanezu upADi guNa sAra tvAt aNIyaH tu AdivyapadeSaH aaNIyAn vrIheH vA
   yavādvā' (chā. 3.1.14.2) 'manomayaḥ prāṇaśarīraḥ sarvagandhaḥ sarvarasaḥ	yavAt vA a (CA. 3.1.14.2) amanaH mayaH prANa SarIraH sarva ganDaH sarva rasaH
   satyakāmaḥ satyasaṃkalpaḥ' (chā. 3.14.2) ityevaṃprakārastadvat /	satyakAmaH satya saMkalpaH a (CA. 3.14.2) iti evaMprakAraH tadvat /
   syādetadyadi buddhiguṇasāratvādātmanaḥ saṃsāritvaṃ kalpyeta, tato	syAt etat yadi budDi guNa sAra tvAt AtmanaH saMsAri tvam kalpyeta, tatas 
   buddhyātmanorbhinnayoḥ saṃyogāvasānamavaśyaṃbhāvītyato buddhiviyoge	budDi AtmanoH BinnayoH saMyoga avasAnam avaSyaMBAvi iti atas budDi viyoge
   satyātmano vibhaktasyānālakṣyatvādasattvamasaṃsāritvaṃ vā prasajyeteti //	satya AtmanaH viBaktasya anAlakzya tvAt asattvam asaMsAri tvam vA prasajyeta iti //
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   yāvadātmabhāvitvāc ca na doṣas taddarśanāt | BBs_2,3.30 |	yAvat Atma BAvi tvAt ca na dozaH tad darSanAt | BBH _2,3.30 |
   neyamanantaranirdiṣṭadoṣaprāptirāśaṅkanīyā /	na iyam anantara nirdizwa doza prAptiH ASaFkanIyA /
   kasmāt /	kasmAt /
   yāvadātmabhāvitvādbuddhisaṃyogasya /	yAvat Atma BAvi tvAt budDi saMyogasya /
   yāvadayamātmā saṃsārī bhavati, yāvadasya samyagdarśanena saṃsāritvaṃ na	yAvat ayam AtmA saMsArI Bavati, yAvat asya samyak darSanena saMsAri tvam na
   nivartate, tāvadasya buddhyā saṃyogo na śāmyati /	nivartate, tAvat asya budDyA saMyogaH na SAmyati /
   yāvadeva cāyaṃ buddhyupādhisaṃbandhastāvajjīvasya jīvatvaṃ saṃsāritvaṃ ca	yAvat eva ca ayam budDi upADi saMbanDaH tAvat jIvasya jIva tvam saMsAri tvam ca
   paramārthatastu na jīvo nāma	paramArTataH tu na jIvaH nAma
   buddhyupādhisaṃbandhaparikalpitasvarūpavyatirekeṇāsti /	budDi upADi saMbanDa parikalpita svarUpa vyatirekeNa asti /
   nahi nityamuktasvarūpātsarvajñādīśvarādanyaścetano dhāturdvitīyo	na hi nitya mukta svarUpAt sarvajQAt ISvarAt anyaH cetanaH DAtuH dvitIyaH 
   vedāntārthanirūpaṇāyāmupalabhyate /	vedAnta arTa nirUpaNAyAm upalaByate /
   'nānyo 'to 'sti draṣṭā śrotā mantā vijñātā' (bṛ. 3.7.23), 'nānyadato 'sti	anAnyaH atas asti drazwA SrotA mantA vijQAtA a (bR. 3.7.23), anAnyat atas asti
   draṣṭṛ śrotṛ mantṛ vijñātṛ' (chā. 6.8.7), 'tattvamasi' (chā. 6.1.6), 'ahaṃ	drazwR SrotR mantR vijQAtR a (CA. 6.8.7), atat tvam asi a (CA. 6.1.6), aaham
   brahmāsmi' (bṛ. 1.4.7) ityādiśrutebhyaḥ /	brahmA asmi a (bR. 1.4.7) iti Adi SruteByaH /
   kathaṃ punaravagamyate yāvadātmabhāvī buddhisaṃyoga iti /	kaTam punar avagamyate yAvat Atma BAvI budDi saMyogaH iti /
   taddarśanādityāha /	tad darSanAt iti Aha /
   tathāhi śāstraṃ darśayati  'yo 'yaṃ vijñānamayaḥ prāṇeṣu hṛdyantarjyotiḥ	taTA hi SAstram darSayati  ayaH ayam vijQAna mayaH prANezu hRdi antar jyotiH
   puruṣaḥ sa samānaḥ sannubhau lokāvanusaṃcarati dhyāyatīva lelāyatīva' (bṛ.	puruzaH sa samAnaH san= uBO lokO= anusaMcarati DyAyati iva lelAyati iva a (bR.
   4.3.4) ityādi /	4.3.4) ityAdi /
   tatra vijñānamaya iti buddhimaya ityetaduktaṃ bhavati /	tatra vijQAna mayaH iti budDi mayaH iti etat uktam Bavati /
   pradeśāntare 'vijñānamayo manomayaḥ prāṇamayaścakṣurmayaḥ śrotramayaḥ' iti	pradeSa antare avijQAna mayaH manaH mayaH prANa mayaH cakzuH mayaH Srotra mayaHa iti
   vijñānamayasya manaādibhiḥ saha pāṭhāt /	vijQAna mayasya manaA AdiBiH saha pAWAt /
   buddhimayatvaṃ ca tadguṇasāratvamevābhipreyate /	budDi maya tvam ca tad guNa sAra tvam eva aBipreyate /
   yathā loke strīmayo devadatta iti strīrāgādipradhāno 'bhidhīyate tadvat /	yaTA loke strI mayaH devadattaH iti strI rAga Adi praDAnaH aBiDIyate tadvat /
   'sa samānaḥ sannubhau lokāvanusaṃcarati' iti ca lokāntaragamane	asa samAnaH san= uBO lokO= anusaMcarati a iti ca loka antara gamane
   'pyaviyogaṃ buddhyā darśayati /	api aviyogam budDyA darSayati /
   kena samānastasyaivabuddhyeti gamyate saṃnidhānāt /	kena samAnaH tasya eva budDyA iti gamyate saMniDAnAt /
   tacca darśayati   'dhyāyatīva lelāyatīva' (bṛ. 4.3.7) iti /	tat ca darSayati  aDyAyati iva lelAyati iva a (bR. 4.3.7) iti /
   etaduktaṃ bhavati  nāyaṃ svato dhyāyati, nāpi calati, dhyāyantyāṃ buddhau	etat uktam Bavati na ayam svatas DyAyati, na api calati, DyAyantyAm budDO
   dhyāyatīva calantyāṃ buddhau calatīveti /	DyAyati iva calantyAm budDO calati iva iti /
   apica mithyājñānapuraḥsaro 'yamātmano buddhyupādhisaṃbandhaḥ /	api ca miTyAjQAna puraHsaraH ayam AtmanaH budDi upADi saMbanDaH /
   naca mithyājñānasya samyagjñānādanyatra nivṛttirastītyato	na ca miTyAjQAnasya samyak jQAnAt anyatra nivRttiH asti iti atas 
   yāvadbrahmātmatānavabodhasyāvadayaṃ buddhyupādhisaṃbandho na śāmyati /	yAvat brahma Atma tA anava boDasya avadayam budDi upADi saMbanDaH na SAmyati /
   darśayati ca  'vedāhametaṃ puruṣaṃ mahāntamādityavarṇaṃ tamasaḥ purastāt /	darSayati ca aveda aham etam puruzam mahAntam Aditya varNam tamasaH purastAt /
   tameva viditvātimṛtyumeti nānyaḥ panthā vidyate 'yanāya' (śve. 3.8) iti //	tam eva viditvA atimRtyum eti na anyaH panTAH vidyate ayanAya a (Sve. 3.8) iti //
   FN: vijñānamayo buddhipracuraḥ /	FN: vijQAna mayaH budDi pracuraH /
   ādityavarṇaṃ svaprakāśam /	Aditya varNam sva prakASam /
   tamasaḥ parastādajñānāspṛṣṭam /	tamasaH parastAt ajQAna aspRzwam /
   satā paramātmanā /	satA paramAtmanA /
   nanu suṣuptapralayayorna śakyate buddhisaṃbandhaṃ ātmano 'bhyupagantum /	nanu suzupta pralayayoH na Sakyate budDi saMbanDam AtmanaH aByupagantum /
   'satā somya tadā saṃpanno bhavati svamapīto bhavati' (chā. 6.8.1) iti	asatA somya tadA saMpannaH Bavati svam apItaH Bavati a (CA. 6.8.1) iti
   vacanāt /	vacanAt /
   kṛtsnavikārapralayābhyupagamācca /	kRtsna vikAra pralaya aByupagamAt ca /
   tatkathaṃ yāvadātmabhāvitvaṃ buddhisaṃbandhasyetyatrocyate 	tat kaTam yAvat Atma BAvi tvam budDi saMbanDasya iti atra ucyate 
   puṃstvādivat tv asya sato 'bhivyaktiyogāt | BBs_2,3.31 |	puMstva Adi vat tu asya sataH aBivyakti yogAt | BBH _2,3.31 |
   yathā loke puṃstvādīni bījātmanā vidyamānānyeva	yaTA loke puMstva AdIni bIja AtmanA vidyamAnAni eva
   bālyādiṣvanupalabhyamānānyavidyamānavadabhipreyamāṇāni	bAlya Adizu anupalaByamAnAni avidya mAna vat aBipreyamANAni
   yauvanādiṣvāvirbhavanti, nāvidyamānānyutpadyante ṣaṇḍādīnāmapi	yOvana Adizu AvirBavanti, na avidyamAnAni utpadyante zaNxa AdInAm api
   tadutpattiprasaṅgāt, evamayamapi buddhisaṃbandhaḥ śaktyātmanā vidyamāna	tad utpatti prasaFga at, evam ayam api budDi saMbanDaH Sakti AtmanA vidyamAna
   eva suṣuptapralayayoḥ punaḥ prabodhaprasavayorāvirbhavati /	eva suzupta pralayayoH punar praboDa prasavayoH AvirBavati /
   evaṃ hyetadyujyate /	evam hi etat yujyate /
   nahyākasmikī kasyacidutpattiḥ saṃbhavati /	na hyAkasmikI kasyacid utpattiH saMBavati /
   atiprasaṅgāt /	atiprasaFgAt /
   darśayati ca suṣuptādutthānamavidyātmakabījasadbhāvakāritam  'sati	darSayati ca suzuptAt utTAnam avidyA Atmaka bIja sadBAva kAritam asati
   saṃpadya na viduḥ sati saṃpadyamāha' iti ta iha vyāghro vā saṃho vā' (chā.	saMpadya na viduH sati saMpadyamAha a iti te iha vyAGraH vA saMhaH vA a (CA.
   6.9.3) ityādinā /	6.9.3) ityAdinA /
   tasmātsiddhametadyāvadātmabhāvī buddhyādyupādhisaṃbandha iti // 31 //	tasmAt sidDam etat yAvat Atma BAvI budDi Adi upADi saMbanDaH iti // 31 //
   nityopalabdhyanupalabdhiprasaṅgo 'nyataraniyamo vānyathā | BBs_2,3.32 |	nitya upalabDi anupalabDi prasaFgaH anyatara niyamaH vA anyaTA | BBH _2,3.32 |
   taccātmana upādhibhūtamantaḥkaraṇaṃ mano buddhirvijñānaṃ ctitamiti	tat ca AtmanaH upADi BUtam antaHkaraNam manaH budDiH vijQAnam ctitam iti
   cānekadhā tatra tatrābhilapyate /	ca anekaDA tatra tatra aBilapyate /
   kvacicca vṛttivibhāgena saṃśayādivṛttikaṃ mana ityucyate,	kvacid ca vRtti viBAgena saMSaya Adi vRttikam manaH iti ucyate,
   niścayādivṛttikaṃ buddhiriti /	niScaya Adi vRttikam budDiH iti /
   taccaivaṃbhūtamantaḥkaraṇamavaśyamastītyabhyupagantavyam /	tat ca evaMBUtam antaHkaraNam avaSyam asti iti aByupagantavyam /
   anyathā hyanabhyupagamyamāne tasminnityopalabdhyanupalabdhiprasaṅgaḥ syāt	anyaTA hi anaByupagamyamAne tasmin= itya upalabDi anupalabDi prasaFgaH syAt 
   ātmendriyaviṣayāṇāmupalabdhisādhanānāṃ saṃnidhāne sati nityamevopalabdhiḥ	Atma indriya vizayANAm upalabDi sADanAnAm saMniDAne sati nityam eva upalabDiH
   prasajyeta /	prasajyeta /
   atha satyapi hetusamavadhāne phalābhāvastato nityamevānupalabdhiḥ	aTa sati api hetu samavaDAne Pala aBAvaH tatas nityam eva anupalabDiH
   prasajyeta /	prasajyeta /
   nacaivaṃ dṛśyate /	na ca evam dRSyate /
   athavānyatarasyātmana indriyasya vā śaktipratibandho 'bhyupagantavyaḥ /	aTavA anyatarasya AtmanaH indriyasya vA Sakti pratibanDaH aByupagantavyaH /
   nacātmanaḥ śaktipratibandhaḥ saṃbhavati /	naca AtmanaH Sakti pratibanDaH saMBavati /
   avikriyatvāt /	avikriya tvAt /
   nāpīndriyasya /	na api indriyasya /
   nahi tasya pūrvottarayoḥ kṣaṇayorapratibaddhaśaktikasya sato	na hi tasya pUrva uttarayoH kzaNayoH apratibadDa Saktikasya sataH 
