   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   kiñcid eva mātrām upasaṃhareya māṣakaṃ vā māṣakārhaṃ vā piṇḍapātaṃ vā	kiQcid eva mAtrAm upasaMhareya mAzakam vA mAzaka-arham vA piNxapAtam vA
   piṇḍapātārhaṃ vā, abhiniṣpanne cīvare nissargikapācattikaṃ /	piNxa-pAta-arham vA, aBinizpanne cIvare nissargi-ka-pAcattikam /
   PrMoSū(Mā-L)NP.28. daśāhānāgataṃ kho puna tremāsaṃ kārttikī paurṇamāsī	PrMoSU(MA-L)N-P.28. daSa-ahAnAgatam KaH puna tremAsam kArttikI pOrNamAsI
   utpadyeya bhikṣusya ātyāyikaṃ cīvaram ātyāyikaṃ manyamāno na bhikṣuṇā	utpadyeya Bikzusya AtyAyikam cIvaram AtyAyikam manyamAnaH na BikzuNA
   pratigṛhṇitavyaṃ / pratigṛhṇitvā yāvac cīvaradānakālasamayaṃ nikṣipitavyaṃ	pratigRhNitavyam / pratigRhNitvA yAvat cIvara-dAna-kAla-samayam nikzipitavyam
   / taduttariṃ nikṣipeya nissargikapācattikam /	/ tad-uttarim nikzipeya nissargi-kapAcattikam /
   PrMoSū(Mā-L)NP.29. upavarṣaṃ kho punaḥ tremāsaṃ kārttikī paurṇamāsī bhikṣu	PrMoSU(MA-L)N-P.29. upavarzam KaH punar tremAsam kArttikI pOrNamAsI Bikzu
   cāraṇyake śayanāsane viharanti samaye sapratibhaye sāśaṃkasaṃmate /	ca-AraNyake Sayana-Asane viharanti samaye sa-pratiBaye sa-aSaMka-saMmate /
   ākāṃkṣamāṇena bhikṣuṇā trayāṇāṃ cīvarāṇām anyatarānyataraṃ cīvaram	Aka-aMkzamANena BikzuNA trayANAm cIvarANAm anyatara-anyataram cIvaram
   antaragṛhe nikṣipitavyaṃ, syāt tasya bhikṣusya kocid eva pratyayo tasmāc	antara-gRhe nikzipitavyan, syAt tasya Bikzusya kocid eva pratyayaH tasmAt-
   cīvarād vipravāsāya, ṣaḍāhaparamaṃ tena bhikṣuṇā tasmāc cīvarād	cIvarAt vipravAsa-aya, zaz-Aha-paramam tena BikzuNA tasmAt cIvarAt-
   vipravasitavyaṃ / taduttariṃ vipravaseya anyatra bhikṣu saṃmutīye	vipra-vasitavyam / tad-uttarim vipravaseya anyatra Bikzu saMmutIye
   nissargikapācattikam /	nissargi-kapAcattikam /
   PrMoSū(Mā-L)NP.30. yo puna bhikṣur jānan sāṃghikāṃ lābhaṃ saṃghe pariṇatam	PrMoSU(MA-L)N-P.30. yaH puna BikzuH jAnan sAMGikAm lABam saMGe pariNatam
   ātmano pariṇāmeya nissargikapācattikam //	AtmanaH pariNAmeya nissargi-kapAcattikam //
   // uddānaṃ //	// uddAnam //
   (21) pātra (22) bandhanaṃ (23) bhaiṣajyam (24) ācchedo (25) varṣāśāṭikā /	(21) pAtra (22) banDanam (23) BEzajyam (24) AcCedaH (25) varzA-SAwikA /
   (26-27) tantuvāyena dve (28) daśāhānāgatam (29) upavarṣaṃ (30)	(26-27) tantuvAyena dve (28) daSa-ahAnAgatam (29) upavarzam (30)
   pariṇāmanena // tṛtīyo vargaḥ //	pariNAmanena // tRtIyaH vargaH //
   uddiṣṭāḥ kho punar āyuṣmanto triṃśan nissarggikapācattikā dharmmāḥ /	uddizwAH KaH punar AyuzmantaH triMSat nissarggikapAcattikAH DarmmAH /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   [V. dvānavati śuddhapācattikā dharmāḥ]	[V. dvAnavati SudDa-pAcattikAH DarmAH]
   ime kho punar āyuṣmanto dvānavatiṃ śuddhapācattikā dharmā anvardhamāsaṃ	ime KaH punar AyuzmantaH dvAnavatim SudDapAcattikAH DarmAH anvarDamAsam
   sūtre prātimokṣe uddeśam āgacchanti Ō	sUtre prAtimokze uddeSam AgacCanti Ō
   PrMoSū(Mā-L)Pāc.1. saṃprajānamṛṣāvāde pācattikaṃ /	PrMoSU(MA-L)-PAc.1. saMprajAnamRzA-vAde pAcattikam /
   PrMoSū(Mā-L)Pāc.2. omṛṣyavāde pācattikaṃ /	PrMoSU(MA-L)-PAc.2. omRzya-vAde pAcattikam /
   PrMoSū(Mā-L)Pāc.3. bhikṣupaiśunye pācattikaṃ /	PrMoSU(MA-L)-PAc.3. Bikzu-pESunye pAcattikam /
   PrMoSū(Mā-L)Pāc.4. yo puna bhikṣur jānaṃ saṃghasyādhikaraṇāni dharmeṇa	PrMoSU(MA-L)-PAc.4. yaH puna BikzuH jAnam saMGasya-aDikaraNAni DarmeNa
   vinayena vihitāni vyupaśāntāni punaḥ karmāya utkhoṭeya Ō idaṃ punaḥ karma	vinayena vihitAni vyupaSAntAni punar karmAya utKoweyaH Ō idam punar karma
   kartavyaṃ bhaviṣyatīti Ō etad eva pratyayaṃ kṛtvā ananyam imaṃ tasya	kartavyam Bavizyati-iti Ō etat eva pratyayam kRtvA ananyam imam tasya
   bhikṣusya utkhoṭanaṃ pācattikaṃ /	Bikzusya utKowanam pAcattikam /
   PrMoSū(Mā-L)Pāc.5. yo puna bhikṣur akalpiyakāro mātṛgrāmasya dharmaṃ	PrMoSU(MA-L)-PAc.5. yaH puna BikzuH akalpiyakAraH mAtR-grAmasya Darmam
   deśeya uttari cchahi pañcahi vācāhi anyatra vijñapuruṣapudgalena	deSeyaH uttari cCahi paQca-hi vAcAhi anyatra vijQa-puruza-pudgalena
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.6. yo puna bhikṣur anupasaṃpannaṃ pudgalaṃ padaśo dharmaṃ	PrMoSU(MA-L)-PAc.6. yaH puna BikzuH anupasaMpannam pudgalam padaSas Darmam
   vāceya pācattikaṃ /	vAceya pAcattikam /
   PrMoSū(Mā-L)Pāc.7. yo puna bhikṣur anupasaṃpannasya pudgalasya santike	PrMoSU(MA-L)-PAc.7. yaH puna BikzuH anupasaMpannasya pudgalasya santike
   ātmopanāyikam uttarimanuṣyadharmam alamāryajñānadarśanaṃ viśeṣādhigamaṃ	Atma-upanAyikam uttari-manuzya-Darmam alam-Arya-jQAna-darSanam viSeza-aDigamam
   pratijāneya Ō iti jānāmi iti paśyāmīti bhūtasmiṃ pācattikaṃ /	pratijAneya Ō iti jAnAmi iti paSyAmi-iti BUtasmim pAcattikam /
   PrMoSū(Mā-L)Pāc.8. yo puna bhikṣur jānan bhikṣusya duṣṭhullām āpattim	PrMoSU(MA-L)-PAc.8. yaH puna BikzuH jAnan Bikzusya duzWullAm Apattim
   anupasaṃpannasya pudgalasya santike āroceya anyatra kṛtāye	anupasaMpannasya pudgalasya santike Aroceya anyatra kRtAye
   prakāśanāsaṃmutīye pācattikaṃ /	prakASana-asaMmutIye pAcattikam /
   PrMoSū(Mā-L)Pāc.9. yo puna bhikṣur jānan sāṃghike lābhe bhājīyamāne pūrve	PrMoSU(MA-L)-PAc.9. yaH puna BikzuH jAnan sAMGike lABe BAjIyamAne pUrve
   samanujño bhūtvā paścāt kṣiyādharmam āpadyeya Ō yathāsaṃstutam	sa-manujQaH BUtvA paScAt kziya-aDarmam Apadyeya Ō yaTAsaMstutam
   evāyuṣmanto, jānan sāṃghikaṃ lābhaṃ saṃghe pariṇataṃ pudgalo pudgalasya	eva-Ayuzmanto, jAnan sAMGikam lABam saMGe pariNatam pudgalaH pudgalasya
   pariṇāmayatīti pācattikaṃ /	pariNAmayati-iti pAcattikam /
   PrMoSū(Mā-L)Pāc.10. yo puna bhikṣur anvardhamāsaṃ sūtre prātimokṣe	PrMoSU(MA-L)-PAc.10. yaH puna BikzuH anvarDa-mAsam sUtre prAtimokze
   uddiśyamāne evaṃ vadeya Ō kiṃ punar āyuṣmanto imehi kṣudrānukṣūdrehi	uddiSyamAne evam vadeyaH Ō kim punar AyuzmantaH imehi kzudra-anukzUdrehi
   śikṣāpadehi uddiṣṭehi yāvad eva bhikṣūṇāṃ kaukṛtyāya vighātāya vilekhāya	SikzA-apadehi uddizwa-ihi yAvat eva BikzUNAm kOkRtyAya viGAtAya vileKAya
   saṃvartantīti, śikṣāvigarhaṇe pācattikaṃ /	saMvartanti-iti, SikzA-vigarhaNe pAcattikam /
   // uddānam //	// uddAnam //
   (1) mṛṣā (2) omṛṣya (3) paiśunya (4) utkhoṭana (5) dharmadeśanā / (6)	(1) mRzA (2) omRzya (3) pESunya (4) utKowana (5) Darma-deSanA / (6)
   padaśo (7) viśeṣaṇam (8) ārocanā (9) yathāsaṃstuta (10) vigarhaṇena ca //	padaSaH (7) viSezaNam (8) ArocanA (9) yaTA-saMstutaH (10) vigarhaNena ca //
   prathamo vargaḥ //	praTamaH vargaH //
   PrMoSū(Mā-L)Pāc.11. bījagrāmabhūtagrāmapātāpanake pācattikaṃ /	PrMoSU(MA-L)-PAc.11. bIja-grAma-BUta-grAma-pAtApanake pAcattikam /
   PrMoSū(Mā-L)Pāc.12. anyavādavihiṃsanake pācattikaṃ /	PrMoSU(MA-L)-PAc.12. anya-vAda-vihiMsanake pAcattikam /
   PrMoSū(Mā-L)Pāc.13. odhyāyanakṣīyanake pācattikaṃ /	PrMoSU(MA-L)-PAc.13. oDyAyana-kzIyanake pAcattikam /
   PrMoSū(Mā-L)Pāc.14. yo puna bhikṣuḥ sāṃghike bhikṣuvihāre abhyavakāśe	PrMoSU(MA-L)-PAc.14. yaH puna BikzuH sAMGike Bikzu-vihAre aByavakASe
   mañcaṃ vā pīṭhaṃ vā viśikaṃ vā caturaśrakaṃ vā kurcaṃ vā bimbohanaṃ vā	maQcam vA pIWam vA viSikam vA caturaSrakam vA kurcam vA bimbohanam vA
   prajñāpetvā vā prajñāpayitvā vā tato prakramanto na uddhareya vā, na	prajQA-apetvA vA prajQApayitvA vA tatas prakramantaH naH udDareya vA, na
   uddharāpeya vā, anāmantrayitvā vā prakrameya pācattikaṃ /	udDarApeya vA, anAmantrayitvA vA prakrameya pAcattikam /
   PrMoSū(Mā-L)Pāc.15. yo punar bhikṣuḥ sāṃghike bhikṣuvihāre antośayyāṃ	PrMoSU(MA-L)-PAc.15. yaH punar BikzuH sAMGike Bikzu-vihAre antoSayyAm
   prajñāpetvā prajñāpayitvā vā tato prakramanto na uddhareya vā, na	prajQA-apetvA prajQApayitvA vA tatas prakramantaH naH udDareya vA, na
   uddharāpeya vā, anāmantrayitvā vā prakrameya pācattikaṃ /	udDarApeya vA, anAmantrayitvA vA prakrameya pAcattikam /
   PrMoSū(Mā-L)Pāc.16. yo punar bhikṣu bhikṣusya duṣṭo doṣāt kupito	PrMoSU(MA-L)-PAc.16. yaH punar Bikzu Bikzusya duzwaH dozAt kupitaH-
   anāttamano sāṃghikād bhikṣuvihārād bhikṣuṃ nikaḍḍheya vā nikaḍḍhāpeya vā	anAttamanaH sAMGikAt Bikzu-vihArAt Bikzum nikaxXeya vA nikaxXA-apeya vA
   antamasato neha bhikṣū ti vā vadeya pācattikaṃ /	antamasataH na-iha BikzU ti vA vadeya pAcattikam /
   PrMoSū(Mā-L)Pāc.17. yo puna bhikṣu sāṃghike bhikṣuvihāre jānan bhikṣūṇāṃ	PrMoSU(MA-L)-PAc.17. yaH puna Bikzu sAMGike Bikzu-vihAre jAnan BikzUNAm
   pūrvaprajñaptāhi śayyāhi paścād āgatvā madhyeśayyāṃ prajñāpeya	pUrva-prajQaptAhi SayyA-hi paScAt AgatvA maDyeSayyAm prajQApeya
   yasyodvahiṣyati so prakramiṣyatīti / etad eva pratyayaṃ kṛtvā, ananyam	yasya-udvahizyati saH prakramizyati-iti / etat eva pratyayam kRtvA, ananyam
   imaṃ tasya bhikṣusya udvāhanapācattikaṃ /	imam tasya Bikzusya udvAhana-pAcattikam /
   PrMoSū(Mā-L)Pāc.18. yo puna bhikṣuḥ sāṃghike bhikṣuvihāre upari	PrMoSU(MA-L)-PAc.18. yaH puna BikzuH sAMGike Bikzu-vihAre upari
   vaihāyasakuṭikāye āhatya pādake mañce vā pīṭhe vā abhiniṣīdeya vā	vEhAyasa-kuwikAye Ahatya pAdake maQce vA pIWe vE aBinizIdeya vA
   abhinipadyeya vā pācattikaṃ /	aBinipadyeya vA pAcattikam /
   PrMoSū(Mā-L)Pāc.19. yo puna bhikṣur jānan saprāṇakenodakena tṛṇaṃ vā	PrMoSU(MA-L)-PAc.19. yaH puna BikzuH jAnan sa-prANakena-udakena tRNam vA
   mṛttikāṃ vā siñceya vā siñcāpeya vā pācattikaṃ /	mRttikAm vA siQceya vA siQcApeya vA pAcattikam /
   PrMoSū(Mā-L)Pāc.20. mahallakaṃ bhikṣuṇā vihāraṃ chādāpayamānena yāvad	PrMoSU(MA-L)-PAc.20. mahallakam BikzuNA vihAram CAdApayamAnena yAvat-
   dvārakoṣārgalapratiṣṭhānam ālokasandhiparikarmam upādāya dve vā trayo vā	dvAra-koza-argala-pratizWAnam Aloka-sanDi-parikarmam upAdAya dve vA trayaH vA
   cchādanaparyāyā adhiṣṭhihitavyāḥ alpaharite sthitena / taduttariṃ	cCAdana-paryAyAH aDizWihitavyAH alpa-harite sTitena / tad-uttariM
   adhiṣṭhiheya alpaharite sthito pi pācattikaṃ /	aDizWiheya alpa-harite sTitaH pi pAcattikam /
   // uddānaṃ //	// uddAnam //
   (11) bījam (12) anyavādaṃ (13) odhyāyanaṃ (14) mañca (15) śayyā (16)	(11) bIjam (12) anya-vAdam (13) oDyAyanam (14) maQca (15) SayyA (16)
   nikaḍḍhanaṃ / (17) pūrvopagataṃ (18) vaihāyasaṃ (19) udaka (20) cchādanena	nikaxXanam / (17) pUrva-upagatam (18) vEhAyasam (19) udaka (20) cCAdanena
   // dvitīyo vargaḥ //	// dvitIyaH vargaH //
   PrMoSū(Mā-L)Pāc.21. yo puna bhikṣu asaṃmato bhikṣuṇīm ovadeya pācattikaṃ /	PrMoSU(MA-L)-PAc.21. yaH puna Bikzu asaMmataH BikzuNIm ovadeya pAcattikam /
   PrMoSū(Mā-L)Pāc.22. saṃmato vāpi bhikṣuḥ bhikṣūṇīm ovadeya vikāle,	PrMoSU(MA-L)-PAc.22. saMmataH vA-api BikzuH BikzUNIm ovadeya vikAle,
   astaṃgate sūrye, anūhate aruṇe pācattikaṃ /	astaMgate sUrye, anUhate aruNe pAcattikam /
   PrMoSū(Mā-L)Pāc.23. yo puna bhikṣu ovādaprekṣo bhikṣuṇīupāśrayam	PrMoSU(MA-L)-PAc.23. yaH puna Bikzu ovAt-aprekzaH BikzuNI-upASrayam
   upasaṃkrameya santaṃ bhikṣum anāmantrayitvā, anyatra samaye pācattikaṃ /	upasaMkrameya santam Bikzum anAmantrayitvA, anyatra samaye pAcattikam /
   tatrāyaṃ samayo Ō gilānā bhikṣuṇī ovaditavyā anuśāsitavyā bhavati / ayam	tatra-ayam samayaH Ō gilAnA BikzuNI ovaditavyA anuSAsitavyA Bavati / ayam
   atra samayo /	atra samayaH /
   PrMoSū(Mā-L)Pāc.24. yo puna bhikṣu bhikṣum evaṃ vadeya Ō āmiṣahetor	PrMoSU(MA-L)-PAc.24. yaH puna Bikzu Bikzum evam vadeyaH Ō Amiza-hetoH-
   āyuṣman bhikṣu bhikṣuṇīṃ te ovadatīti pācattikaṃ /	Ayuzman Bikzu BikzuNIm te ovadati-iti pAcattikam /
   PrMoSū(Mā-L)Pāc.25. yo puna bhikṣu bhikṣuṇīya sārdham eko ekāya raho	PrMoSU(MA-L)-PAc.25. yaH puna Bikzu BikzuNIya sArDam ekaH ekAya rahaH-
   niṣadyāṃ kalpeya pācattikaṃ /	nizadyAm kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.26. yo puna bhikṣu bhikṣuṇīya sārdhaṃ saṃvidhāya	PrMoSU(MA-L)-PAc.26. yaH puna Bikzu BikzuNIya sArDam saMviDAya
   adhvānamārgaṃ pratipadyeya antamasato grāmāntaraṃ pi, anyatra samaye,	aDvAna-mArgam pratipadyeya antamasataH grAma-antaram pi, anyatra samaye,
   pācattikaṃ / tatrāyaṃ samayo Ō mārgo bhavati sabhayo sapratibhayo	pAcattikam / tatra-ayam samayaH Ō mArgaH Bavati sa-Bayo sa-pratiBayaH-
   sāśaṃkasaṃmato / ayam atra samayo /	sa-aSaMka-saMmataH / ayam atra samayaH /
   PrMoSū(Mā-L)Pāc.27. yo puna bhikṣu bhikṣuṇīya sārdhaṃ saṃvidhāya ekanāvāṃ	PrMoSU(MA-L)-PAc.27. yaH puna Bikzu BikzuNIya sArDam saMviDAya ekanAvAn
   abhiruheya ūrdhvagāminīṃ vā adhogāminīṃ vā, anyatra tiryottaraṇāya	aBiruheya UrDva-gAminIm vE aDas-gAminIm vA, anyatra tirya-uttaraNAya
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.28. yo puna bhikṣu anyātikāye bhikṣuṇīye cīvaraṃ dadyād	PrMoSU(MA-L)-PAc.28. yaH puna Bikzu anyAtikAye BikzuNIye cIvaram dadyAt-
   anyatra pallaṭṭhakena pācattikaṃ /	anyatra pallawWakena pAcattikam /
   PrMoSū(Mā-L)Pāc.29. yo puna bhikṣur anyātikāye bhikṣuṇīye cīvaraṃ sīveya	PrMoSU(MA-L)-PAc.29. yaH puna BikzuH anyAtikAye BikzuNIye cIvaram sIveya
   vā sīvāpeya vā pācattikaṃ /	vA sIvApeya vA pAcattikam /
   PrMoSū(Mā-L)Pāc.30. yo puna bhikṣur jānan bhikṣuṇīparipācitaṃ pinḍapātaṃ	PrMoSU(MA-L)-PAc.30. yaH puna BikzuH jAnan BikzuNI-paripAcitam pinxapAtam
   paribhuñjeya, anyatra pūrve gṛhīsamārambhe pācattikaṃ /	pariBuQjeya, anyatra pUrve gRhI-sam-AramBe pAcattikam /
   // uddānaṃ //	// uddAnam //
   (21) asaṃmato (22) saṃmato cāpi (23) ovādo (24) āmiṣaṃ (25) niṣadyā ca /	(21) asaMmataH (22) saMmataH ca-api (23) ovAdaH (24) Amizam (25) nizadyA ca /
   (26) adhvānamārgo (27) nāvā ca (28) deti (29) sīveti (30) paripācanena //	(26) aDvAna-mArgaH (27) nAvA ca (28) deti (29) sIvA-iti (30) paripAcanena //
   tṛtīyo vargaḥ //	tRtIyaH vargaH //
   PrMoSū(Mā-L)Pāc.31. ekāhaparamaṃ bhikṣuṇā agilānena āvasathapiṇḍapāto	PrMoSU(MA-L)-PAc.31. ekAha-paramam BikzuNA agilAnena AvasaTa-piNxapAtaH-
   paribhuñjitavyo, taduttariṃ paribhuṃjeya pācattikaṃ /	pariBuQjitavyaH-, tad-uttarim pariBuMjeya pAcattikam /
   PrMoSū(Mā-L)Pāc.32. paramparābhojane anyatra samaye pācattikaṃ / tatrāyaṃ	PrMoSU(MA-L)-PAc.32. paramparA-Bojane anyatra samaye pAcattikam / tatra-ayam
   samayo gilānasamayo cīvaradānakālasamayo / ayam atra samayo /	samayaH gilAn-asamayaH cIvara-dAna-kAla-samayaH / ayam atra samayaH /
   PrMoSū(Mā-L)Pāc.33. yo puna bhikṣur bhuṃjāvī pravārito utthito āsanāto,	PrMoSU(MA-L)-PAc.33. yaH puna BikzuH BuMjAvI pravAritaH utTitaH AsanAto,
   anatiriktaṃ kṛtaṃ khādanīyaṃ vā bhojanīyaṃ vā khādeya vā bhuṃjeya vā	anatiriktam kRtam KAdanIyam vA BojanIyam vA KAdeya vA BuMjeya vA
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.34. yo puna bhikṣur jānan bhikṣu bhuktāvī pravāritam	PrMoSU(MA-L)-PAc.34. yaH puna BikzuH jAnan Bikzu BuktAvI pravAritam
   utthitam āsanāto āsādanāprekṣo anatiriktakṛtena khādanīyena vā bhojanīyena	utTitam AsanAtaH AsAdanA-prekzaH anatirikta-kRtena KAdanIyena vA BojanIyena
   vā upanimantreya, ehi bhikṣu khādāhi bhuṃjāhīti vā vadeya bhuktasmiṃ	vA upanimantreya, ehi Bikzu KAdAhi BuMjA-ahi-iti vA vadeya Buktasmin
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.35. yo puna bhikṣur adinnam apratigrāhitaṃ mukhadvārikam	PrMoSU(MA-L)-PAc.35. yaH puna BikzuH adinnam apratigrAhitam muKadvArikam
   āhāram āhāreya anyatrodakadantapoṇe pācattikaṃ /	AhAram AhAreya anyatra-udaka-danta-poNe pAcattikam /
   PrMoSū(Mā-L)Pāc.36. vikālābhojane pācattikaṃ /	PrMoSU(MA-L)-PAc.36. vikAlA-Bojane pAcattikam /
   PrMoSū(Mā-L)Pāc.37. sannidhikārabhojane pācattikaṃ /	PrMoSU(MA-L)-PAc.37. sanniDi-kAra-Bojane pAcattikam /
   PrMoSū(Mā-L)Pāc.38. bhikṣuṃ kho punaḥ kulehi upasaṃkrāntaṃ pravāreṃsu	PrMoSU(MA-L)-PAc.38. Bikzum KaH punar kulehi upasaMkrAntam pravAreMsu
   pūpehi vā manthehi vā / tathāpravāritena bhikṣuṇā yāvattripātrapūraparamaṃ	pUpehi vA manTe-hi vA / taTA-apravAritena BikzuNA yAvat-tri-pAtra-pUra-paramam
   tato pratigṛhṇitavyaṃ / pratigṛhṇitvā bahirdhā nīharitavyaṃ / bahirdhā	tatas pratigRhNitavyam / pratigRhNitvA bahirDA nIharitavyam / bahirDA
   nīharitvā agilānakehi bhikṣūhi sārdhaṃ saṃvibhajitvā khāditavyaṃ	nIharitvA agilAnaka-ihi BikzUhi sArDam saMviBajitvA KAditavyam
   bhuṃjitavyaṃ / taduttariṃ pratigṛhṇitvā bahirdhā nīharitvā agilānakehi	BuMjitavyam / tad-uttarim pratigRhNitvA bahirDA nIharitvA agila-anakehi
   bhikṣūhi sārdhaṃ saṃvibhajitvā vā asaṃvibhajitvā vā khādeya vā bhuṃjeya vā	BikzUhi sArDam saMviBajitvA vA asaMviBajitvA vA KAdeya vA BuMjeya vA
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.39. yāni kho punar imāni praṇītasaṃmatāni bhojanāni	PrMoSU(MA-L)-PAc.39. yAni KaH punar imAni praNIta-saMmatAni BojanAni
   bhavanti saṃyyathīdaṃ sarpistailaṃ madhu phāṇitaṃ dugdhaṃ dadhi matsyaṃ	Bavanti saMyyaTi-idam sarpiH-tElam maDu PANitam dugDam daDi matsyam
   māṃsaṃ yo puna bhikṣur evaṃrūpāṇi praṇītasaṃmatāni bhojanāni ātmārthāya	mAMsam yaH puna BikzuH evaMrUpANi praNIta-saMmatAni BojanAni Atma-arTAya
   agilāno kulehi vijñapetvā vā vijñāpāyetvā vā khādeya vā bhuṃjeya vā	agilAnaH kulehi vijQapetvA vA vijQApAyetvA vA KAdeya vA BuMjeya vA
   pācattikaṃ /	pAcattikam /
   PrMoSū(Mā-L)Pāc.40. gaṇabhojane anyatra samaye pācattikaṃ / tatrāyaṃ	PrMoSU(MA-L)-PAc.40. gaNa-Bojane anyatra samaye pAcattikam / tatra-ayam
   samayo Ō gilānasamayo cīvaradānakālasamayo adhvānagamanasamayo	samayaH Ō gilAn-asamayaH cIvara-dAna-kAla-samayaH aDvAna-gamana-samayaH-
   nāvābhirohaṇasamayo mahāsamayo śravaṇabhaktaṃ / ayam atra samayo /	nAvA-aBirohaNa-samayaH mahA-samayaH SravaNa-Baktam / ayam atra samayaH /
   // uddānaṃ //	// uddAnam //
   (31) āvasatho (32) parampara (33) pravāraṇā (34) āsādanā (35) adinnaṃ /	(31) AvasaTaH (32) parampara (33) pravAraNA (34) AsAdanAH (35) adinnam /
   (36) vikālaṃ (37) sannidhiṃ (38) manthā (39) vijñaptiḥ (40) gaṇabhojanena	(36) vikAlam (37) sanniDim (38) manTAH (39) vijQaptiH (40) gaNa-Bojanena
   // caturtho vargaḥ //	// caturTaH vargaH //
   PrMoSū(Mā-L)Pāc.41. yo puna bhikṣur ātmārthāya agilāno jyotismiṃ	PrMoSU(MA-L)-PAc.41. yaH puna BikzuH Atma-arTAya agilAnaH jyotismin
   vitāpanāprekṣo tṛṇaṃ vā kāṣṭhaṃ vā gomayaṃ vā sakalikāṃ vā tuṣaṃ vā	vitApanA-prekzaH tRNam vA kAzWam vA gomayam vA sakalikAm vA tuzam vA
   saṃkāraṃ vā ādaheya vā ādahāpeya vā anyatra samaye pācattikaṃ /	saMkAram vA Adaheya vA AdahApeya vA anyatra samaye pAcattikam /
   PrMoSū(Mā-L)Pāc.42. yo puna bhikṣur anupasaṃpannena pudgalena sārdhaṃ	PrMoSU(MA-L)-PAc.42. yaH puna BikzuH anupasaMpannena pudgalena sArDam
   uttari dvirātraṃ trirātraṃ vā sahagāraśayyāṃ kalpeya pācattikaṃ /	uttari dvi-rAtram tri-rAtram vA sahagAra-SayyAm kalpeya pAcattikam /
   PrMoSū(Mā-L)Pāc.43. yo puna bhikṣu bhikṣūṇāṃ karmaṇā cchandaṃ datvā paścād	PrMoSU(MA-L)-PAc.43. yaH puna Bikzu BikzUNAm karmaNA cCandam datvA paScAt-
   duṣṭo doṣāt kupito anāttamano evaṃ vadeya Ō adinno me chando, durdinno me	duzwaH dozAt kupitaH anAttamanaH evam vadeya Ō adinnaH me Cando, durdinnaH me
   chando, akṛtāny etāni karmāṇi duṣkṛtāny etāni karmāṇi, nāham eteṣāṃ	Cando, akRtAni etAni karmANi duzkRtAni etAni karmANi, na-aham etezAm
   karmaṇāṃ cchandaṃ demīti vadeya pācattikaṃ /	karmaNAm cCandam demi-iti vadeya pAcattikam /
   PrMoSū(Mā-L)Pāc.44. yo puna bhikṣu bhikṣum evaṃ vadeya Ō ehi tvam āyuṣman	PrMoSU(MA-L)-PAc.44. yaH puna Bikzu Bikzum evam vadeyaH Ō ehi tvam Ayuzman
   grāmaṃ pinḍāya praviśiṣyāmaḥ / ahaṃ ca te tatra kiṃcid dāpayiṣyaṃ / so	grAmam pinxAya praviSizyAmaH / aham ca te tatra kiMcid dApayizyam / saH-
   tatra tasya kiñcid dāpayitvā vā adāpayitvā vā paścād udyojanaprekṣo evaṃ	tatra tasya kiQcid dApayitvA vE adApayitvA vA paScAt udyojana-prekzaH evam
   vadeya Ō gaccha tvam āyuṣman na me tvayā sārdhaṃ phāsu bhavati kathāya vā	vadeyaH Ō gacCa tvam Ayuzmat na me tvayA sArDam PAsu Bavati kaTAya vA
   niṣadyāya vā, ekasyaiva mama phāsu bhavati kathāya vā niṣadyāya vā / etad	nizadyAya vA, ekasya-eva mama PAsu Bavati kaTAya vA nizadyAya vA / etat-
   eva pratyayaṃ kṛtvā ananyam, imaṃ tasya bhikṣusya udyojanapācattikaṃ /	eva pratyayam kRtvA ananyam, imam tasya Bikzusya udyojana-pAcattikam /
   PrMoSū(Mā-L)Pāc.45. yo puna bhikṣu bhikṣūn evaṃ vadeya / tathāham	PrMoSU(MA-L)-PAc.45. yaH puna Bikzu BikzUn evam vadeya / taTA-aham
   āyuṣmanto bhagavatā dharmaṃ deśitam ājānāmi yathā ye ime antarāyikā dharmā	AyuzmantaH BagavatA Darmam deSitam AjAnAmi yaTA ye ime antarAyikA DarmA
   uktā bhagavatā tān pratisevato nālam antarāyāya / so bhikṣu bhikṣūhi evam	uktA BagavatA tAn pratisevataH na-alam antarAyAya / saH Bikzu BikzUhi evam
