   alātaśāntiprakaraṇa	alAta-SAnti-prakaraNa
   nāpyadravyaṃ kasyacitkāraṇaṃ svatantraṃ dṛṣṭaṃ loke /	na-api-adravyam kasyacid-kAraNam svatantram dRzwam loke /
   na ca dravyatvaṃ dharmāṇāmātmānāmupapadyate 'nyatvaṃ vā kutaścidyenānyasya	na ca dravya-tvam DarmANAm-AtmAnAm-upapadyate anya-tvam vA kutaScid-yena-anyasya
   kāraṇatvaṃ kāryatvaṃ vā pratipadyate /	kAraNa-tvam kArya-tvam vA pratipadyate /
   ato 'dravyatvādananyatvācca na kasyacitkāryaṃ kāraṇaṃ vātmetyarthaḥ //53//	atas adravya-tvAt-ananya-tvAt-ca na kasyacid-kAryam kAraNam vA-AtmA-iti-arTaH //53//
   START MandUpK 4.54	START Mandu-upK 4.54
   evaṃ na cittajā dharmāś cittaṃ vāpi na dharmajam /	evam na citta-jAH DarmAH cittam vA-api na Darmajam /
   evaṃ hetuphalājātiṃ praviśanti manīṣiṇaḥ // MandUpK_4.54 //	evam hetu-PalA-jAtim praviSanti manIziNaH // Mandu-upK_4.54 //
   MandUpKC_4.54	Mandu-upKC_4.54
   evaṃ yathoktebhyo hetubhya ātmavijñānasvarūpameva cittamiti na cittajā	evam yaTA-ukteByaH hetuByaH Atma-vijQAna-svarUpam-eva cittam-iti na citta-jA
   bāhyadharmā nāpi bāhyadharmajaṃ cittam /	bAhya-DarmA na-api bAhya-Darma-jam cittam /
   vijñānasvarūpābhāsamātratvātsarvadharmāṇām /	vijQAna-svarUpa-ABAsa-mAtra-tvAt-sarva-DarmANAm /
   evaṃ na hetoḥ phalaṃ jāyate nāpi phalāddheturiti hetuphalayorajātiṃ	evam na hetoH Palam jAyate na-api PalAt-hetuH-iti hetu-PalayoH-ajAtim
   hetuphalājātiṃ praviśantyadhyavasyanty ātmani hetuphalayorabhāvameva	hetu-PalA-jAtim praviSanti-aDyavasyanti Atmani hetu-PalayoH-aBAvam-eva
   pratipadyante brahmavida ityarthaḥ //54//	pratipadyante brahma-vidaH iti-arTaH //54//
   START MandUpK 4.55	START Mandu-upK 4.55
   ye punarhetuphalayorabhiniviṣṭāsteṣāṃ kiṃ syādityucyate-	ye punar-hetu-PalayoH-aBinivizwAH-tezAm kim syAt-iti-ucyate-
   dharmādharmākhyasya hetorahaṃ kartā mama dharmādharmau tatphalaṃ kālāntare	Darma-aDarma-AKyasya hetoH-aham kartA mama Darma-aDarmO tat-Palam kAla-antare
   kvacitprāṇinikāye jāto bhokṣya iti-	kvacid-prANi-nikAye jAtaH BokzyaH iti-
   yāvad dhetuphalāveśas tāvad dhetuphalodbhavaḥ /	yAvat Detu-Pala-AveSaH tAvat Detu-Pala-udBavaH /
   kṣīṇe hetuphalāveśe nāsti hetuphalodbhavaḥ // MandUpK_4.55 //	kzINe hetu-Pala-AveSe na-asti hetu-Pala-udBavaH // Mandu-upK_4.55 //
   MandUpKC_4.55	Mandu-upKC_4.55
   yāvaddhetuphalayorāveśo hetuphalāgraha ātnyadhyāropaṇaṃ	yAvat-hetu-PalayoH-AveSaH hetu-PalA-grahaH Atni-aDyAropaNam
   taccittatetyarthaḥ,tāvaddhetuphalayorudbhavo dharmādharmayosattphalasya	tad-citta-tA-iti-arTaH,tAvat-hetu-PalayoH-udBavaH Darma-aDarma-yosatt-Palasya
   cānucchedena pravṛttirityarthaḥ /	ca-anucCedena pravRttiH-iti-arTaH /
   yadā punarmantrauṣadhivīryeṇeva grahāveśo	yadA punar-mantra-ozaDi-vIryeNa-iva graha-AveSaH-
   yathoktādvaitadaśanenāvidyodbhūtahetuphalāveśo 'panīto bhavati tadā	yaTA-ukta-advEta-daSanena-avidyA-udBUta-hetu-Pala-AveSaH apanItaH Bavati tadA
   tasminkṣīṇe nāsti hetuphalodbhavaḥ //55//	tasmin-kzINe na-asti hetu-Pala-udBavaH //55//
   START MandUpK 4.56	START Mandu-upK 4.56
   yadi hetuphalodbhavastadā ko doṣa ityucyate-	yadi hetu-Pala-udBavaH-tadA kaH dozaH iti-ucyate-
   yāvad dhetuphalāveśaḥ saṃsāras tāvadāyataḥ /	yAvat Detu-Pala-AveSaH saMsAraH tAvat-AyataH /
   kṣīṇe hetuphalāveśe saṃsāraṃ na prapadyate // MandUpK_4.56 //	kzINe hetu-Pala-AveSe saMsAram na prapadyate // Mandu-upK_4.56 //
   MandUpKC_4.56	Mandu-upKC_4.56
   yāvatsamyagdarśanena hetuphalāveśo na nivartate 'kṣīṇaḥ saṃsārastāvadāyato	yAvat-samyak-darSanena hetu-Pala-AveSaH na nivartate akzINaH saMsAraH-tAvat-AyataH-
   dīrgho bhavatītyarthaḥ /	dIrGaH Bavati-iti-arTaH /
   kṣīṇe punarhetiphalāveśe saṃsāraṃ na prapadyate kāraṇābhāvāt //56//	kzINe punar-heti-Pala-AveSe saMsAram na prapadyate kAraNa-aBAvAt //56//
   START MandUpK 4.57	START Mandu-upK 4.57
   nanvajādātmano 'nyannāstyeva tatkathaṃ hetuphalayoḥ saṃsārasya	nanu-ajAt-AtmanaH anyat-na-asti-eva tat-kaTam hetu-PalayoH saMsArasya
   cotpattivināśāvucyete tvayā?	ca-utpatti-vinASO=-ucyete tvayA?
   śṛṇu-	SRNu-
   saṃvṛtyā jāyate sarvaṃ śāśvataṃ nāsti tena vai /	saMvRtyA jAyate sarvam SASvatam na-asti tena vE /
   sadbhāvena hy ajaṃ sarvam ucchedas tena nāsti vai // MandUpK_4.57 //	sadBAvena hi ajam sarvam ucCedaH tena na-asti vE // Mandu-upK_4.57 //
   MandUpKC_4.57	Mandu-upKC_4.57
   saṃvṛtyā saṃvaraṇaṃ saṃvṛtiravidyāviṣayo laukiko vyavahārastā saṃvṛtyā	saMvRtyA saMvaraNam saMvRtiH-avidyA-vizayaH lOkikaH vyavahAraH-tA saMvRtyA
   jāyate sarvam /	jAyate sarvam /
   tenāvidyāviṣaye śāśvataṃ nityaṃ nāsti vai /	tena-avidyA-vizaye SASvatam nityam na-asti vE /
   ata utpattivināśalakṣaṇaḥ saṃsāra āyata ityucyate /	atas utpatti-vinASa-lakzaNaH saMsAraH Ayate iti-ucyate /
   paramārthasadbhāvena tvajaṃ sarvamātmaiva yasmāt /	parama-arTa-sadBAvena tu-ajam sarvam-AtmA-eva yasmAt /
   ato jātyabhāvāducchedastena nāsti vai kasyaciddhetuphalāderityarthaḥ	atas jAtyaBAvAt-ucCedaH-tena na-asti vE kasyacid-hetu-Pala-AdeH-iti-arTaH
   START MandUpK 4.58	START Mandu-upK 4.58
   dharmā ya iti jāyante jāyante te na tattvataḥ /	DarmAH ye iti jAyante jAyante te na tattvataH /
   janma māyopamaṃ teṣāṃ sā ca māyā na vidyate // MandUpK_4.58 //	janma mAyA-upamam tezAm sA ca mAyA na vidyate // Mandu-upK_4.58 //
   MandUpKC_4.58	Mandu-upKC_4.58
   ye 'pyātmāno 'nye ca dharmā jāyanta iti kalpyante ta ityevaṃ prakārā	ye api-AtmAnaH anye ca DarmAH jAyante iti kalpyante te iti-evam prakArA
   yathoktā saṃvṛtinirdiśyata iti saṃvṛtyaiva dharmā jāyante; na te tattvataḥ	yaTA-uktA saMvRti-nirdiSyate iti saMvRtya-eva DarmAH jAyante; na te tattvataH
   paramārthatoya jāyante /	paramArTa-toya jAyante /
   yatpunastatsaṃvṛtyā janma teṣāṃ dharmāṇāṃ yathoktānāṃ yathā māyayā janma	yat-punar-tad-saMvRtyA janma tezAm DarmANAm yaTA-uktAnAm yaTA mAyayA janma
   tathā tanmāyopamaṃ pratyetavyam /	taTA tad-mAyA-upamam pratyetavyam /
   māyā nāma vastu tarhi? naivam; sā ca māyā na vidyate,	mAyA nAma vastu tarhi? na-evam; sA ca mAyA na vidyate,
   māyetyavidyamānasyākhyetyabhiprāyaḥ //58//	mAyA-iti-avidyamAnasya-AKyA-iti-aBiprAyaH //58//
   START MandUpK 4.59	START Mandu-upK 4.59
   kathaṃ māyopamaṃ teṣāṃ dharmāṇāṃ janmetyāha-	kaTam mAyA-upamam tezAm DarmANAm janma-iti-Aha-
   yathā māyāmayād bījāj jāyate tanmayoṅkuraḥ /	yaTA mAyA-mayAt bIjAt jAyate tat-mayA-uFkuraH /
   nāsau nityo na cocchedī tadvad dharmeṣu yojanā // MandUpK_4.59 //	na-asO nityaH na ca-ucCedI tadvat Darmezu yojanAH // Mandu-upK_4.59 //
   MandUpKC_4.59	Mandu-upKC_4.59
   yathā māyāmayādbījājjāyate tanmayo māyāmayo 'ṅkuro nāsāṅkuro nityo na	yaTA mAyA-mayAt-bIjAt-jAyate tad-mayaH mAyA-mayaH aFkuraH nAsA-aFkuraH nityaH na
   cocchedī vināśī vābhūtatvāttadvadeva dharmeṣu janmanāśādiyojanā yuktir na	ca-ucCedI vinASI vA-aBUta-tvAt-tadvat-eva Darmezu janma-nASa-Adi-yojanA yuktiH na
   tu paramārthato dharmāṇāṃ janma nāśo vā yujyata ityarthaḥ //59//	tu paramArTataH DarmANAm janma nASaH vA yujyate iti-arTaH //59//
   START MandUpK 4.60	START Mandu-upK 4.60
   nājeṣu sarvadharmeṣu śāśvatāśāśvatābhidhā /	na-ajezu sarva-Darmezu SASvata-aSASvata-aBiDA /
   yatra varṇā na vartante vivekas tatra nocyate // MandUpK_4.60 //	yatra varNAH na vartante vivekaH tatra na-ucyate // Mandu-upK_4.60 //
   MandUpKC_4.60	Mandu-upKC_4.60
   paramārthatastvātmasvajeṣu nityaikarasavijñaptimātrasattākeṣu śāśvato	paramArTataH-tu-Atma-sva-jezu nitya-eka-rasa-vijQapti-mAtra-sattAkezu SASvataH-
   'śāśvata ita vā nābhidhā nābhidhānaṃ pravartata ityarthaḥ /	aSASvataH ita vA na-aBiDA na-aBiDAnam pravartate iti-arTaH /
   yatra yeṣu varṇyante yairarthāste varṇāṃ śabdā na pravartante 'bhidhātuṃ	yatra yezu varNyante yEH-arTAH-te varNAm SabdAH na pravartante aBiDAtum
   prakāśayituṃ na pravartanta ityarthaḥ /	prakASayitum na pravartante iti-arTaH /
   idamevamiti viveko viviktatā tatra nityo 'nitya iti nocyate /	idam-evam-iti vivekaH vivikta-tA tatra nityaH anityaH iti na-ucyate /
   "yato vāco nivartante"(tai.u.2 / 4 / 1) iti śruteḥ //60//	"yataH vAcaH nivartante"(tE.u.2 / 4 / 1) iti SruteH //60//
   START MandUpK 4.61-62	START Mandu-upK 4.61-62
   yathā svapne dvayābhāsaṃ cittaṃ calati māyayā /	yaTA svapne dvaya-ABAsam cittam calati mAyayA /
   tathā jāgrad dvayābhāsaṃ cittaṃ calati māyayā // MandUpK_4.61 //	taTA jAgrat dvaya-ABAsam cittam calati mAyayA // Mandu-upK_4.61 //
   advayaṃ ca dvayābhāsaṃ cittaṃ svapne na saṃśayaḥ /	advayam ca dvaya-ABAsam cittam svapne na saMSayaH /
   advayaṃ ca dvayābhāsaṃ tathā jāgran na saṃśayaḥ // MandUpK_4.62 //	advayam ca dvaya-ABAsam taTA jAgrat na saMSayaH // Mandu-upK_4.62 //
   MandUpKC_4.61-62	Mandu-upKC_4.61-62
   yatpunarvāggocaratvaṃ paramārthato 'dvayasya vijñānamātrasya tanmanasaḥ	yat-punar-vAc-gocara-tvam paramArTataH advayasya vijQAna-mAtrasya tad-manasaH
   spandanamātraṃ na paramārthata iti /	spandana-mAtram na paramArTataH iti /
   uktārthau ślokau //61-62 //	ukta-arTO SlokO //61-62 //
   START MandUpK 4.63	START Mandu-upK 4.63
   itaśca vāggocarasyābhāvo dvaitasya-	itas-ca vAc-gocarasya-aBAvaH dvEtasya-
   svapnadṛk pracaran svapne dikṣu vai daśasu sthitān /	svapna-dRS pracaran svapne dikzu vE daSasu sTitAn /
   aṇḍajān svedajān vāpi jīvān paśyati yān sadā // MandUpK_4.63 //	aNxa-jAn sveda-jAn vA-api jIvAn paSyati yAn sadA // Mandu-upK_4.63 //
   MandUpKC_4.63	Mandu-upKC_4.63
   svapnānpaśyatīti svapnadṛkpracaranparyaṭansvapne svapnasthāne dikṣu vai	svapnAn-paSyati-iti svapna-dRS-pracaran-paryawan-svapne svapna-sTAne dikzu vE
   daśasu sthitānvartamānāñjīvānprāṇino 'ṇḍajānsvedajānvā yānsadā paśyati	daSasu sTitAn-vartamAnAn-jIvAn-prANinaH aNxajAn-sveda-jAn-vA yAn-sadA paSyati
   START MandUpK 4.64	START Mandu-upK 4.64
   yadyevaṃ tataḥ kim? ucyate-	yadi-evam tatas kim? ucyate-
   svapnadṛkcittadṛśyās te na vidyante tataḥ pṛthak /	svapna-dRS-citta-dRSyAH te na vidyante tatas pRTak /
   tathā tad dṛśyam evedaṃ svapnadṛkcittam iṣyate // MandUpK_4.64 //	taTA tat dRSyam eva-idam svapna-dRS-cittam izyate // Mandu-upK_4.64 //
   MandUpKC_4.64	Mandu-upKC_4.64
   svapnadṛśaścittaṃ svapnadṛkcittaṃ tena dṛśyāste	svapna-dRSaH-cittam svapna-dRS-cittam tena dRSyAH-te
   jīvāstatastasmātsvapnadṛkcittātpṛthaṅna vidyante na santītyarthaḥ /	jIvAH-tatas-tasmAt-svapna-dRS-cittAt-pRTak-na vidyante na santi-iti-arTaH /
   cittameva hyanekajīvādibhedākāreṇa vikalpyate /	cittam-eva hi-aneka-jIva-Adi-Beda-AkAreNa vikalpyate /
   tathā tadapi svapnadṛkcittamidaṃ taddṛśyameva, tena svapnadṛśā dṛśyaṃ	taTA tat-api svapna-dRS-cittam-idam tat-dRSyam-eva, tena svapna-dRSA dRSyam
   taddṛśyam /	tat-dRSyam /
   ataḥ svapnadṛgvyatirekeṇa cittaṃ nāma nāstītyarthaḥ //64//	atas svapna-dRS-vyatirekeNa cittam nAma na-asti-iti-arTaH //64//
   START MandUpK 4.65-66	START Mandu-upK 4.65-66
   carañ jāgarite jāgrad dikṣu vai daśasu sthitān /	caran jAgarite jAgrat dikzu vE daSasu sTitAn /
   aṇḍajān svedajān vāpi jīvān paśyati yān sadā // MandUpK_4.65 //	aNxa-jAn sveda-jAn vA-api jIvAn paSyati yAn sadA // Mandu-upK_4.65 //
   jāgrac cittekṣaṇīyās te na vidyante tataḥ pṛthak /	jAgrat citta-IkzaNIyAH te na vidyante tatas pRTak /
   tathā tad dṛśyam evedaṃ jāgrataś cittam iṣyate // MandUpK_4.66 //	taTA tat dRSyam eva-idam jAgrataH cittam izyate // Mandu-upK_4.66 //
   MandUpKC_4.65-66	Mandu-upKC_4.65-66
   jāgrato dṛśyā	jAgrataH dRSyA
   jīvāstaccittāvyatiriktāścittekṣaṇīyatvātsvapnadṛkcittekṣaṇīyajīvavat /	jIvAH-tad-citta-avyatiriktAH-citta-IkzaNIya-tvAt-svapna-dRS-citta-IkzaNIya-jIva-vat /
   tacca jīvekṣaṇātmakaṃ cittaṃ draṣṭuravyatiriktaṃ	tat-ca jIva-IkzaNa-Atmakam cittam drazwuH-avyatiriktam
   draṣṭudṛśyatvātsvapnacittavat /	drazwu-dRSya-tvAt-svapna-citta-vat /
   uktārthamanyat //65-66 //	ukta-arTam-anyat //65-66 //
   START MandUpK 4.67	START Mandu-upK 4.67
   ubhe hy anyonyadṛśye te kiṃ tad astīti cocyate /	uBe hi anyonya-dRSye te kim tat asti-iti ca-ucyate /
   lakṣaṇāśūnyam ubhayaṃ tan mate naiva gṛhyate // MandUpK_4.67 //	lakzaNa-aSUnyam uBayam tat mate na-eva gRhyate // Mandu-upK_4.67 //
   MandUpKC_4.67	Mandu-upKC_4.67
   jīvacitta ubhe cittacaitye te 'nyonyadṛśya itaretaragamye /	jIva-cittaH uBe citta-cEtye te anyonya-dRSyaH itaretara-gamye /
   jīvādiviṣayāpekṣaṃ hi cittaṃ nāma bhavati /	jIvAdi-vizaya-apekzam hi cittam nAma Bavati /
   cittāpekṣaṃ hi jīvādi dṛśyam /	citta-apekzam hi jIva-Adi dRSyam /
   ataste 'nyenyadṛśye /	atas-te anyeni-adRSye /
   tasmānna kiñcidastīti cocyate cittaṃ vā cittekṣaṇīyaṃ vā kiṃ tadastīti	tasmAt-na kiQcid-asti-iti ca-ucyate cittam vA citta-IkzaNIyam vA kim tat-asti-iti
   vivekinocyate /	vivekinA-ucyate /
   na hi svapne hastī hasticittaṃ vā vidyate tathehāpi vivekināmityabhiprāyaḥ	na hi svapne hastI hasti-cittam vA vidyate taTA-iha-api vivekinAm-iti-aBiprAyaH
   katham? lakṣaṇāśūnyaṃ lakṣyate 'nayeti lakṣaṇā pramāṇaṃ	kaTam? lakzaNa-aSUnyam lakzyate anayA-iti lakzaNA pramANam
   pramāṇaśūnyamubhayaṃ cittaṃ caityaṃ dvayaṃ yatastanmatenaiva	pramANa-SUnyam-uBayam cittam cEtyam dvayam yatas-tad-matena-eva
   taccittatayaiva tadgṛhyate /	tad-citta-tayA-eva tat-gRhyate /
   na hi ghaṭamatiṃ pratyākhyāya ghaṭo gṛhyate nāpi ghaṭaṃ pratyākhyāya	na hi Gawamatim pratyAKyAya GawaH gRhyate na-api Gawam pratyAKyAya
   ghaṭamatiḥ /	Gawa-matiH /
   na hi tatra pramāṇaprameyabhedaḥ śakyate kalpayitumityabhiprāyaḥ //67//	na hi tatra pramANa-prameya-BedaH Sakyate kalpayitum-iti-aBiprAyaH //67//
   START MandUpK 4.68-70	START Mandu-upK 4.68-70
   yathā svapnamayo jīvo jāyate mriyate 'pi ca /	yaTA svapna-mayaH jIvaH jAyate mriyate api ca /
   tathā jīvā amī sarve bhavanti na bhavanti ca // MandUpK_4.68 //	taTA jIvAH amI sarve Bavanti na Bavanti ca // Mandu-upK_4.68 //
   yathā māyāmayo jīvo jāyate mriyate 'pi ca /	yaTA mAyA-mayaH jIvaH jAyate mriyate api ca /
   tathā jīvā amī sarve bhavanti na bhavanti ca // MandUpK_4.69 //	taTA jIvAH amI sarve Bavanti na Bavanti ca // Mandu-upK_4.69 //
   yathā nirmitako jīvo jāyate mriyate 'pi ca /	yaTA nirmitakaH jIvaH jAyate mriyate api ca /
   tathā jīvā amī sarve bhavanti na bhavanti ca // MandUpK_4.70 //	taTA jIvAH amI sarve Bavanti na Bavanti ca // Mandu-upK_4.70 //
   MandUpKC_4.68-70	Mandu-upKC_4.68-70
   māyāmayo māyāvinā yaḥ kṛto nirmitako mantrauṣadhyādibhirniṣpāditaḥ /	mAyA-mayaH mAyAvinA yaH kRtaH nirmitakaH mantra-ozaDi-AdiBiH-nizpAditaH /
   svapnamāyānirmitakā aṇḍajātayo jīvā yatā jāyante mriyante ca tachā	svapna-mAyA-nirmitakAH aNxa-jAtayaH jIvAH yatAH jAyante mriyante ca taCA
   manuṣyādilakṣaṇā avidyamānā eva citta vikalpanāmātrā ityartaḥ //68-70 //	manuzya-Adi-lakzaNAH avidyamAnAH eva citta vikalpanA-mAtrAH iti-artaH //68-70 //
   START MandUpK 4.71	START Mandu-upK 4.71
   na kaścij jāyate jīvaḥ saṃbhavo 'sya na vidyate /	na kaScid jAyate jIvaH saMBavaH asya na vidyate /
   etat tad uttamaṃ satyaṃ yatra kiñcin na jāyate // MandUpK_4.71 //	etat tat uttamam satyam yatra kiQcid na jAyate // Mandu-upK_4.71 //
   MandUpKC_4.71	Mandu-upKC_4.71
   vyavahārasatyaviṣaye jīvānāṃ janmamaraṇādīḥ svapnādi jīvavadityuktam /	vyavahAra-satya-vizaye jIvAnAm janma-maraNa-AdIH svapna-Adi jIva-vat-iti-uktam /
   uttamaṃ tu paramārthasatyaṃ na kaścijjāyate jīva iti /	uttamam tu parama-arTa-satyam na kaScid-jAyate jIvaH iti /
   uktārthamanyat //71//	ukta-arTam-anyat //71//
   START MandUpK 4.72	START Mandu-upK 4.72
   cittaspandikam evedaṃ grāhyagrāhakavad dvayam /	citta-spandikam eva-idam grAhya-grAhaka-vat dvayam /
   cittaṃ nirviṣayaṃ nityam asaṅgaṃ tena kīrtitam // MandUpK_4.72 //	cittam nirvizayam nityam asaFgam tena kIrtitam // Mandu-upK_4.72 //
   MandUpKC_4.72	Mandu-upKC_4.72
   sarvaṃ grāhyagrāhakavaccittaspanditameva dvayaṃ cittaṃ paramārthata	sarvam grAhya-grAhaka-vat-citta-spanditam-eva dvayam cittam paramArTa-ta
   ātmaiveti nirviṣayaṃ tena nirviṣayatvena nityamasaṅgaṃ kīrtitam /	AtmA-eva-iti nirvizayam tena nirvizaya-tvena nityam-asaFgam kIrtitam /
   "asaṅgo hyayaṃ puruṣaḥ"(bṛ.u. 4 / 3 / 15,16) iti śruteḥ /	"asaFgaH hi-ayam puruzaH"(bR.u. 4 / 3 / 15,16) iti SruteH /
   saviṣayasya hi viṣaye saṅgaḥ /	sa-vizayasya hi vizaye saFgaH /
   nirviṣayatvāccittamasaṅgamityarthaḥ //72//	nirvizaya-tvAt-cittam-asaFgam-iti-arTaH //72//
   START MandUpK 4.73	START Mandu-upK 4.73
   nanu nirviṣayatvena cedasaṅgatvaṃ cittasya na niḥsaṅgatā bhavati	nanu nirvizaya-tvena ced-asaFga-tvam cittasya na niHsaFga-tA Bavati
   yasmācchāstā śāstraṃ śiṣyaścetyevamāderviṣayasya vidyamānatvāt /	yasmAt-SAstA SAstram SizyaH-ca-iti-evamAdeH-vizayasya vidyamAna-tvAt /
   naiṣa doṣaḥ ; kasmāt-	na-eza dozaH ; kasmAt--
   yo 'sti kalpitasaṃvṛtyā paramārthena nāsty asau /	yaH asti kalpita-saMvRtyA parama-arTena na-asti asO /
   paratantrābhisaṃvṛtyā syān nāsti paramārthataḥ // MandUpK_4.73 //	paratantra-aBisaMvRtyA syAt na-asti paramArTataH // Mandu-upK_4.73 //
   MandUpKC_4.73	Mandu-upKC_4.73
   yaḥ padārthaḥ śāstrādirvidyate sa kalpitasaṃvṛtyā; kalpitā ca sā	yaH padArTaH SAstra-AdiH-vidyate sa kalpita-saMvRtyA; kalpitA ca sA
   paramārthapratipatyupāyatvena saṃvṛtiśca sā, tayā yo 'sti paramārthena	parama-arTa-pratipati-upAyatvena saMvRtiH-ca sA, tayA yaH asti parama-arTena
   nāstyasau na vidyate /	na-asti-asO na vidyate /
   jñāte dvaitaṃ na vidyata ityuktam /	jQAte dvEtam na vidyate iti-uktam /
   yaśca paratantrābhisaṃvṛtyā paraśāstravyavahāreṇa syātpadārthaḥ sa	yaH-ca paratantra-aBisaMvRtyA para-SAstra-vyavahAreNa syAt-padArTaH sa
   paramārthato nirūpyamāṇo nāstyeva /	paramArTataH nirUpyamANaH na-asti-eva /
   tena yuktamuktamasaṅgaṃ tena kīrtimiti //73//	tena yuktam-uktam-asaFgam tena kIrtim-iti //73//
   START MandUpK 4.74	START Mandu-upK 4.74
   nanu śāstrādīnāṃ saṃvṛtitve 'ja itīyamapi kalpanāṃ saṃvṛtiḥ syāt?	nanu SAstra-AdInAm saMvRti-tve ajaH iti-iyam-api kalpanAm saMvRtiH syAt-?
   satyamevam-	satyam-evam--
   ajaḥ kalpitasaṃvṛtyā paramārthena nāpy ajaḥ /	ajaH kalpita-saMvRtyA parama-arTena na-api ajaH /
   paratantrādiniṣpattyā saṃvṛtyā jāyate tu saḥ // MandUpK_4.74 //	paratantra-Adi-nizpattyA saMvRtyA jAyate tu saH // Mandu-upK_4.74 //
   MandUpKC_4.74	Mandu-upKC_4.74
   śāstrādikalpitasaṃvṛtyaivāja ityucyate /	SAstra-Adi-kalpita-saMvRtyA-eva-aja iti-ucyate /
   paramārthena nāpyajo yasmātparatantrābhiniṣpattyā paraśāstrasiddhimapekṣya	parama-arTena na-api-ajaH yasmAt-paratantra-aBinizpattyA para-SAstra-sidDim-apekzya
   yo 'ja ityuktaḥ sa saṃvṛtyā jāyate /	yaH ajaH iti-uktaH sa saMvRtyA jAyate /
   ato 'ja itīyamapi kalpanā paramārthaviṣaye naiva kramata ityarthaḥ //74//	atas ajaH iti-iyam-api kalpanA parama-arTa-vizaye na-eva kramatas iti-arTaH //74//
   START MandUpK 4.75	START Mandu-upK 4.75
   yasmādasadviṣayastasmāt-	yasmAt-asat-vizayaH-tasmAt--
   abhūtābhiniveśo 'sti dvayaṃ tatra na vidyate /	aBUta-aBiniveSaH asti dvayam tatra na vidyate /
   dvayābhāvaṃ sa buddhvaiva nirnimitto na jāyate // MandUpK_4.75 //	dvaya-aBAvam sa budDvA-eva nirnimittaH na jAyate // Mandu-upK_4.75 //
   MandUpKC_4.75	Mandu-upKC_4.75
   asatyabhūte dvaite 'bhiniveśo 'sti kevalam /	asatya-BUte dvEte aBiniveSaH asti kevalam /
   abhiniveśa āgrahamātram /	aBiniveSaH Agraha-mAtram /
   dvayaṃ tatra na vidyate /	dvayam tatra na vidyate /
   mithyābhiniveśamātraṃ ca janmanaḥ kāraṇaṃ yasmāttasmāddvayābhāvaṃ buddhvā	miTyA-aBiniveSa-mAtram ca janmanaH kAraNam yasmAt-tasmAt-dvaya-aBAvam budDvA
   nirnimitto nivṛttamithyādvayābhiniveśo yaḥ sa na jāyate //75//	nirnimittaH nivRtta-miTyA-dvaya-aBiniveSaH yaH sa na jAyate //75//
   START MandUpK 4.76	START Mandu-upK 4.76
   yadā na labhate hetūn uttamādhamamadhyamān /	yadA na laBate hetUn uttama-aDama-maDyamAn /
   tadā na jāyate cittaṃ hetvabhāve phalaṃ kutaḥ // MandUpK_4.76 //	tadA na jAyate cittam hetu-aBAve Palam kutas // Mandu-upK_4.76 //
   MandUpKC_4.76	Mandu-upKC_4.76
   jātyāśramavihitā aśīrvarjitairanuṣṭhīyamānā dharmā devatvādiprāptihetava	jAtyASrama-vihitAH aSIru-arjitEH-anuzWIyamAnA DarmAH deva-tva-Adi-prApti-hetava
   uttamāḥ kevalāśca dharmāḥ /	uttamAH kevalAH-ca DarmAH /
   adharmavyāmiśrā manuṣyatvādiprāptyarthā madhyamāḥ /	aDarma-vyAmiSrAH manuzya-tva-Adi-prApti-arTAH maDyamAH /
   tiryagādiprāptinimittā adharmalakṣaṇāḥ pravṛttiviśeṣāścādhamāḥ /	tiryak-Adi-prApti-nimittAH aDarma-lakzaNAH pravRtti-viSezAH-ca-aDamAH /
   tānuttamamadhyamādhamānavidyāparikalpitānyadaikamevādvitīyamātmatattvaṃ	tAn-uttama-maDyama-aDamAna-vidyA-parikalpita-anyada-ekam-eva-advitIyam-Atma-tattvam
   sarvakalpanāvarjitaṃ jānanna labhate na paśyati yathā bālairdṛśyamānaṃ	sarva-kalpanA-varjitam jAnan-na laBate na paSyati yaTA bAlEH-dRSyamAnam
   gagane malaṃ vivekī na paśyati tadvattadā na jāyate notpadyate cittaṃ	gagane malam vivekI na paSyati tadvat-tadA na jAyate na-utpadyate cittam
   devādyākārairuttamādhamamadhyamaphalarūpeṇa na hyasati hetau	deva-Adi-AkArEH-uttama-aDama-maDyama-Pala-rUpeNa na hi-asati hetO
   phalamutpadyate bījādyabhāva iva sasyādi //76//	Palam-utpadyate bIja-Adi-aBAvaH iva sasya-Adi //76//
   START MandUpK 4.77	START Mandu-upK 4.77
   hetvabhāve cittaṃ notpadyata iti hyuktam /	hetu-aBAve cittam na-utpadyate iti hi-uktam /
   sa punaranutpattiścittasya kīdṛśītyucyate-	sa punar-anutpattiH-cittasya kIdRSI-iti-ucyate-
   animittasya cittasya yānutpattiḥ samādvayā /	animittasya cittasya yA-an-utpattiH samA-dvayAH /
   ajātasyaiva sarvasya cittadṛśyaṃ hi tadyataḥ // MandUpK_4.77 //	ajAtasya-eva sarvasya citta-dRSyam hi tat-yatas // Mandu-upK_4.77 //
   MandUpKC_4.77	Mandu-upKC_4.77
   paramārthadarśanena nirastadharmādharmākhyotpattinimittasyānimittasya	parama-arTa-darSanena nirasta-Darma-aDarma-AKya-utpatti-nimittasya-animittasya
