   sāṃkhyatattvavivecanam	sAMKya-tattva-vivecanam
   akarttā 'pi puruṣaḥ kartteva vyavahriyate |	akarttA api puruzaH karttA-iva vyavahriyate |
   acoraścoraiḥ saha dhṛtaścora eva |	acoraH-corEH saha DRtaH-coraH eva |
   guṇābhedāt prakṛtiḥ kartrī na puruṣaḥ |	guNa-aBedAt prakRtiH kartrI na puruzaH |
   darśanaśaktimataḥ kriyāśaktirahitasya puruṣasya pradhānena saha saṃyogaḥ	darSana-SaktimataH kriyASakti-rahitasya puruzasya praDAnena saha saMyogaH
   mahadādibhūtaparyantaṃ pradhānaṃ draṣṭum |	mahat-Adi-BUta-paryantam praDAnam drazwum |
   darśanaśaktirahitasya kriyāśaktimataḥ pradhānasyāpi puruṣeṇa saṃyogaḥ	darSana-Sakti-rahitasya kriyASaktimataH praDAnasya-api puruzeNa saMyogaH
   mokṣārthaṃ puruṣasya bhinnatvena vyaktāvyaktapuruṣajñāne jāte pradhānasya	mokza-arTam puruzasya Binna-tvena vyakta-avyakta-puruza-jQAne jAte praDAnasya
   mokṣo bhavati |	mokzaH Bavati |
   nityasukhopalabdhirmokṣa iti cedupalabdherapi	nitya-suKa-upalabDiH-mokzaH iti ced-upalabDeH-api
   nityānityavivekagrastatvādasāram |	nitya-anitya-viveka-grasta-tvAt-asAram |
   na ca nityasukhagocarasyāvidyādiyatkiñcidāvaraṇabhaṅga eva puruṣārtho	na ca nitya-suKa-gocarasya-avidyAt-iyat-kiQcidAvaraNa-BaFgaH eva puruza-arTaH-
   vācyaḥ sukhānubhavasyaiva puruṣārthatvāccaitanyanityatvenāvaraṇasyāpi	vAcyaH suKa-anuBavasya-eva puruza-arTa-tvAt-cEtanya-nitya-tvena-AvaraNasya-api
   asambhavācca |	asamBavAt-ca |
   mokṣe paramānandaśrutismṛtayastu mokṣaśāstraparibhāṣāmātrā |	mokze parama-Ananda-Sruti-smRtayaH-tu mokza-SAstra-pariBAzA-mAtrA |
        duḥkhamevāsti na sukhaṃ yasmāt tadupalabhyate /	duHKam-eva-asti na suKam yasmAt tat-upalaByate /
        duḥkhārttasya pratīkāre sukhasañjñā vidhīyate //	duHKa-Arttasya pratIkAre suKa-saQjQA viDIyate //
        duḥkhaṃ kāmasukhāpekṣā sukhaṃ duḥkhātyayaḥ smṛtaḥ //	duHKam kAma-suKa-apekzA suKam duHKa-atyayaH smRtaH //
   ityādismṛtibhirduḥkhanivṛttireva sukhatvena paribhāṣitā |	ityAdi-smRtiBiH-duHKa-nivRttiH-eva suKa-tvena pariBAzitAH |
   sāṃkhyasūtramapi duḥkhanivṛttirgauṇa iti vimuktipraśaṃsā mandānāmiti ca |	sAMKya-sUtram-api duHKa-nivRttiH-gONaH iti vimukti-praSaMsA mandAnAm-iti ca |
   ānandāvāptistu gauṇamokṣo brahmaloke bhavati iti paścāt kṛtārthayoḥ	Ananda-avAptiH-tu gONa-mokzaH brahma-loke Bavati iti paScAt kRtArTayoH
   pradhānapuruṣayorviyogo bhavati andhapaṅgusaṃyogavat |	praDAna-puruzayoH-viyogaH Bavati anDa-paFgu-saMyoga-vat |
   tathāhi ekaḥ paṅguraparaścāndhaḥ dvāvapyetau duṣṭe pathi gacchantau mahatā	taTA-hi ekaH paFgura-paraH-ca-anDaH dvO=-api-etO duzwe paTi gacCantO mahatA
   sārthena saha daivādbandhubhiḥ parityaktau yathāyogaṃ	sArTena saha dEvAt-banDuBiH parityaktO yaTAyogam
   gamanaśaktidarśanaśaktirahitau darśanārthaṃ gamanārthaṃ ca saṃyuktau	gamana-Sakti-darSana-Sakti-rahitO darSana-arTam gamana-arTam ca saMyuktO
   bhavataḥ |	BavataH |
   tathā cāndhena paṅguḥ skandhamāropitastaddarśitamārgeṇāndho yāti	taTA ca-anDena paFguH skanDam-AropitaH-tad-darSita-mArgeNa-anDaH yAti
   paṅguścāndhaskandhārūḍhaḥ san yāti |	paFguH-ca-anDa-skanDa-ArUXaH san yAti |
   paścāt svasvadeśaprāptyanantaraṃ kṛtārthau santau viyuktau bhavataḥ |	paScAt sva-sva-deSa-prApti-anantaram kRtArTO santO viyuktO BavataH |
   tathā ca pradhānaṃ puruṣasya mokṣaṃ kṛtvā nivarttate |	taTA ca praDAnam puruzasya mokzam kRtvA nivarttate |
   puruṣo na pravarttate nāpi nivarttate |	puruzaH na pravarttate na-api nivarttate |
   draṣṭā bhoktā ca puruṣaḥ |	drazwA BoktA ca puruzaH |
   bhogaścidavasānatā lakṣaṇaḥ |	BogaH-cit-avasAna-tA lakzaNaH |
   na kriyāveśātmā sa ca puruṣaḥ anādyavivekāt saṃsarati |	na kriyA-veSa-AtmA sa ca puruzaH anAdya-vivekAt saMsarati |
   sacchāstraśravaṇena gurvanugraheṇa ca nirvicikitso vivekajñāne jāte	sat-SAstra-SravaNena guru-anugraheNa ca nirvicikitsaH viveka-jQAne jAte
   mucyate |	mucyate |
   prakṛtipuruṣasaṃyogāt saṃsāraḥ sañjāyate |	prakRti-puruza-saMyogAt saMsAraH san-jAyate |
   strīpuruṣasaṃyogādapatyamiva prakṛtermahattatvaṃ jāyate |	strI-puruza-saMyogAt-apatyam-iva prakRteH-mahat-tatvam jAyate |
   mahattatvādahaṅkāro jāyate |	mahat-tatvAt-ahaFkAraH jAyate |
   sa ca trividhaḥ vaikāriko bhūtādistaijasaśca |	sa ca triviDaH vEkArikaH BUtAdiH-tEjasaH-ca |
   yo hi vaikarikaḥ sa eva sāttvikaḥ yo bhūtādiḥ sa eva tāmasaḥ |	yaH hi vEkarikaH saH eva sAttvikaH yaH BUtAdiH saH eva tAmasaH |
   yo hi taijasaḥ sa eva rājasaḥ tatra vaikārikādahaṅkārādekādaśendriyāṇi	yaH hi tEjasaH saH eva rAjasaH tatra vEkArikAt-ahaFkArAt-ekAdaSa-indriyANi
   tadabhimāninyo devatāśca jāyante |	tad-aBimAninyaH devatAH-ca jAyante |
   bhūtādeścāhaṃkārāt tanmātrāṇi jāyante	BUtAdeH-ca-ahaMkArAt tanmAtrANi jAyante
   taijasādahaṃkārādekādaśendriyagaṇastanmātrapañcakaṃ ca jāyate |	tEjasAt-ahaMkArAt-ekAdaSa-indriya-gaNaH-tanmAtra-paQcakam ca jAyate |
   etadgaṇadvayasya yathāsaṃkhyaṃ vaikārikādbhūtādeścāhaṃkārājjātatvāt kathaṃ	etad-gaNa-dvayasya yaTAsaMKyam vEkArikAt-BUtAdeH-ca-ahaMkArAt-jAta-tvAt kaTam
   punarutpattirucyata iti cecchṛṇu |	punar-utpattiH-ucyate iti ced-SRNu |
   yadā rajastamasī abhibhūya sattvaguṇa utkaṭo vaikarikasañjñāṃ labhamāno	yadA rajaH-tamasI aBiBUya sattva-guNaH utkawaH vEkarika-saQjQAm laBamAnaH-
   'haṃkāro 'pravṛttidharmā taijasāhaṃkāraṃ sahāyīkṛtya	ahaMkAraH apravRtti-DarmA tEjasa-ahaMkAram sahAyIkRtya
   pravṛttidharmāṇyekādaśendriyāṇi janayati tadā tāni	pravRtti-DarmANi-ekAdaSa-indriyANi janayati tadA tAni
   svasāhāyyacchalamadhigamya taijasasvarūpeṇāpi kṛtānītyucyate |	sva-sAhAyyacCalam-aDigamya tEjasa-svarUpeNa-api kRtAni-iti-ucyate |
   yadā ca sattvarajasī abhibhūya tamoguṇotkaṭo bhūtādistaijasāhaṃkārasya	yadA ca sattva-rajasI aBiBUya tamaH-guNa-utkawaH BUta-AdiH-tEjasa-ahaMkArasya
   rūpaṃ sahāyīkṛtya tanmātrapañcakaṃ pravṛttidharmakaṃ karoti tadā	rUpam sahAyIkRtya tanmAtra-paQcakam pravRtti-Darmakam karoti tadA
   tattanmātrapañcakaṃ svasāhāyyenaiva taijasenāpi kṛtamityucyate tasmāt	tad-tanmAtra-paQcakam sva-sAhAyyena-eva tEjasena-api kRtam-iti-ucyate tasmAt-
   pravṛttidharmakāt tattanmātrapañcakād bhūtapañcakamutpadyate |	pravRtti-DarmakAt tad-tanmAtra-paQcakAt BUtapaQcakam-utpadyate |
   eṣa pariṇāmakramaḥ |	eza pariNAma-kramaH |
   vaikārikādekādaśendriyāṇi bhūtādestanmātrapañcakamiti ||	vEkArikAt-ekAdaSa-indriyANi BUtAdeH-tanmAtra-paQcakam-iti ||
   ayamarthaḥ |	ayam-arTaH |
   vaikārikasya bhūtādeśca svasvapravṛttidharmakakāryadvayasya yathāsaṃkhyaṃ	vEkArikasya BUtAdeH-ca sva-sva-pravRtti-Darmaka-kArya-dvayasya yaTAsaMKyam
   janane taijasāhaṃkārasya sāhāyyam |	janane tEjasa-ahaMkArasya sAhAyyam |
   taijasāhaṃkārasya sāhāyyakaraṇādeva etadgaṇadvayalakṣaṇakakāryasya	tEjasa-ahaMkArasya sAhAyya-karaNAt-eva etad-gaNa-dvaya-lakzaNaka-kAryasya
   pravṛttidharmakatvam |	pravRtti-Darmaka-tvam |
   buddhijanakānīndriyāṇi buddhīndriyāṇi tāni	budDi-jana-kAni-indriyANi budDIndriyANi tAni
   cakṣuḥśrotraghrāṇarasanatvagindriyāṇi |	cakzuH-Srotra-GrANa-rasana-tvac-indriyANi |
   teṣāṃ ca viṣayāḥ rūpaśabdagandharasasparśāḥ |	tezAm ca vizayAH rUpa-Sabda-ganDa-rasa-sparSAH |
   karma kurvantīti karmendriyāṇi tāni ca vākpāṇipādapāyūpasthāni |	karma kurvanti-iti karmendriyANi tAni ca vAc-pANi-pAda-pAyu-upasTAni |
   teṣāṃ ca viṣayāḥ vāgvadanādānagamanotsargānandāḥ |	tezAm ca vizayAH vAc-vadana-AdAna-gamana-utsarga-AnandAH |
   mano buddhīndriyaṃ karmendriyaṃ ca yato buddhīndriyāṇāṃ vṛttiṃ	manaH budDIndriyam karmendriyam ca yatas budDIndriyANAm vRttim
   saṃkalpayati karmendriyāṇāṃ ca ata ubhayātmakaṃ manaḥ |	saMkalpayati karmendriyANAm ca atas uBaya-Atmakam manaH |
   mano 'pi vibhu dharmādharmavāsanāśrayataḥ pratipuruṣamantaḥkaraṇaṃ	manaH api viBu Darma-aDarma-vAsanA-ASrayataH prati-puruzam-antaHkaraNam
   nityamākāśavat |	nityam-AkASa-vat |
   na ca prakṛtidharmā eva santvadṛṣṭādaya iti vācyam	na ca prakRti-DarmAH eva santu-adRzwa-AdayaH iti vAcyam
   anyaniṣṭhādṛṣṭādibhiranyatra sukhaduḥkhādyutpāde 'tiprasaṅgāt |	anya-nizWA-dRzwa-AdiBiH-anyatra suKa-duHKa-Adi-utpAde ati-prasaFgAt |
   tacca nāṇu saṃbhavati yogināṃ sarvāvacchedena ekadā	tat-ca na-aNu saMBavati yoginAm sarva-avacCedena ekadA
   'khilasākṣātkārāsambhavāt |	aKila-sAkzAtkAra-asamBavAt |
   na ca yogināṃ yogajadharma eva pratyāsattiḥ syāt	na ca yoginAm yoga-ja-DarmaH eva pratyAsattiH syAt-
   saṃyogasaṃyuktasamavāyādilaukikapratyāsattyaivopapattau	saMyoga-saMyukta-samavAya-Adi-lOkika-pratyAsattyA-eva-upapattO
   sannikarṣāntarakalpane mānābhāvāt gauravācca anyonyavyabhicārācca |	sannikarza-antara-kalpane mAna-aBAvAt gOravAt-ca anyonya-vyaBicArAt-ca |
   sākṣātkāreṣvavāntarajātikalpane jātisāṅkaryāt atigauravācca |	sAkzAtkArezu-avAntara-jAti-kalpane jAti-sAFkaryAt ati-gOravAt-ca |
   yogimate sarvārthagrahaṇasamarthasyāntaḥkaraṇasya tamaākhyāvaraṇabhaṅga	yogimate sarva-arTa-grahaNa-samarTasya-antaHkaraNasya tamaAKya-AvaraNa-BaFga
   eva yogajadharmādibhiḥ kriyate suṣuptau tamaso	eva yoga-ja-Darma-AdiBiH kriyate suzuptO tamasaH-
   vṛttipratibandhakatvasiddheriti nāpyantaḥkaraṇaṃ madhyamaparimāṇamātraṃ	vRtti-pratibanDaka-tva-sidDeH-iti na-api-antaHkaraNam maDyama-parimANa-mAtram
   sambhavati pralaye vināśenādṛṣṭādyādhāratānupapatteḥ ataḥ pariśeṣato	samBavati pralaye vinASena-adRzwa-Adi-a-ADAra-ta-anupapatteH atas pariSezataH-
   'ntaḥkaraṇaṃ vibhveva sidyati taduktam |	antaHkaraNam viBvA-iva sidyati tat-uktam |
        cittākāśaṃ cidākāśamākāśaṃ ca tṛtīyakam /	citta-AkASam cit-AkASam-AkASam ca tRtIyakam /
        dvābhyāṃ śūnyatamaṃ viddhi cidākāśaṃ varānane //	dvAByAm SUnyatamam vidDi cit-AkASam varAnane //
   syādetat |	syAt-etat |
   antaḥkaraṇasya vibhutve paricchinnavṛttilābhasyāvaraṇenopapattāvapi	antaHkaraNasya viBu-tve paricCinna-vRtti-lABasya-AvaraNena-upapattO=-api
   lokāntaragamanādikaṃ nopapadyate |	loka-antara-gamana-Adikam na-upapadyate |
   ata eva sāṃkhyasūtram "na vyāpakaṃ manaḥ karaṇatvā"diti |	atas eva sAMKya-sUtram "na vyApakam manaH karaNa-tvA"t-iti |
   tadgatiśruteriti veti kiṃ caivaṃ sati lāghavāt	tad-gati-SruteH-iti vA-iti kim ca-evam sati lAGavAt-
   caitanyasyaivāvaraṇakalpanamucitaṃ kimarthaṃ vibhvantaḥkaraṇaṃ	cEtanyasya-eva-AvaraNa-kalpanam-ucitam kim-arTam viBvantaH-karaNam
   parikalpyate tatra jñānapratibandhakamāvaraṇaṃ kalpyate ||	parikalpyate tatra jQAna-pratibanDakam-AvaraNam kalpyate ||
   atrocyate |	atra-ucyate |
   gatiśrutistāvat ātmanīvāntaḥkaraṇe 'pi prāṇendriyādyupādhinopapadyate	gati-SrutiH-tAvat Atmani-iva-antaHkaraNe api prANa-indriya-Adi-upADinA-upapadyate
   kāryakāraṇarūpeṇāntaḥkaraṇadvaitāt |	kArya-kAraNa-rUpeNa-antaHkaraNa-dvEtAt |
   kāryāntaḥkaraṇasya svato 'pi gatirupapadyate	kArya-antaHkaraNasya svatas api gatiH-upapadyate
   kāryakāraṇarūpeṇāntaḥkaraṇadvaitaṃ ca sāṃkhyairapyeṣṭavyam kevalakāryatve	kArya-kAraNa-rUpeNa-antaHkaraNa-dvEtam ca sAMKyEH-api-ezwavyam kevala-kArya-tve
   'ntaḥkaraṇadharmatvaṃ dharmādīnāmiti sāṃkhyasūtrānupapatteḥ |	antaHkaraNa-Darma-tvam Darma-AdInAm-iti sAMKya-sUtra-anupapatteH |
   kevalanityatve ca mahadādyutpattisūtrānupapatteḥ yattūktaṃ	kevala-nitya-tve ca mahat-Adi-utpatti-sUtra-anupapatteH yat-tu-uktam
   caitanyasyaivāvaraṇakalpanaṃ yuktamiti tadayuktam |	cEtanyasya-eva-AvaraNa-kalpanam yuktam-iti tat-ayuktam |
   kūṭasthacaitanyasya jñānapratibandharūpāvaraṇāsambhavāt |	kUwasTa-cEtanyasya jQAna-pratibanDa-rUpa-AvaraNa-asamBavAt |
   na ca caitanyasyārthasambandha eva pratibimbādirūpe pratibandhakaṃ	na ca cEtanyasya-arTa-sambanDaH eva pratibimba-Adi-rUpe pratibanDakam
   kalpanīyamiti vācyam evamapyātmadarśanānupapatteḥ karaṇadvāraṃ vinā	kalpanIyam-iti vAcyam evam-api-Atma-darSana-anupapatteH karaNa-dvAram vinA
   svasmin pratibimbādirūpeṇa svasvasambandhāsambhavāt |	svasmin pratibimba-Adi-rUpeNa sva-sva-sambanDa-asamBavAt |
   api ca icchākṛtyādyādhāratayā 'ntaḥkaraṇe siddhe	api ca icCA-AkRtya-Adi-a-ADAra-tayA antaHkaraNe sidDe
   svapnādāvantardṛśyamānaghaṭādayo 'pi tasyaiva pariṇāmāḥ kalpyante	svapna-AdO=-antar-dRSyamAna-Gawa-AdayaH api tasya-eva pariNAmAH kalpyante
   kāryakāraṇayoḥ sāmānādhikaraṇyaucityāt |	kArya-kAraNayoH sAmAnADikaraNya-OcityAt |
   evaṃ ca ghaṭādyākārapariṇatāścaitanye bhāsante tadavibhāgenaiva	evam ca Gawa-Adi-AkAra-pariNatAH-cEtanye BAsante tad-aviBAgena-eva
   bāhyaghaṭādikaṃ bhāsate 'tastādṛśapariṇāmapratibandhakamevāvaraṇaṃ	bAhya-Gawa-Adikam BAsate atas-tAdRSa-pariNAma-pratibanDakam-eva-AvaraNam
   tatraiva yuktaṃ kiñca bāhyakaraṇasyāvaraṇadarśanenāntarāvaraṇasyāpi	tatra-eva yuktam kiQca bAhya-karaNasya-AvaraNa-darSanena-antarAvaraNasya-api
   karaṇaniṣṭhatvaṃ cānumīyate ātmano 'nāvṛtatvaṃ śrutismṛtibhyāṃ ceti |	karaNa-nizWa-tvam ca-anumIyate AtmanaH anAvRta-tvam Sruti-smRtiByAm ca-iti |
   nanvantaḥkaraṇasya vibhutve sati kathaṃ kāryatvaṃ syāditi cenna vibhvyā	nanu-antaHkaraNasya viBu-tve sati kaTam kArya-tvam syAt-iti ced-na viBvyA
   api ākaśaprakṛteḥ kāryākāśarūpaparicchinnapariṇāmavad	api AkaSa-prakRteH kArya-AkASa-rUpa-paricCinna-pariNAma-vat-
   guṇāntarasambhedenāntaḥkaraṇaprakṛterapi	guNa-antara-samBedena-antaHkaraNa-prakRteH-api
   paricchinnāntaḥkaraṇarūpapariṇāmopapattiḥ śrutismṛtiprāmāṇyāccaitadiṣyata	paricCinna-antaHkaraNa-rUpa-pariNAma-upapattiH Sruti-smRti-prAmANyAt-ca-etat-izyata
   iti dik ||	iti diS ||
   manasaḥ saṅkalpo viṣayaḥ |	manasaH saFkalpaH vizayaH |
   etānyekādaśa vaikṛtāhaṃkārājjātāni ityavādi smaiva	etAni-ekAdaSa vEkRta-ahaMkArAt-jAtAni iti-avAdi sma-eva
   buddhipratibimbitamarthaṃ puruṣa upalabhate |	budDi-pratibimbitam-arTam puruzaH upalaBate |
   taduktaṃ buddhisthamarthaṃ puruṣaścetayate |	tat-uktam budDi-sTam-arTam puruzaH-cetayate |
   ahaṃ dharmaṃ kariṣyāmītyadhyavasāyo buddherlakṣaṇam |	aham Darmam karizyAmi-iti-aDyavasAyaH budDeH-lakzaNam |
   dharmo jñānaṃ virāgaḥ aiśvaryametat sāttvikabuddheḥ |	DarmaH jQAnam virAgaH ESvaryam-etat sAttvika-budDeH |
   tadviparītamavirāgādi tāmasam ||	tad-viparItam-avirAga-Adi tAmasam ||
   pañcaviṃśatitattvaireva jagadvyāptaṃ na nyūnairnādhikaiśca	paQcaviMSati-tattvEH-eva jagat-vyAptam na nyUnEH-na-aDikEH-ca
   vatsavivṛddhinimittaṃ kṣīrasyeva ajñasyāpi pradhānasya puruṣamokṣārthaṃ	vatsa-vivRdDi-nimittam kzIrasya-iva ajQasya-api praDAnasya puruza-mokza-arTam
   pravṛttirucitaiva |	pravRttiH-ucitA-eva |
   liṅgaśarīraṃ tu	liFga-SarIram tu
   buddhyahaṃkāramanobuddhīndriyakarmendriyapañcatanmātrāṇāmaṣṭādaśānāṃ	budDi-ahaMkAra-manaH-budDi-indriya-karmendriya-paQca-tanmAtrANAm-azwAdaSAnAm
   samudāyaḥ trayoviṃśatitattvamadhye pañcabhūtāni varjayitvā ahaṃkāraṃ ca	samudAyaH trayoviMSati-tattva-maDye paQcaBUtAni varjayitvA ahaMkAram ca
   buddhau praveśya saptadaśakaṃ liṅgaśarīrasañjñaṃ bhavati	budDO praveSya saptadaSakam liFga-SarIra-saQjQam Bavati
   vahnerindhanavadātmano 'bhivyaktisthānavāt |	vahneH-inDana-vat-AtmanaH aBivyakti-sTAnavAt |
   tacca sarvapuruṣāṇāṃ sargādāvutpadya prākṛtapralayaparyantaṃ tiṣṭhati tena	tat-ca sarva-puruzANAm sarga-AdO=-utpadya prAkRta-pralaya-paryantam tizWati tena
   caiveha lokaparalokayoḥ saṃsaraṇaṃ jīvānāṃ bhavati |	ca-eva-iha loka-para-lokayoH saMsaraNam jIvAnAm Bavati |
   prāṇaśca buddhereva vṛttibheda ityato na liṅgaśarīrāt pṛthaṅ nirdiśyate	prANaH-ca budDeH-eva vRtti-BedaH iti-atas na liFga-SarIrAt pRTak nirdiSyate
   tasya ca liṅgaśarīrasya sūkṣmāṇi pañca bhūtāni āśrayaścitrādivadāśrayaṃ	tasya ca liFga-SarIrasya sUkzmANi paQca BUtAni ASrayaH-citra-Adi-vat-ASrayam
   vinā paramasūkṣmasya lokāntaragamanāsambhavāt ||	vinA parama-sUkzmasya loka-antara-gamana-asamBavAt ||
   idaṃ ca liṅgaśarīramādau svayaṃbhuva upādhibhūtamekameva jāyate tasyaiva	idam ca liFga-SarIram-AdO svayaMBuvaH upADiBUtam-ekam-eva jAyate tasya-eva
   virāḍākhyavakṣyamāṇasthūlaśarīravat tataśca vyaṣṭijīvānāmupādhibhūtāni	virAj-a-AKya-vakzyamANa-sTUla-SarIra-vat tatas-ca vyazwi-jIvAnAm-upADi-BUtAni
   vyaṣṭiliṅgaśarīrāṇi tadaṃśabhūtāni tato vibhajyante |	vyazwi-liFga-SarIrANi tad-aMSa-BUtAni tatas viBajyante |
   piturliṅgaśarīrāt puttraliṅgaśarīravat |	pituH-liFga-SarIrAt puttra-liFga-SarIra-vat |
   taduktaṃ sūtrakāreṇa |	tat-uktam sUtrakAreNa |
   vyaktibhedaḥ karmaviśeṣāditi manunāpyuktam |	vyakti-BedaH karma-viSezAt-iti manunA-api-uktam |
        teṣāṃ tvavayavān sūkṣmān ṣaṇṇāmapyamitaujasām /	tezAm tu-avayavAn sUkzmAn zaNNAm-api-amita-ojasAm /
        sanniveśyātmamātrāsu sarvabhūtāni nirmame // iti /	sanniveSya-Atma-mAtrAsu sarva-BUtAni nirmame // iti /
   ṣaṇṇāmiti ṣaḍindriyaṃ samastaliṅgaśarīropalakṣakam tathā ca svayambhūḥ	zaNNAm-iti zaz-indriyam samasta-liFga-SarIra-upalakzakam taTA ca svayamBUH
   svaliṅgaśarīrāvayavān sūkṣmānalpān ātmamātrāsu svāṃśacetaneṣu saṃyojya	sva-liFga-SarIra-avayavAn sUkzmAn-alpAn Atma-mAtrAsu sva-aMSa-cetanezu saMyojya
   sarvaprāṇinaḥ sasarjjetyartha iti liṅgaśarīram |	sarva-prANinaH sasarjjA-iti-arTaH iti liFga-SarIram |
   sthūlaśarīrotpattistu daśaguṇitamahattattvamadhye 'haṃkārastasyāpi	sTUlaSarIra-utpattiH-tu daSa-guNita-mahat-tattva-maDye ahaMkAraH-tasya-api
   daśaguṇitasya madhye vyomno 'pi daśaguṇitasya madhye vāyurvāyorapi	daSa-guNitasya maDye vyomnaH api daSa-guNitasya maDye vAyuH-vAyoH-api
   daśaguṇitasya madhye tejastejaso 'pi daśaguṇitasya madhye jalaṃ jalasyāpi	daSa-guNitasya maDye tejaH-tejasaH api daSa-guNitasya maDye jalam jalasya-api
   daśaguṇitasya madhye pṛthivī samutpadyate saiva ca sthūlaśarīrasya bījaṃ	daSa-guNitasya maDye pRTivI samutpadyate sA-eva ca sTUla-SarIrasya bIjam
   tadeva ca pṛthivīrūpaṃ bījamaṇḍarūpeṇa pariṇamate tasyāpi	tat-eva ca pRTivI-rUpam bIjamaNxa-rUpeNa pariNamate tasya-api
   daśaguṇitāṇḍarūpasya pṛthivyāvaraṇasya madhye caturdaśabhuvanātmakaṃ	daSa-guNita-aNxa-rUpasya pRTivI-AvaraNasya maDye caturdaSa-Buvana-Atmakam
   svayambhuvaḥ sthūlaśarīraṃ tatsaṃkalpādevotpadyate tenaiva śarīreṇa	svayamBuvaH sTUlaSarIram tad-saMkalpAt-eva-utpadyate tena-eva SarIreNa
   svayambhūrnārāyaṇa ityucyate |	svayamBUH-nArAyaNaH iti-ucyate |
   taduktaṃ manunā svayambhuvaṃ prakṛtya |	tat-uktam manunA svayamBuvam prakRtyaH |
        so 'bhidhyāya śarīrāt svāt sisṛkṣurvividhāḥ prajāḥ /	saH aBiDyAya SarIrAt svAt sisRkzuH-viviDAH prajAH /
        apa eva sasarjādau tāsu vīryamavāsṛjat //	apaH eva sasarja-AdO tAsu vIryam-avAsRjat //
        tadaṇḍamabhavaddhaimaṃ sahasrāṃśusamaprabham /	tat-aNxam-aBavat-hEmam sahasrAMSu-sama-praBam /
        tasmin yajñe svayaṃ brahmā sarvalokapitāmahaḥ //	tasmin yajQe svayam brahmA sarva-loka-pitAmahaH //
        sa vai śarīrī prathamaḥ sa vai puruṣa ucyate /	sa vE SarIrI praTamaH sa vE puruzaH ucyate /
        ādikarttā sa bhūtānāṃ brahmāgre samavarttata //	AdikarttA sa BUtAnAm brahma-agre samavarttata //
        āpo nārā iti proktā āpo vai narasūnavaḥ /	ApaH nArAH iti proktAH ApaH vE nara-sUnavaH /
        tā yadasyāyanaṃ pūrvaṃ tena nārāyaṇaḥ smṛtaḥ // ityādineti /	tAH yat-asya-ayanam pUrvam tena nArAyaNaH smRtaH // ityAdinA-iti /
   tata eva cādipuruṣāt vyaṣṭipuruṣāṇāṃ vibhāgādante ca tatraiva layāt sa eva	tatas eva ca-Adi-puruzAt vyazwi-puruzANAm viBAgAt-ante ca tatra-eva layAt saH eva
   caika ātmeti śrutismṛtyorvyavahriyate ato na vyavahāraparatayā nārāyaṇa	ca-ekaH AtmA-iti Sruti-smRtyoH-vyavahriyate atas na vyavahAra-para-tayA nArAyaNa
   eva sarvabhūtānāmātmetyādiśrutismṛtivirodha iti |	eva sarva-BUtAnAm-AtmA-ityAdi-Sruti-smRti-viroDaH iti |
   tataśca sa nārāyaṇo virāṭśarīrī svanābhikamalakarṇikāsthānīyasya	tatas-ca sa nArAyaNaH virAj-SarIrI sva-nABi-kamala-karNikA-sTAnIyasya
   sumerorupari caturmukhākhyaṃ svayaṃbhuvaṃ sṛṣṭvā taddvārānyānapi	sumeroH-upari caturmuKa-AKyam svayaMBuvam sRzwvA tad-dvAra-anyAn-api
   vyaṣṭiśarīriṇaḥ sthāvarāntān sasarja taduktam -	vyazwi-SarIriNaH sTAvara-antAn sasarja tat-uktam -
        taccharīrasamutpannaiḥ kāryaistaiḥ kāraṇaiḥ saha /	tad-SarIra-samutpannEH kAryEH-tEH kAraNEH saha /
        kṣetrajñāḥ samajāyanta gātrebhyastasya dhīmataḥ // iti /	kzetrajQAH samajAyanta gAtreByaH-tasya DImataH // iti /
   yattu śeṣaśāyino nārāyaṇasya	yat-tu Seza-SAyinaH nArAyaNasya
   nābhikamalaśrotracakṣurādibhyaścaturmukhasyāvirbhāvaḥ śrūyate	nABi-kamala-Srotra-cakzuH-AdiByaH-caturmuKasya-AvirBAvaH SrUyate
   taddainyandinasargeṣveva kalpabhedena mantavyam |	tat-dEnyandina-sargezu-eva kalpa-Bedena mantavyam |
   dainandinapralayeṣveva hi nārāyaṇaśarīre praviśyaikībhūya suptānāṃ devānāṃ	dEnandina-pralayezu-eva hi nArAyaNa-SarIre praviSya-ekIBUya suptAnAm devAnAm
   caturmukhādikrameṇāvirbhāvaḥ śeṣaśāyinaḥ sakāśāt ghaṭate na tvādisargeṣu	caturmuKa-Adi-krameNa-AvirBAvaH Seza-SAyinaH sakASAt Gawate na tu-Adisargezu
   dainandinapralaya eva līlāvigraheṇa śayanāditi ||	dEnandina-pralayaH eva lIlA-vigraheNa SayanAt-iti ||
   tadevaṃ saṃkṣepataścaturviṃśatitattvāni teṣāṃ sṛṣṭikṣayaṃ prayojanaṃ	tat-evam saMkzepataH-caturviMSati-tattvAni tezAm sRzwi-kzayam prayojanam
   coktam |	ca-uktam |
   tatra yadyasmājjāyate tasya tadā '; 'pūraṇenaiva sthitiḥ tatastasya	tatra yat-yasmAt-jAyate tasya tadA a; apUraNena-eva sTitiH tatas-tasya
   saṃhāro 'pi tatraiva bhavati |	saMhAraH api tatra-eva Bavati |
   tathā ca bhārate |	taTA ca BArate |
