   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   nanu nīla-pītādy-ākāraṃ kṣaṇikam eva jñānaṃ dṛṣṭam, tat punar advayaṃ	nanu nIla-pIta-Adi--a-AkAram kzaNikam eva jQAnam dRzwam, tat punar advayam
   nityaṃ jñānaṃ kathaṃ lakṣyate yan-niṣṭham idaṃ śāstram | ity atrāha sarva-	nityam jQAnam kaTam lakzyate yan-nizWam idam SAstram | iti atra-Aha sarva-
   vedānta-sāraṃ yad brahmātvekatva-lakṣaṇam | vastv advitīyaṃ tan-niṣṭham	vedAnta-sAram yat brahmAtu-eka-tva--lakzaNam | vastu advitIyam tan--nizWam
   iti (BhP 12.13.12) satyaṃ jñānam anantaṃ brahma iti yasya svarūpam uktam,	iti (Bhj 12.13.12) satyam jQAnam anantam brahma iti yasya sva-rUpam uktam,
   yenāśrutaṃ śrutaṃ bhavati (Chā 6.1.3) iti yad-vijñānena sarva-vijñānaṃ	yena-aSrutam Srutam Bavati (ChA 6.1.3) iti yat--vijQAnena sarva-vijQAnam
   pratijñātam | sad eva saumyedam agra āsīt (Chā U 6.2.1) ity ādinā nikhila-	pratijQAtam | sat eva sOmya-idam agre AsIt (ChA U 6.2.1) iti AdinA niKila-
   jagad-eka-kāraṇatā | tad aikṣata bahu syām (ChāU 6.2.3) ity anena satya-	jagat--eka--kAraNa-tA | tat Ekzata bahu syAm (ShAU 6.2.3) iti anena satya-
   saṅkalpatā ca yasya pratipāditā, tena brahmaṇā svarūpa-śaktibhyāṃ sarva-	saFkalpa-tA ca yasya pratipAditA, tena brahmaNA svarUpa--SaktiByAm sarva-
   bṛhattamena sārdham | anena jīvenātmanā (Chā U 6.3.2) iti	bRhattamena sArDam | anena jIvena-AtmanA (ChA U 6.3.2) iti
   tadīyoktāvidantānirdeśena tato bhinnatve'py ātmatānirdeśena tad-ātmāṃśa-	tadIya-uktA-vidantA-nirdeSena tatas Binna-tve-api Atma-tA-nirdeSena tat--Atma-aMSa-
   viśeṣatvena labdhasya bādarāyaṇa-samādhi-dṛṣṭa-yukter atyabhinnatā-	viSeza-tvena labDasya bAdarAyaNa--samADi-dRzwa--yukteH ati-aBinna-tA-
   rahitasya jīvātmano yad ekatvaṃ tattvam asi (ChāU 6.8.7) ity ādau jātyā	rahitasya jIva-AtmanaH yat eka-tvam tattvam asi (ShAU 6.8.7) iti AdO jAtyA
   tad-	tat--
   aṃśa-bhūta-cid-rūpatvena samānākāratā | tad eva lakṣaṇaṃ prathamato jñāne	aMSa--BUta-cit--rUpatvena samAna-AkAra-tA | tat eva lakzaNam praTamatas jQAne
   sādhakatamaṃ yasya tathābhūtaṃ yat sarva-vedānta-sāram advitīyaṃ vastu	sADakatamam yasya taTABUtam yat sarva--vedAnta--sAram advitIyam vastu
   tan-	tan-
   niṣṭhaṃ tad-eka-viṣayam idaṃ śrī-bhāgavatam iti prāktana-	nizWam tat--eka--vizayam idam SrI--BAgavatam iti prAktana-
   padyasthenānuṣaṅgaḥ | yathā janma-prabhṛti kaścid gṛha-guhāvaruddhaḥ	padya-sTena-anuzaFgaH | yaTA janma--praBRti kaScid gRha-guhA-avarudDaH
   sūryaṃ vividiṣuḥ kathaṅcid gavākṣa-patitaṃ sūryāṃśu-kaṇaṃ darśayitvā	sUryam vividizuH kaTaFcid gavAkza-patitam sUrya-aMSu--kaNam darSayitvA
   kenacid upadiśyate eṣa sa iti | etat tad-aṃśa-jyotiḥ-samānākāratayā	kenacid upadiSyate eza saH iti | etat tad--aMSa--jyotiH--samAna-AkAra-tayA
   tan-mahā-	tan--mahA-
   jyotir-maṇḍalam anusandhīyatām ity arthas tadvat | jīvasya tathā tad-	jyotiH--maNxalam anusanDIyatAm iti arTaH tadvat | jIvasya taTA tat--
   aṃśatvaṃ ca tac-chakti-viśeṣa-siddhatvenaiva paramātma-sandarbhe	aMSa-tvam ca tac-Sakti-viSeza--sidDatvena-eva paramAtma-sandarBe
   sthāpayiṣyāmaḥ | tad etaj-jīvādi-lakṣaṇāṃśa-viśiṣṭatayaivopaniṣadas tasya	sTApayizyAmaH | tat etaj-jIva-Adi--lakzaNa-aMSa--viSizwa-tayA-eva-upanizadaH tasya
   sāṃśatvam api kvacid upadiśanti | niraṃśatvopadeśikā śrutis tu kevala-tan-	sa-aMSa-tvam api kvacid upadiSanti | niraMSa-tva-upadeSikA SrutiH tu kevala-tan-
   niṣṭhā | atra kaivalyaika-prayojanam iti caturtha-pādaś ca	nizWA | atra kEvalya-eka--prayojanam iti caturTa-pAdaH ca
   kaivalya-padasya	kEvalya--padasya
   śuddhatva-mātra-vacanatvena śuddhatvasya ca śuddha-bhaktitvena	SudDa-tva--mAtra--vacana-tvena SudDa-tvasya ca SudDa--Bakti-tvena
   paryavasānena prīti-sandarbhe vyākhyāsyate ||12|13|| śrī-sūtaḥ ||52||	paryavasA-anena prIti-sandarBe vyAKyAsyate ||12|13|| SrI--sUtaH ||52||
   BD: ārthikaṃ nityatvaṃ sthiraṃ kurvan, śāstrasya viśiṣṭa-brahma-	BD: ArTikam nitya-tvam sTiram kurvan, SAstrasya viSizwa-brahma-
   sambandhitvam āha - nanu nīlety ādinā | anena jīvenety ādi | tadīyoktau	sambanDi-tvam Aha  nanu nIla-iti AdinA | anena jIvena-iti Adi | tadIya-uktO
   paradevatā-vākye | tad-ātmāṃśa-viśeṣatvena tad-vibhinnāṃśatvena, na tu	para-devatA--vAkye | tad--Atma-aMSa--viSeza-tvena tad--viBinna-aMSa-tvena, na tu
   matsyādivat svāṃśatvenety arthaḥ | jīvātmano yad ekatvam iti jīvasya cid-	matsya-Adi-vat sva-aMSa-tvena-iti arTaH | jIvAtmanaH yat ekatvam iti jIvasya cit--
   rūpatvena jātyā yad-brahma-samānākāratvaṃ tad eva tasya brahmaṇā	rUpa-tvena jAtyA yat--brahma--samAna-AkAra-tvam tat eva tasya brahmaNA
   sahaikyam iti vyakti-bhedaḥ prasphuṭaḥ | evam eva yathetyādi-dṛṣṭāntenāpi	saha-Ekyam iti vyakti-BedaH prasPuwaH | evam eva yaTA-ityAdi-dRzwAntena-api
   darśitaḥ | tad etad iti upaniṣadaḥ so'kāmayata bahu syām ity ādyāḥ |	darSitaH | tat etat iti upanizadaH saH-akAmayata bahu syAm iti AdyAH |
   niraṃśatvopadeśiketi satyaṃ jñānam anantam (TaittU 2.1), niṣkalaṃ niṣriyaṃ	niraMSa-tva-upadeSikA-iti satyam jQAnam anantam (TEttU 2.1), nizkalam nizriyam
   śāntaṃ niravadyaṃ nirañjanam (ŚvetU 6.19) ity ādyā śrutis tu kevala-tan-	SAntam niravadyam niraQjanam (ŚvetU 6.19) iti AdyA SrutiH tu kevala-tan-
   niṣṭhā viśeṣyamātra-parety arthaḥ | anabhivyakta-saṃsthāna-guṇakaṃ brahma	nizWA viSezya-mAtra--para-iti arTaH | anaBivyakta-saMsTAna-guNakam brahma
   vadatīti yāvat ||52||	vadati-iti yAvat ||52||
   tatra yadi tvam-padārthaysa jīvātmano jñānatvaṃ nityatvaṃ ca prathamato	tatra yadi tvam--padArTaysa jIva-AtmanaH jQAna-tvam nitya-tvam ca praTamatas-
   vicāra-gocaraḥ syāt tadaiva tat-padārthasya tādṛśatvaṃ subodhaṃ syād iti |	vicAra-gocaraH syAt tadA-eva tat-padArTasya tAdRSa-tvam su-boDam syAt iti |
   tad	tat-
   bodhayitum anyārthaś ca parāmarśaḥ (Vs. 1.3.20) iti nyāyena jīvātmanas	boDayitum anya-arTaH ca parAmarSaH (Vs. 1.3.20) iti nyAyena jIva-Atmanas
   tad-	tat--
   rūpatvam āha |	rUpa-tvam Aha |
   nātmā jajāna na mariṣyati naidhate'sau	na-AtmA jajAna na marizyati na-eDate-asO
   na kṣīyate savanavid-vyabhicāriṇāṃ hi |	na kzIyate savana-vid-vI-aBicAriNAm hi |
   sarvatra śaśvad anapāyy upalabdhi-mātraṃ	sarvatra SaSvat anapAyI upalabDi--mAtram
   prāṇo yathendriya-balena vikalpitaṃ sat || (BhP 11.3.38)	prANaH yaTA-indriya-balena vikalpitam sat || (Bhj 11.3.38)
   ātmā śuddho jīvaḥ | na jajāna na jātaḥ | janmābhāvād eva	AtmA SudDaH jIvaH | na jajAna na jAtaH | janma-aBAvAt eva
   tad-anantarāstitā-	tat--anantara-astitA-
   lakṣaṇo vikāro'pi nāsti | naidhate na vardhate | vṛddhy-abhāvād eva	lakzaNaH vikAraH-api na-asti | na-eDate na varDate | vRdDi--aBAvAt eva
   vipariṇāmo'pi nirastaḥ | hi yasmāt | vyabhicāriṇām āgamāpāyināṃ bāla-	vipariNAmaH-api nirastaH | hi yasmAt | vyaBicAriNAm Agama-apAyinAm bAla-
   yuvādi-dehānāṃ deva-manuṣyādy-ākāra-dehānāṃ vā | savanavit tat-tat-kāla-	yuvAdi-dehAnAm deva--manuzya-Adi--a-AkAra--dehAnAm vA | savana-vid tat-tat-kAla-
   draṣṭā | nahy avasthāvatāṃ draṣṭā tad-avastho bhavatīty arthaḥ |	drazwA | nahi avasTAvatAm drazwA tad--avasTaH Bavati-iti arTaH |
   niravasthaḥ	niravasTaH
   ko'sāv ātmā | ata āha upalabdhi-mātraṃ jñānaika-rūpam | kathambhūtam |	kaH-asO AtmA | atas Aha upalabDi--mAtram jQAna-eka--rUpam | kaTamBUtam |
   sarvatra dehe, śaśvat sarvadā anuvartamānam iti |	sarvatra dehe, SaSvat sarvadA anuvartamAnam iti |
   nanu nīla-jñānaṃ naṣṭaṃ pīta-jñānaṃ jātam iti pratīter na	nanu nIla--jQAnam nazwam pIta-jQAnam jAtam iti pratIteH na
   jñānasyānapāyitvam | tatrāha indriya-baleneti | sad eva jñānam ekam	jQAnasya-anapAyi-tvam | tatra-Aha indriya-balena-iti | sat eva jQAnam ekam
   indriya-	indriya-
   balena vividhaṃ kalpitam | nīlādy-ākārā vṛttaya eva jāyante naśyanti ca na	balena viviDam kalpitam | nIla-Adi--a-AkArAH vRttaye eva jAyante naSyanti ca na
   jñānam iti bhāvaḥ | ayam āgamāpāyitadavadhi-bhedena prathamas tarkaḥ |	jQAnam iti BAvaH | ayam Agama-apAyi-tadavaDi--Bedena praTamaH tarkaH |
   draṣṭṛ-dṛśya-bhedena dvitīyo'pi tarko jñeyaḥ | vyabhicāriṣv avasthā-	drazwR-dRSya--Bedena dvitIyaH-api tarkaH jQeyaH | vyaBicArizu avasTA-
   vyabhicāre dṛṣṭāntaḥ prāṇo yatheti |	vyaBicAre dRzwAntaH prANaH yaTA-iti |
   BD: jīvātmani jñāte paramātmā sujñātaḥ syād ity uktam | tad arthaṃ	BD: jIvAtmani jQAte paramAtmA su-jQAtaH syAt iti uktam | tat arTam
   jīvātmānaṃ nirūpayiṣyann avatārayati tatra yadīty ādinā | anyārthaś ceti	jIva-AtmAnam nirUpayizyan avatArayati tatra yadi-iti AdinA | anya-arTaH ca-iti
   brahma-sūtram | dahara-vidyā chāndogye paṭhyate yad idam asmin brahma-	brahma-sUtram | dahara-vidyA CAndogye paWyate yat idam asmin brahma-
   pure daharaṃ puṇḍarīkaṃ veśma daharo'sminn antar-ākāśas tasmin yad-antas	pure daharam puNxarIkam veSma daharaH-asmin antar-AkASaH tasmin yat--antas
   tad anveṣṭavyam (ChāU 8.1.1) iti | atropāsakasya śarīraṃ brahma-puraṃ,	tat anvezwavyam (ShAU 8.1.1) iti | atra-upAsakasya SarIram brahma--puraM,
   tatra	tatra
   hṛt-puṇḍarīkastho daharaḥ paramātmā dhyeyaḥ kathyate | tatrāpahata-	hRt--puNxarIka-sTaH daharaH paramAtmA DyeyaH kaTyate | tatra-apahata-
   pāpmatvādi-guṇāṣṭakam anveṣṭavyam upadiśyata iti siddhāntitam | tad-	pApma-tva-Adi--guNa-azwakam anvezwavyam upadiSyate iti sidDAntitam | tat--
   vākya-madhye sa eṣa samprasādo'smāc charīrāt samutthāya paraṃ jyotir	vAkya--maDye saH eza samprasAdaH-asmAt SarIrAt samutTAya param jyotiH-
   upasampadya svena rūpeṇābhiniṣpadyate, sa uttamaḥ puruṣaḥ (Chā 8.12.3) iti	upasampadya svena rUpeNa-aBinizpadyate, saH uttamaH puruzaH (ChA 8.12.3) iti
   vākyaṃ paṭhitam | atra samprasādo labdha-vijñāno jīvas tena yat paraṃ	vAkyam paWitam | atra samprasAdaH labDa-vijQAnaH jIvaH tena yat param
   jyotir	jyotiH-
   upapannaṃ sa eva puruṣottama ity arthaḥ | dahara-vākyāntarāle jīva-	upapannam saH eva puruzottamaH iti arTaH | dahara--vAkya-antarAle jIva-
   parāmarśaḥ kim artham iti cet tatrāha anyārtha iti | tatra jīva-	parAmarSaH kim arTam iti ced tatra-Aha anya-arTaH iti | tatra jIva-
   parāmarśo'nyārthaḥ | yaṃ prāpya jīvaḥ sva-svarūpeṇābhiniṣpadyate sa	parAmarSaH-anya-arTaH | yam prApya jIvaH sva--svarUpeNa-aBinizpadyate sa
   paramātmeti paramātma-jñānārtha ity arthaḥ | na jajāneti jāyate'sti	paramAtmA-iti paramAtma--jQAna-arTaH iti arTaH | na jajAna-iti jAyate-asti
   vardhate	varDate
   vipariṇamate'pakṣīyate naśyati ca iti bhāva-vikārāḥ ṣaṭ paṭhitāḥ | te	vipariNamate-apakzIyate naSyati ca iti BAva--vikArAH zaw paWitAH | te
   jīvasya	jIvasya
   na santi iti samudāyārthaḥ | nanu nīla-jñānam ity ādi jñāna-rūpam	na santi iti samudAya-arTaH | nanu nIla--jQAnam iti Adi jQAna--rUpam
   ātmavastu jñātṛ bhavati | prakāśa-vastu sūryaḥ prakāśayitā yathā | tataś	Atmavastu jQAtR Bavati | prakASa-vastu sUryaH prakASayitA yaTA | tatas-
   ca	ca
   svarūpānubandhitvāj jñānaṃ tasya nityaṃ, tasyendriya-praṇālyā	svarUpa-anubanDi-tvAt jQAnam tasya nityan, tasya-indriya--praNAlyA
   nīlādi-niṣṭhā	nIla-Adi--nizWA
   yā viṣayatā vṛtti-pada-vācyā saiva nīlādyapagame naśyatīti ||53||	yA vizaya-tA vRtti-pada-vAcyA sA-eva nIla-Adi-apagame naSyati-iti ||53||
   dṛṣṭāntaṃ vivṛṇvann indriyādilayena nirvikārātmopalabdhiṃ darśayati --	dRzwAntam vivRNvan indriya-Adi-layena nirvikAra-AtmA-upalabDim darSayati --
   aṇḍeṣu peśiṣu taruṣv aviniściteṣu	aNxezu peSizu taruzu aviniScitezu
   prāṇo hi jīvam upadhāvati tatra tatra |	prANaH hi jIvam upaDAvati tatra tatra |
   sanne yad indriya-gaṇe'hami ca prasupte	sanne yat indriya--gaNe-ahami ca prasupte
   kūṭastha āśayam ṛte tad anusmṛtir naḥ || [BhP 11.3.39]	kUwasTaH ASayam Rte tat anusmRtiH naH || [Bhj 11.3.39]
   aṇḍeṣu aṇḍajeṣu | peśiṣu jarāyujeṣu | taruṣu udbhijjeṣu | aviniściteṣu	aNxezu aNxa-jezu | peSizu jarAyu-jezu | taruzu udBid-jezu | aviniScitezu
   svedajeṣu | upadhāvati anuvartate | evaṃ dṛṣṭānte nirvikāratvaṃ pradarśya	sveda-jezu | upaDAvati anuvartate | evam dRzwAnte nirvikAra-tvam pradarSya
   dārṣṭāntike'pi darśayati | katham | tadaivātmā savikāra iva pratīyate yadā	dArzwa-antike-api darSayati | kaTam | tadA-eva-AtmA sa-vikAraH iva pratIyate yadA
   jāgare indriya-gaṇaḥ | yadā ca svapne tat-saṃskāravān ahaṅkāraḥ | yadā tu	jAgare indriya--gaNaH | yadA ca svapne tat-saMskAravAn ahaFkAraH | yadA tu
   prasuptaṃ tadā tasmin prasupta indriya-gaṇe sanne līne | ahami anaṅkāre ca	prasuptam tadA tasmin prasuptaH indriya--gaNe sanne lIne | ahami anaFkAre ca
   sanne līne | kūṭastho nirvikāra evātmā | kutaḥ | āśayam ṛte liṅga-śarīram	sanne lIne | kUwasTaH nirvikAraH eva-AtmA | kutas | ASayam Rte liFga--SarIram
   upādhiṃ vinā | vikāra-hetor upādher abhāvāt ity arthaḥ |	upADim vinA | vikAra--hetoH upADeH aBAvAt iti arTaH |
   nanv ahaṅkāra-paryantasya sarvasya laye śūnyam evāvaśiṣyate | kva tadā	nanu ahaFkAra--paryantasya sarvasya laye SUnyam eva-avaSizyate | kva tadA
   kūṭastha ātmā | ata āha tad-anusmṛtir naḥ | tasyākhaṇḍātmanaḥ suṣpti-	kUwasTaH AtmA | atas Aha tad--anusmRtiH naH | tasya-AKaNxa-AtmanaH suzpti-
   sākṣiṇaḥ smṛtiḥ naḥ asmākaṃ jāgrad-draṣṭṝṇāṃ jāyate etāvantaṃ kālaṃ	sAkziNaH smRtiH naH asmAkam jAgrat--drazwLNAm jAyate etAvantam kAlam
   sukham aham asvāpsaṃ na kiñcid avediṣam iti | ato'nanubhūtasya	suKam aham asvApsam na kiQcid avedizam iti | atas-ananuBUtasya
   tasyāsmaraṇād asty eva suṣptau tādrg-ātmānubhavaḥ | viṣaya-	tasya-asmaraNAt asti eva suzptO tAdrg-A-Atma-anuBavaH | vizaya-
   sambandhābhāvāc ca na spaṣṭa iti bhāvaḥ | ataḥ sva-prakāśa-mātra-vastunaḥ	sambanDa-aBAvAt ca na spazwaH iti BAvaH | atas sva--prakASa--mAtra-vastunaH
   sūryādeḥ prakāśavad upalabhdi-mātrasyāpy ātmana upalabhdiḥ svāśraye'sty	sUrya-AdeH prakASa-vat upalaBdi--mAtrasya-api AtmanaH upalaBdiH sva-ASraye-asti-
   evety āyātam | tathā ca śrutiḥ -- yad vai tan na paśyati paśyan vai	eva-iti AyAtam | taTA ca SrutiH - yat vE tat na paSyati paSyan vE
   draṣṭavyān na paśyati, na hi draṣṭur dṛṣṭorviparilopo vidyate (BṛhadU	drazwavyAt na paSyati, na hi drazwuH dRzwoH-viparilopaH vidyate (BRhadU
   4.3.23) iti |	4.3.23) iti |
   ayaṃ sākṣi-sākṣya-vibhāgena tṛtīyas tarkaḥ | duḥkhi-premāspadatva-	ayam sAkzi--sAkzya--viBAgena tRtIyaH tarkaH | duHKi--prema-Aspada-tva-
   vibhāgena caturtho'pi tarko'vagantavyaḥ ||55||	viBAgena caturTaH-api tarkaH-avagantavyaH ||55||
   BD: dṛṣṭāntam iti prāṇasya nānā-deheṣv aikarūpyān nirvikāratvam ity	BD: dRzwAntam iti prANasya nAnA-dehezu EkarUpyAt nirvikAra-tvam iti-
   arthaḥ | tasminn ātmani | upādher liṅga-śarīrasya | abhāvād viśleṣād ity	arTaH | tasmin Atmani | upADeH liFga--SarIrasya | aBAvAt viSlezAt iti-
   arthaḥ | tadāpy atisūkṣmāyā vāsanāyāḥ sattvān mukter abhāva iti jñeyam |	arTaH | tadA-api ati-sUkzmAyAH vAsanAyAH sattvAt mukteH aBAvaH iti jQeyam |
   prākṛtāhaṅkāre līne'pi svarūpānubandhino'ham arthasya sattvāt tena sukham	prAkRta-ahaFkAre lIne-api svarUpa-anubanDinaH-aham arTasya sattvAt tena suKam
   aham asvāpsam iti vimarśo bhavatīti pratipādayitum āha nanv ity ādi |	aham asvApsam iti vimarSaH Bavati-iti pratipAdayitum Aha nanu iti Adi |
   śūnyam eveti ahaṃ-pratyayṃ vinātmano'pratīter iti bhāvaḥ | akhaṇḍātmana	SUnyam eva-iti ahaM-pratyaym vinA-AtmanaH-apratIteH iti BAvaH | aKaNxa-Atmana
   iti | aṇu-rūpatvād vibhāgānarhasyety arthaḥ |	iti | aNu--rUpa-tvAt viBAgAn-arhasya-iti arTaH |
   nanu svāpād utthitasyātmano,haṅkāreṇa yogāt sukham aham asvāpsam iti	nanu svApAt utTitasya-AtmanaH-,haFkAreNa yogAt suKam aham asvApsam iti
   vimarśo jāgare sidhyati | suṣuptau tu cin-mātraḥ sa iti cet tatrāha	vimarSaH jAgare siDyati | suzuptO tu cin--mAtraH saH iti ced tatra-Aha
   ato'nanubhūtasyeti | anubhava-smaraṇayoḥ sāmānādhikaraṇyād ity arthaḥ |	atas-ananuBUtasya-iti | anuBava--smaraNayoH sAmAnADikaraNyAt iti arTaH |
   tasmāt tasyām apy anubhavitaivātmeti siddham | nanūpalabdhi-mātram ity	tasmAt tasyAm api anuBavitA-eva-AtmA-iti sidDam | nanu-upa-labDi--mAtram iti-
   uktam | tasyopalabdhṛtvaṃ katham | tatrāha ata ity ādi | yad vai iti |	uktam | tasya-upalabDR-tvam kaTam | tatra-Aha atas iti Adi | yat vE iti |
   tad-ātma-	tat--Atma-
   caitanyaṃ kartṛ | suṣuptau na paśyatīti yad ucyate tat khalu draṣṭavya-	cEtanyam kartR | suzuptO na paSyati-iti yat ucyate tat Kalu drazwavya-
   viṣayābhāvād eva, na tu draṣṭṛtvābhāvād ity arthaḥ | sphuṭam anyat ||54||	vizaya-aBAvAt eva, na tu drazwR-tva-aBAvAt iti arTaH | sPuwam anyat ||54||
   tad uktaṃ -	tat uktam -
   anvaya-vyatirekākhyas tarkaḥ syāc caturātmakaḥ |	anvaya-vyatireka-AKyaH tarkaH syAt catur-AtmakaH |
   āgamāpāyitadavadhi-bhedena prathamo mataḥ ||	Agama-apAyi-tadavaDi--Bedena praTamaH mataH ||
   draṣṭṛ-dṛśya-vibhāgena dvitīyo'pi matas tathā |	drazwR-dRSya--viBAgena dvitIyaH-api mataH taTA |
   sākṣi-sākṣya-vibhāgena tṛtīyaḥ sammataḥ satām ||	sAkzi--sAkzya--viBAgena tRtIyaH sammataH satAm ||
   duḥkhi-premāspadatvena caturthaḥ sukha-bodhakaḥ ||	duHKi--prema-Aspada-tvena caturTaH suKa-boDakaH ||
   ||11.3|| iti śrī-pippalāyano nimim ||55||	||11.3|| iti SrI--pippalAyanaH nimim ||55||
   BD: padyayor vyākhyāne catvāras tarkā yojitās tān abhiyuktoktābhyāṃ	BD: padyayoH vyAKyAne catvAraH tarkAH yojitAH tAn aBiyukta-uktAByAm
   sārdhakārikābhyāṃ nirdiśati anvayeti | tarka-śabdena tarkāṅgakam	sArDa-kArikAByAm nirdiSati anvaya-iti | tarka--Sabdena tarka-aFgakam
   anumānaṃ bodhyam | āgamāpāyino dṛśyāt sākṣyād duḥkhāspadāc ca	anumAnam boDyam | Agama-apAyinaH dRSyAt sAkzyAt duHKa-AspadAt ca
   dehāder ātmā bhidyate | tad-avadhitvāt, tad-draṣṭṛtvāt, tat-sākṣitvāt,	deha-AdeH AtmA Bidyate | tad--avaDi-tva-at, tat--drazwR-tva-at, tat-sA-akzi-tvAt,
   premāspadatvāc ceti krameṇa hetavo neyāḥ | vyatirekaś cohyaḥ ||55||	prema-Aspada-tvAt ca-iti krameNa hetavaH neyAH | vyatirekaH cohyaH ||55||
   evambhūtānāṃ jīvānāṃ cin-mātraṃ yat svarūpaṃ tayaivākṛtyā tad-aṃśitvena	evam-BUtAnAm jIvAnAm cin--mAtram yat sva-rUpam tayA-eva-AkRtyA tad--aMSi-tvena
   ca tad-abhinnaṃ yat tattvaṃ tad atra vācyam iti vyaṣṭi-nirdeśa-dvārā	ca tat--aBinnam yat tattvam tat atra vAcyam iti vyazwi-nirdeSa--dvArA
   proktam | tad eva hy āśraya-saṃjñakaṃ mahāpurāṇa-lakṣaṇa-rūpaiḥ	proktam | tat eva hi ASraya--saMjQakam mahApurANa--lakzaNa--rUpEH
   sargādibhir arthaiḥ samaṣṭi-nirdeśa-dvārāpi lakṣyata ity atrāha dvābhyām -	sarga-AdiBiH arTEH samazwi--nirdeSa--dvArA-api lakzyate iti atra-Aha dvAByAm -
   atra sargo visargaś ca sthānaṃ poṣaṇam ūtayaḥ |	atra sargaH visargaH ca sTAnam pozaNam UtayaH |
   manvantareśānukathā nirodho muktir āśrayaḥ ||	manvantara-ISa-anukaTA niroDaH muktiH ASrayaH ||
   daśamasya viśuddhy-arthaṃ navānām iha lakṣaṇam |	daSamasya viSudDi--arTam navAnAm iha lakzaNam |
   varṇayanti mahātmānaḥ śrutenārthena cāñjasā || (BhP 2.10.1-2)	varNayanti mahAtmAnaH Srutena-arTena ca-aQjasA || (Bhj 2.10.1-2)
   manvantarāṇi ceśānukathāś ca manvantareśānukathāḥ | atra sargādayo	manvantarANi ca-ISAnu-kaTAH ca manvantara-ISa-anukaTAH | atra sargAt-ayaH-
   daśārthā lakṣyanta ity arthaḥ | tatra ca daśamasya viśuddhy-arthaṃ tattva-	daSa-arTAH lakzyante iti arTaH | tatra ca daSamasya viSudDi--arTam tattva-
   jñānārthaṃ navānāṃ lakṣaṇaṃ svarūpaṃ varṇayanti | nanv atra naivaṃ	jQAna-arTam navAnAm lakzaNam svarUpam varNayanti | nanu atra na-evam
   pratīyate | ata āha śrutena śrutyā kaṇṭhoktyaiva stutayādi-sthāneṣu,	pratIyate | atas Aha Srutena SrutyA kaNWa-uktyA-eva stutayA-Adi-sTAnezu,
   añjasā	aQjasA
   sākṣād varṇayanti | arthena tātparya-vṛttyā ca tat-tad-ākhyāneṣu ||56||	sAkzAt varNayanti | arTena tAtparya-vRttyA ca tat-tat--AKyAnezu ||56||
   BD: īśvara-jñānārthaṃ jīva-svarūpa-jñānaṃ nirṇītam | atha tat-	BD: ISvara--jQAna-arTam jIva--svarUpa--jQAnam nirNItam | aTa tat-
   sādṛśyeneśvara-svarūpaṃ nirṇetuṃ pūrvoktaṃ yojayati evambhūtānām ity	sAdRSyena-ISvara--svarUpam nirNetum pUrva-uktam yojayati evam-BUtAnAm iti-
   ādinā | cin-mātraṃ yat svarūpam iti cetayitṛ ceti bodhyaṃ pūrva-nirūpaṇāt	AdinA | cin--mAtram yat sva-rUpam iti cetayitR ca-iti boDyam pUrva--nirUpaNAt
   tatahivākṛtyeti cinmātratve sati cetayitṛtvaṃ yākṛtir jātis tayety arthaḥ	tata-t-iva-AkRtya-iti cit-mAtra-tve sati cetayitR-tvam yAkRtiH jAtiH tayA-iti arTaH
   | ākṛtis	| AkRtis
   tu striyāṃ rūpe sāmānya-vapuṣor api iti medinī | tad-aṃśitvena	tu striyAm rUpe sAmAnya-vapuzoH api iti medinI | tad--aMSi-tvena
   jīvāṃśitvena	jIva-aMSi-tvena
   cety arthaḥ | tad-abhinnaṃ jīvābhinnaṃ yad brahma-tattvam | aṃśaḥ khalv	ca-iti arTaH | tat--aBinnam jIva-aBinnam yat brahma--tattvam | aMSaH Kalu-
   aṃśino na bhidyate vyaṣṭir ity arthaḥ | jīvādi-śaktimad brahma samaṣṭiḥ |	aMSinaH na Bidyate vyazwiH iti arTaH | jIvAdi-Saktimat brahma samazwiH |
   jīvas tu vyaṣṭiḥ | tādṛśa-samaṣṭi-brahma-nirūpaṇena tasya tathātvaṃ	jIvaH tu vyazwiH | tAdRSa--samazwi--brahma--nirUpaNena tasya taTAtvam
   vaktavyam ity arthaḥ | daśamasya ceśvarasya | avaśiṣṭaḥ sphuṭārthaḥ ||56||	vaktavyam iti arTaH | daSamasya ca-ISvarasya | avaSizwaH sPuwa-arTaH ||56||
   tam eva daśamaṃ vispaṣṭayituṃ teṣāṃ daśānāṃ vyutpādikāṃ sapta-ślokīm	tam eva daSamam vispazwayitum tezAm daSAnAm vyutpAdikAm sapta-SlokIm
   āha --	Aha --
   bhūta-mātrendriya-dhiyāṃ janma sarga udāhṛtaḥ	BUta--mAtra-indriya--DiyAm janma sargaH udAhRtaH
   brahmaṇo guṇa-vaiṣamyād visargaḥ pauruṣaḥ smṛtaḥ || (BhP 2.10.3)	brahmaNaH guNa-vEzamyAt visargaH pOruzaH smRtaH || (Bhj 2.10.3)
   bhūtāni khādīni | mātrāṇi ca śabdādīni indriyāṇi ca | dhī-śabdena mahad-	BUtAni Ka-AdIni | mAtrANi ca Sabda-AdIni indriyANi ca | DI--Sabdena mahat--
