   folios 1-4 are missing	folioH 1-4 are missing
   bodhisattvair mahāsattvaiś ca daśadigbhyo lokadhātubhyaḥ (Kurumiya 159)	boDisattvEH mahAsattvEH ca daSa-digByaH lokaDAtuByaH (Kurum-iya 159)
   sannipatitair ayaṃ	sannipatitEH ayam
   vajradharmasamatāpratītyadharmahṛdayasarvasamucchrayavidhvaṃsano	vajra-Darma-sama-tA-pratItya-Darma-hRdaya-sarva-samucCraya-viDvaMsanaH-
   dhāraṇīmudrāpadaprabhedapraveśavyākaraṇo dharmaparyāyo 'dhiṣṭhito	DAraNI-mudrA-pada-praBeda-praveSa-vyAkaraNaH Darma-paryAyaH aDizWitaH-
   buddhakṣetrapṛthivīrasasattvasaṃvāsadoṣāṇāṃ praśamāya sattvaparipākāya	budDa-kzetra-pRTivI-rasa-sattva-saMvAsa-dozANAm praSamAya sattva-paripAkAya
   sarvāśubhakarmaniravaśeṣaparikṣayārthaṃ triratnavaṃśacirasthityarthaṃ	sarva-aSuBa-karma-niravaSeza-parikzaya-arTam tri-ratna-vaMSa-cira-sTiti-arTam
   yāvat sakala buddhakāryapariniṣpattyarthaṃ tathā yuṣmābhir apy adhiṣṭhāya	yAvat sakala budDa-kArya-parinizpatti-arTam taTA yuzmABiH api aDizWAya
   rakṣitavya iti // yaś ca me	rakzitavyaH iti // yaH ca me
   saddharmanetrīsaṃrakṣākuśalamūlapuṇyābhisaṃskārāṇi ..... yaś ca .........	sat-Darma-netrI-saMrakzA-kuSala-mUla-puNya-aBisaMskArANi ..... yaH ca .........
   smaraṇoccāraṇaparadeśanatṛśaraṇagamanopāsakasaṃvarabrahmacaryavāsebhyaḥ	smaraNa-uccAraNa-para-deSana-tR-SaraNa-gamana-upAsaka-saMvara-brahmacarya-vAseByaH
   kuśalamūlapuṇyābhisaṃskāra ......... yaś ca prathamamadhyānabhāvanā	kuSala-mUla-puNya-aBisaMskAraH ......... yaH ca praTama-maDyAna-BAvanA
   ......... yāvat saṃjñāvedayitanirodhabhāvanāyāḥ yaś ca	......... yAvat saMjQA-vedayita-niroDa-BAvanAyAH yaH ca
   śrotāpattiphalasākṣākṛta yāvad aparāṇi kuśalamūlapuṇyābhisaṃskārāṇi etarhi	SrotApatti-Pala-sAkzAkRta yAvat aparANi kuSala-mUla-puNya-aBisaMskArANi etarhi
   kṛtāni anāgate karaṇīyāni vā mama	kRtAni anAgate karaNIyAni vA mama
   saddharmapradīpaprajvālanapuṇyābhisaṃskārāṇi sarvam etad yuṣmākaṃ haste	sadDarma-pradIpa-prajvAlana-puNya-aBisaMskArANi sarvam etat yuzmAkam haste
   parindāmi ...............	parindAmi ...............
   (Kurumiya 160)	(Kurum-iyaH 160)
   @folios 94 to 97 are missing@@	@folioH 94 taH 97 are missing@@
   dharmabhāṇakam pudgalaṃ saṃcodayiṣyāmaḥ asya dharmaparyāyasya prakāśaṇasya	Darma-BANakam pudgalam saMcodayizyAmaH asya Darma-paryAyasya prakASaNasya
   / dharmabhāṇakadharmaśrāvaṇikānāṃ dhanadhānyasarvabhogasaṃpadvivṛddhīṃ	/ Darma-BANaka-Darma-SrAvaNikAnAm Dana-DAnya-sarva-Boga-saMpad-vivRdDIm
   niṣdayiṣyāmaḥ / avipralopadharmaṃ jinaśāsanaṃ saṃdhārayiṣyāmaḥ / atha	nizdayizyAmaH / avipralopa-Darmam jina-SAsanam saMDArayizyAmaH / aTa
   khalu sarve te buddhā bhagavantaḥ teṣāṃ sarveṣāṃ manuṣyāmanuṣyāṇāṃ	Kalu sarve te budDAH BagavantaH tezAm sarvezAm manuzya-amanuzyANAm
   sādhukāraṃ pradaduḥ ......... //	sADu-kAram pradaduH ......... //
   atha kautūhaliko bodhisattvo mahāsattvaḥ taṃ śākyamuniṃ tathāgataṃ	aTa kOtUhalikaH boDisattvaH mahAsattvaH tam SAkya-munim taTAgatam
   papraccha / kiṃ bhagavan mārakoṭyaḥ saparivārāḥ samāgatāḥ / bhagavān āha /	papracCa / kim Bagavat mAra-kowyaH sa-parivArAH samAgatAH / BagavAn Aha /
   sarve saparivārāḥ / kautūhaliko bodhisattva āha / kiṃ saparivārā mārā	sarve sa-parivArAH / kOtUhalikaH boDisattvaH Aha / kim sa-parivArA mArA
   triratne labdhaprasādāḥ / bhagavān āha / na kulaputra ayaṃ khalu māraḥ	tri-ratne labDa-prasAdAH / BagavAn Aha / na kula-putra ayam Kalu mAraH
   pāpīmāṃ sahasraparivāro 'labdhaprasādaḥ kupito 'nāttamanā vartamāne	pApi-imAm sahasra-parivAraH alabDa-prasAdaH kupitaH anAtta-manAH vartamAne
   'nāgatakāle 'pi yāvat saddharmanetry ujjvalati tāvad eṣo 'vatāraprekṣī	anAgata-kAle api yAvat sat-DarmanetrI ujjvalati tAvat ezaH avatAra-prekzI
   avatāragaveṣī saddharmanetrīvipralopārtham (Kurumiya 161) antardhānārthaṃ	avatAra-gavezI sat-Darma-netrI-vipralopa-arTam (Kurum-iya 161) antarDAna-arTam
   prayatate ... / .............. ekaviṃśatiparivāre ete alabdhaprasādāḥ	prayatate ... / .............. ekaviMSati-parivAre ete alabDa-prasAdAH
   kupitā anāttamanaso vartamāno 'nāgatakāle 'pi yāvat	kupitAH anAtta-manasaH vartamAnaH anAgata-kAle api yAvat-
   saddharmanetrīpravistāras tāvad ete mama śāsane avatāraprekṣiṇo	sat-Darma-netrI-pravistAraH tAvat ete mama SAsane avatAra-prekziNaH-
   avatāragaveṣiṇaḥ saddharmanetrīvipralopārtham antardhanārthaṃ prayatante /	avatAra-gaveziNaH sat-Darma-netrI-vipralopa-arTam antarDana-arTam prayatante /
   tat kasya hetoḥ / pūrvavairādhiṣṭhitatvād anavaropitakuśalamūlatvād	tat kasya hetoH / pUrva-vEra-aDizWita-tvAt anavaropita-kuSala-mUla-tvAt-
   akalyāṇamitraparigṛhītatvāt ..... nirvāṇasukhe alabdhaprasādatvāt	akalyANa-mitra-parigRhIta-tvAt ..... nirvANa-suKe alabDa-prasAda-tvAt-
   praṇidhānāparigatatvāt ....... na cittena cittaṃ saṃdadhati na prasīdaṃti	praNiDAna-aparigata-tvAt ....... na cittena cittam saMdaDati na prasIdaMti
   na saṃtiṣṭhaṃti na vipramocayaṃti / īdṛśāṃ mahāsannipātaṃ buddhaṃ dṛṣṭvā	na saMtizWaMti na vipramocayaMti / IdRSAm mahAsannipAtam budDam dRzwvA
   īdṛśāṃ ca gambhīrāṃ dhāraṇīṃ śrutvānenaiva hetunā paścāc chraddhāṃ	IdRSAm ca gamBIrAm DAraNIm SrutvA-anena-eva hetunA paScAt SradDAm
   pratilapsyate 'nuttarāyāṃ samyaksaṃbodhau / kautūhaliko bodhisattva āha /	pratilapsyate anuttarAyAm samyaksaMboDO / kOtUhalikaH boDisattvaH Aha /
   ........... māyaṃ dharmaparyāyo 'navaruptakuśalamūlānām (Kurumiya 162) api	........... mA-ayam Darma-paryAyaH anavarupta-kuSala-mUlAnAm (Kurum-iya 162) api
   sattvānāṃ sacet ............ śravaṇapathagata ..... anuttarāyāṃ	sattvAnAm saced ............ SravaNa-paTa-gataH ..... anuttarAyAm
   samyaksaṃbodhau //	samyaksaMboDO //
   tena khalu punaḥ samayenāgasti nāma māraḥ pūrvajineṣu kṛtādhikāraḥ	tena Kalu punar samayena-agasti nAma mAraH pUrva-jinezu kRta-aDikAraH
   ............. anuttarāyāṃ samyaksaṃbodhau / sa maharṣiveṣeṇa śākyamunes	............. anuttarAyAm samyaksaMboDO / sa mahA-Rzi-vezeNa SAkya-muneH-
   tathāgatasya ........................................	taTAgatasya ........................................
   @folio 99 is missing@@	@foliaH 99 iH mis-sing@@
   hāṇyā cittasaṃkṣobho 'sya bhavet / ṣaḍindriyāṇi cāsya gocarāsamarthā syuḥ	hANyA citta-saMkzoBaH asya Bavet / zaz-indriyANi ca-asya gocarAsam-arTA syuH
   // tadyathā /	// tat-yaTA /
   amale / ahaṃ male / ahaṃ male / ajavava / ajavava / mūlasare vyākhasale /	amale / aham male / aham male / ajavavaH / ajavava / mUlasare vyAKasale /
   jamasale / haha haha haha ghorasaṭṭa / jatakhaga jñeyakhaga /	jama-sale / haha haha haha Gora-sawwa / jata-Kaga jQeya-Kaga /
   vijñevāsakhaga / amūkṣara / kṣakṣakṣa kṣakṣakṣa / mūlabaha / khagasvakajña	vijQevAsa-Kaga / amUkzaraH / kzakzakza kzakzakza / mUlabaha / Kaga-svaka-jQa
   / svaparivartamūra / ajñajña / vāyujñajña / candrasūryaujñajña	/ sva-parivarta-mUraH / ajQa-jQa / vAyu-jQa-jQaH / candra-sUryOjQa-jQa
   nāvahajñajña / khurakṣajñajña / babajñajña / bhūtakoṭitathatājñajña /	na-avaha-jQa-jQaH / Kura-kzajQa-jQa / babajQa-jQa / BUtakowi-taTa-tA-AjQa-jQa /
   sarvajñebhir (Kurumiya 163) adhiṣṭhajñajña vakrama / trigatakṣava	sarvajQeBiH (Kurum-iya 163) aDizWa-jQa-jQa vakramaH / trigata-kzava
   kṣamamakṣamajña kṣitāmāraviṣaya svāhā //	kzamam-akzam-ajQa kzitAm-Ara-vizaya svAhA //
   sarvajñānām adhiṣṭhānena kṣaṇikā māraviṣayā avakrāntā niṣphalīgatāḥ / evam	sarvajQAnAm aDizWAnena kzaNikAH mAra-vizayAH avakrAntAH nizPalI-gatAH / evam
   eva ye kecid ahitakāmāḥ / atra tāvad eva sarve buddhā bhagavantaḥ	eva ye kecid ahita-kAmAH / atra tAvat eva sarve budDAH BagavantaH
   sādhukāraṃ pradaduḥ / sarve ca bodhisattvā mahāsattvāḥ manuṣyāmanuṣyā	sADu-kAram pradaduH / sarve ca boDisattvAH mahAsattvAH manuzya-amanuzyA
   devāś ca sādhukāraṃ pradaduḥ / atha tāvad eva tasyāṃ velāyām akaṃpad	devAH ca sADu-kAram pradaduH / aTa tAvat eva tasyAm velAyAm akaMpad
   vasumatī cakṣubhur jaladharāḥ cakaṃpire śailarājanaḥ / cakṣobha tatra sa	vasumatI cakzuBuH jalaDarAH cakaMpire SElarAjanaH / cakzoBa tatra sa
   māraḥ saparivāraḥ sthāpya devakaṭapūtanāṃ bodhisattvāṃś ca	mAraH sa-parivAraH sTApya deva-kawa-pUtanAm boDisattvAn ca
   kṣāntipratilabdhān //	kzAnti-pratilabDAn //
   atha khalu māraḥ pāpīmāṃ dṛḍhamatiṃ bodhisattvam āmantrayati sma /	aTa Kalu mAraH pApi-imAm dRXa-matim boDisattvam Amantrayati sma /
   kulaputra kuto 'syāgastino mārasya balaṃ / kutaḥ prabhāvaḥ / yad	kula-putra kutas asya-agastinaH mArasya balam / kutas praBAvaH / yat-
   anenākṛpeṇa sarvaḥ svapakṣo mama ca viṣayabalaparākramaḥ sarvo vidhūta	anena-AkRpeNa sarvaH sva-pakzaH mama ca vizaya-bala-parAkramaH sarvaH viDUta
   ........ nā ... pamocchedavādinaḥ śramaṇasya gautamasya pakṣaḥ	........ nA ... pama-ucCeda-vAdinaH SramaNasya gOtamasya pakzaH
   samucchrepitaḥ / ahaṃ ca sahaśravaṇād evāsyā dhāraṇyā durgandhaklinnakāyo	samucCrepitaH / aham ca saha-SravaNAt eva-asyAH DAraNyA durganDa-klinnakAyaH-
   'karmaṇyaḥ saṃvṛttaḥ / sarvadiśo me 'ndhīkṛtāḥ adarśanābhāsā /	akarmaNyaH saMvRttaH / sarva-diSaH me anDIkRtAH adarSana-ABAsA /
   mahāparidāghena ca dahyāmi / dṛḍhamatir bodhisattva āha / sarvabuddhānāṃ	mahA-paridAGena ca dahyAmi / dRXa-matiH boDisattvaH Aha / sarva-budDAnAm
   bhagavatām adhiṣṭhānena pāpīmaṃ sarvamanuṣyāmanuṣyāṇāṃ ca balādhānenāgastī	BagavatAm aDizWAnena pApi-imam sarva-manuzya-amanuzyANAm ca bala-ADAnena-agastI
   māraḥ imaṃ sarvamārabalaviṣayaparākramaṃ vidhvaṃsayati / imāni	mAraH imam sarvamAra-bala-vizaya-parAkramam viDvaMsayati / imAni
   cānenāparājitāni (Kurumiya 164) mantrapadāni bhāṣitāni / prasādaya tvaṃ	ca-anena-aparAjitAni (Kurum-iya 164) mantra-padAni BAzitAni / prasAdaya tvam
   pāpīmaṃs tathāgatānām antike cittam utpādayasva cānuttarāyāṃ	pApIman taTAgatAnAm antike cittam utpAdayasva ca-anuttarAyAm
   samyaksaṃbodhau cittaṃ yathā tvam ebhyaḥ kāyavāṅmānasebhyo duḥkhebhyaḥ	samyaksaMboDO cittam yaTA tvam eByaH kAya-vAc-mAnaseByaH duHKeByaH
   parimokṣyasi / māraḥ pāpīmān āha / utsahāmy aham aparāntakoṭyo 'saṃkhyeyāḥ	parimokzyasi / mAraH pApi-imAn Aha / utsahAmi aham apara-anta-kowyaH asaMKyeyAH
   ataḥ pāpiṣṭatarāṇi kāyavāṅmanoduḥkhāni na tv evāham anuttarāyāṃ	atas pApizwatarANi kAya-vAc-manaH-duHKAni na tu eva-aham anuttarAyAm
   samyaksaṃbodhau cittam utpādayāmi //	samyaksaMboDO cittam utpAdayAmi //
   mahāsannipātān mahāyānasūtrād ratnaketuparivartād ekadaśamaḥ	mahAsannipAtAt mahAyAna-sUtrAt ratna-ketu-parivartAt eka-daSamaH
   saddharmanetryārakṣaṇaparivartaḥ samāptāḥ // //	sadDarma-netrI-ArakzaNa-parivartaH samAptAH // //
   (Kurumiya 165)	(Kurum-iyaH 165)
   XII.	XII.
   athāṭavako mahāyakṣasenāpatir bhīṣaṇakayakṣarūpeṇa saṃjñiko mṛgarūpeṇa	aTa-awavakaH mahA-yakza-senApatiH BIzaNa-ka-yakza-rUpeNa saMjQikaH mRga-rUpeNa
   jñānolko markaṭarūpeṇa tṛṣṇājahaś chagalarūpeṇa cchinnasroto hastirūpeṇa	jQAna-ulkaH markawa-rUpeNa tRzNA-jahaH Cagala-rUpeNa cCinna-srotaH hasti-rUpeNa
   ete paṃcamahāsattvāḥ śākyamunes tathāgatasya nātidūre kauṇḍinyārciṣas	ete paMca-mahAsattvAH SAkya-muneH taTAgatasya na-ati-dUre kONxinyA-arcizas
   tathāgatasya purataḥ punar niṣaṇṇā abhūvan / sarvakāyāc caiṣāṃ viśuddhā	taTAgatasya puratas punar nizaNNAH aBUvan / sarva-kAyAt ca-ezAm viSudDA
   saugandhikā prabhā niścacāra / atha te paṃcamahāsattvā ubhābhyāṃ pāṇibhyāṃ	sOganDikA praBA niScacAra / aTa te paMca-mahAsattvAH uBAByAm pANiByAm
   jyotiṣprabhaṃ nāma mahāmaṇiratnaṃ bhagavataḥ pūjākarmāya dadhrire //	jyotizpraBam nAma mahA-maNi-ratnam BagavataH pUjA-karmAya daDrire //
   atha kautūhaliko bodhisattvo mahāsattvaḥ yoniśas teṣām āśayaviśuddhim	aTa kOtUhalikaH boDisattvaH mahAsattvaH yoniSas tezAm ASaya-viSudDim
   avekṣya bodhisattvā hy ete mahāsattvā iti tam āṭavakaṃ mahāyakṣasenāpatim	avekzya boDisattvAH hi ete mahAsattvAH iti tam Awavakam mahA-yakza-senApatim
   āmaṃtryovāca / kiṃ bho satpuruṣā arthavaśaṃ saṃpaśyamānā yūyam evaṃrūpair	AmaMtrya-uvAca / kim Bo sat-puruzAH arTa-vaSam saMpaSyamAnAH yUyam evaMrUpEH-
   īryāpathair buddhānāṃ bhagavatāṃ pūjākarmāyodyuktāḥ / āṭavaka āha /	IryA-paTEH budDAnAm BagavatAm pUjA-karma-aya-udyuktAH / AwavakaH Aha /
   bhūtapūrvaṃ kulaputrātīte 'dhvany ekanavatime kalpe yad iha buddhakṣetre	BUta-pUrvam kula-putra-atIte aDvani ekanavatime kalpe yat iha budDa-kzetre
   vipaśyir nāma tathāgato 'rhaṃ samyaksaṃbuddho 'bhūt / tena khalu punaḥ	vipaSyiH nAma taTAgataH arham samyaksaMbudDaH aBUt / tena Kalu punar-
   samayena vayaṃ paṃca bhrātaraḥ sahodarā abhūvan / tathāsmābhir anuttarāyāṃ	samayena vayam paMca BrAtaraH sahodarAH aBUvan / taTA-asmABiH anuttarAyAm
   samyaksaṃbodhau cittam utpādya sattvaparipākāyodyogaḥ kṛtaḥ / tato .eṇa	samyaksaMboDO cittam utpAdya sattva-paripAkAya-udyogaH kRtaH / tatas .eNa
   śikhinas tathāgatasyaivaṃ viśvabhuvaḥ yāvad eva sahapraviṣṭe bhadrake	SiKinaH taTAgatasya-evam viSva-BuvaH yAvat eva saha-pravizwe Badrake
   mahākalpe kakutsundas tathāgato loka udapādi (Kurumiya 166) tatra vayaṃ	mahAkalpe kakutsundaH taTAgataH loke udapAdi (Kurum-iya 166) tatra vayam
   tathaiva pūrvapraṇidhānena sahodarā eva bhrātaro 'bhūt / tasya cāsmābhis	taTA-eva pUrva-praNiDAnena sahodarAH eva BrAtaraH aBUt / tasya ca-asmABis
   tathāgatasya bahuvidhaṃ pūjopasthānaṃ kṛtam abhūt / atha tatra saṃjñiko	taTAgatasya bahuviDam pUjA-upasTAnam kRtam aBUt / aTa tatra saMjQikaH-
   mahāsattva upāsako dhyānābhiratas tatredam evaṃrūpaṃ mahāpraṇidhānaṃ	mahAsattvaH upAsakaH DyAna-aBirataH tatra-idam evaMrUpam mahA-praNiDAnam
   cakāra / aham iha nityaṃ bhadrake mahākalpe mahāyakṣasenāpatir bhaveyaṃ /	cakAra / aham iha nityam Badrake mahAkalpe mahA-yakza-senApatiH Baveyam /
   ye tatrāṭavikāntāranivāsino duṣṭā akṛpā adayāpannāḥ sattveṣu	ye tatra-Awavi-kAntAra-nivAsinaH duzwAH akRpAH adaya-ApannAH sattvezu
   nānāvikṛtarūpā yakṣā yāvat kaṭapūtanās tebhyo 'haṃ tādṛśīṃ dharmadeśanāṃ	nAnA-vikRta-rUpAH yakzAH yAvat kawa-pUtanAH teByaH aham tAdRSIm Darma-deSanAm
   kuryām / yat prasādapratilabdhāṅ kṛtvā śikṣāgrahaṇe niveśya śive mārge	kuryAm / yat prasAda-pratilabDAF kRtvA SikzA-grahaNe niveSya Sive mArge
   pratiṣṭhāpayeyaṃ yāvat tatra tiryagyonigatebhyo 'pi mṛgahariṇasūkarādibhyo	pratizWApayeyam yAvat tatra tiryagyoni-gateByaH api mRga-hariNa-sUkara-AdiByaH-
   dharmaṃ deśayeyaṃ yāvad gaṃgānadīvalukāsamān duṣṭayakṣān yāvat	Darmam deSayeyam yAvat gaMgA-nadI-valukA-samAn duzwa-yakzAn yAvat-
   tiryagyonigatān apy anavaropitakuśalamūlān dharmadeśanayā paripācya triṣu	tiryagyoni-gatAn api anavaropita-kuSala-mUlAn Darma-deSanayA paripAcya trizu
   yāneṣu pratiṣṭhāpayeyaṃ tataḥ paścād ahaṃ vyākaraṇam anuttarāyāṃ	yAnezu pratizWApayeyam tatas paScAt aham vyAkaraNam anuttarAyAm
   samyaksaṃbodhau pratilabheya / evaṃ jñānolko yakṣo markaṭarūpeṇa	samyaksaMboDO pratilaBeya / evam jQAna-ulkaH yakzaH markawa-rUpeNa
   markaṭaparipākāya praṇidhānaṃ cakāra / tṛṣṇājahaś	markawa-paripAkAya praNiDAnam cakAra / tRzNA-jahaS
   chagalarūpeṇākṣaṇasaṃkaṭaprāptānāṃ sattvānāṃ paripākāya praṇidhānaṃ cakāra	Cagala-rUpeNa-akzaNa-saMkawa-prAptAnAm sattvAnAm paripAkAya praNiDAnam cakAra
   / chinnaśroto gajarūpeṇa gajaparipākāya praṇidhānaṃ cakāra / evaṃ	/ Cinna-SrotaH gaja-rUpeNa gaja-paripAkAya praNiDAnam cakAra / evam
   dvādaśabhir maharddhikayakṣasahasraiś cāturdvīpikānivāsibhiḥ	dvAdaSaBiH mahardDika-yakza-sahasrEH cAturdvIpikA-nivAsiBiH
   sattvaparipākāya nānāvidhāni praṇidhānāni kṛtāny abhūvan anuttarāṃ	sattva-paripAkAya nAnAviDAni praNiDAnAni kRtAni aBUvan anuttarAm
   samyaksaṃbodhiṃ paryeṣamānaiḥ / tasyaiva cāhaṃ kakutsundasya tathāgatasya	samyaksaMboDim paryezamAnEH / tasya-eva ca-aham kakutsundasya taTAgatasya
   (Kurumiya 167) purato 'nuttarāṃ samyaksaṃbodhiṃ paryeṣamāṇo	(Kurum-iya 167) puratas anuttarAm samyaksaMboDim paryezamANaH-
   duṣṭayakṣaparipākāya praṇidhānaṃ kṛtavān iha kṛtsne bhadrake mahākalpe /	duzwa-yakza-paripAkAya praNiDAnam kRtavAn iha kRtsne Badrake mahAkalpe /
   haṃta duṣṭayakṣān akṛpān akṛtajñān viṣamacārāṃ pāpecchānn adayāpannān	haMta duzwa-yakzAn akRpAn akRtajQAn vizama-cArAm pApa-icCAn adayA-ApannAn
   yāvat kaṭapūtanān sattvaviheṭhakān ojoharāñ cittavikṣobhakān	yAvat kawa-pUtanAn sattva-viheWakAn ojaH-harAn citta-vikzoBakAn
   akuśalacittakārakāṃ prāṇātipātikān yāvan mithyādṛṣṭikāṃ	akuSala-citta-kArakAm prANa-atipAtikAn yAvat miTyAdRzwikAm
   kṣatriyabrāhmaṇaviṭchūdracittasaṃkṣobhakān	kzatriya-brAhmaNa-viS-SUdra-citta-saMkzoBakAn
   rāṣṭragrāmanagaranigamajanapadasaṃkṣobhakāṅ	rAzwra-grAma-nagara-nigama-janapada-saMkzoBa-kAF
   grahanakṣatracandrasūryarātridivasamāsārdhamāsartusaṃvatsarasaṃkṣobhakāṅ	graha-nakzatra-candra-sUrya-rAtri-diva-sa-mAsa-arDa-mAsaRtu-saMvatsara-saMkzoBa-kAF
   kalikalahadurbhikṣarogaparacakrākālavātavṛṣṭyatiśītoṣṇaniyojakān	kalikalaha-durBikza-roga-para-cakrA-kAla-vAta-vRzwi-atiSIta-uzNa-niyojakAn
   bījauṣadhipatrapuṣpaphalarasavināśakān	bIja-ozaDi-patra-puzpa-Pala-rasa-vinASakAn
   sattvasukhasaumanasyārogyasāmagrīkuśaladharmacchandapṛthivīrasaujārthadharmarasavimuktirasān	sattva-suKa-sOmanasya-Arogya-sAmagrI-kuSala-Darma=-Canda-pRTivI-rasa-oja-arTa-Darma-rasa-vimukti-rasAn
   antardhāpakāñ śikṣāgrahaṇe niyojyāvaivartikatve sthāpayeyaṃ tataḥ paścād	antarDApakAn SikzA-grahaNe niyojya-avEvartika-tve sTApayeyam tatas paScAt-
   aham anuttarāyāṃ samyaksaṃbodhau vyākaraṇaṃ pratilabheyaṃ //	aham anuttarAyAm samyaksaMboDO vyAkaraNam pratilaBeyam //
   tataś cāhaṃ prabhṛti nityaṃ yakṣasenāpatiṣūpapadya pāpayakṣān yāvat	tatas ca-aham praBRti nityam yakza-senApatizu-upapadya pApa-yakzAn yAvat-
   pāpakaṭapūtanān triṣu yāneṣu paripācyāvaivartikatve pratiṣṭhāpayāmi /	pApa-kawa-pUtanAn trizu yAnezu paripAcya-avEvartika-tve pratizWApayAmi /
   tataḥ prabhṛti hīnamadhyotkṛṣṭabhūtāṃ dṛṣṭvā nābhijānāmi paribhavituṃ /	tatas praBRti hIna-maDya-utkRzwa-BUtAm dRzwvA na-aBijAnAmi pariBavitum /
   yadrūpāṃś ca paśyāmi tenaiva rūpeṇa tān aham ālapāmi saṃlapāmi	yad-rUpAn ca paSyAmi tena-eva rUpeNa tAn aham AlapAmi saMlapAmi
   samuttejayāmi saṃpraharṣayāmi pāpāt pratinivārayāmi maitrakaruṇācittatāyāṃ	samuttejayAmi saMpraharzayAmi pApAt pratinivArayAmi mEtra-karuNA-citta-tAyAm
   pratiṣṭhāpayāmi / yathābhiprāyeṇa triṣu ratneṣv avaivartikāṃ	pratizWApayAmi / yaTA-aBiprAyeNa trizu ratnezu avEvartikAm
   pratiṣṭhāpayāmi / yāṃ yām eva yakṣaparṣadam upasaṃkramāmi tatra te māṃ	pratizWApayAmi / yAm yAm eva yakza-parzadam upasaMkramAmi tatra te mAm
   yakṣa āṭavaka-m-iti svāgatavācā āmantrayaṃti / tena me āṭavaka-m-iti nāma	yakzaH Awava-ka-m-iti svAgata-vAcA AmantrayaMti / tena me Awavaka-m-iti nAma
   samājñā udapādi / ye caitarhi manuṣyāḥ purāṇadharmarahitā asaṃvarasthā	samAjQAH udapAdi / ye ca-etarhi manuzyAH purANa-Darma-rahitA asaMvara-sTA
   ekāntakṛṣṇakarmasamācarās te kālaṃ kṛtvā tṛṣv apāyeṣūpapadyaṃte parittā	ekAnta-kRzNa-karma-samAcarAH te kAlam kRtvA tRzu apAyezu-upapadyaMte parittA
   manuṣyeṣu / ye vyāmiśrakarmasamācārās tṛṣu ratneṣu acalaprasādās te kālaṃ	manuzyezu / ye vyAmiSra-karma-samAcArAH tRzu ratnezu acala-prasAdAH te kAlam
   kṛtvā yadbhūyasā pāpayakṣeṣu pāpakaṭapūtaneṣūpapadyaṃte / tad etarhi	kRtvA yat-BUyasA pApa-yakzezu pApa-kawa-pUtanezu-upapadyaMte / tat etarhi
   bhūyiṣṭhataraṃ pāpayakṣeṣu yāvat pāpakaṭapūtaneṣūpapadyaṃte / tenaitarhi	BUyizWataram pApa-yakzezu yAvat pApa-kawa-pUtanezu-upapadyaMte / tena-etarhi
   pāpayakṣāṇāṃ yāvat (Kurumiya 168) pāpakaṭapūtanānāṃ loke vṛddhiḥ / sarve	pApa-yakzANAm yAvat (Kurum-iya 168) pApa-kawa-pUtanAnAm loke vRdDiH / sarve
   ca te śuklapakṣasyāntardhānāyodyuktāḥ / tenaitarhy atīva kaliyuge	ca te Sukla-pakzasya-antarDAnAya-udyuktAH / tena-etarhi atIva kali-yuge
   pravartate na cāhaṃ bhagavaṃ chaktaḥ sarvakālaṃ tān duṣṭayakṣān yāvad	pravartate na ca-aham Bagavam CaktaH sarvakAlam tAn duzwa-yakzAn yAvat-
   duṣṭakaṭapūtanān mārdavaśukladharmeṣu vivardhayituṃ / na cāhaṃ śakto	duzwa-kawa-pUtanAt mArdava-Sukla-Darmezu vivarDayitum / na ca-aham SaktaH-
   bhūyaḥ	BUyas-
   sarvakṣatriyabrāhmaṇaviṭchūdraśramaṇastrīpuruṣadārakadārikāsaṃkṣobhaṃ	sarva-kzatriya-brAhmaNa-viS-SUdra-SramaNa-strI-puruza-dAraka-dArikA-saMkzoBam
   praśamayituṃ / na ca gṛamanagaranigamajanapadarāṣṭrasaṃkṣobhaṃ	praSamayitum / na ca gRamanagara-nigama-janapada-rAzwra-saMkzoBam
   praśamayitum / na ca bhūyo 'haṃ śakto bhūtānāṃ cittacaitasikeṣu	praSamayitum / na ca BUyas aham SaktaH BUtAnAm citta-cEtasikezu
   vimuktirasaṃ pratiṣṭhāpayituṃ / parijñātā mayā kulaputra sarvabuddhatejasā	vimukti-rasam pratizWApayitum / parijQAtA mayA kula-putra sarva-budDa-tejasA
   sarvayakṣakaṭapūtanānāṃ hṛdayaśāṭhyaprayogāvakramaṇajñānatā //	sarva-yakza-kawa-pUtanAnAm hRdaya-SAWya-prayoga-avakramaNa-jQAna-tA //
   asti kulaputra vajrakhavasarī nāma bhūtānāṃ hṛdayaṃ	asti kula-putra vajraKavasarI nAma BUtAnAm hRdayam
   mahācaṇḍadāruṇavidyāmantradhāraṇī yair maṃtrapadaiḥ prayuktair na bhūyaś	mahA-caNxa-dAruNa-vidyA-mantra-DAraNI yEH maMtra-padEH prayuktEH na BUyas-
   kaścid yakṣo vā yakṣiṇī vā yakṣamahallako vā yakṣamahallikā vā yakṣadārako	kaScid yakzaH vA yakziNI vA yakzamahallakaH vA yakza-mahallikA vA yakza-dArakaH-
   vā yakṣadārikā vā yakṣapārṣado yakṣapārṣadi vā rākṣaso vā rākṣasī vā yāvan	vA yakza-dArikA vA yakza-pArzadaH yakza-pArzadi vA rAkzasaH vA rAkzasI vA yAvat-
