   harṣacaritam	harza-caritam
   vanamṛgīvodgrīvā vilokayantī mārgapariśrāntamasnapayadiva	vanamRgI-iva-udgrIvA vilokayantI mArga-pariSrAntam-asnapayat-iva
   dhavalitadaśadiśā dṛśā /	Davalita-daSa-diSA dRSA /
   kṛtāsanaparigrahaṃ tu taṃ prītyā sāvitrī papraccha--"ārya, kaccit kuśalī	kRta-Asana-parigraham tu tam prItyA sAvitrI papracCa--"Arya, kaccit kuSalI
   kumāraḥ?' iti /	kumAraHaH-a iti /
   so 'bravīt--"āyuṣmati, kuśalī /	saH abravIt---"Ayuzmati, kuSalI /
   smarati ca bhavatyoḥ /	smarati ca BavatyoH /
   kevalamamīṣu divaseṣu tanīyasīmiva tanu bibharti /	kevalam-amIzu divasezu tanIyasIm-iva tanu biBarti /
   avijñāyamānanimittāṃ ca śūnyatāmivādhatte /	avijQAyamAna-nimittAm ca SUnyatAm-iva-ADatte /
   api ca /	api ca /
   anvakṣamāgamiṣyatyeva mālatīti nāmnā bāṇinī vārtāṃ vo vijñātum /	anvakzam-Agamizyati-eva mAlatI-iti nAmnA bANinI vArtAm vaH vijQAtum /
   ucchvasita hi sā kumārasya' iti /	ucCvasita hi sA kumArasya-a iti /
   tacchrutvā punarapi /	tat-SrutvA punar-api /
   sāvitrī samabhāṣata--"atimahānubhāvaḥ khalu kumāro yenaivanamavijñāyamāne	sAvitrI sama-BAzata---"ati-mahA-anuBAvaH Kalu kumAraH yena-evanam-avijQAyamAne
   kṣaṇadṛṣṭe 'pi jane paricitimanubadhnāti /	kzaNa-dRzwe api jane paricitim-anubaDnAti /
   tasya hi gacchato yadṛcchayā kathamapyaṃsukamiva mārgalatāsu mānasamasmāsu	tasya hi gacCataH yadRcCayA kaTam-api-aMsukam-iva mArga-latAsu mAnasam-asmAsu
   muhūrtamāsaktamāsīt /	muhUrtam-Asaktam-AsIt /
   aśūnyaṃ hi saujanyamābijātyena vaḥ svāmisūnoḥ /	aSUnyam hi sOjanyam-AbijAtyena vaH svAmi-sUnoH /
   alasaḥ khalu loko yadevaṃ sulabhasauhārdāni yena kenacinna krīṇāti mahatāṃ	alasaH Kalu lokaH yat-evam sulaBa-sOhArdAni yena kenacid-na krINAti mahatAm
   manāṃsi /	manAMsi /
   so 'yamaudāryātiśayaḥ so 'pi mahātmanāmitarajanadurlabho	saH ayam-OdArya-atiSayaH saH api mahAtmanAm-itara-jana-durlaBaH-
   yenopakaraṇīkurvanti tribhuvanam' iti /	yena-upakaraNIkurvanti triBuvanam-a iti /
   vikukṣistūccāvacairālāpaiḥ suciramiva sthitvā yathābhilaṣitaṃ deśamayāsīt	vikukziH-tu-uccAvacEH-AlApEH su-ciram-iva sTitvA yaTA-aBilazitam deSa-mayAsIt-
   aparedyurudyati bhagavati dyumaṇāvuddāmadyutāvabhidrutatārake	aparedyus-udyati Bagavati dyumaNO=-uddAma-dyutO=-aBidruta-tArake
   tiraskṛtatamasi tāmarasavyāsavyasanini sahasraraśmau śoṇamutīryāyāntī,	tiraskRtatamasi tAmarasa-vyAsa-vyasanini sahasraraSmO SoNam-utIrya-AyAntI,
   taraladehaprabhāvitānacchalenātyacchaṃ sakalaṃ śoṇasalilamivānayantīṃ,	tarala-deha-praBA-vitAna=-Calena-atyacCam sakalam SoNa-salilam-iva-AnayantIM,
   sphuṭitātimuktakakusumastabakasamatviṣi saṭāle mahati mṛgapatāviva gaurī	sPuwita-atimuktaka-kusuma-stabaka-sama-tvizi sa-wAle mahati mRgapatO=-iva gOrI
   turaṅgame sthita, salīlamurobandhāropitasya tiryagutkarṇaturagākarṇya,	turaFgame sTita, sa-lIlam-urobanDa-Aropitasya tiryak-utkarNa-turagAkarNya,
   mānanūpurapaṭuraṇitasyātibahalena piṇḍālaktakena pallavitasya	mAna-nUpura-pawu-raNitasya-ati-bahalena piNxa-alaktakena pallavitasya
   kuṅkumapiñjaritapṛṣṭhasya caraṇayugalasya prasaradbhiratilohitaiḥ	kuFkuma-piQjarita-pRzWasya caraNa-yugalasya prasaradBiH-ati-lohitEH
   prabhāpravāhairubhayatastāḍanadohadalobhāgatāni kisalayitāni	praBA-pravAhEH-uBayatas-tAxana-dohada-loBA-gatAni kisalayitAni
   raktāśokavanānīvākarṣayantī, sakalajīvanalokahṛdayahaṭhaharaṇāghoṣaṇayeva	rakta-aSoka-vanAni-iva-AkarzayantI, sakala-jIvana-loka-hRdaya-haWa-haraNa-aGozaNayA-iva
   raśanayā śiñjānajaghanasthalā, dhautadhavalanetranirmitena	raSanayA SiQjAna-jaGana-sTalA, DOta-Davala-netra-nirmitena
   nirmokalaghutareṇāprapadīnena kañcukena tirohitatanulatā,	nirmoka-laGutareNa-aprapadInena kaQcukena tirohita-tanu-latA,
   chātakañcukāntaradṛśyamānairāśyānacandanadhavalairavayavaiḥ	CAta-kaQcuka-antara-dRSyamAnEH-ASyAna-candana-DavalEH-avayavEH
   svacchasalilābyantaravibhāvyamānamṛṇālakāṇḍeva sarasī, kusumbharāgapāṭalaṃ	su-acCa-salilAbI-antara-viBAvyamAna-mRNAla-kANxA-iva sarasI, kusumBa-rAga-pAwalam
   pulakabandhacitraṃ caṇḍātakamantaḥsphuṭaṃ sphaṭikabhūmiriva	pulaka-banDa-citram caNxAtakam-antar-sPuwam sPawika-BUmiH-iva
   ratnanidhānamādadhānā, hāreṇāmalakīphalanistulamuktāphalena	ratna-niDAnam-AdaDAnA, hAreNa-AmalakI-Pala-nistula-muktAPalena
   sphuritasthūlagrahagaṇaśārā śāradīva śvetaviralajaladharapaṭalāvṛtā dyauḥ,	sPurita-sTUla-graha-gaNa-SArA SAradI-iva Sveta-virala-jalaDara-pawala-AvRtA dyOH,
   kucapūrṇakalaśayorupari ratnaprālambamālikāmaruṇaharitakiraṇakisalayinīṃ	kuca-pUrNa-kalaSayoH-upari ratna-prAlamba-mAlikAm-aruNa-harita-kiraNa-kisalayinIm
   kasyāpi puṇyavato hṛdayapraveśavanamālikāmiva baddhāṃ dhārayantī,	kasya-api puNyavataH hRdaya-praveSa-vanamAlikAm-iva badDAm DArayantI,
   prakoṣṭhaniviṣṭasyaikasya hāṭakakaṭakasya marakatamakaravedikāsanāthasya	prakozWa-nivizwasya-ekasya hAwaka-kawakasya marakatamakara-vedikAsanATasya
   haritīkṛtadigantābhirmaṃyūkhasaṃtatibhiḥ sthalakamalinībiriva	haritIkRta-diS-antABiH-maMyUKa-saMtatiBiH sTala-kamalinI-biH-iva
   lakṣmīśaṅkhayānugamyamānā,	lakzmI-SaFKayA-anugamyamAnA,
   atibahalatāmbūlakṛṣṇikāndhakāritenādharasaṃpuṭena mukhaśaśipītaṃ	ati-bahala-tAmbUla-kRzNika-anDakAritena-aDara-saMpuwena muKa-SaSi-pItam
   sasaṃdhyārāgaṃ timiramiva vamantī,	sa-saMDyA-rAgam timiram-iva vamantI,
   vikacanayanakuvalayakutūhalālīnayālikulasaṃhatyā nīlāṃśukajālikayeva	vikaca-nayana-kuvalaya-kutUhala-AlI-nayA-alikula-saMhatyA nIla-aMSuka-jAlikayA-iva
   niruddhādhavadanā, nīlīrāganihitanīlimnā śikhidyotamānā,	nirudDADa-vadanA, nIlI-rAga-nihita-nIlimnA SiKidyotamAnA,
   bakulaphalānukāriṇībhistisṛbhirmuktābhiḥ kalpitena	bakula-Pala-anukAriNIBiH-tisRBiH-muktABiH kalpitena
   bālikāyugalenādhomukhenālokajalavarṣiṇā siñcantīvātikomale bhujalate,	bAlikA-yugalena-aDomuKena-Aloka-jala-varziNA siQcanti-iva-ati-komale Buja-late,
   dakṣiṇakarṇāvataṃsitayā ketakīgarbhapalāśalekhayā	dakziNa-karNa-avataMsitayA ketakI-garBa-palASa-leKayA
   rajanikarajihvālatayevalāvaṇyalobhena lihyamānakapolatalā, tamālaśyāmalena	rajanikara-jihvA-latayA-iva-lAvaNya-loBena lihyamAna-kapola-talA, tamAla-SyAmalena
   mṛgamadāmodaniṣyadinā tilakabindunā mudritamiva manobhavasarvasvaṃ	mRgamadAmoda-nizyadinA tilaka-bindunA mudritam-iva manoBava-sarvasvam
   vadanamudvahantī, lalāṭalāsakasya sīmantacumbinaścaṭulātilakamaṇerudañcatā	vadanam-udvahantI, lalAwa-lAsakasya sImanta-cumbinaH-cawulA-tilaka-maNeH-udaQcatA
   caṭulenāṃśujāleneva raktāṃśukeneva kṛtaśirāvaguṇṭhanā,	cawulena-aMSu-jAlena-iva rakta-aMSukena-iva kRta-Sira-avaguNWanA,
   pṛṣṭhapreṅkhadanādarasaṃyamanaśithilajūṭikābandhā nīlacāmarāvakūlinīva,	pRzWa-preFKadana-Adara-saMyamana-SiTila-jUwikA-banDAH nIla-cAmara-avakUlinI-iva,
   cūḍāmaṇimakarikāsanāthā makaraketupatākeva kuladevateva candramasaḥ,	cUxAmaNimakari-kAsanATAH makara-ketu-patAkA-iva kula-devatA-iva candramasaH,
   punaḥsañjīvanauṣadhiriva puṣpadhanuṣaḥ, veleva rāgasāgarasya, jyotsneva	punar-saQjIvana-ozaDiH-iva puzpa-DanuzaH, velA-iva rAga-sAgarasya, jyotsnA-iva
   yauvanacandrodayasya, mahānadīva ratirasāmṛtasya, kusumodgatiriva	yOvana-candra-udayasya, mahAnadI-iva rati-rasa-amRtasya, kusuma-udgatiH-iva
   suratataroḥ, bālavidyeva vaidagdhyasya, kaumudīva kānteḥ, dhṛtiriva	surata-taroH, bAla-vidyA-iva vEdagDyasya, kOmudI-iva kAnteH, DRtiH-iva
   dhairyasya, guruśāleva gauravasyabījabhūmiriva vinayasya, goṣṭhīva	DEryasya, guru-SAlA-iva gOravasya-bIja-BUmiH-iva vinayasya, gozWI-iva
   guṇānām, manasviteva mahānubhāvatāyāḥ, tṛptiriva tāruṇyasya,	guNAnAm, manasvi-tA-iva mahA-anuBAvatAyAH, tRptiH-iva tAruNyasya,
   kuvalayadaladāmadīrghalocanayā pāṭalādharayā kundakuḍhmalasphuṭadaśanayā	kuvalaya-dala-dAma-dIrGa-locanayA pAwalA-DarayA kunda-kuXmala-sPuwa-daSanayA
   śirīṣamālāsukumārabhujayugalayā kamalakomalakarayā	SirIza-mAlA-sukumAra-Buja-yugalayA kamala-komala-karayA
   bakulasurabhiniḥśvasitayā campakāvadātadehayā kusumamayyeva	bakula-suraBi-niHSvasitayA campaka-avadAta-dehayA kusuma-mayI-eva
   tāmbūlakaraṇḍavāhinyā mālatī samadṛśyata /	tAmbUla-karaNxavAhinyA mAlatI samadRSyata /
   dūrādeva ca dadhīcapremṇā sarasvatyā luṇṭhiteva manorathaiḥ, ākṛṣṭeva	dUrAt-eva ca daDIca-premNA sarasvatyA luNWitA-iva manoraTEH, AkRzwA-iva
   kutūhalena, pratyudgatevotphalikābhiḥ, āliṅgitevotkaṇṭhayā,	kutUhalena, pratyudgatA-iva-utPalikABiH, AliFgitA-iva-utkaNWayA,
   antaḥpraveśiteva hṛdayena, snapitevānandāśrubhiḥ, vilipteva smitena,	antar-praveSitA-iva hRdayena, snapitA-iva-Ananda-aSruBiH, viliptA-iva smitena,
   vījitevocchvasitaiḥ, ācchāditeva cakṣuṣā, amyarciteva vadanapuṇḍarīkeṇa,	vIjitA-iva-ucCvasitEH, AcCAditA-iva cakzuzA, ami-arcitA-iva vadana-puNxarIkeNa,
   sakhīkṛtevāśayā savidhamupayayau /	saKIkRtA-iva-ASayA saviDam-upayayO /
   avatīrya ca dūrādevānatena mūrdhnā praṇāmamakarot /	avatIrya ca dUrAt-eva-Anatena mUrDnA praNAmam-akarot /
   āliḍgitā ca tābhyāṃ savinayamupāviśat /	AlixgitA ca tAByAm sa-vinayam-upAviSat /
   sapraśrayaṃ tābhyāṃ saṃbāṣitā ca puṇyabhājanamātmānamamanyata /	sa-praSrayam tAByAm saMbAzitA ca puNya-BAjanam-AtmAnam-amanyata /
   akathayacca dadhīcasaṃdiṣṭaṃ śirasi nihitenāñjalinā namaskāram /	akaTayat-ca daDIca-saMdizwam Sirasi nihitena-aQjalinA namaskAram /
   agṛhṇāccākarataḥ prabhṛtyagrāmyatayā taistaratipeśalairālāpaiḥ	agRhNAt-ca-akarataH praBRti-agrAmya-tayA tEH-tarati-peSalEH-AlApEH
   sāvitrīsarasvatyormanasī /	sAvitrI-sarasvatyoH-manasI /
   krameṇa cātīte madhyandinasamaye śoṇamavatīrṇāyāṃ sāvitryāṃ	krameNa ca-atIte maDyandina-samaye SoNam-avatIrNAyAm sAvitryAm
   snātumutsāritaparijanā sākūteva mālatī kusumasrastaśāyinīṃ samupasṛtya	snAtum-utsArita-parijanA sA-AkUtA-iva mAlatI kusuma-srasta-SAyinIm samupasRtya
   sarasvatīmābabhāṣe--devi, vijñāpyaṃ naḥ kiñcidasti rahasi /	sarasvatIm-AbaBAze---devi, vijQApyam naH kiQcid-asti rahasi /
   yato muhūrtamavadhānadānena prasādaṃ kriyamāṇamicchāmi' iti /	yatas muhUrtam-avaDAna-dAnena prasAdam kriyamANam-icCAmia iti /
   sarasvatī tu dadhīcasadeśāśaṅkinī kiṃ vakṣyatīti	sarasvatI tu daDIca-sa-deSa-ASaFkinI kim vakzyati-iti
   stananihitavāmakaranakharakiraṇadanturitamudbhidyamānakutūhalāṅkuranikaramiva	stana-nihita-vAma-kara-naKara-kiraNa-danturitam-udBidyamAna-kutUhala-aFkura-nikaram-iva
   hṛdayamuttarīyakūlavalkalaikadeśena saṃchādayantī, galatāvataṃsapallavena	hRdayam-uttarIya-kUla-valkala-eka-deSena saMCAdayantI, galatA-avataMsa-pallavena
   śrotuṃ śravaṇeneva kutūhalāddhāvamānenāvirataśvāsasaṃdohadolāyitāṃ	Srotum SravaNena-iva kutUhalAt-Da-avamAnena-avirata-SvAsa-saMdoha-dolAyitAm
   jīvitāśāmiva samāsannataruṇatarulatāmavalambamānā, samutphullasya	jIvitASAm-iva samAsanna-taruNa-taru-latAm-avalambamAnA, samutPullasya
   mukhaśaśino lāvaṇyapravāheṇa śṛṅgārarasenevāplāvayantī sakalaṃ jīvalokam,	muKa-SaSinaH lAvaNya-pravAheNa SRFgAra-rasena-iva-AplAvayantI sakalam jIva-lokam-,
   śayanakusumaparimalalagnairmadhukarakadambakairmadanānaladāhaśyāmalairmanorathairiva	Sayana-kusuma-parimala-lagnEH-maDukara-kadambakEH-madana-anala-dAha-SyAmalEH-manoraTEH-iva
   nirgatya mūrtairutkṣipyamāṇā, kusumaśayanīyātsmaraśarasaṃjvariṇī, mandaṃ	nirgatya mUrtEH-utkzipyamANA, kusuma-SayanIyAt-smara-Sara-saMjvariNI, mandam
   mandamudāgāt /	mandam-udAgAt /
   "upāṃśu kathaya' iti kapolatalanatibimbitāṃ lajjayā karṇamūlamiva mālatīṃ	"upAMSu kaTaya-a iti kapola-talanati-bimbitAm lajjayA karNa-mUlam-iva mAlatIm
   praveśayantī madhurayā girā sudhīramuvāca--"sakhi mālati,	praveSayantI maDurayA girA su-DIram-uvAca--"saKi mAlati,
   kimarthamevamabhidadhāsi? kāhamavadhānadānasya śarīrasya prāṇānāṃ vā?	kimarTam-evam-aBidaDA-asi? kA-aham-avaDAna-dAnasya SarIrasya prANAnAm vA?
   sarvasyāprāryito 'pi prabhavatyevātivelaṃ cakṣuṣyo janaḥ /	sarvasya-aprAryitaH api praBavati-eva-ativelam cakzuzyaH janaH /
   sā na kācidyā na bhavasi me svasā sakhī praṇayinī prāṇasamā ca /	sA na kAcid-yA na Bavasi me svasA saKI praNayinI prANa-samA ca /
   niyujyatāṃ yāvataḥ kāryasya kṣamaṃ kṣodīyasī garīyasī vā śarīrakamidam /	niyujyatAm yAvataH kAryasya kzamam kzodIyasI garIyasI vA SarIrakam-idam /
   anavaskaramāśravaṃ tvayi hṛdayam /	anavaskaram-ASravam tvayi hRdayam /
   prītyā pratisarā vidheyāsmi te /	prItyA pratisarAH viDeyA-asmi te /
   vyāvṛṇu varavarṇini, vivakṣitam' iti /	vyAvRNu varavarNini, vivakzitam-a iti /
   sā tvavādīt--"devi, jānāsyeva mādhuryaṃ viṣayāṇām, lolupatāṃ	sA tu-avAdIt--"devi, jAnAsi-eva mADuryam vizayANAm, lolupatAm
   cendriyagrāmasya, unmāditāṃ ca navayauvanasya, pāriplavatāṃ ca manasaḥ /	ca-indriya-grAmasya, unmAditAm ca nava-yOvanasya, pAriplavatAm ca manasaH /
   prakhyātaiva manmathasya durnivāratā /	praKyAta-eva manmaTasya durnivAra-tA /
   ato na māmupālambhenopasthātumahasi /	atas na mAm-upAlamBena-upasTAtu-mahasi /
   na ca bāliśatā capalatā cāraṇatā vā vācālatāyāḥ kāraṇam /	na ca bAliSatA capalatA cAraNa-tA vA vAcAla-tAyAH kAraNam /
   na kiñcinna kārayatyasādhāraṇā svāmibhaktiḥ /	na kiQcid-na kArayati-asADAraNA svAmi-BaktiH /
   sā tvaṃ devi, yadaiva dṛṣṭāsi devena tata evārabyāsya kāmo guruḥ, candramā	sA tvam devi, yadA-eva dRzwA-asi devena tatas eva-Arabya-asya kAmaH guruH, candramA
   jīviteśaḥ, malayamaruducchvāsahetuḥ, ādhayo 'ntaraṅgasthāneṣu, saṃtāpaḥ,	jIvita-ISaH, malaya-marut-ucCvAsa-hetuH, ADayaH antaraFga-sTAna-izu, saMtApaH,
   paramasuhṛt, prajāgara āptaḥ, manorathāḥ sarvagatāḥ, niḥśvāsā	parama-suhRt, prajAgaraH AptaH, manoraTAH sarva-gatAH, niHSvAsA
   vigrahāgresarāḥ, mṛtyuḥ pārśvavartī, raṇaraṇakaḥ saṃcārakaḥ saṃkalpā	vigraha-agresarAH, mRtyuH pArSva-vartI, raNaraNakaH saMcArakaH saMkalpA
   buddhyupadeśavṛddhāḥ /	budDi-upadeSa-vRdDAH /
   kiñca vijñāpayāmi /	kiQca vijQApayAmi /
   anurūpo deva ityātmasaṃbhāvanā, śīlavāniti prakramaviruddham, dhora	anurUpaH devaH iti-Atma-saMBAvanA, SIlavAn-iti prakrama-virudDam, Dora
   ityavasthāviparītam, subhaga iti tvadāyattam, sthiraprītiriti	iti-avasTA-viparItam, suBagaH iti tvad-Ayattam, sTira-prItiH-iti
   nipuṇopakṣepaḥ, jānāti sevitumityasvāmibāvocitam, icchati	nipuNa-upakzepaH, jAnAti sevitum-iti-asvAmi-ba-avocitam, icCati
   dāsabhāvamāmaraṇātkartumiti dhūrtālāpaḥ, bhavanasvāminī	dAsa-BAvam-AmaraNAt-kartum-iti DUrta-AlApaH, BavanasvAminI
   bhavetyupapralobhanam, puṇyabhāginī bhajati bhartāraṃ tādṛśamiti	Bava-iti-upapraloBanam, puNya-BAginI Bajati BartAram tAdRSam-iti
   svāmipakṣapātaḥ, tvaṃ tasya mṛtyurityapriyam, aguṇajñāsītyadhikṣepaḥ,	svAmi-pakzapAtaH, tvam tasya mRtyuH-iti-apriyam, aguNa-jQAsi-iti-aDikzepaH,
   svapne 'pyasya bahuśaḥ kṛtaprasādāsītyasākṣikam, prāṇarakṣārthamarthayata	svapne api-asya bahuSas kRta-prasAda-asIti-asAkzikam, prANa-rakzA-arTam-arTayata
   iti kātaratā, tatra gamyatāmityājñā, vārito 'pi balādāgacchatīti	iti kAtara-tA, tatra gamyatAm-iti-AjQA, vAritaH api balAt-AgacCati-iti
   paribhavaḥ /	pariBavaH /
   tadevamagocare girāmasīti śrutvā devī pramāṇam' ityabhidhāya tūṣṇīmabhūta	tat-evam-agocare girAm-asi-iti SrutvA devI pramANam-a iti-aBiDAya tUzNIm-aBUta
   atha sarasvatī prītivisphāritena cakṣuṣā pratyavādīta-"ayi, na śaknomi	aTa sarasvatI prIti-visPAritena cakzuzA pratyavAdIta--"ayi, na Saknomi
   bahu bāṣitum /	bahu bAzitum /
   eṣāsmi te smitavādini vacasi sthitā /	ezA-asmi te smita-vAdini vacasi sTitA /
   gṛhyantāmamī prāṇāḥ' iti /	gRhyantAm-amI prANAH-a iti /
   mālatī tu devi, yadājñāpayasi, atiprasādāya' iti vyāhṛtya praharṣaparavaśā	mAlatI tu devi, yat-AjQApayasi, ati-prasAdAya-a iti vyAhRtya praharza-paravaSA
   praṇamya prajavinā turageṇa tatāra śoṇam /	praNamya prajavinA turageNa tatAra SoNam /
   agācca dadhīcamānetu cyavanāśramapadam /	agAt-ca daDIcamAnetu cyavana-ASrama-padam /
   itarā tu sakhīsnehena sāvitrīmapi viditavṛttāntāmakarot /	itarA tu saKI-snehena sAvitrIm-api vidita-vRttAntAm-akarot /
   utkaṇṭhābhārabhṛtā ca tāmyatā cetasā kalpāyitaṃ kathaṅkathamapi	utkaNWA-BAra-BRtA ca tAmyatA cetasA kalpAyitam kaTaFkaTam-api
   divasaśeṣamanaiṣīt /	divasa-Sezam-anEzIt /
   astamupagate ca bhagavati gabhastimati, stimitataramavatarati tamasi,	astam-upagate ca Bagavati gaBasti-mati, stimitataram-avatarati tamasi,
   prahasitāmiva sitāṃ diśaṃ paurandarīṃ darīmiva kesariṇi muñcati candramasi	prahasitAm-iva sitAm diSam pOrandarIm darIm-iva kesariNi muQcati candramasi
   sarasvatī śucini cīnāṃśukasukumāratare taraṅgiṇi dugūlakomalaśayana iva	sarasvatI Sucini cIna-aMSuka-sukumAratare taraFgiNi dugUla-komala-SayanaH iva
   śoṇasaikate samupaviṣṭā svapnakṛtaprārthanā pādapatanalagnāṃ	SoNa-sEkate samupavizwA svapna-kRta-prArTanA pAda-patana-lagnAm
   dadhīcacaraṇanakhacandrikāmiva lalāṭikāṃ dadhānā,	daDIca-caraNa-naKa-candrikAm-iva lalAwikAm daDAnA,
   gaṇḍasthalādarśapratibimbatena "cāruhāsini, ayamasāvāhṛto hṛdayadayito	gaNxa-sTala-AdarSa-pratibimba-tena "cAru-hAsini, ayamasO=-AhRtaH hRdaya-dayitaH-
   janaḥ' iti śravaṇasamīpavartinā nivedyamānamadanasaṃdeśevendunā,	janaH-a iti SravaNa-samIpa-vartinA nivedyamAna-madana-saMdeSA-iva-indunA,
   vikīryamāṇanakhakiraṇacakravālena vālavyajanīkṛtacandrakalākalāpeneva	vikIryamANa-naKa-kiraNa-cakravAlena vAla-vyajanIkRta-candra-kalA-kalApena-iva
   kareṇa vījayantī svedinaṃ kapolapaṭṭam, "atra dadhīcādṛte na	kareNa vIjayantI svedinam kapola-pawwam, "atra daDIcAt-Rte na
   kenacitpraveṣṭavyam' iti tiraśvīnaṃ cittabhuvā pātitāṃ vilāsavetralatāmiva	kenacid-pravezwavyam-a iti tiraSvInam citta-BuvA pAtitAm vilAsa-vetra-latAm-iva
   bālamṛṇālikāmadhistanaṃ stanayantī kathamapi hṛdayena vahanti	bAla-mRNAlikAm-aDistanam stanayantI kaTam-api hRdayena vahanti
   pratipālayāmāsa āsīccāsyā manasi--"ahamapi nāma sarasvatī yatrāmunā	pratipAlayAmAsaH AsIt-ca-asyAH manasi--"aham-api nAma sarasvatI yatra-amunA
   manaujanmanā jānatyeva paravaśīkṛtā /	manOjanmanA jAnati-eva para-vaSIkRtA /
   tatra kā gaṇanetarāsu tapasvinīṣvatitaralāsu taruṇīṣu' iti /	tatra kAH gaNanA-itarAsu tapasvinIzu-ati-taralAsu taruNI-izu-a iti /
   ājagāma ca madhumāsa iva surabhigandhavāhaḥ, haṃsa iva kṛtamṛṇāladhṛtiḥ,	AjagAma ca maDu-mAsaH iva suraBi-ganDa-vAhaH, haMsaH iva kRta-mRNAla-DRtiH,
   śikhaṇḍīva ghanaprītyunmukhaḥ, malayānila	SiKaNxI-iva Gana-prIti-unmuKaH, malaya-anila
   ivāhitasarasacandanaghavalatanulatotkampaḥ, kṛṣyamāṇa iva	iva-ahita-sarasa-candana-Gavala-tanu-latA-utkampaH, kRzyamANaH iva
   kṛtakarakacagraheṇa grahapatinā, preryamāṇa iva kandarpoddīpanadakṣeṇa	kRta-kara-kaca-graheNa graha-patinA, preryamANaH iva kandarpa-uddIpana-dakzeNa
   dakṣiṇānilena, uuhyamāna ivotkalikābahulena ratisarasena,	dakziNa-anilena, uuhyamAnaH iva-utkalikA-bahulena rati-sarasena,
   parimalasaṃpātinā madhupapaṭalena paṭeneva nīlenācchāditāṅgayaṣṭiḥ,	parimala-saMpAtinA maDupa-pawalena pawena-iva nIlena-AcCAdita-aFga-yazwiH,
   antaḥsphuratā mattamadanakarikarṇaśahkhāyamānena pratimendunā	antar-sPuratA matta-madana-karikarNa-SahKAyamAnena pratima-indunA
   prathamasamāgamavilāsavilakṣasmiteneva dhavalīkriyamāṇaikakapolodaro	praTama-samAgama-vilAsa-vilakza-smitena-iva DavalI-kriyamANa-eka-kapola-udaraH-
   mālatīdvitīyo dadhīcaḥ /	mAlatI-dvitIyaH daDIcaH /
   āgatya ca hṛdayagatadayitānūpuraravavimiśrayeva haṃsagadgadayā girā	Agatya ca hRdaya-gata-dayita-AnUpura-rava-vimiSrayA-iva haMsa-gadgadayA girA
   kṛtasaṃbhāṣaṇo yathā manmathaḥ samājñāpayati, yathā yauvanamupadiśati,	kRta-saMBAzaNaH yaTA manmaTaH samAjQApayati, yaTA yOvanam-upadiSati,
   yathā vidagdhatādhyāpayati, yathānurāgaḥ śikṣayati, tathā tāmabhirāmāṃ	yaTA vidagDa-tA-aDyApayati, yaTA-anurAgaH Sikzayati, taTA tAm-aBirAmAm
   rāmāmaramayat /	rAmA-amaramayat /
   upajātavisrambhā cātmānamakathayadasya sarasvatī /	upajAta-visramBA ca-AtmAnam-akaTayat-asya sarasvatI /
   tena tu sārdhamekadivasamiva saṃvatsaramadhikamanayat /	tena tu sArDam-eka-divasam-iva saMvatsaram-aDikam-anayat /
   atha daivayogātsarasvatī babhāra garbham /	aTa dEva-yogAt-sarasvatI baBAra garBam /
   asūta cānehasā sarvalakṣaṇābhirāmaṃ tanayam /	asUta ca-AnehasA sarva-lakzaNa-aBirAmam tanayam /
   tasmai ca jātamātrāyaiva "samyaksarahasyāḥ sarvevedāḥ sarvāṇi ca śāstrāṇi	tasmE ca jAta-mAtrAya-eva "samyak-sa-rahasyAH sarvevedAH sarvANi ca SAstrANi
   sakalāśca kalā matprabhāvātṝ svayamāvirbhaviṣyanti' iti varamadātṝ /	sakalAH-ca kalA mad-praBAvAtL svayam-AvirBavizyanti-a iti varam-adAtL /
   sadbhartṛślāghayā darśayitumiva hṛdayenādāya dadhīcaṃ pitāmahādeśātsamaṃ	sat-BartR-SlAGayA darSayitum-iva hRdayena-AdAya daDIcam pitAmaha-AdeSAt-samam
   sāvitryā punarapi brahnalokamāruroha /	sAvitryA punar-api brahna-lokam-Aruroha /
   gatāyāṃ ca tasyāṃ dadhīco 'pi hṛdaye hrādinyevābhihato	gatAyAm ca tasyAm daDIcaH api hRdaye hrAdinI-eva-aBihataH-
   bhārgavavaṃśasaṃbhūtasya bhrāturbrāhnaṇasya jāyāmakṣamālābhidhānāṃ	BArgava-vaMSa-saMBUtasya BrAtuH-brAhnaNasya jAyAm-akza-mAlA-aBiDAnAm
   munikanyakāmātmasūnoḥ saṃvardhanāya niyujya virahāturastapase vanamasāt /	muni-kanyakAm-Atma-sUnoH saMvarDanAya niyujya viraha-AturaH-tapase vanamasAt /
   yasminnevāvasare sarasvatyasūta tanayaṃ tasminnevākṣamālāpi sutaṃ	yasmin=-eva-avasare sarasvati-asUta tanayam tasmin=-eva-akzamAlA-api sutam
   prasūtavatī /	prasUtavatI /
   tau tu sā nirviśeṣaṃ sāmānyastanyādinā śanaiḥ śanaiḥ śiśū samavardhayat /	tO tu sA nirviSezam sAmAnya-stanya-AdinA SanEs SanEs SiSU samavarDayat /
   ekastayoḥ sārasvatākhya evābhavatṝ, aparo 'pi vatsanāmāsīt /	ekaH-tayoH sArasvata-AKyaH eva-aBavatL, aparaH api vatsanAmA-AsIt /
