   (PSP_6 8:1)	(PSu _6 8:1)
   nāparijñānam iyam evāsya parijñā, yad rūpasya (PSP_6 8:155) na prahāṇaṃ	na aparijQAnam iyam eva asya parijQA, yat rUpasya (PSu _6 8:155) na prahANam
   nāprahāṇam idam evāsya prahāṇaṃ, yad vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ	na aprahANam idam eva asya prahANaM, yat vedanAyAH saMjQAyAH saMskArANAm
   vijñānasya yāvad buddhadharmāṇāṃ na prahāṇaṃ nāprahāṇam idam evāsya	vijQAnasya yAvat budDa DarmANAm na prahANam na aprahANam idam eva asya
   prahāṇaṃ, yā rūpasya na sākṣātkriyā nāsākṣātkriyā iyam evāsya sākṣātkriyā,	prahANan, yA rUpasya na sAkzAtkriyA nAsAkzAt kriyA iyam eva asya sAkzAtkriyA,
   yā vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ vijñānasya yāvad buddhadharmāṇāṃ na	yAH vedanAyAH saMjQAyAH saMskArANAm vijQAnasya yAvat budDa DarmANAm na
   sākṣātkriyā nāsākṣātkriyā iyam evāsya sākṣātkriyā rūpaprahāṇāya na	sAkzAtkriyA nAsAkzAt kriyA iyam eva asya sAkzAtkriyA rUpa prahANAya na
   mārgasya bhāvanā nābhāvanā iyam evāsya bhāvanāyā, evaṃ vedanāyāḥ saṃjñāyāḥ	mArgasya BAvanAH nABAvanAH iyam eva asya BAvanAyA, evam vedanAyAH saMjQAyAH
   saṃskārāṇāṃ vijñānasya yāvad buddhadharmāṇāṃ prahāṇāya na mārgasya bhāvanā	saMskArANAm vijQAnasya yAvat budDa DarmANAm prahANAya na mArgasya BAvanA
   nābhāvanā iyam evāsya bhāvanā.	nABAvanAH iyam eva asya BAvanA.
   maitreya āha: prajñāpāramitāyāṃ bhagavaṃś carato bodhisattvasya	mEtreyaH Aha: prajQApAramitAyAm Bagavan carataH boDisattvasya
   mahāsattvasyaivaṃ parijñāprahāṇasākṣātkriyābhāvanāsamanvāgatasya katamaṃ	mahAsattvasya evam parijQA prahANa sAkzAtkriyA BAvanA samanvAgatasya katamam
   nirvāṇam?	nirvANam?
   bhagavān āha: gambhīraṃ maitreya paramagambhīraṃ bodhisattvānāṃ	BagavAn Aha: gamBIram mEtreya parama gamBIram boDisattvAnAm
   mahāsattvānāṃ nirvāṇam.	mahAsattvAnAm nirvANam.
   maitreya āha: kena kāraṇena bodhisattvānāṃ mahāsattvānām evaṃ gambhīraṃ	mEtreyaH Aha: kena kAraNena boDisattvAnAm mahAsattvAnAm evam gamBIram
   paramagambhīraṃ nirvāṇam?	parama gamBIram nirvANam?
   bhagavān āha: bodhisattvānāṃ mahāsattvānāṃ maitreya nirvāṇaṃ yan nirvāṇaṃ	BagavAn Aha: boDisattvAnAm mahAsattvAnAm mEtreya nirvANam yat nirvANam
   nānirvāṇaṃ tena gambhīraṃ paramagambhīram ity ucyate.	na anirvANam tena gamBIram parama gamBIram iti ucyate.
   maitreya āha: kathaṃ bhagavan bodhisattvānāṃ mahāsattvānāṃ na nirvāṇaṃ	mEtreyaH Aha: kaTam Bagavan boDisattvAnAm mahAsattvAnAm na nirvANam
   bhavati?	Bavati?
   bhagavān āha: parārthaṃ maitreyārabhya saṃsārāparityāgo na nirvāṇam,	BagavAn Aha: para arTam mEtreya AraBya saMsAra aparityAgaH na nirvANam,
   ātmārtham ārabhya nirvāṇāparityāgo nānirvāṇam.	Atma arTam AraBya nirvANa aparityAgaH na anirvANam.
   maitreya āha: saced bhagavan bodhisattvo mahāsattvaḥ parārtham ārabhya	mEtreyaH Aha: saced Bagavan boDisattvaH mahAsattvaH para arTam AraBya
   saṃsāraṃ na parityajati saṃsārāt parityāgāt katham anena nirvāṇaṃ na	saMsAram na parityajati saMsArAt parityAgAt kaTam anena nirvANam na
   parityaktaṃ bhavati? saced bhagavan bodhisattvo mahāsattva ātmārtham	parityaktam Bavati? saced Bagavan boDisattvaH mahAsattvaH Atma arTam
   ārabhya nirvāṇaṃ na parityajati nirvāṇāparityāgāt katham anena saṃsāro na	AraBya nirvANam na parityajati nirvANa aparityAgAt kaTam anena saMsAraH na
   parityakto bhavati?	parityaktaH Bavati?
   bhagavān āha: iha maitreya bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	BagavAn Aha: iha mEtreya boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   saṃsāram api saṃsārato na vikalpayati, nirvāṇam api nirvāṇato na	saMsAram api saMsArataH na vikalpayati, nirvANam api nirvANataH na
   vikalpayati, tasyaivam avikalpayataḥ samam etad bhavati (PSP_6 8:156) yad	vikalpayati, tasya evam avikalpayataH samam etat Bavati (PSu _6 8:156) yat 
   uta saṃsāraś ca nirvāṇaś ca. tat kasya hetoḥ? tathā hi sa yathā saṃsāraṃ	uta saMsAraH ca nirvANaH ca. tat kasya hetoH? taTA hi sa yaTA saMsAram
   saṃsārato 'vikalpayan saṃsārān nodvijati, tathāiva nirvāṇaṃ nirvāṇato	saMsArataH avikalpayan saMsArAt na udvijati, taTA aiva nirvANam nirvANataH 
   'vikalpayan nirvāṇato nodvijaty evam avikalpadhātupratiṣṭhitasyānayā	avikalpayat nirvANataH na udvijati evam avikalpa DAtu pratizWitasya anayA
   yuktyā na saṃsāraparityāgo na nirvāṇaparityāgo veditavyaḥ.	yuktyA na saMsAra parityAgaH na nirvANa parityAgaH veditavyaH.
   maitreya āha: na nu bhagavan prajñāpāramitāyāṃ caratā bodhisattvena	mEtreyaH Aha: na nu Bagavan prajQApAramitAyAm caratA boDisattvena
   mahāsattvenāvikalpadhātupratiṣṭhitena saṃsāro yathaiva na tyaktas tathā	mahAsattvena avikalpa DAtu pratizWitena saMsAraH yaTA eva na tyaktaH taTA
   nādattaḥ katham atyakto bhavati? nirvāṇaṃ yathā na tyaktaṃ tathā nādattaṃ	na adattaH kaTam atyaktaH Bavati? nirvANam yaTA na tyaktam taTA na adattam
   kathaṃ atyaktaṃ bhavati?	kaTam atyaktam Bavati?
   bhagavān āha: nāhaṃ maitreya saṃsārasyaivam ādānaṃ vānādānaṃ vā vadāmi,	BagavAn Aha: na aham mEtreya saMsArasya evam AdAnam vAnAdAnam vA vadAmi,
   nirvāṇasyaivam ādānaṃ vānādānaṃ vā vadāmy api tu maitreya	nirvANasya evam AdAnam vAnAdAnam vA vadAmi api tu mEtreya
   prajñāpāramitāyāṃ carato bodhisattvasya	prajQApAramitAyAm carataH boDisattvasya
   mahāsattvasyāvikalpadhātvālambanena jñānena cittavaśitām anuprāptasya	mahAsattvasya avikalpa DAtu Alambanena jQAnena citta vaSitAm anuprAptasya
   daśadiśi loke gaṅgānadīvālukopameṣu lokadhātusūpāyakauśalyena	daSa diSi loke gaFgA nadI vAlukA upamezu lokaDAtu sUpAya kOSalyena
   saṃsārasāṃdarśanatām upādāyāhaṃ parinirvṛtāṇāṃ bodhisattvānāṃ	saMsAra sAMdarSana tAm upAdAya aham parinirvRtANAm boDisattvAnAm
   mahāsattvānāṃ saṃsārasyāparityāgaṃ vadāmi, śūnyatām	mahAsattvAnAm saMsArasya aparityAgam vadAmi, SUnyatAm
   upalaṃbhadhātupratiṣṭhānatām upādāya nirvāṇasyāparityāgaṃ vadāmi.	upalaMBa DAtu pratizWAna tAm upAdAya nirvANasya aparityAgam vadAmi.
   maitreya āha: avikalpanāyā bhagavan kathaṃ samastalakṣaṇaṃ draṣṭavyam?	mEtreyaH Aha: avikalpanAyAH Bagavan kaTam samasta lakzaNam drazwavyam?
   bhagavān āha: yac ca maitreya rūpaṃ yā ca vedanā yā ca saṃjñā ye ca	BagavAn Aha: yat ca mEtreya rUpam yA ca vedanA yA ca saMjQA ye ca
   saṃskārā yac ca vijñānaṃ yāvad ye ca buddhadharmā yā ca rūpasya śūnyatā yā	saMskArAH yat ca vijQAnam yAvat ye ca budDa DarmA yA ca rUpasya SUnyatA yA
   ca vedanāyā yā ca saṃjñāyā yā ca saṃskārāṇāṃ yā ca vijñānasya yā ca yāvad	ca vedanAyAH yA ca saMjQAyAH yA ca saMskArANAm yA ca vijQAnasya yA ca yAvat 
   buddhadharmāṇāṃ śūnyatā, teṣāṃ ca dharmāṇāṃ tasyāś ca śūnyatāyā yā	budDa DarmANAm SUnyatA, tezAm ca DarmANAm tasyAH ca SUnyatAyAH yA
   bhāvābhāvādvayatā yā cāprapañcanā idaṃ maitreya avikalpanāyāḥ	BAva aBAvA dvayatA yA ca aprapaQcanAH idam mEtreya avikalpanAyAH
   samastalakṣaṇaṃ draṣṭavyam.	samasta lakzaNam drazwavyam.
   maitreya āha: kiṃ nu bhagavan sarveṣāṃ śrāvakāṇām ekāṃśenaikāṃśikī	mEtreyaH Aha: kim nu Bagavan sarvezAm SrAvakANAm eka aMSena ekAMSikI
   nirvāṇapratiṣṭhā bhavati?	nirvANa pratizWA Bavati?
   bhagavān āha: no hīdaṃ maitreya, tat kasya hetoḥ? hi nānādhātuko 'yaṃ	BagavAn Aha: no hi idam mEtreya, tat kasya hetoH? hi nAnA DAtukaH ayam
   maitreya loko 'nekadhātukas tasmiṃś ca nānādhātukeṣu bhūtāḥ	mEtreya lokaH aneka DAtukaH tasmin ca nAnA DAtukezu BUtAH
   sattvagotraprabhṛtaya upalabhyante, asti maitreya sattvānāṃ sā gotrajātir	sattva gotra praBRtayaH upalaByante, asti mEtreya sattvAnAm sA gotra jAtiH 
   (PSP_6 8:157) yādita eva praṇītaṃ viśesaṃ prārthayate praṇītam eva viśeṣam	(PSu _6 8:157) yAditaH eva praNItam viSesam prArTayate praNItam eva viSezam
   adhigacchati, asti sā gotrajātir yādita evaṃ hīṇaṃ viśeṣaṃ prārthayate	aDigacCati, asti sA gotra jAtiH yAdite evam hINam viSezam prArTayate
   hīnam eva viśeṣam adhigacchati tenaiva ca saṃtuṣṭo bhavati, asti sā	hInam eva viSezam aDigacCati tena eva ca saMtuzwaH Bavati, asti sA
   gotrajātir yādita eva hīnaviśeṣaṃ prārthayate hīnam eva viśeṣam	gotra jAtiH yAditaH eva hIna viSezam prArTayate hInam eva viSezam
   adhigacchati na ca tāvatā saṃtuṣṭo bhavati, tata uttari praṇītaṃ viśeṣaṃ	aDigacCati na ca tAvatA saMtuzwaH Bavati, tatas uttari praNItam viSezam
   prārthayate praṇītam eva viśeṣam adhigacchati.	prArTayate praNItam eva viSezam aDigacCati.
   maitreya āha: yo bhagavaṃs tṛtīyaḥ sattvo gotrabhūmiḥ, so 'rhattvaṃ	mEtreyaH Aha: yaH Bagavan tRtIyaH sattvaH gotra BUmiH, saH arhat tvam
   prāpyānuttarāṃ samyaksaṃbodhim abhiprārthayamāno 'nupapadyamānaś ca kathaṃ	prApya anuttarAm samyaksaMboDim aBiprArTayamAnaH anupapadyamAnaH ca kaTam
   prāpnoty upapattiś cāsya bhagavatā pratipattau ca na vyākṛtā?	prApnoti upapattiH ca asya BagavatA pratipattO ca na vyAkRtA?
   bhagavān āha: no 'haṃ maitreya karmakleśavaśena tasyopapattiṃ	BagavAn Aha: naH aham mEtreya karma kleSa vaSena tasya upapattim
   prajñāpayāmi, api tv acintyān nirvāṇapāragāminīm arhato 'py upapattiṃ	prajQApayAmi, api tu acintyAt nirvANa pAra gAminIm arhataH api upapattim
   prajñāpayāmi.	prajQApayAmi.
   maitreya āha: āścaryaṃ bhagavan yāvad udārāśayā bodhisattvā mahāsattvā	mEtreyaH Aha: AScaryam Bagavan yAvat udAra ASayAH boDisattvAH mahAsattvA
   māhātmyādhyāśayāś ca, yatredānīm ādita eva praṇītaṃ viśeṣaṃ prārthayanti,	mAhAtmya aDyASayAH ca, yatra idAnIm Aditas eva praNItam viSezam prArTayanti,
   praṇītam eva viśeṣam adhigacchanti, katamā bhagavan bodhisattvānāṃ	praNItam eva viSezam aDigacCanti, katamA Bagavan boDisattvAnAm
   mahāsattvānām udārāśayatā? katamā ca māhātmyādhyāśayatā?	mahAsattvAnAm udAra ASayatA? katamA ca mAhAtmya aDyASayatA?
   bhagavān āha: yan maitreya bodhisattvo mahāsattvaḥ	BagavAn Aha: yat mEtreya boDisattvaH mahAsattvaH
   śakratvalokapālatvacakravartitvasarvākāralokasaṃpattibhir anarthino	Sakra tva lokapAla tva cakravarti tva sarva AkAra loka saMpattiBiH anarTinaH 
   'nuttarāyāṃ samyaksaṃbodhau kuśalamūlaṃ pariṇāmayati, tāsu ca niḥsaṃgatā	anuttarAyAm samyaksaMboDO kuSala mUlam pariNAmayati, tAsu ca niHsaMgatA
   niravagrahatā ceyaṃ bodhisattvānāṃ mahāsattvānām udārāśayatā. tat punar	niravagraha tA ca iyam boDisattvAnAm mahAsattvAnAm udAra ASaya tA. tat punar 
   bodhisattvā mahāsattvās tad asaktisukham anavagrahasukhaṃ nirvṛttisukhaṃ	boDisattvAH mahAsattvAH tat asakti suKam anavagraha suKam nirvRtti suKam
   ca sarvasattvasādhāraṇam icchanto 'nuttarāyāṃ samyaksaṃbodhau kuśalamūlaṃ	ca sarva sattva sADAraNam icCantaH anuttarAyAm samyaksaMboDO kuSala mUlam
   pariṇāmayanti, yad uta saṃsārāparityāgatayā iyam eṣāṃ māhātmyādhyāśayatā	pariNAmayanti, yat uta saMsAra aparityAgatayA iyam ezAm mAhAtmya aDyASayatA
   draṣṭavyā.	drazwavyA.
   atha khalu maitreyo bodhisattvo mahāsattvo bhagavantam etad avocat:	aTa Kalu mEtreyaH boDisattvaH mahAsattvaH Bagavantam etat avocat :
   āścaryādbhutā bhagavan bodhisattvadharmāḥ, āścaryādbhutā bhagavan	AScarya adButAH Bagavan boDisattva DarmAH, AScarya adButAH Bagavan
   bodhisattvaśikṣā, āścaryān adbhutān bhagavan kulaputreṇa vā kuladuhitrā vā	boDisattva SikzA, AScaryAn adButAn Bagavan kula putreNa vA kula duhitrA vA
   bodhisattvadharmān anuprāptukāmenānuttarāyāṃ samyaksaṃbodhau cittam	boDisattva DarmAn anuprAptu kAmena anuttarAyAm samyaksaMboDO cittam
   utpādayitavyam.	utpAdayitavyam.
   (PSP_6 8:158)	(PSu _6 8:158)
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavann	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavat = 
   abhāvasvabhāvāḥ sarvadharmās te na buddhaiḥ kṛtā na pratyekabuddhair	aBAva svaBAvAH sarva DarmAH te na budDEH kRtA na pratyekabudDEH 
   nārhadbhir nānāgāmibhir na sakṛdāgāmibhir na srotaāpannair nāpi tair	na arhadBiH nAnA gAmiBiH na sakRdAgAmiBiH na srotaApannEH na api tEH 
   bodhisattvair mahāsattvaiḥ kṛtās tat kuta eṣāṃ dharmāṇāṃ nānākaraṇaṃ vā	boDisattvEH mahAsattvEH kRtAH tat kutas ezAm DarmANAm nAnA karaNam vA
   vyavasthānaṃ vā prajñāyate? ime nairayikā ime tairyagyonikā ime	vyavasTAnam vA prajQAyate? ime nErayikAH ime tEryagyonikAH ime
   yāmalaukikā ime devā ime mānuṣyāḥ, anena karmaṇā nairayikā anena karmaṇā	yAma lOkikAH ime devAH ime mAnuzyAH, anena karmaNA nErayikA anena karmaNA
   tiryagyonikā anena karmaṇā yāmalaukikā anena karmaṇā manuṣyāḥ, anena	tiryagyonikAH anena karmaNA yAma lOkikAH anena karmaNA manuzyAH, anena
   karmaṇā kāmadhātukā devāḥ, anena karmaṇā brahmapārṣadyā brahmapurohitā	karmaNA kAmaDAtukAH devAH, anena karmaNA brahmapArzadyA brahma purohitA
   mahābrahmāṇaḥ, anena karmaṇā parīttābhā apramāṇābhā ābhāsvarābhāḥ, anena	mahAbrahmANaH, anena karmaNA parItta ABAH apramANa ABAH ABAsvarA ABAH, anena
   karmaṇā parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnāḥ, anena karmaṇā anabhrakāḥ	karmaNA parItta SuBAH apramANa SuBAH SuBa kRtsnAH, anena karmaNA anaBrakAH
   puṇyaprasavā vṛhatphalāḥ, anena karmaṇā aspṛhā atapāḥ sudṛśāḥ sudarśanā	puNya prasavAH vRhat PalAH, anena karmaNA aspRhAH atapAH sudRSAH sudarSanA
   akaniṣṭhāḥ, anena karmaṇā ākāśānantyāyatanasamāpattayo	aka nizWAH, anena karmaNA AkASa Anantya Ayatana samApattayo
   vijñānānantyāyatanasamāpattaya ākiñcanyāyatanasamāpattayo	vijQAna AnantyAyatana samApattayaH AkiQcanyAyatana samApattayo
   naivasaṃjñānāsaṃjñāyatanasamāpattayaḥ, anena karmaṇā srotaāpannaḥ	na eva saMjQAna asaMjQA Ayatana samApattayaH, anena karmaNA srotaApannaH
   sakṛdāgāmy anāgāmy arhan pratyekabuddho, 'nena karmaṇā bodhisattvo	sakRdAgAmi anAgAmi arhan pratyekabudDo, anena karmaNA boDisattvaH 
   mahāsattvo, 'nena karmaṇā tathāgato 'rhan samyaksaṃbuddho 'bhāvasya hi	mahAsattvaH , anena karmaNA taTAgataH arhan samyaksaMbudDaH aBAvasya hi
   bhagavan na kācit kriyā yayā narakaṃ vā gacchacchet, tiryagyoniṃ vā	Bagavat na kAcid kriyA yayA narakam vA gacCat Set, tiryagyonim vA
   yamalokaṃ vā devaṃ vā manuṣyaṃ vā kāmadhātuṃ vā rūpadhātuṃ vā ārūpyadhātuṃ	yama lokam vA devam vA manuzyam vA kAmaDAtum vA rUpa DAtum vA ArUpya DAtum
   vā gacchet, srotaāpattiphalaṃ vā sakṛdāgāmiphalaṃ vānāgāmiphalaṃ	vA gacCet, srotaApatti Palam vA sakRdAgAmi Palam vA anAgAmi Palam
   vārhattvaṃ vā pratyekabodhiṃ vā prāpsyati, bodhisattvo mahāsattvo	vArhat tvam vA pratyeka boDim vA prApsyati, boDisattvaH mahAsattvaH 
   bodhisattvamārge vā cariṣyati, sarvākārajñatāṃ vā prāpsyati, yān prāpya	boDisattva mArge vA carizyati, sarva AkAra jQa tAm vA prApsyati, yAn prApya
   sattvān saṃsārāt parimocayiṣyati.	sattvAn saMsArAt parimocayizyati.
   atha khalu bhagavān āyuṣmantaṃ subhūtim etad avocat: evam etat subhūte	aTa Kalu BagavAn Ayuzmantam suBUtim etat avocat: evam etat suBUte
   evam etad yathā vadasi, abhāvasya hi subhūte na karma na kriyā na phalaṃ,	evam etat yaTA vadasi, aBAvasya hi suBUte na karma na kriyA na PalaM,
   bālapṛthagjanā hi subhūte yāvad āryadharmeṣv akovidās te abhāvasvabhāvān	bAla pRTagjanAH hi suBUte yAvat Arya Darmezu akovidAH te aBAva svaBAvAn
   dharmān na jānanti, te viparyāsasamutthitair vikalpair vividhāni karmāṇy	DarmAt na jAnanti, te viparyAsa samutTitEH vikalpEH viviDAni karmANi 
   upasthāpayanti, teṣāṃ tādṛśām evātmabhāvā bhavanti, yadi vā nairayikā yadi	upasTApayanti, tezAm tAdRSAm eva Atma BAvAH Bavanti, yadi vA nErayikA yadi
   vā tairyagyonikā yadi vā yāmalaukikā yadi vā manuṣyeṣu yadi vā kāmadhātuṣu	vA tEryagyonikA yadi vA yAma lOkikA yadi vA manuzyezu yadi vA kAmaDAtuzu
   deveṣu yadi vā rūpadhātukeṣu (PSP_6 8:159) deveṣu yadi vā ārūpyadhātukeṣu	devezu yadi vA rUpa DAtukezu (PSu _6 8:159) devezu yadi vA ArUpya DAtukezu
   deveṣu yāvad abhāvasya na karma na kriyā na phalaṃ, yaḥ punar abhāvo	devezu yAvat aBAvasya na karma na kriyA na Palan, yaH punar aBAvaH 
   'bhāva eva saḥ. yat punaḥ subhūtir evam āha: yaḥ srotāapannaḥ sakṛdāgāmy	aBAvaH eva saH. yat punar suBUtiH evam Aha: yaH srotAa pannaH sakRdAgAmi 
   anāgāmy arhan pratyekabuddho bodhisattvo mahāsattvo mārgajñatāyāṃ carati	anAgAmi arhan pratyekabudDaH boDisattvaH mahAsattvaH mArga jQa tAyAm carati
   tathāgato vā sarvākārajñatām anuprāpnoti. tat kiṃ manyase? subhūte nābhāvo	taTAgataH vA sarva AkAra jQa tAm anuprApnoti. tat kim manyase? suBUte na aBAvaH 
   mārgo nābhāvaḥ srotaāpattiphalan nābhāvaḥ sakṛdāgāmiphalan nābhāvo	mArgaH na aBAvaH srotaApatti Palan na aBAvaH sakRdAgAmi Palan na aBAvaH 
   'nāgāmiphalan nābhāvo 'rhattvan nābhāvaḥ pratyekabodhir nābhāvo yāvat	anAgAmi Palan na aBAvaH arhat tvat na aBAvaH pratyeka boDiH na aBAvaH yAvat 
   sarvākārajñatā.	sarva AkAra jQa tA.
   subhūtir āha: abhāvo bhagavan mārgo 'bhāvaḥ srotaāpattiphalam abhāvaḥ	suBUtiH Aha: aBAvaH Bagavat mArgaH aBAvaH srotaApatti Palam aBAvaH
   sakṛdāgāmiphalam abhāvo nāgāmiphalam abhāvo 'rhattvam abhāvaḥ	sakRdAgAmi Palam aBAvaH na AgAmi Palam aBAvaH arhat tvam aBAvaH
   pratyekabodhir abhāvo yāvat sarvākārajñatā.	pratyeka boDiH aBAvaH yAvat sarva AkAra jQa tA.
   bhagavān āha: kiṃ punaḥ subhūte 'bhāvo dharmo 'bhāvaṃ dharmam anuprāpnoti?	BagavAn Aha: kim punar suBUte aBAvaH DarmaH aBAvam Darmam anuprApnoti?
   subhūtir āha: no hīdaṃ bhagavan.	suBUtiH Aha: no hi idam Bagavan .
   bhagavān āha: iti hi subhūte yaś cābhāvo yaś ca mārgaḥ sarva ete dharmā na	BagavAn Aha: iti hi suBUte yaH ca aBAvaH yaH ca mArgaH sarve ete DarmAH na
   saṃyuktā na visaṃyuktā arūpiṇo 'nidarśanā apratighā ekalakṣaṇā yad	saMyuktAH na visaMyuktAH arUpiNaH anidarSanAH apratiGA eka lakzaNAH yat 
   utālakṣaṇās tat subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann	uta alakzaNAH tat suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran= 
   upāyakauśalyena ye sattvāś caturbhir viparyāsair abhiniviṣṭāḥ pañcasu	upAya kOSalyena ye sattvAH caturBiH viparyAsEH aBinivizwAH paQcasu
   skandheṣv anitye nityasaṃjñino 'nātmany ātmasaṃjñino duḥkhe sukhasaṃjñino	skanDezu anitye nitya saMjQinaH anAtmani Atma saMjQinaH duHKe suKa saMjQinaH 
   'śubhe śubhasaṃjñmo bhāveṣv abhiniviṣṭās tāṃs tān bhāvebhyo vivecayati.	aSuBe SuBa saMjQmaH BAvezu aBinivizwAH tAn tAn BAveByaH vivecayati.
   iti caturviparyāsaniveśanakarma	iti catur viparyAsa niveSana karma
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: asti bhagavan avastu	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: asti Bagavan avastu
   bhūtaṃ bhavyaṃ tathatāvitathatā yatra sthitvā bālapṛthagjanā idaṃ vastv	BUtam Bavyam taTatA avitaTa tA yatra sTitvA bAla pRTagjanAH idam vastu 
   ity abhiniveśenābhiniviśya bhūtaṃ bhavyaṃ tathatāvitathatā	iti aBiniveSena aBiniviSya BUtam Bavyam taTatA avitaTa tA
   karmābhisaṃkurvanti yena karmaṇā pañcagatikān saṃsārān na parimucyante.	karma aBisaMkurvanti yena karmaNA paQcagatikAn saMsArAt na parimucyante.
   bhagavān āha: nāsti subhūte 'ntaśo vālāgrakoṭīnikṣepamātram api vastu	BagavAn Aha: na asti suBUte antaSas vAla agra kowI nikzepa mAtram api vastu
   yatra sthitvā bālapṛthagjanāḥ karmābhisaṃskurvanti, anyatra viparyāsena.	yatra sTitvA bAla pRTagjanAH karma aBisaMskurvanti, anyatra viparyAsena.
   subhūtir āha: kathaṃ bhagavan viparyāsena bālapṛthagjanāḥ	suBUtiH Aha: kaTam Bagavan viparyAsena bAla pRTagjanAH
   karmābhisaṃskurvanti?	karma aBisaMskurvanti?
   (PSP_6 8:160)	(PSu _6 8:160)
   bhagavān aha: tena hi subhūte upamān te kariṣyāmi, asyaivārthasya bhūyasyā	BagavAn aha: tena hi suBUte upamAn te karizyAmi, asya eva arTasya BUyasyA
   mātrayā prasiddhaye yathā paṇḍitā jānīyus, tat kiṃ manyase? subhūte kiñcit	mAtrayA prasidDaye yaTA paNxitAH jAnIyus, tat kim manyase? suBUte kiQcid 
   svapne darśinas tad vastv asti yatra sthitvā svapnadarśī pañcabhiḥ	svapne darSinaH tat vastu asti yatra sTitvA svapna darSI paQcaBiH
   kāmaguṇaiḥ paricaret.	kAma guNEH paricaret.
   subhūtir āha: svapna eva tāvad bhagavan nāsti kutaḥ punas tatra sthitvā	suBUtiH Aha: svapnaH eva tAvat Bagavat na asti kutas punar tatra sTitvA
   svapnadarśī pañcabhiḥ kāmaguṇaiḥ paricariṣyati.	svapna darSI paQcaBiH kAma guNEH paricarizyati.
   bhagavān āha: tat kiṃ manyase? subhūte 'sti sa kaścid dharmo laukiko vā	BagavAn Aha: tat kim manyase? suBUte asti sa kaScid DarmaH lOkikaH vA
   lokottaro vā sāsravo vānāsravo vā saṃskṛto vāsaṃskṛto vā yo na	lokottaraH vA sa AsravaH vAnAsravaH vA saMskRtaH vAsaMskRtaH vA yaH na
   svapnopamaḥ.	svapna upamaH.
   subhūtir āha: nāsti bhagavan sa kaścid dharmaḥ saṃskṛto vāsaṃskṛto vā	suBUtiH Aha: na asti Bagavan sa kaScid DarmaH saMskRtaH vAsaMskRtaH vA
   sāsravo vānāsravo vā laukiko vā lokottaro vā yo na svapnopamaḥ.	sa AsravaH vAnAsravaH vA lOkikaH vA lokottaraH vA yaH na svapna upamaH.
   bhagavān āha: tat kiṃ manyase? subhūte kaścit svapne pañcagatikaḥ saṃsāro	BagavAn Aha: tat kim manyase? suBUte kaScid svapne paQcagatikaH saMsAraH 
   vidyate?	vidyate?
   subhūtir āha: no hīdaṃ bhagavan.	suBUtiH Aha: no hi idam Bagavan .
   bhagavān āha: tat kiṃ manyase? subhūte kāścit svapne mārgabhāvanā bhavati,	BagavAn Aha: tat kim manyase? suBUte kAScid svapne mArga BAvanA Bavati,
   yāṃ mārgabhāvanām āgamya na saṃkliśyeta vā na vyavadāyeta vā.	yAm mArga BAvanAm Agamya na saMkliSyeta vA na vyavadAyeta vA.
   subhūtir āha: no hīdaṃ bhagavan na vastukaḥ sa bhagavan svapno	suBUtiH Aha: no hi idam Bagavat na vastukaH sa Bagavan svapnaH 
   'prajñaptiko 'prajñapanīyaḥ sarvapadavyañjanaiḥ.	aprajQaptikaH aprajQapanIyaH sarva pada vyaQjanEH.
   bhagavān āha: tat kiṃ manyase? subhūte yadādarśamaṇḍale pratibimbo dṛśyate	BagavAn Aha: tat kim manyase? suBUte yat AdarSa maNxale pratibimbaH dRSyate
   kiñcit tasya vastv asti yat karmābhisaṃskuryād yat karmābhisaṃskṛtya	kiQcid tasya vastu asti yat karma aBisaMskuryAt yat karma aBisaMskRtya
   narakaṃ vā gacchet tiryagyoniṃ vā yamalokaṃ vā gacchet?	narakam vA gacCet tiryagyonim vA yama lokam vA gacCet ?
   subhūtir āha: no hīdaṃ bhagavan na vastukaḥ sa bhagavan pratibimbo 'nyatra	suBUtiH Aha: no hi idam Bagavat na vastukaH sa Bagavan pratibimbaH anyatra
   bālapṛthagjanānām ullāpanāt tat kutas tasya karma bhaviṣyati, yat	bAla pRTagjanAnAm ullApanAt tat kutas tasya karma Bavizyati, yat 
   karmābhisaṃskṛtya narakaṃ vā gacchet tiryagyoniṃ vā yamalokaṃ vā gacchet.	karma aBisaMskRtya narakam vA gacCet tiryagyonim vA yama lokam vA gacCet .
   bhagavān āha: tat kiṃ manyase? subhūte kācit tasya mārgabhāvanā bhavati	BagavAn Aha: tat kim manyase? suBUte kAcid tasya mArga BAvanA Bavati
