   PADA MARKERS	PADAH MARKERS
   kauṇḍinyaś ca mahādroṇaḥ % smṛto devakutumbakaḥ // VAnigh_251 //	kONxinyaH ca mahAdroNaH % smRtaH devakutumbakaH // Va-aniG_251 //
   adhicchattrā gautamasthā $ bālagranthiḥ prakīrtitā &	aDicCattrA gOtama-sTA $ bAla-granTiH prakIrtitA &
   vatsādanī sudaśākhyā % cakrāṅgī jalaśoṣakaḥ // VAnigh_252 //	vatsAdanI sudaSA-AKyA % cakrAFgI jala-SozakaH // Va-aniG_252 //
   prapunnāṭas tv eḍagajo $ dadrughnaś cakramardakaḥ &	prapunnAwaH tu exagajaH $ dadruGnaH cakramardakaH &
   lakṣmaṇā putrajananī % raktabinducchadā tathā // VAnigh_253 //	lakzmaNA putra-jananI % rakta-binducCadA taTA // Va-aniG_253 //
   nāginī śūlinī nāga- $ vallī matsyārjakaḥ smṛtaḥ &	nAginI SUlinI nAga $ vallI matsyArjakaH smRtaH &
   śṛgālaghaṇṭā vajrākṣī % vajravallī tu śṛṅkhalā // VAnigh_254 //	SRgAlaGaNwA vajrAkzI % vajravallI tu SRFKalA // Va-aniG_254 //
   palaṃkaṣā mūlakaṃ ca $ hiṃgunā puṣkaracchadaḥ &	palaMkazA mUlakam ca $ hiMgunA puzkaracCadaH &
   dadhipuṣpī tu khaṭvāṅgī % khaṭvā paryaṅkapādikā // VAnigh_255 //	daDipuzpI tu KawvAFgI % KawvA paryaFkapAdikAH // Va-aniG_255 //
   bimbī go hā tuṇḍikerī $ tilākhyā phalanābhikā &	bimbI go hA tuNxikerI $ tila-AKyA Pala-nABikA &
   urvāruḥ karkaṭī proktā % lomaśā ca prakīrtitā // VAnigh_256 //	urvAruH karkawI proktA % lomaSA ca prakIrtitAH // Va-aniG_256 //
   khūrjarikas tu kāliṅgaḥ $ mūtralaṃ trapusaṃ smṛtam &	KUrjarikaH tu kAliFgaH $ mUtralam trapusam smRtam &
   kūṣmāṇḍakī puṣpalatā % kakubhāṇḍā phalottamā // VAnigh_257 //	kUzmANxakI puzpalatA % kakuBANxA PalottamA // Va-aniG_257 //
   gorakṣatumbī gorakṣī $ kumbhālāmbur ghaṭābhidhā &	gorakzatumbI gorakzI $ kumBAlAmbuH Gawa-aBiDA &
   cirbhiṭikā citraphalā % cīnāraṃ cirbhaṭaṃ smṛtam // VAnigh_258 //	cirBiwikA citraPalAH % cInAram cirBawam smRtam // Va-aniG_258 //
   lambā piṇḍaphalekṣvākuḥ $ kaṭukā kṣatriyātmajā &	lambA piNxaPala-ikzvAkuH $ kawukA kzatriya-AtmajA &
   mahāphalekṣurā caiva % tumbikā tiktabījakā // VAnigh_259 //	mahAPala-ikzurA ca-eva % tumbikA tikta-bIjakAH // Va-aniG_259 //
   cukrikā cāmlikā ciñcā $ jīvantī tintiḍī smṛtā &	cukrikA ca-amlikA ciQcA $ jIvantI tintixI smRtA &
   cukrikā tv amlacāṅgerī % suniṣaṇṇadalā tathā // VAnigh_260 //	cukrikA tu amla-cAFgerI % su-nizaNNa-dalA taTA // Va-aniG_260 //
   upodakam upodī ca $ kṣudrakā podakī tathā &	upodakam upodI ca $ kzudrakA podakI taTA &
   jīvantiko raktaśākaḥ % kalambī vallyupodakaḥ // VAnigh_261 //	jIvantikaH raktaSAkaH % kalambI vallI-upodakaH // Va-aniG_261 //
   taṇḍulīyo meghanādaḥ $ cillī tu lomaśā smṛtā &	taNxulIyaH meGanAdaH $ cillI tu lomaSA smRtA &
   śitivāraḥ sūcipattraḥ % svastikaḥ suniṣaṇṇakaḥ // VAnigh_262 //	SitivAraH sUcipattraH % svastikaH su-nizaNNakaH // Va-aniG_262 //
   matsyākṣikas tu matsīraḥ $ pattūraḥ priyasaty api &	matsyAkzikaH tu matsIraH $ pattUraH priyasati api &
   śīghraśākhā śākhinī ca % mahāśākaś ca vāstukī // VAnigh_263 //	SIGraSAKA SAKinI ca % mahASAkaH ca vAstukI // Va-aniG_263 //
   śrāvaṇī syāt muṇḍitikā $ bhikṣuḥ śravaṇaśīrṣakā &	SrAvaNI syAt muNxitikAH $ BikzuH SravaNa-SIrzakAH &
   saumyagandhā barbarikā % tilaparṇī ca sā smṛtā // VAnigh_264 //	sOmyaganDA barbarikA % tilaparNI ca sA smRtAH // Va-aniG_264 //
   sarpaś citras tu nīlābho $ bhūśāko bhūmikandakaḥ &	sarpaH citraH tu nIla-ABaH $ BUSAkaH BUmikandakaH &
   rasono laśuno jñeyaḥ % palāṇḍur mukhadūṣaṇaḥ // VAnigh_265 //	rasonaH laSunaH jQeyaH % palANxuH muKa-dUzaNaH // Va-aniG_265 //
   śatapuṣpā śatacchattrā $ miśiḥ ghoṣā śatāhvayā &	SatapuzpA SatacCattrA $ miSiH GozA SatAhvayA &
   miśreyā śālinī śīta- % śivāraṇyā miśiḥ smṛtā // VAnigh_266 //	miSreyA SAlinI SIta % Siva-AraNyA miSiH smRtAH // Va-aniG_266 //
   pṛthvīkā vāripattrā tu $ bāṣpikā ca sthalodbhavā &	pRTvIkA vAripattrA tu $ bAzpikA ca sTala-udBavA &
   kapittho 'tha dadhitthaś ca % durmadaḥ surabhicchadaḥ // VAnigh_267 //	kapitTaH aTa daDitTaH ca % durmadaH suraBicCadaH // Va-aniG_267 //
   toyakṣobhakaraḥ kumbhī $ vāruṇo vṛkṣadhūmakaḥ &	toya-kzoBa-karaH kumBI $ vAruNaH vRkzaDUmakaH &
   mūṣikāriś citraphalaḥ % karaṇḍaphalakaś ca saḥ // VAnigh_268 //	mUzikAriH citraPalaH % karaNxaPalakaH ca saH // Va-aniG_268 //
   cocaṃ ciṣu nārikelaḥ $ tuṅgadruḥ kūrcaśekharaḥ &	cocam cizu nArikelaH $ tuFgadruH kUrca-SeKaraH &
   nīrapūrṇaphalaḥ śṛṅgī % mocaṃ tu kadalīphalam // VAnigh_269 //	nIra-pUrNaPalaH SRFgI % mocam tu kadalI-Palam // Va-aniG_269 //
   rambhā tu kadalī mocā $ vṛttapuṣpāṃśumatphalā &	ramBA tu kadalI mocA $ vRtta-puzpa-aMSumat-PalA &
   karamardī kṣīraphalā % śvetapuṣpaphaleti ca // VAnigh_270 //	karamardI kzIraPalA % Svetapuzpa-PalA-iti ca // Va-aniG_270 //
   kṛṣṇapākaphalāvigna- $ karāmlāḥ karamardakaḥ &	kRzNa-pAka-Pala-Avigna $ kara-amlAH karamardakaH &
   mātuluṅgo bījapūro % luṅgaś ca phalapūrakaḥ // VAnigh_271 //	mAtuluFgaH bIjapUraH % luFgaH ca PalapUrakaH // VAniG_271 //
   jambīro jambhalo jambhaḥ $ jambo dantaśaṭhaḥ smṛtaḥ &	jambIraH jamBalaH jamBaH $ jambaH dantaSaWaH smRtaH &
   nāraṅgas tvaksugandhākhya % airāvatamukhapriyau // VAnigh_272 //	nAraFgaH tvac-suganDa-AKya % ErAvata-muKa-priyO // Va-aniG_272 //
   bhavyaṃ bhaviṣyaṃ cāmlaṃ ca $ bhavaṃ romaphalaṃ matam &	Bavyam Bavizyam ca-amlam ca $ Bavam roma-Palam matam &
   pārāvataṃ raivatakaṃ % likuco lakuco ḍahuḥ // VAnigh_273 //	pArAvatam rEvatakam % likucaH lakucaH xahuH // Va-aniG_273 //
   panasaḥ kaṇṭakiphalaḥ $ coco dīrghaphalaḥ smṛtaḥ &	panasaH kaNwakiPalaH $ cocaH dIrGaPalaH smRtaH &
   nalikā suṣirā śūnyā % kapotacaraṇā naṭī // VAnigh_274 //	nalikA suzirA SUnyA % kapota-caraNA nawI // Va-aniG_274 //
   snigdhavṛkṣastu sakṣīraḥ $ plakṣaḥ syād guḍabījakaḥ &	snigDavRkzaH-tu sa-kzIraH $ plakzaH syAt guxabIjakaH &
   kālavṛntā kuberākṣī % kuliṅgākṣī ca yakṣadṛk // VAnigh_275 //	kAlavRntA kuberAkzI % kuliFgAkzI ca yakza-dRS // Va-aniG_275 //
   ugrakāṇḍaḥ kāravallī $ toyavallī sukāṇḍakā &	ugrakANxaH kAravallI $ toyavallI su-kANxakAH &
   pañcāṅgulī liṅgabījā % rājikā piṇḍavatphalā // VAnigh_276 //	paQcAFgulI liFgabIjA % rAjikA piNxa-vat-PalAH // Va-aniG_276 //
   turyatuṇḍī śilācchedī $ pūtikā nityapuṣpikā &	turyatuNxI SilAcCedI $ pUtikA nitya-puzpikA &
   parvamañjarikā kīṭa- % hantrī vṛścikahāriṇī // VAnigh_277 //	parvamaQjarikA kIwa % hantrI vRScika-hAriNI // Va-aniG_277 //
   kumārī vyāghracaraṇā $ kanyā sthūladalā ca sā &	kumArI vyAGra-caraNA $ kanyA sTUladalA ca sA &
   bandhūko bandhujīvaś ca % pārvako vṛkadhūmakaḥ // VAnigh_278 //	banDUkaH banDujIvaH ca % pArvakaH vRkaDUmakaH // Va-aniG_278 //
   kṛṣṇanīlaḥ kālaśākhaḥ $ kaiḍaryaḥ surabhicchadaḥ &	kRzNa-nIlaH kAla-SAKaH $ kExaryaH suraBicCadaH &
   viśvarūpā rūpyagaṇḍā % rūpyo haritatumbilī // VAnigh_279 //	viSva-rUpA rUpya-gaNxA % rUpyaH harita-tumbilI // Va-aniG_279 //
   arśoghnaś cākhukandaś ca $ vanyakandaś ca śūraṇaḥ &	arSoGnaH ca-AKukandaH ca $ vanyakandaH ca SUraNaH &
   raktapādī śamīpattrā % lajjā lohitayaṣṭikā // VAnigh_280 //	raktapAdI SamIpattrA % lajjA lohita-yazwikAH // Va-aniG_280 //
   durārohā kharaskandhā $ kharjūrī svādumastakā &	durArohA KaraskanDA $ KarjUrI svAdu-mastakAH &
   hintālī tu mahātālī % kutālī tilapuṣpikā // VAnigh_281 //	hintAlI tu mahAtAlI % kutAlI tila-puzpikAH // Va-aniG_281 //
   bahuskandhā mṛtyuphalā $ gūḍhapākī śilāphalā &	bahuskanDA mRtyuPalA $ gUXapAkI SilA-PalA &
   jatuvṛkṣo ghanaskandhaḥ % krimivṛkṣaḥ kuśāmrakaḥ // VAnigh_282 //	jatu-vRkzaH Gana-skanDaH % krimivRkzaH kuSAmrakaH // Va-aniG_282 //
   nīlapattrī kālanīlī $ nīlinī nīlapuṣpikā &	nIlapattrI kAlanIlI $ nIlinI nIlapuzpikA &
   kākajaṅghā dhvāṅkṣajaṅghā % dāsī kāntā pracībalā // VAnigh_283 //	kAkajaFGA DvAFkzajaFGA % dAsI kAntA pracIbalAH // Va-aniG_283 //
   śarapuṅkhā bāṇapuṅkhā $ maṇikā cekṣupuṅkhikā &	SarapuFKA bANapuFKA $ maNikA ca-ikzupuFKikA &
   putradātrī vṛttapattrā % vātāriḥ śvetapuṣpikā // VAnigh_284 //	putra-dAtrI vRttapattrA % vAtAriH SvetapuzpikAH // Va-aniG_284 //
   tālīśapattraṃ tālīśaṃ $ tālamāmalakīdalam &	tAlISapattram tAlISam $ tAlam-AmalakI-dalam &
   śvāsadrumaḥ kākataruḥ % rugyogyo vyāghraparṇyapi // VAnigh_285 //	SvAsadrumaH kAkataruH % ruj-yogyaH vyAGraparNI-api // Va-aniG_285 //
   kubjapuṣpā kṛṣṇavallī $ mahānīlā pratānikā &	kubjapuzpA kRzNavallI $ mahAnIlA pratAnikA &
   mṛdukāntiḥ mahāśvetā % śvetā tu khaṭikā smṛtā // VAnigh_286 //	mRdu-kAntiH mahASvetA % SvetA tu KawikA smRtAH // Va-aniG_286 //
   raktapāṣāṇako dhātuḥ $ girimṛd gairikaḥ smṛtaḥ &	raktapAzANakaH DAtuH $ giri-mRd gErikaH smRtaH &
   stanyākhyo dugdhapāṣāṇaḥ % saudhaḥ pāṣāṇako lavaḥ // VAnigh_287 //	stanya-AKyaH dugDa-pAzANaH % sODaH pAzANakaH lavaH // Va-aniG_287 //
   saugandhiko gandhakastu $ vaigandho gandhako baliḥ &	sOganDikaH ganDakaH-tu $ vEganDaH ganDakaH baliH &
   manaḥśilā manoguptā % manohvā kunaṭī śilā // VAnigh_288 //	manaHSilA manaH-guptA % manohvA kunawI SilA // Va-aniG_288 //
   haritālamālaṃ tālaṃ $ godantaṃ naṭabhūṣaṇam &	haritAla-m-Alam tAlam $ godantam nawaBUzaNam &
   pārado rasadhātuś ca % rudraretā mahārasaḥ // VAnigh_289 //	pAradaH rasaDAtuH ca % rudra-retAH mahArasaH // Va-aniG_289 //
   rasendraś capalaḥ sūto $ harayonī rasottamaḥ &	rasendraH capalaH sUtaH $ hara-yoniH rasa-uttamaH &
   abhrakaṃ pārvatībījaṃ % śailodbhūtaṃ tathāmbaram // VAnigh_290 //	aBrakam pArvatI-bIjam % SEla-udBUtam taTA-ambaram // Va-aniG_290 //
   mayūragrīvikaṃ tu syāt $ śikhikaṇṭhaṃ ca tutthakam &	mayUragrIvikam tu syAt $ SiKikaNWam ca tutTakam &
   anyat karparikā tutthaṃ % vāmanaṃ tutthameva tu // VAnigh_291 //	anyat karparikA tutTam % vAmanam tutTam-eva tu // Va-aniG_291 //
   hiṅgulaṃ daradaṃ mlecchaṃ $ rasabhūḥ carmarañjanam &	hiFgulam daradam mlecCam $ rasa-BUH carmaraQjanam &
   sindūraṃ raktareṇu śrī- % bhūṣaṇaṃ nāgasambhavam // VAnigh_292 //	sindUram rakta-reNu SrI % BUzaNam nAga-samBavam // Va-aniG_292 //
   sauvarcalaṃ tu rucakam $ akṣāhvaṃ kṛṣṇasaṃjñakam &	sOvarcalam tu rucakam $ akzAhvam kRzNa-saMjQakam &
   viḍaṃ tu kṛtrimaṃ proktaṃ % pṛthvīsambhavam audbhidam // VAnigh_293 //	vixam tu kRtrimam proktam % pRTvI-samBavam OdBidam // Va-aniG_293 //
   samudrajaṃ ca sāmudraṃ $ lavaṇaṃ paṭunāmakam &	samudrajam ca sAmudram $ lavaNam pawu-nAmakam &
   yāvaśūko yavakṣāraḥ % srotoghnastu suvarcikaḥ // VAnigh_294 //	yAvaSUkaH yavakzAraH % srotaH-GnaH-tu suvarcikaH // Va-aniG_294 //
   saubhāgyaṃ ṭaṅkaṇaṃ kṣāraḥ $ mālatīrasasambhavaḥ &	sOBAgyam waFkaNam kzAraH $ mAlatIrasa-samBavaH &
   tāpīsamudbhavaṃ tāpyaṃ % mākṣikaṃ haimamākṣikam // VAnigh_295 //	tApI-samudBavam tApyam % mAkzikam hEmamAkzikam // Va-aniG_295 //
   jatvaśmajaṃ dhātujaṃ ca $ śilākarpūrasaṃjñakam &	jatu-aSmajam DAtu-jam ca $ SilA-karpUra-saMjQakam &
   gorocanā badarikā % saurāṣṭrī rocanā śivā // VAnigh_296 //	gorocanA badarikA % sOrAzwrI rocanA SivAH // Va-aniG_296 //
   lākṣā dīptir drumavyādhiḥ $ krimijā lohitā jatu &	lAkzA dIptiH druma-vyADiH $ krimi-jA lohitAH jatu &
   [padmottaras] tālakumbho % yāvako 'laktakaḥ smṛtaḥ // VAnigh_297 //	[padma-uttaras] tAlakumBaH % yAvakaH alaktakaH smRtaH // Va-aniG_297 //
   mṛganābhir mṛgamadaḥ $ kastūrī darpasaṃjñakaḥ &	mRganABiH mRgamadaH $ kastUrI darpa-saMjQakaH &
   latākastūrikā rālī % gandhaveṇī mukhapriyā // VAnigh_298 //	latAkastUrikA rAlI % ganDaveNI muKa-priyA // Va-aniG_298 //
   ghanasāro himarājaḥ $ karpūraṃ himanāmakam &	GanasAraH himarAjaH $ karpUram hima-nAmakam &
   mṛgasvedo mṛgajalaṃ % pūtiḥ pūtyaṇḍajaḥ smṛtaḥ // VAnigh_299 //	mRga-svedaH mRga-jalam % pUtiH pUtyaNxajaH smRtaH // Va-aniG_299 //
   jātīphalaṃ majjasāraṃ $ jātikā jātipattrakaḥ &	jAtIPalam majja-sAram $ jAtikA jAtipattrakaH &
   kakkolakaṃ kośaphalaṃ % kolakaṃ bahubījakam // VAnigh_300 //	kakkolakam koSaPalam % kolakam bahu-bIjakam // Va-aniG_300 //
   phalaṃ dvīpamarīcaṃ ca $ kaṭukaṃ kaṭukīphalam &	Palam dvIpa-marIcam ca $ kawukam kawukI-Palam &
   lavaṃgaṃ devakusumaṃ % kusumaṃ śekharaṃ lavam // VAnigh_301 //	lavaMgam devakusumam % kusumam SeKaram lavam // Va-aniG_301 //
   niṣpattraṃ ca mahāpuṣpaṃ $ svargapuṣpaṃ varālakam &	nizpattram ca mahA-puzpam $ svargapuzpam varAlakam &
   śilāpuṣpaṃ tu śaileyaṃ % śilājaṃ sthaviraṃ tathā // VAnigh_302 //	SilApuzpam tu SEleyam % SilAjam sTaviram taTA // Va-aniG_302 //
   puṣpāñjanaṃ rītipuṣpaṃ $ puṣpaketuś ca rītijam &	puzpAQjanam rItipuzpam $ puzpaketuH ca rIti-jam &
   samudraphenaṃ śuṣkaṃ ca % phenaṃ vāridhijaṃ malam // VAnigh_303 //	samudraPenam Suzkam ca % Penam vAriDi-jam malam // Va-aniG_303 //
   śaṅkho vāribhavaḥ kambuḥ $ jalajo dīrghaniḥsvanaḥ &	SaFKaH vAriBavaH kambuH $ jalajaH dIrGa-niHsvanaH &
   pravālaṃ vallijaṃ raktaṃ % vidrumaṃ ca prakīrtitam // VAnigh_304 //	pravAlam vallijam raktam % vidrumam ca prakIrtitam // Va-aniG_304 //
   rūpyakaṃ rajataṃ tāraṃ $ suvarṇaṃ kanakaṃ smṛtam &	rUpyakam rajatam tAram $ suvarNam kanakam smRtam &
   jātarūpaṃ tathā hema % śātakumbhaṃ ca hāṭakam // VAnigh_305 //	jAtarUpam taTA hema % SAtakumBam ca hAwakam // Va-aniG_305 //
   jāmbūnadaṃ hiraṇyaṃ ca $ tapanīyaṃ ca kāñcanam &	jAmbUnadam hiraNyam ca $ tapanIyam ca kAQcanam &
   tāmramaudumbaraṃ śulbaṃ % mihiraṃ harināmakam // VAnigh_306 //	tAmram-Odumbaram Sulbam % mihiram hari-nAmakam // Va-aniG_306 //
   rītikā pittalaṃ pūti $ pītalohaṃ ca saiṃhalam &	rItikA pittalam pUti $ pItaloham ca sEMhalam &
   trapusaṃ trapusaṃjñaṃ ca % tagaraṃ rūpyaśatrukaḥ // VAnigh_307 //	trapusam trapu-saMjQam ca % tagaram rUpya-SatrukaH // Va-aniG_307 //
   sīsakaṃ nāgamuragaṃ $ kāṃsyaṃ kāśaṃ ca ghoṣakam &	sIsakam nAgam-uragam $ kAMsyam kASam ca Gozakam &
   vārttālohaṃ vartalohaṃ % trilohaṃ pañcalohakam // VAnigh_308 //	vArttAloham vartaloham % triloham paQcalohakam // Va-aniG_308 //
   kṛṣṇalohamayaḥ sāra- $ māyasaṃ ca śilodbhavam &	kRzNaloha-mayaH sAra $ mAyasam ca SilodBavam &
   ayorajo loharajas % tat kiṭṭaṃ syād ayomalam // VAnigh_309 //	ayaH-rajaH loha-rajaH % tat kiwwam syAt ayomalam // Va-aniG_309 //
   cipiṭaṃ cippaṭaṃ ciṭṭaṃ $ vālukā sikatā smṛtā &	cipiwam cippawam ciwwam $ vAlukA sikatA smRtA &
   lohakāntamayaskāntaṃ % kāntaṃ bhrāmaracumbakam // VAnigh_310 //	loha-kAntam-ayaskAntam % kAntam BrAmara-cumbakam // Va-aniG_310 //
   mṛdulohaṃ tīkṣṇalohaṃ $ tīkṣṇākhyaṃ sūkṣmalohakam &	mRdu-loham tIkzNaloham $ tIkzNa-AKyam sUkzmalohakam &
   kālakūṭo mahāmusto % vatsanābho halāhalaḥ // VAnigh_311 //	kAlakUwaH mahA-mustaH % vatsanABaH halAhalaH // Va-aniG_311 //
   vatsadantī mahāśṛṅgī $ lelihas tālapattrakaḥ &	vatsadantI mahASRFgI $ lelihaH tAlapattrakaH &
   viṣaṃ ca mūlakaṃ śṛṅgī % garaṃ kṛtrimasaṃjñakam // VAnigh_312 //	vizam ca mUlakam SRFgI % garam kRtrima-saMjQakam // Va-aniG_312 //
   toyacchadā vāriparṇī $ kumbhikā jalakumbhikā &	toyacCadA vAriparNI $ kumBikA jala-kumBikA &
   dīrghamūlaṃ jalāvāsaṃ % śaivālaṃ jalasambhavam // VAnigh_313 //	dIrGa-mUlam jala-AvAsam % SEvAlam jala-samBavam // Va-aniG_313 //
   paṅkajaṃ puṇḍarīkaṃ ca $ śatapattraṃ kuśeśayam &	paFkajam puNxarIkam ca $ Satapattram kuSeSayam &
   bisaprasūnarājīva- % jalajāmbhoruhāṇi ca // VAnigh_314 //	bisa-prasUna-rAjI-iva % jalaja-amBoruhANi ca // Va-aniG_314 //
   śaśipriyaṃ ca gandhāḍhyaṃ $ kumudaṃ kokanandanam &	SaSipriyam ca ganDa-AXyam $ kumudam kokanandanam &
   kākotpalaṃ tu kākotthaṃ % kākākhyaṃ hrasvamutpalam // VAnigh_315 //	kAkotpalam tu kAkotTam % kAka-AKyam hrasvam-utpalam // Va-aniG_315 //
   teṣāṃ phalaṃ tu kumbhīkaṃ $ mūlaṃ śālūkakandakam &	tezAm Palam tu kumBIkam $ mUlam SAlUka-kandakam &
   kaśerukaḥ sugandhiś ca % sukando mustakandakaḥ // VAnigh_316 //	kaSerukaH suganDiH ca % sukandaH mustakandakaH // Va-aniG_316 //
   śṛṅgāṭako jalaphalaṃ $ jalakandas trikoṇakaḥ &	SRFgAwakaH jala-Palam $ jalakandaH trikoNakaH &
   karavīro 'śvamārastu % bakulaṃ madyakesaram // VAnigh_317 //	karavIraH aSvam-AraH-tu % bakulam madyakesaram // Va-aniG_317 //
   alaktā mālyaśephālī $ rūpikā tāmrapuṣpikā &	alaktA mAlyaSePAlI $ rUpikA tAmra-puzpikA &
   raktapuṣpī jayā rudrā- % -mlāyanī vanamālikā (?) // VAnigh_318 //	raktapuzpI jayA rudrA % -mlAyanI vanamAlikA (?) // Va-aniG_318 //
   āmlāyano rājasairyaḥ $ koraṇḍo nakharañjanaḥ &	AmlAyanaH rAjasEryaH $ koraNxaH naKa-raQjanaH &
   tilakaḥ pūrṇakaḥ śrīmān % sudyutiḥ śuklapuṣpakaḥ // VAnigh_319 //	tilakaH pUrNakaH SrImAn % su-dyutiH SuklapuzpakaH // Va-aniG_319 //
   mālatī sumanā jātī $ yūthikā gandhanāmikā &	mAlatI sumanAH jAtI $ yUTikA ganDa-nAmikA &
   mallikoktā vicakilā % dvipuṣpī puṣpaṭī tathā // VAnigh_320 //	mallikA-uktA vicakilA % dvipuzpI puzpawI taTA // Va-aniG_320 //
   kuñjaraḥ śatapattraś ca $ kaṇṭakāḍhyaś ca kubjakaḥ &	kuQjaraH SatapattraH ca $ kaNwakAXyaH ca kubjakaH &
   aṭṭahāsaḥ śaṅkhaśuklā % nāmnā sā śaṅkhayūthikā // VAnigh_321 //	awwahAsaH SaFKa-SuklA % nAmnA sA SaFKa-yUTikAH // Va-aniG_321 //
   ṛṣir damanako dānto $ vinītaḥ kulapattrakaḥ &	RziH damanakaH dAntaH $ vinItaH kulapattrakaH &
   damanaḥ pāṇḍurāgaḥ syāt % tathā gandhotkaṭo muniḥ // VAnigh_322 //	damanaH pANxu-rAgaH syAt % taTA ganDotkawaH muniH // Va-aniG_322 //
   pānīyam ambu salilaṃ $ toyaṃ codakavāriṇī &	pAnIyam ambu salilam $ toyam ca-udaka-vAriNI &
   payaḥ kīlālamamṛtaṃ % jīvanaṃ bhuvanaṃ vanam // VAnigh_323 //	payaH kIlAlam-amRtam % jIvanam Buvanam vanam // Va-aniG_323 //
   kṣīraṃ svādu payo dugdhaṃ $ stanyaṃ vāri stanodbhavam &	kzIram svAdu payaH dugDam $ stanyam vAri stana-udBavam &
   dadhi māṅgalyakaṃ caiva % saṃtānaṃ stanikā smṛtā // VAnigh_324 //	daDi mAFgalyakam ca-eva % saMtAnam stanikA smRtAH // Va-aniG_324 //
   ghoṣaṃ daṇḍāhataṃ takraṃ $ kālaśeyamudāhṛtam &	Gozam daNxa-Ahatam takram $ kAlaSeyam-udAhRtam &
   ghṛtamājyaṃ haviḥ sarpiḥ % navanītaṃ ghṛtālayaḥ // VAnigh_325 //	GRtam-Ajyam haviH sarpiH % navanItam GRta-AlayaH // Va-aniG_325 //
   guḍastvikṣuvikāraḥ syāt $ khaṇḍaṃ phullamiti smṛtam &	guxaH-tu-ikzu-vikAraH syAt $ KaNxam Pullam-iti smRtam &
   sitopalā śarkarā ca % sitā matsyaṇḍikā smṛtā // VAnigh_326 //	sitopalA SarkarA ca % sitA matsyaNxikA smRtAH // Va-aniG_326 //
   mākṣikaṃ sāraghaṃ kṣaudraṃ $ madhu puṣparasodbhavam &	mAkzikam sAraGam kzOdram $ maDu puzparasa-udBavam &
   madhūcchiṣṭaṃ ca madanaṃ % sikthakaṃ makṣikāmalam // VAnigh_327 //	maDUcCizwam ca madanam % sikTakam makzikA-malam // Va-aniG_327 //
   tailam abhyañjanavaraṃ $ tilajaṃ tilasambhavam &	tElam aByaQjana-varam $ tila-jam tila-samBavam &
   prasannā vāruṇī jñeyā % parisvinnā ca sā smṛtā // VAnigh_328 //	prasannA vAruNI jQeyA % parisvinnA ca sA smRtAH // Va-aniG_328 //
   kādambarī ghanā surā $ maireyo hy āsavo madaḥ &	kAdambarI GanA surAH $ mEreyaH hi AsavaH madaH &
   mārdvīkaṃ madhu vijñeyaṃ % mādhvīkaṃ madhunā kṛtam // VAnigh_329 //	mArdvIkam maDu vijQeyam % mADvIkam maDunA kRtam // Va-aniG_329 //
   guḍena gauḍaṃ sitayā $ śārkaraṃ saindham aikṣavam &	guxena gOxam sitayA $ SArkaram sEnDam Ekzavam &
   khaṇḍena khaṇḍavāsaḥ syāt % paiṣṭakaṃ piṣṭasambhavam // VAnigh_330 //	KaNxena KaNxavAsaH syAt % pEzwakam pizwa-samBavam // Va-aniG_330 //
   avantisomo dhānyāmlam $ āranālaṃ ca kāñjikam &	avantisomaH DAnyAmlam $ AranAlam ca kAQjikam &
   śuktaṃ sauvīrakaṃ ceti % tuṣodaṃ tu tuṣodakam // VAnigh_331 //	Suktam sOvIrakam ca-iti % tuzodam tu tuzodakam // Va-aniG_331 //
   yavotthaṃ taṇḍulodaṃ ca $ rasāmlaṃ śuktakāñjikam &	yavotTam taNxulodam ca $ rasAmlam Sukta-kAQjikam &
   brahmāmbu gombu gomūtraṃ % gomalaṃ gomayaṃ smṛtam // VAnigh_332 //	brahma-ambu gombu go-mUtram % gomalam gomayam smRtam // Va-aniG_332 //
   śālir vrīhir varaś caiva $ dhānyakaṃ raktaśūkaraḥ &	SAliH vrIhiH varaH ca-eva $ DAnyakam raktaSUkaraH &
   yavaś ca sthūlamadhyaś ca % varuṇo munibhikṣitaḥ // VAnigh_333 //	yavaH ca sTUla-maDyaH ca % varuNaH muni-BikzitaH // Va-aniG_333 //
   akṛṣṭapacyo nīvāraḥ $ śakuntamunibhojanam &	akRzwa-pacyaH nIvAraH $ SakuntamuniBojanam &
   caṇakastu kalāyaḥ syād % godhūmo mlecchabhojanaḥ // VAnigh_334 //	caNakaH-tu kalAyaH syAt % goDUmaH mlecCa-BojanaH // Va-aniG_334 //
   camasī cātibījā syāt $ koradūṣastu kodravaḥ &	camasI ca-atibIjA syAt $ koradUzaH-tu kodravaH &
   kaṅguḥ saṃdhyanthisaṃbandhī % priyaṅguḥ pītataṇḍulaḥ // VAnigh_335 //	kaFguH saMDi-anTi-saMbanDI % priyaFguH pItataNxulaH // Va-aniG_335 //
   gavedhukā ca gojihvā $ karśanīyā sitā tathā &	gaveDukA ca gojihvA $ karSanIyA sitA taTA &
   uddālakastu jūrṇāhvo % yāvanālaḥ śukapriyaḥ // VAnigh_336 //	uddAlakaH-tu jUrNAhvaH % yAvanAlaH SukapriyaH // Va-aniG_336 //
   vāsantaḥ kṛṣṇamudgastu $ mādhavaś ca surāṣṭrajaḥ &	vAsantaH kRzNa-mudgaH-tu $ mADavaH ca surAzwrajaH &
