   oṃ namo maṅgalamūrtaye |	om namaH maFgala-mUrtaye |
   śivasūtreṣv api=20	Siva-sUtrezu api=20
   mahāhrādānusaṃdhānān mantravīryānubhavaḥ [36] | iti |	mahA-hrAda-anusaMDAnAt mantra-vIrya-anuBavaH [36] | iti |
   tad atra mahāmantravīryātmakāyāṃ pūrṇāhantāyāṃ āveśo	tat atra mahA-mantra-vIrya-AtmakAyAm pUrNAhantAyAm AveSaH-
   dehaprāṇādinimajjanāt tatpadāvāptyavaṣṭambhena dehādīnāṃ nīlādīnām api	deha-prANa-Adi-nimajjanAt tad-pada-avApti-avazwamBena deha-AdInAm nIla-AdInAm api
   tadrasāplāvanena tanmayīkaraṇam | tathā hi dehasukhanīlādi yatkiṃcit	tat-rasa-AplAvanena tad-mayIkaraNam | taTA hi deha-suKa-nIla-Adi yat-kiMcid-
   prathate adhyavasīyate smaryate saṃkalpyate vā tatra sarvatraiva bhagavatī	praTate aDyavasIyate smaryate saMkalpyate vA tatra sarvatra-eva BagavatI
   citiśaktimayī prathā bhittibhūtaiva sphurati | "tadasphuraṇe kasyāpi	citi-Sakti-mayI praTA Bitti-BUtA-eva sPurati | "tada-sPuraNe kasya-api
   asphuraṇāt " iti uktatvāt kevalaṃ tathā sphuranty api sā tanmāyāśaktyā	asPuraNAt " iti ukta-tvAt kevalam taTA sPuranti api sA tad-mAyA-SaktyA
   avabhāsitadehanīlādyuparāgadattābhimānavaśāt bhinnabhinnasvabhāvā iva	avaBAsita-deha-nIla-Adi-uparAga-datta-aBimAna-vaSAt Binna-Binna-svaBAvAH iva
   bhāntī jñānasaṃkalpādhyavasāyādirūpatayā māyāpramātṛbhiḥ abhimanyate |	BAntI jQAna-saMkalpa-aDyavasAya-Adi-rUpa-tayA mAyA-pramAtRBiH aBimanyate |
   vastutas tu ekaiva asau citiśaktiḥ | yathoktam	vastutas tu ekA-eva asO citi-SaktiH | yaTA-uktam
   yā caiṣā pratibhā tattatpadārthakramarūṣitā |	yA ca-ezA pratiBA tad-tad-padArTa-krama-rUzitA |
   akramānantacidrūpaḥ pramātā sa maheśvaraḥ [37] || iti |	akrama-ananta-cit-rUpaH pramAtA sa maheSvaraH [37] || iti |
   tathā=20	taTA=20
   māyāśaktyā vibhoḥ saiva bhinnasaṃvedyagocarā |	mAyA-SaktyA viBoH sA-eva Binna-saMvedya-gocarA |
   kathitā jñānasaṃkalpādhyavasāyādināmabhiḥ [38] || iti |	kaTitA jQAna-saMkalpa-aDyavasAya-Adi-nAmaBiH [38] || iti |
   evam eṣā sarvadaśāsu ekaiva citiśaktiḥ vijṛmbhamāṇā yadi	evam ezA sarva-daSAsu ekA-eva citi-SaktiH vijRmBamANA yadi
   tadanupraveśatadavaṣṭambhayuktyā samāsādyate tat tadāveśāt	tad-anupraveSa-tad-avazwamBa-yuktyA samAsAdyate tat tad-AveSAt
   pūrvoktayuktyā karaṇonmīlananimīlanakrameṇa sarvasya sarvamayatvāt	pUrva-ukta-yuktyA karaNa-unmIlana-nimIlana-krameNa sarvasya sarva-maya-tvAt
   tattatsaṃhārādau api sadā sarvasargasaṃhārakāri yat	tad-tad-saMhAra-AdO api sadA sarva-sarga-saMhAra-kAri yat-
   sahajasaṃvittidevatācakraṃ amāyīyāntarbahiṣkaraṇamarīcipuñjaḥ tatra	sahaja-saMvitti-devatA-cakram amAyIya-antar-bahizkaraNa-marIci-puQjaH tatra
   īśvaratāsāmrajyaṃ parabhairavātmatā tatprāptiḥ bhavati	ISvara-tAsAmrajyam para-BErava-Atma-tA tad-prAptiH Bavati
   paramayoginaḥ | yathoktam	parama-yoginaH | yaTA-uktam
   yadā tv ekatra saṃrūḍhas tadā tasya layodbhavau |	yadA tu ekatra saMrUXaH tadA tasya laya-udBavO |
   niyacchan bhoktṛtām eti tataś cakreśvaro bhavet [39] || iti |	niyacCan BoktRtAm eti tatas cakreSvaraH Bavet [39] || iti |
   atra ekatra iti "ekatrāropayet sarvaṃ" [40] iti citsāmānyaspandabhūḥ	atra ekatra iti "ekatra-Aropayet sarvan" [40] iti cit-sAmAnya-spanda-BUH
   unmeṣātmā vyākhyātavyā |	unmeza-AtmA vyAKyAtavyA |
   tasya iti anena "puryaṣṭakena saṃruddha" [41] iti | upakrāntaṃ	tasya iti anena "puryazwakena saMrudDa" [41] iti | upakrAntam
   puryaṣṭakam eva parāmraṣṭavyam na tu yathā vivaraṇakṛtaḥ ekatra	puryazwakam eva parAmrazwavyam na tu yaTA vivaraNa-kRtaH ekatra
   sūkṣme sthūle śarīre vā iti vyākṛtavantaḥ | stutaṃ ca mayā	sUkzme sTUle SarIre vA iti vyAkRtavantaH | stutam ca mayA
   svatantraś citicakrāṇāṃ cakravartī maheśvaraḥ |	svatantraH citi-cakrANAm cakravartI maheSvaraH |
   saṃvittidevatācakrajuṣṭaḥ ko 'pi jayaty asau || iti |	saMvitti-devatA-cakra-juzwaH kaH api jayati asO || iti |
   itiśabda upasaṃhāre | yat etāvat uktaprakaraṇaśarīraṃ tat sarvaṃ	iti-SabdaH upasaMhAre | yat etAvat ukta-prakaraNa-SarIram tat sarvam
   śivaṃ śivaprāptihetutvāt śivāt prasṛtatvāt śivasvarūpābhinnatvāc ca	Sivam Siva-prApti-hetu-tvAt SivAt prasRta-tvAt Siva-svarUpa-aBinna-tvAt ca
   śivamayam eva iti śivam |	Siva-mayam eva iti Sivam |
   dehaprāṇasukhādibhiḥ pratikalaṃ saṃrudhyamāno janaḥ	deha-prANa-suKa-AdiBiH pratikalam saMruDyamAnaH janaH
   pūrṇānandaghanām imāṃ na cinute māheśvarīṃ svāṃ citim |	pUrNa-Ananda-GanAm imAm na cinute mAheSvarIm svAm citim |
   madhyebodhasudhābdhi viśvam abhitas tatphenapiṇḍopamaṃ	maDyebaH-Da-suDA-abDi viSvam aBitas tad-Pena-piNxa-upamam
   yaḥ paśyed upadeśatas tu kathitaḥ sākṣāt sa ekaḥ śivaḥ ||	yaH paSyet upadeSataH tu kaTitaH sAkzAt saH ekaH SivaH ||
   yeṣāṃ vṛttaḥ śāṅkaraḥ śaktipāto	yezAm vRttaH SAFkaraH SaktipAtaH-
   ye 'nabhyāsāt tīkṣṇayuktiṣv ayogyāḥ |	ye anaByAsAt tIkzNa-yuktizu ayogyAH |
   śaktā jñātuṃ neśvarapratyabhijñām	SaktA jQAtum na-ISvara-pratyaBijQAm
   uktas teṣām eṣa tattvopadeśaḥ ||	uktaH tezAm eza tattva-upadeSaH ||
   samāptam idaṃ pratyabhijñāhṛdayam kṛtis	samAptam idam pratyaBijQA-hRdayam kRtis
   tatrabhavanmahāmāheśvarācāryavaryaśrīmadabhinavaguptapādapadmopajīvinaḥ	tatraBavat-mahA-mAheSvara-AcArya-varya-SrImat-aBinavagupta-pAda-padma-upajIvinaH
   śrīmato rājānakakṣemarājācaryasya	SrImataH rAjAnaka-kzemarAja-Acaryasya
   śubham astu	SuBam astu
   NOTES	NOTEH-
   [1] Pratyabhijñāhṛdayam , The secret of recognition , ṅerman transl. by E.	[1] Prati-aBijQA-hRdayam , The secret of reca-ugnition , Ferman tran-sl. bi E.
   Baer, transl. into English by K. F. Leidecker. Adyar Library, 1938.	Baer, tran-sl. intaH Engli-sh bi K. F. Leidet-ker. Adyar Li-brary, 1938.
   Pratyabhijñāhṛdayam , Sanskrit text with English Translation, Notes and	Prati-aBijQA-hRdayam , Sanskrit text wiT Engli-sh Tran-slation, NoteH and
   Introduction by J. Singh. I=B0ed. Delhi 1963	Intra-uduction bi J. SinG. I=B0ed. Delhi 1963
   [2] Con questo verso Kṣemarāja fa iniziare anche il Bodhavilāsa .	[2] Con questaH verso Kzema-rAja faH iniziare anCe id BoDa-vilAsa .
   [3] VBh. 106	[3] VBh. 106
   [4] SpK. II. 3-4	[4] SpK. II. 3-4
   [5] IPK. I. 4; 3	[5] IPK. I. 4; 3
   [6] S'S. I. 1	[6] SaS. I. 1
   [7] Citazione riconducibile a S'S. III. 1 (ātmā cittam )	[7] Citazione ricA-unducibile a SaS. III. 1 (a-AtmA cittam )
   [8] Sv.T X. 1141 c	[8] Sv.T X. 1141 c
   [9] Netra T. VIII. 30 b . La versione originale cui si richiama Kṣemarāja	[9] Netra T. VIII. 30 b . La versiA-Une originale cui si riCiamaH Kzema-rAja
   =E8	=E8
   la seguente:=20	la seguente:=20
   ta ātmopāsakāḥ śaive na gacchanti paraṃ śivam .	te Atma-upAsakAH SEve na gacCanti param Sivam .
   [10] ed. apūrṇaṃ manyatārūpaṃ .	[10] ed. apUrNam manyatArUpam .
   [11] mss. Adyar Library (No=B0 XXII. F. 38; No=B0 XIX. I. 25). l'edizione	[11] mss. Adyar Librari (No=B0 XXII. F. 38; No=B0 XIX. I. 25). laedizia-Une
   del	del
   testo segue invece la lezione: atyantaṃ saṃkocagrahaṇena .	teH-taH segue invece la lezione: atyantam saMkoca-grahaNena .
   [12] mss. Adyar Library (No=B0 XXII. F. 38; No=B0 XIX. I. 25). ed. :	[12] mss. Adyar Librari (No=B0 XXII. F. 38; No=B0 XIX. I. 25). ed. :
   atyantaṃ	atyantam
   parimitatāṃ .	parimita-tAm .
   [13] Sv.T. I. 3	[13] Sv.T. I. 3
   [14] IPK. VI. 7=20	[14] IPK. VI. 7=20
   [15] IPK. IV. 12	[15] IPK. IV. 12
   [16] trattasi del Sūtra 9 .	[16] trattasi det SUtra 9 .
   [17] var. sakalabhedakabalanasvabhāvaṃ .	[17] var. sakala-Bedaka-balana-svaBAvam .
   [18] S'ivastotravalī . XX. 17	[18] Saiva-stotra-valI . XX. 17
   [19] SpK. II. 10	[19] SpK. II. 10
   [20] SpK. II, 5	[20] SpK. II, 5
   [21] var. sarvāntaratamatvena .	[21] var. sarva-antaratama-tvena .
   [22] IPK. IV. I. 11	[22] IPK. IV. I. 11
   [23] SpK. I. 9	[23] SpK. I. 9
   [24] var. pratyabhijñāyāṃ ca .	[24] var. pratyaBijQAyAm ca .
   [25] Kaṭha Up. IV. 1; aśnan in luogo dell'originale icchan .	[25] KaWaH Up. IV. 1; aSnan id luogaH dell-aoriginale icCan .
   [26] Vbh. 68	[26] VB. 68
   [27] Vbh. 49	[27] VB. 49
   [28] Vbh. 51	[28] VB. 51
   [29] SpK. III. 9	[29] SpK. III. 9
   [30] Vbh. 72-74	[30] VB. 72-74
   [31] omesso in alcuni mss.	[31] oma-IssaH id alcuni mss.
   [32] var. =B0svarūpatayā .	[32] var. =B0sva-rUpa-tayA .
   [33] var. cidāhlādaikadhanā .	[33] var. cit-AhlAda-eka-DanAH .
   [34] Utpaladeva: Ajaḍaprāmatṛsiddhi . 22-23	[34] Utpaladeva: Ajaxa-prAmatR-sidDi . 22-23
   [35] SpK. II. 1-2	[35] SpK. II. 1-2
   [36] S'S. I. 22	[36] SaS. I. 22
   [37] IPK. I. 7. 1	[37] IPK. I. 7. 1
   [38] IPK. I. 5. 18	[38] IPK. I. 5. 18
   [39] SpK. III. 19	[39] SpK. III. 19
   [40] SpK. III. 12	[40] SpK. III. 12
   [41] SpK. III. 17	[41] SpK. III. 17
   ṅandharva-nagaram / DSO Sanskrit Archive	FanDarva--nagaram / DSO Sanskrit ArCive
   http://popḷet.uniroma1.it/DSO/archive/sanskritḥtm	http://pa-up?et.u-niroma-1.it/DSO/arCive/-sanskritHtm
