   śrīrastu	SrIH astu
   dharmajño 'vyasanī caiva guṇaireterbhavennṛpaḥ /	Darma jQaH avyasanI ca eva guNEH eteH Bavet nRpaH /
   kulīnā buddhisaṃpannā nānāśāstravipaścitāḥ // BhN_24.80 //	kulInAH budDi saMpannAH nAnA SAstra vipaScitAH // Bhz _24.80 //
   snigdhā parerahāryaśca na pramattāśca deśajāḥ /	snigDA parerahAryaH ca na pramattAH ca deSa jAH /
   alubdhāśca vinītāśca śucayo dhārmikāstathā // BhN_24.81 //	alubDAH ca vinItAH ca SucayaH DArmikAH taTA // Bhz _24.81 //
   purodho mantriṇastvebhirguṇairyuktā bhavanti hi /	puroDaH mantriNaH tu eBiH guNEH yuktAH Bavanti hi /
   buddhimānnītisaṃpannastyaktālasyaḥ priyaṃvadaḥ // BhN_24.82 //	budDimAn nIti saMpannaH tyakta AlasyaH priyaMvadaH // Bhz _24.82 //
   pararandhravidhijñaśca yātrākālaviśeṣavit /	para ranDra viDi jQaH ca yAtrA kAla viSeza vid /
   arthaśāstrārthakuśalo hyanuraktaḥ kulodbhavaḥ // BhN_24.83 //	arTa SAstra arTa kuSalaH hi anuraktaH kula udBavaH // Bhz _24.83 //
   deśavitkālaviccaiva kartavyaḥ kṣitipaiḥ sadā /	deSa vid kAla vid ca eva kartavyaH kzitipEH sadA /
   vyavahārārthatattvajñā buddhimanto bahuśrutāḥ // BhN_24.84 //	vyavahAra arTa tattva jQAH budDimantaH bahu SrutAH // Bhz _24.84 //
   madhyasthā dhārmikā dhīrāḥ kāryākāryavivekinaḥ /	maDyasTAH DArmikAH DIrAH kArya akArya vivekinaH /
   kṣāntā dāntā jitakrodhā sarvatra samadarśinaḥ // BhN_24.85 //	kzAntA dAntA jita kroDA sarvatra sama darSinaH // Bhz _24.85 //
   īdṛśaḥ prāḍvivākāstu sthāpyā dharmāsane dvijāḥ /	IdRSaH prAxvivAkAH tu sTApyAH Darma Asane dvijAH /
   utthitāśca pramattāśca tyaktālasyā jitaśramāḥ // BhN_24.86 //	utTitAH ca pramattAH ca tyakta AlasyAH jita SramAH // Bhz _24.86 //
   snigdhā śāntā vinītāśca madhyasthā nipuṇāstathā /	snigDA SAntAH vinItAH ca maDyasTAH nipuNAH taTA /
   nayajñā vinayajñāśca ūhāpohavicakṣaṇāḥ // BhN_24.87 //	naya jQAH vinaya jQAH ca UhA apoha vicakzaNAH // Bhz _24.87 //
   sarvaśātrārthasaṃpannāḥ kumārādhikṛtāstathā /	sarva SAtra arTa saMpannAH kumAra aDikRtAH taTA /
   bṛhaspatimatādeṣāṃ guṇāṃścābhikāṃkṣayet // BhN_24.88 //	bRhaspati matAt ezAm guNAn= ca aBikAMkzayet // Bhz _24.88 //
   vijñeyaṃ copahāryaṃ ca sabhyānāṃ ca vikalpanam /	vijQeyam ca upahAryam ca saByAnAm ca vikalpanam /
   ityeṣa vo mayā proktaḥ prāḍvivākanirṇayaḥ // BhN_24.89 //	iti eza vaH mayA proktaH prAxvivAka nirNayaH // Bhz _24.89 //
   ata ūrdhvaṃ pravakṣyāmi citrābhinayanaṃ punaḥ /	atas UrDvam pravakzyAmi citra aBinayanam punar /
   iti bhāratīye nāṭyaśāsre puṃstryupacāro nāmādhyāyaścaturviṃśaḥ	iti BAratIye nAwya SAsre puMstrI upacAraH nAma aDyAyaH caturviMSaH
   pañcaviṃśo 'dhyāyaḥ	paQcaviMSaH aDyAyaH
   aṅgābhinayasyaiva yo viśeṣaḥ kvacit kvacit /	aFga aBinayasya eva yaH viSezaH kvacid kvacid /
   anukta ucyate citraḥ citrābhinayassmṛtaḥ // BhN_25.1 //	anuktaH ucyate citraH citra aBinaya ssmRtaH // Bhz _25.1 //
   uttānau tu karau kṛtvā svastikau pārśvasaṃsthitau /	uttAnO tu karO kRtvA svastikO pArSva saMsTitO /
   udvāhitena śirasā tathā cordhvanirīkṣaṇāt // BhN_25.2 //	udvAhitena SirasA taTA ca UrDva nirIkzaNAt // Bhz _25.2 //
   prabhātaṃ gaganaṃ rātriḥ pradoṣaṃ divasaṃ tathā /	praBAtam gaganam rAtriH pradozam divasam taTA /
   ṛtūn ghanān vanāntāṃśca vistīrṇāṃśca jalāśayān // BhN_25.3 //	RtUn GanAn vanAntAn= ca vistIrNAn= ca jalASayAn // Bhz _25.3 //
   diśo grahān sanakṣatrān kiñcit svasthaṃ ca yadbhavet /	diSaH grahAn sa nakzatrAn kiQcid svasTam ca yat Bavet /
   tasya tvabhinayaḥ kāryo nānādṛṣṭisamanvitaḥ // BhN_25.4 //	tasya tu aBinayaH kAryaH nAnA dRzwi samanvitaH // Bhz _25.4 //
   ebhireva karairbhūyastenaiva śirasā punaḥ /	eBiH eva karEH BUyas tena eva SirasA punar /
   adho nirīkṣaṇenātha bhūmisthān saṃpradarśayet // BhN_25.5 //	aDas nirIkzaNena aTa BUmi sTAn saMpradarSayet // Bhz _25.5 //
   sparśasya grahaṇenaiva tathollukasanena ca /	sparSasya grahaNena eva taTA ulluka sanena ca /
   candrajyostnāṃ sukhaṃ vāyuṃ rasaṃ gandhaṃ ca nirdiśet // BhN_25.6 //	candrajyoH tnAm suKam vAyum rasam ganDam ca nirdiSet // Bhz _25.6 //
   vastrāvakuṇṭhanātsūryaṃ rajodhūmānilāṃstathā /	vastra avakuNWanAt sUryam rajaH DUma anilAn= taTA /
   bhūmitāpamathoṣṇaṃ ca kuryācchāyābhilāṣataḥ // BhN_25.7 //	BUmita Apam aTa uzNam ca kuryAt CAyA aBilAzataH // Bhz _25.7 //
   ūrdhvākekaradṛṣṭistu madhyāhne sūryamādiśet /	UrDvA kekara dRzwiH tu maDyAhne sUryam AdiSet /
   udayāstagataṃ caiva vismayārthaiḥ pradarśayet // BhN_25.8 //	udaya asta gatam ca eva vismaya arTEH pradarSayet // Bhz _25.8 //
   yāni saumyārthayuktāni susvabhāvakṛtāni ca /	yAni sOmya arTa yuktAni su svaBAva kRtAni ca /
   gātrasparśaissaromāñcaisteṣāmabhinayo bhavet // BhN_25.9 //	gAtra sparSEH sa romAQcEH tezAm aBinayaH Bavet // Bhz _25.9 //
   yāni syustīkṣṇarūpāṇi tāni cābhinayetsudhīḥ /	yAni syuH tIkzNa rUpANi tAni ca aBinayet suDIH /
   asaṃsparśaistathodvegaistathā mukhavikuṇṭhanaiḥ // BhN_25.10 //	asaMsparSEH taTA udvegEH taTA muKa vikuNWanEH // Bhz _25.10 //
   gambhīrodātasaṃyuktānarthānabhinayedbudhaḥ /	gamBIra udAta saMyuktAn arTAn aBinayet buDaH /
   sāṭopaiśca sagarvaiśca gātraiḥ sauṣṭhavasaṃyutaiḥ // BhN_25.11 //	sa AwopEH ca sa garvEH ca gAtrEH sOzWava saMyutEH // Bhz _25.11 //
   yajñopavītadeśasthamarālaṃ hāsamādiśet /	yajQopavIta deSa sTam arAlam hAsam AdiSet /
   svastikau vicyutau hārasragdāmārthān nidarśayet // BhN_25.12 //	svastikO vicyutO hAra sraj dAma arTAn nidarSayet // Bhz _25.12 //
   bhramaṇena pradarśinyā dṛṣṭeḥ parigamena ca /	BramaNena pradarSinyA dRzweH parigamena ca /
   alapadmakapīḍāyāḥ sarvārthagrahaṇaṃ bhavet // BhN_25.13 //	ala padmaka pIxAyAH sarva arTa grahaNam Bavet // Bhz _25.13 //
   śravyaṃ śravaṇayogena dṛśyaṃ dṛṣṭivilokanaiḥ /	Sravyam SravaNa yogena dRSyam dRzwi vilokanEH /
   ātmasthaṃ parasaṃsthaṃ vā madhyasthaṃ vā vinirdiśet // BhN_25.14 //	Atma sTam para saMsTam vA maDya sTam vA vinirdiSet // Bhz _25.14 //
   vidyudulkāghanaravāviṣphuliṃgārciṣastathā /	vidyut ulkA Gana rava avizPuliMga arcizaH taTA /
   trastāṃgākṣinimeṣaiśca te 'bhineyāḥ prayoktṛbhiḥ // BhN_25.15 //	trasta aMga akzi nimezEH ca te aBineyAH prayoktRBiH // Bhz _25.15 //
   udveṣṭitakarāvṛttau karau kṛtvā nataṃ śiraḥ /	udvezwita kara AvRttO karO kRtvA natam SiraH /
   asaṃsparśe tathāniṣṭe jihmadṛṣṭena kārayet // BhN_25.16 //	asaMsparSe taTA anizwe jihma dRzwena kArayet // Bhz _25.16 //
   vāyumuṣṇaṃ tamastejo mukhapracchādanena ca /	vAyum uzNam tamaH tejaH muKa pracCAdanena ca /
   reṇutoyapataṃgāṃśca bhramarāṃśca nivārayet // BhN_25.17 //	reNu toya pataMgAn= ca BramarAn= ca nivArayet // Bhz _25.17 //
   kṛtvā svastikasaṃsthānau padmakośāvadhomukhau /	kRtvA svastika saMsTAnO padma koSO= aDomuKO /
   siaṃharkṣavānaravyāghraśvāpadāṃśca nirūpayet // BhN_25.18 //	siaMha Rkza vAnara vyAGra SvApadAn= ca nirUpayet // Bhz _25.18 //
   svastikau tripatākau tu gurūṇāṃ pādavandane /	svastikO tri patAkO tu gurUNAm pAda vandane /
   khaṭakasvasthikau cāpi pratodagrahaṇe smṛtau // BhN_25.19 //	Kawaka svasTikO ca api pratoda grahaNe smRtO // Bhz _25.19 //
   ekaṃ dvi trīṇi catvāri pañca ṣaṭ sapta cāṣṭadhā /	ekam dvi trINi catvAri paQca zaz sapta ca azwaDA /
   nava vā daśa vāpi syurgaṇanāṃgulibhirbhavet // BhN_25.20 //	nava vA daSa vA api syuH gaNanA aMguliBiH Bavet // Bhz _25.20 //
   daśākhyāśca śatākhyāśca sahasrākhyāstathaiva ca /	daSa AKyAH ca Sata AKyAH ca sahasra AKyAH taTA eva ca /
   patākābhyāṃ tu hastābhyāṃ prayojyāstāḥ prayoktṛbhiḥ // BhN_25.21 //	patAkAByAm tu hastAByAm prayojyAH tAH prayoktRBiH // Bhz _25.21 //
   daśākhyagaṇanāyāstu parato yā bhavediha /	daSa AKya gaNanAyAH tu paratas yA Bavet iha /
   vākyārthenaiva sādhyāsau parokṣābhinayena ca // BhN_25.22 //	vAkya arTena eva sADyAsO parokza aBinayena ca // Bhz _25.22 //
   chatradhvajapatākāśca nirdeśyā daṇḍadhāraṇāt /	Catra Dvaja patAkAH ca nirdeSyAH daNxa DAraNAt /
   nānāpraharaṇaṃ cātha nirdeśyaṃ dhāraṇāśrayam // BhN_25.23 //	nAnA praharaNam ca aTa nirdeSyam DAraNa ASrayam // Bhz _25.23 //
   ekacitto hyadhodṛṣṭiḥ kiñcinnataśirāstathā /	ekacittaH hi aDodRzwiH kiQcid nata SirAH taTA /
   savyahastaśca saṃdaṃśaḥ smṛte dhyāne vitarkite // BhN_25.24 //	savya hastaH ca saMdaMSaH smRte DyAne vitarkite // Bhz _25.24 //
   udvāhitaṃ śiraḥ kṛtvā haṃsapakṣau pradakṣiṇau /	udvAhitam SiraH kRtvA haMsapakzO pradakziNO /
   apatyarūpaṇe kāryāvuchrayau ca prayoktṛbhiḥ // BhN_25.25 //	apatya rUpaNe kAryO= uCrayO ca prayoktRBiH // Bhz _25.25 //
   udvāhitaṃ śiraḥ kṛtvā haṃsavaktraṃ tathordhvagam /	udvAhitam SiraH kRtvA haMsavaktram taTA UrDvagam /
   prasādayacca yaṃ mānaṃ dīrghasatvaṃ ca nirdiśet // BhN_25.26 //	prasAdayat ca yam mAnam dIrGa satvam ca nirdiSet // Bhz _25.26 //
   arālaṃ ca śirasthāne samudvāhya tu vāmakam /	arAlam ca Sira sTAne samudvAhya tu vAmakam /
   gate nirvṛtte dhvaste ca śrāntavākye ca yojayet // BhN_25.27 //	gate nirvRtte Dvaste ca SrAnta vAkye ca yojayet // Bhz _25.27 //
   sarvendriyasvasthatayā prasannavadanastathā /	sarva indriya svasTa tayA prasanna vadanaH taTA /
   vicitrabhūtalālokaiḥ śaradantu vinirdiśet // BhN_25.28 //	vicitra BU ta lAlokEH Saradantu vinirdiSet // Bhz _25.28 //
   gātrasaṃkocanāccāpi sūryāgnipaṭusevanāt /	gAtra saMkocanAt ca api sUrya agni pawu sevanAt /
   hemantastvabhinetavyaḥ puruṣairmadhyamādhamaiḥ // BhN_25.29 //	hemantaH tu aBinetavyaH puruzEH maDyama aDamEH // Bhz _25.29 //
   śirodantoṣṭhakampena gātrasaṃkocanena ca /	SiraH danta uzWa kampena gAtra saMkocanena ca /
   kūjitaiśca saśītkārairadhamaśśītamādiśet // BhN_25.30 //	kUjitEH ca sa SItkArEH aDamaH SItam AdiSet // Bhz _25.30 //
   avasthāntaramāsādya kadācittūttamarairapi /	avasTA antaram AsAdya kadAcid tu uttamarEH api /
   śītābhinayanaṃ kūryāddevādvyasanasaṃbhavam // BhN_25.31 //	SIta aBinayanam kUryAt devAt vyasana saMBavam // Bhz _25.31 //
   ṛtujānāṃ tu puṣpāṇāṃ gandhaghrāṇaistathaiva ca /	Rtu jAnAm tu puzpANAm ganDa GrANEH taTA eva ca /
   rūkṣasya vāyoḥ sparśācca śiśiraṃ rūpayedbudhaḥ // BhN_25.32 //	rUkzasya vAyoH sparSAt ca SiSiram rUpayet buDaH // Bhz _25.32 //
   pramodajananāraṃbhairupabhogaiḥ pṛthagvidhiḥ /	pramoda janana AraMBEH upaBogEH pRTagviDiH /
   vasantastvabhinetavyo nānāpuṣpapradarśanāt // BhN_25.33 //	vasantaH tu aBinetavyaH nAnA puzpa pradarSanAt // Bhz _25.33 //
   sveda pramārjanaiścaiva bhūmitāpaiḥ savījanaiḥ /	sveda pramArjanEH ca eva BUmi tApEH sa vIjanEH /
   uṣṇasya vāyoḥ sparśena grīṣmaṃ tvabhinayedbudhaḥ // BhN_25.34 //	uzNasya vAyoH sparSena grIzmam tu aBinayet buDaH // Bhz _25.34 //
   kadambanīpakuṭapaiḥ śādvalaiḥ sendragopakaiḥ /	kadamba nIpa kuwapEH SAdvalEH sa indragopakEH /
   meghavātaiḥ sukhasparśaiḥ prāvṛṭkālaṃ pradarśayet // BhN_25.35 //	meGa vAtEH suKa sparSEH prAvRz kAlam pradarSayet // Bhz _25.35 //
   meghaughanādairgambhīrairdhārāprapatanaistadā /	meGa oGa nAdEH gamBIrEH DArA prapatanEH tadA /
   vidyunnirghātaghoṣaiśca varṣārātraṃ samādiśet // BhN_25.36 //	vidyut nirGAta GozEH ca varzA rAtram samAdiSet // Bhz _25.36 //
   yadyasya cihnaṃ veṣo vā karma vā rūpameva vā /	yadi asya cihnam vezaH vA karma vA rUpam eva vA /
   nirdeśyaḥ sa ṛtustena iṣṭāniṣṭārthadarśanāt // BhN_25.37 //	nirdeSyaH saH RtuH tena izwa anizwa arTa darSanAt // Bhz _25.37 //
   etānṛtūnarthavaśāddarśayeddhi rasānugān /	etAn Rtu un arTa vaSAt darSayet hi rasa anugAn /
   sukhinastu sukhopetān suḥkhārthān duḥkhasaṃyutān // BhN_25.38 //	suKinaH tu suKa upetAn suHKa arTAn duHKa saMyutAn // Bhz _25.38 //
   yo yena bhāvenāviṣṭaḥ sukhadenetareana vā /	yaH yena BAvena AvizwaH suKa dena itareana vA /
   sa tadāhitasaṃkāraḥ sarvaṃ paśyati tanmayam // BhN_25.39 //	sa tat Ahita saMkAraH sarvam paSyati tad mayam // Bhz _25.39 //
   bhāvābhinayanaṃ kuryādvibhāvānāṃ nidarśanaiḥ /	BAva aBinayanam kuryAt viBAvAnAm nidarSanEH /
   tathaiva cānubhāvānāṃ bhāvasiddhiḥ pravartitā // BhN_25.40 //	taTA eva ca anuBAvAnAm BAva sidDiH pravartitAH // Bhz _25.40 //
   vibhāvenāhṛtaṃ kāryamanubhāvena nīyate /	viBAvena AhRtam kAryam anuBAvena nIyate /
   ātmānubhavanaṃ bhāvo vibhāvaḥ paradarśanam // BhN_25.41 //	Atma anuBavanam BAvaH viBAvaH para darSanam // Bhz _25.41 //
   gururmitraṃ sakhā snigdhaḥ saṃbandhī bandhureva vā /	guruH mitram saKA snigDaH saMbanDI banDuH eva vA /
   āvedyate hi yaḥ prāptaḥ sa vibhāva iti smṛtaḥ // BhN_25.42 //	Avedyate hi yaH prAptaH sa viBAvaH iti smRtaH // Bhz _25.42 //
   yattvasya saṃbhramotthānairarghyapādyāsanādibhiḥ /	yat tvasya saMBrama utTAnEH arGya pAdya Asana AdiBiH /
   pūjanaṃ kriyate bhaktyā so 'nubhāvaḥ prakīrtitaḥ // BhN_25.43 //	pUjanam kriyate BaktyA saH anuBAvaH prakIrtitaH // Bhz _25.43 //
   evamanyeṣvapi jñeyo nānākāryapradarśanāt /	evam anyezu api jQeyaH nAnA kArya pradarSanAt /
   vibhāvo vāpi bhāvo vā vijñeyo 'rthavaśādbudhaiḥ // BhN_25.44 //	viBAvaH vA api BAvaH vA vijQeyaH arTa vaSAt buDEH // Bhz _25.44 //
   yastvapi pratisaṃdeśo dūtasyeha pradīyate /	yaH tu api pratisaMdeSaH dUtasya iha pradIyate /
   so 'nubhāva iti jñeyaḥ pratisandeśadarśitaḥ // BhN_25.45 //	saH anuBAvaH iti jQeyaH pratisandeSa darSitaH // Bhz _25.45 //
   evaṃ bhāvo vibhāvo vāpyanubhāvaśca kīrtitaḥ /	evam BAvaH viBAvaH vA api anuBAvaH ca kIrtitaH /
   puruṣairabhineyaḥ syātpramadābhirathāpi vā // BhN_25.46 //	puruzEH aBineyaH syAt pramadABiH aTa api vA // Bhz _25.46 //
   svabhāvābhinaye sthānaṃ puṃsāṃ kāryaṃ tu vaiṣṇavam /	svaBAva aBinaye sTAnam puMsAm kAryam tu vEzNavam /
   āyataṃ vāvahitthaṃ vā strīṇāṃ kāryaṃ svabhāvataḥ // BhN_25.47 //	Ayatam vA avahitTam vA strINAm kAryam svaBAvataH // Bhz _25.47 //
   prayojanavaśāccaiva śeṣāṇyapi bhavanti hi /	prayojana vaSAt ca eva SezANi api Bavanti hi /
   nānābhavābhinayanaiḥ prayogaiśca pṛthagvidhaiḥ // BhN_25.48 //	nAnA Bava aBinayanEH prayogEH ca pRTagviDEH // Bhz _25.48 //
   dhairyalīlāṅgasaṃpannaṃ puruṣāṇāṃ viceṣṭitam /	DErya lIlA aFga saMpannam puruzANAm vicezwitam /
   mṛdulīlāṅgahāraiśca strīṇāṃ kāryaṃ tu ceṣṭitam // BhN_25.49 //	mRdu lIlA aFga hArEH ca strINAm kAryam tu cezwitam // Bhz _25.49 //
   karapādāṅgasañcārāsstrīṇāṃ tu lalitāḥ smṛtāḥ /	kara pAda aFga saQcArAH strINAm tu lalitAH smRtAH /
   sudhīraścoddhataścaiva puruṣāṇāṃ prayoktṛbhiḥ // BhN_25.50 //	suDIraH ca udDataH ca eva puruzANAm prayoktRBiH // Bhz _25.50 //
   yathā rasaṃ yathā bhāvaṃ strīṇāṃ bhāvapradarśanam /	yaTA rasam yaTA BAvam strINAm BAva pradarSanam /
   narāṇāṃ pramadānāṃ ca bhāvābhinayanaṃ pṛthak // BhN_25.51 //	narANAm pramadAnAm ca BAva aBinayanam pRTak // Bhz _25.51 //
   bhāvānubhāvanaṃ yuktaṃ vyākhyāsyāmyanupūrvaśaḥ /	BAva anuBAvanam yuktam vyAKyAsyAmi anupUrvaSas /
   āliṅganena gātrāṇāṃ sasmitena ca cakṣuṣā // BhN_25.52 //	AliFganena gAtrANAm sa smitena ca cakzuzA // Bhz _25.52 //
   tathollukasānaccāpi harṣaṃ saṃdarśayennaraḥ /	taTA ulluka sAnat ca api harzam saMdarSayet naraH /
   kṣiprasa!njātaromāñcāt bāṣpeṇāvṛtalocanā // BhN_25.53 //	kzipra sa!njAta romAQcAt bAzpeNa AvRta locanAH // Bhz _25.53 //
   kurvīta nartakī harṣaṃ prītyā vākyaiśca sasmitaiḥ /	kurvIta nartakI harzam prItyA vAkyEH ca sa smitEH /
   udvṛttaraktanetraśca sandaṣṭādhara eva ca // BhN_25.54 //	udvRtta rakta netraH ca sandazwADaraH eva ca // Bhz _25.54 //
   niśvāsakaṃpitāṃgaśca krodhaṃ cābhinayennaraḥ /	niSvAsa kaMpita aMgaH ca kroDam ca aBinayet naraH /
   netrābhyāṃ bāṣpapūrṇābhyāṃ cibukauṣṭhaprakaṃpanāt // BhN_25.55 //	netrAByAm bAzpa pUrNAByAm cibuka ozWa prakaMpanAt // Bhz _25.55 //
   śirasaḥ kaṃpanāccaiva bhrukuṭīkaraṇena ca /	SirasaH kaMpanAt ca eva BrukuwI karaNena ca /
   maunenāṅgulibhaṅgena mālyābharaṇavarjanāt // BhN_25.56 //	mOnena aFguli BaFgena mAlya ABaraNa varjanAt // Bhz _25.56 //
   āyatakasthānakakṣāyā īrṣyā krodhe bhavetstriyāḥ /	Ayataka sTAna kakzAyAH IrzyA kroDe Bavet striyAH /
   niśvāsocchvāsabahulairadhomukhavicintanaiḥ // BhN_25.57 //	niSvAsa ucCvAsa bahulEH aDomuKa vicintanEH // Bhz _25.57 //
   ākāśavacanāccāpi duḥkhaṃ puṃsāṃ tu yojayet /	AkASa vacanAt ca api duHKam puMsAm tu yojayet /
   ruditaiḥ śvasitaiścaiva śirobhihananena ca // BhN_25.58 //	ruditEH SvasitEH ca eva SiroBihananena ca // Bhz _25.58 //
   bhūmipātābhighātaiśca duḥkhaṃ strīṣu prayojayet /	BUmipAta aBiGAtEH ca duHKam strIzu prayojayet /
   ānandajaṃ cārtijaṃ vā īrṣyāsaṃbhūtameva vā // BhN_25.59 //	Ananda jam ca Arti jam vA IrzyA saMBUtam eva vA // Bhz _25.59 //
   yatpūrvamuktaṃ ruditaṃ tatstrīnīceṣu yojayet /	yat pUrvam uktam ruditam tat strI nIcezu yojayet /
   saṃbhramāvegaceṣṭābhiśśastrasaṃpātanena ca // BhN_25.60 //	saMBrama Avega cezwABiH Sastra saMpAtanena ca // Bhz _25.60 //
   puruṣāṇāṃ bhayaṃ kāryaṃ dhairyāvegabalādibhiḥ /	puruzANAm Bayam kAryam DErya Avega bala AdiBiH /
   calatārakanetratvādgātraiḥ sphuritakampitaiḥ // BhN_25.61 //	cala tAraka netra tvAt gAtrEH sPurita kampitEH // Bhz _25.61 //
   santrastahṛdayatvācca pārśvābhyāmavalokanaiḥ /	santrasta hRdaya tvAt ca pArSvAByAm avalokanEH /
   bhartṛranveṣaṇāccaivamuccairākrandanādapi // BhN_25.62 //	BartRH anvezaNAt ca evam uccEs AkrandanAt api // Bhz _25.62 //
   priyasyāliṃganāccaiva bhayaṃ kāryaṃ bhavetstriyāḥ /	priyasya AliMganAt ca eva Bayam kAryam Bavet striyAH /
   madā ye 'bhihitāḥ pūrvaṃ te strīnīceṣu yojayet // BhN_25.63 //	madAH ye aBihitAH pUrvam te strI nIcezu yojayet // Bhz _25.63 //
   mṛdubhiḥ skhalitairnityamākāśasyāvalaṃbanāt /	mRduBiH sKalitEH nityam AkASasya avalaMbanAt /
   netrāvaghūrṇanaiścaiva sālasyaiḥ kathitaistathā // BhN_25.64 //	netra avaGUrNanEH ca eva sAlasyEH kaTitEH taTA // Bhz _25.64 //
   gātrāṇāṃ kaṃpanaiścaiva madaḥ kāryo bhavetstriyāḥ /	gAtrANAm kaMpanEH ca eva madaH kAryaH Bavet striyAH /
   anena vidhinā kāryaḥ prayogāḥ kāraṇotthitāḥ // BhN_25.65 //	anena viDinA kAryaH prayogAH kAraNa utTitAH // Bhz _25.65 //
   pauruṣaḥ strīkṛto vāpi bhāvā hyabhinayaṃ prati /	pOruzaH strI kRtaH vA api BAvAH hi aBinayam prati /
   sarve salalitā bhāvāsstrībhiḥ kāryāḥ prayatnataḥ // BhN_25.66 //	sarve sa lalitAH BAvAH strIBiH kAryAH prayatnataH // Bhz _25.66 //
   dhairyamādhuryasaṃpannā bhāvāḥ kāryāstu pauruṣāḥ /	DErya mADurya saMpannAH BAvAH kAryAH tu pOruzAH /
   tripatākāṅgulībhyāṃ tu valitābhyāṃ prayojayet // BhN_25.67 //	tri patAkA aFgulIByAm tu valitAByAm prayojayet // Bhz _25.67 //
   śukāśca sārikāścaiva sūkṣmā ye cāpi pakṣiṇaḥ /	SukAH ca sArikAH ca eva sUkzmAH ye ca api pakziNaH /
   śikhisārasahaṃsādyāḥ sthūlā ye 'pi svabhāvataḥ // BhN_25.68 //	SiKi sArasa haMsa AdyAH sTUlAH ye api svaBAvataH // Bhz _25.68 //
   recakairaṅgahāraiśca teṣāmabhinayo bhavet /	recakEH aFga hArEH ca tezAm aBinayaH Bavet /
   kharoṣṭrāśvatarāsiṃhavyāghragomahiṣādaya // BhN_25.69 //	Kara uzwra aSvatara asiMha vyAGra go mahiza AdayaH // Bhz _25.69 //
   gatipracarairaṅgaiśca te 'bhineyāḥ prayoktṛbhiḥ /	gati pracarEH aFgEH ca te aBineyAH prayoktRBiH /
   bhūtāḥ piśācā yakṣāśca dānavāḥ saharākṣasaiḥ // BhN_25.70 //	BUtAH piSAcAH yakzAH ca dAnavAH saha rAkzasEH // Bhz _25.70 //
   aṅgahārairavinirdeśyā nāmasaṃkīrtanādapi /	aFgahArEH avinirdeSyA nAma saMkIrtanAt api /
   aṅgahārairvinirdeśyā apratyakṣā bhavanti ye // BhN_25.71 //	aFga hArEH vinirdeSyAH apratyakzAH Bavanti ye // Bhz _25.71 //
   pratyakṣāstvabhinetavyā bhayodvegaiḥ savismayaiḥ /	pratyakzAH tu aBinetavyA Baya udvegEH sa vismayEH /
   devāśca cihnaiśca praṇāmakaraṇairbhāvaiśca viceṣṭitaiḥ // BhN_25.72 //	devAH ca cihnEH ca praNAma karaNEH BAvEH ca vicezwitEH // Bhz _25.72 //
   abhineyo hyarthavaśādapratyakṣāḥ prayogajñaiḥ /	aBineyaH hi arTa vaSAt apratyakzAH prayoga jQEH /
   savyotthitena hastena hyarālena śiraḥ spṛśet // BhN_25.73 //	savya utTitena hastena hi arAlena SiraH spRSet // Bhz _25.73 //
   nare 'hyabhivādanaṃ hyetadapratyakṣe vidhīyate /	nare ahi aBivAdanam hi etat apratyakze viDIyate /
   khaṭakāvardhamānena kapotākhyena vā punaḥ // BhN_25.74 //	KawakOvarDamAnena kapota AKyena vA punar // Bhz _25.74 //
   daivatāni gurūṃścaiva pramadāścābhivādayet /	dEvatAni gurUn= ca eva pramadAH ca aBivAdayet /
   divaukasaśca ye pūjyāḥ pratyakṣāśca bhavanti ye // BhN_25.75 //	divOkasaH ca ye pUjyAH pratyakzAH ca Bavanti ye // Bhz _25.75 //
   tān pramāṇaiḥ prabhāvaiśca gaṃbhīrārthaiśca yojayet /	tAn pramANEH praBAvEH ca gaMBIra arTEH ca yojayet /
   mahājanaṃ sakhīvargaṃ viṭadhūrtajanaṃ tathā // BhN_25.76 //	mahAjanam saKI vargam viwa DUrta janam taTA // Bhz _25.76 //
   parimaṇḍalasaṃsthena hastenābhinayenannaraḥ /	parimaNxala saMsTena hastena aBinayenannaraH /
   parvatān prāṃśuyogena vṛkṣāṃścaiva samucchritān // BhN_25.77 //	parvatAn prAMSu yogena vRkzAn= ca eva samucCritAn // Bhz _25.77 //
   prasāritābhyāṃ bāhubhyāmutkṣiptābhyāṃ prayojayet /	prasAritAByAm bAhuByAm utkziptAByAm prayojayet /
   samūhasāgaraṃ senā bahuvistīrṇameva ca // BhN_25.78 //	samUha sAgaram senA bahu vistIrNam eva ca // Bhz _25.78 //
   patākābhyāṃ tu hastābhyāmutkṣiptābhyāṃ pradarśayet /	patAkAByAm tu hastAByAm utkziptAByAm pradarSayet /
   śauryaṃ dhairyaṃ ca garvaṃ ca darpamaudāryamucchrayam // BhN_25.79 //	SOryam DEryam ca garvam ca darpam OdAryam ucCrayam // Bhz _25.79 //
   lalāṭadeśasthānena tvarālenābhidarśayet /	lalAwa deSa sTAnena tu arAlena aBidarSayet /
   vakṣodeśādapāviddhau karau tu mṛgaśīrṣakau // BhN_25.80 //	vakzaH deSAt apAvidDO karO tu mRgaSIrzakO // Bhz _25.80 //
   vistīrṇapradrutotkṣepau yojyau yasyādapāvṛtam /	vistIrNa pradruta utkzepO yojyO yasyAt apAvRtam /
