   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   śrutibalādbuddheryāvatsaṃsāryātmabhāvitvamuktaṃ, sati mūle kāryasya	Sruti balAt budDeH yAvat saMsArya Atma BAvi tvam uktaM, sati mUle kAryasya
   viyogāsaṃbhavācceti yuktyāpyāha # apica mithyeti /.#	viyoga asaMBavAt ca iti yuktyA api Aha # apica miTyA iti /.#
   samyagjñānādeva buddhyādibandhadhvaṃsa ityatra śrutimāha # darśayatīti /.#	samyak jQAnAt eva budDi Adi banDa DvaMsaH iti atra Srutim Aha # darSayati iti /.#
   mṛtyumatyetītyanvayaḥ /	mRtyum atyA iti iti anvayaH /
   ādityavarṇaṃ svaprakāśam /	Aditya varNam sva prakASam /
   tamasaḥ parastādajñānāspṛṣṭamityarthaḥ //30//	tamasaH parastAt ajQAna aspRzwam iti arTaH //30//
   END BsRp_2,3.13.30	END BsRp _2,3.13.30
   START BsRp_2,3.13.31ḥ	START BsRp _2,3.13.31H
   puṃstvādivat tv asya sato 'bhivyaktiyogāt | BBs_2,3.31 |	puMstva Adi vat tu asya sataH aBivyakti yogAt | BBH _2,3.31 |
   yāvadātmabhāvitvasyāsiddhiṃ śaṅkate # nanviti /.#	yAvat Atma BAvi tvasya asidDim SaFkate # nanu iti /.#
   suṣuptau buddhisattve brahmasaṃpattirna syāt /	suzuptO budDi sattve brahma saMpattiH na syAt /
   pralaye tatsattve pralayavyāhatirityarthaḥ /	pralaye tad sattve pralaya vyAhatiH iti arTaH /
   sthūlasūkṣmātmanā buddheryāvadātmabhāvitvamastītyāha # puṃstveti /.#	sTUla sUkzma AtmanA budDeH yAvat Atma BAvi tvam asti iti Aha # puMstva iti /.#
   puṃstvaṃ retaḥ /	puMstvam retaH /
   ādipadena śmaśvādigrahaḥ /	Adipadena SmaSu Adi grahaH /
   asya buddhisaṃbandhasyetyarthaḥ /	asya budDi saMbanDasya iti arTaH /
   svāpe bījātmanā sato buddhayādeḥ prabodhe 'bhivyaktirityatra śrutimāha #	svApe bIja AtmanA sataH budDayA AdeH praboDe aBivyaktiH iti atra Srutim Aha #
   darśayatīti /.#	darSayati iti /.#
   na vidurityavidyātmakabījasadbhāvoktaḥ /	na viduH iti avidyA Atmaka bIja sadBAva uktaH /
   te vyāghrādayaḥ punarāvirbhavanti ityabhivyaktinirdeśaḥ //31//	te vyAGra AdayaH punar AvirBavanti iti aBivyakti nirdeSaH //31//
   END BsRp_2,3.13.31	END BsRp _2,3.13.31
   START BsRp_2,3.13.32ḥ	START BsRp _2,3.13.32H
   nityopalabdhyanupalabdhiprasaṅgo 'nyataraniyamo vānyathā | BBs_2,3.32 |	nitya upalabDi anupalabDi prasaFgaH anyatara niyamaH vA anyaTA | BBH _2,3.32 |
   buddhisadbhāve mānamāha sūtrakāraḥ # nityeti /.#	budDi sadBAve mAnam Aha sUtrakAraH # nitya iti /.#
   'manasā hyeva paśyati, 'buddhiśca na viceṣṭati,'	amanasA hi eva paSyati, abudDiH ca na vicezwati, a
   'vijñānaṃ yajñaṃ tanute,' 'cetasā veditavyaḥ,' 'cittaṃ ca cetayitavyam'iti	avijQAnam yajQam tanute, a acetasA veditavyaH, a acittam ca cetayitavyam aiti
   tatra tatra śrutiṣu manaādipadavācyaṃ tāvadbuddhidravyaṃ	tatra tatra Srutizu manaA Adi pada vAcyam tAvat budDi dravyam
   prasiddhamityarthaḥ /	prasidDam iti arTaH /
   kathamekasyānekadhoktiḥ, tatrāha # kvacicceti /.#	kaTam ekasya anekaDoktiH, tatra aha # kvacid ca iti /.#
   garvavṛttiko 'haṅkāro vijñānaṃ citpradhānaṃ smṛtipradhānaṃ vā cittamityapi	garva vRttikaH ahaFkAraH vijQAnam cit praDAnam smRti praDAnam vA cittam iti api
   draṣṭavyam /	drazwavyam /
   yadyapi sākṣipratyakṣasiddhamantaḥkaraṇaṃ śrutyanūditaṃ ca tathāpi	yadi api sAkzi pratyakza sidDam antaHkaraNam Sruti anUditam ca taTA api
   pratyakṣaśrutyorvivadamānaṃ prati vyāsaṅgānupapattyā tatsādhayati #	pratyakza SrutyoH vivadamAnam prati vyAsaFga anupapattyA tat sADayati  #
   taccetyādinā /.#	tat ca ityAdinA /.#
   sūtraṃ yojayati # anyatheti /.#	sUtram yojayati # anyaTA iti /.#
   pañcendriyāṇāṃ pañcaviṣayasaṃbandhe sati nityaṃ yugapatpañcopalabdhayaḥ	paQca indriyANAm paQca vizaya saMbanDe sati nityam yugapad paQca upalabDayaH
   syuḥ, mano 'tiriktasāmagryāḥ sattvāt /	syuH, manaH atirikta sAmagryAH sattvAt /
   yadi satyāmapi sāmagryāmupalabdhyabhāvastarhi sadaivānupalabdhiprasaṅga	yadi satyAm api sAmagryAm upalabDi aBAvaH tarhi sadA eva anupalabDi prasaFga 
   ityarthaḥ /	iti arTaH /
   ataḥ kādācitkopalabdhiniyāmakaṃ mana eṣṭavyamiti bhāvaḥ /	atas kAdAcid ka upa labDi niyAmakam manaH ezwavyam iti BAvaH /
   nanu satyapi kāragrisaṃyoge dāhakādācitkatvavadupalabdhikādācitkatvamastu	nanu sati api kAragri saMyoge dAhakAdAcitka tva vat upalabDikA dAcitka tvam astu
   kiṃ manasetyāśaṅkyānyataraniyamo vetyetadvyācaṣṭe # athaveti /.#	kim manasA iti ASaFkya anyatara niyamaH vA iti etat vyAcazwe # aTavA iti /.#
   satyāṃ sāmagryāṃ nityopalabdhirvāṅgīkāryā anyatarasya kāraṇasya	satyAm sAmagryAm nitya upalabDiH vAFgI kAryAH anyatarasya kAraNasya
   kenapicchaktipratibandhaniyamo vāṅgīkāryaḥ, yathā	kenapicCakti pratibanDa niyamaH vAFgI kAryaH, yaTA
   maṇināgniśaktipratibandha iti vākārārthaḥ /	maNinA agni Sakti pratibanDaH iti vA AkAra arTaH /
   astu pratibandha ityata āha # naceti /.#	astu pratibanDaH iti atas Aha # na ca iti /.#
   na cendriyasyaivāstu śaktipratibandha iti vācyam /	na ca indriyasya eva astu Sakti pratibanDaH iti vAcyam /
   pratibandhakābhāvāt /	pratibanDaka aBAvAt /
   naca dṛṣṭasāmagryāṃ satyāmadṛṣṭaṃ pratibandhakamiti yuktamatiprasaṅgāt /	na ca dRzwa sAmagryAm satyAm adRzwam pratibanDakam iti yuktam ati prasaFgAt /
   naca vyāsaṅgaḥ, pratibandhakamano 'sattve tasyāsaṃbhavāt /	na ca vyAsaFgaH, pratibanDaka manaH asattve tasya asaMBavAt /
   tathāhi rasādīnāṃ sahopalabdhiprāptau rasabubhutsārūpo vyāsaṅgo	taTA hi rasa AdInAm saha upalabDi prAptO rasa buButsA rUpaH vyAsaFgaH 
   rūpādyupalabdhipratibandhako vācyaḥ, sa ca guṇatvādrūpavadguṇyāśrayaḥ,	rUpa Adi upalabDi pratibanDakaH vAcyaH, sa ca guNa tvAt rUpa vat guNya ASrayaH,
   tatrātmano 'saṅganirguṇakūṭasthasya guṇitvāyogānmana eva	tatra AtmanaH asaFga nirguNa kUwa sTasya guNi tva ayogAt manaH eva
   guṇitvenaiṣṭavyamiti vyāsaṅgānupapattyā manaḥsiddhiḥ /	guNi tvena ezwavyam iti vyAsaFga anupapattyA manaH sidDiH /
   etadabhipretyopasaṃharati # tasmāditi /.#	etat aBipretya upasaMharati # tasmAt iti /.#
   avadhānaṃ bubhutsā /	avaDAnam buButsA /
   na cānicchato 'pi durgandhādyupalambhānna bubhutsopalabdhirniyāmiketi	na ca anicCataH api durganDa Adi upalamBAt na buButsA upalabDiH niyAmikA iti
   vācyam, anekaviṣayasaṃnidhau kvacideva tasyā niyāmakatvāṅgīkārāt /	vAcyam, aneka vizaya saMniDO kvacid eva tasyAH niyAmaka tva aFgIkArAt /
   teṣāṃ mate punaricchādīnāmātmadharmatvaṃ teṣāṃ mano durlabhamiti mantavyam	tezAm mate punar icCA AdInAm Atma Darma tvam tezAm manaH durlaBam iti mantavyam
   icchādidharmiṇevātmanā vyāsaṅgopapatteḥ /	icCA Adi DarmiNA iva AtmanA vyAsaFga upapatteH /
   saṃprati vyāsaṅgasya mānasatve śrutimāha # tathāceti /.#	saMprati vyAsaFgasya mAnasa tve Srutim Aha # taTA ca iti /.#
   na kevalaṃ vyāsaṅgānmanaḥsiddhiḥ, kintu kāmādyāśrayatvenāpītyāha #	na kevalam vyAsaFgAt manaH sidDiH, kintu kAma Adi ASraya tvena api iti Aha #
   kāmādayaśceti /.#	kAma AdayaH ca iti /.#
   buddheḥ prāmāṇiktavoktiphalamāha # tasmāditi.# //32//	budDeH prAmANiktavokti Palam Aha # tasmAt iti.# //32//
   END BsRp_2,3.13.32	END BsRp _2,3.13.32
   START BsRp_2,3.14.33ḥ	START BsRp _2,3.14.33H
   kartā śāstrārthavattvāt | BBs_2,3.33 |	kartA SAstra arTavat tvAt | BBH _2,3.33 |
   evamātmanyaṇutvādhyāsoktyā svābhāvikaṃ mahattvaṃ sthāpitam /	evam Atmani aNu tva aDyAsa uktyA svABAvikam mahat tvam sTApitam /
   saṃprati tato bahiṣṭhaṃ kartṛtvaṃ sādhayati # kartā śāstrārthavattvāt /.#	saMprati tatas bahizWam kartR tvam sADayati # kartA SAstra arTavat tvAt /.#
   sa nityaścidrūpo mahānātmā kartā na vetyasaṅgatvaśrutīnāṃ vidhyādiśrutīnāṃ	sa nityaH cit rUpaH mahAn AtmA kartA na vA iti asaFga tva SrutInAm viDi Adi SrutInAm
   ca vipratipattyā saṃśaye buddhikartṛtvenaiva	ca vipratipattyA saMSaye budDi kartR tvena eva
   vidhyādiśāstropapatterakartātmeti sāṃkhyapakṣaprāptau siddhāntayannaiva	viDi Adi SAstra upapatteH akartA AtmA iti sAMKya pakza prAptO sidDAntayat = Eva
   tadguṇasāratvoktyātmani kartṛtvādhyāsasyāpi siddhatvātpunaruktimāśaṅkya	tad guNa sAra tva ukti Atmani kartR tva aDyAsasya api sidDa tvAt punaruktim ASaFkya
   sāṃkhyapakṣanirāsārthamātmanikartṛtvādhyāsaprapañcanānna	sAMKya pakza nirAsa arTam Atma nikartR tva aDyAsa prapaQcanAt na
   punaruktirityāha # tadguṇeti /.#	punaruktiH iti Aha # tad guNa iti /.#
   adhikāraḥ prasaṅgaḥ /	aDikAraH prasaFgaH /
   vastuto 'saṅgatvam /	vastutas asaFga tvam /
   avidyātaḥ kartṛtvamityasaṅgatvakartṛtvaśrutīnāmavirodhokteḥ	avidyAtaH kartR tvam iti asaFga tva kartR tva SrutInAm aviroDa ukteH
   kartṛtvavicārātmakādhikaraṇatrayasya pādasaṃgatiḥ /	kartR tva vicAra Atmaka aDikaraNa trayasya pAda saMgatiH /
   śrutīnāṃ mitho virodhāvirodhau pūrvottarapakṣayoḥ phalam /	SrutInAm miTas viroDa aviroDO pUrva uttara pakzayoH Palam /
   yadvātra pūrvapakṣe bandhābhāvācchāstravaiyarthyaṃ phalaṃ, siddhānte	yat vA atra pUrva pakze banDa aBAvAt SAstra vEyarTyam PalaM, sidDAnte
   kartṛtvādisaṃbandhasattvācchāstrārthavatteti bhedaḥ /	kartR tva Adi saMbanDa sattvAt SAstra arTavat tA iti BedaH /
   nanu buddhikartṛtvena śāstrārthavattāstu kiṃ jīvakartṛtvena tatrāha #	nanu budDi kartR tvena SAstra arTavattAH tu kim jIva kartR tvena tatra Aha #
   taddhi kartuḥ sata iti /.#	tat hi kartuH sataH iti /.#
   mayedaṃ kartavyamiti bodhasamarthasya cetanasyaiva kartṛtvaṃ vācyaṃ na	mayA idam kartavyam iti boDa samarTasya cetanasya eva kartR tvam vAcyam na
   tvacetanāyā buddheḥ /	tu acetanAyAH budDeH /
   kiṃ ca bhokturātmana eva kartṛtā vācyā 'śāstraphalaṃ prayoktari'iti	kim ca BoktuH AtmanaH eva kartR tA vAcyAH aSAstra Palam prayoktari aiti
   nyāyāditi bhāvaḥ //33//	nyAyAt iti BAvaH //33//
   END BsRp_2,3.14.33	END BsRp _2,3.14.33
   START BsRp_2,3.14.34ḥ	START BsRp _2,3.14.34H
   vihāropadeśāt | BBs_2,3.34 |	vihAra upadeSAt | BBH _2,3.34 |
   saṃdhyaṃ sthānaṃ svapnaḥ /	saMDyam sTAnam svapnaH /
   amṛtaḥ sa ātmā yatheṣṭamīyate gacchatīti vihāropadeśāt, ātmā kartā //34//	amRtaH saH AtmA yaTezwam Iyate gacCati iti vihAra upadeSa at, AtmA kartA //34//
   END BsRp_2,3.14.34	END BsRp _2,3.14.34
   START BsRp_2,3.14.35ḥ	START BsRp _2,3.14.35H
   upādānāt | BBs_2,3.35 |	upAdAnAt | BBH _2,3.35 |
   prāṇānāṃ madhye vijñānena buddhyā vijñānasamarthamindriyajātamādāya śete	prANAnAm maDye vijQAnena budDyA vijQAna samarTam indriya jAtam AdAya Sete
   iti prāṇān gṛhītvā parivartata iti upādānakartṛtvamātmanaḥ akartṛtve	iti prANAn gRhItvA parivartate iti upAdAnakartR tvam AtmanaH akartR tve
   upādānānupapatteriti bhāvaḥ //35//	upAdAna anupapatteH iti BAvaH //35//
   END BsRp_2,3.14.35	END BsRp _2,3.14.35
   START BsRp_2,3.14.36ḥ	START BsRp _2,3.14.36H
   vyapadeśāc ca kriyāyāṃ na cen nirdeśaviparyayaḥ | BBs_2,3.36 |	vyapadeSAt ca kriyAyAm na ced nirdeSa viparyayaH | BBH _2,3.36 |
   vijñānaśabdo jīvasya nirdeśo na cet tadā prathamānirdeśādviparyayaḥ /	vijQAna SabdaH jIvasya nirdeSaH na ced tadA praTama anirdeSAt viparyayaH /
   karaṇadyotitṛtīyayā nirdeśaḥ syāt /	karaNa dyoti tRtIyayA nirdeSaH syAt /
   tasmādiha śrutau tanuta ityākhyātena kartṛvācinā vijñānapadasya	tasmAt iha SrutO tanutaH iti AKyAtena kartR vAcinA vijQAna padasya
   sāmānādhikaraṇyanirdeśātkriyāyāmātmanaḥ kartṛtvaṃ sūcyata iti	sAmAnADikaraNya nirdeSAt kriyAyAm AtmanaH kartR tvam sUcyate iti
   sūtrabhāṣyayorarthaḥ //36//	sUtra BAzyayoH arTaH //36//
   END BsRp_2,3.14.36	END BsRp _2,3.14.36
   START BsRp_2,3.14.37ḥ	START BsRp _2,3.14.37H
   upalabdhivadaniyamaḥ | BBs_2,3.37 |	upalabDi vat aniyamaH | BBH _2,3.37 |
   sūtrāntaramavatārayati # atrāheti /.#	sUtra antaram avatArayati # atra aha iti /.#
   jīvaḥ svatantraścediṣṭameva kuryādasvatantraścenna kartā, 'svatantraḥ	jIvaH svatantraH ced izwam eva kuryAt asvatantraH ced na kartA, asvatantraH
   kartā'iti nyāyādityarthaḥ /	kartA aiti nyAyAt iti arTaH /
   satyapi svātantrye kārakavaicitryādaniyatā pravṛttiriti sūtreṇa	sati api svAtantrye kAraka vEcitryAt aniyatA pravRttiH iti sUtreNa
   pariharati # yatheti /.#	pariharati # yaTA iti /.#
   dṛṣṭāntāsaṃpratipattyā śaṅkate # upalabdhāvapīti /.#	dRzwAnta asaMpratipattyA SaFkate # upalabDO= api iti /.#
   cakṣurādīnāṃ caitanyena viṣayasaṃbandhārthatvātsvasaṃbandhopalabdhau	cakzuH AdInAm cEtanyena vizaya saMbanDa arTa tvAt svasaMbanDa upalabDO
   cātmanaścaitanyasvabhāvatvena svātantryāddṛṣṭāntasiddhirityāha # neti /.#	ca AtmanaH cEtanya svaBAva tvena svAtantryAt dRzwAnta sidDiH iti Aha # na iti /.#
   nanvātmā viṣayasaṃbandhāya karaṇānyapekṣate cetkathaṃ svatantra	nanu AtmA vizaya saMbanDAya karaNAni apekzate ced kaTam svatantra
   ityāśaṅkyamāha # apiceti /.#	iti ASaFkyam Aha # apicA iti /.#
   svātantryaṃ nāma na svānyānapekṣatvam, īśvarasyāpi	svAtantryam nAma na sva anya anapekza tvam, ISvarasya api
   prāṇikarmāpekṣatvenāsvātantryaprasaṅgāt /	prANi karma apekza tvena asvAtantrya prasaFgAt /
   kiṃ tu svetarakārakaprayoktṛtve sati kārakāpreryatvaṃ svātantryaṃ tena	kim tu svetara kAraka prayoktR tve sati kAraka aprerya tvam svAtantryam tena
   svatantro 'pi jīva	svatantraH api jIva
   iṣṭasādhanatvabhrāntyaniṣṭasādhanamapyanutiṣṭhatītyaniyatā pravṛttiḥ	izwa sADana tva BrAnti anizwa sADanam api anutizWati iti aniyatA pravRttiH
   svātantryaṃ cetyaviruddhamityarthaḥ //37//	svAtantryam ca iti avirudDam iti arTaH //37//
   END BsRp_2,3.14.37	END BsRp _2,3.14.37
   START BsRp_2,3.14.38ḥ	START BsRp _2,3.14.38H
   śaktiviparyayāt | BBs_2,3.38 |	Sakti viparyayAt | BBH _2,3.38 |
   jīvasya kartṛtve hetvantarārthaṃ sūtram # śaktīti /.#	jIvasya kartR tve hetu antara arTam sUtram # Sakti iti /.#
   buddheḥ karaṇaśaktiviparītā kartṛśaktiḥ syādityarthaḥ /	budDeH karaNa Sakti viparItA kartR SaktiH syAt iti arTaH /
   tataḥ kiṃ, tatrāha # satyāṃ ca buddheriti /.#	tatas kiM, tatra Aha # satyAm ca budDeH iti /.#
   yo 'handhīgamyaḥ /	yaH ahanDI gamyaH /
   sa kartā sa eva jīvo yattadapekṣitaṃ karaṇaṃ tanmana iti	sa kartA saH eva jIvaH yat tat apekzitam karaNam tat manaH iti
   jīvakartṛtvasiddhiriti bhāvaḥ //38//	jIva kartR tva sidDiH iti BAvaH //38//
   END BsRp_2,3.14.38	END BsRp _2,3.14.38
   START BsRp_2,3.14.39ḥ	START BsRp _2,3.14.39H
   samādhyabhāvāc ca | BBs_2,3.39 |	samADi aBAvAt ca | BBH _2,3.39 |
   jñānasādhanavidhyanyathānupapattyāpyātmanaḥ kartṛtvaṃ vācyamityāha #	jQAna sADana viDi anyaTA anupapattyA api AtmanaH kartR tvam vAcyam iti Aha #
   samādhīti /.#	samADi iti /.#
   muktiphalabhoktureva tadupāyasamādhikartṛtvaṃ yuktam, anyathātmano	mukti Pala BoktuH eva tad upAya samADi kartR tvam yuktam, anyaTA AtmanaH 
   'kartṛtve buddherapi abhoktryāḥ kartṛtvāyogātsamādhyabhāvaprasaṅga	akartR tve budDeH api aBoktryAH kartR tva ayogAt samADya BAva prasaFga 
   ityarthaḥ //39//	iti arTaH //39//
   END BsRp_2,3.14.39	END BsRp _2,3.14.39
   START BsRp_2,3.15.40ḥ	START BsRp _2,3.15.40H
   yathā ca takṣobhayathā | BBs_2,3.40 |	yaTA ca takzoBa yaTA | BBH _2,3.40 |
   # yathā ca takṣobhayathā /.#	# yaTA ca takzoBa yaTA /.#
   uktamātmanaḥ kartṛtvamupajīvya saṃśayapūrvapakṣāvāha # evaṃ tāvadityādinā	uktam AtmanaH kartR tvam upajIvya saMSaya pUrva pakza AvAha # evam tAvat ityAdinA
   sāṃkhyanirāsenātmanaḥ kartṛtve sādhite bādhakābhāvāt tatsatyamiti	sAMKya nirAsena AtmanaH kartR tve sADite bADaka aBAvAt tat satyam iti
   mīmāṃsakādipakṣaḥ prāptaḥ /	mImAMsaka Adi pakzaH prAptaH /
   na cāsaṅgatvāgamena bādhaḥ, ahaṃ kartetyanubhavasahitakartṛtvaśrutibalena	na ca asaFga tva Agamena bADaH, aham kartA iti anuBava sahita kartR tva Sruti balena
   tasyāgamasya stāvakatvāditi prāpta utsūtrameva siddhāntayati # na	tasya Agamasya stAvaka tvAt iti prAptaH utsUtram eva sidDAntayati # na
   svābhāvikamiti /.#	svABAvikam iti /.#
   yaduktaṃ bādhakābhāvāditi tadasiddhamityāha # anirmokṣeti /.#	yat uktam bADaka aBAvAt iti tat asidDam iti Aha # anirmokza iti /.#
   nanu kartṛtvaṃ nāma kriyāśaktirmuktāvapyasti tathāpi śaktikāryasya	nanu kartR tvam nAma kriyASaktiH muktO= api asti taTA api Sakti kAryasya
   kriyārūpaśakyasyābhāvānmukteḥ puruṣārthatvasiddhiriti śaṅkate # nanu	kriyA rUpa Sakyasya aBAvAt mukteH puruza arTa tva sidDiH iti SaFkate # nanu
   sthitāyāmiti /.#	sTitAyAm iti /.#
   satyāṃ śaktau kathaṃ kāryaparihāraḥ, tatrāha # tatparihāraśceti /.#	satyAm SaktO kaTam kArya parihAraH, tatra Aha # tad parihAraH ca iti /.#
   muktau śaktisattve kāryamapi syāt, śakyābhāve śaktyayogāt /	muktO Sakti sattve kAryam api syAt, Sakya aBAve Sakti ayogAt /
   asti hi pralaye 'pi kāryaṃ punarudbhavayogyaṃ sūkṣmaṃ śakyaṃ, tathāca	asti hi pralaye api kAryam punar udBava yogyam sUkzmam Sakyan, taTA ca
   śaktyā dharmādinimitteḥ sahitakāryākṣepānmuktilopa iti pariharati # na	SaktyA Darma Adi nimitteH sahita kAryAkzepAt mukti lopaH iti pariharati # na
   nimittānāmapīti /.#	nimittAnAm api iti /.#
   sanimittasya kāryasya śakyatvena śaktyā saṃbandhānnamittānāmapi	sa nimittasya kAryasya Sakya tvena SaktyA saMbanDa annam ittAnAm api
   paramparayā śaktisaṃbandhitvamuktaṃ mantavyam /	paramparayA Sakti saMbanDi tvam uktam mantavyam /
   saṃbandhena saṃbandhinetyarthaḥ /	saMbanDena saMbanDinA iti arTaH /
   yadvā śaktirlakṣaṇamākṣepakaṃ yasya kāryasya tena kāryeṇa yaḥ	yat vA SaktiH lakzaNam Akzepakam yasya kAryasya tena kAryeNa yaH
   saṃbandhasteneti vyadhikaraṇe tṛtīye /	saMbanDaH tena iti vyaDikaraNe tRtIye /
   nanu narasya karmaṇā devatvavacchāstrabalātkarturevākartṛtāsiddhiriti	nanu narasya karmaNA deva tva vat SAstra balAt kartuH eva akartR tA sidDiH iti
   śaṅkate # nanviti /.#	SaFkate # nanu iti /.#
   jñānādakartṛtvākhyamokṣatkartṛtvamāvidyakaṃ svādyato jñānamajñānasyaiva	jQAnAt akartR tva AKyamokzatkartR tvam Avidyakam svAdyataH jQAnam ajQAnasya eva
   nivartakam /	nivartakam /
   yadi karmaṇā mokṣaḥ. tatrāha # neti /.#	yadi karmaNA mokzaH. tatra Aha # na iti /.#
   ātmanaḥ svābhāvikaṃ kartṛtvamabhayupagamyānirmokṣa uktaḥ /	AtmanaH svABAvikam kartR tvam aBayupagamyA nirmokzaH uktaH /
   saṃpratyasaṅganirvikāratvānekaśrutivyākopāttanna svābhāvikamityāha #	saMprati asaFga nirvikAra tva aneka Sruti vyAkopAt tat na svABAvikam iti Aha #
   apiceti /.#	apicA iti /.#
   nacābhyastānekaśrutīnāṃ stāvakatvakalpanaṃ yuktaṃ, na cāhaṃ	naca aByasta an eka SrutInAm stAvaka tva kalpanam yuktaM, na ca aham
   kartetyanubhavo virudhyate, tasya satyamithyodāsīnakartṛtvāvagāhino	kartA iti anuBavaH viruDyate, tasya satya miTyA udAsInakartR tva avagAhinaH 
   'dhyāsatvenāpyupapatterityarthaḥ /	aDyAsa tvena api upapatteH iti arTaH /
   kartṛtvasyādhyastatve śrutimāha # tathāceti /.#	kartR tvasya aDyasta tve Srutim Aha # taTA ca iti /.#
   vidvadanubhavabādhitaṃ ca kartṛtvamityāha # nahīti /.#	vidvat anuBava bADitam ca kartR tvam iti Aha # na hi iti /.#
   buddhyādisaṃghātādvyatirikto yadi parasmādanyaścetano na syāttadā para eva	budDi Adi saMGAtAt vyatiriktaH yadi parasmAt anyaH cetanaH na syAt tadA paraH eva
   saṃsārī prasajyeta, taccāniṣṭaṃ, parasya nityamuktatvavyāghātāditi	saMsArI prasajyeta, tat ca anizwaM, parasya nitya mukta tva vyAGAtAt iti
   śaṅkate # para eveti /.#	SaFkate # paraH eva iti /.#
   na vayaṃ śuddhasya ciddhātoḥ parasya bandhaṃ vadāmaḥ, kintu	na vayam SudDasya cit DAtoH parasya banDam vadAmaH, kintu
   tasyaivāvidyābuddhyādiprativimbitasyāvidyayā bhinnasya jīvatvaṃ prāptasya	tasya eva avidyA budDi Adi prativimbitasya avidyayA Binnasya jIva tvam prAptasya
   bandhamokṣāviti brūmaḥ /	banDa mokzO= iti brUmaH /
   kalpitabhedo 'pi loke bimbapratibimbayordharmavyavasthāpako dṛṣṭa iti	kalpita BedaH api loke bimba pratibimbayoH Darma vyavasTApakaH dRzwaH iti
   pariharati # nāvidyeti /.#	pariharati # na avidyA iti /.#
   avidyopahito bandho na śūddhātmanītyatra śrutimāha # tathāceti /.#	avidyA upahitaH banDaH na SUdDa Atmani iti atra Srutim Aha # taTA ca iti /.#
   kartṛtvasya buddhyupādhyanvayavyatirekānuvidhāyitvācchruteśca na	kartR tvasya budDi upADi anvaya vyatireka anuviDAyi tvAt SruteH ca na
   svābhāvikatvamityāha # tathā svapneti /.#	svABAvika tvam iti Aha # taTA svapna iti /.#
   ātmaiva kāmyate ānandatvādityātmakāmaṃ svarūpaṃ	AtmA eva kAmyate Ananda tvAt iti Atma kAmam svarUpam
   svātiriktakāmyāsattvādakāmaṃ, ātmakāmatvādakāmatvāccāptakāmaṃ	sva ati rikta kAmya asattvAt akAman, Atma kAma tvAt akAma tvAt ca Apta kAmam
   viśokatvāccetyāha # śoketi /.#	viSoka tvAt ca iti Aha # Soka iti /.#
   śokāntaraṃ duḥkhāspṛṣṭamityarthaḥ /	Soka antaram duHKa aspRzwam iti arTaH /
   tasyaiva suṣuptātmarūpasya paramapuruṣārthatāmāha # eṣa iti .#//	tasya eva suzupta Atma rUpasya parama puruza arTa tAm Aha # ezaH iti .#//
   gatiḥ prāpyaṃ, saṃpadaiśvaryaṃ loko bogyaṃ sukhaṃ,	gatiH prApyaM, saMpad ESvaryam lokaH bogyam suKaM,
   caitasmādanyatrāstītyarthaḥ /	ca etasmAt anyatra asti iti arTaH /
   ātmā svato 'kartā buddhyādyupādhinā tu kartetyubhayathābhāva uktaḥ /	AtmA svatas akartA budDi Adi upADinA tu kartA iti uBayaTA BAvaH uktaH /
   tatrārthe sūtraṃ yojayati # tadetadāhetyādinā /.#	tatra arTe sUtram yojayati # tat etat Aha ityAdinA /.#
   saṃprasādaḥ suṣuptiḥ /	saMprasAdaH suzuptiH /
   yathā sphaṭikasya lauhityaṃ kusumādyupādhikaṃ tathātmanaḥ kartṛtvaṃ	yaTA sPawikasya lOhityam kusuma Adi upADikam taTA AtmanaH kartR tvam
   buddhyādyupādhikamanvayavyatirekābhyāṃ siddham /	budDi Adi upADikam anvaya vyatirekAByAm sidDam /
   naca tau buddherātmakartṛtve karaṇatvaviṣayau nopādānatvaviṣayāviti	na ca tO budDeH Atma kartR tve karaNa tva vizayO na upAdAna tva vizayO= iti
   yuktaṃ, karaṇatvāt kāryānvayyupādānatvasyāntaraṅgatayā	yuktan, karaNa tvAt kArya anvayi upAdAna tvasya antaraFga tayA
   citsaṃvalitabuddhestābyāmupādānatvasyaiva siddheḥ, evaṃ	cit saMvalita budDeH tAbyAm upAdAna tvasya eva sidDeH, evam
   cidabhedenādhyastabuddhyākhyāhaṅkārasya kartṛtvopādānatvena	cit aBedena aDyastabudDi AKya ahaFkArasya kartR tva upAdAna tvena
   mahāvākyasaṃmatiśceti bhāvaḥ /	mahA vAkya saMmatiH ca iti BAvaH /
   nanu takṣā svahastādinā vāsyādipreraṇaśaktatvātsvataḥ kartā ātmā tu	nanu takzA sva hasta AdinA vA asya Adi preraNa Sakta tvAt su atas kartA AtmA tu
   niravayavatvādaśakta iti dṛṣṭāntavaiṣamyamāśaṅkyaupādhikakartṛtvāṃśena	niravayava tvAt aSaktaH iti dRzwAnta vEzamyam ASaFkya OpADika kartR tva aMSena
   vivakṣitena sāmyamāha # takṣadṛṣṭāntaśceti /.#	vivakzitena sAmyam Aha # takza dRzwAntaH ca iti /.#
   śāstreṇānūdyamānaṃ kartṛtvaṃ svābhāvikameva kiṃ na syādityata āha # naca	SAstreNa AnUdyamAnam kartR tvam svABAvikam eva kim na syAt iti atas Aha # na ca
