   (PSP_2 3:1)	(PSu _2 3:1)
   sacet punar bodhisattvo mahāsattvas taṃ puṇyakriyāvastv abhisaṃskāraṃ	saced punar boDisattvaH mahAsattvaH tam puNya kriyA vastu aBisaMskAram
   viviktaṃ saṃjānīte skandhadhātvāyatanaiḥ, prajñāpāramitayā viviktaṃ	viviktam saMjAnIte skanDa DAtu AyatanEH, prajQApAramitayA viviktam
   saṃjānīte. evaṃ dhyānapāramitayā vīryapāramitayā kṣāntipāramitayā	saMjAnIte. evam DyAna pAramitayA vIrya pAramitayA kzAnti pAramitayA
   śīlapāramitayā (PSP_2 3:130) dānapāramitayā viviktaṃ saṃjānīte.	SIla pAramitayA (PSu _2 3:130) dAna pAramitayA viviktam saMjAnIte.
   adhyātmaśūnyatayā viviktaṃ saṃjānīte yāvad abhāvasvabhāvaśūnyatayā	aDyAtma SUnya tayA viviktam saMjAnIte yAvat aBAva svaBAva SUnyatayA
   viviktaṃ saṃjānīte. saptatriṃśadbodhipakṣair dharmair viviktaṃ saṃjānīte.	viviktam saMjAnIte. saptatriMSat boDi pakzEH DarmEH viviktam saMjAnIte.
   daśabhir balaiś caturbhir vaiśāradyaiś catasṛbhiḥ pratisaṃvidbhir	daSaBiH balEH caturBiH vESAradyEH catasRBiH pratisaMvidBiH 
   aṣṭādaśabhir āveṇikair buddhadharmair viviktaṃ saṃjānīte. evaṃ	azwAdaSaBiH AveNikEH budDa DarmEH viviktam saMjAnIte. evam
   bodhisattvena mahāsattvena puṇyakriyāvastv abhisaṃskāraḥ pariṇāmito	boDisattvena mahAsattvena puNya kriyA vastu aBisaMskAraH pariNAmitaH 
   bhavaty anuttarāyāṃ samyaksaṃbodhau.	Bavati anuttarAyAm samyaksaMboDO.
   sacet punar bodhisattvo mahāsattvo 'numodanāsahagataṃ puṇyakriyāvastu	saced punar boDisattvaH mahAsattvaH anumodanA sahagatam puNya kriyA vastu
   svabhāvena viviktaṃ saṃjānīte, viviktās te buddhā bhagavanto	svaBAvena viviktam saMjAnIte, viviktAH te budDAH BagavantaH 
   buddhasvabhāvena, kuśalamūlāny api kuśalamūlasvabhāvena viviktāni,	budDa svaBAvena, kuSala mUlAni api kuSala mUla svaBAvena viviktAni,
   abhisaṃskārā abhisaṃskārasvabhāvena viviktāḥ, bodhicittaṃ	aBisaMskArAH aBisaMskAra svaBAvena viviktAH, boDi cittam
   bodhicittasvabhāvena viviktaṃ, pariṇāmanācittaṃ pariṇāmanācittasvabhāvena	boDi citta svaBAvena viviktaM, pariNAmanA cittam pariNAmanA citta svaBAvena
   viviktaṃ, bodhir api bodhisvabhāvena viviktā, prajñāpāramitā	viviktaM, boDiH api boDi svaBAvena viviktA, prajQApAramitA
   prajñāpāramitāsvabhāvena viviktā, dhyānapāramitā dhyānapāramitāsvabhāvena	prajQApAramitA svaBAvena viviktA, DyAna pAramitA DyAna pAramitA svaBAvena
   viviktā, vīryapāramitā vīryapāramitāsvabhāvena viviktā, kṣāntipāramitā	viviktA, vIrya pAramitA vIrya pAramitA svaBAvena viviktA, kzAnti pAramitA
   kṣāntipāramitāsvabhāvena viviktā, śīlapāramitā śīlapāramitāsvabhāvena	kzAnti pAramitA svaBAvena viviktA, SIla pAramitA SIla pAramitA svaBAvena
   viviktā, dānapāramitā dānapāramitāsvabhāvena viviktā, adhyātmaśūnyatā	viviktA, dAna pAramitA dAna pAramitA svaBAvena viviktA, aDyAtma SUnyatA
   adhyātmaśūnyatāsvabhāvena viviktā, bahirdhāśūnyatā	aDyAtma SUnyatA svaBAvena viviktA, bahirDA SUnyatA
   bhirdhāśūnyatāsvabhāvena viviktā, adhyātmabahirdhāśūnyatā	BirDA SUnyatA svaBAvena viviktA, aDyAtma bahirDA SUnyatA
   adhyātmabahirdhāśūnyatāsvabhāvena viviktā yāvad abhāvasvabhāvaśūnyatā	aDyAtma bahirDA SUnyatA svaBAvena viviktA yAvat aBAva svaBAva SUnyatA
   abhāvasvabhāvaśūnyatāsvabhāvena viviktā, evaṃ saptatriṃśadbodhipakṣyā	aBAva svaBAva SUnyatA svaBAvena viviktA, evam saptatriMSat boDi pakzyA
   dharmāḥ catvāry āryasatyāny apramāṇadhyānārūpyasamāpattavo 'ṣṭavimokṣā	DarmAH catvAri Arya satyAni apramANa DyAna ArUpya samApattavaH azwa vimokzA
   navānupūrvavihārasamāpattayaḥ śūnyatānimittāpraṇihitāni ṣaḍabhijñāḥ	nava anupUrva vihAra samApattayaH SUnyatA nimitta apraNihitAni zaxaBijQAH
   sarvasamādhayaḥ sarvadhāraṇīmukhāni daśabalavaiśāradyapratisaṃvido,	sarva samADayaH sarva DAraNI muKAni daSa bala vESAradya pratisaMvido,
   'ṣṭādaśāveṇikā buddhadharmā buddhadharmasvabhāvena viviktāḥ. evaṃ hi	azwAdaSa AveNikAH budDa DarmAH budDa Darma svaBAvena viviktAH. evam hi
   bodhisattvena mahāsattvena viviktāyāṃ prajñāpāramitāyāṃ caritavyam iyaṃ	boDisattvena mahAsattvena viviktAyAm prajQApAramitAyAm caritavyam iyam
   bodhisattvasya mahāsattvasya prajñāpāramitā. iti viviktapariṇāmaḥ.	boDisattvasya mahAsattvasya prajQApAramitA. iti vivikta pariNAmaH.
   punar aparaṃ bodhisattvena mahāsattvena teṣāṃ buddhānāṃ bhagavatāṃ yat	punar aparam boDisattvena mahAsattvena tezAm budDAnAm BagavatAm yat 
   kuśalamūlaṃ tat sarvam anusmaratā evaṃ pariṇāmayitavyaṃ yādṛśa eva sa	kuSala mUlam tat sarvam anusmaratA evam pariNAmayitavyam yAdRSaH eva sa
   pariṇāmas tādṛśam eva tac cittaṃ yena pariṇāmayati tajjātikaṃ	pariNAmaH tAdRSam eva tat cittam yena pariNAmayati tad jAtikam
   tatsvabhāvam.	tad svaBAvam.
   saced evaṃ saṃjānīte pariṇāmitaṃ bhavaty anuttarāyāṃ samyaksaṃbodhau, evaṃ	saced evam saMjAnIte pariNAmitam Bavati anuttarAyAm samyaksaMboDO, evam
   pariṇāmayato na saṃjñāviparyāso bhavati na cittaviparyāso bhavati na	pariNAmayataH na saMjQA viparyAsaH Bavati na citta viparyAsaH Bavati na
   dṛṣṭiviparyāso bhavati.	dRzwi viparyAsaH Bavati.
   sacet punar bodhisattvo mahāsattvaḥ prañāpāramitāyāṃ caran nimittayogena	saced punar boDisattvaH mahAsattvaH praQApa AramitAyAm caran nimitta yogena
   (PSP_2 3:131) teṣāṃ buddhānāṃ bhagavatāṃ tāni kuśalamūlāni saṃjānīte, na	(PSu _2 3:131) tezAm budDAnAm BagavatAm tAni kuSala mUlAni saMjAnIte, na
   pariṇāmayaty anuttarāyāṃ samyaksaṃbodhau, ye cātītā buddhā bhagavantaḥ	pariNAmayati anuttarAyAm samyaksaMboDO, ye ca atItAH budDAH BagavantaH
   parinirvṛtā animittā aviṣayāḥ.	parinirvRtAH animittAH avizayAH.
   saced evam api samanvāharati nimittīkaroti, na pariṇāmayati tāni	saced evam api samanvAharati nimittIkaroti, na pariNAmayati tAni
   kuśalamūlāny anuttarāyāṃ samyaksaṃbodhau, evaṃ cāsya saṃjñāviparyāso	kuSala mUlAni anuttarAyAm samyaksaMboDO, evam ca asya saMjQA viparyAsaH 
   bhavati cittaviparyāso bhavati dṛṣṭiviparyāso bhavati.	Bavati citta viparyAsaH Bavati dRzwi viparyAsaH Bavati.
   sacet tān buddhān bhagavatas tāni kuśalamulāni tāṃś cābhisaṃskārāṃs tāṃś	saced tAn budDAn BagavataH tAni kuSala mulAni tAn ca aBisaMskArAn tAnS
   cittotpādān saṃjānīte na nimittīkaroti, pariṇāmitāni tāni kuśalamūlāny	citta utpAdAn saMjAnIte na nimittIka roti, pariNAmitAni tAni kuSala mUlAni 
   anuttarāyai samyaksaṃbodhaye bhavati. evaṃ ca bodhisattvasya mahāsattvasya	anuttarAyE samyaksaMboDaye Bavati. evam ca boDisattvasya mahAsattvasya
   na saṃjñāviparyāso bhavati na cittaviparyāso bhavati na dṛṣṭiviparyāso	na saMjQA viparyAsaH Bavati na citta viparyAsaH Bavati na dRzwi viparyAsaH 
   bhavati. iti buddhakuśalamulajātīyasvabhāvānusmṛtipariṇāmaḥ	Bavati. iti budDa kuSala mula jAtIya svaBAva anusmRti pariNAmaH
   maitreya āha: kathaṃ bhadanta subhūte bodhisattvo mahāsattvo na	mEtreyaH Aha: kaTam Badanta suBUte boDisattvaH mahAsattvaH na
   nimittīkaroti pariṇāmayati ca?	nimittIkaroti pariNAmayati ca?
   subhūtir āha: atra hi tāni bodhisattvena mahāsattvena prajñāpāramitāyām	suBUtiH Aha: atra hi tAni boDisattvena mahAsattvena prajQApAramitAyAm
   upāyakauśalāni śikṣitavyām. ata eva ca bodhisattvasya mahāsattvasya	upAya kOSalAni Sikzita vyAm. atas eva ca boDisattvasya mahAsattvasya
   prajñāpāramitāyām upāyakauśalaṃ veditavyaṃ, na ca prajñāpāramitām anāgamya	prajQApAramitAyAm upAya kOSalam veditavyan, na ca prajQApAramitAm anAgamya
   śakyaṃ puṇyakriyāvastu pariṇāmayitum.	Sakyam puNya kriyA vastu pariNAmayitum.
   maitreya āha: mā haivāsya syād bhadanta subhūte vacanīyam. na te buddhā	mEtreyaH Aha: mA ha eva asya syAt Badanta suBUte vacanIyam. na te budDA
   bhagavantaḥ prajñāpāramitāyāṃ saṃvidyante. nāpi tāni kuśalamūlāni, nāpi te	BagavantaH prajQApAramitAyAm saMvidyante. na api tAni kuSala mUlAni, na api te
   'bhisaṃskārā, nāpi te cittotpādā yāvan nānuttarāyai samyaksaṃbodhaye	aBisaMskArA, na api te citta utpAdAH yAvat na anuttarAyE samyaksaMboDaye
   pariṇāmayati.	pariNAmayati.
   subhūtir āha: tatra bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	suBUtiH Aha: tatra boDisattvena mahAsattvena prajQApAramitAyAm caratA
   evaṃ vyupaparīkṣitavyaṃ, niruddhās te ātmabhāvā tāni ca kuśalamūlāni te	evam vyupaparIkzitavyan, nirudDAH te Atma BAvA tAni ca kuSala mUlAni te
   cābhisaṃskārās te ca cittotpādāḥ. atha ca punar nimittīkṛtya vikalpyante	ca aBisaMskArAH te ca citta utpAdAH. aTa ca punar nimittIkRtya vikalpyante
   te buddhā bhagavantas tāni ca kuśalamūlāni te cābhisaṃskārās te ca	te budDAH BagavantaH tAni ca kuSala mUlAni te ca aBisaMskArAH te ca
   cittotpādā nimittīkṛtya vikalpyante. na ca tathāgatā arhantaḥ	citta utpAdAH nimittIkRtya vikalpyante. na ca taTAgatAH arhantaH
   samyaksaṃbuddhā evaṃ nimittayogena pariṇāmayato 'numodanām abhyanujānanti.	samyaksaMbudDAH evam nimitta yogena pariNAmayataH anumodanAm aByanujAnanti.
   tat kasya hetoḥ? eṣa evāsya mahān upalambho yat parinirvṛtān buddhān	tat kasya hetoH? ezaH eva asya mahAn upalamBaH yat parinirvRtAn budDAn
   bhagavato nimittīkaroti vikalpayati copalabhate tasmād bodhisattvena	BagavataH nimittIkaroti vikalpayati ca upalaBate tasmAt boDisattvena
   mahāsattvena kuśalamūlāni pariṇāmayitukāmena na copalabhya nimittīkṛtya	mahAsattvena kuSala mUlAni pariNAmayitu kAmena na ca upalaBya nimittIkRtya
   pariṇāmayitavyāni. na copalambhasaṃjñino na nimittasaṃjñinas, tathāgatā	pariNAmayita vyAni. na ca upalamBa saMjQinaH na nimitta saMjQinas, taTAgatA
   arhantaḥ samyaksaṃbuddhāḥ pariṇāmatāṃ maharddhikām iti vadanti. tat hasya	arhantaH samyaksaMbudDAH pariNAma tAm mahardDikAm iti vadanti. tat hasya
   hetoḥ? saviṣaḥ saśalya eṣa pariṇāmaḥ.	hetoH? savizaH sa SalyaH eza pariNAmaH.
   ity upāyakauśalapariṇāmaḥ	iti upAya kOSala pariNAmaH
   (PSP_2 3:132)	(PSu _2 3:132)
   tadyathāpi nāma praṇītabhojanaṃ viṣasaṃsṛṣṭaṃ varṇena gandhena copetaṃ tad	tat yaTA api nAma praNIta Bojanam viza saMsRzwam varNena ganDena ca upetam tat 
   eva bālajātīyaḥ puruṣaḥ paribhoktavyaṃ manyeta, tasya tat paribhuñjānasya	eva bAla jAtIyaH puruzaH pariBoktavyam manyeta, tasya tat pariBuQjAnasya
   varṇato 'pi gandhato 'pi roceta, pariṇāme ca duṣkhavipākaṃ syāt. evam eva	varNataH api ganDataH api roceta, pariNAme ca duzKa vipAkam syAt. evam eva
   ihaikatyā durgṛhītena durupalakṣitena duḥsvādhyātena cārtham ajānanto	iha ekatyA durgRhItena durupalakzitena duHsvADyAtena ca arTam ajAnantaH 
   'budhyamānā evam upadekṣyanti, ehi tvaṃ kulaputra	abuDyamAnAH evam upadekzyanti, ehi tvam kula putra
   atītānāgatapratyutpannānāṃ buddhānāṃ bhagavatāṃ prathamacittotpādam	atIta anAgata pratyutpannAnAm budDAnAm BagavatAm praTama citta utpAdam
   upādāya yāvad anuttarāṃ samyaksaṃbodhim abhisaṃbuddhānāṃ yāvac ca	upAdAya yAvat anuttarAm samyaksaMboDim aBisaMbudDAnAm yAvat ca
   nirupadhiśeṣe nirvāṇadhātau parinirvṛtānāṃ yāvac ca saddharmāṇāṃ	nirupaDi Seze nirvANa DAtO parinirvRtAnAm yAvat ca sat DarmANAm
   antarhitaḥ, yāny etasmin antare prajñāpāramitāyāṃ caradbhiḥ kuśalamūlāny	antarhitaH, yAni etasmin antare prajQApAramitAyAm caradBiH kuSala mUlAni 
   abhisaṃskṛtāni, evaṃ dhyānapāramitāyāṃ vīryapāramitāyāṃ kṣāntipāramitāyāṃ	aBisaMskRta ani, evam DyAna pAramitAyAm vIrya pAramitAyAm kzAnti pAramitAyAm
   śīlapāramitāyāṃ dānapāramitāyāṃ caradbhiḥ kuśālamūlāny abhisaṃskṛtāni.	SIla pAramitAyAm dAna pAramitAyAm caradBiH kuSAla mUlAni aBisaMskRtAni.
   yāni ca caturdhyānapratisaṃyuktāni caturapramāṇapratisaṃyuktāni	yAni ca catur DyAna pratisaMyuktAni catura pramANa pratisaMyuktAni
   caturārūpyasamāpattipratisaṃyuktāni saptatriṃśad bodhipakṣyadharma	catur ArUpya samApatti pratisaMyuktAni saptatriMSat boDi pakzya Darma
   pratisaṃyuktāni catur āryasatya pratisaṃyuktāni	pratisaMyuktAni catuH Aryasatya pratisaMyuktAni
   śūnyatānimittāpraṇihitapratisaṃyuktāny aṣṭavimokṣa	SUnyatA nimitta apraNihita pratisaMyuktAni azwa vimokza
   navānupūrvavihārasamāpattipratisaṃyuktāny abhijñāpratisaṃyuktāni	nava anupUrva vihAra samApatti pratisaMyuktAni aBijQA pratisaMyuktAni
   sarvaśūnyatādhāraṇīmukhapratisaṃyuktāni daśatathāgatabalapratisaṃyuktāni	sarva SUnyatA DAraNI muKa pratisaMyuktAni daSa taTAgata bala pratisaMyuktAni
   caturvaiśāradyapratisaṃyuktāni, catuḥpratisaṃvitpratisaṃyuktāni	catur vESAradya pratisaMyuktAni, catur pratisaMvid pratisaMyuktAni
   kuśalamūlāny abhisaṃskṛtāni, aṣṭādaśāveṇikabuddhadharmapratisaṃyuktāni	kuSala mUlAni aBisaMskRtAni, azwAdaSa AveNika budDa Darma pratisaMyuktAni
   kuśalamūlāny abhisaṃskṛtāni, yaiś ca kuśalamūlābhisaṃskārair	kuSala mUlAni aBisaMskRtA ani, yEH ca kuSala mUla aBisaMskArEH 
   buddhakṣetrāni pariśodhitāni sattvāś ca paripācitāḥ, yaś ca teṣāṃ	budDa kzetrAni pariSoDitAni sattvAH ca paripAcitAH, yaH ca tezAm
   buddhānāṃ bhagavatāṃ śīlaskandhaḥ samādhiskandhaḥ prajñāskandho	budDAnAm BagavatAm SIla skanDaH samADi skanDaH prajQA skanDaH 
   vimuktiskandho vimuktijñānadarśanaskandhaḥ sarvākārajñatājñānam	vimukti skanDaH vimukti jQAna darSana skanDaH sarva AkAra jQa tA jQAnam
   asaṃpramuṣitadharmatājñānaṃ sadopekṣāvihāritā teṣāṃ ca śrāvakāṇāṃ, yaiś ca	asaMpramuzita DarmatA jQAnam sadA upekzA vihAritA tezAm ca SrAvakANAn, yEH ca
   tatra kuśalamūlāny abhisaṃskṛtāni, ye ca pratyekabuddhatve vyākṛtā, yaiś	tatra kuSala mUlAni aBisaMskRtA ani, ye ca pratyekabudDa tve vyAkRtA, yEH 
   ca tatra devanāgayakṣagandharvāsuragaruḍakiṃnaramahoragaiḥ kuśalamūlāny	ca tatra deva nAga yakza ganDarva asura garuxa kiMnara mahA uragEH kuSala mUlAni 
   abhisaṃskṛtāni tāni sarvāny abhisaṃkṣipya piṇḍayitvā tulayitvā anuttarāyai	aBisaMskRtAni tAni sarvAni aBisaMkzipya piNxayitvA tulayitvA anuttarAyE
   samyaksaṃbodhaye pariṇāmayati. evaṃ hi pariṇāmo	samyaksaMboDaye pariNAmayati. evam hi pariNAmaH 
   nimittayogenopalambhayogena ca pariṇāmito viṣatvāya kalpayate. tadyathāpi	nimitta yogena upalamBa yogena ca pariNAmitaH viza tvAya kalpayate. tat yaTA api
   nāma tat saviṣaṃ bhojanaṃ nāsty upalambhasaṃjñinaḥ pariṇāmaḥ. tat kasya	nAma tat sa vizam Bojanam na asti upalamBa saMjQinaH pariNAmaH. tat kasya
   hetoḥ? saviṣo hy upalambhaḥ sanimittaḥ sahetukaḥ sapratyayo ya evaṃ	hetoH? sa vizaH hi upalamBaH sa nimittaH sa hetukaH sa pratyayaH yaH evam
   pariṇāmayati tena tathāgato 'bhyākhyāto bhavati. na ca sa	pariNAmayati tena taTAgataH aByAKyAtaH Bavati. na ca sa
   tathāgatasyoktavādī bhavati na ca dharmavādī. tatra bodhisattvayānikaiḥ	taTAgatasya ukta vAdI Bavati na ca Darma vAdI. tatra boDisattva yAnikEH
   kulaputraiḥ kuladuhitrbhiś ca naivaṃ śikṣitavyam.	kula putrEH kula duhitrBiH ca na evam Sikzitavyam.
   ity animittapariṇāmaḥ	iti animitta pariNAmaH
   (PSP_2 3:133)	(PSu _2 3:133)
   maitreya āha: kathaṃ punar atītānāgatapratyutpannānāṃ buddhānāṃ bhagavatāṃ	mEtreyaH Aha: kaTam punar atIta anAgata pratyutpannAnAm budDAnAm BagavatAm
   kuśalamūlāny anumodya pariṇāmayitavyāni? prathamacittotpādam upādāya yāvad	kuSala mUlAni anumodya pariNAmayita vyAni? praTama citta utpAdam upAdAya yAvat 
   anuttarāṃ samyaksaṃbodhim abhisaṃbuddhānāṃ yāvad anupadhiśeṣe	anuttarAm samyaksaMboDim aBisaMbudDAnAm yAvat anupaDi Seze
   nirvāṇadhātau parinirvṛtānāṃ yāvac ca saddharmasthitiḥ saśrāvakasaṃghānām	nirvANa DAtO parinirvRtAnAm yAvat ca sat Darma sTitiH sa SrAvaka saMGAnAm
   etasminn antare yāni prajñāpāramitāyāṃ caratā kuśalamūlāny abhisaṃskṛtāni	etasmin antare yAni prajQApAramitAyAm caratA kuSala mUlAni aBisaMskRtAni
   yāvat sarvajñatā prāptā yāvad yaiś ca	yAvat sarvajQa tA prAptAH yAvat yEH ca
   devanāgayakṣagandharvāsuragaruḍakiṃnaramahoragamanuṣyāmanuṣyaiḥ	deva nAga yakza ganDarva asura garuxa kiMnara mahA uraga manuzya amanuzyEH
   kuśalamūlāny avaropitāni? kathaṃ cānumodya pariṇāmayitavyāni? kathaṃ ca	kuSala mUlAni avaropitAni? kaTam ca anumodya pariNAmayita vyAni? kaTam ca
   pariṇāmayatas tāni kuśalamūlāni pariṇāmitāni bhavanty anuttarāyai	pariNAmayataH tAni kuSala mUlAni pariNAmitAni Bavanti anuttarAyE
   samyaksaṃbodhaye?	samyaksaMboDaye?
   subhūtir aha: iha mahāyānikena kulaputreṇa vā kuladuhitrā vā	suBUtiH aha: iha mahAyAnikena kula putreNa vA kula duhitrA vA
   prajñāpāramitāyāṃ caratā tathāgatam anabhyākhyātukāmena, evaṃ	prajQApAramitAyAm caratA taTAgatam anaByAKyAtu kAmena, evam
   pariṇāmayitavyaṃ yathā te tathāgatā arhantaḥ samyaksaṃbuddhā jānanti	pariNAmayitavyam yaTA te taTAgatAH arhantaH samyaksaMbudDAH jAnanti
   niruttarāyai samyaksaṃbodhaye.	niruttarAyE samyaksaMboDaye.
   subhūtir āha: iha mahāyānikena kulaputreṇa vā kuladuhitrā vā	suBUtiH Aha: iha mahAyAnikena kula putreNa vA kula duhitrA vA
   prajñāpāramitāyāṃ caratā tathāgatam anabhyākhyātukāmena, evaṃ	prajQApAramitAyAm caratA taTAgatam anaByAKyAtu kAmena, evam
   pariṇāmayitavyaṃ yathā te tathāgatā arhantaḥ samyaksaṃbuddhā jānanti	pariNAmayitavyam yaTA te taTAgatAH arhantaH samyaksaMbudDAH jAnanti
   niruttareṇa buddhajñānena, tāni ca kuśalamūlāni yajjātikāni yatsvabhāvāni	niruttareNa budDa jQAnena, tAni ca kuSala mUlAni yad jAtikAni yat svaBAvAni
   yallakṣaṇāni yayā dharmatayā saṃvidyante. tathāham apy anumode yathā te	yat lakzaNAni yayA Darma tayA saMvidyante. taTA aham api anumode yaTA te
   buddhā bhagavanto jānanti tathāham api pariṇāmayāmy anuttarāyai	budDAH BagavantaH jAnanti taTA aham api pariNAmayAmi anuttarAyE
   samyaksaṃbodhaye. evaṃ mahāyānikena kulaputreṇa vā kuladuhitrā vā tāni	samyaksaMboDaye. evam mahAyAnikena kula putreNa vA kula duhitrA vA tAni
   kuśalamūlāni pariṇāmayitavyāny anuttarāyai samyaksaṃbodhaye.	kuSala mUlAni pariNAmayitavyAni anuttarAyE samyaksaMboDaye.
   evaṃ ca pariṇāmayitukāmena pariṇāmayitavyaṃ yathā te tathāgatā arhantaḥ	evam ca pariNAmayitu kAmena pariNAmayitavyam yaTA te taTAgatAH arhantaH
   samyaksaṃbuddhā jānanti niruttareṇa buddhajñānena, tāni ca kuśalamūlāni	samyaksaMbudDAH jAnanti niruttareNa budDa jQAnena, tAni ca kuSala mUlAni
   yajjātikāni yatsvabhāvāni yallakṣaṇāni yayā dharmatayā saṃvidyante.	yad jAtikAni yat svaBAvAni yat lakzaNAni yayA Darma tayA saMvidyante.
   tathāham apy anumode yathā te buddhā bhagavanto jānanti tathāham api	taTA aham api anumode yaTA te budDAH BagavantaH jAnanti taTA aham api
   pariṇāmayāmy anuttarāyai samyaksaṃbodhaye. evaṃ mahāyānikena kulaputreṇa	pariNAmayAmi anuttarAyE samyaksaMboDaye. evam mahAyAnikena kula putreNa
   vā kuladuhitrā vā tāni kuśalamūlāni pariṇāmayitavyāny anuttarāyai	vA kula duhitrA vA tAni kuSala mUlAni pariNAmayitavyAni anuttarAyE
   samyaksaṃbodhaye. evaṃ ca pariṇāmayaṃs tathāgatān nābhyācaṣṭe uktavādī ca	samyaksaMboDaye. evam ca pariNAmayan taTAgatAt na aBi Acazwe ukta vAdI ca
   bhavati. tathāgatasya dharmavādī, caivaṃ bodhisattvasya mahāsattvasya	Bavati. taTAgatasya Darma vAdI, ca evam boDisattvasya mahAsattvasya
   pariṇāmo nirviṣo bhavati.	pariNAmaH nirvizaH Bavati.
   iti buddhānujñātapariṇāmaḥ	iti budDa anujQAta pariNAmaH
   punar aparaṃ mahāyānasaṃprasthitena kulaputreṇa vā kuladuhitrā vā	punar aparam mahAyAna saMprasTitena kula putreNa vA kula duhitrA vA
   prajñāpāramitāyāṃ (PSP_2 3:134) carataivaṃ tāni kuśalamūlāni	prajQApAramitAyAm (PSu _2 3:134) carata evam tAni kuSala mUlAni
   pariṇāmayitavyāni, yathā rūpam aparyāpannaṃ kāmadhātuṃ rūpadhātum	pariNAmayita vyAni, yaTA rUpam aparyApannam kAmaDAtum rUpa DAtum
   ārūpyadhātum, evaṃ vedanāsaṃjñāsaṃskārā vijñānam aparyāpannaṃ kāmadhātuṃ	ArUpya DAtum, evam vedanA saMjQA saMskArAH vijQAnam aparyApannam kAmaDAtum
   rūpadhātum ārūpyadhātum, evaṃ dhātava āyatanāni pratītyasamutpādaḥ	rUpa DAtum ArUpya DAtum, evam DAtavaH AyatanAni pratItyasamutpAdaH
   prajñāpāramitāpy aparyāpannā kāmadhātuṃ rūpadhātum ārūpyadhātum, evaṃ	prajQApAramitA api aparyApannA kAmaDAtum rUpa DAtum ArUpya DAtum, evam
   dhyānapāramitā vīryapāramitā kṣāntipāramitā śīlapāramitā dānapāramitāpy	DyAna pAramitA vIrya pAramitA kzAnti pAramitA SIla pAramitA dAna pAramitA api 
   aparyāpannā kāmadhātuṃ rūpadhātum ārūpyadhātuṃ, yā cāparyāpannā na sātītā	aparyApannA kAmaDAtum rUpa DAtum ArUpya DAtuM, yA ca aparyApannA na sA atItA
   nānāgatā na pratyutpannā, evam adhyātmaśūnyatā bahirdhāśūnyatā	na anAgatA na pratyutpannA, evam aDyAtma SUnyatA bahirDA SUnyatA
   adhyātmabahirdhāśūnyatā yāvad abhāvasvabhāvaśūnyatā aparyāpannā	aDyAtma bahirDA SUnyatA yAvat aBAva svaBAva SUnyatA aparyApannA
   kāmarūpārūpyadhātum, apramāṇadhyānārūpyasamāpattaya āryasatyāny	kAmarUpa ArUpya DAtum, apramANa DyAna ArUpya samApattayaH Arya satyAni 
   aparyāpannāni kāmarūpārūpyadhātum, aṣṭavimokṣā	aparyApannAni kAmarUpa ArUpya DAtum, azwa vimokzA
   navānupūrvavihārasamāpattayo 'paryāpannāḥ kāmarūpārūpyadhātuṃ,	nava anupUrva vihAra samApattayaH aparyApannAH kAmarUpa ArUpya DAtuM,
   śūnyatānimittāpraṇihitāni ṣaḍabhijāā aparyāpannāḥ kāmarūpārūpyadhātuṃ,	SUnyatA nimitta apraNihitAni zaw aBijAAH aparyApannAH kAmarUpa ArUpya DAtuM,
   sarvasamādhayaḥ sarvadhāraṇīmukhāny aparyāpannāni kāmarūpārūpyadhātuṃ,	sarva samADayaH sarva DAraNI muKAni aparyApannAni kAmarUpa ArUpya DAtuM,
   daśabalāni catvāri vaiśāradyāni catasraḥ pratisaṃvido 'ṣṭādaśāveṇikā	daSa balAni catvAri vESAradyAni catasraH pratisaMvidaH azwAdaSa AveNikA
   buddhadharmā aparyāpannāḥ kāmarūpārūpyadhātum, evaṃ tathatā avitathatā	budDa DarmAH aparyApannAH kAmarUpa ArUpya DAtum, evam taTatA avitaTa tA
   anayatathatā dharmatā dharmadhātur dharmaniyāmatā dharmasthititā	anayataTatA DarmatA DarmaDAtuH Darma niyAma tA Darma sTiti tA
   bhūtakoṭir acintyadhātur aparyāpannaḥ kāmarūpārūpyadhātuṃ,	BUtakowiH acintya DAtuH aparyApannaH kAmarUpa ArUpya DAtuM,
   śīlasamādhiprajñāvimuktivimuktijñānadarśanāni sarvākārajñatā	SIla samADi prajQA vimukti vimukti jQAna darSanAni sarva AkAra jQa tA
   asaṃpramuṣitadharmatā sadā copekṣāvihāritā aparyāpannā	asaMpramuzita DarmatA sadA ca upekzA vihAritAH aparyApannA
   kāmarūpārūpyadhātuṃ, yac cāparyāpannaṃ tan nātītaṃ nānāgataṃ na	kAmarUpa ArUpya DAtuM, yat ca aparyApannam tat na atItam na anAgatam na
   pratyutpannaṃ. tat kasya hetoḥ? yathaiva tad aparyāpannam evaṃ pariṇāmo	pratyutpannan. tat kasya hetoH? yaTA eva tat aparyApannam evam pariNAmaH 
   'py aparyāpanno, yatrāpi dharme pariṇāmayati te 'pi dharmā aparyāpannā, yo	api aparyApanno, yatra api Darme pariNAmayati te api DarmAH aparyApannA, yaH 
   'pi pariṇāmayati so 'py aparyāpannas, te 'pi buddhā bhagavanto	api pariNAmayati saH api aparyApannas, te api budDAH BagavantaH 
