   akasmāj jāyate yatra ST_2.49a	akasmAt jAyate yatra ST_2.49a
   nribhrāntaṃ guruṇā punaḥ śata-guṇaṃ puṣpeṣuṇā kāritā ST_2.67cd	nriBrAntam guruNA punar Sata-guNam puzpa-izuNA kAritA ST_2.67cd
   pañcatvam āśu nanu yāsyati sā varākī ST_2.67ed	paQcatvam ASu nanu yAsyati sA varAkI ST_2.67ed
   pañcāśat-sthāyi-saṃcāri- ST_3.25c	paQcASat--sTAyi--saMcAri ST_3.25c
   patir deśāntaraṃ gataḥ ST_1.81b	patiH deSa-antaram gataH ST_1.81b
   patiḥ pārśvaṃ na muñcati ST_1.74b	patiH pArSvam na muQcati ST_1.74b
   para-deśaṃ vrajed yasmin ST_2.57a	para-deSam vrajet yasmin ST_2.57a
   para-strī-gamanopāyaḥ ST_2.29a	para--strI--gamana-upAyaH ST_2.29a
   parāvṛtya ciraṃ talpa ST_1.36c	parAvRtya ciram talpa ST_1.36c
   partināryāṃ gate kānte ST_2.34a	partinAryAm gate kAnte ST_2.34a
   paśyantam abhijalpantaṃ ST_1.52c	paSyantam aBijalpantam ST_1.52c
   pāṇiḥ kuntala-mālikā-viracane tyaktānya-kārya-grahaḥ ST_1.39bb	pANiH kuntala-mAlikA--viracane tyakta-anya--kArya--grahaH ST_1.39bb
   pāṇau kaṅkaṇam utphaṇaḥ phaṇipatir netraṃ jvalat-pāvakaṃ ST_3.2aa	pANO kaFkaNam utPaNaH PaNi-patiH netram jvalat--pAvakam ST_3.2aa
   pātra-traya-gato yathā ST_3.1d	pAtra-traya--gataH yaTA ST_3.1d
   pātra-duṣṭaṃ tv idaṃ matam ST_3.52d	pAtra-duzwam tu idam matam ST_3.52d
   pāda-pātānnatir matā ST_2.48b	pAda-pAtA-at-natiH matA ST_2.48b
   pādāntaḥ-praṇate priye prakaṭayaty antaḥ prasādaṃ priyā ST_1.90ac	pAda-antaH--praNate priye prakawayati antar prasAdam priyA ST_1.90ac
   pāpasyāsya phalaṃ tad etad adhunā yac candanendu-dyuti- ST_1.77ac	pApasya-asya Palam tat etat aDunA yat candana-indu-dyuti ST_1.77ac
   pāpena yena gamiteti daśām amuṣmin ST_2.60dc	pApena yena gamitA-iti daSAm amuzmin ST_2.60dc
   pālīplutena ghana-kajjala-netra-vārā ST_2.36ad	pAlI-plutena Gana--kajjala--netra--vArA ST_2.36ad
   pāśo vipāśita upāhita eṣa sāndraḥ ST_2.60da	pASaH vipASitaH upAhitaH eza sAndraH ST_2.60da
   pitṛ-vittena garvitaḥ ST_1.66d	pitR-vittena garvitaH ST_1.66d
   pibann asṛk svadan māṃsam ST_3.41ca	piban asRk svadat mAMsam ST_3.41ca
   pibāmi vadanaṃ tasyāḥ ST_3.49c	pibAmi vadanam tasyAH ST_3.49c
   pīṭha-mardo viṭaś ceti ST_1.30a	pIWa-mardaH viwaH ca-iti ST_1.30a
   pītā pañcama-kākalī-kavalitā śīta-dyūteḥ kaumudī ST_2.60ab	pItA paQcama--kAka-lI-kavalitA SIta--dyUteH kOmudI ST_2.60ab
   puṇya-strīva kalākalāpa-kuśalā cetāṃsi hartuṃ kṣamā ST_1.7d	puNya--strI-iva kalA-kala-apa-kuSalA cetAMsi hartum kzamA ST_1.7d
   punar iha yuvāṃ satyaṃ śiṣṭaṃ tad atra kṛtāgasi ST_1.27ab	punar iha yuvAm satyam Sizwam tat atra kRta-Agasi ST_1.27ab
   punar eṣa dvidhā yathā ST_1.22d	punar eza dviDA yaTA ST_1.22d
   punarbhūś ca yato'nayoḥ ST_1.46b	punarBUH ca yatas-anayoH ST_1.46b
   punaś ca tās tridhā sarvā ST_1.88a	punar ca tAH triDA sarvA ST_1.88a
   punastarāṃ sā suhṛdo dadāti ST_1.57c	punastarAm sA suhRdaH dadAti ST_1.57c
   pumān paścāt tad iṅgitaiḥ ST_2.20b	pumAn paScAt tat iFgitEH ST_2.20b
   puṣpa-patra-phalādayaḥ ST_1.17b	puzpa--patra--Pala-AdayaH ST_1.17b
   puṃso'pi hi bhavanti tāḥ ST_2.59b	puMsaH-api hi Bavanti tAH ST_2.59b
   puṃso'pi hi bhavanty etā ST_2.17a	puMsaH-api hi Bavanti etA ST_2.17a
   pūty ādi-viṣayād yathā ST_3.14d	pUti Adi-vizayAt yaTA ST_3.14d
   pūrvaṃ nārī bhaved raktā ST_2.20a	pUrvam nArI Bavet raktA ST_2.20a
   pūrvānurāgo mānākhyaḥ pravāsaḥ karuṇātmakaḥ ST_2.1b	pUrva-anurAgaH mAna-AKyaH pravAsaH karuNA-AtmakaH ST_2.1b
   paurācāraratā sādhvī ST_1.34a	pOra-AcAra-ratA sADvI ST_1.34a
   prakaṭaya śaśinn āśāḥ kāmaṃ manoja samullasa ST_2.58eb	prakawaya SaSin ASAH kAmam manoja samullasa ST_2.58eb
   prakaṭita-caṭu-koṭiḥ pāda-padmānato'pi ST_3.12bb	prakawita--cawu-kowiH pAda--padmAn-ataH-api ST_3.12bb
   pragalbha-vacanā kiñcid ST_1.39c	pragalBa--vacanA kiQcid ST_1.39c
   pracchanna-kāmitaṃ ramyaṃ ST_2.31c	pracCanna--kAmitam ramyam ST_2.31c
   pracchannaś ca prakāśaś ca ST_1.22c	pracCannaH ca prakASaH ca ST_1.22c
   prajajvalus teṣv akṛśāḥ kṛśānavaḥ ST_3.39cd	prajajvaluH tezu akRSAH kRSAnavaH ST_3.39cd
   prajvalitojjvala-dīpaṃ rati-gṛham indūjjvalaṃ ca saudhatalam ST_2.38a	prajvalita-ujjvala--dIpam rati-gRham indu-ujjvalam ca sODa-talam ST_2.38a
   praṇaya-kalaha-saṅgān manyubhājā nirastaḥ ST_3.12ba	praNaya-kalaha--saFgAt manyu-BAjA nirastaH ST_3.12ba
   praṇayini jane rāgodrikte ratir vihitā ciraṃ ST_3.18ac	praNayini jane rAga-udrikte ratiH vihitA ciram ST_3.18ac
   praṇayini punar yuktaṃ rantuṃ na veti batāvayo- ST_1.27ac	praNayini punar yuktam rantum na vA-iti bata-Avayo ST_1.27ac
   praṇayini bhṛśaṃ tasmin mānaṃ manasvini mā kṛthāḥ ST_1.32ba	praNayini BRSam tasmin mAnam manasvini mA kRTAH ST_1.32ba
   praṇāmotsava-siddhaye ST_2.51d	praNAma-utsava--sidDaye ST_2.51d
   pratiśatrūn amarṣataḥ ST_3.7b	pratiSatrUn amarzataH ST_3.7b
   pratyaṅgam āvāsam iva smarasya ST_1.57d	pratyaFgam AvAsam iva smarasya ST_1.57d
   pratyaṅgaṃ prati karma narma-parayā kṛtvādhirūḍhaṃ smarā- ST_2.67ba	pratyaFgam prati karma narma-parayA kRtvA-aDirUXam smarA ST_2.67ba
   pratyaṅgaṃ spṛśateti tat-kṣaṇa-bhavad-romāñca-mālāñcitā- ST_2.47ac	pratyaFgam spRSata-iti tat-kzaNa--Bavat--romAQca--mAlA-AQcitA ST_2.47ac
   pratyanīkaṃ tad ucyate ST_3.49d	pratyanIkam tat ucyate ST_3.49d
   pratyanīkau rasau dvau dvau ST_3.20c	pratyanIkO rasO dvO dvO ST_3.20c
   pratyujjīvana-kāṅkṣayā ST_2.18b	pratyujjIvana--kAFkzayA ST_2.18b
   pratyutthānam idaṃ svahasta-nihitaṃ yad-bhinnam apy āsanam ST_1.44ab	pratyutTAnam idam sva-hasta--nihitam yat--Binnam api Asanam ST_1.44ab
   pratyekam udāhṛtas tathāpi kāścin nigadyante ST_1.32b	pratyekam udAhRtaH taTA-api kAScid nigadyante ST_1.32b
   pratyekaṃ sthairyato'nye ca ST_3.26c	pratyekam sTEryataH-anye ca ST_3.26c
   pradveṣaḥ prāṇitavye'pi ST_2.11c	pradvezaH prANitavye-api ST_2.11c
   pradhāna-puruṣa-prāyā ST_3.44a	praDAna-puruza--prAyA ST_3.44a
   prabandhe nīyate yatra ST_3.48a	prabanDe nIyate yatra ST_3.48a
   prabhāpi tāpāya babhūva yeṣv alam ST_3.39cb	praBA-api tApAya baBUva yezu alam ST_3.39cb
   prayatnena budhair yathā ST_3.39d	prayatnena buDEH yaTA ST_3.39d
   prayāti karuṇād rāgaṃ ST_1.90c	prayAti karuNAt rAgam ST_1.90c
   prayānti ca rasa-sthitim ST_1.14d	prayAnti ca rasa--sTitim ST_1.14d
   prayānti rasatām amī ST_1.16b	prayAnti rasa-tAm amI ST_1.16b
   prayogair lalitaiḥ svairaṃ ST_2.26c	prayogEH lalitEH svEram ST_2.26c
   praviśati yathā gehe'kasmād bahiś ca viceṣṭate ST_2.7ba	praviSati yaTA gehe-akasmAt bahis ca vicezwate ST_2.7ba
   pravīṇa-guṇa-kauṇapaṃ paribabhau paretājiram ST_3.14ad	pravINa--guNa-kONapam paribaBO pareta-ajiram ST_3.14ad
   prasara śiśirāmodaṃ kaundaṃ samīra samīraya ST_2.58ea	prasara SiSira-Amodam kOndam samIra samIraya ST_2.58ea
   prasādana-vidhiṃ tyaktvā ST_2.47a	prasAdana--viDim tyaktvA ST_2.47a
   prāgalbhyaṃ prathayanti mohana-vidhāv ālambya dhairyaṃ mahat ST_1.43ab	prAgalByam praTayanti mohana--viDO Alambya DEryam mahat ST_1.43ab
   prāṇān dhatse katham api balād gacchataḥ śalya-tulyāṃ- ST_2.11ac	prANAn Datse kaTam api balAt gacCataH Salya--tulyAn ST_2.11ac
   prāṇāśā tanutām upaiti ca muhur nūnaṃ tanu-spardhayā ST_2.58bc	prANa-ASA tanu-tAm upEti ca muhur nUnam tanu-sparDayA ST_2.58bc
   prāṇeśa truṭitaṃ payodhara-taṭe hāraṃ punar yojaya ST_1.42cb	prANeSa truwitam payoDara--tawe hAram punar yojaya ST_1.42cb
   prātiveśyā ca śilpinī ST_2.65b	prAtiveSyA ca SilpinI ST_2.65b
   prādubhūta-manobhavā ST_1.39b	prAdu-BUta--manoBavA ST_1.39b
   prāduṣyad-ruja-mūla-kānti-lalitām udyamya dor-vallarīṃ ST_1.56da	prAduzya-d-ru-ja--mUla--kAnti--lalitAm udyamya dor-vallarIm ST_1.56da
   prāptaṃ vāsara-candra-bimba-padavīṃ vaktraṃ vinaṣṭā smṛtiḥ ST_2.15ab	prAptam vAsara--candra--bimba-padavIm vaktram vinazwA smRtiH ST_2.15ab
   prāyaśaḥ sarva-yoṣitām ST_2.37b	prAyaSas sarva--yozitAm ST_2.37b
   prāyo'navasthite citte ST_3.27a	prAyas-anavasTite citte ST_3.27a
   prāyo nāṭyaṃ prati proktā ST_1.5a	prAyas nAwyam prati proktA ST_1.5a
   prāyo nīrasam ucyate ST_2.69d	prAyas nIrasam ucyate ST_2.69d
   prāyo naikarasaṃ kāvyaṃ ST_1.18a	prAyas na-eka-rasam kAvyam ST_1.18a
   prāleyāmbu-samīra-paṅkaja-visair gātraṃ muhur dahyate ST_1.77ad	prAleya-ambu--samIra--paFkaja-visEH gAtram muhur dahyate ST_1.77ad
   priya-bhṛtya-dhana-kṣayāt ST_3.5b	priya-BRti-a--Dana--kzayAt ST_3.5b
   priyam iti parihāsāt peśalaṃ kācid ūce ST_1.39cd	priyam iti parihAsAt peSalam kAcid Uce ST_1.39cd
   priya-sakhi sakalam idaṃ tava ST_1.51dc	priya--saKi sakalam idam tava ST_1.51dc
   priya-subhaga-dayita-vallabha-nātha-svāmīśa-kānta-candra-mukhāḥ ST_2.54a	priya--suBaga--dayita--vallaBa-nATa--svAmI-Sa-ka-anta--candra--muKAH ST_2.54a
   priyaṃ kopāt kṛtāgasam ST_1.41b	priyam kopAt kRta-Agasam ST_1.41b
   priyaṃ pāda-prānta-praṇatam adhunā mānaya bhṛśaṃ ST_1.32ac	priyam pAda--prAnta--praNatam aDunA mAnaya BRSam ST_1.32ac
   priyaṃ vakti puro'nyatra ST_1.27a	priyam vakti puras-anyatra ST_1.27a
   priyaṃ samālokya samāsajantī ST_1.57b	priyam samAlokya samAsajantI ST_1.57b
   priyaḥ pramadayā kvacit ST_2.51b	priyaH pramadayA kvacid ST_2.51b
   priyāṃ tām evoccair abhisara yadīyair nakha-padaiḥ ST_1.45ab	priyAm tAm eva-uccEs aBisara yadIyEH naKa-padEH ST_1.45ab
   prītau bhartari sudṛśām aprītau punar amūni śaṭha-dhṛṣṭau ST_2.55a	prItO Bartari su-dRSAm aprItO punar amUni SaWa--DRzwO ST_2.55a
   premābhivyaktaye yathā ST_1.53d	prema-aBivyaktaye yaTA ST_1.53d
   preyān ko'py aparo'yam atra sukṛtī dṛṣṭe'pi yasmin vapuḥ ST_1.51ac	preyAn kaH-api aparaH-ayam atra sukRtI dRzwe-api yasmin vapuH ST_1.51ac
   preṣya dūtīṃ svayaṃ dattvā ST_1.78a	prezya dUtIm svayam dattvA ST_1.78a
   protkīrṇaṃ yad anaṅga-sāyaka-śikhābhāseva saṃvardhitam ST_2.2bb	protkIrNam yat anaFga--sAyaka-SiKA-ABAsA-iva saMvarDitam ST_2.2bb
   proṣita-preyasī caivaṃ ST_1.73a	prozita-preyasI ca-evam ST_1.73a
   proṣita-preyasī yathā ST_1.81d	prozita--preyasI yaTA ST_1.81d
   pluta-gaṇḍa-sthalaṃ ratau ST_3.49b	pluta--gaNxa--sTalam ratO ST_3.49b
   pluṣṭāḥ spaṣṭmaneka-ratna-nivahā nālaṃ rateḥ kevalaṃ ST_2.60ac	pluzwAH spazwm-aneka-ratna--nivahAH na-alam rateH kevalam ST_2.60ac
   baddhā kācid iyaṃ tvayādya tilakaḥ ślāghyaḥ priye kalpitaḥ ST_2.47ab	badDA kAcid iyam tvayA-adya tilakaH SlAGyaH priye kalpitaH ST_2.47ab
   baddhotkampaṃ śiśira-marutā dahyase padminīva ST_2.11ab	badDa-utkampam SiSira-marutA dahyase padminI-iva ST_2.11ab
   badhnantyā na gataṃ sthitaṃ na ca galad-vāso na vā saṃvṛtam ST_2.8ad	baDnantyA na gatam sTitam na ca galat--vAsaH na vA saMvRtam ST_2.8ad
   bandhūkaṃ ca tad etad āli vidalad yat tena sīmantitaṃ ST_1.42ac	banDUkam ca tat etat Ali vidalat yat tena sImantitam ST_1.42ac
   bambhramīti mano yasmin ST_2.12a	bamBrami-iti manaH yasmin ST_2.12a
   balir arthitado'smi yato ST_3.10bc	baliH arTi-ta-daH-asmi yatas ST_3.10bc
   bahu-mānād bhayād vāpi ST_2.31a	bahu-mAnAt BayAt vA-api ST_2.31a
   bāḍham ātmani tiṣṭhati ST_3.19b	bAXam Atmani tizWati ST_3.19b
   bāḍham āvarjayaty asau ST_2.23d	bAXam Avarjayati asO ST_2.23d
   bāḍhaṃ tat-saṅgamāśayā ST_2.7b	bAXam tat-saFgamASayA ST_2.7b
   bāṇāvaliṃ kathaya kutra vimokṣyasi tvam ST_2.58ad	bANa-Avalim kaTaya kutra vimokzyasi tvam ST_2.58ad
   bāla-strī-nīca-nāyakaḥ ST_3.12d	bAla--strI--nIca-nAyakaH ST_3.12d
   bālā pravrajitā ceti ST_2.65c	bAlA pravrajitA ca-iti ST_2.65c
   bālā rasāntaram idaṃ lalitaṃ bibharti ST_1.52ad	bAlA rasa-antaram idam lalitam biBarti ST_1.52ad
   bālo dustyaja eka eva ca śiśuḥ kaṣṭaṃ kṛtaṃ vedhasā ST_3.5ac	bAlaH dustyajaH ekaH eva ca SiSuH kazwam kRtam veDasA ST_3.5ac
   bālye nibhṛta-gambhīro ST_3.44bc	bAlye niBRta-gamBIraH ST_3.44bc
   bāspārdrīkṛta-locanaiḥ sphuṭa-ravaṃ dāraiḥ samaṃ hasyate ST_3.3bd	bAspa-ArdrIkRta-locanEH sPuwa--ravam dArEH samam hasyate ST_3.3bd
   bāhulyena nigadyante ST_3.27c	bAhulyena nigadyante ST_3.27c
   bāhulyena bhaved yas tu ST_1.18c	bAhulyena Bavet yaH tu ST_1.18c
   bimboṣṭhaḥ sphurati prayāti paṭutāṃ gaṇḍa-sthale śoṇimā ST_2.34aa	bimbozWaH sPurati prayAti pawu-tAm gaNxa-sTale SoNimA ST_2.34aa
   bībhatsāc ca bhayānakaḥ ST_3.22d	bIBatsAt ca BayAnakaH ST_3.22d
   bībhatsādbhuta-śāntāś ca ST_1.9c	bIBatsA-adButa--SAntAH ca ST_1.9c
   bībhatse ca vicakṣaṇaiḥ ST_3.41b	bIBatse ca vicakzaNEH ST_3.41b
   bībhatso'sthibhir utphaṇī ca bhaya-kṛn mūrtyādbhutas tuṅgayā ST_1.1b	bIBatsaH-asTiBiH utPaNI ca Baya-kRt mUrtyA-adButaH tuFgayA ST_1.1b
   bībhatso'hṛdya-darśanāt ST_3.14b	bIBatsaH-ahRdya--darSanAt ST_3.14b
   bhaktiś cittajñatā smṛtiḥ ST_2.66b	BaktiH citta-jQa-tA smRtiH ST_2.66b
   bhakto narma-vicakṣaṇaḥ ST_1.29b	BaktaH narma--vicakzaNaH ST_1.29b
   bhaya-harṣādi-bhāvanā ST_2.49b	Baya-harza-Adi--BAvanA ST_2.49b
   bhayaṃ vego matir madaḥ ST_3.35b	Bayam vegaH matiH madaH ST_3.35b
   bhayānako bhaya-sthāyi- ST_3.12a	BayAnakaH Baya-sTAyi ST_3.12a
   bharatādyai rasa-sthitiḥ ST_1.5b	Barata-AdyEH rasa--sTitiH ST_1.5b
   bhartā saṃgara eva mṛtyu-vasatiṃ prāptaḥ samaṃ bandhubhir ST_3.5aa	BartA saMgaraH eva mRtyu-vasatim prAptaH samam banDuBiH ST_3.5aa
   bhavet kavir bhāva-rasānurakto ST_1.96c	Bavet kaviH BAva--rasa-anuraktaH ST_1.96c
   bhavet svādhīna-bhartṛkā ST_1.83b	Bavet svADIna-BartRkA ST_1.83b
   bhaved vāsaka-sajjāsau ST_1.76a	Bavet vAsaka--sajjA-asO ST_1.76a
   bhavyaḥ kṣamāvān subhago'bhimānī ST_1.23c	BavyaH kzamAvAn suBagaH-aBimAnI ST_1.23c
   bhāratīyaṃ bhaved vṛttir ST_3.44c	BAratI-iyam Bavet vRttiH ST_3.44c
   bhāva-kandarpa-nāyakaiḥ ST_1.92b	BAva--kandarpa-nAyakEH ST_1.92b
   bhāvā evātisampannāḥ ST_1.16a	BAvAH eva-ati-sampannAH ST_1.16a
   bhāvā bībhatsa-saṃbhavāḥ ST_3.35d	BAvAH bIBatsa--saMBavAH ST_3.35d
   bhāvā bhāva-viśāradaiḥ ST_3.31d	BAvAH BAva--viSAradEH ST_3.31d
   bhāvā ratyādayaḥ smṛtāḥ ST_3.26b	BAvAH rati-AdayaH smRtAH ST_3.26b
   bhāvā vīre bhavanty amī ST_3.34b	BAvAH vIre Bavanti amI ST_3.34b
   bhāvāḥ pūrvaṃ pradarśitāḥ ST_3.24b	BAvAH pUrvam pradarSitAH ST_3.24b
   bhāvāḥ saṃkīrṇa-saṃbhavāḥ ST_3.27b	BAvAH saMkIrNa--saMBavAH ST_3.27b
   bhāvo'sau jāyate rasaḥ ST_3.12b	BAvaH-asO jAyate rasaH ST_3.12b
   bhāsvat-prauḍha-kuṭhāra-koṭi-ghaṭanā-kāṇḍa-truṭat-kandharā ST_3.7ac	BAsvat--prOXa--kuWAra--kowi--GawanA--kANxa-truwat--kanDarA ST_3.7ac
   bhītiḥ saiva tad eva narma-madhuraṃ pūrvānurāgocitam ST_1.26ab	BItiH sA-eva tat eva narma--maDuram pUrva-anurAga-ucitam ST_1.26ab
   bhuvana-traya-mātra-labdhi-toṣeṇa ST_3.10bb	Buvana-traya--mAtra-labDi-tozeNa ST_3.10bb
   bhūpāto daiva-nindā ca ST_3.6a	BUpAtaH dEva-nindA ca ST_3.6a
   bhūmāv akṣaramālikeva likhitā dīrghaṃ rudatyā śanaiḥ ST_1.78ad	BUmO akzaramAlikA-iva liKitAH dIrGam rudatyA SanEs ST_1.78ad
   bhūyo drakṣyasi tāṃ śaṭheti dayitaṃ saṃtarjya saṃtarjya ca ST_1.45bb	BUyas drakzyasi tAm SaWa-iti dayitam saMtarjya saMtarjya ca ST_1.45bb
   bhūyo yāsyasi tad-gṛhān iti muhuḥ kaṇṭhāruddhākṣaraṃ ST_1.27bc	BUyas yAsyasi tad--gRhAn iti muhur kaNWa-arudDa-akzaram ST_1.27bc
   bhedāḥ kriyayocyante tad-udāhṛtayaś ramaṇīyāḥ ST_1.24b	BedAH kriyayA-ucyante tat--udAhRtayaH ramaNIyAH ST_1.24b
   bhramat-pracura-patrikaṃ trika-vivarti-nṛtya-kriyā- ST_3.14ac	Bramat--pracura-patrikam trika-vivarti--nRtya--kriyA ST_3.14ac
   bhramaty eṣa mahā-raṇe ST_3.41cd	Bramati eza mahA--raNe ST_3.41cd
   bhramanty etās tathāpy etad ST_3.16ac	Bramanti etAH taTA-api etat ST_3.16ac
   bhrukuṭī cātra jāyate ST_3.8d	BrukuwI ca-atra jAyate ST_3.8d
   matir vyādhis tathonmādas ST_1.13c	matiH vyADiH taTA-unmAdaH ST_1.13c
   madana-kuñjara-kumbha-taṭopame ST_1.22aa	madana--kuQjara--kumBa--tawa-upame ST_1.22aa
   madane madanena ca ST_1.80b	madane madanena ca ST_1.80b
   mad-vakṣasy avalambya kiṃcid adhunā tad vismṛtaṃ vajriṇā ST_3.10cc	mad-vakzasi avalambya kiMcid aDunA tat vismRtam vajriNA ST_3.10cc
   madhunā sucirāya me ST_3.43db	maDunA sucirAya me ST_3.43db
   madhura-vacanaiḥ sa-bhrū-bhaṅgaiḥ kṛtāṅguli-tarjanai ST_1.42da	maDura-vacanEH sa-BrU--BaFgEH kRta-aFguli--tarjanEH ST_1.42da
   madhurādi-rasātmanām ST_1.16d	maDura-Adi--rasa-AtmanAm ST_1.16d
   madhu-vidhurī-kṛta-madhu-kara-madhuradhva-nibodhitaṃ ca kamala-vanam	maDu-viDurI-kRta--maDu--kara--maDura-Dva--niboDitam ca kamala-vanam
   ST_2.38b	ST_2.38b
   madhu-samaya-śaśa-dharodaya-kandarpa-madādhikeṣu kāleṣu ST_2.40a	maDu--samaya-SaSa--Dara-udaya--kandarpa--mada-aDikezu kAlezu ST_2.40a
   madhu sotpalaṃ kalaṃ gītam ST_1.51db	maDu sa-utpalam kalam gItam ST_1.51db
   madhyamānāṃ bhavaty eṣa ST_3.3a	maDyamAnAm Bavati eza ST_3.3a
   madhyamā sā matā yathā ST_1.90d	maDyamA sA matAH yaTA ST_1.90d
   madhyā punaḥ pragalbhā ca ST_1.47a	maDyA punar pragalBA ca ST_1.47a
   madhyā pratibhinatty enaṃ ST_1.45a	maDyA pratiBinatti enam ST_1.45a
   madhyā rodity upālambhair ST_1.41c	maDyAH roditi upAlamBEH ST_1.41c
   manaḥ kevalam icchati ST_3.43dd	manaH kevalam icCati ST_3.43dd
   mano mlānaṃ manobhavaḥ ST_3.51b	manaH mlAnam manoBavaH ST_3.51b
   mantrāś ca dharmārtha-manobhava-jñaiḥ ST_1.95d	mantrAH ca Darma-arTa--manoBava--jQEH ST_1.95d
   mandaṃ kānta-didṛkṣayātilalitaṃ dvāre dṛg-āropitṃ ST_1.76ad	mandam kAnta-didRkzayA-ati-lalitam dvAre dRS--Aropitm ST_1.76ad
   manyur gurutaro 'py āśu ST_2.39c	manyuH gurutaraH api ASu ST_2.39c
   manye paramam āyudham ST_2.30d	manye paramam AyuDam ST_2.30d
   manye veśyāvalokitaiḥ ST_1.70d	manye veSyA-avalokitEH ST_1.70d
   manye'syāḥ kusumāyudhaḥ sa-śibiraḥ pratyaṅgam āvāsitaḥ ST_2.15ad	manye-asyAH kusumAyuDaH sa-SibiraH pratyaFgam AvAsitaH ST_2.15ad
   manyau kṛte prathamam eva vikāram anyaṃ ST_1.38aa	manyO kRte praTamam eva vikAram anyam ST_1.38aa
   mama sahacarī sā niḥsnehā manāg api na sthitā ST_2.67dd	mama sahacarI sA niHsnehA manAk api na sTitA ST_2.67dd
   mamāli madanopamaḥ ST_1.51bb	mama-ali madana-upamaH ST_1.51bb
   mayā kiṃ te kṛtyaṃ dhruvam akuṭilācāra-parayā ST_1.45ad	mayA kim te kRtyam Druvam akuwila-AcAra--parayA ST_1.45ad
   mayā ko'yaṃ mugdhe kathaya likhitaḥ satvara-sakhī- ST_2.67aa	mayA kaH-ayam mugDe kaTaya liKitaH sa-tvara--saKI ST_2.67aa
   maraṇaṃ kiṃ tv asaundaryāt ST_2.17c	maraNam kim tu asOndaryAt ST_2.17c
   maraṇaṃ jāyate tataḥ ST_2.16d	maraNam jAyate tatas ST_2.16d
   maraṇe'pi na muñcati ST_1.49b	maraNe-api na muQcati ST_1.49b
   maryādā-niratas tvam eva jaladhe brūte'tra ko'nyādṛśam ST_3.43ab	maryAdA--nirataH tvam eva jalaDe brUte-atra kaH-anyAdRSam ST_3.43ab
   mahatīṃ vṛddhim icchanti ST_3.48c	mahatIm vRdDim icCanti ST_3.48c
   maho tanvyās tulyaṃ taruṇimani sarvaṃ vijayate ST_1.39ad	maho tanvyAH tulyam taruNimani sarvam vijayate ST_1.39ad
   mahotsave tīvratame bhaye ca ST_2.27b	mahA-utsave tIvratame Baye ca ST_2.27b
   mātaṅgaiḥ stana-maṇḍalaṃ bhuja-yugollāso mṛṇālair api ST_2.60bb	mAtaFgEH stana--maNxalam Buja--yuga-ullAsaH mRNAlEH api ST_2.60bb
   mādhurya-yuktālpa-samāsa-ramyā ST_3.38c	mADurya--yukta-alpa--samAsa--ramyA ST_3.38c
   mādhuryaṃ narma-vijñānaṃ ST_2.66c	mADuryam narma-vijQAnam ST_2.66c
   mānaś ca viralaḥ kāryaḥ ST_2.51c	mAnaH ca viralaH kAryaH ST_2.51c
   māninī-nāma-saṃśayam ST_2.39b	mAninI--nAma--saMSayam ST_2.39b
   māninyā kathito'nukūla-vidhinā tenaiva manyur mahān ST_1.44bd	mAninyA kaTitaH-anukUla--viDinA tena-eva manyuH mahAn ST_1.44bd
   māninyā caraṇa-prahāra-vidhinā preyān aśokīkṛtaḥ ST_1.45bd	mAninyA caraNa--prahAra--viDinA preyAn aSokIkRtaH ST_1.45bd
   māno manasvinīnām atisukhasādhyo bhaved bhūmnā ST_2.40b	mAnaH manasvinInAm ati-suKa-sADyaH Bavet BUmnA ST_2.40b
   māno'yaṃ madhyamo yathā ST_2.35d	mAnaH-ayam maDyamaH yaTA ST_2.35d
   mā bhūvan vairiṇām api ST_2.59d	mA BUvan vEriNAm api ST_2.59d
   mā mā mamāli kuru komala-tāla-vṛntam ST_2.2ab	mA mA mama-ali kuru komala-tAla-vRntam ST_2.2ab
   mā māṃ vallabha saṃspṛśeti sahasā śūnyaṃ vadantī muhuḥ ST_1.51cc	mA mAm vallaBa saMspRSa-iti sahasA SUnyam vadantI muhur ST_1.51cc
   mām eva tāḍaya nitambini yady akasmāt ST_2.36aa	mAm eva tAxaya nitambini yadi akasmAt ST_2.36aa
   māyendrajāla-divya-strī- ST_3.16c	mAyA-indra-jAla-divya--strI ST_3.16c
   māyendrajāla-pluti-lāṅghitāḍhyā ST_3.40b	mAyA-indrajAla--pluti--la-aFGita-AXyA ST_3.40b
   mārgālokana-datta-dṛṣṭir abalā tat-kālam āliṅgyate ST_1.81ad	mArga-Alokana-datta-dRzwiH abalA tat-kAlam AliFgyate ST_1.81ad
   mithyā-vāg-dṛṣṭa-doṣo'pi ST_1.28c	miTyA-vAc--dRzwa-dozaH-api ST_1.28c
   mithyāvāda-vicakṣaṇaḥ kim aparaṃ kuryāṃ vayasye tadā ST_1.28bd	miTyA-vAda--vicakzaNaH kim aparam kuryAm vayasye tadA ST_1.28bd
   mīlan manthara-cakṣuṣā paripatat kāñcī-graha-vyagrayā ST_1.59aa	mIlan manTara--cakzuzA paripatat kAQcI--graha--vyagrayA ST_1.59aa
   mukha-rāgaś ca jāyate ST_3.4d	muKa-rAgaH ca jAyate ST_3.4d
   mukharāgāyudhotkṣepa- ST_3.8a	muKa-rAga-AyuDa-utkzepa ST_3.8a
