   // śrīḥ //	// SrIH //
   alaṅkārasarvasvam	alaFkAra-sarvasvam
   pākaśāsanatvapratītāvadhyavasāyasaṃbhāvādivaśabdena ca tasya	pAkaSAsana-tva-pratIta-avaDyavasAya-saMBAva-Adiva-Sabdena ca tasya
   sādhyatvapratīterutprekṣaiveyam /	sADya-tva-pratIteH-utprekzA-eva-iyam /
   ivaśabādāprayoge siddhatvādadhyavasāyasyātiśayoktiḥ /	ivaSabAdA-prayoge sidDa-tvAt-aDyavasAyasya-atiSaya-uktiH /
   ivāparaśabdayoraprayoge tu rūpakam /	iva-apara-SabdayoH-aprayoge tu rUpakam /
   tadevaṃ prakāravaicitryeṇāvasthitāyā utprekṣāyā hetūtprekṣāyāṃ yasya	tat-evam prakAra-vEcitryeNa-avasTitAyAH utprekzAyAH hetu-utprekzAyAm yasya
   prakṛtasaṃbandhino dharmasya heturutprekṣate sa dharmo	prakRta-saMbanDinaH Darmasya hetuH-utprekzate sa DarmaH-
   'dhyavasāyavaśādabhinna utprekṣāyāṃ nimittatvenāśrīyate /	aDyavasAya-vaSAt-aBinnaH utprekzAyAm nimitta-tvena-ASrIyate /
   sa ca vācya eva niyamena bhavati /	sa ca vAcyaH eva niyamena Bavati /
   anyathā kaṃ prati hetuḥ syāt /	anyaTA kam prati hetuH syAt /
   yathā-'apaśyantāvivānyonyam' ityādau /	yaTA--aapaSyantO=-iva-anyonyam-a ityAdO /
   atra kapolayoḥ prakṛtayoḥ saṃbandhitvenopāttasya kṣāmatāgamanasya	atra kapolayoH prakRtayoH saMbanDi-tvena-upAttasya kzAma-tA-gamanasya
   heturadarśanamutprekṣitam /	hetuH-adarSanam-utprekzitam /
   hetuphalaṃ ca kṣāmatāgamanaṃ tatra nimittam /	hetu-Palam ca kzAma-tA-gamanam tatra nimittam /
   evam 'adṛśyata tvaccaraṇāravindaviśleṣaduḥkhādiva baddhamaunam'ityatra	evam aadRSyata tvad-caraNa-aravinda-viSleza-duHKAt-iva badDa-mOnam-aityatra
   nūpuragatasya maunitvasya heturduḥkhitvam /	nUpura-gatasya mOni-tvasya hetuH-duHKi-tvam /
   tadutprekṣaṇe maunitvameva nimittaṃ jñeyam /	tad-utprekzaNe mOni-tvam-eva nimittam jQeyam /
   evaṃ sarvatra /	evam sarvatra /
   svarūpotprekṣāyāṃ yatra dharmī dharmyantaragatatvenotpekṣyate tatrāpi	svarUpa-utprekzAyAm yatra DarmI Darmi-antara-gata-tvena-utpekzyate tatra-api
   nimittabhūto dharmaḥ kkacinnirdiśyate /	nimitta-BUtaH DarmaH kkacid-nirdiSyate /
   yathā-'sa vaḥ pāyādunduḥ' ityādau /	yaTA--asa vaH pAyAt-unduH-a ityAdO /
   atra kuṭulatvādi nirdiṣṭameva /	atra kuwula-tva-Adi nirdizwam-eva /
   'veleva rāgasāgarasya' ityādau saṃkṣobhakāritvādi gamyamānam /	avelA-iva rAga-sAgarasya-a ityAdO saMkzoBa-kAri-tva-Adi gamyamAnam /
   yatra ca dharma eva dharmigatatvenotprekṣyate tatrāpi	yatra ca DarmaH eva Darmi-gata-tvena-utprekzyate tatra-api
   nimittasyopādānānupādānābhyam /	nimittasya-upAdAna-anupAdAnAByam /
   upādāne yathā-	upAdAne yaTA-
   'prāpyābhiṣekametasminpratiṣṭhāsati dviṣām /	aprApya-aBizekam-etasmin-pratizWA-asati dvizAm /
   cakampe lopyamānajñā bhayavihvavaliteva bhūḥ' //	cakampe lopyamAna-jQAH Baya-vihva-valitA-iva BUH-a //
   atra bhūgatatvena bhayavihvalitatvākhyadharmotprekṣāyāṃ	atra BU-gata-tvena Baya-vihvalita-tva-AKya-Darma-utprekzAyAm
   kampādinimittamupāttama /	kampa-Adi-nimittam-upAttamaH /
   anupādāne yathā-'lipmatīva tamo 'ṅgāni' ityādau /	anupAdAne yaTA--alipmati-iva tamaH aFgAni-a ityAdO /
   atra tamotatatvena lepanakriyākartṛtvopekṣāyāṃ vyāpanādi nimittaṃ	atra tamotata-tvena lepana-kriyA-kartR-tva-upekzAyAm vyApana-Adi nimittam
   gamyamānam /	gamyamAnam /
   vyāpanādau tūtprekṣāviṣaye nimittamanyadanveṣyaṃ syāt /	vyApana-AdO tu-utprekzA-vizaye nimittam-anyat-anvezyam syAt /
   na ca viṣayasya gamyamānatvaṃ yuktam /	na ca vizayasya gamyamAna-tvam yuktam /
   tasyotprekṣitādhāratvena prastutasyābhidhātumucitatvāt /	tasya-utprekzita-ADAra-tvena prastutasya-aBiDAtum-ucita-tvAt /
   tasmād yathoktameva sādhu /	tasmAt yaToktam-eva sADu /
   phalotprekṣāyāṃ yadeva tasya kāraṇaṃ tadeva nimittam /	Pala-utprekzAyAm yat-eva tasya kAraNam tat-eva nimittam /
   tasyānupādāne kasya tatphalatvenoktaṃ syāt /	tasya-anupAdAne kasya tad-Pala-tvena-uktam syAt /
   tasmāttatra tasya nimittasyopādānameva na prakārāntaram /	tasmAt-tatra tasya nimittasya-upAdAnam-eva na prakAra-antaram /
   yathā--	yaTA--
   'rathasthitānāṃ parivartanāya purātanānāmiva vāhanānām' /	araTa-sTitAnAm parivartanAya purAtanAnAm-iva vAhanAnAm-a /
   utpattibhūmau turagāttamānāṃ diśi pratasthe raviruttarasyām' //	utpatti-BUmO turaga-AttamAnAm diSi pratasTe raviH-uttarasyAma //
   atrāśvaparivartanasya phalasyottaradiggamanaṃ kāraṇameva nimittamupāttam /	atra-aSva-parivartanasya Palasya-uttara-diggamanam kAraNam-eva nimittam-upAttam /
   tadasāvutprekṣāyāḥ kakṣyāvibhāgaḥ pracuratayā sthito 'pi lakṣye	tat-asO=-utprekzAyAH kakzyA-viBAgaH pracura-tayA sTitaH api lakzye
   duravadhāratvādiha na prapañcitaḥ /	duravaDAra-tvAt-iha na prapaQcitaH /
   tasyāścevādiśabdavanmanyeśabdo 'pi pratipādakaḥ /	tasyAH-ca-iva-Adi-Sabda-vat-manyeSabdaH api pratipAdakaH /
   kiṃ tūtprekṣāsāmagrathabhāve manyeśabdaprayogo vitarkameva pratipādayati /	kim tu-utprekzA-sAma-graTa-BAve manyeSabda-prayogaH vitarkam-eva pratipAdayati /
   yathodāhṛtaṃ prāk 'ahaṃ tvinduṃ manye tvadariviraha' ityādi /	yaTA-udAhRtam prAk aaham tu-indum manye tvad-ari-viraha-a ityAdi /
   START Sūtra 23:	START SUtra 23:
   evamadhyavasāyasya sādhyatāyāmutprekṣāṃ nirṇīya siddhatve 'tiśayoktiṃ	evam-aDyavasAyasya sADya-tAyAm-utprekzAm nirNIya sidDa-tve atiSaya-uktim
   lakṣayati-	lakzayati-
   adhyavasitaprādhānye tvatiśayoktiḥ // RuAss_23 //	aDyavasita-prADAnye tu-atiSaya-uktiH // RuAsH-_23 //
   adhyavasāne trayaṃ saṃbhavati- svarūpaṃ viṣayo viṣayī ca /	aDyavasAne trayam saMBavati svarUpam vizayaH vizayI ca /
   viṣayasya hi viṣayiṇāntarnigīrṇatve 'dhyavasāyasya svarūpotthānam /	vizayasya hi vizayiNa-antar-nigIrNa-tve aDyavasAyasya svarUpa-utTAnam /
   tatra sādhyatve svarūpaprādhānyam /	tatra sADya-tve svarUpa-prADAnyam /
   siddhatve tvadhyavamitaprādhānyam /	sidDa-tve tu-aDyavamita-prADAnyam /
   viṣayaprādhānyamadhyavasāye naiva saṃbhavati /	vizaya-prADAnya-maDyavasAye na-eva saMBavati /
   adhyavasitaprādhānye cātiśayoktiḥ /	aDyavasita-prADAnye ca-atiSaya-uktiH /
   anyāśca pañcaprakārāḥ /	anyAH-ca paQca-prakArAH /
   bhede 'bhedaḥ /	Bede aBedaH /
   abhede bhedaḥ /	aBede BedaH /
   saṃbandhe 'saṃbandhaḥ /	saMbanDe asaMbanDaH /
   asaṃbandhe saṃbandhaḥ /	asaMbanDe saMbanDaH /
   kāryakāraṇapaurvāparyavidhvaṃsaśca /	kArya-kAraNa-pOrvAparya-viDvaMsaH-ca /
   tatra bhede 'bhedo yathā--	tatra Bede aBedaH yaTA--
   'kamalamanabhbhasi kamale ca kuvalaye tāni kanakalatikāyām /	akam-alam-anaBBasi kamale ca kuvalaye tAni kanakalatikAyAm /
   sā ca sukumārasubhagetyutpātaparamparā keyam' //	sA ca sukumAra-suBagA-iti-utpAta-paramparA kA-iyam-a //
   atra mukhādīnāṃ kamalādyairbhede 'bhedaḥ //	atra muKa-AdInAm kamala-AdyEH-Bede aBedaH //
   abhede bhedo yathā-	aBede BedaH yaTA-
   'aṇṇaṃ laḍahattaṇaaṃ aṇṇāvia kāvi vattaṇacchāā /	aaNNam laxa-hat-taNaam aNNO=-ia kAvi vattaNa=-CAAH /
   sāmā sāmaṇṇāpaāvaiṇo rehañcia ṇa hvoi' //	sAmA sAmaNNA-paAva-eNaH rehaQcia Na hvoi-a //
   ('anyat saundaryemanyāpi ca kāpi varttanacchāyā /	(-aanyat sOndaryemanyA-api ca kA-api varttana=-CAyA /
   śyāmā sāmānyaprajāpate rekhaiva na saṃbhavati' //)//	SyAmA sAmAnya-prajApate reKA-eva na saMBavati-a //)//
   atra laḍahatvādīnāmabhede 'pyanyatvena bhedaḥ /	atra laxaha-tva-AdInAm-aBede api-anya-tvena BedaH /
   yathā vā-- 'maggialaddhaṃmi valāmoḍiacuṃbieṃ apyaṇā a uvaṇamie /	yaTA vA-- amaggialat-DaMmi valA-moxia-cuMbiem api-aNA aH uvaNamie /
   ekkaṃmi piāharae aṇṇoṇṇā hāenti rasabheā' //	ekkaMmi piAharae aNNoNNA hAenti rasa-BeAa //
   ('mārgikatalabdhe balātkāracumbute ātmanā copanīte /	(-amArgika-ta-labDe balAtkAra-cumbute AtmanA ca-upanIte /
   ekasminnapi priyādhare 'nye 'nye bhavanti rasabhedāḥ' //)//	ekasmin=-api priya-aDare anye anye Bavanti rasa-BedAH-a //)//
   atrābhinnasyāpi priyādhararasasya viṣayavibhāgena bhedenopanibagandhaḥ /	atra-aBinnasya-api priya-aDara-rasasya vizaya-viBAgena Bedena-upanibaganDaH /
   saṃbandhe 'saṃbandho yathā-	saMbanDe asaMbanDaH yaTA-
   'lāvaṇyadraviṇavyayo na gaṇitaḥ kleśo mahānsvīkṛtaḥ svacchandaṃ carato	alAvaNya-draviNa-vyayaH na gaNitaH kleSaH mahAn-svIkRtaH svacCandam carataH-
   janasya hṛdaye cintājvaro nirmitaḥ /	janasya hRdaye cintA-jvaraH nirmitaH /
   eṣāpi svaguṇānurūparamaṇābhāvād varākī hatā ko 'rthaścetasi vedhasā	ezA-api sva-guNa-anurUpa-ramaNa-aBAvAt varAkI hatA kaH arTaH-cetasi veDasA
   vinihitastanvyāstanuṃ tanvatā' //	vinihitaH-tanvyAH-tanum tanvatA-a //
   atra lāvaṇyadraviṇasya vyayasaṃbandhe	atra lAvaNya-draviNasya vyaya-saMbanDe
   'pyasaṃbandhastanvīlāvaṇyaprakarṣapratipādanārthe nibaddhaḥ /	api-asaMbanDaH-tanvI-lAvaNya-prakarza-pratipAdana-arTe nibadDaH /
   yathā vā-- 'asyāḥ sargavidhau prajāpatipabhūccandro nu kāntipradaḥ	yaTA vA- aasyAH sarga-viDO prajApati-paBUt-candraH nu kAnti-pradaH
   śṛṅgāraikarasaḥ svayaṃ nu madano māso nu puṣkākaraḥ /	SRFgAra-ekarasaH svayam nu madanaH mAsaH nu puzkAkaraH /
   vedābhyāsajaḍaḥ kathaṃ nu viṣayavyāvṛttakautūhalo nirmātuṃ	veda-aByAsa-jaxaH kaTam nu vizaya-vyAvRtta-kOtUhalaH nirmAtum
   prabhavenmanoharamidaṃ rūpaṃ purāṇo muniḥ' //	praBavet-manoharam-idam rUpam purANaH muniH-a //
   atra purāṇaprajāpatinirmāṇasaṃbandhe 'pvasaṃbandha uktaḥ /	atra purANa-prajApati-nirmANa-saMbanDe apvasaMbanDaH uktaH /
   asaṃbandhe saṃbandho yathā-	asaMbanDe saMbanDaH yaTA-
   'puṣpaṃ pravālopahitaṃ yadi syānmuktāphalaṃ vā sphuṭavidrumastham /	apuzpam pravAla-upahitam yadi syAt-muktAPalam vA sPuwa-vidruma-sTam /
   tato 'nukuryād viśadasya tasyāstāmrauṣṭhaparyastarucaḥ smitasya' //	tatas anukuryAt viSadasya tasyAH-tAmra-ozWa-paryasta-rucaH smitasya-a //
   atra saṃbhāvanayā saṃbandhaḥ yathā vā- 'dāho 'mbhaḥprasṛtiṃpacaḥ	atra saMBAvanayA saMbanDaH yaTA vA adAhaH amBaH-prasRtiMpacaH
   pracayavān bāṣpaḥ praṇālocitaḥ śvāsāḥ preṅkhikatadīpradīpakalikāḥ pāṇṭimni	pracayavAn bAzpaH praNAla-ucitaH SvAsAH preFKika-tadI-pradIpa-kalikAH pANwimni
   magnaṃ vapuḥ /	magnam vapuH /
   kiṃ tāmyatkathagrāmi rātrimakhilāṃ tvanmārgavātāgrane	kim tAmyat-kaTa-grAmi rAtrim-aKilAm tvad-mArga-vAta-agrane
   hastacchattraniruddhacandramahasastasyāḥ sthitirvartate' //	hasta=-Cattra-nirudDa-candra-mahasaH-tasyAH sTitiH-vartate-a //
   atra dāhādīpāmabhbhaḥ prasṛtyādyairasaṃbandhe 'pi saṃbandhaḥ	atra dAha-AdIpAm-aBBaH prasRti-AdyEH-asaMbanDe api saMbanDaH
   siddhatvenoktaḥ /	sidDa-tvena-uktaH /
   kāryakāraṇapaurvāparyavidhvaṃsaḥ paurvāparyaviparyayāttulyakālatvādvā /	kArya-kAraNa-pOrvAparya-viDvaMsaH pOrvAparya-viparyayAt-tulya-kAla-tvAt-vA /
   viparyayo yathā-	viparyayaH yaTA-
   'hṛdayamadhiṣṭitamādau mālatyāḥ kusumacāpabāṇena /	ahRdayam-aDizwitam-AdO mAlatyAH kusuma-cApa-bANena /
   caramaṃ ramaṇīvallabha! locanaviṣayaṃ tvayā bhajatā' //	caramam ramaNI-vallaBa! locana-vizayam tvayA BajatA-a //
   tulyakālatvaṃ yathā--	tulya-kAla-tvam yaTA--
   'aviralavilolajaladaḥ kuṭajārjunanīpasurabhivanavātaḥ /	aavirala-vilola-jaladaH kuwaja-arjuna-nIpa-suraBi-vana-vAtaH /
   ayamāyātaḥ kālo hanta hṛtāḥ pathikagehinyaḥ' //	ayam-AyAtaH kAlaH hanta hRtAH paTika-gehinyaH-a //
   eṣu pañcasu bhedeṣu bhede 'bhedādivacanaṃ lokātikrāntagocaram /	ezu paQcasu Bedezu Bede aBeda-Adi-vacanam loka-atikrAnta-gocaram /
   ataścātrātiśayākhyaṃ yatphalaṃ prayojakatvānnimittaṃ tatrābhedādhyavasāyaḥ	atas-ca-atra-atiSaya-AKyam yat-Palam prayojaka-tvAt-nimittam tatra-aBeda-aDyavasAyaH
   tathā hi 'kamalamanambhasi' ityādau vadanādīnāṃ kamalādyairbhede 'pi	taTA hi akamalam-anamBasi-a ityAdO vadana-AdInAm kamala-AdyEH-Bede api
   vāstavaṃ saundaryaṃ kavisamarpitena saundaryeṇābhedenādhyavasitaṃ bhede	vAstavam sOndaryam kavi-samarpitena sOndaryeNa-aBedena-aDyavasitam Bede
   'bhedavacanasya nimittam /	aBeda-vacanasya nimittam /
   tatra ca siddho 'dhyavasāya ityadhyavasitaprādhānyam /	tatra ca sidDaH aDyavasAyaH iti-aDyavasita-prADAnyam /
   na tu vadanādīnāṃ kamalādibhirabhedādhyavasāyo yojanīyaḥ, abhede bheda	na tu vadana-AdInAm kamala-AdiBiH-aBeda-aDyavasAyaH yojanIyaH, aBede Beda
   ityādiṣu prakāreṣvaṣyāpteḥ /	ityAdizu prakArezu-azya-ApteH /
   tatra hi 'aṇṇaṃ laḍahṛttaṇaaṃ' ityādau sātiśayaṃ laḍahatvaṃ	tatra hi aaNNam laxa-hRttaNaama ityAdO sa-atiSayam laxaha-tvam
   nimittabhūtabhedenādhyavasitam /	nimitta-BUta-Bedena-aDyavasitam /
   evamanyatrāpi jñeyam /	evam-anyatra-api jQeyam /
   tadabhiprāyeṇaivādhyavasitaprādhānyam /	tad-aBiprAyeNa-eva-aDya-vasita-prADAnyam /
   prakārapañcakamadhyātkāryakāraṇabhāvena yaḥ prakāraḥ sa	prakAra-paQcaka-maDyAt-kArya-kAraNa-BAvena yaH prakAraH sa
   kāryakāraṇatāśrayālaṅkāraprastāve prapañcārthaṃ lakṣiyiṣyate /	kArya-kAraNa-tA-ASraya-alaFkAra-prastAve prapaQca-arTam lakziyizyate /
   START Sūtra 24:	START SUtra 24:
   evamadhyavasāyāśrayamalaṅkāradvayamuktvā gamyamānaupamyāśrayā alaṅkārā	eva-maDyavasAya-ASrayam-alaFkAra-dvayam-uktvA gamyamAna-Opamya-ASrayA alaFkArA
   idānīmucyante /	idAnIm-ucyante /
   tatrāpi padārthavākyārtagatatvena teṣāṃ dvaividhye	tatra-api padArTa-vAkya-Arta-gata-tvena tezAm dvEviDye
   padārthagatamalaṅkāradvayaṃ krameṇocyate-	padArTa-gatam-alaFkAra-dvayam krameNa-ucyate-
   aupamyasya gamyatve padārthagatatvena prastutānāmaprastutānāṃ vā	Opamyasya gamya-tve padArTa-gata-tvena prastutAnAm-aprastutAnAm vA
   samānadharmābhisaṃbandhe tulyayogitā // RuAss_24 //	samAna-Darma-aBisaMbanDe tulyayogitAH // RuAsH-_24 //
   ivādyaprayoge hyaupanyasya gamyatvam /	iva-adya-prayoge hi-Opanyasya gamya-tvam /
   tatra prākaraṇikānāmapraraṇikānāṃ vārthānāṃ samānaguṇakriyāsaṃbandhe	tatra prAkaraNikAnAm-apraraNikAnAm vA-arTAnAm samAna-guNa-kriyA-saMbanDe
   anvitārthā tulyayogitā /	anvita-arTA tulyayogitAH /
   yathā-	yaTA-
   'sajjātapatraprakārāñcitāni samudvahanti sphuṭapāṭalatvam /	asat-jAta-patra-prakAra-AQcitAni samudvahanti sPuwa-pAwala-tvam /
   vikasvarāṇyarkakaraprabhāvāddināni padmāni ca vṛddhimīyuḥ' //	vikasvarANi-arka-kara-praBAvAt-dinAni padmAni ca vRdDim-IyuH-a //
   atra ṛtuvarṇanasya prakāntatvāddinānāṃ padmānāṃ ca prakṛtatvād	atra RtuvarNanasya prakAnta-tvAt-dinAnAm padmAnAm ca prakRta-tvAt-
   vṛddhigamanaṃ kriyā /	vRdDi-gamanam kriyA /
   evaṃ guṇe 'pi /	evam guNe api /
   yathā-	yaTA-
   'yogapaṭṭo jaṭājālaṃ tāravī tvaṅmṛgājinam /	ayoga-pawwaH jawA-jAlam tAravI tvac-mRga-ajinam /
   ucitāni tavāṅgeṣu yadyamūni taducyatām' //	ucitAni tava-aFgezu yadi-amUni tat-ucyatAm-a //
   ucitatvaṃ guṇaḥ /	ucita-tvam guNaH /
   aprākaraṇikānāṃ yathā-	aprAkaraNikAnAm yaTA-
   'dhāvattvadaśvapṛtanāpatitaṃ mukhe 'sya ninindranīlanalinacchadakomalāṅgyā	aDAvat-tvad-aSva-pRtanA-patitam muKe asya ninindra-nIla-nalina=-Cada-komala-aFgyA
   bhagnasya gūrjaranṛpasya rajaḥ kayāpi tanvyā tavāsilatayā ca yaśaḥ	Bagnasya gUrjara-nRpasya rajaH kayA-api tanvyA tava-AsilatayA ca yaSaH
   prabhṛṣṭam' //	praBRzwam-a //
   atra gūrjaraṃ prati nāyikāsilatayoraprākaraṇikatve mārjanaṃ kriyā /	atra gUrjaram prati nAyikA-sila-tayoH-aprAkaraNika-tve mArjanam kriyA /
   guṇo yathā-	guNaH yaTA-
   'tvadaṅgamārdavaṃ draṣṭuḥ kasya citte na bhāsate /	atvat-aFga-mArdavam drazwuH kasya citte na BAsate /
   mālatīśaśabhṛllekhākadalīnāṃ kaṭhoratā' //	mAlatI-SaSa-BRt-leKA-kadalInAm kaWoratA-a //
   kaṭhoratvaṃ guṇaḥ /	kaWora-tvam guNaH /
   evameṣā caturvidhā vyākhyātā /	evam-ezA caturviDAH vyAKyAtAH /
   START Sūtra 25:	START SUtra 25:
   prastutāprastutayorvyastatve tulyayogitāṃ pratipādya samastatve	prastuta-aprastutayoH-vyasta-tve tulya-yogitAm pratipAdya samasta-tve
   dīpakamucyate -	dIpakam-ucyate -
   prastutāprastutānāṃ tu dīpakam // RuAss_25 //	prastuta-aprastutAnAm tu dIpakam // RuAsH-_25 //
   aupamyasya gamyatva ityādyanuvartate /	Opamyasya gamya-tve ityAdi-anuvartate /
   prākaraṇikāprākaraṇikayormadhyādekatra nirdiṣṭaḥ samāno dharmaḥ	prAkaraNikA-prAkaraNikayoH-maDyAt-ekatra nirdizwaH samAnaH DarmaH
   prasaṅganānyatropakārāddīpanāddīpasādṛśyena dīpakākhyālaṅkārotthāpakaḥ /	prasaFganA-anyatra-upakArAt-dIpanAt-dIpa-sAdRSyena dIpaka-AKyA-alaFkAra-utTApakaH /
   tatrevādyaprayogādupamānopameyabhāvo gamyamānaḥ /	tatra-iva-adya-prayogAt-upamAna-upameya-BAvaH gamyamAnaH /
   sa ca vāstava eva /	sa ca vAstavaH eva /
   pūrvatra śuddhaprākaraṇikatve śuddhāprākaṇikatvai vā vaivakṣikaḥ,	pUrvatra SudDa-prAkaraNika-tve SudDa-aprAkaNika-tvE vA vEvakzikaH,
   prākaraṇikatvanirvartitatvādupamānopameyabhāvasya /	prAkaraNika-tva-nirvartita-tvAt-upamAna-upameya-BAvasya /
   anekasyaikakriyābhisaṃbandhādaucityātpadārthatvoktiḥ /	anekasya-eka-kriyA-aBisaMbanDAt-OcityAt-padArTa-tva-uktiH /
   vastutastu vākyārthatve ādimadhyāntavākyagatatvena dharmasya	vastutas-tu vAkya-arTa-tve Adi-maDya-anta-vAkya-gata-tvena Darmasya
   vṛttāvādibhamadhyāntadīpakākhyāstrayo 'sya bhedāḥ /	vRttO=-AdiBa-m-aDya-anta-dIpaka-AKyAH-trayaH asya BedAH /
   krameṇodāharaṇam - 'rehai mihireṇa ṇahaṃ raseṇa kavvaṃ sareṇa jovvaṇaaṃ /	krameNa-udAharaNam  arehE mihireNa Naham raseNa kavvam sareNa jovvaNaam /
   amaeṇa dhuṇīdhavao tumae ṇaraṇāha bhuvaṇamiṇaṃ' //	amaeNa DuNIDavaaH tumae NaraNAha BuvaNam-iNama //
   ('reyate mihireṇa nabho rasena kāvyaṃ sareṇa [smareṇa] yauvanam amṛtena	(-areyate mihireNa naBaH rasena kAvyam sareNa [smareNa] yOvanam amRtena
   dhunīdhavaḥsvayā naramātha! bhuvanamidam' //)//	DunIDavaH-svayA naram-ATa! Buvanam-idam-a //)//
   'saṃcārapūtāni digantarāṇi kṛtvā dinānte nilayāya gantum /	asaMcAra-pUtAni digantarANi kRtvA dina-ante nilayAya gantum /
   pracakrame pallavarāgatāmrā prabhā pataṅgasya munaśca dhenuḥ' //	pracakrame pallava-rAga-tAmrA praBA pataFgasya munaH-ca DenuH-a //
   'kivaṇāṇa dhaṇaṃ ṇāāṇaṃ phaṇamaṇī kesarāiṃ sīhāṇaṃ /	akivaNANa DaNam NAANam PaNa-maNI kesarAim sIhANam /
   kulavāliāṇa thaṇaā kutto cheppanti amuāṇaṃ' //	kula-vAliANa TaNaA kuttas Ceppanti amuANama //
   ('kṛpaṇānāṃ dhanaṃ nāgānāṃ phaṇamaṇiḥ kesarāḥ siṃhānām /	(-akRpaNAnAm Danam nAgAnAm PaNamaNiH kesarAH siMhAnAm /
   kulabālikānāṃ stanāḥ kutaḥ spṛśyante 'mṛtānām') //	kula-bAlikAnAm stanAH kutas spRSyante amRtAnAm-a) //
   evamekakriyaṃ dīpakatrayaṃ nirṇītam /	evam-eka-kriyam dIpaka-trayam nirNItam /
   atra ca yathānekakārakagatatvennaikakriyā dīpakaṃ	atra ca yaTA-aneka-kAraka-gata-tvenna-eka-kriyA dIpakam
   tathānekakriyāgatatvenaikakārakamapi dīpakam /	taTA-aneka-kriyA-gata-tvena-eka-kArakam-api dIpakam /
   yathā-	yaTA-
   'sādhūnāmupakartuṃ lakṣmīṃ dharttuṃ vihāyasā gantum /	asADUnAm-upakartum lakzmIm Darttum vihAyasA gantum /
   na kutūhali kasya manaścaritaṃ ca mahātmanāṃ śrotum' //	na kutUhali kasya manaH-caritam ca mahAtmanAm Srotum-a //
   atropakaraṇādyanekakriyākartṛtvena kutūhalaviśiṣṭaṃ mano nirdiṣṭam /	atra-upakaraNa-Adi-aneka-kriyA-kartR-tvena kutUhala-viSizwam manaH nirdizwam /
   chāyānrareṇa tu mālādīpakaṃ prastāvāntare lakṣyayiṣyate /	CAyA-nrareNa tu mAlAdIpakam prastAva-antare lakzyayizyate /
   START Sūtra 26:	START SUtra 26:
   vākyārthagatatvena sāmānyasya vākyadvaye pṛthaṅnirdeśe prativastūpamā //	vAkya-arTa-gata-tvena sAmAnyasya vAkya-dvaye pRTak-nirdeSe prativastu-upamA //
   RuAss_26 //	RuAsH-_26 //
   padārthārabdho vākyārtha iti padārthagatālaṅkārānantaraṃ	padArTa-ArabDaH vAkya-arTaH iti padArTa-gata-alaFkAra-anantaram
   vākyārthagatālaṅkāraprastāvaḥ /	vAkya-arTa-gata-alaFkAra-prastAvaH /
   tatra sāmānyadharmasyevādyupādāne sakṛnnirdeśe upamā /	tatra sAmAnya-Darmasya-iva-Adi-upAdAne sakRt-nirdeSe upamA /
   vastuprativastubhāvenāsakṛnnirdeśe 'pi saiva /	vastu-prativastu-BAvena-asakRt-nirdeSe api sA-eva /
   ivādyanupādāne sakṛnnirdeśe upamā /	iva-Adi-anupAdAne sakRt-nirdeSe upamA /
   vastuprativastubhāvenāsakṛnnirdeśe tu śuddhasāmānyarūpatvaṃ	vastu-prativastu-BAvena-asakRt-nirdeSe tu SudDa-sAmAnya-rUpa-tvam
   bimbapratibimbabhāvo vā /	bimba-pratibimba-BAvaH vA /
   ādyaḥ prakāraḥ prativastūpamā /	AdyaH prakAraH prativastU-pamA /
   vastu-śabdasya vākyārthavācitve prativāvākyārthamupamā	vastu--Sabdasya vAkya-arTa-vAci-tve prativAvAkya-arTam-upamA
   sāmyamityanvarthāśrayaṇāt /	sAmyam-iti-anvarTa-ASrayaNAt /
   kevalaṃ kāvyasamayātparyāyāntareṇa pṛthaṅnirdeśaḥ /	kevalam kAvya-samayAt-paryAya-antareNa pRTak-nirdeSaH /
   dvitīyaprakārāśrayeṇa dṛṣṭānto vakṣyate /	dvitIya-prakAra-ASrayeNa dRzwAntaH vakzyate /
   tadevamaupamyāśrayeṇaiva prativastūpamā /	tat-evam-Opamya-ASrayeNa-eva prativastU-pamA /
   yathā -	yaTA -
   'cakorya eva caturāścandrikācāmakarmaṇi /	acakoryaH eva caturAH-candrikA-AcAma-karmaNi /
   āvantya eva nipuṇāḥ sudṛśo ratanarmaṇi' //	AvantyaH eva nipuNAH su-dRSaH rata-narmaNi-a //
   atra caturatvaṃ sādhāraṇe dharmaṃ upamānavākye, upameyavākye tu	atra catura-tvam sADAraNe Darmam upamAna-vAkye, upameya-vAkye tu
   nipuṇapadena nirdiṣṭaḥ /	nipuNa-padena nirdizwaH /
   na kevasamiyaṃ sādharmyeṇa yāvad vaidharmyeṇāpi /	na kevasamiyam sADarmyeNa yAvat vEDarmyeNa-api /
   yathātraivottarasthāne 'vināvantīrna nipuṇāḥ sudṛśo ratanarmaṇi' iti pāṭhe	yaTA-atra-eva-uttara-sTAne avinO=-antIH-na nipuNAH su-dRSaH rata-narmaNi-a iti pAWe
   START Sūtra 27:	START SUtra 27:
   tasyāpi bimbapratibimbabhāvatayā nirdeśa dṛṣṭāntaḥ // RuAss_27 //	tasya-api bimba-pratibimba-BAvatayA nirdeSa dRzwAntaH // RuAsH-_27 //
   taṣṇāpīti na kevalamupamānopameyayoḥ /	tazNA-api-iti na kevalam-upamAna-upameyayoH /
