   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   taduktaṃ kusumāñjalau   	tat uktam kusumAQjalO   
   hetvādanumānācca madhyamādau 1 prayogataḥ /	hetvAt anumAnAt ca maDyamAdO 1 prayogataH /
   anyatra kḷptasāmarthyānniṣedhānupapattiḥ //	anyatra k?pta sAmarTyAt nizeDa anupapattiH //
   iti /	iti /
   tasmāduktabādhakagapañcakeneṣṭasādhanatvārthakatvasyāyogādvaktrabhiprāyarūpavidhyarthaka	tasmAt ukta bADaka gapaQcakena izwa sADana tva arTaka tvasya ayogAt vaktraBiprAya rUpa viDi arTaka
   eva liṅgādiriti //	eva liFga AdiH iti //
      pāṇinisūtroktadiśā icchāviśeṣarūpo ya	  pANinisUtra ukta diSA icCA viSeza rUpaH ya
   āmantraṇādhyeṣaṇādistadarthavācitvasya kḷptatvāt / tadanyatrāpi	AmantraNa aDyezaNa AdiH tad arTa vAci tvasya k?pta tvAt / tad anyatra api
   vaktrabhiprāya eva liṅgadyartho neṣṭasādhanatvamiti bhāvaḥ/	vaktR aBiprAyaH eva liFgadi arTaH na izwa sADana tvam iti BAvaH/
   apaunaruktyāyecchāviśeṣetyuktam / vidhyādeḥ sarvatrecchārūpatve	apOna ruj tyAya icCA viSeza iti uktam / viDi AdeH sarvatra icCA rUpa tve
   'pyavāntarabhedaḥ kusumāñjalāveva vyaktaḥ //	api avAntara BedaH kusumAQjalO= eva vyaktaH //
   antimahetuṃ vyanakti    iṣṭeti // liṅgāderiti yojyam / mānāntareti //	antima hetum vyanakti   izwa iti // liFga AdeH iti yojyam / mAna antara iti //
   kalañjanāmaktamūlaviśeṣabhakṣaṇamiṣṭasādhanaṃ netyarthaḥ /	kalaQjanAm akta mUla viSeza BakzaNam izwa sADanam na iti arTaH /
   āptābhiprāyārthatve tu mama kalañjabhakṣaṇakaraṇecchāptasya	Apta aBiprAya arTa tve tu mama kalaQja BakzaNa karaNa icSA Aptasya
   nāstītyarthakatvādadoṣaḥ / sa cāpto vede bhagavānīśvara eveti bhāvaḥ /	na asti iti arTaka tvAt adozaH / sa ca AptaH vede BagavAn ISvaraH eva iti BAvaH /
   taduktamiti // pañcamastabakantyabhāge hetutvāt kartavyatve 'numānācceti /	tat uktam iti // paQcama stabakanti aBAge hetu tvAt kartavya tve anumAnAt ca iti /
   vidheriti śeṣaḥ / madhyameti // madhyamottamapuruṣaliṅgaḥ	viDeH iti SezaH / maDyamA iti // maDyama uttama puruza liFgaH
   iṣṭasādhanatāviyogādityarthaḥ // anyatreti // icchāviśeṣarūpe	izwa sADana tA viyogAt iti arTaH // anyatra iti // icCA viSeza rUpe
   āmantraṇādhyeṣaṇādau liṅgaḥ kḷptaśaktitvādityarthaḥ /"na kalañjaṃ	AmantraNa aDyezaNa AdO liFgaH k?pta Sakti tvAt iti arTaH /"na kalaQjam
   bhakṣaye"dityādau niṣedhānupapattita ityarthaḥ //	Bakzaye"t ityAdO nizeDa anupapattitaH iti arTaH //
   1. dau ni  ja. ga.ka. 2. dau vi  naṃ. rā. su.	1. dO ni  ja. ga.ka. 2. dO vi  naM. rA. su.
   āptāyasya lirthatve bākam) vidhivādaḥ pu   309.	AptAyasi a lirTa tve bAkam) viDivAdaH pu  309.
   ucyate   	ucyate   
   abhiprāyo hīcchā / evaṃ ca tasyā vidhitve 1 saviṣamannaṃ kalañjaṃ vā	aBiprAyaH hi icCA / evam ca tasyAH viDi tve 1 sa vizam annam kalaQjam vA
   bhakṣayatvitīśvarecchāyā abhāve tadbakṣaṇe pravṛtyayogena tasyāstatrāpi	Bakzayatu iti ISvara icCAyAH aBAve tad bakzaNe pravRtya yogena tasyAH tatra api
   satvena viṣayabhakṣaṇādikamapi vidheyaṃ syāt //	satvena vizaya BakzaNa Adikam api viDeyam syAt //
   kiṃ ca bālasyādyastanyapānādisvapravṛttau hetutveneṣṭasādhanatvajñānameva	kim ca bAlasya Adya stanya pAna Adi sva pravRttO hetu tvena izwa sADana tva jQAnam eva
   kḷptam / na hi bālasyādyapravṛttau jātibadhirapravṛttau vā vaktāsti / yena	k?ptam / na hi bAlasya adya pravRttO jAti baDira pravRttO vA vaktA asti / yena
   tatrāpi vaktrabhiprāyajñānameva hetuḥ syāt / evaṃ ca    	tatra api vaktR aBiprAya jQAnam eva hetuH syAt / evam ca    
   paroktabādhakapañcakaṃ paścādudbhariṣyan ādau tāvadiṣṭasādhanatvasya	parokta bADaka paQcakam paScAt udBarizyan AdO tAvat izwa sADana tvasya
   liṅarthatve sādhakatrayamabhiprāyasya liṅarthatve bādhakarūpaṃ krameṇāha	liFarTa tve sADaka trayam aBiprAyasya liFarTa tve bADaka rUpam krameNa Aha
      abhiprayāyo hītyādinā // vakturecchā abhidhīyata	  aBiprayAyaH hi ityAdinA // vakturecCA aBiDIyata
   ityāditaduktaprasiddhidyotako hi śabdaḥ / icchāviṣayasādhanatvāpekṣayā	iti Adi tad ukta prasidDi dyotakaH hi SabdaH / icCA vizaya sADana tva apekzayA
   icchāmātrasya viṅarthatve lāghavayuktisūcako vā / pravṛtyayogeneti //	icCA mAtrasya viFarTa tve lAGava yukti sUcakaH vA / pravRtya yogena iti //
   īśvarecchāyāḥ kāryamātrahetutvāditi bhāvaḥ / kiṃ vaktrabhiprāye jñānaṃ	ISvara icCAyAH kArya mAtra hetu tvAt iti BAvaH / kim vaktR aBiprAye jQAnam
   pravartakamityupetya tasya liṅādyarthatvamucyate, atha tadabhāve 'pi /	pravartakam iti upetya tasya liFA Adi arTa tvam ucyate, aTa tad aBAve api /
   ādye doṣamāha    kiṃ ceti // yadvā parapakṣe bādhakaṃ	Adye dozam Aha   kim ca iti // yat vA para pakze bADakam
   siddhāntasādhakāntaramāha    kiṃ ceti // ādyastanyapāneti //	sidDAnta sADaka antaram Aha   kim ca iti // Adya H tanya pAna iti //
   prāthamikastanyapānetyarthaḥ / tatrāpi saṃdihānaṃ pratyāha    na hīti //	prATamika stanya pAnA iti arTaH / tatra api saMdihAnam pratyAha   na hi iti //
   heturiti// pravṛttāvityanuṣaṅgaḥ //	hetuH iti// pravRttO= iti anuzaFgaH //
   nanvastu bālabadhirayoḥ śabdajñānaśūnyayorevam /	nanu astu bAla baDirayoH Sabda jQAna SUnyayoH evam /
   tadanyapravṛttirabhiprāyajñānapūrvikāstu /	tad anya pravRttiH aBiprAya jQAna pUrvikAH tu /
   tatrābhiprāyajñānasaṃbhavādityata āha    evaṃ ceti // caitra	tatra aBiprAya jQAna saMBavAt iti atas Aha   evam ca iti // cEtra
   jalamāharasvetyuttamavṛddhavākyājjāyamānā	jalam Aharasva iti uttama vRdDa vAkyAt jAyamAnA
   prayojyabhūtamadhyamavṛddhapravṛttiryā   	prayojya BUta maDyama vRdDa pravRttiH yA   
   1. ayaṃ savi   ka. rā. su.	1. ayam savi  ka. rA. su.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   310.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  310.
   evaṃ madhyamavṛddhapravṛttidarśanena bālena kalpyamānā liṅgādeḥ śaktiḥ	evam maDyama vRdDa pravRtti darSanena bAlena kalpyamAnA liFga AdeH SaktiH
   tatpravṛttau kḷpteṣṭasādhanatvaviṣayaiva kalpyā / 1 tasyā 2 kḷptatvāt //	tad pravRttO k?pta izwa sADana tva vizayA eva kalpyA / 1 tasyAH 2 k?pta tvAt //
   kiṃ ca vaktrabhiprāye jñāte 'pa cetasyecchāṃ vinā kathaṃ pravṛttiḥ /	kim ca vaktR aBiprAye jQAte apa cetasya icCAm vinA kaTam pravRttiH /
   kathaṃ ceṣcasādhanatvajñānaṃ vinecchā //	kaTam ca izca sA Dana tva jQAnam vinA icCA //
      taddarśanenaitatpravṛttiḥ jñānapūrvikā svatantrapravṛttitvāt	  tad darSanena etat pravRttiH jQAna pUrvikA svatantra pravRtti tvAt
   madīyastanyapānādipravṛttivaditi jñānapūrvakatvānumānāntaraṃ	madIya stanya pAna Adi pravRtti vat iti jQAna pUrvakatva anumAna antaram
   matpravṛttihetujñānaṃ yatheṣṭopāyatvaviṣayamevamasyāpi pravṛttihetujñānaṃ	mad pravRtti hetu jQAnam yaTezwa upAya tva vizayam evam asya api pravRtti hetu jQAnam
   tadviṣayameveti niścitya tajjñānaṃ ca	tat vizayam eva iti niScitya tat jQAnam ca
   liṅgādiyuktottamavṛddhavākyenāsyotpannaṃ tadanuvidhānāditi	liFga Adi yukta uttama vRdDa vAkyena asya utpannam tad anuviDAnAt iti
   nirṇīyāvāpodvāpābhyāṃ liṅgāderiṣṭasādhanatvaviṣayāmeva śaktiṃ manyate bāla	nirNIya AvApa udvApAByAm liFga AdeH izwa sADana tva vizayAm eva Saktim manyate bAla
   ityeva yuktamityarthaḥ / tasyā iti // iṣṭasādhanatvaviṣakatvasya	iti eva yuktam iti arTaH / tasyAH iti // izwa sADana tva vizaka tvasya
   svasminnavadhṛtatvāditi bhāvaḥ / tasya akḷtpatvāditi pāṭhe tu	svasmin= avaDRta tvAt iti BAvaH / tasya ak?tpa tvAt iti pAWe tu
   vaktrabhiprāyajñānasya pravartakatvena svasminnanirṇītatvādityarthaḥ //	vaktraBiprAya jQAnasya pravartaka tvena svasmin= anirNIta tvAt iti arTaH //
   āptābhiprāyajñānamapi vāyustṛṇamiva balātpravartayataki uta	Apta aBiprAya jQAnam api vAyuH tRNam iva balAt pravartayataki uta
   pitāputrādikamivecchāmutpādya / nādyaḥ anubhavavirodhāt /	pitAputra Adikam iva icCAm utpAdya / na AdyaH anuBava viroDAt /
   cetanapravṛttericchāpūrvakatvānubhavāt / dvitīye	cetana pravRtteH icCA pUrvakatva anuBavAt / dvitIye
   tviṣṭopāyatvajñānamāvaśyakamityāha    kiñceti kathaṃ pravṛttiriti //	tvizwa upAya tva jQAnam AvaSyakam iti Aha   kiQca iti kaTam pravRttiH iti //
   vaktrabhiprāyaṃ jānato 'pyanicchataḥ pravṛtyabhāvasyaiva loke darśanādita	vaktR aBiprAyam jAnataH api anicCataH pravRtyaBAvasya eva loke darSanAt ita
   bhāvaḥ / kathaṃ ceti // pravṛttihetvicchājanakeṣṭopāyatvajñānārthaṃ	BAvaH / kaTam ca iti // pravRtti hetu icCA janakezwa upAya tva jQAna arTam
   liṅgāderiṣṭopāyatvārthakatvameva vācyamiti bhāvaḥ //	liFga AdeH izwa upAyatva arTaka tvam eva vAcyam iti BAvaH //
   āptabhiprāyasyoktavidhayā svayaṃ sākṣādapravartakatveneṣṭopāyatva  	AptaBiprAyasya ukta viDayA svayam sAkzAt apravartaka tvena izwa upAya tva  
   āptāyasya lirthatve bākam) vidhivādaḥ pu   311.	AptAyasi a lirTa tve bAkam) viDivAdaH pu  311.
   na ceda 1 miṣṭasādhanaṃ matkṛtisādhyatvenāptābhipretatvāt	na ceda 1 mizwa sADanam mad kRti sADya tvena Apta aBipreta tvAt
   madbhojanavadityāptābhiprāyeṇeṣṭasādhanatvānumānātpravṛttiriti vācyam /	mad Bojana vat iti Apta aBiprAyeNa izwa sADanatva anumAnAt pravRttiH iti vAcyam /
   tathātve liṅgādiśakterāvaśyakeṣṭasādhanatvaviṣayatvenaiva kalpyatvāt /	taTA tve liFga Adi SakteH AvaSya kezwa sADana tva vizaya tvena eva kalpya tvAt /
   arthāpattirhi sākṣādupapādakaviṣayā / na tūpapādakavyāpyaviṣayā / anumānaṃ	arTApattiH hi sAkzAt upapAdaka vizayA / na tu upapAdaka vyApya vizayA / anumAnam
   cāyuktam / uktarītyā viṣabhakṣaṇādau vyabhicārāt /	ca ayuktam / ukta rItyA viza BakzaNa AdO vyaBicArAt /
      jñānasyaivecchādvārā pravartakatve 'pi tajjñānārthaṃ na tasya	  jQAnasya eva icCA dvArA pravartaka tve api tad jQAna arTam na tasya
   liṅgārthatvaṃ kalpyam / iṣṭopāyatvajñānasyānyathāpi saṃbhavāditi	liFga arTa tvam kalpyam / izwa upAya tva jQAnasya anyaTA api saMBavAt iti
   bhāvenācāryāstvityādigranthe maṇyuktānumānānumānānuvādapūrvaṃ	BAvena AcAryAH tu ityAdi granTe maNI ukta anumAna anumAna anuvAda pUrvam
   prāguktadvitīyapakṣamāśaṅkya nirāha    na cedamiti // tṛptikāme 2 nānyeva	prAc ukta dvitIya pakzam ASaFkya nirAha   na ca idam iti // tRpti kAme 2 na ani eva
   kriyamāṇaviṣayabhakṣaṇādāvavyabhicārāya matkṛtisādhyatveneti hetuviśeṣaṇam	kriyamANa vizaya BakzaNa AdO= avyaBicArAya mad kRti sADya tvena iti hetu viSezaNam
   iṣṭasādhanatvaviṣayakatvenaivāptābhiprāyaviṣayatvenetyatrāvaśyakatvahetureka	izwa sADana tva vizayaka tvena eva Apta aBiprAya vizaya tvena iti atra AvaSyaka tva hetuH eka
   uktaḥ / kalpakābhāvaṃ cāha   arthāpattirhīti //	uktaH / kalpakA BAvam ca Aha   arTApattiH hi iti //
   icchāpūrvakapravṛtteranupapadyamānārthasya darśanarūpārthāpattiḥ	icCA pUrvaka pravRtteH anupapadyamAna arTasya darSana rUpa arTApattiH
   svopapādamiṣṭopāyatvajñānameva svīkaroti / na tu iṣṭopāyatvavyākhyaṃ	sva upapAdam izwa upAya tva jQAnam eva svIkaroti / na tu izwa upAya tva vyAKyam
   puruṣasādhana 3 mityuktānumānaṃ cetyarthaḥ / ukteti // ayaṃ	puruza sADana 3 miti ukta anumAnam ca iti arTaH / uktA iti // ayam
   saviṣamannamityādinoktarityetyarthaḥ //	savizam annam iti AdinA uktarityA iti arTaH //
   nanu 4 tatrāpi tātkālikeṣṭasādhanatvamastyeva tṛtpijanakatvādato na	nanu 4 tatra api tAtkAlikezwa sADana tvam asti eva tRd pijanaka tvAt atas na
   vyabhicāra iti cenna / tvanmate	vyaBicAraH iti ced na / tvad mate
   balavadaniṣṭānanubandhīṣṭopāyatvajñānasyaiva tatra sādhyārthatvādanyathā	balavat anizwAn anubanDIH wa upAya tva jQAnasya eva tatra sADya arTa tvAt anyaTA
   nivṛttisthale kalañja bhakṣaṇādāvaniṣṭhāsādhanatājñānaṃ na syāt / na ca	nivRtti sTale kalaQja BakzaNa Ada a= anizWA sADana tA jQAnam na syAt / na ca
   tatrāvyabhicārāya balavadiṣṭa 5 janakatve satīti heturviśeṣyata iti vācyam	tatra avyaBicArAya balavat izwa 5 janaka tve sati iti hetuH viSezyate iti vAcyam
   1.'mat' ityadhikam  ga. rā.su. 2.makri u.e. meva ki na. 3.namityanu 	1. amata iti aDikam  ga. rA.su. 2.makri u.e. mA iva ki na. 3.nam iti anu 
   naṃ.e.u. 4.na ca ta  naṃ.u.e. 5.ṣṭāja naṃ.u.e.	naM.e.u. 4.na ca te  naM.u.e. 5.zwAja naM.u.e.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   312.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  312.
   kalañjabhakṣaṇaṃ mamāniṣṭaṃ	kalaQja BakzaNam mama anizwam
   matkṛtisādhyatvenāptenāniṣyamāṇatvādityasyāsiddheśca //	mad kRti sADya tvena Aptena anizyamANa tva At iti asya asidDeH ca //
   tasmānniṣiddhe 'pi satvādbālavadhirādipravṛttāvasatvātparābhiprāye jñāte	tasmAt nizidDe api satvAt bAla vaDiH Adi pravRttO= asa tvAt para aBiprAye jQAte
   'pi cetanasyeṣṭasādhanatvājñāne pravṛtyayogācca nā 1 bhiprāyo vidhiḥ /	api cetanasya izwa sADana tva ajQAne pravRtyayogAt ca nA 1 BiprAyaH viDiH /
   kintviṣṭasādhanatvameva //	kintu izwa sADana tvam eva //
   2 āptābhiprāyasya liṅgādyarthatve bādhakam // 32 //	2 Apta aBiprAyasya liFga Adi arTa tve bADakam // 32 //
   udayanamatānuvādaprastāve maṇyuktaṃ	udayana mata anuvAda prastAve maNi uktam
   nivṛttisthalīyamaniṣṭopāyatānumānamapyayuktamityāha    kalañjeti //	nivRtti sTalI yam anizwa upAyata anumAnam api ayuktam iti Aha   kalaQja iti //
   aniṣṭaṃ aniṣṭasādhanatvamityarthaḥ / yadvā tatreṣṭasādhanatve satyapi	anizwam anizwa sADana tvam iti arTaH / yat vA tatra izwa sADana tve sati api
   balavadaniṣṭānanubandhitvaṃ neti bhāvenāniṣṭamityeva lādhyanirdeśaḥ kṛtaḥ	balavat anizwAn anubanDi tvam na iti BAvena anizwam iti eva lADya nirdeSaH kRtaH
   / viṣayasaṃpṛktānnabhojanavaditi dṛṣṭānto dhyeyaḥ/ asiddheśceti //	/ vizaya saMpRkta anna Bojana vat iti dRzwAntaH DyeyaH/ asidDeH ca iti //
   uktarītyetyanuṣaṅgaḥ / uktasādhakāni trīṇyapyanuvadannupasaṃharati   	ukta rItyA iti anuzaFgaH / ukta sADakAni trINi api anuvadan= upasaMharati   
   tasmāditi // satvāditi // āptābhiprāyasyeti yojyam //	tasmAt iti // satvAt iti // Apta aBiprAyasya iti yojyam //
   āptābhiprāyasya liṅgādyarthatve bādhakam // 32 //	Apta aBiprAyasya liFga Adi arTa tve bADakam // 32 //
   1.ptābhi  ja.ka.rā.su. 2.atra prakaraṇavibhāgo nāsti  naṃ.ja.ga.ka.rā.su.	1.pta aBi  ja.ka.rA.su. 2.atra prakaraNa viBAgaH na asti  naM.ja. ga.ka.rA.su.
   haṃsapādena pūritaḥ  ca. 3.dyaśa  u.e.	haMsapAdena pUritaH  ca. 3.dyaSa  u.e.
   unokta vabhiya vitvaṅgaḥ) vidhivādaḥ pu   313.	unA ukta  vaBiya vitvaFgaH) viDivAdaH pu  313.
   atha udayonoktavaktrabhiprāyavidhitvabhaṅgaḥ // 33 //	aTa uda yona ukta vaktraBiprAya viDi tva BaFgaH // 33 //
   bādhakapañcake 'pyādyaṃ tāvanna yuktam / tvanmate idaṃ	bADaka paQcake api Adyam tAvat na yuktam / tvad mate idam
   kartavyamāptābhipretatvāditi hetūkaraṇavadupapatteḥ //	kartavyam Apta aBipreta tvAt iti hetUkaraNa vat upapatteH //
   nāpi dvitīyam / arthavādādeveṣṭasādhanatve buddhe vidhipratyayasya vā	na api dvitIyam / arTa vAdAt eva izwa sA Dana tve budDe viDi pratyayasya vA
   tadarthasya vānumityanabhyupagamāt / tvatpakṣe 'pi tatra	tad arTasya vA anumiti anaByupagamAt / tvad pakze api tatra
   vidhipratyayādyanumānaṃ vyarthameva/ tadbodhyasya	viDi pratyaya Adi anumAnam vyarTam eva/ tad boDyasya
   pravartakartasyeṣṭasādhanatvasyarthavādādeva siddheḥ / asiddhau ca	pravartakartasya izwa sA aDana tvasi arTa vAdAt eva sidDeH / asidDO ca
   kalpakābhāvāt /	kalpaka aBAvAt /
   atha udayanoktavaktrabhiprāyavidhatvabhaṅgaḥ // 33 //	aTa udayana ukta vaktraBiprAya viDa tva BaFgaH // 33 //
   iṣṭopāyasya liṅgārthatve prāguktapañcabādhakāni krameṇa nirāha   	izwa upAyasya liFga arTa tve prAc ukta paQca bADakAni krameNa nirAha   
   bādhaketyādinā // iti hetūkaraṇavaditi // idaṃ tvayā kartavyamityuktena	bADaka ityAdinA // iti hetUkaraNa vat iti // idam tvayA kartavyam iti uktena
   kuta iti pratyukto brūte āptābhipretatvāditi / tatra tvanmate idaṃ tvayā	kutas iti pratyuktaH brUte Apta aBipreta tvAt iti / tatra tvad mate idam tvayA
   kartavyamityasya tvatkṛtiviṣayatvenāptābhipretamityarthaḥ / tatra kuta	kartavyam iti asya tvad kRti vizaya tvena Apta aBipretam iti arTaH / tatra kuta
   ityākāṅkṣāyāmāptābhipretatvāditi heturayuktaḥ syāt / tatra yadi	iti AkAFkzAyAm Apta aBipreta tvAt iti hetuH ayuktaH syAt / tatra yadi
   kartavyamityasya kṛtiviṣaya ityetāvanmātraṃ	kartavyam iti asya kRti vizayaH iti etAvat mAtram
   vivakṣitvā hetorupapattiṃ manyase tarhi mamāpi tathaivāstviti bhāvaḥ /	vivakzitvA hetoH upapattim manyase tarhi mama api taTA eva astu iti BAvaH /
   vidhyanumānācceti bādhakaṃ nirāha    nāpi dvitīyamiti // iṣṭasādhanatve	viDi anumAnAt ca iti bADakam nirAha   na api dvitIyam iti // izwa sADana tve
   iti // tathā 1 cānumānācceti hetorasiddhiriti bhāvaḥ / astūdayanamate 'yaṃ	iti // taTA 1 ca anumAnAt ca iti hetoH asidDiH iti BAvaH / astu udayana mate ayam
   doṣa ityata āha    tvatpakṣe 'pīti // asiddhau ceti //	dozaH iti atas Aha   tvad pakze api iti // asidDO ca iti //
   iṣṭāsādhanatvasyārthavādādasiddhau vidhyanumāpakābhāvādityarthaḥ/	izwa asADana tvasya arTa vAdAt asidDO viDi anumApaka aBAvAt iti arTaH/
   1. thānu   naṃ. u.	1. Ta anu  naM. u.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   314.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  314.
   vyāpakānupalabdhirūpabādhakanirāsena sārthakyaṃ tu manmate 'pi samam //	vyApaka anupalabDi rUpa bADaka nirAsena sArTakyam tu mad mate api samam //
   nāpi tṛtīyam / uktarītyeṣṭasādhanatvavācino liṅaḥ ekadeśabhūtāyāmicchāyāṃ	na api tRtIyam / ukta rItyA izwa sADana tva vAcinaH liFaH eka deSa BUtAyAm i= CAyAm
   lakṣaṇāsaṃbhavāt / kuryāḥ kuryāmityatrāpi saṃbodhyaṃ svātmānaṃ ca	lakzaNa asaMBavAt / kuryAH kuryAm iti atra api saMboDyam sva AtmAnam ca
   pratīṣṭasādhanatvasyaiva liṅarthatve bādhakābhāvācca //	pratIzwa sADana tvasya eva liFarTa tve bADaka aBAvAt ca //
   nāpi caturtham / tvanmate kḷptecchāṃśātyāgenāptatvāṃśa iva   	na api caturTam / tvad mate k?pta icCA aMSA tyAgena Apta tva aMSaH iva   
   aśvamedhāde 1 riṣṭasādhanatvādihetunā hyaśvamedhādikaṃ	aSvameDa Ade 1 rizwa sADana tva Adi hetunA hi aSvameDa Adikam
   kṛtiviṣatayāptābhipretamityarthako"śvamedhena yajeta	kRti vizatayA Apta aBipretam iti arTako"SvameDena yajeta
   brahmahatyātaraṇakāma"iti vidhiranumātavyaḥ / iṣṭasādhanatvasyaivājñāte	brahmahatyA taraNa kAma"iti viDiH anumAtavyaH / izwa sADana tvasya eva ajQAte
   vidhyanumitireva nodīyāditi bhāvaḥ //	viDi anumitiH eva na udIyAt iti BAvaH //
   nanvarthavādānniścitamapīṣṭasādhanatvaṃ kartavyatvarūpavidhivyāptatvādiha	nanu arTa vAdAt niScitam api izwa sADana tvam kartavya tva rUpa viDi vyApta tvAt iha
   ca tasyānupalambhena kuṇṭhitaśaktikaṃ na pravartayitumīṣṭe	ca tasya anupalamBena kuNWita Saktikam na pravartayitum Izwe
   iṣṭāsadhatārūpārthaviyogāditi bādhakaṃ nirāha    nāpi tṛtīyamiti // ukteti	izwa asa DatA rUpa arTa viyogAt iti bADakam nirAha   na api tRtIyam iti // uktA iti
   // abhiprāyo hīcchetyādinoktarītyetyarthaḥ / etadeśeti //	// aBiprAyaH hi icCA ityAdinA ukta rItyA iti arTaH / etat eSa iti //
   iṣṭāsadhanetyatra sādhyaviṣayakatvenānupraviṣṭecchāyā ekadeśatvāt / tadvi	izwAsa Dana iti atra sADya vizayaka tvena anupravizwa icCAyAH eka deSa tvAt / tat vi
   2 śiṣṭārthanupapattāvekadeśasya lakṣaṇayā 3 grahaṇasaṃbhavādityarthaḥ /	2 Sizwa arTanupapattO= eka deSasya lakzaNayA 3 grahaNa saMBavAt iti arTaH /
   lakṣaṇaiva doṣa ityanuśayādāha    kuryā iti // taveṣṭasādhanaṃ	lakzaNA eva dozaH iti anuSayAt Aha   kuryAH iti // tava izwa sADanam
   mameṣṭasādhamityarthakatvopapatterityarthaḥ/ anyatra	mama izwa sADam iti arTaka tva upapatteH iti arTaH/ anyatra
   kḷptasāmarthyādityuktabādhakaṃ nirāha    nāpi caturthamiti // kḷpteti // 4	k?pta sAmarTyAt iti ukta bADakam nirAha   na api caturTam iti // k?ptA iti // 4
   icchāviśeṣarūpāmantraṇādau liṅ 5	icCA viSeza rUpA mantraNa AdO liF 5
   śakteḥ kḷptatvenāmantraṇādyarthakaliṅgādau   	SakteH k?pta tvena AmantraNa Adi arTa kaliFga AdO   
   1.rapīṣṭa  e. 2.tatra vi  e. 3.ṇāgra  e. 4.yathā ityadhikam  e. 5.ṅaḥ	1.rapIzwa  e. 2.tatra vi  e. 3.NA agre  e. 4.yaTA iti aDikam  e. 5.FaH
   śa naṃ.u.e.	Sa naM.u.e.
   unokta vabhiya vitvaṅgaḥ) vidhivādaḥ pu   315.	unA ukta  vaBiya vitvaFgaH) viDivAdaH pu  315.
   manmate 'pi tadatyāgena sādhanatvāṃśe śaktikalpanāt / kathaṃ ca liṅgāre	mad mate api tad atyAgena sADana tva aMSe Sakti kalpanAt / kaTam ca liFgAre
   'nyortha iti vidhyartha liṅo'pi sa evārthaḥ //	anyorTaH iti viDi arTa liFaH api saH eva arTaH //
   nāpi pañcamam / naño 'surā ityādāviva tvadrītyā lakṣaṇayā	na api paQcamam / naQaH asurAH iti AdO= iva tu ad rItyA lakzaNayA
   madrītyābhidhayeṣṭasādhanatvaviruddhāniṣṭasādhanatvārthakatvāt /1 dṛṣṭaṃ	madrItya aBiDayA izwa sA Dana tva virudDa anizwa sADanatva arTaka tvAt /1 dRzwam
   ca nañaḥ kriyā 	ca naQaH kriyA 
      kḷptecchārthakatvāṃśātyāgenāptatvāṃśamadhikamapi niveśyapteṣṭatvaṃ	  k?pta icSA arTaka tva aMSA tyAgena Aptatva aMSam aDikam api niveSyapta izwa tvam
   vidhiliṅo'rtha iti kalpyate / tathā manmatepi	viDiliFaH arTaH iti kalpyate / taTA mad matepi
   kḷptecchārthakatvātyāgenecchāviṣayasādhanatvāṃśepi liṅgādeḥ śaktiḥ	k?pta icCA arTaka tvA tyAgena icCA vizaya sADana tva aMSepi liFga AdeH SaktiH
   kalpyate / ato 'dhikāṃśe śaktikalpanasya tulyatvānnedaṃ bādhakamiti bhāvaḥ	kalpyate / atas aDika aMSe Sakti kalpanasya tulya tvAt na idam bADakam iti BAvaH
   / āptatvāṃśa ityupalakṣaṇam / kṛtisādhatvāṃśa ityapi dhyeyam / manmate tu	/ Apta tva aMSaH iti upalakzaNam / kRti sADa tva aMSaH iti api Dyeyam / mad mate tu
   na tadaṃśepi liṅgādeḥ śaktirityagre vyaktam //	na tad aMSepi liFga AdeH SaktiH iti agre vyaktam //
   nanvāmantraṇādāvāptatvāṃśe 'pi śaktiḥ kḷpteti vādinaṃ pratyāha    kathaṃ	nanu AmantraNa AdO= Apta tva aMSe api SaktiH k?ptA iti vAdinam pratyAha   kaTam
   ceti // niyāmākābhāvāditi bhāvaḥ / ekatra nirṇītārtho 'nyatrāpīti	ca iti // niyAmAka aBAvAt iti BAvaH / ekatra nirNIta arTaH anyatra api iti
   nyāyastvasati bādhake / prakṛte cāptecchāyā vidhyarthatve bādhakatrayasya	nyAyaH tu asati bADake / prakRte ca Apta icCAyA viDi arTa tve bADaka trayasya
   prāgevoktatvāditi bhāvaḥ / niṣedhānupapattita iti bādhakaṃ nirāha    nāpi	prAk eva ukta tvAt iti BAvaH / nizeDa anupapattitaH iti bADakam nirAha   na api
   pañcamamiti // tvadrītyāpadrītyetyetannañarthanirṇayavāde 'gre vyaktam /	paQcamam iti // tu ad rItyA apadrItyA iti etat naQarTa nirNaya vAde agre vyaktam /
   aniṣṭasādhanatvārthakatvāditi // tathā ca tatra	anizwa sADanatva arTaka tvAt iti // taTA ca tatra
   mānāntaravirodhābhāvānniṣedhānupapattirneṣṭasādhanatvasya liṅgādyarthatve	mAna antara viroDa aBAvAt nizeDa anupapattiH na izwa sADana tvasya liFga Adi arTa tve
