   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   tasmād	tasmAt-
   ubhayathā bhaktānandane tad-bhakty-anubhava eva bhagavantaṃ	uBayaTA Bakta-Anandane tad--Bakti--anuBavaH eva Bagavantam
   pravartayatīti siddham | tat etad uktaṃ bhavati | yady anyasya	pravartayati-iti sidDam | tat etat uktam Bavati | yadi anyasya
   sukha-duḥkham	suKa--duHKam
   anubhūyāpi tat-tat-tyāgenetarasya sukhaḥ duḥkha-hāniṃ vā sampādayati	anuBUya-api tat-tat--tyAgena-itarasya suKaH duHKa-hAnim vA sampAdayati
   tadaiva vaiṣamyam āpatati | śrī-bhagavati tu prākṛta-sukha-	tadA-eva vEzamyam Apatati | SrI--Bagavati tu prAkRta--suKa-
   duḥkhānubhavābhāvān na tad āpatati, yathā kalpa-tarau | tad uktaṃ śrīmad-	duHKa-anuBava-aBAvAt na tat Apatati, yaTA kalpa-tarO | tat uktam SrImat--
   akrūreṇa -	akrUreNa -
   na tasya kaścid dayitaḥ suhṛttamo	na tasya kaScid dayitaH suhRd-tamaH-
   na cāpriyo dveṣya upekṣya eva vā |	na ca-apriyaH dvezyaH upekzye eva vA |
   tathāpi bhaktān bhajate yathā tathā	taTA-api BaktAn Bajate yaTA taTA
   sura-drumo yadvad upāśrito'rthadaḥ || iti [BhP 10.38.22] |	sura-drumaH yadvat upASritaH-arTa-daH || iti [Bhj 10.38.22] |
   atra bhaktād anya eva kaścid iti jñeyam |	atra BaktAt anyaH eva kaScid iti jQeyam |
   kaḥ paṇḍitas tvad-aparaṃ śaraṇaṃ samīyād bhakta-priyād ṛta-giraḥ suhṛdaḥ	kaH paNxitaH tvad--aparam SaraNam samIyAt Bakta-priyAt Rta-giraH suhRdaH
   kṛtajñād ity [BhP 10.48.26] etad-vākyenaiva tat-priyatva-prokteḥ | śrī-	kRtajQAt iti [Bhj 10.48.26] etat--vAkyena-eva tat--priya-tva--prokteH | SrI-
   mahādevenāpy uktam --	mahAdevena-api uktam --
   na hy asyāsti priyaḥ kaścin	na hi asya-asti priyaH kaScid-
   nāpriyaḥ svaḥ paro 'pi vā |	na-apriyaH svar paraH api vA |
   ātmatvāt sarva-bhūtānāṃ	Atma-tvAt sarva-BUtAnAm
   sarva-bhūta-priyo hariḥ ||	sarva-BUta--priyaH hariH ||
   tasya cāyaṃ mahā-bhāgaś	tasya ca-ayam mahA-BAgaH-
   citraketuḥ priyo 'nugaḥ |	citraketuH priyaH anugaH |
   sarvatra sama-dṛk śānto	sarvatra sama-dRS SAntaH-
   hy ahaṃ caivācyuta-priyaḥ || [BhP 6.17.33-34]	hi aham ca-eva-acyuta--priyaH || [Bhj 6.17.33-34]
   tathoktaṃ śrī-prahlādenāpi --	taTA-uktam SrI--prahlAdena-api --
   citraṃ tavehitam aho 'mita-yogamāyā-	citram tava-Ihitam aho amita-yoga-mAyA-
   līlā-visṛṣṭa-bhuvanasya viśāradasya |	lIlA--visRzwa--Buvanasya viSAradasya |
   sarvātmanaḥ samadṛśo 'viṣamaḥ svabhāvo	sarva-AtmanaH samadRSaH avizamaH svaBAvaH-
   bhakta-priyo yad asi kalpataru-svabhāvaḥ || [BhP 8.23.8] iti |	Bakta-priyaH yat asi kalpa-taru--svaBAvaH || [Bhj 8.23.8] iti |
   arthaś ca -- yat tvaṃ bhakta-priyo'si so'pi samadṛśas tava	arTaH ca - yat tvam Bakta--priyaH-asi saH-api samadRSaH tava
   svabhāvo'viṣamaḥ	svaBAvaH-avizamaH
   viṣamo na bhavati | tatra hetu-garbha-viśeṣaṇaṃ kalpataru-svabhāva iti |	vizamaH na Bavati | tatra hetu--garBa--viSezaNam kalpa-taru--svaBAvaH iti |
   tasmād viṣama-svabhāvatayā pratīte'pi tvayy avaiṣyam ity atīva citram iti	tasmAt vizama--svaBAva-tayA pratIte-api tvayi avEzyam iti atIva citram iti
   athavā paratrāpi kalpa-vṛkṣādi-lakṣaṇe samāna evāśrayaṇīye vastuni bhakta-	aTavA paratra-api kalpa-vRkza-Adi--lakzaNe samAnaH eva-ASrayaNIye vastuni Bakta-
   pakṣa-pāta-rūpa-vaiṣamya-darśanād vaiṣamyam api samasyaiva svabhāva ity	pakza-pAta--rUpa-vEzamya--darSanAt vEzamyam api samasya-eva svaBAvaH iti-
   eva vyākhyeyam | tathā pūrvatrāpi bhaktān bhajata iti vaiṣamya eva	eva vyAKyeyam | taTA pUrvatra-api BaktAn Bajate iti vEzamyaH eva
   yojanīyam iti | vastutas tu śrī-bhagavaty acintyam aiśvaryam eva mukhyas	yojanIyam iti | vastutas tu SrI--BagavatI acintyam ESvaryam eva muKya-s
   tad-avirodhe hetuḥ | yad uktam - namo namas te'stv ṛṣabhāya sātvatām ity	tad--aviroDe hetuH | yat uktam  namaH namaH te-astu RzaBAya sAtvatAm iti-
   [BhP 2.4.14] ādau dvitīyasya caturthe ṭīkāyām | tad evaṃ vaiṣamya-pratītāv	[Bhj 2.4.14] AdO dvitIyasya caturTe wIkAyAm | tat evam vEzamya--pratItO=-
   apy adoṣatvāyācintyam aiśvaryam āheti | tad uktaṃ śrī-bhīṣmeṇa	api adoza-tvAya-acintyam ESvaryam Aha-iti | tat uktam SrI--BIzmeNa
   sarvātmanaḥ samadṛśo hy advayasyānahaṅkṛteḥ |	sarva-AtmanaH samadRSaH hi advayasya-anahaFkRteH |
   tat-kṛtaṃ mati-vaiṣamyaṃ niravadyasya na kvacit ||	tat-kRtam mati-vEzamyam niravadyasya na kvacid ||
   tathāpy ekānta-bhakteṣu paśya bhūpānukampitam |	taTA-api ekAnta--Baktezu paSya BUpa-anukampitam |
   yan me 'sūṃs tyajataḥ sākṣāt kṛṣṇo darśanam āgataḥ || iti [BhP 1.9.21-22]	yat me asUn tyajataH sAkzAt kRzNaH darSanam AgataH || iti [Bhj 1.9.21-22]
   tathā śrī-bhagavatā -	taTA SrI--BagavatA -
   samo 'haṃ sarvabhūteṣu	samaH aham sarva-BUtezu
   na me dveṣyo 'sti na priyaḥ	na me dvezyaH asti na priyaH
   ye bhajanti tu māṃ bhaktyā	ye Bajanti tu mAm BaktyA
   mayi te teṣu cāpy aham || iti [BhP 9.29]	mayi te tezu ca-api aham || iti [Bhj 9.29]
   tad evaṃ tat-tad-doṣe bhakta-pakṣa-pātasya svarūpa-śakti-sāra-bhūtatve	tat evam tat-tad--doze Bakta-pakza-pAtasya svarUpa--Sakti-sAra--BUta-tve
   bhakta-vinodārtham eva svarūpa-śaktyaiva svayam eva ca	Bakta--vinoda-arTam eva svarUpa-SaktyA-eva svayam eva ca
   tat-tad-avatāra-līlāḥ	tat--tad--avatAra--lIlAH
   karoti bhagavān tato viśva-pālanaṃ tu svayam eva sidhyatīti sthite na	karoti BagavAn tatas viSva-pAlanam tu svayam eva siDyati-iti sTite na
   vaidura-	vEdura-
   praśnas tad-avasthaḥ | atra devādīnāṃ prākṛtatayā taiḥ saha līlāyāṃ svatas	praSnaH tad--avasTaH | atra deva-AdInAm prAkRta-tayA tEH saha lIlAyAm svatas-
   tṛptatā-hānis teṣu tad-aṃśāveśādi-svīkāreṇāgre parihartavyā | tathā na	tRpta-tA--hAniH tezu tad--aMSa-AveSa-Adi-svIkAreNa-agre parihartavyA | taTA na
   cāvatārādīnāṃ svarūpa-śakty-ātmatā-hāniḥ | tathā bhakta-vinodaika-	ca-avatAra-AdInAm svarUpa-Sakti--Atma-tA--hAniH | taTA Bakta-vinoda-eka-
   prayojanaka-svaira-līlā-kaivalyena cānyatra rāga-dveṣābhāvān na vaiṣamyam	prayojana-ka-svEra--lIlA--kEvalyena ca-anyatra rAga--dveza-aBAvAt na vEzamyam
   api pratyuta pitta-dūṣita-jihvānāṃ khaṇḍād vairasya iva tasmān nigrahe'py	api pratyuta pitta-dUzita--jihvAnAm KaNxAt vErasyaH iva tasmAt nigrahe-api-
   anubhūyamāne teṣāṃ duṣṭatādi-kṣapaṇa-lakṣaṇaṃ hitam eva bhavati | atra	anuBUyamAne tezAm duzwa-tA-Adi--kzapaNa--lakzaNam hitam eva Bavati | atra
   na hy asya janmano hetuḥ karmaṇo vā mahīpate |	na hi asya janmanaH hetuH karmaNaH vA mahIpate |
   ātma-māyāṃ vineśasya parasya draṣṭur ātmanaḥ |	Atma--mAyAm vineSasya parasya drazwuH AtmanaH |
   yan mayā ceṣṭitaṃ puṃsaḥ sthity-utpatty-apyayāya hi |	yat mayA cezwitam puMsaH sTiti--utpatti--apyayAya hi |
   anugrahas tan-nivṛtter ātma-lābhāya ceṣyate || [BhP 9.24.57-58]	anugrahaH tan--nivRtteH Atma--lABAya ca-izyate || [Bhj 9.24.57-58]
   iti navamāntastha-śrī-śuka-vākyānusāreṇa pralaye līnopādher jīvasya	iti navama-anta-sTa--SrI--Suka--vAkya-anusAreNa pralaye lIna-upADeH jIvasya
   dharmādy-asambhavād upādhi-sṛṣṭy-ādinā dharmādi-sampādanenānugraha	Darma-Adi--a-samBavAt upADi-sRzwi--AdinA Darma-Adi-sampAdanena-anugraha
   iti tadīya=ṭīkānusāreṇa ca | tathā,	iti tadIya=wIkA-anusAreNa ca | taTA,
   loke bhavān jagati naḥ kalayāvatīrṇaḥ	loke BavAn jagati naH kalayA-avatIrNaH
   sad-rakṣaṇāya khala-nigrahaṇāya cānyaḥ |	sat--rakzaNAya Kala--nigrahaNAya ca-anyaH |
   kaścit tadīyam abhiyāti nideśam īśa	kaScid tadIyam aBiyAti nideSam ISa
   kiṃ vā janaḥ svakṛtam ṛchati tan na vidmaḥ || [BhP 10.70.27]	kim vA janaH sva-kRtam RCati tat na vidmaH || [Bhj 10.70.27]
   iti jarāsandha-baddha-rāja-vṛnda-nivedane'pi īśvare tvayi sad-rakṣaṇārtham	iti jarAsanDa---badDa--rAja--vRnda--nivedane-api ISvare tvayi sat--rakzaNa-arTam
   avatīrṇe'pi ced asmākaṃ duḥkhaṃ syāt tarhi kim anyaḥ kaścij jarāsandhādis	avatIrNe-api ced asmAkam duHKam syAt tarhi kim anyaH kaScid jarAsanDa-Adi-s
   tvad-ājñām api laṅghayati kiṃ ca tvayā vakṣyamāṇo'pi janaḥ sva-karma-	tvad--AjQAm api laFGayati kim ca tvayA vakzyamANaH-api janaH sva-karma-
   duḥkhaṃ prāpnotīty eveti na vidmaḥ | na caitad ubhayam api yuktam iti	duHKam prApnoti-iti eva-iti na vidmaH | na ca-etat uBayam api yuktam iti
   bhāvaḥ | iti tadīya-ṭīkānusāreṇa ca līlāyāḥ svairatve'pi durghaṭanī	BAvaH | iti tadIya-wIkA-anusAreNa ca lIlAyAH svEra-tve-api durGawanI
   māyaiva	mAyA-eva
   tadā tadā devānusarādīnāṃ tat-tat-karmodbodha-sandhānam api ghaṭayati |	tadA tadA deva-anusara-AdInAm tat-tat--karma-udboDa--sanDAnam api Gawayati |
   yathā sva-sva-karmaṇā pṛthag eva ceṣṭamānānāṃ jīvānāṃ ceṣṭā-viśeṣāḥ	yaTA sva--sva-karmaNA pRTak eva cezwamAnAnAm jIvAnAm ca-izwA--viSezAH
   paraspara-śubhāśubha-śakuntatayā ghaṭitā bhavatīty ādikaṃ loke'pi dṛśyate	paraspara--SuBa-aSuBa--Sakunta-tayA GawitA Bavati-iti Adikam loke-api dRSyate
   yatra tu kvacid eṣā tal-līlājavam anugantuṃ na śaknoti tatraiva	yatra tu kvacid ezA tal-lIlA-javam anugantum na Saknoti tatra-eva
   parameśituḥ	parameSituH
   svairatā vyaktībhavati | yathā -	svEra-tA vyaktIBavati | yaTA -
   guru-putram ihānītaṃ nija-karma-nibandhanam |	guru-putram iha-AnItam nija--karma--nibanDanam |
   ānayasva mahārāja mac-chāsana-puraskṛtaḥ || [BhP 10.45.45]	Anayasva mahA-rAja mac--SAsana--puraskRtaH || [Bhj 10.45.45]
   iti yama-viṣayaka-śrī-bhagavad-ādeśādau | tataś ca	iti yama--vizaya-ka-SrI--Bagavat--AdeSa-AdO | tatas ca
   tasyātivirala-pracāratvān	tasya-ati-virala--pracAra-tvAn
   na sarvatra kṛta-hāny-akṛtābhyāgama-prasaṅgaś ca |	na sarvatra kRta--hAny-a-kRta-aByAgama--prasaFgaH ca |
   atha yadi kecid bhaktānām eva dviṣanti tadā tadā bhakta-pakṣa-	aTa yadi kecid BaktAnAm eva dvizanti tadA tadA Bakta-pakza-
   pātāntaḥpātitvād bhagavatā svayaṃ tad-dveṣe'pi na doṣaḥ | pratyuta bhakta-	pAta-antar-pAti-tvAt BagavatA svayam tat--dveze-api na dozaH | pratyuta Bakta-
   viṣayaka-tad-rateḥ poṣakatvena hlādinī-vṛtti-bhūtānandollāsa-viśeṣa evāsau	vizaya-ka-tad-rateH pozaka-tvena hlAdinI--vRtti--BUta-Ananda-ullAsa--viSezaH eva-asO
   yena hi dveṣeṇa	yena hi dvezeNa
   pratipada-pronmīlat-sāndrānanda-vaicitrī-samatirikta-bhakti-	pratipada--pronmIlat--sAndra-Ananda--vEci-trI--samatirikta--Bakti-
   rasa-marusthala-brahma-kaivalyāpādāna-rūpatvena tadīya-bhakti-rasa-mahā-	rasa--maru-sTala--brahma--kEvalya-apAdAna---rUpa-tvena tadIya--Bakti--rasa--mahA-
   pratiyogitayā tato'nyathā duścikitsatayā ca tatrocitam |	pratiyogi-tayA tatas-anyaTA duScikitsatayA ca tatra-ucitam |
   tad-uttha-bhagavat-	tad--utTa-Bagavat-
   tejasā tat-svarūpa-śakter api tiraskāreṇa dhvaṃsābhāva-tulyatvam |	tejasA tat--svarUpa--SakteH api tiraskAreNa DvaMsa-aBAva--tulya-tvam |
   svargāpavarga-narakeṣv api tulyārtha-darśina iti [BhP 6.17.28]	svarga-apavarga-narakezu api tulya-arTa--darSinaH iti [Bhj 6.17.28]
   nyāyenānyeṣām atīva duḥsahaṃ teṣām api kāmukānāṃ nikāmam	nyAyena-anyezAm atIva duHsaham tezAm api kAmukAnAm nikAmam
   anabhīṣṭam uddaṇḍa-daṇḍa-viśeṣaṃ kurvaty eva bhagavati tasya sarva-hita-	anaBIzwam uddaNxa--daNxa--viSezam kurvati eva Bagavati tasya sarva--hita-
   paryavasāyi-cāritra-svabhāvatvād eva tat-tad-durvāra-durvāsanāmayāśeṣa-	paryavasAyi-cAritra--svaBAva-tvAt eva tat--tad--durvAra--durvAsana-Amaya-aSeza-
   saṃsāra-kleśa-nāśo'pi bhavati | yaḥ khalv abhedopāsakānām atikṛcchra-	saMsAra--kleSa--nASaH-api Bavati | yaH Kalu aBeda-upAsakAnAm atikRcCra-
   sādhyaḥ puruṣārthaḥ | kvacic ca paramārtha-vastv-avabhijñānāṃ naraka-	sADyaH puruza-arTaH | kvacid ca paramArTa--vastu--avaBijQAnAm naraka-
   nirviśeṣaṃ teṣāṃ kāmināṃ tu nikāmam abhīṣṭaṃ viṭakīṭānām ivāmedhyaṃ	nirviSezam tezAm kAminAm tu nikAmam aBIzwam viwa-kIwAnAm iva-ameDyam
   svarga-viśeṣaṃ tebhyo dadāti sa parameśvaraḥ | ataevoktaṃ nāgapatnībhiḥ -	svarga--viSezam teByaH dadAti sa parameSvaraH | ataeva-uktam nAga-patnIBiH -
   ripoḥ sutānām api sutavat	ripoH sutAnAm api suta-vat-
   .pālyānāṃ devānām ity [BhP 10.16.33] arthaḥ | damam iti yato dama apīty	.pAlyAnAm devAnAm iti [Bhu 10.16.33] arTaH | damam iti yatas dama api-iti-
   arthaḥ | yat tu pūtanādāv uttama-bhakta-gatiḥ śrūyata tad-bhaktānukaraṇa-	arTaH | yat tu pUtanA-AdO uttama--Bakta--gatiH SrUyata tad--Bakta-anukaraNa-
   māhātmyenaiveti tatra tatra spaṣṭam eva | yathā sad-veṣād api pūtanāpi	mAhAtmyena-eva-iti tatra tatra spazwam eva | yaTA sat--vezAt api pUtanA-api
   sakulety [BhP 10.14.35] ādi |	sa-kula-iti [Bhj 10.14.35] Adi |
   atha yadi kecid bhaktā eva santo bhaktāntreṣu kathañcid aparādhyanti tadā	aTa yadi kecid BaktAH eva santaH Bakta-antrezu kaTaQcid aparADyanti tadA
   tenaivāparādhena bhakteṣu bhagavati ca vivartamānaṃ dveṣa-bāḍavānala-	tena-eva-aparADena Baktezu Bagavati ca vivartamAnam dveza--bAxavAnala-
   jvālālāpam anubhūya cirāt kathañcit punaḥ sad-veṣeṇāpi bhagavat-	jvAlA-AlApam anuBUya cirAt kaTaQcid punar sat--vezeNa-api Bagavat-
   saṃsparśādinā saparikare tad-aparādha-doṣe vinaṣṭe svapadam eva	saMsparSa-AdinA sa-parikare tad--aparADa--doze vinazwe sva-padam eva
   prāpnuvanti | na tu brahma-kaivalyam bhakti-lakṣaṇa-bījasyānaśvara-	prApnuvanti | na tu brahma-kEvalyam Bakti-lakzaNa-bIjasya-anaSvara-
   vabhāvatvāt | teṣu bhagavataḥ krodhaś ca bāleṣu mātur iveti ||	vaBAva-tvAt | tezu BagavataH kroDaH ca bAlezu mAtuH iva-iti ||
   tathā hi śrī-rājovāca -	taTA hi SrI-rAjA-uvAca -
   samaḥ priyaḥ suhṛd brahman	samaH priyaH suhRd brahman
   bhūtānāṃ bhagavān svayam |	BUtAnAm BagavAn svayam |
   indrasyārthe kathaṃ daityān	indrasya-arTe kaTam dEtyAn
   avadhīd viṣamo yathā || [BhP 7.1.1]	avaDIt vizamaH yaTA || [Bhj 7.1.1]
   paramātmatvena samaḥ suhṛt hitakārī priyaḥ prīti-viṣayo bhagavān | evaṃ	paramAtma-tvena samaH suhRd hita-kArI priyaH prIti-vizayaH BagavAn | evam
   sati sāmyenaivopakartavyatvena prīti-viṣayatvena na ca sarveṣv eva	sati sAmyena-eva-upakartavya-tvena prIti-vizaya-tvena na ca sarvezu eva
   prāpteṣu	prAptezu
   kathaṃ viṣama iva daityān avadhīt | viṣamatvam upalakṣaṇam asuhṛdi vā	kaTam vizamaH iva dEtyAn avaDIt | vizama-tvam upalakzaNam asuhRdi vA
   priya iva ceti |	priyaH iva ca-iti |
   kiṃ ca yasya yaiḥ prayojanaṃ sidhyati sa tat-pakṣapātī bhavati | yebhyo	kim ca yasya yEH prayojanam siDyati sa tat--pakza-pAtI Bavati | yeByaH-
   bibheti	biBeti
   tān dveṣeṇa hanti na tu tad atrāstīty āha --	tAn dvezeNa hanti na tu tat atra-asti-iti Aha --
   na hy asyārthaḥ sura-gaṇaiḥ	na hi asya-arTaH sura--gaNEH
   sākṣān niḥśreyasātmanaḥ |	sAkzAt niHSreyasa-AtmanaH |
   naivāsurebhyo vidveṣo	na-eva-asureByaH vidvezaH-
   nodvegaś cāguṇasya hi || [BhP 7.1.2]	na-udvegaH ca-aguNasya hi || [Bhj 7.1.2]
   niḥśreyasaṃ paramānandaḥ |	niHSreyasam parama-AnandaH |
   ataḥ -	atas -
   iti naḥ sumahā-bhāga	iti naH su-mahA--BAga
   nārāyaṇa-guṇān prati |	nArAyaNa--guNAn prati |
   saṃśayaḥ sumahān jātas	saMSayaH su-mahAn jAta-s
   tad bhavāṃś chettum arhati || [BhP 7.1.3]	tat BavAn Cettum arhati || [Bhj 7.1.3]
   guṇān anugraha-nigrahādīn prati tat-tat-saṃśayam |	guNAn anugraha--nigraha-AdIn prati tat-tat--saMSayam |
   atra śrī-ṛṣr uvāca -	atra SrI-RzH uvAca -
   sādhu pṛṣṭaṃ mahārāja	sADu pRzwam mahA-rAja
   hareś caritam adbhutam |	hareH caritam adButam |
   yad bhāgavata-māhātmyaṃ	yat BAgavata-mAhAtmyam
   bhagavad-bhakti-vardhanam || [BhP 7.1.4]	Bagavat--Bakti-varDanam || [Bhj 7.1.4]
   he mahārāja | idaṃ yat pṛṣṭhaṃ tat sādhu suvicāritam eva | kintu hareś	he mahA-rAja | idam yat pRzWam tat sADu su-vicAritam eva | kintu hareH-
   caritam adbhutam apūrvam avaiṣamye'pi viṣamatayā pratīyamānatvena	caritam adButam apUrvam avEzamye-api vizama-tayA pratIyamAna-tvena
   vicārātītatvāt | yad yatra hareś caritre bhagavad-bhakti-vardhanaṃ	vicAra-atIta-tvAt | yat yatra hareH caritre Bagavat--Bakti-varDanam
   bhāgavata-	BAgavata-
   māhātmyaṃ bhāgavatānāṃ prahlādopalakṣita-bhakta-vṛndānāṃ māhātmyaṃ	mAhAtmyam BAgavatAnAm prahlAda-upalakzita-Bakta--vRndAnAm mAhAtmyam
   vartate | anena bhāgavatārtham eva sarvaṃ karoti bhagavān na tv anyārtham	vartate | anena BAgavata-arTam eva sarvam karoti BagavAn na tu anya-arTam
   ity asyaivārthasya paryavasānaṃ bhaviṣyatīti vyañjitam | ṭīkā ca -	iti asya-eva-arTasya paryavasAnam Bavizyati-iti vyaQjitam | wIkA ca -
   sva-bhakta-pakṣa-pātena tad-vipakṣa-vidāraṇam |	sva--Bakta--pakza-pAtena tad--vipakza--vidAraNam |
   nṛsiṃham adbhutaṃ vande paramānanda-vigraham || ity eṣā |	nRsiMham adButam vande parama-Ananda-vigraham || iti ezA |
   ato -	atas -
   gīyate paramaṃ puṇyam	gIyate paramam puNyam
   ṛṣibhir nāradādibhiḥ |	RziBiH nArada-AdiBiH |
   natvā kṛṣṇāya munaye	natvA kRzNAya munaye
   kathayiṣye hareḥ kathām || [BhP 7.1.5]	kaTayizye hareH kaTAm || [Bhj 7.1.5]
   paramaṃ puṇyaṃ yathā syāt tathā yā gīyate tāṃ kathām iti yat	paramam puNyam yaTA syAt taTA yA gIyate tAm kaTAm iti yat-
   tadoradhyāhāreṇānvayaḥ | atra ca tair gīyamānatvena bhaktaika-sukha-	tadoraDyAhAreNa-anvayaH | atra ca tEH gIyamAna-tvena Bakta-eka--suKa-
   prayojanatvam eva vyañjitam |	prayojana-tvam eva vyaQjitam |
   tatra tatra tāvad vyañjitārthānurūpam eva praśnasyottaram āha --	tatra tatra tAvat vyaQjita-arTa-anurUpam eva praSnasya-uttaram Aha --
   nirguṇo 'pi hy ajo 'vyakto	nirguNaH api hi ajaH avyaktaH-
   bhagavān prakṛteḥ paraḥ |	BagavAn prakRteH paraH |
   sva-māyā-guṇam āviśya	sva-mAyA--guNam AviSya
   bādhya-bādhakatāṃ gataḥ || [BhP 7.1.6]	bADya--bADaka-tAm gataH || [Bhj 7.1.6]
   yasmāt prakṛteḥ paras tasmān nirguṇaḥ prākṛta-guṇa-rahitaḥ tata evājo	yasmAt prakRteH paraH tasmAt nirguNaH prAkRta-guNa--rahitaH tatas eva-ajo
   nitya-	nitya-
   siddhaḥ tata eva cāvyaktaḥ prākṛta-dehendriyādi-rahitatvān nānyena	sidDaH tatas eva ca-avyaktaH prAkRta-deha-indriya-Adi--rahita-tvAt na-anyena
   vyajyate	vyajyate
   iti svayaṃ prakāśa-dehādir ity arthaḥ | tataś ca	iti svayam prakASa--deha-AdiH iti arTaH | tatas ca
   prakṛti-guṇottha-rāga-dveṣādi-	prakRti-guNa-utTa--rAga-dveza-Adi-
   rahitaś ceti bhāvaḥ | evam evambhūto'pi sveṣu bhakteṣu yā māyā kṛpā	rahitaH ca-iti BAvaH | evam evamBUtaH-api svezu Baktezu yA mAyA kRpA
   tatropito yo guṇo līlā-kautukamaya-viśuddhorjita-sattvākhyas tam	tatra-upitaH yaH guNaH lIlA-kOtukam-aya--viSudDa-Urjita--sattva-AKyaH tam
   āviśyālambya bhagavān nityam eva prakāśita-ṣaḍ-guṇaiśvaryaḥ san, etad apy	AviSya-Alambya BagavAn nityam eva prakASita--zax-guNa-ESvaryaH san, etat api-
   upalakṣaṇaṃ kadācid ity ādau jātaḥ san lokendriyeṣu vyakto'pi san bādhya-	upalakzaNam kadAcid iti AdO jAtaH san loka-indriyezu vyaktaH-api san bADya-
   bādhakatāṃ gataḥ | nija-dṛṣṭi-pathe'pi sthātum asamartheṣu atikṣudreṣu	bADaka-tAm gataH | nija--dRzwi-paTe-api sTAtum asamarTezu ati-kzudrezu
   devāsurādiṣu sva-sāhāyya-pratiyoddhṛtva-sampādanāya svayaṃ sañcāritaṃ	deva-asura-Adizu sva--sAhAyya--pratiyodDR-tva--sampAdanAya svayam saQcAritam
   kiñcit tad-aṃśa-lakṣaṇam eva tejaḥ samāśritya bādhyatāṃ bādhakatāṃ ca	kiQcid tad--aMSa--lakzaNam eva tejaH samASritya bADyatAm bADaka-tAm ca
   gataḥ | yuddha-līlā-vaicitryāya pratiyoddhṛṣu tadānīṃ svasmin	gataH | yudDa--lIlA--vEcitryAya pratiyodDRzu tadAnIm svasmin
   prakāśyamānād api tejaso'dhikaṃ tejo'ṃśaṃ sañcārya bādhyatāṃ parājayaṃ	prakASyamAnAt api tejasaH-aDikam tejaH-aMSam saQcArya bADyatAm parAjayam
   kadācit tu tasmān nūnaṃ sañcārya bādhakatāṃ jayaṃ prāpta ity arthaḥ | syāt	kadAcid tu tasmAt nUnam saQcArya bADaka-tAm jayam prAptaH iti arTaH | syAt-
   kṛpā-dambhayor māyā iti viśva-prakāśaḥ |	kRpA-damBayoH mAyA iti viSva--prakASaH |
   atra saty apy arthāntare bhāgavatānugraha-prayojanatvenaivopakrāntatvād	atra sati api arTa-antare BAgavata-anugraha--prayojana-tvena-eva-upakrAnta-tvAt-
   upasaṃhariṣyamāṇatvāc ca gati-sāmānyāc ca chala-maya-māyayā tat-tat-	upasaMharizyamANa-tvAt ca gati--sAmAnyAt ca Cala-maya--mAyayA tat-tat-
   kartṛtve'py adhika-doṣāpātāc ca tan nāpekṣate | tasmād bhakta-vinodaika-	kartR-tve-api aDika-doza-ApAtAt ca tat na-apekzate | tasmAt Bakta-vinoda-eka-
   prayojanaka-svaira-līlā-kaivalyenānyatra rāga-dveṣābhāvān nātra vaiṣamyam	prayojana-ka-svEra--lIlA--kEvalyena-anyatra rAga--dveza-aBAvAt na-atra vEzamyam
   iti bhāvaḥ | ataeva bādhyatām api yātīti bādhaktayā sahaivoktam | tathā	iti BAvaH | ataeva bADyatAm api yAti-iti bADaktayA saha-eva-uktam | taTA
   nija-	nija-
   svarūpa-śakti-vilāsa-lakṣaṇa-līlāviṣkāreṇa sarveṣām eva hitaṃ	svarUpa--Sakti-vilAsa--lakzaNa--lIlA-vizkAreNa sarvezAm eva hitam
   paryavasyatīti	paryavasyati-iti
   suhṛttādikaṃ ca nāpayātīti dhvanitam |	suhRtta-Adikam ca na-apayAti-iti Dvanitam |
   atha kathaṃ so'pi viśuddha-sattvākhyo guṇaḥ prākṛto na bhavati kadā vā	aTa kaTam saH-api viSudDa--sattva-AKyaH guNaH prAkRtaH na Bavati kadA vA
   kutra taṃ vīryātiśayaṃ sañcārayati kathāṃ vā kṛta-hānya-kṛtābhyābhyāgama-	kutra tam vIrya-atiSayam saQcArayati kaTAm vA kRta-hAnya-kRtABya-aByAgama-
   prasaṅgo na bhavatīty ādikam āśaṅkyāha dvābhyām --	prasaFgaH na Bavati-iti Adikam ASaFkya-Aha dvAByAm --
   sattvaṃ rajas tama iti	sattvam rajaH tamaH iti
   prakṛter nātmano guṇāḥ |	prakRteH na-AtmanaH guNAH |
   na teṣāṃ yugapad rājan	na tezAm yugapad rAjan
   hrāsa ullāsa eva vā || [BhP 7.1.7]	hrAsaH ullAsaH eva vA || [Bhj 7.1.7]
   sattvādayo guṇāḥ prakṛter eva nātmanaḥ | ātmanaḥ parameśvarasya tasya tu	sattva-AdayaH guNAH prakRteH eva na-AtmanaH | AtmanaH parameSvarasya tasya tu
   ye sarve'pi nityam evollāsino guṇās te tu te na bhavantīty arthaḥ | tad	ye sarve-api nityam eva-ullAsinaH guNAH te tu te na Bavanti-iti arTaH | tat-
   uktam -	uktam -
   sattvādayo na santīśa [ViP 1.9.44] iti |	sattva-AdayaH na santi-ISaH [ViS 1.9.44] iti |
   hlādinī sandhinī saṃvit	hlAdinI sanDinI saMvid-
