   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   | madhu dyaur astu naḥ pitā || [PS 19.45.5 7]>	| maDu dyOH astu naH pitA || [PH 19.45.5 7]>
   (KauśS_12,2[91].2) tat <sūryasya tvā cakṣuṣā pratīkṣe [PS 20.57.11, VaitS	(KOSS_12,2[91].2) tat <sUryasya tvA cakzuzA pratIkze [PS 20.57.11, VEtS
   3.8, GB 2.1.2, etc.]> iti pratīkṣate	3.8, GB 2.1.2, ed c.]> iti pratIkzate
   (KauśS_12,2[91].3) <ayuto 'ham [19.51.1]> <devasya tvā savituḥ	(KOSS_12,2[91].3) <ayutaH aham [19.51.1]> <devasya tvA savituH
   [19.51.2]>_iti pratigṛhya puromukhaṃ prāgdaṇḍaṃ nidadhāti	[19.51.2]>_iti pratigRhya puromuKam prAc daNxam nidaDAti
   (KauśS_12,2[91].4) <pṛthivyās tvā nābhau sādayāmy adityā upasthe [VaitS	(KOSH _12,2[91].4) <pRTivyAH tvA nABO sAdayAmi adityAH upasTe [VEtS
   3.10, etc.]>_iti bhūmau pratiṣṭhāpya	3.10, ed c.]>_iti BUmO pratizWApya
   (KauśS_12,2[91].5) dvābhyām aṅgulibhyāṃ pradakṣiṇam	(KOSS_12,2[91].5) dvAByAm aFguliByAm pradakziNam
   ācālyānāmikayāṅgulyāṅguṣṭhena ca saṃgṛhya prāśnāti	AcAlya AnAmikayA aFgulyA aFguzWena ca saMgRhya prASnAti
   (KauśS_12,2[91].6) <oṃ bhūs tat savitur vareṇyaṃ bhūḥ svāhā [.RV 3.62.10a	(KOSS_12,2[91].6) <om BUH tat savituH vareNyam BUH svAhA [.RV 3.62.10a
   e.a.]>_iti prathamam	e.a.]>_iti praTamam
   (KauśS_12,2[91].7) <bhargo devasya dhīmahi bhuvaḥ svāhā [.RV 3.62.10b	(KOSS_12,2[91].7) <BargaH devasya DImahi BuvaH svAhA [.RV 3.62.10b
   e.a.]>_iti dvitīyam	e.a.]>_iti dvitIyam
   (KauśS_12,2[91].8) <dhiyo yo naḥ pracodayāt svaḥ svāhā [.RV 3.62.10c	(KOSS_12,2[91].8) <DiyaH yaH naH pracodayAt svar svAhA [.RV 3.62.10c
   e.a.]>_iti tṛtīyam	e.a.]>_iti tRtIyam
   (KauśS_12,2[91].9) <vayaṃ devasya dhīmahi janat svāhā [.RV 3.62.10d	(KOSS_12,2[91].9) <vayam devasya DImahi janat svAhA [.RV 3.62.10d
   e.a.]>_iti caturtham	e.a.]>_iti caturTam
   (KauśS_12,2[91].10) <turaṃ devasya bhojanaṃ vṛdhat svāhā [ , cf. .RV	(KOSH _12,2[91].10) <turam devasya Bojanam vRDat svAhA [ , cf. .RV
   5.82.1]>_iti pañcamam	5.82.1]>_iti paQcamam
   (KauśS_12,2[91].11) <karat svāhā>_iti ṣaṣṭham	(KOSS_12,2[91].11) <karat svAhA>_iti zazWam
   (KauśS_12,2[91].12) <ruhat svāhā>_iti saptamam	(KOSS_12,2[91].12) <ruhat svAhA>_iti saptamam
   (KauśS_12,2[91].13) <mahat svāhā>_ity aṣṭamam	(KOSS_12,2[91].13) <mahat svAhA>_iti azwamam
   (KauśS_12,2[91].14) <tat svāhā>_iti navamam	(KOSH _12,2[91].14) <tat svAhA>_iti navamam
   (KauśS_12,2[91].15) <śaṃ svāhā>_iti daśamam	(KOSS_12,2[91].15) <Sam svAhA>_iti daSamam
   (KauśS_12,2[91].16) <om> iti ekādaśam	(KOSS_12,2[91].16) <om> iti ekAdaSam
   (KauśS_12,2[91].17) tūṣṇīṃ dvādaśam	(KOSH _12,2[91].17) tUzNIm dvAdaSam
   (KauśS_12,2[91].18) tasya bhūyomātram iva bhuktvā brāhmaṇāya śrotriyāya	(KOSS_12,2[91].18) tasya BUyomAtram iva BuktvA brAhmaNAya SrotriyAya
   prayachet	prayaCet 
   (KauśS_12,2[91].19) śrotriyālābhe vṛṣalāya prayachet	(KOSH _12,2[91].19) Srotriya alABe vRzalAya prayaCet 
   (KauśS_12,2[91].20) athāpy ayaṃ nigamo bhavati | <somam etat pibati yat	(KOSS_12,2[91].20) aTa api ayam nigamaH Bavati | <somam etat pibati yat 
   kiṃ cāśnīta brāhmaṇāḥ | mābrāhmaṇāyocchiṣṭaṃ +dāt [em. Falk, m.c.;	kim ca aSnIta brAhmaNAH | mA brAhmaNAya ucCizwam +dAt [em. Falk, m.c.;
   ed./Lāṭy;SS dāta] mā somaṃ pātv asomapaḥ [cf. Lāṭy;SS 2.12.17]>_iti	ed./LAwy;H S dAta] mA somam pAtu asomapaH [cf. LAwy;SS 2.12.17]>_iti
   (KauśS_12,3[92].1) dadhi ca madhu brāhmo madhuparkaḥ	(KOSS_12,3[92].1) daDi ca maDu brAhmaH maDuparkaH
   (KauśS_12,3[92].2) pāyasa aindro madhuparkaḥ	(KOSS_12,3[92].2) pAyasaH EndraH maDuparkaH
   (KauśS_12,3[92].3) madhu cājyaṃ ca saumyo madhuparkaḥ	(KOSS_12,3[92].3) maDu ca Ajyam ca sOmyaH maDuparkaH
   (KauśS_12,3[92].4) manthaś cājyaṃ ca pauṣṇo madhuparkaḥ	(KOSS_12,3[92].4) manTaH ca Ajyam ca pOzNaH maDuparkaH
   (KauśS_12,3[92].5) kṣīraṃ cājyaṃ ca sārasvato madhuparkaḥ	(KOSS_12,3[92].5) kzIram ca Ajyam ca sArasvataH maDuparkaH
   (KauśS_12,3[92].6) surā cājyaṃ ca mausalo madhuparkaḥ	(KOSS_12,3[92].6) surA ca Ajyam ca mOsalaH maDuparkaH
   (KauśS_12,3[92].7) sa khalu_eṣa dvaye bhavati sautrāmaṇyāṃ ca rājasūye ca	(KOSS_12,3[92].7) sa Kalu_eza dvaye Bavati sOtrAmaNyAm ca rAjasUye ca
   (KauśS_12,3[92].8) udakaṃ cājyaṃ ca vāruṇo madhuparkaḥ	(KOSS_12,3[92].8) udakam ca Ajyam ca vAruNaH maDuparkaH
   (KauśS_12,3[92].9) tailaṃ cājyaṃ ca śrāvaṇo madhuparkaḥ	(KOSS_12,3[92].9) tElam ca Ajyam ca SrAvaNaH maDuparkaH
   (KauśS_12,3[92].10) tailaś ca piṇḍaś ca pārivrājako madhuparkaḥ	(KOSH _12,3[92].10) tElaH ca piNxaH ca pArivrAjakaH maDuparkaH
   (KauśS_12,3[92].11) iti khalu_eṣa navavidho madhuparko bhavati	(KOSS_12,3[92].11) iti Kalu_eza navaviDaH maDuparkaH Bavati
   (KauśS_12,3[92].12) athāsmai gāṃ vedayante gaur bho iti	(KOSS_12,3[92].12) aTa asmE gAm vedayante gOH Bo iti
   (KauśS_12,3[92].13) tān pratimantrayate | <bhūtam asi bhavad asy annaṃ	(KOSS_12,3[92].13) tAn pratimantrayate | <BUtam asi Bavat asi annam
   prāṇo bahur bhava | jyeṣṭhaṃ yan nāma nāmata oṃ bhūr bhuvaḥ svar janad om	prANaH bahuH Bava | jyezWam yat nAma nAmataH om BUH BuvaH svar janat om
   [ ]> iti	[ ]> iti
   (KauśS_12,3[92].14) atisṛjati | <mātādityānāṃ duhitā vasūnāṃ svasā	(KOSS_12,3[92].14) atisRjati | <mAtA AdityAnAm duhitA vasUnAm svasA
   rudrāṇām amṛtasya nābhiḥ | pra ṇo vocaṃ cikituṣe janāya mā gām anāgām	rudrANAm amRtasya nABiH | pra NaH vocam cikituze janAya mA gAm anAgAm
   aditiṃ vadhiṣṭa || [cf. .RV 8.101.15]> oṃ tṛṇāni gaur attv iti āha	aditim vaDizwaH || [cf. .RV 8.101.15]> om tRNAni gOH attu iti Aha
   (KauśS_12,3[92].15) <sūyavasād [7.73.11]> iti pratiṣṭhamānām anumantrayate	(KOSS_12,3[92].15) <sUya vasAt [7.73.11]> iti pratizWamAnAm anumantrayate
   (KauśS_12,3[92].16) nālohito madhuparko bhavati	(KOSS_12,3[92].16) na AlohitaH maDuparkaH Bavati
   (KauśS_12,3[92].17) nānujñānam adhīmahe_iti kuruta_ity eva brūyāt	(KOSS_12,3[92].17) na anujQAnam aDImahe_iti kurutaH _iti eva brUyAt 
   (KauśS_12,3[92].18) <svadhite mainaṃ hiṃsīḥ [VSM 6.15, ManB 1.6.6]>_iti	(KOSS_12,3[92].18) <svaDite mA enam hiMsIH [VSm 6.15, ManB 1.6.6]>_iti
   śastraṃ prayachati	Sastram prayaCati
   (KauśS_12,3[92].19) pāpmānaṃ me 'pa jahīti kartāram anumantrayate	(KOSS_12,3[92].19) pApmAnam me apa jahi iti kartAram anumantrayate
   (KauśS_12,3[92].20) āgneyīṃ vapāṃ kuryuḥ	(KOSS_12,3[92].20) AgneyIm vapAm kuryuH
   (KauśS_12,3[92].21) api vā brāhmaṇa eva prāśnīyāt tad devataṃ hi tad	(KOSS_12,3[92].21) api vA brAhmaNaH eva prASnIyAt tat devatam hi tat 
   dhavir bhavati	DaviH Bavati
   (KauśS_12,3[92].22) athāsmai snānam anulepanaṃ mālābhyañjanam iti	(KOSS_12,3[92].22) aTa asmE snAnam anulepanam mAlA aByaQjanam iti
   (KauśS_12,3[92].23) yad atra_upasamāhāryaṃ bhavati tad upasamāhṛtya	(KOSS_12,3[92].23) yat atra_upasamAhAryam Bavati tat upasamAhRtya
   (KauśS_12,3[92].24) atha_upāsakāḥ prāya_upāsakāḥ smo bho iti vedayante	(KOSS_12,3[92].24) aTa_upAsakAH prAyas _upAsakAH smaH Bo iti vedayante
   (KauśS_12,3[92].25) tān pratimantrayate | <bhūyāṃso bhūyāsma ye ca no	(KOSS_12,3[92].25) tAn pratimantrayate | <BUyAMsaH BUya asma ye ca no
   bhūyasaḥ kārṣṭāpi ca no 'nye bhūyāṃso jāyantām>	BUyasaH kArzwA api ca naH anye BUyAMsaH jAyantAm>
   (KauśS_12,3[92].26) asya ca dātur iti dātāram īkṣate	(KOSS_12,3[92].26) asya ca dAtuH iti dAtAram Ikzate
   (KauśS_12,3[92].27) athānnāhārāḥ prāpyānnāhārāḥ smo bho iti vedayante	(KOSS_12,3[92].27) aTa anna AhArAH prApya anna AhArAH smaH Bo iti vedayante
   (KauśS_12,3[92].28) tān pratimantrayate | <annādā bhūyāsma ye ca no 'nādān	(KOSS_12,3[92].28) tAn pratimantrayate | <annAdAH BUyAsma ye ca naH anAdAn
   kārṣṭāpi ca no 'nye 'nnādā bhūyāṃso jāyantām>	kArzwA api ca naH anye anna AdAH BUyAMsaH jAyantAm>
   (KauśS_12,3[92].29) asya ca dātur iti dātāram īkṣate	(KOSS_12,3[92].29) asya ca dAtuH iti dAtAram Ikzate
   (KauśS_12,3[92].30) āhṛte_anne juhoti <yat kāma kāmayamānā [19.52.1,	(KOSS_12,3[92].30) AhRte_anne juhoti <yat kAma kAmayamAnAH [19.52.1,
   sakala follows thus PS 1.30.5]> ity etayā	sakala fa ullowH TuH PH 1.30.5]> iti etayA
   (KauśS_12,3[92].31) <yat kāma kāmayamānā idaṃ kṛṇmasi te haviḥ | tan naḥ	(KOSS_12,3[92].31) <yat kAma kAmayamAnAH idam kRNmasi te haviH | tat naH
   sarvaṃ sam ṛdhyatām athaitasya haviṣo vīhi svāhā [19.52.1, sakala thus PS	sarvam sam RDyatAm aTa etasya havizaH vIhi svAhA [19.52.1, sakala TuH PS
   1.30.5]>_iti	1.30.5]>_iti
   (KauśS_12,3[92].32) eṣa ācāryakalpa eṣa ṛtvikkalpa eṣa saṃyuktakalpa eṣa	(KOSS_12,3[92].32) ezaH AcArya kalpaH ezaH Rtvij kalpaH eza saMyukta kalpaH eza
   vivāhakalpa eṣo_atithikalpa eṣo 'tithikalpaḥ	vivAha kalpaH ezaH _atiTi kalpaH ezaH atiTi kalpaH
   (KauśS 12 Colophon) iti atharvavede kauśikasūtre dvādaśo 'dhyāyaḥ samāptaḥ	(KOSH 12 SoloPon) iti aTarvavede kOSika sUtre dvAdaSaH aDyAyaH samAptaH
   (KauśS_13,1[93].1) athādbhutāni	(KOSS_13,1[93].1) aTa adButAni
   (KauśS_13,1[93].2) varṣe	(KOSS_13,1[93].2) varze
   (KauśS_13,1[93].3) yakṣeṣu	(KOSS_13,1[93].3) yakzezu
   (KauśS_13,1[93].4) gomāyuvadane	(KOSH _13,1[93].4) gomAyu vadane
   (KauśS_13,1[93].5) kule kalahini	(KOSH _13,1[93].5) kule kalahini
   (KauśS_13,1[93].6) bhūmicale	(KOSS_13,1[93].6) BUmicale
   (KauśS_13,1[93].7) ādityopaplave	(KOSS_13,1[93].7) Aditya upaplave
   (KauśS_13,1[93].8) candramasaś ca	(KOSH _13,1[93].8) candramasaH ca
   (KauśS_13,1[93].9) auṣasyām anudyatyām	(KOSH _13,1[93].9) OzasyAm anudyatyAm
   (KauśS_13,1[93].10) samāyāṃ dāruṇāyām	(KOSS_13,1[93].10) samAyAm dAruNAyAm
   (KauśS_13,1[93].11) upatārakaśaṅkāyām	(KOSS_13,1[93].11) upatAraka SaFkAyAm
   (KauśS_13,1[93].12) brāhmaṇeṣu_āyudhiṣu	(KOSH _13,1[93].12) brAhmaNezu_AyuDizu
   (KauśS_13,1[93].13) daivateṣu nṛtyatsu cyodatsu hasatsu gāyatsu	(KOSS_13,1[93].13) dEvatezu nRtyatsu cyodatsu hasatsu gAyatsu
   (KauśS_13,1[93].14) lāṅgalayoḥ saṃsarge	(KOSH _13,1[93].14) lAFgalayoH saMsarge
   (KauśS_13,1[93].15) rajjvos tanvoś ca	(KOSH _13,1[93].15) rajjvoH tanvoH ca
   (KauśS_13,1[93].16) agnisaṃsarge	(KOSH _13,1[93].16) agni saMsarge
   (KauśS_13,1[93].17) yamavatsāyāṃ havi	(KOSS_13,1[93].17) yama vatsAyAm havi
   (KauśS_13,1[93].18) vaḍavāgardabhyor mānuṣyāṃ ca	(KOSS_13,1[93].18) vaxavAgardaByoH mAnuzyAm ca
   (KauśS_13,1[93].19) yatra dhenavo lohitaṃ duhate	(KOSS_13,1[93].19) yatra DenavaH lohitam duhate
   (KauśS_13,1[93].20) anaḍuhi dhenuṃ dhayati	(KOSS_13,1[93].20) anaxuhi Denum Dayati
   (KauśS_13,1[93].21) dhenau dhenuṃ dhayantyām	(KOSS_13,1[93].21) DenO Denum DayantyAm
   (KauśS_13,1[93].22) ākāśaphene	(KOSS_13,1[93].22) AkASa Pene
   (KauśS_13,1[93].23) pipīlikānācāre	(KOSS_13,1[93].23) pipIlikAn AcAre
   (KauśS_13,1[93].24) nīlamakṣānācāre	(KOSH _13,1[93].24) nIlam akzAn AcAre
   (KauśS_13,1[93].25) madhumakṣānācāre	(KOSH _13,1[93].25) maDumakzAn AcAre
   (KauśS_13,1[93].26) anājñāte	(KOSS_13,1[93].26) anAjQAte
   (KauśS_13,1[93].27) avadīrṇe	(KOSS_13,1[93].27) avadIrNe
   (KauśS_13,1[93].28) anudaka udakonmīle	(KOSH _13,1[93].28) anudakaH udaka unmIle
   (KauśS_13,1[93].29) tileṣu samataileṣu	(KOSH _13,1[93].29) tilezu sama tElezu
   (KauśS_13,1[93].30) haviḥṣu_abhimṛṣṭeṣu	(KOSS_13,1[93].30) haviHzu_aBimRzwezu
   (KauśS_13,1[93].31) prasavyeṣu_āvarteṣu	(KOSS_13,1[93].31) prasavyezu_Avartezu
   (KauśS_13,1[93].32) yūpe virohati	(KOSS_13,1[93].32) yUpe virohati
   (KauśS_13,1[93].33) ulkāyām	(KOSH _13,1[93].33) ulkAyAm
   (KauśS_13,1[93].34) dhūmaketau saptarṣīn upadhūpayati	(KOSS_13,1[93].34) DUmaketO saptarzIn upaDUpayati
   (KauśS_13,1[93].35) nakṣatreṣu patāpateṣu	(KOSS_13,1[93].35) nakzatrezu patApatezu
   (KauśS_13,1[93].36) māṃsamukhe nipatati	(KOSS_13,1[93].36) mAMsa muKe nipatati
   (KauśS_13,1[93].37) anagnau_avabhāse	(KOSS_13,1[93].37) anagnO_avaBAse
   (KauśS_13,1[93].38) agnau śvasati	(KOSH _13,1[93].38) agnO Svasati
   (KauśS_13,1[93].39) sarpiṣi taile madhuni ca viṣyande	(KOSS_13,1[93].39) sarpizi tEle maDuni ca vizyande
   (KauśS_13,1[93].40) grāmye_agnau śālāṃ dahati	(KOSS_13,1[93].40) grAmye_agnO SAlAm dahati
   (KauśS_13,1[93].41) āgantau ca	(KOSS_13,1[93].41) AgantO ca
   (KauśS_13,1[93].42) vaṃśe sphoṭati	(KOSS_13,1[93].42) vaMSe sPowati
   (KauśS_13,1[93].43) kumbhodadhāne vikasati_ukhāyāṃ saktudhānyāṃ ca	(KOSS_13,1[93].43) kumBa udaDAne vikasati_uKAyAm saktuDAnyAm ca
   (KauśS_13,2[94].1) atha yatra_etāni varṣāṇi varṣanti ghṛtaṃ māṃsaṃ madhu	(KOSS_13,2[94].1) aTa yatra_etAni varzANi varzanti GRtam mAMsam maDu
   ca yad dhiraṇyaṃ yāni cāpi_anyāni ghorāṇi varṣāṇi varṣanti tat parābhavati	ca yat DiraNyam yAni ca api_anyAni GorANi varzANi varzanti tat parABavati
   kulaṃ vā grāmo vā janapado vā	kulam vA grAmaH vA janapadaH vA
   (KauśS_13,2[94].2) tatra rājā bhūmipatir vidvāṃsaṃ brahmāṇam ichet	(KOSS_13,2[94].2) tatra rAjA BUmipatiH vidvAMsam brahmANam iCet 
   (KauśS_13,2[94].3) eṣa ha vai vidvān yad bhṛgvaṅgirovit	(KOSS_13,2[94].3) eza ha vE vidvAn yat BRgu aFgiraH vid 
   (KauśS_13,2[94].4) ete ha vā asya sarvasya śamayitāraḥ pālayitāro yad	(KOSH _13,2[94].4) ete ha vE asya sarvasya SamayitAraH pAlayitAraH yat 
   bhṛgvaṅgirasaḥ	BRgu aFgirasaH
   (KauśS_13,2[94].5) sa āha_upakalpayadhvam iti	(KOSS_13,2[94].5) saH Aha_upakalpayaDvam iti
   (KauśS_13,2[94].6) tad upakalpayante kaṃsamahate vasane śuddham ājyaṃ	(KOSS_13,2[94].6) tat upakalpayante kaMsam ahate vasane SudDam Ajyam
   śāntā oṣadhīr navam udakumbham	SAntAH ozaDIH navam uda kumBam
   (KauśS_13,2[94].7) trīṇi parvāṇi karmaṇaḥ paurṇamāsyamāvāsye puṇyaṃ	(KOSH _13,2[94].7) trINi parvANi karmaNaH pOrNamAsyamAvAsye puNyam
   nakṣatram	nakzatram
   (KauśS_13,2[94].8) api ced eva yadā kadā ārtāya kuryāt	(KOSS_13,2[94].8) api ced eva yadA kadA ArtAya kuryAt 
   (KauśS_13,2[94].9) snāto_ahatavasanaḥ surabhir vratavān karmaṇya	(KOSS_13,2[94].9) snAtaH _ahata vasanaH suraBiH vratavAn karmaNya
   upavasati_ekarātraṃ trirātraṃ ṣaḍrātraṃ dvādaśarātraṃ vā	upavasati_eka rAtram tri rAtram zaz rAtram dvAdaSa rAtram vA
   (KauśS_13,2[94].10) dvādaśyāḥ prātar yatra_evādaḥ patitaṃ bhavati tata	(KOSH _13,2[94].10) dvAdaSyAH prAtar yatra_eva AdaH patitam Bavati tata
   uttaram agnim upasamādhāya	uttaram agnim upasamADAya
   (KauśS_13,2[94].11) parisamuhya paryukṣya paristīrya barhir udapātram	(KOSS_13,2[94].11) parisamuhya paryukzya paristIrya barhiH uda pAtram
   upasādya paricaraṇenājyaṃ paricarya	upasAdya paricaraNena Ajyam paricarya
   (KauśS_13,2[94].12) nityān purastāddhomān hutvājyabhāgau ca	(KOSS_13,2[94].12) nityAn purastAt DomAn hutvA Ajya BAgO ca
   (KauśS_13,2[94].13) atha juhoti	(KOSS_13,2[94].13) aTa juhoti
   (KauśS_13,2[94].14) <ghṛtasya dhārā iha yā varṣanti pakvaṃ māṃsaṃ madhu ca	(KOSS_13,2[94].14) <GRtasya DArAH iha yAH varzanti pakvam mAMsam maDu ca
   yad dhiraṇyam | dviṣantam etā anu yantu vṛṣṭayo 'pāṃ vṛṣṭayo bahulāḥ santu	yat DiraNyam | dvizantam etAH anu yantu vRzwayaH apAm vRzwayaH bahulAH santu
   mahyam || lohitavarṣaṃ madhupāṃsuvarṣaṃ yad vā varṣaṃ ghoram aniṣṭam anyat	mahyam || lohita varzam maDu pAMsu varzam yat vA varzam Goram anizwam anyat 
   | dviṣantam ete anu yantu sarve parāñco yantu nirvartamānāḥ || agnaye	| dvizantam ete anu yantu sarve parAQcaH yantu nirvartamAnAH || agnaye
   svāhā [ ]>_iti hutvā	svAhA [ ]>_iti hutvA
   (KauśS_13,2[94].15) <divyo gandharvo [2.2.1]>_iti mātṛnāmabhir juhuyāt	(KOSS_13,2[94].15) <divyaH ganDarvaH [2.2.1]>_iti mAtR nAmaBiH juhuyAt 
   (KauśS_13,2[94].16) varam anaḍvāham brāhmaṇaḥ kartre dadyāt	(KOSS_13,2[94].16) varam anaxvAham brAhmaNaH kartre dadyAt 
   (KauśS_13,2[94].17) sīraṃ vaiśyo_aśvaṃ prādeśiko grāmavaraṃ rājā	(KOSS_13,2[94].17) sIram vESyaH _aSvam prAdeSikaH grAma varam rAjA
   (KauśS_13,2[94].18) sā tatra prāyaścittiḥ	(KOSS_13,2[94].18) sA tatra prAyaScittiH
   (KauśS_13,3[95].1) atha yatra_etāni yakṣāṇi dṛśyante tad	(KOSS_13,3[95].1) aTa yatra_etAni yakzANi dRSyante tat 
   yathā_etat_markaṭaḥ śvāpado vāyasaḥ puruṣarūpam iti tad evam āśaṅkyam eva	yaTA_etat _markawaH SvApadaH vAyasaH puruza rUpam iti tat evam ASaFkyam eva
   bhavati	Bavati
   (KauśS_13,3[95].2) tatra juhuyāt	(KOSH _13,3[95].2) tatra juhuyAt 
   (KauśS_13,3[95].3) <yan markaṭaḥ śvāpado vāyaso yadīdaṃ rāṣṭraṃ jātavedaḥ	(KOSS_13,3[95].3) <yat markawaH SvApadaH vAyasaH yadi idam rAzwram jAtavedaH
   patāti puruṣarakṣasaṃ iṣiraṃ yat patāti | dviṣantam ete anu yantu sarve	patAti puruza rakzasam iziram yat patAti | dvizantam ete anu yantu sarve
   parāñco yantu nivartamānāḥ || agnaye svāhā [ ]>_iti hutvā	parAQcaH yantu nivartamAnAH || agnaye svAhA [ ]>_iti hutvA
   (KauśS_13,3[95].4) <divyo gandharvo [2.2.1]>_iti mātṛnāmabhir juhuyāt	(KOSS_13,3[95].4) <divyaH ganDarvaH [2.2.1]>_iti mAtR nAmaBiH juhuyAt 
   (KauśS_13,3[95].5) sā tatra prāyaścittiḥ	(KOSS_13,3[95].5) sA tatra prAyaScittiH
   (KauśS_13,4[96].1) atha ha gomāyū nāma maṇḍūkau yatra vadatas tad	(KOSS_13,4[96].1) aTa ha gomAyU nAma maNxUkO yatra vadataH tat 
   yat_manyante māṃ prati vadato māṃ prati vadata iti tad evam āśaṅkyam eva	yat _manyante mAm prati vadataH mAm prati vadate iti tat evam ASaFkyam eva
   bhavati	Bavati
   (KauśS_13,4[96].2) tatra juhuyāt	(KOSH _13,4[96].2) tatra juhuyAt 
   (KauśS_13,4[96].3) <yad gomāyū vadato jātavedo 'nyayā vācābhi jañjabhātaḥ	(KOSS_13,4[96].3) <yat gomAyU vadataH jAtavedaH anyayA vAcA aBi jaQjaBAtaH
   | rathaṃtaraṃ bṛhac ca sāmaitad dviṣantam etāv abhi nānadaitām ||	| raTaMtaram bRhat ca sAma etat dvizantam etO aBi nAnadA etAm ||
   rathaṃtareṇa tvā bṛhac chamayāmi bṛhatā tvā rathaṭaraṃ śamayāmi | indrāgnī	raTaMtareNa tvA bRhat SamayAmi bRhatA tvA raTawaram SamayAmi | indra agnI
   tvā brahmaṇā vāvṛdhānāv āyuṣmantāv uttamaṃ tvā karāthaḥ || indrāgnibhyāṃ	tvA brahmaNA vAvRDAnO AyuzmantO uttamam tvA karATaH || indra agniByAm
   svāhā [ , PS 1.83.4cd]>_iti hutvā	svAhA [ , PS 1.83.4cd]>_iti hutvA
   (KauśS_13,4[96].4) <divyo gandharvo [2.2.1]>_iti mātṛnāmabhir juhuyāt	(KOSS_13,4[96].4) <divyaH ganDarvaH [2.2.1]>_iti mAtR nAmaBiH juhuyAt 
   (KauśS_13,4[96].5) sā tatra prāyaścittiḥ	(KOSS_13,4[96].5) sA tatra prAyaScittiH
   (KauśS_13,5[97].1) atha yatra_etat kulaṃ kalahi bhavati tan nirṛtigṛhītam	(KOSS_13,5[97].1) aTa yatra_etat kulam kalahi Bavati tat nirRti gRhItam
   ity ācakṣate	iti Acakzate
   (KauśS_13,5[97].2) tatra juhuyāt	(KOSH _13,5[97].2) tatra juhuyAt 
   (KauśS_13,5[97].3) <ārād arātim [8.2.12]> iti dve	(KOSS_13,5[97].3) <ArAt arAtim [8.2.12]> iti dve
   (KauśS_13,5[97].4) <ayāś cāgne 'sy anabhiśastiś ca satyam it tvam ayā asi	(KOSH _13,5[97].4) <ayAH ca agne asi anaBiSastiH ca satyam id tvam ayAH asi
   | ayāsā manasā kṛto 'yās +san [ed. 'yāsya] havyam ūhiṣe | ā [+ayā?] no	| ayAsAH manasA kRtaH ayAH +san [ed. ayAsya] havyam Uhize | A [+ayA?] no
   dhehi bheṣajam | [MS 1.4.3:51.10, KS 5.4:57.1 4, KauśS 1.5.12 etc.]> ||	Dehi Bezajam | [n 1.4.3:51.10, KH 5.4:57.1 4, KOSS 1.5.12 ed c.]> ||
   <svāhā>_ity agnau hutvā	<svAhA>_iti agnO hutvA
   (KauśS_13,5[97].5) tatra_eva_etān homāñ juhuyāt	(KOSS_13,5[97].5) tatra_eva_etAn homAn juhuyAt 
   (KauśS_13,5[97].6) <ārād agniṃ kravyādaṃ nirūhañ jivātave te paridhiṃ	(KOSH _13,5[97].6) <ArAt agnim kravyAdam nirUhan jivAtave te pariDim
   dadhāmi | indrāgnī tvā brahmaṇā vāvṛdhānāv āyuṣmantāv uttamaṃ tvā karāthaḥ	daDAmi | indra agnI tvA brahmaNA vAvRDAnO AyuzmantO uttamam tvA karATaH
   || indrāgnibhyāṃ svāhā [8.2.9cd, PS 16.3.8cd; PS 1.83.4cd]>_iti hutvā	|| indra agniByAm svAhA [8.2.9cd, PH 16.3.8cd; PH 1.83.4cd]>_iti hutvA
   (KauśS_13,5[97].7) <apeta etu nirṛtir [PS 19.23.4ff.]> ity anena sūktena	(KOSS_13,5[97].7) <apetaH etu nirRtiH [PS 19.23.4ff.]> iti anena sUktena
   juhuyāt	juhuyAt 
   (KauśS_13,5[97].8) <apeta etu nirṛtir nehāsyā api kiṃ cana | apāsyāḥ	(KOSS_13,5[97].8) <apetaH etu nirRtiH na iha AsyAH api kim cana | apAsyAH
   satvanaḥ pāśān mṛtyūn ekaśataṃ nude || ye te pāśā ekaśataṃ mṛtyo martyāya	satvanaH pASAt mRtyUn eka Satam nude || ye te pASAH eka Satam mRtyo martyAya
   hantave | tāṃs te yajñasya māyayā sarvā;m apa yajāmasi || nir ito yantu	hantave | tAn te yajQasya mAyayA sarvA;m apa yajAmasi || niH itas yantu
   nairṛtyā mṛtyava ekaśataṃ paraḥ sedhāmaiṣāṃ yat tamaḥ prāṇaṃ jyotiś ca	nErRtyAH mRtyavaH eka Satam paraH seDAmA ezAm yat tamaH prANam jyotiH ca
   dadhmahe || [PS 19.23.4 6]> <ye te śataṃ varuṇa ye sahasraṃ yajñiyāḥ pāśā	daDmahe || [PS 19.23.4 6]> <ye te Satam varuNa ye sahasram yajQiyAH pASA
   vitatā mahāntaḥ | tebhyo asmān varuṇaḥ soma indro viśve muñcantu marutaḥ	vitatAH mahAntaH | teByaH asmAn varuNaH somaH indraH viSve muQcantu marutaH
   svarkāḥ || [PS 18.82.7]> <brahma bhrājad udagād antarikṣaṃ divaṃ ca	su arkAH || [PS 18.82.7]> <brahma BrAjat udagAt antarikzam divam ca
