   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   cakṣuḥsparśanagrāhyatve sati guṇatvāvāntarajātyā svāśrayavyavartakaḥ	cakzuH-sparSana-grAhya-tve sati guNa-tva-avAntara-jAtyA sva-ASraya-vyavartakaH
   snehaḥ /	snehaH /
   (21 saṃskārasya nirūpaṇam--)	(21 saMskArasya nirUpaNam--)
   (1 vegaḥ--) vimatipadamadviṣṭhakarmāsamavāyikāraṇāśrayaḥ paramāṇutvāt,	(1 vegaH--) vimati-pada-madvizWa-karma-asamavAyi-kAraNa-ASrayaH parama-aNu-tva-at,
   pārthivaparamāṇuvat /	pArTiva-paramANu-vat /
   na ca rūpitvamupādhiḥ, āloke vyabhicārāt /	na ca rUpi-tvam-upADiH, Aloke vyaBicArAt /
   na ca rūpyaṇutvaṃ prayojakam, sapakṣāvyāpakatvāt /	na ca rUpi-aNu-tvam prayojakam, sa-pakza-avyApaka-tvAt /
   prativaddhadravatvasya taijasadvyaṇukasyāpyutpattisambhavāt,	prativadDa-drava-tvasya tEjasat-vi-aNukasya-api-utpatti-samBavAt,
   tannivṛtyarthaṃ paramāṇutve satīti viśeṣaṇe vaiyarthyam /	tad-nivRti-arTam parama-aNu-tve sati-iti viSezaNe vEyarTyam /
   sa ca vegaḥ pratyakṣe dravye pratyakṣeṇaiva gṛhyate, vegena gacchatīti	sa ca vegaH pratyakze dravye pratyakzeNa-eva gRhyate, vegena gacCati-iti
   pratīteḥ /	pratIteH /
   (2 sthitisthāpakaḥ--) vivādādhyāsitāḥ paramāṇavaḥ	(2 sTiti-sTApakaH--) vivAda-aDyAsitAH paramANavaH
   [karmāsamavāyikāraṇādviṣṭhaguṇā]dhārāḥ,	[karmA-samavAyi-kAraNAt-vizWa-guNA]-DArAH,
   sparśavattvādaśrautrānityaviśeṣaguṇattvādiṣuvadātmavacca /	sparSavat-tvAt-aSrOtra-anitya-viSeza-guNattvAt-izu-vat-Atma-vat-ca /
   anyathākṛṣṭamuktānāṃ śākhādīnāṃ punarmaṇḍalībhāvo na syāt /	anyaTA-AkRzwa-muktAnAm SAKA-AdInAm punar-maNxalIBAvaH na syAt /
   vivādādhyāsito vegātiriktasaṃskārāśrayaḥ, aśrautrānityaviśeṣaguṇavattvād,	vivAda-aDyAsitaH vega-atirikta-saMskAra-ASrayaH, aSrOtra-anitya-viSeza-guNavat-tvAt-,
   ātmavaditi sthitisthāpakasiddhiḥ /	Atma-vat-iti sTiti-sTApaka-sidDiH /
   unnamanakarmāsamavāyikāraṇādviṣṭhaguṇāvāntarajātīyaḥ saṃskāraḥ	unnamana-karma-asamavAyi-kAraNAt-vizWa-guNa-avAntara-jAtIyaH saMskAraH
   sthitisthāpakaḥ /	sTiti-sTApakaH /
   (3 bhāvanā--) smṛttyanyathānupapattyā bhāvanāsiddhiḥ /	(3 BAvanA--) smRtti-anyaTA-anupapattyA BAvanA-sidDiH /
   pūrvānubhavasya cirātītatvāt /	pUrva-anuBavasya cira-atIta-tvAt /
   svotpādakānityajñānasamānaviṣayajñānajanakena guṇāvāntarajātīyā bhāvanā /	sva-utpAdaka-anitya-jQAna-samAna-vizaya-jQAna-janakena guNa-avAntara-jAtIyAH BAvanA /
   (22--23 dharmādharmayornirūpaṇam)	(22--23 Darma-aDarmayoH-nirUpaNam)
   (1 dharmaḥ--) yāgaḥ svargotpādanasamarthāvāntaravyāpārakaḥ, anyathā	(1 DarmaH--) yAgaH svarga-utpAdana-samarTa-avAntara-vyApArakaH, anyaTA
   yāgasvargayoḥ sādhyasādhanabhāvasya pratītasyānirvāhāt /	yAga-svargayoH sADya-sADana-BAvasya pratItasya-anirvAhAt /
   pratīyate ca kāmanāviṣayatvena sādhyatvaṃ svargasya, vidhibalādyāgasya	pratIyate ca kAmanA-vizaya-tvena sADya-tvam svargasya, viDi-balAt-yAgasya
   sādhanatvenānuṣṭheyatvam /	sADana-tvena-anuzWeya-tvam /
   na ca vācyaṃ sādhyasādhanabhāvaḥ kṣaṇikasya yāgasya kālāntarabhāvini	na ca vAcyam sADya-sADana-BAvaH kzaNikasya yAgasya kAla-antara-BAvini
   svarge vināvāntaravyāpāraṃ upapadyate iti madhye 'pūrvasiddhiḥ /	svarge vinA-ava-antara-vyApAram upapadyate iti maDye apUrva-sidDiH /
   apare ca yāgasvargayoḥ sādhyasādhanabhāvo nāpūrvavākyātpratīyate,	apare ca yAga-svargayoH sADya-sADana-BAvaH na-apUrva-vAkyAt-pratIyate,
   yogyatāvirahāt /	yogya-tA-virahAt /
   ato liṅevāpūrvamabhidhatte, vyutpattistu lokavedābhyām /	atas liFA-iva-apUrvam-aBiDatte, vyutpattiH-tu loka-vedAByAm /
   loke 'pi kriyākārye liṅprayogadarśanāditi bruvate /	loke api kriyA-kArye liFprayoga-darSanAt-iti bruvate /
   tatrānyathākhyātipakṣe yogyatāmantareṇāpi pratipatterabhyupagamāt /	tatra-anyaTA-AKyAti-pakze yogyatAm-antareNa-api pratipatteH-aByupagamAt /
   kāmādhikāreṣu phalaṃ prati kāraṇasyaiva satastasya niyogaṃ prati	kAma-aDikArezu Palam prati kAraNasya-eva sataH-tasya niyogam prati
   viṣayatvābhyupagamāt /	vizaya-tva-aByupagamAt /
   anyathā nityakāmyavaiṣamyavigamaḥ syāt /	anyaTA nitya-kAmya-vEzamya-vigamaH syAt /
   vihitabhāvārthajātyāsmadādyatīndriyātmaguṇo dharmaḥ /	vihita-BAva-arTa-jAtyA-asmad-Adi-ati-indriya-Atma-guNaH DarmaH /
   (3 adharmaḥ--) yo brāhmaṇāyāvagurettaṃ śatena yātayāt' (tai saṃ 2.6.10.2)	(3 aDarmaH--) yaH brAhmaNAya-avaguret-tam Satena yAtayAt-a (tEH sam 2.6.10.2)
   iti śatayātanāyāḥ sādhyatvāvagamāt /	iti Sata-yAtanAyAH sADya-tva-avagamAt /
   avagūrṇasya cirātītatve tatsādhanatvaṃ sākṣādanupapannamityantarāpūrveṇa	avagUrNasya cira-atIta-tve tad-sADana-tvam sAkzAt-anupapannam-iti-antara-apUrveNa
   bhavitavyam /	Bavitavyam /
   adharmatvayogādadharmaḥ /	aDarma-tva-yogAt-aDarmaH /
   (24 śabdasya nirūpaṇam--)	(24 Sabdasya nirUpaNam---)
   1 śabdo guṇaḥ, bāhyendriyāṇāṃ madhye avayavyagrāhakeṇaiva gṛhyamāṇāyā	1 SabdaH guNaH, bAhya-indriyANAm maDye avayavi-a-grAhakeNa-eva gRhyamANAyAH-
   jāteradhikaraṇatvādgandhavat /	jAteH-aDikaraNa-tvAt-ganDa-vat /
   yadi śabdo dravyaṃ syāt, kenacidviśeṣaguṇena bhavitavyam, anyathā	yadi SabdaH dravyam syAt, kenacid-viSeza-guNena Bavitavyam, anyaTA
   pratyakṣatvānupapatteḥ,	pratyakza-tvA-anupapatteH,
   viśeṣaguṇapratyakṣatānibandhanatvāddravyapratyakṣatāyāḥ /	viSeza-guNa-pratyakzatA-nibanDana-tvAt-dravya-pratyakza-tAyAH /
   2 śabdo dravyaṃ sākṣādindriyasambandhena gṛhyamāṇatvādghaṭavaditi cet, na,	2 SabdaH dravyam sAkzAt-indriya-sambanDena gRhyamANa-tvAt-Gawa-vat-iti cet, na,
   vyarthaviśeṣaṇatvāt /	vyarTa-viSezaNa-tvAt /
   na hi bhedābhedavādināṃ rūpādibhirvyavahitaḥ sambandho 'sti /	na hi Beda-aBeda-vAdinAm rUpa-AdiBiH-vyavahitaH sambanDaH asti /
   atha svasambaddhendriyeṇa gṛhyamāṇatvāditi, tathāpi	aTa sva-sambadDa-indriyeNa gRhyamANa-tvAt-iti, taTA-api
   vaiyarthyamindriyapadasya /	vEyarTyam-indriya-padasya /
   svapadasya grāhyapadasya na vyāvartanamasti adravyasya bhavatāṃ naye	sva-padasya grAhya-padasya na vyAvartanam-asti adravyasya BavatAm naye
   sambandhānabhyupagamāt, saṃyogasambandhayoḥ paryāyatvāt,	sambanDa-anaByupagamAt, saMyoga-sambanDayoH paryAya-tvAt,
   anyatropacaritatvāt /	anyatra-upacarita-tvAt /
   anyathā yogyatāsambandhalakṣaṇena rūpasyāpi sākṣātsambandhenāvedyatvena	anyaTA yogyatA-sambanDa-lakzaNena rUpasya-api sAkzAt-sambanDena-Avedya-tvena
   vyabhicāraḥ /	vyaBicAraH /
   sambandhitvāditi prativādyanaikāntikam /	sambanDi-tvAt-iti prativAdi-anEkAntikam /
   3 śabdo guṇo na bhavati, śrāvaṇatvāt, śabdatvavaditi cet, na, adravyatvena	3 SabdaH guNaH na Bavati, SrAvaNa-tva-at, Sabda-tva-vat-iti cet, na, adravya-tvena
   hyasya samānatvāt /	hi-asya samAna-tvAt /
   anaikāntikaśca śabdagatasaṃkhyāyāṃ bhavataḥ /	anEkAntikaH-ca Sabda-gata-saMKyAyAm BavataH /
   4 śabdo guṇaḥ, ātmavyatiriktatve sati indriyāṇāṃ madhye	4 SabdaH guNaH, Atma-vyatirikta-tve sati indriyANAm maDye
   nityenaivādhyakṣīkṛtāyā jāteradhikaraṇatvātsukhavat /	nityena-eva-aDyakzIkRtAyAH jAteH-aDikaraNa-tvAt-suKa-vat /
   anityaḥ śabdaḥ, indriyaviśeṣaguṇatvāccakṣurgatarūpavat /	anityaH SabdaH, indriya-viSeza-guNa-tvAt-cakzuH-gata-rUpa-vat /
   na cākāśa eva vartamānatvāt, tanmahatvavaditi satpratipakṣatvam,	na ca-AkASaH eva vartamAna-tvAt, tat-mahatva-vat-iti sat-pratipakza-tvam,
   ākāśabhāgavinaṣṭaghaṭa iva svasaṃyoge vyabhicārāt /	AkASa-BAga-vinazwa-GawaH iva sva-saMyoge vyaBicArAt /
   anitya śabdaḥ arasatve satyavayavyagrāhakeṇaiva	anitya SabdaH arasa-tve satya-vayavi-a-grAhakeNa-eva
   gṛhyamāṇajāteradhikaraṇatvādgandhavaditi bhāṭṭaṃ prati /	gRhyamANa-jAteH-aDikaraNa-tvAt-ganDa-vat-iti BAwwam prati /
   yacca nityaḥ śabda, ātmaviśeṣaguṇānyatve sati indriyāṇāṃ madhye nityenaiva	yat-ca nityaH Sabda, Atma-viSeza-guNa-anyatve sati indriyANAm maDye nityena-eva
   gṛhyamāṇatvāditi, [tad] duḥkhābhāve 'naikāntikam /	gRhyamANa-tvAt-iti, [tad] duHKa-aBAve anEkAntikam /
   sāmānyavattve satīti viśeṣaṇe 'pi tathā, paramate tatrāpi	sAmAnyavat-tve sati-iti viSezaNe api taTA, para-mate tatra-api
   jāterabhyupagamāt /	jAteH-aByupagamAt /
   yadāha-	yat-A-aha-
   yadvānuvṛttivyāvṛttibuddhigrāhyo yatastvayam /	yat-vA-anuvRtti-vyAvRtti-budDi-grAhyaH yatas-tu-ayam /
   tasmādgavādibaddhastu prameyatvācca gamyatām //	tasmAt-gavAdi-badDaH-tu prameya-tvAt-ca gamyatAm //
   (ślo vā abhāva 9) iti	(SlaH vE aBAva 9) iti
   prativādyanaikāntikaṃ ca, ākāśavāyusaṃyogasyāpi yogyatākaraṇagrāhyasya	prativAdi-anEkAntikam ca, AkASa-vAyu-saMyogasya-api yogyatA-karaNa-grAhyasya
   tathābhāvāt /	taTA-aBAvAt /
   asmadādīti viśeṣaṇe vaiyarthyāt, nādaiśca vyabhicārāt /	asmad-Adi-iti viSezaNe vEyarTya-at, nAdEH-ca vyaBicArAt /
   evaṃ vyavasthite pratyakṣeṇāpi sādhyate naṣṭaḥ śabda iti pratīteḥ /	evam vyavasTite pratyakzeNa-api sADyate nazwaH SabdaH iti pratIteH /
   ākāśaviśeṣaguṇaḥ śabdaḥ /	AkASa-viSeza-guNaH SabdaH /
   yadaparajātīyena vinā samavāyikāraṇatvābhāvaḥ, sa guṇaḥ /	yat-apara-jAtIyena vinA samavAyi-kAraNa-tva-aBAvaH, sa guNaH /
   kevalanimittakāraṇe ca vartamānāparajātīyatvaṃ vā /	kevala-nimitta-kAraNe ca vartamAna-apara-jAtIya-tvam vA /
   samavāyyasamavāyikāraṇarahite 'pi vartamānāparajātīyatvaṃ vā /	samavAyi-asamavAyi-kAraNa-rahite api vartamAna-apara-jAtIya-tvam vA /
   [karmapadārthaprakaraṇam]	[karma-padArTa-prakaraNam]
   1) ādyasaṃyogāvibhāgāvasamavāyikāraṇajau, kāryatvād, ghaṭavaditi	1) Adya-saMyoga-aviBAgO=-asamavAyi-kAraNa-jO, kArya-tvAd, Gawa-vat-iti
   karmasiddhiḥ /	karma-sidDiH /
   tacca pratyakṣam, prameyatvād, ghaṭavat /	tat-ca pratyakzam, prameya-tvAt-, Gawa-vat /
   vimatipadamindriyasaṃyogavyatiriktaṃ saṃyogāsamavāyikāraṇagrāhakam,	vimati-padam-indriya-saMyoga-vyatiriktam saMyoga-asamavAyi-kAraNa-grAhakam,
   dravyagrāhakendriyatvāt, manovat /	dravya-grAhaka-indriya-tvAt, manaH-vat /
   karma, apratyakṣam, karmatvāditi dṛṣṭāntāsiddhiḥ /	karma, apratyakzam, karma-tvAt-iti dRzwAnta-asidDiH /
   ayogīti viśeṣaṇena vyāptyasiddhiḥ, yogyanabhyupagamāt /	ayogI-iti viSezaNena vyAptyasidDiH, yogi-anaByupagamAt /
   tatkāraṇādeva saṃyogavibhāgasiddhiḥ /	tad-kAraNAt-eva saMyoga-viBAga-sidDiH /
   karmāsiddhiprasaṅgaśca /	karma-asidDi-prasaFgaH-ca /
   2) taccānantāparajātīyam, patanotkṣepaṇādipratyayānāṃ tulyatvāt /	2) tat-ca-anantA-para-jAtIyam, patana-utkzepaNa-Adi-pratyayAnAm tulya-tvAt /
   ādyavibhāgāsamavāyikāraṇajātīyaṃ karma	Adya-viBAga-asamavAyi-kAraNa-jAtIyam karma
   saṃyogavibhāgayoranapekṣakāraṇatvārhaṃ vā /	saMyoga-viBAgayoH-anapekza-kAraNatva-arham vA /
   etena viśvasmādbhedagrāhibhyo guṇebhyo 'pi bhedasiddhiḥ karmaṇaḥ /	etena viSvasmAt-Beda-grAhiByaH guNeByaH api Beda-sidDiH karmaNaH /
   [sāmānyapadārthaprakaraṇam]	[sAmAnya-padArTa-prakaraNam]
   yadyapyekākārapratyayasya bhinneṣvekanimittamantareṇānupapadyamānatvena	yadi-api-eka-AkAra-pratyayasya Binnezu-eka-nimittam-antareNa-anupapadyamAna-tvena
   sāmānyasiddhiriti na yuktam, tathāvidhadarśane 'pi vipratipatteḥ /	sAmAnya-sidDiH-iti na yuktam, taTAviDa-darSane api vipratipatteH /
   sati kalpakasya prāmāṇye 'vivādāttatsādhitamiti na yuktam,	sati kalpakasya prAmANye avivAdAt-tat-sADitam-iti na yuktam,
   tadvādhitamityasyāpi vaktuṃ śakyatvāt /	tat-vADitam-iti-asya-api vaktum Sakya-tvAt /
   tathāpi ---	taTA-api ---
   kāraṇasya hi siddhatvādvikalpasyāpi bhedataḥ /	kAraNasya hi sidDa-tvAt-vikalpasya-api BedataH /
   vyāvṛtterapi bhinnatvādanyonyāśrayadūṣaṇāt //	vyAvRtteH-api Binna-tvAt-anyonya-ASraya-dUzaNAt //
   tasmādasti jātiḥ /	tasmAt-asti jAtiH /
   (1 sattā--) vivādapadaṃ dravyaṃ samānajātīyasamavāyikāraṇam,	(1 sattA--) vivAda-padam dravyam samAna-jAtIya-samavAyi-kAraNam,
   samavāyikāraṇatvāt, mṛdvat /	samavAyi-kAraNa-tvAt, mRdvat /
   na ca sparśavattvamupādhiḥ, antyāvayavini tava vyabhicārāt /	na ca sparSavat-tvam-upADiH, antya-avayavini tava vyaBicArAt /
   asmākaṃ tu vyāptikāle sattāpratipattau cānyatrāpi siddhiḥ,	asmAkam tu vyApti-kAle sattA-pratipattO ca-anyatra-api sidDiH,
   vyāptivighaṭakatvena vyāptikāle evāsya dūṣaṇatvāt /	vyApti-viGawaka-tvena vyApti-kAle eva-asya dUzaNa-tvAt /
   vyāptyuttarakālabhāvitatvāt pakṣādivyavasthāyāḥ /	vyApti-uttara-kAla-BAvita-tvAt pakza-Adi-vyavasTAyAH /
   vihāya sattāmantyāvayaviṣu sādhyābhāve 'pyupādherbhāvāt /	vihAya sattAm-antya-avayavizu sADya-aBAve api-upADeH-BAvAt /
   (2 dravyatvam--) vivādādhyāsitaṃ rūpavṛttisparśavajjātimat,	(2 dravya-tvam--) vivAda-aDyAsitam rUpa-vRtti-sparSavat-jAtimat,
   samavāyikāraṇatvād ghaṭavat --- atra vipratipattiviṣayasyaiva	samavAyi-kAraNa-tvAt Gawa-vat -- atra vipratipatti-vizayasya-eva
   tathāvidhatvānna sādhye viśeṣaṇopādānād dūṣaṇam, anyathā	taTAviDa-tvAt-na sADye viSezaNa-upAdAnAt dUzaNam, anyaTA
   udghāṭitamātrameva sādhanīyam /	udGAwita-mAtram-eva sADanIyam /
   (3 pṛthivītvam--) vivādādhyāsitamudakāvṛttijātimad, gandhatvādghaṭavat /	(3 pRTivI-tvam--) vivAda-aDyAsitam-udaka-avRtti-jAti-mad, ganDa-tvAt-Gawa-vat /
   (4 jalatvam--) vivādādhyāsitaṃ pṛthivyavṛttijātimad, gurutvādghaṭavat /	(4 jala-tvam--) vivAda-aDyAsitam pRTivI-avRtti-jAti-mad, guru-tvAt-Gawa-vat /
   (5 tejastvam--) vivādādhyāsitamanuṣṇāvṛttijātimad, uṣṇatvāddīpavat /	(5 tejaH-tvam--) vivAda-aDyAsitam-anuzNa-avRtti-jAti-mad, uzNa-tvAt-dIpa-vat /
   vāyvavṛttitvasādhane rūpitvāditi vācyam /	vAyu-avRtti-tva-sADane rUpi-tvAt-iti vAcyam /
   (6 vāyutvaṃ--) vivādādhyāsitamākāśāvṛttijātimat, sparśatvādghaṭavaditi /	(6 vAyu-tvaM--) vivAda-aDyAsitam-AkASa-AvRtti-jAtimat, sparSa-tvAt-Gawa-vat-iti /
   (7 ātmatvam--) vipratipannamākāśāvṛttijātivad,	(7 Atma-tvam--) vipratipannam-AkASA-vRtti-jAti-vat-,
   aśrautraviśeṣaguṇādhāratvādghaṭavat /	aSrOtra-viSeza-guNa-ADAra-tvAt-Gawa-vat /
   (8 manastvam--) vivādapadamātmāvṛttijātimad, mūrtatvādghaṭavat /	(8 manaH-tvam--) vivAda-padam-Atma-avRtti-jAti-mad, mUrta-tvAt-Gawa-vat /
   (9 dravyatvādeḥ pratyakṣatvam--) vivādapadaṃ	(9 dravya-tva-AdeH pratyakza-tvam---) vivAda-padam
   karmāvṛtticākṣuṣajātigrāhakam, indriyatvānmanovat /	karma-avRtti-cAkzuza-jAti-grAhakam, indriya-tvAt-manaH-vat /
   (10 rūpatvam--) asamavāyikāraṇaṃ pītamapītavṛttigandhāvṛttimat,	(10 rUpa-tvam--) asamavAyi-kAraNam pItam-apIta-vRtti-ganDa-AvRttimat,
   kevalanimittakāraṇavyatiriktakāraṇatve sati gandhānyatvādghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve sati ganDa-anyatvAt-Gawa-vat /
   (11 rūpatvasya pratyakṣatvam--) vipratipannaṃ	(11 rUpa-tvasya pratyakza-tvam--) vipratipannam
   sparśanendriyāgrāhyajātigrāhakam, sparśanavyatiriktendriyatvānmanovat /	sparSana-indriya-AgrAhya-jAti-grAhakam, sparSana-vyatirikta-indriya-tvAt-manaH-vat /
   evaṃ rasatvāderapi pratyakṣatvaṃ vācyam /	evam rasa-tva-AdeH-api pratyakza-tvam vAcyam /
   (12 nīlatvam--) nīlamanīlarūpāvṛttijātimat,	(12 nIlatvam--) nIlam-anIla-rUpa-AvRtti-jAtimat,
   kevalanimittakāraṇavyatiriktakāraṇatve satyanīlavyatiriktatvādghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve satya-nIla-vyatirikta-tvAt-Gawa-vat /
   evaṃ pītatvādiṣvapi vācyam /	evam pIta-tva-Adizu-api vAcyam /
   (13 rasatvam--) rasaḥ saṃyogāvṛttijātimān,	(13 rasa-tvam---) rasaH saMyoga-AvRtti-jAtimAn,
   kevalanimittakāraṇavyatiriktakāraṇatve sati saṃyogānyatvādghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve sati saMyoga-anya-tvAt-Gawa-vat /
   (14 madhuratvam--) madhuro 'madhurarasāvṛttijātimān,	(14 maDura-tvam--) maDuraH amaDura-rasa-AvRtti-jAtimAn,
   kevalanimittakāraṇavyatiriktakāraṇatve	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve
   satyamadhurarasavyatiriktatvādghaṭavat /	satya-maDura-rasa-vyatirikta-tvAt-Gawa-vat /
   evaṃ tiktatvādiṣvapi vācyam /	evam tikta-tva-Adizu-api vAcyam /
   (15 gandhatvam--) gandho rūpāvṛttijātimān, kevalanimittakāraṇatve sati	(15 ganDa-tvam--) ganDaH rUpAvRtti-jAtimAn, kevala-nimitta-kAraNa-tve sati
   rūpānyatvādghaṭavat /	rUpa-anya-tvAt-Gawa-vat /
   (16 surabhitvam--) surabhirasurabhigandhāvṛttijātimān,	(16 suraBi-tvam---) suraBiH-asuH-aBi-ganDA-vRtti-jAtimAn,
   kevalanimittakāraṇavyatiriktakāraṇatve satyasurabhigandhānyatvād, ghaṭavat	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve satya-suraBi-ganDA-anya-tvAd, Gawa-vat-
   (17 sparśatvam--) sparśo rasāvṛttijātimān,	(17 sparSa-tvam--) sparSaH rasAvRtti-jAtimAn,
   kevalanimittakāraṇavyatiriktakāraṇatve sati rasānyatvādghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve sati rasa-anyatvAt-Gawa-vat /
   (18 śītatvam--) śīto 'śītasparśāvṛttijātimān,	(18 SIta-tvam---) SItaH aSIta-sparSa-AvRtti-jAtimAn,
   kevalanimittakāraṇavyatiriktakāraṇatve satyasparśānyatvādghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve satya-sparSa-anya-tvAt-Gawa-vat /
   evamaśītatvādiṣvapi vācyam /	evam-aSIta-tva-Adizu-api vAcyam /
   (19 saṃkhyātvam--) saṃkhyā parimāṇāvṛttijātimatī,	(19 saMKyA-tvam---) saMKyA parimANAvRtti-jAtimatI,
   kevalanimittakāraṇavyatiriktakāraṇatve sati parimāṇānyatvād, ghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve sati parimANa-anyatvAd, Gawa-vat /
   evaṃ dvitvādiṣvapi vācyam /	evam dvi-tva-Adizu-api vAcyam /
   (20 parimāṇatvam--) asamavāyikāraṇaṃ mahattvaṃ	(20 parimANa-tvam--) asamavAyi-kAraNam mahat-tvam
   saṃkhyāvṛttimahattvānyaparimāṇavṛttijātimat,	saMKyA-vRtti-mahat-tva-ani-a-parimANa-vRtti-jAtimat,
   kevalanimittakāraṇavyatiriktakāraṇatve sati saṃkhyāvyatiriktatvāt, tadvat	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve sati saMKyA-vyatirikta-tva-at, tadvat-
   (21 pṛthaktvam--) asamavāyikāraṇaṃ pṛthaktvaṃ	(21 pRTaktvam--) asamavAyi-kAraNam pRTaktvam
   parimāṇavṛttyekapṛthaktvavyatiriktavṛttijātimat, parimāṇavyatiriktatve	parimANa-vRtti-eka-pRTaktva-vyatirikta-vRtti-jAtimat, parimANa-vyatirikta-tve
   sati kevalanimittakāraṇavyatiriktakāraṇatvāttadvat /	sati kevala-nimitta-kAraNa-vyatirikta-kAraNa-tvAt-tadvat /
   evaṃ caikapṛthaktvādiṣvapi vācyam /	evam ca-eka-pRTaktva-Adizu-api vAcyam /
   na ca tatra sāmānyabhāvaḥ,	na ca tatra sAmAnya-BAvaH,
   ekapṛthaktvadvipṛthaktvaśabdānāmanyathopapattāvapi	eka-pRTaktvat-vipRTaktva-SabdAnAm-anyaTA-upapattO=-api
   niyāmakāparajātimantareṇa dvipṛthaktvotpattāvekapṛthaktvasya	niyAmaka-apara-jAtim-antareNa dvi-pRTaktva-utpattO=-eka-pRTaktvasya
   hetutvānirṇayāt /	hetu-tva-anirNayAt /
   anvayavyatirekavyavasthāpakābhāvāt /	anvaya-vyatireka-vyavasTApaka-aBAvAt /
   (22 saṃyogatvam--) vipratipannamasamavāyikāraṇaṃ pṛthaktvāvṛttijātimat	(22 saMyoga-tvam--) vipratipannam-asamavAyi-kAraNam pRTaktvA-avRtti-jAtimat-
   kevalanimittakāraṇavyatiriktakāraṇatve sati pṛthaktvānyatvāttadvat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve sati pRTaktvA-anya-tvAt-tadvat /
   (23 vibhāgatvam--) vibhāgaḥ saṃyogāvṛttijātimān, saṃyogavyatiriktatve sati	(23 viBAga-tvam--) viBAgaH saMyoga-AvRtti-jAtimAn, saMyoga-vyatirikta-tve sati
   dvayāsamavāyikāraṇatvād dvitantukavat /	dvaya-asam-avAyi-kAraNa-tvAt dvi-tantuka-vat /
   (24 paratvam--) paratvaṃ vibhāgāvṛttijātimat, saṃyogāsamavāyikāraṇatvāt /	(24 paratvam--) paratvam viBAga-AvRtti-jAtimat, saMyoga-asamavAyi-kAraNa-tvAt /
   aparatvabuddhitvādiṣvapyevaṃ vācyam /	aparatva-budDi-tva-Adizu-api-evam vAcyam /
   gurutvadravatvasnehasaṃskāreṣvapi prācīnamanumānaṃ vācyam /	guru-tva-drava-tva-sneha-saMskArezu-api prAcInam-anumAnam vAcyam /
   (25 brāhmaṇatvasya pratyakṣatvam--) vivādādhyāsitaṃ	(25 brAhmaNa-tvasya pratyakza-tvam--) vivAda-aDyAsitam
   brāhmaṇavyatiriktavarṇāvṛttijātigrāhakam, indriyatvāt, cakṣurvat /	brAhmaNa-vyatirikta-varNa-AvRtti-jAti-grAhakam, indriya-tvAt, cakzuH-vat /
   (26 brāhmaṇatvam--) brāhmaṇo 'brāhmamanuṣyānādhārajātyādhāraḥ,	(26 brAhmaNa-tvam---) brAhmaNaH abrAhma-manuzya-an-ADAra-jAti-ADAraH,
   abrāhmaṇamanuṣyavyatiriktatve satyavayavitvād, govat /	abrAhmaNa-manuzya-vyatirikta-tve satya-vayavi-tvAd, go-vat /
   vivādādhyāsitaḥ śarīrasantāno 'yonijaḥ, śarīrasantānatvād,	vivAda-aDyAsitaH SarIra-santAnaH ayonijaH, SarIra-santAna-tvAt-,
   gomayajavṛścikaśarīrasantānavadityanumānenābrāhmaṇapūrvake kvacid	gomaya-ja-vRScika-SarIra-santAna-vat-iti-anumAnena-abrAhmaNa-pUrvake kvacid-
   brāhmaṇaśabde prāpte na brāhmaṇajanyaśarīranibandhano brāhmaṇaśabdaḥ /	brAhmaNa-Sabde prApte na brAhmaNa-janya-SarIra-nibanDanaH brAhmaNa-SabdaH /
   evaṃ śūdratvādiṣvapyaupādhikanirākaraṇaṃ vācyam /	evam SUdra-tva-Adizu-api-OpADika-nirAkaraNam vAcyam /
   (27 karmatvam--) utkṣepaṇaṃ guṇānāśrayākṣepaṇatvavyatiriktajātimat,	(27 karma-tvam---) utkzepaNam guNAn-ASraya-AkzepaNa-tva-vyatirikta-jAtimat,
   kevalanimittakāraṇavyatiriktakāraṇatve satyaguṇatvādghaṭavat /	kevala-nimitta-kAraNa-vyatirikta-kAraNa-tve satya-guNa-tvAt-Gawa-vat /
   nanvatra karmamātrapakṣīkāre vāyvādiṣu vyabhicāraḥ, avipratipannānāmapi	nanu-atra karma-mAtra-pakzIkAre vAyu-Adizu vyaBicAraH, avipratipannAnAm-api
   pakṣīkāre karmatvāsiddhiḥ, kintvanyadeva karmavāyvoranugataṃ sāmānyaṃ syāt	pakzIkAre karma-tva-asidDiH, kintu-anyadeva karma-vAyvoH-anugatam sAmAnyam syAt-
