   // śrīḥ //	// SrIH //
   mattavilāsaprahasanaṃ	matta-vilAsa-prahasanam
   Devasomā - bhaavaṃ! candasamāgadaṃ via paosaṃ bhaavantaṃ pekkhantīe ajja	DevasomAH  Baavan! canda-samAgadam via paosam Baavantam pekKantIe ajja
   āṇandadī via me diṭṭhī /	ANandadI via me diwWI /
   [bhagavan! candrasamāgatam iva pradoṣaṃ bhagavantaṃ paśyatyā adyānandatīva	[Baga-van! candra-samAgatam iva pradozam Bagavantam paSyatyA adya-Anandati-iva
   me dṛṣṭiḥ /]	me dRzwiH /]
   Pāśupataḥ - diṣṭyā bhavān vardhate /	PASupataH  dizwyA BavAn varDate /
   Kapālī - nanv abhyudayo bhavatām eva /	KapAlI  nanu aByudayaH BavatAm eva /
   Pāśupataḥ - (ātmagatam /) satyam etat / nāsty adoṣavatāṃ bhayam iti / {yad	PASupataH  (Atma-gatam /) satyam etat / na-asti adozavatAm Bayam iti / {yat-
   : om. CD} ayam adya {bhikṣur : om. D} vyāghramukhāt {katham api E}	: om. CD} ayam adya {BikzuH : om. D} vyAGra-muKAt {kaTam api E}
   paribhraṣṭaḥ / (prakāśam /) yāvad aham idānīm eva suhṛdabhyudayakṛtam	pariBrazwaH / (prakASam /) yAvat aham idAnIm eva suhRd-aByudaya-kRtam
   ānandaṃ purodhāya bhagavataḥ {pūrva : pūrvaṃ KaA(17)}{sthalī : sthala	Anandam puroDAya BagavataH {pUrvaH : pUrvam KaA(17)}{sTalI : sTala
   C}nivāsino {dhūma : dhūmra H}velāṃ {pratipālayāmi : sambhāvayāmi C}/ ayaṃ	C}ni-vAsinaH {DUma : DUmraH H}velAm {pratipAlayAmi : samBAvayAmi C}/ ayam
   cādyaprabhṛti -	ca-adya-praBRti -
   virodhaḥ pūrvasambaddho	viroDaH pUrva-sambadDaH-
   yuvayor astu śāśvataḥ /	yuvayoH astu SASvataH /
   parasparaprītikaraḥ	paraspara-prIti-karaH
   kirātārjunayor iva // 22 //	kirAta-arjunayoH iva // 22 //
   (niṣkrāntaḥ pāśupataḥ /)	(nizkrAntaH pASupataH /)
   Kapālī - bho nāgasena! yan mayāparādhaḥ kṛtaḥ, tat prasannahṛdayaṃ tvam	KapAlI  Bo nAgasena! yat mayA-aparADaH kRtaH, tat prasanna-hRdayam tvam
   icchāmi /	icCAmi /
   Śākyabhikṣu - kiṃ edaṃ pi abbhatthaṇīaṃ / kiṃ de piaṃ karemi /	ŚAkya-Bikzu  kim edam pi abBatTaNIam / kim de piam karemi /
   [kim etad apy abhyarthanīyam / kiṃ te priyaṃ karomi /]	[kim etat api aByarTanIyam / kim te priyam karomi /]
   Kapālī - yadi me bhagavān prasannaḥ, kim ataḥ param aham icchāmi /	Ka-pAlI  yadi me BagavAn prasannaH, kim atas param aham icCAmi /
   {Śākyabhikṣu - gacchāmi dāva ahaṃ /	{ŚAkya-Bikzu  gacCAmi dAva aham /
   [gacchāmi tāvad aham /]	[gacCAmi tAvat aham /]
   Kapālī - gacchatu bhavān punardarśanāya /	KapAlI  gacCatu BavAn punar-darSanAya /
   Śākyabhikṣu - taha hodu / (niṣkrāntaḥ /)	ŚAkya-Bikzu  taha hodu / (nizkrAntaH /)
   [tathā bhavatu /]	[taTA Bavatu /]
   Kapālī - priye devasome! gacchāvas tāvat / : om. (no siglum)(18)}	KapAlI  priye devasome! gacCAvaH tAvat / : om. (no siglum)(18)}
   (bharatavākyam)	(Barata-vAkyam)
   śaśvad bhūtyai prajānāṃ vahatu vidhihutām āhutiṃ jātavedā	SaSvat BUtyE prajAnAm vahatu viDi-hutAm Ahutim jAtavedAH-
   vedān viprā bhajantāṃ surabhiduhitaro bhūridohā bhavantu /	vedAn viprAH BajantAm suraBi-duhitaraH BUri-dohAH Bavantu /
   udyuktaḥ sveṣu dharmeṣv ayam api vigatavyāpad ācandratāraṃ	udyuktaH svezu Darmezu ayam api vigata-vyApad AcandratAram
   rājanvān astu śaktipraśamitaripuṇā śatrumallena lokaḥ // 23 //	rAjanvAn astu Sakti-praSamita-ripuNA Satru-mallena lokaH // 23 //
   (niṣkrāntau /)	(nizkrAntO /)
   mattavilāsaprahasanaṃ samāptam //	matta-vilAsa-prahasanam samAptam //
   End notes:	Ent notes:
   (1) Note by Sastri, also printed in Unni's edition: karotīty	(1) Note bi Sastri, alsaH printet id Unni-as edition: karoti-iti-
   adhyāhartavyam /	aDyAhartavyam /
   (2) brackets by Sastri; Unni: daṃseduṃ	(2) bracket-H bi Sastri; Unni: daMsedum
   (3) Note by Sastri (shortened in Unni 1998): argheti mūlyaprāptyarthako	(3) Note bi Sastri (shoH-tenet id Unni 1998): arGa-iti mUlya-prApti-arTakaH-
   dhātuḥ / bahu iti kriyāviśeṣaṇam / bahu arghanti bahu mūlyaṃ prāpnuvanti	DAtuH / bahu iti kriyA-viSezaNam / bahu arGanti bahu mUlyam prApnuvanti
   ślāghām analpāṃ labhanta iti yāvat / yaḥ svayaṃ guṇottarasūktiratnanidhiḥ	SlAGAm analpAm laBante iti yAvat / yaH svayam guNa-uttara-sUkti-ratna-niDiH
   san parakīyasūktāny alpaguṇāny api nāvamanyate, pratyuta ślāghata eva	san parakIya-sUktAni alpa-guNAni api na-avamanyate, pratyuta SlAGate eva
   kevalam iti tātparyam / yasminn iti vaiṣayike sāmīpike vādhikaraṇe saptamī	kevalam iti tAtparyam / yasmin iti vEzayike sAmIpike vA-aDikaraNe saptamI
   (4) Or does H omit pātrahastaḥ only? Unni's note is ambiguous.	(4) OH doeH H omit pAtra-hastaH only? Unni-as na-ute iH ambi-guous.
   (5) Or is it upādhaassa in K? The note in my edition is not clearly	(5) OH iH id upADaassaH id K? The note id mi edition iH na-ut clearly
   ligible.	ligible.
   (6) Unni does not make clear what the akṣara gha is substituted for or	(6) Unni doeH not make clear what Te akzara GaH iH substitutet foH oH-
   where it is inserted.	where id iH insertet-.
   (7) Or suvihisasayyesu?	(7) OH su-vihisasayyesu?
   (8) Brackets in both Unni's and Sastri's editions.	(8) Brackets id boT Unni-as and Sastri-as editiA-uns.
   (9) Probably for dhvaṃsaṃ.	(9) ProbablI foH DvaMsaM.
   (10) No siglum in Sastri's note.	(10) No siglum id Sastri-as note.
   (11) Unni records the very same gṛhṇātu as a variant.	(11) Unni recoH-ds Te verI same gRhNAtu as a variant.
   (12) According to Unni. Sastri does not record any variant.	(12) AccoH-dinc taH Unni. Sastri doeH na-ut recoH-t ani variant.
   (13) (mis)printed: śvaṇṇena.	(13) (mis)printed: SvaNNena.
   (14) Unni prints (part of) the commentary in G: grāmasūkaraḥ kukkuraḥ,	(14) Unni printH (part of) Te ca-umma-intari id G: grAma-sUkaraH kukkuraH,
   tasya galaṃ kaṇṭham; gaganam utpatitena mayā śvagaṇena saha airāvataṃ	tasya galam kaNWam; gaganam utpatitena mayA Sva-gaNena saha ErAvatam
   pratibhañjya gṛhītaḥ sasutas timiṅgila iti unmattapralāpaḥ /	pratiBaQjya gRhItaH sa-sutaH timiFgilaH iti unmatta-pralApaH /
   (15) G comments: pūjayāmi; asya nayiṣye kapālam iti śeṣaḥ /	(15) G comma-ints: pUjayAmi; asya nayizye kapAlam iti SezaH /
   (16) Unni prints: bhagavān.	(16) Unni prints: BagavAn-.
   (17) Unni prints: pūrvai.	(17) Unni prints: pUrvE.
   (18) No siglum added in Unni's note.	(18) No siglum addet id Unni-as note.
