   śivopaniṣad	Siva-upanizad-
   pālakyaṃ nairṛte sthāpya sumukhaṃ paścime nyaset /	pAlakyam nErRte sTApya su-muKam paScime nyaset /
   kuhadrakaṃ ca vāyavyām uttare vāpi tālikīm // 6.84 //	kuhadrakam ca vAyavyAm uttare vA-api tAlikIm // 6.84 //
   kusumbhaśākam aiśānyāṃ sarvaśākāni tadbahiḥ /	kusumBa-SAkam ESAnyAm sarva-SAkAni tad-bahis /
   pūrvakrameṇa vinyasya śivāya vinivedayet // 6.85 //	pUrva-krameNa vinyasya SivAya vinivedayet // 6.85 //
   yāvat tanmūlanālānāṃ pattrasaṃkhyā ca kīrtitā /	yAvat tad-mUla-nAlAnAm pattra-saMKyA ca kIrtitA /
   tāvadvarṣasahasrāṇi rudraloke mahīyate // 6.86 //	tAvat-varza-sahasrANi rudra-loke mahIyate // 6.86 //
   dattvā labhen mahābhogān guggulvadreḥ paladvayam /	dattvA laBet mahA-BogAn guggulu-adreH pala-dvayam /
   varṣakoṭidvayaṃ svarge dviguṇaṃ guḍamiśritaiḥ // 6.87 //	varza-kowi-dvayam svarge dviguNam guxa-miSritEH // 6.87 //
   guḍārdrakaṃ salavaṇam āmramañjarisaṃyutam /	guxa-Ardrakam sa-lavaNam Amra-maQjari-saMyutam /
   nivedya gurave bhaktyā saubhāgyaṃ paramaṃ labhet // 6.88 //	nivedya gurave BaktyA sOBAgyam paramam laBet // 6.88 //
   hastāropyeṇa vā kṛtvā mahāratnānvitāṃ mahīm /	hasta-AropyeNa vA kRtvA mahAratna-anvitAm mahIm /
   nivedayitvā śarvāya śivatulyaḥ prajāyate // 6.89 //	nivedayitvA SarvAya Siva-tulyaH prajAyate // 6.89 //
   vajrendranīlavaiḍūrya- padmarāgaṃ samauktikam /	vajra-indranIla-vExUrya padmarAgam sa-mOktikam /
   kīṭapakṣaṃ suvarṇaṃ ca mahāratnāni sapta vai // 6.90 //	kIwa-pakzam suvarNam ca mahAratnAni sapta vE // 6.90 //
   yaś ca siṃhāsanaṃ dadyān mahāratnānvitaṃ nṛpaḥ /	yaH ca siMhAsanam dadyAt mahAratna-anvitam nRpaH /
   kṣudraratnaiś ca vividhais tasya puṇyaphalaṃ śṛṇu // 6.91 //	kzudra-ratnEH ca viviDEH tasya puNya-Palam SRNu // 6.91 //
   kulatriṃśakasaṃyuktaḥ sāntaḥpuraparicchadaḥ /	kula-triMSaka-saMyuktaH sa-antaHpura-paricCadaH /
   samastabhṛtyasaṃyuktaḥ śivaloke mahīyate // 6.92 //	samasta-BRtya-saMyuktaH Siva-loke mahIyate // 6.92 //
   tatra bhuktvā mahābhogān śivatulyaparākramaḥ /	tatra BuktvA mahA-BogAn Siva-tulya-parAkramaH /
   āmahāpralayaṃ yāvat tadante muktim āpnuyāt // 6.93 //	AmahA-pralayam yAvat tad-ante muktim ApnuyAt // 6.93 //
   yadi ced rājyam ākaṅkṣet tataḥ sarvasamāhitaḥ /	yadi ced rAjyam AkaFkzet tatas sarva-samAhitaH /
   saptadvīpasamudrāyāḥ kṣiter adhipatir bhavet // 6.94 //	sapta-dvIpa-samudrAyAH kziteH aDipatiH Bavet // 6.94 //
   janmakoṭisahasrāṇi janmakoṭiśatāni ca /	janma-kowi-sahasrANi janma-kowi-SatAni ca /
   rājyaṃ kṛtvā tataś cānte punaḥ śivapuraṃ vrajet // 6.95 //	rAjyam kRtvA tatas ca-ante punar Siva-puram vrajet // 6.95 //
   etad eva phalaṃ jñeyaṃ makuṭābharaṇādiṣu /	etat eva Palam jQeyam makuwa-ABaraNa-Adizu /
   ratnāsanapradānena pāduke vinivedayet // 6.96 //	ratna-Asana-pradAnena pAduke vinivedayet // 6.96 //
   dadyād yaḥ kevalaṃ vajraṃ śuddhaṃ godhūmamātrakam /	dadyAt yaH kevalam vajram SudDam goDUma-mAtrakam /
   śivāya sa śive loke tiṣṭhed āpralayaṃ sukhī // 6.97 //	SivAya sa Sive loke tizWet Apralayam suKI // 6.97 //
   indranīlapradānena sa vaiḍūryapradānataḥ /	indranIla-pradAnena sa vExUrya-pradAnataH /
   modate vividhair bhogaiḥ kalpakoṭiṃ śive pure // 6.98 //	modate viviDEH BogEH kalpa-kowim Sive pure // 6.98 //
   masūramātram api yaḥ padmarāgaṃ suśobhanam /	masUra-mAtram api yaH padmarAgam su-SoBanam /
   nivedayitvā śarvāya modate kālam akṣayam // 6.99 //	nivedayitvA SarvAya modate kAlam akzayam // 6.99 //
   nivedya mauktikaṃ svaccham ekabhāgaikamātrakam /	nivedya mOktikam svacCam eka-BAga-eka-mAtrakam /
   bhogaiḥ śivapure divyaiḥ kalpakoṭiṃ pramodate // 6.100 //	BogEH Siva-pure divyEH kalpa-kowim pramodate // 6.100 //
   kīṭapakṣaṃ mahāśuddhaṃ nivedya yavamātrakam /	kIwa-pakzam mahA-SudDam nivedya yava-mAtrakam /
   śivāyādyaḥ śive loke modate kālam akṣayam // 6.101 //	SivAya-AdyaH Sive loke modate kAlam akzayam // 6.101 //
   hemnā kṛtvā ca yaḥ puṣpam api māṣakamātrakam /	hemnA kRtvA ca yaH puzpam api mAzaka-mAtrakam /
   nivedayitvā śarvāya varṣakoṭiṃ vased divi // 6.102 //	nivedayitvA SarvAya varza-kowim vaset divi // 6.102 //
   kṣudraratnāni yo dadyād dhemni baddhāni śambhave /	kzudra-ratnAni yaH dadyAt Demni badDAni SamBave /
   modate sa śive loke kalpakoṭyayutaṃ naraḥ // 6.103 //	modate sa Sive loke kalpa-kowi-ayutam naraH // 6.103 //
   yathā yathā mahāratnaṃ śobhanaṃ ca yathā yathā /	yaTA yaTA mahAratnam SoBanam ca yaTA yaTA /
   tathā tathā mahat puṇyaṃ jñeyaṃ tac chivadānataḥ // 6.104 //	taTA taTA mahat puNyam jQeyam tat Siva-dAnataH // 6.104 //
   bhūmibhāge sa()vistīṛṇe jambūdvīpaṃ prakalpayet /	BUmi-BAge sa()vistIRNe jambUdvIpam prakalpayet /
   aṣṭāvaraṇasaṃyuktaṃ nagendrāṣṭakabhūṣitam // 6.105 //	azwa-AvaraNa-saMyuktam naga-indra-azwaka-BUzitam // 6.105 //
   tanmadhye kārayed divyaṃ meruprāsādam uttamam /	tad-maDye kArayet divyam meru-prAsAdam uttamam /
   anekaśikharākīrṇam aśeṣāmarasaṃyutam // 6.106 //	aneka-SiKara-AkIrNam aSeza-amara-saMyutam // 6.106 //
   bahiḥ suvarṇanicitaṃ sarvaratnopaśobhitam /	bahis suvarNa-nicitam sarva-ratna-upaSoBitam /
   catuḥpragrīvakopetaṃ cakṣurliṅgasamāyutam // 6.107 //	catur-pragrIvaka-upetam cakzuH-liFga-samAyutam // 6.107 //
   caturdikṣu vanopetaṃ caturbhiḥ saṃyutaiḥ śaraiḥ /	catur-dikzu vana-upetam caturBiH saMyutEH SarEH /
   caturṇāṃ purayuktena prākāreṇa ca saṃyutam // 6.108 //	caturNAm pura-yuktena prAkAreNa ca saMyutam // 6.108 //
   meruprāsādam ity evaṃ hemaratnavibhūṣitam /	meru-prAsAdam iti evam hema-ratna-viBUzitam /
   yaḥ kārayed vanopetaṃ so 'nantaphalam āpnuyāt // 6.109 //	yaH kArayet vana-upetam saH ananta-Palam ApnuyAt // 6.109 //
   bhūmyambhaḥparamāṇūnāṃ yathā saṃkhyā na vidyate /	BUmi-amBaH-paramANUnAm yaTA saMKyA na vidyate /
   śivāyatanapuṇyasya tathā saṃkhyā na vidyate // 6.110 //	Siva-Ayatana-puNyasya taTA saMKyA na vidyate // 6.110 //
   kulatriṃśakasaṃyuktaḥ sarvabhṛtyasamanvitaḥ /	kula-triMSaka-saMyuktaH sarva-BRtya-samanvitaH /
   kalatraputramitraiś ca sarvasvajanasaṃyutaḥ // 6.111 //	kalatra-putra-mitrEH ca sarva-sva-jana-saMyutaH // 6.111 //
   āśrtitopāśritaiḥ sarvair aśeṣagaṇasaṃyutaḥ /	ASrtita-upASritEH sarvEH aSeza-gaNa-saMyutaH /
   yathā śivas tathaivāyaṃ śarvaloke sa pūjyate // 6.112 //	yaTA SivaH taTA-eva-ayam Sarva-loke sa pUjyate // 6.112 //
   na ca mānuṣyakaṃ lokam āgacchet kṛpaṇaṃ punaḥ /	na ca mAnuzyakam lokam AgacCet kRpaNam punar /
   sarvajñaḥ paripūrṇaś ca muktaḥ svātmani tiṣṭhati // 6.113 //	sarvajQaH paripUrNaH ca muktaH sva-Atmani tizWati // 6.113 //
   yaḥ śivāya vanaṃ kṛtvā mudābdasalilotthitam(?) /	yaH SivAya vanam kRtvA mudA-abda-salila-utTitam-(?) /
   tad daṇḍakopaśobhaṃ ca haste kurvīta sarvadā // 6.114 //	tat daNxaka-upa-SoBam ca haste kurvIta sarvadA // 6.114 //
   śobhayed bhūtanāthaṃ vā candraśālāṃ kvacit kvacit /	SoBayet BUtanATam vA candraSAlAm kvacid kvacid /
   vedīṃ vāthābhyapadyanta pronnatāḥ stambhapaṅktayaḥ // 6.115 //	vedIm vA-aTa-aByapadyanta pronnatAH stamBa-paFktayaH // 6.115 //
   śātakumbhamayīṃ vāpi sarvalakṣaṇasaṃyutām /	SAtakumBa-mayIm vA-api sarva-lakzaNa-saMyutAm /
   īśvarapratimāṃ saumyāṃ kārayet puruṣocchritām // 6.116 //	ISvara-pratimAm sOmyAm kArayet puruza-ucCritAm // 6.116 //
   triśūlasavyahastāṃ ca varadābhayadāyikāṃ /	triSUla-savya-hastAm ca varadA-Baya-dAyikAm /
   savyahastākṣamālāṃ ca jaṭākusumabhūṣitām // 6.117 //	savya-hasta-akza-mAlAm ca jawA-kusuma-BUzitAm // 6.117 //
   padmasiṃhāsanāsīnāṃ vṛṣasthāṃ vā samucchritām /	padma-siMhAsana-AsInAm vRza-sTAm vA samucCritAm /
   vimānasthāṃ rathasthāṃ vā vedisthāṃ vā prabhānvitām // 6.118 //	vimAna-sTAm raTa-sTAm vA vedi-sTAm vA praBA-anvitAm // 6.118 //
   saumyavaktrāṃ karālāṃ vā mahābhairavarūpiṇīm /	sOmya-vaktrAm karAlAm vA mahABErava-rUpiNIm /
   atyucchritāṃ suvistīrṇāṃ nṛtyasthāṃ yogasaṃsthitām // 6.119 //	ati-ucCritAm su-vistIrNAm nRtya-sTAm yoga-saMsTitAm // 6.119 //
   kuryād asaṃbhave hemnas tāreṇa vimalena ca /	kuryAt asaMBave hemnaH tAreNa vimalena ca /
   ārakūṭamayīṃ vāpi tāmramṛcchailadārujām // 6.120 //	ArakUwa-mayIm vA-api tAmra-mRd-SEladAru-jAm // 6.120 //
   aśeṣakaiḥ sarūpaiś ca varṇakair vā paṭe likhet /	aSezakEH sarUpEH ca varNakEH vA pawe liKet /
   kuḍye vā phalake vāpi bhaktyā vittānusārataḥ // 6.121 //	kuxye vA Palake vA-api BaktyA vitta-anusArataH // 6.121 //
   ekāṃ saparivārāṃ vā pārvatīṃ gaṇasaṃyutām /	ekAm sa-parivArAm vA pArvatIm gaNa-saMyutAm /
   pratīhārasamopetāṃ(?) kuryād evāvikalpataḥ // 6.122 //	pratIhAra-samopeta-aM(?) kuryAt eva-avikalpataH // 6.122 //
   pīṭhaṃ vā kārayed raupyaṃ tāmraṃ pittalasaṃbhavam /	pIWam vA kArayet rOpyam tAmram pittala-saMBavam /
   caturmukhaikavaktraṃ vā bahiḥ kāñcanasaṃskṛtam // 6.123 //	caturmuKa-eka-vaktram vA bahis kAQcana-saMskRtam // 6.123 //
   pṛthakpṛthaganekāni kārayitvā mukhāni tu /	pRTak-pRTak-anekAni kArayitvA muKAni tu /
   saumyabhairavarūpāṇi śivasya bahurūpiṇaḥ // 6.124 //	sOmyaBErava-rUpANi Sivasya bahu-rUpiNaH // 6.124 //
   nānābharaṇayuktāni hemaraupyakṛtāni ca /	nAnA-ABaraNa-yuktAni hema-rOpya-kRtAni ca /
   śivasya rathayātrāyāṃ tāni lokasya darśayet // 6.125 //	Sivasya raTa-yAtrAyAm tAni lokasya darSayet // 6.125 //
   uktāni yāni puṇyāni saṃkṣepeṇa pṛthak pṛthak /	uktAni yAni puNyAni saMkzepeNa pRTak pRTak /
   kṛtvaikena mamaiteṣām akṣayaṃ phalam āpnuyāt // 6.126 //	kRtvA-ekena mama-etezAm akzayam Palam ApnuyAt // 6.126 //
   mātuḥ pituḥ sahopāyair(?) daśabhir daśabhiḥ kulaiḥ /	mAtuH pituH saha-upAyEH-(?) daSaBiH daSaBiH kulEH /
   kalatraputramitrādyair bhṛtyair yuktaḥ sa bāndhavaiḥ // 6.127 //	kalatra-putra-mitra-AdyEH BRtyEH yuktaH sa bAnDavEH // 6.127 //
   ayutena vimānānāṃ sarvakāmayutena ca /	ayutena vimAnAnAm sarva-kAma-yutena ca /
   bhuṅkte svayaṃ mahābhogān ante muktim avāpnuyāt // 6.128 //	BuFkte svayam mahA-BogAn ante muktim avApnuyAt // 6.128 //
   maṇḍapastambhaparyante kīlayed darpaṇānvitam /	maNxapa-stamBa-paryante kIlayet darpaNa-anvitam /
   abhiṣicya janā yasmin pujāṃ kuvanti bilvakaiḥ // 6.129 //	aBizicya janAH yasmin pujAm kuvanti bilvakEH // 6.129 //
   kālakālakṛtiṃ kṛtvā kīlayed yaḥ śivāśrame /	kAla-kAla-kRtim kRtvA kIlayet yaH Siva-ASrame /
   sarvalokopakārāya pūjayec ca dine dine // 6.130 //	sarva-loka-upakArAya pUjayet ca dine dine // 6.130 //
   dhūpavelāpramāṇārthaṃ kalpayed yaḥ śivāśrame /	DUpa-velA-pramANa-arTam kalpayet yaH Siva-ASrame /
   kṣarantīṃ pūryamāṇāṃ vā sadāyāme ghaṭīṃ nṛpaḥ // 6.131 //	kzarantIm pUryamANAm vA sadA-AyAme GawIm nRpaH // 6.131 //
   eṣām ekatamaṃ puṇyaṃ kṛtvā pāpavivarjitaḥ /	ezAm ekatamam puNyam kRtvA pApa-vivarjitaH /
   śivaloke naraḥ prāpya sarvajñaḥ sa sukhī bhavet // 6.132 //	Siva-loke naraH prApya sarvajQaH sa suKI Bavet // 6.132 //
   rathayātrāṃ pravakṣyāmi śivasya paramātmanaḥ /	raTa-yAtrAm pravakzyAmi Sivasya paramAtmanaH /
   sarvalokahitārthāya mahāśilpivinirmitām // 6.133 //	sarva-loka-hita-arTAya mahA-Silpi-vinirmitAm // 6.133 //
   rathamadhye samāveśya yathā yaṣṭiṃ tu kīlayet /	raTa-maDye samAveSya yaTA yazwim tu kIlayet /
   yaṣṭer madhye sthitaṃ kāryaṃ vimānam atiśobhitam // 6.134 //	yazweH maDye sTitam kAryam vimAnam ati-SoBitam // 6.134 //
   pañcabhaumaṃ tribhaumaṃ vā dṛḍhavaṃśaprakalpitam /	paQca-BOmam tri-BOmam vA dRXa-vaMSa-prakalpitam /
   karmaṇā sunibaddhaṃ ca rajjubhiś ca susaṃyutam // 6.135 //	karmaNA su-nibadDam ca rajjuBiH ca su-saMyutam // 6.135 //
   pañcaśālāṇḍikair yuktaṃ nānābhaktisamanvitam /	paQca-SAlANxikEH yuktam nAnA-Bakti-samanvitam /
   citravarṇaparicchannaṃ paṭair vā varṇakānvitaiḥ // 6.136 //	citra-varNa-paricCannam pawEH vA varNaka-anvitEH // 6.136 //
   lambakaiḥ sūtradāmnā ca ghaṇṭācāmarabhūṣitam /	lambakEH sUtra-dAmnA ca GaNwA-cAmara-BUzitam /
   budbudair ardhacandraiś ca darpaṇaiś ca samujjvalam // 6.137 //	budbudEH arDacandrEH ca darpaNEH ca samujjvalam // 6.137 //
   kadalyardhadhvajair yuktaṃ mahācchattraṃ mahādhvajam /	kadalI-arDa-DvajEH yuktam mahAcCattram mahA-Dvajam /
   puṣpamālāparikṣiptaṃ sarvaśobhāsamanvitam // 6.138 //	puzpa-mAlA-parikziptam sarva-SoBA-samanvitam // 6.138 //
   mahārathavimāne 'smin sthāpayed gaṇasaṃyutam /	mahA-raTa-vimAne asmin sTApayet gaNa-saMyutam /
   īśvarapratimāṃ hemni prathame puramaṇḍape // 6.139 //	ISvara-pratimAm hemni praTame pura-maNxape // 6.139 //
   mukhatrayaṃ ca badhnīyād bahiḥ kuryāt tathāśritam /	muKa-trayam ca baDnIyAt bahis kuryAt taTA-ASritam /
   pure pure bahir dikṣu gṛhakeṣu samāśritam // 6.140 //	pure pure bahis dikzu gRhakezu samASritam // 6.140 //
   catuṣkaṃ śivavaktrāṇāṃ saṃsthāpya pratipūjayet /	catuzkam Siva-vaktrANAm saMsTApya pratipUjayet /
   dinatrayaṃ prakurvīta snānam arcanabhojanam // 6.141 //	dina-trayam prakurvIta snAnam arcana-Bojanam // 6.141 //
   nṛtyakrīḍāprayogeṇa geyamaṅgalapāṭhakaiḥ /	nRtya-krIxA-prayogeNa geya-maFgala-pAWakEH /
   mahāvāditranirghoṣaiḥ pauṣapūrṇimaparvaṇi // 6.142 //	mahA-vAditra-nirGozEH pOza-pUrNima-parvaNi // 6.142 //
   bhrāmayed rājamārgeṇa caturthe 'hani tadratham /	BrAmayet rAjamArgeNa caturTe ahani tad-raTam /
   tataḥ svasthānam ānīya taccheṣam api vardhayet // 6.143 //	tatas sva-sTAnam AnIya tad-Sezam api varDayet // 6.143 //
   avadhārya jagaddhātrī pratimām avatārayet /	avaDArya jagadDAtrI pratimAm avatArayet /
   mahāvimānayātraiṣā kartavyā paṭṭake 'pi vā // 6.144 //	mahA-vimAna-yAtrA-ezA kartavyA pawwake api vA // 6.144 //
   vaṃśair navaiḥ supakvaiś ca kaṭaṃ kuryād bharakṣamam(?) /	vaMSEH navEH su-pakvEH ca kawam kuryAt Bara-kzamam(?) /
   vṛttaṃ dviguṇadīrghaṃ ca caturaśram adhaḥ samam // 6.145 //	vRttam dviguNa-dIrGam ca caturaSram aDas samam // 6.145 //
   sarvatra carmaṇā baddhaṃ mahāyaṣṭisamāśritam /	sarvatra carmaNA badDam mahA-yazwi-samASritam /
   mukhaṃ baddhaṃ ca kurvīta vaṃśamaṇḍalinā dṛḍham // 6.146 //	muKam badDam ca kurvIta vaMSa-maNxalinA dRXam // 6.146 //
   kaṭe 'smiṃs tāni vastrāṇi sthāpya badhnīta yatnataḥ /	kawe asmin tAni vastrANi sTApya baDnIta yatnatas /
   upary upari sarvāṇi tanmadhye pratimāṃ nyaset // 6.147 //	upari upari sarvANi tad-maDye pratimAm nyaset // 6.147 //
   varṇakaiḥ kuṅkumādyaiś ca citrapuṣpaiś ca pūjayet /	varNakEH kuFkuma-AdyEH ca citra-puzpEH ca pUjayet /
   nānābharaṇapūjābhir muktāhārapralambibhiḥ // 6.148 //	nAnA-ABaraNa-pUjABiH mukta-AhAra-pralambiBiH // 6.148 //
   rathasya mahato madhye sthāpya paṭṭadvayaṃ dṛḍham /	raTasya mahataH maDye sTApya pawwa-dvayam dRXam /
   adharottarabhāgena madhye chidrasamanvitam // 6.149 //	aDara-uttara-BAgena maDye Cidra-samanvitam // 6.149 //
   kaṭiyaṣṭer adhobhāgaṃ sthāpya chidramayaṃ śubhaiḥ /	kawi-yazweH aDoBAgam sTApya Cidra-mayam SuBEH /
   ābaddhya kīlayed yatnād yaṣṭyardhaṃ ca dhvajāṣṭakam // 6.150 //	AbadDya kIlayet yatnAt yazwi-arDam ca Dvaja-azwakam // 6.150 //
   kaṭasya pṛṣṭaṃ sarvatra kārayet paṭasaṃvṛtam /	kawasya pRzwam sarvatra kArayet pawa-saMvRtam /
   tatpaṭe ca likhet somaṃ sagaṇaṃ savṛṣaṃ śivam // 6.151 //	tat-pawe ca liKet somam sa-gaNam sa-vRzam Sivam // 6.151 //
   vicitrapuṣpasragdāmnā samantād bhūṣayet kaṭam /	vicitra-puzpa-sraj-dAmnA samantAt BUzayet kawam /
   ravakaiḥ kiṅkiṇījālair ghaṇṭācāmarabhūṣitaiḥ // 6.152 //	ravakEH kiFkiNI-jAlEH GaNwA-cAmara-BUzitEH // 6.152 //
   mahāpūjāviśeṣaiś ca kautūhalasamanvitam /	mahA-pUjA-viSezEH ca kOtUhala-samanvitam /
   vādyārambhopacāreṇa mārgaśobhāṃ prakalpayet // 6.153 //	vAdya-AramBa-upacAreNa mArga-SoBAm prakalpayet // 6.153 //
   tad rathaṃ bhrāmayed yatnād rājamārgeṇa sarvataḥ /	tat raTam BrAmayet yatnAt rAjamArgeNa sarvatas /
   tataḥ svāśramam ānīya sthāpayet tatsamīpataḥ // 6.154 //	tatas sva-ASramam AnIya sTApayet tad-samIpatas // 6.154 //
   mahāśabdaṃ tataḥ kuryāt tālatrayasamanvitam /	mahA-Sabdam tatas kuryAt tAla-traya-samanvitam /
   tatas tuṣṇīṃ sthite loke tacchāntim iha dhārayet // 6.155 //	tatas tuzNIm sTite loke tad-SAntim iha DArayet // 6.155 //
   śivaṃ tu sarvajagataḥ śivaṃ gobrāhmaṇasya ca /	Sivam tu sarva-jagataH Sivam go-brAhmaNasya ca /
   śivam astu nṛpāṇāṃ ca tadbhaktānāṃ janasya ca // 6.156 //	Sivam astu nRpANAm ca tad-BaktAnAm janasya ca // 6.156 //
   rājā vijayam āpnoti putrapautraiś ca vardhatām /	rAjA vijayam Apnoti putra-pOtrEH ca varDatAm /
   dharmaniṣṭhaś ca bhavatu prajānāṃ ca hite rataḥ // 6.157 //	Darma-nizWaH ca Bavatu prajAnAm ca hite rataH // 6.157 //
   kālavarṣī tu parjanyaḥ sasyasaṃpattir uttamā /	kAla-varzI tu parjanyaH sasya-saMpattiH uttamA /
   subhikṣāt kṣemam āpnoti kāryasiddhiś ca jāyatām // 6.158 //	su-BikzAt kzemam Apnoti kArya-sidDiH ca jAyatAm // 6.158 //
   doṣāḥ prayāntu nāśaṃ ca guṇāḥ sthairyaṃ bhajantu vaḥ /	dozAH prayAntu nASam ca guNAH sTEryam Bajantu vaH /
   bahukṣīrayutā gāvo hṛṣṭapuṣṭā bhavantu vaḥ // 6.159 //	bahu-kzIra-yutAH gAvaH hRzwa-puzwAH Bavantu vaH // 6.159 //
   evaṃ śivamahāśāntim uccārya jagataḥ kramāt /	evam Siva-mahA-SAntim uccArya jagataH kramAt /
   abhivardhya tataḥ śeṣam aiśvarīṃ sārvakāmikīm // 6.160 //	aBivarDya tatas Sezam ESvarIm sArvakAmikIm // 6.160 //
   śivamālāṃ samādāya sadāsīparicārikaḥ /	Siva-mAlAm samAdAya sadAsI-pari-cArikaH /
   phalair bhakṣaiś ca saṃyuktāṃ gṛhya pātrīṃ niveśayet // 6.161 //	PalEH BakzEH ca saMyuktAm gRhya pAtrIm niveSayet // 6.161 //
   pātrīṃ ca dhārayen mūrdhnā soṣṇīṣāṃ devaputrakaḥ /	pAtrIm ca DArayet mUrDnA sa-uzNIzAm deva-putrakaH /
   alaṃkṛtaḥ śuklavāsā dhārmikaḥ satataṃ śuciḥ // 6.162 //	alaMkRtaH Sukla-vAsAH DArmikaH satatam SuciH // 6.162 //
   tataś ca tāṃ samutkṣipya pāṇinā dhārayed budhaḥ /	tatas ca tAm samutkzipya pANinA DArayet buDaH /
   prabrūyād aparaś cātra śivadharmasya bhājakaḥ // 6.163 //	prabrUyAt aparaH ca-atra Siva-Darmasya BAjakaH // 6.163 //
   toyaṃ yathā ghaṭīsaṃstham ajasraṃ kṣarate tathā /	toyam yaTA GawI-saMsTam ajasram kzarate taTA /
   kṣarate sarvalokānāṃ tadvad āyur aharniśam // 6.164 //	kzarate sarva-lokAnAm tadvat AyuH aharniSam // 6.164 //
   yadā sarvaṃ parityajya gantavyam avaśair dhruvam /	yadA sarvam parityajya gantavyam avaSEH Druvam /
   tadā na dīyate kasmāt pātheyārtham idaṃ dhanam // 6.165 //	tadA na dIyate kasmAt pATeya-arTam idam Danam // 6.165 //
   kalatraputramitrāṇi pitā mātā ca bāndhavāḥ /	kalatra-putra-mitrANi pitA mAtA ca bAnDavAH /
   tiṣṭhanti na mṛtasyārthe paraloke dhanāni ca // 6.166 //	tizWanti na mRtasya-arTe para-loke DanAni ca // 6.166 //
   nāsti dharmasamaṃ mitraṃ nāsti dharmasamaḥ sakhā /	na-asti Darma-samam mitram na-asti Darma-samaH saKA /
   yataḥ sarvaiḥ parityaktaṃ naraṃ dharmo 'nugacchati // 6.167 //	yatas sarvEH parityaktam naram DarmaH anugacCati // 6.167 //
   tasmād dharmaṃ samuddiśya yaḥ śeṣām abhivardhayet /	tasmAt Darmam samuddiSya yaH SezAm aBivarDayet /
   samastapāpanirmuktaḥ śivalokaṃ sa gacchati // 6.168 //	samasta-pApa-nirmuktaH Siva-lokam sa gacCati // 6.168 //
   upary upari vittena yaḥ śeṣām abhivardhayet /	upari upari vittena yaH SezAm aBivarDayet /
   tasyeyam uttamā deyā yataś cānyā na vardhate // 6.169 //	tasya-iyam uttamA deyAH yatas ca-anyA na varDate // 6.169 //
   ity evaṃ madhyamāṃ śeṣāṃ vardhayed vā kanīyasīm /	iti evam maDyamAm SezAm varDayet vA kanIyasIm /
   tatas teṣāṃ pradātavyā sarvaśokasya śāntaye // 6.170 //	tatas tezAm pradAtavyA sarva-Sokasya SAntaye // 6.170 //
   yenottamā gṛhītā syāc śivaśeṣā mahīyasī /	yena-uttamA gRhItA syAt Siva-SezAH mahIyasI /
   prāpaṇīyā gṛhaṃ tasya tathaiva śirasā vṛtā // 6.171 //	prApaNIyAH gRham tasya taTA-eva SirasA vRtAH // 6.171 //
   dhvajacchattravimānādyair mahāvāditraniḥsvanaiḥ /	Dvaja=-Cattra-vimAna-AdyEH mahA-vAditra-niHsvanEH /
   gṛhadvāraṃ tataḥ prāptam arcayitvā niveśayet // 6.172 //	gRha-dvAram tatas prAptam arcayitvA niveSayet // 6.172 //
   dadyād gotrakalatrāṇāṃ bhṛtyānāṃ svajanasya ca /	dadyAt gotra-kalatrANAm BRtyAnAm sva-janasya ca /
   tarpayec cānatān(?) bhaktyā vāditradhvajavāhakān // 6.173 //	tarpayet ca-AnatAn-(?) BaktyA vAditra-Dvaja-vAhakAn // 6.173 //
   evam ādīyate bhaktyā yaḥ śivasyottamā gṛhe /	evam AdIyate BaktyA yaH Sivasya-uttamA gRhe /
   śobhayā rājamārgeṇa tasya dharmaphalaṃ śṛṇu // 6.174 //	SoBayA rAjamArgeNa tasya Darma-Palam SRNu // 6.174 //
   samastapāpanirmuktaḥ samastakulasaṃyutaḥ /	samasta-pApa-nirmuktaH samasta-kula-saMyutaH /
   śivalokam avāpnoti sabhṛtyaparicārakaḥ // 6.175 //	Siva-lokam avApnoti sa-BRtya-paricArakaH // 6.175 //
   tatra divyair mahābhogair vimānaiḥ sārvakāmikaiḥ /	tatra divyEH mahA-BogEH vimAnEH sArvakAmikEH /
   kalpānāṃ krīḍate koṭim ante nirvāṇam āpnuyāt // 6.176 //	kalpAnAm krIxate kowim ante nirvANam ApnuyAt // 6.176 //
   rathasya yātrāṃ yaḥ kuryād ity evam upaśobhayā /	raTasya yAtrAm yaH kuryAt iti evam upaSoBayA /
   bhakṣabhojyapradānaiś ca tatphalaṃ śṛnu yatnataḥ // 6.177 //	Bakza-Bojya-pradAnEH ca tad-Palam SRnu yatnatas // 6.177 //
   aśeṣapāpanirmuktaḥ sarvabhṛtyasamanvitaḥ /	aSeza-pApa-nirmuktaH sarva-BRtya-samanvitaH /
   kulatriṃśakam uddhṛtya suhṛdbhiḥ svajanaiḥ saha // 6.178 //	kula-triMSakam udDRtya suhRdBiH sva-janEH saha // 6.178 //
   sarvakāmayutair divyaiḥ svacchandagamanālayaiḥ /	sarva-kAma-yutEH divyEH svacCanda-gamana-AlayEH /
   mahāvimānaiḥ śrīmadbhir divyastrīparivāritaḥ // 6.179 //	mahA-vimAnEH SrImadBiH divya-strI-parivAritaH // 6.179 //
   icchayā krīḍate bhogaiḥ kalpakoṭiṃ śive pure /	icCayA krIxate BogEH kalpa-kowim Sive pure /
