   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   dṛṣṭvā[diṣṭyā] nivṛttapāpaughaḥ YS182v_4.42a	dRzwvA-a[dizwyA] nivRtta-pApa-oGaH YS182u-_4.42a
   dṛṣṭvāpatyaṃ tu śūdrāyāṃ YSS_2.65a	dRzwvA-apatyam tu SUdrAyAm YSH-_2.65a
   dṛṣṭvā sadyaḥ śucir bhavet YS182v_1.2d	dRzwvA sadyas SuciH Bavet YS182u-_1.2d
   dṛṣyate yasya tasya svaṃ YSS_2.36c	dRzyate yasya tasya svam YSH-_2.36c
   devatānāṃ pitṝṇāṃ ca YS99v_98a	devatAnAm pitLNAm ca YS99u-_98a
   devatāyatanāni ca YS99v_70b	devatAyatanAni ca YS99u-_70b
   devatārādhanaṃ tathā YS182v_4.22b	devatA-ArADanam taTA YS182u-_4.22b
   devadroṇyas tathaiva ca YS99v_69d	deva-droNyaH taTA-eva ca YS99u-_69d
   devabrahmasvayonyas tu YSS_2.29a	deva-brahma-sva-yonyaH tu YSH-_2.29a
   'deśadātāpratiśrayaḥ YSS_2.61d	adeSa-dAtA-pratiSrayaH YSH-_2.61d
   deśaṃ kālaṃ tathātmānaṃ YS78v_51a	deSam kAlam taTA-AtmAnam YS78u-_51a
   dehabhedam avāpnoti YSS_2.29c	dehaBedam avApnoti YSH-_2.29c
   daivikaṃ paitṛkaṃ ca yat YS182v_5.12b	dEvikam pEtRkam ca yat YS182u-_5.12b
   daivikaṃ paitṛkaṃ tathā YS182v_5.7d	dEvikam pEtRkam taTA YS182u-_5.7d
   daive pitrye ca karmaṇi YS182v_3.43d	dEve pitrye ca karmaNi YS182u-_3.43d
   doṣe kṛte tena nareṇa kartā YSS_1.43b	doze kRte tena nareNa kartA YSH-_1.43b
   doṣeṣv eteṣu somapāḥ YSS_2.53b	dozezu etezu somapAH YSH-_2.53b
   daurātmyād aprakurvatī YS99v_18b	dOrAtmyAt aprakurvatI YS99u-_18b
   dravyapradānena samāsamena YSS_1.49a	dravya-pradAnena samAsamena YSH-_1.49a
   dravyaṃ dravyaprayojanam YS78v_51b	dravyam dravya-prayojanam YS78u-_51b
   draṃṣṭrābhir bhakṣitā ye ca YS182v_4.31a	draMzwrABiH BakzitAH ye ca YS182u-_4.31a
   dvayaṃ saṃbadhyate tataḥ YSS_2.23b	dvayam saMbaDyate tatas YSH-_2.23b
   dviguṇaṃ go vrataṃ tasya YS99v_40c	dviguNam gaH vratam tasya YS99u-_40c
   dviguṇaṃ cen na dattaṃ ca YS99v_58a	dviguNam ced na dattam ca YS99u-_58a
   dviguṇaṃ tasya sūtake YSS_2.48d	dviguNam tasya sUtake YSH-_2.48d
   dviguṇaṃ daṇḍam āpnoti YSS_2.16c	dviguNam daNxam Apnoti YSH-_2.16c
   dviguṇaṃ daṇḍam āpnoti YSS_2.42c	dviguNam daNxam Apnoti YSH-_2.42c
   dviguṇaṃ dāpayed damaṃ YSS_2.14d	dviguNam dApayet damam YSH-_2.14d
   dviguṇaṃ pratipīḍānāṃ YSS_2.52c	dviguNam pratipIxAnAm YSH-_2.52c
   dviguṇaṃ vratam ādiśet YS99v_57b	dviguNam vratam AdiSet YS99u-_57b
   dviguṇe tu vrate cīrṇe YS99v_57c	dviguNe tu vrate cIrNe YS99u-_57c
   dviguṇaiva tu dakṣiṇā YS99v_57d	dviguNA-eva tu dakziNA YS99u-_57d
   dvijaś cāndrāyaṇaṃ caret YS182v_3.31d	dvijaH cAndrAyaNam caret YS182u-_3.31d
   dvijair utpāditāś ca ye YSS_1.37Ab	dvijEH utpAditAH ca ye YSH-_1.37a-ab
   dvijo maithunakārakaḥ YS182v_1.15b	dvijaH mETuna-kArakaH YS182u-_1.15b
   dvitīye nāsti doṣas tu YS99v_75c	dvitIye na-asti dozaH tu YS99u-_75c
   dvitīye śmaśru vāpayet YS78v_72b	dvitIye SmaSru vApayet YS78u-_72b
   dvitīye samupasthite YS99v_75b	dvitIye samupasTite YS99u-_75b
   dvitryabdaṃ hi viśiṣyate YS182v_4.33d	dvi-tri-abdam hi viSizyate YS182u-_4.33d
   dvi pāde śmaśrukevalam YS99v_53b	dvi pAde SmaSru-kevalam YS99u-_53b
   dve pituḥ piṇḍadānaṃ syāt YS99v_79a	dve pituH piNxa-dAnam syAt YS99u-_79a
   dvau pādau gātrasaṃbhave YS99v_43b	dvO pAdO gAtra-saMBave YS99u-_43b
   dvau māsau pañcagavyena YS182v_3.6c	dvO mAsO paQcagavyena YS182u-_3.6c
   dvau māsau bhakṣya bhojyaṃ ca YS182v_3.6a	dvO mAsO Bakzya Bojyam ca YS182u-_3.6a
   dvau māsau yāvakena tu YS182v_3.6b	dvO mAsO yAvakena tu YS182u-_3.6b
   dharmam arthaṃ tathāyuṣyaṃ YSS_2.75c	Darmam arTam taTA-Ayuzyam YSH-_2.75c
   dharmaśāstraṃ pravartate YS78v_1d	Darma-SAstram pravartate YS78u-_1d
   dharmaśāstrānusāreṇa YS182v_4.27a	Darma-SAstra-anusAreNa YS182u-_4.27a
   dharmārthakāmapratipattihetor YSS_1.46c	Darma-arTa-kAma-pratipatti-hetoH YSH-_1.46c
   dharmārthavādeṣu gavādayo hi YSS_1.53a	Darma-arTa-vAdezu gavA-AdayaH hi YSH-_1.53a
   dhānyaṃ pulākapāṣāṇaiḥ YSS_2.39a	DAnyam pulAkapAzANEH YSH-_2.39a
   dhārāsvahastaṃ pravadanti pāpaṃ YSS_1.54d	DArAsu-ahastam pravadanti pApam YSH-_1.54d
   nakārakas tu prabhur eṣa dharmaḥ YSS_1.48d	nakArakaH tu praBuH eza DarmaH YSH-_1.48d
   na kuryād vaidikīṃ śrutim YS182v_4.16d	na kuryAt vEdikIm Srutim YS182u-_4.16d
   na kuryād vaidikīṃ śrutim YS78v_73d	na kuryAt vEdikIm Srutim YS78u-_73d
   naktaṃ rātrau tu janitā YSS_2.31a	naktam rAtrO tu janitA YSH-_2.31a
   na gacchantīm anuvrajet YS99v_55d	na gacCantIm anuvrajet YS99u-_55d
   na grāhyāḥ sapta mṛttikāḥ YS99v_67d	na grAhyAH sapta mRttikAH YS99u-_67d
   na ca govrajanaṃ smṛtam YS182v_4.16b	na ca go-vrajanam smRtam YS182u-_4.16b
   na ca goṣṭhe nivāsaṃ ca YS99v_55c	na ca gozWe nivAsam ca YS99u-_55c
   na ca goṣṭhe vased rātrau YS182v_4.16c	na ca gozWe vaset rAtrO YS182u-_4.16c
   na ca datto 'pyahīno 'ti- YS182v_5.17c	na ca dattaH api-ahInaH ati YS182u-_5.17c
   na ca rātrau vased goṣṭhe YS78v_73c	na ca rAtrO vaset gozWe YS78u-_73c
   na ca vīrāsanaṃ tathā YS99v_55b	na ca vIrAsanam taTA YS99u-_55b
   na ca sā gām anuvrajet YS78v_73b	na ca sA gAm anuvrajet YS78u-_73b
   na cet tān pīḍayed rājā YS99v_60a	na ced tAn pIxayet rAjA YS99u-_60a
   na jñāyate kasya mṛtopaghātaiḥ YSS_1.55b	na jQAyate kasya mRta-upaGAtEH YSH-_1.55b
   naṭāṃ [ṭīṃ] śailūṣikāṃ caiva YS182v_2.1a	nawAm [wIM] SElUzikAm ca-eva YS182u-_2.1a
   naṭo buruḍa eva ca YSS_1.32b	nawaH buruxaH eva ca YSH-_1.32b
   naṭo buruḍa eva ca YS99v_33b	nawaH buruxaH eva ca YS99u-_33b
   naṭo vuruḍa eva ca YS78v_54b	nawaH vuruxaH eva ca YS78u-_54b
   na tasya punar āvṛttir YS99v_90c	na tasya punar AvRttiH YS99u-_90c
   na tu daṇḍo vidhīyate YSS_2.15b	na tu daNxaH viDIyate YSH-_2.15b
   na tu mātā kadācana YS99v_19d	na tu mAtA kadAcana YS99u-_19d
   na tu śūdrāṅganāṃ gataḥ YSS_2.71d	na tu SUdra-aFganAm gataH YSH-_2.71d
   na tu haste kadācana YS182v_3.30b	na tu haste kadAcana YS182u-_3.30b
   nadīkāntāramantike YS78v_71d	nadIkAntAram-antike YS78u-_71d
   na doṣo rodha bandhayoḥ YS99v_52d	na dozaH roDa banDayoH YS99u-_52d
   na pātake 'rtthadaṇḍo 'sti YSS_2.3a	na pAtake artTa-daNxaH asti YSH-_2.3a
   na bhavaty eva cānyathā YS182v_4.48d	na Bavati eva ca-anyaTA YS182u-_4.48d
   narakaṃ pratigacchati YS182v_3.53d	narakam pratigacCati YS182u-_3.53d
   narakeṣu ca pacyante YS182v_4.6c	narakezu ca pacyante YS182u-_4.6c
   naraṃ samayalaṅghinaṃ YSS_2.25d	naram samaya-laFGinam YSH-_2.25d
   naraṃ saṃsargapātakaṃ YSS_2.26d	naram saMsarga-pAtakam YSH-_2.26d
   naraḥ saṃdhyādirātriṣu YSS_1.5d	naraH saMDyA-Adi-rAtrizu YSH-_1.5d
   navame 'ti ca śudhyahni YS182v_2.5d	navame ati ca SuDi-ahni YS182u-_2.5d
   navavarṣā ca rohiṇī YS182v_3.21b	nava-varzA ca rohiNI YS182u-_3.21b
   na vaset tatra rātrau tu YS99v_64c	na vaset tatra rAtrO tu YS99u-_64c
   navaite putravatpālyāḥ YS182v_5.19c	navA-ete putra-vat-pAlyAH YS182u-_5.19c
   navaite pratyavasitāḥ YSS_1.8a	navA-ete pratyavasitAH YSH-_1.8a
   navaite pratyavasitāḥ YS182v_1.4a	navA-ete pratyavasitAH YS182u-_1.4a
   navaite pratyavasitāḥ YS99v_23a	navA-ete pratyavasitAH YS99u-_23a
   na śūdrī vṛṣalī bhavet YS78v_27d	na SUdrI vRzalI Bavet YS78u-_27d
   naśyatīti na saṃdeha YS182v_4.58c	naSyati-iti na saMdeha YS182u-_4.58c
   na sa tatra viśuddhyati YS78v_9d	na sa tatra viSudDi-ati YS78u-_9d
   na striyā vapanaṃ kāryaṃ YS99v_55a	na striyAH vapanam kAryam YS99u-_55a
   na strīṇāṃ vapanaṃ kuryāt YS78v_73a	na strINAm vapanam kuryAt YS78u-_73a
   na strīṇāṃ vapanaṃ kuryān YS182v_4.16a	na strINAm vapanam kuryAn YS182u-_4.16a
   na hy uttaraṃ naiva kṛtaṃ kṛtās te YSS_1.39d	na hi uttaram na-eva kRtam kRtAH te YSH-_1.39d
   nācakṣate dharmavidas tathaiva YSS_1.53d	na-Acakzate Darma-vidaH taTA-eva YSH-_1.53d
   nātra kāryāvicāraṇā YS182v_4.56d	na-atra kArya-avicAraNAH YS182u-_4.56d
   nātra kāryā vicāraṇā YS182v_5.9b	na-atra kAryA vicAraNA YS182u-_5.9b
   nānyathā mama bhāṣitam YS182v_4.36d	na-anyaTA mama BAzitam YS182u-_4.36d
   nānyathā yamabhāṣitam YS182v_4.39d	na-anyaTA yama-BAzitam YS182u-_4.39d
   nānyathā yamabhāṣitam YS182v_4.53b	na-anyaTA yama-BAzitam YS182u-_4.53b
   nānyaśuddhir vidhīyate YSS_1.29d	na-anya-SudDiH viDIyate YSH-_1.29d
   nānyaṃ pratyabravīd yamaḥ YS182v_3.56b	na-anyam pratyabravIt yamaH YS182u-_3.56b
   nānyā śuddhir vidhīyate YS182v_3.7d	na-anyA SudDiH viDIyate YS182u-_3.7d
   nānyā śuddhir vidhīyate YS99v_35d	na-anyA SudDiH viDIyate YS99u-_35d
   nāparādho na pātakam YS182v_3.2b	na-aparADaH na pAtakam YS182u-_3.2b
   nāparādho na pātakam YS78v_16b	na-aparADaH na pAtakam YS78u-_16b
   nāparādho na pātakaṃ YSS_1.21b	na-aparADaH na pAtakam YSH-_1.21b
   nābhimātre jale sthitvā YS99v_92a	nABi-mAtre jale sTitvA YS99u-_92a
   nārī vā 'pi kumāro vā YS182v_4.5a	nArI vA api kumAraH vA YS182u-_4.5a
   nāvāyasa tṛṇāni ca YS78v_52b	na-avAyasa tRNAni ca YS78u-_52b
   nāvibhaktāḥ kadācana YS182v_5.16b	na-aviBaktAH kadAcana YS182u-_5.16b
   nāsya sūtakitā bhavet YS78v_75d	na-asya sUtakitA Bavet YS78u-_75d
   nikarṣan viṣamopame YSS_2.46b	nikarzan vizama-upame YSH-_2.46b
   nigiranyadi meheta YS99v_6a	nigiranyadi meheta YS99u-_6a
   nityaṃ naimittikaṃ kāmyaṃ YS99v_82a	nityam nEmittikam kAmyam YS99u-_82a
   nityaṃ pratigrahe lubdho YS182v_3.36a	nityam pratigrahe lubDaH YS182u-_3.36a
   nityaṃ pratigrahe lubdho YS78v_31a	nityam pratigrahe lubDaH YS78u-_31a
   nityāntajīvo mriyate kadācid YSS_1.56c	nitya-anta-jIvaH mriyate kadAcid YSH-_1.56c
   nidrā śriyo nivarttante YS78v_77c	nidrA SriyaH nivarttante YS78u-_77c
   nimittī naiva lipyate YS99v_45d	nimittI na-eva lipyate YS99u-_45d
   nirāśāḥ pitaras tasya YS182v_3.38c	nirASAH pitaraH tasya YS182u-_3.38c
   nirāśāḥ pitaras tasya YS78v_34c	nirASAH pitaraH tasya YS78u-_34c
   nirāśāḥ pitaro gatāḥ YS182v_3.16d	nirASAH pitaraH gatAH YS182u-_3.16d
   nirāśāḥ pitaro gatāḥ YS182v_3.30d	nirASAH pitaraH gatAH YS182u-_3.30d
   nirāśāḥ pitaro gatāḥ YS78v_35d	nirASAH pitaraH gatAH YS78u-_35d
   nirāhārā śucis tiṣṭhet YS99v_12c	nirAhArA SuciH tizWet YS99u-_12c
   nirmatsaraḥ sadācāraḥ YS182v_3.42a	nirmatsaraH sat-AcAraH YS182u-_3.42a
   nirvapet trīn naraḥ piṇḍān YS99v_83c	nirvapet trIn naraH piNxAn YS99u-_83c
   nivartanīyo nṛpasaṃniyuktaiḥ YSS_1.55d	nivartanIyaH nRpa-saMniyuktEH YSH-_1.55d
   nivedya vratam ācaret YSS_2.2b	nivedya vratam Acaret YSH-_2.2b
   niśi snānaṃ vidhīyate YS99v_64b	niSi snAnam viDIyate YS99u-_64b
   niṣkṛtir na vidhīyate YS182v_3.15d	nizkRtiH na viDIyate YS182u-_3.15d
   niṣkṛtir naiva vidyate YS78v_28d	nizkRtiH na-eva vidyate YS78u-_28d
   niṣpāpakaḥ pātakaśuddhikāryāt YSS_1.55Ab	nizpApakaH pAtaka-SudDi-kAryAt YSH-_1.55a-ab
   niḥśalyakaraṇe caiva YS99v_51c	niHSalya-karaNe ca-eva YS99u-_51c
   niḥśvāsopagatasya ca YS182v_3.15b	niHSvAsa-upagatasya ca YS182u-_3.15b
   niḥśvāsopahatasya ca YS78v_28b	niHSvAsa-upahatasya ca YS78u-_28b
   naiteṣu bhaktapradadoṣam āhuḥ YSS_1.45d	na-etezu Bakta-prada-dozam AhuH YSH-_1.45d
   naiśaṃ pā([naśyetpā])paṃ hi yāṃ dhyātvā YS182v_4.52c	nESam pA([naSyet-pA])pam hi yAm DyAtvA YS182u-_4.52c
   nyāyena prathamena yaḥ YSS_2.76b	nyAyena praTamena yaH YSH-_2.76b
   pakveṣṭakacitāni ca YS78v_52d	pakva-izwaka-citAni ca YS78u-_52d
   paṅkeṣu vṛṣalīpatiḥ YSS_2.69d	paFkezu vRzalI-patiH YSH-_2.69d
   paṅktipāvana eva saḥ YS182v_3.41d	paFkti-pAvanaH eva saH YS182u-_3.41d
   paṅktau tulyo 'pi ca dvijaḥ YSS_2.69b	paFktO tulyaH api ca dvijaH YSH-_2.69b
   pañcagavyena śuddhiḥ syād YS182v_3.49c	paQcagavyena SudDiH syAt YS182u-_3.49c
   pañcagavyena śuddhyati YS78v_41d	paQcagavyena SudDi-ati YS78u-_41d
   pañcagavyena śudhyati YS182v_3.44d	paQcagavyena SuDyati YS182u-_3.44d
   pañcagavyena śudhyati YS182v_3.48b	paQcagavyena SuDyati YS182u-_3.48b
   pañcagavyena śudhyati YS182v_3.50d	paQcagavyena SuDyati YS182u-_3.50d
   pañcagavyena śudhyati YS182v_3.63d	paQcagavyena SuDyati YS182u-_3.63d
   pañcagavyena śudhyati YS99v_3d	paQcagavyena SuDyati YS99u-_3d
   pañcagavyena śudhyati YS99v_5d	paQcagavyena SuDyati YS99u-_5d
   pañcatvaṃ ca gato bhavet YS182v_5.9d	paQcatvam ca gataH Bavet YS182u-_5.9d
   pañcarātraṃ kuśodakam YS99v_38d	paQca-rAtram kuSa-udakam YS99u-_38d
   pañcavarṣāt parasya ca YS182v_3.1b	paQca-varzAt parasya ca YS182u-_3.1b
   pañcavarṣāt parasya ca YS78v_15b	paQca-varzAt parasya ca YS78u-_15b
   pañcaite grāmakaṇṭakāḥ YSS_2.18d	paQca-ete grAma-kaNwakAH YSH-_2.18d
   paṇañ caturdaśāpnoti YSS_2.48c	paNan caturdaSa-Apnoti YSH-_2.48c
   paṇan tāvad avāpnuyāt YSS_2.49b	paNan tAvat avApnuyAt YSH-_2.49b
   paṇāñ caturdaśāpnoti YSS_2.50c	paNAn caturdaSa-Apnoti YSH-_2.50c
   patitakṣetrasaṃbhūtāḥ YSS_1.34c	patita-kzetra-saMBUtAH YSH-_1.34c
   patitasya ca viprasya YS182v_4.40a	patitasya ca viprasya YS182u-_4.40a
   patitānāṃ ca viprāṇāṃ YS182v_4.35a	patitAnAm ca viprANAm YS182u-_4.35a
   patitāny uddhared yas tu YS99v_70c	patitAni udDaret yaH tu YS99u-_70c
   patitāyā bhavān yathā YS182v_4.47d	patitAyAH BavAn yaTA YS182u-_4.47d
   patnī yasya rajasvalā YS182v_5.7b	patnI yasya rajasvalA YS182u-_5.7b
   pathi grāmasya vikṣeptā YSS_2.41c	paTi grAmasya vikzeptA YSH-_2.41c
   pathi śrāntāya tulyāya YSS_2.61a	paTi SrAntAya tulyAya YSH-_2.61a
   padmoḍumbaravilvāś ca YS78v_47a	padma-uxumbara-vilvAH ca YS78u-_47a
   padmodumbarabilvānāṃ YS182v_3.63a	padma-udumbara-bilvAnAm YS182u-_3.63a
   panthā deyo 'thavāśramaṃ YSS_2.61b	panTAH deyaH aTavA-ASramam YSH-_2.61b
   paradāre nare ṣaṇḍe YSS_1.27a	para-dAre nare zaNxe YSH-_1.27a
   paradāreṣu sarveṣu YS99v_37c	para-dArezu sarvezu YS99u-_37c
   parapatnīṣu sarvāsu YSS_1.37Ac	para-patnIzu sarvAsu YSH-_1.37Ac
   parapuṃsagatā hi yā YS182v_4.37d	parapuMsa-gatAH hi yA YS182u-_4.37d
   paralokapradā hy amī YS182v_5.19d	para-loka-pradA hi amI YS182u-_5.19d
   parasya dāreṣu ca ye prasaktāḥ YSS_1.40c	parasya dArezu ca ye prasaktAH YSH-_1.40c
   parākaṃ kṛcchram ācaret YSS_1.31d	parAkam kRcCram Acaret YSH-_1.31d
   parāko mohasaṃgamāt YSS_1.11d	parAkaH moha-saMgamAt YSH-_1.11d
   parānnam api vātmanaḥ YSS_2.12b	para-annam api vA-AtmanaH YSH-_2.12b
   parābdikām pākavidhau pravṛttiṃ YSS_1.45c	parAbdikAm pAka-viDO pravRttim YSH-_1.45c
   parāvaraś caiva pare 'pare ca YSS_1.44b	parAvaraH ca-eva pare apare ca YSH-_1.44b
   pariyāpya kharājinaṃ YSS_2.21b	pariyApya Kara-ajinam YSH-_2.21b
   parītaṃ vottaraṃ vāsaḥ YSS_2.14a	parItam vA-uttaram vAsaH YSH-_2.14a
   pare 'pare lobhahatās tatas tu YSS_1.44a	pare apare loBa-hatAH tatas tu YSH-_1.44a
   parvotsavamahālaye YS99v_83b	parva-utsava-mahA-Alaye YS99u-_83b
   pavitraṃ sarvadā jalam YSS_1.3d	pavitram sarvadA jalam YSH-_1.3d
   pavitraṃ sarvadā jalam YS182v_3.70d	pavitram sarvadA jalam YS182u-_3.70d
   pavitraṃ sarvadā jalam YS78v_64d	pavitram sarvadA jalam YS78u-_64d
   pavitraṃ sarvadā jalam YS99v_96d	pavitram sarvadA jalam YS99u-_96d
   pavitraṃ sarvadā jalam YS99v_97d	pavitram sarvadA jalam YS99u-_97d
   paścāt sarvaṃ yathā vidhi YS182v_5.11d	paScAt sarvam yaTA viDi YS182u-_5.11d
   paścād apa upaspṛśet YS99v_5b	paScAt apaH upaspRSet YS99u-_5b
   paśyaty asaṃskṛtā rajaḥ YS182v_3.18b	paSyati asaMskRtAH rajaH YS182u-_3.18b
   pākhaṇḍī vedanindakaḥ YS182v_3.35b	pAKaNxI veda-nindakaH YS182u-_3.35b
   pāṇigrahaṇamantrābhyāṃ YS99v_84c	pANigrahaNa-mantrAByAm YS99u-_84c
   pātakena tu liptena YS78v_75c	pAtakena tu liptena YS78u-_75c
   pātityaṃ tu pracakṣate YSS_2.63d	pAtityam tu pracakzate YSH-_2.63d
   pātrabhūto dvijottamaḥ YS182v_3.42d	pAtra-BUtaH dvijottamaH YS182u-_3.42d
   pātrībhūtāś ca vijñeyā YS182v_4.54c	pAtrI-BUtAH ca vijQeyAH YS182u-_4.54c
   pādakṛcchran tu pādape YS78v_69d	pAda-kRcCran tu pAdape YS78u-_69d
   pādakṛcchraś ca jāyate YS182v_4.26b	pAdakRcCraH ca jAyate YS182u-_4.26b
   pādakṛcchraṃ tathottarā YS182v_3.66d	pAda-kRcCram taTA-uttarAH YS182u-_3.66d
   pādam utpannamātre tu YS99v_43a	pAdam utpanna-mAtre tu YS99u-_43a
   pādam ekaṃ tathottarā YS182v_3.67d	pAdam ekam taTA-uttarAH YS182u-_3.67d
   pādahīnaṃ caret pūrvā YS182v_3.67c	pAda-hInam caret pUrvAH YS182u-_3.67c
   pādahīnaṃ caret pūrvā YS78v_59c	pAda-hInam caret pUrvAH YS78u-_59c
   pādaṃ śūdrasya dāpayet YS182v_1.11d	pAdam SUdrasya dApayet YS182u-_1.11d
   pādārddhan tu tathottarā YS78v_59d	pAda-ArdDan tu taTA-uttarAH YS78u-_59d
   pāde caivāsya romāṇi YS99v_53a	pAde ca-eva-asya romANi YS99u-_53a
   pādonaṃ kṛcchram ācaṣṭe YS99v_43c	pAda-Unam kRcCram Acazwe YS99u-_43c
   pānīyaṃ pāvanaṃ nṛṇāṃ YSS_1.4d	pAnIyam pAvanam nRNAm YSH-_1.4d
   pāpakśayakaraḥ smṛtaḥ YS182v_4.26d	pApakSaya-karaH smRtaH YS182u-_4.26d
   pāpaṃ na kṣīyate hantur YS99v_58c	pApam na kzIyate hantuH YS99u-_58c
   pāpācāraparo bhavet YS182v_4.41d	pApa-AcAra-paraH Bavet YS182u-_4.41d
   pāpāc caiva nivṛttasya YS182v_4.40c	pApAt ca-eva nivRttasya YS182u-_4.40c
   pāpān niroddhuṃ na ca pāśadātuḥ YSS_1.54c	pApAt nirodDum na ca pASadAtuH YSH-_1.54c
   pāpā yad icchanti hitāya kartum YSS_1.57b	pApAH yat icCanti hitAya kartum YSH-_1.57b
   pāpī prakhyāpayet pāpaṃ YS182v_4.5c	pApI praKyApayet pApam YS182u-_4.5c
   pāmaratrāṭa [sa]śaṅktitā YS182v_4.12b	pAmara-trAwaH [sa]SaFkti-tA YS182u-_4.12b
   pāraṃparyeṇa saṃkīrṇā YSS_1.35c	pAraMparyeNa saMkIrNA YSH-_1.35c
   pārvaṇaṃ ceti vijñeyaṃ YS99v_82c	pArvaNam ca-iti vijQeyam YS99u-_82c
   pālāśe madhyame parṇe YS99v_74a	pAlASe maDyame parNe YS99u-_74a
   pāvamānīs tryahaṃ japet YSS_1.27d	pAvamAnIH tri-aham japet YSH-_1.27d
   pāśaṃ chittvā tatas tasya YS182v_1.6c	pASam CittvA tatas tasya YS182u-_1.6c
   pāśaṃ tasyaiva chittvā tu YS78v_5c	pASam tasya-eva CittvA tu YS78u-_5c
   pāśaṃś chittvā tathā tasya YSS_1.10c	pASan CittvA taTA tasya YSH-_1.10c
   pāśāṃś chittvā tathā tasya YS99v_27c	pASAn CittvA taTA tasya YS99u-_27c
   pāṣaṇḍī vedanindakaḥ YS78v_30b	pAzaNxI veda-nindakaH YS78u-_30b
   pāṣāṇe vā gavāṃ rujā YS99v_45b	pAzANe vA gavAm rujA YS99u-_45b
   pāṣāṇe śastraghātite YS182v_4.1b	pAzANe Sastra-GAtite YS182u-_4.1b
   pāṣāṇair dviguṇaṃ bhavet YS78v_69b	pAzANEH dviguNam Bavet YS78u-_69b
   pāṣāṇaiḥ śastraghātanaiḥ YS78v_66b	pAzANEH Sastra-GAtanEH YS78u-_66b
   piṇḍam ekaṃ tu nirvapet YS99v_81d	piNxam ekam tu nirvapet YS99u-_81d
   piṇḍe gotre ca sūtake YS99v_84b	piNxe gotre ca sUtake YS99u-_84b
   piṇḍe gotre ca sūtake YS99v_86d	piNxe gotre ca sUtake YS99u-_86d
   piṇḍe piṇḍe dvināmatā YS99v_79b	piNxe piNxe dvi-nAma-tA YS99u-_79b
   pitaras tāvad aśnanti YS182v_3.27c	pitaraH tAvat aSnanti YS182u-_3.27c
   pitaro yatra tarpitāḥ YS78v_39b	pitaraH yatra tarpitAH YS78u-_39b
   pitaro yānty atarpitāḥ YS182v_3.28b	pitaraH yAnti atarpitAH YS182u-_3.28b
   pitaro yānty adhogatim YS182v_4.37b	pitaraH yAnti aDogatim YS182u-_4.37b
   pitā pibati śoṇitam YS182v_3.20d	pitA pibati SoNitam YS182u-_3.20d
   pitā pibati śoṇitam YS78v_22d	pitA pibati SoNitam YS78u-_22d
   pitāmahy api svenaiva YS99v_80c	pitAmahI api svena-eva YS99u-_80c
   pitā vānyo 'pi bāndhavaḥ YSS_1.20d	pitA vA-anyaH api bAnDavaH YSH-_1.20d
   pitā vā 'nyo 'pi bāndhavaḥ YS182v_3.1d	pitA vA anyaH api bAnDavaH YS182u-_3.1d
   pitā vānyo 'pi bāndhavaḥ YS78v_15d	pitA vA-anyaH api bAnDavaH YS78u-_15d
   pitā hi patitaḥ kāmaṃ YS99v_19c	pitA hi patitaH kAmam YS99u-_19c
   pitur gehe tu yā kanyā YS182v_3.18a	pituH gehe tu yA kanyAH YS182u-_3.18a
   pituḥ pātrādikaṃ karma YS182v_5.11c	pituH pAtra-Adikam karma YS182u-_5.11c
   pitṛbhis tarpitaiḥ paścād YS182v_3.28c	pitRBiH tarpitEH paScAt YS182u-_3.28c
   pitṛbhis tarpitaiḥ paścād YS78v_39c	pitRBiH tarpitEH paScAt YS78u-_39c
   pitṛbhyo bhrātṛputrebhyo YS182v_5.22c	pitRByaH BrAtR-putreByaH YS182u-_5.22c
   pitṛvarṇā na te smṛtāḥ YSS_1.38b	pitR-varNAH na te smRtAH YSH-_1.38b
   pitṛvyabhrātṛbhāryāṃ ca YS182v_3.4a	pitRvya-BrAtR-BAryAm ca YS182u-_3.4a
   pitṝṇāṃ taṃ parīkṣyati YSS_2.66d	pitLNAm tam parIkzyati YSH-_2.66d
   pitṝṇāṃ nopatiṣṭheta YS182v_3.32c	pitLNAm na-upatizWeta YS182u-_3.32c
   pitṝṇāṃ sthānam ākāśaṃ YS99v_94c	pitLNAm sTAnam AkASam YS99u-_94c
   pitṝṇāṃ hitam icchatā YS99v_95d	pitLNAm hitam icCatA YS99u-_95d
   pibet puṣkaraparṇe vā YS99v_74c	pibet puzkaraparNe vA YS99u-_74c
   pibed ācamane dvijaḥ YS78v_65b	pibet Acamane dvijaH YS78u-_65b
   piśunaṃ kharam āropya YSS_2.21c	piSunam Karam Aropya YSH-_2.21c
   piśunā viṣayātmakāḥ YS182v_4.56b	piSunAH vizaya-AtmakAH YS182u-_4.56b
   piśuno matsaras tathā YS78v_29d	piSunaH matsaraH taTA YS78u-_29d
   piśuno matsarī tathā YS182v_3.34d	piSunaH matsarI taTA YS182u-_3.34d
   pītvāpaḥ pratigṛhya ca YS99v_34b	pItvA-apaH pratigRhya ca YS99u-_34b
   pītvā bhūmigataṃ jalam YS182v_1.8b	pItvA BUmi-gatam jalam YS182u-_1.8b
   pītvā vāpidadaṃ dvijaḥ YSS_2.56b	pItvA vApi-dadam dvijaH YSH-_2.56b
