   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   BhP_06.15.013/2 durvāsā yājñavalkyaśca jātukarṇastathāruṇiḥ	Bhu-_06.15.013/2 durvAsAH yAjQavalkyaH-ca jAtukarNaH-taTA-aruNiH
   BhP_06.15.014/1 romaśaścyavano datta āsuriḥ sapatañjaliḥ	Bhu-_06.15.014/1 romaSaH-cyavanaH dattaH AsuriH sa-pataQjaliH
   BhP_06.15.014/2 ṛṣirvedaśirā dhaumyo muniḥ pañcaśikhastathā	Bhu-_06.15.014/2 RziH-vedaSirAH DOmyaH muniH paQcaSiKaH-taTA
   BhP_06.15.015/1 hiraṇyanābhaḥ kauśalyaḥ śrutadeva ṛtadhvajaḥ	Bhu-_06.15.015/1 hiraNyanABaH kOSalyaH SrutadevaH RtaDvajaH
   BhP_06.15.015/2 ete pare ca siddheśāścaranti jñānahetavaḥ	Bhu-_06.15.015/2 ete pare ca sidDeSAH-caranti jQAna-hetavaH
   BhP_06.15.016/1 tasmādyuvāṃ grāmyapaśormama mūḍhadhiyaḥ prabhū	Bhu-_06.15.016/1 tasmAt-yuvAm grAmyapaSoH-mama mUXaDiyaH praBU
   BhP_06.15.016/2 andhe tamasi magnasya jñānadīpa udīryatām	Bhu-_06.15.016/2 anDe tamasi magnasya jQAna-dIpaH udIryatAm
   BhP_06.15.017/0 śrīaṅgirā uvāca	Bhu-_06.15.017/0 SrIaFgirAH uvAca
   BhP_06.15.017/1 ahaṃ te putrakāmasya putrado 'smy aṅgirā nṛpa	Bhu-_06.15.017/1 aham te putra-kAmasya putra-daH asmi aFgirAH nRpa
   BhP_06.15.017/2 eṣa brahmasutaḥ sākṣān nārado bhagavān ṛṣiḥ	Bhu-_06.15.017/2 eza brahma-sutaH sAkzAt nAradaH BagavAn RziH
   BhP_06.15.018/1 itthaṃ tvāṃ putraśokena magnaṃ tamasi dustare	Bhu-_06.15.018/1 itTam tvAm putra-Sokena magnam tamasi dustare
   BhP_06.15.018/2 atadarhamanusmṛtya mahāpuruṣagocaram	Bhu-_06.15.018/2 atadarham-anusmRtya mahApuruza-gocaram
   BhP_06.15.019/1 anugrahāya bhavataḥ prāptāvāvāmiha prabho	Bhu-_06.15.019/1 anugrahAya BavataH prAptO=-AvAm-iha praBo
   BhP_06.15.019/2 brahmaṇyo bhagavadbhakto nāvāsāditumarhasi	Bhu-_06.15.019/2 brahmaNyaH Bagavat-BaktaH na-A=-AsAditum-arhasi
   BhP_06.15.020/1 tadaiva te paraṃ jñānaṃ dadāmi gṛhamāgataḥ	Bhu-_06.15.020/1 tadA-eva te param jQAnam dadAmi gRham-AgataH
   BhP_06.15.020/2 jñātvānyābhiniveśaṃ te putrameva dadāmy aham	Bhu-_06.15.020/2 jQAtvA-anya-aBiniveSam te putram-eva dadAmi aham
   BhP_06.15.021/1 adhunā putriṇāṃ tāpo bhavataivānubhūyate	Bhu-_06.15.021/1 aDunA putriNAm tApaH BavatA-eva-anuBUyate
   BhP_06.15.021/2 evaṃ dārā gṛhā rāyo vividhaiśvaryasampadaḥ	Bhu-_06.15.021/2 evam dArAH gRhAH rAyaH viviDa-ESvarya-sampadaH
   BhP_06.15.022/1 śabdādayaśca viṣayāścalā rājyavibhūtayaḥ	Bhu-_06.15.022/1 Sabda-AdayaH-ca vizayAH-calAH rAjya-viBUtayaH
   BhP_06.15.022/2 mahī rājyaṃ balaṃ koṣo bhṛtyāmātyasuhṛjjanāḥ	Bha-a_06.15.022/2 mahI rAjyam balam kozaH BRtya-amAtya-suhRd-janAH
   BhP_06.15.023/1 sarve 'pi śūraseneme śokamohabhayārtidāḥ	Bhu-_06.15.023/1 sarve api SUrasena-ime Soka-moha-Baya-Arti-dAH
   BhP_06.15.023/2 gandharvanagaraprakhyāḥ svapnamāyāmanorathāḥ	Bhu-_06.15.023/2 ganDarvanagara-praKyAH svapna-mAyA-manoraTAH
   BhP_06.15.024/1 dṛśyamānā vinārthena na dṛśyante manobhavāḥ	Bhu-_06.15.024/1 dRSyamAnAH vinA-arTena na dRSyante manoBavAH
   BhP_06.15.024/2 karmabhirdhyāyato nānā karmāṇi manaso 'bhavan	Bhu-_06.15.024/2 karmaBiH-DyAyataH nAnA karmANi manasaH aBavan
   BhP_06.15.025/1 ayaṃ hi dehino deho dravyajñānakriyātmakaḥ	Bhu-_06.15.025/1 ayam hi dehinaH dehaH dravya-jQAna-kriyA-AtmakaH
   BhP_06.15.025/2 dehino vividhakleśa santāpakṛdudāhṛtaḥ	Bhu-_06.15.025/2 dehinaH viviDa-kleSa santApa-kRt-udAhRtaH
   BhP_06.15.026/1 tasmāt svasthena manasā vimṛśya gatimātmanaḥ	Bhu-_06.15.026/1 tasmAt svasTena manasA vimRSya gatim-AtmanaH
   BhP_06.15.026/2 dvaite dhruvārthaviśrambhaṃ tyajopaśamamāviśa	Bhu-_06.15.026/2 dvEte Druva-arTa-viSramBam tyaja-upaSamam-AviSa
   BhP_06.15.027/0 śrīnārada uvāca	BhP_06.15.027/0 SrI-nAradaH uvAca
   BhP_06.15.027/1 etāṃ mantropaniṣadaṃ pratīccha prayato mama	Bhu-_06.15.027/1 etAm mantra-upanizadam pratIcCa prayataH mama
   BhP_06.15.027/2 yāṃ dhārayan saptarātrāddraṣṭā saṅkarṣaṇaṃ vibhum	Bhu-_06.15.027/2 yAm DArayan sapta-rAtrAt-drazwA saFkarzaNam viBum
   BhP_06.15.028/1 yatpādamūlamupasṛtya narendra pūrve	Bhu-_06.15.028/1 yat-pAda-mUlam-upasRtya narendra pUrve
   BhP_06.15.028/2 śarvādayo bhramamimaṃ dvitayaṃ visṛjya	Bhu-_06.15.028/2 Sarva-AdayaH Bramam-imam dvitayam visRjya
   BhP_06.15.028/3 sadyastadīyamatulānadhikaṃ mahitvaṃ	BhP_06.15.028/3 sadyas-tadIyam-atulA-an-aDikam mahitvam
   BhP_06.15.028/4 prāpurbhavān api paraṃ na cirādupaiti	Bhu-_06.15.028/4 prApuH-BavAn api param na cirAt-upEti
   BhP_06.16.001/0 śrībādarāyaṇiruvāca	Bhu-_06.16.001/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.16.001/1 atha devaṛṣī rājan samparetaṃ nṛpātmajam	Bhu-_06.16.001/1 aTa devaRzI rAjan samparetam nRpa-Atmajam
   BhP_06.16.001/2 darśayitveti hovāca jñātīnāmanuśocatām	Bhu-_06.16.001/2 darSayitvA-iti ha-uvAca jQAtInAm-anuSocatAm
   BhP_06.16.002/0 śrīnārada uvāca	BhP_06.16.002/0 SrI-nAradaH uvAca
   BhP_06.16.002/1 jīvātman paśya bhadraṃ te mātaraṃ pitaraṃ ca te	Bhu-_06.16.002/1 jIvAtman paSya Badram te mAtaram pitaram ca te
   BhP_06.16.002/2 suhṛdo bāndhavāstaptāḥ śucā tvatkṛtayā bhṛśam	Bhu-_06.16.002/2 suhRdaH bAnDavAH-taptAH SucA tvad-kRtayA BRSam
   BhP_06.16.003/1 kalevaraṃ svamāviśya śeṣamāyuḥ suhṛdvṛtaḥ	Bhu-_06.16.003/1 kalevaram svam-AviSya Sezam-AyuH suhRd-vRtaH
   BhP_06.16.003/2 bhuṅkṣva bhogān pitṛprattān adhitiṣṭha nṛpāsanam	Bhu-_06.16.003/2 BuFkzva BogAn pitR-prattAn aDitizWa nRpAsanam
   BhP_06.16.004/0 jīva uvāca	BhP_06.16.004/0 jIvaH uvAca
   BhP_06.16.004/1 kasmin janmany amī mahyaṃ pitaro mātaro 'bhavan	Bhu-_06.16.004/1 kasmin janmani amI mahyam pitaraH mAtaraH aBavan
   BhP_06.16.004/2 karmabhirbhrāmyamāṇasya devatiryaṅnṛyoniṣu	Bhu-_06.16.004/2 karmaBiH-BrAmyamANasya deva-tiryak-nR-yonizu
   BhP_06.16.005/1 bandhujñātyarimadhyastha mitrodāsīnavidviṣaḥ	Bhu-_06.16.005/1 banDu-jQAti-ari-maDya-sTa mitra-udAsIna-vidvizaH
   BhP_06.16.005/2 sarva eva hi sarveṣāṃ bhavanti kramaśo mithaḥ	Bhu-_06.16.005/2 sarve eva hi sarvezAm Bavanti kramaSas miTas-
   BhP_06.16.006/1 yathā vastūni paṇyāni hemādīni tatastataḥ	Bhu-_06.16.006/1 yaTA vastUni paNyAni hema-AdIni tatas-tatas-
   BhP_06.16.006/2 paryaṭanti nareṣvevaṃ jīvo yoniṣu kartṛṣu	Bhu-_06.16.006/2 paryawanti narezu-evam jIvaH yonizu kartRzu
   BhP_06.16.007/1 nityasyārthasya sambandho hy anityo dṛśyate nṛṣu	Bhu-_06.16.007/1 nityasya-arTasya sambanDaH hi anityaH dRSyate nRzu
   BhP_06.16.007/2 yāvadyasya hi sambandho mamatvaṃ tāvadeva hi	Bhu-_06.16.007/2 yAvat-yasya hi sambanDaH mamatvam tAvat-eva hi
   BhP_06.16.008/1 evaṃ yonigato jīvaḥ sa nityo nirahaṅkṛtaḥ	Bhu-_06.16.008/1 evam yoni-gataH jIvaH sa nityaH nirahaFkRtaH
   BhP_06.16.008/2 yāvadyatropalabhyeta tāvat svatvaṃ hi tasya tat	Bhu-_06.16.008/2 yAvat-yatra-upalaByeta tAvat sva-tvam hi tasya tat-
   BhP_06.16.009/1 eṣa nityo 'vyayaḥ sūkṣma eṣa sarvāśrayaḥ svadṛk	Bhu-_06.16.009/1 eza nityaH avyayaH sUkzmaH eza sarva-ASrayaH sva-dRS-
   BhP_06.16.009/2 ātmamāyāguṇairviśvamātmānaṃ sṛjate prabhuḥ	Bhu-_06.16.009/2 Atma-mAyA-guNEH-viSvam-AtmAnam sRjate praBuH
   BhP_06.16.010/1 na hy asyāsti priyaḥ kaścin nāpriyaḥ svaḥ paro 'pi vā	Bhu-_06.16.010/1 na hi asya-asti priyaH kaScid na-apriyaH svar paraH api vA
   BhP_06.16.010/2 ekaḥ sarvadhiyāṃ draṣṭā kartṝṇāṃ guṇadoṣayoḥ	Bhu-_06.16.010/2 ekaH sarva-DiyAm drazwA kartLNAm guNa-dozayoH
   BhP_06.16.011/1 nādatta ātmā hi guṇaṃ na doṣaṃ na kriyāphalam	Bhu-_06.16.011/1 na-adattaH AtmA hi guNam na dozam na kriyA-Palam
   BhP_06.16.011/2 udāsīnavadāsīnaḥ parāvaradṛg īśvaraḥ	Bhu-_06.16.011/2 udAsIna-vat-AsInaH parAvara-dRS ISvaraH
   BhP_06.16.012/0 śrībādarāyaṇiruvāca	Bhu-_06.16.012/0 SrI-bAdarAyaNiH-uvAca
   BhP_06.16.012/1 ity udīrya gato jīvo jñātayastasya te tadā	Bhu-_06.16.012/1 iti udIrya gataH jIvaH jQAtayaH-tasya te tadA
   BhP_06.16.012/2 vismitā mumucuḥ śokaṃ chittvātmasnehaśṛṅkhalām	Bhu-_06.16.012/2 vismitA mumucuH Sokam CittvA-Atma-sneha-SRFKalAm
   BhP_06.16.013/1 nirhṛtya jñātayo jñāterdehaṃ kṛtvocitāḥ kriyāḥ	Bhu-_06.16.013/1 nirhRtya jQAtayaH jQAteH-deham kRtvA-ucitAH kriyAH
   BhP_06.16.013/2 tatyajurdustyajaṃ snehaṃ śokamohabhayārtidam	Bhu-_06.16.013/2 tatyajuH-dustyajam sneham Soka-moha-Baya-Arti-dam
   BhP_06.16.014/1 bālaghnyo vrīḍitāstatra bālahatyāhataprabhāḥ	Bhu-_06.16.014/1 bAla-GnyaH vrIxitAH-tatra bAla-hatyA-hata-praBAH
   BhP_06.16.014/2 bālahatyāvrataṃ cerurbrāhmaṇairyan nirūpitam	Bhu-_06.16.014/2 bAla-hatyA-vratam ceruH-brAhmaNEH-yat nirUpitam
   BhP_06.16.014/3 yamunāyāṃ mahārāja smarantyo dvijabhāṣitam	Bhu-_06.16.014/3 yamunAyAm mahA-rAja smarantyaH dvija-BAzitam
   BhP_06.16.015/1 sa itthaṃ pratibuddhātmā citraketurdvijoktibhiḥ	Bhu-_06.16.015/1 saH itTam pratibudDa-AtmA citraketuH-dvijoktiBiH
   BhP_06.16.015/2 gṛhāndhakūpān niṣkrāntaḥ saraḥpaṅkādiva dvipaḥ	Bhu-_06.16.015/2 gRha-anDa-kUpAt nizkrAntaH saraH-paFkAt-iva dvipaH
   BhP_06.16.016/1 kālindyāṃ vidhivat snātvā kṛtapuṇyajalakriyaḥ	Bhu-_06.16.016/1 kAlindyAm viDivat snAtvA kRta-puNya-jala-kriyaH
   BhP_06.16.016/2 maunena saṃyataprāṇo brahmaputrāvavandata	Bhu-_06.16.016/2 mOnena saMyata-prANaH brahma-putrO=-avandata
   BhP_06.16.017/1 atha tasmai prapannāya bhaktāya prayatātmane	Bhu-_06.16.017/1 aTa tasmE prapannAya BaktAya prayata-Atmane
   BhP_06.16.017/2 bhagavān nāradaḥ prīto vidyāmetāmuvāca ha	Bhu-_06.16.017/2 BagavAn nAradaH prItaH vidyAm-etAm-uvAca ha
   BhP_06.16.018/1 oṃ namastubhyaṃ bhagavate vāsudevāya dhīmahi	Bhu-_06.16.018/1 om namaH-tuByam Bagavate vAsudevAya DImahi
   BhP_06.16.018/2 pradyumnāyāniruddhāya namaḥ saṅkarṣaṇāya ca	Bhu-_06.16.018/2 pradyumnAya-anirudDAya namaH saFkarzaNAya ca
   BhP_06.16.019/1 namo vijñānamātrāya paramānandamūrtaye	Bhu-_06.16.019/1 namaH vijQAna-mAtrAya parama-Ananda-mUrtaye
   BhP_06.16.019/2 ātmārāmāya śāntāya nivṛttadvaitadṛṣṭaye	Bhu-_06.16.019/2 Atma-ArAmAya SAntAya nivRtta-dvEta-dRzwaye
   BhP_06.16.020/1 ātmānandānubhūtyaiva nyastaśaktyūrmaye namaḥ	Bhu-_06.16.020/1 Atma-Ananda-anuBUtyA-eva nyasta-Sakti-Urmaye namaH
   BhP_06.16.020/2 hṛṣīkeśāya mahate namaste 'nantamūrtaye	Bhu-_06.16.020/2 hRzIkeSAya mahate namaH-te ananta-mUrtaye
   BhP_06.16.021/1 vacasy uparate 'prāpya ya eko manasā saha	Bhu-_06.16.021/1 vacasi uparate aprApya yaH ekaH manasA saha
   BhP_06.16.021/2 anāmarūpaścinmātraḥ so 'vyān naḥ sadasatparaḥ	Bhu-_06.16.021/2 anAma-rUpaH-cit-mAtraH saH avyAt naH sat-asat-paraH
   BhP_06.16.022/1 yasminnidaṃ yataścedaṃ tiṣṭhaty apyeti jāyate	Bhu-_06.16.022/1 yasmin=-idam yatas-ca-idam tizWati apyeti jAyate
   BhP_06.16.022/2 mṛṇmayeṣviva mṛjjātistasmai te brahmaṇe namaḥ	Bhu-_06.16.022/2 mRNmayezu-iva mRd-jAtiH-tasmE te brahmaNe namaH
   BhP_06.16.023/1 yan na spṛśanti na vidurmanobuddhīndriyāsavaḥ	Bhu-_06.16.023/1 yat na spRSanti na viduH-manaH-budDi-indriya-asavaH
   BhP_06.16.023/2 antarbahiśca vitataṃ vyomavat tan nato 'smy aham	Bhu-_06.16.023/2 antar-bahis-ca vitatam vyoma-vat tat nataH asmi aham
   BhP_06.16.024/1 dehendriyaprāṇamanodhiyo 'mī yadaṃśaviddhāḥ pracaranti	Bhu-_06.16.024/1 deha-indriya-prANa-manaH-DiyaH amI yad-aMSa-vidDAH pracaranti
   karmasu	karmasu
   BhP_06.16.024/2 naivānyadā lauhamivāprataptaṃ sthāneṣu	Bhu-_06.16.024/2 na-eva-anyadA lOham-iva-aprataptam sTAnezu
   taddraṣṭrapadeśameti	tat-drazwR-apadeSam-eti
   BhP_06.16.025/1 oṃ namo bhagavate mahāpuruṣāya mahānubhāvāya	Bhu-_06.16.025/1 om namaH Bagavate mahApuruzAya mahA-anuBAvAya
   mahāvibhūtipataye	mahA-viBUti-pataye
   sakalasātvataparivṛḍhanikarakarakamalakuḍmalopalālitacaraṇāravindayugala	sakala-sAtvata-parivRXa-nikara-kara-kamala-kuxmala-upalAlita-caraNa-aravinda-yugala
   paramaparameṣṭhin namaste	parama-paramezWit namaH-te
   BhP_06.16.026/0 śrīśuka uvāca	BhP_06.16.026/0 SrI-SukaH uvAca
   BhP_06.16.026/1 bhaktāyaitāṃ prapannāya vidyāmādiśya nāradaḥ	Bhu-_06.16.026/1 BaktAya-etAm prapannAya vidyAm-AdiSya nAradaH
   BhP_06.16.026/2 yayāvaṅgirasā sākaṃ dhāma svāyambhuvaṃ prabho	Bhu-_06.16.026/2 yayO=-aFgirasA sAkam DAma svAyamBuvam praBo
   BhP_06.16.027/1 citraketustu tāṃ vidyāṃ yathā nāradabhāṣitām	BhP_06.16.027/1 citraketuH-tu tAm vidyAm yaTA nArada-BAzitAm
   BhP_06.16.027/2 dhārayāmāsa saptāhamabbhakṣaḥ susamāhitaḥ	Bhu-_06.16.027/2 DArayAmAsa sapta-aham-abBakzaH su-samAhitaH
   BhP_06.16.028/1 tataḥ sa saptarātrānte vidyayā dhāryamāṇayā	Bhu-_06.16.028/1 tatas sa sapta-rAtra-ante vidyayA DAryamANayA
   BhP_06.16.028/2 vidyādharādhipatyaṃ ca lebhe 'pratihataṃ nṛpa	Bhu-_06.16.028/2 vidyADara-ADipatyam ca leBe apratihatam nRpa
   BhP_06.16.029/1 tataḥ katipayāhobhirvidyayeddhamanogatiḥ	Bhu-_06.16.029/1 tatas katipaya-ahoBiH-vidyayet-DamanaH-gatiH
   BhP_06.16.029/2 jagāma devadevasya śeṣasya caraṇāntikam	Bhu-_06.16.029/2 jagAma devadevasya Sezasya caraNa-antikam
   BhP_06.16.030/1 mṛṇālagauraṃ śitivāsasaṃ sphurat	Bhu-_06.16.030/1 mRNAla-gOram SitivAsasam sPurat-
   kirīṭakeyūrakaṭitrakaṅkaṇam	kirIwa-keyUra-kawitra-kaFkaNam
   BhP_06.16.030/2 prasannavaktrāruṇalocanaṃ vṛtaṃ dadarśa	Bhu-_06.16.030/2 prasanna-vaktra-aruNa-locanam vRtam dadarSa
   siddheśvaramaṇḍalaiḥ prabhum	sidDeSvara-maNxalEH praBum
   BhP_06.16.031/1 taddarśanadhvastasamastakilbiṣaḥ svasthāmalāntaḥkaraṇo	Bhu-_06.16.031/1 tad-darSana-Dvasta-samasta-kilbizaH svasTa-amala-antaHkaraNaH-
   'bhyayān muniḥ	aByayAt muniH
   BhP_06.16.031/2 pravṛddhabhaktyā praṇayāśrulocanaḥ	Bhu-_06.16.031/2 pravRdDa-BaktyA praNaya-aSru-locanaH
   prahṛṣṭaromānamadādipuruṣam	prahRzwa-romAna-mada-Adi-puruzam
   BhP_06.16.032/1 sa uttamaślokapadābjaviṣṭaraṃ premāśruleśairupamehayan	Bhu-_06.16.032/1 saH uttama-Sloka-pada-abja-vizwaram prema-aSru-leSEH-upamehayan
   muhuḥ	muhur-
   BhP_06.16.032/2 premoparuddhākhilavarṇanirgamo naivāśakat taṃ prasamīḍituṃ	Bhu-_06.16.032/2 prema-uparudDa-aKila-varNa-nirgamaH na-eva-aSakat tam prasamIxitum
   ciram	ciram
   BhP_06.16.033/1 tataḥ samādhāya mano manīṣayā babhāṣa etat pratilabdhavāg	Bhu-_06.16.033/1 tatas samADAya manaH manIzayA baBAza etat pratilabDa-vAc-
   asau	asO
   BhP_06.16.033/2 niyamya sarvendriyabāhyavartanaṃ jagadguruṃ	Bhu-_06.16.033/2 niyamya sarva-indriya-bAhya-vartanam jagadgurum
   sātvataśāstravigraham	sAtvata-SAstra-vigraham
   BhP_06.16.034/0 citraketuruvāca	BhP_06.16.034/0 citraketuH-uvAca
   BhP_06.16.034/1 ajita jitaḥ samamatibhiḥ sādhubhirbhavān	Bhu-_06.16.034/1 ajita jitaH sama-matiBiH sADuBiH-BavAn
   jitātmabhirbhavatā	jita-AtmaBiH-BavatA
   BhP_06.16.034/2 vijitāste 'pi ca bhajatām akāmātmanāṃ ya ātmado 'tikaruṇaḥ	Bhu-_06.16.034/2 vijitAH-te api ca BajatAm akAma-AtmanAm yaH Atma-daH ati-karuNaH
   BhP_06.16.035/1 tava vibhavaḥ khalu bhagavan jagadudayasthitilayādīni	Bhu-_06.16.035/1 tava viBavaH Kalu Bagavan jagat-udaya-sTiti-laya-AdIni
   BhP_06.16.035/2 viśvasṛjaste 'ṃśāṃśās tatra mṛṣā spardhanti pṛthag	Bhu-_06.16.035/2 viSvasRjaH-te aMSa-aMSAH tatra mRzA sparDanti pRTak-
   abhimatyā	aBimatyA
   BhP_06.16.036/1 paramāṇuparamamahatos tvamādyantāntaravartī trayavidhuraḥ	Bhu-_06.16.036/1 paramANu-parama-mahatoH tvam-Adi-anta-antara-vartI traya-viDuraH
   BhP_06.16.036/2 ādāvante 'pi ca sattvānāṃ yaddhruvaṃ tadevāntarāle 'pi	Bhu-_06.16.036/2 AdO=-ante api ca sattvAnAm yat-Druvam tat-eva-antarAle api
   BhP_06.16.037/1 kṣityādibhireṣa kilāvṛtaḥ	Bhu-_06.16.037/1 kziti-AdiBiH-eza kila-AvRtaH
   saptabhirdaśaguṇottarairaṇḍakośaḥ	saptaBiH-daSaguNa-uttarEraNxa-koSaH
   BhP_06.16.037/2 yatra pataty aṇukalpaḥ sahāṇḍakoṭikoṭibhistadanantaḥ	Bhu-_06.16.037/2 yatra patati aNu-kalpaH saha-aNxa-kowi-kowiBiH-tad-anantaH
   BhP_06.16.038/1 viṣayatṛṣo narapaśavo ya upāsate vibhūtīrna paraṃ tvām	Bhu-_06.16.038/1 viza-ya-tRzaH nara-paSavaH yaH upAsate viBUtIH-na param tvAm
   BhP_06.16.038/2 teṣāmāśiṣa īśa tadanu vinaśyanti yathā rājakulam	Bhu-_06.16.038/2 tezAm-ASizaH ISa tadanu vinaSyanti yaTA rAja-kulam
   BhP_06.16.039/1 kāmadhiyastvayi racitā na parama rohanti yathā	Bhu-_06.16.039/1 kAmaDiyaH-tvayi racitA na parama rohanti yaTA
   karambhabījāni	karamBa-bIjAni
   BhP_06.16.039/2 jñānātmany aguṇamaye guṇagaṇato 'sya dvandvajālāni	Bhu-_06.16.039/2 jQAna-Atmani aguNa-maye guNa-gaNataH asya dvandva-jAlAni
   BhP_06.16.040/1 jitamajita tadā bhavatā yadāha bhāgavataṃ dharmamanavadyam	Bhu-_06.16.040/1 jitam-ajita tadA BavatA yat-Aha BAgavatam Darmam-anavadyam
   BhP_06.16.040/2 niṣkiñcanā ye munaya ātmārāmā yamupāsate 'pavargāya	Bhu-_06.16.040/2 nizkiQcanAH ye munayaH Atma-ArAmA yam-upAsate apavargAya
   BhP_06.16.041/1 viṣamamatirna yatra nṛṇāṃ tvamahamiti mama taveti ca	Bhu-_06.16.041/1 vizama-matiH-na yatra nRNAm tvam-aham-iti mama tava-iti ca
   yadanyatra	yat-anyatra
   BhP_06.16.041/2 viṣamadhiyā racito yaḥ sa hy aviśuddhaḥ	Bhu-_06.16.041/2 vizama-DiyA racitaH yaH sa hi aviSudDaH
   kṣayiṣṇuradharmabahulaḥ	kzayizNuH-aDarma-bahulaH
   BhP_06.16.042/1 kaḥ kṣemo nijaparayoḥ kiyān vārthaḥ svaparadruhā dharmeṇa	Bhu-_06.16.042/1 kaH kzemaH nija-parayoH kiyAn vA-arTaH sva-para-druhAH DarmeNa
   BhP_06.16.042/2 svadrohāt tava kopaḥ parasampīḍayā ca tathādharmaḥ	BhP_06.16.042/2 sva-drohAt tava kopaH para-sampIxayA ca taTA-aDarmaH
   BhP_06.16.043/1 na vyabhicarati tavekṣā yayā hy abhihito bhāgavato dharmaḥ	Bhu-_06.16.043/1 na vyaBicarati tava-IkzAH yayA hi aBihitaH BAgavataH DarmaH
   BhP_06.16.043/2 sthiracarasattvakadambeṣv apṛthagdhiyo yamupāsate tvāryāḥ	Bhu-_06.16.043/2 sTira-cara-sattva-kadambezu apRTak-DiyaH yam-upAsate tu-AryAH
   BhP_06.16.044/1 na hi bhagavannaghaṭitamidaṃ tvaddarśanān	Bhu-_06.16.044/1 na hi Bagavan=-aGawitam-idam tvad-darSanAn
   nṛṇāmakhilapāpakṣayaḥ	nRNAm-aKila-pApa-kzayaH
   BhP_06.16.044/2 yannāma sakṛc chravaṇāt pukkaśo 'pi vimucyate saṃsārāt	Bhu-_06.16.044/2 yat-nAma sakRt SravaNAt pukkaSaH api vimucyate saMsArAt-
   BhP_06.16.045/1 atha bhagavan vayamadhunā tvadavalokaparimṛṣṭāśayamalāḥ	Bhu-_06.16.045/1 aTa Bagavan vayam-aDunA tvad-avaloka-parimRzwa-ASaya-malAH
   BhP_06.16.045/2 suraṛṣiṇā yat kathitaṃ tāvakena kathamanyathā bhavati	BhP_06.16.045/2 sura-RziNA yat kaTitam tAvakena kaTam-anyaTA Bavati
   BhP_06.16.046/1 viditamananta samastaṃ tava jagadātmano janairihācaritam	Bhu-_06.16.046/1 viditam-ananta samastam tava jagadAtmanaH janEH-iha-Acaritam
   BhP_06.16.046/2 vijñāpyaṃ paramaguroḥ kiyadiva savituriva khadyotaiḥ	Bhu-_06.16.046/2 vijQApyam parama-guroH kiyat-iva savituH-iva KadyotEH
   BhP_06.16.047/1 namastubhyaṃ bhagavate sakalajagatsthitilayodayeśāya	Bhu-_06.16.047/1 namaH-tuByam Bagavate sakala-jagat-sTiti-laya-udaya-ISAya
   BhP_06.16.047/2 duravasitātmagataye kuyogināṃ bhidā paramahaṃsāya	Bhu-_06.16.047/2 duravasita-Atma-gataye ku-yoginAm BidA paramahaMsAya
   BhP_06.16.048/1 yaṃ vai śvasantamanu viśvasṛjaḥ śvasanti	Bhu-_06.16.048/1 yam vE Svasantam-anu viSvasRjaH Svasanti
   BhP_06.16.048/2 yaṃ cekitānamanu cittaya uccakanti	Bhu-_06.16.048/2 yam cekitAnam-anu cittayaH uccakanti
   BhP_06.16.048/3 bhūmaṇḍalaṃ sarṣapāyati yasya mūrdhni	Bhu-_06.16.048/3 BU-maNxalam sarzapAyati yasya mUrDni
   BhP_06.16.048/4 tasmai namo bhagavate 'stu sahasramūrdhne	Bhu-_06.16.048/4 tasmE namaH Bagavate astu sahasramUrDne
   BhP_06.16.049/0 śrīśuka uvāca	BhP_06.16.049/0 SrI-SukaH uvAca
   BhP_06.16.049/1 saṃstuto bhagavān evamanantastamabhāṣata	Bhu-_06.16.049/1 saMstutaH BagavAn evam-anantaH-tam-aBAzata
   BhP_06.16.049/2 vidyādharapatiṃ prītaścitraketuṃ kurūdvaha	Bhu-_06.16.049/2 vidyADara-patim prItaH-citraketum kuru-udvaha
   BhP_06.16.050/0 śrībhagavān uvāca	Bhu-_06.16.050/0 SrI-BagavAn uvAca
   BhP_06.16.050/1 yan nāradāṅgirobhyāṃ te vyāhṛtaṃ me 'nuśāsanam	BhP-_06.16.050/1 yat nArada-aFgiroByAm te vyAhRtam me anuSAsanam
   BhP_06.16.050/2 saṃsiddho 'si tayā rājan vidyayā darśanāc ca me	BhP-_06.16.050/2 saMsidDaH asi tayA rAjan vidyayA darSanAt ca me
   BhP_06.16.051/1 ahaṃ vai sarvabhūtāni bhūtātmā bhūtabhāvanaḥ	Bhu-_06.16.051/1 aham vE sarva-BUtAni BUtAtmA BUtaBAvanaH
   BhP_06.16.051/2 śabdabrahma paraṃ brahma mamobhe śāśvatī tanū	Bhu-_06.16.051/2 Sabdabrahma param brahma mama-uBe SASvatI tanU
   BhP_06.16.052/1 loke vitatamātmānaṃ lokaṃ cātmani santatam	Bhu-_06.16.052/1 loke vitatam-AtmAnam lokam ca-Atmani santatam
   BhP_06.16.052/2 ubhayaṃ ca mayā vyāptaṃ mayi caivobhayaṃ kṛtam	Bhu-_06.16.052/2 uBayam ca mayA vyAptam mayi ca-eva-uBayam kRtam
   BhP_06.16.053/1 yathā suṣuptaḥ puruṣo viśvaṃ paśyati cātmani	Bhu-_06.16.053/1 yaTA suzuptaH puruzaH viSvam paSyati ca-Atmani
