   kṛtirmaitreyanāthasya //	kRtiH-mEtreya-nATasya //
   śrīvatsaḥ svastikaṃ ceti buddhānuvyañjanaṃ matam // Abhs_8.32 //	SrIvatsaH svastikam ca-iti budDa-anuvyaQjanam matam // ABH-_8.32 //
   karoti yena citrāṇi hitāni jagataḥ samam /	karoti yena citrANi hitAni jagataH samam /
   ā bhavātso 'nupacChinnaḥ kayo nairmāṇiko muneḥ // Abhs_8.33 //	A BavAt-saH anupacChinnaH kayaH nErmANikaH muneH // ABH-_8.33 //
   tathā karmāpyanucChinnamasyāsaṃsāramiṣyate /	taTA karma-api-anucChid-nam-asya-asaMsAram-izyate /
   gatīnāṃ śamanaṃ karma saṃgrahe ca caturvidhe // Abhs_8.34 //	gatInAm Samanam karma saMgrahe ca caturviDe // ABH-_8.34 //
   niveśanaṃ sasaṃkleśe vyavadānāvabodhane /	niveSanam sa-saMkleSe vyavadAna-avaboDane /
   sattvānāmarthayāthātmye ṣaṭsu pāramitāsu ca // Abhs_8.35 //	sattvAnAm-arTa-yATAtmye zawsu pAramitAsu ca // ABH-_8.35 //
   buddhamārge prakṛtyaivaśunyatāyāṃ dvayakṣaye /	budDa-mArge prakRtyA-evaSunyatAyAm dvaya-kzaye /
   saṃkete 'nupalambhe ca paripāke ca hehinām // Abhs_8.36 //	saMkete anupalamBe ca paripAke ca hehinAm // ABH-_8.36 //
   bodhisattvasya mārge 'bhiniveśasya nivāraṇe /	boDisattvasya mArge aBiniveSasya nivAraNe /
   bodhiprāptu jinakṣetraviśuddhau niyatiṃ prati // Abhs_8.37 //	boDi-prAptu jina-kzetra-viSudDO niyatim prati // ABH-_8.37 //
   aprameye ca sattvarthe buddhasevādike guṇe /	aprameye ca sattvarTe budDa-sevA-Adike guNe /
   bodheraṅgeṣvanāśe ca karmaṇāṃ satyadarśane // Abhs_8.38 //	boDeH-aFgezu-anASe ca karmaNAm satya-darSane // ABH-_8.38 //
   viparyāsaprahāṇe ca tadavastukatānaye /	viparyAsa-prahANe ca tad-avastuka-tAnaye /
   vyavadāne sasaṃbhāre saṃskṛtāsaṃskṛte prati // Abhs_8.39 //	vyavadAne sa-saMBAre saMskRta-asaMskRte prati // ABH-_8.39 //
   vyatibhedāparijñāne virnāṇe ca niveśanam /	vyatiBeda-aparijQAne virnANe ca niveSanam /
   dharmakāyasya karmedaṃ saptavimśatidhā matam // Abhs_8.40 //	Darma-kAyasya karma-idam saptavimSatiDA matam // ABH-_8.40 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   dharmakāyādhikāro 'ṣṭamaḥ //	Darma-kAya-aDikAraH azwamaH //
   lakṣaṇaṃ tatprayogastatprakarṣastadanukramaḥ /	lakzaNam tad-prayogaH-tad-prakarzaH-tad-anukramaH /
   tanniṣṭā tadvipākascotyanyaḥ ṣeḍhārthasaṃgrahaḥ // 1 //	tat-nizwA tad-vipAkaH-coti-anyaH zeXA-arTa-saMgrahaH // 1 //
   viṣayastritayo hetuḥ prayogaścaturātmakaḥ /	vizayaH-tritayaH hetuH prayogaH-catur-AtmakaH /
   dharmakāyaḥ phalaṃ karmetyanyastredhārthasaṃgrahaḥ // 2 //	Darma-kAyaH Palam karma-iti-anyaH-treDA-arTa-saMgrahaH // 2 //
   abhisamayālaṅkāraṃ nāma prajñāpāramitopadeśaśāstraṃ samāptam //	aBisamaya-alaFkAram nAma prajQApAramitA-upadeSa-SAstram samAptam //
   kṛtirāryamaitreyanāthasya //	kRtiH-Arya-mEtreya-nATasya //
