   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   tathaiva nāyikāvasthā rādhāyāṃ prāyaśo matāḥ // GGS_159 //	taTA-eva nAyikA-avasTA rADAyAm prAyaSas matAH // GGS_159 //
   (UN 4.50-54)--	(Uj 4.50-54)--
   tasyā vṛndāvaneśvaryāḥ sakhyaḥ pañca-vidhā matāḥ /	tasyAH vRndAvana-ISvaryAH saKyaH paQca-viDAH matAH /
   sakhyaś ca nitya-sakhyaś ca prāṇa-sakhyaś ca kāścana /	saKyaH ca nitya-saKyaH ca prANa-saKyaH ca kAScana /
   priya-sakhyaś ca parama-preṣṭha-sakhyaś ca viśrutāḥ // GGS_160 //	priya-saKyaH ca parama--prezWa--saKyaH ca viSrutAH // GGS_160 //
   sakhyaḥ kusumikā-vindhyā-dhaniṣṭhādyāḥ prakīrtitāḥ /	saKyaH kusumikA-vinDya-a-DanizWA-AdyAH prakIrtitAH /
   nitya-sakhyaś ca kastūrī-maṇi-mañjarikādayaḥ // GGS_161 //	nitya-saKyaH ca kastUrI-maNi--maQjarikA-AdayaH // GGS_161 //
   prāṇa-sakhyaḥ śaśimukhī-vāsantī-lāsikādayaḥ /	prANa-saKyaH SaSi-muKI-vAsantI-lAsikA-AdayaH /
   gatā vṛndāvaneśvaryāḥ prāyeṇemāḥ svarūpatām // GGS_162 //	gatAH vRndAvana-ISvaryAH prAyeNa-imAH svarUpa-tAm // GGS_162 //
   priya-sakhyaḥ kuraṅgākṣī sumadhyā madanālasā /	priya-saKyaH kuraFga-akzI su-maDyA madana-alasA /
   kamalā mādhurī mañju-keśī kandarpa-sundarī /	kamalA mADurI maQju-keSI kandarpa-sundarI /
   mādhavī mālatī kāma-latā śaśikalādayaḥ // GGS_163 //	mADavI mAlatI kAma-latA SaSi-kalA-AdayaH // GGS_163 //
   parama-preṣṭha-sakhyas tu lalitā sa-viśākhikā /	parama--prezWa--saKyaH tu lalitA sa-viSAKikA /
   sa-citrā campakalatā tuṅgavidyendulekhikā /	sa-citrA campakalatA tuFga-vidyA-indu-leKikA /
   raṅgadevī sudevī cetyaṣṭau sarva-gaṇāgrimāḥ // GGS_164 //	raFgadevI sudevI ca-iti-azwO sarva--gaNa-agrimAH // GGS_164 //
   (UN 3.61)--	(Uj 3.61)--
   yūthādhipātve 'py aucityaṃ dadhānā lalitādayaḥ /	yUTADipAtve api Ocityam daDAnAH lalita-AdayaH /
   sveṣṭa-rādhādi-bhāvasya lobhāt sakhya-ruciṃ dadhuḥ // GGS_165 //	sva-izwa-rADa-Adi-BAvasya loBAt saKya-rucim daDuH // GGS_165 //
   madīyatā-bhāva-lakṣaṇaṃ yathā--	madIyatA--BAva--lakzaNam yaTA--
   śṛṅgāra-rasa-sarvasvaḥ kṛṣṇaḥ priyatamo mama /	SRFgAra--rasa--sarva-svaH kRzNaH priyatamaH mama /
   iti yaḥ prauḍha-nirbandho bhāvaḥ sa syān madīyatā // GGS_166 //	iti yaH prOXa--nirbanDaH BAvaH sa syAt madIyatA // GGS_166 //
   udāharaṇaṃ yathā -	udAharaNam yaTA -
   śikhi-piñcha-lasan-mukhāmbujo	SiKi-piQCa--lasan--muKa-ambujaH-
   muralīvān mama jīvaneśvaraḥ /	muralIvAn mama jIvana-ISvaraH /
   kva gato 'tra vihāya mām ito	kva gataH atra vihAya mAm itas-
   vada nārāyaṇa sarva-vittama // GGS_167 //	vada nArAyaNa sarva--vittamaH // GGS_167 //
   bhuja-catuṣṭayaṃ kvāpi narmaṇā darśayann api /	Buja--catuzwayam kvApi narmaNA darSayan api /
   vṛndāvaneśvarī-premṇā dvi-bhujaḥ kriyate hariḥ // GGS_168 //	vRndAvana-ISvarI--premNA dvi-BujaH kriyate hariH // GGS_168 //
   yathā (UN 5.7)--	yaTA (Uj 5.7)--
   rāsārambha-vidhau nilīya vasatā kuñje mṛgākṣī-gaṇai-*	rAsa-AramBa-viDO nilIya vasatA kuQje mRgAkzI--gaNE-*
   rdṛṣṭaṃ gopayituṃ samuddhura-dhiyā yā suṣṭhu saṃdarśitā /	rdRzwam gopayitum samudDura-DiyA yA suzWu saMdarSitAH /
   rādhāyāḥ praṇayasya hanta mahimā yasya śriyā rakṣituṃ	rADAyAH praNayasya hanta mahimA yasya SriyA rakzitum
   sā śakyā prabhaviṣṇunāpi hariṇā nāsīc catur-bāhutā // GGS_169 //	sA SakyA praBavizNunA-api hariNA na-AsIt catur-bAhutA // GGS_169 //
   madhu-sneha-lakṣaṇaṃ yathā (UN 14.93-94)--	maDu--sneha--lakzaNam yaTA (Uj 14.93-94)--
   madīyatātiśaya-bhāk	madIyatA-atiSaya--BAj-
   priye sneho bhaven madhu /	priye snehaH Bavet maDu /
   svayaṃ prakaṭa-mādhuryo	svayam prakawa--mADuryaH-
   nānā-rasa-samāhṛtiḥ // GGS_170 //	nAnA--rasa--samAhRtiH // GGS_170 //
   mattatoṣma-dharaḥ sneho	matta-tA-Uzma--DaraH snehaH-
   madhu-sāmyān madhūcyate // GGS_171 //	maDu--sAmyAt maDu-ucyate // GGS_171 //
   udāharaṇaṃ yathā (UN 14.95)--	udAharaNam yaTA (Uj 14.95)--
   rādhā snehamayena hanta racitā mādhurya-sāreṇa sā	rADA sneha-mayena hanta racitA mADurya--sAreNa sA
   saudhīva pratimā ghanāpy uru-guṇair bhāvoṣmaṇā vidrutā /	sODI-iva pratimA GanA-api uru-guNEH BAva-UzmaNA vidrutAH /
   yan-nāmany api dhāmani śravaṇayor yāti prasaṅgena me	yan-nAmani api DAmani SravaNayoH yAti prasaFgena me
   sāndrānandamayī bhavaty anupamā sadyo jagad-vismṛti // GGS_172 //	sAndra-Ananda-mayI Bavati anupamA sadyas jagat--vismRti // GGS_172 //
   māñjiṣṭha-rāga-lakṣaṇaṃ yathā (UN 14.139)--	mAQjizWa--rAga--lakzaNam yaTA (Uj 14.139)--
   ahāryo 'nanya-sāpekṣo	ahAryaH ananya-sa-apekzaH-
   yaḥ kāntyā varddhate sadā /	yaH kAntyA vardDate sadA /
   bhaven māñjiṣṭha-rāgo 'sau	Bavet mAQjizWa-rAgaH asO
   rādhā-mādhavayor yathā // GGS_173 //	rADA--mADavayoH yaTA // GGS_173 //
   udāharaṇaṃ yathā (UN 14.141)--	udAharaNam yaTA (Uj 14.141)--
   dhatte drāg anupādhi janma vidhinā kenāpi nākampate	Datte drAk anupADi janma viDinA kena-api na-akampate
   sūte 'ty āhita-sañcayair api rasaṃ te cen mitho vartmane /	sUte ati Ahita--saQcayEH api rasam te ced miTas vartmane /
   ṛddhiṃ sañcinute camatkṛti-karoddāma-pramodottarāṃ	RdDim saQcinute camatkRti-kara-uddAma--pramoda-uttarAm
   rādhā-mādhavayor ayaṃ nirupamaḥ premānubandhotsavaḥ // GGS_174 //	rADA--mADavayoH ayam nirupamaH prema-anubanDa-utsavaH // GGS_174 //
   samarthā-rater lakṣaṇaṃ yathā (UN 14.52-53)--	samarTA--rateH lakzaNam yaTA (Uj 14.52-53)--
   kañcid viśeṣam āyāntyā sambhogecchā yayābhitaḥ /	kaQcid viSezam AyAntyA samBoga-icCA yayA-aBitas /
   ratyā tādātmyam āpannā sā samartheti bhaṇyate // GGS_175 //	ratyA tAdAtmyam ApannA sA samarTa-iti BaNyate // GGS_175 //
   sva-svarūpāt tadīyād vā jātā yat kiñcid anvayāt /	sva--svarUpAt tadIyAt vA jAtA yat kiQcid anvayAt /
   samarthā sarva-vismāri-gandhā sāndratamā matā // GGS_176 //	samarTA sarva-vismAri--ganDA sAndratamAH matAH // GGS_176 //
   udāharaṇaṃ yathā (UN 14.54, 55, 57)--	udAharaNam yaTA (Uj 14.54, 55, 57)--
   prekṣyāśeṣe jagati madhurāṃ svāṃ vadhūṃ śaṅkayā te	prekzya-aSeze jagati maDurAm svAm vaDUm SaFkayA te
   tasyāḥ pārśve gurubhir abhitas tvat-prasaṅgo nyavāri /	tasyAH pArSve guruBiH aBitas tu-at--prasaFgaH nyavAri /
   śrutvā dūre tad api bhavataḥ sā tulā-koṭi-nādaṃ	SrutvA dUre tat api BavataH sA tulA--kowi-nAdam
   hā kṛṣṇety aśruta-caram api vyāharanty unmadāsīt // GGS_177 //	hA kRzNa-iti aSruta-caram api vyAharanti unmada-AsIt // GGS_177 //
   sarvādbhuta-vilāsormi-camatkāra-kara-śriyaḥ /	sarva-adButa--vilAsa-Urmi--camatkAra-kara--SriyaH /
   sambhogecchā-viśeṣo 'syā rater jātu na bhidyate /	samBoga-icCA--viSezaH asyAH rateH jAtu na Bidyate /
   ity asyāṃ kṛṣṇa-saukhyārtham eva kevalam udyamaḥ // GGS_178 //	iti asyAm kRzNa--sOKya-arTam eva kevalam udyamaH // GGS_178 //
   iyam eva ratiḥ prauḍhā mahābhāva-daśāṃ vrajet /	iyam eva ratiH prOXA mahABAva--daSAm vrajet /
   yā mṛgyā syād vimuktānāṃ bhaktānāṃ ca varīyasām // GGS_179 //	yA mRgyA syAt vimuktAnAm BaktAnAm ca varIyasAm // GGS_179 //
   yathā śrī-daśame (10.47.58)--	yaTA SrI-daSame (10.47.58)--
   etāḥ paraṃ tanu-bhṛto bhuvi gopa-vadhvo	etAH param tanu-BRtaH Buvi gopa-vaDvaH-
   govinda eva nikhilātmani rūḍha-bhāvāḥ /	govindaH eva niKila-Atmani rUXa-BAvAH /
   vāñchanti yad bhava-bhiyo munayo vayaṃ ca	vAQCanti yat Bava-BiyaH munayaH vayam ca
   kiṃ brahma-janmabhir ananta-kathārasasya // GGS_180 //	kim brahma--janmaBiH ananta--kaTA-rasasya // GGS_180 //
   śrī-rādhā-mantroddhāro yathā gaurī-tantre--	SrI--rADA--mantra-udDAraH yaTA gOrI-tantre--
   śrī-nāda-bindu-saṃyuktā tathāgnir mukha-vṛtta-yuk /	SrI-nAda--bindu--saMyuktA taTA-agniH muKa-vRtta--yuj /
   caturthī vahni-jāyāntā rādhikāṣṭākṣaro manuḥ // GGS_181 //	caturTI vahni-jAyA-antAH rADikA-azwa-akzaraH manuH // GGS_181 //
   mantro yathā -śrīṃ rāṃ rādhikāyai svāhā /	mantraH yaTA -SrIm rAm rADikAyE svAhA /
   gāyatrī yathā -śrī-rādhikāyai vidmahe, prema-rūpāyai dhīmahi, tan no rādhā	gAyatrI yaTA -SrI-rADikAyE vidmahe, prema--rUpAyE DImahi, tat naH rADA
   pracodayāt /	pracodayAt /
   asyā dhyānaṃ yathā tatraiva--	asyAH DyAnam yaTA tatra-eva--
   smerāṃ śrī-kuṅkumābhāṃ sphurad-aruṇa-paṭa-prānta-k ptāvaguṇṭhāṃ	smerAm SrI--kuFkuma-ABAm sPurat--aruNa--pawa--prAnta-j ptAvaguNWAm
   ramyāṃ veśena veṇī-kṛta-cikura-śikhālambi-padmāṃ kiśorīm /	ramyAm veSena veNI-kRta--cikura--SiKA-Alambi--padmAm kiSorIm /
   tarjjany-aṅguṣṭha-yuktyā hari-mukha-kamale yuñjatīṃ nāgavallī-*	tard-janI--aFguzWa--yuktyA hari-muKa--kamale yuQjatIm nAgavallI-*
   parṇaṃ karṇāyatākṣīṃ tri-jagati madhurāṃ rādhikām arcayāmi // GGS_182 //	parNam karNa-Ayata-akzIm tri-jagati maDurAm rADikAm arcayAmi // GGS_182 //
   tapta-hema-prabhāṃ nīla-kuntala-baddha-mallikām /	tapta--hema--praBAm nIla-kuntala---badDa--mallikAm /
   śarac-candra-mukhīṃ nṛtya-cakorī-cañcalekṣaṇām // GGS_183 //	Sarac-candra--muKIm nRtya--cakorI--caQcala-IkzaNAm // GGS_183 //
   bimbādhara-smita-jyotsnāṃ jagaj-jīvana-dāyikām /	bimba-aDara--smita--jyotsnAm jagaj-jIvana--dAyikAm /
   cāru-ratna-stanālambi-muktādāma-vibhūṣaṇām // GGS_184 //	cAru-ratna--stana-Alambi-muktA-dAma--viBUzaNAm // GGS_184 //
   nitamba-nīla-vasanāṃ kiṅkiṇī-jāla-maṇḍitām /	nitamba--nIla--vasanAm kiFkiNI--jAla--maNxitAm /
   nānā-ratnādi-nirmāṇa-ratna-nūpura-dhāriṇīm // GGS_185 //	nAnA-ratna-Adi--nirmANa--ratna--nUpura--DAriNIm // GGS_185 //
   sarva-lāvaṇya-mugdhāṅgīṃ sarvāvayava-sundarīm /	sarva--lAvaNya--mugDa-aFgIm sarva-avayava-sundarIm /
   kṛṣṇa-pārśva-sthitāṃ nityaṃ kṛṣṇa-premaika-vigrahām /	kRzNa--pArSva--sTitAm nityam kRzNa--prema-eka-vigrahAm /
   ānanda-rasa-sammagnāṃ kiśorīm āśraye vane // GGS_186 //	Ananda--rasa--sammagnAm kiSorIm ASraye vane // GGS_186 //
   saurīṃ raktāmbarāṃ ramyāṃ sunetrāṃ susmitānanām /	sOrIm rakta-ambarAm ramyAm sunetrAm su-smita-AnanAm /
   śyāmāṃ śyāmākhilābhīṣṭāṃ rādhikām āśraye vane // GGS_187 //	SyAmAm SyAma-aKila-aBIzwAm rADikAm ASraye vane // GGS_187 //
   vinā rādhā-prasādena kṛṣṇa-prāptir na jāyate /	vinA rADA--prasAdena kRzNa--prAptiH na jAyate /
   tataḥ śrī-rādhikā-kṛṣṇau smaraṇīyau susaṃyutau // GGS_188 //	tatas SrI-rADikA--kRzNO smaraNIyO su-saMyutO // GGS_188 //
   yathā bhaviṣyottare--	yaTA Bavizyottare--
   prema-bhaktau yadi śraddhā mat-prasādaṃ yadīcchasi /	prema--BaktO yadi SradDA mat--prasAdam yadi-icCasi /
   tadā nārada bhāvena rādhāyārādhako bhava // GGS_189 //	tadA nArada BAvena rADAya-ArADakaH Bava // GGS_189 //
   tathā ca nāradīye--	taTA ca nAradIye--
   satyaṃ satyaṃ punaḥ satyaṃ satyam eva punaḥ punaḥ /	satyam satyam punar satyam satyam eva punar punar /
   vinā rādhā-prasādena mat-prasādo na vidyate // GGS_190 //	vinA rADA--prasAdena mat--prasAdaH na vidyate // GGS_190 //
   śrī-rādhikāyāḥ kāruṇyāt tat-sakhī-saṃgatim iyāt /	SrI-rADikAyAH kAruNyAt tat-saKI--saMgatim iyAt /
   tat-sakhīnāṃ ca kṛpayā yoṣid-aṅgam avāpnuyāt // GGS_191 //	tat--saKInAm ca kRpayA yozit--aFgam avApnuyAt // GGS_191 //
   anaṅga-sukhadākhyo 'sti kuñjas tasyottare dale /	anaFga-suKadAKyaH asti kuQjaH tasya-uttare dale /
   vijñeyo 'yaṃ taḍid-varṇo nānā-puṣpa-drumāvṛtaḥ // GGS_192 //	vijQeyaH ayam taxit--varNaH nAnA-puzpa-druma-AvRtaH // GGS_192 //
   lalitānandado nityam uttare kuñja-rājakaḥ /	lalita-Ananda-daH nityam uttare kuQja-rAjakaH /
   gorocanābhā lalitā tatra tiṣṭhati nityaśaḥ // GGS_193 //	gorocanA-ABA lalitA tatra tizWati nityaSas // GGS_193 //
   mayūra-piñcha-sadṛśa-vasanā kṛṣṇa-vallabhā /	mayUra-piQCa--sadRSa-vasanA kRzNa-vallaBA /
   khaṇḍitā-bhāvam āpannā rati-yuktā harau sadā // GGS_194 //	KaNxitA--BAvam ApannA rati--yuktA harO sadA // GGS_194 //
   candra-tāmbūla-sevāḍhyā divyābharaṇa-maṇḍitā /	candra--tAmbUla--sevA-AXyA divya-ABaraNa-maNxitAH /
   sapta-viṃśaty-aho yuktāṣṭa-māsa-manu-hāyanā (14-8-27) // GGS_195 //	sapta-viMSati--aho yukta-azwa--mAsa-m-anu-hAyanAH (14-8-27) // GGS_195 //
   asyā vayaḥ-pramāṇaṃ yat pitā mātā viśokakaḥ /	asyAH vayaH-pramANam yat pitA mAtA viSokakaH /
   śāradā ca patir yasyā bhairavākhyo mato budhaiḥ // GGS_196 //	SAradA ca patiH yasyAH BErava-AKyaH mataH buDEH // GGS_196 //
   svarūpa-dāmodaratāṃ prāptā gaura-rase tv iyam /	svarUpa-dAmodara-tAm prAptAH gOra--rase tu iyam /
   iyaṃ tu vāma-prakharā gṛham asyās tu yāvaṭe // GGS_197 //	iyam tu vAma--praKarAH gRham asyAH tu yAvawe // GGS_197 //
   khaṇḍitā-lakṣaṇaṃ, yathā (UN 5.85-86)--	KaNxitA--lakzaNan, yaTA (Uj 5.85-86)--
   ullaṅghya samayaṃ yasyāḥ preyān anyopabhogavān /	ullaFGya samayam yasyAH preyAn anya-upaBogavAn /
   bhoga-lakṣmāṅkitaḥ prātar āgacchet sā hi khaṇḍitā /	Boga--lakzma-aFkitaH prAtar AgacCet sA hi KaNxitAH /
   eṣā tu roṣa-niḥśvāsa-tūṣṇīṃ-bhāvādi-bhāg bhavet // GGS_198 //	ezA tu roza--niHSvAsa-tUzNIM-BAva-Adi-BAj Bavet // GGS_198 //
   yāvair dhūmalitaṃ śiro bhuja-taṭīṃ tāṭaṅka-mudrāṅkitāṃ	yAvEH DUmalitam SiraH Buja--tawIm tAwaFka-mudrA-aFkitAm
   saṃkrānta-stana-kuṅkumojjvala-muro mālāṃ parimlāpitām /	saMkrAnta--stana--kuFkuma-ujjvala-muraH mAlAm parimlApitAm /
   ghūrṇā-kuḍmalite dṛśau vraja-pater dṛṣṭvā prage śyāmalā	GUrNA-a-kuxmalite dRSO vraja--pateH dRzwvA prage SyAmalA
   citte rudra-guṇaṃ mukhe tu sumukhī bheje munīnāṃ vratam // GGS_199 //	citte rudra--guNam muKe tu su-muKI Beje munInAm vratam // GGS_199 //
   vāma-prakharā-lakṣaṇaṃ yathā (UN 6.2-5)--	vAma--praKarA--lakzaNam yaTA (Uj 6.2-5)--
   saubhāgyāder ihādhikyād adhikā sāmyataḥ samā /	sOBAgya-AdeH iha-ADikyAt aDikA sAmyataH samAH /
   laghutvāl laghur ity uktās tridhā gokula-subhruvaḥ // GGS_200 //	laGu-tvAt laGuH iti uktAH triDA go-kula-suBruvaH // GGS_200 //
   pratyekaṃ prakharā madhyā mṛdvī ceti punas tridhā // GGS_201 //	pratyekam praKarA maDyA mRdvI ca-iti punar triDA // GGS_201 //
   pragalbha-vākyā prakharā khyātā durlaṅghya-bhāṣitā /	pragalBa-vAkyA praKarA KyAtA durlaFGya-BAzitAH /
   tad ūnatve bhaven mṛdvī madhyā tat-sāmyam āgatā // GGS_202 //	tat Una-tve Bavet mRdvI maDyA tat-sAmyam AgatAH // GGS_202 //
   tatra laghu-prakharā (UN 8.31) --	tatra laGu--praKarAH (Uj 8.31) --
   sā laghu-prakharā dvedhā bhaved vāmātha dakṣiṇā // GGS_203 //	sA laGu--praKarA dveDA Bavet vAma-aTa dakziNAH // GGS_203 //
   tatra vāmā (UN 8.32)--	tatra vAmAH (Uj 8.32)--
   māna-grahe sadodyuktā tac chaithilye ca kopanā /	mAna--grahe sadA-udyuktA tat SETilye ca kopanA /
   abhedyā nāyake prāyaḥ krūrā vāmeti kīrtyate // GGS_204 //	aBedyA nAyake prAyas krUrAH vAma-iti kIrtyate // GGS_204 //
   (UN 8.37)--	(Uj 8.37)--
   yūthe 'tra vāma-prakharā lalitādyāḥ prakīrtitāḥ // GGS_205 //	yUTe atra vAma--praKarAH lalita-AdyAH prakIrtitAH // GGS_205 //
   vāma-prakharodāharaṇaṃ, yathā (UN 8.36)--	vAma--praKara-udAharaNan, yaTA (Uj 8.36)--
   amūr vraja-mṛgekṣaṇāś catur-aśīti-lakṣādhikāḥ	amUH vraja--mRga-IkzaNAH catur-aSIti-lakza-aDikAH
   pratisvam iti kīrtitaṃ savayasā tavaivāmunā /	pratisvam iti kIrtitam sa-vayasA tava-eva-amunA /
   ihāpi bhuvi viśrutā priya-sakhī mahārghyety asau	iha-api Buvi viSrutA priya-saKI mahA-arGyA-iti asO
   kathaṃ tad api sāhasī śaṭha! jighṛkṣur enām asi // GGS_206 //	kaTam tat api sAhasI SaWa! jiGRkzuH enAm asi // GGS_206 //
   asyā yūtho, yathā (śrī-kṛṣṇa-gaṇoddeśa-dīpikā 1.242)--	asyAH yUTo, yaTA (SrI--kRzNa--gaNa-uddeSa-dIpikA 1.242)--
   ratnarekhā (-prabhā) rati-kalā subhadrā candra (bhadra-) rekhikā /	ratnareKA (-praBA) rati-kalA suBadrA candra (Badra-) reKikA /
   sumukhī ca dhaniṣṭhā ca kalahaṃsī kalāpinī // GGS_207 //	sumuKI ca DanizWA ca kalahaMsI kalApinI // GGS_207 //
   asyā mantroddhāro, yathā sammohana-tantre--	asyAH mantra-udDAro, yaTA sammohana-tantre--
   lakṣmī līlā ca lalitā ṅe tato vahni-nāyikā /	lakzmI lIlA ca lalitA Fe tatas vahni-nAyikA /
   eṣo 'ṣṭārṇo mahā-mantro lalitāyās tu rāga-daḥ // GGS_208 //	ezaH azwa-arNaH mahA-mantraH lalitAyAH tu rAga-daH // GGS_208 //
   mantro yathā--śrīṃ lāṃ lalitāyai svāhā /	mantraH yaTA--SrIm lAm lalitAyE svAhA /
   asyā dhyānaṃ, yathā tatraiva--	asyAH DyAnan, yaTA tatra-eva--
   gorocanā-dyuti-viḍambi-tanūṃ suveśīṃ	gorocanA--dyuti--vixambi-tanUm suveSIm
   mayūra-piñcha-vasanāṃ śubha-bhūṣaṇāḍhyām /	mayUra-piQCa--vasanAm SuBa-BUzaNa-AXyAm /
   tāmbūla-sevana-ratāṃ vraja-rāja-sūnoḥ	tAmbUla-sevana-ratAm vraja-rAja--sUnoH
   śrī-rādhikā-priya-sakhīṃ lalitāṃ smarāmi // GGS_209 //	SrI-rADikA--priya--saKIm lalitAm smarAmi // GGS_209 //
   īśāna-dala ānanda-nāmakaṃ kuñjam asti hi /	ISAna--dalaH Ananda--nAmakam kuQjam asti hi /
   megha-varṇaṃ śrī-viśākhā yatrāste kṛṣṇa-vallabhā // GGS_210 //	meGa-varNam SrI--viSAKAH yatra-Aste kRzNa-vallaBAH // GGS_210 //
   svādhīna-bhartṛkā-bhāvam āpannā hi harau sadā /	svADIna--BartRkA-BAvam ApannA hi harO sadA /
   vastrālaṅkāra-sevāḍhyā gaurāṅgī tārakāmbarā // GGS_211 //	vastra-alaFkAra--sevA-AXyA gOra-aFgI tAraka-ambarAH // GGS_211 //
   pakṣāhar-yug-yugma-māsa-saṃyukta-manu-hāyanā (14-2-15) /	pakzA-har--yug--yugma--mAsa--saMyukta-manu--hAyanAH (14-2-15) /
   asyā vayaḥ pitā mātā pāvano dakṣiṇā kramāt // GGS_212 //	asyAH vayaH pitA mAtA pAvanaH dakziNA kramAt // GGS_212 //
   patir yasyā bāhukākhyo 'py asau gaura-rase punaḥ /	patiH yasyAH bAhuka-AKyaH api asO gOra--rase punar /
   rāya-rāmānandatayā vikhyātābhūt kalau yuge // GGS_213 //	rAya-rAma-Ananda-tayA viKyAtA-aBUt kalO yuge // GGS_213 //
   iyaṃ tv adhika-madhyā hi gṛham asyās tu yāvaṭe // GGS_214 //	iyam tu aDika-maDyAH hi gRham asyAH tu yAvawe // GGS_214 //
   svādhīna-bhartṛkā-lakṣaṇam (UN 5.91)--	svADIna--BartRkA--lakzaNam (Uj 5.91)--
   svāyattāsanna-dayitā bhavet svādhīna-bhartṛkā /	sva-Ayatta-Asanna--dayitA Bavet svADIna--BartRkA /
   salilāraṇya-vikrīḍā-kusumāvacayādi-kṛt // GGS_215 //	salila-araNya--vikrIxA--kusuma-avacaya-Adi--kRt // GGS_215 //
   udāharaṇaṃ yathā (UN 5.92)--	udAharaNam yaTA (Uj 5.92)--
   mudā kurvan patrāṅkuram anupamaṃ pīna-kucayoḥ	mudA kurvan patra-aFkuram anupamam pIna-kucayoH
   śruti-dvandve gandhāhṛta-madhupam indīvara-yugmam /	Sruti--dvandve ganDa-AhRta--maDupam indIvara--yugmam /
   sakhelaṃ dhammillopari ca kamalaṃ komalam asau	sa-Kelam Dammilla-upari ca kamalam komalam asO
   nirāvādhāṃ rādhāṃ ramayati ciraṃ keśi-damanaḥ // GGS_216 //	nirAvADAm rADAm ramayati ciram keSi-damanaH // GGS_216 //
   (UN 8.19)--	(Uj 8.19)--
   atra yūthe viśākhādyā bhavanty adhika-madhyamāḥ // GGS_217 //	atra yUTe viSAKA-AdyAH Bavanti aDika-maDyamAH // GGS_217 //
   adhika-madhyodāharaṇaṃ yathā (UN 8.17)--	aDika--maDya-udAharaNam yaTA (Uj 8.17)--
   dāmārpyatāṃ priya-sakhī-prahitāṃ tvayaiva	dAma-arpyatAm priya-saKI--prahitAm tvayA-eva
   dāmodare kusumam atra mayāvaceyam /	dAmodare kusumam atra mayA-avaceyam /
   nāhaṃ bhramāc caturike sakhi sūcanīyā	na-aham BramAt caturike saKi sUcanIyA
   kṛṣṇaḥ kadarthayati mām adhikaṃ yad eṣaḥ // GGS_218 //	kRzNaH kadarTayati mAm aDikam yat ezaH // GGS_218 //
   asyā yūtho yathā (kṛṣṇa-gaṇoddeśa-dīpikā 1.243)--	asyAH yUTaH yaTA (kRzNa--gaNa-uddeSa-dIpikA 1.243)--
   mālatī mādhavī candra-rekhā cāpi śubhānanā /	mAlatI mADavI candra-reKA ca-api SuBa-AnanAH /
   kuñjarī hariṇī caiva surabhiś capalāpi ca // GGS_219 //	kuQjarI hariNI ca-eva suraBiH capalA-api ca // GGS_219 //
   asyā mantroddhāro, yathā bṛhad-gautamīye--	asyAH mantra-udDAro, yaTA bRhat--gOtamIye--
   vāg-bhavaḥ sauṃ tato ṅe 'ntā viśākhā vahni-jāyikā /	vAc--BavaH sOm tatas Fe antA viSAKA vahni-jAyikA /
   aṣṭākṣaro viśākhāyā mantro 'yaṃ prema-vṛddhi-daḥ // GGS_220 //	azwa-akzaraH viSAKAyAH mantraH ayam prema--vRdDi-daH // GGS_220 //
   mantro yathā -aiṃ sauṃ viśākhāyai svāhā /	mantraH yaTA -Em sOm viSAKAyE svAhA /
   asyā dhyānaṃ, yathā tatraiva--	asyAH DyAnan, yaTA tatra-eva--
   sac-campakāvali-viḍambi-tanuṃ suśīlāṃ	sac-campaka-Avali--vixambi--tanum su-SIlAm
   tārāmbarāṃ vividha-bhūṣaṇa-śobhamānām /	tAra-ambarAm viviDa-BUzaNa--SoBamAnAm /
   śrī-nandanandana-puro vasanādi-bhūṣā-*	SrI-nanda-nandana-puras vasana-Adi-BUzA-*
   dāne ratāṃ sukutukāṃ ca bhaje viśākhām // GGS_221 //	dAne ratAm su-kutukAm ca Baje viSAKAm // GGS_221 //
   citraṃ pūrva-dale kuñjaṃ padma-kiñjalka-nāmakam /	citram pUrva-dale kuQjam padma-kiQjalka-nAmakam /
   śrī-citrā svāminī tatra vartate kṛṣṇa-vallabhā // GGS_222 //	SrI-citrA svAminI tatra vartate kRzNa-vallaBAH // GGS_222 //
   abhisārikātvam āpannā harau rati-samanvitā /	aBisArikA-tvam ApannA harO rati--samanvitA /
   lavaṅga-mālā-sevāḍhyā kāśmīra-varṇa-saṃyutā // GGS_223 //	lavaFga--mAlA--sevA-AXyA kASmIra-varNa--saMyutAH // GGS_223 //
   kāca-tulyāmbarā cāsau sadā citra-guṇānvitā /	kAca-tulya-ambarA ca-asO sadA citra--guNa-anvitA /
   asyāś caiva vayomānaṃ manu-saṃkhyā-dinānvitam // GGS_224 //	asyAH ca-eva vayaH-mAnam manu--saMKyA-dina-anvitam // GGS_224 //
   ṛṣi-māsādhikaṃ śakra-hāyanaṃ ceti viśrutam (14-7-14) // GGS_225 //	Rzi---mAsa-aDikam Sakra-hAyanam ca-iti viSrutam (14-7-14) // GGS_225 //
   caturo 'syāḥ pitā prokto janany asyāś ca carccikā /	caturaH asyAH pitA proktaH janani asyAH ca carccikA /
   patiḥ pīṭharakaś cāsyā asau gaura-rase punaḥ // GGS_226 //	patiH pIWarakaH ca-asyAH asO gOra--rase punar // GGS_226 //
   govindānandatāṃ prāptā caturtha-yuga-madhyake /	govinda-Ananda-tAm prAptA caturTa--yuga--maDyake /
