   Daśasāhasrikā Prajñāpāramitā	DaSa-sA-ahasrikA PrajQApAramitA
   jñānadarśanaṃ pravartate; pratyutpanne 'dhvany asaṅgam apratihataṃ	jQAna-darSanam pravartate; pratyutpanne aDvani asaFgam apratihatam
   jñānadarśanaṃ pravartate. ima ucyante 'ṣṭādaśāveṇikā buddhadharmāḥ.	jQAna-darSanam pravartate. ime ucyante azwAdaSa-AveNikAH budDa-DarmAH.
   [DsP_50] tatrā katamā sarvajñatā? yad dvādaśasu	[DsP_50] tatrA katamA sarvajQa-tA? yat dvAdaSasu
   śrāvakapratyekabuddhāyataneṣv ekāntikaṃ pudgalanairātmyajñānam iyam ucyate	SrAvaka-pratyekabudDa-Ayatanezu ekAntikam pudgala-nErAtmya-jQAnam iyam ucyate
   sarvajñatā.	sarvajQa-tA.
   [DsP_51] tatra katamā mārgākārajñatā? yad bodhisattvasya	[DsP_51] tatra katamA mArga-AkAra-jQa-tA? yat boDisattvasya
   triyānamārgajñasya śrāvakapratyekabuddhayānāsaṃtuṣṭasya bodhisattvayānena	tri-yAna-mArga-jQasya SrAvaka-pratyekabudDa-yAna-asaMtuzwasya boDisattva-yAnena
   niṣkramaṇam iyam ucyate mārgākārajñatā.	nizkramaNam iyam ucyate mArga-AkAra-jQa-tA.
   [DsP_52] tatra katamā sarvākārajñatā? yat tathāgatasya sarvadharmāṇāṃ	[DsP_52] tatra katamA sarva-AkAra-jQa-tA? yat taTAgatasya sarva-DarmANAm
   sarveṣu traikālikākāreṣv avicikitsitaṃ jñānam iyam ucyate sarvākārajñatā.	sarvezu trEkAlikA-AkArezu avicikitsitam jQAnam iyam ucyate sarva-AkAra-jQa-tA.
   [DsP_53] tatra katamaḥ ṣaṭ paramitāḥ? yaduta dānapāramitā, śīlapāramitā,	[DsP_53] tatra katamaH zaw paramitAH? yat-uta dAna-pAramitA, SIla-pAramitA,
   kṣāntipāramitā, vīryapāramitā, dhyānapāramitā, prajñāpāramitā. imā ucyante	kzAnti-pAramitA, vIrya-pAramitA, DyAna-pAramitA, prajQApAramitA. imAH ucyante
   ṣaṭ pāramitāh.	zaz pAramitA-ah.
   [DsP_54] tatra katamā ṣaḍ abhijñāḥ? yaduta	[DsP_54] tatra katamA zaw aBijQAH? yat-uta
   ṛddhividhijñānasākṣātkartavyajñānābhijñā;	RdDi-viDi-jQAna-sAkzAt-kartavya-jQAna-aBijQA;
   divyacakṣurjñānasākṣātkartavyajñānābhijñā;	divya-cakzuH-jQAna-sAkzAt-kartavya-jQAna-aBijQA;
   divyaśrotrajñānasākṣātkartavyajñānābhijñā;	divya-Srotra-jQAna-sAkzAt-kartavya-jQAna-aBijQA;
   paracittajñānasākṣātkartavyajñānābhijñā;	para-citta-jQAna-sAkzAt-kartavya-jQAna-aBijQA;
   pūrvanivāsānusmṛtijñānasākṣātkartavyajñānābhijñā;	pUrva-nivAsa-anusmRti-jQAna-sAkzAt-kartavya-jQAna-aBijQA;
   āsravakṣayajñānasākṣātkartavyajñānābhijñā. imā ucyante ṣaḍ abhijñā.	Asrava-kzaya-jQAna-sAkzAt-kartavya-jQAna-aBijQA. imAH ucyante zaw aBijQA.
   [DsP_55] tatra katamāni pañca cakṣūṃṣi? yaduta māṃsacakṣur, divyacakṣuḥ,	[DsP_55] tatra katamAni paQca cakzUMzi? yat-uta mAMsa-cakzur, divya-cakzuH,
   prajñācakṣur, dharmacakṣur, buddhacakṣuḥ. imāny ucyante pañca cakṣūṃṣi.	prajQAcakzur, Darma-cakzur, budDacakzuH. imAni ucyante paQca cakzUMzi.
   [DsP_56] tatra katamāni tathāgatasya dvātriṃśan mahāpuruṣalakṣaṇāni?	[DsP_56] tatra katamAni taTAgatasya dvAtriMSat mahApuruza-lakzaNAni?
   yaduta	yat-uta
   bhagavān supratiṣṭhitapādaḥ. tatrāyaṃ supratiṣṭhitapādaḥ: sakalābhyāṃ	BagavAn su-pratizWita-pAdaH. tatra-ayam su-pratizWita-pAdaH: sakalAByAm
   pādatalābhyāṃ bhūmiṃ saṃspṛśati tadyathā karaṇḍatalaṃ samatalāvalambanāt	pAda-talAByAm BUmim saMspRSati tat-yaTA karaNxa-talam sama-tala-avalambanAt-
   susama ādhāre 'vasthāpitaṃ sakalenādhastalena bhūmiṃ saṃspṛśaty evam eva	su-samaH ADAre avasTApitam sakalena-aDas-talena BUmim saMspRSati evam eva
   bhagavān supratiṣṭhitapādaḥ;	BagavAn su-pratizWita-pAdaH;
   bhagavān samantanemikaḥ. tatrāyaṃ samantanemikah: adhastāt pādatalayoś	BagavAn samantanemikaH. tatra-ayam samantanemi-kah: aDastAt pAda-talayoH-
   cakre jāte sahasrāre sanabhike sanemike sarvākāraparipūrake;	cakre jAte sahasrAre sa-naBike sanemike sarva-AkAra-paripUrake;
   bhagavān mṛdutaruṇahastapādaḥ. tatreyaṃ mṛdutaruṇahastapādatā: tadyathā	BagavAn mRdu-taruNa-hasta-pAdaH. tatra-iyam mRdu-taruNa-hasta-pAda-tA: tat-yaTA
   śālmalikambalaṃ karpāsakambalaṃ vā, yādṛśam anyapuruṣāṇāṃ nāsti;	SAlmali-kambalam karpAsa-kambalam vA, yAdRSam anya-puruzANAm nAsti;
   bhagavān dīrghāṅguliḥ. tatreyaṃ dīrghāṅgulitā: tasya hastapādāṅgulayo	BagavAn dIrGa-aFguliH. tatra-iyam dIrGa-aFgulitA: tasya hasta-pAda-aFgulayaH-
   'tidīrghā, yādṛśam anyapuruṣāṇāṃ nāsti;	ati-dIrGA, yAdRSam anya-puruzANAm nAsti;
   bhagavān jalahastapādah: tasya hastapādayor jālāny avanaddhāni, yādṛśam	BagavAn jalahasta-pAda-h: tasya hasta-pAdayoH jAlAni avanat-DAni, yAdRSam
   anyapuruṣāṇāṃ nāsti;	anya-puruzANAm nAsti;
   bhagavān āyatapārṣṇiḥ. tatrāyam āyatapārṣṇiḥ: tasya pādapāṛṣnitale āyate,	BagavAn Ayata-pArzNiH. tatra-ayam Ayata-pArzNiH: tasya pAda-pARzni-tale Ayate,
   yādṛśam anyapuruṣāṇāṃ nāsti;	yAdRSam anya-puruzANAm nAsti;
   bhagavān ucchaṅkhapādaḥ. tatreyam ucchaṅkhapādatā: āyatapārṣṇyā saṃprayoga	BagavAn ucCaFKa-pAdaH. tatra-iyam ucCaFKa-pAda-tA: Ayata-pArzNyA saMprayoga
   āyatapārṣṇer gulphasya ca sandhir adṛśyatvena saṃyujyate, yādṛśam	Ayata-pArzNeH gulPasya ca sanDiH adRSya-tvena saMyujyate, yAdRSam
   anyapuruṣāṇāṃ nāsti;	anya-puruzANAm nAsti;
   bhagavān aiṇeyajaṅghaḥ. tatrāyam aiṇeyajaṅghaḥ: tasya jaṅghe	BagavAn ENeya-jaFGaH. tatra-ayam ENeya-jaFGaH: tasya jaFGe
   anupūrvatanuke bhūtvā samyag anupūrve bhavataḥ;	anupUrva-tanuke BUtvA samyak anupUrve BavataH;
   bhagavān sthitānavanatājānupralambabāhuḥ. tatrāyaṃ	BagavAn sTita-anavana-tA-jA-anu-pralamba-bAhuH. tatra-ayam
   sthitānavanatājānupralambabāhur: bhagavān sthitako 'navanatakāya ubhābhyāṃ	sTita-anavana-tA-ja-anupralamba-bAhur: BagavAn sTitakaH anavanatakAya uBAByAm
   pāṇitalābhyāṃ jānumaṇḍale parispṛśati saṃmṛśati;	pANi-talAByAm jAnu-maNxale parispRSati saMmRSati;
   bhagavān kośagatavastiguhyaḥ. tatreyaṃ kośagatavastiguhyatā: tadyathā	BagavAn koSa-gata-vasti-guhyaH. tatra-iyam koSa-gata-vasti-guhyatA: tat-yaTA
   varagotra ājāneyo mahāhasty ājāneyo vāśvaḥ;	vara-gotre AjAneyaH mahA-hasti AjAneyaH vA-aSvaH;
   bhagavān pradakṣiṇāvartaikaikaromaḥ. tatreyaṃ pradakṣiṇāvartaikaikaromatā:	BagavAn pradakziNa-Avarta-eka-eka-romaH. tatra-iyam pradakziNa-Avarta-eka-eka-romatA:
   tasyaikaikaromakūpebhya ekaikāni romāṇi jātāni nīlāni kuṇḍalāvartāni	tasya-eka-eka-romakUpeByaH ekEkAni romANi jAtAni nIlAni kuNxala-AvartAni
   snigdhakomalāni;	snigDa-komalAni;
   bhagavān ūrdhvāgraromaḥ. tatreyam ūrdhvāgraromatā: tasya śiraḥkāye	BagavAn UrDva-agra-romaH. tatra-iyam UrDva-agra-romatA: tasya SiraH-kAye
   keśaromāṇi jātāny ūrdhvam ākuñcitāni nīlāni kuṇḍalāvartāni	keSa-romANi jAtAni UrDvam AkuQcitAni nIlAni kuNxala-AvartAni
   pradakṣiṇāvartāni;	pradakziNa-AvartAni;
   bhagavān sūkṣmasnigdhakomalacchaviḥ. tatreyaṃ sukṣmasnigdhakomalacchavitā:	BagavAn sUkzma-snigDa-komala=-CaviH. tatra-iyam sukzma-snigDa-komala=-CavitA:
   tasya kaye rajojalaṃ nāvatiṣṭhati;	tasya kaye rajaH-jalam na-avatizWati;
   bhagavān suvarṇavarṇaḥ. tadyathā nānāratnakhacito jāmbunadasuvarṇayūpa	BagavAn suvarNa-varNaH. tat-yaTA nAnA-ratna-KacitaH jAmbunada-suvarNa-yUpa
   evaṃ surūpaḥ sudarśanas, tasmād ucyate suvarṇavarṇaḥ;	evam surUpaH sudarSanas, tasmAt ucyate suvarNa-varNaH;
   bhagavān saptotsadaḥ. tatreyaṃ saptotsadatā: tasya dvayoḥ padayor dvāv	BagavAn sapta-utsadaH. tatra-iyam sapta-utsadatA: tasya dvayoH padayoH dvO=-
   utsadau surūpau sudarśanau parivṛddhamāṃsalohitau; evam eva dvayor	utsadO surUpO sudarSanO parivRdDa-mAMsa-lohitO; evam eva dvayoH-
   hastayor dvāv utsadau surūpau sudarśanau parivṛddhamāṃsalohitau, dvayor	hastayoH dvO utsadO surUpO sudarSanO parivRdDa-mAMsa-lohitO, dvayoH-
   aṃsayor dvāv utsadau, kandharopari caika utsadaḥ surūpaḥ sudarśanaḥ	aMsayoH dvO utsadO, kanDara-upari ca-ekaH utsadaH surUpaH sudarSanaH
   parivṛddhamāṃsalohitaḥ;	parivRdDa-mAMsa-lohitaH;
   bhagavān susaṃvṛttaskandhaḥ;	BagavAn su-saMvRtta-skanDaH;
   bhagavaṃś citāntarāṃsaḥ;	Bagavan citA-antara-aMsaH;
   bhagavān svṛjujātagātraḥ;	BagavAn su-Rju-jAta-gAtraH;
   bhagavān nyagrodhaparimaṇḍalaḥ. tatreyaṃ nyagrodhaparimaṇḍalatā: yāvān	BagavAn nyagroDa-parimaNxalaH. tatra-iyam nyagroDa-parimaNxa-latA: yAvAn
   āyāmatas tāvān vistārato, yāvān vistāratas tāvān āyāmataḥ;	AyAmataH tAvAn vistArato, yAvAn vistArataH tAvAn AyAmataH;
   bhagavān siṃhahanuḥ;	BagavAn siMhahanuH;
   bhagavāṃś catvāriṃśaddantaḥ;	BagavAn catvAriMSat-dantaH;
   bhagavān aviraladantaḥ;	BagavAn avirala-dantaH;
   bhagavān śuklatīkṣṇonnatāgradantaḥ;	BagavAn Sukla-tIkzNa-unnata-agra-dantaH;
   bhagavān rasāgravān. sa ṛjukaṇṭhanāḍiko 'jihmam asaṅgaṃ gilanasamartho	BagavAn rasAgravAn. saH RjukaNWa-nAxikaH ajihmam asaFgam gilana-samarTaH-
   'sti;	asti;
   bhagavān prabhūtatanujihvaḥ. tatreyam prabhūtatanujihvatā: mukhāj jihvāṃ	BagavAn praBUta-tanu-jihvaH. tatra-iyam praBUta-tanu-jihvatA: muKAt jihvAm
   nirṇamayyobhe nāsikāvivare ubhe cakṣurvivare ubhe karṇavivare spṛśati	nirNamayya-uBe nAsikA-vivare uBe cakzuH-vivare uBe karNa-vivare spRSati
   parimṛśati, keśaparyantaṃ sarvaṃ mukhamaṇḍalam ācchādayati;	parimRSati, keSa-paryantam sarvam muKa-maNxalam AcCAdayati;
   bhagavān brahmasvaraḥ;	BagavAn brahma-svaraH;
   bhagavān viśālagopakṣmanetraḥ;	BagavAn viSAla-go-pakzma-netraH;
   bhagavān abhinīlanetraḥ;	BagavAn aBinIla-netraH;
   bhagavān parisamāptanetrapiṇḍaḥ;	BagavAn parisamApta-netra-piNxaH;
   bhagavān vyāmaprabhaḥ;	BagavAn vyAma-praBaH;
   bhagavān pūrṇacandranibhānanaḥ;	BagavAn pUrNa-candra-niBa-AnanaH;
   bhagavato bhruvor antara ūrṇā jātā karpāsavat komalā	BagavataH BruvoH antaraH UrNA jAtA karpAsa-vat komalA
   kundapuṣpacandraśaṅkhapadmakesaragokṣīrāvaśyāyapuṣpasadṛśā;	kunda-puzpa-candra-SaFKa-padma-kesara-go-kzIra-avaSyAya-puzpa-sadRSA;
   bhagavān uṣṇīsaśīrṣaḥ.	BagavAn uzNIsaSIrzaH.
   etāny ucyante dvātriṃśan mahāpuruṣalakṣaṇāni.	etAni ucyante dvAtriMSat mahApuruza-lakzaNAni.
   [DsP_57] tatra katamāny aśītir anuvyañjanāni? yaduta:	[DsP_57] tatra katamAni aSItiH anuvyaQjanAni? yat-uta:
   buddhā bhagavanta ātāmranakhā, nārāyaṇavat susaṃhatagatrāś,	budDAH BagavantaH AtAmra-naKA, nArAyaNa-vat su-saMhata-gatra-AS,
   cāruniṣpannajānumaṇḍalāḥ, śucigātrā, mṛdugātrāḥ, komalagātrāḥ,	cAru-nizpanna-jAnu-maNxalAH, Suci-gAtrA, mRdu-gAtrAH, komala-gAtrAH,
   snigdhagātrā, ajihmagātrā, dīrghānupūrvāṅgulayaḥ;	snigDa-gAtrA, ajihma-gAtrA, dIrGa-anupUrva-aFgulayaH;
   buddhā bhagavanto vṛttāṅgulayo, 'nupūrvāṅgulayo, gūḍhaśirā, gūḍhagulphaḥ,	budDAH BagavantaH vRtta-aFgula-yo, anupUrva-aFgulayo, gUXa-SirA, gUXa-gulPaH,
   surūpagātrāḥ, suvibhaktagātrāḥ, suviśuddhāyatanāḥ, suviśuddhajñānāḥ,	surUpa-gAtrAH, suviBakta-gAtrAH, su-viSudDa-AyatanAH, su-viSudDa-jQAnAH,
   sākṣātsaṃpanneryāpathāḥ;	sAkzAt-saMpad-neH-yApaTAH;
   buddhā bhagavantaḥ śrīmanto buddhimanto, darśanīyā, nātyāyatavadanā,	budDAH BagavantaH SrImantaH budDimanto, darSanIyA, na-ati-Ayata-vadanA,
   ajihmavadanā, bimbavad raktoṣṭhāś, citavadanā, gambhīrasvarā,	ajihma-vadanA, bimba-vat rakta-uzWa-AS, cita-vadanA, gamBIra-svarA,
   gambhīranābhayaḥ, suvṛttanābhayaḥ, pradakṣīṇavartanābhayaś, citapāṇipādāḥ;	gamBIra-nABayaH, su-vRtta-nABayaH, prada-kzINa-vartana-aBayaS, cita-pANi-pAdAH;
   buddhā bhagavanto yathepsitapāṇipādāḥ, samapāṇilatā, avyavahitapāṇilekhā,	budDAH BagavantaH yaTA-Ipsita-pANi-pAdAH, sama-pANi-latA, avyavahita-pANi-leKA,
   āyatapāṇilekhā, vyapagatamaladurgandhagātrā, bhāsvaravarṇāś,	Ayata-pANi-leKA, vyapagata-mala-durganDa-gAtrA, BAsvara-varNa-AS,
   cārvāyatanamukhāś, candrasadṛśamukhāḥ, pūrvābhilāpino,	cAru-Ayatana-muKa-AS, candra-sadRSa-muKAH, pUrva-aBilApino,
   'pagatabhrūkuṭimukhāḥ; sarvaromakūpebhyo manāpo gandho nirgacchati;	apagata-BrU-kuwi-muKAH; sarva-romakUpeByaH manApaH ganDaH nirgacCati;
   sugandhamukhā bhavanti, siṃhavikrāntagāmino, nāgavikrāntagāmino,	suganDa-muKAH Bavanti, siMha-vikrAnta-gAmino, nAga-vikrAnta-gAminaH-,
   haṃsavikrāntagāminaś, chattrākārottamāṅgā,	haMsa-vikrAnta-gAmina-S, Cattra-AkAra-uttamAFgA,
   madhurasarvākāraparisamāptaghoṣās, tīkṣṇadaṃṣṭrās, tuṅganāsā, raktajihvāḥ;	maDura-sarva-AkAra-parisamApta-Goza-as, tIkzNa-daMzwrAs, tuFga-nAsA, rakta-jihvAH;
   buddhā bhagavantas tanujihvā, abhinīlaromāḥ, śuciromā, viśālanetrāḥ,	budDAH BagavantaH tanu-jihvA, aBinIla-romAH, Suci-romA, viSAla-netrAH,
   paripūrṇavivarā, lohitapāṇipādalatā, nābhinālarahitā, abhugnakukṣayaḥ,	paripUrNa-vivarA, lohita-pANi-pAda-latA, nABi-nAla-rahitA, aBugna-kukzayaH,
   kṣāmodarāḥ;	kzAmodarAH;
   buddhā bhagavanto 'valitakukṣayaḥ, śubhasandhayaś, citasandhayaḥ,	budDAH BagavantaH avalita-kukzayaH, SuBa-sanDa-yaS, cita-sanDayaH,
   pariśuddhapāṇipādā, vyāmaprabhāḥ, prabhāsvaragāminaḥ,	pariSudDa-pANi-pAdA, vyAma-praBAH, praBAsvara-gAminaH,
   kāyadarśanatṛptadevamanuṣyāḥ, sarvaprāṇyavimānitadarśanāḥ,	kAya-darSana-tRpta-deva-manuzyAH, sarva-prANi-avimAnita-darSanAH,
   sattvānuśāsakās; teṣāṃ vāg anukūlavartiparṣado bahir na nirgacchati;	sattva-anuSAsa-kAs; tezAm vAc anukUla-varti-parzadaH bahis na nirgacCati;
   siṃhapūrvārdhakāyā bhavanti, susaṃbaddhagātrā, gūḍhaśikhā,	siMha-pUrva-arDakAyAH Bavanti, su-saMbadDa-gAtrA, gUXa-SiKA,
   abhinīlaślakṣnacitakeśā, anākulakeśā, udvartitasukuñcitakeśā,	aBinIla-Slakzna-cita-keSA, anAkula-keSA, udvartita-su-kuQcita-keSA,
   asaṃlulitakeśāḥ, śrīvatsavibhūṣitoraskāḥ, śriyojjvalapāṇipādalakṣaṇāḥ;	asaMlulita-keSAH, SrIvatsa-viBUzita-uraskAH, SriyA-ujjvala-pANi-pAda-lakzaNAH;
   buddhānāṃ bhagavatāṃ hiṅgulamanaḥśilācīnapiṣṭavaiḍūryatāmrakiṭṭavarṇair	budDAnAm BagavatAm hiFgula-manaHSilA-cIna-pizwa-vExUrya-tAmra-kiwwa-varNEH-
   likhitānīva lakṣaṇāni. etany ucyante 'śītir anuvyañjanāni.	liKitAni-iva lakzaNAni. etani ucyante aSItiH anuvyaQjanAni.
   [DsP_58] tata āyuṣmān śāradvatīputro bhagavantam etad avocat: saced	[DsP_58] tatas AyuzmAn SAradvatI-putraH Bagavantam etat avocat: saced-
   bhadanta bhagavan bodhisattvā mahāsattvāḥ sarvadharmeṣv anabhiniviṣṭās,	Badanta Bagavan boDisattvAH mahAsattvAH sarva-Darmezu anaBinivizwa-as,
   tena bodhisattvāḥ sarvadharmān pṛthaṅ na samanupaśyanti yaduteme dharmāḥ	tena boDisattvAH sarva-DarmAn pRTak na samanupaSyanti yat-uta-ime DarmAH
   kuśalā ime dharmā akuśalā, ime dharmā vyākṛtā ime dharmā avyākṛtā, ime	kuSalAH ime DarmAH akuSalA, ime DarmAH vyAkRtAH ime DarmAH avyAkRtA, ime
   dharmā laukikā ime dharmā lokottarā, ime dharmāḥ sāsravā ime dharmā	DarmAH lOkikAH ime DarmAH lokottarA, ime DarmAH sa-AsravAH ime DarmA
   anāsravā, ime dharmāḥ saṃskṛtā ime dharmā asaṃskṛtā, ime dharmāḥ sādhāraṇā	anAsravA, ime DarmAH saMskRtAH ime DarmAH asaMskRtA, ime DarmAH sADAraNA
   ime dharmā asādhāraṇā ity, asaṃpaśyamānāś ca kathaṃ bodhimārgaṃ	ime DarmAH asADAraNAH ity, asaMpaSyamAnAH ca kaTam boDi-mArgam
   pratipadyante, 'pratipadyamānāś ca kathaṃ sarvajñatām anuprāpnuvanti?	pratipadyante, apratipadyamAnAH ca kaTam sarvajQa-tAm anuprApnuvanti?
   evam ukte bhagavān ayuṣmantaṃ śāradvatīputram etad avocat: yad api	evam ukte BagavAn ayuzmantam SAradvatI-putram etat avocat: yat api
   śāradvatīputra bodhisattvāḥ sarvadharmān pṛthak paśyanti tat saṃvṛtitaḥ,	SAradvatI-putra boDisattvAH sarva-DarmAn pRTak paSyanti tat saMvRtitaH,
   paramārthatas tu nāsti.	paramArTataH tu nAsti.
   āha: kathaṃ bhagavan saṃvṛtitaḥ sat paramārthato nāsti?	Aha: kaTam Bagavan saMvRtitaH sat paramArTataH nAsti?
   [DsP_59] bhagavān avocat: yasmin kāle śāradvatīputra bodhisattva evaṃ	[DsP_59] BagavAn avocat: yasmin kAle SAradvatI-putra boDisattvaH evam
   cintayati: tatra katame kuśalā laukikā dharmā iti, sa evaṃ cintayati: ete	cintayati: tatra katame kuSalA lOkikAH DarmAH iti, saH evam cintayati: ete
   kuśalā laukikā dharmā yaduta pitṛjñatā, mātṛjñatā, śramaṇyatā,	kuSalA lOkikAH DarmAH yat-uta pitR-jQa-tA, mAtR-jQa-tA, SramaNyatA,
   brāhmaṇyatā, kulajyeṣṭhāpacāyitā, dānamayaṃ puṇyakriyāvastu, śīlamayaṃ	brAhmaNyatA, kula-jyezWa-apacAyitA, dAna-mayam puNya-kriyA-vastu, SIla-mayam
   puṇyakriyāvastu, bhāvanāmayaṃ puṇyakriyāvastu, vaiyāvṛtyasahagatam	puNya-kriyA-vastu, BAvanA-mayam puNya-kriyA-vastu, vEyAvRtya-saha-gatam
   upāyakauśalyapuṇyaṃ, daśa kuśalakarmapathā, laukikā vidhmātakasaṃjñā,	upAya-kOSalya-puNyan, daSa kuSala-karma-paTA, lOkikA viDmAtaka-saMjQA,
   vipaḍumakasaṃjñā, vilohitakasaṃjñā, vipūyakasamjñā, vinīlakasaṃjñā,	vipaxumaka-saMjQA, vilohitaka-saMjQA, vipUyaka-samjQA, vinIlaka-saMjQA,
   vikhāditakasaṃjñā, vikṣiptakasaṃjñā, asthikasaṃjñā, vidagdhakasaṃjñā; evam	viKAditaka-saMjQA, vikziptaka-saMjQA, asTika-saMjQA, vidagDaka-saMjQA; evam
   eva catvāri dhyānāni, catvāry apramāṇāni, catasra ārūpyasamāpattayo,	eva catvAri DyAnAni, catvAri apramANAni, catasraH ArUpya-samApattayo,
   buddhānusmṛtir, dharmānusmṛtiḥ, saṃghānusmṛtiḥ, śīlānusmṛtis,	budDa-anusmRtir, Darma-anusmRtiH, saMGa-anusmRtiH, SIla-anusmRti-s,
   tyāgānusmṛtir, devatānusmṛtir, upaśamānusmṛtir, ānāpānānusmṛtiḥ,	tyAga-anusmRtir, devatA-anusmRtir, upaSama-anusmRtir, AnA-pAna-anusmRtiH,
   kāyagatānusmṛtir, maraṇānusmṛtir iti.	kAya-gata-anusmRtir, maraNa-anusmRtiH iti.
   [DsP_60] tatra katame 'kuśalā dharmā iti cintayitvā sa evaṃ cintayati: ete	[DsP_60] tatra katame akuSalAH DarmAH iti cintayitvA saH evam cintayati: ete
   'kuśalā dharmā yaduta prāṇātipāto, 'dattādānaṃ, kāmamithyācāro, mṛṣāvādaḥ,	akuSalAH DarmAH yat-uta prANa-atipAto, adatta-AdAnaM, kAma-miTyA-AcAro, mRzAvAdaH,
   paiśunyaṃ, pāruṣyaṃ, saṃbhinnapralāpo, 'bhidhyā, vyāpādo, mithyādṛṣṭiḥ,	pESunyan, pAruzyaM, saMBinna-pralApo, aBiDyA, vyApAdo, miTyAdRzwiH,
   krodha, upanāho, mrakṣaḥ, pradāso, vihiṃserṣyā, mātsaryaṃ, māna iti.	kroDa, upanAho, mrakzaH, pradAso, vihiMsA-IrzyA, mAtsaryan, mAnaH iti.
   [DsP_61] tatra katame 'vyākṛtā dharmā iti cintayitvā sa evaṃ cintayati:	[DsP_61] tatra katame avyAkRtAH DarmAH iti cintayitvA saH evam cintayati:
   ete 'vyākṛtā dharmā yadutāvyākṛtāni kāyakarmāṇy, avyākṛtāni vākkarmāṇy,	ete avyAkRtAH DarmAH yaduta-avyAkRtAni kAya-karmANy, avyAkRtAni vAkkarmANi-,
   avyākṛtāni manaḥkarmāṇy, avyākṛtāni catvāri mahābhūtāny, avyākṛtāni	avyAkRtAni manaH-karmANy, avyAkRtAni catvAri mahABUtAny, avyAkRtAni
   pañcendriyāṇy, avyākṛtāḥ pañca skandhā, dvādaśāyatanāny, aṣṭādaśa dhātavo,	paQca-indriyANy, avyAkRtAH paQca skanDA, dvAdaSa-AyatanAny, azwAdaSa DAtavaH-,
   vipākaś ceti.	vipAkaH ca-iti.
   [DsP_62] tatra katame lokottarā dharmā iti cintayitvā sa evaṃ cintayati:	[DsP_62] tatra katame lokottarAH DarmAH iti cintayitvA saH evam cintayati:
   ete lokottarā dharmā yaduta catvāri smṛtyupasthānāni, catvāri	ete lokottarA DarmAH yat-uta catvAri smRti-upasTAnAni, catvAri
   samyakprahāṇāni, catvāra ṛddhipādāḥ, pañcendriyāṇi, pañca balāni, sapta	samyak-prahANAni, catvAraH RdDi-pAdAH, paQca-indriyANi, paQca balAni, sapta
   bodhyaṅgāny, āryāṣṭāṅgamārgas, trīṇi vimokṣamukhāny,	boDi-aFgAny, Arya-azwa-aFga-mArgas, trINi vimokza-muKAni-,
   anājñātamājñāsyāmīndriyam, ājñendriyam, ājñātāvīndriyaṃ, savitarkaḥ	anAjQAtam-AjQAsyAmi-indriyam, AjQa-indriyam, AjQAta-avIndriyan, sa-vitarkaH
   savicāraḥ samādhir, avitarko vicāramātraḥ samādhir, avitarko 'vicāraḥ	sa-vicAraH samADir, avitarkaH vicAra-mAtraH samADir, avitarkaH avicAraH
   samādhir, adhyātmaśūnyatā yāvad abhāvasvabhāvaśūnyatā, tathāgatasya daśa	samADir, aDyAtma-SUnyatA yAvat aBAva-svaBAva-SUnyatA, taTAgatasya daSa
   balāni, catvāri vaiśāradyāni, catasraḥ pratisaṃvido, mahāmaitrī,	balAni, catvAri vESAradyAni, catasraH pratisaMvido, mahA-mEtrI,
   mahākaruṇā, aṣṭādaśāveṇikā buddhadharmā iti.	mahA-karuNA, azwAdaSa-AveNikAH budDa-DarmA iti.
   [DsP_63] tatra katame sāsravā dharmāḥ? traidhatukaparyāpannāḥ pañca	[DsP_63] tatra katame sa-AsravAH DarmAH? trEDatuka-parya-ApannAH paQca
   skandhā, dvādaśāyatanāny, aṣṭādaśa dhātavaś, catvari dhyānāni, catvāry	skanDA, dvAdaSa-AyatanAny, azwAdaSa DAtavaS, catvari DyAnAni, catvAri-
   apramāṇāni, catasra ārūpyasamāpattaya ete ucyante sāsravā dharmāḥ.	apramANAni, catasraH ArUpya-samApattayaH ete ucyante sa-AsravAH DarmAH.
   [DsP_64] tatra katame 'nāsravā dharmāḥ? catvāri smṛtyupasthānāni peyālaṃ	[DsP_64] tatra katame anAsravAH DarmAH? catvAri smRti-upasTAnAni peyAlam
   yāvad aṣṭādaśāveṇikā buddhadharmā ete 'nāsravā dharmāḥ.	yAvat azwAdaSa-AveNikAH budDa-DarmAH ete anAsravAH DarmAH.
   [DsP_65] tatra katame saṃskṛtā dharmāḥ? yaduta kāmadhātū, rūpadhātur,	[DsP_65] tatra katame saMskRtAH DarmAH? yat-uta kAmaDAtU, rUpa-DAtuH-,
   arūpadhātur, evam eva pañca skandhāś, catvāri dhyānāni, catvāry	arUpa-DAtur, evam eva paQca skanDa-AS, catvAri DyAnAni, catvAri-
   apramāṇāni, catasra ārūpyasamāpattayaś, catvāri smṛtyupasthānāni peyālaṃ	apramANAni, catasraH ArUpya-samApatta-yaS, catvAri smRti-upasTAnAni peyAlam
   yāvad aṣṭādaśāveṇikā buddhadharmā, ete saṃskṛtā dharmāḥ.	yAvat azwAdaSa-AveNikAH budDa-DarmA, ete saMskRtAH DarmAH.
   [DsP_66] tatra katame 'saṃskṛtā dharmāḥ? yeṣāṃ dharmāṇāṃ notpādo, na	[DsP_66] tatra katame asaMskRtAH DarmAH? yezAm DarmANAm na-utpAdo, na
