   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   viśvebhyo devebhyo brāhmaṇabhojanaṃ yugmasaṃkhyayā /	viSveByaH deveByaH brAhmaNa Bojanam yugma saMKyayA /
   "mātāmahānāmapyevaṃ tantraṃ vā vaiśvadaivika"(yā.smṛ.1 228 miti yā5valkyaḥ	"mAtAmahAnAm api evam tantram vA vESvadEvika"(yA. smR.1 228 miti yA5valkyaH
   ĀpGs Tāt_21.2:	ĀpGs TAt _21.2:
   śucitvādiguṇayuktān brāhmaṇān, anartāvekṣaḥ	Suci tva Adi guNa yuktAn brAhmaNAn, anarta avekzaH
   pratyupakārādidṛṣṭaprayojanānavekṣo, bhojayediti vākyārthaḥ /	pratyupakAra Adi dRzwa prayojana anavekzo, Bojayet iti vAkya arTaH /
   padārthastu śucayo vāṅmanaḥ kāyaśuddhāḥ /	padArTaH tu SucayaH vAc manaH kAya SudDAH /
   na ca vācyaṃ dharmaśāstre 'śucīnmantravatassarvakṛtyeṣu	na ca vAcyam Darma SAstre aSucIn mantravatassarva kRtyezu
   bhojayet'(āpa.dha.2 15 11) iti sarvārthamuktatvādiha	Bojayet a(Apa.Da.2 15 11) iti sarva arTa m ukta tvAt iha
   punaśśucitvavacanamanarthakamiti;yato 'lpāvidyānapi śucīneva bhojayet,	punar Suci tva vacanam anarTakam iti;yataH alpa avidyAn api SucIn eva Bojayet ,
   tadabhāve varaṃ kriyālopo, na tvaśucīnityevaṃ śucītvādarārtam /	tad aBAve varam kriyA Alopo, na tu aSucIn iti evam SucI tvAdara Artam /
   mantravato	mantravataH 
   mantrabrāhmaṇavataḥyonigotramantrāsambandhānityatra'dvandvātparaṃ	mantra brAhmaNavataH yoni gotra mantra asambanDa aniti atra advandvAt param
   śrūyamāṇaḥ pratyekamabhisambandhyate'iti nyāyena, yonyā asambandhāḥ,	SrUyamANaH pratyekam aBisambanDyate aiti nyAyena, yonyAH asambanDAH,
   gotreṇāsambaṃdhāḥ yājyayājakādhyetradhyāpayitāraḥ /	gotreNa asambaMDAH yAjya yAjaka aDyetra DyApayitAraH /
   yattu dharmaśāstre 'mantrāntevāsyasambandhān'(āpa.dha.2 17 4) iti	yat tu Darma SAstre amantra antevAsya sambanDAn a(Apa.Da.2 17 4) iti
   mantrasambandhavyātirekeṇāntevāsyasambandhānityuktaṃ	mantra sambanDa vyAtiH ekeNa antevAsya sambanDAn iti uktam
   tadaṅgādhyetṛśrotṛlakṣaṇamantrasambandhaniṣedhābhiprāyam /	tad aFgADyetR SrotR lakzaNa mantra sambanDa nizeDa aBiprAyam /
   nanu sāmayācārikeṣveva brahmaṇānāṃ mantravattvaṃ	nanu  sAmaya AcArikezu eva brahmaNAnAm mantravat tvam
   yonigotramantrāsambandhatvaṃ va siddham;tadihaṃ kimartha punaruktam	yoni gotra mantra asambanDa tvam va sidDa m;ta diham kim arTa punaruktam
   ?ucyate nitye māsiśrāddhe gṛhyoktaguṇānapi bhojayet nāvaśyaṃ dharmoktān	?ucyate nitye mAsi SrAdDe gRhya ukta guNAn api Bojayet na avaSyam Darma uktAn
   brahmavidontevāsyasambandhānityevamartham /	brahma vidA untA iva Asya sambanDAn iti evam arTam /
   ayugmāviṣamasaṅkhyākāḥ /	ayugmA vizam a saFKyAkAH /
   tryavarāḥtritvamavaraṃ saṅkhyā yeṣāṃ te tryavarāḥ /	tri avarAHtri tvam avaram saFKyA yezAm te tri avarAH /
   etacca pitṛpitāmahaprapitāmahaviṣayam /	etat ca pitR pitAmaha prapitAmaha vizayam /
   tataśca pitrādīnāṃ trayāṇāṃ pratyakaṃ trīn pañca vā na punassaptādīn, dvo	tatas ca pitR AdInAm trayANAm pratyakam trIn paQca vA na punassapta AdIn, dvo
   daive pitṛkārye trīnekaikamubhayatra vā /	dEve pitR kArye trIn ekEkam uBayatra vA /
   bhojayetsusamṛddho 'pi na prasajyeta vistare //	Bojayet su samRdDaH api na prasajyeta vistare //
   (ma.smṛ.3 135) iti manuvacanāt /	(ma.smR.3 135) iti manu vacanAt /
   nanvasmin manuvacane 'pitṛkārye trīn'ityuktvā 'na prasajyeta	nanu asmin manu vacane apitR kArye trIn aiti uktvA ana prasajyeta
   vistare'ityuktaṃ, tatkimiti 'pca vā'ityuktam?ucyate ayugmāṃstryavarāniti	vistare aiti uktan, tat kim iti apca vA aiti uktam ?ucyate a yugmAn= tri avarAn iti
   sūtrakāravacanāt /	sUtra kAra vacanAt /
   evaṃ tarhi 'ekaikamubhayatra vā'iti viruddhaḥ /	evam tarhi aekEkam uBayatra vA aiti virudDaH /
   na;tasyānu kalpatvāt /	na;tasya anu kalpa tvAt /
   atra yadyapi mātrādibhyaḥ pṛthageva piṇḍadānadarśanaṃ, tathāpi tāsāṃ	atra yadi api mAtrAdiByaH pRTak eva piNxa dAna darSanaM, taTA api tAsAm
   pṛthagbrāhmaṇabhojanaṃ na bhavati, hemābhimarsanayoḥ pṛthaktvādarśanāt,	pRTak brAhmaNa Bojanam na Bavati, hema aBimarsanayoH pRTaktvA adarSanAt,
   pitṛmātrarthabrāhmaṇasaṅkhyāsaṅkalane satyayugmatvavirodhāt, ācārābāvācca	pitRmAtrarTa brAhmaNa saFKyA saFkalane satya yugma tva viroDAt, AcArAbAvAt ca
   api ca  	api ca  
   aṣṭakāsu ca vṛddhau ca gayāyāṃ ca mṛte 'hani /	azwakAsu ca vRdDO ca gayAyAm ca mRte ahani /
   mātuśśrāddhaṃ pṛthakkuryādanyatra patinā saha //	mAtuH SrAdDam pRTak kuryAt anyatra patinA saha //
   iti manuvacanādaṣṭakādibhyo 'nyatra māsiśrāddhādau pṛthaktvābhāvasspaṣṭa	iti manu vacanAt azwaka AdiByaH anyatra mAsi SrAdDa AdO pRTaktvA aBA= asspazwa
   evāvagamyate /	eva avagamyate /
   iha ca sūtrakārabhāṣyakārābyāmanuktamapi viśvadevārtha yugmānāṃ bhojanaṃ	iha ca sUtrakAra BAzyakArAbyAm anuktam api viSva deva arTa yugmAnAm Bojanam
   kartavyam 'dvau daive'iti manuyājñavaklyābhyāmuktatvāt, piśācā rākṣasā	kartavyam advO dEve aiti manu yAjQa vaklya aByAm ukta tvAt, piSAcAH rAkzasA
   yakṣā bhūtā nānāvidhāstathā /	yakzAH BUtAH nAnAviDAH taTA /
   vipralumpanti sahasā śrāddhamārakṣavarjitam /	vipralumpanti sahasA SrAdDam Arakza varjitam /
   tatpālanāya vihitā viśvedevāssvayambhuvā //	tad pAlanAya vihitA viSvedevAH svayamBuvA //
   ityādi jhāgaleyavacanāt, avigītaśiṣṭācārācca /	ityAdi JAgaleya vacanAt, avigIta Sizwa AcArAt ca /
   yadā tveka eva brāhmaṇo labhyate, tadā taṃ pitrādyarthameva bhojayet,	yadA tu ekaH eva brAhmaNaH laByate, tadA tam pitR Adi arTam eva Bojayet ,
   pradhānatvāt /	praDAna tvAt /
   aṅgabhūtasya tu vaiśvadevasya yadyekaṃ bhojayecchrāddhe daivaṃ tatra	aFga BUtasya tu vESvadevasya yadi ekam Bojayet SrAdDe dEvam tatra
   kathaṃ bhavet /	kaTam Bavet /
   annaṃ pātre samuddhṛtya sarvasya prakṛtasya ca //	annam pAtre samudDRtya sarvasya prakRtasya ca //
   devatāyatane kṛtvā tatra śrāddhaṃ prakalpayet /	devatAyatane kRtvA tatra SrAdDam prakalpayet /
   prāsyedagnau tadannaṃ tu dadyāddvā brahmacāriṇe //	prAsyet agnO tat annam tu dadyAt dvA brahmacAriNe //
   (va.11 30,31) iti vasiṣṭhoktavidhinānuṣṭhānam /	(va.11 30,31) iti vasizWa ukta viDinA anuzWAnam /
   nanu ca  	nanu ca  
   mātāmahānāmapyevaṃ tantraṃ vā vaiśvadaivikam /	mAtAmahAnAm api evam tantram vA vESvadEvikam /
   (yā.smṛ.1 2280),	(yA. smR. 1 2280),
   tathā  	taTA  
   mātāmahanāmapyevaṃ śrāddhaṃ kuryādvicakṣaṇaḥ /	mAtAmahanAm api evam SrAdDam kuryAt vicakzaNaH /
   mantrohena yathānyāyaṃ śeṣaṃ mantravivarjitam //	mantra Uhena yaTAnyAyam Sezam mantra vivarjitam //
   (vi.smṛ.750)	(vi.smR.750)
   tathaiva  	taTA eva  
   pṛthaṅmātāmahānāṃ ca vaiśvadevasamanvitam /	pRTak mAtAmahAnAm ca vESvadeva samanvitam /
   kurvīta bhaktisampannaṃ tantraṃ vā vaiśvadaivikam //	kurvIta Bakti sampannam tantram vA vESvadEvikam //
   (vi.pu.3 15 16)	(vi.pu.3 15 16)
   iti yājñavalkyaviṣṇusmṛtyoḥ viṣṇupurāṇe ca vidhidarśanāt	iti yAjQavalkya vizNu smRtyoH vizNupurANe ca viDi darSanAt 
   mātāmahaśrāddhamapi nityamevāvagamyate /	mAtAmaha SrAdDam api nityam eva avagamyate /
   tatkimiti sūtrakārabhāṣyakārau na brūtaḥ?	tat kim iti sUtrakAra BAzya kArO na brUtaH?
   ucyate naiva tatrāpi smṛtyantareṣu pitryavatsarvasyaiva jīvato	ucyate na eva tatra api smRti antarezu pitrya vat sarvasya eva jIvataH 
   dvijasyāvaśyaṃ mātāmahaśrāddhamapi niyamena kartavyamiti vidhitsitam /	dvijasya avaSyam mAtAmaha SrAdDam api niyamena kartavyam iti viDitsitam /
   kṛte	kRte
   abhyudayaḥ, #karaṇe na pratyavāya iti /	aByudayaH, #karaNe na pratyavAyaH iti /
   kasya tarhi niyamena kartavyamiti vidhiriti cet;yaḥ putrikākṛtāyā	kasya tarhi niyamena kartavyam iti viDiH iti cet;yaH putrikA kRtAyA
   āsurādivivāho  ḍhāyā vā putro mātāmahena saha mātussāpiṇḍyaṃ karoti, tasya	Asura Adi vivAho XAyAH vA putraH mAtAmahena saha mAtuH sApiNxyam karoti, tasya
   mātāmahaśrāddhaṃ niyatameva, akarame ca pratyavāyaḥ /	mAtAmaha SrAdDam niyatam eva, akarame ca pratyavAyaH /
   māsiśrāddhe tu mātuḥ pṛthak	mAsi SrAdDe tu mAtuH pRTak 
   śrāddhābhāvānmātāmahaśrāddhāṃśabhāgitvopapatteḥ /	SrAdDa aBAvAt mAtAmaha SrAdDa aMSa BAgi tva upapatteH /
   atha vā yo dauhitro 'putrasya mātāmahasyākhilārtahārī tasyaitacchrāddhaṃ	aTa vA yaH dOhitraH aputrasya mAtAmahasya aKila Arta hArI tasya etat SrAdDam
   niyatam /	niyatam /
   yathāha laugākṣiḥ  	yaTA Aha lOga akziH  
   śrāddhaṃ mātāmahānāṃ ca avaśyaṃ dhanahāriṇā /	SrAdDam mAtAmahAnAm ca avaSyam Dana hAriNA /
   dauhitreṇa vidhijñena kartavyaṃ vidhivatsadā //	dOhitreNa viDi jQena kartavyam viDivat sadA //
   iti /	iti /
   imamevārtha bārucirapyāha 	imam eva arTa bAruciH api Aha 
   'yasmin pakṣe aputro mātāmahaḥ, putrikāsutaścākhiladravyahārī, tasmin	ayasmin pakze aputraH mAtAmahaH, putrikA sutaH ca aKila dravya hArI, tasmin
   pakṣe tasya piṇḍadānaniyamaḥ'ityādinā granthena /	pakze tasya piNxa dAna niyamaH aityAdinA granTena /
   mātāmahaśrāddhaprayogaśca smṛtyantarebhyo nyāyatasca pratyetavyaḥ /	mAtAmaha SrAdDa prayogaH ca smRti antareByaH nyAyataH ca pratyetavyaH /
   tasmāt sarvasya dhauhitrasya pitryavat kartavyameveti	tasmAt sarvasya DOhitrasya pitrya vat kartavyam eva iti
   niyamābhāvatsūtrakārabhāṣyakārau na brūtaḥ // 2 //	niyama aBAvat sUtra kAra BAzya kArO na brUtaH // 2 //
   3 annahomāḥ /	3 anna homAH /
   annasyottarābhirjuhoti // ĀpGs_21.3 //	annasya uttarABiH juhoti // ĀpGs_21.3 //
   (pa.8.khaṃ.,21 3)	(pa.8.KaM.,21 3)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.3:	ĀpGs AnAH _21.3:
   uttarābhiḥ 'yanme māte'tyādibhiḥ strīliṅganirdeśādṛgbissaptabhiḥ	uttarABiH ayat me mAte atyAdiBiH strI liFga nirdeSa adRS bissaptaBiH
   annasyaikadeśaṃ juhoti /	annasya eka deSam juhoti /
   brāhmaṇabhojanārta kalpitādannāduddhṛtya juhotītyarthaḥ /	brAhmaNa Bojana Arta kalpitAt annAt udDRtya juhoti iti arTaH /
   tatra 'amuṣmā'ityasya sthāne ādito dvayoḥ piturnāmanirdeśaḥ /	tatra aamuzmA aityasya sTAne Aditas dvayoH pituH nAma nirdeSaH /
   madhyamayoḥ pitāmahasya /	maDyamayoH pitAmahasya /
   antyayoḥ prapitāmahasya /	antyayoH prapitAmahasya /
   "yadi dvipitā syādekaikasmin piṇḍe dvau dvāvupalakṣaye"(āpa.śrau.1 27)diti	"yadi dvi pitA syAt ekEkasmin piNxe dvO dvO= upalakzaye"(Apa.SrO.1 27)diti
   nyāyena dvipiturdvayorupalakṣaṇam amuṣmā	nyAyena dvi pituH dvayoH upalakzaNam  amuzmA
   amuṣmā iti /	amuzmA iti /
   ante svāhākāraḥ /	ante svAhAkAraH /
   kecit 'pitarau vṛñjetā'mityūhaṃ ku4vanti /	kecid apitarO vRQjetA am iti Uham ku4vanti /
   (ṛgvikalpaṃ kurvanti vā)etena pitāmahaprapitāmahau vyākhyātau /	(Rc vikalpam kurvanti vA)etena pitAmaha prapitAmahO vyAKyAtO /
   tathā 'svāhā pitra'ityatrāpi kecidūhaṃ kurvanti /	taTA asvAhA pitra aiti atra api kecid Uham kurvanti /
   apare na pitṛtvamatra vivakṣitaṃ ekatvamavivakṣitamiti /	apare na pitR tvam atra vivakzitam eka tvam avivakzitam iti /
   kecit	kecid 
   mātāmahānāmapyūhana homaṃ kurvanti 'yanme mātāmahī, yanme mātuḥ pitāmahī,	mAtAmahAnAm api Uhana homam kurvanti  ayat me mAtAmahI, yat me mAtuH pitAmahI,
   yanme mātuḥ prapitāmahī, tanme roto mātāmaho vṛṅktāṃ ityādi //3//	yat me mAtuH prapitAmahI, tat me rotaH mAtAmahaH vRFktAm ityAdi //3//
   ĀpGs Tāt_21.3:	ĀpGs TAt _21.3:
   atrānnaśabdena brahmaṇabhojanārthamannaṃ vivakṣitam, ṣaṣṭhyā	atra anna Sabdena brahmaNa Bojana arTam annam vivakzitam, zazWyA
   cāpādānāpādeyabhāvaḥ /	ca Apa AdAna apAdeya BAvaH /
   tenāyamarthaḥ brāhmaṇabhojanārthātsarvasmāddhaviṣyajātādodanāpūpāderhomārthamekasminpātre	tena ayam arTaH  brAhmaNa Bojana arTAt sarvasmAt havizya jAtAt odana apUpa AdeH homa arTam ekasmin pAtre
   sahoddhṛtya, tasmāt pārvaṇavadavadānadharmeṇāvadāyottarābhiḥ 'yanme	saha udDRtya, tasmAt pArvaNa vat avadAna DarmeNa avadAya uttarABiH ayat me
   mātā'ityādibhissaptabhiḥ pratyṛcaṃ pradhānīhutīrjuhoti /	mAtA aitya Adi BiH saptaBiH pratyRcam praDAnIhutIH juhoti /
   na tu bahumantraka eko homaḥ, 'etadvā viparītam'(āpa.gṛ.21 5) iti	na tu bahu mantrakaH ekaH homaH, aetat vA viparItam a(Apa.gR.21 5) iti
   bahutvaliṅgāt /	bahu tva liFgAt /
   liṅgaṃ ca 'etadve'ti sūtravyākhyāne vyaktaṃ bhaviṣyati /	liFgam ca aetat ve ati sUtra vyAKyAne vyaktam Bavizyati /
   atra prathamadvitīyayormantrayoramiṣmā ityasya sthāne viṣṇuśarmaṇa iti	atra praTama dvitIyayoH mantrayoram izmE iti asya sTAne vizNuSarmaNaH iti
   caturthyā piturnāmagrahaṇam /	caturTyA pituH nAma grahaNam /
   evaṃ tṛtīyacaturthayoḥ pitāmahasya pañcamaṣaṣṭhayoḥ prapitāmahasya /	evam tRtIya caturTayoH pitAmahasya paQcama zazWayoH prapitAmahasya /
   saptame tvadaśśabdābhāvānnāsti nāmagrahaṇam /	saptame tvadaH Sabda aBAvAt na asti nAma grahaNam /
   anūhaścātra dvipitrādikasyāpi, 'tasmādṛcaṃ nohet'; (āśva.śrau.) iti	anUhaH ca atra dvi pitrAdikasya api, atasmAt Rcam na uhet a; (a aSva. SrO.) iti
   ṛgūhapratiṣedhācca /	Rc Uha pratizeDAt ca /
   tasmāt 'pitā vṛṅktāmā'ityādyekavacanaṃ pitrādiśāmānyaparam /	tasmAt apitA vRFktAmA aitya Adi eka vacanam pitR Adi SAmAnya param /
   ata eva prakṛtau darśapūrṇamāsayoranekapatnīkasyāpi 'patnī	atas eva prakRtO darSa pUrNamAsayoH aneka patnIkasya api apatnI
   sannahya'ityekavacanenaiva sampraiṣaḥ /	sannahya aiti eka vacanena eva samprEzaH /
   ūha ityupadeśaḥ /	UhaH iti upadeSaH /
   prakṛtāveva dvādaśāhe"adya sutyāmityālekhanaḥ"ityūhadarśanāt /	prakRtO= eva dvAdaSa ahe"adya sutyAm iti AleKanaH"iti Uha darSanAt /
   eṣaḥ te tata madhumāne'ityādiṣveṣa nyāyaḥ /	ezaH te tata maDu mAne aityAdizu eza nyAyaH /
   jīvapitrādikastu pitrādeḥ pitrādīnāṃ trayāṇāṃ mṛtānāṃ nāmāni gṛhṇāti /	jIva pitR AdikaH tu pitR AdeH pitR AdInAm trayANAm mRtAnAm nAmAni gRhNAti /
   yastu pramītapitṛko 'yaṃ dhriyamāṇapitāmahassyāt, sa svapituśca	yaH tu pramIta pitRkaH ayam DriyamANa pitAmaha ssyAt, sa svapituH ca
   tatpitāmahaprapitāmahayośca nāmāni gṛhṇīyāt /	tad pitAmaha prapitAmahayoH ca nAmAni gRhNIyAt /
   tathā manveṣu pratiyogibhede 'pi pitṛpitāmahaprapitāmahaśabdānāmeva	taTA manu ezu pratiyogi Bede api pitR pitAmaha prapitAmaha SabdAnAm eva
   prayogaḥ /	prayogaH /
   ūhapakṣe tu, tattatpratiyopinirdeśapūrvakaḥ 'pituḥ pitā vṛhktām'pituḥ	Uha pakze tu, tad tad pratiyopi nirdeSa pUrvakaH apituH pitA vRhktAm apituH
   pitāmaho vṛṅktām'ityādikaḥ prayogaḥ /	pitAmahaH vRFktAm aitya AdikaH prayogaH /
   na ca jīvapitrādikasya māsiśrīddhaṃ nāstītyāśaṅkanīyam, dhriyamāṇe tu	na ca jIva pitR Adikasya mAsi SrIdDam na asti iti ASaFkanIyam, DriyamANe tu
   pitari pūrvaṣāmeva ni4vapet /	pitari pUrvazAm eva ni4vapet /
   pūrveṣu triṣu dātavyaṃ jīveccettritayaṃ yadi //	pUrvezu trizu dAtavyam jIvet ced tritayam yadi //
   (ma.smṛ.3 220) ityādivacanajātāt /	(ma.smR.3 220) ityAdi vacana jAtAt /
   nanvemapi vyutkramācca pramītapitrādikasya naiva ghaṭate, 'vyutkramācca	nanvem api vyutkramAt ca pramIta pitR Adikasya na eva Gawate, avyutkramAt ca
   pramītānāṃ naiva kāryā sapiṇḍatā /	pramItAnAm na eva kAryA sapiNxa tA /
   'iti vyutkramamṛtānāṃ sapiṇḍīkaraṇaniṣedhena sapiṇḍīkṛtapitṛsampradānake	aiti vyutkrama mRtAnAm sapiNxIkaraNa nizeDena sapiNxIkRta pitR sampradAnake
   śrāddhe tatputrādīnāmadhikārābhāvāt /	SrAdDe tad putra AdInAm aDikAra aBAvAt /
   maivam; pitā yasya tu vṛttassyājjīveccāpi pitāmahaḥ /	mA evam; pitA yasya tu vRtta ssyAt jIvet ca api pitAmahaH /
   pitussa nāma saṅkīrtya kīrtayetprapitāmaham //	pituH sa nAma saFkIrtya kIrtayet prapitAmaham //
   pitāmaho vā tcchrāddhaṃ bhujjītetyabravīnmanuḥ //	pitAmahaH vA tcSrAdDam BujjIta iti abravIt manuH //
   (ma.smṛ.3 221,222) iti manuvacanena vyutkramapramītapitrādikasayāpi	(ma.smR.3 221,222) iti manu vacanena vyutkrama pramIta pitR AdikasayA api
   śrāddhavidhānāt /	SrAdDa viDAnAt /
   tataśca vyutkramācceti niṣedhaḥ pākṣika iti niścayādadhikāro 'pi pākṣiko	tatas ca vyutkramAt ca iti nizeDaH pAkzikaH iti niScayAt aDikAraH api pAkzikaH 
   'vigamyate //3//	avigamyate //3//
   4 ājyahomāḥ /	4 Ajya homAH /
   ājyāhutīruttarāḥ // ĀpGs_21.4 //	Ajya AhutIH uttarAH // ĀpGs_21.4 //
   (pa.8.khaṃ.,21 4)	(pa.8.KaM.,21 4)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.4:	ĀpGs AnAH _21.4:
   ṣaḍājyāhatīrjuhoti svāhā pitra ityādyāḥ /	zaz Ajya AhatIH juhoti svAhA pitre ityAdyAH /
   tatra 'svāhā pitra'; iti purastāt svāhākāratvānnānte svāhākāraḥ /	tatra asvAhA pitra a; iti purastAt svAhAkAra tvAt na ante svAhAkAraH /
   atrāhuḥ māsiśrāddhe brāhmaṇabhojanaṃ pradhānakarmatadaṅgamagnau karaṇaṃ	atra AhuH mAsi SrAdDe brAhmaNa Bojanam praDAna karma tad aFgam agnO karaNam
   piṇḍaśca /	piNxaH ca /
   tona jīvapitṛśrāddhakriyā na bhavati /	tona jIva pitR SrAdDa kriyA na Bavati /
   'yadi jīvapitā na dadyāt'iti	ayadi jIva pitA na dadyAt aiti
   niṣedhāt /	nizeDAt /
   āhomāt kṛtvā viramet'ityayamapi vidirna bhavati /	AhomAt kRtvA viramet aiti ayam api vidiH na Bavati /
   homasya bhojanāṅgatvāt piṇḍapitṛyajñe tu homasya pradhānatvāditi /	homasya Bojana aFga tvAt piNxa pitR yajQe tu homasya praDAna tvAt iti /
   anye tu yebhya eva pitā dadhyāt tebhya eva putro 'pītyāhuḥ /	anye tu yeByaH eva pitA daDyAt teByaH eva putraH api iti AhuH /
   apara āha trīṇi śrāddhe pradhānāni agnau karaṇaṃ bhojanaṃ piṇḍadānamiti	aparaH Aha trINi SrAdDe praDAna ani agnO karaNam Bojanam piNxa dAnam iti
   tenā 'homāt kṛtvā virame'dityasyāpi vidherayaṃ viṣaya iti	tenA ahomAt kRtvA virame adityasya api viDeH ayam vizayaH iti
   ĀpGs Tāt_21.4:	ĀpGs TAt _21.4:
   evamannahomāt dutvā,anantaramuttarāḥ'svāhā	evam anna homAt dutvA, anantaram uttarAH asvAhA
   pitre'ityādyāṣṣaḍājyāhutīrjuhoti //4//	pitre aityAt yAzzaz a Ajya AhutIH juhoti //4//
   etadvā viparītam // ĀpGs_21.5 //	etat vA viparItam // ĀpGs_21.5 //
   (pa.7.khaṃ.,21 5)	(pa.7.KaM.,21 5)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.5:	ĀpGs AnAH _21.5:
   pūrvāssaptājyāhutayaḥ uttarāṣṣaḍannāhutaya ityarthaḥ /	pUrvAssapta Ajya AhutayaH uttarAzzaz an= AhutayaH iti arTaH /
   mantrāstu yathāmnātameva /	mantrAH tu yaTAmnAtam eva /
   prayogaḥ pūrvadyurnivedanaṃ sāyaṃ bhojanānantaraṃ śvaḥ śrāddhaṃ	prayogaH  pUrvadyus nivedanam sAyam Bojana anantaram Svas SrAdDam
   bhaviṣyatīti /	Bavizyati iti /
   tata āgabhyavratacaryā sarveṣām /	tatas AgaBya vrata caryA sarvezAm /
   (vayaṃ tu brūmaḥ pūrvedyuḥ sāyaṃ bhojanaṃ na bhavati /	(vayam tu brUmaH pUrvedyus sAyam Bojanam na Bavati /
   'yadanāśvānupavaset pitṛdevatyassyā"diti liṅgāditi) /	ayadana aSvAn upavaset pitR devatyassyA"t iti liFga at iti) /
   athāparedyuḥ prātaḥ dvatīyaṃ nivedanam adya kriyata iti /	aTa aparedyus prAtar dvatIyam nivedanam adya kriyate iti /
   athābyaṅgastato 'parāhṇe snātān ka tapacchaucān	aTa abyaFgaH tatas aparAhNe snAtAn ka ta pa= SOcAn
   tānamantrayate /	tAn amantrayate /
   pūrva viśvebhyo devebhyo yajñopavītī yugmān dvau caturo vā 'māsi śrāddhe	pUrva viSveByaH deveByaH yajQa upavItI yugmAn dvO caturaH vA amAsi SrAdDe
   viśvebhyo devebhyaḥ kṣaṇaḥ kartavya'iti /	viSveByaH deveByaH kzaNaH kartavyaH aiti /
   'oṃ tathe'ti prativacanam /	aom taTe ati prativacanam /
   'prāpnotu bhavā'niti yathāsanaṃ prāpaṇam /	aprApnotu BavA aniti yaTAsanam prApaNam /
   'prāpnavānī'ti prativacaname /	aprApnavAnI ati prativacaname /
   devebhyaḥ prāṅmukhāḥ brāhmaṇāḥ prāṅmṛleṣu darmeṣu /	deveByaH prAFmuKAH brAhmaNAH prAk mRlezu darmezu /
   pitṛbhya udaṅmukhāḥ dviguṇabhugneṣu dakṣiṇāgreṣu yuvānaḥ pitre /	pitRByaH udaFmuKAH dviguNa Bugnezu dakziNa agrezu yuvAnaH pitre /
   vṛddhāḥ pitāmahāya /	vRdDAH pitAmahAya /
   vṛddhatamāḥ prapitāmahāya /	vRdDatamAH prapitAmahAya /
   ekaikasya trayastrayo vā /	ekEkasya trayaH trayaH vA /
   śucaudeśe dakṣiṇāpravaṇe śrāddhāgāraṃ sarvataḥ pariśritamudagavādvāraṃ	SucOdeSe dakziNA pravaNe SrAdDa AgAram sarvatas pariSritam udagavAt vAram
   tasya pūrvottare deśe agniraupāsanaḥ /	tasya pUrvottare deSe agniH OpAsanaH /
   tasyā dhakṣiṇataḥ piṇḍadānārtha sthaṇḍilam /	tasyAH DakziNatas piNxa dAna arTa sTaNxilam /
   tasya dakṣiṇataḥ udaṅmukhāḥ pitrārthāḥ paścāt prāṅmukhāḥ devārthāḥ /	tasya dakziNatas udaFmuKAH pitrA arTAH paScAt prAFmuKAH deva arTAH /
   tasminneva sthaṇḍile yathāvakāśaṃ triṣu pātreṣu pitṛbhya udakānyarghyāṇi	tasmin= eva sTaNxile yaTAvakASam trizu pAtrezu pitRByaH udakAni arGyANi
   dakṣiṇāpavargāṇi tilavanti /	dakziNa apavargANi tilavanti /
   devebhya ekasminyavamati /	deveByaH ekasmin yavam ati /
   tāni puṣpairavakīryadarbheṣu sādayitvā darbhaiḥ pracchādya āsanagatānāṃ	tAni puzpEH avakIrya darBezu sAdayitvA darBEH pracCAdya Asana gatAnAm
   barāhmaṇānāṃ hasteṣu	barAhmaNAnAm hastezu
   svasmātsvasmāt udapātrāt pātrāntaremāpa ādāya 'visve devā idaṃ vor'ghya';	svasmAt svasmAt udapAtrAt pAtra antarema apaH AdAya avisve devAH idam vaH H aGya a;
   'pitaḥ idaṃ ter'ghya, pitāmaha idaṃ ter'ghya, prapitāmaha idaṃ ter'ghya,	apitaH idam ter aGya, pitAmahaH idam ter aGya, prapitAmahaH idam ter aGya,
   ityargyāṇi dadāti tūṣṇīṃ vā /	iti argyANi dadAti tUzNIm vA /
   purastādupariṣṭācca śuddhodakam tato gandhādibhiḥ vāsobhiśca	purastAt uparizwAt ca SudDa udakam tatas ganDa AdiBiH vAsoBiH ca
   dvijānabhyarcya /	dvijAn aByarcya /
   'uddhriyatāmagnau ca kriyatā'mityāmantrayate /	audDriyatAm agnO ca kriyatA amiti Amantrayate /
   'kāmamuddhriyatāṃ kāmamagnau ca kriyatāṃ'iti prativacanam /	akAmam udDriyatAm kAmam agnO ca kriyatAM aiti prativacanam /
   tato brāhmaṇārtha saṃskṛtādannāduddhṛtyāpareṇāgniṃ bahirṣi	tatas brAhmaNa arTa saMskRtAt annAt udDRtya apareNa agnim bahirzi
   pratiṣṭhāpyābhighāryāgnerupasamādhānādyajyabhāgānte trayodaśa	pratizWApya aBiGArya agneH upasamADAnAt yajya BAga ante trayodaSa
   pradhānāhutīrjuhoti //5//	praDAna AhutIH juhoti //5//
   ĀpGs Tāt_21.5:	ĀpGs TAt _21.5:
