   Adhyāya 1, Adhikaraṇa 1:	ADyAyaH 1, ADikaraNa 1:
   paramparayāniṣṭānubandhinyadharmapadaṃ prayujyate loke, tadā bhavatu	paramparayA-anizwa-anubanDini-aDarma-padam prayujyate loke, tadA Bavatu
   śyenāderadharmatvam - ityuktam //	Syena-AdeH-aDarma-tvam  iti-uktam //
   (abhicāraniṣedhyatavopapādanaṃ śyenādharmatvapakṣakhaṇḍanaṃ ca) tatra	(aBicAra-nizeDya-tava-upapAdanam Syena-aDarma-tva-pakza-KaNxanam ca) tatra
   vairimaraṇaṃ mayā kartavyamiti saṃkalpasya vidhyasaṃspṛṣṭatvamuktam,	vEri-maraNam mayA kartavyam-iti saMkalpasya viDi-asaMspRzwa-tvam-uktam,
   saṃkalpasya śyenācaraṇapūrvabhāvitvena karmaṇo vihitatve tatpūrvabhāvinaḥ	saMkalpasya Syena-AcaraNa-pUrva-BAvi-tvena karmaNaH vihita-tve tad-pUrva-BAvinaH
   tasyāpi karmavidhāyakaśastreṇa śāstrāntareṇa vā vidherāvaśyakatvāt,	tasya-api karma-viDAyaka-SastreNa SAstra-antareNa vA viDeH-AvaSyaka-tvAt,
   vidheyatvābhāve 'pivā karmāvinābhūtatvenāvarjanīyatvācca, itarathā	viDeya-tva-aBAve api-vA karma-avinABUta-tvena-AvarjanIya-tvAt-ca, itaraTA
   agnīṣomīyādipaśuhiṃsāyāmapi paśumāraṇaṃ mayā kartavyamitiya saṃkalpasya	agnIzomIya-Adi-paSu-hiMsAyAm-api paSu-mAraNam mayA kartavyam-itiya saMkalpasya
   niṣedhyatvena balavadaniṣṭānubandhitvāpatteḥ /	nizeDya-tvena balavat-anizwa-anubanDi-tva-ApatteH /
   saṃkalpasya niṣedhaviṣayatvena śyene vihite balavadaniṣṭānubandhitvasya	saMkalpasya nizeDa-vizaya-tvena Syene vihite balavat-anizwa-anubanDi-tvasya
   saṃbhavadvṛttikatvācca /	saMBavat-vRttika-tvAt-ca /
   dṛṣṭopāye niṣedhaviṣayatve 'pi vihite śyene niṣedhātikramasya	dRzwa-upAye nizeDa-vizaya-tve api vihite Syene nizeDa-atikramasya
   vaktumaśakyatavācca /	vaktum-aSakyatavAt-ca /
   svarūpeṇa niṣedhyatvābhāvenādharmatvābhāve svarūpeṇa vihitatvena	sva-rUpeNa nizeDya-tva-aBAvena-aDarma-tva-aBAve svarUpeNa vihita-tvena
   dharmatvāṅgīkāre bādhakābhāvādbalavadaniṣṭānanubandhitvapraveśe	Darma-tva-aFgIkAre bADaka-aBAvAt-balavat-anizwa-an-anubanDi-tva-praveSe
   prayojanābhāvācca /	prayojana-aBAvAt-ca /
   naca - paraṃparayāniṣṭānubandhitvādadharmatvamevāstu iti - vācyam ;	na-ca  paraMparayA-anizwa-anubanDi-tvAt-aDarma-tvam-eva-astu iti  vAcyam ;
   kāsyakarmaṇāṃ kāmanāparityāgena vividiṣādyarthamupayogasyeva	kAsya-karmaNAm kAmanA-parityAgena vividizA-Adi-arTam-upayogasya-iva
   śyenasyāpyabhicārūpaphalāṃśaparityāgena vividiṣādyarthopayogasya	Syenasya-api-aBicA-rUpa-Pala-aMSa-parityAgena vividizA-Adi-arTa-upayogasya
   dharmatvaphalasya sattvāt, śyenādau sarvathā	Darma-tva-Palasya sattva-at, Syena-AdO sarvaTA
   balavadaniṣṭānanubandhitvābhāve kimapi	balavat-anizwAn-anubanDi-tva-aBAve kim-api
   pravṛttikāraṇābhāvāttadviṣayapravṛtteranupapatteśrca //	pravRtti-kAraNa-aBAvAt-tad-vizaya-pravRtteH-anupapatteSrca //
   ata.ḥ śyenasya dharmasya sata eva paraṃparayāniṣānubandhitvenādharmatvaṃ	ata.H Syenasya Darmasya sataH eva paraMparayA-niza-anubanDi-tvena-aDarma-tvam
   vācyam /	vAcyam /
   tasmātparaṃparayaniṣṭānubandhitvenādharmatvasyāyuktatvāddharmalakṣaṇe	tasmAt-paraMparayanizwa-anubanDi-tvena-aDarma-tvasya-ayukta-tvAt-Darma-lakzaNe
   cabalavadaniṣānanubadhitvapraveśe prayojanābhāvācca śyenādau dharmatvameva	cabala-vat-anizAn-anubaDi-tva-praveSe prayojana-aBAvAt-ca Syena-AdO Darma-tvam-eva
   adharmatvaṃ tu śyenaphalasya hiṃsātmakābhicārasyaivetyeva yuktam /	aDarma-tvam tu Syena-Palasya hiMsA-Atmaka-aBicArasya-eva-iti-eva yuktam /
   samarthitaṃ caitadeva codanāsūtre śāstradīpikāyām //	samarTitam ca-etat-eva codanA-sUtre SAstra-dIpikAyAm //
   (vacanāntarānusāreṇa śyenādharmatvasyāpi upapādanam) kathaṃ tarhi '	(vacana-antara-anusAreNa Syena-aDarma-tvasya-api upapAdanam) kaTam tarhi a
   vrātyānāṃ yājanaṃ kṛtvā pareṣāmantyakarma ca /	vrAtyAnAm yAjanam kRtvA parezAm-antyakarma ca /
   abhicāramahīnaṃ ca tribhiḥ kṛcchrairviśudyati' iti prāyaśrcittāmnānaṃ	aBicAram-ahInam ca triBiH kRcCrEH-viSudyati-a iti prAya-SrcittAmnAnam
   śiṣṭānāṃ vigarhaṇaṃ copapadyate ? 'parasyotsādanārthe yattāmasaṃ	SizwAnAm vigarhaNam ca-upapadyate ? aparasya-utsAdana-arTe yat-tAmasaM
   tadudāhṛtaṃ' ityādivacanālocanena tāmasatavanindonnītaniṣedhabalena	tat-udAhRtama ityAdi-vacana-Alocanena tAmasatava-ninda-unnIta-nizeDa-balena
   sākṣādeva narakasādhanatvāvagamenādharmatvasyāpi sattvāttadupapatteḥ //	sAkzAt-eva naraka-sADana-tva-avagamena-aDarma-tvasya-api sattvAt-tad-upapatteH //
   (śyenanindāyā nahinindānyāyaviṣayatvābhāvaḥ) naca -	(Syena-nindAyAH nahinindA-nyAya-vizaya-tva-aBAvaH) na-ca -
   uditānuditahomaviṣayapratyakṣavidhivirodhāpatteriva sannidhipaṭhitānāmapi	udita-anudita-homa-vizaya-pratyakza-viDi-viroDa-ApatteH-iva sanniDi-paWitAnAm-api
   nindonnītaniṣedhakalpanameva na saṃbhavati iti - vācyam ; tatra	nindA-unnIta-nizeDa-kalpanam-eva na saMBavati iti  vAcyam ; tatra
   nahinindānyāyena vidheyastutyarthatayā virodhaparihārasaṃbhave 'pi prakṛte	nahinindA-nyAyena viDeya-stuti-arTa-tayA viroDa-parihAra-saMBave api prakRte
   trividhakarmopadeśaprastāvāt parasparastutyabhāvena	triviDa-karma-upadeSa-prastAvAt parasparastutyaBAvena
   nindāvaiyarthyāpattorniṣedhakalpanasyāvaśyakatvāt /	nindA-vEyarTyA-pattoH-nizeDa-kalpanasya-AvaSyaka-tvAt /
   tathā yajñādīnāmapi sattvādiguṇabhedena trividhatvapratipādanaṃ iha	taTA yajQa-AdInAm-api sattva-Adi-guNa-Bedena triviDa-tva-pratipAdanam iha
   rājasatāmasatābudyā kathaṃ tu nāma parityajet ? sāttvikānevānutiṣṭhet	rAjasa-tAmasatA-budyA kaTam tu nAma parityajet ? sAttvikAn-eva-anutizWet
   ityevamarthamāheti bhāṣyakāraiḥ 'parihārastvapi sarvasye' ti	iti-evam-arTam-Aha-iti BAzya-kArEH aparihAraH-tu-api sarvasye-a ti
   śrlokāvataraṇikāyāṃ niṣedhavidhikalpanasya anumoditatvācca,	Srloka-avataraNikAyAm nizeDa-viDi-kalpanasya anumodita-tvAt-ca,
   ānarthakyapratihatānāṃ viparītaṃ balābalam iti nyāyena smārtasyāpi	AnarTakya-pratihatAnAm viparItam balAbalam iti nyAyena smArtasya-api
   prābalyācca, nindonnītatiṣedhakalpane tāmasyāpi karmaṇo vihitatvāt sarvadā	prAbalyAt-ca, nindA-unnIta-tizeDa-kalpane tAmasya-api karmaNaH vihita-tvAt sarvadA
   śiṣṭānāmanuṣṭheyatvāpatteśrca /	SizwAnAm-anuzWeya-tva-ApatteSrca /
   itarathā tāmasayajñādīnāmapi niṣedhaviṣayatvānāpatteḥ, vihitasyeva	itaraTA tAmasa-yajQa-AdInAm-api nizeDa-vizaya-tva-anApatteH, vihitasya-iva
   kamraṇaḥ trividhatvokeḥ, tāmasatvakathanasya śyenādiviṣayatvasyaivākāmena	kamraNaH triviDa-tvokeH, tAmasatva-kaTanasya Syena-Adi-vizaya-tvasya-eva-akAmena
   vaktavyatavācchayenādau tadapravṛttervaktumaśakyatvācca //	vaktavyatavAt-Cayena-AdO tad-apravRtteH-vaktum-aSakya-tvAt-ca //
   naca - idaṃ bhagavadvacastrīvidhatayā traividhyakathanaparameva	na-ca  idam Bagavat-vaca-strIviDa-tayA trEviDya-kaTana-param-eva
   pūrvaprastavāt dṛśyate, 'vidhihīnamasṛṣṭhānnaṃ mantrahīnamadakṣiṇam /	pUrva-prastavAt dRSyate, aviDi-hInam-asRzWa-annam mantra-hInam-adakziNam /
   śraddhāvirahitaṃ yajñaṃ tāmasaṃ paricakṣate' ityādinā pākayajñādīnāṃ	SradDA-virahitam yajQam tAmasam paricakzate-a ityAdinA pAkayajQa-AdInAm
   tāmasatve kāraṇāntarābhidhānāt kathaṃ tadvacanasya śyenādiyāgaviṣayatvaṃ	tAmasa-tve kAraNa-antara-aBiDAnAt kaTam tat-vacanasya Syena-Adi-yAga-vizaya-tvam
   yuktam ? iti - vācyam ; kathañcitsāttvikāditrividhavihitakramopadeśamātre	yuktam ? iti  vAcyam ; kaTaQcid-sAttvika-Adi-triviDa-vihita-krama-upadeSa-mAtre
   bhagavattātparye 'pi parasparāsaṃkīrṇalakṣaṇakaraṇe tātparyābhāvena	Bagavat-tAtparye api paraspara-asaMkIrNa-lakzaNa-karaNe tAtparya-aBAvena
   tamomātrasya niyantumaśakyatvāt, anyathā	tamaH-mAtrasya niyantum-aSakyatvAt, anyaTA
   vidhihīnāmantrakajapatapodānahomānāmatāmasatvāpatteḥ,	viDi-hInA-mantraka-japa-tapaH-dAna-homAnAma-tAmasa-tva-ApatteH,
   yajñagatatāmasatvakāraṇaṃ vinānuṣṭhitābhicārārthayajñasya	yajQa-gata-tAm-asatva-kAraNam vinA-anuzWita-aBicAra-arTa-yajQasya
   tāmasatvānāpatteśrca /	tAmasatva-anApatteSrca /
   tapasastāmasatvakāraṇasya parapīḍājanakatvasya tapasīva	tapasaH-tAm-asatva-kAraNasya para-pIxA-janaka-tvasya tapasi-iva
   tathāvidhayajñadānādāvapi sattve bhagavatāpi tāmasatvābhāvasya	taTAviDa-yajQa-dAna-AdO=-api sattve BagavatA-api tAmasatva-aBAvasya
   durupapādyatvācca, 'yaḥ svargye lokavidviṣṭaṃ dharmamapyācarennatu'	durupapAdya-tvAt-ca, ayaH svargye loka-vidvizwam Darmam-api-Acaret-na-tu-a
   ityādispaṣṭaniṣedhairapi	ityAdi-spazwa-nizeDEH-api
   svargātiriktādṛṣṭamātraphalakalokavidviṣadharmasādhanasya	svarga-atirikta-adRzwa-mAtra-Palaka-loka-vidviza-Darma-sADanasya
   yāgadānahomatapaādirūpasya narakasādhanatvāvagamāt /	yAga-dAna-homa-tapaa-Adi-rUpasya naraka-sADana-tva-avagamAt /
   etenābhicārajanakaśyenādāviva yatrāpi sākṣā 'dvairimaraṇakāmo yajete'	etena-aBicAra-jana-kaSyena-AdO=-iva yatra-api sAkzAH advEri-maraNa-kAmaH yajete-a
   tyevamabhicārarūpayāgasyaiva vidhistatra vihitatvena hiṃsāniṣedhāpravṛtteḥ	ti-evam-aBicAra-rUpa-yAgasya-eva viDiH-tatra vihita-tvena hiMsA-nizeDa-apravRtteH
   paraṃparayāpi cāniṣṭānutpādakasya dharmasyāpi	paraMparayA-api ca-anizwa-an-utpAdakasya Darmasya-api
   yāgasyādharmatvamupapādanīyam //	yAgasya-aDarma-tvam-upapAdanIyam //
   naca - parasyotasādanārthamiti vākaye karaṇalyuḍantotsādanaśabdena	na-ca  parasya-utasAdana-arTam-iti vAkaye karaNalyuxanta-utsAdana-Sabdena
   parotsādanānukūlapvyāpārokteḥ tadarthakarmaṇaḥ śyenādereva tāmasatvaṃ	para-utsAdana-AnukUla-pvyApAra-ukteH tad-arTa-karmaNaH Syena-AdeH-eva tAmasa-tvam
   pratīyate, natu sākṣādabhicārarūpasya yāgasyeti kathaṃ tāmasatvena	pratIyate, na-tu sAkzAt-aBicAra-rUpasya yAgasya-iti kaTam tAm-asatvena
   nindāviṣayatvam ? iti - vācyam, abhicārajanakaśyenādestāmasatvakathane	nindA-vizaya-tvam ? iti  vAcyam, aBicAra-jana-kaSyena-AdeH-tAm-asatva-kaTane
   arthāreva sākṣādabhicārarūpasya karmaṇastāmasatvasya	arTAreva sAkzAt-aBicAra-rUpasya karmaNaH-tAm-asatvasya
   kaimutikanyāyasiddhatvāt /	kEmutika-nyAya-sidDa-tvAt /
   ataeva tulyayogakṣematayā	ataeva tulya-yogakzema-tayA
   ninditayorubhayorabhicāratajjanakakarmaṇorabhicāramahīnañcetyatrābhicārapadena	ninditayoH-uBayoH-aBicAra-tad-janaka-karmaNoH-aBicAra-mahInaQca-iti-atra-aBicAra-padena
   saṃgrahaḥ kriyate //	saMgrahaH kriyate //
   nac.ātrābhicārapadaṃ laukikābhicāraparam ;	nac.A-atra-aBicAra-padam lOkika-aBicAra-param ;
   vihitayajñadānāhīnāntyakarmasamabhivyāhāreṇa	vihita-yajQa-dAna-ahIna-antya-karma-samaBivyAhAreNa
   vihitābhicāraparatvasyaivāvagateḥ /	vihita-aBicAra-paratvasya-eva-avagateH /
   astu vā ubhayavidhābhicāraparaṃ, tāvatāpi nakṣatiḥ /	astu vA uBayaviDa-aBicAra-paran, tAvatA-api nakzatiH /
   ata upādhirūpayordharmatvādharmatvayoḥ mahābhāratīyayuddhe	atas upADi-rUpayoH-Darma-tva-aDarma-tvayoH mahA-BAratIya-yudDe
   ivaikaśyenādāvaṅgīkāre bādhakābhāvāt vidhisārthakyāya narakanyūnatvasya ca	iva-eka-Syena-AdO=-aFgIkAre bADaka-aBAvAt viDi-sArTakyAya naraka-nyUna-tvasya ca
   kalpanādyuktameva pūrvoktadharmādharmalakṣaṇānusāri dharmatvamadharmatvaṃ	kalpanA-Adi-uktam-eva pUrva-ukta-Darma-aDarma-lakzaNa-anusAri Darma-tvam-aDarma-tvam
   ca śyenādāviti dik //	ca Syena-AdO=-iti diS //
   (vedāprāmāṇyanirāsaḥ) etādṛśapūrvoktalakṣaṇābhyāṃ dharmādharmasvarūpe	(vedA-prAmANya-nirAsaH) etAdRSa-pUrva-ukta-lakzaNAByAm Darma-aDarma-svarUpe
   siddhe tatpramāṇaṃ tāvat 'vedo 'khilo dharmamūlam' iti vacanādveda eveti	sidDe tad-pramANam tAvat avedaH aKilaH Darma-mUlam-a iti vacanAt-vedaH eva-iti
   pūrvoktalakṣaṇayorna vedabodhitatvāsaṃbhavaḥ /	pUrva-ukta-lakzaNayoH-na veda-boDitatva-asaMBavaH /
   vedasya ca svato 'pauruṣeyatvena	vedasya ca svatas apOruzeya-tvena
   nirdeṣatvādabādhitārthapratījijanakatvamapi nāsaṃbhavati /	nirdeza-tvAt-abADita-arTa-pratIji-janaka-tvam-api na-asaMBavati /
   bādhitārthapratītijanakatvamaprāmāṇyam /	bADita-arTa-pratIti-janaka-tvam-aprAmANyam /
   tacca dvedhā /	tat-ca dveDA /
   sākṣāt kāraṇadoṣajñānādvā /	sAkzAt kAraNa-doza-jQAnAt-vA /
   vedajanyajñāne sākhādanyathātvaṃ jñāne tāvannastyeva /	veda-janya-jQAne sAKAt-anyaTAtvam jQAne tAvat-nasti-eva /
   taddhi abodhakatvādadhigatabodhakatvāt bodhyasya tathābhūtvāvādvā /	tat-hi aboDaka-tvAt-aDigata-boDaka-tvAt boDyasya taTABUtvA-avAt-vA /
   tatra na tāvadabodhakatvaṃ vede vaktuṃ śakyam ; ākāṅkṣādiyuktebhyo	tatra na tAvat-aboDaka-tvam vede vaktum Sakyam ; AkAFkza-Adi-yukteByaH-
   gṛhītasaṃgatikebhyo vaidikapadebhyo vākyārthabodhasyānubhavasiddhatvāt /	gRhIta-saMgatikeByaH vEdika-padeByaH vAkya-arTa-boDasya-anuBava-sidDa-tvAt /
   nāpyadhigatārthabodhakatvam ; yāgādisvargasādhyasādhanabhāve	na-api-aDigata-arTa-boDaka-tvam ; yAga-Adi-svarga-sADya-sADana-BAve
   pratyakṣādiviṣayatvābhāvasya pratyakṣasūtra eva nirākaraṇāt /	pratyakza-Adi-vizaya-tva-aBAvasya pratyakza-sUtraH eva nirAkaraNAt /
   bodhasya tathābhūtatvābhāvo hi dveghā syāt artha	boDasya taTABUta-tva-aBAvaH hi dveGA syAt arTa
   kriyākārakatvādiguṇajanyajñānaviṣayatvādisādhakābhāvādbādhakamānādvā,	kriyA-kAraka-tva-Adi-guNa-janya-jQAna-vizaya-tva-Adi-sADaka-aBAvAt-bADaka-mAnAt-vA,
   tatra na tāvadādyaḥ, viṣayāthārthyenotpannasya	tatra na tAvat-AdyaH, vizaya-aTa-arTyena-utpannasya
   jñānasyārthakriyākāritvādiguṇāpekṣayāṃ prayojanābhāvāt, atathābhūtasyāpi	jQAnasya-arTa-kriyA-kAri-tva-Adi-guNa-apekzayAm prayojana-aBAva-at, ataTABUtasya-api
   svapnārthasyārthakriyājanakatvadarśanena	svapna-arTasya-arTa-kriyA-janaka-tva-darSanena
   tathābhūtasyātathābhūtatvaprayojakatve vyabhicārācca /	taTABUtasya-AtaTA-BUta-tva-prayojaka-tve vyaBicArAt-ca /
   bādhakaṃ mānamapi mithyā taditi jñānaṃ, duṣṭakaraṇajñāpitatvaṃ vā /	bADakam mAnam-api miTyA tat-iti jQAnan, duzwa-karaNa-jQApita-tvam vA /
   naca vedārthamithyātvapratyayaḥ saṃbhavati, svargaphalavidhiṣu	na-ca veda-arTa-miTyA-tva-pratyayaH saMBavati, svarga-Pala-viDizu
   kṣaṇikakarmaṇaḥ ākamuṣmikaphalakatvānupapattepūrvāvāntaravyāpārāṅgīkāreṇa	kzaNika-karmaNaH Akamuzmika-Palaka-tva-anupapattepUrvAvAntara-vyApAra-aFgIkAreNa
   nirastatvāt, citrādiṣu cānantaraphalānupalambhasya tadarthasatyatve 'pi	nirasta-tvAt, citra-Adizu ca-anantara-Pala-anupalamBasya tad-arTa-satya-tve api
   cāturthikanyāyena aihikāmuṣmikatvena bādhakābhāvāt, kārīrīphalasya tu	cAturTika-nyAyena EhikAH-muzmika-tvena bADaka-aBAvAt, kArIrI-Palasya tu
   aihikasvabhāvasyāpi vaiguṇyādanantaramanupalambhasaṃbhave tatrāpi	Ehika-svaBAvasya-api vEguNyAt-anantaram-anupalamBa-saMBave tatra-api
   bādhakābhāvāt //	bADaka-aBAvAt //
   (vedāpauruṣeyatvasya tatpauruṣeyatvānumāne pramāṇāntaramūlatvādinā	(vedA-pOruzeya-tvasya tad-pOruzeyatva-anumAne pramANa-antara-mUla-tva-AdinA
   sopādhitvānirūpaṇapūrvakaṃ vyavasthāpanam) duṣṭakaraṇajñāpitatvamapi na	sa-upADi-tvA-nirUpaNa-pUrvakam vyavasTApanam) duzwa-karaNa-jQApita-tvam-api na
   saṃbhavati ; yataḥ śabde svataḥ kasyāpi doṣasyāsaṃbhavāt puruṣadoṣa eva	saMBavati ; yatas Sabde svatas kasya-api dozasya-asaMBavAt puruza-dozaH eva
   bhramādistaddheturvācyaḥ, saca padatadarthasaṃbandhasya puruṣakṛtatve	Brama-AdiH-tad-hetuH-vAcyaH, saca pada-tad-arTa-saMbanDasya puruza-kRta-tve
   tadāśritasya bhramādeḥ tadbodhādhīnapadārthajñānahetukavākyārthapramāṇe	tad-ASritasya Brama-AdeH tad-boDa-aDIna-padArTa-jQAna-hetuka-vAkya-arTa-pramANe
   'pi saṃkrāntitaḥ syāt, vedasyaiva vā pauruṣeyatave /	api saMkrAntitaH syAt, vedasya-eva vA pOruzeyatave /
   tatra padapadārthasaṃbandhasya	tatra pada-padArTa-saMbanDasya
   tāvatpratipādyapratipādakabhāvarūpasyābhidhānakriyāgabhrasyāpi	tAvat-pratipAdya-pratipAdaka-BAva-rUpasya-aBiDAna-kriyA-gaBrasya-api
   padārthasaṃbandhaḥ sarvo 'nyasmātpratipadyate, mahyavahāravaditi nyāyena	padArTa-saMbanDaH sarvaH anyasmAt-pratipadyate, mahi-avahAra-vat-iti nyAyena
   svarūpato jñāpitatvāt pravāhānāditvānna pauruṣeyatvam /	svarUpataH jQApita-tvAt pravAha-an-Adi-tvAt-na pOruzeya-tvam /
   tathā vedasyāpi vedārthasyālaukikatvena tadviṣayasya vākyasya samūlasya	taTA vedasya-api veda-arTasya-alOkika-tvena tad-vizayasya vAkyasya sa-mUlasya
   kartṛjñānasyāsaṃbhavānna pauruṣeyatvam /	kartR-jQAnasya-asaMBavAt-na pOruzeya-tvam /
   yadi vedasyāpi pauruṣeyatvaṃ tadā yogamahimnā sarvajñānāṃ svabhāvataḥ	yadi vedasya-api pOruzeya-tvam tadA yoga-mahimnA sarvajQAnAm svaBAvataH
   sarvajñasyeśrvarasya ca jñānaprāmāṇyāviśeṣeṇa tadubhayavacaso viśeṣasya	sarvajQasya-ISrvarasya ca jQAna-prAmANya-aviSezeNa tad-uBaya-vacasaH viSezasya
   vaktumaśakyatavena manvādismṛtitulyatavameva syāt //	vaktum-aSakyatavena manu-Adi-smRti-tulyatavam-eva syAt //
   nanu - vedaḥ pauruṣeyaḥ, vākyatavāt,kālidāsādivākyavat, ityanumānāt	nanu  vedaH pOruzeyaH, vAkyata-vAt,-kAli-dAsa-Adi-vAkyavat, iti-anumAnAt-
   kāṭhakādisamākhyādarśanāt 'trayo vedā ajāyante' ti śruteśrca vedasya	kAWaka-Adi-samAKyA-darSanAt atrayaH vedAH ajAyante-a ti SruteSrca vedasya
   kathaṃ na pauruṣeyatvam ? yuktañcaitat ; anyathā	kaTam na pOruzeya-tvam ? yuj-taQca-etat ; anyaTA
   mantrārthavādasiddhapralayasya satvena tadānīmadhyetṝṇāṃ vedasyāpi nāśāt	mantra-arTa-vAda-sidDa-pralayasya satvena tadAnIm-aDyetLNAm vedasya-api nASAt
   mantrārthavādādhigamāsaṃbhavenetarapadārthavat jñānāsaṃbhāvāpatteḥ, ata	mantra-arTa-vAda-aDigama-asaMBavena-itara-padArTa-vat jQAna-asaMBAva-ApatteH, atas-
   itarasṛṣṭivadvedasyāpi puruṣakartṛkatvameva /	itara-sRzwi-vat-vedasya-api puruza-kartRka-tvam-eva /
   ataeva vaktrā yatpratītimuddiśya yadvākyamuccaritaṃ, tasya tatparatvamiti	ataeva vaktrA yat-pratItim-uddiSya yat-vAkyam-uccaritaM, tasya tat-paratvam-iti
   lokasiddhatātparyasyāpi pauruṣevākye saṃbhavena	loka-sidDa-tAtparyasya-api pOruzevAkye saMBavena
   upakramopasaṃhārādervedavākyagatatātparyanirṇāyakakalpanamapi nāpadyate,	upakrama-upasaMhAra-AdeH-veda-vAkya-gata-tAtparya-nirNAyaka-kalpanam-api na-Apadyate,
   saturāṃ ca śabdajñānapramāṇyasyāptavākyādhīnatvena	saturAm ca Sabda-jQAna-pramANi-asya-Apta-vAkya-aDIna-tvena
   śabdotthajñānasyāprāmāṇyānāpattiśrca /	Sabda-utTa-jQAnasya-aprAmANyAna-ApattiH-rca /
   samākhyānasya ca siddhāntyabhimatapravacananimittatvenopādane tasya	samAKyAnasya ca sidDAnti-aBimata-pravacana-nimitta-tvena-upAdane tasya
   kupuruṣasādhāraṇyena asādhāraṇavyapadeśānupapattistadavasthaipava /	kupuruza-sADAraNyena asADAraNa-vyapadeSa-anupapattiH-tad-avasTA-Epava /
   ataḥ pauruṣeya eva vedaḥ, tathātve 'pi 'tadvidāṃ ca smṛtiśīle'	atas pOruzeyaH eva vedaH, taTAtve api atadvidAm ca smRti-SIle-a
   ityuktatvādvedavitpraṇītavaiṣamyamātreṇaiva smṛtitulyatvānāpattiḥ iti -	iti-ukta-tvAt-veda-vid-praNIta-vEzamya-mAtreNa-eva smRti-tulya-tvAnApattiH iti -
   cet, na; pauruṣeyatve pauruṣeyavākyaprāmāṇya	cet, na; pOruzeya-tve pOruzeya-vAkya-prAmANya
   tatkartṛpratyayādhīnasiddhikatvādavaśyasmartavyarūpakarturniyamenāsmaraṇāttadabhāvapratīteḥ	tad-kartR-pratyaya-aDIna-sidDika-tvAt-avaSya-smartavya-rUpa-kartuH-niyamena-asmaraNAt-tad-aBAva-pratIteH
   naca chandogaprasiddhasya yonigranthasya kartṛsmareṇa pauruṣeyatvāpattiḥ ;	na-ca Candoga-prasidDasya yoni-granTasya kartRsmareNa pOruzeya-tva-ApattiH ;
   tasya pauruṣeyatave sāmna uttaramūhagranthasrū pāṭhenaiva prāptyā	tasya pOruzeyatave sAmnaH uttaram-Uha-granTa-srU pAWena-eva prAptyA
   'yadyonyāṃ' taduttarayorgāyatī'	ayat-yonyAma tad-uttarayoH-gAyatI-a
   tivacanaveyarthyāpattyaivāpauruṣeyatavasiddheḥ /	tivacana-veyarTyA-pattyA-eva-apOruzeya-tava-sidDeH /
   vākyatvahetukānumānamapi pramāṇāntaramūlatvena sopādhikamityaprayojakam ;	vAkya-tva-hetukA-anumAnam-api pramANa-antara-mUla-tvena sa-upADi-kam-iti-aprayojakam ;
   pauruṣeyavākye tathaiva sattvāt, vedārthasya pratyakṣāgrāhyatvāt /	pOruzeya-vAkye taTA-eva sattva-at, veda-arTasya pratyakza-agrAhya-tvAt /
   'trayo vedā ajāyante' tyādi tu 'uccaircā kriyate upāṃśu yajuṣā uccaiḥ	atrayaH vedAH ajAyante-a tyAdi tu auccEs-cA kriyate upAMSu yajuzA uccEs-
   sāmne' ti vidhiśeṣatvenārthavādarūpatvanna svārthe pramām /	sAmne-a ti viDi-Seza-tvena-arTavAda-rUpa-tvat-na sva-arTe pramAm /
   yadi caite vidhayaḥ kartrapekṣāḥ syuḥkh tataḥ	yadi ca-ete viDayaH kartR-apekzAH syuHK tatas-
   svargakāmavidhyapekṣitasvargasvarūpabodhakārthavādavadidamapi svārthe	svarga-kAma-viDi-apekzita-svarga-svarUpa-boDaka-arTa-vAda-vat-idam-api sva-arTe
   pramāṇaṃ bhavet vidhyapekṣitakartṛpratipādakatvena, natvetadasti /	pramANam Bavet viDi-apekzita-kartR-pratipAdaka-tvena, na-tu-etat-asti /
   etena mantrārthavādebhyaḥ sṛṣṭipralayasiddhirnirastā; teṣāmapi	etena mantra-arTa-vAdeByaH sRzwi-pralaya-sidDiH-nirastA; tezAm-api
   vidhyantaraśeṣatvena svārthe prāmāṇyābhāvāt, kāṭhakādisamākhyāyā api	viDi-antara-Seza-tvena sva-arTe prAmANya-aBAvAt, kAWaka-Adi-samAKyAyAH api
   kaṭhādiṣu viśeṣavṛttipravacanātiśayena kenāpyupapatteḥ, kaṭhaiḥ	kaWa-Adizu viSeza-vRtti-pravacana-atiSayena kena-api-upapatteH, kaWEH
   paramparayādhīyamānatvena vā tatsaṃbhavācca /	paramparayA-ADIyamAna-tvena vA tad-saMBavAt-ca /
   naca mānavādisamākhyānāmapi pravacananimittatvāpattyā smṛtyāderapi	na-ca mAnava-Adi-samAKyAnAm-api pravacana-nimitta-tva-ApattyA smRti-AdeH-api
   tathātvāpattiḥ, ādyantanāmāvalismaraṇarūpadṛḍhakartṛsmaraṇena tāsāṃ	taTA-tva-ApattiH, Adi-anta-nAma-Avali-smaraNa-rUpa-dRXa-kartR-smaraNena tAsAm
   kartṛparatvāt /	kartR-paratvAt /
   ataeva 'vāsiṣṭhasrū ārṣa viśrvāmitrasyār''ṣe' iti prativākyaṃ	ataeva avAsizWasrU Arza viSrvAmitrasyAr-aaze-a iti prativAkyam
   kartṛsmaraṇamapi ṛṣidarśanādismaraṇāt sṛṣṭyādau tatra	kartR-smaraNam-api Rzi-darSana-Adi-smaraNAt sRzwi-AdO tatra
