   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
        sāmānyaviśeṣātmā śabdādir grāhyaḥ teṣv indriyāṇāṃ vṛttir grahaṇam. na	sAmAnya-viSeza-AtmA Sabda-AdiH grAhyaH tezu indriyANAm vRttiH grahaNam. na
   ca tatsāmānyamātragrahaṇākāraṃ katham anālocitaḥ sa viṣayaviśeṣa indriyeṇa	ca tad-sAmAnya-mAtra-grahaNa-AkAram kaTam anAlocitaH sa vizaya-viSezaH indriyeNa
   manasānuvyavasīyeteti. svarūpaṃ punaḥ prakāśātmano buddhisattvasya	manasA-anuvyavasIyeta-iti. svarUpam punar prakASa-AtmanaH budDi-sattvasya
   sāmānyaviśeṣayor ayutasiddhāvayavabhedānugataḥ samūho dravyam indriyam.	sAmAnya-viSezayoH ayutasidDa-avayava-Beda-anugataH samUhaH dravyam indriyam.
   teṣāṃ tṛtīyaṃ rūpam asmitālakṣaṇo 'haṃkāraḥ. tasya sāmānyasyendriyāṇi	tezAm tRtIyam rUpam asmitA-lakzaNaH ahaMkAraH. tasya sAmAnyasya-indriyANi
   viśeṣāḥ caturthaṃ rūpaṃ vyavasāyātmakāḥ prakāśakriyāsthitiśīlā guṇā yeṣām	viSezAH caturTam rUpam vyavasAya-AtmakAH prakASa-kriyA-sTiti-SIlAH guNAH yezAm
   indriyāṇi sāhaṃkārāṇi pariṇāmaḥ. pañcamaṃ rūpaṃ guṇeṣu yad anugataṃ	indriyANi sa-ahaMkArANi pariNAmaH. paQcamam rUpam guNezu yat anugatam
   puruṣārthavattvam iti. pañcasv eteṣv indriyarūpeṣu yathākramaṃ saṃyamas	puruza-arTavat-tvam iti. paQcasu etezu indriya-rUpezu yaTAkramam saMyamas
   tatra tatra jayaṃ kṛtvā pañcarūpajayād indriyajayaḥ prādurbhavati yoginaḥ.	tatra tatra jayam kRtvA paQca-rUpa-jayAt indriya-jayaH prAdurBavati yoginaH.
   tato manojavitvaṃ vikaraṇabhāvaḥ pradhānajayaś ca || YS_3.48 ||	tatas manojavi-tvam vikaraNa-BAvaH praDAna-jayaH ca || YH-_3.48 ||
        kāyasyānuttamo gatilābho manojavitvam. videhānām indriyāṇām	kAyasya-anuttamaH gati-lABaH manojavi-tvam. videhAnAm indriyANAm
   abhipretadeśakālaviṣayāpekṣo vṛttilābho vikaraṇabhāvaḥ.	aBipreta-deSa-kAla-vizaya-apekzaH vRtti-lABaH vikaraNa-BAvaH.
   sarvaprakṛtivikāravaśitvaṃ pradhānajaya ity etās tisraḥ siddhayo	sarva-prakRti-vikAra-vaSi-tvam praDAna-jayaH iti etAH tisraH sidDayo
   madhupratīkā ucyante etāś ca karaṇapañcarūpajayād adhigamyante. 3.48	maDupratIkAH ucyante etAH ca karaNa-paQca-rUpa-jayAt aDigamyante. 3.48
   sattvapuruṣānyatākhyātimātrasya sarvabhāvādhiṣṭhātṛtvaṃ sarvajñātṛtvaṃ ca	sattva-puruza-anya-tA-KyAti-mAtrasya sarva-BAva-aDizWAtR-tvam sarvajQAtR-tvam ca
   || YS_3.49 ||	|| YH-_3.49 ||
        nirdhūtarajastamomalasya buddhisattvasya pare vaiśāradye parasyāṃ	nirDUta-rajaH-tamaH-malasya budDi-sattvasya pare vESAradye parasyAm
   vaśīkārasaṃjñāyāṃ vartamānasya	vaSIkAra-saMjQAyAm vartamAnasya
   sattvapuruṣānyatākhyātimātrarūpapratiṣṭhasya sarvabhāvādhiṣṭhātṛtvam.	sattva-puruza-anya-tA-KyAti-mAtra-rUpa-pratizWasya sarva-BAva-aDizWAtR-tvam.
   sarvātmāno guṇā vyavasāyavyavaseyātmakāḥ svāminaṃ kṣetrajñaṃ	sarva-AtmAnaH guNAH vyavasAya-vyavaseya-AtmakAH svAminam kzetrajQam
   pratyaśeṣadṛśyātmatvenopasthitā ity arthaḥ. sarvajñātṛtvaṃ sarvātmanāṃ	pratyaSeza-dRSya-Atma-tvena-upasTitAH iti arTaH. sarvajQAtR-tvam sarva-AtmanAm
   guṇānāṃ	guNAnAm
   śāntoditāvyapadeśyadharmatvena vyavasthitānām akramopārūḍhaṃ vivekajaṃ	SAnta-udita-avyapadeSya-Darma-tvena vyavasTitAnAm akrama-upArUXam viveka-jam
   jñānam ity arthaḥ. ity eṣā viśokā nāma siddhir yāṃ prāpya yogī sarvajñaḥ	jQAnam iti arTaH. iti ezA viSokA nAma sidDiH yAm prApya yogI sarvajQaH
   kṣīṇakleśabandhano vaśī viharati. 3.49	kzINa-kleSa-banDanaH vaSI viharati. 3.49
   tadvairāgyād api doṣabījakṣaye kaivalyam || YS_3.50 ||	tad-vErAgyAt api doza-bIja-kzaye kEvalyam || YH-_3.50 ||
        yadāsyaivaṃ bhavati kleśakarmakṣaye sattvasyāyaṃ vivekapratyayo	yadA-asya-evam Bavati kleSa-karma-kzaye sattvasya-ayam viveka-pratyayo
   dharmaḥ sattvaṃ ca heyapakṣe nyastaṃ puruṣaś cāpariṇāmī śuddho 'nyaḥ	DarmaH sattvam ca heya-pakze nyastam puruzaH ca-apariNA-amI SudDaH anyaH
   sattvād iti. evam asya tato virajyamānasya yāni kleśabījāni	sattvAt iti. evam asya tatas virajyamAnasya yAni kleSa-bIjAni
   dagdhaśālibījakalpāny aprasavasamarthāni tāni saha manasā pratyastaṃ	dagDa-SAli-bIja-kalpAni aprasava-samarTAni tAni saha manasA pratyastam
   gacchanti. teṣu pralīneṣu puruṣaḥ punar idaṃ tāpatrayaṃ na bhuṅkte. tad	gacCanti. tezu pralInezu puruzaH punar idam tApa-trayam na BuFkte. tat-
   eteṣāṃ guṇānāṃ manasi karmakleśavipākasvarūpeṇābhivyaktānāṃ caritārthānāṃ	etezAm guNAnAm manasi karma-kleSa-vipAka-svarUpeNa-aBivyaktAnAm carita-arTAnAm
   pratiprasave puruṣasyātyantiko guṇaviyogaḥ kaivalyaṃ tadā svarūpapratiṣṭhā	pratiprasave puruzasya-AtyantikaH guNa-viyogaH kEvalyam tadA svarUpa-pratizWA
   citiśaktir eva puruṣa iti. 3.50	citi-SaktiH eva puruzaH iti. 3.50
   sthānyupanimantraṇe saṅgasmayākaraṇaṃ punar aniṣṭaprasaṅgāt || YS_3.51 ||	sTAni-upanimantraNe saFga-smayA-karaNam punar anizwa-prasaFgAt || YH-_3.51 ||
        catvāraḥ khalv amī yoginaḥ prāthamakalpiko madhubhūmikaḥ prajñājyotir	catvAraH Kalu amI yoginaH prATamakalpikaH maDu-BUmikaH prajQA-jyotiH-
   atikrāntabhāvanīyaś ceti. tatrābhyāsī pravṛttamātrajyotiḥ prathamaḥ	atikrAnta-BAvanIyaH ceti. tatra-aByAsI pravRtta-mAtra-jyotiH praTamaH
   ṛtaṃbharaprajño dvitīyaḥ bhūtendriyajayī tṛtīyaḥ sarveṣu bhāviteṣu	RtaMBara-prajQaH dvitIyaH BUta-indriya-jayI tRtIyaH sarvezu BAvitezu
   bhāvanīyeṣu kṛtarakṣābandhaḥ kartavyasādhanād imān. caturtho yas tv	BAvanIyezu kRta-rakzA-banDaH kartavya-sADanAt imAn. caturTaH yaH tu-
   atikrāntabhāvanīyas tasya cittapratisarga eko 'rthaḥ saptavidhāsya	atikrAnta-BAvanIyaH tasya citta-pratisargaH ekaH arTaH saptaviDAsya
   prāntabhūmiprajñā.	prAnta-BUmi-prajQA.
        tatra madhumatīṃ bhūmiṃ sākṣātkurvato brāhmaṇasya sthānino devāḥ	tatra maDumatIm BUmim sAkzAt-kurvataH brAhmaNasya sTAninaH devAH
   sattvaviśuddhim anupaśyantaḥ sthānair upanimantrayante bho ihāsyatām iha	sattva-viSudDim anupaSyantaH sTAnEH upanimantrayante Bo iha-AsyatAm iha
   ramyatāṃ kamanīyo 'yaṃ bhogaḥ kamanīyeyaṃ kanyā rasāyanam idaṃ jarāmṛtyuṃ	ramyatAm kamanIyaH ayam BogaH kamanIyA-iyam kanyA rasAyanam idam jarA-mRtyum
   bādhate vaihāyasam idaṃ yānam amī kalpadrumāḥ puṇyā mandākinī siddhā	bADate vEhAyasam idam yAnam amI kalpadrumAH puNyA mandAkinI sidDA
   maharṣaya uttamā anukūlā apsaraso divye śrotracakṣuṣī vajropamaḥ kāyaḥ	mahA-RzayaH uttamAH anukUlAH apsarasaH divye Srotra-cakzuzI vajra-upamaH kAyaH
   svaguṇaiḥ sarvam idam upārjitam āyuṣmatā pratipadyatām idam akṣayam ajaram	sva-guNEH sarvam idam upArjitam AyuzmatA pratipadyatAm idam akzayam ajaram
   amarasthānaṃ devānāṃ priyam iti. evam abhidhīyamānaḥ saṅgadoṣān bhāvayed	amara-sTAnam devAnAm priyam iti. evam aBiDIyamAnaH saFga-dozAn BAvayet-
   ghoreṣu saṃsārāṅgāreṣu pacyamānena mayā jananamaraṇāndhakāre	Gorezu saMsAra-aFgArezu pacyamAnena mayA janana-maraNa-anDakAre
   viparivartamānena kathaṃcid āsāditaḥ kleśatimiravināśī yogapradīpas tasya	viparivartamAnena kaTaMcid AsAditaH kleSa-timira-vinASI yoga-pradIpaH tasya
   caite tṛṣṇāyonayo viṣayavāyavaḥ pratipakṣāḥ. sa khalv ahaṃ labdhālokaḥ	ca-ete tRzNA-ya-UnayaH vizaya-vAyavaH pratipakzAH. sa Kalu aham labDa-AlokaH
   katham anayā viṣayamṛgatṛṣṇayā vañcitas tasyaiva punaḥ pradīptasya	kaTam anayA vizaya-mRga-tRzNayA vaQcitaH tasya-eva punar pradIptasya
   saṃsārāgner ātmānam indhanīkuryām iti. svasti vaḥ svapnopamebhyaḥ	saMsAra-agneH AtmAnam inDanIkuryAm iti. svasti vaH svapna-upameByaH
   kṛpaṇajanaprārthanīyebhyo viṣayebhya ity evaṃ niścitamatiḥ samādhiṃ	kRpaNa-jana-prArTanIyeByaH vizayeByaH iti evam niScita-matiH samADim
   bhāvayet.	BAvayet-.
        saṅgam akṛtvā smayam api na kuryād evam ahaṃ devānām api prārthanīya	saFgam akRtvA smayam api na kuryAt evam aham devAnAm api prArTanIya
   iti smayād ayaṃ susthitaṃmanyatayā mṛtyunā keśeṣu gṛhītam ivātmānaṃ na	iti smayAt ayam susTitaMmanya-tayA mRtyunA keSezu gRhItam iva-AtmAnam na
   bhāvayiṣyati. tathā cāsya cchidrāntaraprekṣī nityaṃ yatnopacaryaḥ pramādo	BAvayizyati. taTA ca-asya cCidra-antara-prekzI nityam yatna-upacaryaH pramAdaH-
   labdhavivaraḥ kleśān uttambhayiṣyati tataḥ punar aniṣṭaprasaṅgaḥ. evam	labDa-vivaraH kleSAn uttamBayizyati tatas punar anizwa-prasaFgaH. evam
   asya saṅgasmayāv akurvato bhāvito 'rtho dṛḍhībhaviṣyati bhāvanīyaś cārtho	asya saFgasmayO akurvataH BAvitaH arTaH dRXIBavizyati BAvanIyaH ca-arTaH-
   'bhimukhībhaviṣyatīti. 3.51	aBimuKI-Bavizyati-iti. 3.51
   kṣaṇatatkramayoḥ saṃyamād vivekajaṃ jñānam || YS_3.52 ||	kzaNa-tad-kramayoH saMyamAt viveka-jam jQAnam || YH-_3.52 ||
        yathāpakarṣaparyantaṃ dravyaṃ paramāṇur evaṃ paramāpakarṣaparyantaḥ	yaTA-apakarza-paryantam dravyam paramANuH evam parama-apakarza-paryantaH
   kālaḥ kṣaṇo yāvatā vā samayena calitaḥ paramāṇuḥ pūrvadeśaṃ jahyād	kAlaH kzaNaH yAvatA vA samayena calitaH paramANuH pUrva-deSam jahyAt-
   uttaradeśam upasaṃpadyeta sa kālaḥ kṣaṇaḥ. tatpravāhāvicchedas tu kramaḥ	uttara-deSam upasaMpadyeta sa kAlaH kzaNaH. tad-pravAha-avicCedaH tu kramaH
   kṣaṇatatkramayor nāsti vastusamāhāra iti buddhisamāhāro	kzaNa-tad-kramayoH na-asti vastu-samAhAraH iti budDi-samAhAraH-
   muhūrtāhorātrādayaḥ. sa khalv ayaṃ kālo vastuśūnyo 'pi buddhinirmāṇaḥ	muhUrta-ahorAtra-AdayaH. sa Kalu ayam kAlaH vastu-SUnyaH api budDi-nirmANaH
   śabdajñānānupātī laukikānāṃ vyutthitadarśanānāṃ vastusvarūpa ivāvabhāsate.	Sabda-jQAna-anupAtI lOkikAnAm vyutTita-darSanAnAm vastu-svarUpaH iva-avaBAsate.
        kṣaṇas tu vastupatitaḥ kramāvalambī kramaś ca kṣaṇānantaryātmā taṃ	kzaNaH tu vastu-patitaH krama-avalambI kramaH ca kzaNa-anantari-AtmA tam
   kālavidaḥ kāla ity ācakṣate yoginaḥ. na ca dvau kṣaṇau saha bhavataḥ	kAla-vidaH kAlaH iti Acakzate yoginaH. na ca dvO kzaNO saha BavataH
   kramaś ca na dvayoḥ sahabhuvor asaṃbhavāt. pūrvasmād uttarabhāvino	kramaH ca na dvayoH saha-BuvoH asaMBava-at. pUrvasmAt uttara-BAvinaH-
   yadānantaryaṃ kṣaṇasya sa kramaḥ tasmād vartamāna evaikaḥ kṣaṇo na	yat-A-Anantaryam kzaNasya sa kramaH tasmAt vartamAnaH eva-ekaH kzaNaH na
   pūrvottarakṣaṇāḥ santīti. tasmān nāsti tatsamāhāraḥ ye tu bhūtabhāvinaḥ	pUrva-uttara-kzaNAH santi-iti. tasmAt na-asti tad-samAhAraH ye tu BUta-BAvinaH
   kṣaṇās te pariṇāmānvitā vyākhyeyāḥ tenaikena kṣaṇena kṛtsno lokaḥ	kzaNAH te pariNAma-anvitAH vyAKyeyAH tena-ekena kzaNena kRtsnaH lokaH
   pariṇāmam anubhavati. tatkṣaṇopārūḍhāḥ khalv amī sarve dharmāḥ tayoḥ	pariNAmam anuBavati. tad-kzaNa-upArUXAH Kalu amI sarve DarmAH tayoH
   kṣaṇatatkramayoḥ saṃyamāt tayoḥ sākṣātkaraṇam. tataś ca vivekajaṃ jñānaṃ	kzaNa-tad-kramayoH saMyamAt tayoH sAkzAtkaraNam. tatas ca viveka-jam jQAnam
   prādurbhavati. 3.52	prAdurBavati. 3.52
   tasya viṣayaviśeṣa upakṣipyate ---	tasya vizaya-viSezaH upakzipyate ---
        jātilakṣaṇadeśair anyatānavacchedāt tulyayos tataḥ pratipattiḥ ||	jAti-lakzaNa-deSEH anyatA-anavacCedAt tulyayoH tatas pratipattiH ||
   YS_3.53 ||	YH-_3.53 ||
   tulyayor deśalakṣaṇasārūpye jātibhedo 'nyatāyā hetuḥ, gaur iyaṃ baḍaveyam	tulyayoH deSa-lakzaNa-sArUpye jAti-BedaH anya-tAyAH hetuH, gOH iyam baxaveyam
   iti. tulyadeśajātīyatve lakṣaṇam anyatvakaraṃ kālākṣī gauḥ svastimatī gaur	iti. tulya-deSa-jAtIya-tve lakzaNam anya-tva-karam kAlAkzI gOH svastimatI gOH-
   iti. dvayor āmalakayor jātilakṣaṇasārūpyād deśabhedo 'nyatvakara idaṃ	iti. dvayoH AmalakayoH jAti-lakzaNa-sArUpyAt deSa-BedaH anya-tva-karaH idam
   pūrvam idam uttaram iti. yadā tu pūrvam āmalakam anyavyagrasya jñātur	pUrvam idam uttaram iti. yadA tu pUrvam Amalakam anya-vyagrasya jQAtuH-
   uttaradeśa upāvartyate tadā tulyadeśatve pūrvam etad uttaram etad iti	uttara-deSaH upAvartyate tadA tulya-deSa-tve pUrvam etat uttaram etat iti
   pravibhāgānupapattiḥ. asaṃdigdhena ca tattvajñānena bhavitavyam ity ata	praviBAga-anupapattiH. asaMdigDena ca tattva-jQAnena Bavitavyam iti ata
   idam uktaṃ tataḥ pratipattir vivekajajñānād iti.	idam uktam tatas pratipattiH viveka-ja-jQAnAt iti.
        kathaṃ, pūrvāmalakasahakṣaṇo deśa uttarāmalakasahakṣaṇād deśād	kaTaM, pUrva-Amalaka-sahakzaNaH deSaH uttara-Amalaka-sahakzaNAt deSAt-
   bhinnaḥ te cāmalake svadeśakṣaṇānubhavabhinne. anyadeśakṣaṇānubhavas tu	BinnaH te ca-Amalake sva-deSa-kzaNa-anuBava-Binne. anya-deSa-kzaNa-anuBavaH tu
   tayor anyatve hetur iti. etena dṛṣṭāntena paramāṇos	tayoH anya-tve hetuH iti. etena dRzwAntena paramANoH-
   tulyajātilakṣaṇadeśasya pūrvaparamāṇudeśasahakṣaṇasākṣātkaraṇād uttarasya	tulya-jAti-lakzaNa-deSasya pUrva-paramANu-deSa-sahakzaNa-sAkzAt-karaNAt uttarasya
   paramāṇos taddeśānupapattāv uttarasya taddeśānubhavo bhinnaḥ	paramANoH tad-deSAnupapattO uttarasya tad-deSa-anuBavaH BinnaH
   sahakṣaṇabhedāt tayor īśvarasya yogino 'nyatvapratyayo bhavatīti.	sa-hakzaNa-BedAt tayoH ISvarasya yoginaH anya-tva-pratyayaH Bavati-iti.
        apare tu varṇayanti --- ye 'ntyā viśeṣās te 'nyatāpratyayaṃ	apare tu varNayanti -- ye antyAH viSezAH te anya-tA-pratyayam
   kurvantīti tatrāpi deśalakṣaṇabhedo mūrtivyavadhijātibhedaś cānyatve	kurvanti-iti tatra-api deSa-lakzaNa-BedaH mUrti-vyavaDi-jAti-BedaH ca-anya-tve
   hetuḥ. kṣaṇabhedas tu yogibuddhigamya eveti ata uktaṃ	hetuH. kzaNa-BedaH tu yogi-budDi-gamyaH eva-iti atas uktam
   mūrtivyavadhijātibhedābhāvān nāsti mūlapṛthaktvam iti vārṣagaṇyaḥ. 3.53	mUrti-vyavaDi-jAti-Beda-aBAvAt na-asti mUlapRTaktvam iti vArzagaNyaH. 3.53
   tārakaṃ sarvaviṣayaṃ sarvathāviṣayam akramaṃ ceti vivekajaṃ jñānam ||	tArakam sarva-vizayam sarvaTA-vizayam akramam ca-iti viveka-jam jQAnam ||
   YS_3.54 ||	YH-_3.54 ||
        tārakam iti svapratibhottham anaupadeśikam ity arthaḥ sarvaviṣayaṃ	tArakam iti sva-pratiBA-utTam anOpadeSikam iti arTaH sarva-vizayam
   nāsya kiṃcid aviṣayībhūtam ity arthaḥ. sarvathāviṣayam	na-asya kiMcid avizayIBUtam iti arTaH. sarvaTA-vizayam
   atītānāgatapratyutpannaṃ sarvaṃ paryāyaiḥ sarvathā jānātīty arthaḥ.	atIta-anAgata-pratyutpannam sarvam paryAyEH sarvaTA jAnAti-iti arTaH.
   akramam ity ekakṣaṇopārūḍhaṃ sarvaṃ sarvathā gṛhṇātīty arthaḥ. etad	akramam iti eka-kzaNa-upArUXam sarvam sarvaTA gRhNAti-iti arTaH. etat-
   vivekajaṃ jñānaṃ paripūrṇam asyaivāṃśo yogapradīpo madhumatīṃ bhūmim	viveka-jam jQAnam paripUrNam asya-eva-aMSaH yoga-pradIpaH maDumatIm BUmim
   upādāya yāvad asya parisamāptir iti. 3.54	upAdAya yAvat asya parisamAptiH iti. 3.54
   prāptavivekajajñānasyāprāptavivekajajñānasya vā ---	prApta-viveka-ja-jQAnasya-aprApta-viveka-ja-jQAnasya vA ---
        sattvapuruṣayoḥ śuddhisāmye kaivalyam iti || YS_3.55 ||	sattva-puruzayoH SudDi-sAmye kEvalyam iti || YH-_3.55 ||
   yadā nirdhūtarajastamomalaṃ buddhisattvaṃ	yadA nirDUta-rajaH-tamaH-malam budDi-sattvam
   puruṣasyānyatāpratītimātrādhikāraṃ dagdhakleśabījaṃ bhavati tadā puruṣasya	puruzasya-anya-tA-pratIti-mAtra-aDikAram dagDa-kleSa-bIjam Bavati tadA puruzasya
   śuddhisārūpyam ivāpannaṃ bhavati, tadā puruṣasyopacaritabhogābhāvaḥ	SudDi-sArUpyam iva-Apannam Bavati, tadA puruzasya-upacarita-Boga-aBAvaH
   śuddhiḥ. etasyām avasthāyāṃ kaivalyaṃ bhavatīśvarasyānīśvarasya vā	SudDiH. etasyAm avasTAyAm kEvalyam Bavati-ISvarasya-anISvarasya vA
   vivekajajñānabhāgina itarasya vā. na hi dagdhakleśabījasya jñāne punar	viveka-ja-jQAna-BAginaH itarasya vA. na hi dagDa-kleSa-bIjasya jQAne punar-
   apekṣā kācid asti sattvaśuddhidvāreṇaitat samādhijam aiśvaryaṃ jñānaṃ	apekzA kAcid asti sattva-SudDi-dvAreNa-etat samADi-jam ESvaryam jQAnam
   copakrāntam. paramārthatas tu jñānād adarśanaṃ nivartate tasmin nivṛtte na	ca-upakrAntam. paramArTataH tu jQAnAt adarSanam nivartate tasmin nivRtte na
   santy uttare kleśāḥ. kleśābhāvāt karmavipākābhāvaḥ caritādhikārāś	santi uttare kleSAH. kleSa-aBAvAt karma-vipAka-aBAvaH carita-aDikArAH-
   caitasyām avasthāyāṃ guṇā na puruṣasya punar dṛśyatvenopatiṣṭhante.	ca-etasyAm avasTAyAm guNAH na puruzasya punar dRSya-tvena-upatizWante.
   tatpuruṣasya kaivalyaṃ, tadā puruṣaḥ svarūpamātrajyotir amalaḥ kevalī	tatpuruzasya kEvalyan, tadA puruzaH sva-rUpa-mAtra-jyotiH amalaH kevalI
   bhavati. 3.55	Bavati. 3.55
   iti śrīpātañjale sāṃkhyapravacane yogaśāstre vyāsabhāṣye vibhūtipādas	iti SrI-pAtaQjale sAMKya-pravacane yoga-SAstre vyAsa-BAzye viBUti-pAdas
   tṛtīyaḥ 3.	tRtIyaH 3.
   janmauṣadhimantratapaḥsamādhijāḥ siddhayaḥ || YS_4.1 ||	janma-OzaDi-mantra-tapaH-samADi-jAH sidDayaH || YH-_4.1 ||
        dehāntaritā janmanā siddhiḥ oṣadhibhir asurabhavaneṣu rasāyanenety	deha-antaritA janmanA sidDiH ozaDiBiH asura-Bavanezu rasAyanena-iti-
   evamādiḥ. mantrair ākāśagamanāṇimādilābhaḥ. tapasā saṃkalpasiddhiḥ,	evamAdiH. mantrEH AkASa-gamana-aNima-Adi-lABaH. tapasA saMkalpa-sidDiH,
   kāmarūpī yatra tatra kāmaga ity evamādi samādhijāḥ siddhayo vyākhyātāḥ.	kAmarUpI yatra tatra kAma-gaH iti evamAdi samADi-jAH sidDayaH vyAKyAtAH.
   tatra kāyendriyāṇām anyajātīyapariṇatānām ---	tatra kAya-indriyANAm anya-jAtIya-pariNatAnAm ---
        jātyantarapariṇāmaḥ prakṛtyāpūrāt || YS_4.2 ||	jAti-antara-pariNAmaH prakRti-ApUrAt || YH-_4.2 ||
   pūrvapariṇāmāpāya uttarapariṇāmopajanas teṣām apūrvāvayavānupraveśād	pUrva-pariNAma-apAyaH uttara-pariNAma-upajanaH tezAm apUrva-avayava-anupraveSAt-
   bhavati. kāyendriyaprakṛtayaś ca svaṃ svaṃ vikāram anugṛhṇanty āpūreṇa	Bavati. kAya-indriya-prakRtayaH ca svam svam vikAram anugRhNanti ApUreNa
   dharmādinimittam apekṣamāṇā iti. 4.2	Darma-Adi-nimittam apekzamANAH iti. 4.2
   nimittam aprayojakaṃ prakṛtīnāṃ varaṇabhedas tu tataḥ kṣetrikavat ||	nimittam aprayojakam prakRtInAm varaNa-BedaH tu tatas kzetrika-vat ||
   YS_4.3 ||	YH-_4.3 ||
        na hi dharmādi nimittaṃ tatprayojakaṃ prakṛtīnāṃ bhavati na kāryeṇa	na hi Darma-Adi nimittam tad-prayojakam prakRtInAm Bavati na kAryeNa
   kāraṇaṃ pravartyata iti kathaṃ tarhi, varaṇabhedas tu tataḥ kṣetrikavat.	kAraNam pravartyate iti kaTam tarhi, varaNa-BedaH tu tatas kzetrikavat.
   yathā kṣetrikaḥ kedārād apāṃ pūrṇāt kedārāntaraṃ piplāvayiṣuḥ samaṃ nimnaṃ	yaTA kzetrikaH kedArAt apAm pUrNAt kedAra-antaram piplAvayizuH samam nimnam
   nimnataraṃ vā nāpaḥ pāṇināpakarṣaty āvaraṇaṃ tv āsāṃ bhinatti tasmin	nimnataram vA na-apaH pANinA-apakarzati AvaraNam tu AsAm Binatti tasmin
   bhinne svayam evāpaḥ kedārāntaram āplāvayanti tathā dharmaḥ prakṛtīnām	Binne svayam eva-apaH kedAra-antaram AplAvayanti taTA DarmaH prakRtInAm
   āvaraṇadharmaṃ bhinatti tasmin bhinne svayam eva prakṛtayaḥ svaṃ svaṃ	AvaraNa-Darmam Binatti tasmin Binne svayam eva prakRtayaH svam svam
   vikāram āplāvayanti. yathā vā sa eva kṣetrikas tasminn eva kedāre na	vikAram AplAvayanti. yaTA vA saH eva kzetrikaH tasmin eva kedAre na
   prabhavaty audakān bhaumān vā rasān dhānyamūlāny anupraveśayituṃ, kiṃ	praBavati OdakAn BOmAn vA rasAn DAnya-mUlAni anupraveSayituM, kim
   tarhi mudgagavedhukaśyāmākādīṃs tato 'pakarṣati. apakṛṣṭeṣu teṣu svayam	tarhi mudga-gaveDu-ka-SyAmAka-AdIn tatas apakarzati. apakRzwezu tezu svayam
   eva rasā dhānyamūlāny anupraviśanti, tathā dharmo nivṛttimātre kāraṇam	eva rasAH DAnya-mUlAni anupraviSanti, taTA DarmaH nivRtti-mAtre kAraNam
   adharmasya, śuddhyaśuddhyor atyantavirodhāt, na tu prakṛtipravṛttau dharmo	aDarmasya, SudDi-aSudDyoH atyanta-viroDAt, na tu prakRti-pravRttO DarmaH-
   hetur bhavatīti. atra nandīśvarādaya udāhāryāḥ viparyayeṇāpy adharmo	hetuH Bavati-iti. atra nandISvara-AdayaH udAhAryAH viparyayeNa-api aDarmaH-
   dharmaṃ bādhate. tataś cāśuddhipariṇāma iti. tatrāpi nahuṣājagarādaya	Darmam bADate. tatas ca-aSudDi-pariNAmaH iti. tatra-api nahuza-ajagara-Adaya
   udāhāryāḥ. 4.3	udAhAryAH. 4.3
   yadā tu yogī bahūn kāyān nirmimīte tadā kim ekamanaskās te bhavanty	yadA tu yogI bahUn kAyAt nirmimIte tadA kim eka-manaskAH te Bavanti-
   athānekamanaskā iti ---	aTa-aneka-manaskAH iti ---
        nirmāṇacittāny asmitāmātrāt || YS_4.4 ||	nirmANa-cittAni asmitA-mAtrAt || YH-_4.4 ||
   asmitāmātraṃ cittakāraṇam upādāya nirmāṇacittāni karoti, tataḥ sacittāni	asmitA-mAtram citta-kAraNam upAdAya nirmANa-cittAni karoti, tatas sa-cittAni
   bhavantīti. 4.4	Bavanti-iti. 4.4
   pravṛttibhede prayojakaṃ cittam ekam anekeṣām || YS_4.5 ||	pravRtti-Bede prayojakam cittam ekam anekezAm || YH-_4.5 ||
        bahūnāṃ cittānāṃ katham ekacittābhiprāyapuraḥsarā pravṛttir iti	bahUnAm cittAnAm kaTam ekacitta-aBiprAya-puraHsarA pravRttiH iti
   sarvacittānāṃ prayojakaṃ cittam ekaṇ nirmimīte, tataḥ pravṛttibhedaḥ. 4.5	sarva-cittAnAm prayojakam cittam ekaw nirmimIte, tatas pravRtti-BedaH. 4.5
   tatra dhyānajam anāśayam || YS_4.6 ||	tatra DyAna-jam anASayam || YH-_4.6 ||
        pañcavidhaṃ nirmāṇacittaṃ janmauṣadhimantratapaḥsamādhijāḥ siddhaya	paQcaviDam nirmANa-cittam janma-OzaDi-mantra-tapaH-samADi-jAH sidDaya
   iti. tatra yad eva dhyānajaṃ cittaṃ tad evānāśayaṃ tasyaiva nāsty āśayo	iti. tatra yat eva DyAna-jam cittam tat eva-anASayam tasya-eva na-asti ASayaH-
   rāgādipravṛttir nātaḥ puṇyapāpābhisaṃbandhaḥ kṣīṇakleśatvād yogina iti	rAga-Adi-pravRttiH na-atas puNya-pApa-aBisaMbanDaH kzINa-kleSa-tvAt yoginaH iti
   itareṣāṃ tu vidyate karmāśayaḥ. 4.6	itarezAm tu vidyate karma-ASayaH. 4.6
   yataḥ ---	yatas ---
        karmāśuklākṛṣṇaṃ yoginas trividham itareṣām || YS_4.7 ||	karma-aSukla-akRzNam yoginaH triviDam itarezAm || YH-_4.7 ||
   catuṣpadī khalv iyaṃ karmajātiḥ kṛṣṇā śuklakṛṣṇā śuklāśuklākṛṣṇā ceti.	catuzpadI Kalu iyam karma-jAtiH kRzNA Sukla-kRzNA Sukla-aSukla-akRzNA ca-iti.
